author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
岳阳,多业务协同并驱，25Q4 业绩环比大幅增长。公司持续聚焦“智能算力+数据存储+服务器再制造+AIoT 智能终端”等业务方向，推动重点产品放量与项目交付加速，带动营业收入规模快速增长。与此同时，公司加强供应链协同与交付管理，规模效应逐步显现，盈利能力同比提升。2025年，公司预计实现归母净利润10.5-12.5亿元（YoY+51.78%-80.69%），实现同比大幅增长。单四季度来看，公司预计实现归母净利润3.52-5.52亿元（YoY+160.7%-308.9%，QoQ+32.3%-107.5%）。25 年服务器采购额超 200 亿元，智能算力业务腾飞在即。公司把握行业算力基础设施建设需求增长机遇，持续推进算力服务器及集群解决方案落地。2025年，公司接连发布五次采购公告，累计用于采购高算力服务器的额度达212亿元。得益于公司产业链生态搭建及资源赋能，以及大规模算力集群建设能力和算力调优能力，据21世纪经济报道，公司算力租赁项目规模较大，所有采购均基于已签署的订单进行，且多数大额合作协议都是5年的长期合约。25年计划采购和建设的多个集群中，目前公司已有三个集群完成部署并形成收入，还有其他集群的采购流程已完成，预计将于近期陆续进入实施阶段。2025年，公司在交付实施与运维服务等环节能力提升，对经营业绩增长形成积极贡献。深化企业级存储布局，与多家原厂达成供应合作。数据存储设备方面，公司持续深化企业级存储产品布局与市场拓展，受下游客户对存储基础设施投入提升带动，出货规模同比增长并实现放量。此外，行业供需变化带动存储产品价格上行，共同带动存储业务业绩释放。根据公司互动易回复，在晶圆供给方面，公司与闪迪在产品领域有多层次合作，存储领域相关供应商包括海力士、铠侠、Solidigm等。服务器再制造业务方面，公司持续推进再制造业务体系化运营与能力建设，保障业务交付与质量稳定。2025年，服务器再制造业务保持稳健发展，业务规模扩大叠加运营效率提升，对公司经营业绩增长形成贡献。投资建议：参考存储及算力租赁业务景气度，公司算力租赁业务进展以及 2025年业绩情况，公司算力租赁及企业级存储业务放量有望带动业绩高速释放，我们调整归母净利润预测为11.82/25.32/40.54亿（原值11.38/19.43/28.52亿）。参考可比公司分别给予存储业务/算力租赁业务/物联网业务26年65/39/23x PE，目标价299.88元，维持“强推”评级。风险提示：原材料价格波动风险、云服务业务发展不及预期、服务器再制造业务发展不及预期、算力租赁业务发展不及预期、募集资金不及预期,,华创证券,强推,[None],2026-02-11,,买入,8412397,pdf_downloads/2026/2026-02-11/300857-协创数据（300857）：2025业绩大幅增长，智能算力业务腾飞在即.pdf,300857,协创数据,协创数据（300857）：2025业绩大幅增长，智能算力业务腾飞在即
何鹏程,事件协创数据发布业绩公告：预计2025年实现归母净利润10.5亿元至12.5亿元，同比增长51.78%至80.69%%；实现扣非净利润10.1亿元至12.1亿元，同比增长50.45%至80.24%。投资要点AI算力高景气度驱动全产业链“通胀”随着生成式AI与大模型的规模化落地，高性能AI算力需求旺盛。从需求来看，训练端与推理端形成双轮驱动。训练端， Gemini 3、Grok3等多模态大模型对算力要求极高，单模型训练往往需上万块高端GPU集群支撑，例如Grok3训练动用10万块英伟达H100芯片，预训练数据量达到50万亿token。推理端，AI应用商业化落地催生海量持续性算力消耗。2025年，谷歌Token日均调用量达到16万亿，较2024年同期增长50倍；Azure AI一季度处理Token数较2024年同期增长5倍；2025年5月，字节火山引擎Token日均调用量是2024年同期的137倍。从供给来看，全球高端AI芯片依然供不应求，制约AI芯片供给释放的因素主要包括先进制程（3nm）和先进封装（CoWoS）的产能。因此，在资源稀缺的AI芯片环节，获取算力卡的能力是各大厂商开发AI技术的主要壁垒之一。AI算力需求旺盛带动全产业链各环节涨价。在上游芯片环节，存储端，由于AI芯片对HBM的强绑定需求，全球存储行业主要厂家纷纷将产能向利润更高的HBM倾斜，挤占传统DRAM产能；同时，AI服务器单台内存需求为传统服务器的8-10倍，带动DDR5内存颗粒价格自2025年9月以来上涨超300%。高端存储需求旺盛挤压其余存储芯片产能，进而推动存储芯片价格集体大幅上涨。CPU端，AI推理场景对多核处理、低延迟的需求显著提升，由于高端CPU产能被GPU、ASIC以及高端SoC挤占，CPU产能不足，导致CPU整体价格上涨。 目前，上游芯片涨价已逐步传导到中游云计算厂商。2026年 1月，海外云厂商集中宣布涨价。1月23日，AWS率先上调其 EC2 机器学习容量块价格约 15%，其中 p5e.48xlarge 实例每小时费用从34.61美元涨至 39.80 美元；1月27日，谷歌云官宣自 2026年5月1日起，对CDN Interconnect、Direct Peering、Carrier Peering 三类数据传输服务调价，北美地区价格从0.04美元/GiB 涨至0.08美元/GiB，欧洲地区从 0.05 美元/GiB 涨至0.08美元/GiB，亚洲地区从0.06美元/GiB涨至0.085美元/GiB，谷歌本次涨价是为了定价匹配服务价值与性能，且基于全球基础设施的重大投资以保障高吞吐量、低延迟连接。整体来看，AI硬件已经从AI芯片、存储、CPU 环节延伸至云计算、算力租赁等环节，全球AI算力需求高景气度与AI算力资源稀缺并存。我们预计后续将引发行业连锁反应，国内外云厂商或跟进。此外，海外CSP大厂云计算服务提价有望为算力租赁市场打开涨价空间。近期，英伟达公司宣布向云计算服务商CoreWeave Inc.追加投资20亿美元，支持CoreWeave在2030年增加超过5吉瓦的AI算力基础建设。我们持续看好来AI算力通胀的趋势，从芯片端逐步传导到中游的云计算和算力租赁的环节，最终随着AI应用的需求提升传导到下游应用端形成闭环。AI智能硬件与算力服务双轮驱动，公司深度受益于存储于算力租赁需求上升协创数据以“物联生态”为核心，构建 “算力底座 + 云端服务 + 智能终端” 三位一体的全球化产业体系。公司业务主要可以分为AI智能硬件和AI算力服务两大板块。AI智能硬件板块，存储业务方面，公司自主研发多款存储主控芯片，结合自研固件方案与量产工具，以存储模组形式为客户提供存储产品，公司存储业务受益于存储涨价的趋势。服务器再造业务方面，公司受益于全球服务器再制造市场由“处置为主”转向“合规翻新＋性能升级”的新趋势。公司建立了服务器拆解、检测和再加工的全套自动化生产设备，在故障定位、性能优化和测试 以及质量检验方面引入了全面的智能化数据采集系统并引入人工智能技术来提升产品的竞争力。此外，公司以第一主办单位身份参与中国电子技术标准化研究院组织的《服务器再制造技术规范》的制定。 AI算力服务板块，公司核心业务为算力租赁，向客户提供共享、按需付费、弹性伸缩的GPU、CPU等计算资源使用权，来满足用户人工智能训练、大数据分析、科学计算等高算力场景的需求。此外，公司持续迭代升级算力服务平台，通过异构算力纳管与用户租赁来实现不同类型算力资源的统一调度与灵活分配；通过算力资源实时调度保障高并发场景下的资源高效利用；通过适配主流AI模型，实现多领域模型快速部署；通过高速网络运维调优，实现数据传输与计算的低延迟；通过全生命周期服务支撑，为客户提供从接入到运维的一站式解决方案。目前，公司AI算力服务已经深度渗透云游戏、云手机、AI 应用、具身机器人、金融等领域。盈利预测预测公司2025-2027年收入分别为116.33、171.01、225.74亿元，EPS分别为3.41、5.48、7.56元，当前股价对应PE分别为60.3、37.5、27.2倍，随着AI算力通胀趋势的延续，我们看好公司AI算力硬件与AI算力服务业务边际向好，首次覆盖，给予“买入”投资评级。风险提示AI算力需求下滑；AI算力业务研发进展不及预期；国际贸易关税风险。,,华鑫证券,买入,[None],2026-02-05,,买入,8396995,pdf_downloads/2026/2026-02-05/300857-协创数据（300857）：公司事件点评报告：公司业绩表现亮眼，AI算力硬件与AI算力服务业务双轮驱动.pdf,300857,协创数据,协创数据（300857）：公司事件点评报告：公司业绩表现亮眼，AI算力硬件与AI算力服务业务双轮驱动
Lin Yang,本报告导读：公司算力为基座，云端服务和智能终端牵引，紧抓AI行业大趋势收入高增，拥有英伟达NCP合作资质，持续看好。投资要点：投资建议：维持“优于大市”评级，上调目标价至171.49元。我们预计公司2025-2027年EPS分别为3.33/5.36/7.62元（原2025-26预测为3.74/4.84 元），可比公司2026年平均PE 30.88X，公司全面布局算力底座+云端服务+智能终端，各项业务快速增长，给予公司2026年32倍PE（原为2024年30x），对应目标价171.49元（+114%）。2025年前三季度公司收入利润保持高增。2025年前三季度，公司取得收入83.31亿元，同比增长54%；归母净利润6.98亿元，同比增长25%。单Q3，公司取得收入33.87亿元，同比增长86%；归母利润2.66亿元，同比增长33%。公司自早期数据存储设备起步，先后拓展至物联网智能终端与云平台业务，并进入服务器及周边再制造领域，将算力服务作为重点发展方向。通过构建计算、连接与存储一体化的技术基础，逐步完善AI基础设施，各项业务协同带动公司业绩实现不断增长。不断构建算力服务技术能力，购买服务器为客户提供云算力服务。2025年10月21日，公司拟向多家供应商采购服务器，并签署相关采购合同，采购合同总金额预计不超过人民币40.00亿元。公司持续加大研发投入，迭代升级算力服务平台：（1）异构算力纳管与多用户租赁，实现不同类型算力资源的统一调度与灵活分配；（2）算力资源实时调度，保障高并发场景下的资源高效利用；（3）主流AI模型适配，支持多领域模型快速部署；（4）高速网络运维调优，确保数据传输与计算的低延迟；（5）全生命周期服务支撑，为客户提供从接入到运维的一站式解决方案。目前，平台已深度渗透云游戏、云手机、AI应用、具身机器人、金融等领域，持续拓展高价值客户群体。携手英伟达布局具身智能。基于公司英伟达 NCP（云合作伙伴）的合作资质，公司主要和其合作开展机器人推理平台以及具身智能技术的应用开发，投入机器人推理平台，帮助人形机器人的厂商做训练和仿真。风险提示。数据存储设备业务增速不及预期；物联网业务拓展不及预期的风险；行业政策风险。,,海通国际证券,优于大市,[None],2025-12-01,,买入,8199213,pdf_downloads/2025/2025-12-01/300857-协创数据（300857）：全面推进新布局，算力底座、云端服务、智能终端引领高成长.pdf,300857,协创数据,协创数据（300857）：全面推进新布局，算力底座、云端服务、智能终端引领高成长
"杨林,杨蒙",投资建议：维持“增持”评级，上调目标价至171.49元。我们预计公司2025-2027年EPS分别为3.33/5.36/7.62元，可比公司2026年平均PE 30.88X，公司全面布局算力底座+云端服务+智能终端，各项业务快速增长，给予公司2026年32倍PE，对应目标价171.49元。2025年前三季度公司收入利润保持高增。2025年前三季度，公司取得收入83.31亿元，同比增长54%；归母净利润6.98亿元，同比增长25%。单Q3，公司取得收入33.87亿元，同比增长86%；归母利润2.66亿元，同比增长33%。公司自早期数据存储设备起步，先后拓展至物联网智能终端与云平台业务，并进入服务器及周边再制造领域，将算力服务作为重点发展方向。通过构建计算、连接与存储一体化的技术基础，逐步完善AI基础设施，各项业务协同带动公司业绩实现不断增长。不断构建算力服务技术能力，购买服务器为客户提供云算力服务。2025年10月21日，公司拟向多家供应商采购服务器，并签署相关采购合同，采购合同总金额预计不超过人民币40.00亿元。公司持续加大研发投入，迭代升级算力服务平台：（1）异构算力纳管与多用户租赁，实现不同类型算力资源的统一调度与灵活分配；（2）算力资源实时调度，保障高并发场景下的资源高效利用；（3）主流AI模型适配，支持多领域模型快速部署；（4）高速网络运维调优，确保数据传输与计算的低延迟；（5）全生命周期服务支撑，为客户提供从接入到运维的一站式解决方案。目前，平台已深度渗透云游戏、云手机、AI应用、具身机器人、金融等领域，持续拓展高价值客户群体。携手英伟达布局具身智能。基于公司英伟达 NCP（云合作伙伴）的合作资质，公司主要和其合作开展机器人推理平台以及具身智能技术的应用开发，投入机器人推理平台，帮助人形机器人的厂商做训练和仿真。风险提示。数据存储设备业务增速不及预期；物联网业务拓展不及预期的风险；行业政策风险。,,国泰海通,增持,[None],2025-11-29,,买入,8202419,pdf_downloads/2025/2025-11-29/300857-协创数据（300857）：全面推进新布局，算力底座、云端服务、智能终端引领高成长.pdf,300857,协创数据,协创数据（300857）：全面推进新布局，算力底座、云端服务、智能终端引领高成长
岳阳,算力、服务器再制造&amp;存储业务高速发展，25Q3 收入实现同环比高增。受市场需求增加影响，智能算力产品及服务快速发展、服务器及周边再制造业务和数据存储上河北协同效益影响，25年前三季度公司实现营收83.31亿元（YoY+54.43%），25Q3公司实现收入33.87亿元（YoY+86.43%，QoQ+18.14%），实现同环比显著增长。“算力底座+云端服务+智能终端”三位一体布局，智能算力业务在手订单充裕。协创数据以“物联生态”为核心战略，构建“算力底座+云端服务+智能终端”三位一体的全球化产业体系。1）服务器及周边再制造： 25H1公司服务器及周边再制造业务实现营收8.35亿元（YoY+119.49%），25H1毛利率9.95%（YoY-0.72pct）。目前，公司已构建芯片拆解自动化作业的核心能力，并进一步扩大了服务器再制造的业务规模，使得该业务收入增长明显，同时实现了生产效率和产品质量的同步提升。2）智能算力产品及服务：公司持续加大研发投入，迭代升级算力服务平台，实现异构算力纳管与多用户租赁、算力资源实时调度、主流AI模型适配、高速网络运维调优，并为客户提供从接入到运维的一站式解决方案。目前公司平台已深度渗透云游戏、云手机、AI应用、具身机器人、金融等领域，持续拓展高价值客户群体。25H1实现营收12.21亿元，25H1毛利率20.60%。此外，公司持续建设高端GPU算力服务器集群，已在上海、宁波、成都、乌兰察布等国内核心节点以及东南亚及美国等海外市场建立分布式算力网络。目前公司在手订单充裕，并正积极推进相关订单交付。存储价格全面上涨，存储业务保持增长态势。数据存储设备方面，25H1 实现营收18.35亿元（YoY-5.27%），毛利率10.28%（YoY-1.76pct），主要受市场价格波动、产品结构调整等因素综合影响。受企业级需求拉动影响，25Q3各类存储价格全面上涨，除DDR4供给收缩逻辑以外，主要系数据中心建置动能回暖，且AI服务器大幅提升存储要求，驱动新一轮创新大周期。随着数据中心建设以及服务器单柜存储配置提升，我们对25Q4及26年存储价格预期乐观。在数据存储设备领域，公司受益于AI 服务业务的快速发展和存储市场的行情向好，通过强化芯片封测能力并与芯片原厂深化合作，保持稳定增长态势。投资建议：参考存储及算力租赁业务景气度，我们调整归母净利润预测为11.38/19.43/28.52亿（原值10.18/16.14/20.95亿）。参考可比公司分别给予存储业务/物联网智能终端业务26年73/23x PE，目标价212.68元，维持“强推”评级。风险提示：全球化经营风险、原材料价格波动风险、云服务业务发展不及预期、服务器再制造业务发展不及预期。,,华创证券,强推,[None],2025-11-08,,买入,7590651,pdf_downloads/2025/2025-11-08/300857-协创数据（300857）：2025年三季报点评：25Q3收入实现同环比高增，智能算力业务在手订单充裕.pdf,300857,协创数据,协创数据（300857）：2025年三季报点评：25Q3收入实现同环比高增，智能算力业务在手订单充裕
"方闻千,邹昕宸",Q3收入持续高增长，算力业务布局持续加码事件描述10月29日，公司发布2025年三季报，其中，2025年前三季度公司实现收入83.31亿元，同比高增54.43%；前三季度实现归母净利润6.98亿元，同比增长25.30%，实现扣非净利润6.83亿元，同比增25.03%。2025年三季度公司实现收入33.87亿元，同比高增86.43%；三季度实现归母净利润2.66亿元，同比增长33.44%，实现扣非净利润2.64亿元，同比增长36.86%。事件点评算力业务逐步放量驱动公司收入增长提速。前三季度在算力业务高增长的同时，服务器再制造和数据存储业务协同效应显现，共同推动收入增长提速。同时，公司毛利率保持稳定，今年前三季度毛利率达17.65%，较上年同期降低0.19个百分点。在利润端，前三季度公司销售、研发费用率分别较上年同期提高0.15、0.05个百分点，管理费用率较上年同期降低0.52个百分点。而受业务投入期融资规模扩大导致利息费用显著增加影响，今年前三季度公司净利率为8.22%，较上年同期降低2.04个百分点。算力租赁业务布局持续加码。一方面，公司积极通过多元化融资渠道补充资金，今年以来公司已陆续向银行等金融机构申请总计不超过245亿人民币或等值外币的授信额度，与此同时，公司计划在港交所挂牌上市并发行H股，目前已向港交所递交申请资料，为算力租赁等新业务的拓展提供了充足的资金储备；另一方面，今年以来，公司持续推动服务器相关资产采购，截至目前，年内公司已发布5次资产购买公告，拟采购总金额达到123.5亿元。我们预计，未来几个季度内公司有望凭借在算力服务器维保方面的优势，快速斩获客户的算力租赁订单，算力租赁业务开始贡献重要业绩增量。投资建议公司在传统业务数据存储和AIoT终端业务保持稳健增长的同时，作为国内服务器再制造龙头厂商，未来算力云业务等新兴业务有望持续推动公司收入高速增长，调整盈利预测，预计公司2025-2027年EPS分别为3.29\5.65\8.38，对应公司11月5日收盘价156.90元，2025-2027年PE分别为47.7\27.8\18.7，维持“买入-A”评级。风险提示技术研发风险，全球化经营风险，原材料价格上涨的风险。,,山西证券,买入-A,[None],2025-11-06,,买入,7529892,pdf_downloads/2025/2025-11-06/300857-协创数据（300857）：Q3收入持续高增长，算力业务布局持续加码.pdf,300857,协创数据,协创数据（300857）：Q3收入持续高增长，算力业务布局持续加码
"曹佩,王景宜",事件：协创数据发布2025年三季报。2025年前三季度，公司实现营业收入83.31亿元，同比增长54.43%，归母净利润为6.98亿元，同比增长25.30%；扣非归母净利润6.83亿元，同比增长25.03%。Q3营收增长提速，研发投入加大。2025Q3公司实现营收33.87亿元，同比增长86.43%；扣非归母净利润2.64亿元，同比增长36.86%。营收高速增长主要得益于智能算力服务收入大幅增长，同时服务器再制造和数据存储设备业务保持高景气。Q3单季度销售、管理、研发、财务费用率分别为0.50%/1.19%/3.56%/3.14%，分别同比+0.01pct/-0.67pct/+0.51pct/2.02pct，费用率提升主要因算力业务前期投入较大，研发投入增加及大规模融资导致财务费用大幅增长。持续加大算力服务领域布局。截至25Q3末，公司总资产达181.94亿元，较年初大幅增长149.08%；存货增至30.01亿元，同比+同比增长66.86%，主要为算力及存储业务备货增加。10月22日，公司公告拟采购服务器总金额不超过40亿元。截至目前，公司已发布四次算力服务器采购公告，累计金额不超过122亿元。随着已采购服务器的陆续交付和上架，算力业务收入有望加速释放。筹划港股上市，优化海外布局。今年7月，公司公告拟在香港联交所发行H股，旨在优化海外布局，增强境外融资能力，打造国际化资本运作平台，提升综合竞争实力。10月22日公司已正式向中国香港联交所递交H股发行上市申请。投资建议：公司积极布局算力业务，有望受益于AI浪潮下高速增长的算力需求。预计2025-2027年营业收入分别为118.82/172.41/234.30亿元，归母净利润分别为11.19/17.56/24.84亿元。风险提示：新业务推进不及预期，技术研发不及预期，市场竞争加剧风险。,,太平洋证券,买入,[None],2025-11-05,,买入,7487363,pdf_downloads/2025/2025-11-05/300857-协创数据（300857）：Q3收入增长提速，算力业务稳步推进.pdf,300857,协创数据,协创数据（300857）：Q3收入增长提速，算力业务稳步推进
"刘高畅,李可夫",业绩持续高增，算力与机器人业务稳步推进事件：公司发布2025年三季报，前三季度实现营业收入83.31亿元，同比增长54.43%，实现归母净利润6.98亿元，同比增长25.3%，实现扣非净利润6.83亿元，同比增长25.03%。营收加速增长，合同负债和存货高增，研发投入加大。2025单Q3营收33.87亿元，同比增长86.43%；归母净利润2.66亿元，同比增长33.44%。2025Q3公司合同负债0.31亿元，同比增长60.87%，存货30.01亿元，同比增长66.86%，彰显下游旺盛需求。2025Q3，公司销售/管理/研发费用率分别为0.50%/1.19%/3.56%，同比+0.01pct/-0.67pct/+0.51pct，研发投入力度加大。公司迭代升级算力服务平台，目前平台已深度渗透云游戏、云手机、AI应用、具身机器人、金融等领域，持续拓展高价值客户群体。持续采购服务器，算力业务稳步推进。10月21日公司公告拟采购服务器不超过40亿元，用于提供云算力服务。公司年内已经四次支出大额资金进行服务器采购，加码算力业务。到目前为止，公司四次采购订单总金额合计达到122亿元，预计未来将为公司收入持续增长带来重大贡献。与英伟达合作，前瞻布局机器人平台。基于公司英伟达NCP（云合作伴））的合作资质，公司和英伟达合作开展机器人推理平台以及具身智能技术的应用开发。预计未来在通用人工智能AGI获得长足发展和突破后，机器人也会随之快速发展，到时候算力需求将大幅增长，这是公司当前布局算力以及机器人仿真和推理平台，以捕捉市场先机的重要原因。积极拓展海外布局，筹备港股上市。今年7月，公司宣布启动境外发行股份并在香港上市的前期筹备工作，进一步拓展公司的国际化战略，优化海外业务布局，增强境外融资能力，打造国际化资本运作平台，提升综合竞争实力。10月22日公司已正式向中国香港联交所递交H股发行上市申请。维持“买入”评级。公司业务持续高增长，算力与机器人业务均有望打开新成长空间。因此我们调整公司2025-2027年营业收入预测为116.76/174.66/226.74亿元，归母净利润预测为11.46/19.03/26.75亿元，维持“买入”评级。风险提示：竞争加剧风险；下游需求恢复不及预期风险；新领域成长不及预期风险。,,国盛证券,买入,[None],2025-11-05,,买入,7437881,pdf_downloads/2025/2025-11-05/300857-协创数据（300857）：业绩持续高增，算力与机器人业务稳步推进.pdf,300857,协创数据,协创数据（300857）：业绩持续高增，算力与机器人业务稳步推进
刘一楠,"报告摘要紧抓时代机遇，从消费电子I0T厂商转型为AI基础设施服务商，公司深耕消费电子近 20年，早期主要从事物联网智能终端和数据存储设备等产品的代工生产。凭借经营团队丰富的富士康工作经验，成为联想中移物联的重要供应商，并成长为本土第二大SSD制造商和第二大消费级智能摄像头制造商。2023年公司前瞻布局服务器及周边再制造业务2025 年开始规模化投资 AI基础设施，构建“智能终端+智慧存储+算力服务”三位一体的全球化产业体系，抬升公司的天花板。使得公司营收快速从 2022 年的 31.48 亿元倍增至 2024年的 74.10 亿元，对应归母净利润从 1.31 亿元速增至 6.92 亿元。2025 年前三季度公司实现营业收入83.31亿元，同比+54.4%，归母净利润6.98亿元，同比+25.3%;25Q3单季度收入、归母净利润分别为 33.87、2.66亿元。存储涨价周期与服务器再制造共振，放大业务价值。需求端，AI智能终端单机扩容，AI服务器对 DDR5和 HBM需求强劲同时带动企业级 SSD需求增长;而供给端，原厂将产能优先分配给高阶ServerDRAM和HBM，主动削减LPDDR4X/DDR4等日制程产能，存储行业进入缺货涨价的大周期，TrendForce 预计 DDR4的紧缺或持续至 26H1。公司在 SSD产品上具备完整的产品线，推出的企业级SSD可以适应 AI时代对高性能存储设备的要求，并积极进军算力服务器存储及自研存储芯片业务。截止2503末，公司账面存货30亿元，存货价值有望重估。服务器再制造业务方面，AI基建浪潮+技术迭代加速IDC服务器更新全球服务器再制造市场进入“合规翻新+性能升级”的新阶段。公司通过控股子公司 Semsotai North Inc.在北美开展服务器的回收、拆解,并依托深圳基地完成研发生产与维修服务，构建“回收→检测/拆解→更换部件(CPU/内存/硬盘等)→重新组装→测试认证→销售或租赁”的产业闭环。并且进一步与公司 AI智算中心形成运维协同，有效提升了GPU服务器集群的服役年限。2025H1公司服务器及周边再制造业务收入8.35亿元，同比+119.5%。抢占AI基础设施赛道，智能算力服务成为公司新增长引警。自建算力成本较高，算力租赁成为中小型AI企业获取算力资源的主要方式，根据IDC数据，2025 年算力租赁市场规模超过1020亿美元，2025-2029年 CAGR维持29%。公司精准切入算力租赁赛道，搭建从“资质-平台构建-集群部署-业绩兑现”的完整生态。24年10月，公司控股子公司奥佳软件正式取得英伟达云服务合作伙伴(NCP)资质;25年1月,公司 FCloud智能体训推平台正式上线，Omnibot具身智能机器人开发平台也已上线运营，降低其开发门槛。2025年以来，公司大力投入算力集群建设，3/5/8/10月陆续发布购买资产的公告，合计采购服务器金额为不超过 122 亿元。截止 2503 末，公司固定资产&amp;在建工程合计为 78.4亿元，较年初增长超70亿元。业务落地方面，公司在手订单充裕，30亿元的采购事项已完成交付,与国内互联网企业、中国移动国际等多家公司签订合作协议。25H1新业务实现收入12.21亿元，占总收入的24.7%,成为公司第二大收入来源和核心增长引擎。公司已递交港股上市申请，进一步拓展国际化战略，增强境外融资能力。投资建议公司敏锐洞察 AI时代机遇，完成从传统I0T 硬件商向 AI算力“卖水人”的华丽转型，业务间协同效应较强。我们看好其智能算力服务的业绩兑现及稀缺卡位下的价值重估。预计公司 2025-2027年实现营业收入分别为 115.65 亿元、172.35 亿元、225.63亿元，同比分别增长 56.1%、49.0%、30.9%;归母净利润分别为11.35 亿元、16.47 亿元、21.20 亿元，同比分别增长64.1%、45.1%、28.7%。对应当前(2025年11月3日)收盘价的 PE分别为50、34、27 倍，首次覆盖，给予“买入”评级。风险提示重资产投入对现金流的压力、客户拓展不及预期的风险、政策与合规风险、市场竞争加剧的风险。",,中航证券,买入,[None],2025-11-03,,买入,7550840,pdf_downloads/2025/2025-11-03/300857-协创数据（300857）：存储基业固本，智算服务开新.pdf,300857,协创数据,协创数据（300857）：存储基业固本，智算服务开新
"杨烨,郑元昊",事件：公司发布2025年三季度报告，2025前三季度营业收入83.31亿元，同比增长54.43%；归母净利润6.98亿元，同比增长25.30%；扣非归母净利润6.83亿元，同比增长25.03%。三季度业绩再创新高，资产成倍扩张。3Q2025营收33.87亿元，同比增长86.43%，主要系市场需求增加，智能算力产品及服务快速发展、服务器及周边再制造业务和数据存储设备协同效益所致；归母净利润2.66亿元，同比增长33.44%；扣非归母净利润2.64亿元，同比增长36.86%，单季度营收及净利润均创上市以来新高。3Q2025公司总资产181.94亿元，较年初增长149.08%，主要系持续扩大算力投入服务下游客户需求所致；合同负债0.31亿元，同比增长60.87%；存货30.01亿元，同比增长66.86%，订单与库存快速增长。坚定信心持续加码算力投资，加快港股上市节奏。公司持续加码算力投入凸显竞争优势，2025年10月21日，公司发布购买资产的公告，拟向多家供应商采购不超过人民币40亿元的服务器，截至2025年10月21日，公司已披露累计服务器采购投入不超过122亿元人民币。公司积极推进港股上市节奏加速融资出海，已于10月22日正式向中国香港联交所递交H股发行上市申请，有望优化海外业务布局，增强境外融资能力，打造国际化资本运作平台。投资建议：公司持续加码算力投入，多层级增长引擎有望驱动业绩持续高增。我们预计公司2025-2027年收入为119.32/179.67/230.97亿元，归母净利润为11.09/21.31/28.92亿元，PE为52.06/27.09/19.96倍，维持“买入”评级。风险提示：新业务拓展不及预期，技术研发不及预期，供应链成本扰动等。,,财通证券,买入,[None],2025-10-31,,买入,7094473,pdf_downloads/2025/2025-10-31/300857-协创数据（300857）：收入和资产高速增长，算力蓝图持续展开.pdf,300857,协创数据,协创数据（300857）：收入和资产高速增长，算力蓝图持续展开
