author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
陈照林,核心观点广铁核心资产广深铁路系广铁集团旗下核心上市平台，业务范围覆盖铁路客运、货运、路网清算等，系国铁内唯一实现A/H两地上市的铁路运输企业。2024年广深铁路总收入270.9亿元（同比+3.4%），归母净利润10.6亿元（同比+0.2%）。收入分拆来看客运业务收入110.0亿元，占总收入比例为40.6%，路网清算业务收入126.9亿元，占收入46.8%。直通车业务成为新增长点广深的客运收入分为广深城际、直通车、长途车三项。“新冠”期间，往来内地与香港间的列车全部暂停跨境运营。2023年1月广深港高铁福田至香港西九龙段恢复运营，公司过港直通车业务自此实现加速发展，从2019年的2.6亿收入提升到2024年的22.6亿。其在客运收入中的占比从2019年的3.3%提升至2024年的20.6%。广州东站改造落地，高铁化进程提速根据2025年7月公告，广铁集团、广州市政府及广深铁路三方达成协议推进广州东站改造项目。公司拟以改造后保留既有功能的产站资产及土地资产作价52.09亿元投入项目公司，拟获得项目公司38.65%的股权，且协议规定，广州东站建成后，铁路运输部分将委托广深铁路进行运营。短期看，项目建设过程中或将为公司带来资产评估增值的一次性收益，长期看，为公司全面介入广州枢纽的高铁运营铺平了道路。投资建议我们认为广深铁路处于广深枢纽升级、高铁化加速的历史时期，直通车复通升级为高铁经营业绩亮眼，广州东站高铁化改造在即，公司在股权/资产/业务层面即将全面进入高铁时代，公司盈利有望提升。我们预计广深铁路2025-2027年归母净利润分别为12.7、13.6、14.5亿元，对应当前PE分别为18.7、17.5、16.3倍。参考可比铁路上市公司大秦铁路、京沪高铁、铁龙物流的2025年平均PB为1.09，公司2025年预计PB为0.87，小于可比公司均值。首次覆盖，给予“买入”评级。风险提示宏观经济不及预期，担当车次不及预期，新建线路分流，广州东站改造不及预期,,甬兴证券,买入,[None],2025-10-21,,买入,7038017,pdf_downloads/2025/2025-10-21/601333-广深铁路（601333）：深度报告：广铁枢纽高铁化加速.pdf,601333,广深铁路,广深铁路（601333）：深度报告：广铁枢纽高铁化加速
"李蔚,李天琛","事件 公司发布2025 年半年报。2025H1，公司实现营业收入139.7 亿元，同比增长8.1%，实现归母净利润11.1 亿元，同比增长21.6%。其中2025Q2，公司实现营业收入70.7 亿元，同比增长11.8%，实现归母净利润6.4 亿元，同比增长75.4%。 H1 直通车与长途车业务收入实现同比较快增长2025H1，公司客运收入实现56.16 亿元，同比增长2.77%；广深城际列车/直通车/ 长途车旅客发送量分别为1236.93/49.81/2075.32 万人， 同比分别-5.65%/+3.95%/-1.63%, 分别实现收入13.19/12.40/28.69 亿元， 同比分别-18.83%/+17.71%/+16.53%。因梅龙铁路、广汕铁路等高铁新线开通后铁路运行图调整和高铁分流的影响，广深城际列车和普速长途车的旅客发送量和收入同比下降；公司积极组织增开广州东至香港西九龙过港直通车、京广-广深港跨线动车组列车，带动直通车和长途跨线动车收入实现同比增长。 铁路货运路网清算单价提高带动路网清算服务收入同增15%2025H1，公司管内各站货物发送量为764.36 万吨，同比增长17.07%，货运收入实现8.42 亿元，同比增长6.60%。受益于全国铁路货运路网清算服务的清算单价有所提高，H1 路网清算服务收入实现26.23 亿元，同比增长14.58%；委托运输服务收入实现40.75 亿元，同比增长8.87%，主因公司为其他铁路公司（线路）提供的铁路运营服务、乘务服务等委托运输服务工作量增加。 广州东站拟进行升级改造，公司资产预计迎来价值重估据公司公告，广州东站拟进行升级改造，改造后将广汕铁路、赣深高铁、广珠澳高铁、广深高铁新通道等引入广州中心城区，项目总投资约166.6 亿元，公司股比约为38.65%。基于广州铁路枢纽新建站场及相关配套工程需要，广州市白云区征地办需征收公司所拥有的京广铁路大朗站至棠溪站南场之间部分既有资产，预计将一次性增加公司非经营性税前利润约3.1 亿元。 盈利预测与投资建议 考虑到公司客货运业务有望进一步增长以及资产价值重估贡献收益，我们预计公司2025-2027 年营业收入分别为282.48/292.09/302.04 亿元，同比增速分别为4.28%/3.40%/3.41%；归母净利润分别为13.15/13.81/14.62 亿元，同比增速分别为24.00%/5.04%/5.87%；EPS 分别为0.19/0.19/0.21 元。伴随广州东站和广州站计划进行升级改造，公司有望全面迈入高铁运营领域，维持“增持”评级。 风险提示：客流增长不及预期；新开线路运能不及预期；路网分流。",,国联民生证券,增持,[None],2025-09-09,,增持,6407724,pdf_downloads/2025/2025-09-09/601333-广深铁路（601333）：业绩略超预期，客货运业务实现双增长.pdf,601333,广深铁路,广深铁路（601333）：业绩略超预期，客货运业务实现双增长
"吴一凡,梁婉怡,吴晨玥,霍鹏浩,卢浩敏,李清影","公司公告 2025 年半年度报告：1）2025 年上半年，公司实现营业收入 139.69
亿元，同比增长 8.08%；归母净利润为 11.09 亿元，同比增长 21.55%；扣非后
归母净利润 10.58 亿元，同比增长 17.44%。2）分季度看，2025Q1、Q2 公司
分别实现营业收入 68.96、70.73 亿元，同比分别+4.47%、+11.84%；归母净利
润 4.68、6.41 亿元，同比分别-14.4%、+75.38%；扣非后归母净利润 4.16、6.42
亿元，同比分别-23.02%、+78.14%。3）经营效率：2025H1，公司毛利率 10.41%，
同比下降 0.24pct，期间费用率 0.95%，同比上升 0.17pct。分业务看：1）客运业务：上半年客运收入 56.16 亿，同比+2.77%，其中广深城际列车收
入 13.19 亿，同比-18.83%；直通车收入 12.4 亿，同比+17.71%，长途车 28.69
亿，同比+16.53%；
上半年总旅客量 3362.06 万，同比-3.07%，其中广深城际 1236.93 万，同比5.65%，直通车 49.81 万，同比+3.95%，长途车 2075.32 万，同比-1.63%。2025
年上半年，因梅龙铁路、广汕铁路等高铁新线开通后铁路运行图调整和高铁分
流的影响，公司组织开行的广州东至潮汕（梅州西）跨线动车组列车、普速长
途车有所减少，公司既有担当的广州（东）至深圳城际列车、广州东至潮汕（梅
州西）跨线动车组列车和普速长途车的客座率亦有所下降，因此广深城际列车
和普速长途车的旅客发送量和收入出现下降；但公司增开广州东至香港西九龙
过港直通车、京广-广深港跨线动车组列车，带来直通车和长途跨线动车收入
有较大幅度的增长，因此整体客运收入仍有所增长。2）货运业务：上半年货运收入 8.42 亿，同比+6.6%，其中运费收入 6.44 亿，
同比-8.17%，货运其他收入 1.98 亿，同比+123.67%。上半年总货物发送量 764.36 万吨，同比+17.07%，公司管内各站发送的煤炭、
集装箱等货物有所增加，货物接取送达和装卸等两端服务收入随之增加3）提供运输服务业务：上半年路网清算业务收入 26.23 亿，同比+14.58%。主
要因铁路路网市场化清算体系改革，全国铁路货运路网清算服务的清算单价有
所提高。委托运输服务收入 40.75 亿，同比+8.87%。投资建议：1）盈利预测：考虑当前客货运业务情况变化，我们调整 25-26 年
盈利预测分别为 13、13.9 亿，同时引入 27 年盈利预测为盈利 14.8 亿，对应
2025-27 年 EPS 分别为 0.18、0.2、0.21 元，对应 PE 分别为 18、17 和 16 倍。
2）投资建议：我们认为公司是 PB 破净的潜力资产，公司近年来过港直通车
升级、加开跨线车、以及未来广州站与广州东站的改造项目或对公司经营带来
全新增长空间。铁路是永续经营资产，未来具备盈利提升、现金流改善，分红
提升的可能性，我们参考公路港口等泛红利资产平均 PB 在 1.1 倍左右，给予
公司 2025 年预计净资产 1.1 倍 PB，对应目标价 4.33 元，较当前 30%空间，
维持“推荐”评级。风险提示：经济大幅下滑，运量不及预期。",,华创证券,推荐,[None],2025-09-03,,增持,6388861,pdf_downloads/2025/2025-09-03/601333-广深铁路（601333）：2025年中报点评：25H1归母净利+21.55%，客货运收入均增长.pdf,601333,广深铁路,广深铁路（601333）：2025年中报点评：25H1归母净利+21.55%，客货运收入均增长
"沈晓峰,林霞颖",广深铁路发布半年报，2025年H1实现营收139.69亿元（yoy+8.08%），归母净利11.09亿元（yoy+21.55%）。其中Q1、Q2实现归母净利4.68亿元（yoy-14.4%）、6.41亿元（yoy+75.4%）。公司中报业绩超我们预期（8.55亿元），主因今年铁路路网实施市场化清算体系改革，货运清算单价上调产生正面影响。公司1H25盈利同比高增，主因：1）货运路网清算服务单价提高；2）在大湾区互联互通需求驱动下，公司增开过港高铁班次；3）1H录得与政府开车需求相关的补助0.8亿元。考虑广州东站拟进行高铁站改造，公司位于车站周边的闲置土地有望升值，我们对A股/H股维持增持/买入。客运：广深城际竞争力下降，但过港直通车需求强劲1H25公司客运收入同比增长2.77%。分业务看，广深城际客运量、收入同比下降5.65%、18.83%，主要受高铁新线开通后运行图调整和高铁分流影响，客座率亦有所下降。1H25过港高铁直通车客运量、收入同比增长3.95%、17.71%，主因公司在2H24新增开行了3对广州东至香港西九龙过港直通车，在1H25产生了翘尾增长。1H25长途车客运量同比下降1.65%，但收入同比增长16.53%，客量下滑主因普速长途车有所减少，不过客单价更高的长途过港高铁线路增加驱动了长途车收入增长。公司在2H24增开1对张家界至香港西九龙高铁、在1H25新增开行1对武汉至香港西九龙高铁。货运：受益于铁路路网货运清算单价上调今年铁路路网实施市场化清算体系改革，推动物流总包服务并上调货运清算单价。公司的货运通过量大于发送量，清算单价上调整体利好公司盈利改善。1H25公司货物发送量、货运收入同比增长17.07%、6.60%。公司发送煤炭、集装箱等货物量有所增加，叠加两端服务工作量增加，货运收入随之提高。因货运清算单价上调，1H25路网清算服务收入同比增长14.58%。因列车维修服务清算单价提高，公司的维修清算收入也随之增加。与之同时，公司营业成本也因货运清算单价的上调而有所上升，如设备租赁及服务费同比增长9.41%、货物装卸费同比增长211%。土地开发：核心车站实施高铁改造，车站周边土地价值有望重估公司核心车站广州东站拟进行高铁站改造。据7/26公告，广州东站改造工程项目是将广汕铁路、赣深高铁、广珠澳高铁、广深高铁新通道等引入广州中心城区的重要工程。广州东站将按照“地上+地下贯通”、14台24线的规模改造。公司将与广州市政府、广铁集团共同成立项目公司，三方股比约为38.65%、38.65%、22.7%。合作协议还包括公司所属石牌客整所土地上盖综合开发等内容。据8/29公告，因广州铁路枢纽新建站场及相关配套工程需要，广州市政府需征收公司京广铁路大朗站至棠溪站南场的部分既有资产（房屋建筑物、铁路线路和设施设备），公司预计将增加税前利润约3.1亿元。盈利预测与估值综合货运清算单价提高（正面）、车站改造期间客流转弱以及7月起广深城际阶段性降价措施（负面）、已披露的土地利润（正面），我们上调2025-2027年归母净利47%/10%/4%至13.02/12.25/13.68亿元。我们仍基于0.94/0.68xPB（2018-2024年均值上加1倍标准差）与2025E BPS 3.94元进行估值，上调A股/H股目标价至3.70元/2.94港币（前值3.65元/2.86港币）。风险提示：出行意愿转弱、路网分流、资本开支超预期、人工成本大幅上涨。,,华泰证券,增持,[None],2025-09-01,,增持,6375945,pdf_downloads/2025/2025-09-01/601333-广深铁路（601333）：清算改革与过港高铁驱动业绩高增长.pdf,601333,广深铁路,广深铁路（601333）：清算改革与过港高铁驱动业绩高增长
"胡光怿,杨蕊",投资要点推荐逻辑：1）铁路客运量提升，价格机制逐步完善。截止5月，全国铁路完成旅客发送量18.6亿人，同比增长7.3%，完成货物发送量21.2亿吨，同比增长1.7%。广深铁路属国家铁路的特定运营线，具有一定自主定价权。2）公司是大湾区铁路运输龙头。公司客运业务主要包括广深城际列车（含广州东至潮汕跨线动车组）、长途车和过港直通车运输业务，2024年公司客运实现营业收入110亿元。3）铁路委托运输服务已成为公司一个新的业务增长点。2011到2024年复合增速较快，委托运输服务从2011年实现收入10亿元发展到2024年实现收入80.2亿元。铁路客运量提升，价格机制逐步完善。我国铁路运输量保持稳健增长，2025年以来，铁路运量持续创新高，截止5月，全国铁路完成旅客发送量18.6亿人，同比增长7.3%，完成货物发送量21.2亿吨，同比增长1.7%。我国铁路运价定价模式从政府统一定价逐渐向政府指导价转变。广深铁路属国家铁路的特定运营线，具有一定自主定价权。公司大湾区铁路运输龙头。旅客运输是公司主要的运输业务，公司客运业务主要包括广深城际列车（含广州东至潮汕跨线动车组）、长途车和过港直通车运输业务，2024年公司客运实现营业收入110亿元，占比为40.6%。铁路委托运输服务已成为公司一个新的业务增长点。自2009年12月武广铁路开通运营以来，公司已经为武广客专、广珠城际、广深港客专、广珠铁路、厦深铁路、广东铁路、南广铁路、贵广铁路、珠三角城际、茂湛铁路、深茂铁路、梅汕客专、广石铁路、赣深铁路、南沙港铁路、博贺港铁路、广汕铁路和梅龙铁路等其他铁路公司提供该项服务，未来，随着“粤港澳大湾区”一系列高速铁路和城际铁路的陆续建成并投入运营，公司提供铁路委托运输服务的区域范围将更加广泛。2011到2024年复合增速较快，2024年委托运输服务实现收入80.2亿元。盈利预测与投资建议。预计公司2025-2027年归母净利润分别为11.1亿元（+4.7%）、11.6亿元（+4.6%）、12.4亿元（+7%），EPS分别为0.16元、0.16元、0.18元，BPS分别为3.89、4.02、4.17元。考虑到未来随着经济逐步修复，旅客以及货运消费需求回暖将带动相关物流服务进一步增长，公司拥有湾区核心资产，网络价值将得到重估，我们给予公司2026年0.9倍PB，对应目标价3.62元，首次覆盖，给予“买入”评级。风险提示：宏观经济风险、运输安全风险、市场竞争风险等。,,西南证券,买入,[None],2025-07-16,,买入,6253947,pdf_downloads/2025/2025-07-16/601333-广深铁路（601333）：大湾区铁路运输龙头，客运货运有望进一步增长.pdf,601333,广深铁路,广深铁路（601333）：大湾区铁路运输龙头，客运货运有望进一步增长
程志峰,"事件近日，广深铁路披露2024年报。本报告期内，实现营业总收入270.9亿，同比增+3.42%；归母净利10.6亿，同比微增+0.18%；扣非归母净利10.23亿，同比增+9.49 %；基本每股收益0.15元，加权ROE为3.96%，经营活动产生的现金流量净额为27.1亿元。分红政策，公司24年拟派发现金股息约4.96亿人民币，全年分红1次，约占当年度净利润比例的46.8%；每股分红0.07元（含税）;若仅以年报披露日A股的收盘股价计算，1次分红对应股息率约为2.4%。2025年Q1业绩，营收68.96亿，同比增+4.47%，扣非归母净利润增4.16亿，同比减-23.02%。点评公司是沪港两地上市公司，A股股本56.52亿，H股股本14.31亿。业务方面，主要经营铁路客货运输业务及与香港铁路有限公司合作经营过港直通车旅客列车运输业务，并受委托为国内其他铁路公司提供铁路运输服务。具体而言，公司独立经营的深圳—广州—坪石铁路，营业里程481.2公里，纵向贯通广东省全境。其中，广坪段为京广线南段,广深段是中国内陆通往香港的主要铁路通道之一。客运和货运是公司主要业务。24全年，完成旅客发送量6911万人，同比增+16.5%;完成客运收入110亿，同比增+2.5%；客运收入增幅小于旅客发送量增幅的原因是，跨线长途动车对数同比减少，导致长途车收入有所下降-8.7%导致的。完成货物发送量1410万吨，同比降-12.1%；完成货运收入16.23亿，同比减-11.2%；货运收入的下降主因，是公司管内各站发送的大宗货物同比减少导致的。提供运输服务业务收入126.86亿，同比增4.9%，此因24年网路清算带来的增量导致。投资评级25年公司短期业绩承压，但随着运价浮动和广东省内高铁线路的改扩建政策，或许带来长期业绩修复，谨慎推荐，维持“增持”评级。风险提示宏观经济波动风险；运输安全风险；政策法规和市场竞争风险；",,太平洋证券,增持,[None],2025-07-06,,增持,6208689,pdf_downloads/2025/2025-07-06/601333-广深铁路（601333）：2025Q1季报点评：季报利润承压，期待下半年上量.pdf,601333,广深铁路,广深铁路（601333）：2025Q1季报点评：季报利润承压，期待下半年上量
李蔚,事件公司发布2025年一季报。2025Q1，公司实现营业收入68.96亿元，同比增长4.47%，实现归母净利润4.68亿元，同比下降14.40%。2025Q1公司客/货运量同比分别-6.4%/+2.8%2025Q1，公司客运发送量为1687.65万人，同比下降6.4%，其中城际列车/直通车/其他车分别发送旅客593.38/25.06/1069.20万人，同比分别变动-9.0%/+2.8%/-5.1%，客流需求边际减弱。Q1公司完成货运量1889.83万吨，同比增长2.8%，其中完成货物接运量1532.82万吨，同比增长1.0%，完成货物发送量357.01万吨，同比增长11.2%。2025Q1毛利率同比下降2.6pct2025Q1，公司营业收入为68.96亿元，同比增长4.47%，营业成本为62.32亿元，同比增长7.53%。2025Q1，公司毛利率为9.63%，同比下降2.57pct；Q1管理费用/财务费用分别为0.51/0.17亿元，同比变动+33.49%/+214.13%。公司归母净利率为6.79%，同比下降1.50pct。盈利预测与投资建议我们预计公司2025-2027年营业收入分别为279.31/285.39/292.42亿元，同比增速分别为3.10%/2.18%/2.46%；归母净利润分别为11.12/11.55/12.17亿元，同比增速分别为4.85%/3.91%/5.37%；EPS分别为0.16/0.16/0.17元。鉴于后续广州东站和广州站计划进行升级改造，公司有望全面迈入高铁运营领域，维持“增持”评级。风险提示：客流增长不及预期；新开线路运能不及预期；路网分流。,,国联民生证券,增持,[None],2025-05-08,,增持,6637851,pdf_downloads/2025/2025-05-08/601333-广深铁路（601333）：Q1盈利下降14.4%，客运量有所承压.pdf,601333,广深铁路,广深铁路（601333）：Q1盈利下降14.4%，客运量有所承压
李蔚,事件公司发布2024年年报。2024年，公司实现营业收入270.90亿元，同比增长3.42%，实现归母净利润10.60亿元，同比增长0.18%。其中2024Q4，公司实现营业收入70.60亿元，同比增长0.63%，实现归母净利润-1.49亿元，同比下降479.00%。2024年公司每股派息0.07元（含税），同比2023年持平，分红率为46.77%。客运及运输服务收入实现同比增长2024年公司客运收入实现109.96亿元，同比增长2.50%，其中广深城际列车/直通车/长途车分别实现收入31.98/22.63/49.27亿元，分别同比变动+0.90%/+44.87%/-8.72%。主因公司组织开行的跨线长途动车对数同比减少，导致2024年长途车收入同比下降。随着其他铁路公司组织开行至公司管内各站的旅客列车对数增加，公司提供的路网清算服务及委托运输服务增加，2024年实现提供运输服务收入126.86亿元，同比增长4.90%。大宗货物发送量同比减少导致货运收入下降11%2024年公司管内各站货物发送量为1409.98万吨，受国内经济结构优化调整和珠三角地区传统产业转型升级等因素影响同比下降12.05%。受运输货量下降影响，2024年货运业务实现收入16.23亿元，同比下降11.23%。过港列车开行数增加带动设备租赁费用同增5%2024年公司营业成本为253.83亿元，同比增长3.38%。其中工资福利/设备租赁及服务费分别为90.87/86.82亿元，同比增长2.14%/5.04%，主因政策性工资调整、社保缴费基数和缴费比例提高导致工资福利支出增加，以及公司组织开行的旅客列车和提供铁路委托运输服务工作量增加，导致相应的设备租赁及服务费等支出随之增加。盈利预测与投资建议考虑到成本端有所扰动，我们预计公司2025-2027年营业收入分别为279.31/285.39/292.42亿元，同比增速分别为3.10%/2.18%/2.46%；归母净利润分别为11.12/11.54/12.14亿元，同比增速分别为4.92%/3.75%/5.22%；EPS分别为0.16/0.16/0.17元。鉴于后续广州东站和广州站计划进行升级改造，公司有望全面迈入高铁运营领域，维持“增持”评级。风险提示：客流增长不及预期；新开线路运能不及预期；路网分流。,,国联民生证券,增持,[None],2025-04-04,,增持,6686758,pdf_downloads/2025/2025-04-04/601333-广深铁路（601333）：2024年盈利同增0.2%，Q4业绩低于预期.pdf,601333,广深铁路,广深铁路（601333）：2024年盈利同增0.2%，Q4业绩低于预期
"沈晓峰,林霞颖","2025年3月28日│中国内地/中国香港 铁路运输 广深铁路发布2024年报，实现营收271亿元（yoy+3.4%），归母净利10.6亿元（yoy+0.2%）。其中Q4实现营收70.6亿元（yoy+0.6%，qoq-0.6%），录得归母净亏损1.49亿元（23年Q4为盈利0.39亿元）。公司年报业绩低于我们预期（14.45亿元），差异主因24年下半年客流增长转弱以及营业成本高于预期。公司拟派发2024年含税股息0.07元/股（同比持平），分红比例达到47%，对应A/H股的股息率为2.3%、3.9%。考虑广州站和广州东站拟进行高铁站改造，公司位于车站周边的闲置土地有望升值，同时公司亦有望升级高铁客运产品，我们对其A股/H股维持“增持”/“买入”评级。客运：24年下半年客流增长势头趋缓24年公司客运收入同比增长2.5%，其中1H/2H收入同比增长2.7/1.1%。分业务看，1H广深城际列车收入在低基数上同比增长8%，但2H收入转为同比下降2%。“港人北上”需求催化过境高铁客流增长，1H过港直通车收入在低基数上同比增长100%，2H收入同比增长2%。24年长途车收入同比下降9%，其中1H收入同比下降18%，主因公司开行的跨线长途动车对数同比减少，2H收入转为同比增长3%。因铁路客运需求回升，24年路网清算服务收入同比增长9%，与全国铁路客运量12%的同比增幅相近。公司代运营工作量增加，24年委托运输服务收入同比增长2.6%。货运：大宗商品货运需求相对平淡受国内经济结构调整和珠三角地区传统产业升级等因素影响，公司煤炭、金属矿石、钢铁、工业机械等大宗货物的发送量同比减少，引起货运收入下滑。24年公司货物发送量、货运收入分别同比下降12%、11%。成本：综合成本偏刚性上涨公司24年营业成本同比增长3.4%。其中，员工薪酬（占成本38%）同比增加2.1%，尽管在职员工人较上年末下降3.5%；因过港直通车与长途过港高铁开行班次增加，设备租赁及服务费（占成本34%）同比增长5%。盈利预测与估值公司官网披露2025年1-2月运输数据，广深城际/直通车/长途车客运量同比-8.6/+4.9/-6.8%。考虑客流边际转弱，我们下调2025-2026年归母净利润(44%,34%)至8.84亿元、11.17亿元，并引入2027年预测为13.13亿元。我们基于0.94/0.68x PB（2018-2024年均值上加1倍标准差）与2025E BPS 3.88元进行估值（前次为1.07/0.82x 2024E PB），下调A股/H股目标价至3.65元/2.86港币（前值4.13元/3.47港币）。风险提示：出行意愿转弱、路网分流、资本开支超预期、人工成本大幅上涨。",,华泰证券,增持,[None],2025-03-28,,增持,5966480,pdf_downloads/2025/2025-03-28/601333-广深铁路（601333）：盈利低于预期，客流增长转弱.pdf,601333,广深铁路,广深铁路（601333）：盈利低于预期，客流增长转弱
曾智星,"公司发布2024年三季报。2024年前三季度，公司实现营收200亿元，同比增长4.4%，其中第三季度实现营收71亿元，同比增长4.5%；前三季度公司实现归母净利润12.1亿元，同比增长18.7%，其中第三季度实现归母净利润2.97亿元，同比降低13.04%。Q3客流增速回落，广深城际客流减少2024年前三季度，公司发送旅客量5419万人次、同比增长20%，其中广深城际/直通车/其他车旅客量分别1985/83/3351万人次，同比分别增长15%/49%/23%；货运量5887万吨，同比增长7%。2024Q3，公司发送旅客量1951万，同比增长4%，其中广深城际/直通车/其他车同比分别-1%/+16%/+7%，货运量2092万吨，同比增长7%。前三季度客流量高速增长，但Q3增速回落明显，受去年高基数影响，公司Q3客运表现与行业趋势趋同；货运增速稳健。营业成本、财务费用上涨削弱Q3盈利2024Q3，公司营业成本同比增长5.5%，略快于收入端增幅，基于上半年公司客流量增长强劲，预计Q3公司开行车次延续高位、导致业务成本增长，但实际需求增速回落影响了产能转化；期间费用率0.77%，同比上升0.24pcts,在管理费用同比略降情况下，主要受财务费用净增加2022万元影响而削弱了利润。前三季来看，公司净利率仍高于上年同期。投资建议+7.7%/+5.7%/+5.7%；归母净利润分别为14.0/15.4/16.4亿元，同比分别+32.3%/+9.9%/+6.3%。EPS分别为0.20/0.22/0.23元。后续广州站和广州东站改建为高铁站，公司有望全面迈入高铁运营领域，维持“增持”评级。风险提示：客流增长不及预期，新开线路运能不及预期，路网分流。",,国联民生证券,增持,[None],2024-11-11,,增持,5827028,pdf_downloads/2024/2024-11-11/601333-广深铁路（601333）：Q3客流增速回落，全年业绩预计仍上行.pdf,601333,广深铁路,广深铁路（601333）：Q3客流增速回落，全年业绩预计仍上行
"李丹,卢骁尧",公司公告2024年三季报：Q3营收71.05亿元，同比增加4.5%，实现归母净利润2.97亿元，同比下降13%，扣非归母净利润2.93亿元，同比下降13%。 前三季度合计营收200.3亿元，同比增加4.4%，归母净利润12.09亿元，同比增加18.7%，扣非归母净利润11.94亿元，同比增加19.5%。经营数据：需求增速放缓，叠加23Q3高基数24Q3 客运量合计 1950万人次，同比+4%，恢复到 19 年的 82%。其中，广深城际客运量 674 万人次，同比-1%，恢复到 19 年的 64%。 过港直通车客运量 27 万人次，同比+16%，恢复到 19 年的 65%。长途车客运量 1249 万人次，同比+7%，恢复到 19 年的 97%。货运业务：24Q3货运量 2092万吨，同比增加 7%，较 19Q3 增加 42%。过港直通车业务曾在 2021-2022 年期间暂停运营，2023 年起直通车业务改为高铁动车组列车、线路改为广深港高铁香港段。（根据公司披露，公司目前承运有广州、肇庆、湛江、潮汕、汕头、厦门、昆明、重庆、长沙、北京往返香港西九龙的过港高铁车次。）成本增速高于收入24Q3营业成本66.3亿元，同比增加5.5%，预计公司高铁开行列次增加，导致高铁设备租赁及服务费、物料及水电消耗同比大幅提升导致。十一黄金周广铁集团客运量火爆，Q4业绩可期2024年国庆黄金周7天，广铁集团共发送旅客1867万人次，日均发送旅客267万人次，同比增长2.9%，同比19年增长36.4%，有望驱动公司Q4业绩提升。盈利预测与估值预计公司 2024-2026 年归母净利润 13.3、14.1、15.1 亿元，对应 EPS 分别为0.19、0.20、0.21 元。过去公司主要经营城际列车和绿皮车，未来随着赣深高铁和广汕高铁接入，以及广州站和广州东站或改建为高铁站，公司有望完全进入高铁运营领域，带来业绩、估值双升，维持“增持”评级。风险提示新开通高铁车次数量不及预期、其他高铁线路分流等。,,浙商证券,增持,[None],2024-10-31,,增持,5810902,pdf_downloads/2024/2024-10-31/601333-广深铁路（601333）：2024年三季报点评：Q3归母净利润同比下降13%，成本端拖累业绩.pdf,601333,广深铁路,广深铁路（601333）：2024年三季报点评：Q3归母净利润同比下降13%，成本端拖累业绩
