author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
陈拓,投资要点：申能股份发布公司2025年第三季度报告。2025年第三季度，公司实现营业收入79.74亿元，同比减少8.27%；归母净利润12.38亿元，同比增长13.64%。2025年前三季度，公司实现营业收入209.32亿元，同比减少6.64%；归母净利润33.15亿元，同比增长1.04%；经营活动产生的现金流量净额73.19亿元，同比增长19.39%；加权平均净资产收益率8.74%，较2024年同期减少0.7个百分点。严控成本，营收承压下利润稳健增长公司为全国电力能源行业第一家上市公司。公司2025年前三季度营收同比减少6.44%，但归母净利润实现同比1.04%的正增长。其中第三季度单季净利润同比增长13.64%，反映盈利质量持续改善。营收下滑主要受电力市场化竞争导致上网电价下降及部分传统能源业务调整影响，但成本端显著优化。第三季度营业成本同比降低12.96%，燃料成本管控与煤电效率提升，助力毛利率修复。2025年上半年控股电厂平均供电煤耗282.5克/千瓦时，平均耗用标煤价841元/吨，同比下降143元/吨。同时，高毛利的新能源业务贡献增强，前三季度风电、光伏发电量分别同比增长21.2%、8.4%，装机占比提升至36.4%。财务费用持续下降，助力公司业绩企稳公司前三季度财务费用7.18亿元（同比减少17.72%），财务费用率3.34%（较2024年同期减少0.61个百分点）；其中第三季度财务费用2.41亿元（同比减少9.54%），财务费用率3.02%（较2024年同期减少0.04个百分点）。发电业务结构低碳转型，发电效率提升公司通过煤电“三改联动”、新能源产能扩张，实现发电业务结构性突破。2025年前三季度控股发电量433.74亿千瓦时（同比减少2.6%），其中煤电发电量297.96亿千瓦时（同比减少5%），气电60.28亿千瓦时（同比减少10%），风电48.76亿千瓦时（同比增加21.2%），光伏26.74亿千瓦时（同比增加8.4%）。截至2025年三季度末，公司控股装机容量1859.39万千瓦，同比增加8.7%。其中煤电840万千瓦（占比45.18%），气电342.56万千瓦（占比18.42%），风电343.02万千瓦（占比18.45%），光伏发电244.06万千瓦（占比13.13%），分布式供电84.50万千瓦（占比4.54%），独立储能5.25万千瓦（占比0.28%）。油气勘探增储稳步实施，新能源项目加快推进公司控股的上海油气公司负责东海平湖油气田项目的建设与经营；投资的天然气管网公司负责上海地区唯一的天然气高压主干管网系统的建设运营；全资子公司新疆油气公司负责新疆塔里木盆地柯坪南2566平方公里油气区块的勘查和开发。同时，公司加速推进海南CZ2一期（60万千瓦）、新疆风光基地、临港海光基地等大基地项目，持续推进蒙电入沪、抽蓄、星火储能示范基地一期项目等项目。探索氢电融合发展，加快拓展生物质上游资源，推动构建产业链，形成“风光储氢”多能协同格局。通过上海天然气高压管网的独占性优势与平湖油气田增储，公司进一步巩固长三角能源枢纽地位，为长期增长提供确定性。上市以来累计现金分红金额超247亿元公司自1993年上市以来，每年坚持现金分红，累计现金分红金额247.14亿元，整体分红比例为46.9%。其中，过去三年（2021至2024年度），公司分别现金分红7.86亿元、19.58亿元、22.02亿元，股利支付率分别为72.57%、56.6%、55.84%。截至2025年11月6日收盘，公司2024年度每股现金分红0.45元，对应的股息率为5.3%。盈利预测和估值预计公司2025-2027年归属于上市公司股东的净利润分别为39.93亿元、41.41亿元和43.26亿元，对应每股收益为0.82、0.85和0.88元/股，按照2025年11月6日8.49元/股收盘价计算，对应PE分别为10.41X、10.03X和9.61X，考虑到公司估值水平和行业发展前景，首次覆盖，给予公司“增持”投资评级。风险提示：新能源项目落地不及预期；电价市场化竞争加剧；油气勘探开发进展缓慢；宏观经济波动影响能源需求；其他不可预测风险。,,中原证券,增持,[None],2025-11-07,,增持,7567475,pdf_downloads/2025/2025-11-07/600642-申能股份（600642）：2025 年三季报点评：严控成本，营收承压利润稳健增长.pdf,600642,申能股份,申能股份（600642）：2025 年三季报点评：严控成本，营收承压利润稳健增长
"袁理,任逸轩",事件：公司公布2025年三季报。2025Q1-3归母同增1.04%，扣非归母同增7.85%。2025年前三季度公司实现营业收入209.32亿元，同比降低6.44%；归母净利润33.15亿元，同比增长1.04%；扣非归母净利润31.69亿元，同比增长7.85%。2025Q1-3发电量同减2.6%，风光装机成长，新能源发电量增长显著。2025前三季度公司控股发电企业完成发电量433.74亿千瓦时，同比减少2.6%。其中：1）煤电完成297.96亿千瓦时，同比减少5.0%，主要是受发电结构影响。2）天然气发电完成60.28亿千瓦时，同比减少10.0%，主要是发电用天然气安排影响。3）新能源：风力发电完成48.76亿千瓦时，同比增加21.2%；光伏及分布式发电完成26.74亿千瓦时，同比增加8.4%；光伏及分布式发电完成26.74千瓦时，同比增加8.4%，主要是公司新能源项目装机规模同比增长。截至2025/9/30，公司控股装机容量为1859.39万千瓦，同比增加8.7%。其中煤电840万千瓦（同比持平），占45.18%；气电342.56万千瓦（同比持平），占18.42%；风电343.02万千瓦（同比增加100.24万千瓦），占18.45%；光伏发电244.06万千瓦（同比增加19万千瓦），占13.13%；分布式供电84.50万千瓦（同比增加23.5万千瓦），占4.54%；独立储能5.25万千瓦，占0.28%燃料成本优化明显，毛利润同增10.39%。2025Q1-3营收209.32亿元，同比-6.44%，我们预计是发电量同比有所下降以及电价有所下行所致，营业成本161.52亿元，同比-10.48%，营业成本下降幅度较大。公司实现毛利润47.80亿元（同比+10.39%，同增4.50亿元）。上海区位优质电价有支撑，火电板块盈利有望持续提升。现金流稳健，财务费用下降，资产负债率54.23%。2025年前三季度公司经营活动产生的现金流净额73.19亿元，同比增长19.39%，现金流表现较好；投资活动净现金流-37.71亿元（24年同期为-34.58亿元），资本开支维持，支撑良性成长；财务费用7.18亿元，同比下降17.72%。截至2025/09/30，公司资产负债率54.23%，资产结构稳健，现金流良好，红利属性彰显，为绿色转型提供有力支撑。盈利预测与投资评级：我们维持2025-2027年预测公司归母净利润40.5/41.4/43.0亿元，2025-2027年PE为9.9/9.7/9.4倍（2025/10/30），火电红利标杆，维持“买入”评级。风险提示：区域用电需求波动，煤炭价格天然气价格波动，电改趋势下电价的波动。,,东吴证券,买入,[None],2025-11-01,,买入,7133220,pdf_downloads/2025/2025-11-01/600642-申能股份（600642）：业绩增速提升，燃料成本优化、新能源成长扩张.pdf,600642,申能股份,申能股份（600642）：业绩增速提升，燃料成本优化、新能源成长扩张
"袁理,任逸轩",事件：公司公布2025年中报。2025H1归母同减5.23%，扣非归母增长。2025H1公司实现营业收入129.58亿元，同比下降5.28%；归母净利润20.77亿元，同比下降5.23%；扣非归母净利润18.84亿元，同比增长2.20%。2025H1发电量同减1.7%，新能源持续成长。2025H1公司控股发电量完成259.51亿千瓦时，较去年同期减少1.7%。其中：1）煤电：完成发电量178.7亿千瓦时，同减6.8%，主要是受发电结构影响；2）气电：完成31.32亿千瓦时，同增3.5%，主要是用电需求增长及发电用天然气安排影响；3）新能源：风电完成33.01亿千瓦时，同增19.9%；光伏及分布式完成16.48亿千瓦时，同增13.4%，主要是新能源项目装机规模同比增长；2025H1新能源共发电676.83万千瓦，占比36.4%，较去年同期继续提升。截至2025年6月底，公司控股装机容量1859.39万千瓦，同比增长8.71%，其中煤电840万千瓦（同比持平），气电343万千瓦（同比持平），风电343万千瓦（同增101万千瓦），光伏244万千瓦（同比持平）。燃料成本下降，优质地区电价有支撑。2025H1公司实现毛利润29.21亿元（同比+9.7%，同增2.58亿元），其中煤电实现毛利润11.94亿元（同比+31.99%，同增2.9亿元），气电毛利润3.2亿元（同比-8.8%，同减0.3亿元），风电毛利润8.36亿元（同比+8.19%，同增0.6亿元），光伏毛利润2.2亿元（同比+3.73%，同增0.08亿元）。火电板块贡献了2025H1利润的主要增长。除利用小时数提升外，燃料成本持续下降，控股电厂平均供电煤耗282.5克/千瓦时，平均耗用标煤价841元/ 吨，同比下降143元/吨。上海区位优质电价有支撑，火电板块盈利有望持续提升。现金流稳健，财务费用下降，资产负债率54.6%。2025H1公司经营活动产生的现金流净额42.06亿元，同比小幅下降5.58%，仍维持在高位。财务费用4.77亿元同比下降21.32%。资产负债率维持在54.6%，结构稳健，为绿色转型提供有力支撑。绿色能源持续扩张，储能与新能源产业链布局加速落地。2025H1公司新能源控股装机容量较去年持续提升，海南CZ2一期60万千瓦已全容量并网，新疆风光基地、临港海光等重点项目正加快推进，未来新能源投产节奏有望提速。星火储能示范基地一期项目推进尽快并网，公司同步开展绿色氢氨醇、生物质燃料等新型能源产业链探索，打造长周期成长空间。盈利预测与投资评级：我们维持2025-2027年预测公司归母净利润40.5/41.4/43.0亿元，2025-2027年PE为9.8/9.5/9.2倍（2025/8/29），火电红利标杆，维持“买入”评级。风险提示：区域用电需求波动，煤炭价格天然气价格波动，电改趋势下电价的波动。,,东吴证券,买入,[None],2025-09-01,,买入,6372380,pdf_downloads/2025/2025-09-01/600642-申能股份（600642）：煤价下行煤电利润提升，新能源持续扩张.pdf,600642,申能股份,申能股份（600642）：煤价下行煤电利润提升，新能源持续扩张
唐执敬,8月29日公司披露25年半年报，1H25实现营收129.6亿元，同比-5.3%；实现归母净利润20.8亿元，同比-5.2%。其中，2Q25实现营收56.2亿元，同比+0.2%；实现归母净利润10.7亿元，同比+3.3%。机组检修+电力消费结构调整，1H25发电量同比-1.7%、各类电源表现分化。2Q25上海用电增速达9.3%，环比大幅提升7.8pcts。用电需求改善带动公司2Q25发电量同比+6.1%、增速由负转正，其中煤电/气电/风电/光伏及分布式发电量分别同比增长1.4%/ 2.5%/37.4%/7.4%。公司海南CZ2海上风电项目于1Q25投产，代工风电发电量同比高增；气电发电量小幅增长，主因发电用气安排增加。1Q25/2Q25公司煤电发电量分别同比-12.5%/+1.4%，主因：1）外来电量增长叠加用电需求疲软，挤压Q1火电发电空间；2）公司两座电厂安排机组检修，致使有效产能减少。考虑到汛期来水较去年同期偏枯，叠加高温天气的影响和公司机组检修营销小腿，预计公司发电量增速有望延续环比提升趋势。电价降幅小于燃料成本降幅，煤电业绩持续改善。受益于上海市电力供需持续偏紧和良好的发电侧竞争格局，公司1H25平均上网电价约504元/MWh，同比仅-7元/MWh、环比+3元/MWh。而2Q25北港Q5500市场煤价同比-214元/吨、环比-90元/吨，带动公司平均耗用标煤价同比下降143元/吨至841元/吨，煤电业务毛利率同比提升6.9pcts至21.4%，度电毛利达约70元/MWh。2Q25少数股东损益同比增长约67%，或因1H25停机检修机组持股比例较高。1H25上海吴泾第二发电有限责任公司#1、淮北申能发电有限公司#3机组安排检修，导致发电量同比降幅较大。公司对前述两家子公司的持股比例分别为51%和100%，导致煤机平均持股比例被摊薄。2Q25少数股东损益达约2.5亿，同比增加近1亿元。伴随机组检修结束，下半年少数股东损益占比有望恢复常值。预计公司25~27年分别实现营收290.3/280.4/285.7亿元，实现归母净利42.7/42.4/44.8亿元，对应EPS分别为0.87/0.87/0.91元，现价对应PE估值分别为9/9/9倍，维持“买入”评级。电力需求、煤价下行程度、电力市场化改革进展、其他非流动金融资产持有期间的投资收益不及预期等。,,国金证券,买入,[None],2025-08-30,,买入,6369798,pdf_downloads/2025/2025-08-30/600642-申能股份（600642）：煤电毛利持续提升，少数股东损益暂升.pdf,600642,申能股份,申能股份（600642）：煤电毛利持续提升，少数股东损益暂升
"李蓉,唐执敬",煤价下行周期，区位优势加码火电利润弹性。销售端来看：火电资产的“区位优势”主要体现为区域供需格局和行业集中度，在市场化交易中影响量价。①区域供需：支撑性电源供给受限而用电负荷刚性增长，预计上海本地电力供需偏紧格局将延续至26年；21年以来公司煤机利用小时数不低于4800小时，且未来2年有望维持高位。②竞争格局：上海发电侧行业集中度高而稳定，公司/华能/上电/宝钢合计火电装机市占率达80%以上，且互相交叉持股。电力供需偏紧+火电行业集中度较高，上海25年中长期市场化交易电价降幅小于行业平均。成本端来看：预计25年国内煤炭产量净增约0.70~0.75亿吨，进口量小幅回落；商品煤消费需求净增量在0.5亿吨左右，供需宽松。预计全年市场煤均价在700元/吨左右，同比-156元/吨。测算当北港5500大卡煤价中枢分别为720/700/680元/吨时，公司煤电度电点火价差将分别较上年增厚10.1%/12.1%/14.1%。积极布局能源转型，高质量发展新能源。“十四五”期间，公司计划新增新能源装机800万至1000万千瓦，截至24年底距离目标下限完成进度不足50%，或因对项目收益率要求较高。公司计划加快新能源基地化、规模化开发转型，目前在建的395万千瓦新能源项目计划于25、26年间投产。海风是上海市实现碳中和的重要路径，24年29.3GW深远海风电规划已获国家批复，远期发展空间广阔。海风全天出力的特性对电力系统更加友好，且紧邻用电负荷中心消纳有保障，在新能源全面入市的背景下项目收益率仍可期。价格机制保障下，天然气管网和气电资产旱涝保收。控股子公司负责投资建设和经营管理上海地区唯一的天然气高压主干管网系统，稳定的用气量和稳定的价格机制赋予管网公司稳定的盈利能力。另外，充足的容量补偿和及时的气电价格联动保障了上海燃气机组的合理盈利。除油气管输和上海气电外，公司还参股了核电和抽蓄等稳定盈利型资产，每年稳定贡献约7亿元投资收益。公司兼具分红能力和分红意愿，上市以来累计分红比例接近50%，且未来有望进一步提高。公司股票现价对应股息率约5.0%，在火电行业中排名前列。预计公司25~27年分别实现营收298.5/286.7/291.3亿元，实现归母净利40.9/41.6/42.4亿元，对应EPS分别为0.84/0.85/0.87元，给予25年12倍PE，对应目标价10.03亿元，给予“买入”评级。电力需求、煤价下行程度、电力市场化改革进展、其他非流动金融资产持有期间的投资收益不及预期等,,国金证券,买入,[None],2025-05-19,,买入,6064289,pdf_downloads/2025/2025-05-19/600642-申能股份（600642）：公司深度研究：上海火电龙头，优质资产赋能高分红.pdf,600642,申能股份,申能股份（600642）：公司深度研究：上海火电龙头，优质资产赋能高分红
"查浩,刘晓宁,邹佩轩",事件：公司发布2024年年报与2025年一季报。其中，2024年实现营业收入296.19亿元，同比增长1.64%，实现归母净利润39.44亿元，同比增长14.04%。2025年一季度实现营业收入73.37亿元，同比减少9.09%；归母净利润10.11亿元，同比下降12.82%。煤电利用小时数再次攀升，体现公司高参数机组优势以及华东电力供需格局偏紧。公司2024年实现煤电发电量416.05亿千瓦时，同比增长3.5%，煤电利用小时数达到4953小时，同比增长150小时；气电实现发电量84.42亿千瓦时，同比增长17.6%，气电利用小时数达到2464小时，同增337小时，均主要受益于上海全社会用电量增长。新能源装机量稳步增长，利用小时数受天气影响略有下滑。公司2024年实现风电发电量54.81亿千瓦时，同比增长4.3%；光伏及分布式实现发电量30.94亿千瓦时，同比增长24.9%。新能源发电量增长主要受益于新增装机。截至2024年底，公司控股装机1795.5万千瓦，其中煤电840万千瓦（与上年持平），气电343万千瓦（与上年持平），风电283万千瓦（同比增加44万千瓦），光伏244万千瓦（同比增加31万千瓦）。2024年公司风电利用小时数2232小时，同比下降31小时，光伏利用小时数1058小时，同比下降117小时。火电业务贡献主要利润，主要系燃料成本下降，公司2024年燃煤成本同比下降3.17%。2025年一季度归母净利润同比下滑，主要系煤电机组检修以及公允价值变动损益影响。公司2025年一季度实现归母净利润10.11亿元，同比减少12.82%；扣非归母净利润8.71亿元，同比减少2.27%。归母净利润下滑一方面是机组检修因素，公司2025年一季度煤电实现发电量99.02亿千瓦时，同比减少12.5%；另一方面系公允价值变动损益的同比影响，2024年一季度公允价值变动损益为3.19亿元，2025年一季度为1.69亿元。从投资的角度，公司最大的亮点在于长期业绩稳定，可预测性较强。公司火电机组具备大规模、低煤耗特征，机组主要位于上海区域享受电价韧性、煤价弹性、供需偏紧，业绩可预测性位于火电板块前列，有望在短期享受电价稳定性、中长期在电力市场化进程中获益。短期内上海无新增煤电，新能源资源匮乏，无新投特高压，享受上海地区偏紧的电力供需格局；同时考虑到上海三产占比较高，电价承受力或许优于全国平均水平，电价政策或稳定推进。盈利预测与评级：我们预计公司2025-2027年归母净利润为40.66、42.50和43.55亿元，对应PE11、10、10倍。公司所在区域电价政策稳定，盈利预测准确较强，在火电板块中具备长期投资价值，公司2024年分红政策为每10股派息4.5元，分红比例56.27%，维持“买入”评级。风险提示：煤价大幅上行；电价政策出现不利调整；长三角用电需求波动。,,华源证券,买入,[None],2025-05-19,,买入,6063538,pdf_downloads/2025/2025-05-19/600642-申能股份（600642）：2024年业绩稳健，2025Q1受非经常性损益拖累.pdf,600642,申能股份,申能股份（600642）：2024年业绩稳健，2025Q1受非经常性损益拖累
"袁理,任逸轩",事件：公司公告2024年报和2025年一季报。2024年归母同增14%，分红率55.84%。2024年公司实现营业收入296.19亿元，同比增长1.64%；归母净利润39.44亿元，同比增长14.04%；扣非归母净利润34.78亿元，同比增长12.77%。公司拟分配现金红利22.02亿元（含税），分红率55.84%，股息率(TTM)5.1%（估值日2025/4/30）。2024年公司归母/扣非业绩稳健增长，分红率维持高位。2024年发电量同增6.4%，火电利用小时数提升&风光装机成长。2024年公司1）煤电：完成发电量416.05亿千瓦时，同增3.5%，主要是用电需求增长，煤电利用小时数4953小时，同增150小时；2）气电：完成84.42亿千瓦时，同增17.6%，主要是用电需求增长及发电用天然气安排影响，气电利用小时数2464小时，同增337小时；3）新能源：风电完成54.81亿千瓦时，同增4.3%；光伏及分布式完成30.94亿千瓦时，同增24.9%，主要是新能源项目装机规模同比增长，风电/光伏利用小时数2232/1058小时，同比下降31/117小时。截至2024/12/31，公司控股装机容量1795.5万千瓦，同比增长5.95%，其中煤电840万千瓦（同比持平），气电343万千瓦（同比持平），风电283万千瓦（同增44万千瓦），光伏244万千瓦（同增31万千瓦）。燃料成本下降，优质地区电价有支撑。2024年公司实现毛利润57.8亿元（同比+18.8%，同增9.2亿元），其中煤电实现毛利润20.9亿元（同比+49.6%，同增6.9亿元），气电毛利润7.7亿元（同比+2.0%，同增0.2亿元），风电毛利润14.8亿元（同比+5.9%，同增0.8亿元），光伏毛利润5.1亿元（同比+12.8%，同增0.6亿元）。火电板块贡献了2024年利润的主要增长。除利用小时数提升外，燃料成本持续下降，2024年公司燃煤成本，天然气成本同比下降3.17%/1.98%。2025年以来，煤炭成本加速下行。上海区位优质电价有支撑，火电板块盈利有望持续提升。公允价值变动与发电量影响业绩，2025Q1归母同降13%。2025年一季度公司实现营业收入73.37亿元，同减9.09%；归母净利润10.11亿元，同减12.82%；扣非归母净利润8.71亿元，同减2.27%，表观业绩受到公允价值变动收益影响，2025Q1公允价值变动净收益为1.69亿元（23年同期为3.19亿元）。2025Q1公司发电量144.26亿千瓦时，同减7.2%。其中，煤电99.02亿千瓦时，同减12.5%，气电22.04亿千瓦时，同增3.9%，风电16.00亿千瓦时，同增5.6%；光伏及分布式发电7.20亿千瓦时，同增22.0%。煤电因机组检修和发电结构调整影响，发电量下滑，考虑地区用电需求逐步提升，煤电发电量有望加速提升。盈利预测与投资评级：我们维持2025-2026年预测公司归母净利润40.5/41.4亿元，预计2027年归母净利润43.0亿元，2025-2027年PE为10.7/10.4/10.0倍（2025/4/30），火电红利标杆，维持“买入”评级。风险提示：区域用电需求波动，煤炭价格天然气价格波动，电改趋势下电价的波动。,,东吴证券,买入,[None],2025-05-06,,买入,6039358,pdf_downloads/2025/2025-05-06/600642-申能股份（600642）：2024年报、2025一季报点评：业绩稳健分红率56%，关注燃料成本优化与新项目投产.pdf,600642,申能股份,申能股份（600642）：2024年报、2025一季报点评：业绩稳健分红率56%，关注燃料成本优化与新项目投产
"邓永康,黎静",事件：4月30日，公司公告2024年年报及2025年一季报。2024营收296.19亿元，同比+1.64%；归母净利39.44亿元，同比+14.04%；扣非归母净利润34.78亿元，同比+12.77%，再创历史新高。单季度来看，24Q4公司收入72.47亿元，同比-0.08%；归母净利6.64亿元，同比-30.54%；扣非归母净利润5.4亿元，同比-11.11%。2025Q1实现收入73.37亿元，同比-9.09%；归母净利润10.11亿元，同比-12.82%；扣非归母净利润8.71亿元，同比-2.27%。煤电+气电+油气+核电+新能源+抽蓄多能源平行发展。2024年实现发电量491.24亿千瓦时，同比增长6.84%，上网电量472.25亿千瓦时，同比增长6.96%，上网电价479.29元/兆瓦时。截至2024年末，控股装机容量为1795.5万千瓦，同比增加5.95%。火电：发电量405.72亿千瓦时，同比增长6.09%，售电量388.38亿千瓦时，同比增长5.8%；风电：发电量54.17亿千瓦时，同比增长3.05%，售电量53.05亿千瓦时，同比增长3.41%；光伏发电：发电量31.35亿千瓦时，同比增长26.55%，售电量30.81亿千瓦时，同比增长33.18%。 25Q1煤电发电量99.02 亿千瓦时，同比-12.5%，气电22.04 亿千瓦时，同比+3.9%，风电16.00亿千瓦时，同比+ 5.6%；光伏7.20亿千瓦时，同比+22.0%。25Q1公司上网电量137.27亿千瓦时，上网电价均价0.501元/千瓦时（含税），同比下降2.2分/千瓦时。布局新疆大基地项目，推进海南60万千瓦海风项目。1）新疆大基地：公司已获取新疆塔城335万千瓦风光建设指标，其中200万光伏拟2025年投运，135万风电拟2026年投运，另有140万千瓦风电项目正在积极推进备案工作，为新疆能源结构调整注入新动力。2）海上新能源：公司积极推进海南CZ2项目建设，该项目总装机容量120万千瓦，一期60万千瓦正在推进，拟2025年6月投产。公司作为上海市属企业，受益上海当地近海及深远海规划，上海市“十四五”以来共启动6.9GW海上风电竞配，共计11个海上风电项目，其中1.1GW已公布结果，23年公司获得奉贤四期20万千瓦和东海大桥三期15万千瓦海风竞配指标。同时公司于2025年1月成功获得上海临港1#海上光伏项目建设指标，规模为49.95万千瓦。投资建议：公司多元化业务共同发展，气电+油气+煤电支撑业绩，未来海风成长性充足，我们预计25/26/27年归母净利分别为40.67/44.03/45.60亿元，25/26/27年EPS分别为0.83/0.90/0.93元，对应4月30日收盘价PE分别为11/10/9倍，维持“推荐”评级。风险提示：风光自然条件变化；电量消纳不及预期；电价波动风险。,,民生证券,推荐,[None],2025-05-05,,增持,6038523,pdf_downloads/2025/2025-05-05/600642-申能股份（600642）：2024年年报及2025年一季报点评：Q1业绩短期承压，多元化业务助力业绩增长.pdf,600642,申能股份,申能股份（600642）：2024年年报及2025年一季报点评：Q1业绩短期承压，多元化业务助力业绩增长
"王玮嘉,黄波,李雅琳,胡知",申能股份发布2024年年报和2025年一季报：2024年实现营收296.19亿元（yoy+1.64%），归母净利39.44亿元（yoy+14.04%），扣非净利34.78亿元（yoy+12.77%），其中归母净利基本符合我们预期的39.81亿元。1Q25公司实现营收73.37亿元（yoy-9.09%），归母净利10.11亿元（yoy-12.82%），归母净利超出我们预期上限的9.54亿元，主要系公允价值变动净收益1.69亿元，同比降幅（1.49亿元）低于我们预期。2024年公司DPS为0.45元（含税），分红比例55.84%，股息率5.1%。看好公司业绩韧性及高分红水平，维持“买入”评级。24年主营业务毛利率同比+2.5pp，25年煤电盈利或将充分受益于煤价下行我们测算公司2024年主营业务毛利率同比+2.5pp至19.6%，其中主要系煤电/风电板块毛利率同比提升4.9/1.2pp至15.6%/53.0%。2024年，煤电盈利能力提升主要得益于煤价下行，公司煤电单位燃料成本同比-6.4%至0.292元/千瓦时，考虑2025年以来煤价快速下降，且上海2025年年度长协电价同比降幅相较其他省份更低，我们认为2025年公司煤电盈利将迎来较高弹性。公司风电资产盈利能力优异，2024年毛利率同比提升主要系：1）风电平均上网电价（风电收入/上网电量）同比+0.3%至0.53元/千瓦时（不含税）；2）风电营业成本控制较好，同比增幅小于收入。1Q25煤电发电量阶段性下滑，后续季度同比增速有望修复1Q25，公司控股企业完成发电量144.26亿千瓦时，同比-7.2%，主要系煤电发电量因机组检修及发电结构调整影响同比-12.5%至99.02亿千瓦时（含共同控股的外高桥第二发电），气电/风电/光伏发电量均同比增长，同比增速为3.9%/5.6%/22.0%。考虑公司煤电机组检修提前，及后续迎峰度夏来临、用电需求增速有望加快，我们认为公司煤电发电量同比增速或将迎来修复。目标价10.42元，维持“买入”评级考虑1Q25公允价值变动净收益同比-47%，下调2025-26年公司公允价值变动净收益25%/50%（0.5/1.0亿元），下调2025-26年公司归母净利预测0.6%/1.1%至40.80/42.10亿元，预计2027年归母净利润为43.23亿元，对应EPS 0.83/0.86/0.88元。参考可比公司2025E PE的Wind一致预期8.8x，考虑公司业绩韧性较强、分红稳定性及分红比例高于可比公司，给予公司12.5x 2025E PE，目标价10.42元（前值：10.06元基于12x 2025E PE），维持“买入”评级。风险提示：煤价高于预期、上网电价不及预期、利用小时数不及预期、测算与实际值存在误差风险。,,华泰证券,买入,[None],2025-05-04,,买入,6037990,pdf_downloads/2025/2025-05-04/600642-申能股份（600642）：股息率5.1%，煤电盈利或迎高弹性.pdf,600642,申能股份,申能股份（600642）：股息率5.1%，煤电盈利或迎高弹性
"袁理,任逸轩",投资要点核心区域综合能源供应商，项目优质火电高股息标杆。申能股份是上海国资委控股综合能源供应商，主要从事电力和油气业务。截至2024/12/31，公司控股装机容量达到1796万千瓦，其中煤电/气电/风电/光伏/分散式供电分别达到840/343/283/244/81万千瓦。火电为公司业绩压舱石。公司深耕上海，控股火电装机中上海占比82.7%（考虑皖电东送），积极参与布局上海风光新能源项目。2020年以来，公司分红比例55%+，2021-2022年火电板块整体业绩承压下滑，公司提升2021-2022年分红率至63.9%，72.6%保障股东回报，项目优质财务稳健，是火电高股息标杆，股息率（TTM）4.41%（估值日2025/3/17）。区域优质：上海电力需求强劲，供给格局良好。根据东吴证券公用事业2025年年度策略提出2025年关注的三条线索之一，我们关注电动化+尖峰化带来的电力容量的稀缺，尤其关注区域供需。从需求来看，上海作为中国经济中心，2024年地区生产总值突破5万亿元，地区用电量1984亿千瓦时（全国占比2%），同比增加7%+，需求持续提升。从供给来看，上海外部受电占比约50%，2025-2027年上海市内火电装机增量有限，且3年内无新增输电通道投产落地。存量电源项目集中度高，项目层面交叉持股，供给格局良好。我们预计2025-2027年上海电力供需偏紧张。优质区域电量、电价有支撑。机组核心：机组优质，运营效率高。公司煤电均为大容量机组，气电均为调峰机组。基于上海电力供需，上海火电电价、利用小时数均高于全国平均。大容量先进煤电机组带来更高项目运营效率，2024H1公司供电煤耗281克/千瓦时，较全国水平约低21克/千瓦时。公司持续加强煤炭采购管理，项目股东层面绑定煤炭资源方，保障燃煤成本可靠可控。新能源持续扩张，海风海光竞配新机遇。截至2024/12/31，公司新能源装机占比提升至34%。公司加快新能源基地化、规模化开发转型，开发新疆大基地项目，推进海南海风建设，积极发参与上海市内海风海光竞配。新能源进入收获期，我们预计新疆大基地光伏2GW项目和海南CZ2海上风电0.6GW项目均有望在2025年并网贡献。上海提出深远海风是上海未来可持续发展最大的绿电资源宝库，市发改委已编制规划并获得国家批复总规模达29.3GW。2024年上海海风竞配规模达5.8GW，公司积极参与上海海风项目获取。此外，上海以“风光同场”模式进行海上光伏规划布局，项目获取同场海风企业优先，公司已获取临港1#海上光伏项目竞配建设指标，规模49.95万千瓦。盈利预测与投资建议：优质地区电量电价有支撑，火电核心资产高股息标杆。我们预计公司 2024-2026年归母净利润为39.8/40.5/41.4亿元，对应PE11.1/11.0/10.7倍（2025/03/17），首次覆盖，给予“买入”评级。风险提示：区域用电需求增长不及预期，煤炭价格波动，来水波动，电改趋势下电价的波动,,东吴证券,买入,[None],2025-03-18,,买入,5953870,pdf_downloads/2025/2025-03-18/600642-申能股份（600642）：火电红利标杆，优质地区核心资产.pdf,600642,申能股份,申能股份（600642）：火电红利标杆，优质地区核心资产
