author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘欣琦,吴浩东","本报告导读：发行规模有限，对短期股东回报影响较小，长期看则为公司构建新的国际业务增长
极、打开长期发展空间。投资要点：维持“增持”评级，调升目标价至27.71元，对应2025年1.6xPB。1月7日，公司董事会通过《审议关于公司根据一般性授权实施 H 股再融资的议案》，拟通过H股配售及转债募资约61亿港元，全部用于境外子公司增资。我们认为发行规模有限，对短期股东回报影响较小，长期看则为公司构建新的增长极、打开长期发展空间。考虑到资本市场提振，调整公司2025-2027年归母利润预测至142.0/155.7/165.7亿元（前值为159.5/160.8/164.5亿元），给予2025年1.6xPB，上调目标价至27.71元。拟分别通过H股配售及转债，增发约19.24%H股/4.31%总股本，募资额约61亿港元。1）拟配售2.19亿股H股新股，占已发行H股约12.87%，总股本约 2.88%。配售价18.15 港元，预计所得净额39.59亿港元；2）拟发行21.50亿港元零息可转换债券，到期日27年1月12日，转股价19.82港元。若全部转股，将转换成约1.08亿股H股新股，占已发行H股约6.37%，总股本约1.43%。募资将全部用于向境外子公司增资，当前国际业务是中资券商重要发力点。广发证券在上一轮行业资本补充中（2019-2022年）未能进行A/H再融资，此次H股发行预计将进一步提升资本实力，推动综合业务尤其是国际业务发展，预计增资完成后广发控股香港净资产将达到约160亿元、位列中资券商第5。同时因发行规模有限、预计对短期股东回报影响较小。催化剂：行业供给侧改革加速推进。风险提示：权益市场大幅波动。",,国泰海通,增持,[None],2026-01-12,,买入,8323528,pdf_downloads/2026/2026-01-12/000776-广发证券（000776）：构建国际业务新增长极.pdf,000776,广发证券,广发证券（000776）：构建国际业务新增长极
"舒思勤,洪希柠,方丽",拟进行H股募资，积极拓展国际业务事件概况1月7日，广发证券发布公告称，根据一般性授权与配售代理和经办人分别签订了新增H股《配售协议》与可转换债券《认购协议》，拟按每股配售价格18.15港元向符合条件的独立投资者配售本公司新增发行的2.19亿股H股，并发行本金总金额为21.5亿港元的可转换为公司H股股份的债券，合计拟募资约61亿港元。事件点评1）配售方案：本次配售股份占已发行H股的约12.87%，配售价为每股H股18.15港元，较1月6日收盘价19.81港元折价约8.38%。配售所得款项净额（扣除佣金及预计开支后）预计约为39.59亿港元。 配售完成后每股H股募集的净价（扣除佣金及预计开支后） 将约为18.08港元。2）可转债方案：初始可转债转股价为19.82港元，假设按初始转换价每股H股19.82港元悉数转换债券，债券将可转换为约1.08亿股H股，相当于公告日现有已发行H股数目的约6.37%。3）资金募集用途：本次发行所得款项净额拟全部用于公司向境外子公司增资，以支持公司的国际业务发展。在打造有国际竞争力的投行的大背景下，券商国际业务布局深化已成趋势，25H1广发证券国际业务收入同比增长75%，占营收比重为7%，低于中金公司（31%）、中信证券（21%）、华泰证券（14%）、国泰海通（10%）等同业。预计补充资本金后，广发证券能够积极拓展国际业务，提高国际业务收入占比。盈利预测、估值与评级公司募资后综合实力将提升，长期受益于基金被动化产品发展、国际化业务拓展。预计2025-2027年归母净利润增速为48%/11%/8%，BPS为17.39/18.99/20.72元，现价对应PB为1.33/1.22/1.12倍，维持“买入”评级。风险提示宏观经济大幅下行；权益市场大幅下行；投行业务修复不及预期。,,国金证券,买入,[None],2026-01-08,,买入,8316324,pdf_downloads/2026/2026-01-08/000776-广发证券（000776）：拟进行H股募资，积极拓展国际业务.pdf,000776,广发证券,广发证券（000776）：拟进行H股募资，积极拓展国际业务
"沈娟,汪煜,孙亦欣",2026年1月07日│中国内地/中国香港 证券 1月7日广发证券发布预案，拟通过H股配售并发行零息可转债的方式募集超过60亿港币，并全部用于向境外子公司增资。由于公司已于25年10月末公告筹划H股再融资（总规模不超过H股的20%），本次方案整体符合预期。若募资成功将有效补强公司资本实力，推动公司深入拓展国际化业务，经营业绩与行业排名有望更迈上新台阶。公司资管业务优势稳固，再融资补强资本与国际业务实力，维持AH股买入评级。H股配售并发行零息可转债公司拟配售2.19亿股H股，约占目前H股总股数的12.87%、AH股总股数的2.88%。配售所得款项净额预计约39.59亿港元。配售价格18.15港元/股，较1月6日（配售价格厘定日）收盘价折价8.38%，较最新收盘价（1月7日，下同）折价4.47%。配售应于交割日期（1月14日）之前完成（可延迟最多14天）。同时，拟发行本金总额为21.5亿港元的债券，到期日为2027年1月12日，可转换为公司H股股份。初始转换价为19.82港元/股，参考配售价以及债券条款后厘定，较1月6日收盘价溢价0.05%，较最新收盘价溢价4.32%。假设债券全部按初始转换价转换，将转换约1.08亿股，约占H股的6.37%、总股数的1.43%。拟全部用于境外子公司增资公司拟将募集资金全部用于向境外子公司增资，支持国际业务发展。公司国际业务以广发控股香港为核心平台，业务覆盖投行、经纪、交易及资产管理等领域；通过广发期货收购英国公司并设立广发金融交易（英国），触达欧洲市场。25H1广发控股香港实现营业收入8.55亿元、净利润5.15亿元，占集团归母净利润约8%，盈利能力较强、但相较其他龙头券商贡献度仍偏小。整体来看，公司国际业务已具备可复制、可放大的商业模式，再融资更多体现为在既有基础上夯实资本实力、推动规模扩张和功能完善，为公司中长期国际化布局奠定基础。资管业务具备较强竞争优势2025年前三季度，公司总资产/净资产/营业收入等指标已排名行业第4，归母净利润排名第5。其中资管业务收入排名第2（并表广发基金）、仅次于中信，是公司业绩的重要支撑。公司控股子公司广发基金、参股易方达基金，2家基金均为行业龙头，25Q3末规模排名第1、第3，市占率分别为6.6%、4.4%，且在主动和被动领域均衡发展。25H1公募基金对广发的利润贡献度达到16.5%，为所有券商中最高；经纪收入排名第3，公司经纪市占率维持在4%左右；投资收入排名第8，业务重视去方向化，较早增配权益OCI，且为8家场外衍生品一级交易商之一；投行排名第12，处于修复进程。盈利预测与估值考虑到本次融资仍具有不确定性，暂未纳入盈利预测。我们维持公司2025-2027年归母净利润144、165、191亿元的预测，对应EPS为1.89、2.18、2.51元，预计2026年BPS为22.05元。可比公司A/H股Wind一致预期2026E PB分别为1.18/0.98倍，考虑到公司再融资有望增强资本实力、补强国际业务竞争力，给予A/H股2026年分别至1.4/1.0倍PB估值，目标价为30.87元/26.91港币（前值为30.95元/27.15港币，对应2025年1.5/1.2倍PB估值，目标价下调主因可比公司估值下滑）。风险提示：本次再融资仍具备不确定性，权益市场波动风险。,,华泰证券,买入,[None],2026-01-08,,买入,8316084,pdf_downloads/2026/2026-01-08/000776-广发证券（000776）：再融资助力资本扩张与国际化.pdf,000776,广发证券,广发证券（000776）：再融资助力资本扩张与国际化
"高超,卢崑",事件：1月7日上午，公司公告拟按每股配售价格18.15港元向符合条件的独立投资者配售本公司新增发行的2.19亿股H股，募资净额预计约39.59亿港元，并发行本金总金额为21.5亿港元的可转换为公司H股股份的债券。稀释总股份4%、H股19%，中长期利好国际业务发展本次配售和发行可转债（转换后）一共对H股股份稀释19%，对总股本稀释4%，募资额全部用于向公司境外子公司增资，以支持国际业务发展。短期对股价尤其是港股有压制，中长期利于海外业务发展，提升整体ROE。我们维持盈利预测，预计2025-2027年公司归母净利润143/187/221亿元，同比+49%/+31%/+18%，当前股价对应PE 11.8/9.0/7.7倍，PB（LF）为1.34倍，公司旗下基金公司行业地位稳固，受益于牛市后周期基金市场beta，维持“买入”评级。配售H股稀释总股份2.88%，发行可转债悉数转换后稀释总股份1.43%1、配售H股：（1）公司配售的H股股份2.19亿股，相当于现有已发行17亿股H股的12.87%，总股份的2.88%。（2）配售价格18.15港元，较1月6日收盘价折价8.38%。（3）配售股份无限售期。（4）募资额全部用于向公司境外子公司增资，以支持国际业务发展。2、发行可转债：（1）公司拟发行于2027 年到期的本金总额为21.5亿港元的零息可转换债券，到期日为2027年1月12日（期限约1年），发行价为债券本金的101%。（2）转换价格每股19.82港元，较H股配售价18.15港元溢价约9.2%。较1月6日收盘价19.81港元溢价约0.05%。（3）可转换债券悉数转换后1.1亿股，约占现有已发行H股的6.37%，占现有总股本的1.43%。（自交割次日起可转换）（4）与配售H股相同，全部用于向公司境外子公司增资，支持国际业务发展。（5）经办人会促使债券买方在发行时同步卖空广发证券的H股，以对冲其因购买债券而承担的市场风险，公司表示不会为此进行股份回购。预计股份摊薄导致股价承压，补足国际业务资本金利好远期发展（1）本次配售和发行可转债（转换后）一共对H股股份稀释19%，对总股本稀释4%，对短期股价有负面影响，尤其是H股。历史复盘看，H股配售对券商H股有一定压制，对A股相对中性。（慢牛途中的小额再融资对股价影响预计有限）（2）中长期看，本次H股募资用于国际业务发展，补充国际子公司资本金，当前券商海外业务处于高景气阶段，国际子公司资本利用效率更快，ROE高于国内业务、杠杆上限更高，有望驱动公司中长期ROE持续提升。（3）公司是财富管理主线核心标的，易方达和广发基金利润贡献17%（2025H1），主动和被动优势突出，有望充分受益于居民财富迁移。风险提示：股市波动风险；市场竞争超预期；自营投资收益率不及预期。,,开源证券,买入,[None],2026-01-08,,买入,8317429,pdf_downloads/2026/2026-01-08/000776-广发证券（000776）：配售H股及发行可转债点评：稀释总股份4%、H股19%，中长期利好国际业务.pdf,000776,广发证券,广发证券（000776）：配售H股及发行可转债点评：稀释总股份4%、H股19%，中长期利好国际业务
"孙婷,何婷,罗宇康",事件：广发证券计划通过两项交易进行H股再融资。1）公司将按每股18.15港元，向不少于六名独立投资者配售2.19亿股新H股，预计募资约39.59亿港元。2）将发行21.5亿港元的零息可转换债券，初始转换价为每股H股19.82港元。若债券悉数转换，将可转换为约1.08亿股H股。本次募资将用于向境外子公司增资，以支持国际业务发展。配售价格存在折价，短期对公司股价存在一定压力。配售价较前一日收盘价折让约8.38%。可转债的初始转换价则较前一日收盘价溢价约0.05%。公司2025年11月26日高票通过发行H股的一次性授权议案，公司将根据市场情况和公司需要，灵活筹划并在授权范围内发行H股股份，因此市场此前已有一定预期。中长期有利于公司国际战略的执行。2006年，广发控股(香港)成立，此后经历多次增资，拥有全球证券、投行、财富管理等全业务牌照。2024年公司国际业务收入约14亿元，同比翻番。此次配售资金将用于支持公司国际业务发展，旨在直接增强境外附属公司的资本实力与抗风险能力，支持公司国际业务发展，从而更好地服务实体经济与居民跨境财富管理需求，有利于公司中长期战略的执行。政策引导下，境内券商竞相加速布局海外市场。当前监管对于券商出海持明确鼓励态度。2025年12月6日，证监会主席吴清在中证协第八次会员大会上提到，证券机构需要提升跨境金融综合服务能力，稳步推进国际化布局，包括“一带一路”沿线市场拓展，加强境内外协同，引入国际先进经验，服务跨境资源对接。得益于政策的鼓励和引导，中资券商国际化步伐正不断加速。2025年10月，山西证券公告称拟对子公司山证国际增资10亿港元，同月东兴证券公告称已完成向在港子公司东兴香港增资3亿港元。2025年12月，招商证券公告称公司董事会同意招证国际向其全资子公司分次增资不超过90亿港元。盈利预测与投资评级：资本市场改革持续优化，宏观经济逐渐复苏，带动市场投资热情回升；长期来看，证券行业未来发展的政策环境良好，公司通过配售H股及发行可转债，有望抓住机遇进一步突破。结合公司当前经营情况，我们小幅上调此前盈利预测，预计2025-2027年归母净利润分别为148/172/196亿元（前值分别为147/171/197亿元），对应增速分别为53%/16%/15%。当前市值对应PB分别为1.37/1.25/1.14倍，维持“买入”评级。风险提示：监管趋严抑制行业创新，行业竞争加剧，经营管理风险。,,东吴证券,买入,[None],2026-01-07,,买入,8315116,pdf_downloads/2026/2026-01-07/000776-广发证券（000776）：广发拟配售H股及发行可转债，募资用于拓展国际业务.pdf,000776,广发证券,广发证券（000776）：广发拟配售H股及发行可转债，募资用于拓展国际业务
"蒋峤,葛玉翔","报告摘要事件：广发证券发布2025年第三季度报告，点评分析如下：业绩概览：公司盈利实现较快增长，资产规模稳步提升。2025年前三季度，广发证券实现归母净利润109.3亿元，同比增长61.6%；实现营业收入/扣除其他业务后的营业收入分别为261.6/263.8亿元，增速为36.7%/43.4%，盈利增长势头强劲。截至2025Q3，公司总资产/归母净资产达到9,534.4/1,535.0亿元，同比增23.7%/7.5%，资本实力持续增强；经营杠杆4.8x，同比升0.5x。主营结构：公司收入结构均衡，经纪与投资业务贡献突出。2025年前三季度，公司实现经纪/投行/资管/净利息/净投资收入69.8/5.2/56.6/16.9/110.5亿元。轻资本业务中，公司经纪/投行/资管业务收入分别占比26.7%/2.0%/21.6%，同比+5.8/-0.8/-4.9pct，经纪业务占比显著提升；资本金业务中，净投资/净利息占比42.2%/6.5%，同比+4.9/-0.7pct，投资业务为收入核心支柱。盈利驱动：业绩增长主要由经纪业务与投资业务共同驱动。在市场活跃度提升的背景下，公司经纪业务收入大幅增长，投资业务亦表现强劲，同时资管、信用业务收入保持二位数增速，共同带动整体业绩显著提升；2025年前三季度，广发证券经纪/投行/资管/净利息/净投资收入分别同比+75.0%/-3.0%/+11.4%/+23.1%/+54.5%，其中经纪与投资业务成为拉动增长的双引擎。投资建议：考虑到市场整体交投活跃度提升，预计2025-2027年归母净利润分别为130/148/167亿元，同比增速分别为35%/14%/13%，对应PB分别为1.1/1.0/0.9倍，维持“买入”评级。风险提示：市场大幅波动；业务拓展不及预期；研报使用信息滞后风险。",,中泰证券,买入,[None],2025-11-02,,买入,7246653,pdf_downloads/2025/2025-11-02/000776-广发证券（000776）：25Q3点评：净利润增62%，经纪、投资带动增长.pdf,000776,广发证券,广发证券（000776）：25Q3点评：净利润增62%，经纪、投资带动增长
"刘欣琦,王思玥",维持“增持”评级，目标价26.15元。公司2025前三季度营收/归母净利润261.64/109.34亿元，同比+36.72%/61.64%；加权平均ROE同比+2.92pct至8.18%。结合最新市场环境与经营情况，上调盈利预期2025-2027年EPS为1.92/1.93/1.98元（此前为1.78/1.80/1.83元）；考虑到公司资管业务盈利步入改善阶段，在可比公司基础上给予溢价，给予公司2025年1.55xPB，目标价26.15元，对应13.62xPE。2025年前三季度，公司投资与经纪业务驱动公司业绩增长，持续扩表增厚收益。1）公司投资业务净收入同比+55.67%至101.49亿元，贡献了调整后营收（营业收入-其他业务支出）增量的47.9%；投资业务高增源自权益市场行情下，公司投资收益率同比+0.65pct至2.18%；同时，金融资产规模较2024年底+30.44%至4819.99亿元，主要为交易性金融资产相较2024年底+45.47%至3532.3亿元；2）市场股基交易活跃，经纪业务同比74.97%至69.79亿元，占调整后营收增量的39.47%。公募改革逐步深化，公司资管业务盈利有望进入持续改善阶段，且实现内地与香港的协同联动。公募改革逐步深化，行业步入高质量发展新阶段。我们认为，公司旗下公募基金品牌优势明显、创新能力行业领先，在ETF产品方面同样具备业内领先优势，预计盈利状况有望步入改善阶段。同时，公司香港子公司积极布局资管业务，有望实现特色发展，协同联动。催化剂：权益市场活跃度与行情持续向好。风险提示：权益市场大幅波动。,,国泰海通,增持,[None],2025-11-02,,买入,7249104,pdf_downloads/2025/2025-11-02/000776-广发证券（000776）：2025三季报点评：扩表增厚业绩，资管步入盈利改善阶段.pdf,000776,广发证券,广发证券（000776）：2025三季报点评：扩表增厚业绩，资管步入盈利改善阶段
"孙婷,罗宇康","投资要点事件：广发证券发布2025年三季报。2025Q1~3公司实现营业收入261.6亿元，同比+41.0%；归母净利润109.3亿元，同比+61.6%；对应EPS 1.34元，ROE 8.2%，同比+2.9pct。第三季度实现营业收入107.7亿元，同比51.8%，环比+32.0%；归母净利润44.6亿元，同比+85.9%，环比+20.3%。市场活跃度提升背景下，经纪业务收入同比高增：1）25Q1~3公司经纪业务收入69.8亿元，同比+75.0%，占营业收入比重25.5%。其中Q3单季度经纪业务收入30.6亿元，同比+149.3%。全市场日均股基交易额18723亿元，同比+108.6%。2）截至25Q3，公司两融余额1365亿元，较年初+25%，市场份额5.7%，较年初-0.1pct，全市场两融余额23942亿元，较年初+28.4%。投行业务相对稳健，Q3收入同比持平：25Q1~3公司投行业务收入5.2亿元，同比-3.0%。其中Q3单季度投行业务收入1.9亿元，同比基本持平。1）股权业务：25Q1~3公司股权主承销规模188.5亿元，同比+467.1%,排名第11；其中IPO 2家，募资规模5亿元；再融资7家，承销规模183亿元。 IPO储备项目5家，排名第8，其中两市主板1家，北交所2家，创业板2家。2）债券业务：25Q1~3公司债券主承销规模2763亿元，同比+6.2%，排名第13；其中金融债、公司债、中期票据承销规模分别为1314亿元、840亿元、258亿元。资管业务收入同比提升，易方达及广发基金优势稳固：25Q1~3公司资管业务收入56.6亿元，同比+11.4%，其中Q3单季度资管业务收入19.9亿元，同比+17.3%。截至2025H1资产管理规模2506亿元，同比+4.1%。截至25Q3，易方达基金、广发基金管理规模分别达到2.5、1.6万亿元，排名行业第1、3位。自营投资收益表现亮眼：25Q1~3公司投资收益（含公允价值）93.0亿元，同比+57.2%；Q3单季度调整后投资净收益（含公允价值、汇兑损益、其他综合收益）34.6亿元，同比+74.9%。盈利预测与投资评级：资本市场改革持续优化，宏观经济逐渐复苏，带动市场投资热情回升；长期来看，证券行业未来发展的政策环境良好，公司抓住机遇有望进一步突破。结合公司2025年前三季度经营情况，我们上调此前盈利预测，预计2025-2027年归母净利润分别为147/171/197亿元（前值分别为132/154/178亿元），对应增速分别为53%/16%/15%。当前市值对应PB分别为1.34/1.22/1.11倍，维持“买入”评级。风险提示：监管趋严抑制行业创新，行业竞争加剧，经营管理风险。",,东吴证券,买入,[None],2025-11-01,,买入,7135835,pdf_downloads/2025/2025-11-01/000776-广发证券（000776）：2025 年三季报点评：财富管理优势显著，自营投资收益增势突出.pdf,000776,广发证券,广发证券（000776）：2025 年三季报点评：财富管理优势显著，自营投资收益增势突出
"高超,卢崑",投资收益高增驱动业绩超预期2025Q1-3公司营业收入/归母净利润262/109亿元，同比+41%/+62%，好于预期，单Q3净利润环比+20%。前三季度年化加权平均ROE10.9%，同比+3.9pct，期末杠杆率（扣客户保证金）4.58倍，同比+0.52倍。前三季度经纪/投行/资管/利息净收入/投资为70/5/61/17/101亿元，同比+75%/-3%/+20%/+23%/+57%，经纪、资管、投资收益同比高增。预计2025-2027年公司归母净利润143/187/221亿元，同比+49%/+31%/+18%，对应PE 12.5/9.6/8.1倍，PB（LF）为1.39倍，公司旗下基金公司行业地位稳固，受益于牛市后周期基金市场beta，维持“买入”评级。易方达和广发基金市占率提升（1）2025Q1-3公司资管净收入61亿元，同比+20%，单Q3为20亿，同比+17%，环比+1%。据Wind，2025Q3末广发基金非货/偏股AUM9214/4323亿，同比+13%/+31%，环比+10%/+27%，市占率4.17%/4.21%，环比+0.03/+0.18pct。（2）2025Q3联营合营子公司投资收益为8.5亿，同比+65%，2025Q3末易方达非货/偏股AUM16648/10647亿，同比+22%/+24%，环比+18%/+26%，市占率7.54%/10.37%，环比+0.56%/+0.30pct。经纪和自营投资收益同比改善明显（1）2025Q1-3经纪净收入70亿元，同比+75%，单Q3为31亿，同比+149%，环比+63%。2025Q1-3市场股基ADT1.96万亿，同比+112%；2025Q3为2.5万亿，环比+66%，同比+212%。（2）2025Q1-3投行净收入5亿元，同比-3%，单Q3为2亿，环比+18%。（3）2025Q1-3公司自营投资收益93亿元，同比+57%，年化自营投资收益率3.6%（2025H1为3.7%），单Q3自营投资收益环比+24%。Q3末自营金融资产规模3933亿，同比+33%。（4）2025Q1-3利息净收入16.9亿，同比+23%，利息收入/利息支出90/73亿元，同比-1%/-5%，期末两融市占率5.74%，环比-0.17pct，市占率下降。经纪和自营投资收益同比改善明显董事会同意提请公司2025年第二次临时股东大会以特别决议批准授予公司董事会关于发行H 股股份无条件一般性授权。配发或有条件或无条件同意配发的H 股的面值总额不得超过已发行境外上市外资股（H股）的20%。公司H股股本17亿股，以上限20%的H股配发股数和10月31日H股收盘价计算，上限募资58亿人民币，稀释总股本4%。2025年1月公司向香港子公司增资21.37亿港元，2025H1广发海外业务收入11.4亿，同比+75%，公司港股募资有助于提升海外子公司资本实力，利于海外业务发展。风险提示：股市波动风险；市场竞争超预期；自营投资收益率不及预期。,,开源证券,买入,[None],2025-10-31,,买入,7121264,pdf_downloads/2025/2025-10-31/000776-广发证券（000776）：业绩超预期，H股小额增发对股价影响有限.pdf,000776,广发证券,广发证券（000776）：业绩超预期，H股小额增发对股价影响有限
"刘雨辰,耿张逸","事件广发证券发布2025年三季报，调整后，9M2025实现营业总收入261.6亿元，yoy+41.0%；归母净利润109.3亿元，yoy+61.6%；加权平均ROE8.18%，较去年同期+2.92pct。2025Q3单季度营业总收入107.7亿元，yoy+51.8%/qoq+32.0%；归母净利润44.6亿元，yoy+85.9%/qoq+20.25%。收费类业务：大资管业务显著回暖，财富管理转型深化1) 公司9M2025累计实现经纪业务收入69.8亿元，yoy+75%，占证券主营收入（剔除大宗商贸和政府补助）比重为27.3%。其中2025Q3单季度实现经纪业务收入30.6亿元，yoy+149.2%/qoq+63.0%。2）公司9M2025累计实现资管业务收入56.6亿元，yoy+11.4%。其中2025Q3单季度资管业务收入19.9亿元，yoy+17.3%/qoq+0.7%。公募业务方面，截至2025年三季度末，广发基金、易方达基金非货基AUM分别为9822亿元、17242亿元，分别yoy+20%、+26%，分别排名行业第三、第一。广发基金、易方达基金股混AUM分别为4345亿元、10955亿元，分别yoy+32%、+28%。9M2025公司经纪业务（占比27.3%）+资管业务（占比22.2%）合计占证券主营收比例为49.5%，为公司收入重要支柱。3）公司9M2025累计实现投行业务收入5.2亿元，yoy-2.8%。其中2025Q3单季度投行业务收入2.0亿元，yoy+0.5%/qoq+18.2%。（1）按发行日统计，9M2025公司境内IPO融资规模5亿元，公司境内再融资规模163亿元，再融资规模yoy+135%；（2）境内债券主承销金额2783亿元，yoy+11.6%。资金业务：投资收益表现亮眼，投资端稳健扩表1）9M2025公司投资业务实现收入93.6亿元，yoy+56.4%。其中2025Q3单季度投资业务收入41.2亿元，yoy+78.2%/qoq+40.0%。2025年三季度末公司金融资产合计规模4878亿元，qoq+17%，其中交易性金融资产规模3591亿元，qoq+23%。2）我们测算2025Q3公司年化投资收益率为3.64%,yoy+1.32pct/qoq+0.89pct。我们测算2025Q3公司投资杠杆为3.18倍，yoy+0.21倍/qoq+0.41倍,经营杠杆为4.76倍，yoy+0.55倍/qoq+0.63倍。维持广发证券“买入”评级考虑到两市交投活跃度持续提升，我们预计公司2025-2027年营收分别为321/348/372亿，分别同比+18.1%/+8.4%/+6.9%，归母净利润分别为136/155/175亿,分别同比+41.3%/+13.6%/+13.1%；EPS分别为1.79/2.03/2.30元/股。我们认为随着权益市场以及新发基金回暖，公司业绩有望持续增长，维持“买入”评级。风险提示：市场修复不及预期；流动性收紧，居民资金入市进程放缓；政策变化风险。",,国联民生证券,买入,[None],2025-10-31,,买入,7589690,pdf_downloads/2025/2025-10-31/000776-广发证券（000776）：公募业务表现亮眼，投资收益驱动业绩增长.pdf,000776,广发证券,广发证券（000776）：公募业务表现亮眼，投资收益驱动业绩增长
