author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"庄汀洲,张雄",2025年10月28日│中国内地 化学制品 浙江龙盛于10月28日发布三季报，前三季度实现营收96.7亿元，yoy-8.9%，实现归母净利14.0亿元（扣非后9.2亿元），yoy-3.2%（扣非后yoy-19.6%）；其中Q3营收31.7亿元，yoy-13.4%/qoq-3.2%，归母净利4.7亿元，yoy+4.0%/qoq-11.8%。公司Q3归母净利润基本符合我们的前瞻预期（5亿元），考虑染料及中间体产品景气回暖，叠加房地产业务收入逐步兑现，维持“增持”评级。产品价格下滑致综合毛利率下滑，静待印染行业景气修复据百川盈孚，10月28日分散/活性染料价格为17.0/22.0元/kg，处于2016年以来的相对低位，未来伴随纺服终端需求持续回暖，印染行业景气有望改善。Q3公司染料/助剂/中间体销量5.9/1.5/2.2万吨，同比-1.2%/-2.3%/-15.7%，实现营业收入17.8/2.3/6.3亿元，同比-5.2%/-5.5%/-20.9%，销售均价同比-4.1%/-3.3%/-6.3%至3.0/1.5/2.9万元/吨。受主要产品价格下行的不利影响，Q3公司综合毛利率同环比-1.6/-2.7pct至28.3%，期间费用率同环比+3.5/-4.4pct至12.7%。主业项目稳步推进，静待房产业务收入兑现房产业务方面，华兴新城主体结构施工持续推进，预计于27年9月竣工，其中博懋广场·湾上截止25H1可售套数去化率达95.1%，预计未来有望持续为公司创收。25Q3非经常性损益1.3亿元，同比增1.8亿元，系金融资产和金融负债公允价值变动损益由负转正。截至三季度末，公司合同负债125.0亿元，较上年期末增52.3亿元，系房产子公司预收售房款金额较大；在建工程较上年期末增加2.0亿元至7.5亿元，系年产2万吨H酸等主业项目稳步推进中。同时，为避免德司达整体出售并彻底解决与KIRI公司的诉讼问题，公司拟以6.97亿美元收购德司达剩余37.57%股权，交易完成后德司达将成为公司全资子公司，有望提升公司在海外染料市场的影响力。盈利预测与估值我们维持公司25-27年归母净利润21.5/23.6/24.7亿元，对应EPS为0.66/0.72/0.76元，参考可比公司25年Wind一致预期21xPE，给予公司25年21xPE，目标价13.86元（前值13.20元，对应25年20xPE），维持“增持”评级。风险提示：下游需求不及预期；房产业务现金流风险；原材料价格大幅波动。,,华泰证券,增持,[None],2025-10-29,,增持,6945295,pdf_downloads/2025/2025-10-29/600352-浙江龙盛（600352）：主业企稳地产兑现有望驱动业绩提升.pdf,600352,浙江龙盛,浙江龙盛（600352）：主业企稳地产兑现有望驱动业绩提升
余嫄嫄,"浙江龙盛Q2业绩环比高增长，中期拟现金分红公司发布2025年中报。2025H1公司实现营业总收入65.05亿元，同比降低6.47%；归母净利润9.28亿元，同比提升2.84%；扣非归母净利润5.83亿元，同比下降9.54%。2025Q2营收32.70亿元，同比降低5.71%，环比增长1.07%；归母净利润5.32亿元，同比下降24.51%，环比增长34.36%。公司发布中期分红预案，每10股拟派发现金红利2.00元（含税），对应2025H1分红比率为70.12%。染料行业有待回暖，公司行业规模和成本优势明显，保持高分红水平，维持买入评级。支撑评级的要点染料、助剂、中间体业务收入及价格小幅下滑，染料业务毛利率同比逆势提升4.40pct。2025H1公司营收同降6.47%至65.05亿元，其中第二季度营收32.70亿元，同比降低5.71%，环比增长1.07%。染料业务方面，2025年上半年公司重点发展直销业务，市场份额稳步增长，实现收入36.32亿元，同比下降3.17%；均价3.15万元/吨，同比下降3.93%；销量11.54万吨，同比小幅提升0.79%；毛利率为34.17%，同比提升4.40pct。其中，控股子公司德司达收入25.85亿元，同比下滑1.99%，净利润为2.77亿元，同比下降11.88%。中间体业务方面，在行业产能释放及美国关税影响下，公司通过降本增效和产业链延伸实现平稳发展，上半年实现收入15.05亿元，同比下滑8.38%；销售均价3.04万元/吨，同比下降3.42%；销量4.95万吨，同比下降5.14%；毛利率为29.30%，同比下滑0.62pct。助剂业务方面，上半年收入同比下滑2.37%至4.77亿元；均价同比下降3.81%至1.53万元/吨；销量同比提升1.49%至3.12万吨；毛利率同比下降1.16pct至31.12%。房地产业务方面，上半年收入同比下降11.12%至2.26亿元，毛利率同比下降5.01pct至29.82%，截至公司2025年中报，华兴新城主体结构施工持续推进，其中湾上项目可售套数去化率已达95.1%。毛利率提升，公允价值变动收益增厚盈利。2025H1公司整体毛利率为29.80%，同比提升1.87pct。费用率方面，上半年公司销售/管理/研发/财务费用率分别为5.22%/6.60%/4.71%/-0.85%，分别同比-0.05pct/+1.05pct/+0.76pct/-1.63pct，其中财务费用优化主要来自于银行贷款利息支出下降及存款利息收入增加。上半年公司公允价值变动收益为3.14亿元（去年同期为-1.42亿元）。2025H1公司净利率同比提升1.39pct至16.14%。2025H1公司经营活动净现金流为41.62亿元（去年同期为21.62亿元），主要系房款预售款增加。染料、助剂龙头优势稳固，房产业务持续推进。染料和助剂方面，公司市场份额稳居行业首位。公司于2025年审议通过《关于购买德司达全球控股（新加坡）有限公司37.57%股份的议案》，拟收购控股子公司德司达剩余股份，截至2025年中报，该项目已向国家发展和改革委员会、商务部申请备案登记。中间体方面，公司以产业链一体化为核心向其他精细化工品延伸，构筑成本优势及环保竞争力。房地产业务持续推进，优质资产有望支撑公司现金流保持充裕。估值考虑到公司主业染料盈利能力韧性较强，地产业务推进顺利，调整 2025-2027 年盈利预
测，预计 2025-2027 年 EPS 分别为 0.69 元、0.73 元、0.83 元，对应 PE 分别为 15.2 倍、
14.3倍、12.7倍。看好公司规模优势及地产业务稳步推进带来的增量，维持买入评级。评级面临的主要风险原材料价格大幅波动；下游需求持续低迷；房产业务推进不及预期等。",,中银国际,买入,[None],2025-09-12,,买入,6430938,pdf_downloads/2025/2025-09-12/600352-浙江龙盛（600352）：Q2业绩环比高增长，中期拟现金分红.pdf,600352,浙江龙盛,浙江龙盛（600352）：Q2业绩环比高增长，中期拟现金分红
张伟保,事件浙江龙盛发布2025年半年度报告：公司2025年上半年实现营业收入65.05亿元，同比-6.46%；实现归母净利润9.28亿元，同比+2.84%。分季度来看，2025Q2单季度实现营业收入32.70亿元，同比-5.71%，环比+1.07%；实现归母净利润5.32亿元，同比-24.51%，环比+34.36%。投资要点主要产品产销平稳，25H1染料销量同比增长2025H1公司归母净利润同比增长2.84%，主因国内染料价格承压，而公司主要产品销量增长以量补价，利润得以提升。公司目前主营以染料、助剂为主的纺织用化学品业务和以间苯二胺、间苯二酚为主的中间体业务，染料和中间体业务依然是公司利润的主要来源，1）染料业务：上半年销量11.54 万吨，同比+0.79%，公司重点发展直销业务，维护经销业务，销量实现平稳增长。2）中间体业务：上半年销量4.95万吨，同比-4.99%。财务费用率下降，主因贷款利息支出下降及存款利息收入增加期间费用方面，公司2025年上半年销售/管理/财务/研发费用率分别同比-0.05/+1.05/-1.63/+0.76pct，财务费用率下降主因银行贷款利息支出下降，以及存款利息收入增加所致。筑牢成本优势，巩固纺织用化学品龙头地位公司通过整合龙盛与德司达在技术、品牌、渠道、产能及创新能力等领域的优势，现已成为全球规模第一的纺织用化学品生产服务商；拥有年产11.95万吨中间体产能，依托生态一体化体系，构筑了显著的成本优势和环保竞争力，持续巩固中间体业务的全球领先地位。公司实施纵向延伸战略，从单一染料业务向特殊化学品领域拓展。重点布局间苯二酚、对苯二胺、间氨基苯酚等核心中间体生产，配套开发还原物等系列中间体产品，强化上游原料供应链控制力；通过产能扩张与市场份额提升，增强产品市场主导权，形成行业竞争壁垒。未来将通过自主研发与战略并购双轮驱动，打造跨领域特殊化学品综合服务商。盈利预测公司自主研发与战略并购双轮驱动，业绩有望稳健发展，预测公司2025-2027年归母净利润分别为20.70、22.12、23.92亿元，当前股价对应PE分别为17.0、15.9、14.7倍，维持“买入”投资评级。风险提示下游需求波动风险；产品价格下跌风险；原材料价格上涨风险；新建项目不及预期等风险。,,华鑫证券,买入,[None],2025-08-26,,买入,6351732,pdf_downloads/2025/2025-08-26/600352-浙江龙盛（600352）：公司事件点评报告：25H1染料销量增长，持续巩固纺织用化学品龙头地位.pdf,600352,浙江龙盛,浙江龙盛（600352）：公司事件点评报告：25H1染料销量增长，持续巩固纺织用化学品龙头地位
"庄汀洲,张雄","2025年8月23日│中国内地 化学制品 浙江龙盛于8月22日发布半年报，25H1实现营收65.1亿元，yoy-6.5%，实现归母净利9.3亿元（扣非后5.8亿元），yoy+2.8%（扣非后yoy-9.5%）；其中Q2实现营收32.7亿元，yoy-5.7%/qoq+1.1%，实现归母净利5.3亿元，yoy-24.5%/qoq+34.4%。公司中期拟每股派息0.20元（含税），占25H1归母净利的比例为70.1%。公司Q2归母净利润略超出我们的前瞻预期4.5亿元，主要系公司在激烈的市场竞争中发挥龙头及成本优势。伴随染料及中间体产品景气回暖，叠加房地产业务持续创收，维持“增持”评级。成本下移助力染料毛利率提升，行业景气仍待回暖25H1公司染料/中间体/助剂销量yoy+0.8%/-5.1%/+1.5%至11.5/4.9/3.1万吨，营收yoy-3.2%/-8.3%/-2.3%至36.3/15.1/4.8亿元，毛利率yoy+4.4/-0.6/-1.2pct至34.2%/29.3%/31.1%，主要系上半年分散染料原材料成本显著下降，而中间体及助剂市场竞争激烈。据百川盈孚，8月22日分散/活性染料价格为16.0/22.0元/kg，Q2以来H酸价格上涨对活性染料市场形成支撑，但整体仍处于2016年以来的相对低位，未来伴随纺服终端需求持续回暖，印染行业景气有望改善。25H1综合毛利率提升，静待房地产收入兑现25H1房地产业务营收yoy-11.4%至2.3亿元，毛利率yoy-5.0%至29.8%，主要系预售房产未达到交付条件，尚未确认收入。25H1年公司综合毛利率同比+1.9pct至29.8%，期间费用率同比+0.1pct至15.7%；非经常性损益3.5亿元，同比增0.9亿元，系金融资产和金融负债公允价值变动损益增加。截至二季度末，公司合同负债115.9亿元，较上年期末增43.2亿元，系房产子公司预收售房款金额较大；长期借款6.4亿元，较上年期末降27.3亿元，系本期归还部分长期借款。产业链纵向延伸，行业龙头地位持续凸显据半年报，截至25H1公司染料/助剂/中间体年产能达30/10/11.95万吨，年产2万吨H酸等项目稳步推进中，公司重点布局间苯二酚、对苯二胺、间氨基苯酚等核心中间体,从单一染料业务向特殊化学品领域拓展。房地产业务方面，华兴新城主体结构施工持续推进，预计于27年9月竣工，其中博懋广场·湾上凭借产品力优势及年轻化的品牌形象，可售套数去化率达95.1%，预计未来有望持续为公司创收。盈利预测与估值考虑公司房地产业务尚未兑现，基于审慎原则，我们维持公司25-27年归母净利润21.5/23.6/24.7亿元，对应EPS为0.66/0.72/0.76元，参考可比公司25年Wind一致预期18xPE，考虑公司染料行业龙头优势，给予公司25年20xPE，目标价13.20元（前值11.88元，对应25年18xPE，可比公司25年15xPE），维持“增持”评级。风险提示：下游需求不及预期；房产业务现金流风险；原材料价格大幅波动。",,华泰证券,增持,[None],2025-08-24,,增持,6340675,pdf_downloads/2025/2025-08-24/600352-浙江龙盛（600352）：H1净利同比微增，静待房产业务兑现.pdf,600352,浙江龙盛,浙江龙盛（600352）：H1净利同比微增，静待房产业务兑现
余嫄嫄,"浙江龙盛染料、中间体业务稳健，地产项目持续推进公司发布2024年年报，全年实现营业总收入158.84亿元，同比增长3.79%；归母净利润20.30亿元，同比增长32.36%；扣非归母净利润18.38亿元，同比增长12.84%。其中，第四季度营收52.74亿元，同比增长17.90%，环比增长44.29%；归母净利润6.77亿元，同比增长6.63%，环比增长50.03%。公司利润分配方案为：每10股派发现金红利2.5元（含税），对应分红比例为40.06%。染料行业有待回暖，看好公司各项化学品销量增长及房产业务推进带来的增量，维持买入评级。支撑评级的要点染料及中间体价格下滑，量增价减下总体收入保持稳健。2024年公司营业收入同增3.79%至158.84亿元，其中第四季度单季度营业收入52.74亿元，同比增长17.90%，环比增长44.29%。染料业务方面，公司2024年实现收入75.91亿元，同比增长0.94%；均价3.18万元/吨，同比下降5.81%；毛利率为31.67%，同比增加3.83pct。其中，控股子公司德司达营业收入同增3.28%至53.54亿元，净利润同增56.76%至8.24亿元，利润率同比提升5.25pct至15.40%。中间体业务方面，公司重点布局间苯二酚、对苯二胺、间氨基苯酚等核心产品，配套开发还原物等系列产品，强化产业链优势。2024年公司中间体业务收入32.82亿元，同比增长4.58%；销量10.62万吨，同比增长16.55%；均价3.09万元/吨，同比下滑10.27%；毛利率为29.40%，同比减少2.61pct。房地产业务方面，年内上虞虞懋府等项目交付，全年房地产业务收入24.82亿元，同比增长87.26%，毛利率为27.87%，同比减少2.42pct。盈利能力逆势提升，现金流充足。2024年公司毛利率为27.87%，同比提升1.74pct。费用率方面，2024年公司销售/管理/研发/财务费用率分别为4.23%/4.88%/3.78%/-2.61%，分别同比+0.31pct/-0.25pct/-0.01pct/-1.95pct，其中财务费用率优化主要系存款利息及汇兑收益较多。非经常性损益方面，公司资产处置收益为5.04亿元（2023年同期为1.06亿元），其中处置固定资产获得收益4.51亿元。2024年公司净利率为14.83%，同比提升3.50pct。现金流方面，2024年公司经营活动净现金流为92.65亿元，同比提升236.79%，主要系预收售房款增加（期末公司合同负债中明细科目售房款较年初增加50.76亿元至72.70亿元）。染料、中间体龙头优势稳固，房产业务持续推进。截至2024年，公司拥有30万吨/年染料及10万吨/年助剂产能，列居全球市场首位，当前国内染料行业整体利润承压甚至亏损，公司通过拓展渠道、优化结构实现销量、毛利率提升。中间体方面，截至2024年，公司拥有年产11.95万吨中间体产能，以产业链一体化为核心向其他精细化工品延伸，构筑成本优势及环保竞争力。房地产业务方面，公司未来主要项目湾上名苑工程持续推进，优质资产有望支撑公司现金流保持充裕。估值染料行业有待回暖，但公司染料业务表现出较强的盈利韧性，小幅下调 2025-2026 年
盈利预测，并给予 2027 年盈利预测，预计 2025-2027 年 EPS 分别为 0.63 元、0.71
元、078 元，对应 PE 分别为 15.8 倍、13.9 倍、12.8 倍。染料行业有待回暖，看好公
司各项化学品销量增长及房产业务推进带来的增量，维持买入评级。评级面临的主要风险原材料价格大幅波动；下游需求持续低迷；房产业务推进不及预期；子公司德司达诉
讼事件不确定性等。",,中银国际,买入,[None],2025-04-28,,买入,6028045,pdf_downloads/2025/2025-04-28/600352-浙江龙盛（600352）：染料、中间体业务稳健，地产项目持续推进.pdf,600352,浙江龙盛,浙江龙盛（600352）：染料、中间体业务稳健，地产项目持续推进
"庄汀洲,张雄",浙江龙盛于4月25日发布一季报：Q1实现营业收入32.4亿元，同环比-7.2%/-38.7%，归母净利润4.0亿元（扣非后2.9亿元），同环比+100.4%/-41.5%（扣非后同环比+3.5%/-57.7%）。公司Q1归母净利润超出我们的前瞻预期（3.0亿元），主要系房产业务步入兑现期。伴随染料及中间体产品景气回暖，叠加房产业务持续创收，维持“增持”评级。成本压力缓解带动综合毛利率提升，静待印染行业景气修复据百川盈孚，4月25日分散/活性染料价格为16.5/20.0元/kg，处于2016年以来的相对低位，未来伴随纺服终端需求持续回暖，印染行业景气有望改善。Q1公司染料/助剂/中间体销量5.6/1.5/2.7万吨，同比+0.8%/+0.3%/+7.8%，实现营业收入17.7/2.4/8.1亿元，同比-3.1%/-3.2%/+3.1%，销售均价同比-3.8%/-3.5%/-4.4%至3.2/1.6/3.0万元/吨。因主要原材料价格有所下降，Q1公司综合毛利率同环比+1.5/+2.2pct至28.6%，期间费用率同环比-2.1/+10.2pct至14.3%。Q1末在建工程同比下降2.6亿元至5.7亿元，此外，公司H酸及蒽醌染料等项目有序推进。房产业务进入兑现期，非经常性损益同比增加房产业务方面，据年报，华兴新城项目住宅全面封顶，“湾上”分三批次推盘入市，目前去化率超九成，预计未来有望持续为公司创收，25Q1末存货291.8亿元，同比增加3.5亿元。25Q1公司非经常性损益同比增加1.8亿元至1.0亿元，其中金融资产和金融负债产生的公允价值变动损益同比增加1.8亿元至1.1亿元，主要系该项去年亏损较多影响。盈利预测与估值我们维持公司25-27年归母净利润21.5/23.6/24.7亿元，对应EPS为0.66/0.72/0.76元，参考可比公司25年Wind一致预期15xPE，考虑公司染料行业龙头优势以及地房产项目有序推进，给予公司25年18xPE，目标价11.88元（前值11.22元，对应25年17xPE，可比公司25年13xPE），维持“增持”评级。风险提示：下游需求不及预期；房产业务现金流风险；原材料价格大幅波动。,,华泰证券,增持,[None],2025-04-27,,增持,6026230,pdf_downloads/2025/2025-04-27/600352-浙江龙盛（600352）：Q1净利同比改善，房产业务逐步兑现.pdf,600352,浙江龙盛,浙江龙盛（600352）：Q1净利同比改善，房产业务逐步兑现
张伟保,事件浙江龙盛发布2024年年度报告：2024年，公司实现总营业收入158.84亿元，同比增长3.80%；实现归母净利润20.30亿元，同比增长32.36%。其中，2024Q4单季度实现营业收入52.74亿元，同比增长17.90%，环比增长44.29%；实现归母净利润6.77亿元，同比增长6.63%，环比增长50.03%。投资要点逆势增长显韧性，多元布局拓空间公司通过搭建覆盖产品开发、工艺创新、色彩应用服务及可持续解决方案的全球研发体系，构筑核心技术壁垒。凭借近1900项境内外专利储备，形成对产品矩阵的强效技术支撑。在国内染料、助剂行业面临产能过剩、同业竞争加剧导致平均利润率承压的背景下，公司实现染料业务全球销售量同比增长7.17%，染料/助剂营业收入分别同比增长0.94%和7.63%，显著优于行业水平；中间体业务在平稳市场环境下实现量价齐升，销售量同比增长16.55%，营收增长4.58%，体现产业链延伸优势；房地产业务因项目交付推动营收同比大幅增长87.26%，成为重要业绩增量。此外，公司境外市场收入占比达42.15%，其中美国作为核心销售区域存在结构性风险。需关注中美贸易摩擦升级可能对海外业务带来的汇率波动、关税成本上升等潜在冲击。开源节流助力经营性现金流增加期间费用方面，2024年度公司销售/管理/财务/研发费用率分别为4.23%/4.88%/-2.16%/3.78%，同比+0.31%/-0.24%/-1.95%/-0.01%。值得注意的是公司财务费用由于利息收入增加进一步下降，助力企业控制成本提升利润。本期公司经营性现金流净额为92.65亿元，同比增长236.79%。本期经营活动现金流入总额同比增长28.72%，主要依赖子公司房屋预收款的大量流入。且公司成本费用控制表现出色，经营活动现金流出总额同比减少10.91%。技术驱动全链布局，绿色智造重塑竞争力公司依托“技术-环保-战略”三重驱动，巩固未来全球化工低碳转型浪潮中自身领军地位。技术层面，公司以技术革新为核心引擎，通过分散染料全流程技改、中间体绿色工艺创新及高盐高COD废水处理技术，建成“30万吨染料+10万吨助剂+11.95万吨中间体”生态一体化生产体系，凭借资源循环利用与成本集约化优势，稳居全球市场份额首位。其标杆项目上虞循环经济产业园通过“零排放”管理及全流程减污降碳技术，实现单位碳排放强度与总量双下降，年内累计减排二氧化碳当量1.5万吨，环保指标领跑行业。战略层面，公司纵向突破染料业务边界，向高附加值特殊化学品纵深拓展，配套开发系列中间体产品，形成“技术-产能-品类”三维壁垒，强化全产业链优势。此外，公司未来规划“自主研发+战略并购”双轨路径，有望加速向跨领域综合服务商升级。盈利预测公司多线并进，全链协同的一体化优势逐步显现。预测公司2025-2027年归母净利润分别为20.7、22.12、23.92亿元，当前股价对应PE分别为15.3、14.3、13.2倍，给予“买入”投资评级。风险提示染料价格大幅下跌风险；下游行业周期性波动风险；行业监管政策变化风险；环保政策变化风险；行业竞争加剧风险；全球贸易摩擦。,,华鑫证券,买入,[None],2025-04-18,,买入,6013846,pdf_downloads/2025/2025-04-18/600352-浙江龙盛（600352）：公司事件点评报告：技术筑基绿色智造，全链协同驱动全球增长.pdf,600352,浙江龙盛,浙江龙盛（600352）：公司事件点评报告：技术筑基绿色智造，全链协同驱动全球增长
"庄汀洲,张雄",公司于4月14日发布24年年报：实现营业收入158.8亿元，同比+4%，归母净利润20.3亿元（扣非净利润18.4亿元），同比+32%（扣非后同比+13%）；其中24Q4营业收入52.7亿元，同比/环比+18%/+44%，归母净利润6.8亿元，同比/环比+7%/+50%。据年报，公司末期拟每股派息0.25元（含税），结合中期分红，股利支付率为72.1%。公司Q4业绩超出我们的前瞻预期（3.9亿元），主要系地产业务超预期兑现。伴随染料及中间体产品景气回暖，叠加地产业务持续创收，维持“增持”评级。染料及中间体以“量”发力，印染行业景气有望修复24年公司染料及中间体业务实现高负荷生产，染料/中间体销量yoy+7.2%/ +16.6%至23.8/10.6万吨，营收yoy+0.9%/+4.6%至75.9/32.8亿元，毛利率yoy+3.8/-2.6pct至31.7%/29.4%；助剂/无机产品营收yoy+7.6%/-29.5%至10.0/8.9亿元，毛利率yoy+5.0/-12.8pct至28.8%/-2.1%，染料及助剂毛利率提升主因原材料成本下滑，而无机产品受行业竞争加剧毛利率转负。据百川盈孚，4月14日分散/活性染料价格为16.5/20.0元/kg，处于2016年以来的相对低位，未来伴随纺服终端需求持续回暖，印染行业景气有望改善。地产业务兑现收入，综合毛利率有所提升24年地产业务营收yoy+87.3%至24.8亿元，系上虞虞懋府等项目实现交房，毛利率yoy-2.4%至27.9%。24年公司综合毛利率同比+1.7pct至27.9%，期间费用率同比-5.7pct至10.3%，系存款利息和汇兑收益金额增加较多；非经常性损益1.9亿元，同比增28.7亿元，系非流动性资产处置收益增加；在建工程yoy-30.2%至5.5亿元，系90740吨分散染料滤饼等项目转固。在建项目有序推进，行业龙头地位持续凸显据年报，公司24年染料/助剂/中间体/无机产品年产能达30/10/11.95/145万吨，年产9000吨间氨基苯酚已投产，年产9000吨/年蒽醌项目和年产2万吨H酸项目部分已投产。地产业务方面，华兴新城项目住宅全面封顶，“湾上”分三批次推盘入市，目前去化率超九成，预计未来有望持续为公司创收。盈利预测与估值考虑染料业务企稳改善，我们上调25-27年染料和助剂毛利率假设，预计公司25-27年归母净利润21.5/23.6/24.7亿元（25-26年前值18.4/20.9亿元），对应EPS为0.66/0.72/0.76元，参考可比公司25年Wind一致预期13xPE，考虑公司染料行业龙头优势以及地产项目有序推进，给予公司25年17xPE，目标价11.22元（前值10.83元，对应25年19xPE），维持“增持”评级。风险提示：下游需求不及预期；地产业务现金流风险；原材料价格大幅波动。,,华泰证券,增持,[None],2025-04-15,,增持,6009058,pdf_downloads/2025/2025-04-15/600352-浙江龙盛（600352）：24年净利同比高增，地产业务兑现.pdf,600352,浙江龙盛,浙江龙盛（600352）：24年净利同比高增，地产业务兑现
"庄汀洲,张雄",+1.2%/+5.4%，归母净利4.5亿元，同环比+320.8%/-36.0%。前三季度公司实现收入106.1亿元，yoy-2.0%，归母净利13.5亿元（扣非后11.5亿元），yoy+50.5%（扣非后yoy+2.9%）。公司Q3业绩同比显著提升，主要系房地产业务实现收入，叠加金融资产公允价值上年亏损较多，符合我们的前瞻预期（4.5亿元）。伴随染料及中间体产品景气回暖，以及房产业务未来有望持续创收，维持“增持”评级。Q3染料及中间体业务小幅改善，静待印染行业景气修复据百川盈孚，10月25日分散染料和活性染料价格17/19.5元/kg，处于2016年以来相对低位，未来伴随纺服终端需求持续回暖，印染行业景气有望改善。Q3公司染料/助剂/中间体销量6.0/1.6/2.6万吨，同比+5.5%/+9.9%/+4.9%，实现营业收入18.8/2.5/7.9亿元，同比-2.6%/+4.7%/+8.2%，销售均价3.1/1.6/3.0万元/吨，同比-7.5%/-6.0/+2.0%。因主要原材料价格有所下降，Q3公司综合毛利率29.9%，同环比+3.7/+1.2pct，期间费用率同环比-5.0/-5.5pct至9.2%，主要系财务费用大幅下滑。公司H酸、蒽醌染料及技改升级等项目有序推进，Q3末在建工程9.4亿元，同比下降3.0亿元。房产业务未来预计创收，非经常性损益同比提升，新增项目有序推进房产业务方面，据半年报，公司博懋广场·湾上一期顺利开盘，工程建设如期推进，预计未来为公司创收。24Q3末存货296.4亿元，同比增加11.2亿元。24Q3公司公允价值变动净收益0.2亿元，同比增加3.1亿元，主要系持有的金融资产公允价值上年同期亏损较多，同时24Q3公司非经常性损益-0.5亿元，同比改善1.5亿元。,,华泰证券,增持,[None],2024-10-28,,增持,5802307,pdf_downloads/2024/2024-10-28/600352-浙江龙盛（600352）：Q3净利同比改善，各项业务有序推进.pdf,600352,浙江龙盛,浙江龙盛（600352）：Q3净利同比改善，各项业务有序推进
余嫄嫄,2024年上半年公司实现营业收入69.55亿元，同比下降3.66%；实现归母净利润9.02亿元，同比增长13.93%；实现扣非归母净利润6.44亿元，同比减少20.67%。其中第二季度营业收入同比减少0.08%至34.68亿元；归母净利润同比增加57.05%至7.05亿元；扣非归母净利润同比减少38.16%至3.62亿元。公司拟向全体股东每10股派发现金红利2.00元（含税），合计派发现金红利6.51亿元。染料行业有待回暖，看好公司各项化学品销量增长及房产业务推进带来的增量，维持买入评级。支撑评级的要点染料及中间体价格下滑，量增价减下总体收入保持稳健。2024H1公司营业收入同降3.66%至69.55亿元，其中单二季度营业收入同降0.88%至34.68亿元。染料业务方面，公司2024年上半年实现收入37.51亿元，同比下降2.46%；均价3.28万元/吨，同比降低6.51%；销量11.45万吨，同比提升4.34%；毛利率为29.77%，同比提升2.71pct。其中，德司达营业收入、净利润分别为26.37亿元（同比-1.45%）、3.14亿元（同比+89.80%）。当前染料行业价格竞争仍在持续，公司凭借行业龙头优势和成本优势逆势实现份额扩张、毛利率提升。中间体业务方面，公司依托产业链优势，以产业链一体化为核心向相关中间体如间苯二酚、对苯二胺和间氨基苯酚的生产拓展，扩大产能和市场份额，稳居龙头地位。2024年上半年公司中间体业务实现收入16.43亿元，同比增长8.33%；均价3.15万元/吨，同比降低10.48%；销量5.21吨，同比增长21.01%。房地产业务方面，各项工程如期推进，上半年博懋广场·湾上一期顺利开盘。2024H1公司房地产业务收入2.55亿元，同比增长36.31%，毛利率为34.83%，同比降低10.96pct。盈利能力提升，现金流充足。2024H1公司综合毛利率为27.94%，同比提升1.62pct。费用方面，上半年公司销售/管理/研发/财务费用率分别为5.27%/5.55%/3.95%/0.78%，同比分别+0.63pct/-0.07pct/+0.10pct/+1.89pct，其中财务费用率增长较多主要系上半年发生汇兑损失1.10亿元（去年同期为汇兑收益1.65亿元）。2024H1公司投资收益、公允价值变动收益分别为1.96亿元（同比-35.38%）、-1.42亿元（去年同期为-2.29亿元）。非经常性损益方面，公司发生非流动性资产处置收益3.30亿元。现金流方面，上半年公司经营活动净现金流为21.62亿元，现金流保持健康。染料、中间体龙头优势稳固，房产业务持续推进。截至2024年中，公司拥有30万吨/年染料及约10万吨/年助剂产能，在全球市场列居首位。中间体方面，公司拥有年产11.95万吨中间体产能，并以产业链一体化为核心向其他精细化工品延伸，在建项目包括年产2万吨H酸及年产9000吨间氨基苯酚项目，截至2023年底，H酸一期年产5000吨已试生产，间氨基苯酚一期项目年产5000吨已投产。房地产业务方面，工程如期推进，优质资产助力公司现金流保持充裕。估值 因染料行业需求疲软，调整盈利预测，预计 2024-2026 年 EPS 分别为 0.58 元、0.66元、0.73 元，对应 PE 分别为 15.6 倍、13.6 倍、12.3 倍。染料行业有待回暖，看好公司各项化学品销量增长及房产业务推进带来的增量，维持买入评级。 评级面临的主要风险 原材料价格大幅波动；下游需求持续低迷；房产业务推进不及预期,,中银国际,买入,[None],2024-08-28,,买入,5739522,pdf_downloads/2024/2024-08-28/600352-浙江龙盛（600352）：染料、中间体龙头优势稳固，房产业务持续推进.pdf,600352,浙江龙盛,浙江龙盛（600352）：染料、中间体龙头优势稳固，房产业务持续推进
