author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
黄晨,"2026年1月30日，澜起科技（6809.HK）公告拟在香港联交所发行6,589万股普通股（不包括15%超额配售权），发售价为不高于106.89港元，较2026年1月30日A股收市价181.85元人民币折价47%。该公司预计将募资至多69亿港元，香港公开发售日期为2026年1月30日上午9时至2026年2月4日上午11时30分。股票预计将于2月9日挂牌交易。公司国际配售引入17家基石投资者，包括JPMIMI、UBS、Yunfeng Capital、Alisoft China、霸菱、中邮理财、泰康人寿等，合计认购等值约4.5亿美元，占本次公开发售的50%份额。禁售期6个月。IPO募资用途包括，1）约70%将在未来五年内用于互连类芯片领域的研发；2）15%用于战略投资及/或收购；3）约5%用于提高商业化能力；4）约10%用于营运资金及一般公司用途。公司简介：澜起科技成立于2004年，是中国Fabless模式高端互联芯片解决方案领军企业，专注于为AI基础设施和云计算数据中心提供高速、可靠且高效能的互连解决方案。公司主营产品为互联芯片（内存互联芯片、PCIe互联芯片、CXL芯片）和津逮系列CPU处理器。2025年前三季度，公司收入40.6亿元，同比增长58%，归母净利润16.3亿元，同比增长61%。其中互联芯片及解决方案业务为公司的主力业务，占公司总收入的94%，毛利率在65%左右。公司致力于成为互联芯片平台型生态。内存互联芯片：公司已成为全球排名第一的芯片供应商，提供从DDR2到DDR5全系列内存接口控制芯片，同时为DDR5标准内存提供串行检测集线器（SPD）、温度传感器（TS）及电源管理芯片（PMIC）等配套芯片。公司是行业标准的先行者，是JEDEC董事会成员，牵头制定多项DDR5相关国际标准，最新推出的DDR5第二子代MRCD/MDB芯片实现12,800MT/s的业界最高数据速率。PCIe互联芯片：公司推出PCIe Retimer芯片顺利量产发货，预计市占率在15%左右，是继Astera Labs之后排名全球第二的PCIe Retimer芯片供应商。CXL芯片：公司推出CXL标准的MXC内存控制芯片，最高标准符合PCIe6.2物理层接口，支持CXL3.1标准规范，已经获得三星、海力士等内存厂商认可，成为CXL合规供应商。行业介绍：我们认为，随着AI时代的到来，算力芯片性能高速增长，互联能力逐步成为AI算力集群的瓶颈。公司的互联芯片业务将迎来确定性的高速发展，包括内存接口技术从DDR4往DDR5甚至DDR6升级，以及PCIe从4.0往6.0甚至7.0提升，叠加CXL标准提出的内存池化，必将大幅提升相关接口芯片的价值量。根据弗若斯特沙利文预测，公司现有产品覆盖的市场规模预计将从2024年的35亿美元增长至2030年的145亿美元，复合年增长率达27%。而全球高速互联芯片市场整体将从2024年的154亿美元增长至2030年的490亿美元，复合年增长率达21.2%。1） 内存互连芯片：市场规模将从2024年的12亿美元增长至2030年的50亿美元，年复合年增长率27.4%；2） PCIe及CXL互连芯片：市场规模将从2024年的23亿美元增长至2030年的95亿美元，复合年增长率26.7%。估值：
按照招股价 106.89 港元计算，发行后公司总市值为 1,295 亿港元。按照公司 2025
年业绩预告，公司净利润为 21.5-23.5 亿元人民币，按照中值计算，对应 2025 年市
盈率 52 倍。iChoice 预测公司 26-27 年收入 75.5 亿/93.9 亿元，归母净利润 31.4 亿
/39.8 亿元。对应 2026 年 PE 37 倍，2027 年 PE 29 倍。
公司同业公司 2026/2027 年 PE，A 股的瑞芯微（688766）为 55/43 倍，恒玄科技
（688608）为 33/25 倍，港股的兆易创新（3986.HK）为 85/68 倍。美股新兴互联
芯片供应商 Astera Labs（ALAB）为 70-90/40-70 倍。点评：
我们认为，公司业务将显著受益于 AI 建设大浪潮，互联芯片行业正迎来高速发展
新周期。公司在内存互联芯片全球领先，市场地位稳固。PCIe/CXL 芯片正处于上
量的起步阶段，有望成为超越内存互联芯片业务体量的第二成长曲线。此外，公司
港股发售价相比 A 股明显折价。建议投资者积极关注公司。",,第一上海证券,,[None],2026-02-02,,,8387736,pdf_downloads/2026/2026-02-02/688008-澜起科技（688008）：内存接口芯片龙头，转型高速互联芯片平台型公司.pdf,688008,澜起科技,澜起科技（688008）：内存接口芯片龙头，转型高速互联芯片平台型公司
"王芳,杨旭,康丽侠",报告摘要Q3剔除股份支付费用后的业绩同比高增，互连芯片贡献主要增长且毛利率提升。1）25Q1-Q3：营收40.58亿元，yoy+58%，归母净利润16.32亿元，yoy+67%；扣非14.67亿元，yoy+68%，非经常性损益1.65亿元；毛利率61.5%，yoy+3pcts，净利率38.9%，yoy+1pcts。股份支付费用为5.32亿元，剔除股份支付费用后归母净利润21.44亿元，yoy+112%。2）25Q3：营收14.24亿元，yoy+57%，qoq+1%；归母净利润4.7亿元，yoy+23%，qoq-25%；扣非3.8亿元，yoy+14%，qoq-36%；毛利率63.3%，yoy+5pcts，qoq+3pcts；净利率32.6%，yoy-10pcts，qoq-11pcts。股份支付费用3.5亿元，剔除股份支付费用后归母净利润8.1亿元，yoy+106%，qoq+11%。3）此前股票增值权的激励方式已更改，后续股份支付对利润的负面影响减弱：24年底公司授予激励对象1140万份股票增值权，现金结算的奖励与股价增值部分等值，由于25Q3股价较Q2末上涨88.78%，因此Q3股份支付费用大幅增长。为了合理控制费用，25年12月初，公司将已授予的1140万份股票增值权全部转换为限制性股票，将股份支付以现金结算修改为以权益结算，有望减少对利润的影响。4）Q3互连芯片收入创季度新高：25Q3互连芯片/津逮服务器CPU收入占比96%/4%，其中互连芯片收入13.71亿元，yoy+62%，qoq+4%，连续10个季度环比增长，毛利率为65.7%，qoq+1.5pcts。25Q1-Q3互连芯片收入38.32亿元，yoy+61%，毛利率64.8%，yoy+2.5pcts。5）Q3DDR5子代加速迭代：25Q3DDR5内存接口芯片子代持续迭代，公司继续保持行业领先地位，DDR5第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片开始规模出货。第二子代MRCD/MDB订单充裕，CXL3.1送样，PCIeRetimer6.x积极导入市场。1）MRCD/MDB：第二子代MRCD/MDB芯片于2025年1月推出并送样，截至2025年10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB芯片在手订单金额已超过人民币1.4亿元。2）CXLMXC芯片：公司2022年全球首发CXLMXC芯片；2025年入选CXL2.0合规清单；近期推出CXL3.1MXC芯片并送样测试，全面支持CXL®.mem和CXL®.io协议，为下一代数据中心服务器提供更高带宽、更低延迟的内存扩展和池化方案。3）PCIeRetimer芯片：2025年1月，公司推出PCIe6.x芯片并成功送样，该芯片采用自主研发的PAM4SerDesIP，具备低传输时延和高链路预算等核心优势，最高传输速率达64GT/s，目前正积极导入国内外市场。时钟芯片新品顺利推进，打开30亿美金市场。时钟芯片是为电子系统提供其必要的时钟脉冲的芯片，根据华经产业研究院，2024年全球时钟芯片市场规模约22亿美元，预计2030年达到约30亿美元。继时钟发生器芯片去年成功量产后，公司旗下时钟缓冲器和展频振荡器产品已正式进入客户送样阶段，该系列具备高性能、低功耗及易用性等核心优势，将为高速通信、存储、工业控制等关键领域提供精准、可靠的时钟信号支撑。此外，11月初，公司推出新一代DDR5时钟驱动器(CKD)芯片，最高支持9200MT/s传输速率，可在主机控制器与DRAM芯片间实现高精度时钟信号缓冲与驱动，提升时钟同步精度和信号完整性，增强DDR5CUDIMM、CSODIMM、CAMM等主流客户端内存模组的系统性能与稳定性。投资建议：公司是全球内存接口芯片龙头，AI快速成长+DDR5加速渗透下，MRCD\MDB\CKD\PCIe5.0Retimer\MXC芯片\时钟芯片等新品有望打开成长空间。此前预计25-26年归母净利润为20/26亿元，考虑到AI成长迅速、DDR5渗透提速，公司产品布局全面、新品推进顺利，调整25/26/27年归母净利润为21/34/42亿元，对应PE为68/43/35X，维持“买入”评级。风险提示事件：服务器和PC出货量不及预期；MRDIMM、CUDIMM、CSODIMM和PCI5.0Retimer的渗透率不及预期的风险；所依据的信息滞后的风险等。,,中泰证券,买入,[None],2026-01-06,,买入,8312027,pdf_downloads/2026/2026-01-06/688008-澜起科技（688008）：Q3剔除股份支付费用的业绩同比高增，互连芯片收入再创新高.pdf,688008,澜起科技,澜起科技（688008）：Q3剔除股份支付费用的业绩同比高增，互连芯片收入再创新高
"陈海进,谢文嘉",全球互联芯片的龙头企业，产品矩阵全面：澜起科技是一家国际领先的数据处理及互连芯片设计公司，致力于为云计算和人工智能领域提供高性能、低功耗的芯片解决方案。25年公司拥有两大产品线，互连类芯片产品线和津逮服务器平台产品线。公司在内存接口芯片行业处于领先地位，是全球三大DDR5生产商之一，可提供DDR5内存接口及模组配套芯片全套解决方案，同时布局高性能运力芯片满足AI系统需求。互连、津逮双轮驱动，增长动能强劲：互连类芯片方面，公司在互连类芯片领域布局全面，产品矩阵涵盖内存接口芯片（含MRCD/MDB芯片、CKD芯片）、内存模组配套芯片、PCIe Retimer 芯片、MXC芯片、时钟芯片等，是全球少数可提供DDR5内存接口及模组配套芯片全套解决方案的厂商之一，客户覆盖三星电子、海力士、美光科技等国际龙头。随着DDR5下游渗透率提升，子代持续迭代，相关产品出货量与收入增长显著。AI产业驱动下，PCIe Retimer、MRCD/MDB、CKD等“运力”芯片表现亮眼；MXC芯片作为全球首款CXL MXC芯片，应用于内存扩展及池化领域，保持行业领先地位，有望持续受益于高性能计算与AI需求。津逮服务器方面，公司津逮服务器平台产品主要包括津逮CPU、数据保护和可信计算加速芯片和混合安全内存模组（HSDIMM）等。该平台具备高信息安全性，为云计算数据中心提供更安全的运算平台；融合了先进的异构计算与互联技术，可为大数据及人工智能时代提供强大的综合数据处理及计算力支撑。津逮服务器平台需求波动较大，CPU持续迭代升级，服务器生态圈稳步构建。盈利预测与投资评级：作为专注于数据处理及互连芯片设计的企业，澜起科技在内存配套芯片领域占据龙头地位，且在AI相关“运力”芯片领域布局领先，具有显著的行业竞争力。我们认为，随着DDR5渗透率持续提升及AI驱动下PCIe Retimer、MRCD/MDB、CKD等新品持续放量，同时津逮服务器平台产品线不断拓展，公司业绩有望保持强劲增长态势。我们预测公司2025-2027年归母净利润为 24/34/46亿元，对应当前 PE 估值为57/39/29倍，首次覆盖给予“买入”评级。风险提示：存货跌价风险，半导体行业风险。,,东吴证券,买入,[None],2025-12-22,,买入,8263072,pdf_downloads/2025/2025-12-22/688008-澜起科技（688008）：内存配套芯片龙头，新品逐鹿AI运力.pdf,688008,澜起科技,澜起科技（688008）：内存配套芯片龙头，新品逐鹿AI运力
"张世杰,李珏晗",事件：公司发布25年三季报，25年前三季度实现营业总收入40.58亿元，同比增长57.83%；归属母公司股东的净利润16.32亿元，同比增长66.89%；扣除非经常性损益后的归属母公司股东净利润14.67亿元，同比增长67.93%。DDR5子代迭代行业领跑，Q3再创单季度收入历史新高。公司Q3单季度实现营业收入14.24亿元，同比增长57.22%，再创单季度营业收入历史新高；归母净利润4.73亿元，同比增长22.94%，公司三季度利润主要受股份支付费用增长影响，剔除该部分费用后，三季度归母净利润8.11亿元，同比增长105.78%。公司收入高增主要源自互连类芯片出货驱动，互连类芯片产品Q3收入13.71亿元，同比增长61.59%。公司DDR5子代迭代在行业内保持领先地位，DDR5第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片开始规模出货。公司运力芯片进展显著，订单转化可期，多款新品推出。1）MRCD/MDB芯片：截至2025年10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB 芯片在手订单金额已超过人民币1.4亿元；2）CXL/MXC芯片：公司推出基于CXL® 3.1内存扩展控制器芯片，并已开始向主要客户送样测试；3）时钟芯片：公司旗下时钟缓冲器和展频振荡器产品已正式进入客户送样阶段。盈利预测与投资建议：预计2025-2027年营业总收入分别为58.06、76.52、97.43亿元，同比增速分别为59.54%、31.80%、27.33%；归母净利润分别为22.05、30.48、38.77亿元，同比增速分别为56.17%、38.24%、27.20%，对应25-27年PE分别为69X、50X、39X，维持“买入”评级。风险提示：下游需求不及预期风险；行业竞争加剧风险。,,太平洋证券,买入,[None],2025-11-09,,买入,7590792,pdf_downloads/2025/2025-11-09/688008-澜起科技（688008）：DDR5子代迭代领跑，单季度收入新高.pdf,688008,澜起科技,澜起科技（688008）：DDR5子代迭代领跑，单季度收入新高
"苏凌瑶,李圣宣","澜起科技(688008)公司发布2025年三季报，2025年前三季度，公司营收净利实现稳健增长，AI景气周期有望持续，新品持续发力，维持公司“买入”评级。支撑评级的要点受益AI产业趋势，行业需求旺盛，公司2025年前三季度创佳绩。公司2025年前三季度实现营收40.58亿元，同比+57.83%，实现归母净利润16.32亿元，同比+66.89%，实现扣非归母净利润14.67亿元，同比+67.93%盈利能力来看，公司2025年前三季度实现毛利率61.46%，同比+3.34pcts单季度来看，公司25Q3实现营收14.24亿元，同比+57.22%/环比+0.92%实现归母净利润4.73亿元，同比+22.94%/环比-25.33%,，毛利率63.34%同比+4.61pcts/环比+2.91pcts。DDR5内存接口芯片子代持续迭代，公司继续保持行业领先地位，DDR5第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片开始规模出货。股份支付费用拖累25Q3单季利润，剔除后归母净利连续10季增长。2025年第三季度，公司股价大幅上涨，较第二季度末上涨88.78%，导致公司当期股份支付费用大幅增长，相关金额为3.53亿元。25Q3，公司营业收入、互连类芯片产品线销售收入、剔除股份支付费用后归母净利均再创公司单季度历史新高，互连类芯片产品线销售收入、剔除股份支付费用后归母净利均实现连续10个季度环比增长。25Q3发布多款新品MRCD/MDB稳步推进。1）CXL®MXC芯片：公司推出基于CXL®3.1内存扩展控制器（MXC）芯片，并已开始向主要客户送样测试。2）时钟芯片：继时钟发生器芯片去年成功量产后，公司旗下时钟缓冲器和展频振荡器产品已正式进入客户送样阶段。3）MRCD/MDB：截至2025年10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB芯片在手订单金额已超过人民币1.4亿元。估值综合考虑公司2025年经营持续向好，存储基本盘景气度有望持续，且公司逐步完善多元化产品条线，有望进一步打开成长天花板，我们预计公司2025/2026/2027年分别实现收入54.83/74.22/93.07亿元，实现归母净利润分别为22.11/27.65/34.38亿元，对应2025-2027年PE分别为68.5/54.8/44.1倍。维持“买入”评级。评级面临的主要风险存储芯片价格波动风险、存货跌价风险、销量不及预期、新产品开发不及预期、国际贸易摩擦升级。",,中银国际,买入,[None],2025-11-07,,买入,7553243,pdf_downloads/2025/2025-11-07/688008-澜起科技（688008）：受益AI产业趋势，互联新品持续落地.pdf,688008,澜起科技,澜起科技（688008）：受益AI产业趋势，互联新品持续落地
"高峰,王子路",核心观点公司公告:2025年前三季度，公司实现营收40.58亿元，同比增长57.83%；归母净利润达16.32亿元，同比增长66.89%，扣非净利润同比增长67.93%，其中，25Q3营业收入14.24亿元，创单季新高；归母净利润4.73亿元，同比增长22.94%，整体业绩符合预期。受益于AI需求强劲增长，收入季度创新高。2025年前三季度公司受益于AI驱动的DDR5内存接口芯片需求爆发，互连类芯片产品线销售收入达38.32亿元，同比增长61.21%，25Q3公司单季度毛利率提升至64.83%，同比增加2.48pct环比提升2.9pct，单受受股份支付费用影响，25Q3净利润增速低于营收增速。单季度表现来看，互连类芯片产品线实现收入13.71亿元，同比增长61.59%，环比增长3.78%。截至2025上半年，公司DDR5第三子代RCD芯片销售收入首次超越第二子代，第四子代RCD芯片（RCD04）已实现规模出货，数据传输速率最高达7200MT/s，支撑下一代服务器平台。研发持续投入，新品加速布局。从新品布局来看，公司CXL®3.1MXC芯片已向主要客户送样测试，支持CXL.mem和CXL.io协议，面向数据中心内存池化需求，有望成为2026年新增长点。时钟缓冲器与展频振荡器产品进入客户送样阶段，覆盖高速通信、存储与工业控制领域。MRCD/MDB芯片未来六个月在手订单金额超1.4亿元。尽管研发投入同比微降3.46%，但因营收规模快速扩张，研发费用率由21.48%降至13.14%，规模效应显著，公司产品结构优化与成本管控不断增强。投资建议：我们预计公司2025-2027年营业收入分别为57.36/76.32/94.37亿元，对应增长为57.6%/33.1%/12.7%，预计2025-2027年净利润为22.20/30.29/38.56亿元，对应增长为57.3%/36.4%/27.3%，对应PE为70.30/51.53/40.48，维持“推荐”评级。风险提示：市场需求不足的风险；行业竞争加剧的风险；上游成本变动的风险。,,银河证券,推荐,[None],2025-11-05,,买入,7435475,pdf_downloads/2025/2025-11-05/688008-澜起科技（688008）：季度收入创新高，毛利率稳步提升.pdf,688008,澜起科技,澜起科技（688008）：季度收入创新高，毛利率稳步提升
"薛宏伟,蒯剑,韩潇锐,李晋杰",核心观点新子代产品放量，公司营收和剔除股份支付费用后归母净利润同比高增长。三季度营收同比增长57%至14.24亿元，归母净利润同比增长 23%至4.73 亿元，剔除股份支付费用后归母净利润同比增长106%至8.11亿元，环比增长11%，因三季度的股价大幅上涨，考虑相关所得税费用后影响归母净利润3.38亿元。毛利率达到63.3%的较高水平，因为新子代产品的快速放量。互连类芯片销售收入同比增长62%至13.7亿元，毛利率处于65.69%的较高水平，环比增加1.48个百分点。三季度的营业收入、互连类芯片销售收入、剔除股份支付费用后归母净利润均再创新高，互连类芯片销售收入、剔除股份支付费用后归母净利润均连续10个季度环比增长。DDR持续升级，相关业务有望持续成长。部分投资者顾虑DDR接口芯片增长的持续性，我们认为，DDR持续升级，公司相关业务有望保持成长态势。公司DDR5内存接口芯片子代持续迭代，DDR5 第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片已开始规模出货，进度处于行业领先水平，子代的迭代将拉动公司业绩持续增长。截至10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB芯片在手订单金额超过1.4亿元。DDR持续升级，据TechPowerUp，DDR6有望从2027年开始在服务器上逐步获得应用。三季度新产品进展顺利。部分投资者对公司新产品进展关注度不高，我们认为，公司有望凭新产品打开成长空间。1）公司三季度推出基于CXL® 3.1内存扩展控制器（MXC）芯片，开始向主要客户送样测试。前三季度从事CXL MXC和PCIe switch芯片业务的控股子公司澜起电子科技（珠海横琴）有限公司实现营收3761万元。2）时钟芯片：继时钟发生器芯片去年成功量产后，公司时钟缓冲器和展频振荡器产品已正式进入客户送样阶段。3）PCIe switch的设计与研发工作正积极开展中。我们预测公司25-27年每股收益为1.87/2.99/4.00元（原预测为1.98/2.82/3.76元，主要调整了营业收入、毛利率及费用率等假设），维持可比公司25年平均80倍PE估值，给予149.60元目标价，维持买入评级。风险提示DDR5市场份额提升不及预期；新产品进展不及预期；公司盈利不及预期对估值产生负面影响。,,东方证券,买入,[None],2025-11-03,,买入,7337464,pdf_downloads/2025/2025-11-03/688008-澜起科技（688008）：DDR产品迭代推动业绩同比高增长.pdf,688008,澜起科技,澜起科技（688008）：DDR产品迭代推动业绩同比高增长
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖,连欣然",前三季度收入同比增长57.83%，净利率提高至38.85%。公司2025年前三季度实现收入40.58亿元(YoY+57.83%)，归母净利润16.32亿元(YoY+66.89%)，扣非归母净利润14.67亿元(YoY+67.93%)；毛利率同比提高3.3pct至61.46%；研发费用同比减少3.46%至5.33亿元，研发费率同比下降8.3pct至13.14%；净利率同比提高0.9pct至38.85%。分产品线来看，互连类芯片产品线收入同比增长61.21%至38.32亿元，津逮®服务器平台产品线收入同比增长17.88%至2.18亿元。三季度收入创季度新高，归母净利润因股份支付费用环比减少。公司3Q25实现收入14.24亿元(YoY+57.22%，QoQ+0.92%)，创季度新高，其中互连类芯片产品线收入13.71亿元(YoY+61.59%，QoQ+3.78%)；实现归母净利润4.73亿元(YoY+22.94%，QoQ-25.33%)，扣非归母净利润3.76亿元(YoY+14.11%，QoQ-36.13%)，毛利率为63.34%(YoY+4.6pct，QoQ+2.9pct)，净利率为32.58%(YoY-9.7pct，QoQ-10.6pct)。利润下降主要是由于与股价相关的股份支付费用大幅增长，对归母净利润影响3.38亿元，3Q25剔除股份支付费用后的归母净利润为8.11亿元(YoY+105.78%，QoQ+10.96%)，创季度新高。DDR5第四子代RCD芯片开始规模出货，三季度发布多款新产品。三季度公司DDR5第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片开始规模出货。同时公司发布多款新产品，推出基于CXL3.1内存扩展控制器（MXC）芯片，并已开始向主要客户送样测试，该芯片致力于为下一代数据中心服务器提供更高带宽、更低延迟的内存扩展和池化解决方案；时钟缓冲器和展频振荡器产品已正式进入客户送样阶段。另外，截至2025年10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB芯片在手订单金额已超过人1.4亿元元。投资建议：新产品进展顺利，维持“优于大市”评级由于股份支付费用增加，我们略下调公司2025-2027年归母净利润至22.72/28.09/33.81亿元（前值为23.22/28.56/34.04亿元），对应2025年10月30日股价的PE分别为77/62/52x，维持“优于大市”评级。风险提示：新产品研发不及预期；客户验证不及预期；需求不及预期。,,国信证券,优于大市,[None],2025-11-02,,买入,7258014,pdf_downloads/2025/2025-11-02/688008-澜起科技（688008）：三季度收入创季度新高，毛利率继续提高.pdf,688008,澜起科技,澜起科技（688008）：三季度收入创季度新高，毛利率继续提高
"陈耀波,刘志来",澜起科技(688008)主要观点：事件2025年10月31日，澜起科技公告2025年第三季度报告，公司2025年前三季度实现营业收入40.58亿元，同比增长57.83%；归母净利润16.32亿元，同比增长66.89%；扣非归母净利润14.67亿元，同比增长67.93%。对应3Q25单季度，公司实现营业收入14.24亿元，同比增长57.22%，环比增长0.92%；归母净利润4.73亿元，同比增长22.94%，环比下降25.33%；扣非归母净利润3.76亿元，同比增长14.11%，环比下降36.13%。DDR5迭代升级，新产品陆续呈现受益于AI产业趋势，行业需求旺盛，公司3Q25实现营业收入14.24亿元，同比增长57.22%；实现归母净利润4.73亿元，同比增长22.94%。公司3Q25当期股份支付费用大幅增长，相关金额为3.53亿元（3Q24为0.11亿元，2Q25为0.90亿元），该费用对归母净利润影响3.38亿元，因此，公司3Q25实现剔除股份支付费用后归母净利润8.11亿元，同比增长105.78%，环比增长10.96%。公司3Q25互连类芯片产品线销售收入为13.71亿元，同比增长61.59%，环比增长3.78%；互连类芯片产品线毛利率为65.69%，环比增加1.48个百分点。公司营业收入、互连类芯片产品线销售收入、剔除股份支付费用后归属于母公司所有者的净利润均再创公司单季度历史新高，其中：互连类芯片产品线销售收入、剔除股份支付费用后归属于母公司所有者的净利润均实现连续10个季度环比增长。主要产品线方面，DDR5内存接口芯片子代持续迭代，公司继续保持行业领先地位，其中：DDR5第三子代RCD芯片销售收入首次超过第二子代产品，DDR5第四子代RCD芯片开始规模出货。新产品方面：1）公司推出基于CXL3.1内存扩展控制器（MXC）芯片，并已开始向主要客户送样测试。随着云计算资源池化的需求迅猛增长，传统内存架构在带宽和扩展性方面日益成为性能瓶颈，公司的CXL3.1MXC芯片利用CXL内存池化技术，可帮助数据中心用户实现内存资源的弹性分配和高效利用，从而降低总体拥有成本（TCO）。2）公司旗下时钟缓冲器和展频振荡器产品已正式进入客户送样阶段。该系列时钟芯片凭借高性能、低功耗及易用性等核心优势，将为高速通信、存储、工业控制等关键领域提供精准、可靠的时钟信号支撑。3）截至2025年10月27日，公司预计在未来六个月内交付的DDR5第二子代MRCD/MDB芯片在手订单金额已超过人民币1.4亿元。投资建议公司短期受到激励费用畸高影响，我们调整了对2025年的业绩预测，预计公司2025-2027年归母净利润为21.6、34.1、39.6亿元（前次报告预测为24.5、34.2、39.6亿元），对应的EPS分别为1.89、2.98、3.46元，对应2025年10月31日公司收盘价PE为72.1、45.8、39.4倍，维持“买入”评级。风险提示Server/PC CPU迭代进度不及预期；DDR5渗透率不及预期；新技术应用不及预期；地缘政治影响供应链稳定；市场竞争加剧。,,华安证券,买入,[None],2025-11-02,,买入,7253561,pdf_downloads/2025/2025-11-02/688008-澜起科技（688008）：DDR5迭代升级，新产品陆续呈现.pdf,688008,澜起科技,澜起科技（688008）：DDR5迭代升级，新产品陆续呈现
"谢春生,张皓怡,陈钰,林文富",公司前三季度实现收入40.58亿元（yoy：+57.83%），归母净利润16.32亿元（yoy：+66.89%）；其中，3Q25实现收入14.24亿元（yoy：+57.22%，qoq：+0.92%），归母净利润为4.72亿元（yoy：+22.94%，qoq：-25.33%），剔除股份支付费用后归母净利润为8.11亿元（yoy：+105.78%，qoq：+10.96%）。3Q25公司互连类芯片收入同环比进一步增长，再创历史新高，同时，DDR5子代持续迭代带动其毛利率环比增长1.48pct至65.69%。但由于股价上涨导致当期股份支付费用大幅增长，公司3Q25净利率同环比下滑9.72pct/10.55pct至32.58%。截至10月27日，公司预计未来六个月内交付DDR5第二子代MRCD/MDB芯片在手订单金额已超过1.4亿元，MRDIMM产业化落地有望加速。持续看好公司在全球高速互连芯片领域保持竞争优势，维持“买入”评级。3Q25回顾：部分原材料紧缺影响交付，股份支付费用挤压短期利润3Q25公司互连类芯片收入为13.71亿元（yoy：+61.59%，qoq：+3.78%），再创单季度历史新高，但由于部分上游原材料交货周期拉长影响交付节奏，环比增速有所放缓。DDR5子代迭代持续推进，3Q25 DDR5第三子代RCD收入首次超过第二子代产品，且DDR5第四子代RCD芯片开始规模出货。随着DDR5持续渗透，且新子代RCD产品出货占比增加，推动公司毛利率稳中有升，3Q25互连类芯片毛利率为65.69%（yoy：+3.48pct；qoq：+1.48pct）。费用端，因公司股价涨幅较大，3Q25股份支付费用达3.53亿元，致使单季度净利率有所承压。市场需求景气度较高，公司积极建立安全库存，截止三季度末，公司库存为7.96亿元，较二季度末增加3.95亿元。4Q25/2026年：需求保持旺盛，MRDIMM/CXL加速落地受益于AI产业趋势推动，服务器内存条需求增长并加速升级，25年DDR5内存接口芯片渗透率大幅提升。2026年，公司多款新品将加速应用落地：1）英特尔、AMD等支持DDR5-6400内存模组的客户端CPU平台陆续渗透，有望带动公司CKD芯片快速放量；2）公司PCIe 6.x/CXL 3.x Retimer芯片已向客户交付样品，市场份额有望进一步提升；此外，高密机柜方案成为重要产业趋势，scale up Switch市场规模快速扩大，公司积极推进PCIe Switch产品研发，后续有望凭借优质客户资源较快实现规模应用；3）除Intel外，AMD下一代Zen6处理器亦将支持第二代MRDIMM，产业应用有望加快，公司MRCD/MDB第二子代产品在手订单可观，有望充分受益市场需求快速增长。此外，公司推出CXL3.1 MXC芯片/时钟芯片，有望陆续贡献营收。盈利预测与估值考虑股份支付费用增加对利润挤压，我们下修公司25/26/27年归母净利润预测至21.92/31.49/43.31亿元（较原值-10.63%/-8.99%/-3.05%）。持续看好公司在全球高速互连芯片领域保持竞争优势，且MRDIMM产业化落地正在加速，给予65x 26PE（可比公司一致预期61x），目标价178.80元（前值：145.60元，基于68x 25PE），维持“买入”评级。风险提示：新产品研发不及预期，DDR5渗透率见顶，市场开拓不及预期。,,华泰证券,买入,[None],2025-11-01,,买入,7192491,pdf_downloads/2025/2025-11-01/688008-澜起科技（688008）：MRDIMM产业化落地有望加速.pdf,688008,澜起科技,澜起科技（688008）：MRDIMM产业化落地有望加速
