author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"曾朵红,阮巧燕,岳斯瑶",公司公布2025年报。公司25年实现营收157.1亿元，同比+16.8%，实现归母净利23.6亿元，同比+98.1%，实现扣非净利22.2亿元，同比+108.8%，毛利率为31.7%，同比+4.2pct，归母净利率为15%，同比+6.2pct；其中25Q4实现营收48.8亿元，同环比+35.3％/+30.4％，实现归母净利6.6亿元，同环比+1476.4%/+2.3％，业绩位于业绩预告中值，符合市场预期。负极Q4稳中有升、新产品26年贡献增量。负极端，公司全年出货14.3万吨，同增8%，其中我们预计25Q4出货4万吨，需求环比恢复，公司四川一期10万吨已逐步投产，随着产能爬坡+新产品导入，26Q1我们预计出货4-5万吨，环比明显提升，我们预计26年出货25万吨，同增80%；盈利端，25Q4负极盈利维持，随着低成本产能投产，我们预计26年盈利恢复至近0.2万/吨。公司积极推进超高容量负极、CVD负极、以及单壁碳管的研发与量产。隔膜及PVDF产能释放、贡献后续增量。涂覆膜25年公司出货109.42亿平，同增56%，其中25Q4我们预计出货30亿平+，环比提升10%+，26年我们预计出货150亿平+，同增40%+；盈利端，公司单平净利稳定，26年我们预计可维持；基膜端，公司25全年出货14.95亿平，同增160%，年底公司产能达21亿平，26年出货我们预计21亿平+，满产满销，后续四川卓勤20亿平新增产能26H2投产，27年贡献增量。设备端，公司26年完成单线3亿㎡基膜产线的交付，并启动单线4亿㎡基膜产线的研发。公司25年PVDF及含氟聚合物出货4万吨，26年总产能公司预计达5万吨，我们预计26年利润贡献进一步增长。费用控制良好、现金流环比恢复。公司25年期间费用为19亿元，同比+20.5%，期间费用率为12.1%，同比+0.4pct，其中Q4期间费用为5.7亿元，同环比+37.3%/+21.9%，期间费用率为11.8%，同环比+0.2/-0.8pct；25年经营性净现金流27亿元，同比+13.7%，其中Q4经营性现金流10.3亿元，同环比-20.6%/+131.0%；25年资本开支15.1亿元，同比-53.3%，其中Q4资本开支6.4亿元，同环比-34.0%/+68.3%；25年Q4末存货89亿元，较年初+6.5%。盈利预测与投资评级：考虑到负极新品有望贡献增量，多业务板块持续向好，我们上调公司26-27年归母净利预测至33.3/43.8亿元（原预测为31/40.2亿元），新增28年归母净利预测为53.5亿元，同比+41%/+32%/+22%，对应PE为18x/13x/11x，考虑公司负极、隔膜、功能性材料多点开花，给予26年25x PE，目标价39元，维持“买入”评级。风险提示：销量不及预期，行业竞争加剧。,,东吴证券,买入,[None],2026-03-06,,买入,8484429,pdf_downloads/2026/2026-03-06/603659-璞泰来（603659）：业绩符合市场预期，多业务板块持续向好.pdf,603659,璞泰来,璞泰来（603659）：业绩符合市场预期，多业务板块持续向好
"曾朵红,阮巧燕,岳斯瑶",公司发布2025年业绩预告：公司2025年预计实现归母净利23~24亿元，同比+93%~102%，预计实现扣非净利21.7~22.7亿元，同比+104%~114%。对应25Q4归母净利中值6.5亿元，同比扭亏，环比+1%，符合市场预期。负极25Q4稳中有升、新产品26年贡献增量。负极端，我们预计25Q4出货3-4万吨，环比微增，全年出货13-14万吨，公司四川一期10万吨已逐步投产，随着产能爬坡+新产品导入，26Q1我们预计出货4-5万吨，环比明显提升，我们预计26年出货25万吨，接近翻倍增长；盈利端，25Q4负极盈利维持，随着低成本产能投产，我们预计26年盈利恢复至近0.2万/吨。隔膜及PVDF稳定贡献利润增量。涂覆膜25Q4我们预计出货28亿平，环比微增，我们预计25年出货100亿平+，同增40%+，26年我们预计出货140-150亿平，同增40%+；盈利端，公司单平净利稳定，26年我们预计可维持；基膜端，公司25全年我们预计出货15亿平+，连续翻倍增长，2025年底公司产能达20亿平，后续新增产能投产，26年出货我们预计25-30亿平，满产满销。我们预计PVDF、衍生品及PAA合计Q4贡献0.5-1亿利润，合计2025年全年贡献3亿左右净利。公司具备固态整线解决方案能力、且综合布局多种材料。公司在多辊转移、分段辊压、双钢带辊压三大干法成膜工艺路线取得了阶段性的成果，并已实现干法设备出货验收，其中搅拌机、干法成膜设备、干法复合设备、锂负极成型设备、叠片机、辊压设备、流化床等重点突破或可交付，等静压设备等也在积极布局，固态设备订单截至25年累计超过2亿元。此外，公司适用固态硫化物体系的高强、高延伸合金箔，超强箔、网状打孔铜箔等创新产品开发完成，进入客户评估中；氧化物固态电解质LATP，LLZO已实现量产，已在四川基地建成年产200吨固态电解质中试产线。公司对锂金属负极材料持续研发，成型设备采用压延复合工艺，已完成设备样机开发并交付使用。盈利预测与投资评级：我们预计公司25-27年归母净利23.9/31/40.2亿元，同比+101%/+30%/+30%（维持此前预测），对应PE为25x/19x/15x，考虑公司固态领域布局，给予26年30x PE，目标价43.5元，维持“买入”评级。风险提示：销量不及预期，行业竞争加剧。,,东吴证券,买入,[None],2026-01-21,,买入,8348039,pdf_downloads/2026/2026-01-21/603659-璞泰来（603659）：负极盈利拐点已现，多业务板块持续向好.pdf,603659,璞泰来,璞泰来（603659）：负极盈利拐点已现，多业务板块持续向好
刘强,事件：1）近期，璞泰来发布2025年三季报，2025年前三季度，公司实现营收108.3亿元，同比增长10.06%；归母净利润17.0亿元，同比增长37.25%，其中第三季度单季净利润6.45亿元，同比增长69.3%。毛利率方面，前三季度毛利率提升至32.45%，净利率17.29%。点评：深耕锂电材料的平台型公司，未来格局持续向好。1）公司采用“材料+设备+工艺”协同一体化战略，打造平台型企业，各业务板块协同研发催生创新机会。2）隔膜方面：公司在隔膜涂覆领域形成全产业链闭环布局，基膜设备国产替代化超80%，最新基膜产线单线设计产能达2亿㎡/年，在技术、效率、成本等方面具备综合竞争优势。3）负极方面：公司重点开发高性价比差异化产品以应对市场价格竞争；控制低价值产品出货规模；创新产品处于客户论证导入阶段。锂电行业处于向上发展周期，公司中长期期受益。锂电产业处于上行拐点，新能源汽车与储能高增速带动需求快速扩张，公司凭借材料+设备一体化优势有望充分受益。管理层通过股权激励明确2025-2027年利润目标23/30/39亿元，复合增速超30%。公司在2026年的具体业务目标：负极材料出货量25万吨；涂覆隔膜出货量130亿㎡；基膜出货量20-25亿㎡；PVDF出货量超4万吨。公司未来业绩成长弹性大+新技术有望发力。1）锂电负极业绩有望逐步底部反转：随着创新产品逐步放量，公司2025年负极业务有望开始盈利，后续单位成本、规模效应具有优化空间。2）固态等新技术方面，公司布局硅碳负极、锂金属负极、固态电解质等相关材料，同时研发固态电池前中后段工艺设备解决方案，已取得一定量订单。投资评级：我们预计公司2025-2027归母净利分别为25.19/31.02/39.48亿元；公司锂电材料+设备平台价值凸显，业绩有望逐步进入新的上行周期；维持“买入”评级。风险提示：下游需求不及预期、行业竞争加剧、新业务不及预期,,太平洋证券,买入,[None],2025-11-27,,买入,8190482,pdf_downloads/2025/2025-11-27/603659-璞泰来（603659）：点评：业务持续向上，创新带来新动力.pdf,603659,璞泰来,璞泰来（603659）：点评：业务持续向上，创新带来新动力
"邱世梁,黄华栋,彭沈楠",三季度业绩符合预期，盈利能力持续改善25年前三季度：营收108.30亿元，同比增长10.06%；归母净利润17.00亿元，同比增长37.25%；扣非归母净利润15.90亿元，同比增长39.82%。25年第三季度：营收37.42亿元，同比增长6.66%；归母净利润6.45亿元，同比增长69.30%，环比增长13.54%；扣非归母净利润5.98亿元，同比增长61.97%，环比增长15.49%。销售毛利率33.11%，同比提高4.84个百分点，环比提高1.06个百分点；销售净利率18.78%，同比提高5.89个百分点，环比提高2.54个百分点。亮点：利润端增速好于收入端，主要得益于：1）期内资产减值损失大幅收窄，2）联营企业茵地乐（主营PAA粘结剂）销量大幅增长带来的投资收益增加。根据公司2025年股票期权激励计划制定的业绩考核目标，2025-2027年归母净利润计划分别不低于23、30、39亿元。隔膜：储能领域强势突破，销量和份额快速增长公司隔膜业务基于基膜、涂覆材料、粘结剂、核心设备及加工环节的全面布局，在充分满足动力电池客户增量需求的同时，实现储能领域强势突破，市场份额持续提升。前三季度公司涂覆加工量、基膜和PVDF销量分别达到74亿㎡、10.5亿㎡和2.8万吨，同比分别增长57%、235%、81%。公司2025年涂覆加工目标出货量100亿㎡，2026年增至130亿㎡；2025年基膜目标出货量12亿㎡，2026年增至20-25亿㎡；2025年PVDF目标出货量3万吨，2026年增至4万吨。负极材料：经营情况逐步改善，创新产品放量有望增厚盈利公司负极材料业务通过产品创新和降本增效，经营情况逐步向好，前三季度累计出货超10万吨，2026年目标出货25万吨；当前负极材料供应相对平衡，2026年经营情况改善预计将更为明显。新品开发方面，高容量、长循环、超快充、CVD硅碳负极等多款创新产品已进入批量试产阶段，有望在25年底或明年上半年实现批量供应，负极材料业务单吨盈利有望逐季改善。固态电池：材料和设备全面布局，部分关键设备实现重点突破材料方面，公司积极布局了硅碳负极、锂金属负极、固态电解质、复合集流体和半固态复合膜、铝塑包装膜等固态/半固态电池材料。设备方面，2022-2025年9月承接的固态电池生产设备累计订单金额超过2亿元，搅拌机、干法成膜设备、干法复合设备、湿法涂布机、锂金属负极成型设备、叠片机、辊压设备、流化床等设备实现重点突破或达到可交付状态，并已经向部分国内外头部客户交付；后段重要设备如等静压设备也在积极布局的过程中。盈利预测及估值公司是电池材料及工艺技术解决方案的平台型公司，深度受益锂电市场回暖且自身具备强alpha。我们预计2025-2027年归母净利润分别为23.05、31.50、39.37亿元，同比增速分别93.59%、36.67%、24.97%，2024-2027年3年CAGR约48.98%，对应2025年11月14日收盘价2025-2027年PE估值分别为28、21、16倍，维持“买入”评级。风险提示下游需求不及预期，原材料价格波动风险，固态电池材料和设备研发不及预期。,,浙商证券,买入,[None],2025-11-16,,买入,7904711,pdf_downloads/2025/2025-11-16/603659-璞泰来（603659）：点评报告：领先的电池材料和设备平台型公司，深度受益锂电市场回暖.pdf,603659,璞泰来,璞泰来（603659）：点评报告：领先的电池材料和设备平台型公司，深度受益锂电市场回暖
"曾朵红,阮巧燕,岳斯瑶",Q3业绩略超市场预期。公司25年Q1-3营收108.3亿元，同+10.1%，归母净利17亿元，同+37.3%，扣非净利15.9亿元，同+39.8%，毛利率32.4%，同+3.4pct；其中25Q3营收37.4亿元，同环比+6.7％/-3.4％，归母净利6.4亿元，同环比+69.3%/+13.5％，扣非净利6亿元，同环比+62%/+15.5％，毛利率33.1%，同环比+4.8/+1.1pct。负极Q3逐步起量、新产品26年贡献增量。负极端，我们预计25Q3出货3万吨+，环比略降，主要系主动调整产品结构，Q1-3累计出货10万吨+，公司四川一期10万吨已逐步投产，我们预计新产品Q4起量，预计26Q1大规模出货，随着产能爬坡+新产品导入，我们预计25年出货14万吨，同增10%左右，26年出货25-30万吨，翻倍增长；盈利端，25Q3负极实现盈利，随着低成本产能投产，我们预计26年盈利恢复至0.2万/吨左右。此外公司布局CVD硅碳，我们预计25年有效产能500吨，预计全年出货百吨级。隔膜及PVDF稳定贡献利润增量。涂覆膜25Q3我们预计出货26-27亿平+，同增45%，Q1-3累计出货74亿平，预计25年出货100亿平+，同增40%+，26年我们预计出货130亿平，维持30%增长；盈利端，公司单平净利稳定，25年我们预计可维持；基膜端，公司25Q3出货预计5亿平+，环比大增70%，25Q1-3累计出货10亿平+，全年我们预计出货15亿平+，连续翻倍增长，我们预计年底公司产能达20亿平，后续新增产线成本进一步降低，优势显著。我们预计PVDF、衍生品及PAA合计Q3贡献0.5-1亿利润，合计全年贡献3亿左右净利。设备稳定增长。设备业务Q3预计贡献0.3-0.4亿利润，环比略降，截止25年上半年，公司新接订单24亿，我们预计25年贡献1.5亿元利润左右。公司具备固态整线解决方案能力、且综合布局多种材料。公司在多辊转移、分段辊压、双钢带辊压三大干法成膜工艺路线取得了阶段性的成果，并已实现干法设备出货验收，其中搅拌机、干法成膜设备、干法复合设备、锂负极成型设备、叠片机、辊压设备、流化床等重点突破或可交付，等静压设备等也在积极布局，固态设备订单累计超过2亿元。此外，公司适用固态硫化物体系的高强、高延伸合金箔，超强箔、网状打孔铜箔等创新产品开发完成，进入客户评估中；氧化物固态电解质LATP，LLZO已实现量产，已在四川基地建成年产200吨固态电解质中试产线。公司对锂金属负极材料持续研发，成型设备采用压延复合工艺，已完成设备样机开发并交付使用。费用控制良好、Q3资本开支环比提升。,,东吴证券,买入,[None],2025-10-28,,买入,6899805,pdf_downloads/2025/2025-10-28/603659-璞泰来（603659）：负极盈利拐点已现，多业务板块持续向好.pdf,603659,璞泰来,璞泰来（603659）：负极盈利拐点已现，多业务板块持续向好
"张一弛,何家金",事项：璞泰来发布2025年半年度报告：公司2025年H1营收70.88亿元，同增11.95%；归母净利10.55亿元，同比+23.03%；扣非归母净利9.92亿元，同比+29.17%。其中25Q2实现营收38.73亿元，环比+20.46%；归母净利5.68亿元，环比+16.40%；扣非归母净利润5.18亿元，环比+9.30%。评论：核心业务均保持增长，整体经营稳中向好。负极材料业务通过降本增效，生产成本和盈利能力得到积极改善，存货规模整体趋于合理水平，上半年出货量约7万吨，同比略有增长。涂覆隔膜上半年加工量达47.73亿㎡，同比增长63.85%，超过行业平均增速，占同期国内湿法隔膜出货量42.62%，市场份额保持领先。基膜上半年销量达5.28亿㎡，基膜产品、超细氧化铝新品的突破为公司涂覆加工业务发展提供强劲支撑。另外上半年PVDF及精细化学品销售量1.46万吨，同比大幅增长68.19%，锂电级PVDF市场份额持续领先。产能建设推进，降本增效落实。负极方面，四川一体化负极工厂一期产能逐步投产，首次应用了多项连续性生产和自动化粉料传输等工艺，一系列改进措施综合实现生产流程的降本增效和节能环保。四川紫宸一期产能已逐步投入生产，公司批量试产即将量产的主力产品，测试结果符合客户要求，单位成本控制有望达到预期。安徽紫宸硅碳负极产能一期设备安装调试已基本完成，具备生产能力，有望在消费电子、无人机领域逐步放量应用，力争实现年百吨级出货。固态电解质方面，已在四川基地建成年产200吨固态电解质中试产线。业务协同与新品创新发展。公司具有隔膜涂覆一体化优势，在基膜领域，基膜设备国产替代化已超80%，最新基膜产线单线设计产能已达2亿㎡/年。并且公司新一代超宽幅、低能耗湿法基膜线成功自研，协同四川嘉拓设备团队在现有单线产能基础上有序开展3亿㎡/年产线的研制。新品方面，适用固态电池硫化物体系的高强、高延伸合金箔，超强箔、网状打孔铜箔等创新产品和芯片封装用Low-α球形氧化铝开发完成，进入客户评估；芯片抛光用纳米氧化铝已在客户端小试。集流体方面，复合铝箔完成各项性能测试，已在消费类客户实现小批量出货，并持续加速在动力类客户的产品认证。投资建议：公司负极业务压力不断减轻，隔膜、PVDF等各项业务增量较快，考虑新能源行业发展仍有较大增长空间，我们预计公司2025-2027年归母净利润分别为22.53/29.26/36.63亿元（前值25-26年为21.63/26.64亿元），对应EPS分别为1.05/1.37/1.71元，当前市值对应PE分别为22/17/13倍。考虑到公司增速很快，且业务发展稳定，我们给予公司2026年22xPE，目标价为30.13元，维持“强推”评级。风险提示：下游行业需求增长不及预期，项目建设进度不及预期，原材料价格上涨削弱盈利。,,华创证券,强推,[None],2025-09-04,,买入,6392915,pdf_downloads/2025/2025-09-04/603659-璞泰来（603659）：业绩符合预期，负极成本控制效果显现.pdf,603659,璞泰来,璞泰来（603659）：业绩符合预期，负极成本控制效果显现
"杨润思,林卓欣",业绩符合预期，新品布局助力差异化优势建立璞泰来披露2025年半年报，业绩符合预期。2025H1公司实现营收70.9亿，同比+11.9%；归母净利润10.6亿，同比+23.0%；扣非归母净利润9.9亿，同比+29.2%；毛利率32.1%，同比+2.5pct；净利率16.5%，同比+0.8pct。2025Q2公司实现营收38.7亿，环比+20.5%；归母净利润5.7亿，环比+16.4%；扣非归母净利润5.2亿，环比+9.3%；毛利率32.0%，环比-0.1pct；净利率16.2%，环比-0.6pct。先进产能和优质新品的释放，负极板块有望迎来量利齐升。公司上半年实现负极材料出货约7万吨，同比略有增长。且通过原料的处理工艺、石墨化技改、供应链管理等举措的实施，公司负极材料的成本和盈利已得到积极改善。在产能建设方面，四川紫宸一期产能已逐步投入生产，核心客户已完成审厂工作，并已陆续实现出货。预计在今年下半年，随着公司先进产能的稳步投产，以及创新型产品的批量供应，公司负极材料的单吨盈利有望持续提升。在新产品开发方面，今年上半年公司高容量、长循环、超快充等多款创新系列产品已在下游客户处陆续进入了批量试产阶段，下半年有望开始放量。此外，安徽紫宸硅碳负极产能一期设备安装调试已基本完成，有望在消费电子、无人机领域逐步放量应用，力争实现年百吨级出货。隔膜涂敷出货量高增，市占率保持领先。公司是全球唯一实现隔膜“工艺、设备、材料”产业一体化的企业。上半年实现涂覆隔膜销量47.7亿平方米，同增63.9%，超过行业平均增速，占国内湿法隔膜出货量的42.6%。得益于四川卓勤高效产能的逐步投放，公司上半年基膜销量达5.3亿平方米。此外，对于PVDF及粘结剂材料，上半年实现销量1.46万吨，同增68.2%。且联营公作者司茵地乐是行业首家主营PAA类锂电池水性粘结剂的企业，上半年实现产品销售量3.82万吨，同增153.1%，市场占有率领先。积极研发新技术，产品差异化优势建立。1）在固态电池领域，适用硫化物体系的高强、高延伸合金箔，超强箔、网状打孔铜箔等产品已开发完成，并进入了客户评估中；氧化物固态电解质LATP，LLZO已实现量产。2）在复合集流体领域，公司复合铜箔、复合铝箔完成测试，进入量产准备。3）在芯片材料领域，芯片抛光用纳米氧化铝已在客户端小试，芯片封装用Low-α球形氧化铝开发完成，目前正在客户评估中。4）人形机器人领域，公司正在开发人形机器人轴承和基板材料用氮化硅，力争实现进口替代。5）在增材制造领域，公司储备了多种微纳米金属制粉技术，有望获得新的应用。新产品的布局有望为公司带来新的业绩增量。盈利预测：依据公司最新的业务情况及财务表现，调整2025-2027年归母净利为24.8/30.8/36.9亿元，同增108.5%/23.9%/20.0%。以9月2日收盘价为基准，PE为20.4x/16.5x/13.7x。维持“买入”评级。风险提示：下游需求不及预期，公司产能建设不及预期，新产品开发不及预期。,,国盛证券,买入,[None],2025-09-03,,买入,6388474,pdf_downloads/2025/2025-09-03/603659-璞泰来（603659）：业绩符合预期，新品布局助力差异化优势建立.pdf,603659,璞泰来,璞泰来（603659）：业绩符合预期，新品布局助力差异化优势建立
黄秀瑜,事件：公司发布了2025年半年度报告。点评：2025H1业绩稳健增长，Q2持续向好。公司主营产品为新能源电池材料和自动化装备。2025H1实现营收70.88亿元，同比增长11.95%；归母净利润10.55亿元，同比增长23.03%。毛利率32.10%，同比上升2.55pct，得益于公司强化降本增效措施；净利率16.50%，同比上升0.8pct；期间费用率12.02%，同比基本持平。经营现金流12.23亿元，同比增长439.11%。其中2025Q2实现营收38.73亿元，同比增长17.46%，环比增长20.46%；归母净利润5.68亿元，同比增长37.44%，环比增长16.40%。毛利率32.05%，同比上升4.16pct，环比下降0.11pct；净利率16.25%，同比上升1.49pct，环比下降0.56pct；期间费用率12.31%，同比上升0.64pct，环比上升0.63pct。新能源电池材料业务较快增长，新产品逐步放量将带动新增长。新能源电池材料业务2025H1实现营收53.78亿元，同比增长15.59%。膜材料及涂覆加工业务方面，上半年涂覆隔膜销量同比增长63.85%，PVDF和粘结剂销量分别同比增长68.19%和153.1%。新产品方面，复合铜箔、复合铝箔进入量产准备；固态电解质LATP和LLZO已建成年产200吨中试产线。负极材料业务方面，上半年负极材料出货量约7万吨，同比略有增长。通过多种降本增效举措，负极材料生产成本和盈利能力得到改善，库存进一步降低。下半年高容量、长循环、超快充等新产品有望开始放量。安徽紫宸硅碳负极产能一期已具备生产能力，有望在消费电子、无人机领域逐步放量，年内有望实现百吨级出货。随着先进产能稳步投产，下半年负极材料业务单吨盈利有望逐季向好。新能源自动化装备业务上半年新订单同比大幅回升。新能源自动化装备业务2025H1实现营收18.44亿元，同比小幅增长。上半年新一轮锂电设备需求拉动公司设备业务新订单规模超24亿元，同比大幅回升。同时，在固态电池生产设备和复合集流体、硅碳负极等新型电池材料专用设备领域形成增量订单。下半年新能源自动化装备业务有望较好改善。投资建议：维持买入评级。预计2025-2026年EPS分别为1.13元、1.42元，对应PE分别为21倍、17倍。公司多业务线条协同发展，多款新产品领先布局奠定后续增长潜力，维持买入评级。风险提示：下游需求不及预期风险；市场竞争加剧风险；产品升级和新兴技术路线替代风险；原材料价格上涨风险。,,东莞证券,买入,[None],2025-09-02,,增持,6382695,pdf_downloads/2025/2025-09-02/603659-璞泰来（603659）：Q2业绩持续向好，新产品有望逐步放量.pdf,603659,璞泰来,璞泰来（603659）：Q2业绩持续向好，新产品有望逐步放量
"贺朝晖,周涛",事件：公司发布2025年半年报，25H1实现营业收入70.88亿元，同比增长11.95%；实现归母净利润10.55亿元，同比增长23.03%；实现扣非归母净利润9.92亿元，同比增长29.17%。业务呈稳定增长态势。25H1公司新能源电池材料与服务、新能源自动化装备与服务分别实现营收54.76/18.4亿元，同比增长16.74%/7.27%；毛利率分别为32.50%/25.40%，同比+3.57/-2.40pct。全球动力及储能电池市场保持持续增长，公司凭借完善的产业链布局和多元化的产品组合，快速响应客户需求，积极拓展市场，实现了销量和收入的稳健增长。25Q2实现营收38.73亿元，同比+17.46%，环比+20.46%；实现归母净利润5.68亿元，同比+37.44%，环比+16.40%，业务稳定增长。上半年销售费用率1.05%，同比-0.37pct，公司为积极应对市场变化，加强了销售费用的管控；管理费用率4.49%，同比+0.24pct，部分新建产能投产，人员增加，薪酬费用和资产折旧摊销增加；研发费用率为5.68%，同比-0.51pct，新产品和工艺方面研发持续投入，研发材料和人员费用增加；财务费用率为0.80%，同比+0.52pct，主要系报告期内存款利率下降，存款产品收益减少。订单端展现积极态势，固态电池多业务条线布局。上半年在动力和储能电池带动下，全球新能源电池市场持续了良好的增长态势，公司持续巩固研发与工艺创新优势，以差异化的新产品组合积极匹配下游客户需求。隔膜涂覆订单饱满，匹配动力电池增量需求同时，储能领域获突破，份额提升、销量增速超行业；基膜与超细氧化铝新品为涂覆业务强支撑。PVDF稳品控、抓机遇获增量单。负极优化设计、升级工艺、创新设备，降本增效，经营改善；加快新品开发，性能领先，客户量产导入有序；四川一体化工厂一期产能投产，夯实成本与市场基础。自动化装备借头部客户扩产，上半年新订单回升，中后段注液、叠片、化成、包膜机等设备份额提升。2025年上半年，设备业务新接订单规模超过24亿元，同比大幅回升，确保全年业务规模保持稳定发展。公司利用平台型优势，积极布局硅碳负极、锂金属负极、固态电解质、复合集流体和半固态复合膜等固态/半固态电池材料；并积极就固态电池前段、中段工艺设备解决方案进行研发投入，截至目前已形成多业务线条的技术布局。过去三年，公司在固态电池领域承接的相关工艺设备订单已超过2亿元。负极材料控量降本、推进产能投产。近年来负极材料行业价格维持低位运行，公司严控低价产品的出货量规模，保持健康的现金流水平，上半年实现负极材料出货量约7万吨，同比略有增长。同时，通过原料处理工艺、石墨化技改、供应链管理等多种降本增效举措的实施，公司负极材料生产成本和盈利能力已得到积极改善，期末库存进一步降低，存货规模整体趋于合理水平。四川紫宸一期产能已逐步投入生产，针对即将量产的主力产品进行批量试产，测试结果显示产品符合客户要求，核心客户已完成审厂工作，并已实现陆续出货。安徽紫宸硅碳负极产能一期设备安装调试已基本完成，已具备生产能力，有望在消费电子、无人机领域逐步放量应用，力争实现年百吨级出货。2025年下半年，公司先进产能的稳步投产，创新型产品有望批量供应，将使公司负极材料业务单吨盈利将迎来逐季向好的发展态势。投资建议：公司经过多年的研发投入和持续深化的业务布局，已发展成为一家电池关键材料和自动化装备及服务解决方案并行的平台型企业，各业务板块的协同发展和联合研发不断构建创新的产品布局和新业务发展机会。预测公司2025-2027年归母净利润分别为24.77/30.73/38.88亿元，对应EPS1.16/1.44/1.82元/股，PE19/16/12倍。维持“买入”评级。风险提示：行业竞争加剧、原材料价格大幅波动、新品研发进度不及预期等。,,华金证券,买入,[None],2025-08-31,,买入,6370895,pdf_downloads/2025/2025-08-31/603659-璞泰来（603659）：25Q2业绩亮眼，拥有固态电池平台型优势.pdf,603659,璞泰来,璞泰来（603659）：25Q2业绩亮眼，拥有固态电池平台型优势
"曾韬,段尚昌","璞泰来(603659)核心观点事件：25H1公司实现营收70.9亿元，同比+12%，归母净利10.6亿元，同比+23%，扣非净利9.9亿元，同比+29%；毛利率32.1%，同比+2.6pcts，净利率14.9%，同比+1.4pcts。25Q2公司实现营收38.7亿元，同/环比+17%/+20%；归母净利5.7亿元,同/环比+37%/+16%；毛利率32.1%，同/环比+4.2/-0.1pcts；净利率14.7%，同/环比+2.1/-0.5pcts，符合预期。涂覆业务稳健，基膜放量。25H1公司涂覆膜/基膜出货约48亿平/5亿平，同比+64%/翻倍增长，其中Q2出货约26亿平/3亿，涂覆业务市场占有率持续提升至43%，龙头地位稳固，盈利基本稳定。基膜方面四川产能释放贡献增量，预计单吨盈利约0.1元，后续研发致力推动单线产能提升50%至3亿平，降本空间可观。PVDF/PAA/铝塑膜同比+68%/+153%/+29%增长态势良好。负极材料报价供应，新品将贡献弹性。25H1公司负极材料出货量约7万吨，其中Q2约4万吨，同比略有增长，主要系公司严控低价产品出货量以保障盈利和现金流。四川基地正式投产爬坡，盈利持续修复，预计Q2微利。后续高价值量新品进入客户导入/批量试生产阶段，全年有望实现盈亏平衡。行业回暖，设备量利齐升。行业重回扩张，25H1锂电设备营收同比+7%，新接订单超24亿同比大幅提升。多概念加持，价值重估。1)固态电池叠片、辊压等设备实现突破或达可交付状态，成功推出干法电极整线解决方案并实现出货验收，过去三年固态电池相关工艺设备订单已超2亿元。2）400吨硅碳负极在建并拥有200吨多孔碳中试线，计划年底形成千吨级产能，核心设备自研；锂金属负极成型设备已完成样机开发并交付使用。3）200吨氧化物固态电解质中试线建成，产品性能领先。4）积极探索极片“整卷”交付模式，海外客户有望逐步起量。投资建议：我们预计公司2025-2027年营收分别为165/196/233亿元；归母净利分别为24/31/39亿元，EPS1.1、1.5、1.8元/股，对应PE20x/15x/12x。首次覆盖给予“推荐”评级。风险提示：行业竞争加剧、全球贸易形势复杂多变、原材料价格上涨等风险。",,银河证券,推荐,[None],2025-08-30,,买入,6390946,pdf_downloads/2025/2025-08-30/603659-璞泰来（603659）：2025年半年报业绩点评&首次覆盖报告：主业稳健恢复，新布局未来可期.pdf,603659,璞泰来,璞泰来（603659）：2025年半年报业绩点评&首次覆盖报告：主业稳健恢复，新布局未来可期
