author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
匡培钦,事件：京沪高铁发布2025年三季报。前三季度公司实现营业收入328亿元，同比+1.4%，对应归母净利103亿元，同比+2.87%。点评：营收稳增，Q3归母净利同比+9%。2025年前三季度京沪高铁实现营收328.05亿元，同比+1.39%，对应录得归母净利103.02亿元，同比+2.87%。单季度看，公司25Q1/Q2/Q3营收分别为102/108/118亿元，同比分别+1.2%/+0.3%/+2.6%，对应25Q1/Q2/Q3实现归母净利润分别为29.64/33.52/39.86亿元，同比分别+0.03%/-1.22%/+8.96%，三季度实现利润同比较快增长。单季度毛利率超过50%，本线提价取得成效。25Q3公司单季度毛利率为50.48%，同比+0.9pct；其中Q3营收同比+2.60%，对应营业成本同比+0.78%，考虑主要系本线高铁客票业务提价影响，业务收入有所提升，带动毛利率上涨。京福安徽三季度盈利，少数股东权益同比增加。2025年单三季度，公司少数股东损益为0.6亿元，来自京福安徽公司，少数股东损益同比增长302%；我们预计京福安徽公司实现盈利，Q3利润约1.73亿元。看好本线量价稳增、跨线业务量提升，驱动业绩增长。本线业务旅客量稳增，我们认为全年客流量或能保持增长，且Q3票价结构性上调取得成效，未来本线量价有望保持稳增；同时跨线路网业务量受益于京福安徽线增长拉动，看好公司全年业绩稳增。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别130.22/136.94/144.09亿元，同比分别+2.0%、+5.2%、+5.2%，对应每股收益分别为0.27、0.28、0.29元，10月30日收盘价对应PE分别为19.65、18.69、17.76倍。我们看好公司本跨线业务发展，维持对公司“增持”评级。风险因素：宏观经济波动风险，清算政策调整风险，委托管理风险，行业竞争加剧风险，京福安徽运量增长不及预期风险等。,,信达证券,增持,[None],2025-10-31,,增持,7100735,pdf_downloads/2025/2025-10-31/601816-京沪高铁（601816）：2025年三季报点评：量价稳增驱动Q3利润同比+9%，看好全年业绩稳增.pdf,601816,京沪高铁,京沪高铁（601816）：2025年三季报点评：量价稳增驱动Q3利润同比+9%，看好全年业绩稳增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 130.22,
            ""eps"": 0.27,
            ""pe"": 19.65
        },
        {
            ""year"": 2026,
            ""net_profit"": 136.94,
            ""eps"": 0.28,
            ""pe"": 18.69
        },
        {
            ""year"": 2027,
            ""net_profit"": 144.09,
            ""eps"": 0.29,
            ""pe"": 17.76
        }
    ]
}",,,19.65,18.69,17.76,,,,0.27,0.28,0.29,
"郑树明,霍泽嘉",2025年10月30日，京沪高铁发布2025年三季度报告。2025Q1-Q3公司实现营业收入328.1亿元，同比增长1.4%；实现归母净利润103.0亿元，同比增长2.9%。其中，3Q2025公司实现营业收入117.9亿元，同比增长2.6%；实现归母净利润39.9亿元，同比增长9.0%。公司营收同比增长，财务费用同比减少。3Q2025公司营业收入同比增长2.6%，主要系国内铁路客运市场形势平稳向好。3Q2025全国铁路客运量为13.0亿人次，同比增长4.7%；全国旅客周转量为4913.0亿人公里，同比增长2.9%。从公司利润表看，公司利润增长主要来自于毛利增长以及财务费用压减。3Q2025公司归母净利润同比增长3.28亿元，其中毛利增长2.54亿元，主要来自于客运形势较好带动收入增长；财务费用压减带来的利润增长1.20亿元。主要由于国内利率下降且公司长期负债减少，财务费用利息支出金额减少所致。毛利率同比下滑，费用率同比改善。3Q2025公司实现毛利率50.5%，同比增长0.90pct，主要由于公司营收同比增长2.6%，营业成本同比增长0.8%导致毛利率下滑。费用率方面，3Q2025公司费用率为4.45%，同比下降1.11pct，其中管理费用率为1.76%，同比持平；研发费用率为0.04%，同比增长0.01pct；财务费用率为2.65%，同比下降1.12pc。由于毛利率同比增长，费用率同比改善，3Q2025公司归母净利率为33.8%，同比增长1.97pct。京福安徽首次实现盈利，看好公司盈利持续改善。1H2025，公司子公司京福安徽公司管辖线路列车走行里程完成2040.7万列公里，较去年同期增长7.5%，首次实现半年度盈利。中长期看，公司实行差异化定价，未来商务出行的刚性需求与京沪航线机票的涨价将进一步为提价提供支撑，同时子公司京福安徽的线位优势显著，路网完善后，规模效应释放，盈利有望持续改善。维持公司2025-2027年归母净利润预测为129.8亿元、135.4亿元、140.7亿元。维持“买入”评级。客运量修复不及预期、定价政策变化风险、安全风险、成本大幅变动风险、股东减持风险。,,国金证券,买入,[None],2025-10-31,,买入,7097126,pdf_downloads/2025/2025-10-31/601816-京沪高铁（601816）：铁路客运市场向好， Q3 业绩同比增长.pdf,601816,京沪高铁,京沪高铁（601816）：铁路客运市场向好， Q3 业绩同比增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 129.8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 135.4,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 140.7,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"李蔚,李天琛",事件公司发布2025年半年报。2025H1，公司实现营业收入210.1亿元，同比增长0.7%，实现归母净利润63.2亿元，同比下降0.6%。其中2025Q2，公司实现营业收入107.9亿元，同比增长0.3%，实现归母净利润33.5亿元，同比下降1.2%。跨线业务增速放缓，京福安徽实现首次盈利2025H1，京沪高铁本线列车运送旅客2499.6万人次，同比增长1.2%；跨线列车走行里程完成4855.6万列公里，同比增长0.1%；京福安徽公司管辖线路列车走行里程完成2040.7万列公里，同比增长7.5%。京福安徽首次实现半年度盈利，2025H1实现净利润807.9万元。H1毛利率同比下降0.85pct，财务费用同比缩减2025H1，公司营业成本为112.34亿元，同比增长2.34%；毛利率为46.54%，同比下降0.85pct。H1公司管理费用/财务费用分别为4.00/7.63亿元，同比分别变动+0.98%/-18.04%。公司重视股东回报，积极回购并实行中期分红公司使用10亿元自有资金开展国铁企业首次股份回购，累计回购1.8亿股，回购股份已全部注销，有效提升每股收益和股东回报。公司实行中期分红，每股分红0.0385元（含税），拟派发现金红利18.84亿元。盈利预测与投资建议考虑到H1业绩有所承压，我们预计公司2025-2027年营业收入分别为427.77/444.69/468.23亿元，同比增速分别为1.47%/3.96%/5.30%；归母净利润分别为129.23/136.27/147.40亿元，同比增速分别为1.21%/5.45%/8.16%；EPS分别为0.26/0.28/0.30元。鉴于公司路线资产具备显著区位优势，客流基础良好，维持“买入”评级。风险提示：宏观经济增速放缓；空铁竞争风险。,,国联民生证券,买入,[None],2025-09-08,,买入,6447224,pdf_downloads/2025/2025-09-08/601816-京沪高铁（601816）：业绩略低于预期，京福安徽实现盈利.pdf,601816,京沪高铁,京沪高铁（601816）：业绩略低于预期，京福安徽实现盈利,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 129.23,
            ""eps"": 0.26,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 136.27,
            ""eps"": 0.28,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 147.40,
            ""eps"": 0.30,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.26,0.28,0.3,
李丹,投资要点2025年上半年，公司实现营业收入210.13亿元，同比增长0.72%；实现归母净利润63.16亿元，同比小幅下滑0.64%；其中，25Q2实现营业收入107.9亿元，同比增长0.31%；实现归母净利润33.52亿元，同比下降1.22%。成本端，上半年营业成本同比增长2.34%，增速略高于营收。得益于债务结构优化，财务费用同比大幅下降18.04%至7.63亿元，对利润形成一定支撑。经营性现金流净额为102.69亿元，维持健康水平。核心业务增长承压，跨线业务增速显著放缓2025年上半年，京沪高铁本线列车运送旅客2499.6万人次、较去年同期增长1.2%；跨线列车走行里程完成4855.6万列公里、较去年同期增长0.1%，增速显著放缓。京福安徽公司首次盈利，成为业绩最大亮点与未来增长引擎2025年上半年，子公司京福安徽公司业绩实现历史性突破，首次录得半年度盈利，实现净利润807.9万元。其管辖线路列车走行里程完成2040.7万列公里，同比增长7.5%，增速远超京沪高铁本线及跨线业务，成长性凸显。我们认为，京福安徽公司的盈利拐点验证了公司收购时的战略布局，即在主线增长趋于平稳时，通过新线培育打开第二成长曲线。成本端刚性显现，股东回报力度持续加强公司成本结构整体偏刚性。其中，委托运输管理费是主要成本项之一，根据新一轮合同，该费用仍有5.36%的年增长率，在当前收入增速放缓的背景下对毛利率形成一定压力。不过，公司通过持续优化债务结构，上半年财务费用同比大幅减少18.04%，有效对冲了部分成本压力。尽管业绩增速放缓，公司依然展现出强大的现金流创造能力和回报股东的意愿。上半年，公司使用10亿元自有资金完成股份回购，累计回购并注销1.8亿股，有效提升每股收益。此外，公司在派发了创历史新高的2024年度股息后，再次提议派发2025年半年度现金红利18.84亿元（每10股派0.385元）。盈利预测与估值我们预计公司2025-2027年归母净利润分别128、137、148亿元，EPS分别为0.26、0.28、0.30元，现价分别对应20、19、17xPE。我们看好公司核心资产带来的旺盛客运需求，量价提升带来的盈利增长空间，维持“增持”评级。风险提示宏观经济波动、委托运输成本上涨、平行线路分流等。,,浙商证券,增持,[None],2025-09-07,,增持,6397566,pdf_downloads/2025/2025-09-07/601816-京沪高铁（601816）：2025中期点评报告：H1归母净利润小幅下滑，京福安徽首次盈利.pdf,601816,京沪高铁,京沪高铁（601816）：2025中期点评报告：H1归母净利润小幅下滑，京福安徽首次盈利,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 128,
            ""eps"": 0.26,
            ""pe"": 20
        },
        {
            ""year"": 2026,
            ""net_profit"": 137,
            ""eps"": 0.28,
            ""pe"": 19
        },
        {
            ""year"": 2027,
            ""net_profit"": 148,
            ""eps"": 0.3,
            ""pe"": 17
        }
    ]
}",,,20.0,19.0,17.0,,,,0.26,0.28,0.3,
"黄文鹤,张骁瀚,陈佳裕",京沪高铁(601816)2025年8月29日公司发布2025年中报：2025H1公司营收210.1亿元，同比+0.7%，归母净利63.2亿元，同比-0.6%，扣非归母净利63.2亿元，同比-0.6%；25Q2公司营收107.9亿元，同比+0.3%，归母净利33.5亿元，同比-1.2%，扣非归母净利29.6亿元，同比-12.6%。本线客运业务上半年转为正增长，跨线列车开行周转量同比持平。京沪高铁25H1营收同比小幅上涨，拆分业务来看：1）本线客流同比转为正增长：2025H1京沪高铁本线运送旅客2500万人次，同比+1.2%，上半年全国铁路旅客周转量同比+2.7%，增速慢于行业整体，我们认为与京沪本线开行班列增加有限叠加公商务需求弱复苏有关。2）跨线路网周转量同比持平：2025H1跨线路网班列周转量同比+0.1%，与去年同期基本持平。上半年公司营收增长略快于业务量增长。同期债务偿还，25H1利息支出同比下降、债务偿还进程有所放缓。2025H1公司利息支出8.04亿元，同比-24%，中报公司资产负债率22.3%，较2024年底提升1.5pcts，但同比往年处于较低水平，利息支出同比继续下降主要得益于公司持续偿还表内债务。公司经营活动现金流充足，过往年份偿还存量债务，25Q1资产负债率环比下降0.2pcts至20.7%，25Q2环比上升1.6pcts至22.3%，公司债务偿还进程有所放缓。我们预计公司盈利一方面持续受益利息支出节降，另一方面债务偿还强度减小将提升股东回报能力。京福安徽首次半年度扭亏，京港高铁雄商段开通构成客源补充，关注后续盈利贡献。25H1京福安徽管辖线路列车运行里程2041万列公里，同比+7.5%，首次实现半年度盈利，拆分来看25Q1、25Q2公司分别盈利0.41亿元、亏损0.33亿元，2024年京港高铁雄商段进入快速建设期，雄商段贯通后将承接北部南下客流，我们看好京港高铁雄商段开通后对京福安徽路网的客源补充。公司首次宣派中期分红，派息比例29.8%。2025年中报公司宣派现金分红18.8亿元（含税），分红比例29.8%，首次宣派中期分红，延续稳健分红政策。此外，公司已完成半年度股票回购，2024年公司启动上市以来首次股份回购，使用10亿元回购并注销股份，截至2025年5月末累计回购股份1.81亿股并完成注销，回购价格区间5.20-5.72元/股，平抑股价波动、提升投资者信心。投资建议：上半年本线及跨线客运增速表现稳健，公司作为国内最优质的高铁资产具备长期价值，看好京福安徽扭亏后的盈利贡献以及雄商段通车后的列车增量。我们预计2025-2027年公司归母净利润分别为132.5、136.6、150.4亿元，当前股价对应PE分别为19、19、17倍。首次覆盖，给予“推荐”评级。风险提示：本跨线客流增长不及预期；委托运输成本增长超预期；新线路投运分流。,,民生证券,推荐,[None],2025-09-04,,增持,6391934,pdf_downloads/2025/2025-09-04/601816-京沪高铁（601816）：2025年半年报点评：京福安徽首次半年度盈利，中期分红提升股东回报.pdf,601816,京沪高铁,京沪高铁（601816）：2025年半年报点评：京福安徽首次半年度盈利，中期分红提升股东回报,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 132.5,
            ""eps"": null,
            ""pe"": 19
        },
        {
            ""year"": 2026,
            ""net_profit"": 136.6,
            ""eps"": null,
            ""pe"": 19
        },
        {
            ""year"": 2027,
            ""net_profit"": 150.4,
            ""eps"": null,
            ""pe"": 17
        }
    ]
}",,,19.0,19.0,17.0,,,,,,,
"沈晓峰,林霞颖",京沪高铁发布半年报，2025年H1实现营收210.13亿元（yoy+0.72%），归母净利63.16亿元（yoy-0.64%）。其中Q1、Q2实现营业收入102亿元（yoy+1.2%）、108亿元（yoy+0.3%），录得归母净利29.64亿元（yoy持平）、33.52亿元（yoy-1.22%）。Q2盈利略低于我们预期（35.68亿元），商务出行需求仍偏弱。公司首次提出中期分红方案，拟派发2025年度中期股息0.0385元/股，中期分红金额约占1H25归母净利的29.8%。公司在上半年实施股票回购，回购金额与中期拟分红金额合计约占1H25归母净利的45%。维持“买入”。行业层面：铁路出行半径继续缩短，受到航空促销分流影响据国家铁路局，1-3月、4-6月全国铁路客运量同比增长5.9%、7.4%，但旅客周转量仅同比增长1.7%、3.9%，反映出行半径仍在缩短。这或与高铁通达性提高、中产消费趋于保守、航空促销分流长途铁路客源有关。1H25铁路旅客周转量增速（同比+2.8%）继续低于民航国内线旅客周转量增速（同比+4.3%）。据航班管家，上半年首都机场至虹桥机场的航班座位数同比下降1.0%、客座率同比提高4.5pct，平均票价同比下降9.4%。公司层面：1H25京沪线表现偏弱，京福安徽扭亏分线路看，1H25公司京沪线录得收入180亿元（同比+0.6%）、净利63.1亿元（同比-2.2%）。1H25京沪本线车运送旅客量同比增长1.2%，跨线车走行里程同比增长0.1%。京沪线表现平淡，或与商务出行需求偏弱、委托管理费上涨有关。中报关联交易披露，动车组使用费同比增长2.6%，略高于京沪线收入增幅，显示客座率等效益指标可能不佳；委托运输管理费同比增加7.0%，主因基础设施服务费单价上调。1H25京福安徽实现半年度扭亏，录得净利润808万元（1H24亏损1.48亿元），或与旅游需求较强、财务费用下降有关。1H25京福安徽管辖线路列车走行里程同比增长7.5%。展望2H25：暑运客流或稳健增长，但景气持续性仍需观察铁路暑运客流稳健增长。国铁集团预计7月-8月全国铁路发送旅客9.53亿人次，同比增长5.8%。其中，7月实际铁路客运量、旅客周转量同比增长6.6%、5.7%（国家铁路局）。今年中秋与国庆合并假期为8天（10.1-10.8）并且都在10月，而去年中秋与国庆假期分开放假并且中秋小长假在9月。放假安排可能使今年9月的铁路客运景气度边际回落。4Q商务需求仍待改善、冬季旅游需求低，暑运过后的客流景气度仍待观察。盈利预测与估值考虑客流需求偏弱以及航空促销政策的分流影响，我们下调2025-2027年归母净利0.3%/1.6%/2.2%至130.93/136.97/146.67亿元。2026-2027年盈利同比增速加快，主要考虑京福安徽扭亏后盈利释放，以及雄商高铁通车后（预计2026年底）带来列车增量。我们基于WACC=7.66%、g=2.5%（前值WACC=7.78%、g=2.5%），下调目标价至6.32元（前值6.45元）。风险提示：出行需求疲弱、票价管制、能源成本上涨、潜在路网分流。,,华泰证券,买入,[None],2025-09-01,,买入,6376673,pdf_downloads/2025/2025-09-01/601816-京沪高铁（601816）：2Q盈利略低于预期，需求仍偏弱.pdf,601816,京沪高铁,京沪高铁（601816）：2Q盈利略低于预期，需求仍偏弱,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 130.93,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 136.97,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 146.67,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
匡培钦,京沪高铁(601816)事件：京沪高铁发布2025年半年报。上半年公司实现营业收入210亿元，同比+0.7%，对应归母净利63亿元，同比-0.64%。点评：营收微增，归母净利略降。2025年上半年京沪高铁实现营收210.13亿元，同比+0.72%，对应录得归母净利63.16亿元，同比-0.64%。其中25Q1/Q2实现归母净利润分别为29.64/33.52亿元，同比分别+0.03%/-1.22%。本线客流量微增，跨线业务增速放缓。1）本线客运业务：2025年上半年公司本线列车运送旅客2499.6万人次，同比+1.2%，客流量稳增。2）跨线路网业务：25H1公司跨线列车运行里程完成4855.6万列公里，同比+0.1%，京福安徽线列车运行里程2040.7万列公里，同比+7.5%。跨线业务量增速明显放缓，京福安徽线业务量保持较快增速。京福安徽首次实现半年度盈利。2025年上半年京福安徽实现盈利，录得净利润807.9万元，同比上年同期-1.48亿元扭亏1.56亿。公司相应少数股东损益为0.028亿元，上年同期为-0.52亿元。本线业务有望量价稳增驱动业绩增长。上半年本线业务旅客量稳增，我们认为全年客流量或能保持增长，同时票价若能结构性上调，量价稳增有望驱动业绩增长。跨线路网业务量主要是京福安徽线增长驱动，看好公司全年业绩稳增。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别130.21/136.67/143.46亿元，同比分别+2.0%、+5.0%、+5.0%，对应每股收益分别为0.27、0.28、0.29元，8月29日收盘价对应PE分别为20.07、19.12、18.21倍。我们看好公司本跨线业务发展，维持对公司“增持”评级。风险因素：宏观经济波动风险，清算政策调整风险，委托管理风险，行业竞争加剧风险，京福安徽运量增长不及预期风险等。,,信达证券,增持,[None],2025-08-31,,增持,6370457,pdf_downloads/2025/2025-08-31/601816-京沪高铁（601816）：京福安徽转盈，看好京沪整体量价稳增.pdf,601816,京沪高铁,京沪高铁（601816）：京福安徽转盈，看好京沪整体量价稳增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 130.21,
            ""eps"": 0.27,
            ""pe"": 20.07
        },
        {
            ""year"": 2026,
            ""net_profit"": 136.67,
            ""eps"": 0.28,
            ""pe"": 19.12
        },
        {
            ""year"": 2027,
            ""net_profit"": 143.46,
            ""eps"": 0.29,
            ""pe"": 18.21
        }
    ]
}",,,20.07,19.12,18.21,,,,0.27,0.28,0.29,
"郑树明,霍泽嘉",2025年8月29日，京沪高铁发布2025年半年度报告。1H2025公司实现营业收入210.1亿元，同比增长0.7%；实现归母净利润63.1亿元，同比下滑0.6%。其中，2Q2025公司实现营业收入107.9亿元，同比增长0.3%；实现归母净利润33.5亿元，同比下滑1.2%。公司营收稳定增长，京福安徽首次实现盈利。1H2025公司营业收入同比增长0.7%，主要系国内铁路客运市场形势平稳向好。1H2025京沪高铁本线列车运送旅客2499.6万人次，同比增长1.2%；跨线列车运行里程完成4855.6万列公里，同比增长0.1%；京福安徽公司管辖线路列车运行里程完成2040.7万列公里，同比增长7.5%。受益于京福安徽的里程同比明显提升，京福安徽实现净利润808万元，同比增长1.56亿元，首次实现报告期内盈利。毛利率同比下滑，费用率同比改善。1H2025公司实现毛利率46.5%，同比下滑0.85pct，主要由于公司营收稳定，营业成本增长2.3%导致毛利率下滑。费用率方面，1H2025公司费用率为5.6%，同比下降0.82pct，其中管理费用率为1.91%，同比增加0.01pct；研发费用率为0.01%，同比持平；财务费用率为3.63%，同比下降0.83pct，主要或由于公司提前归还银行贷款以及利率下降，财务费用利息支出金额减少所致。由于毛利率同比下滑，1H2025公司归母净利率为30.1%，同比下滑0.41pct。1H2025铁路运输量同比增长，公司盈利有望持续改善。1H2025，全国铁路完成客运量22.4亿人，同比增长6.7%；完成旅客周转量7995.8亿人公里，同比增长2.8%。中长期看，公司实行差异化定价，未来商务出行的刚性需求与京沪航线机票的涨价将进一步为提价提供支撑，同时子公司京福安徽的线位优势显著，路网完善后，规模效应释放，盈利有望持续改善。考虑到上半年铁路客运需求增长较慢，下调公司2025-2027年归母净利润预测至129.8亿元、135.4亿元、140.7亿元（原138.5亿元、148.5亿元、159.7亿元）。维持“买入”评级。客运量修复不及预期、定价政策变化风险、安全风险、成本大幅变动风险、股东减持风险。,,国金证券,买入,[None],2025-08-30,,买入,6371916,pdf_downloads/2025/2025-08-30/601816-京沪高铁（601816）公司点评：业绩同比下滑京福安徽实现盈利.pdf,601816,京沪高铁,京沪高铁（601816）公司点评：业绩同比下滑京福安徽实现盈利,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 129.8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 135.4,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 140.7,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"王靖添,刘国强",京沪高铁(601816)2024年，京沪高铁实现营业总收入421.57亿元，同比增长3.62%；归属于上市公司股东的净利润为127.68亿元，同比增长10.59%，公司在疫情后复苏阶段展现出较强的韧性。京福安徽营收加速增长，叠加雄商高铁2026年通车预计贡献增量客源车次，中长期具有明显成长性。首次覆盖，给予增持评级支撑评级的要点京沪高铁：中国高铁标志性工程，2024年归母利润超127亿元。京沪高铁是中国高速铁路的标志性工程，全长1318公里，2011年全线通车，2020年A股上市，累计运输旅客超16亿人次。公司商业模式是采取委托运输管理模式运营，运输组织由沿线铁路局具体负责。公司主营业务为高铁旅客运输，营收来源主要分为旅客运输收入和路网服务收入，2024年分别占比为38%和62%。2024年和2025年Q1营收分别为421.6亿元和102.2亿元，同比增长3.6%和1.2%，归母净利润分别为127.7亿元和29.6亿元，同比增长10.6%和0.03%，毛利率分别为47.4%和45.4%。高铁行业：2024年发送旅客超32亿人次，中国公众最偏好的出行方式之一。2008年京津城际开行标志中国进入高铁时代，截至2024年底，中国高速铁路营业里程已超过4.5万公里。2024年高铁客运量占铁路客运量比例超75%。关键因素：①票价机制：高铁客运价格市场化改革持续推进，京沪高铁差异化定价策略有效平衡客流量与收益，当前执行的二等座票价较京沪航线经济舱均价低超20%，价格优势明显。②出行需求：2024年京沪高铁沿线七省市GDP占全国三成以上，有效支撑高铁客运出行需求。③网络效应：日益完善的高铁网络催化增量出行需求，雄商高铁未来开通有望为京福安徽线路带来增量客源。④技术进步：动车组技术进步改善高铁线路使用效率，目前我国时速达450km/小时的CR450动车组正在研发过程中，展望未来若后续逐步落地应用，将有助于高铁线路提供更加充足的产能供给。同业对比：京沪高铁运营模式“轻”优势，日本东海客运盈利能力具备领先水平。国内方面，京沪高铁委托管理模式运营，广深铁路全环节负责运行，京沪高铁的商业模式更偏向高附加值的长途干线运营与路网资产收益，而广深铁路则侧重综合运输服务与区域市场深耕。中日对比方面，日本东海客运盈利能力更具优势，京沪高铁资产负责率相对较低。估值我们预计公司2025-2027年的营业收入为441.73/464.31/492.40亿元，同比增长4.8%/5.1%/6.0%。预计公司2025-2027年实现归母净利润129.36/143.69/159.36亿元，同比增长1.3%/11.1%/10.9%，预计2025-2027年公司EPS分别为0.26/0.29/0.33元/股，对应20.6/18.6/16.7倍PE。首次覆盖，给予公司增持评级。评级面临的主要风险宏观经济波动抑制出行需求风险，跨线列车协同效应弱化风险，京福安徽盈利可持续性风险，刚性成本压力，交通方式替代竞争加剧风险。,,中银国际,增持,[None],2025-08-01,,增持,6269596,"pdf_downloads/2025/2025-08-01/601816-京沪高铁（601816）：""京沪主动脉+京福新线网+票价浮动化""三维共振，高铁龙头再启航.pdf",601816,京沪高铁,"京沪高铁（601816）：""京沪主动脉+京福新线网+票价浮动化""三维共振，高铁龙头再启航","{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 129.36,
            ""eps"": 0.26,
            ""pe"": 20.6
        },
        {
            ""year"": 2026,
            ""net_profit"": 143.69,
            ""eps"": 0.29,
            ""pe"": 18.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 159.36,
            ""eps"": 0.33,
            ""pe"": 16.7
        }
    ]
}",,,20.6,18.6,16.7,,,,0.26,0.29,0.33,
程志峰,"事件近期，京沪高铁宣布6月完成回购股份注销，总股本从491亿变为489亿。在7月份按照此股本为基数，完成24年度股息权益分派。公司在2024年报告期内，实现营业总收入421.57亿，同比增+3.62%；归母净利127.68亿，同比增+10.59%；扣非归母净利127.63亿，同比增+10.51%；基本每股收益0.26元，加权ROE为6.42%，经营活动产生的现金流量净额为200.65亿元。公司24年派发现金股息约57.83亿人民币，全年分红1次，约占当年度净利润比例的45.3%；每股分红0.118元（含税）;若仅以年报披露日A股的收盘股价计算，1次分红对应股息率约为2.1%，已在25年7月派息完毕。2025年Q1，营收102.23亿，同比增+1.16%，扣非归母净利润增29.64亿，同比增+0.02%。点评24全年,京沪高铁,本线列车运送旅客5201.6万人次；跨线列车运行里程完成10250.7万列公里，较去年同期增长11.4%；京福安徽公司管辖线路列车运行里程完成3763万列公里，同比增长5.7%。近期，公司与北京局、济南局和上海局，签订协议，就25-27年的委托运输费用标准，规定结算单价以24年度单价为基数，自25年度起每年在上一年度结算单价（不含税）的基础上按照 5.355%增长执行。公司除了投资、建设、运营的京沪高铁之外，还有控股65.08%的子公司京福安徽公司，此为合蚌客专、合福铁路安徽段、商合杭铁路安徽段、郑阜铁路安徽段的投资、建设、运营主体，是中长期的潜力方向。投资评级公司下一步，拟继续优化运力供给，完善票价浮动策略，开展客运品质提升行动，还研究高铁与文旅融合方案等。综述，我们看好公司提升竞争力的经营策略，维持“增持”评级。风险提示宏观经济波动风险；其他运输方式的竞争风险；运输安全风险；",,太平洋证券,增持,[None],2025-07-27,,增持,6252087,pdf_downloads/2025/2025-07-27/601816-京沪高铁（601816）：25Q1点评：回购股份注销股份注销后才派息，凸显分红诚意.pdf,601816,京沪高铁,京沪高铁（601816）：25Q1点评：回购股份注销股份注销后才派息，凸显分红诚意,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
