author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
Weimin Yu,本报告导读：FTTR出货量持续提升，获取多个工信部万兆光网试点；光网络、光宽带等产品在东南亚、美洲、非洲等市场相继突破，获取较大份额。投资要点：维持“优于大市”评级。根据25年前三季度经营业绩进行调整，我们预计2025-2027年公司营收分别为286.54亿元、294.05亿元和306.88亿元，归母净利润9.51亿元、10.22亿元和11.09亿元，对应EPS为0.74元、0.79元、0.86元。参考可比公司估值，给予公司2026年PE为35倍，对应目标价为27.76元，维持“优于大市”评级。 2025年前三季度营收170.72亿元，同比-19.3%，归母净利润5.13亿元，同比+30.28%，扣非后归母净利润5.01亿元，同比+35.75%，毛利率22.42%，同比+0.29pct。2025Q3营收59.55亿元，同比-18.48%、环比-15.75%，归母净利润2.26亿元，同比+28.14%、环比-2.27%，扣非后归母净利润2.20亿元，同比+41.49%、环比-3.44%，毛利率22.79%，环比+2.70pct。 国内运营商市场巩固存量市场份额，加快新产品布局，公司光网络中标移动普缆、电信PON等集采项目；服务器中标中国铁塔、联通数科等项目；FTTR 出货量持续提升，获取多个工信部万兆光网试点。国际市场经营持续向好，光网络、光宽带等产品在东南亚、美洲、非洲等市场相继突破，获取较大份额。信息化市场深耕行业，服务器入围南网信息化框架集采，在金融行业延续国有银行突破态势；抢抓信创风口，中标多个重大信创项目；整合内部“云、数、算”核心能力，形成具备独特竞争力的一体化解决方案。风险提示：运营商资本开支不及预期，AI需求不及预期。,,海通国际证券,优于大市,[None],2025-11-27,,买入,8191581,pdf_downloads/2025/2025-11-27/600498-烽火通信（600498）： 2025 年三季报点评：Q3净利同比实现增长，光通信稳中有进.pdf,600498,烽火通信,烽火通信（600498）： 2025 年三季报点评：Q3净利同比实现增长，光通信稳中有进
"余伟民,王彦龙,于一铭",维持“增持”评级。根据25年前三季度经营业绩进行调整，我们预计2025-2027年公司营收分别为286.54亿元、294.05亿元和306.88亿元，归母净利润9.51亿元、10.22亿元和11.09亿元，对应EPS为0.74元、0.79元、0.86元。参考可比公司估值，给予公司2026年PE为35倍，对应目标价为27.76元，维持“增持”评级。 2025年前三季度营收170.72亿元，同比-19.3%，归母净利润5.13亿元，同比+30.28%，扣非后归母净利润5.01亿元，同比+35.75%，毛利率22.42%，同比+0.29pct。2025Q3营收59.55亿元，同比-18.48%、环比-15.75%，归母净利润2.26亿元，同比+28.14%、环比-2.27%，扣非后归母净利润2.20亿元，同比+41.49%、环比-3.44%，毛利率22.79%，环比+2.70pct。 国内运营商市场巩固存量市场份额，加快新产品布局，公司光网络中标移动普缆、电信PON等集采项目；服务器中标中国铁塔、联通数科等项目；FTTR 出货量持续提升，获取多个工信部万兆光网试点。国际市场经营持续向好，光网络、光宽带等产品在东南亚、美洲、非洲等市场相继突破，获取较大份额。信息化市场深耕行业，服务器入围南网信息化框架集采，在金融行业延续国有银行突破态势；抢抓信创风口，中标多个重大信创项目；整合内部“云、数、算”核心能力，形成具备独特竞争力的一体化解决方案。风险提示：运营商资本开支不及预期，AI需求不及预期。,,国泰海通,增持,[None],2025-11-26,,买入,8189786,pdf_downloads/2025/2025-11-26/600498-烽火通信（600498）：2025年三季报点评：Q3净利同比实现增长，光通信稳中有进.pdf,600498,烽火通信,烽火通信（600498）：2025年三季报点评：Q3净利同比实现增长，光通信稳中有进
"Weimin Yu,Barney Yao","本报告导读：公司整体经营保持稳健，尽管收入有所下滑，但归母及扣非净利润保持较高的增速；同时公司国产算力业务持续高增，海外产能持续完善，我们看好公司后续发展，上调目标价，维持优于大市评级。投资要点：上调目标价，维持优于大市评级。公司发布2024年年报及2025年一季报，24年实现营收285.49亿元（同比-8.29%），归母净利润为7.03亿元（同比+39.05%），扣非归母净利润为6.53亿元（同比+43.70%）。25Q1实现营收40.49亿元（同比-19.97%），归母净利润为5520万元（同比+33.08%），扣非归母净利润为5395万元（同比+28.96%）。我们更新公司盈利预测，预计2025-2027年归母净利润为10.06/11.67/13.44亿元（原2025-26预测为9.01、10.51亿元），对应2025-2027年EPS分别为0.85/0.99/1.13元。考虑行业平均估值，并基于审慎考虑，给予2025年35x PE（不变），目标价29.72元（+12%），维持优于大市评级。光通信稳中有进，算力业务高速增长。分产品：通信系统设备营收223.13亿元（同比-6.19%），毛利率为19.46%（同比+0.26pct）；光纤及线缆营收46.99亿元（同比-12.77%），毛利率为25.35%（同比+4.16pct）；数据网络产品营收11.44亿元（同比-27.44%），毛利率为43.92%（同比+2.56pct）。光通信业务方面：公司中标三大运营商400GOTN集采，稳固400G网络核心供应商地位。算力业务方面：公司国产化算力收入规模近60亿，近两年复合增长率超过100%；长江计算获华为鲲鹏领先级、昇腾优选级合作伙伴认证，生态排名前三，未来有望核心受益于国产算力需求增长。全球化布局方面：公司泰国、匈牙利研发制造基地已启动试投产，我们认为此举有助于公司规避贸易风险。费用端有所优化。24年公司销售、管理、研发费用率分别为6.59%、1.54%、10.09%，同比分别+0.85pct、+0,44pct、-1.40pct，三费率合计同比-0.11pct，在整体收入下降的背景实现了一定的费用管控。催化剂：国产算力需求超预期。风险提示：运营商资本开支不及预期；AI需求不及预期。",,海通国际证券,优于大市,[None],2025-05-07,,买入,6043244,pdf_downloads/2025/2025-05-07/600498-烽火通信（600498）：2024年年报及2025年一季报点评：稳重求进，算力业务高速增长.pdf,600498,烽火通信,烽火通信（600498）：2024年年报及2025年一季报点评：稳重求进，算力业务高速增长
"余伟民,王彦龙,于一铭","本报告导读：公司整体经营保持稳健，尽管收入有所下滑，但归母及扣非净利润保持较高的增速；同时公司国产算力业务持续高增，海外产能持续完善，我们看好公司后续发展，上调目标价，维持增持评级。投资要点：上调目标价，维持增持评级。公司发布2024年年报及2025年一季报，24年实现营收285.49亿元（同比-8.29%），归母净利润为7.03亿元（同比+39.05%），扣非归母净利润为6.53亿元（同比+43.70%）。25Q1实现营收40.49亿元（同比-19.97%），归母净利润为5520万元（同比+33.08%），扣非归母净利润为5395万元（同比+28.96%）。我们更新公司盈利预测，预计2025-2027年归母净利润为10.06/11.67/13.44亿元，对应2025-2027年EPS分别为0.85/0.99/1.13元。考虑行业平均估值，并基于审慎考虑，给予2025年35x PE，上调目标价至29.72元（前值为24.72元），维持增持评级。光通信稳中有进，算力业务高速增长。分产品：通信系统设备营收223.13亿元（同比-6.19%），毛利率为19.46%（同比+0.26pct）；光纤及线缆营收46.99亿元（同比-12.77%），毛利率为25.35%（同比+4.16pct）；数据网络产品营收11.44亿元（同比-27.44%），毛利率为43.92%（同比+2.56pct）。光通信业务方面：公司中标三大运营商400G OTN集采，稳固400G网络核心供应商地位。算力业务方面：公司国产化算力收入规模近60亿，近两年复合增长率超过100%；长江计算获华为鲲鹏领先级、昇腾优选级合作伙伴认证，生态排名前三，未来有望核心受益于国产算力需求增长。全球化布局方面：公司泰国、匈牙利研发制造基地已启动试投产，我们认为此举有助于公司规避贸易风险。费用端有所优化。24年公司销售、管理、研发费用率分别为6.59%、1.54%、10.09%，同比分别+0.85pct、+0,44pct、-1.40pct，三费率合计同比-0.11pct，在整体收入下降的背景实现了一定的费用管控。催化剂：国产算力需求超预期。风险提示：运营商资本开支不及预期；AI需求不及预期。",,国泰海通,增持,[None],2025-05-06,,买入,6640447,pdf_downloads/2025/2025-05-06/600498-烽火通信（600498）：2024年年报及2025年一季报点评：稳重求进，算力业务高速增长.pdf,600498,烽火通信,烽火通信（600498）：2024年年报及2025年一季报点评：稳重求进，算力业务高速增长
"Weimin Yu,Haofei Chen",投资要点：事件：烽火通信发布2024年三季报：24Q1-Q3公司实现营收211.54亿元（同比-6.23%），归母净利润3.94亿元（同比+20.07%），扣非归母净利润3.69亿元（同比+24.76%），毛利率22.13%（同比+0.16pct），净利率1.86%（同比+0.41pct）；24Q3公司实现营收73.04亿元（同比-4.70%，环比-16.91%），归母净利润1.76亿元（同比+37.85%，环比+0.50%），扣非归母净利润1.55亿元（同比+56.60%，环比-9.76%），毛利率23.64%（同比-0.45pct，环比+4.32pct），净利率2.42%（同比+0.75pct，环比+0.42pct）。近期多次中标运营商集采项目，彰显核心竞争力。根据公司官微，公司前三季度光通信主业保持稳健增长，与华为鲲鹏昇腾生态合作的算力业务高速增长。根据中国电信阳光采购网，在10月21日发布的《中国电信服务器（2024-2025年）集中采购项目中标候选人公示》中，公司分别以第7名中标标包1、第4名中标标包4、第3名中标标包8、第4名中标标包9。根据公司官微，近期，公司以第一名分别中标安徽联通2024年GYXTS防鼠光缆集中采购项目和宁夏联通2024-2025年气吹微型光缆框架式集采项目；以第一名中标中国电信双频宽带融合终端（2024年-2026年）集中采购项目。费用端：24Q1-Q3公司销售、管理、研发费用率分别为6.83%、1.15%、13.31%，同比分别-0.06pct、+0.06pct、+0.38pct，在保持研发投入强度的同时有效开展费用管理和提质增效工作。此外，公司24Q1-Q3其他收益为4.27亿元，去年同期为2.16亿元，对当期业绩影响较大。盈利预测：我们预计公司2024-2026年收入分别为310.09亿元、348.41亿元、375.30亿元（原预测为 396.35、482.09、532.26亿元），归母净利润分别为6.55亿元、9.01亿元、10.51亿元（原预测为 6.86亿元、8.91亿元、10.40亿元），EPS为0.55元、0.76元、0.89元。参考公司历史估值及可比公司平均估值水平，给予公司2025年PE35X（原为2024年40x），对应目标价26.62元（+15%），维持“优于大市”评级。风险提示：运营商资本开支不及预期，宏观经济波动，AI需求不及预期。,,海通国际证券,优于大市,[None],2024-11-03,,买入,5816095,pdf_downloads/2024/2024-11-03/600498-烽火通信（600498）公司季报点评：三季度业绩高增，盈利能力有所恢复.pdf,600498,烽火通信,烽火通信（600498）公司季报点评：三季度业绩高增，盈利能力有所恢复
"Weimin Yu,Haofei Chen",事件：烽火通信发布定向预案，拟以12.88元/股向其实际控制人国务院国资委全资子公司中国信息通信科技集团有限公司（简称“中国信科”）定向发行约1.16亿股，总募资15亿元，扣除相关发行费用后的募集资金净额将全部用于补充流动资金。定向增发预案要点：1）认购方为中国信息通信科技集团有限公司，中国信科系由国务院国资委出资控股，其通过全资子公司武汉邮科院持有烽火科技92.69%股权，而烽火科技为公司的控股股东。2）本次发行拟募集资金总额为不超过15亿元，扣除发行费用后将全部用于补充流动资金。3）认购价格12.88元/股（董事会决议前20个交易日平均价16.10元/股的80%）。4）认购股票数量1.16亿股。5）依本协议认购的目标股票在本次发行结束之日起三十六个月内不得转让。实控人全额认购，为公司发展保驾护航，彰显长期发展信心。1）本次发行由中国信科全额认购。发行完成后，公司实际控制人控制公司股权比例将得到提升，有助于进一步增强公司控制权的稳定性。同时，中国信科全额认购彰显了对公司长期发展的信心，有利于维护公司市场形象，提升公司整体投资价值，符合公司及全体股东的利益。2）本次定增有利于公司优化资本结构，降低流动性风险，集中力量发展主营业务并布局新兴产业。公司目前的资金主要用来满足原有业务的日常经营和发展需求，本次补充流动资金与公司未来生产经营规模、资产规模、业务开展情况等相匹配，有助于满足公司未来对于流动资金的需求。本次募集资金用于补充流动资金有利于解决公司快速发展过程中的资金短缺问题，也有利于优化资本结构和改善财务状况。本次发行完成后，公司总资产和净资产规模相应增加，资产负债率将有所下降，有利于优化公司的资本结构、降低流动性风险、提升公司的抗风险能力。盈利预测及投资建议：我们预计24-26年公司归母净利润分别为6.86亿元、8.91亿元、10.40亿元（原预测为 7.32亿元、9.03亿元、10.33亿元），EPS为0.58元、0.75元、0.88元。参考公司历史估值及可比公司平均估值水平，给予公司2024年PE 40X不变，对应目标价23.14元（-6%），维持“优于大市”评级。风险提示：400G骨干网建设不及预期；网络可视化及AI行业需求不及预期。,,海通国际证券,优于大市,[None],2024-10-15,,买入,5789143,pdf_downloads/2024/2024-10-15/600498-烽火通信（600498）：公司跟踪报告：实控人全额参与定增，彰显长期发展信心.pdf,600498,烽火通信,烽火通信（600498）：公司跟踪报告：实控人全额参与定增，彰显长期发展信心
"张宁,李宸",7.02%；归母净利润2.17亿元，同比增长8.68%；扣非归母净利润2.14亿元，同比增长8.71%。其中2024Q2实现营业收入87.91亿元，同比下降11.01%，环比增长73.77%；归母净利润1.76亿元，同比增长8.16%，环比增长323.33%；扣非归母净利润1.72亿元，同比增长8.32%，环比增长311.45%。管理费用环比优化，净利率环比提升2024Q2，公司管理费用达到7380.90万元，环比下降21.56%；管理费用率达到0.84%，环比下降1.02pct。公司2024Q2净利率达到1.99%，同比提升0.28pct，环比提升1.18pct。夯实光通信主业，加快算力业务拓展针对运营商客户投资结构性变化，公司在夯实光通信主业的同时，加快算力相关产品与解决方案的业务拓展。2024H1，公司中标中国联通ROADM 400G OTN集采项目，稳固400G OTN网络核心供应商地位；FTTR产品中标多个省内竞争项目，实现规模出货；把握电网智能化升级机遇，中标国家电网多个集采项目。新产品持续推出光通信领域，公司联合鹏程实验室等机构发布基于空芯光纤的超大容量实时传输系统，实现单纤双向同波长传输最大传输容量超270Tbit/s；400G C+L波段超长距传输系统技术实现干线商用落地。海洋通信领域，公司研制成功具有自主知识产权的多款新型设备，完成客户验收和产品交付。公司算力业务保持增长态势，服务器在巩固运营商、金融行业等市场的基础上，实现新金融领域突破布局。业绩稳步增长，维持“买入”评级我们预计公司2024-2026年营业收入分别为364.90/413.58/469.26亿元，同比增速分别为17.22%/13.34%/13.46%；归母净利润分别为6.80/9.02/10.80亿元，同0.57/0.76/0.91元/股。公司业绩稳步增长，算力业务拓展加快，新产品持续推出，维持“买入”评级。风险提示：产品需求不及预期风险；技术研发不及预期风险。,,国联民生证券,买入,[None],2024-08-25,,买入,5733687,pdf_downloads/2024/2024-08-25/600498-烽火通信（600498）：2024年半年报点评：业绩稳步增长，算力业务拓展加快.pdf,600498,烽火通信,烽火通信（600498）：2024年半年报点评：业绩稳步增长，算力业务拓展加快
张宁,投资要点：光通信设备领先厂商公司是集光通信领域三大战略技术（光通信系统和网络、光纤光缆、光电器件）于一体的科研与产业实体，控股多家光通信企业，掌握自主光纤预制棒及光纤生产核心工艺，拥有较为完整的光通信产业链。运营商开启骨干网400G招标，公司为中标候选人2023年10月，中国移动开启省际骨干传送网400G OTN新技术试验网设备集采，采购产品为400G OTN试验网新建设备，预估采购规模为新增OTN设备1910台，400G线路OTU端口11190个。公司中标400G OTN试验网二平面西部标包。运营商资本开支偏向算力网络，公司中标电信AI服务器集采项目根据三大运营商2023年指引，2023年移动、电信、联通的算力/产业数字化资本开支分别为452/380/149亿元，分别同比增长35%/40%/20%。2023年8月20日，中国电信启动AI算力服务器（2023-2024年）集采，公司中标I系列训练型风冷服务器、G系列训练型风冷服务器、G系列训练型液冷服务器三个项目，I系列和G系列的中标份额分别为4.65%/15.97%。控股子公司长江计算已形成“鲲鹏+昇腾”双体系公司控股子公司长江计算是中国信息通信科技集团以匹配国家总体战略布局、发展我国高新技术产业为目标成立的全资子公司。长江计算已推出5大类算力产品，包括通用服务器、智能服务器、高性能计算服务器、存储产品、终端产品等，并成为华为鲲鹏领先级整机硬件伙伴和昇腾优选级整机硬件伙伴双体系认证。盈利预测、估值与评级我们预计公司2024-2026年营业收入分别为364.90/413.58/469.26亿元，同比增速分别为17.22%/13.34%/13.46%;归母净利润分别为6.81/9.06/10.88亿元，同比增速分别为34.74%/33.12%/20.02%;EPS分别为0.57/0.76/0.92元/股，3年CAGR为29.12%。DDM绝对估值法测得公司每股价值为21.80元，综合绝对估值法和相对估值法，我们给予公司2024年40倍PE，目标价22.97元，首次覆盖，给予“买入”评级。风险提示：400G骨干网建设进度不及预期风险；AI产业发展不及预期风险；技术研发不及预期风险；美国限制技术升级、范围扩大风险。,,国联民生证券,买入,[None],2024-05-11,,买入,5624550,pdf_downloads/2024/2024-05-11/600498-烽火通信（600498）：受益于产业升级的光通信领先企业.pdf,600498,烽火通信,烽火通信（600498）：受益于产业升级的光通信领先企业
Weimin Yu,投资要点：事件：烽火通信发布2023年年报，公司全年实现营收311.30亿元（按调整后口径同比+0.68%），归母净利润5.05亿元（按调整后口径同比+24.39%），扣非归母净利润4.55亿元（按调整后口径同比+28.51%），毛利率为20.56%（同比-1.41pct），净利率为1.62%（同比+0.31pct），经营性净现金流5917万元（同比+25.79%），ROE为4.06%（同比+0.68pct）。单季度来看，23Q4实现营收85.70亿元（同比-8.73%），归母净利润1.78亿元（同比+70.44%），扣非归母净利润1.59亿元（同比+97.65%）。营收规模基本持平。分产品看：通信系统设备营收237.85亿元（同比+13.72%），毛利率为19.24%（同比-1.22pct）；光纤及线缆营收53.87亿元（同比-17.24%），毛利率为21.24%（同比+3.81pct）；数据网络产品营收15.77亿元（同比-49.63%），毛利率为41.35%（同比-0.26pct）。分地区看：国内业务营收209.30亿元（同比+9.36%），毛利率为17.23%（同比-2.49pct）；国外业务营收98.18亿元（同比-13.99%），毛利率为28.19%（同比+2.41pct）。分业务看：1）光通信业务：光传输中标移动一干400G项目，实现在运营商市场下一代骨干网的布局；光接入突破50G PON大容量、高密度、三模共存技术，完成运营商现网试点应用；光纤光缆产品在运营商市场份额进一步提升，海洋通信业务在国际市场实现突破，形成规模化销售。2）信息化业务：第二曲线业务算力产品保持快速增长，在运营商市场服务器集采中份额领先，并在金融领域持续突破，实现在工商银行、建设银行等重点客户的规模化应用；数据中心交换机中标移动、电信集采，实现数据通信产品的突破性布局。费用管控有的放矢，研发费用率显著下降。23年公司销售、管理、研发费用率分别为5.74%、1.10%、11.49%，同比分别+0.42pct、+0.03pct、-1.77pct，研发费用下降明显，主要是公司优化研发项目结构，聚焦研发关键领域，适度收缩研发业务范围所致。重点子公司情况：23年烽火星空净利润为1994.96万元（22年为1082.77万元，同比+84.25%），烽火超微净利润为238.67万元（22年为-3332.20万元，同比扭亏为盈）。盈利预测及投资建议：我们预计24-26年公司归母净利润分别为7.32亿元（原为6.05亿元）、9.03亿元、10.33亿元，EPS为0.62元、0.76元、0.87元。参考公司历史估值及可比公司平均估值水平，给予公司2024年PE 40X（原为2023年55x），对应目标价24.71元（+16%），维持“优于大市”评级。风险提示：海外光纤光缆建设不及预期；网络可视化及AI行业需求不及预期。,,海通国际证券,优于大市,[None],2024-05-07,,买入,5618094,pdf_downloads/2024/2024-05-07/600498-烽火通信（600498）：业绩稳健增长，ROE持续改善.pdf,600498,烽火通信,烽火通信（600498）：业绩稳健增长，ROE持续改善
"余伟民,杨彤昕",光通信行业持续向高速发展。近年来，国家不断推动数字经济发展，加快新型数字基础设施建设，2021年11月，工业和信息化部印发了《“十四五”信息通信行业发展规划》，在发展重点章节中强调建设新型数字基础设施，加快推进“双千兆”网络建设；同时，在我国“十四五”规划中，将发展数字经济，推进数字产业化和产业数字化，推动数字经济和实体经济深度融合作为重点内容之一。而目前，我国已建成世界规模最大的光纤通信网络，数字经济以该网络为主要载体，催生出一系列新型应用场景，这些新型应用场景对网络带宽和时延等质量指标提出了更高要求，光通信技术不断突破边界，在其中发挥着越来越重要的作用。公司具备从全光网络核心设备、ICT基础设施到光/铜一体化综合布线产品的完善产业布局，我们认为有望受益于光通信产业持续发展。烽火星空为大数据国家队，有望受益行业复苏。烽火星空为公司在信息安全领域布局的子公司，是国资委直属中央企业中国信息通信科技集团的重要组成成员之一，作为大数据国家队的一员，近年来将深耕公安多年的经验与前沿技术相结合，业务领域不断拓展延伸，目前已形成了“智慧公安、社会治理、智慧城市”三大业务领域。同时，烽火星空于2014年成立人工智能研究院，其人工智能技术在全国各地均有实践，并在国内国际竞赛中获得优异成绩。根据CCF计算机安全专委会微信公众号发布的《2023年网络安全十大发展趋势》，随着我国数字化转型步伐加速，在下游需求及国家政策推动下，各行业对数据安全的投入占比将持续增长，尤其是政务数据管理和央企、国企在相关领域的投入增速将明显加大，有望带动网络安全市场在2023年实现一定程度的复苏。股权激励助推增长。公司2021年发布新一期股权激励计划，业绩考核目标为以2020年度净利润为基数，2022、2023、2024年净利润复合增长率均不低于43%，同时不低于公司同行业平均业绩（或对标企业75分位值）水平。公司始终重视员工激励，2014、2018、2021已连续推出三期股权激励计划，我们认为有望激发员工动力，助力公司长期稳定增长。盈利预测与投资建议。我们预计公司2022-2024年营收分别为306.97亿元、354.76亿元、403.29亿元，同比增长16.7%、15.6%、13.7%，归母净利润分别为3.21亿元、4.60亿元、6.05亿元，同比增长11.3%、43.5%、31.5%。参考可比公司估值，给予公司2023年PE 55倍（之前为2021年动态PE 35倍，+57.14%），对应目标价格为21.32元（之前为2021年目标价33.95，-37.20%），维持优于大市”评级。风险提示。 ICT业务发展低于预期，中美贸易摩擦升级影响。,,海通国际证券,优于大市,[None],2023-02-14,,买入,5116134,pdf_downloads/2023/2023-02-14/600498-烽火通信（600498）交接覆盖：产业迎来新机遇，经营有望逐步改善.pdf,600498,烽火通信,烽火通信（600498）交接覆盖：产业迎来新机遇，经营有望逐步改善
