author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"徐强,吴志鹏",本报告导读：公司股权激励草案计划的目标26年扭亏为盈，在太空光伏领域进行前瞻布局。投资要点：投资建议：我们预计公司2025-2027年的归母净利润分别为-69.69/17.69/32.80亿元，EPS分别为-2.97/0.75/1.40元/股。参考可比公司，给予公司2026年35xPE，目标价为26.42元，维持“增持”评级。25年业绩承压，价格低迷和减值计提造成影响。公司发布25年业绩预告，预计25年的归母净利润为亏损65-75亿元，相比24年的亏损扩大。根据公司业绩预告，25年下半年光伏产品价格在行业反内卷工作推进下逐步提升，然而受硅料和银浆等关键原材料的影响，导致组件业务盈利能力的下滑，同时公司计提了一定的资产减值准备。股权激励目标26年扭亏为盈。公司发布限制性股票激励计划草案，目标2026年净利润不低于2亿元；2027年净利润不低于32亿元，或者2026年-2027年净利润累计值不低于34亿元。我们认为，行业反内卷依然在持续推进，电池片组件环节的价格也开始传导原材料的涨价压力，26年公司组件产品的盈利能力有望改善。储能是公司的第二成长曲线，也有望带来一定的盈利贡献，26年公司的经营业绩有望逐渐向上。太空光伏加速发展，公司前瞻布局。根据wind投资者纪要，公司在HJT、钙钛矿叠层电池、砷化镓多结电池三大方向已经进行了长期完整布局，并且取得了领先性的研发成果。商业化应用方面同样取得显著成果，根据交易所互动平台信息，公司与牛津光伏达成专利技术合作，获得其钙钛矿核心专利技术中国区独家授权，产品已经实现在多个航天航空装备上应用。风险提示：竞争加剧；行业需求下滑；政策风险；技术进步不及预期。,,国泰海通,增持,[None],2026-01-26,,买入,8363437,pdf_downloads/2026/2026-01-26/688599-天合光能（688599）：26年目标扭亏为盈，前瞻布局太空光伏.pdf,688599,天合光能,天合光能（688599）：26年目标扭亏为盈，前瞻布局太空光伏,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -69.69,
            ""eps"": -2.97,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.69,
            ""eps"": 0.75,
            ""pe"": 35
        },
        {
            ""year"": 2027,
            ""net_profit"": 32.80,
            ""eps"": 1.40,
            ""pe"": null
        }
    ]
}"
"曾朵红,郭亚男,徐铖嵘","事件：公司25年Q1-Q3营收499.7亿元，同比-20.9%，归母净利润-42亿元，同比-396.2%，扣非净利润-43.1亿元，同比-303.3%，毛利率5.1%，同比-7.4pct，归母净利率-8.4%，同比-7.1pct；其中25年Q3营收189.1亿元，同环比-6.3％/+13.1％，归母净利润-12.8亿元，同环比+6.5%/+19.7％，扣非净利润-13.6亿元，同环比+7.4%/+14.1％，毛利率4.5%，同环比-5pct/0pct，归母净利率-6.8%，同环比0pct/+2.8pct。组件出货持续增长、分布式+储能+支架贡献增益：25Q3公司组件出货约19-20GW, 测算单瓦亏损约5-6分，环比略改善。公司分布式系统持续出货，我们预计持续贡献正向盈利；储能出货约1GWh+，保持正盈利，我们预计Q4有望出货5GWh，全年出货8-10GWh、出货高增。支架出货约2GW，贡献正盈利。光伏反内卷持续推进，后续价格有望修复。费用有效控制、资本开支持续收缩：公司25年Q1-Q3期间费用59.1亿元，同比-17.7%，费用率11.8%，同比+0.5pct，其中Q3期间费用20.7亿元，同环比-19.5%/+16.6%，费用率11%，同环比-1.8pct/+0.3pct；25年Q1-Q3经营性净现金流28.5亿元，同比-25.5%，其中Q3经营性现金流10.1亿元，同环比-74.6%/-62.3%；25年Q1-Q3资本开支38.1亿元，同比-63%，其中Q3资本开支4.7亿元，同环比-77.6%/-58.3%；25年Q3末存货265.4亿元，较年初增加18.8%。盈利预测与投资评级：考虑到行业竞争加剧及产品价格承压，我们下调25及27年归母净利润分别至-41/24亿元(25及27年前值为-36.7/24.6亿元)，同比-18%/+236%；考虑到公司新业务贡献增强，资本开支收缩，上调26年归母净利润至7.2亿元（26年前值为6.1亿元），同比+118%，基于公司组件出货增长与费用有效控制，维持“买入”评级。风险提示：竞争加剧，政策变动超预期等。",,东吴证券,买入,[None],2025-11-10,,买入,7595882,pdf_downloads/2025/2025-11-10/688599-天合光能（688599）：组件出货环增，储能维持盈利、出货有望高增.pdf,688599,天合光能,天合光能（688599）：组件出货环增，储能维持盈利、出货有望高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -41,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 7.2,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 24,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"武佳雄,顾真","天合光能三季度亏损同环比缩小，发力储能第二成长曲线公司发布2025年三季报，三季度公司亏损同环比收窄；“反内卷”扎实推进，公司盈利有望修复；储能业务稳步推进；维持买入评级。支撑评级的要点2025年三季度亏损环比缩小：公司发布2025年三季报，2025年前三季度公司实现营业收入499.70亿元，同比减少20.87%；实现归母净利润-42.01亿元，同比亏损扩大。2025Q3公司实现归母净利润-12.83亿元，单三季度归母净利润实现同环比亏损收窄。根据公司公告，2025年三季度公司组件业务减亏，主要原因系：海外出货占比提升至60%，以及在行业上下游共同努力下，产品价格出现了上涨，组价业务整体ASP环比提升。“反内卷”扎实推进，光伏产业链涨价可期： 2025年10月28日，《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》全文发布，明确提出综合整治“内卷式”竞争，强化反垄断和反不正当竞争执法司法，形成优质优价、良性竞争的市场秩序。我们认为，在“反内卷”持续深化的背景下，我国光伏产业链价格有望修复，并最终推动产业链盈利修复。储能业务已经成为公司第二成长曲线：公司2022-2024年在欧洲的英国、德国等高价值高要求市场打造多个标杆项目，树立了可靠的“有芯的储能集成商”品牌形象。根据公司公告，2025年公司储能业务目标出货超8GWh，海外市场出货占比约60%。公司已签海外储能订单超过10GWh，明年出货量目标规划为在今年的基础上基本翻番。同时，天合光能凭借场景化的光储智慧能源解决方案，正深度赋能数据中心绿色算力升级，推动行业构建“绿电直供+智能调控+生态协同”的新范式。估值结合公司三季度业绩以及行业“反内卷”进展，我们将公司 2025- 2027
年预测每股收益调整至-1.40/0.86/1.44 元（原预测 2025-2027 年每股收益
为 1.73/2.21/-元），2026-2027 年对应市盈率 24.9/14.9 倍；维持买入评级。
评级面临的主要风险政策不达预期；原材料成本下降不达预期；价格竞争超预期；国际贸易
摩擦风险；技术迭代风险。",,中银国际,买入,[None],2025-11-07,,买入,7548927,pdf_downloads/2025/2025-11-07/688599-天合光能（688599）：三季度亏损同环比缩小，发力储能第二成长曲线.pdf,688599,天合光能,天合光能（688599）：三季度亏损同环比缩小，发力储能第二成长曲线,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -42.01,
            ""eps"": -1.40,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.86,
            ""pe"": 24.9
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.44,
            ""pe"": 14.9
        }
    ]
}"
杨润思,亏损收窄，储能业务强势崛起2025年10月30日，天合光能披露三季报。前三季度，公司实现营业收入499.70亿元，同比下降20.87%；归母净利润亏损42.01亿元，扣非归母净利润-43.15亿元，主要系受产业链供需失衡、光伏产品市场价格持续处于低位影响，组件业务盈利能力下滑。第三季度，公司实现营业收入189.14亿元，同比下降6.27%，环比上涨13.12%；归母净利润为-12.83亿元，亏损环比收窄。费用管控能力持续优化，盈利改善。公司第三季度费用率表现稳健，销售、管理、研发费用率分别为2.75%、3.74%、1.96%，环比分别下降0.04%、0.48%、0.69%，费用管控能力持续优化，运营效率进一步提升。单三季度销售毛利率为4.49%，环比微增；净利率为-6.83%，环比改善2.62个百分点，行业价格承压背景下，公司通过成本控制与结构优化，实现亏损收窄，盈利韧性逐步显现。组件业务减亏，TOPCon技术领跑。三季度公司销售市场进一步聚焦海外，海外出货比例提升至约60%。行业三季度组件业务整体ASP环比提升，公司减亏趋势与行业整体保持一致。此外，公司还通过实施原材料、供应链及费用等方面的精细化管控措施，有效降低了成本，组件业务改善。公司深耕TOPCon技术，天合光能至尊N型组件以720W量产交付功率，持续领跑权威机构TaiyangNews发布的TOPCon组件功率纪录，彰显了公司在TOPCon技术创新与量产的综合实力。储能业务强势崛起，打造第二成长曲线。公司为储能业务设定了明确的增长目标：2025年全年出货目标为8GWh，并计划在2026年实现出货量接近翻番。天合光能储能在海外市场已签订单规模已突破10GWh，预计将在2025至2026年间集中交付。业绩的持续向好，得益于公司战略聚焦于美国、欧洲、中东非等高价值区域，并在“光储融合”战略推动下，有效提升了客户转化率，落实了海外大客户订单，储能业务未来可期。盈利预测：基于公司储能业务高速发展、光伏行业处于加速出清阶段等因素，预计公司2025-2027年归母净利润为-44.71/26.00/41.10亿元，同比增长-29.9%/158.1%/58.1%。“反内卷”政策持续推进，光伏产业链各环节盈利修复，维持“增持”评级。风险提示：市场竞争加剧；海外市场风险；需求不及预期。,,国盛证券,增持,[None],2025-11-06,,增持,7512775,pdf_downloads/2025/2025-11-06/688599-天合光能（688599）：亏损收窄，储能业务强势崛起.pdf,688599,天合光能,天合光能（688599）：亏损收窄，储能业务强势崛起,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": -44.71,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2026,
      ""net_profit"": 26.00,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2027,
      ""net_profit"": 41.10,
      ""eps"": null,
      ""pe"": null
    }
  ]
}"
"邓永康,林誉韬,朱碧野,王一如",Q3亏损环比收窄，看好公司储能业务成长性事件：2025年10月，公司发布2025年三季报，根据公告，公司25Q1-Q3实现收入499.70亿元，同比-20.87%，实现归母净利润-42.01亿元，实现扣非归母净利润-43.15亿元。分季度看，公司25Q3实现收入189.14亿元，同比-6.27%，环比+13.12%，实现归母净利润-12.83亿元，实现扣非归母净利润-13.59亿元，亏损环比收窄。费用管控能力良好，盈利能力边际改善。费用率方面，公司25Q3销售/管理/研发/财务费用率分别为2.75%/3.74%/1.96%/2.52%，环比分别-0.04Pcts/-0.48Pcts/-0.68Pcts/+1.54Pcts，除财务费用率提升外，其他各项费用率改善显著，费用管控能力持续优化。25Q3公司销售毛利率/净利率分别为4.49%/-6.83%，环比25Q2分别+0.04Pcts/+2.63Pcts。至尊N型TOPCon组件领跑量产最高功率。根据TaiyangNews 发布的10月量产最高效率光伏组件榜单，天合光能至尊N型组件以720W量产交付功率，持续领跑该榜单TOPCon组件功率纪录。后续公司基于i-TOPCon Ultra技术，天合光能至尊N型系列组件将全面进阶升级，其中大版型组件量产功率有望突破740W。公司深耕TOPCon多年，产品效率行业领跑，在供给侧改革的背景下，我们认为后续行业落后产能有望迎来加速出清，天合的高效率组件产品市占率有望迎来进一步提升。储能业务稳步向上，海外市场持续突破。公司在稳固组件基本盘的同时，大力发展储能系统集成业务。根据公司公众号，公司储能业务在9月以来连续斩获多个GWh级别订单，2025年海外订单占比已达60%，2026年预计仍将维持超50%的高增长态势，看好储能业务的高增速对公司中长期业绩构成支撑。投资建议：公司为光伏一体化头部企业，储能业务有望提供新增量。预计公司25-27年实现收入708.45/930.11/1080.59亿元，归母净利-44.01/19.17/30.76亿元，基于10月31日收盘价，26-27年对应PE为23x/14x，维持“推荐”评级。风险提示：原材料价格波动、下游行业景气度波动、行业竞争加剧、资产减值风险、国际贸易风险等。,,民生证券,推荐,[None],2025-11-03,,增持,7328824,pdf_downloads/2025/2025-11-03/688599-天合光能（688599）：2025年三季报点评：Q3亏损环比收窄，看好公司储能业务成长性.pdf,688599,天合光能,天合光能（688599）：2025年三季报点评：Q3亏损环比收窄，看好公司储能业务成长性,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -44.01,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 19.17,
            ""eps"": null,
            ""pe"": 23
        },
        {
            ""year"": 2027,
            ""net_profit"": 30.76,
            ""eps"": null,
            ""pe"": 14
        }
    ]
}"
"姚遥,张嘉文",业绩简评10月30日公司发布2025年三季报，前三季度实现营收500亿元，同比-20%；归母净利润-42.01亿元，扣非归母净利润-43.15亿元，亏损同比加深。其中Q3实现营收189亿元，同比-6%、环比+13%，实现归母净利润-12.83亿元，亏损同比下降7%、环比下降20%。经营分析组件盈利仍处于承压状态，“反内卷”推进有望带动景气度修复。Q3公司实现销售毛利率4.49%，环比基本持稳，叠加资产减值、投资亏损收窄，公司净利润亏损收窄。Q3组件环节供需整体未有显著改善，测算公司组件业务仍处于亏损状态；6月底以来光伏行业反内卷推进，预计后续随着下游价格传导，产业链景气度有望持续修复，带动公司光伏组件盈利修复。储能签单加速，出货快速增长+海外占比提升有望推动量利齐升。公司储能业务快速增长、积极开拓海外市场，9月11日公司公告子公司天合储能分别与中国、拉美、亚太三大区域的三家客户签订合计2.48GWh的储能产品销售合同，10月30日公司公告天合储能与欧洲客户签订超1GWh储能产品销售合同，2025年公司储能系统计划出货8GWh以上，整体出货规模提升带动成本费用摊薄，同时海外高盈利市场出货占比提升，公司储能业务盈利有望继续增长，提供新的利润增长点。系统整体解决方案能力提升，致力成为智慧能源解决方案及运营商。公司分布式系统业务向智慧能源2.0阶段战略升级，致力于成为智慧能源解决方案及运营商，在电站开发基础上，拓展电站运维、电力交易（含售电、虚拟电厂、绿证）、综合能源管理等多元化增值服务。此外，公司户用光伏首单权益出表型ABS项目获上交所成功受理，有望进一步改善公司现金流，增强风险管理能力。盈利预测、估值与评级根据我们对产品价格的最新判断，调整公司2025-2027年归母净利预测至-54.3、15.8、36.7亿元。光伏“反内卷”推进有望带动公司组件业务盈利改善，储能业务快速放量贡献新的利润增长点，维持“买入”评级。风险提示国际贸易加剧，下游需求不及预期，行业竞争加剧。,,国金证券,买入,[None],2025-10-31,,买入,7095919,pdf_downloads/2025/2025-10-31/688599-天合光能（688599）：公司点评：Q3亏损收窄，储能放量有望带动量利齐升.pdf,688599,天合光能,天合光能（688599）：公司点评：Q3亏损收窄，储能放量有望带动量利齐升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -54.3,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 15.8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 36.7,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"洪一,侯河清,吴征洋",财务要点：公司披露2025年半年报，全年实现营业收入310.6亿，同比下滑27.7%，实现归母净利润-29.2亿元，同比下滑654.5%。组件价格持续下跌，半年报业绩承压。分版块出货方面，2025年H1，公司实现组件出货量超32GW，较去年同期34GW变化不大，分布式系统销售量约1.5GW，下滑53%，支架出货约3.5GW，同增9%，储能板块出货约1.7GWh，较去年同期持平。公司营收净利润均下滑，主要是由于行业周期影响，光伏行业面临供需失衡及市场竞争加剧等诸多挑战，组件价格持续下降的影响。随着反内卷的深入，未来光伏行业有望走出价格困境，静待行业盈利修复。储能板块全年有望量利齐升。2025 年H1，全球储能市场在能源转型加速驱动下较快增长态势，全球电池储能系统出货预计同增50%以上。天合储能作为连续第六次蝉联彭博新能源财经全球 Tier1 储能厂商，凭借全栈自研的&quot;天合芯&quot;技术平台、持续迭代领先的 Elementa 金刚大容量储能系统与强大的全球化交付能力，全年目标实现8GWh以上出货；且随着海外订单占比提升，叠加出货量增长带来的成本与费用摊薄规模经济效应，储能板块盈利能力稳中向好。技术领跑，多板块协同提升抗风险能力。公司持续发力电池组件新技术，自主研发的210mm半片工业级电池尺寸钙钛矿/晶体硅两端叠层太阳电池先后创造了31.1%、32.2%的世界纪录效率；210mm半片叠层电池集成面积为1185cm²的实验室叠层组件效率达到30.6%，成为全球首个实现叠层组件效率突破 30%大关的光伏企业。在巩固全球光伏组件行业领先地位的同时，公司前瞻性地拓展了涵盖光伏支架、储能系统、光伏分布式系统、光伏集中式系统、光储融合系统等在内的多元化业务生态体系，不仅形成了多元化的利润增长点，显著提升了企业应对行业周期性波动的抗风险能力，同时通过各业务板块的协同发展，构建从单一产品供应到提供整体解决方案的全价值链服务体系。公司盈利预测及投资评级：我们预计公司2025-2027年净利润分别为-39.69、3.79和21.41亿元，对应EPS分别为-1.82、0.17和0.98元。当前股价对应2025-2027年PE值分别为-9、94和17倍。维持“推荐”评级。风险提示：海外市场拓展不及预期；原材料价格波动；下游需求波动。,,东兴证券,推荐,[None],2025-09-01,,增持,6377184,pdf_downloads/2025/2025-09-01/688599-天合光能（688599）：2025年半年报业绩点评：组件业务承压，储能板块稳中向好.pdf,688599,天合光能,天合光能（688599）：2025年半年报业绩点评：组件业务承压，储能板块稳中向好,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -39.69,
            ""eps"": -1.82,
            ""pe"": -9
        },
        {
            ""year"": 2026,
            ""net_profit"": 3.79,
            ""eps"": 0.17,
            ""pe"": 94
        },
        {
            ""year"": 2027,
            ""net_profit"": 21.41,
            ""eps"": 0.98,
            ""pe"": 17
        }
    ]
}"
"曾朵红,郭亚男",公司发布2025年中报，25H1营收310.6亿元，同-27.7%，归母净利润-29.2亿元，同-654.5%，毛利率5.5%，同-8.4pct，归母净利率-9.4%，同-10.6pct；其中25Q2营收167.2亿元，同环比-32.3％/+16.6％，归母净利润-16亿元，同环比-15371%/21.1％，毛利率4.5%，同环比-8.7/-2.2pct，归母净利率-9.6%，同环比-9.6/-0.4pct。业务分拆来看：1）组件25H1出货量超32GW，其中Q2约17GW，环比提升13%，测算单瓦亏损约8分，公司预计全年出货70-75GW，同比微增；2）分布式系统我们测算25H1销量约1.5GW，单瓦盈利约为0.2元，公司预计全年出货4GW+，同比持平；3）储能我们测算25H1出货1.7GWh，其中Q2出货1.4GWh，90%为海外订单（欧洲20%，中东非30-35%，北美30%、亚太12-15%，中国近10%），已实现微利，全年计划出货8GWh，同增86%；4）支架25H1出货3.5GW，其中Q2为2GW，跟踪支架约1.5GW，盈亏平衡；5）数字能源服务贡献利润3亿左右，主要为售电电费收入和分布式运维收入。Q2费用及资本开支明显收缩。公司25H1期间费用38.4亿元，同-16.7%，费用率12.4%，同+1.6pct，其中Q2期间费用17.8亿元，同环比-28.5%/-13.9%，费用率10.6%，同环比+0.6/-3.8pct；25H1经营性净现金流18.4亿元，同+1276.9%，其中Q2经营性现金流26.8亿元，同环比-36.7%/-420.5%；25H1资本开支33.4亿元，同-59.3%，其中Q2资本开支11.2亿元，同环比-69.7%/-49.5%；25H1末存货265.3亿元，较年初+18.8%。盈利预测与投资评级：由于上半年光伏行业竞争依然激烈，公司盈利承压，我们下调25-26年盈利预测，预计25-26年归母净利润分别为-36.7/6.1亿元（原预期25/26年为21.6/36.5亿元），新增预期27年归母净利润24.6亿元，同比-7%/+117%/301%，考虑公司布局钙钛矿技术，储能、支架、数能服务等业务有望提供业绩支撑，维持“买入”评级。风险提示：行业装机不及预期、行业自律不及预期、政策不及预期。,,东吴证券,买入,[None],2025-08-27,,买入,6369585,pdf_downloads/2025/2025-08-27/688599-天合光能（688599）：2025年中报点评：组件出货环增，储能实现盈利，未来增长可期.pdf,688599,天合光能,天合光能（688599）：2025年中报点评：组件出货环增，储能实现盈利，未来增长可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -36.7,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 6.1,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.6,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"邓永康,林誉韬,朱碧野,王一如","组件出货量保持行业领先，储能业务稳步向上事件：2025年8月22日，公司发布2025年半年报，根据公告，公司25H1实现收入310.56亿元，同比-27.72%，实现归母净利润-29.18亿元，实现扣非归母净利润-29.56亿元。分季度看，公司25Q2实现收入167.21亿元，同比-32.34%，环比+16.64%，实现归母净利润-15.98亿元，实现扣非归母净利润-15.82亿元。盈利能力小幅下滑，费用管控能力优化。25Q2公司销售毛利率/净利率分别为4.45%/-9.46%，环比25Q1分别-2.16Pcts/-0.64Pcts。费用率方面，公司25Q2销售/管理/研发/财务费用率分别为2.79%/4.22%/2.64%/0.98%，环比分别-1.55Pcts/-0.83Pcts/-0.56Pcts/-0.83Pcts，各项费用率改善显著，费用管控能力持续优化。出货量稳居行业前列，引领TOPCon产业升级。25H1公司组件出货量超过32GW，根据infolink统计，上半年天合组件出货量位列行业第三，仍然处于头部位置。在组件产品与市场销售端，公司持续引领 TOPCon 技术进阶，基于i-TOPCon Ultra 技术，全系列产品功率和综合发电能力进一步提升至最高750W，最大化降低系统BOS成本与LCOE。700W+至尊N型组件为代表的全场景化产品持续领先，市场份额持续扩大，高价值辐射集中式和分布式应用场景。储能业务稳步向上，海外市场持续突破，打造光储融合解决方案服务商。截至25H1，公司储能系统业务累计出货量超12GWh，其中海外市场实现1GWh+交付规模。针对构网型电网、高温沙漠及海岛微电网等场景，公司推出定制化解决方案，上半年实现了60天极速交付非洲单体最大储能项目埃及150MW/360MWh光储融合项目，成为沙漠环境大型储能系统的标杆项目。公司加速推进全面解决方案战略升级，依托在光储一体化领域的显著优势，系统性构建""发-输-用-储""全链条协同能力，在集中式电站、新场景解决方案及分布式能源三大领域实现突破性进展，为构建新型电力系统提供了可复制的系统性解决方案。投资建议：公司为光伏一体化头部企业，前瞻性布局钙钛矿技术，分布式光伏、支架、储能等业务有望提供业绩支撑。预计公司25-27年实现收入720.48/891.71/1029.39亿元，归母净利-34.69/17.52/28.66亿元，基于8月22日收盘价，26-27年对应PE为21x/13x，维持“推荐”评级。风险提示：原材料价格波动、下游行业景气度波动、行业竞争加剧、资产减值风险、国际贸易风险等。",,民生证券,推荐,[None],2025-08-25,,增持,6341687,pdf_downloads/2025/2025-08-25/688599-天合光能（688599）：2025年半年报点评：组件出货量保持行业领先，储能业务稳步向上.pdf,688599,天合光能,天合光能（688599）：2025年半年报点评：组件出货量保持行业领先，储能业务稳步向上,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -34.69,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 17.52,
            ""eps"": null,
            ""pe"": 21
        },
        {
            ""year"": 2027,
            ""net_profit"": 28.66,
            ""eps"": null,
            ""pe"": 13
        }
    ]
}"
"姚遥,张嘉文",业绩简评8月22日公司发布2025年中报，上半年实现营收311亿元，同比-28%；归母净利润-29.18亿元，扣非归母净利润-29.56亿元，同比转亏。其中Q2实现营收167亿元，实现归母净利润-15.98亿元，亏损环比加深（Q1为-13.20亿元）。经营分析组件价格低位盈利承压，积极推动技术研发。上半年公司组件出货超32GW，行业供给过剩背景下组件价格维持较低水平，光伏组件业务毛利率-2.5%。公司持续推进技术进步，基于i-TOPCon Ultra技术全系列产品功率和综合发电能力进一步提升至最高750W；钙钛矿/晶体硅叠层领域率先突破多项关键技术，今年以来屡次刷新世界纪录。光伏行业“反内卷”扎实推进，有望推动价格及盈利修复。6月底以来光伏行业“反内卷”扎实推进，多晶硅、硅片、电池片等多个环节价格已上涨，8月19日六部委联合召开光伏产业座谈会，相关光伏制造企业及发电企业参会，预计后续组件价格有望传导上游涨幅、逐步覆盖成本，带动行业盈利修复。储能海外市场放量、盈利能力提升，有望提供新的业绩增长点。上半年公司储能业务积极开拓海外市场，海外销售占比提升，海外市场实现超1GWh交付，带动上半年储能业务毛利率提升至15.6%。2025年公司储能系统计划出货8GWh以上，随着整体出货规模提升带动成本费用摊薄，同时海外高盈利市场出货占比提升，公司储能业务盈利有望继续增长，提供新的利润增长点。系统整体解决方案能力提升，致力成为智慧能源解决方案及运营商。上半年公司支架业务出货超3.5GW，同比持续增长，净利提升。分布式系统业务向智慧能源2.0阶段战略升级，致力于成为智慧能源解决方案及运营商，在电站开发基础上，拓展电站运维、电力交易（含售电、虚拟电厂、绿证）、综合能源管理等多元化增值服务。此外，公司户用光伏首单权益出表型ABS项目获上交所成功受理，有望进一步改善公司现金流，增强风险管理能力。盈利预测、估值与评级根据我们对产品价格的最新判断，调整公司2025-2027年归母净利预测至-39、21、35亿元。光伏“反内卷”推进有望带动公司组件业务盈利改善，同时考虑公司储能、系统解决方案等业务协同优势带来的成长性，维持“买入”评级。风险提示国际贸易加剧，下游需求不及预期，行业竞争加剧。,,国金证券,买入,[None],2025-08-23,,买入,6340489,pdf_downloads/2025/2025-08-23/688599-天合光能（688599）：公司点评：储能海外市场放量，静候反内卷推进.pdf,688599,天合光能,天合光能（688599）：公司点评：储能海外市场放量，静候反内卷推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": -39,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 21,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 35,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
