author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
罗通,2022年研发投入大幅增加，2022Q4营收同环比上升，维持“买入”评级2023年3月27日，公司发布2022年年报，2022年实现营收20.44亿元，同比+0.98%；扣非净利润3.30亿元，同比-16.93%；毛利率34.09%，维持稳定；研发费用2.58亿元，同比+46.16%，占收入比重为12.63%，2022年底研发人员368人，同比+31%。2022Q4单季度实现营收6.17亿元，同比+20.94%，环比+25.27%；归母净利润0.27亿元，同比-87.67%，环比-61.47%；扣非净利润0.69亿元，同比-21.95%，环比+15.20%；毛利率30.98%，同比-3.56pcts，环比-3.23pcts。考虑半导体行业下游需求仍较弱，我们下调2023-2024年业绩预测并新增2025年业绩预测，预计2023-2025年归母净利润为4.98/7.10/8.71亿元（前值为5.80/7.61亿元），对应EPS为0.70/1.00/1.22元（前值为0.81/1.07），当前股价对应PE为29.6/20.8/16.9倍，公司在工控和车规领域的不断拓展，维持“买入”评级。汽车电子产品型号不断丰富，车规产品出货量大幅增长功率链:（1）汽车照明领域的LDO和LED驱动已有多款电源产品导入车厂实现批量供货，中高压降压DC-DC产品也在通讯、家电、安防、电表市场导入多家标杆客户。（2）推出多款先进的沟槽栅场截止型IGBT、屏蔽栅功率MOSFET和超级结功率MOSFET。（3）电机驱动产品截至2022年末已量产超120款，中短期内以工控为主要目标，预计在1-2年内进入汽车电子领域。信号链:（1）2022年高速和高精度ADC/DAC的新品研发进展顺利，在工控、医疗成像、电网保护装置等领域实现批量销售。（2）用于物联网电表的计量芯SoC芯片研发成果不断落地，完成了单相计量芯片、三相计量芯片的升级改版投片和测试以及电力专用MCU芯片升级改版的投片工作，且公司在国家电网2022年的两次招标中占据了最大的市场份额。（3）应用于泛在物联网市场的能耗感知芯片销量实现同比增长。（4）部分主流容量的车规级EEPROM已经通过A1等级的AEC-Q100验证考核且批量供货。（5）在标准信号产品业务中，接口产品市占率稳步提升。风险提示：客户导入进度不及预期；行业竞争加剧；需求不及预期。,,开源证券,买入,[None],2023-03-28,,买入,5155676,pdf_downloads/2023/2023-03-28/600171-上海贝岭（600171）公司信息更新报告：“功率链+信号链”双驱动，2022Q4营收同环比增长.pdf,600171,上海贝岭,上海贝岭（600171）公司信息更新报告：“功率链+信号链”双驱动，2022Q4营收同环比增长,"{
    ""forecasts"": [
        {
            ""year"": 2023,
            ""net_profit"": 4.98,
            ""eps"": 0.70,
            ""pe"": 29.6
        },
        {
            ""year"": 2024,
            ""net_profit"": 7.10,
            ""eps"": 1.00,
            ""pe"": 20.8
        },
        {
            ""year"": 2025,
            ""net_profit"": 8.71,
            ""eps"": 1.22,
            ""pe"": 16.9
        }
    ]
}",,,29.6,20.8,16.9,,,,0.7,1.0,1.22,
"刘翔,曹旭辰",下游需求持续偏弱，营业收入环比略增2022年10月25日，公司发布三季报，受制于全球宏观经济整体偏弱，2022Q3公司营业收入为4.92亿元、同比下降0.48%、环比增长0.79%。由于人员扩张所带来的费用增长，2022Q3公司扣非归母净利润为0.6亿元、同比下降45.31%、环比下降44.7%。考虑2022年整体经济偏弱，叠加公司研发人员仍处于持续扩张期，我们下调盈利预测，预计公司2022-2024年归母净利润为4.68/5.80/7.61亿元（2022-2024年原值分别为6.27/7.28/8.94亿元），EPS为0.66/0.81/1.07元，当前股价对应PE为33.8/27.3/20.8倍。考虑到公司在汽车、工控赛道仍有较大发展空间，维持“买入”评级。毛利率水平环比略降，研发费用大幅提升受宏观经济整体偏弱的影响，2022年半导体设计行业竞争加剧，这迫使许多半导体设计厂商不得不采取较为激进的价格策略。2022Q3公司的整体毛利率为34.21%、环比略降，但仍高于2020年及以前水平，这体现出公司产品升级所带来的毛利率提升具有较强持续性。在研发投入方面，在没有新增股权激励计划的情况下，2022Q3公司研发费用为0.80亿元、环比增长63.09%，这意味着公司的研发人员正处于高速扩张期。矽塔科技实现并表，品类扩张持续推进公司对深圳矽塔科技的收购日为2022年6月30日，即2022Q3矽塔科技开始并表。矽塔科技专注于电机驱动、电机控制芯片，主要产品线有电机、驱动芯片、栅极驱动芯片、霍尔传感器芯片等。并且，矽塔科技的业绩承诺为2022-2024年度累计扣除非经常性损益利润不低于人民币9000万元。我们认为矽塔科技的成功并表将进一步丰富公司产品线，具有较强的协同作用。风险提示：宏观经理存在持续偏弱的风险；客户导入速度存在较大不确定性；新产品研发进度存在不确定性。,,开源证券,买入,[None],2022-10-26,,买入,5024511,pdf_downloads/2022/2022-10-26/600171-上海贝岭（600171）公司信息更新报告：营收呈现较强韧性，研发投入大幅增加.pdf,600171,上海贝岭,上海贝岭（600171）公司信息更新报告：营收呈现较强韧性，研发投入大幅增加,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 4.68,
            ""eps"": 0.66,
            ""pe"": 33.8
        },
        {
            ""year"": 2023,
            ""net_profit"": 5.80,
            ""eps"": 0.81,
            ""pe"": 27.3
        },
        {
            ""year"": 2024,
            ""net_profit"": 7.61,
            ""eps"": 1.07,
            ""pe"": 20.8
        }
    ]
}",,,33.8,27.3,20.8,,,,0.66,0.81,1.07,
毛正,"上海贝岭发布2022年半年度报告：2022年上半年公司实现营业收入9.35亿元，同比下降8.29%，实现归母净利润为3.01亿元，同比下降23.39%，实现扣非后归母净利润2.01亿元，同比增长0.94%。投资要点疫情背景下承压前行，Q2环比有所改善疫情冲击叠加产业周期性波动背景，2022Q2公司营收4.89亿元、同比下降17.23%，环比增长9.44%；实现归母净利润1.57亿元、同比下降38.17%，环比增长8.65%；实现扣非归母净利润1.09亿元，同比下降12.29%，环比增长17.07%。盈利能力方面，2022H1公司实现毛利率36.08%（同比+3.42pct），其中Q2单季度毛利率为35.94%，（同比+1.85pct），毛利率增加的主要原因系公司IC产品向工控、汽车电子应用领域的转型升级。费用方面，公司研发投入逐年增加，2020/2021/2022H1研发费率为8.7%/8.7%/10.2%，销售费率和管理费率为3.2%/2.7%/3.0%和5.6%/4.1%/4.0%，呈现平稳趋势，财务费用率稳定在负值，体现公司良好控费能力。向工规车规升级，“功率链+信号链”齐头并进功率链：包括电源管理、功率器件业务。1）全球电源管理芯片市场规模2020年达330亿美元，同比增长13.79%，预计2022年将进一步增长至410亿美元。公司电源管理业务主要由南京微盟、上海岭芯两家子公司承担。公司于3月全资收购马达驱动及系统控制IC 优质标的矽塔科技，与自身电源管理IC 板块形成协同。公司持续研发汽车照明领域电源管理芯片，用于汽车尾灯的LED驱动芯片完成AEC-Q100认证并导入车厂实现批量供货，另有多款车规级电源管理产品完成立项开始研发。未来公司将持续提升公司工业级和车规级电源管理产品占比。2）功率器件业务定位于为工业控制和汽车电子领域的应用提供高可靠性的功率器件产品，公司已掌握屏蔽栅功率MOSFET、超级结功率MOSFET等器件技术。IGBT产品已在汽车点火系统、车载空调等终端实现量产。未来公司将加大新型功率器件结构和工艺流程的开发，与公司主控芯片、驱动芯片、信号采样芯片等产品形成完整解决方案。信号链：包括数据转换器、电力专用芯片、物联网前端、非挥发存储器、标准信号产品业务。根据IC Insight，全球信号链模拟芯片市场规模由 2016 年的 84.1 亿美元增至 2020 年
的 99.2 亿美元，CAGR 为 4.21%，预计到 2023 年将达到 118
亿美元左右。1）ADC（数模转换器）是信号链 IC 中的核心，
全球范围内被 TI、ADI 等跨国企业垄断。作为高精度
ADC/DAC 龙头企业，公司在电力保护和工业控制市场取得突
破，业务销售额较去年同期获得了大幅度增长。2）电力专用
芯片业务，包括单相计量芯片和三相计量芯片、智能计量
SoC 芯片等，服务于计量、测量、保护等应用。公司电力专
用芯片面向国家电网、南方电网推出下一代 IR46“双芯”智
能表专用 SoC 芯片。3）公司推进车规级 EEPROM 产品的研
发，多款车规级 EEPROM 产品正在进行 AEC-Q100 验证考核，
涉 BMS、ADAS 等领域。4）物联网前端业务，公司用于两轮电
动车充电桩的能耗监测芯片逐步推广到四轮电动车充电桩市
场。5）标准信号链产品业务，公司的高性能运算放大器、
I2C 总线电平转换+中继器等产品处于研发阶段，主要面向汽
车电子、工业控制、仪器仪表等领域。",,华鑫证券,买入,[None],2022-08-24,,买入,4965268,pdf_downloads/2022/2022-08-24/600171-上海贝岭（600171）半年报点评报告：向工规车规升级，功率链+信号链齐头并进.pdf,600171,上海贝岭,上海贝岭（600171）半年报点评报告：向工规车规升级，功率链+信号链齐头并进,"{
    ""forecasts"": [
        {
            ""year"": null,
            ""net_profit"": 3.01,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
刘翔,下游需求短期受挫，2022Q2营收同比下降2022年8月22日，公司发布半年报，受制于上海新冠疫情的冲击和消费需求整体偏弱，2022Q2公司营业收入为4.89亿元、同比下降17.23%、环比增长9.45%，扣非归母净利润为1.09亿元、同比下降12.29%、环比增长17.04%。考虑2022年整体经济偏弱，我们下调盈利预测，预计公司2022-2024年归母净利润为6.27/7.28/8.94亿元（2022-2024年原值分别为6.47/8.17/10.66亿元），EPS为0.88/1.02/1.26元，当前股价对应PE为25.3/21.7/17.7倍。考虑到公司在汽车、工控赛道仍有较大发展空间，维持“买入”评级。电源管理产品丰富度快速提升，IGBT成功上车在电源管理方面，2022H1公司汽车尾灯LED驱动芯片成功导入车厂、实现批量供货，一款DC-DC和一款AC-DC电源芯片导入车厂一级供应商、实现上车应用；公司推出了针对通讯领域的超低噪声小封装LDO，针对智能穿戴的锂电池充电管理芯片等。在功率器件方面，MOSFET已成功导入终端客户并实现批量销售，IGBT已在汽车点火系统、车载空调等终端实现量产。汽车信号链产品愈发丰富，ADC/DAC品类日益成熟在汽车信号链产品方面，2022H1能耗感知芯片正逐步推广到四轮电动车充电桩市场；车用EEPROM应用范围扩大至BMS、ADAS等领域；车规级CAN接口芯片的研发及系列化正在进行中；面向汽车电子、工业控制、仪器仪表等领域的高性能运算放大器、I2C总线电平转换+中继器、高带宽模拟开关/多路复用器等也进入了研发阶段。在ADC/DAC方面，2022H1公司高速和高精度ADC/DAC、高精度基准源芯片、AFE等新产品研发项目进展顺利，高速和高精度ADC/DAC产品在工业控制、医疗成像、电网保护装置等领域实现小批量销售。风险提示：上游产能存在持续趋紧的风险；客户导入速度存在较大不确定性；新产品研发进度存在不确定性。,,开源证券,买入,[None],2022-08-23,,买入,4963845,pdf_downloads/2022/2022-08-23/600171-上海贝岭（600171）公司信息更新报告：下游需求短期受挫，高端跃迁持续推进.pdf,600171,上海贝岭,上海贝岭（600171）公司信息更新报告：下游需求短期受挫，高端跃迁持续推进,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 6.27,
            ""eps"": 0.88,
            ""pe"": 25.3
        },
        {
            ""year"": 2023,
            ""net_profit"": 7.28,
            ""eps"": 1.02,
            ""pe"": 21.7
        },
        {
            ""year"": 2024,
            ""net_profit"": 8.94,
            ""eps"": 1.26,
            ""pe"": 17.7
        }
    ]
}",,,25.3,21.7,17.7,,,,0.88,1.02,1.26,
毛正,Q1业绩符合预期，毛利率达到历史新高2022年Q1公司扣非后归母净利润环比增长5.68%，毛利率达到36.23%创下历史新高。费用率方面，2021年期间费用率（不含研发）为4.22%，其中销售费用率为3.02%，管理费用率为3.66%，财务费用率为-2.46%。此外，公司在一季度的研发费用率提升至10.46%。功率链与信号链双轮驱动，泛工业领域应用占比超过五成公司IC业务细分为功率链（电源管理、功率器件业务）和信号链（数据转换器、电力专用芯片、物联网前端、非挥发存储器、标准信号产品业务）2大类、7个细分产品领域，主要目标市场为网络通信、手机、机顶盒、液晶电视、高端及便携式医疗设备、安防设备、工控设备、智能电表、智能穿戴、物联网、5G、汽车电子等。2021年公司IC产品应用于泛工业类市场的占比超过50%。功率链：产品性能优异，车规级应用进展迅猛。电源管理业务，公司产品具备超低噪声、高PSRR和高耐压等优异性能，可对标世界一流模拟厂商，广泛应用于通信市场，同时公司车规级LED Driver芯片已获得客户认可，正在持续销售中，另一款已在2020年通过车规认证的LDO产品实现批量出货，此外有多款电源产品接到汽车电子客户的意向需求，预计2022年可以陆续实现销售。功率器件业务，公司已推出先进的屏蔽栅功率MOS、超级结功率MOS和IGBT，可覆盖30V-1500V电压范围、10A-150A电流范围，陆续进入功率电源、电机控制和锂电保护等市场，其中IGBT相关产品已在汽车点火系统、车载空调等终端实现设计导入并开始量产。信号链：高速高精度ADC大幅增长，电力计量SoC行业领先。2021年公司高精度ADC芯片及配套的高精度基准源芯片在电力保护和工业控制市场取得突破得到广泛应用，全年高速高精度ADC/DAC销售额取得大幅度增长。,,华鑫证券,推荐,[None],2022-04-25,,买入,4823544,pdf_downloads/2022/2022-04-25/600171-上海贝岭（600171）：一季度业绩符合预期，渗透泛工业领域提升盈利能力.pdf,600171,上海贝岭,上海贝岭（600171）：一季度业绩符合预期，渗透泛工业领域提升盈利能力,"{
  ""forecasts"": [
    {
      ""year"": null,
      ""net_profit"": null,
      ""eps"": null,
      ""pe"": null
    }
  ]
}",,,,,,,,,,,,
刘翔,下游需求有所松动，业绩呈现较强韧性2022年4月22日，公司发布2022年一季报，受制于各地新冠疫情频发对下游需求的相对压制，2022Q1公司营业收入为4.46亿元、同比增长4.00%，扣非归母净利润为0.93亿元、同比增长22.58%。考虑到参股新洁能及其他股权投资对投资收益影响较大，我们维持盈利预测，预计2022-2024年公司分别获得0.8/0.8/0.8亿元的投资收益，并预计公司2022-2024年归母净利润分别为6.47/8.17/10.66亿元，对应EPS为0.91/1.15/1.50元，当前股价对应PE为18.6/14.7/11.3倍。考虑到公司正向工控、车载赛道持续布局，维持“买入”评级。处置新洁能股权以降低公允变化影响，研发投入保持高速增长随着新洁能的成功上市，公司获得了丰厚的股权投资收益，显著优化了公司的货币资金和交易性金融资产水平，但也使得公司各季度归母净利润波动较大，因此，公司采取了逐步处置的方式来降低自身利润受公允价值变动的影响。同时，我们注意到在2021年前公司各年的研发费用处于相对持平的情况，而从2021Q1到2021Q4公司的研发费用同比增速呈现持续提升趋势，且2022Q1研发费用同比增速也达到了51.82%的高水平。专注泛模拟布局，功率器件、接口芯片持续推出新品根据2022年3月和4月的公司官网新闻，在功率器件方面，公司推出了适用于电动车控制器和锂电保护的SGT-MOS、适用于逆变焊机的1200V/40A IGBT；在接口芯片方面，公司推出了可广泛应用于工控、医疗领域的RS-232收发器。在研发投入持续提升的情况下，我们认为公司正处于产品布局的高速扩张期。风险提示：上游产能存在持续趋紧的风险；客户拓展速度存在较大不确定性；新产品研发进度存在不确定性。,,开源证券,买入,[None],2022-04-24,,买入,4822523,pdf_downloads/2022/2022-04-24/600171-上海贝岭（600171）公司信息更新报告：业绩呈现较强韧性，研发投入大幅提升.pdf,600171,上海贝岭,上海贝岭（600171）公司信息更新报告：业绩呈现较强韧性，研发投入大幅提升,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 6.47,
            ""eps"": 0.91,
            ""pe"": 18.6
        },
        {
            ""year"": 2023,
            ""net_profit"": 8.17,
            ""eps"": 1.15,
            ""pe"": 14.7
        },
        {
            ""year"": 2024,
            ""net_profit"": 10.66,
            ""eps"": 1.50,
            ""pe"": 11.3
        }
    ]
}",,,18.6,14.7,11.3,,,,0.91,1.15,1.5,
"何立中,韩杨",事件：公司公告《2021年年度报告》。点评：受益行业高景气度，2021年公司扣非后归母净利润大幅增长。2021年公司实现收入20.24亿元，同比+51.95%；归母净利润7.29亿元，同比+38.12%；扣非后归母净利润为3.98亿元，同比+124.31%，与净利润差额较大，主要系交易性金融资产公允价值变动所致。2021年公司信号链与电源管理芯片销量同比分别+34.17%和+18.03%，ASP同比分别+18.66%和+18.59%。缺芯行情下，公司产品量价齐升带动营收增长。涨价带动毛利率大幅增长，公司盈利能力稳步提升。2021年公司毛利率为34.13%，同比+5.19pct；扣非后归母净利率为19.65%，同比+6.34pct。涨价直接带动公司各产品线毛利率提升。信号链、非挥发存储、电源管理芯片和功率器件毛利率分别为42.54%、37.53%、42.49%和24.18%，同比+7.98pct、+8.53pct、+10.29pct和+6.66pct。高速高精度ADC/DAC产品小批量销售，积极推进信号链新品研发。2021年，公司继续加强对ADC/DAC产品的研发投入和市场推广力度，产品应用领域不断扩展，已在工业控制、医疗成像、电网保护装置等领域实现了小批量销售。高精度基准源芯片、AFE等新产品研发项目进展顺利。随着5G通信技术的不断推广，ADC/DAC等信号链产品作为通信基站的核心元器件，对公司的营收贡献有望进一步提升。电源管理芯片打入车规市场，工控、汽车电子领域持续拓展。2021年公司持续向高端市场拓展，集成电路产品收入约一半以上来自泛工业类市场。车规级LDO和LED驱动芯片开始量产，另有多款电源产品接到汽车电子客户的意向需求，预计2022年可以陆续实现销售。此外，公司IGBT产品已在汽车点火系统、车载空调等终端实现导入量产，第一款车规级EEPROM产品已通过车规验证考核。盈利预测：我们预计公司2022/2023/2024年归母净利润分别为5.79/7.3/9.23亿元，对应3月31日股价PE分别为24/19/15倍，首次覆盖，给予“买入”评级。风险提示：代工产能不及预期、客户拓展不及预期、研发不及预期。,,首创证券,买入,[None],2022-04-02,,买入,4793418,pdf_downloads/2022/2022-04-02/600171-上海贝岭（600171）：2021年扣非后归母净利润大增，工业、汽车持续拓展.pdf,600171,上海贝岭,上海贝岭（600171）：2021年扣非后归母净利润大增，工业、汽车持续拓展,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 5.79,
            ""eps"": null,
            ""pe"": 24
        },
        {
            ""year"": 2023,
            ""net_profit"": 7.3,
            ""eps"": null,
            ""pe"": 19
        },
        {
            ""year"": 2024,
            ""net_profit"": 9.23,
            ""eps"": null,
            ""pe"": 15
        }
    ]
}",,,24.0,19.0,15.0,,,,,,,
毛正,"上海贝岭发布2021年年度业绩报告：公司2021年实现营业收入为20.24亿元，同比增长51.95%，实现归母净利润7.29亿元，同比增长38.12%，实现扣非后归母净利润3.98亿元，同比增长124.31%。投资要点信号链、功率业务高增，盈利能力同比提升细分产品来看，2021年信号链模拟芯片/非挥发存储芯片/电源管理芯片/功率器件分别实现营收4.90/1.79/6.54/1.02亿元，分别同比增长59.2%/10.12%/39.97%/199.46%，此外集成电路贸易业务2021年实现营收5.36亿元，同比增长73.56%；毛利率方面，2021年公司整体毛利率为34.13%（同比+5.19pct），其中信号链模拟芯片/非挥发存储芯片/电源管理芯片/功率器件毛利率分别为42.54%（同比+7.98pct）/37.53%（同比+8.53pct）/42.49%（同比+10.29pct）/24.18%（同比+6.66pct）；期间费用方面，2021年期间费用率（不含研发）为5.15%（同比+0.96pct），其中销售费用率为2.67%（同比-0.49pct），管理费用率4.55%（同比-0.54pct），财务费用率-2.07%（同比+1.99pct）。此外，2021年公司研发费用为1.77亿元（同比+52.71%），研发费用率达到8.73%。功率链与信号链双轮驱动，泛工业领域应用占比超过五成公司IC业务细分为功率链（电源管理、功率器件业务）和信号链（数据转换器、电力专用芯片、物联网前端、非挥发存储器、标准信号产品业务）2大类、7个细分产品领域，主要目标市场为网络通信、手机、机顶盒、液晶电视、高端及便携式医疗设备、安防设备、工控设备、智能电表、智能穿戴、物联网、5G、汽车电子等。2021年公司IC产品应用于泛工业类市场的占比超过50%。功率链：产品性能优异，车规级应用进展迅猛。电源管理业务，公司产品具备超低噪声、高PSRR和高耐压等优异性能，可对标世界一流模拟厂商，广泛应用于通信市场，同时公司车规级LED Driver芯片已获得客户认可，正在持续销售中，另一款已在2020年通过车规认证的LDO产品实现批量出货，此外有多款电源产品接到汽车电子客户的意向需求，预计2022年可以陆续实现销售。功率器件业务，公司已推出先进的屏蔽栅功率MOS、超级结功率MOS和IGBT，可覆盖30V1500V电压范围、10A-150A电流范围，陆续进入功率电源、
电机控制和锂电保护等市场，其中IGBT相关产品已在汽车点
火系统、车载空调等终端实现设计导入并开始量产。",,华鑫证券,推荐,[None],2022-03-31,,买入,4794693,pdf_downloads/2022/2022-03-31/600171-上海贝岭（600171）：功率链与信号链双轮驱动，工控、车规持续渗透战略清晰.pdf,600171,上海贝岭,上海贝岭（600171）：功率链与信号链双轮驱动，工控、车规持续渗透战略清晰,"{
    ""forecasts"": [
        {
            ""year"": 2021,
            ""net_profit"": 7.29,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
刘翔,下游需求持续景气，业绩表现持续优秀2022年3月28日，公司发布2021年报，受益于下游需求持续景气，2021年公司营业收入为20.24亿元、同比增长51.95%，扣非归母净利润为3.98亿元、同比增长124.31%。考虑到参股新洁能及其他股权投资对投资收益影响较大，我们下调2022年盈利预测、上调2023年盈利预测并新增2024年盈利预测，预计2022-2024年公司分别获得0.8/0.8/0.8亿元的投资收益（2022-2023年原值分别为0.5/0.5亿元），并预计公司2022-2024年归母净利润分别为6.47/8.17/10.66亿元（2022-2023年原值分别为6.69/7.83亿元），对应EPS为0.91/1.15/1.50元，当前股价对应PE为21.8/17.3/13.2倍。考虑到相对于同行业模拟公司估值仍相对较低，维持“买入”评级。各产品线均处于产品快速扩张期为了把握工控、通信、电力等行业的国产化替代机遇，公司积极推进产品的丰富化和高端化发展，2021年研发费用为1.77亿元、同比增长52.71%。在电源管理方面，LED驱动和LDO已实现车载前装的批量出货，DDR终端稳压器和60W快充实现成功研发。在ADC/DAC方面，高速和高精度ADC/DAC在工业、医疗、电网保护装置等领域实现小批量销售。在功率器件方面，IGBT已在汽车点火系统、车载空调等场景实现量产。把握汽车、工业国产化机遇，2022年业绩预将维持稳步增长考虑到2022年宏观经济整体偏冷，公司预计2022年扣非归母净利润实现20%以上增长，将继续在高速高精度ADC/DAC、电源管理芯片、650V/1200V IGBT、物联网能耗感知芯片和标准信号链等领域加大研发投入，不断提升公司产品在工控和汽车电子等高端应用领域的渗透率。风险提示：上游产能存在持续趋紧的风险；客户拓展速度存在较大不确定性；新产品研发进度存在不确定性。,,开源证券,买入,[None],2022-03-30,,买入,4788857,pdf_downloads/2022/2022-03-30/600171-上海贝岭（600171）：产品布局持续扩张，把握工业、汽车时代机遇.pdf,600171,上海贝岭,上海贝岭（600171）：产品布局持续扩张，把握工业、汽车时代机遇,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 6.47,
            ""eps"": 0.91,
            ""pe"": 21.8
        },
        {
            ""year"": 2023,
            ""net_profit"": 8.17,
            ""eps"": 1.15,
            ""pe"": 17.3
        },
        {
            ""year"": 2024,
            ""net_profit"": 10.66,
            ""eps"": 1.50,
            ""pe"": 13.2
        }
    ]
}",,,21.8,17.3,13.2,,,,0.91,1.15,1.5,
刘翔,下游需求略受扰动，业绩表现持续优秀2021年10月22日，公司发布2021年三季报，受益于下游需求持续景气，叠加海运费用提升和亚马逊打击跨境电商对需求形成的压制，2021Q3公司营业收入为4.95亿元、同比增长40.5%，2021Q3公司扣非归母净利润为1.10亿元、同比增长180.6%。考虑到公司对工控、汽车高端化产品的持续布局，叠加参股新洁能5.93%股份对投资收益影响较大，我们下调盈利预测，预计2021-2023年公司分别获得2/0.5/0.5亿元的投资收益（原值分别为3/2/2亿元），并预计公司2021-2023年归母净利润分别为6.38/6.69/7.83亿元（原值分别为7.54/8.82/11.48亿元），对应EPS为0.91/0.95/1.11元，当前股价对应PE为36.0/34.3/29.3倍。考虑到相对于同行业模拟公司估值仍相对较低，维持“买入”评级。存货水位有所抬升，研发费用进入快速增长期受海运费用提升和亚马逊打击跨境电商对需求形成压制的影响，叠加产业链能力的逐步提升，公司的存货水位从2021Q2的2.8亿元提升至2021Q3的3.4亿元。由于研发投入的增加和股份支付费用的提升，2021前三季度研发费用同比增长37.34%，而2019和2020年的研发费用同比增速分别为8.6%和20.8%，这意味着公司正处于研发投入的大幅提升期。前装车载电源芯片已有业绩，工控汽车路线坚定推进2021H1公司在汽车电子市场实现突破，一款车规LDO已在前装市场实现小批量销售，另有一款DCDC和一款LDO预计将于2020H2完成认证。同时，2021H1公司射频电源和内存电源已研发成功，MOS产品正由计算机、家电市场向服务器、变频等高端工控市场推进，这预示着公司电源产品线的高端化跃迁正处于快速推进状态。风险提示：上游产能存在持续趋紧的风险；客户拓展速度存在较大不确定性；新产品研发进度存在不确定性。,,开源证券,买入,[None],2021-10-24,,买入,4647060,pdf_downloads/2021/2021-10-24/600171-上海贝岭（600171）：业绩表现符合预期，高端化跃迁趋势不改.pdf,600171,上海贝岭,上海贝岭（600171）：业绩表现符合预期，高端化跃迁趋势不改,"{
  ""forecasts"": [
    {
      ""year"": 2021,
      ""net_profit"": 6.38,
      ""eps"": 0.91,
      ""pe"": 36.0
    },
    {
      ""year"": 2022,
      ""net_profit"": 6.69,
      ""eps"": 0.95,
      ""pe"": 34.3
    },
    {
      ""year"": 2023,
      ""net_profit"": 7.83,
      ""eps"": 1.11,
      ""pe"": 29.3
    }
  ]
}",,,36.0,34.3,29.3,,,,0.91,0.95,1.11,
