author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"万玮,吴文吉",l事件公司发布2025年三季报，前三季度实现营业收入25.02亿元，同比增长24.70%；实现归母净利润3.47亿元，同比增长4.30%。l投资要点在手订单饱满，上下游价格有望逐步修复。公司前三季度实现营业收入25.02亿元，同比+24.70%；实现归母净利润3.47亿元，同比+4.30%，综合毛利率32.77%，同比-5.45pct；单季度来看，Q3实现营业收入9.01亿元，同比+21.19%，环比+0.06%，其中晶闸管(芯片+器件)营业收入1.39亿，同比-7.58%，占前三季度收入的15.60%，毛利率为39%；防护器件(芯片+器件)营业收入2.97亿，同比+19.77%，占前三季度收入的33.43%，毛利率为30.19%；MOSFET(芯片+器件)营业收入4.53亿，同比+37.67%，占前三季度收入的50.97%，毛利率为21.85%；归母净利润1.00亿元，同比-15.65%，环比-25.91%，综合毛利率28.11%，同比下降12.03pct，环比-3.75pct，公司的下游应用领域广泛，目前在手订单饱满，未来价格有望逐步调整恢复。重点布局汽车电子，车规MOS销售持续创高。2025年第三季度，公司各下游领域占比情况为:工业40.47%;消费41.40%;汽车13.11%;通信1.95%；其他3.07%；其中车规MOS销售持续创高，同比超20%增长，环比超10%增长;其他防护类车规级产品同比超30%增长。l投资建议：我们预计公司2025/2026/2027年营业收入分别为35.0/43.1/52.9亿元，归母净利润分别为5.2/7.3/10.0亿元，维持“买入”评级。l风险提示：市场竞争加剧风险；下游市场需求不及预期风险；客户拓展不及预期风险，产能扩张不及预期风险。,,中邮证券,买入,[None],2025-10-28,,买入,6912580,pdf_downloads/2025/2025-10-28/300623-捷捷微电（300623）：车规MOS持续新高.pdf,300623,捷捷微电,捷捷微电（300623）：车规MOS持续新高
"胡剑,胡慧,叶子,张大为,李书颖,詹浏洋,连欣然",1H25公司实现扣非归母净利润同比增长46.57%。公司主要从事功率半导体器件开发，主要产品包括晶闸管、防护器件、MOSFET等产品。随着汽车电子加速拓展，1H25公司实现营收16亿元(YoY+26.77%)，扣非归母净利润2.46亿元(YoY+46.57%)；其中2Q25单季度公司实现营收9.01亿元(YoY+21.21%，QoQ+28.67%)，扣非归母净利润1.36亿元(YoY+15.22%，QoQ+23.98%)，部分产品价格调整，毛利率31.86%(YoY-8.08pct，QoQ-4.56pct)回落。晶闸管保持稳健，MOSFET与防护器件营收同比加速增长。公司以IDM模式为主，随着产线稼动率提升产品毛利率显著修复。公司基本盘为晶闸管、防护器件，主要在5/6寸产线生产，第二增长曲线MOSFET主要在子公司捷捷南通8英寸线生产；目前MOSFET已成为第一大收入来源，1H25收入7.53亿元，占总营收47.75%，同比增长33.69%；子公司捷捷南通的8英寸线SGT等高附加值产品占比持续提升。晶闸管作为公司基本盘上半年实现营收2.83亿元（占比18%，YoY+1.12%）保持稳健，防护器件通过6英寸产能扩建实现收入5.41亿元（占比34%，YoY+34.32%）加速增长。汽车电子应用持续突破，打造第二增长曲线。公司将汽车电子作为重要战略方向，1H25汽车领域收入占比已达15.79%，其中MOSFET产品占比超8成。公司目前已拥有近200款车规级MOSFET产品，广泛应用于国内tier-1汽车零部件供应商的转向、燃油、润滑、冷却等系统；主要客户覆盖罗思韦尔、霍尼韦尔、东风科技、埃泰克、科世达、比亚迪、三花、华域、Nidec等知名企业。完成捷捷南通科技全资控股，对外投资拓展新产品线。1H25公司以现金2.84亿元完成了捷捷南通科技剩余8.45%的股权收购，至此公司持有捷捷南通科技100%的股权。捷捷南通科技作为公司8英寸线的主体，1H25已实现收入5.88亿元、归属上市公司净利润0.74亿元，完成全资控股将增厚公司利润。此外，公司对外投资设立的成都子公司聚焦高端隔离器芯片，已实现销售收入，未来有望带来新的增长点。投资建议：基于公司1H25经营情况，调整公司产品毛利率及收入，预计25-27年公司有望实现归母净利润5.56/7.08/8.50（前值25-26年：5.49/6.27亿元），对应25-27年PE分别为39.8/31.3/26.1倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-09-10,,买入,6418401,pdf_downloads/2025/2025-09-10/300623-捷捷微电（300623）：1H25扣非归母净利润同比增长46.57%，汽车电子加速布局.pdf,300623,捷捷微电,捷捷微电（300623）：1H25扣非归母净利润同比增长46.57%，汽车电子加速布局
"刘航,李科融","2025年8月20日，公司发布2025半年度业绩报告，公司实现营业收入16亿元，同比增长26.77%；归母净利润2.47亿元，同比增长15.35%；扣非归母净利润 2.46亿元，同比增长46.57%。点评：市场竞争加剧二季度短期波动，业绩维持高增长。公司2025年半年度公司实现营收16亿元，同比增长26.77%，净利润2.47亿元，同比增长8.51%，归母净利润2.47亿元，同比增长15.35%；扣非归母净利润 2.46亿元，同比增长46.57%，经营活动产生的现金流量净额达4.53亿元，同比增长55.03%。其中晶闸管、防护器件和MOSFET业务分别实现营业收入2.83亿、5.41亿、7.53亿，占主营业务收入的17.94%、34.31%和47.75%，毛利率分别为 44.84%、30.87%、33.57%，营收较去年同期分别同比增加1.12%、34.32 %、33.69 %，主要得益于公司产品得到国内外知名厂商认可，推动国产替代进程加速，报告期内销售收入大幅增长。公司二季度晶闸管、防护器件和MOSFET三大业务毛利率分别为45.43% 、29.20% 和27.81% ，较一季度有所下滑，主要受市场竞争加剧影响，晶闸管部分产品价格有小幅下降，防护类器件价格相对稳定，MOSFET部分产品有10%-15%的下降。6寸线项目达到批量生产能力，连续3月处于满产状态。公司“功率半导体6英寸晶圆及器件封测生产线”项目采用深Trench刻蚀及填充工艺、高压等平面终端工艺，不仅扩展新产品门类填补了公司产品的空白，还补充和升级了现有产品结构。6寸线定位于功率半导体芯片生产线，最小线宽达0.35um，目前已具备批量生产能力，产品包括单双向ESD芯片、稳压二极管芯片、开关管芯片、FRED芯片、高压整流二极管芯片、肖特基芯片和VDMOS 芯片等，目前6W片/月产能，已连续三个月出货在5W片以上, 处于满产状态。8寸线项目成熟落地，产出稳定满足下游需求。“高端功率半导体器件产业化项目”自 2022年9月下旬进入试生产阶段起良率基本保持在95%以上，该项目聚焦推动高端功率半导体发展，满足下游市场需求，扩大市场占有率，缓解MOSFET产能紧张的问题等，将进一步提升公司综合竞争力并完善核心“功率半导体器件IDM”供应链的战略布局， 目前项目产出稳定，产量约11W片/月。汽车电子领域是公司未来着重发展的下游应用领域之一。目前可供选择的车规级MOSFET产品近200款，该领域的产品在持续研发更新中。公司已量产百余款车规级MOSFET，其中JMSHO40SAGQ凭借捷捷微电自有知识产权的JSFET芯片、全铜框架和跳线封装工艺，性能突出，符合汽车行业的严苛标准，在长期可靠性、封装尺寸、功率及性能方面均获得业内认可，已广泛应用于国内tier-1汽车零部件供应商的转向、燃油、润滑、冷却等系统。汽车类下游的主要客户有罗思韦尔、霍尼韦尔、东风科技、埃泰克、科世达、比亚迪、三花、华域、Nidec等。公司盈利预测及投资评级：公司是晶闸管龙头，重点布局汽车电子，随着产能不断提升，销售有望快速增长。预计2025-2027年公司EPS分别为0.76元，0.99元和1.23元，维持“推荐”评级。风险提示：（1）下游市场需求不及预期风险；（2）市场竞争加剧风险；（3）技术迭代风险。",,东兴证券,推荐,[None],2025-09-08,,增持,6403312,pdf_downloads/2025/2025-09-08/300623-捷捷微电（300623）：公司2025年半年报业绩点评：业绩持续增长，6英寸项目持续满产.pdf,300623,捷捷微电,捷捷微电（300623）：公司2025年半年报业绩点评：业绩持续增长，6英寸项目持续满产
"万玮,吴文吉",事件公司发布2025年半年报，上半年实现营业收入16.00亿元，同比增长26.77%；实现归母净利润2.47亿元，同比增长15.35%。投资要点短期价格扰动毛利率，收入稳健增长。公司上半年实现营业收入16.00亿元，同比增长26.77%，实现归母净利润2.47亿元，同比增长15.35%，综合毛利率35.39%，同比下降1.69pct；单季度来看，Q2实现营业收入9.01亿元，同比增长21.21%，环比增长28.67%，其中MOSFET(芯片+器件)营收4.25亿元，环比增加29.55%，占主营业务收入47.75%.，归母净利润1.35亿元，同比增长10.69%，环比增长20.86%，综合毛利率31.86%，同比下降4.56pct，环比下降8.07pct，主要系市场竞争激烈，Q2晶闸管部分产品价格有小幅下降；MOSFET部分产品有10%-15%的下降，三季度价格有望回升。此外公司积极调整产品结构，提高SGTMOS占比，预计下半年毛利率回升。重点布局汽车电子，把握国产替代机遇。2025年上半年，公司各下游领域占比情况为:工业43.55%;消费领域36.25%；汽车15.79%;通信1.82%；其他2.59%，其中汽车电子是公司未来着重发展的下游应用领域之一。目前公司车规级MOSFET产品近200款，下游的客户覆盖霍尼韦尔、东风科技、埃泰克、科世达、比亚迪、三花、华域等。投资建议：我们预计公司2025/2026/2027年营业收入分别为36.1/44.8/55.1亿元，归母净利润分别为6.1/8.3/10.9亿元，维持“买入”评级。风险提示：市场竞争加剧风险；下游市场需求不及预期风险；客户拓展不及预期风险，产能扩张不及预期风险。,,中邮证券,买入,[None],2025-08-26,,买入,6347545,pdf_downloads/2025/2025-08-26/300623-捷捷微电（300623）：重点布局汽车电子，MOS占比持续提升.pdf,300623,捷捷微电,捷捷微电（300623）：重点布局汽车电子，MOS占比持续提升
"万玮,吴文吉","捷捷微电(300623)高端功率半导体产业化项目持续推进l投资要点高端功率半导体产业化项目持续推进。南通“高端功率半导体器件产业化项目”自2022年9月下旬起进入试生产阶段，试生产阶段的产品良率符合预期，基本保持在95%以上。目前该项目仍处在产能爬坡期，2024年产出100万片8寸晶圆，2025年3月月产能达到12万片，预计2025年全年达到150万片的总产出。该项目将有助于推动高端功率半导体发展，满足下游市场需求，扩大市场占有率，缓解MOSFET产能紧张的问题等，将进一步提升公司市场竞争力、综合实力与治理能力。各产品线订单能见度平稳。公司的下游客户分布十分广泛,按照产品的应用领域的不同,大致分为工业、汽车电子、通信、消费，2025年Q1营收中工业领域占比35%；消费领域占比38%；汽车电子领域23%；通信领域3%。未来公司将重点拓展汽车电子、电源类及工业类三大领域，汽车电子领域主要为各类马达驱动、照明、无线充、锂电池管理等；电源类领域主要为太阳能光伏、储能、充电桩及重点大客户功率器件需求等；工业类领域，主要为高功率马达驱动、锂电池管理、逆变器、压缩机等。公司三大产品线中晶闸管部分产品价格有小幅下降的情况；防护类器件的部分产品价格也有小幅波动情况；MOSFET产品价格目前比较稳定，一季度各产品线订单能见度基本稳定在6-8周，在比较健康的水平。投资建议：我们预计公司2025/2026/2027年分别实现收入37.1/48.3/62.8亿元，归母净利润分别为6.4/8.8/12.0亿元，维持“买入”评级。风险提示：研发未达预期的风险；市场竞争加剧风险；产品推广不及预期；资产折旧摊销增加的风险。",,中邮证券,买入,[None],2025-05-20,,买入,6066289,pdf_downloads/2025/2025-05-20/300623-捷捷微电（300623）：高端功率半导体产业化项目持续推进.pdf,300623,捷捷微电,捷捷微电（300623）：高端功率半导体产业化项目持续推进
"刘航,李科融",2025年4月15日，公司发布2024年度业绩报告，实现营业收入28.45亿元，较上年同期增加35.05%，归母净利润为4.73亿元，比上年同期增加115.87%。点评：产销两旺，公司2024年营收同比增长35.05%，归母净利润同比增长115.87%，业绩增长强劲。报告期内，公司实现营业收入28.45亿元，同比增长35.05%，归母净利润4.73亿元，同比增长115.87%，营业利润6.1亿元，同比增长194.50%。两大核心产品产销两旺，功率半导体芯片生产量和销售量分别同比增长43.93%和63.10%，营业收入同比增长44.59%，毛利率为23.47%，同比增长2.86pct，主要得益于捷捷微电(南通)科技有限公司生产设备在功率半导体领域属于国内领先水平，随着产能不断提升，销售快速增长。功率半导体器件生产量和销售量分别同比增加31.52%和32.25%，毛利率达41.46%，同比增长2.53pct。主要得益于下游市场应用领域需求的逐步回暖、产品结构升级和客户需求增长等因素，产能利用率保持较高的水平。6英寸项目推动产品结构优化升级，现已实现50000片/月产出。公司“功率半导体6英寸晶圆及器件封测生产线”项目由公司全资子公司捷捷半导体有限公司承建，该项目计划采用深Trench刻蚀及填充工艺、高压等平面终端工艺，积极扩展新产品门类，填补公司产品空白，补充和升级现有产品结构。6寸线定位于功率半导体芯片生产线，最小线宽达0.35um，目前已具备批量生产能力，产品包括单双向ESD芯片、稳压二极管芯片、开关管芯片、FRED芯片、高压整流二极管芯片、肖特基芯片和VDMOS芯片等。6寸线目前还在产能爬坡期，现已实现50000片/月产出。控股子公司聚焦高端隔离器芯片，国产替代助力开拓高端制造新增长点。公司控股子公司捷捷微电（成都）科技有限公司于2024年10月25日完成工商注册登记手续并取得《营业执照》，公司注册资金1000万元，坐落于成都高新区。该公司经营高端隔离器芯片，其产品可广泛应用于工业控制、新能源汽车、信息通讯、电力电表等领域，可实现公司产业链向上延伸，优化产品结构，为公司在高端制造领域培育新的利润增长点，也可实现对高端隔离器芯片国产化替代。2025年预计可形成500万左右的销售。公司盈利预测及投资评级：公司是晶闸管龙头，6寸线目前还在产能爬坡期，随着产能不断提升，销售有望快速增长。预计2025-2027年公司EPS分别为0.78元，1.02元和1.35元，维持“推荐”评级。风险提示：（1）扩产进度不达预期；（2）市场竞争加剧风险；（3）技术迭代风险。,,东兴证券,推荐,[None],2025-05-09,,增持,6047089,pdf_downloads/2025/2025-05-09/300623-捷捷微电（300623）：2024年报业绩点评：产销两旺，高端制造打造新增长点.pdf,300623,捷捷微电,捷捷微电（300623）：2024年报业绩点评：产销两旺，高端制造打造新增长点
"樊志远,戴宗廷",2025年4月15日公司披露2024年年报，2024年公司实现营收28.45亿元，同比+35.05%；实现归母净利润4.73亿元，同比增幅达115.87%。其中，第四季度公司实现营业收入8.39亿元，同比增长23.35%；归母净利润为1.40亿元，同比强劲增长83.31%。公司成本管控成效显著，盈利能力持续增强。公司在功率半导体分立器件的运作模式中采取的是以 IDM 模式为主、部分Fabless+封测的模式，通过精细化成本管理，公司2024年的综合毛利率提升至36.34%，同比提升2.21个百分点；净利率达17.51%。期间费用率也呈全面下降的趋势，其中销售费用率、管理费用率、研发费用率及财务费用率分别降至2.33%、4.53%和9.56%，较上年同期均实现不同程度优化。公司通过供应链体系优化、生产效率提升及研发投入加大等举措，有效实现降本增效，产品竞争力显著提升，带动营收与利润实现双增长。持续稳定的分红政策，为股东创造可持续的投资价值。基于良好的经营业绩，公司拟实施现金分红方案，向全体股东每10股派发现金红利1.5元（含税），合计派发现金红利约1.25亿元。此次分红方案充分彰显了公司对股东回报的重视，同时也体现了公司稳健的盈利能力和充裕的现金流。通过持续稳定的分红政策，公司将进一步巩固投资者信心，为股东创造可持续的投资价值。考虑到行业景气度逐步恢复，公司产能利用率维持较高水平盈利能力同比大幅改善，我们预测公司2025~2027年归母净利润为6.46/8.75/11.80亿元，对应EPS分别为0.78/1.05/1.42元，公司股票现价对应PE估值为38/28/21倍，维持“买入”评级。技术迭代和产品升级不及预期的风险；市场竞争加剧的风险；对进口设备依赖的风险；可转债转股压力的风险。,,国金证券,买入,[None],2025-04-16,,买入,6011619,pdf_downloads/2025/2025-04-16/300623-捷捷微电（300623）：2024年归母净利润同比翻倍，看好8寸线产能扩充带动业绩成长.pdf,300623,捷捷微电,捷捷微电（300623）：2024年归母净利润同比翻倍，看好8寸线产能扩充带动业绩成长
"吴文吉,万玮",投资要点下游应用广泛，重点布局汽车电子方向。公司下游客户分散，应用领域宽泛，其中工业领域占比36%；消费领域占比40%；汽车占比20%；通信占比3%。未来公司将重点拓展汽车电子领域，包括各类马达驱动，汽车照明，汽车无线充，汽车锂电池管理等产品。产品料号持续研发更新，覆盖国内主流tier-1厂商。目前公司可供选择的车规级MOSFET产品有137款左右，该领域的产品在持续研发更新中。公司已量产百余款车规级MOSFETS，其中JMSHO40SAGQ凭借捷捷微电自有知识产权的JSFET芯片、全铜框架和跳线封装工艺，性能突出，符合汽车行业的严苛标准，在长期可靠性、封装尺寸、功率及性能方面均获得业内认可，已广泛应用于国内tier-1汽车零部件供应商的转向、燃油、润滑、冷却等系统，覆盖客户群体包括罗思韦尔、霍尼韦尔、东风科技、埃泰克等。收购捷捷南通科技少数股权，产品爬坡带来规模效应。公司发行股份及支付现金购买资产并募集配套资金项目获批，完成工商变更后，公司持有捷捷南通科技91.55%股权。捷捷南通科技主要为公司8吋线，目前每月产能为10万片左右，月产出为9万片左右，产能仍在持续爬坡。随着产能的提升，有助于扩大市场占有率，同时带来规模效应，进一步提升公司市场竞争力与盈利能力。投资建议：我们预计公司2024-2026年归母净利润4.5/6.2/8.0亿元，维持“买入”评级。风险提示：产品研发及技术创新不及预期；行业竞争格局加剧风险；产品推广不及预期。,,中邮证券,买入,[None],2024-11-21,,买入,5838696,pdf_downloads/2024/2024-11-21/300623-捷捷微电（300623）：车规级产品放量.pdf,300623,捷捷微电,捷捷微电（300623）：车规级产品放量
"胡剑,胡慧,叶子,詹浏洋,李书颖",公司3Q24毛利率环比增加3.72pct，同比增长7.29pct。公司主要从事功率半导体器件开发，主要产品包括晶闸管、防护器件、MOSFET等产品，广泛应用于工业、消费、汽车及通信等领域。随着需求回暖与产品结构优化，3Q24单季度公司实现营收7.43亿元(YoY+41.5%，QoQ+0.1%)，归母净利润1.19亿元(YoY+155.3%，QoQ-2.8%)，扣非归母净利润1.13亿元(YoY+206.21%，QoQ-3.9%)，随8英寸产线稼动率提升，公司毛利率显著改善，毛利率40.14%(YoY+7.29pct，QoQ+3.72pct)。晶闸管、防护器件需求稳步修复，MOSFET加速增长。公司以IDM模式为主，随着产线稼动率提升产品毛利率显著修复。公司基本盘为晶闸管、防护器件，主要在5/6寸产线生产，第二增长曲线MOSFET主要在子公司捷捷南通8英寸线生产；随着稼动率提升，MOSFET毛利率连续环比改善。未来，MOSFET在汽车领域渗透有望为公司重要增长极，目前公司车规级MOSFET超过137款，随着头部客户陆续完成审厂，公司MOSFET有望保持加速发展。子公司捷捷南通科技股权已完成过户，公司利润端有望受益。此前公司拟以发行股份及支付现金的方式购买捷捷南通科技30.24%股权，已完成本次重组的标的资产过户事宜，工商变更登记完成后，公司持有捷捷南通科技91.55%股权。捷捷南通科技主要为公司8英寸线，1H24已实现收入4.3亿元、净利润0.65亿元，随着产能逐步打满，规模效应释放，盈利能力持续提升，股权购买后捷捷南通科技将对公司利润端带来正向贡献。对外投资设立成都子公司，聚焦高端隔离芯片。公司设立“捷捷微电（成都）科技有限公司”，拟投资经营高端隔离器芯片产业化项目。高端隔离器芯片产品主要应用于工业控制、新能源汽车、信息通讯、电力电表等领域，目前国产化率仍低且与公司核心产品客户关联度较高，可实现公司产业链向上延伸，有望带来新的业绩增长点。投资建议：考虑8英寸产线稼动率提升带来的规模效应，基于公司24年1-3Q经营情况，上调公司产品毛利率，对应24-26年归母净利润上调，预计24-26年公司有望实现归母净利润4.65/5.49/6.27（前值：2.8/3.2/3.5亿元），对应24-26年PE分别为71/60/53倍，我们看好公司8英寸产线稼动率提升带来的规模效应，维持“优于大市”评级。,,国信证券,优于大市,[None],2024-10-29,,买入,5805407,pdf_downloads/2024/2024-10-29/300623-捷捷微电（300623）：毛利率同环比提升，规模效应渐体现.pdf,300623,捷捷微电,捷捷微电（300623）：毛利率同环比提升，规模效应渐体现
"刘航,李科融","2024年10月25日，捷捷微电发布2024年第三季度报告：公司2024年第三季度实现营业收入7.43亿元，同比增长41.50%；归母净利润为1.19亿元，同比增长155.31%。点评：公司2024年第三季度业绩持续增长，收入同比增长41.50%，归母净利润同比增长155.31%，下游需求逐步回暖。2024年第三季度公司实现营收7.43亿元，毛利率为40.14%，同比增加7.28pct，环比增加3.72pct。前三季度净利润为3.51亿元，同比增长172.35%，主要受益于下游需求逐步回暖，产品结构升级和客户需求增长，综合产能有所提高。公司出售厂房利得增加，公司资产处置收益为3469.32万元，较去年同期增长2152.19%。公司6英寸晶圆及器件封测生产线已具备生产能力，“车规级”封测产业化项目预计年底试生产。6英寸晶圆及器件封测生产线产能不断攀升，6寸线具备30000片/月产能，现已实现约20000片/月产出。功率半导体“车规级”封测产业化项目主要从事车规级大功率器件的研发、生产及销售，该项目建设完成后可达到年产1900kk车规级大功率器件DFN系列产品、120kk车规级大功率器件TOLL系列产品、90kk车规级大功率器件LFPACK系列产品以及60kkWCSP电源器件产品的生产能力。项目达产后预计形成20亿的销售规模。公司继续深耕于功率半导体领域，四川设立控股子公司。公司在四川省成都市设立控股子公司，公司与张有润共同出资人民币1,000万元成立“捷捷微电（成都）科技有限公司”。此次拟投资经营高端隔离器芯片产业化项目，高端隔离器芯片产品广泛应用于工业控制、新能源汽车、信息通讯、电力电表等领域，同时“双碳战略和新质生产力”也推动了高端隔离器芯片的快速增长，可实现公司产业链向上延伸，优化产品结构，为公司在高端制造领域培育新的利润增长点，也可实现对高端隔离器芯片国产化替代。公司盈利预测及投资评级：公司是晶闸管龙头，积极扩产提高MOSFET产品份额。预计2024-2026公司年EPS分别为0.56元、0.80元、1.20元，维持“推荐”评级。风险提示：（1）市场竞争加剧；（2）扩产进度不达预期（3）技术迭代风险。",,东兴证券,推荐,[None],2024-10-29,,增持,5804815,pdf_downloads/2024/2024-10-29/300623-捷捷微电（300623）：2024年第三季度报业绩点评：业绩持续增长，布局汽车核心器件.pdf,300623,捷捷微电,捷捷微电（300623）：2024年第三季度报业绩点评：业绩持续增长，布局汽车核心器件
