updateDate,code,code_name
2026-02-16,sh.600000,浦发银行
2026-02-16,sh.600004,白云机场
2026-02-16,sh.600007,中国国贸
2026-02-16,sh.600008,首创环保
2026-02-16,sh.600009,上海机场
2026-02-16,sh.600010,包钢股份
2026-02-16,sh.600011,华能国际
2026-02-16,sh.600015,华夏银行
2026-02-16,sh.600016,民生银行
2026-02-16,sh.600018,上港集团
2026-02-16,sh.600019,宝钢股份
2026-02-16,sh.600021,上海电力
2026-02-16,sh.600023,浙能电力
2026-02-16,sh.600025,华能水电
2026-02-16,sh.600026,中远海能
2026-02-16,sh.600027,华电国际
2026-02-16,sh.600028,中国石化
2026-02-16,sh.600029,南方航空
2026-02-16,sh.600030,中信证券
2026-02-16,sh.600031,三一重工
2026-02-16,sh.600032,浙江新能
2026-02-16,sh.600036,招商银行
2026-02-16,sh.600038,中直股份
2026-02-16,sh.600039,四川路桥
2026-02-16,sh.600048,保利发展
2026-02-16,sh.600050,中国联通
2026-02-16,sh.600060,海信视像
2026-02-16,sh.600061,国投资本
2026-02-16,sh.600062,华润双鹤
2026-02-16,sh.600066,宇通客车
2026-02-16,sh.600085,同仁堂
2026-02-16,sh.600089,特变电工
2026-02-16,sh.600095,湘财股份
2026-02-16,sh.600096,云天化
2026-02-16,sh.600098,广州发展
2026-02-16,sh.600104,上汽集团
2026-02-16,sh.600109,国金证券
2026-02-16,sh.600111,北方稀土
2026-02-16,sh.600115,中国东航
2026-02-16,sh.600118,中国卫星
2026-02-16,sh.600126,杭钢股份
2026-02-16,sh.600131,国网信通
2026-02-16,sh.600132,重庆啤酒
2026-02-16,sh.600141,兴发集团
2026-02-16,sh.600143,金发科技
2026-02-16,sh.600150,中国船舶
2026-02-16,sh.600153,建发股份
2026-02-16,sh.600157,永泰能源
2026-02-16,sh.600160,巨化股份
2026-02-16,sh.600161,天坛生物
2026-02-16,sh.600166,福田汽车
2026-02-16,sh.600170,上海建工
2026-02-16,sh.600171,上海贝岭
2026-02-16,sh.600176,中国巨石
2026-02-16,sh.600177,雅戈尔
2026-02-16,sh.600183,生益科技
2026-02-16,sh.600188,兖矿能源
2026-02-16,sh.600196,复星医药
2026-02-16,sh.600208,衢州发展
2026-02-16,sh.600219,南山铝业
2026-02-16,sh.600233,圆通速递
2026-02-16,sh.600276,恒瑞医药
2026-02-16,sh.600282,南钢股份
2026-02-16,sh.600295,鄂尔多斯
2026-02-16,sh.600298,安琪酵母
2026-02-16,sh.600299,安迪苏
2026-02-16,sh.600309,万华化学
2026-02-16,sh.600312,平高电气
2026-02-16,sh.600316,洪都航空
2026-02-16,sh.600329,达仁堂
2026-02-16,sh.600332,白云山
2026-02-16,sh.600339,中油工程
2026-02-16,sh.600346,恒力石化
2026-02-16,sh.600348,华阳股份
2026-02-16,sh.600352,浙江龙盛
2026-02-16,sh.600362,江西铜业
2026-02-16,sh.600363,联创光电
2026-02-16,sh.600369,西南证券
2026-02-16,sh.600372,中航机载
2026-02-16,sh.600377,宁沪高速
2026-02-16,sh.600378,昊华科技
2026-02-16,sh.600380,健康元
2026-02-16,sh.600390,五矿资本
2026-02-16,sh.600392,盛和资源
2026-02-16,sh.600398,海澜之家
2026-02-16,sh.600406,国电南瑞
2026-02-16,sh.600415,小商品城
2026-02-16,sh.600426,华鲁恒升
2026-02-16,sh.600435,北方导航
2026-02-16,sh.600436,片仔癀
2026-02-16,sh.600438,通威股份
2026-02-16,sh.600460,士兰微
2026-02-16,sh.600482,中国动力
2026-02-16,sh.600483,福能股份
2026-02-16,sh.600486,扬农化工
2026-02-16,sh.600487,亨通光电
2026-02-16,sh.600489,中金黄金
2026-02-16,sh.600497,驰宏锌锗
2026-02-16,sh.600498,烽火通信
2026-02-16,sh.600499,科达制造
2026-02-16,sh.600511,国药股份
2026-02-16,sh.600515,海南机场
2026-02-16,sh.600516,方大炭素
2026-02-16,sh.600517,国网英大
2026-02-16,sh.600519,贵州茅台
2026-02-16,sh.600521,华海药业
2026-02-16,sh.600522,中天科技
2026-02-16,sh.600528,中铁工业
2026-02-16,sh.600535,天士力
2026-02-16,sh.600536,中国软件
2026-02-16,sh.600546,山煤国际
2026-02-16,sh.600547,山东黄金
2026-02-16,sh.600549,厦门钨业
2026-02-16,sh.600562,国睿科技
2026-02-16,sh.600563,法拉电子
2026-02-16,sh.600566,济川药业
2026-02-16,sh.600570,恒生电子
2026-02-16,sh.600578,京能电力
2026-02-16,sh.600580,卧龙电驱
2026-02-16,sh.600582,天地科技
2026-02-16,sh.600583,海油工程
2026-02-16,sh.600584,长电科技
2026-02-16,sh.600585,海螺水泥
2026-02-16,sh.600588,用友网络
2026-02-16,sh.600598,北大荒
2026-02-16,sh.600600,青岛啤酒
2026-02-16,sh.600601,方正科技
2026-02-16,sh.600602,云赛智联
2026-02-16,sh.600606,绿地控股
2026-02-16,sh.600637,东方明珠
2026-02-16,sh.600642,申能股份
2026-02-16,sh.600655,豫园股份
2026-02-16,sh.600660,福耀玻璃
2026-02-16,sh.600663,陆家嘴
2026-02-16,sh.600673,东阳光
2026-02-16,sh.600674,川投能源
2026-02-16,sh.600685,中船防务
2026-02-16,sh.600688,上海石化
2026-02-16,sh.600690,海尔智家
2026-02-16,sh.600699,均胜电子
2026-02-16,sh.600704,物产中大
2026-02-16,sh.600707,彩虹股份
2026-02-16,sh.600720,中交设计
2026-02-16,sh.600737,中粮糖业
2026-02-16,sh.600739,辽宁成大
2026-02-16,sh.600741,华域汽车
2026-02-16,sh.600754,锦江酒店
2026-02-16,sh.600760,中航沈飞
2026-02-16,sh.600763,通策医疗
2026-02-16,sh.600764,中国海防
2026-02-16,sh.600765,中航重机
2026-02-16,sh.600795,国电电力
2026-02-16,sh.600801,华新建材
2026-02-16,sh.600803,新奥股份
2026-02-16,sh.600808,马钢股份
2026-02-16,sh.600809,山西汾酒
2026-02-16,sh.600816,建元信托
2026-02-16,sh.600820,隧道股份
2026-02-16,sh.600845,宝信软件
2026-02-16,sh.600848,上海临港
2026-02-16,sh.600862,中航高科
2026-02-16,sh.600863,内蒙华电
2026-02-16,sh.600871,石化油服
2026-02-16,sh.600873,梅花生物
2026-02-16,sh.600875,东方电气
2026-02-16,sh.600879,航天电子
2026-02-16,sh.600884,杉杉股份
2026-02-16,sh.600885,宏发股份
2026-02-16,sh.600886,国投电力
2026-02-16,sh.600887,伊利股份
2026-02-16,sh.600893,航发动力
2026-02-16,sh.600900,长江电力
2026-02-16,sh.600901,江苏金租
2026-02-16,sh.600905,三峡能源
2026-02-16,sh.600906,财达证券
2026-02-16,sh.600909,华安证券
2026-02-16,sh.600918,中泰证券
2026-02-16,sh.600919,江苏银行
2026-02-16,sh.600926,杭州银行
2026-02-16,sh.600927,永安期货
2026-02-16,sh.600930,华电新能
2026-02-16,sh.600938,中国海油
2026-02-16,sh.600941,中国移动
2026-02-16,sh.600958,东方证券
2026-02-16,sh.600959,江苏有线
2026-02-16,sh.600967,内蒙一机
2026-02-16,sh.600968,海油发展
2026-02-16,sh.600970,中材国际
2026-02-16,sh.600977,中国电影
2026-02-16,sh.600985,淮北矿业
2026-02-16,sh.600988,赤峰黄金
2026-02-16,sh.600989,宝丰能源
2026-02-16,sh.600995,南网储能
2026-02-16,sh.600998,九州通
2026-02-16,sh.600999,招商证券
2026-02-16,sh.601000,唐山港
2026-02-16,sh.601001,晋控煤业
2026-02-16,sh.601006,大秦铁路
2026-02-16,sh.601009,南京银行
2026-02-16,sh.601012,隆基绿能
2026-02-16,sh.601016,节能风电
2026-02-16,sh.601018,宁波港
2026-02-16,sh.601019,山东出版
2026-02-16,sh.601021,春秋航空
2026-02-16,sh.601058,赛轮轮胎
2026-02-16,sh.601059,信达证券
2026-02-16,sh.601061,中信金属
2026-02-16,sh.601066,中信建投
