author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"查浩,刘晓宁,邹佩轩,戴映炘,邓思平",事件：1）公司发布2025年中报，2025年上半年实现营收600亿元，同比下降8.98%（调整后数据，下同）；归母净利润39.04亿元，同比增长13.15%；扣非后归母净利润37.54亿元，同比增长13.37%。公司单二季度实现营收333.8亿元，同比下降4.42%；归母净利润19.73亿元，同比增长24.27%；扣非后归母净利润18.58亿元，同比增长9.99%，二季度业绩基本符合市场预期。2）公司发布2025年中期现金分红方案，拟每股派发现金0.09元（含税），较2024年中期现金分红方案提升0.01元/股。业绩增长受益于煤价下跌，上网电价表现依旧稳健。公司上半年营收下滑主要系电量下滑，根据公告，公司2025年上半年实现上网电量1133亿千瓦时，同比下降6.46%，主要系区域电力供需宽松，其中煤电、气电、水电利用小时数分别变动-9.11%、-3.18%、+17.48%。公司单二季度主业利润（营业利润减去投资净收益）18.35亿元，同比增长49%，主要受益于煤价下降，根据公告，公司上半年入炉标煤单价为850.74元/吨，同比下降12.98%，即127元/吨。其中单二季度对联合营的投资收益同比增长44%，主要系2024年上半年内蒙古福城矿业（参股35%）造成7.2亿投资损失。值得注意的是，公司上半年平均上网电价516.8元/兆瓦时，同比下降1.44%，约7.6元/兆瓦时，公司电价表现依旧稳健。其他经营数据方面，上半年控股装机7744万千瓦（6月1日完成集团火电资产收购），其中煤电、气电、水电分别为5440、2058、246万千瓦，上半年新增1762万千瓦火电装机，其中煤电、气电分别为748、1014万千瓦。截至2025年6月底，公司核准在建装机1197万千瓦，其中煤电、气电、抽蓄分别为468、159、570万千瓦。华电集团常规能源整合平台，完成集团16GW火电收购，拟等股比增资华电金上。公司通过发股及支付现金购买华电集团旗下8家电力公司合计16GW火电装机，交易总价71.67亿元，其中股份支付34.28亿元，现金支付37.38亿元，股份支付为向华电集团定向发股价格5.05元/股，发股数量6.79亿股。定向增发完成后，华电国际于8月完成社会资金配套募资34.28亿元，其中发股价格4.86元/股，发股数量7.05亿股，用于火电建设（20亿元）与支付重组现金（14.28亿元）。本次资产注入乃华电集团践行华电国际常规能源（火电、水电）整合平台的承诺，同时，公司发布增资集团重要水电公司公告，拟按12%股权比例向关联方华电金沙江上游水电开发有限公司（华电金上）增资6亿元，华电金上注册资本将由100亿元增至150亿元。增资后股权比例将保持不变（中国华电48%、华电国际12%、其他股东40%）。根据华电金上官网，华电金上主要负责开发建设金沙江上游7级水电站共917.60万千瓦，以及沿江区域可再生能源超3000万千瓦，预计到2027年基地运行装机1200万千瓦，2035年基本建成金沙江上游流域水风光一体化示范基地。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为68、73、78亿元，剔除永续债利息约6.4亿元后，当前股价对应的PE分别为10、9、9倍，维持“买入”评级。风险提示：煤价波动超出预期，电价出现不利变化，计提大额减值损失。,,华源证券,买入,[None],2025-09-11,,买入,6424829,pdf_downloads/2025/2025-09-11/600027-华电国际（600027）：上半年业绩符合预期华电集团常规能源整合平台.pdf,600027,华电国际,华电国际（600027）：上半年业绩符合预期华电集团常规能源整合平台
"苏治彬,刘兴文",投资要点：事件：近日公司披露2025年中报。2025H1公司实现营收599.53亿元，同比下降8.98%；归母净利润39.04亿元，同比增长13.15%。点评：公司利润受益于煤价同比下降等因素。2025H1，公司累计上网电量为1132.89亿千瓦时，同比下降约6.46%；上网电价为516.80元/兆瓦时，同比下降约1.44%；入炉标煤单价为850.74元/吨，同比下降约12.98%。受益于煤价同比下降等因素，2025H1公司归母净利润同比增长13.15%。火电利用小时下降，水电利用小时增长。2025H1公司发电机组平均利用小时为1595小时，同比下降约115小时，其中燃煤发电机组利用小时为1815小时，同比下降约182小时；燃气发电机组利用小时为973小时，同比下降约32小时；水力发电机组利用小时为1593小时，同比增长约237小时。公司已投入运行的控股发电企业共计55家，控股装机容量为7744.46万千瓦，其中燃煤发电装机容量占比约为70.24%，燃气发电、水力发电等清洁能源发电装机容量占比约为29.76%。顺利完成资产重组。公司通过发行普通股及支付现金的方式购买中国华电集团有限公司持有的江苏公司80%股权，福建华电福瑞能源发展有限公司持有的上海公司51%股权、闵行公司100%股权、大学城公司55%股权、广州公司55%股权、江门公司70%股权、清远能源100%股权，以及中国华电集团北京能源有限公司持有的贵港公司100%股权等，并募集配套资金。该项目相关资产已于2025年6月1日完成过户，公司新增机组包括：江苏公司机组容量1275.86万千瓦、上海公司机组容量2.64万千瓦、闵行公司机组容量18.74万千瓦、大学城公司机组容量18.53万千瓦、广州公司机组容量133.86万千瓦、江门公司机组容量23万千瓦、清远能源机组容量7.5万千瓦、贵港公司机组容量126万千瓦。该重组有助于提升公司的资产规模和经营业绩。投资建议：预计公司2025-2027年EPS分别为0.59元、0.66元、0.74元，对应PE分别为9倍、8倍、7倍，维持对公司“买入”评级。风险提示：政策推进不及预期；经济发展不及预期；上网电价波动风险；动力煤价格波动风险等。,,东莞证券,买入,[None],2025-09-01,,增持,6378428,pdf_downloads/2025/2025-09-01/600027-华电国际（600027）：受益于煤价同比下降，顺利完成资产重组.pdf,600027,华电国际,华电国际（600027）：受益于煤价同比下降，顺利完成资产重组
"袁理,唐亚辉",事件：公司发布2025年半年报，2025年上半年公司实现营业收入599.53亿元，同比-9.0%，略低于市场预期；实现归母净利润39.04亿元，同比+13.2%，符合市场预期。2025年上半年煤电板块实现利润总额27.48亿元，同比+25.9%。2025年上半年煤电、气电、水电三大板块均全面盈利。其中，煤电实现利润总额27.48亿元，同比+25.9%；燃机实现利润总额3.18亿元，剔除2024年上半年浙江半山一次性资产处置收益13.86亿元，利润增加2.45亿元；水电实现利润总额1.09亿元，同比+119.5%。发电量、上网电价及煤耗：2025H1完成发电量1206.21亿千瓦时，同比-6.4%；实现上网电价516.80元/兆瓦时，同比-1.4%：发电量：2025H1发电量完成1206.21亿千瓦时，同比-6.4%。其中，煤电发电量979.77亿千瓦时，同比-9.0%；燃机发电量187.29亿千瓦时，同比+4.0%；水电发电量39.16亿千瓦时，同比+17.5%。上网电价：实现综合上网电价516.80元/兆瓦时，同比-1.4%。其中，煤电上网电价为466.29元/兆瓦时，同比-3.8%；燃气机组上网电价为821.95元/兆瓦时，同比+3.5%。煤耗：2025H1供电煤耗完成280.04克/千瓦时，同比-1.8%；入炉煤折标煤单价完成850.74元/吨，同比-13.0%容量电价对冲发电量下滑因素，公用事业属性提升：受益于山东省容量电价较高因素，总计约0.0991元/千瓦时，叠加成本入炉煤单价同比-13.0%，虽发电量同比-20%，利润同比大幅提升。2025年全年资本性支出计划约178亿元，其中基建及前期项目约98.80亿元，技改支出约79.25亿元。资本开支增加主要因新并入资产带来约50多亿资本开支（原有资产计划约120亿）。技改投入主要集中在节能、安全、灵活性改造三大方向，包括未完成的灵活性改造、降低机组能耗以及设备安全检修等。盈利预测与投资评级：我们维持公司2025-2027年归母净利润预测为64.5/68.1/77.4亿元，对应PE为10/9/8倍，维持“买入”评级。风险提示：并购进度不及预期的风险，电力需求超预期下降的风险，减值风险等,,东吴证券,买入,[None],2025-09-01,,买入,6375354,pdf_downloads/2025/2025-09-01/600027-华电国际（600027）：符合预期，关注2026年容量电价提高对冲发电量下滑影响.pdf,600027,华电国际,华电国际（600027）：符合预期，关注2026年容量电价提高对冲发电量下滑影响
"黄秀杰,郑汉林,刘汉轩,崔佳诚",电价、电量下降使得营业收入同比下降，归母净利润实现增长。2025年上半年，公司实现营收599.53亿元（-8.98%），归母净利润39.04亿元（+13.15%），扣非归母净利润37.54亿元（+13.37%）。2025年第二季度，公司营业收入333.76亿元（-4.42%），归母净利润19.73亿元（+24.27%），扣非归母净利润18.58亿元（+9.9%）。公司营业收入同比下降主要原因是发电量减少、电价下降及煤炭贸易业务模式优化等影响，2025年上半年，公司发电量1206.21亿千瓦时，追溯调整后同比下降6.41%；上网电价516.80元/兆瓦时，追溯调整后同比下降1.44%。公司归母净利润同比增长主要系燃料成本下降影响，2025年上半年，公司入炉标煤单价为850.74元/吨，追溯调整后同比下降12.98%；同期内，公司燃料成本约379.52亿元（-13.28%）。2025年上半年，公司经营性净现金流为154.62亿元（+87.09%），主要系燃料采购支出减少的影响。资产注入工作完成，装机规模明显增长。公司通过发行普通股及支付现金的方式购买华电集团持有的江苏公司80%股权，华电福瑞持有的上海公司51%股权、闵行公司100%股权、大学城公司55%股权、广州公司55%股权、江门公司70%股权、清远能源100%股权，以及华电北京持有的贵港公司100%股权等，并募集配套资金。该项目相关资产于2025年6月1日完成过户，公司新增机组包括：江苏公司1275.86万千瓦、上海公司2.64万千瓦、闵行公司18.74万千瓦、大学城公司18.53万千瓦、广州公司133.86万千瓦、江门公司23万千瓦、清远能源7.5万千瓦、贵港公司126万千瓦。核准及在建项目规模较大，未来装机有望进一步增长。截至2025年6月，公司核准及在建机组装机容量1196.6万千瓦，其中煤电468万千瓦，气电158.8万千瓦，抽水蓄能569.8万千瓦。公司持续推进火电、抽水蓄能电源项目建设，未来公司在建项目逐步投运，装机容量实现进一步增长，有望驱动公司业绩稳步增长。风险提示：电量下降；电价下滑；煤价上涨；项目投运不及预期。投资建议：由于煤价下降影响，上调盈利预测。预计2025-2027年公司归母净利润分别为70.1/72.0/74.7亿元（原预测值为63.9/66.1/69.4亿元），分别同比增长22.9%/2.7%/3.8%；EPS分别为0.60/0.62/0.64元，当前股价对应PE为8.8/8.6/8.2X。维持“优于大市”评级。,,国信证券,优于大市,[None],2025-09-01,,买入,6374074,pdf_downloads/2025/2025-09-01/600027-华电国际（600027）：煤价下降使得利润增长，经营性净现金流大幅提升.pdf,600027,华电国际,华电国际（600027）：煤价下降使得利润增长，经营性净现金流大幅提升
"吴一凡,吴晨玥,霍鹏浩,梁婉怡,卢浩敏,李清影","公司公告 2025 年半年报：1）业绩表现：2025 年上半年实现归母净利 39.04 亿
元，同比增长 13.15%；2025Q2 实现归母净利为 19.73 亿元，同比增长 24.27%。
2）营业收入：2025 年上半年实现营收 599.53 亿元，同比下降 8.98%；2025Q2
实现营收 333.76 亿元，同比下降 4.42%。3）毛利率：2025 年上半年毛利率为
10.72%，同比+2.10pct；2025Q2 毛利率为 10.72%，同比+1.80pct。评论：经营数据：1）电量层面：2025 年上半年公司完成发电量 1206.21 亿千瓦时，
调整后同比下降 6.41%；完成上网电量 1132.89 亿千瓦时，调整后同比下降
6.46%；上网电价为 516.80 元/兆瓦时，调整后同比下降 1.44%。2）利用小时
数：2025 年上半年发电机组的平均利用小时数为 1595 小时，同比下降 115 小
时，其中燃煤/燃气/水电的利用小时数分别为 1815/973/1593 小时，同比变化
分别为-182/-32/+237 小时。3）装机层面：截至 2025 年 8 月，公司控股装机容
量达到 77.4GW，其中燃煤/燃气/水电装机容量分别为 54.4/20.6/2.5GW。煤炭价格下降推动成本端优化，上半年公司盈利能力有所提升。2025 年上半
年，公司燃料成本约为 379.52 亿元，同比下降 13.28%，主要系国内煤价下降
使得燃料成本下降，促进火电业务盈利能力提升。2025H1 公司入炉标煤单价
为人民币 850.74 元/吨，同比下降 12.98%；2025H1 秦皇岛 Q5500 平仓价均值
约为 676 元/吨，同比下降约 23%。
 集团资产注入完成，公司装机容量显著增长。2025 年 5 月，公司通过发行股
份及现金支付的方式购买中国华电集团所持有的资产，相关资产已于 2025 年
6 月完成过户，本次资产注入标的资产合计在运装机规模约为 1606 万千瓦，
显著提升了公司控股装机容量，有望对未来业绩增长形成支撑。投资建议：结合当前运营情况对业绩进行预测，我们预计公司 25~27 年分别
实现归母净利 71、80、91 亿（前值为 63、72、82 亿），对应增速分别为
24.3%、12.6%、14.1%，对应 25~27 年 EPS 分别为 0.61、0.69、0.78 元，对
应 PE 倍数分别为 9、8、7。对公司采用可比公司估值法，参照可比公司给予
华电国际 25 年 12x PE，25 年目标市值为 850 亿，对应目标价 7.3 元，预期
较现价约 38%空间，维持“强推”评级。风险提示：煤价波动风险、电力市场化改革不及预期、电价上升不及预期等。",,华创证券,强推,[None],2025-08-29,,买入,6368545,pdf_downloads/2025/2025-08-29/600027-华电国际（600027）：煤价下跌改善盈利水平，集团资产注入提升装机规模.pdf,600027,华电国际,华电国际（600027）：煤价下跌改善盈利水平，集团资产注入提升装机规模
唐执敬,8月28日公司发布2025年中报，1H25年实现营收599.5亿，调整后同比-8.98%；实现归母净利39.0亿，调整后同比+13.15%。计划中期每股派发现金红利0.09元人民币（含税）。新能源挤压致电量下滑，但受益于容量电价和发电结构调整，电价降幅较小。1H25公司共完成上网电量1132.9亿千瓦时、调整后同比-6.5%，平均上网电价约517.1元/MWh、调整后同比-1.4%。分区域看，1H25可比口径下公司煤电发电量降幅前三的省份分别为山东、河南和安徽，主要受到新能源发电量增加和外来电新机组投产的影响。但得益于山东、河南煤电容量电价补偿比例较高，且报告期内公司新投产156.5万千瓦气电机组登因素带动电价较高的气电发电量显著提升，公司平均上网电价仅同比-7.2元/MWh。煤价下行降低燃料成本，点火价差继续走阔。1H25公司入炉标煤单价为850.74元/吨，追溯调整后较上年同期下降12.98%。实现供电煤耗280.05g/kWh、同比-5.23g/kWh。煤价与煤耗双降，公司火电度电燃料成本同比下降12.18元/MWh至约347.43元/MWh，降幅约3.4%。度电燃料成本降幅小于入炉标煤价降幅，或因新机组投产+资产注入致气电装机占比提升。1H25公司实现销售毛利率10.72%，同比提升2.1pcts，环比基本持平。3Q25电量增速有望回升，长期看新增机组将陆续贡献增量。短期看，3Q25高温天气带动用电需求复苏将提升火电资产利用小时数，尤其1H25火电发电量降幅较大的省份，7、8月受极端高温天气的影响更大，如河南7月火电发电量同比+32.7%。中长期看，资产注入后公司已获核准及在建机组数量达到1196.6万千瓦，其中火电机组626.8万千瓦、抽水蓄能机组569.8万千瓦。新机组稳定投产将为公司带来长期增量。预计公司2025~2027年分别实现归母净利润69.8/72.9/93.2亿元，EPS分别为0.60/0.63/0.80元，公司股票现价对应PE估值分别为9倍、8倍和7倍，维持“买入”评级。风险提示 电力需求不及预期，煤价下行不及预期，参股项目业绩不及预期，大额资产减值。,,国金证券,买入,[None],2025-08-29,,买入,6364947,pdf_downloads/2025/2025-08-29/600027-华电国际（600027）：产能扩张难补量，煤价下行促增利.pdf,600027,华电国际,华电国际（600027）：产能扩张难补量，煤价下行促增利
"苏治彬,刘兴文",投资要点：事件：5月以来，华电国际接连披露了《关于发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得中国证券监督管理委员会同意注册批复的公告》《华电国际电力股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书》《华电国际电力股份有限公司收购报告书》等资产重组相关公告。点评：资产重组已顺利完成所需履行的决策和审批程序。5月16日，公司收到中国证监会出具的《关于同意华电国际电力股份有限公司发行股份购买资产并募集配套资金注册的批复》（证监许可〔2025〕1033号）。中国证监会批复文件的主要内容包括（1）同意公司向中国华电集团有限公司发行6.79亿股股份购买相关资产的注册申请，（2）同意公司发行股份募集配套资金不超过34.28亿元的注册申请等。截至目前，该重组已顺利完成所需履行的决策和审批程序。公司规模优势有望进一步突出。公司是我国装机容量最大的上市发电公司之一，在运营的控股发电资产遍布全国十二个省、市，机组类型多样，产业链布局完善，具备显著的规模优势。重组完成后，公司将实现江苏、上海、广西区域零的突破，提升江苏、上海、广东、广西区域装机规模和市场份额，规模优势有望进一步突出。目前公司控股装机容量为5981.86万千瓦，重组标的公司合计拥有火电装机1606万千瓦。重组完成后，公司控股装机容量将达到7587.86万千瓦。该重组将有助于提升公司的资产规模和经营业绩。参考《华电国际电力股份有限公司发行股份及支付现金购买资产并募集配套资金暨关联交易报告书》的分析数据，假设以2024年12月31日为基准日，重组完成后公司总资产将增长18.37%；假设以2024年度经营数据为基准，重组完成后公司营业收入将增长25.07%、归母净利润将增长5.93%。综合来看，该重组将有助于提升公司的资产规模和经营业绩。投资建议：维持对公司“买入”评级。公司为我国装机容量最大的上市发电公司之一，该重组将有助于提升公司的资产规模和经营业绩，后续公司发展可期。预计2025-2027年EPS分别为0.64元、0.69元、0.73元，对应PE分别为9倍、9倍、8倍，维持对公司“买入”评级。风险提示：政策推进不及预期；经济发展不及预期；上网电价波动风险；动力煤价格波动风险等。,,东莞证券,买入,[None],2025-05-27,,增持,6080944,pdf_downloads/2025/2025-05-27/600027-华电国际（600027）：动态点评：资产重组获批，有望提升公司资产规模和经营业绩.pdf,600027,华电国际,华电国际（600027）：动态点评：资产重组获批，有望提升公司资产规模和经营业绩
"袁理,唐亚辉","事件：公司发布2025年一季报，2025年一季度公司实现营业收入265.77亿元，同比-14.1%，略低于市场预期；实现归母净利润19.30亿元，同比+3.7%，符合市场预期。2025Q1山东地区核电、太阳能发电量超预期，火电发电量略低于市场预期。2025Q1山东省实现总发电量1202.3亿千瓦时，同比-4.9%；水力发电量13.5亿千瓦时，同比增长-7.1%；风力发电量162.5亿千瓦时，同比增长-6.6%；太阳能发电量54.5165亿千瓦时，同比增长27.3%；核电发电量80.2亿千瓦时，同比增长52%。拟进行火电资产注入，增厚资产、利润规模：华电集团规划大规模的气电、煤电资产注入上市公司，注入资产集中在华南、江苏、上海地区。本次资产注入是华电集团对上市公司支持的重要举措，我们预计此次沿海城市的火电资产注入将进一步丰厚公司资产、利润和EPS，未来集团资产的整合有望进一步加速。2024年上网电量略降0.52%，新投产机组均为优质气电：截至2024/12/31，公司控股装机容量59818.62MW，燃煤发电约占控股装机容量的78.15%，燃气发电、水力发电等约占21.85%。2024年公司投产1508.84MW，增量均为燃气机组。2024年公司完成上网电量2084.53亿千瓦时，同比下降约0.52%，煤电1823亿千瓦时，同比-0.7%，占比为87%；气电177亿千瓦时，同比+5.9%，占比9%；水电84亿千瓦时，同比-9.5%，占比4%。利用小时数来看，公司发电机组平均利用小时为3,746小时，同比下降210小时；其中燃煤发电机4,086小时，同比下降215小时；燃气发电机组2,152小时，同比下降35小时；水力发电机组3,363小时，同比下降431小时。整体利用小时数下降，新机组投产驱动电量增长。盈利预测与投资评级：我们维持公司2025-2027年归母净利润预测为64.5/68.1/77.4亿元，对应PE为9/9/8倍，维持“买入”评级。风险提示：并购进度不及预期的风险，电力需求超预期下降的风险，减值风险等",,东吴证券,买入,[None],2025-05-05,,买入,6038513,pdf_downloads/2025/2025-05-05/600027-华电国际（600027）：2025 一季报点评：收入略低于预期，关注核电、光伏发电量对火电的挤占影响.pdf,600027,华电国际,华电国际（600027）：2025 一季报点评：收入略低于预期，关注核电、光伏发电量对火电的挤占影响
"查浩,刘晓宁,邓思平",华电国际(600027)投资要点：事件：公司发布2025年一季报，2025年一季度实现营收265.77亿元，同比下降14.14%；归母净利润19.3亿元，同比增长3.66%；扣非后归母净利润18.96亿元，同比增长17.01%，基本符合市场预期。业绩增长受益于煤价下跌，扣非利润高增系去年处置资产一次性获利。公司一季度营收下滑主要系电量电价下滑，根据公告，公司2025年一季度实现上网电量480亿千瓦时，同比下降8.5%；其中煤电、气电、水电上网电量分别为423、46、11亿千瓦时，分别同比变动-10%、+10%、+9%，煤电电量下滑主要系行业层面煤电利用小时数下滑而公司无新增装机。值得注意的是，公司一季度平均上网电价505.71元/兆瓦时，同比下降0.71%，约3.6元/兆瓦时，或主要系度电容量电价提升与火电在现货中市场力的表现。公司一季度利润增长系煤价下跌带来的成本变动大于收入变动，根据公告，公司一季度营业总成本同比下降16%，主要系煤价下降，根据wind，一季度秦皇岛（5500大卡）现货煤下降181元/吨。一季度扣非利润增速远高于归母口径，主要系公司2024年一季度资产处置获得一次性损益3.86亿元。参股收益稳健，公司2025年一季度经营性现金流净额创历史新高。公司一季度实现投资净收益11.83亿元，较去年同期增加0.35亿元，考虑到公司参股收益主要为煤矿与新能源，预计投资收益增加主要系参股新能源业绩增长。公司财务费用持续下降，一季度财务费用7.05亿元，同比下降1.43亿元。值得注意的是，公司一季度经营性现金流净额为90.65亿元，较去年同期增加47亿，同比增长107%，创上市以来新高。现金流净额增长主要系购买商品支付的现金减少，或系煤价下降以及减少库存影响，考虑到3月、4月煤价下行且低位运行，预计公司二季度入炉煤价环比向下，点火价差有望走阔。在煤价快速下跌过程中，关注电价稳定性，考虑到公司机组位置，重点关注山东和湖北竞争格局。在电力市场化不断加深背景下，煤电投资价值更多取决于煤炭和电力两个市场供需格局在时间和空间上差异，集中表现在电价长协一年一签，而煤价在更大程度上随行就市；以及电价受区域格局影响更大，而煤价受全国供需影响。落实到华电国际，公司在山东和湖北等地占比较高，受新能源和外来电冲击较大，因此火电利用小时数和电价稳定性对本地用电需求更为敏感，建议密切关注两省用电需求。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为65.3、71.6、77.4亿元，当前股价对应的PE分别为9/8/8倍，维持“买入”评级。按照2025年4月29日港股股价计算，公司港股2024年度分红对应股息率将达到5.04%（人民币兑港元取1:1.08），建议关注港股华电国际电力股份。风险提示：煤价波动超出预期，电价出现不利变化，计提大额减值损失。,,华源证券,买入,[None],2025-04-30,,买入,6035930,pdf_downloads/2025/2025-04-30/600027-华电国际（600027）：业绩基本符合预期看好二季度煤价弹性.pdf,600027,华电国际,华电国际（600027）：业绩基本符合预期看好二季度煤价弹性
"苏治彬,刘兴文",投资要点：事件：近日公司披露2024年年报。2024年公司实现营收1129.94亿元，同比下降3.57%；归母净利润57.03亿元，同比增长26.11%。点评：公司营收受电力量价齐跌及煤炭贸易减少影响。电量方面，2024年公司完成发电量2226.26亿千瓦时，同比下降约0.52%；完成上网电量2084.53亿千瓦时，同比下降约0.52%。电价方面，2024年公司平均上网电价约为511.74元/兆瓦时，同比下降约1.46%。煤炭贸易方面，2024年公司实现售煤收入79.05亿元，同比下降25.43%。公司归母净利润受益于煤价同比下降等。2024年秦皇岛港动力煤（Q5500）平仓价的均值为855.50元/吨，同比下降11.43%。2024年，公司燃料成本约为705.67亿元，同比减少约6.49%。综合来看，受益于煤价同比下降等因素，公司燃料成本同比下降，2024年公司归母净利润同比增长26.11%。资产注入持续推进，有望扩大公司装机规模。公司拟通过发行A股及支付现金的方式购买控股股东中国华电持有的江苏公司80%股权，华电福瑞持有的上海福新51%股权、上海闵行100%股权、广州大学城55%股权、福新广州55%股权、福新江门70%股权、福新清远100%股权，以及中国华电集团北京能源有限公司持有的贵港公司100%股权等。控股股东中国华电本次拟注入常规能源资产，注入后将扩大公司控股装机规模，有利于提升公司在电力领域的市场竞争力。公司的火电机组性能优良。公司的火力发电机组中，90%以上是300兆瓦及以上的大容量、高效率、环境友好型机组，其中600兆瓦及以上的装机比例约占51%，远高于全国平均水平。公司102台燃煤机组已全部达到超低排放要求。所有300兆瓦及以下的机组都经过了供热改造，供热能力好。公司的火电机组性能优良，单位能耗较低，在节能发电调度中持续保持较高的竞争力，并在行业中始终保持领先水平。投资建议：预计公司2025-2027年EPS分别为0.63元、0.67元、0.71元，对应PE分别为9倍、9倍、8倍，维持对公司“买入”评级。风险提示：政策推进不及预期；经济发展不及预期；上网电价波动风险；动力煤价格波动风险等。,,东莞证券,买入,[None],2025-04-25,,增持,6024209,pdf_downloads/2025/2025-04-25/600027-华电国际（600027）：2024年年报点评：燃料成本同比下降，资产注入持续推进.pdf,600027,华电国际,华电国际（600027）：2024年年报点评：燃料成本同比下降，资产注入持续推进
