author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
陈传双,核心观点景气底部业绩保持韧性。公司发布2025年三季报，前三季度实现营业收入181.09亿元，同比-11.11%；实现归母净利润14.62亿元，同比-27.45%。单三季度来看，公司实现营业收入59.73亿元（同比-9.89%，环比+2.58%），实现归母净利润4.78亿元（同比-3.68%，环比-0.17%）。公司Q3销售毛利率14.74%。同比提升1.05pct；销售净利润8.07%，同比提升0.54pct。前三季度公司氨纶/己二酸景气底部，原液盈利稳定，公司业绩保持韧性。氨纶行业格局改善，龙头具备量价弹性。供给端，行业扩产进入末期，部分产能开始退出。行业确定性扩产将由龙头主导，华峰重庆25万吨氨纶扩建项目，10万吨于2024年投产，2025年11月21日公告7.5万吨产能已投入运行，剩余7.5万吨产能尚在建设中，计划2026年底前逐步投产，远期公司产能将达到47.5万吨，成为全球氨纶行业龙头。而其他企业规划产能在盈利困难下或难以落地；同时，根据百川，江浙等沿海地区部分装置老旧、成本较高的小产能（如泰光苏州、江苏奥神等）已于2025年8月退出 。需求端，随着瑜伽服、防晒服、卫材等弹性面料需求趋势兴起，行业需求仍有望保持增长。行业格局将不断优化，龙头华峰化学将具备量价弹性 。己二酸行业见底有望修复。目前己二酸的盈利水平处于历史底部区域，行业正处于优胜劣汰、产能进一步集中化的阶段。虽然短期行业仍存竞争加剧、需求不达预期、原料波动等压力，但随着经济环境的进一步复苏及反内卷政策的出台，下游需求的释放，将大力推动己二酸产品的消费增长。公司己二酸产能135.5万吨，为行业龙头，将受益于行业格局改善。根据公司氨纶行业价格盈利水平，我们调整氨纶价格预测，预计公司2025-2027年归母净利润分别为19.44/ 27.85/ 33.22亿元（原为22.82/ 26.32/ 28.72亿元）。按照可比公司26年19倍PE，给予公司目标价为10.64元，维持买入评级。风险提示：在建项目不及预期；产品需求不及预期；氨纶产能消化风险；原材料价格波动。,,东方证券,买入,[None],2025-12-07,,买入,8221278,pdf_downloads/2025/2025-12-07/002064-华峰化学（002064）：业绩保持韧性，格局优化龙头具备弹性.pdf,002064,华峰化学,华峰化学（002064）：业绩保持韧性，格局优化龙头具备弹性
"刘威,沈唯",维持“增持”评级。考虑到公司氨纶及己二酸产品的景气度在2025年有所下降，下调2025-2026年EPS为0.39元、0.51元（原为0.72元、0.83元），新增2027年EPS为0.64元。参考可比公司估值，给予公司2025年28.86倍PE，对应目标价为11.19元。2025Q3业绩环比基本持平。公司公布2025年三季报，前三季度实现营业收入181.09亿（同比-11.11%），归母净利润14.62亿（同比-27.45%）。其中，Q3单季度实现收入59.73亿元（同比-9.89%，环比+2.58%），实现归母净利润4.78亿元（同比-3.68%，环比-0.17%）。盈利能力来看，Q3毛利率为14.74%（同比-1.05pct，环比+0.64pct)；Q3净利率为8.07%（同比+0.54pct，环比-0.22pct）。氨纶行业静待景气修复。受供给相对过剩且竞争激烈影响，氨纶景气度相对低迷。根据百川盈孚，截止10月31日，氨纶最新售价为2.3万元/吨，同比-5.35%。但动态来看，低迷的景气度将加速行业边际产能出清，行业龙头企业有望进一步扩大市场份额，巩固自身地位。供给端，根据天天化工网，7月底韩国泰光产业决定，全面停止中国氨纶生产工厂的运营，在进军中国市场20年后全面撤离。需求端，氨纶仍是值得长期关注的化纤材料。随着消费观念的转变及消费需求的升级，氨纶的差异化功能不断丰富，下游应用持续扩大，在纺织领域的渗透率进一步提升。根据百川盈孚，2025年前三季度我国氨纶表观需求量为78.71万吨，同比+2.00%。公司多项目持续建设。截止2025年中，公司仍有不少项目处于建设中。根据公司半年报，在建项目包括华峰化学研发总部项目、年产25万吨差别化氨纶项目、年产110万吨天然气一体化项目（一期）、年产24万吨PTMEG氨纶产业链深化项目、115万吨/年己二酸扩建项目（六期）。风险提示：在建工程不及预期的风险、发生安全事故的风险。,,国泰海通,增持,[None],2025-11-10,,买入,7597832,pdf_downloads/2025/2025-11-10/002064-华峰化学（002064）：2025年三季报点评：Q3 业绩环比稳定，静待景气修复.pdf,002064,华峰化学,华峰化学（002064）：2025年三季报点评：Q3 业绩环比稳定，静待景气修复
"杨晖,申起昊","前三季度实现营业收入 181.09 亿元，同比-11.11%;实现归母净利润 14.62 亿元,同比-27.45%,其中 03 单季实现营收 59.73 亿元,同比-9.89%、环比+2.58%,归母净利润 4.78 亿元，同比-3.68%、环比-0.17%。评论:行业周期低迷，公司现金流表现强劲。前三季度公司所处的行业周期下行，需求持续疲软、价格萎靡致营收与利润承压，但公司现金流质量明显改善，经营活动产生的现金流量净额达 29.31亿元，同比大增198.65%。氧纶板块持续偏弱，行业出清有望加速。2025第三季度氨纶行业延续上半年弱势，终端纺织需求复苏缓慢、出口订单恢复不及预期，202503市场均价下跌至 2.30 万元/吨，环比二季度均价下降约 2.24%，同比下降约 9.89%。公司规模效应凸显，盈利能力呈现出较强韧性，行业结构性调整正在深化，行业集中度持续提升，韩国泰光于 2025年7月30日决定全面停止在中国的氨纶生产工厂运营，结束在中国市场长达20年的业务，韩国晓星及其他国内企业也存退出的可能。己二酸延续疲软，落后产能或存退出的可能。2025年第三季度已二酸市场延续上半年疲弱走势，202503 市场均价降至7062元/吨，环比下跌2.33%，同比下降约 19.43%。本季度行业景气度持续低迷，下游需求恢复缓慢，市场竞争激烈。随着巴斯夫关闭工厂、奥升德重组及部分内资落后产能出清进程加快行业供需结构正在逐步改善。鞋底原液板块底部维稳，鞋底原液板块整体保持相对稳定，市场需求虽延续疲软态势，但下游刚性采购支撑成交基本平稳，三季度价格环比波动有限。板块盈利能力略有下降，公司持续推进技术升级，以提升产品附加值。投资建议:公司通过将技术优势转化为规模优势，不断拉长竞争优势的久期。伴随着落后产能的市场化出清，以及美国制造业市场补库周期临近，公司各板块业务有望走出盈利低谷，走向景气周期，鉴于当前仍处于行业低谷，我们预计 2025-2027 年公司实现归母净利润 20.15126.47133.85 亿元(前预测值为22.68127.15/34.59 亿元 )，同比增速分别为-9.2%31.4%/27.8%，对应 EPS 为0.4110.53/0.68 元。考虑到公司是制造业规模效应的典范，且目前处于盈利低谷，并且账目有较多富余现金，我们给予公司26年20xPE，目标价10.6元，维持“强推”评级。风险提示:市场需求持续萎靡,行业竞争加剧风险,原材料价格大幅波动风险安全生产风险",,华创证券,强推,[None],2025-10-31,,买入,7124829,pdf_downloads/2025/2025-10-31/002064-华峰化学（002064）：2025年三季报点评：业绩持续稳健，氨纶、己二酸行业存出清机遇.pdf,002064,华峰化学,华峰化学（002064）：2025年三季报点评：业绩持续稳健，氨纶、己二酸行业存出清机遇
"庄汀洲,张雄",2025年10月27日│中国内地 化学纤维 华峰化学发布三季报：Q3实现营收59.73亿元（yoy-9.89%，qoq+2.58%），归母净利4.78亿元（yoy-3.68%，qoq-0.17%）。2025年Q1-Q3实现营收181.09亿元（yoy-11.11%），归母净利14.62亿元（yoy-27.45%），扣非净利13.43亿元（yoy-29.62%）。公司三季度业绩略低于我们前瞻预期（5.3亿元），主要是投资收益减少与汇兑损失增加所致。考虑行业中短期景气仍有承压，我们下调25-27年盈利预测；但考虑公司在建项目有望逐步贡献增量业绩以及行业供需修复下景气有望逐步回升，看好公司未来成长前景。维持“买入”评级。Q3主要板块底部运行，静待景气修复据百川盈孚，25Q3氨纶/己二酸/鞋底原液均价环比25Q2分别变动-2%/-2%/-1%；价差分别变动-4%/-6%/-1%，受行业供需关系偏弱影响，主要产品价格价差仍处磨底阶段。25Q3公司销售毛利率为14.7%，同环比+1.1/0.6pct，受己二酸与氨纶装置负荷持续提升带动，毛利率有所改善。截至10月24日，氨纶/己二酸/鞋底原液价格环比Q3持平/-4%/持平，价差分别变动持平/+14%/-2%，受原材料成本下降影响，氨纶、己二酸价差有所修复。目前主要产品价格价差仍处历史低位，伴随内需修复以及反内卷政策下行业供给端改善，产品景气有望逐步回升。在建项目稳步推进，产业链持续深化据公司公告，公司募投项目剩余15万吨氨纶产能预计将于2026年底前全面达产，项目投产后公司氨纶产能将超越韩国晓星至全球第一；公司布局上游BDO-PTMEG，产业链一体化将进一步增强生产稳定性与成本优势，24万吨PTMEG项目稳步推进。在建项目的陆续落地有望支撑公司新一轮成长。盈利预测与估值考虑行业中短期景气仍有承压，我们下调产品价格相关指标，预计25-27年盈利预测至20.0/29.3/33.7亿元（前值21.7/31.0/36.7亿元，下调8%/5%/8%），同比增幅分别为-10%/+46%/+15%，对应EPS为0.40/0.59/0.68元/股。参考可比公司2026年Wind一致预期平均19xPE，给予公司2026年19xPE，对应目标价11.21元（前值9.68元，对应25年22xPE）。维持“买入”评级。风险提示：下游需求下滑；原材料价格波动；项目不及预期。,,华泰证券,买入,[None],2025-10-28,,买入,6881785,pdf_downloads/2025/2025-10-28/002064-华峰化学（002064）：Q3维稳运行，静待景气修复.pdf,002064,华峰化学,华峰化学（002064）：Q3维稳运行，静待景气修复
"金益腾,张晓锋,宋梓荣","Q3周期底部彰显龙头业绩韧性，氨纶行业或迎拐点，维持“买入”评级2025年前三季度公司实现营收181.09亿元，同比-11.11%，实现归母净利14.62亿元，同比-27.45%。Q3单季度，公司实现营收59.73亿元，环比+2.58%；实现归母净利润4.78亿元，同比-3.68%，环比-0.17%。2025年Q3，氨纶、己二酸平均价差环比变化不大，但仍处于周期底部。我们下调公司2025-2027年盈利预测，预计归母净利润分别为19.21（-5.53）、27.08（-4.02）、34.37（-3.85）亿元，EPS分别为0.39（-0.11）、0.55（-0.08）、0.69（-0.08）元，当前股价对应PE分别为22.8、16.2、12.7倍，随着氨纶价差持续低迷，已有落后产能相继退出，行业或迎来拐点，届时公司有望充分受益，仍维持公司“买入”评级。Q3氨纶、己二酸价差环比变化不大，仍处周期底部，公司业绩环比略降根据百川盈孚、Wind数据， 2025年Q3，己二酸的平均价格为7,063元/吨，环比-2.38%，同比-20.48%，该价格处于历史分位值（2017年以来，下同）的16.12%；己二酸平均价差为2,277元/吨，环比-3.60%，同比+10.78%，该价差处于历史分位值的11.77%。Q3氨纶40D平均价格为23,049元/吨，环比-2.24%，同比-9.90%；氨纶价差为10,604元/吨，环比-4.28%，处于历史分位数的5.34%。Q3己二酸、氨纶需求仍然较为疲软，两者供给过剩局面仍较为严峻，价差低迷，但环比变动不大。公司作为双行业龙头，凭借低成本的优势，业绩表现已属优异。氨纶行业持续亏损已久，产能出清进一步加速自2023年5月以来，根据百川盈孚测算的氨纶行业平均毛利润情况，氨纶行业毛利润持续为负，亏损已达两年有余。根据天天化工网报道，7月31日，泰光产业宣布停止海外中国常熟泰光化纤的营业，产能为2.8万吨。根据化工在线5月报道，晓星氨纶位于嘉兴的生产线将逐步关停，晓星嘉兴具有氨纶产能5.44万吨。根据百川盈孚报道，连云港杜钟3.0万吨产能于2025年8月淘汰。我们认为，随着氨纶落后产能出清，行业或迎来拐点，公司作为行业龙头有望受益。风险提示：宏观经济复苏不及预期、原油价格大幅下跌、项目建设不及预期。",,开源证券,买入,[None],2025-10-27,,买入,6859742,pdf_downloads/2025/2025-10-27/002064-华峰化学（002064）：公司信息更新报告：周期底部彰显龙头业绩韧性，氨纶行业或迎拐点.pdf,002064,华峰化学,华峰化学（002064）：公司信息更新报告：周期底部彰显龙头业绩韧性，氨纶行业或迎拐点
"王强峰,潘宁馨","主要观点：事件描述10月24日，华峰化学发布2025三季度报告，实现营业收入181.09亿元，同比下降11.11%；实现归母净利润14.62亿元，同比下降27.45%；实现扣非归母净利润13.43亿元，同比下降29.62%；实现基本每股收益0.29元/股。其中，第三季度实现营业收入59.73亿元，同比下降9.89%，环比上涨2.58%；实现归母净利润4.78亿元，同比下降3.68%，环比下降0.17%；实现扣非归母净利润4.38亿元，同比下降3.27%，环比下降1.43%。氨纶、己二酸持续底部震荡，公司整体盈利环比基本持平氨纶供需偏弱导致价格持续下跌，但新增产能减少，需求面有望回暖。25Q2氨纶均价约23575元/吨，25Q3均价继续回落至23049元/吨，环比下跌2.23%。三季度，成本面上氨纶主原料PTMEG市场价格继续下行，二者价差下降至15073.1元，同比下降10.91%，环比下降3.03%，企业利润空间被压缩。供给面当前产能139.34万吨，部分产能淘汰使得产能较上个季度减少4.8万吨。需求方面三季度淡季氛围明显，下游用户采购积极性一般。三季度随着旺季到来，需求有望增加。2025年预计新增产能11.1万吨，较2024年同比减少21.28%。随着新增产能投放的减少和需求面的回暖，氨纶价格有望逐年回升。己二酸价格价差小幅回落，2025年预期无新增产能。2025年Q3己二酸均价约为7063元/吨，环比下降2.09%。三季度，己二酸价差环比下降3.69%。需求方面，三季度PA66市场维持弱势，货源充裕，下游需求偏淡。供应方面，己二酸产能410万吨同比增加10.22%，整体供应偏多。根据百川盈孚，2025年无新增产能，2026年神马股份计划新增50万吨，新疆天利预计新增15万吨，福建福化预计新增30万吨。氨纶新产能贡献增量，盈利韧性强华峰化学以量补价，较同行业盈利韧性强。2024年，公司控股子公司重庆氨纶非公开发行募投项目“300,000吨/年差别化氨纶扩建项目”部分正式达产。公司重庆基地仍有15万吨差别化氨纶产能在建，将逐步释放带来增量。公司的重庆基地在原料成本、能源、折旧方面均较同行业以及瑞安基地有显著成本优势。投资建议预计2025-2027年实现归母净利润分别为19.94、35.35、36.42亿元，当前股价对应PE分别为21.83、12.31、11.95倍，维持“买入”评级。风险提示（1） 新建产能投放不及预期；（2） 产品及原料价格大幅波动；（3） 行业产能投放超预期，竞争加剧；（4） 宏观经济下行导致需求持续下滑。",,华安证券,买入,[None],2025-10-27,,买入,6830690,pdf_downloads/2025/2025-10-27/002064-华峰化学（002064）：行业底部磨底静待修复，低成本扩张盈利韧性强.pdf,002064,华峰化学,华峰化学（002064）：行业底部磨底静待修复，低成本扩张盈利韧性强
孙羲昱,"业绩简评2025年10月24日公司披露2025年三季报，2025Q3公司实现营收59.73亿元，同比下降9.89%；实现归母净利润4.78亿元，同比下降3.68%。2025年Q1-Q3实现营收181.09亿元，同比下降11.11%，实现归母净利润14.61亿元，同比下降27.45%。经营分析三季度氨纶产品价格价差底部持续，静待行业景气度回暖。今年三季度以来氨纶各品种价格保持平稳，主要产品氨纶40D价格7月以来持续维持23000元/吨的底部价格，产品价差也处于历史较低分位，环比上季度变化并不明显。己二酸产品价格三季度持续震荡，9月以来产品价格下跌。氨纶、己二酸行业依旧维持在底部运营，静待行业供需端出现边际变化带来行业景气度回升。氨纶、己二酸行业供给过剩，价格处于历史底部，公司龙头优势突显。目前国内氨纶、己二酸行业呈现供大于求的态势，行业存在较多新增产能，下游需求表现较弱。公司氨纶产量为全国第一、全球第二，聚氨酯原液、己二酸的产量均居全球第一，作为氨纶、己二酸等行业龙头，公司拥有非常明显的规模优势，盈利能力在行业内领先；同时公司具备规模化的产业链集成优势，生产的重要原料己二酸、聚酯多元醇不仅可以自用，还能用于对外销售，加强了公司应对市场激烈竞争和行业周期波动的风险抵御能力，提升了公司的综合竞争力。盈利预测
我们预计公司 2025-2027 年实现营收 265.9/278.3/290.4 亿元，
归母净利润 19.70/22.24/23.89 亿元，EPS 为 0.40/0.45/0.48，
当前股价对应的 PE 分别为 22.09/19.57/18.22，维持“增持”评
级。
风险提示
原材料价格波动；新增产能建设不达预期；下游需求增长不达预
期；宏观经济环境变化。",,国金证券,增持,[None],2025-10-27,,增持,6826467,pdf_downloads/2025/2025-10-27/002064-华峰化学（002064）：三季度产品价格底部维持，静待行业景气度回升.pdf,002064,华峰化学,华峰化学（002064）：三季度产品价格底部维持，静待行业景气度回升
"王亮,王海涛",事件：公司发布2025年中报，期内实现营业总收入121.37亿元，同比下降11.70%，实现归母净利润9.83亿元，同比下降35.23%。点评：氨纶、己二酸价格下滑令业绩承压。2025上半年，公司实现营业总收入121.37亿元，同比下降11.70%，实现归母净利润9.83亿元，同比下降35.23%。其中，公司Q2单季度实现营收58.23亿元，同比下降17.84%，归母净利润4.79亿元，同比下降42.61%。分业务板块看，化学纤维（氨纶）板块收入同比下降9.43%，但毛利率逆势提升3.68个百分点至18.65%。氨纶价格降至处于历史低位，差异化产品（如耐高温、超耐氯氨纶）的市场认可度提升，部分抵消了价格下行压力。基础化工产品（己二酸）板块收入同比下降15.01%，毛利率大幅下滑11.08个百分点至4.37%。化工新材料（聚氨酯原液）板块收入同比下降8.82%，毛利率微降0.98个百分点至20.80%。差别化、一体化策略利于长远发展。氨纶行业目前景气度较低，公司生产的高回弹经编氨纶、耐高温氨纶、超耐氯氨纶、黑色氨纶、低温易粘合氨纶等差异化产品以其优异的性能，抵御行业波动风险。另外，公司规划了上游一体化项目，如110万吨天然气制乙炔和25万吨BDO项目，旨在进一步强化成本优势。在新材料领域，公司计划在南通启东发展50万吨生物基PTG项目，其中一期5万吨预计2026年启动。这些战略布局将为公司构筑更深的护城河。投资建议：华峰化学是全球领先的氨纶、聚氨酯原液及己二酸企业，通过原料自给和工艺优化持续巩固成本优势。预计公司2025-2027年EPS为0.45/0.61/0.69元，给予“买入”评级。风险提示：原材料价格剧烈波动；需求下滑；项目进展不及预期等。,,太平洋证券,买入,[None],2025-08-28,,买入,6360770,pdf_downloads/2025/2025-08-28/002064-华峰化学（002064）：2025年中报点评：氨纶、己二酸价格下滑令业绩承压，差别化、一体化策略利于长远发展.pdf,002064,华峰化学,华峰化学（002064）：2025年中报点评：氨纶、己二酸价格下滑令业绩承压，差别化、一体化策略利于长远发展
"杨晖,申起昊","事项：近日公司发布2025年中报，上半年公司营业收入为121.4亿元，同比下降11.7%；归母净利润为9.83亿元，同比下降35.2%；扣非归母净利润为9.04亿元，同比下降37.8%；经营现金流净额为13.52亿元，同比增长82.6%。2025Q2，公司营业收入为58.2亿元，同比下降17.8%；归母净利润为4.79亿元，同比下降42.6%。评论：行业周期及外部环境变化致业绩短期承压。上半年公司所处行业受周期下行、供给冲击及预期偏弱等因素影响，二季度美国关税等事件给国内需求带来明显挑战，公司产品售价及利润较上年同期均受到不同程度影响。氨纶板块低迷但行业出清加速。氨纶板块上半年营收同比减少9.43%，毛利率同比上升3.68个百分点。受到行业整体低迷的影响，2025Q2氨纶市场均价跌至2.36万元/吨，同比下跌13.6%。在行业整体低迷的背景下，公司通过实施产品结构优化和差异化策略，推动氨纶业务毛利率有所回升。行业短期存在产能出清、环保政策倒逼、行业优胜劣汰趋势加剧等压力，但集中度进一步提升，头部效应越发明显。据中国聚氨酯工业协会，2025年7月韩国泰光首次暂停中国市场氨纶产线，已于7月14日暂停一条年产5500吨的生产线进行设备检查，随后决定停止泰光化纤（常熟）有限公司的运营，并计划于8月全面停止工厂的生产，年底前收回应收账款并解聘所有员工，其原计划在中国宁夏新建第二家10.8万吨氨纶工厂的投资项目也已暂停。己二酸淡季更淡，落后产能或存退出的可能。己二酸板块，上半年营收同比减少15.01%，毛利率同比下降11.08个百分点。上半年该板块受原材料价格波动和行业竞争加剧影响显著，己二酸价格震荡走低，2025Q2市场均价跌至7193元/吨，同比下行25.6%，呈现旺季不旺，淡季更淡的现象。展望后市，据巴斯夫公告、专塑世界及百川盈孚，德国巴斯夫、美国奥升德及内资落后产能或存市场化出清的可能，并为行业带来转机。鞋底原液板块底部维稳。鞋底原液业务上半年营收同比减少8.82%，毛利率同比下降0.98个百分点。该板块虽受市场需求疲软影响但相对稳定，盈利能力仅略下降，公司持续推进技术升级，提升产品附加值。投资建议：公司通过将技术优势转化为规模优势，无限期拉长竞争优势的久期。伴随着落后产能的市场化出清，以及美国制造业市场补库周期临近，公司各板块业务有望走出盈利低谷，走向景气周期。我们预计2025-2027年公司实现归母净利润22.68/27.15/34.59亿元（2025-2026年前值为34.69/39.72亿元），同比增速分别为2.2%/19.7%/27.4%，对应EPS为0.46/0.55/0.70元。考虑到公司是制造业规模效应的典范，且目前处于盈利低谷，我们参考公司历史景气偏低时期的估值，给予公司26年20xPE，目标价11元，维持“强推”评级。风险提示。市场需求持续萎靡，行业竞争加剧，原材料价格大幅波动，安全生
产风险。",,华创证券,强推,[None],2025-08-22,,买入,6339439,pdf_downloads/2025/2025-08-22/002064-华峰化学（002064）：2025 年中报点评：行业谷底业绩坚韧，氨纶盈利逆势抬升.pdf,002064,华峰化学,华峰化学（002064）：2025 年中报点评：行业谷底业绩坚韧，氨纶盈利逆势抬升
张伟保,华峰化学发布2025年半年度报告：2025年上半年实现营业总收入121.37亿元，同比-11.70%；实现归母净利润9.83亿元，同比-35.23%。分季度来看，2025Q2单季度实现营业收入58.23亿元，同比-17.84%、环比-7.78%，实现归母净利润4.79亿元，同比-42.61%、环比-5.02%。投资要点行业景气承压，化学纤维产品毛利率仍有提升2025年上半年，行业景气承压，产品价格较上年同期下降，2025年上半年公司实现营业收入 121.37 亿元，较上年同期下降 11.7%。公司化学纤维板块、化工新材料板块、基础化工产品板块营业收入较上年同期分别下降 9.43%、8.82%、15.01%，其中化学纤维板块毛利率较上年同期上升 3.68pct。分产品情况来看：1）化学纤维：2025年上半年实现营业收入为42.15亿元，同比下降9.43%，毛利率为18.65%，同比增长+3.68pct；2）化工新材料：2025年上半年营业收入为27.68亿元，同比下降8.82%，毛利率为20.80%，同比-0.98pct；3）基础化工产品：2025年上半年营业收入为44.71亿元，同比下降15.01%，毛利率为4.37%，同比-11.08pct。公司采用基地生产管理，总部统筹的生产运营模式，根据年度生产经营计划制定生产目标，以产定销，依据市场需求及装置状况进行动态调整。财务费用率上升，主因为利息收入减少期间费用方面，公司2025年上半年销售/管理/财务/研发费用率分别同比+0.24/+0.17/+0.27/+0.36pct，财务费用率增加主要为利息收入减少所致。静待下游行业复苏驱动消费增长未来，随着经济环境的逐步复苏及行业配套政策的出台，下游需求释放，尤其是随着国内己二腈技术的突破，国产工业化将逐步实现，将推动尼龙66行业快速发展。同时，随着国家限塑令等政策的推动，己二酸下游PBAT行业仍有大量产能投入，主力下游TPU行业亦存新产能进入，下游行业消费复苏有望带动己二酸产品消费增长。盈利预测由于行业景气承压，我们略微下调公司盈利预测，预测公司2025-2027年归母净利润分别为21.01、30.57、35.88亿元，当前股价对应PE分别为18.3、12.6、10.7倍，但考虑到公司加快推进聚氨酯产业一体化发展，远期仍有望迎来利润增长，维持“买入”投资评级。风险提示下游需求波动风险；产品价格下跌风险；原材料价格上涨风险；新建项目不及预期等风险。,,华鑫证券,买入,[None],2025-08-18,,买入,6319917,pdf_downloads/2025/2025-08-18/002064-华峰化学（002064）：公司事件点评报告：行业景气承压，静待下游需求复苏.pdf,002064,华峰化学,华峰化学（002064）：公司事件点评报告：行业景气承压，静待下游需求复苏
