author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"张志邦,刘千琳",主要观点：2025Q3业绩超预期，盈利能力持续改善2025年前三季度公司累计实现营收145.55亿元，同比+0.41%；实现归母净利润13.07亿元，同比+24.26%；实现扣非归母净利润11.39亿元，同比+20.14%。其中Q3实现营收47.08亿元，同比-2.44%，环比-5.68%；实现归母净利润4.90亿元，同比+45.93%，环比+18.11%；实现扣非归母净利润3.59亿元，同比+17.22%，环比-13.19%。公司Q3业绩超预期，毛利率同环比改善，投资产生公允价值变动收益。25年Q3毛利率持续改善，费用率环比略有提升公司25年Q3实现毛利率25.78%，同比+3.32pct，环比+1.95pct；实现净利率10.44%，同比+3.41pct，环比+2.13pct，主要受益于成本管控优化及产品结构优化，公司盈利韧性增强。25 Q3销售/管理/研发/财务费用率分别为2.50%/6.48%/5.48%/1.19%，同比-0.09/+0.76/+0.83/0.00pct，环比+0.17/+0.77/+0.57/+1.52pct。Q3公司产生公允价值变动收益1.41亿元，主要是投资产生收益。主业稳健，液冷布局加速，人形机器人业务进展积极公司在汽车热管理业务基础上积极布局储能热管理及超算中心热管理，目前在储能领域已推出系列化液冷机组，及浸没式液冷机组；超算中心热管理领域主要产品为CDU(冷液分配装置)。2025半年度公司热管理系统业务累计获得订单约为71亿元。公司通过安徽睿思博公司、星汇传感等子公司在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前公司已经给奇瑞墨甲机器人配套橡胶件，轻量化骨骼已经向客户送样，已为埃夫特工业机器人配套谐波减速器，上述业务已经产生收入但规模仍较小。目前公司及子公司已与深圳市众擎机器人科技有限公司、埃夫特智能装备股份有限公司签署战略合作协议，提升公司在人形机器人部件总成产品领域核心优势，推进市场布局；同时公司也与深圳逐际动力科技有限公司签订项目意向合作协议，形成上下游产业链布局，推进机器人本体智造及代工业务发展。投资建议橡胶制品主业稳健，空气悬架及轻量化业务有序发展，液冷业务布局加速，机器人业务前景广阔有望成为第二增长曲线，我们预计25/26/27归母净利润分别为17.45/19.47/21.77亿元（原值15.37/18.09 /20.59 亿元），对应PE分别15/14 /12倍，维持公司“买入”评级。风险提示市场竞争加剧风险，汇率变动风险，新业务增长不及预期。,,华安证券,买入,[None],2025-11-23,,买入,8165569,pdf_downloads/2025/2025-11-23/000887-中鼎股份（000887）：Q3业绩超预期，机器人、液冷加速布局.pdf,000887,中鼎股份,中鼎股份（000887）：Q3业绩超预期，机器人、液冷加速布局
"宋亭亭,陈诗慧",2025年10月31日│中国内地 汽车零部件 中鼎股份发布三季报：Q3实现营收47.08亿元（yoy-2.44%，qoq-5.68%），归母净利4.90亿元（yoy+45.93%，qoq+18.11%）。2025年Q1-Q3实现营收145.55亿元（yoy+0.41%），归母净利13.07亿元（yoy+24.26%），扣非净利11.39亿元（yoy+20.14%）。公司盈利能力持续改善，液冷、机器人等新业务打开中长期增长空间。维持“买入”评级。Q3毛利率同环比提升，公允价值变动收益增厚净利25Q3公司营收同环比略降，或系欧洲、北美等海外市场需求较为平淡。盈利方面，公司Q3毛利率同环比+3.3pct/+1.95pct至25.8%，或系空悬、轻量化等业务项目放量带来规模效益。期间费用方面，25Q3销售费率同环比-0.1pct/+0.2pct至2.5%，管理费率同环比+0.8pct/+0.8pct至6.5%，研发费率同环比+0.8pct/+0.6pct至5.5%。Q3公司实现公允价值变动净收益1.4亿元，显著增厚利润表现，公司归母净利同比增约46%，归母净利率同环比+3.45pct/2.1pct至10.4%。空簧总成量产下线，强化空悬系统竞争力25年9月中鼎子公司鼎瑜智能正式量产下线空气弹簧总成产品，鼎瑜联动子公司AMK（空气供给单元）、慧鼎科技（磁流变减振器）、中鼎精工（储气罐）等，形成了垂直整合矩阵，协同打通智能悬架全产业链，零件综合自制化率超过80%。空气供给单元为公司优势产品，配合减震器、空簧等核心部件量产落地，公司空悬系统级供应能力再进一步，未来有望形成协同效应与成本优势，提升自身行业竞争力。数据中心液冷、人形机器人布局稳步推进1）热管理：公司基于自研热管理控制器及控制算法、密封等核心技术，推出了包括储能领域系列化液冷机组及浸没式液冷机组；超算中心CDU等产品，目前正与客户积极对接，子公司9月发布六维传感器相关技术，后续有望进军机器人总成产品。同时与逐际动力签订项目意向合作，推进机器人本体制造及代工业务发展，全方位切入具身智能赛道，有望打造新增长曲线。盈利预测与估值我们维持公司25-27年归母净利润16.70/19.34/22.77亿元（三年复合增速为22.07%），对应EPS为1.27/1.47/1.73元。可比公司26年一致预期PE为19.1x，我们基于19.1x 26E PE，给予公司目标价为28.08元（前值27.56元，对应25年 PE 21.7x）。风险提示：新项目拓展不及预期；海外配套项目进度不及预期。,,华泰证券,买入,[None],2025-11-01,,买入,7151086,pdf_downloads/2025/2025-11-01/000887-中鼎股份（000887）：多元业务布局增长动能充沛.pdf,000887,中鼎股份,中鼎股份（000887）：多元业务布局增长动能充沛
"刘一鸣,石佳艺",投资要点：我们认为中鼎股份在算力、储能液冷、人形机器人领域均有高速成长的潜力，空悬、汽车非轮橡胶业务仍有望保持稳健增长。推测公司2025/26/27年归母净利润18/21.4/23.8亿元，对应2025年10月30日收盘价PE为17/14/12x。参考可比公司，给予公司2026年23x PE，目标价37.33元，维持“增持”评级。中鼎股份25Q3业绩较强。公司25Q3营收47亿，同比-2%；归母4.9亿，同比+45%、环比+19%；扣非3.6亿，同比+17%。25Q1-3归母13.1亿，同比+24%。25Q3毛利率25.8%，环比+2pct，同比+3.3pct。继续大力推进液冷业务。根据深交所互动易，中鼎子公司中鼎流体及中鼎智能热系统主导热管理系统总成业务的发展，在汽车热管理业务基础上积极布局储能热管理及超算中心热管理。基于自研热管理控制器及控制算法，管路系统及密封等核心技术，公司在储能领域已推出系列化液冷机组，及浸没式液冷机组；超算中心热管理领域主要产品为CDU（冷液分配装置），未来根据实际需要，逐步将浸没式技术运用到超算中心热管理中，目前公司正在加速与客户对接。我们认为：AI、储能相关液冷系统市场广阔，中鼎多种新能源车热管理零部件在市场上保持领先低位，发展液冷业务有一定的系统、成本优势。管理改善对业绩有贡献。根据公司中报，在与海外企业多年磨合的基础上，公司逐步强化管理输出和文化输出战略，加强海外企业的成本管控，推进业务整合和市场拓展，同时发挥中国工程师红利的优势，进一步加快技术吸收和创新。我们认为，中鼎股份2025Q3的盈利能力表现延续了这一趋势，后续业绩有望稳健增长。风险提示：经济增长不及预期，原材料价格大幅增长。,,国泰海通,增持,[None],2025-10-31,,买入,7438183,pdf_downloads/2025/2025-10-31/000887-中鼎股份（000887）：2025 年三季报点评：盈利改善，液冷推进.pdf,000887,中鼎股份,中鼎股份（000887）：2025 年三季报点评：盈利改善，液冷推进
"崔琰,杜丰帆",25Q3业绩符合预期 机器人布局加速事件概述：公司发布2025年第三季度报告，2025年前三季度营收145.55亿元，同比+0.41%；归母净利润13.07亿元，同比+24.26%；扣非归母净利润11.39亿元，同比+20.14%。其中2025Q3营收47.08亿元，同比-2.44%，环比-5.68%；扣非归母净利3.59亿元，同比+17.22%，环比-13.19%。25Q3业绩符合预期 盈利能力提升。1）营收端：公司2025Q3营收47.08亿元，同比-2.44%，环比-5.68%，同环比下滑我们认为系订单交付及子公司收入确认节奏影响；2）利润端：公司2025Q3归母净利润4.90亿元，同比+45.93%，环比+18.11%，同环比均增长，符合预期；2025Q3公司毛利率为25.78%，同比+3.33pct，环比+1.95pct，毛利率水平同环比上升，系公允价值变动收益1.41亿元所致，为一次性影响。公司净利率为10.44%，同环比分别+3.42/+2.14pct；3）费用端：公司2025Q3销售/管理/研发/财务费用率分别为2.50%/6.48%/5.48%/1.19%，同比分别-0.09/+0.76/+0.83/0.00pct，环比分别+0.17/+0.77/+0.57/+1.52pct，系正常波动。主营业务稳健发展 液冷业务布局加速。公司近年来积极布局新能源汽车领域，在多个新能源板块处于国际领先水平。2025H1公司在冷却系统/橡胶业务/密封系统/底盘轻量化/空悬系统营收分别为26.06/20.43/19.42/15.46/5.68亿元，同比分别为+2.77%/+5.88%/+0.27%/+8.08%/-0.66%。公司在储能领域已推出系列化液冷机组及浸没式液冷机组，技术源自汽车热管理并拓展至超算中心。超算中心热管理领域主要产品为CDU（冷液分配装置），目前正加速对接客户并推进浸没式技术应用。签署多个战略合作协议 进军机器人本体制造。公司将人形机器人视为核心战略业务，已与五洲新春、众擎机器人、埃夫特签署战略合作协议；公司旗下子公司安徽睿思博、星汇传感等技术团队在谐波减速产品具备核心优势，已在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前橡胶产品已配套，轻量化骨骼已向客户送样；同时，公司与逐际动力签署《项目合作意向协议》，拟共同设立合资公司进行机器人本体制造合作；公司于2025M8与合肥包河区政府签署战略协议，被列为产业链链主，将投资建设机器人减速器、传感器、关节总成及本体制造与代工项目。投资建议：公司在汽车领域根基深厚，广泛积势，强劲进军机器人领域有望带来业绩估值双升。我们预计公司2025-2027年营收216.8/243.9/276.9亿元，归母净利为17.1/19.5/22.6亿元，对应EPS分别为1.30/1.48/1.71元。按照2025年10月29日收盘价22.88元，对应PE分别为18/15/13倍，维持“推荐”评级。风险提示：销量不及预期；新业务发展不及预期；原材料价格波动等。,,民生证券,推荐,[None],2025-10-30,,增持,7036041,pdf_downloads/2025/2025-10-30/000887-中鼎股份（000887）：系列点评三：25Q3业绩符合预期，机器人布局加速.pdf,000887,中鼎股份,中鼎股份（000887）：系列点评三：25Q3业绩符合预期，机器人布局加速
"黄细里,郭雨蒙,孙仁昊",事件：公司发布2025年三季度报告。25Q1-Q3营收为145.55亿元，同比+0.41%；归母净利润为13.07亿元，同比+24.26%；扣非归母净利润为11.39亿元，同比+20.14%。从单季度看：1）25Q3营收47.08亿元，同/环比分别-2.44%/-5.68%；2）25Q3归母净利润为4.9亿元，同/环比分别+45.93%/+18.11%；3）25Q3扣非归母净利润为3.59亿元，同/环比分别+17.22%/-13.19%，环比下降原因为公允价值变动净收益环比增加1.38亿元。从盈利能力看：25Q1-Q3归母净利率为8.98%，同比+1.72pct；毛利率为24.29%，同比+1.99pct。其中，25Q3归母净利率为10.4%，同/环比分别+3.45/+2.1pct；25Q3毛利率为25.78%，同/环比分别+3.32/+1.95pct。从费用率角度看：25Q3期间费用率为15.66%，同/环比分别+1.5/+3.03pct。其中，销售/管理/研发/财务费用率分别为2.5%/6.48%/5.48%/1.19%，同比分别-0.09/+0.76/+0.83/0.00pct。机器人业务稳步推进，进军本体制造：1）8月28日，公司发布公告宣布与合肥市包河区政府签署战略合作协议，拟在合肥建设机器人上下游产业链；2）8月26日，公司在投资者平台宣布与逐际动力签订项目意向合作协议，拟设立由公司控股的合资公司进行机器人本体制造；3）公司通过安徽睿思博公司、星汇传感等子公司在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前公司的橡胶产品已配套奇瑞墨甲机器人，谐波减速器配套埃夫特工业机器人，轻量化骨骼已经向客户送样。盈利预测与投资评级：考虑到公司Q3盈利能力同环比的提升及损益变化情况，我们将公司2025-2027年的归母净利润预测上调至17.48//18.91/21.19亿元（2025-2027年前值为16.50/18.37/20.80亿元），当前市值对应PE分别为17倍、16倍、14倍，我们维持对公司的“买入”评级。风险提示：下游乘用车行业销量不及预期，空气悬挂推广进度不及预期，新兴产业拓展不及预期。,,东吴证券,买入,[None],2025-10-30,,买入,7003488,pdf_downloads/2025/2025-10-30/000887-中鼎股份（000887）：2025年三季度报告点评：Q3盈利能力提升明显，进军机器人本体制造打开增长空间.pdf,000887,中鼎股份,中鼎股份（000887）：2025年三季度报告点评：Q3盈利能力提升明显，进军机器人本体制造打开增长空间
"宋亭亭,陈诗慧",2025年9月01日│中国内地 汽车零部件 公司公布上半年业绩：收入98.5亿元，同比+1.8 %；归母净利润8.2亿元，同比+14.1%。其中二季度公司实现收入49.9亿元，同比/环比+0.3%/+2.8%；归母净利润4.15亿元，同比/环比+14.7%/3.0%。公司规模效应释放，Q2盈利能力进一步改善，液冷、机器人等新业务打开中长期增长空间。维持买入。H1营收表现稳健，在手订单充足公司25H1营收表现稳健，分业务来看：1）空悬：H1营收同比-0.7%至5.7亿元，公司在手订单总产值约158亿元，其中总成产品订单总产值约17亿元；2）轻量化：H1营收同比+8.1%至15.5亿元，25H1累计获得订单约55亿元；3）冷却：营收同比+2.8%至26.1亿元，且公司在手订单充足，H1热管理系统累计获得订单约 71 亿元。4）密封：公司已开发批产新能源电池模组密封系统和电桥总成等产品，为沃尔沃、蔚来等车型配套，25H1营收+0.3%至19.4亿元。25H1公司持续推进海外企业并购业务的国内落地战略，无锡/安徽Kaco、安徽TFH营收同比+14%/20%至4.6/4.7亿元。产能爬坡释放规模效应，Q2盈利能力持续改善25Q2公司盈利能力改善，毛利率同环比分别+1.8/0.5pct至23.8%，或系经营效能提升，以及轻量化等业务产能爬升释放规模效应（25H1轻量化毛利率同比+5.9pct至18.3%）。费用方面，25Q2销售/管理/研发费率分别同比-0.33/ -0.05/+0.25pct，环比-0.04/+0.2/-0.13pct至2.33%/5.71%/4.91%。Q2净利率同环比+1.17/0.02pct至8.3%，其中收购企业的国内落地子公司盈利能力随项目爬坡进一步提升，安徽威固、安徽TFH 25H1净利率分别达到19.3%/6.9%（较24年全年净利率提升2.9/0.9pct）。积极开拓第二、第三增长曲线，液冷、机器人产品布局迅速1）热管理：公司基于自研热管理控制器及控制算法、密封等核心技术，推出了包括储能领域系列化液冷机组及浸没式液冷机组；超算中心CDU等产品，目前正与客户积极对接。2）机器人：公司子公司在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，橡胶产品已完成配套，轻量化骨骼向客户送样，后续有望进军机器人总成产品。同时公司与众擎机器人、埃夫特签署战略合作协议，与逐际动力签订项目意向合作，推进机器人本体制造及代工业务发展，有望打造新增长曲线。盈利预测与估值考虑到部分业务如空悬供给单元或面临更强市场竞争，同时公司在新兴业务上或进一步加大投入，我们调整公司25-26年归母净利润-8%/-12%至16.7/19.3亿元，27年归母净利22.8亿元。可比公司25年一致预期PE均值为21.7x，给予公司25E PE 21.7x，对应目标价27.56元（前次目标价18.49元，对应25E PE 13.4x，目标价提升系可比公司估值中枢提升）。风险提示：新项目拓展不及预期；海外配套项目进度不及预期。,,华泰证券,买入,[None],2025-09-01,,买入,6377843,pdf_downloads/2025/2025-09-01/000887-中鼎股份（000887）：Q2盈利改善，加速布局机器人+液冷.pdf,000887,中鼎股份,中鼎股份（000887）：Q2盈利改善，加速布局机器人+液冷
"刘一鸣,石佳艺",目标价29.93元，维持“增持”评级。考虑到公司2025上半年业绩稳健，我们上调25-27年EPS至1.30/1.45/1.62元，考虑到公司积极布局液冷和人形机器人关节总成业务，给予公司2025年23倍PE，目标价29.93元，维持“增持”评级。中鼎股份发布2025半年报，2025上半年实现收入98.5亿元，同比+2%；实现归母净利润8.17亿元，同比+14%；净利率8.3%。其中25Q2实现收入49.9亿元，同比+0%，环比+3%；归母净利润4.1亿元，同比+17%，环比+3%；净利率8.3%，同比+1.1pcts，环比+0.1pcts。 积极布局储能和超算中心热管理。基于自研热管理控制器及控制算法，管路系统及密封等核心技术，公司在储能领域已推出系列化液冷机组，及浸没式液冷机组；超算中心热管理领域主要产品为CDU(冷液分配装置)，未来根据实际需要，逐步将浸没式技术运用到超算中心热管理中，目前公司正在加速与客户对接。2025半年度公司热管理系统业务累计获得订单约为71亿元。致力于形成人形机器人关节总成的生产制造能力。公司通过安徽睿思博公司、星汇传感等子公司在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前公司的橡胶产品已经完成配套，轻量化骨骼已经向客户送样。除与众擎机器人、埃夫特签署战略合作协议外，也与深圳逐际动力科技有限公司签订项目意向合作协议，形成上下游产业链布局，推进机器人本体智造及代工业务发展。风险提示：全球乘用车景气度下行，原材料涨价，人形机器人研发进展不及预期，汇率波动,,国泰海通,增持,[None],2025-09-01,,买入,6391448,pdf_downloads/2025/2025-09-01/000887-中鼎股份（000887）：中报业绩稳健，重点布局液冷和人形机器人.pdf,000887,中鼎股份,中鼎股份（000887）：中报业绩稳健，重点布局液冷和人形机器人
"郑连声,张雪晴",事件：（1）公司发布2025半年度报告，2025年上半年实现营收98.46亿元，同比+1.83%；实现归母净利润8.17亿元，同比+14.11%，实现扣非归母净利润7.8亿元，同比+21.53%。其中，25Q2实现营业收入49.92亿元，同环比分别+0.31%/ +2.84%；实现归母净利润4.15亿元，同环比分别+16.74%/+3.04%，实现扣非归母净利润4.14亿元，同环比分别+21.61%/ +12.78%。（2）公司发布中期利润分配方案，每10股派发现金红利0.5元，共计分红6582万元。净利率有所提升。公司通过持续的管理提升，国内外业务成长态势向好，整体利润逐步提升。上半年公司毛利率为23.58%，同比提升1.35pp，2025Q2公司毛利率为23.83%，同比提升1.78pp；上半年净利率8.26%，同比提升0.82pp，Q2公司净利率为8.3%，同比提升1.06pp。传统业务和增量业务共同发展。公司持续推进海外工厂的成本控制和精细化管理的提升，不断优化客户结构，提升产品综合竞争力。在维持传统业务稳增长的同时，持续推动空气悬挂系统、轻量化底盘系统、热管理系统增量业务的成长。在汽车领域，公司将继续围绕智能底盘系统战略目标，推动公司业务向智能化迈进。积极推进人形机器人、低空经济、AI、数据中心热管理等新领域赛道的布局。人形机器人领域，公司及子公司已与浙江五洲新春集团股份有限公司、深圳市众擎机器人科技有限公司、埃夫特智能装备股份有限公司签署战略合作协议，加速推动公司机器人谐波减速器及部件总成产品的生产配套，并与逐际动力签署协议，拟共同设立合资公司进行机器人本体制造的深度合作。安徽合肥积极引进优秀的机器人本体公司入驻，公司作为拥有优秀的制造能力以及布局领先的配套商，机器人业务进展有望实现加速推进。AIDC液冷领域，子公司中鼎流体及中鼎智能热系统在CDU与浸没式液冷机组上已经布局。随着英伟达Rubin技术方案预计2026年下半年出货，产业加速推进，公司有望逐步在浸没式液冷领域实现订单落地，AIDC液冷市场放量增长预计将为公司带来新的增长点。盈利预测与投资建议。随着公司各板块业务国内落地，业务订单加速放量量产，业绩有望持续增长。预计公司2025-2027年归母净利润CAGR为18.5%，维持“买入”评级。风险提示：市场竞争加剧、原材料价格波动、增量业务落地不及预期等风险。,,西南证券,买入,[None],2025-08-30,,买入,6383131,pdf_downloads/2025/2025-08-30/000887-中鼎股份（000887）：业绩稳健增长，积极布局新领域赛道.pdf,000887,中鼎股份,中鼎股份（000887）：业绩稳健增长，积极布局新领域赛道
"黄细里,郭雨蒙,孙仁昊",事件：公司发布2025年半年度报告。25H1营收为98.46亿元，同比+1.83%；归母净利润为8.17亿元，同比+14.11%；扣非归母净利润为7.80亿元，同比+21.53%。其中，25Q2公司营收为49.92亿元，同比+0.31%/环比+2.84%；归母净利润为4.15亿元，同比+16.74%/环比+3.04%；扣非归母净利润为4.14亿元，同比+21.61%/环比+12.78%。从盈利能力看，25H1归母净利率为8.3%，同比+0.9pct；销售毛利率为23.58%，同比+1.35pct。其中，25Q2归母净利率为8.31%，同比+1.17pct/环比+0.02pct；25Q2销售毛利率为23.83%，同比+1.78pct/环比+0.51pct。从费用率角度看，25Q2期间费用率为12.63%，同比-1.56pct/环比-1.21pct。其中，销售/管理/财务/研发费用率分别为2.33%/5.71%/-0.33%/4.91%，同比分别-0.33/-0.05/-1.43/+0.25pct。25H1从产品角度看，1）冷却系统营收26.06亿元，同比+2.77%；毛利率为17.37%，同比+2.06pct；2）橡胶业务营收20.43亿元，同比+5.88%；毛利率为17.89%，同比-2.56pct；3）密封系统营收19.42亿元，同比+0.27%；毛利率为29.24%，同比+1.89pct；4）底盘轻量化营收15.46亿元，同比+8.08%；毛利率为18.27%，同比+5.91pct；5）空悬系统收入5.68亿元，同比-0.66%；毛利率为15.20%，同比-5.28pct。25H1公司热管理系统业务累计获得订单71亿元。机器人业务稳步推进，进军本体制造：1）8月28日，公司发布公告宣布与合肥市包河区政府签署战略合作协议，拟在合肥建设机器人上下游产业链；2）8月26日，公司在投资者平台宣布与逐际动力签订项目意向合作协议，拟设立由公司控股的合资公司进行机器人本体制造；3）公司通过安徽睿思博公司、星汇传感等子公司在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前公司的橡胶产品已经完成配套，轻量化骨骼已经向客户送样。盈利预测与投资评级：考虑到公司Q2盈利能力同环比均实现改善，且热管理业务在手订单充裕，叠加公司在人形机器人领域的进一步布局，我们将公司2025-2026年的归母净利润预测上调至16.50/18.37亿元（2025-2026年前值为15.89/18.07亿元），维持对2027年归母净利润为20.80亿元的预测，当前市值对应PE分别为19倍、17倍、15倍，维持对公司的“买入”评级。风险提示：下游乘用车行业销量不及预期，空气悬挂推广进度不及预期，新兴产业拓展不及预期。,,东吴证券,买入,[None],2025-08-30,,买入,6369880,pdf_downloads/2025/2025-08-30/000887-中鼎股份（000887）：Q2盈利能力增强，拟设立合资公司进军机器人本体制造.pdf,000887,中鼎股份,中鼎股份（000887）：Q2盈利能力增强，拟设立合资公司进军机器人本体制造
"崔琰,杜丰帆","25Q2业绩符合预期 进军机器人本体制造事件：公司披露2025年半年度报告，2025H1营收98.46亿元，同比+1.83%；归母净利润8.17亿元，同比+14.11%；扣非归母净利7.80亿元，同比+21.53%。利润分配方面，公司拟以特定总股本为基数每10股派发现金红利0.50元（含税），合计派现约6,582.45万元，不送红股、不以公积金转增股本。25Q2业绩符合预期 盈利能力提升。1）营收端：公司2025Q2营收49.92亿元，同比+0.31%，环比+2.84%，在手订单释放带动营收稳健增长；2）利润端：公司2025Q2归母净利润4.15亿元，同比+16.74%，环比+3.04%，同环比均增长，符合预期；2025Q2公司毛利率为23.83%，同比+1.78pct，环比+0.51pct，毛利率水平同环比上升，系产品结构改变所致。公司净利率为8.30%，同环比分别+1.06/+0.08pct；3）费用端：公司2025Q2销售/管理/研发/财务费用率分别为2.33%/5.71%/4.91%/-0.33%，同比分别-0.33/-0.05/+0.25/-1.43pct，环比分别-0.04/+0.21/-0.13/-1.25pct，系正常波动。主营业务稳健发展 液冷业务布局加速。公司近年来积极布局新能源汽车领域，在多个新能源板块处于国际领先水平。2025H1公司在冷却系统/橡胶业务/密封系统/底盘轻量化/空悬系统营收分别为26.06/20.43/19.42/15.46/5.68亿元，同比分别为+2.77%/+5.88%/+0.27%/+8.08%/-0.66%。公司在储能领域已推出系列化液冷机组及浸没式液冷机组，技术源自汽车热管理并拓展至超算中心。超算中心热管理领域主要产品为CDU（冷液分配装置），目前正加速对接客户并推进浸没式技术应用，2025H1公司热管理系统业务累计获得订单约71亿元。签署多个战略合作协议 进军机器人本体制造。公司将人形机器人视为未来发展的核心战略业务，已与五洲新春、众擎机器人、埃夫特签署战略合作协议；公司旗下子公司安徽睿思博、星汇传感等相关技术团队在谐波减速产品具备核心优势，已在关节总成、谐波减速器、行星减速器、力觉传感器等产品上完成产业布局，目前橡胶产品已经完成配套，轻量化骨骼已经向客户送样；同时，公司与逐际动力签署《项目合作意向协议》，拟共同设立合资公司进行机器人本体制造的深度合作；公司于2025M8与合肥包河区政府签署战略协议，被列为产业链链主，将投资建设机器人减速器、传感器、关节总成及本体制造与代工项目。投资建议：公司在汽车领域根基深厚，广泛积势，强劲进军机器人领域有望带来业绩估值双升。我们预计公司2025-2027年营收216.8/243.9/276.9亿元，归母净利为17.0/19.3/22.4亿元，对应EPS分别为1.29/1.47/1.70元。按照2025年8月29日收盘价23.21元，对应PE分别为18/16/14倍，维持“推荐”评级。风险提示：销量不及预期；新业务发展不及预期；原材料价格波动等。",,民生证券,推荐,[None],2025-08-30,,增持,6369390,pdf_downloads/2025/2025-08-30/000887-中鼎股份（000887）：系列点评二：25Q2业绩符合预期，进军机器人本体制造.pdf,000887,中鼎股份,中鼎股份（000887）：系列点评二：25Q2业绩符合预期，进军机器人本体制造
