author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"岳鑫,陈亦凡",本报告导读：上海机场完成新一轮免税店招标，将深度合作并充分激励中外免税龙头，有助于恢复机场免税价格竞争力，提升免税商经营积极性，有望加速免税客单价恢复。投资要点：维持增持评级。公司近日完成新一轮免税店招标，将深度合作并充分激励中外免税龙头，有助于恢复机场免税价格竞争力，提升免税商经营积极性，有望加速免税客单价恢复。考虑装修期间免租影响，及合资经营增厚投资收益等，维持2025-26年净利23/32亿元（2026年预测含土地补偿税前4.6亿元），上调2027年预测至33（原32）亿元。按照2027年30倍PE，上调目标价至39.6元。引入中外免税龙头，有助于机场免税价格竞争力恢复。近日公司完成新一轮免税店招标：浦东T1+S1杜福睿中标（月固定费用每平米3141元后同，提成比例8%-24%）；浦东T2+S2中国中免中标（3090元，8%-24%），虹桥由中国中免中标（2827元，8%-22%）。1）不同以往“保底销售提成与实际销售提成两者取高”，改为“固定费用+实际销售提成”新模式。估算固定费用与2023年协议保底销售提成接近，未来每年将随国际地区客流增速而成比例上调；提成比例有所下调，按照中值16%静态测算，新旧模式机场免税收入基本持平。2）免税商由之前日上独家变更为国内最大免税商中免与全球最大免税商DUFRY，龙头入驻有助于机场免税价格竞争力与客单价恢复。建立激励机制，有助于提升免税商经营积极性与加速客单价恢复。我们估算2025年上海两大机场国际地区客流已基本恢复至2019年，而免税客单价恢复相对滞后，背后是免税渠道竞争多元化与国货崛起等消费趋势。目前上海机场免税客单价较疫情前与亚太中枢均有提升空间，客单价增长将是公司未来盈利弹性重要来源。新合同八年分两阶段客单价达标考核续约，并建立年度客单价超过目标值一定比例及以上将按阶梯奖励返还超额销售提成等激励机制，我们认为将有助于提升免税商经营积极性，并加速免税客单价恢复。机场与免税商合资经营免税店，将增厚公司投资收益。与白云机场等免税经营模式类似，公司分别与杜福睿/中国中免设立合资公司（公司持股49%），作为载体经营对应标段免税店。参考日上上海2025上半年净利率约5%，并考虑线上线下差异静态测算，合资公司有望年化增厚公司投资收益上亿元。2023年公司曾同集团设立合资公司收购免税商股份，此次合资将进一步拓展机场免税经营能力，有助于尽快拓展品类与开展线上预订，应对未来多元化渠道竞争。风险提示。经济波动、行业政策、机场扩建、空域与航权等。,,国泰海通,增持,[None],2025-12-23,,买入,8394643,pdf_downloads/2025/2025-12-23/600009-上海机场（600009）：新一轮免税店合同点评：免税引入中外龙头，激励合资加速恢复.pdf,600009,上海机场,上海机场（600009）：新一轮免税店合同点评：免税引入中外龙头，激励合资加速恢复
"岳鑫,陈亦凡",本报告导读： 上海机场近日启动新一轮免税店招投标，按航站楼分标段招标，明确双免税商且外资准入，并设置两阶段考核续约。引入良性竞争有望助力机场免税价值充分体现。 投资要点： 维持增持评级。公司启动新一轮免税招标，利用新规引入良性竞争有望助力免税价值充分体现。暂未考虑新一轮免税合同调整影响，考虑土地与捷运资产转让收益，上调2025-26 年归母净利至23/32（原23/28）亿元，维持27 年预测32 亿元，维持目标价39.27 元。 事件：公司启动新一轮免税招标，分标段招标并引入竞争与考核。 2025 年11 月17 日，根据中国招标投标公共服务平台，公司发布浦东机场与虹桥机场进出境免税店项目招标公告。1）分标段：按航站楼分为三个标段，标段一为浦东T1 及S1（3+5 年），标段二为浦东T2 及S2（5+3 年），标段三为虹桥T1（5+3 年）。2）双免税商：明确标段一与标段二不可兼得，标段三可兼得。3）外资准入：明确投标人为国内免税商或具有一定实力的经营免税商品的知名外商投资企业。4）设置两阶段考核续约：在第一阶段合同履行结束前一年，若通过公司考核，则续约第二阶段合同，反之合同终止。 回顾：2018 年免税合同高保底高提成，两次协议下调提成与保底。 2018 年中免旗下日上上海再次独家中标浦东机场免税店，七年合同期保底销售额410 亿元，且提成比例大幅升至42.5%。2019 年公司免税收入52 亿元，估算贡献净利3/4。由于疫情致国际客流具不确定性，2021 年双方签订补充协议，根据实际国际客流恢复梯次收取销售提成。2023 年由于虹桥机场注入，双方再次签订补充协议，月保底销售提成降至0.59 亿元，提成比例按照相关规定分品类降至18-36%，并约定日上上海市内店收取同样提成。同时，公司设立合资公司收购免税商股权。我们认为有助于恢复机场免税价格竞争力与免税商经营积极性，降低市内店分流风险，并拓展跨区域免税收益。 展望：免税渠道竞争多元化，引入竞争有望助力免税价值充分体现。 2025 上半年上海两场国际地区客流较2019 年同期恢复94%，免税收入恢复相对滞后，我们认为背后是免税渠道竞争多元化与国货崛起等消费趋势。上海机场区位优秀，免签政策与主基地航司国际枢纽战略将驱动国际客流持续增长，免税价值仍具潜力。《关于完善免税店政策支持提振消费的通知》进一步放开外资、品类、面积等。 公司新一轮免税招标充分利用新规，分标段招标，明确双免税商且外资准入，引入良性竞争与阶段考核将有助于免税价值充分体现。 风险提示。经济波动、行业政策、机场扩建、空域与航权等。,,国泰海通,增持,[None],2025-11-23,,买入,8165424,pdf_downloads/2025/2025-11-23/600009-上海机场（600009）：出入境免税店启动招标点评：新一轮免税招标启动，竞争将助力价值体现.pdf,600009,上海机场,上海机场（600009）：出入境免税店启动招标点评：新一轮免税招标启动，竞争将助力价值体现
"郑树明,王凯婕","业绩2025年10月30日，上海机场发布2025年第三季度报告。2025年前三季度公司实现营业收入97.1亿元，同比增长5.7%；实现归母净利润16.3亿元，同比增长36%；其中Q3实现营业收入33.6亿元，同比增长7.5%；实现归母净利润5.9亿元，同比增长53%。经营分析2025Q3业务量持续恢复，推动营收增长。2025Q3航空出行需求持续恢复，国际线增长显著。Q3浦东机场旅客吞吐量同比增长7.9%，其中国内线+2.1%、国际线+17.4%、地区线+7%；虹桥机场旅客吞吐量同比增长3.8%，其中国内线+3.7%、国际线+17%、地区线-0.1%。伴随流量恢复，Q3公司营收同比增长7.5%，其中免税合同收入3.14亿元，同比增长18%；广告合同收入1.7亿元，同比下降2%。营业成本相对刚性，Q3盈利能力同比改善。2025Q3公司营业成本同比仅增长1%，低于收入增速，同期毛利率同比增长4.6pct至27.1%。费用率方面，2025Q3公司期间费用率为8.0%，同比下降1.4pct,其中管理费用率为5.2%，同比+0.6pct，财务费用率为2.7%，同比-2.1pct。2025Q3公司录得投资收益2.7亿元，同比增长26%。毛利率增长及费用率改善的情况下，2025Q3公司归母净利同比增长53%，净利率为17.6%，同比增长5.2pct。免签政策优化，国际航线恢复有利于公司非航业务增长。我国免签政策持续优化，截至目前我国对47个国家持普通护照人员来华可免签30天，与泰国、新加坡、马来西亚、格鲁吉亚等29国实行双边免签政策。此外，55国人员持有效国际旅行证件和确定日期及座位的联程客票，从中国过境前往第三国或地区，可适用240小时过境免签政策便捷来华。上述政策有助于提升机场国际旅客吞吐量，公司旗下浦东机场是我国国际地区旅客吞吐量最大的机场，随着国际客恢复，免税等非航业务收入有望同比增长。盈利预测、估值与评级考虑免税恢复略慢于预期，下调2025-2027年净利预测至21亿元、26亿元、31亿元（原23/27/34亿元）。维持 “买入”评级。风险提示需求恢复不及预期，免税业务经营风险，扩建影响超预期风险，收费价格管制风险，航油政策风险。",,国金证券,买入,[None],2025-11-01,,买入,7193065,pdf_downloads/2025/2025-11-01/600009-上海机场（600009）：收入增长成本刚性，Q3 业绩大增.pdf,600009,上海机场,上海机场（600009）：收入增长成本刚性，Q3 业绩大增
"沈晓峰,黄凡洋",2025年11月01日│中国内地 机场 公司公布9M25业绩：收入97.14亿元，同增5.7%；归母净利润16.34亿元，同增36.0%。其中三季度公司实现收入33.61亿元，同增7.5%；归母净利润5.90亿元，同增52.5%。公司9M25净利高于我们预期的15.9亿元，或由于3Q成本管控效果较为良好。展望之后，借助长三角旺盛的民航出行需求，上海机场流量有望持续稳步上涨，推动公司盈利提升。公司免税客单价恢复仍需观察，需挖掘有税零售、餐饮等流量变现潜力。维持“增持”。3Q国际线流量较快提升，营收增长加速3Q25旺季公司流量稳步提升，浦东+虹桥旅客吞吐量达到3519万人次，同比提升6.4%。其中浦东机场3Q25旅客吞吐量达到2241万人次，同比提升7.9%，另外浦东的国内和国际+地区线分别同比提升2.1%和16.0%，国际+地区线恢复至3Q19的101%。虹桥机场增速相对较慢，3Q25旅客吞吐量同增3.8%至1277万。公司整体流量增加仍较快，推动3Q25营收33.61亿，同比增加7.5%，稍快于旅客量增速，其中来自免税补充协议收入3Q为3.1亿，同比上升17.6%，或由于国际线旅客增长较快所致。成本管控良好，盈利同比高速增长公司成本管控效果较为良好，经营杠杆继续发挥作用。3Q25上海机场营业成本24.51亿，同比小幅提升1.1%，幅度明显小于营收涨幅，毛利润9.09亿，同比提升29.6%（2.08亿），毛利率27.1%，同比提升4.6pct。同时公司投资收益同增26.4%（0.56亿）。最终公司3Q25归母净利润同比提升52.5%（2.03亿）至5.90亿。盈利有望持续爬坡，变现能力有待进一步挖掘当前公司流量持续稳步回升，但仍受免税扣点率下降及客单价恢复较慢的影响。展望之后，流量提升叠加经营杠杆，公司盈利有望持续爬坡，但免税业务恢复仍需等待，需挖掘有税、餐饮等流量变现潜力，未来2-3年公司盈利相比疫情前或仍将存在一定差距。同时需关注中期T3航站楼投产的成本增量以及对利润的拖累。盈利预测与估值考虑公司国际线流量仍在较快增长，我们小幅上调公司25-27年归母净利润(0.5%/0.4%/0.5%)至22.07/26.97/30.86亿元，对应EPS为0.89/1.08/1.24元。基于DCF折现法，给予目标价36.60元（WACC为10.5%不变，永续增长率2.0%，目标价前值36.50元），维持“增持”评级。风险提示：免税销售不及预期、流量恢复不及预期、高峰时刻增长不达预期、资本开支超预期。,,华泰证券,增持,[None],2025-11-01,,增持,7192907,pdf_downloads/2025/2025-11-01/600009-上海机场（600009）：流量增长+经营杠杆推动盈利高增.pdf,600009,上海机场,上海机场（600009）：流量增长+经营杠杆推动盈利高增
"吴劲草,石旖瑄,王琳婧",事件：2025年10月30日，上海机场发布2025年三季报。2025Q1-3公司收入为97.14亿元，同比+5.7%；归母净利润为16.34亿元，同比+36.0%；扣非归母净利润16.09亿元，同比+36.3%。成本管控带动盈利能力修复：单Q3实现营收33.61亿，yoy+7.46%；归母净利润为5.90亿，yoy+52.52%；扣非归母净利润为5.82亿元，yoy+55.15%。 Q3毛利率为27.05%，同比+4.61pct，折旧摊销减少成本减少；管理/财务费用率分别为5.21%/2.70%，同比+0.59pct/-2.05pct；投资收益2.69亿元，同比+26.39%；归母净利率为17.55%，同比+5.18pct。航空业务量稳增，免税合同收入同增18%：2025Q3浦东+虹桥机场国内航线旅客吞吐量/起降架次分别为2419.49万人次/14.7万架次，同比+2.8%/+0.7%，国际+地区航线旅客吞吐量/起降架次分别为1099.13万人次/6.7万架次，同比+15.1%/+9.8%。国内客流稳健增长，国际客流支持口岸免税继续恢复。25Q3公司相关广告合同收入1.7亿元，yoy-2.3%；相关免税合同收入3.14亿元，yoy+17.6%。免税政策扩容，非航业务将受益于免税销售爬坡。10月30日，财政部等五部门印发《关于完善免税店政策支持提振消费的通知》，政策内容包括：优化国内商品退（免）税政策管理，进一步扩大免税店经营品类，放宽免税店审批权限，支持口岸出境免税店、口岸进境免税店和市内免税店提供网上预订服务。政策自11月1日起实施，将进一步发挥免税店政策支持提振消费的作用，引导海外消费回流，吸引外籍人员入境消费。我们预计国内免税市场将企稳回升，公司非航业务未来将持续受益于口岸免税和市内免税销售爬坡。盈利预测与投资评级：作为中国最大口岸，上海机场是国际通航复苏核心标的，长期受益于免税行业的繁荣及长三角一体化发展。考虑免税合同补充协议后影响免税租金、免税销售仍在修复中，我们下调2025年、2026年盈利预测，新增2027年盈利预测，预计2025-2027年归母净利润分别为21.2/26.3/30.8亿元（25/26年前值为29.4/37.2亿元），对应PE为37/30/26倍，由于上海机场有望受益于免税政策红利，维持“增持”评级。风险提示：国际出行恢复不及预期、宏观经济走弱影响居民消费意愿、进口免税商品渠道竞争风险等。,,东吴证券,增持,[None],2025-11-01,,增持,7132266,pdf_downloads/2025/2025-11-01/600009-上海机场（600009）：成本管控带动盈利提升，免税合同收入同增18%.pdf,600009,上海机场,上海机场（600009）：成本管控带动盈利提升，免税合同收入同增18%
"岳鑫,陈亦凡",维持增持评级。上海机场区位优势凸显，是中国核心国际枢纽机场。2024年旅客吞吐量恢复正增长，2025上半年国际客流加速恢复。公司成本管控有力，保障2025上半年业绩同比增长近三成。公司非航蕴藏潜力，且将受益超级枢纽建设及免签政策，业绩将继续增长。维持2025-27年归母净利预测23/28/32亿元，维持目标价39.27元。上半年业绩同比增长近三成，成本管控保障收入增长转化为盈利。2025上半年公司归母净利润10.4亿元，同比增长28%，较2019年同期恢复近四成；其中，Q2盈利5.3亿元，同比增加22%。公司2022年初完成虹桥机场与物流板块资产注入，实现一市两场统一运营管理。上海两场上半年飞机起降架次同比增长5%，旅客吞吐量同比增长9%，驱动营业收入同比增长近5%，其中，航空性收入同比+8%，非航收入同比+2%；营业成本同比基本平稳，管理成本同比下降10%，积极成本管控保障收入增长有效转化为盈利继续恢复。上海机场区位优秀，免签驱动国际客流加速恢复。2024年上海两场旅客吞吐量超1.2亿人次，全国城市居首。上海机场区位优秀，是中国核心国际枢纽机场，将受益超级枢纽建设及国际补贴合法性审查，预计枢纽地位将持续增强，免签政策有效加速国际流量恢复。2025年上半年全国出入境人员同比上升15.8%；免签入境外国人占入境外国人的71%，同比增长54%。2025上半年上海两场国际航线旅客吞吐量同比高增26%，国内大型国际枢纽机场国际客流增速居首，基本恢复至2019年；国际地区客流占比恢复至30%，未来免签政策有望继续驱动公司国际占比继续恢复，有助于盈利能力恢复。非航蕴藏潜力，公司积极经营。2025上半年公司非航收入占比达54%，其中免税广告待恢复，有税蕴藏潜力。1）免税：上半年免税合同收入6.3亿元，待继续恢复。近年免税渠道竞争且消费趋势变化，公司免税合同分成比例下调有利于提升免税商经营积极性。2）广告：综合考虑阵地费与广告合营公司盈利，上半年受经济波动影响而同比承压。3）有税商业：上海机场拥有成规模高价值客流，近年批量引入品牌直营与机场首店，挖掘国内有税业务商业潜力。风险提示。经济波动、机场扩建、行业政策、空域与航权等。,,国泰海通,增持,[None],2025-09-07,,买入,6397648,pdf_downloads/2025/2025-09-07/600009-上海机场（600009）：更新报告：国际客流加速恢复，非航业务蕴藏潜力.pdf,600009,上海机场,上海机场（600009）：更新报告：国际客流加速恢复，非航业务蕴藏潜力
曹奕丰,事件：2025 年H1 公司实现营收63.53 亿元，同比增长4.78%，实现扣非归母净利润10.27 亿元，同比提升27.5%。 客流量恢复，航空性收入持续提升：25H1 浦东机场旅客吞吐量4116 万人次，同比增长11.6%，其中国内与国际航线同比分别增长3.77%和26.25%；虹桥方面旅客吞吐量同比增长4.75%。 上半年公司航空性收入29.16 亿元，同比增长8.35%，其中架次相关收入11.61亿元，同比增长3.83%，旅客及货邮相关收入17.55 亿元，同比增长11.56%。 旅客及货邮相关收入增长较快，我们认为主要系浦东机场旅客吞吐量增速明显高于飞机起降架次增速（浦东机场旅客吞吐量增长11.61%，飞机起降架次增长5.71%），这说明上半年浦东机场相关航线的客座率有一定提升。 非航收入增长放缓，略低于预期：报告期公司非航收入34.37 亿元，同比增长1.93%。其中商业餐饮收入10.91 亿元，同比提升2.33%，主要系商业经营权转让收入同比增加。上半年公司免税收入6.28 亿元，略低于去年同期的6.48亿元，消费降级对公司的免税收入造成了一定负面影响。上半年公司物流服务收入8.33 亿元，同比增长0.76%；其他非航收入15.12 亿元，同比增长2.29%。 总体来看，在公司旅客量吞吐量不断提升的情况下，公司非航收入增速偏低。 成本管控优秀，增速明显低于航空性收入增速：上半年公司人工成本、运营成本和折旧摊销成本分别同比增长0.43%、0.76%和下降0.76%，成本增速明显低于收入增速。机场作为刚性成本占比较高的行业，随着产能利用率持续提升，利润率有望持续提升。 股权投资稳定贡献利润：上半年公司投资收益共计4.57 亿元，较去年同期的3.60 亿元同比明显提升。其中德高动量贡献投资收益0.78 亿元（去年同期0.81亿元），油料公司投资收益2.17 亿元（去年同期1.96 亿元），日上中国和日上上海分别贡献投资收益0.20 和0.49 亿元；自贸基金、自贸基金三期和联一投资合计贡献投资收益0.32 亿元（去年同期合计亏损0.75 亿元）。 盈利预测及投资评级：随着机场产能利用率的提升以及免税业务、广告等非航业务的恢复，预计公司业绩持续回升。我们预计公司2025-2027 年净利润分别为21.4、25.9 和28.2 亿元，对应EPS 分别为0.86、1.04 和1.14 元，维持公司“推荐”评级。 风险提示：国际航线恢复进度不及预期，宏观经济不景气，政策变化,,东兴证券,推荐,[None],2025-09-04,,增持,6392577,pdf_downloads/2025/2025-09-04/600009-上海机场（600009）：成本管控卓有成效，非航收入表现偏弱.pdf,600009,上海机场,上海机场（600009）：成本管控卓有成效，非航收入表现偏弱
"吴一凡,吴晨玥,卢浩敏,梁婉怡,霍鹏浩,李清影",公司公告2025年半年报：1）业绩情况：25H1实现收入63.5亿，同比+4.8%；25H1盈利10.4亿，同比+28.1%；扣非盈利10.3亿，同比+27.5%。2）分季度看：25Q2营业收入31.8亿，同比+4.8%；25Q2盈利5.3亿，同比+22.4%；扣非后盈利5.1亿，同比+21.6%。3）投资收益：25H1实现4.6亿，同比+26.7%。25Q2实现投资收益2.47亿，同比+4.1%。4）成本端：25H1营业成本46.8亿，同比-0.34%；其中人工、摊销、运营维护成本分别+0.43%、-0.76%、+0.76%。5）费用端：财务费用2.3亿，同比+16.6%，主要是由于银行存款利息收入同比减少；管理费用3.2亿，同比+8.0%。分业务情况：1）航空性业务：25H1航空性收入29.2亿，同比+8.35%；2）非航业务：25H1非航业务34.4亿，同比+1.93%，其中商业餐饮收入10.9亿，同比-1.9%，物流服务收入8.3亿，同比+0.76%，其他非航收入15.1亿，同比+2.3%。上半年公司免税收入为6.28亿，同比-3.1%；广告合同收入2.97亿，同比-8.0%。经营数据：1）浦东机场：2025H1累计起降、旅客吞吐量同比分别+5.71%、+11.61%，其中国内旅客吞吐量同比+3.8%，较19年+21.9%，国际+地区旅客吞吐量同比+23.1%，较19年-6.7%；2025Q2起降、旅客吞吐量同比分别+6.2%、+12%，其中国内旅客吞吐量同比+5.9%，较19年+20.5%，国际+地区旅客吞吐量同比+20.7%，较19年-5.9%。2）虹桥机场：2025H1起降、旅客量吞吐量同比分别+3.06%、+4.75%。中期分红：向全体股东每10股派发现金红利2.1元（含税），共计派发现金红利5.2亿元（含税），2025年度中期现金分红比例为50.05%。投资建议：1）盈利预测：考虑国际旅客恢复进展以及非航业务变化，我们调整25~26年归母净利润预测分别为21.7、27.0亿元（原为27.7亿和32.8亿），新增27年归母净利润预测为30.6亿，对应25~27年EPS分别为0.87、1.08和1.23元，PE分别为37、29和26倍。2）投资建议：国际旅客持续恢复背景下，机场仍将是重要免税销售渠道，公司有望与中免合作共赢，发挥协同效应，期待国际枢纽机场长期价值回归。维持“推荐”评级。风险提示：经济大幅下滑、国际航线需求恢复低于预期。,,华创证券,推荐,[None],2025-09-04,,增持,6392950,pdf_downloads/2025/2025-09-04/600009-上海机场（600009）：2025年半年报点评：25H1盈利10.4亿，同比+28%，成本控制得当，静待非航业务持续复苏.pdf,600009,上海机场,上海机场（600009）：2025年半年报点评：25H1盈利10.4亿，同比+28%，成本控制得当，静待非航业务持续复苏
"沈晓峰,黄凡洋",2025年8月30日│中国内地 机场 公司公布1H25业绩：收入63.53亿元，同增4.8%；归母净利润10.44亿元，同增28.1%。其中二季度公司实现收入31.81亿元，同增4.8%；归母净利润5.25亿元，同增22.4%。公司上半年净利相比我们预期的10.8亿元低3%，或主因非航业务收入增长较低。展望之后，机场流量有望持续稳步上涨，不过公司仍在消化免税业务所遭受的冲击，免税客单价恢复仍需观察，需挖掘有税零售、餐饮等流量变现潜力。维持“增持”。2Q25营收增长慢于流量，经营杠杆助力盈利同增22.4%上海机场2Q25流量同比较快提升，浦东+虹桥旅客吞吐量达到3334万人次，同增10.2%，其中浦东机场旅客吞吐量达到2084万人次，同增12.0%，国内/国际+地区线分别同增5.9%/20.7%，恢复至2Q19的120%/95%。流量增加推动公司2Q25营收同增4.8%，但小于流量增幅，或主因非航营收增长较慢，其中来自免税补充协议收入为2.9亿，同降0.16亿。不过经营杠杆使得2Q25公司营业成本23.56亿，同降0.7%，毛利润同增24.8%（1.64亿）至8.25亿，推动公司2Q归母净利润同增22.4%（0.96亿）至5.25亿。1H25流量稳步提升，非航业务营收增长承压1H25整体来看，浦东+虹桥旅客吞吐量6576万人次，同比增长8.9%，航空性收入录得29.16亿，同增8.4%，与流量增速相仿；另外非航业务营收34.37亿，仅同增1.9%。其中免税补充协议收入为6.28亿，同降0.20亿，考虑浦东+虹桥国际线旅客吞吐量同增21.5%，免税客单价或仍承压；另外物流服务和其他非航收入分别同增0.8%和2.3%。最终1H25营收同增4.8%至63.53亿。1H25成本控制良好，等待非航变现能力提升1H25成本端，公司营业成本46.76亿，同降0.3%，人工、折旧摊销、运营维护分别仅同比+0.4%、-0.8%、+0.8%。经营杠杆使得录得毛利润16.77亿，同增22.3%（3.05亿），另外投资收益同增0.96亿至4.57亿。最终公司录得净利润10.44亿，同增28.1%（2.29亿）。其中22年并购资产中，虹桥和物流公司实现净利润1.95亿/2.63亿，分别同增19%/2%。我们认为中长期上海两场流量汇集和变现能力依然突出，等待进一步挖掘非航变现潜力，带动盈利继续回暖。盈利预测与估值考虑非航业务营收增长较慢，我们下调公司25-27年归母净利润(6%/5%/9%)至21.95/26.86/30.71亿元，对应EPS为0.88/1.08/1.23元。基于DCF折现法，给予目标价36.50元（WACC为10.5%，前值10.4%，永续增长率2.0%，目标价前值37.00元），维持“增持”评级。风险提示：免税销售不及预期、流量恢复不及预期、高峰时刻增长不达预期、资本开支超预期。,,华泰证券,增持,[None],2025-08-31,,增持,6371303,pdf_downloads/2025/2025-08-31/600009-上海机场（600009）：经营杠杆助力盈利，变现潜力待挖掘.pdf,600009,上海机场,上海机场（600009）：经营杠杆助力盈利，变现潜力待挖掘
"黄文鹤,张骁瀚,陈佳裕",25H1成本控制良好，中期分红提升股东回报2025年8月29日公司发布2025年半年报：2025H1公司营收63.5亿元，同比+4.8%，归母净利10.4亿元，同比+28%，扣非归母净利10.3亿元，同比+28%；25Q2公司营收31.8亿元，同比+4.8%，归母净利5.3亿元，同比+22%，扣非归母净利5.1亿元，同比+22%。公司25H1归母净利同比改善，我们认为主要是由于生产经营同比恢复，增加对固定成本覆盖；以及国际旅客量占比提高，提升盈利能力；公司上半年成本控制良好，25H1营业成本同比-0.3%。飞机起降和旅客吞吐延续同比增长带动航空性收入增长，国际客流恢复至2019年同期90%以上带动单价上涨。虹浦两场客流、飞机起降延续同比增长带动航空收入增长：25H1两场飞机起降41.2万架次，同比+4.7%，旅客吞吐量0.66亿人次，同比+8.9%，公司航空性收入同比+8.4%（吞吐相关收入同比+11.6%）。国际客流恢复至2019年同期90%以上带动航空性收入单价提升：25H1浦东国际客流恢复至2019年93.6%，国际客流持续恢复，上海两场单位吞吐量收入同比+3.4%，单架次收入同比-0.9%。免税租金同比仍承压，25H1商业餐饮收入同比增长或主要由有税商业贡献。免税收入同比下滑：2023年12月公司公告与日上上海签订补充协议，重回保底租金与提成取高模式，但提成和保底租金水平较此前大幅下调，仍根据销售额确认租金。25H1公司确认免税租金6.3亿元，同比-3.1%，考虑到国际客流量增长，我们认为短期看触底企稳仍是免税商业主基调，同时免税对公司盈利拖累逐渐减弱。有税商业呈现明显改善：25H1公司商业餐饮收入10.9亿元，同比+2.3%，考虑到公司25H1广告和免税收入均同比下滑，我们认为有税商业收入增长是上半年公司商业收入的主要驱动。机场商业板块，建议关注本轮免税合约到期后的新协议签订情况，以及有税商业招商进度及潜在增量收入。25H1公司营业成本控制良好，货站资产和股权投资收益稳健。25H1公司管理费用3.2亿元，同比+8.0%，仍然受到限制性股票费用影响，但上半年公司成本控制良好，25H1营业成本同比-0.3%，人工/摊销/运营维护成本同比+0.4%/-0.8%/+0.8%，业务量同比增长的情况下营业成本同比基本持平。物流等其他非航业务具备韧性：25H1虹浦两场货量同比+5.1%、国际货量同比+5.5%，物流收入8.34亿元同比基本持平。股权投资收益稳健：浦东油料、免税股权25H1分别贡献投资收益2.2、1.6亿元，同比+11%、+95%，我们预计公司将持续受益于优质股权资产。投资建议：公司是国际航线复苏核心标的，受益于外国人员往来开放扩大，尽管短期免税销售承压，但浦东机场国际客流体量在中长期仍对免税商有着重要渠道价值，同时股权激励业绩考核下，收入端有望受益有税商业优化、成本端关注成本控制。此外公司宣派中期分红含税5.23亿元（对应中期盈利50.1%），优化股东回报。我们维持2025-2027年公司归母净利润分别为21.5、25.6、29.3亿元，当前股价对应PE分别为37、31、27倍。维持“谨慎推荐”评级。风险提示：国际航线恢复不及预期；免税消费持续承压；基建投产增量成本超预期。,,民生证券,谨慎推荐,[None],2025-08-31,,增持,6373590,pdf_downloads/2025/2025-08-31/600009-上海机场（600009）：2025年半年报点评：25H1成本控制良好，中期分红提升股东回报.pdf,600009,上海机场,上海机场（600009）：2025年半年报点评：25H1成本控制良好，中期分红提升股东回报
