author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
赵良毕,杭钢股份(600126)事件：公司发布2025半年度业绩报告，实现总营业收入296.76亿元，同比减少11.54%；实现归母净利润-1.14亿元。生产运行平稳有序，创新驱动提升竞争力：上半年公司累计生产钢铁产品225.45万吨，构建高品种比例下低负荷低成本运行的生产组织模式，焦化厂持续强化精益操作，上半年实现煤气消耗3.70GJ/t、焦炉热耗3.61GJ/t、水耗0.56m3/t，均创历史最低；炼钢厂长效稳固两炉两机刚性高效生产模式，积极探索石灰单窑经济运行，6月份转炉工序能耗-32.32kgce/t、煤气回收热值0.93GJ/T、石灰单耗33.7kg/t，均创历史最好水平；热轧厂全面提升加热炉集开集停精益生产能力，工序成本大幅下降，5月份热轧改判率0.21%，创历史新低。持续加大科技创新研发投入，加速推动高端化进程。上半年受理专利47项，授权专利22项，认定技术秘密51项，开发“1”类产品5.89万吨，新产品产量26.73万吨。工业纯铁元素控制能力跃居国内领先水平，低锰工业纯铁实现32炉连浇，月度订单量突破7000吨，实现高品质原料纯铁稳定生产供货。取向硅钢突破重大工艺技术瓶颈，有效解决边部裂口、冷轧断带等问题。稳步推进数字经济产业，智算服务能力逐步提升：推进杭钢云、浙江云项目建设，进一步巩固区域市场优势。杭钢云项目已启用机柜数量3730个，在架服务器约27276台，杭钢云二期、三期项目有序推进中；浙江云项目A楼已启用机柜1056个，B楼已启用机柜1167个，C楼已启用机柜969个，D栋已完成初验，E栋技计划稳步推进中。积极推进国产TPU算力资源池项目，全力聚焦核心客户拓展，精准锚定政企数字化需求，为金融、政务等行业定制数据中心托管、算力服务方案，为后续精准营销、项目落地筑牢根基。深化与信创生态合作伙伴的联合，推动政企客户市场拓展。投资建议：我们预测公司2025-2027年将实现营业收入分别为652.87/774.05/932.80亿元，同增2.55%/18.56%/20.51%；归母净利润分别为-1.97/1.14/1.84亿元。公司钢铁业务运行平稳有序，且积极布局AIDC数字经济业务，我们认为公司未来业绩修复可期，估值可给与一定溢价，维持“谨慎推荐”评级。风险提示：下游地产基建等需求不及预期的风险；铁矿石、煤炭等原料价格不确定性风险；钢铁冶炼技术革新的风险；国内外政策的不确定性风险等。,,银河证券,谨慎推荐,[None],2025-08-26,,增持,6347730,pdf_downloads/2025/2025-08-26/600126-杭钢股份（600126）：钢铁业务平稳运行，数字经济稳步推进.pdf,600126,杭钢股份,杭钢股份（600126）：钢铁业务平稳运行，数字经济稳步推进
赵良毕,"杭钢股份：传统主业经营营收增长，费用控制良好。公司传统主营业务为钢铁及其压延产品的生产和销售，另外进行部分原燃材料以及钢材的贸易。主要产品为热轧卷板，提供给冷轧压延、建筑用钢（钢结构）、集装箱制造、管线制造、汽车制造、造船、刀模具等行业。2024年前三季度杭钢股份营业收入482.6亿元，同比增长22.27%；期间费用控制良好，销售费用率0.03%，管理费用率0.77%，财务费用率-0.41%，三大期间费用率合计0.39%，与2023年持平。AI推动算力需求提升，杭钢AIDC布局卡位。IDC数据显示，2025年中国智能算力规模将达1,037.3 EFLOPS，到2028年将达2,781.9EFLOPS。2025年中国通用算力规模将达85.8 EFLOPS，预计到2028年将达到140.1 EFLOPS；2023-2028年期间，中国智能算力规模的五年年复合增长率预计达到46.2%，通用算力规模预计达到18.8%。DeepSeek通过先进的算法优化和高效的模型性能，拉动人工智能算力在数据中心、端侧及边缘侧的发展。杭钢部署卡位AIDC优势显著，布局数字经济业务领先。联手阿里推进数字业务，开拓算力第二增长曲线。2020年9月，全资子公司浙江云计算数据中心成立，杭钢与阿里联手打造浙江云计算数据中心项目，总投资158亿元，采用阿里最新的设计、建设、运营标准体系，配备高可靠性的供配电系统、低碳高效的制冷系统、智能化多元化的控制系统，计划建设拥有10栋数据中心、10800个机柜、20万台服务器的数据中心。协同世联云科技负责北区B栋机柜上架运维，已上电机柜数1069个，可运行服务器21000台；C栋通过终验，属于最小化运维阶段；A栋处接维阶段，已通过三方测试。投资建议：参考公司预告及业绩情况，我们预计公司2024-2026年公司整体营业收入分别为678.82/822.45/1010.21亿元，同比增速21.59%/ 21.16%/22.83%；归母净利润分别为-6.11/2.23/3.22亿元，同比增速-435.08%/136.44%/ 44.60%。公司钢铁业务优势显著，且积极布局AIDC数字经济业务，我们认为公司未来业绩修复可期，估值可给与一定溢价，首次覆盖，给予“谨慎推荐”评级。风险提示：下游地产基建等需求不及预期的风险：铁矿石、煤炭等原料价格不确定性风险；钢铁冶炼技术革新的风险；国内外政策的不确定性风险等。",,银河证券,谨慎推荐,[None],2025-03-25,,增持,5961833,pdf_downloads/2025/2025-03-25/600126-杭钢股份（600126）：首次覆盖报告：钢铁智造加速，AIDC布局领先.pdf,600126,杭钢股份,杭钢股份（600126）：首次覆盖报告：钢铁智造加速，AIDC布局领先
"宝幼琛,任春阳","钢铁行业供强需弱，公司业绩有所承压杭钢股份作为钢铁行业的中坚力量，其钢铁产品广泛应用于建筑、汽车等多个行业。2023年，国内钢铁行业整体呈供强需弱态势，钢材价格低位震荡，叠加铁矿石等主要原材料价格及能源价格维持高位运行，钢铁企业经营承受压力，盈利空间受到挤压。预计2023年年度实现归母净利润16,800万元，与上年同期相比，将减少31,184万元，同比减少64.99%左右。面对严峻的市场形势，公司虽坚持贯彻“低成本、高效率”经营策略，加大力度开展降本增效工作，努力实现企业效益最大化，但受行业环境影响，公司业绩同比仍有较大幅度下滑。数据中心稳步建设，打造成长新引擎在数字化转型方面，杭钢股份与阿里云合作，共同投资158亿元建设浙江云计算数据中心，展现了公司在新基建领域的深度布局。截至2023年6月底，数据中心项目已启用2233个机柜，上架服务器数量约16146台，互联网数据中心、云计算等新兴业务收入同比增长19.2%。这一转型战略不仅为阿里云等大型云服务提供商提供了坚实的基础设施支持，也为“云上浙江”战略提供了技术基础，通过加强信创云建设运营，成功签约省担保等多家行业重点企业，助力实现省属国企业务应用“上云用云”。数据中心建设，增长新引擎杭钢股份提出了“数字杭钢”建设目标，开启了由“炼铁成钢”到“炼数成金”的转型之路，打造以“门户集成、数据赋能”为主体的一体化智能化管控平台，实现各领域企业治理应用系统的互联互通和数据共享，为数字化决策提供有力支撑。杭钢股份的数据中心项目规划宏大，目标建设10栋数据中心大楼，设计容纳10800个服务器机柜，预计可运行20万台服务器；截止到2023年5月底，浙江云项目北区建设运营稳步推进中，B栋数据楼已上架1.2万台服务器，C栋数据楼已通过第三方验证测试，A栋数据楼第三方验证测试中。随着云计算市场的不断扩大，公司的IDC业务预计将成为未来收入和利润增长的重要驱动力。盈利预测随着云计算市场的不断扩大，公司的IDC业务预计将成为未来收入和利润增长的重要驱动力。预测公司2023-2025年收入分别为520.55、621.88、734.81亿元，EPS分别为0.05、0.17、0.26元，当前股价对应PE分别为117、33、22倍，首次推荐，给予“买入”投资评级。风险提示IDC 进展不及预期；未来钢材价格出现波动影响公司业务利润等。",,华鑫证券,买入,[None],2024-03-24,,买入,5555031,pdf_downloads/2024/2024-03-24/600126-杭钢股份（600126）：公司动态研究报告：公司业绩有所承压，IDC业务打造成长新引擎.pdf,600126,杭钢股份,杭钢股份（600126）：公司动态研究报告：公司业绩有所承压，IDC业务打造成长新引擎
倪文祎,事件公司4月22日发布2022年一季报，2022年一季度实现营收118.14亿元，同比增长10.65%；实现归母净利润3.91亿元，同比增长10.21%；实现扣非归母净利润3.82亿元，同比增长22.53%；实现EPS为0.12元/股。评论Q1盈利环比改善。21Q4由于钢铁行业限产和原材料价格上涨等因素导致钢价承压，Q1公司归母净利润环比增加3.7亿元，综合毛利率5.41%，环比增加5.05pcts；净利率3.31%，环比增加3.14pcts，盈利能力提升。Q2钢铁下游基建、地产稳增长，需求有边际改善空间，支撑钢价上行，钢铁业绩有望持续提升。联合阿里共建“浙江云”一期项目稳步推进。公司与阿里合作建设浙江云计算数据中心，项目总投资158亿元，用地面积310亩，北区和南区各建设5栋DC楼，可容纳10800 个机柜，共计20万台服务器。项目一期于20年7月开工，目前B栋已完成建设进入第三方测试，A、C栋已完成80%设备安装，D、E栋进入二次结构施工。21年公司收购浙江省数据管理有限公司100%股权，将其1500个机柜纳入杭钢云统一管理，自营机柜共计5500个。21年底，杭钢云上架机柜805个，已签订协议尚未上架机柜数1266个，服务器新增2590台，总数7176台。一云多芯”和智慧能源平台多领域拓展。21年10月，公司与阿里和信创产业联盟打造的“一云多芯”平台已完成安全审查，国资云共部署13个国资监管系统，开通资源算力超出规划量12.54%达到了1274c。智慧能源平台汇集的重点用能单位达到549家，签约10家企业，营收同增68.32%。“双碳能源云”平台已完成演示系统开发，后续根据客户需求定制化开发。盈利预测&amp;投资建议考虑到22年因疫情影响钢价承压，分别下调22-23年公司归母净利润15%、14%，预计22-24年公司实现归母净利润分别为16.89亿元、18.06亿元、18.59亿元，对应EPS分别为0.50元、0.54元、0.55元，对应PE分别为10倍、9倍、9倍，维持“买入”评级。风险提示IDC业务发展不及预期；钢铁原材料价格上涨。,,国金证券,买入,[None],2022-04-24,,买入,4822259,pdf_downloads/2022/2022-04-24/600126-杭钢股份（600126）：Q1盈利环比改善，IDC业务发展迅速.pdf,600126,杭钢股份,杭钢股份（600126）：Q1盈利环比改善，IDC业务发展迅速
倪文祎,事件	公司8月20日发布2021半年报，上半年实现营收254.6亿元，同比增长89.79%；实现归母净利润9.86亿元，同比增长159.24%。	评论	受益钢材价格上涨，大力推进产品高端化。受益于疫情后下游需求复苏，钢材价格大幅上涨，Q2单季度公司实现归母净利润6.27亿元，同比增长163.77%。上半年生产焦炭54.09万吨、铁水210.77万吨、板坯223.93万吨、热卷产量为226.65万吨，产量与去年同期持平。公司深化“1+3+α”产品战略，优质特色产品占比达54.6%，同比增长6.8个百分点，研发投入同比增长110%，上半年培育试制新钢产品超过10种，致力发展高毛利钢产品。	持续发挥区域优势，降本增效显著。公司通过技术改造，节能降耗控制成本，超低排放项目进展较快，2号高炉改造预计下半年可完成，上半年同口径降低成本费用5486万元，实现政策利用创效9511万元，二氧化硫排放量下降30.7%、颗粒物排放量下降12.6%、氨氮排放量下降74%、总氮排放量下降5.9%，吨钢能耗降低1.53%。上半年收购紫达物流，进一步控制商贸业务的运输成本。	IDC业务稳步推进。2021年4月，公司收购杭钢集团数据公司100%股权，拓展机柜数量1500个，与杭钢云计算数据中心一期项目运营同步运营，目前拥有自营机柜5500个。浙江云计算中心一期项目于2020年7月开始建设，项目包括5栋数据中心，预计年底可部分交付一栋投入使用。公司利用自有资源发展IDC业务，具有土地位置及土地储备优势；拥有18.26万吨标准煤能耗指标，已有变电站可为数据中心提供独立电源；IDC机房距市区较近，潜在用户群体丰富。同时公司作为国企在建设“政务云”方面优势明显，未来发展值得期待。	盈利预测&amp;投资建议	预计2021-2023年公司归母净利润分别为18.51亿元、19.83亿元、21.09亿元，实现EPS分别为0.55元、0.59元、0.62元，维持“买入”评级。	风险提示	IDC业务发展不及预期；钢铁原材料价格上涨。,,国金证券,买入,[None],2021-08-22,,买入,4595102,pdf_downloads/2021/2021-08-22/600126-杭钢股份（600126）：钢铁业务盈利符合预期，IDC业务稳步推进.pdf,600126,杭钢股份,杭钢股份（600126）：钢铁业务盈利符合预期，IDC业务稳步推进
倪文祎,事件公司公告，拟投资设立全资子公司浙江云计算数据中心有限公司，投资39.79亿元，与浙江天猫合作建设浙江云计算数据中心项目，并由浙江天猫承租数据中心机柜资源。分析牵手天猫，浙江云计算数据中心项目落地。此次项目全资子公司由公司以现金方式出资，出资比例100%，投资39.79亿元。该全资子公司设立完成后，将作为实施运营主体，建设浙江云计算数据中心项目，并拟与浙江天猫合作，拟由浙江天猫承租数据中心机柜资源。项目分两批建设，公司将在2021年底交付一期项目的第一栋数据中心，一期项目财务内部收益率为10.33%；二期项目财务内部收益率为10.42%。公司在此前异动公告中已披露了部分内容，此次公告内容包括项目规划等更为详实，我们认为有所超预期：近40亿元全部现金方式且控股100%。前期市场对项目合作的持股比例有所疑虑，100%控股打消顾虑。同时，40亿规模投资全部自有资金，不涉及再融资摊薄等问题，现有货币资金近70亿，也体现了我们前期强调的“钢厂IDC”的资金优势。深度绑定互联网大佬。公告内明确提出“项目采用浙江天猫提供的设计、建设、运营标准体系，建设两个高标准绿色数据中心”，且浙江天猫将承租一期项目数据中心，判断杭钢得天独厚的资源优势正是阿里所看中的，也不排除未来有更深度合作的可能性。重申公司参与IDC竞争优势明显。1）土地位置及土地储备优势。半山基地关停后，集团自留地块占地面积1743亩，储备40万平大跨闲置厂房；2）能源供应优势。已有变电站可为数据中心提供独立电源，还有1座天然气母站。3）政策及客户优势。公司作为国企在建设“政务云”方面优势明显。盈利预测&amp;投资建议预计公司20-22年实现归母净利润9.28亿元、10.40亿元、11.42亿元，对应PE分别为38倍、34倍、31倍。维持“买入”评级。风险提示增发进度低于预期，钢铁业务盈利不达预期拖累短期业绩。,,国金证券,买入,[None],2020-07-02,,买入,4274143,pdf_downloads/2020/2020-07-02/600126-杭钢股份（600126）：牵手天猫，打开IDC未来发展空间.pdf,600126,杭钢股份,杭钢股份（600126）：牵手天猫，打开IDC未来发展空间
胡皓,"杭钢股份(600126)IDC业务加速公司业务升级，公司全力打造国内领先的数据中心公司业务为钢铁及其压延产品的生产和销售，目前正积极转型进行产业升级。公司IDC业务是公司“数字经济”业务的主要内容。公司一期IDC1,500余个机柜2019年末投产后已经售罄。公司二期项目首批5,000余个机柜预计在2020年中投产，其余批次机柜也预计在2020年完成建设。同时公司与大型互联网企业合作拓宽业务发展规模。公司中短期内机柜保有数量预计突破2万个，公司向全国一流的IDC运营企业看齐。钢铁企业内核具备快速发展IDC业务优势。公司依托大型国企优质资源，紧扣公司用电、用水、用地等的便利条件，加速发展IDC业务。公司利旧原有钢铁厂房IDC建设周期短，便于业务落地。同时公司手握18.26万吨标准煤能耗指标，能有力支撑2万余个5KW标准机柜的投产。在一线城市能耗环评指标趋紧的形势下，公司预计成为IDC行业内的稀缺标的。行业发展向上，“新基建”助力IDC行业发展国内数据流量不断增长，数据量指数级增长趋势不变。“新基建”政府侧预计为IDC行业注入1,000—1,300亿投资规模。4月1日高层领导在浙江调研时再次强调加速数据中心建设，行业景气度再度提升。同区域内IDC核心机房资源紧缺，公司设备高品质，售价有溢价权公司所在区域内，数据中心核心机房上架率超过80%，部分机房上架率超过90%。行业需求旺盛，大型互联网商、金融机构、电信运营商高品质IDC机柜供不应求，公司产品稀缺性有保障。公司距市中心半小时车程，IDC机房是国内罕见的位于“内环”以内的大型IDC基地。公司按T3+行业高标准进行机房建设。一期项目机柜销售情况乐观，后期设备预计复制一期项目成功经验，成为大型IDC三方运营商。盈利预测、估值与评级我们预计IDC业务在2020年、2021年、2022年将为公司带来4,000万元，1.7亿元，2.7亿元增量收入，对应年份净利润为10.46亿元、11.55亿元，13.07亿元。对应EPS为0.28、0.31、0.35。首次覆盖给予强烈推荐评级。风险提示：与战略合作伙伴的订单落地不达预期的市场风险。",,诚通证券,强烈推荐,[None],2020-05-27,,买入,4250984,pdf_downloads/2020/2020-05-27/600126-杭钢股份（600126）首次覆盖报告：IDC业务拉动盈利增长，数字化转型助力估值抬升.pdf,600126,杭钢股份,杭钢股份（600126）首次覆盖报告：IDC业务拉动盈利增长，数字化转型助力估值抬升
倪文祎,杭钢股份(600126)事件公司公告，拟向商贸集团发行股份购买冶金物资85%股权、杭钢国贸85%股权，支付现金购买冶金物资剩余15%股权、杭钢国贸14.5%股权；向东菱股份发行股份购买东菱商贸100%股权；向富春公司支付现金购买其下属商贸业务板块经营性资产及负债，标的资产合计作价31.15亿元；发行4.02亿股，发行价格5.61元/股，此外现金支付金额为8.61亿元。经营分析评估工作完成，拟实现集团金属品及原燃材料贸易板块核心资产整体上市。此次为公司2019年中定增收购事项的顺利推进，相关标的资产主要从事大宗商品贸易业务，冶金物资、杭钢国贸、东菱股份、富春公司2019年净利润分别为1.14亿元、1.59亿元、0.05亿元、0.28亿元，贸易类资产总体盈利较为稳定。若交易2020年实施完毕，上述资产2020-2022年盈利预测为4.83亿元、5.03亿元、5.19亿元，估值水平在6-7倍PE，总体有望增厚一定业绩，并与现有的钢铁业务形成产业链延伸、补充与完善。关注与天猫合作进展。公司在前期异动公告中提示，与浙江天猫在杭州市签订了关于共建浙江云计算数据中心项目合作框架协议，项目拟选址的杭钢半山基地土地，投资规模和金额、具体合作方、进程安排、分配方案、退出机制等具体事项均尚未确定。上述意味着公司IDC业务市场开拓顺利推进中，且钢厂IDC模式得到进一步验证。公司IDC一期有望于下半年投运。目前公司云计算数据中心合计9670个机柜，一期4000个机柜预计下半年前建成投运。公司参与IDC竞争优势明显：1）土地位置及土地储备优势。杭州土地资源紧缺，半山基地关停后，集团自留地块占地面积1743亩，储备40万平大跨闲置厂房；2）能源供应优势。已有变电站可为数据中心提供独立电源，还有1座天然气母站。3）政策及客户优势。公司作为国企在建设“政务云”方面优势明显。盈利预测&amp;投资建议预计公司20-22年实现归母净利润9.28亿元、10.40亿元、11.42亿元，对应PE分别为31倍、28倍、25倍。维持“买入”评级。风险提示增发进度低于预期，钢铁业务盈利不达预期拖累短期业绩。,,国金证券,买入,[None],2020-05-25,,买入,4249185,pdf_downloads/2020/2020-05-25/600126-杭钢股份（600126）：贸易资产拟整体上市，打造钢铁+IDC双轮驱动.pdf,600126,杭钢股份,杭钢股份（600126）：贸易资产拟整体上市，打造钢铁+IDC双轮驱动
倪文祎,业绩简评公司发布2020年一季报，报告期内，实现营收59.10亿元，同比减少9.36%；归属于上市公司股东的净利润1.42亿元，同比减少67.33%。经营分析疫情影响，钢铁产品量价齐跌。根据公司发布的一季度经营数据，受到疫情导致下游复工复产推迟的影响，公司热卷产品Q1产销量分别为105.06万吨、108.47万吨，同比分别下降11.15%、9.85%；同时，需求推后导致钢价下跌，热卷销售价格较去年同期下跌2.6%。关注与天猫合作进展。公司在前期异动公告中提示，与浙江天猫在杭州市签订了关于共建浙江云计算数据中心项目合作框架协议，项目拟选址的杭钢半山基地土地，投资规模和金额、具体合作方、进程安排、分配方案、退出机制等具体事项均尚未确定。上述意味着公司IDC业务市场开拓顺利推进中，且钢厂IDC模式得到进一步验证。公司IDC一期有望于20H1投运。目前公司云计算数据中心合计9670个机柜，预计一期4000个机柜今年下半年前建成投运并产生利润。我们认为公司参与IDC竞争优势明显：1）土地位置及土地储备优势。杭州土地资源紧缺，半山基地关停后，集团自留地块占地面积1743亩，储备40万平的大跨闲置厂房可用于改造；2）能源供应优势。已有变电站可为数据中心提供独立电源，还有1座天然气母站。3）政策及客户优势。公司作为国企在建设“政务云”方面优势明显，同时，杭州地区拥有包括像阿里等大批潜在用户群体，IDC需求量大，未来发展值得期待。盈利预测&amp;投资建议原盈利预测未考虑IDC部分，目前考虑一期机柜下半年交付使用，预计今年内产生盈利较少，IDC主要利润有望在21年、22年体现，预计机柜数量分别为0.4万、0.96万、1.5万个。基于以上调整明、后年盈利预测，主要增量来自IDC部分。预计公司20-22年实现归母净利润9.28亿元、10.40亿元、11.42亿元，同比增长1.11%、12.06%、9.80%，对应PE分别为27.4倍、24.4倍、22.2倍。维持“买入”评级。风险提示增发进度低于预期，钢铁业务盈利不达预期拖累短期业绩。,,国金证券,买入,[None],2020-04-27,,买入,4225165,pdf_downloads/2020/2020-04-27/600126-杭钢股份（600126）：疫情致钢铁业务下滑，继续看好公司IDC发展.pdf,600126,杭钢股份,杭钢股份（600126）：疫情致钢铁业务下滑，继续看好公司IDC发展
倪文祎,杭钢股份(600126)投资逻辑“钢铁+X”业务模式，再布局IDC数字经济。公司2015年通过资产置换方式并入宁波钢铁及环保相关资产，2019年收购集团IDC资产，转型数字经济，目前业务涵盖环保、钢铁、贸易、再生资源及IDC等多个领域，而钢铁业务仍是主要利润来源。公司大股东为杭钢集团，实控人为浙江国资委。IDC一期有望于20H1投运。根据公司《关于变更部分募集资金投资项目的公告》，通过变更2015年前次增发募投项目资金收购云计算数据中心100%股权并增资。合计9670个机柜，预计一期4000个机柜今年上半年前建成投运并产生利润。如何看待杭钢涉足IDC的竞争优势。IDC行业所需的能耗指标与占地规模与钢铁行业有着共通点，诸如杭钢这类钢企从项目用地、能源供应、资金实力、政策和客户优势等（注：土地、能耗指标权属仍在集团），都有着强大的资源优势，甚至一定程度上已经超过了大部分IDC运营商积累多年的资源，未来发展值得期待。IDC业务盈利测算。根据公司公告的通信机房按单机架租金收入模拟测算，参考国内运营商IDC机房机架定价行情，平均功耗为5.0kW的单机架租金情况为6000-9000元/架/月左右，项目租金每个5Kw机架收入按7.4万元/年。同时，我们参考IDC业务可比公司宝信软件等，单机柜年租金9万左右。假设公司单机柜年租金8-9万左右，毛利率45-50%，单机柜盈利2万元，0.96万机柜，对应年利润2亿元左右。盈利预测&amp;投资建议19年业绩受原料价格大幅上涨影响出现下滑，在不考虑IDC情况下，预计公司19-21年实现归母净利润9.16亿元、9.31亿元、9.36亿元，同比增长-52.7%、1.7%、0.6%，对应PE分别为23.1倍、22.8倍、22.6倍。公司钢铁业务稳定利润在9-10亿元，给予行业平均估值10XPE；环保业务参考可比公司碧水源，稳定利润在1亿元，给予30XPE。综合对应市值130亿左右。IDC估值参考可比公司宝信软件等，给予60倍PE，对应市值120亿左右。给予公司目标市值250亿元，首次覆盖给予公司“买入”评级。风险提示增发进度低于预期，钢铁业务盈利不达预期拖累短期业绩。,,国金证券,买入,[None],2020-03-03,,买入,4177977,pdf_downloads/2020/2020-03-03/600126-杭钢股份（600126）：收购集团IDC资产，转型数字经济.pdf,600126,杭钢股份,杭钢股份（600126）：收购集团IDC资产，转型数字经济
