author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘俊,边文姣,苗雨菲",2026年2月02日│中国内地 电源设备 三一重能发布2025年业绩预告，预计2025年净利润6.8亿元到8.8亿元（低于Wind一致预期17.26亿元），同比减少51.43%到62.47%，扣非净利润为4.15亿元到6.15亿元，同比减少61.44%到73.98%。我们认为公司净利润不及预期的主因或在于：1）市场和行业高估了24年存量低价国内陆风订单的消化进度，25Q4仍存在低价订单对利润的拖累；2）136号文出台后导致国内风场转让利润减薄；3）海风项目涉及通航、国防等敏感因素，公司450MW海风项目（石碑山200MW+祥云岛250MW）已于25年开工，确收节奏存在不确定性。向后展望，我们认为行业于2026年迎来周期向上主升浪的预期不变，在1）2025年订单价格回暖，于26年交付兑现利润修复；2）海外项目在美元贬值和降息周期中交付节奏加速；3）国内海风+海外需求起量下，看好公司展现利润弹性。维持“买入”评级。订单价格修复映射26年风机业务或将盈利反转风电项目往往从中标到交付具备1年左右延迟，约70%的2025年订单或将于26年落地，我们看好在行业价格修复+装机景气下带动公司风机业务扭亏。根据国能能源研究院的国央企中标价格统计，2025年1-12月陆上风电（含塔筒）均价1933~2248元/kW，高于2024年同期1894元/kW的价格中枢；陆上风电（不含塔筒）均价1385~1701元/kW，大部分月份高于2024年同期1513元/kW的价格中枢，节奏上25H1抑、25Q3扬，11~12月份因为大兆瓦招标渗透率走高导致单价有所走低。我们重申25年风机价格回归理性有望兑现为26年毛利修复，叠加零部件（尤其是大兆瓦）偏紧下具备大叶片产能的公司有望率先兑现利润弹性。宏观环境有利于海外电站落地，交付节奏有望加速海外项目业主主要以美元进行投资，因此美元升值周期结束和降息周期延续对海外项目的投资落地有利。考虑到截至8月28日公司在手海外风机订单价值超100亿元，25年海外已累计新增订单超2GW，我们看好宏观环境利好或推进今年海外风机交付节奏加速兑现利润。利率方面，全球降息周期仍未结束，华泰宏观组认为2026年美国仍有降息空间，在1月26日报告《1月FOMC前瞻：暂缓降息，关注候任主席人选》中重申联储或于新任主席年中上任后再降息1-2次。货币方面，1月美元指数走弱，美元指数下跌 1.2%至 97.1，宏观组2月1日报告《“噪音”扰动不改全球需求改善趋势》提出特朗普政府呵护资本市场以及广义流动性的取向不变，货币政策总体取向仍然（相对经济的强度）偏宽松。盈利预测与估值考虑到24年存量低价订单落地节奏拉长或对公司乃至行业25Q4业绩扰动超出我们预期，叠加136号文政策的出台或导致公司25Q4电站收益缩水，我们下调公司25年归母净利预测60%至7.37亿；我们下调26年国内陆风、海风和风场出货预期，上调海外风机出货预期，下调26-27年归母净利预测32%/23%至18.95/26.14亿（2025-27预测前值为18.54/27.93/34.11亿元），2025-27年归母净利润同比-59%/+157%/+38%，EPS为0.60/1.55/2.13元。我们参考公司过去一年（2025年2月5日-2026年1月30日）EV/EBITDA倍数中枢11.2，给予公司2026年11.2倍EV/EBITDA估值（前值为11倍），下调目标价为31.74元（前值为38.09元），维持“买入”评级。风险提示：行业竞争加剧，政策落地不及预期，原材料价格上涨风险。,,华泰证券,买入,[None],2026-02-02,,买入,8382004,pdf_downloads/2026/2026-02-02/688349-三一重能（688349）：低价订单包袱拖累FY25业绩.pdf,688349,三一重能,三一重能（688349）：低价订单包袱拖累FY25业绩
"曾韬,黄林","事件:25Q楀蘡閻逸-3公司营收144.51亿元，同比+59.36%，归母净利润1.22亿元同比-82.21%辘，扣非净利润-0.13亿元，由盈转亏。2503公司单季营收58.57亿元，同比+54.64%，环比-8.58%，归母净利润-0.88亿元，扣非净利润-1.12亿元，由盈转亏，不及预期。短期承压，看好盈利修复。我们估计受风机中标低价订单以及无风场销售影响，风电项目整体业绩承压。Q3低价订单基本交付完毕，25年公司风机中标价格较去年提升约5%，Q4风场加速出售，我们预计25Q4及26年公司有望受益于价格回升和成本下降，盈利改善可期。海外扩张加速。公司在海外加速扩张，1)布局方面，公司收购罗马尼亚目前在建最大光储混合项目之一。2)产能方面，公司印度工厂在今年已实现稳定交付，哈萨克斯坦工厂已进入试生产阶段。3)订单方面，公司已获得来自欧洲西班牙、德国的订单,中亚订单显著增长，其他新兴市场项目也正同步推进。公司海外在手订单价值已超100亿元，预计2026海外出货超1GW，我们认为海外盈利高于国内，加速出海有望提振盈利。海风陆续交付。25年来陆续获粤电石碑山200MW、河北建投祥云岛250MW海上项目订单，下半年开始交付。10月10日，公司成立海上风电子公司，进一步推进海风建设。十五五规划建议稿提出，积极稳妥推进和实现碳达峰，坚持风光水核等多能并举。《风能北京宣言》明确提出十五五风电新增装机120GW/年，海风15GW年，公司加速布局海风，有望受益行业高景气。投资建议:我们预计公司2025/2026年营收217.72亿元/237.84亿元，归母净利润13.5擂8亿元/22.23亿元，EPS为1.11元/1.81元，对应当前股价的PE为25.43倍/15.48倍，维持“推荐”评级。风险提示:行业竞争加剧风险的风险;海风市场开拓不及预期的风险。",,银河证券,推荐,[None],2025-11-15,,买入,7858000,pdf_downloads/2025/2025-11-15/688349-三一重能（688349）：25Q3业绩点评：风机触底承压，双海有望提振盈利.pdf,688349,三一重能,三一重能（688349）：25Q3业绩点评：风机触底承压，双海有望提振盈利
"刘俊,边文姣,苗雨菲","2025年10月31日│中国内地 电源设备 三一重能发布三季报：公司2025Q3实现营收58.6亿元，同比+54.6%，归母净利润亏损0.88亿元，同比-135.1%；2025年前三季度累计营收144.5亿元，同比+59.4%，归母净利润1.22亿元，同比-82.2%。公司业绩短期承压主要系2024年中标的低价订单于报告期交付所致。考虑到24年风机中标价格低点已经确立，公司前三季度陆续交付在手低价订单逐步摆脱包袱，我们认为公司盈利拐点明确，Q3亏损或确认阶段性底部。展望后续，行业方面，我们看好在风机需求增长叠加价格内卷竞争结束带动下，风电产业链盈利能力有望进入恢复周期；公司方面，Q4进入行业传统交付高峰期，高毛利率的海外订单或将兑现利润厚度，24年存量低价订单扰动亦有所减弱，看好Q4业绩环比修复。维持“买入”评级。9月国央企中标价格年内新高，看好产业链进入盈利恢复周期央企中标规则修改下行业低价竞争现象基本消失，根据风电头条，9月央国企陆上风电中标均价上行，含塔筒/不含塔筒均价分别为2,142/1,658元/kW，价格波动区间分别为1,636~2586元/kW、1,522~1,840元/kW，为年内均价最高/第二高。前三季度整体来看含塔筒均价趋于平稳，不含塔筒均价先抑后扬，且价格波动趋稳。整体招标情况来看，在2024年6月陆风招标价格（不含塔筒）探底至1,133元/kW 后，2024Q4投标价回升至1,400+元/kW，至2025年8月逐渐爬升企稳至1,500+元/kWh，1200元/kW的成本线获得维护。我们认为在风机价格回归理性、风机毛利修复下，整机厂盈利重心有望将从风场资产转让重新回归风机制造，看好整机业务利润弹性。“十五五”+《风能北京宣言2.0》提振远期信心政策端，国家发展改革委党组书记、主任郑栅洁在对二十届四中全会精神解读中提到到“十五五”末新增用电需求绝大部分由新增清洁能源发电量满足，并将重点推进西北风电光伏和海上风电等清洁能源基地建设；产业端，10月20日风能企业联合发布《风能北京宣言2.0》，为中国风电设定合理的发展目标：“十五五”期间年新增装机不低于120GW，其中海风不低于15GW，确保2030年累计风电装机达1300GW（截至25年9月底累计装机为582GW）；2035/2060年累计装机不低于2000/5000GW，我们测算对应“十六五”/2035-60年期间年新增装机不低于140/120GW。（详见25年10月26日发布报告《《风能北京宣言2.0》发布，夯实国内风电需求预期》）盈利预测与估值考虑到25年前三季度存量低价订单对公司业绩释放的扰动超出我们预期，我们下调公司25年归母净利预测8.1%至1.85亿，我们看好国内行业量利修复、公司“双海”业务兑现加速，上调26-27年归母净利预测+6.0%/+4.1%至27.93/34.11亿，同比+2.3%/+50.7%/+22.1%，对应EPS为1.51/2.28/2.78元（归母净利预测前值为20.28/26.36/32.76亿元）。我们预计公司将于2026年脱离低价订单影响，出海和海风业务的收入也将迎来释放带动盈利，因此我们认为2026年估值更客观体现公司的业绩弹性价值。我们参考过去1年平均EV/EBITDA倍数中枢，给予公司2026年11倍EV/EBITDA估值，上调目标价为38.09元（前值为38.01元，对应2025年11倍EV/EBITDA估值），维持“买入”评级。风险提示：行业竞争加剧，政策落地不及预期，原材料价格上涨。",,华泰证券,买入,[None],2025-11-01,,买入,7192292,pdf_downloads/2025/2025-11-01/688349-三一重能（688349）：Q3阶段性盈利底部明确.pdf,688349,三一重能,三一重能（688349）：Q3阶段性盈利底部明确
"曾朵红,郭亚男,胡隽颖",事件：公司25年Q1-3营收144.5亿元，同比+59.4%，归母净利润1.2亿元，同比-82.2%，扣非净利润-0.1亿元，同比-102.1%，毛利率8.1%，同比-7.5pct，归母净利率0.8%，同比-6.7pct；其中25年Q3营收58.6亿元，同环比+54.6％/-8.6％，归母净利润-0.9亿元，同环比-135.1%/-122％，扣非净利润-1.1亿元，同环比-150.3%/-135.3％，毛利率4.4%，同环比-10.5/-7.6pct，归母净利率-1.5%，同环比-8.1/-7.8pct。风机毛利率短期承压：25Q3公司出货4GW，环比增长24%；我们预计风机毛利率约4.4%，降幅较大主因是：1）低价单交付；2）9~11MW机型交付比例达45%，该类机型毛利率表现低，而5~6MW毛利率仍能维持在7%以上。从当前风机开标结果来看，整体风机价格同比上升5%以上，公司层面风机价格上升中位数处于7%，我们判断25年公司风机毛利率短期承压，26年有望享受涨价+成本下降的双重盈利弹性。此外，25Q3无风场转让，全年仍维持1GW+的转让目标。费用率同比继续下降：公司25年Q1-3期间费用14.9亿元，同比+19.5%，费用率10.3%，同比-3.4pct，其中Q3期间费用5.3亿元，同环比+22.5%/+11.6%，费用率9.1%，同环比-2.4/+1.6pct；25年Q1-3资本开支8.9亿元，同比-39.5%，其中Q3资本开支2.4亿元，同环比-53.4%/-10.1%；25年Q3末存货96.4亿元，较年初+86.8%。此外，公司计提资产减值损失-1258万元、信用减值冲回1444万元。盈利预测与投资评级：考虑公司风机毛利率表现不及预期，且风电场电价存在下行的可能性，从而影响公司风机及风场转让业务的盈利，我们下调25~27年盈利预测，预计25~27年归母净利润为13.9/23.6/29.4亿元（前值为21.3/26.6/31.6亿元），同比-23.0%/+69.2%/+24.7%，基于公司成本控制优势凸显，26年有望展现盈利能力弹性，同时双海战略进入加速期，有较大上升空间，维持“买入”评级。风险提示：需求不及预期，竞争加剧。,,东吴证券,买入,[None],2025-11-01,,买入,7135129,pdf_downloads/2025/2025-11-01/688349-三一重能（688349）：风机毛利率短期承压，看好26年盈利能力弹性.pdf,688349,三一重能,三一重能（688349）：风机毛利率短期承压，看好26年盈利能力弹性
袁玮志,投资要点： 公司公布2025 年半年报，业绩承压。2025H1 公司实现营收85.94 亿元，同比+62.75%；归母净利润2.10 亿元，同比-51.54%；扣非归母净利润0.99 亿元，同比-74.38%。盈利能力下滑。上半年毛利率10.56%，同比-5.45 个百分点，上半年净利率2.44%，同比-5.77 个百分点。费用结构优化明显。上半年费用率11.11%，同比-4.22 个百分点，其中销售、管理、研发和财务费用率分别为3.45%、3.51%、4.28%、-0.13%，同比-1.69/-1.40/-2.78/+1.65 个百分点。 Q2 业绩大幅改善，盈利能力环比改善。2025Q2 营收64.07 亿元，同比+80.35%，环比+192.93%；归母净利润4.01 亿元，同比+139.20%，环比+309.85%； 扣非归母净利润3.19 亿元， 同比+110.71%，环比+245.38%。Q2 毛利率11.95%，同比-2.28 个百分点、环比+5.45 个百分点；Q2 净利率6.26%，同比+1.54 个百分点、环比+15.01 个百分点。 订单饱满，海外市场表现亮眼。1）风机业务增长迅速。2025 年上半年，公司风力发电机组制造类产品营业收入64.07 亿元，同比+30.32%；毛利率4.65%，同比-10.48 个百分点。在风电周期共振与政策催化共振下，2025 年上半年掀起风机抢装潮；下游需求旺盛带动装机持续攀升，推动公司上半年营业收入大幅增长。风机制造的盈利能力呈阶段性回落，主要因部分交付订单毛利偏低：公司在2024 年风机招标价格下探期中标的项目在2025 年上半年陆续交付，压低整体利润水平。2）海外市场拓展势头强劲。2025 年上半年，公司国际市场营收2.33 亿元；毛利率20.21%，同比-52.2 个百分点，但仍然显著高于国内风机业务的毛利率；同时，2025 年上半年公司新增海外订单1GW，截止公告日，2025 年海外新增订单已超过2GW，同比大幅增长；在手订单价值已超100 亿元。3）在手订单饱满，海风项目获得突破。2025 年上半年，公司在手订单超过28GW，创历史新高；中标订单价格回升显著，在手订单充沛。此外，报告期内公司斩获粤电石碑山200MW 海风机型项目、河北建投祥云岛250MW 海风项目，实现了海上风机订单的重要突破。 盈利预测及评级。我们预计公司2025-2027 年收入250/280/320 亿元，归母净利润16.93/23.60/28.08 亿元，EPS 为1.38/1.92/2.29 元，对应PE 为21.11/15.15/12.73 倍。给予2026 年15-20倍，目标价格28.86-38.48元，首次覆盖给予公司“买入”评级。 风险提示： 原材料价格上涨，海外市场拓展不及预期，下游需求不及预期。,,财信证券,买入,[None],2025-09-10,,买入,6416480,pdf_downloads/2025/2025-09-10/688349-三一重能（688349）：Q2业绩大幅改善，海外市场表现亮眼.pdf,688349,三一重能,三一重能（688349）：Q2业绩大幅改善，海外市场表现亮眼
"王蔚祺,王晓声,袁阳","2025年上半年业绩2.1亿元，同比-52%。2025年上半年，公司实现营业收入85.9亿元，同比+63%；归母净利润2.1亿元，同比-52%；扣非归母净利润1.0亿元，同比-74%；综合毛利率10.6%，同比-5.4pct；净利率10.3%，同比+2.1pct。单季度来看，2025年第二季度公司实现营业收入64.1亿元，同比+80%，环比+193%；归母净利润4.0亿元，同比+139%，环比扭亏为盈；扣非归母净利润3.2亿元，同比+111%，环比扭亏为盈；综合毛利率11.9%，同比-2.3pct，环比+5.5pct；净利率6.3%，同比+1.5pct，环比+15.0pct。风机销售收入快速增长。2025年上半年风机销售/电站产品/发电业务/风电服务分别实现收入64.1/18.3/0.83/1.83亿元，同比+30%/不可比/-36%/+26%；毛利率分别为4.6%/28.8%/67.8%/3.8%，同比-10.5/不可比/-1.4/+11.8pct。风机销售在手订单充裕。2025年上半年风机对外销量4.72GW，同比+44%；销售均价1358元/KW，同比-132元/KW。订单方面，上半年新增海外订单1GW，新增国内海风订单450MW；截至第二季度末，公司国内外在手订单超过28GW。电站业务稳步推进。2025年上半年公司新增并网风场规模460MW；截至第二季度末，公司在建风场容量约为2.9GW。随着各省陆续落地“136号文”实施细则，风电场项目投资回报及收益模式确定性提高，下半年风电场转让节奏有望加快。海外市场拓展持续推进。2025年上半年公司海外新增订单1GW，截至中报发布日海外新增订单已超过2GW,在手订单金额超过100亿元。订单分布上，在深耕亚太市场的同时，公司在拉美地区、欧洲地区均有订单收获，公司品牌的海外影响力逐步提升。风险提示：电站开发节奏不及预期；海外市场开拓不及预期；整机行业市场竞争加剧；原材料价格上涨。投资建议：下调盈利预测，维持“优于大市”评级。考虑到前期低价订单陆续交付以及新能源上网电价市场化改革使风电场转让节奏放缓，我们下调2025-2026年盈利预测至21.3/26.8亿元（原预测为23.3/28.2亿元），新增2027年盈利预测35.0亿元，同比+17.6%/+25.7%/+30.6%。当前股价对应PE为17.1/13.6/10.4倍，维持“优于大市”评级。",,国信证券,优于大市,[None],2025-09-09,,买入,6407356,pdf_downloads/2025/2025-09-09/688349-三一重能（688349）：风机销量稳步增长，海外订单持续取得突破.pdf,688349,三一重能,三一重能（688349）：风机销量稳步增长，海外订单持续取得突破
"陈子锐,张磊","事件近日,三一重能发布2025年度中报。2025上半年，公司实现营业收入85.94亿元，同比提升62.75%，实现归母净利润2.10亿元，同比下降51.54%，实现扣非归母净利润0.99亿元，同比下降74.38%。2025年第二季度，公司实现营业收入64.07亿元，同比增加80.35%，实现归母净利润4.01亿元，同比增加139.20%，实现扣非归母净利润3.19亿元，同比上升110.71%。出货/订单创历史新高2025H1在陆风需求高景气的背景下，公司销售容量快速增长，达4.7GW，创历史同期最高水平。订单方面，报告期内行业竞争环境有所优化，中标价格显著回升，当前在手订单充沛，截至2025年6月底，公司在手订单超过28GW，创历史新高。双海加速布局海外方面，公司订单加速增长，2025H1，公司海外新增订单达1GW，截至公告日，公司2025年新增海外订单已超2GW，同比显著提升，在手订单规模已超100亿元。海风方面，公司取得订单突破，2025H1分别斩获粤电石碑山200MW、河北建投祥云岛250MW海风项目。展望未来，公司有望凭借良好的研发进展与产品储备，持续取得双海业务突破。投资建议考虑到市场竞争激烈，风场转让节奏或放缓，我们预计公司2025-2027年营业收入分别为235.3/278.9/331.5亿元，同比分别+32.2%/+18.6%/+18.9%；归母净利润分别为18.77/25.37/32.55亿元，同比增速分别为3.6%/35.1%/28.3%。EPS分别为1.5/2.1/2.7元，维持“买入”评级。风险提示：风电需求不及预期，市场竞争加剧，原材料价格波动",,国联民生证券,买入,[None],2025-09-09,,买入,6406409,pdf_downloads/2025/2025-09-09/688349-三一重能（688349）：双海加速布局，盈利环比改善.pdf,688349,三一重能,三一重能（688349）：双海加速布局，盈利环比改善
"曾韬,黄林",事件：8月28日，公司发布公告，25H2营收85.94亿元，同比+62.75%，归母净利润2.10亿元，同比-51.54%，扣非净利润0.99亿元，同比-74.38%。25Q2单季营收64.07亿元，同比+80.35%，环比+192.93%，归母净利润4.01亿元，同比+139.20%，环比扭亏为盈，扣非净利润3.19亿元，同比+110.71%，环比扭亏为盈。低价订单拖累风机盈利，26年有望修复。（1）风力发电机组制造营收64.07亿元，同比+30.32%，占比74.56%，毛利率4.65%，同比-10.48pcts，主要受2024年订单价格下降影响；25H1风机对外销售容量4.72GW，同比+44%，其中6.XMW及以上大兆瓦机型收入3.99亿元，占比46.70%，同比+60.0%；（2）电站产品销售营收18.33亿元，占比21.33%，毛利率28.77%。（3）发电营收0.83亿元，同比-35.60%，占比0.96%，毛利率67.85%，同比-1.41pcts。（4）风电建设服务营收1.83亿元，同比+26.29%，占比2.12%，毛利率3.81%，同比+11.76pcts。截至2025年6月底，公司在手订单超过28GW，创历史新高。我们认为随着25H2风机中标价格明显提升，叠加海上和海外市场毛利率优于国内陆风，公司持续降本增效，盈利有望修复。海外营收毛利高增，在手订单超百亿元。25H2公司实现海外营收2.33亿元，同比+804289.66%，毛利率20.21%，高于国内风机毛利率10.03pcts。25H2公司新增海外订单1GW，累计在手订单超2GW。25H2公司完成乌兹别克斯坦1GW绿地项目投资协议签署，塞尔维亚项目顺利推进，在东南亚获取绿地项目的开发权。截至2025年6月底，公司海外项目累计规模已超1.5GW。我们预计公司海外订单加速交付，有望持续提振盈利。海上风机实现突破，电站业务稳步推进。公司海上样机在渤海海域完成海上样机稳定运行，获粤电石碑山200MW、河北建投祥云岛250MW海上项目订单，实现海风业务突破，我们预计海风机组有望25H2进行发货。25H2公司有460MW自建风场成功并网，截至2025年6月30日，在建风场容量约为2.9GW，我们认为长期来看，绿电价值有望提升，风电电站整体收益乐观。25Q2盈利显著改善。25Q2毛利率11.95%，同比-2.28pcts/环比+5.45pcts。25Q2销售/管理/研发/财务费用率分别为2.35%/2.12%/3.18%/-0.19%，同比-0.15/-1.39/-2.05/+0.60pcts，环比-4.32/-5.43/-4.34/-0.24pcts，降本持续推进。2025Q2净利率6.26%，同比+1.54pcts/环比+15.01pcts。投资建议：公司国内订单充沛，海风及海外市场持续拓展，有望带动长期增长。我们预计公司2025/2026年营收217.72亿元/229.49亿元，归母净利润18.13亿元/24.58亿元，EPS为1.48元/2.00元，对应当前股价的PE为19.70倍/14.53倍，维持“推荐”评级。风险提示：行业竞争加剧风险的风险；海风市场开拓不及预期的风险。,,银河证券,推荐,[None],2025-08-30,,买入,6369037,pdf_downloads/2025/2025-08-30/688349-三一重能（688349）：25H1业绩点评：双海持续突破，25Q2盈利明显改善.pdf,688349,三一重能,三一重能（688349）：25H1业绩点评：双海持续突破，25Q2盈利明显改善
"刘俊,苗雨菲,戚腾元,马梦辰",2025年8月29日│中国内地 电源设备 公司发布半年报，2025年H1实现营收85.94亿元，同比+62.75%，归母净利2.10亿元，同比-51.54%。其中Q2实现营收64.07亿元，同比+80.35%，环比+192.93%，归母净利4.01亿元，同比+139.20%，环比+309.85%。公司2Q业绩同环比显著提升，主要系高毛利的电站产品销售放量，叠加风机产品减亏综合作用所致。向后展望，我们认为公司看点主要为：1）国内风机主业盈利向上拐点明确，受益于行业反内卷及业主招标策略调整风机招标价格已经体现回暖，低价订单交付后风机利润空间有望提升；2）“双海”战略成效显著，新成长曲线逐步兑现；3）风电场业务通过滚动开发模式稳步推进，体现优质资产优势。维持“买入”评级。风机出货+订单均创新高，高毛利电站产品业务稳固基本盘风机方面，公司1H25对外销售容量4.72GW，同比+44%，创历史同期新高；订单亦取得突破，1H25公司在手订单超过28GW。受益于行业反内卷及业主招标策略调整，2025年以来国央企陆风风机中标最低价格具备上浮趋势，从2025年1月1466元/kW（含塔筒，下同）逐步提升至7月的1695元/kW，我们看好随招标价格逐步修复，低价订单交付完毕后有望展现业绩弹性。风场方面，1H25电站产品销售业务实现营业收入18.33亿元，贡献毛利润5.27亿元，贡献公司1H25 58%的毛利润，对应毛利率为28.8%，成为重要利润来源。1H25公司460MW自建风场成功并网，在建风场容量约为2.9GW，有望持续兑现优质资源。“双海”战略逐步兑现，海外市场加速放量，海风实现项目突破海外方面，公司1H25新增海外订单1GW；截至8月28日半年报公告日，公司今年以来海外已累计新增订单超2GW；目前公司在手海外风机订单价值超100亿元，海外项目落地累计规模达1.5GW。目前海外项目已在利润端逐步兑现，1H25公司风机制造海外部分营收2.33亿元，毛利率达20.2%，较国内部分4.1%享受丰厚利润空间，我们看好后续随着海外风机交付的增加，推动公司综合利润率的改善。海风方面，1H25公司成功中标粤电石碑山200MW和河北建投祥云岛250MW两个海风项目，合计450MW，正式进入高壁垒的海风市场。盈利预测与估值基于整机厂商交付节奏、公司“双海”业务推进进度和我们对2H风机交付价格回暖的预期，我们维持公司25-27年归母净利20.28/26.36/32.76亿元（同比+11.9%/+30.0%/+24.3%），对应EPS为1.65/2.15/2.67元。我们预计公司将于2026年脱离低价订单影响，出海和海风业务或将带动盈利兑现，因此我们认为2026年估值更客观体现公司的业绩弹性价值。我们参考过去1年公司平均EV/EBITDA倍数中枢，给予公司2026年11倍EV/EBITDA估值，上调目标价为38.01元（前值为30.18元，对应2025年11倍EV/EBITDA估值），维持买入评级。风险提示：行业竞争加剧，政策落地不及预期，原材料价格上涨。,,华泰证券,买入,[None],2025-08-29,,买入,6367994,pdf_downloads/2025/2025-08-29/688349-三一重能（688349）：“双海”突破+价格回暖，弹性可期.pdf,688349,三一重能,三一重能（688349）：“双海”突破+价格回暖，弹性可期
姚遥,"业绩简评2025年8月28日公司披露半年报，上半年公司实现营收85.9亿元，同比增长62.8%；实现归母净利润2.1亿元，同比下降51.5%。其中Q2公司实现营业收入64.1亿元，同比增长80.3%，环比增长193%，实现归母净利润4.0亿元，同比增长139%，环比扭亏。经营分析低价订单集中交付，制造业务短期承压：上半年公司风机对外销售容量 4.72GW，同比增长约 44%，创历史同期最高水平；实现收入64.1亿元，同比增长30.3%，实现毛利率4.65%，同比下降10.4 pct，主要受2024年中标低价风机订单在上半年陆续交付影响。报告期内公司风机中标价格显著提升，叠加降本工作积极推进并取得良好成效，预计后续制造端毛利率有望逐步修复。海外业务小批量出货，订单获取加速：上半年公司海外风机实现销售收入2.3亿元，同时从毛利率来看，上半年海外风机毛利率为20.2%，显著高于同期国内约4。1%的风机毛利率。截止半年报披露时间，公司2025年海外新增订单超2GW, 同比大幅增长，在手订单价值超100亿元。在深耕亚太市场的同时，在拉美地区、欧洲地区均有订单收获，公司品牌的海外影响力逐步提升 收入高增规模效应渐显，期间费用大幅收窄：在上半年公司收入规模大幅增长的带动下，公司各项期间费用率实现大幅下降，上半年销售/管理/研发费用率分别为3.45%/3.51%/4.28%，分别同比下降1.69/1.40/2.79pct。考虑到下半年风电装机仍将维持高景气，预计全年期间费用改善趋势有望延续。盈利预测、估值与评级根据公司半年报及我们对行业最新判断，我们预测公司2025-2027年归母净利润分别为17.6、25.4、30.6亿元，对应PE为20、14、12倍，维持“买入”评级。风险提示竞争加剧风险；原材料价格波动。",,国金证券,买入,[None],2025-08-29,,买入,6364944,pdf_downloads/2025/2025-08-29/688349-三一重能（688349）：海外持续突破，费用大幅改善.pdf,688349,三一重能,三一重能（688349）：海外持续突破，费用大幅改善
