author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘佳昆,毛宇翔",投资要点：投资建议：25Q4公司收入102.5亿，同比+5.10%；归母净利7.6亿，同比+18.01%；扣非归母7.3亿，同比+13.29%。考虑公司经营近况，我们调整公司盈利预测，预计公司2025-2027年EPS为1.17/1.44/1.59元（原EPS为1.18/1.40/1.56），参考行业估值水平，给予公司2026年16 XPE，目标价为23.04元，维持“增持”评级。25Q4环比持续改善。分品类看，文化纸持续低位震荡，Q4双胶纸/双铜纸均价环比分别下跌212/419元，吨毛利环比分别下跌272/443元；箱板纸环比上涨307元，吨毛利环比上涨29元；溶解浆价格有所波动，下游采购量略有下降，但依托产品结构调整老挝基地成本优势，整体盈利能力维持稳定。Q4针叶浆/阔叶浆价格环比分别-195/+243元；煤炭成本略有上涨，抬高成本端压力。展望未来，当前文化纸价格及吨盈利均处于历史大底，未来随行业周期拐点可期。公司26年投资强度较25年明显下降。26年在建项目为130万吨，包括60万吨浆和70万吨箱板纸；43号特种纸机于26年1月投产，产能有望逐步释放。我们认为，展望Q1，阔叶浆外盘连续提涨，春节后随着成本传导及补库需求，文化纸集体发200提价涵，小阳春价格企稳可期；同时26年投产的60万吨浆项目利于能源平衡、浆纸平衡以降低成本，70万吨箱板纸项目生产效率优于现有4台纸机，投产后预计成本继续下降，推动业绩增长。中长期看，随着行业新增产能见顶，国内造纸供需格局改善，产业链价格水平有望逐步抬升，公司林浆纸一体化水平还在稳步提升，竞争优势有望扩大。风险提示。成本大幅波动，下游需求不及预期。,,国泰海通,增持,[None],2026-03-03,,买入,8472289,pdf_downloads/2026/2026-03-03/002078-太阳纸业（002078）：公司四季度点评：Q4符合预期，文化纸集体发布提价涵.pdf,002078,太阳纸业,太阳纸业（002078）：公司四季度点评：Q4符合预期，文化纸集体发布提价涵
"徐皓亮,童苇航",太阳纸业发布2025年业绩快报： 2025年公司实现营收391.84亿元（同比-3.79%），归母净利润32.58亿元（同比+5.05%），扣非归母净利润32.00亿元（同比-1.07%）；其中Q4公司实现营收102.48亿元（同比+5.10%），归母净利润7.58亿元（同比+18.01%），扣非归母净利润7.29亿元（同比+13.29%）。南宁新产能投产，2025Q4收入同比/环比分别增加5.10%/4.33%。价：25Q4双胶纸/铜版纸/箱板纸/瓦楞纸/阔叶浆（内盘）/针叶浆（内盘）吨均价环比分别变动-3.26%/-8.42%/+7.34%/+16.56%/+6.65%/-4.71%，文化纸价格承压，废纸成本支撑下箱板瓦楞纸价格走强。量：广西基地2条高档包装纸（南宁园区PM11和PM12）、4条生活用纸生产线（南宁园区PM16、PM17、PM18和PM19）、40万吨特种纸（南宁园区PM9）、35万吨化学浆、15万吨化机浆产线均于2025Q3-Q4投产，产能提升带动公司收入增长。在行业盈利承压背景下，太阳凭借产业链一体化布局叠加高效管控能力，盈利水平环比改善，α属性持续凸显。26Q1-Q2文化纸吨盈利有望逐季改善。文化纸方面：25Q4价格持续承压，叠加同期浆价上行，导致单吨盈利承压。展望2026年，行业主要在建产能为联盛浆纸（120万吨），五洲特纸（30万吨），新增产能占存量产能比例约为6%，文化纸产能或于2026-2027年达峰。晨鸣纸业于2月27日发布文化纸涨价函，成本支撑下涨价函有望落地，预期行业吨盈利在26Q1-Q2逐季改善。箱板纸方面：废纸系纸价在26年1月跌到低位，26年初以来下游库存去化较好，叠加春节期间停产，预计价格传导情况会有所改善。近期玖龙纸业已提价50元/吨，26Q1行业吨盈利有望提升，叠加太阳纸业南宁新投产能释放，预计公司26Q1箱板纸盈利环比改善。木浆方面：2025年8月以来外盘阔叶浆价格持续走强，公司部分浆产品或转为自用，减少外采，平滑周期波动。近期Suzano宣布3月亚洲地区浆价提涨20美元/吨，浆成本持续上行背景下公司林浆纸一体化布局优势显著。特种纸方面：颜店14万吨特种纸项目二期或于26Q1投产，有望贡献利润增量。头部纸企降碳手段更丰富，有利于行业集中度提升。“十五五”为完成碳达峰目标的关键窗口期，造纸是碳排放重点行业之一。面对造纸行业将被纳入全国碳市场的预期，龙头企业已提前布局。例如，太阳纸业在山东基地投资的新项目中，明确配套建设碱回收及余热发电装置，并在广西基地已有相关生物质发电项目落地。另一方面，头部企业有能力通过提升绿电使用比例来降低碳排放。随着碳市场逐步覆盖工业主要排放行业，碳排放或将直接转化为企业的运营成本。成本压力或将迫使落后产能出清，从而使资源进一步向具备综合降碳能力的头部企业集中。投资建议：产能方面，南宁（二期）项目已于25H2投产，山东基地颜店厂区年产70万吨高档包装纸、年产60万吨漂白化学浆项目有望于26H2投产。公司产能建设有序推进，为业绩增长奠定基础。中长期看，伴随老挝林地规模提升、木片自给率提高，资源壁垒和成本优势有望持续深化。预计公司2025-2027年归母净利润为33/36/40亿元，对应PE估值为15X/13X/12X，维持“推荐”评级。风险提示：下游需求不及预期风险，行业竞争加剧风险，原材料价格波动风险,,国联民生证券,推荐,[None],2026-03-01,,增持,8465502,pdf_downloads/2026/2026-03-01/002078-太阳纸业（002078）：Q4盈利环比改善，龙头α属性凸显.pdf,002078,太阳纸业,太阳纸业（002078）：Q4盈利环比改善，龙头α属性凸显
"姜文镪,李晨",报告内容摘要:公司发布2025年业绩快报。全年实现收入391.84亿元（同比-3.8%），归母净利润32.58亿元（同比+5.1%），扣非后归母净利润32.00亿元（同比-1.1%）；单Q4收入实现102.48亿元（同比+5.1%），归母净利润7.58亿元（同比+18.0%），扣非后归母净利润7.29亿元（同比+13.3%）。根据我们判断，公司南宁项目Q4相继落地贡献显著增长，但受制于文纸价格低迷、原材料价格抬升，我们预计吨盈利环比或略有下滑，纸浆一体化贡献深厚利润基石。浆纸协同优势有望放大。海外产能收缩（印尼林地政策波动&amp;龙头减产），Suzano在3月加速提价（3月阔叶+20美金/吨，2月+10美金/吨）为纸浆周奠定挺价基调，考虑全球制造业复苏，我们预计26年纸浆挺价、涨价或将为主基调；我们判断浆纸行业25H2亏损加速下探，成本持续抬升下、涨价已成多数企业选择，结合春节消费回暖，我们判断3月小阳春纸张涨价落地概率较高、浆纸同涨周期有望展开。公司上游纸浆布局充沛，下行周期底层利润明确、上行周期产业链协同优势有望进一步放大。 我们判断公司Q1盈利底部蓄势、整体利润受益于销量增长有望小幅修复、后续逐季修复明确。文化纸、箱板纸均有望单吨盈利回暖。1）文化纸：海外浆厂25年8月起提价，但受制于供需压力，25Q4双胶/铜版价格环比分别-4.3%/-8.1%。当前节点浆厂报价仍在抬升，纸价底部保持平稳；行业盈利压力显著、后续大概率浆纸同涨，届时公司纸浆优化有望进一步放大。2）废纸：25Q4国废前期延续提升趋势、12月高位回落；纸企成本压力传导顺畅，Q4箱板/瓦楞均价环比分别+8.6%/+16.9%，我们判断公司包装纸系列Q4吨盈利温和改善、Q1有望维持平稳。南宁项目逐步落地，远期成长延续。2024年底公司合计产能已突破1200万吨，其中浆、纸产能分别合计达500万吨和729万吨。2025年山东颜店、南宁项目已相继落地。后续公司预计山东14万吨特纸项目二期26Q1试产，且新增山东60万吨化学浆/70万吨包装纸项目规划，浆纸长期成长延续。盈利预测：我们预计2026-2027年公司归母净利润分别为36.6、41.6亿元，对应PE为13.2X、11.6X。风险提示：需求复苏不及预期，成本超预期波动，产能投放不及预期。,,信达证券,,[None],2026-03-01,,,8465309,pdf_downloads/2026/2026-03-01/002078-太阳纸业（002078）：业绩边际向上，Q2浆纸同涨可期.pdf,002078,太阳纸业,太阳纸业（002078）：业绩边际向上，Q2浆纸同涨可期
赵中平,投资逻辑公司林浆纸一体化布局卓有成效，盈利表现穿越行业周期。公司核心优势源于林浆纸一体化+三大基地协同的成本护城河、产品/原料/工艺三重差异化与精细化运营控费，叠加产能与市场节奏精准把控，保持行业领先的盈利能力。2015-2024年，公司平均ROE为14.96%，单吨纸浆净利润为437元/吨，保持行业领先水平。公司把握行业走势能力出众，吨纸投资额较低，进一步强化较友商的折旧成本优势。纸浆供需格局有望好转，刺激纸价进入温和修复区间。国内纸浆投产已近尾声+海外新增浆产能有限，浆价有望持续修复，构成纸价上行的成本支撑。文化纸下游需求未有明显提升，且双胶纸仍有一定新增产能投放，预计后续供需矛盾短期内仍难有实质性缓解，纸企盈利关键在于上游深度布局林浆纸一体化、自制纸浆以增厚盈利空间。箱板瓦楞纸未来需求增长集中在对进口纸的替代+限塑令下环保纸包装需求增加上，头部纸企未来新增产能已较少，下游需求支撑作用明显，供需关系持续改善下纸价有望稳步上行。 前期规划产能持续落地，未来业绩增长已有较高确定性。25-27年，公司将有170万吨包装纸、47万吨文化纸落地投产。且公司自制浆保证原料供给，签订协议新产能优先供给核心客户，新产能投产无明显的亏损爬坡期，在纸浆价格有望进入温和修复区间的背景下，公司业绩增长已具备较高的确定性。自制浆集中投产保障高盈利，老挝林木建设贡献长期成本节约空间。25-27年，公司将有110万吨自制浆集中投产，进一步强化公司浆纸一体化优势，保证公司短期内盈利能力稳步提升。且公司自备热电保持300元/吨能源成本优势，热电联产审批趋严下优势更为凸显。公司老挝基地林木以每年1万公顷的新增面积稳步推进，木片价格较国内存在显著优势，长期看成本节约空间充足。盈利预测、估值和评级预计2025-2027年公司营业收入471.22/473.10/516.25亿元，同比+2.45%/+13.39%/+9.12%，归母净利润33.60/38.67/45.24亿元，同比+8.34%/+15.11%/+16.97%。考虑公司未来产能投放及林木建设已具备较高的确定性，给予公司2027年13XPE，对应目标价为21.04元。风险提示原材料价格波动；下游需求恢复不及预期；新增产能投放过于密集,,国金证券,买入,[None],2026-01-28,,买入,8370944,pdf_downloads/2026/2026-01-28/002078-太阳纸业（002078）：公司深度研究：深入布局林浆纸一体化，成长节奏明确可兑现.pdf,002078,太阳纸业,太阳纸业（002078）：公司深度研究：深入布局林浆纸一体化，成长节奏明确可兑现
"史凡可,曾伟",基本事件2025Q3公司收入98.23亿元，同比-6.01%，环比+6.6%，归母利润7.2亿元，同比+2.7%，环比-19.5%，扣非利润7.07亿元，同比-8.6%，环比-19.7%。25Q3浆纸下行拖累，盈利能力筑底细分纸种看：（1） 文化纸：25Q3需求承压，纸浆价格下降叠加晨鸣复产&amp;玖龙投产，行业供需格局恶化，文化纸跟随调整，25Q3双胶纸均价4944元/吨，环比下降5.7%，同比下降9.2%，展望Q4，近期公司发布提价函，考虑行业进入旺季叠加纸浆价格筑底开始提升，看好Q4提价落地。（2） 溶解浆：兖州20万吨溶解浆产线于2024年10月停产并搬迁至北海，搬迁期间无法生产，影响利润。25年5月公司完成溶解浆生产线的搬迁和升级改造工作，6月公司溶解浆已经稳定运行，虽广西生产成本具优势，但Q3需求压力下溶解浆价格下降明显，25Q3溶解浆均价6517元/吨，同比-16.8%%，环比-8.5%，预计对盈利能力产生影响，展望Q4纸浆价格提涨预计溶解浆将筑底，叠加领用成本降低，盈利预期改善。（3） 箱板纸：25Q3箱板3502元/吨（环比-0.5%）、瓦楞2644元/吨（环比+3.7%）；原材料方面国废1555元/吨（环比+7.1%），综合Q3箱板纸盈利仍有压力，近期行业涨价函频发，盈利能力有望修复。周期底部盈利能力稳健，林浆纸一体化优势突出25Q3毛利率14.07%，同比+0.1pct，环比-3.2pct，周期底部维持稳定，期间费用率5.6%，同比+0.01pct，其中管理与研发费用率4.2%，同比+0.2pct，财务费用率0.91%，同比-0.25pct，费用控制良好。优化浆纸产业链布局，林浆纸一体化熨平周期波动新增产能方面，南宁二期包装用纸（PM11/PM12），南宁二期40万吨特种纸配套35万吨化学浆及15万吨机械浆、南宁30万吨生活用纸二期工程均在加紧建设中，这些项目预计都将在25Q3-Q4进入试产阶段，其中化学浆生产线已经在9月27日投产，预计将为Q4贡献增量，此外随着公司老挝林地建设加速，木片自给率提升、深化原料配套壁垒，周期波动中盈利确定性更强。盈利预测与估值公司为多元化纸种、林浆纸一体化领先的造纸龙头，老挝基地木片资源壁垒深厚。 预计25-27年分别营收429.4/490.8/520.1亿元，同比分别+5%/+14%/+6%；归母净利润34.0/38.9/43.9亿元，同比+9%/+15%/+13%，对应PE分别为12X/10X/9X，维持 “买入”评级。风险提示下游景气度波动，原材料价格大幅波动，主要产品价格大幅下降。,,浙商证券,买入,[None],2025-11-06,,买入,7539718,pdf_downloads/2025/2025-11-06/002078-太阳纸业（002078）：点评报告：底部夯实，25Q4预期改善.pdf,002078,太阳纸业,太阳纸业（002078）：点评报告：底部夯实，25Q4预期改善
"陈伟奇,王兆康,邹会阳,李晶",Q3盈利短期承压，年内利润底部确认。2025Q1-Q3公司实现收入289.4亿元/-6.6%，归母净利润25.0亿元/+1.7%，扣非归母净利润24.7亿元/-4.6%；其中2025Q3实现收入98.2亿元/-6.0%，归母净利润7.2亿元/+2.7%，扣非归母净利润7.1亿元/-8.6%。受文化纸与溶解浆价格持续下跌影响，三季度利润略有承压，四季度随着新产能集中投产，有望释放利润增量。Q3文化纸与溶解浆承压，箱板纸在成本拉升下提涨落地。根据隆众资讯数据，1）文化纸：Q3太阳双胶纸、双铜纸价格分别较Q2下跌250元/吨、450元/吨，三季度文化纸进入需求淡季，供给端有较多增量增加，同时成本端浆价处于低位，成本支撑较弱，受多方因素影响文化纸价格持续走低，吨盈利预计承压；2）箱板瓦楞纸：Q3华南箱板纸、高强瓦楞纸市场价分别较Q2上涨150元/吨、410元/吨，三季度包装纸传导上游成本压力，涨价落地较好。3）溶解浆：Q3华东溶解浆市场主流价较Q2下跌400元/吨，溶解浆由于木浆价格下跌与下游开工不足而表现较弱。Q4文化纸价格有望止跌企稳，箱板纸迎传统销售旺季。根据隆众资讯，1）文化纸：10月太阳双胶纸下跌50元/吨、双铜纸下跌200元/吨，当前文化纸价格已低于行业平均成本线，近期部分纸企已开始有提价动作，叠加10月阔叶浆价格上涨50元/吨形成成本支撑，预计文化纸价格有望逐步止跌并小幅提涨；2）包装纸：10月华南箱板纸上涨300元/吨、高强瓦楞纸上涨75元/吨，四季度节假日密集，为箱板纸传统需求旺季，同时近期上游原料供应收紧，预计Q4箱板瓦楞纸仍有小幅上涨预期。Q4广西基地产能集中投产，释放利润增量。1）广西南宁基地：100万吨高档包装纸中的PM11已在8月投产、PM12于10月进入调试阶段；40万吨特种纸、35万吨漂白化学木浆生产线与15万吨机械木浆生产线均在9月投产；30万吨生活用纸及后加工生产线二期工程项目中的PM16、PM17已在10月进入调试阶段，PM18、PM19预计将于11月陆续调试。2）山东颜店基地：14万吨特种纸二期项目预计在2026Q1进入试产阶段，70万吨高档包装纸与60万吨漂白化学木浆及碱回收项目预计于2026年底投产。风险提示：原料价格波动；下游需求恢复不及预期；价格提振不及预期。投资建议：下调盈利预测，维持“优于大市”评级公司已进入新一轮产能集中释放阶段，看好未来两年的业绩弹性。考虑到Q3以来浆纸价格持续弱势，下调全年盈利预测，预计2025-2027年归母净利润分别为33.7/38.8/43.5亿元（前值34.5/39.1/42.9亿元），同比增速8.7%/15.2%/12.0%，对应PE=11.8/10.2/9.1倍，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-11-03,,买入,7331500,pdf_downloads/2025/2025-11-03/002078-太阳纸业（002078）：三季度盈利短期承压，四季度新产能集中投产.pdf,002078,太阳纸业,太阳纸业（002078）：三季度盈利短期承压，四季度新产能集中投产
"姜文镪,李晨",报告内容摘要:事件：公司发布2025年三季报。2025Q1-3公司实现收入289.36亿元（同比-6.6%），归母净利润24.99亿元（同比+1.7%），扣非归母净利润24.71亿元（同比-4.6%）；单Q3实现收入98.23亿元（同比-6.0%），归母净利润7.20亿元（同比+2.7%），扣非归母净利润7.07亿元（同比-8.6%）。点评：Q3产销维持景气，浆纸系价格下滑、废纸成本提升，压制盈利释放。当前节点，1）阔叶外盘报价底部回暖、易涨难跌，成本支撑助力纸价企稳，Q4浆纸系吨盈利有望底部温和回暖；2）箱板瓦楞纸提价持续落地，价格攀升推动吨盈利改善。此外，公司南宁新增产能Q4基本全面落地、贡献增量，利润边际修复趋势明确。浆纸价格拐点显现，废纸盈利震荡。1）浆纸系：25Q3双胶纸/铜版纸均价环比分别下滑5.7%/6.9%，尽管低价浆入库改善成本，但我们预计吨盈利仍小幅承压；目前文纸价格旺季企稳，Q4吨盈利有望复苏。2）废纸系：25Q3箱板/瓦楞均价环比分别-0.5%/+3.7%，尽管8-9月提价函频发，但由于前期低位、季度均价保持平稳；同时国废由于极端天气影响、供给收缩，Q3均价环比+7.1%，成本或压制纸企盈利空间，Q4伴随纸价进一步提升、箱板瓦楞纸盈利或将回暖。南宁项目逐步落地，中长期成长加速。2024年底公司合计产能已突破1200万吨，其中浆、纸产能分别合计达500万吨和729万吨。2025年山东颜店3.7万吨特种纸25年5月已稳定运行，南宁项目（PM11和PM12（高档包装纸纸）、15万吨生活用纸、40万吨特种纸、35万吨化学浆、15万吨化机浆均在8-10月逐步落地）。展望未来，公司预计山东14万吨特纸项目二期26Q1试产，并新增山东60万吨化学浆/70万吨包装纸项目规划，浆纸期成长延续。盈利短期承压，费用表现平稳。2025Q3公司毛利率为14.1%（（同比+0.1pct），归母净利率为7.3%（同比+0.6pct）。Q3期间费用率为5.6%（同比持平），其中销售/研发/管理/财务费用率分别为0.5%/1.8%/2.4%/0.9%（（同比分别+0.1pct/+0.1pct/+0.2pct/-0.3pct）。存货/应收/应付账款周转天数分别为50.4天/23.1天/43.0天（同比分别+4.1天/+0.4天/+0.9天）；单Q3经营性现金流净额为14.29亿元（同比-13.52亿元）。盈利预测：我们预计2025-2027年公司归母净利润分别为34.2、39.5、44.6亿元，对应PE为11.6X、10.1X、8.9X。风险提示：需求复苏不及预期，成本超预期波动，产能投放不及预期。,,信达证券,,[None],2025-11-01,,,7186197,pdf_downloads/2025/2025-11-01/002078-太阳纸业（002078）：盈利底部确立，边际改善显现，浆纸成长延续.pdf,002078,太阳纸业,太阳纸业（002078）：盈利底部确立，边际改善显现，浆纸成长延续
"张潇,邹文婕",报告摘要事件：公司披露2025年三季报。25Q1-3实现营业收入289.36亿元，同比-6.58%；实现归母净利润25亿元，同比+1.66%；扣非后归母净利润24.71亿元，同比-4.64%。2025Q3实现营业收入98.23亿元，同比-6.01%，环比+6.6%；归母净利润7.20亿元，同比+2.68%，环比-19.5%；扣非净利润7.07亿元，同比-8.61%，环比-19.7%。文化纸价下行下，盈利能力环比有所承压。25Q3公司毛利率14.07%，同比+0.11pcts，环比-3.19pcts；销售净利率7.35%，同比+0.61pcts，环比-2.37pcts。分纸种来看，文化纸Q3价格及盈利承压，在阔叶浆温和修复（Q3现货价上涨约100元）的背景下，Q3双胶纸下跌约300元，双铜纸下跌约500元，盈利压力增大；箱板纸纸价温和修复，Q3价格上涨约100元。后续来看，我们认为文化纸进一步下跌空间有限，纸浆价格上涨及“反内卷”催化下有望逐步修复；箱板纸Q4传统旺季有望延续修复趋势。经营效率较为稳健。25年前三季度实现经营现金流33.23亿元，同比-42.78%；经营现金流/经营活动净收益比值为119.84%。前三季度净营业周期30.57天，同比上升3.57天；其中，存货周转天数50.4天，同比上升4.08天；应收账款周转天数23.12天，同比上升0.43天；应付账款周转天数42.95天，同比上升0.94天。新产能有序释放。1）25年上半年投产项目：①兖州溶解浆搬迁工程，2024年10月初启动，于2025年6月实现稳定运行；②颜店厂区3.7万吨特种纸项目，25年4月试产并于5月进入稳定运行状态。2）25下半年投产项目：①南宁高档包装纸项目（100万吨）PM11在2025年8月投产运行，PM12已于2025年10月进入调试阶段；②南宁二期40万吨特种纸（PM9）、35万吨漂白化学浆、15万吨机械木浆在2025年9月投产；③南宁太阳30万吨生活用纸二期工程共四条产线，其中PM16和PM17已于2025年10月陆续进入调试阶段，PM18和PM19预计于2025年11月进入调试阶段。3）建设中项目：颜店14万吨特种纸项目二期工程，2024年启动，预计26Q1进入试产阶段；3）拟建设项目：①拟在山东基地颜店厂区建设年产60万吨漂白化学浆产线，预计总投资不超过35.1亿元，建设周期为18个月；②拟在山东基地颜店厂区建设年产70万吨高档包装纸项目，预计总投资不超过15.3亿元，建设周期为18个月。投资建议：中长期看，公司林浆纸一体化优势逐步凸显，随着公司老挝基地林地种植保有面积及轮伐面积持续提升，成本优势将进一步扩大；公司浆纸产能持续扩张，推动公司业绩增长。根据Q3业绩及文化纸价格走势小幅下调盈利预测我们预计公司25-27年归母净利润分别为33.6、37.5、41.3亿元，原预测为35.1、39.2、43.3亿元，对应PE11.8X、10.6X、9.6X，维持“买入”评级。风险提示：终端需求不及预期、新业务拓展不及预期风险，造纸行业竞争加剧风险。,,中泰证券,买入,[None],2025-10-31,,买入,7085743,pdf_downloads/2025/2025-10-31/002078-太阳纸业（002078）：25Q3点评：Q3文化纸延续探底，关注Q4新产能集中释放.pdf,002078,太阳纸业,太阳纸业（002078）：25Q3点评：Q3文化纸延续探底，关注Q4新产能集中释放
"刘佳昆,王文杰","本报告导读：
短期看，预计 11 月阔叶浆和文化纸有望提价，同时新项目投产后预计增厚四季度利
润，中长期看，公司林浆纸一体化水平还在稳步提升，竞争优势有望扩大。投资要点：调整盈利预测，维持“增持”评级。考虑公司经营情况，我们调整公司盈利预测，预计2025-2027年公司EPS为1.18/1.40/1.56元（原值为1.26/1.38/1.47元）。参考行业估值水平，考虑公司上游资源深度布局及经营管理能力赋予的估值溢价，给予公司2025年15XPE，调整目标价至17.70元（原值为18.87元），维持“增持”评级。文化纸价格下滑，盈利环比下降。25Q3收入98.23亿元，同比减少6.01%，归母净利润7.20亿元，同比增长2.68%，扣非净利润7.07亿元，同比减少8.61%，环比减少1.73亿元，我们认为主要由于文化纸盈利下降，Q3双胶纸/铜版纸税前行业均价环比分别下跌263/339元，箱板纸环比小幅提升，溶解浆Q3价格小幅回落，但北海溶解浆产量环比提升，整体利润贡献增加，Q3针叶浆/阔叶浆价格环比分别-293/-109元，煤炭成本维持低位，成本端整体稳定。毛利率提升，财务费用优化。25Q3公司销售毛利率14.07%，同比+0.11pct，归母净利率7.33%，同比+0.62pct，扣非销售净利率7.20%，同比-0.20pct。Q3公司销售/管理/研发/财务费用率0.49%/2.42%/1.78%/0.91%，同比+0.06/+0.16/+0.04/-0.25pct，三费有所下降，利息费用同比减少24.66%至1.09亿元。公司宣布前三季度分红2.8亿元。南宁基地顺利推进投产。公司三季度资本开支约22亿元，固定资产净值环比增加57亿元至391亿元，主要来自南宁项目转固，两条合计100万吨包装纸产线中PM11于8月投产，PM12于10月进入调试阶段，40万吨特种纸及配套的35万吨化学浆、15万吨化机浆于9月投产，生活用纸二期4条产线于10-11月陆续进入调试阶段。山东颜店14万吨特纸项目二期预计26Q1投产，60万吨化学浆及70万吨包装纸预计26年底至27年投产。我们认为，短期看，阔叶浆外盘连续提涨，10月目前外盘成交价530美元左右，国内木片成本10月上涨后，预计11月阔叶浆和文化纸有望提价，同时四季度南宁二期及生活用纸项目投产后预计增厚利润。中长期看，我们认为随着行业新增产能见顶，国内造纸供需格局改善，产业链价格水平有望逐步抬升，公司林浆纸一体化水平还在稳步提升，竞争优势有望扩大。风险提示。成本大幅波动，下游需求不及预期，行业产能扩张。",,国泰海通,增持,[None],2025-10-31,,买入,7436905,pdf_downloads/2025/2025-10-31/002078-太阳纸业（002078）：三季报点评：Q3 符合预期，文化纸价格下滑拖累利润.pdf,002078,太阳纸业,太阳纸业（002078）：三季报点评：Q3 符合预期，文化纸价格下滑拖累利润
"孟昕,赵梦菲,金桐羽",事件：2025年10月27日，太阳纸业发布2025年三季报。2025年前三季度，公司实现营收289.36亿元（-6.58%），归母净利润25.00亿元（+1.66%），扣非归母净利润24.71亿元（-4.64%）。2025Q3业绩稳健增长，纸浆价格下滑使收入短期承压。1）收入端：2025Q3公司实现营收98.23亿元（-6.01%），行业整体面临需求偏弱与产品价格下行压力，公司营收规模受到阶段性影响。2）利润端：2025Q3公司归母净利润7.20亿元（+2.68%），实现小幅增长，彰显较强的成本控制能力与经营韧性。2025Q3盈利能力改善，费用投入合理。1）毛利率：2025Q3公司毛利率14.07%（+0.11pct），表现较为稳健，或系林浆纸一体化优势支撑。2）净利率：2025Q3公司净利率7.35%（+0.61pct），涨幅略大于毛利率，盈利能力有所改善。 3）费用端：2025Q3公司销售/管理/研发/财务费用率分别为0.49/2.42/1.78/0.91%，分别同比+0.06/+0.16/+0.04/-0.25pct，费用率水平较稳。产能稳步落地，林浆纸一体化布局持续深化。1）山东：颜店厂区14万吨特种纸项目一期工程稳步推进，预计于2026Q1进入试产阶段；拟投资建设年产60万吨漂白化学浆及碱回收等配套工程项目；拟投资建设年产70万吨高档包装纸项目，进一步强化浆纸配套能力。2）广西：南宁项目一期工程中高档包装纸生产线PM11于2025M8投产运行，PM12于2025M10进入调试阶段；二期工程的PM9特种纸生产线、35万吨漂白化学木浆生产线和15万吨机械木浆生产线已于2025M9投产；生活用纸项目中的PM16、PM17于2025M10陆续进入调试阶段，PM18、PM19预计将于2025M11陆续进入调试阶段。投资建议：行业端，当前产业政策持续推动行业向绿色低碳化、数字化、制造智能化方向升级，鼓励发展生物质精炼等高附加值产品。公司端，未来三大生产基地产能持续释放，伴随项目稳步推进，林浆纸一体化优势将得到进一步巩固，有助于平滑周期波动，驱动收入业绩成长。我们预计，2025-2027年公司归母净利润分别为33.54/38.26/43.05亿元，对应EPS分别为1.20/1.37/1.54元，当前股价对应PE为11.76/10.31/9.16倍。维持“买入”评级。风险提示：关税加征导致全国贸易政策变化、原材料价格波动、下游需求不及预期、市场竞争加剧等,,太平洋证券,买入,[None],2025-10-30,,买入,7054093,pdf_downloads/2025/2025-10-30/002078-太阳纸业（002078）：2025Q3业绩稳健，期待新产能释放.pdf,002078,太阳纸业,太阳纸业（002078）：2025Q3业绩稳健，期待新产能释放
