author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘欣琦,王思玥",维持“增持”评级，目标价19.80元。公司2025Q3营收/归母净利润83.55/4.75亿元，同比-55.26%/13.31%；加权平均ROE同比+0.32pct至3.66%。结合最新市场环境与经营情况，上调盈利预期2025-2027年EPS为0.48/0.51/0.54元（此前为0.40 /0.45/ 0.48元）；考虑到公司经营情况，参考可比公司估值，给予公司2025年2.15xPB，目标价19.8元/股，对应41.1xPE。2025Q3权益与商品行情驱动下公司投资业绩高增。1）2025年前三季度公司投资业务净收同比+24.71%至7.11亿元，环比+175.11%，贡献了调整后营收（营业收入-其他业务支出）增量的98.14%。公司积极把握住权益与商品市场行情机遇，实现了投资业绩的高增，表现出突出的投资弹性；2）同时，期货市场交投活跃，公司手续费收入同比增长4.32%至3.95亿元，增厚业绩。3）此外，公司自2025年1月1日起对若干交易业务采用净额法确认收入，影响公司其他业务收入和营业收入的计量口径。公司作为行业龙头有望把握住期货市场扩容发展与交投活跃的机遇。1）“十五五”规划建议：“稳步发展期货、衍生品和资产证券化”。政策支持叠加商品行情驱动下，期货市场交易量有望显著提升；2）我们认为，公司作为头部期货公司，综合实力和抗风险能力突出，更有望获益于政策支持，把握住期货市场扩容发展与交投活跃的机遇。催化剂：期货市场交投活跃度持续提升。风险提示：期货市场大幅波动。,,国泰海通,增持,[None],2025-11-01,,买入,7156300,pdf_downloads/2025/2025-11-01/600927-永安期货（600927）：2025三季报点评：盈利增速转正，商品与权益双轮驱动.pdf,600927,永安期货,永安期货（600927）：2025三季报点评：盈利增速转正，商品与权益双轮驱动
"孙婷,曹锟",【事件】永安期货发布2025年三季度业绩：1）前三季度营业收入84亿元，同比-55.3%，主要受贸易类业务收入确认规则调整影响，不影响业务盈亏。归母净利润4.7亿元，同比+13.3%。对应EPS 0.33元，ROE 3.7%，同比+0.3pct。2）Q3单季营业收入28亿元，同比-57.4%。归母净利润3.0亿元，创上市以来单季新高，同比+173.4%，主要系投资收益增加所致。3）Q3末归母净资产131亿元，较年初+2.6%，较年中+2.2%。收入：Q3投资收益大幅提升，手续费净收入基本稳定。1）投资收益大幅提升：前三季度投资收益+公允价值变动损益合计为7.1亿元，同比+24.7%；Q3单季为5.5亿元，同比大增290%，预计主要受公司持有理财产品收益提升影响。2）手续费净收入：前三季度为4.0亿元，同比+4.3%；Q3单季为1.6亿元，同比+4.1%，保持稳定。3）利息净收入：前三季度为3.3亿元，同比-11.8%；Q3单季为1.1亿元，同比-8.6%。4）其他业务收入（以基差贸易货物销售收入为主）前三季度同比-60.1%，Q3单季-67.8%，主要是由于根据监管要求，贸易类业务改用净额法确认收入所致。支出：总支出占比有所改善。1）前三季度总支出84亿元，同比-55.3%，占总营收比重同比下降4.5pct。2）业务及管理费：前三季度6.3亿元，同比-0.1%，Q3单季3.0亿元，同比+49.1%。3）信用减值损失为0.6亿元，同比增长327%；其他资产减值损失2.1亿元，同比-40.5%。4）其他业务成本（以基差贸易货物销售成本为主）前三季度同比-60.1%，Q3单季-67.7%，原因与收入变动相同。盈利预测与投资评级：结合公司2025年前三季度经营情况，考虑到Q3归母净利润表现显著超预期，我们上调2025-2027年归母净利润至6.5/7.3/8.0亿元（前值为4.7/5.9/6.6亿元），当前市值对应2025E PE 34x，维持“买入”评级。风险提示：大宗商品价格波动超预期，国内期货市场监管政策变化。,,东吴证券,买入,[None],2025-10-29,,买入,6949743,pdf_downloads/2025/2025-10-29/600927-永安期货（600927）：2025 年三季报点评：受投资收益增长驱动，Q3单季归母净利润创新高.pdf,600927,永安期货,永安期货（600927）：2025 年三季报点评：受投资收益增长驱动，Q3单季归母净利润创新高
"沈娟,汪煜,孙亦欣",2025年10月28日│中国内地 其他多元金融 永安期货发布2025年三季报，前三季度实现营业收入83.55亿元，同比-55.26%，主要系会计口径调整，大宗商品风险管理业务从毛收入调整为净收入口径；实现归母净利润4.75亿元，同比+13.31%。Q3单季度归母净利润3.05亿元，同比+173.39%，环比+89.43%，主要系投资类收入显著增长。公司期货经纪、基金销售等业务经营稳健，风险管理业务竞争力领先，投资类收入今年以来逐季显著改善。同时，公司股份回购稳步推进，向投资者传递信心。维持增持评级。Q3投资类收入同比显著增长公司前三季度投资类收入（投资收益-对联营企业和合营企业的投资收益+公允价值变动收益）为6.59亿元，同比+33%。其中Q3单季度投资类收入5.08亿元，同比大幅增长409%。今年以来公司投资类收入逐季显著改善，Q1小幅净亏损，Q2收入2.04亿元，Q3进一步抬升，是驱动Q3单季度业绩大幅增长的核心因素。投资规模方面，Q3末公司金融投资资产89.66亿元，环比+3%，主要系债权投资规模环比提升2亿元。前三季度利息净收入3.27亿元，同比-12%。经纪手续费及佣金稳中有升公司前三季度手续费及佣金净收入3.95亿元，同比+4%。其中Q3单季度净收入1.57亿元，同比+4%。公司致力于为机构、产业、个人三大客群配置专属服务体系，成立四大产业事业部，构建“4+1”产业服务中台，联动分支机构创新产品，持续深耕“永动企航”品牌赋能。同时，开辟业务蓝海，挖掘潜在客户的急速交易需求，补齐经纪业务量化服务短板。根据期货业协会，1-9月全国期货市场累计成交量为67.44亿手，累计成交额为547.62万亿元，同比分别增长18.29%和24.11%，活跃的市场交易奠定业绩增长基础。股份回购事项稳步推进此前公司于2025年6月发布以集中竞价交易方式回购公司股份方案，计划回购金额0.5亿元~1亿元，8月27日首次回购62.68万股，占公司总股本的比例为0.043%。此后公司稳步推动回购事项，截至2025年9月30日已累计回购96.74万股，占公司总股本的比例为0.066%，已回购总金额1499.72万元，持续向投资者传递信心。盈利预测与估值公司25Q3投资类收入显著增长，适当上调投资类收入假设。预计公司2025-2027年EPS分别为0.46/0.50/0.52元（前值0.35/0.39/0.42元，分别上调34%/27%/24%），2025年BPS为9.14元。可比公司2025年Wind一致预期PB均值3.24倍（前值3.26倍），考虑到可比公司估值主要系前期主题概念驱动，给予公司一定折价至2025年2.3倍PB，目标价21.02元（前值20.84元，对应2025年PB估值2.3倍），维持增持评级。风险提示：监管政策不确定性、市场表现不及预期。,,华泰证券,增持,[None],2025-10-29,,增持,6945293,pdf_downloads/2025/2025-10-29/600927-永安期货（600927）：投资驱动增长，回购彰显信心.pdf,600927,永安期货,永安期货（600927）：投资驱动增长，回购彰显信心
徐康,主要系会计准则变更所致。自2025年起，公司执行中期协新规，对大宗商品贸易类业务（主要在“其他业务收入”中核算）改用净额法确认收入。该调整仅影响收入列示口径，不改变公司实际盈利水平。具体来看，9M25公司“其他业务收入”为69.2亿元（yoy-60.1%），是营收下降的主要拖累项。变动净收益合计7.1亿元（yoy+24.7%）。其中3Q25单季表现尤为亮眼，实现投资相关收益5.5亿元（yoy+289.5%，qoq+175.1%），成为支撑业绩同比增长的关键。同期，公司传统业务总体稳健。9M25实现利息净收入3.3亿元（yoy-11.8%），手续费及佣金净收入4.0亿元（yoy+4.3%）。品结构创新”的供需共振驱动，9M25全国期货市场累计成交量达67亿手（yoy+18.3%），累计成交额达548万亿元（yoy+24.1%）。在行业景气度提振下，公司经纪业务展现出良好的复苏态势。9M25公司手续费及佣金净收入为4.0亿元（yoy+4.3%），其中3Q25单季为1.6亿元（yoy+4.1%，qoq+21.2%）。增幅不及行业成交规模的系统性抬升，预计或受费率下滑及此前政策面取消量化交易手续费返还影响。2025/2026/2027年EPS预期为0.46/0.50/0.55元（前值为0.34/0.42/0.53元），BPS预期为9.13/9.49/9.90元，ROE为5.0%/5.2%/5.5%，当前股价对应PE分别为34.44/31.58/28.71倍。公司期货行业龙头地位稳固，长期来看有望优先享受期货市场机构化和国际化加速等红利。参考可比公司估值，我们给予永安期货2026年业绩39倍PE估值，对应目标价19.38元，维持“推荐”评级。风险提示：资本市场波动；期货经纪业务佣金率下滑；交易所减收不确定性。,,华创证券,推荐,[None],2025-10-29,,增持,6993083,pdf_downloads/2025/2025-10-29/600927-永安期货（600927）：2025年三季报点评：投资收益驱动Q3净利润高增.pdf,600927,永安期货,永安期货（600927）：2025年三季报点评：投资收益驱动Q3净利润高增
"刘欣琦,王思玥",本报告导读： 2025 二季度公司投资业绩修复，市场交投活跃下手续费收入同比正增长。公司作为行业龙头有望把握住人民币国际化下期货市场扩容发展机遇。 投资要点： 维持“增持”评级，目标价 19.80元。公司 2025H1营收/归母净利润55.56/1.70 亿元，同比-54.12%/-44.69%；加权平均ROE 同比-1.13pct 至1.32%。结合最新市场环境与经营情况，下调盈利预期2025-2026 年EPS 为0.40/0.45 元（此前为0.45/0.48 元），新增2027 年EPS 预测为0.48 元；考虑到公司作为行业龙头有望把握住人民币国际化下期货市场扩容发展机遇，给予2025 年49.9xPE，维持目标价19.80 元，对应2.17xPB。 2025 二季度公司投资业绩修复，市场交投活跃下手续费收入同比正增长。1）2025H1 公司投资业务净收同比-63.27%至1.57 亿元，贡献了调整后营收（营业收入-其他业务支出）增量的-93.60%，主因是2025Q1 投资业绩同比下滑。2025Q2 公司实现投资收益2.01亿元，同比-17.36%，相较2025Q1 显著改善。2）期货市场交投活跃，公司手续费收入同比增长4.48%至2.39 亿元，支撑业绩。3）此外，公司自2025 年1 月1 日起对若干交易业务采用净额法确认收入，影响公司其他业务收入和营业收入的计量口径。 公司作为行业龙头有望把握住人民币国际化下期货市场扩容发展机遇。1）一方面，陆家嘴金融论坛提出，尽快将QFII 可交易期货期权品种总数拓展到100 个、研究推出人民币外汇期货，有望推动期货市场扩容发展。另一方面，人民币国际化将推进大宗商品以人民币定价，提升商品期货与外汇期货套保的市场空间。2）我们认为，公司作为头部期货公司，综合实力和抗风险能力突出，更有望获益于政策支持，把握住人民币国际化下期货市场扩容发展机遇。 催化剂：人民币国家化不断推进。 风险提示：期货市场大幅波动。,,国泰海通,增持,[None],2025-08-29,,买入,6366382,pdf_downloads/2025/2025-08-29/600927-永安期货（600927）：盈利能力修复，把握人民币国际化新机遇.pdf,600927,永安期货,永安期货（600927）：盈利能力修复，把握人民币国际化新机遇
"孙婷,曹锟",【事件】永安期货发布2025年中期业绩：1）上半年营业收入55.6亿元，同比-54.1%；归母净利润1.7亿元，同比-44.7%；对应EPS 0.12元，ROE 1.32%，同比-1.1pct。2）Q2营业收入32.8亿元，同比-57.8%。归母净利润1.6亿元，同比-30.0%，环比增长16倍。3）归母净资产129亿元，较年初+0.4%，较Q1末+0.4%。期货经纪仍是盈利基本盘，基金销售和资管业务盈利向好。1）上半年公司手续费净收入、利息净收入分别为2.4亿元、2.1亿元，同比+4.5%、-13.5%，投资收益+公允价值变动收益合计1.6亿元，同比-63%。2）上半年期货经纪业务营业利润1.5亿元，同比-10%，仍是盈利基本盘。风险管理业务由盈转亏为-0.6亿元（上年同期为盈利1.1亿元），基金销售、资产管理和境外业务营业利润分别为0.2亿元、0.05亿元和0.7亿元，分别同比+105%、+40%、+5%。期货经纪业务：代理交易总额提升带动手续费净收入增长。1）上半年营业收入3.8亿元，同比-22%，其中手续费净收入2.1亿元，同比+4.2%。2）上半年公司境内期货代理交易成交手数1.02亿手，同比+13.3%，成交金额7.25万亿元，同比+6.8%。报告期末，客户权益为398亿元，较年初-15.5%。风险管理业务：场外衍生品及做市业务稳健发展。1）上半年营业收入50亿元，同比-56%，主要由于改用净额法确认收入，但对盈亏无影响。2）上半年公司场外业务累计名义本金1603亿元，同比增长72%。做市业务累计成交规模超过6018亿元，同比增长23%。资产管理&基金销售业务：布局财富管理市场，基金销售收入提升。1）上半年资管业务收入0.1亿元，同比-11%，其中手续费净收入同比-63%。2）上半年基金销售业务收入0.29亿元，同比+21%。报告期内公司新增合作管理人34家，新增引入代销产品65只，代销产品平均年化收益率11.26%。境外业务：期货经纪和基金销售规模增长。1）上半年境外业务收入1.2亿元，同比-59%。2）境外期货经纪业务交易量同比+22%，客户结构进一步优化，机构客户权益占比和交易量占比分别为78%、83%。3）海外基金销售大幅增长，上半年新增销售额同比增长186%至1.72亿美元。盈利预测与投资评级：结合公司2025上半年经营情况，我们维持此前盈利预测，预计2025-2027年公司归母净利润为4.7/5.9/6.6亿元，当前市值对应2025E PE 48x，维持“买入”评级。风险提示：大宗商品价格波动超预期，国内期货市场监管政策变化。,,东吴证券,买入,[None],2025-08-29,,买入,6362833,pdf_downloads/2025/2025-08-29/600927-永安期货（600927）：2025年中报点评：Q2净利润环比改善，基金销售与资管业务盈利向好.pdf,600927,永安期货,永安期货（600927）：2025年中报点评：Q2净利润环比改善，基金销售与资管业务盈利向好
"沈娟,汪煜,孙亦欣",2025年8月28日│中国内地 其他多元金融 永安期货发布2025年半年报，上半年实现营业收入55.56亿元，同比-54.12%，主要系会计口径调整，大宗商品风险管理业务从毛收入调整为净收入口径；实现归母净利润1.70亿元，同比-44.69%。净利润下滑主要系Q1投资类收入拖累，但Q2已显著改善，Q2单季度归母净利润1.61亿元，同比-29.96%，环比+1630.64%。中期拟每股派发现金红利0.02元（含税）。8月27日首次回购公司股份，回购数量为62.68万股，向投资者传递信心。公司期货经纪、基金销售等业务经营稳健，风险管理业务规模继续保持行业前列，投资类收入较Q1显著改善，维持增持评级。期货经纪和基金销售收入稳步增长公司设立经纪业务改革专班，成立四大产业事业部，发力线上引流，同时补齐经纪业务量化服务短板，促进客户活跃度显著提升，实现日均权益规模稳步进阶。以双边计算，上半年公司实现境内期货代理交易1.02亿手，同比+13%，成交金额7.25万亿元，同比+7%，期末客户权益397.75亿元，同比+15%。上半年公司实现经纪业务手续费净收入2.1亿元，同比增长4%。同时，持续构建具有衍生品特色的财富生态，基金销售业务实现营业收入2890万元，同比+21%。风险管理业务规模继续保持行业前列大宗商品风险管理业务方面，公司聚焦拳头品种和优势业务，上半年实现现货贸易总额196.46亿元。场外衍生品业务方面，公司妥善处置Q1因市场重大行情波动不利影响带来的亏损，目前权益类业务已触底回升。同时大力拓展跨境业务，业务规模和利润显著增长。上半年场外衍生业务累计名义金额1603亿元，同比增长72%。做市业务方面，成功获取上期所镍期货做市资格。上半年做市业务累计成交规模6018亿元，同比增长23%。境外业务稳健增长，拟向境外增资并设英国子公司公司境外业务为机构客户及高净值投资者提供“资本出海”与“外资引入”的双向战略支持。上半年公司境外金融服务业务实现营业收入1.24亿元，营业利润0.73 亿元，同比增长近5%。期货经纪业务交易量同比+22%，客户结构进一步优化，机构客户权益占比为78%，机构客户交易量占比提升至83%。新增基金销售额约1.72亿美元，同比大幅增长185.5%。私募孵化业务取得初步成效，累计孵化私募基金管理人17家。为进一步巩固公司国际化发展先发优势，公司拟向境外增资不超过5.36亿港元并设立英国子公司，目前该事项已获得监管批复。盈利预测与估值公司25Q2投资类收入显著改善，且Q3以来权益市场稳步向上，适当上调投资类收入假设；同时因会计口径调整下调其他业务收入假设（从毛收入调整为净收入口径，实际对利润表现影响有限，且目前未披露24年追溯调整后的数据）。预计公司2025-2027年EPS分别为0.35/0.39/0.42元（前值0.29/0.34/0.38元，分别上调21%/15%/9%），2025年BPS为9.06元。可比公司2025年Wind一致预期PB均值3.26倍（前值2.0倍），考虑到可比公司估值大幅提升主要系主题概念驱动，且公司经营业绩仍有一定承压，给予2025年PB折价2.3倍，目标价20.84元（前值15.38元，对应2025年PB估值1.7倍），维持增持评级。风险提示：监管政策不确定性、市场表现不及预期。,,华泰证券,增持,[None],2025-08-28,,增持,6361545,pdf_downloads/2025/2025-08-28/600927-永安期货（600927）：Q2业绩改善，回购传递信心.pdf,600927,永安期货,永安期货（600927）：Q2业绩改善，回购传递信心
"孔祥,王德坤","核心观点公司发布2024年年报及2025年一季报。2024年全年，公司实现营收19.44亿元（净额法，后同）、同比+3.79%，归母净利润5.75亿元、同比-21.07%。全年加权平均ROE4.56%、同比-1.41pct。2025Q1实现营收2.06亿元、同比-53.39%，归母净利润0.09亿元、同比-88.08%。2024年分部业务增速：期货经纪-3.78%、风险管理（净额法，后同）-20.83%、境外业务+132.21%、基金销售-12.09%、资产管理+85.17%，分部业务占比：期货经纪54.7%、风险管理20.6%、境外业务21.4%、基金销售2.7%、资产管理1.3%。2024年利润下降的主因为期货经纪、风险管理等的利润率有所下降。期货经纪收入承压，营业利润率下降。2024年全年，公司境内代理期货交易2.01亿手、同比-14.1%，成交额14.71万亿元、同比-7.6%，客户权益470.57亿元、同比+2.9%。期货经纪业务营业利润率42.71%、同比-4.63pct。全年期货市场整体成交呈现“量减额增”，市场竞争趋于激烈。公司期货经纪市占率由2023年的2.80%下降至2024年的2.38%，或是利润率下降的主因。风险管理收入增长，营业利润率下降。2024全年，公司基差贸易业务仓单注册量28.55万吨、同比+56%，交割仓单量18.68万吨、同比+130%，实现营业利润0.31亿元、同比-84.81%，总额法计算营业利润率0.15%、同比-0.76pct。场外业务及做市业务保持较快发展，全年场外业务累计名义本金超1,900亿元、同比+17%，做市业务累计成交额超1.39万亿元、居行业第1。境外业务收入持续增长。一是境外期货经纪业务交易量同比+57.64%，客户结构进一步优化，机构客户权益占比提升至80%，机构客户交易量占比提升至75.48%。二是财富销售大幅增长，全年新增基金销售约为1.93亿美元，同比增长128.5%。衍生品市场扩容持续，公司作为龙头或受益于市场扩张。2024年以来，鸡蛋、玉米淀粉、生猪期权等多个期权品种上市，瓶片期货等期货品种上市，我国衍生品市场持续扩容。公司作为行业龙头，行业扩容或将助力公司期货经纪、做市、风险管理等主业发展，同时，公司在优结构、精服务、育生态等战略指引下，业务发展具备长期竞争优势。投资建议：基于公司年报数据，我们将公司经纪业务、风险管理业务增速小幅下调，并基于此将2025-26年归母净利润分别下调14.7%、15.9%，预计2027年归母净利润7.27亿元。考虑到期货行业扩容及公司龙头地位和长期竞争优势，我们维持“优于大市”评级。风险提示：期货市场周期波动风险；监管政策变动风险；境外监管风险",,国信证券,优于大市,[None],2025-04-28,,买入,6031720,pdf_downloads/2025/2025-04-28/600927-永安期货（600927）：经纪市占下滑，境外业务增长.pdf,600927,永安期货,永安期货（600927）：经纪市占下滑，境外业务增长
"徐康,刘潇伟",事项：永安期货发布2024年报及2025年一季报。2024年实现营业总收入217.3亿元（同比-8.8%），净额法下的营业总收入20.1亿元（同比+4.8%），归母净利润5.8亿元（同比-21.1%）。2025Q1实现营业总收入22.8亿元（同比-47.5%/环比-25.6%），归母净利润0.09亿元（同比-88.1%/环比-94.0%）。评论：投资收入同比高增，存货跌价损失计提大幅增加。2024年公司实现利息净收入、手续费及佣金净收入、其他业务收入（主要是基差贸易收入）、投资净收益+公允价值变动净收益5.0、5.4、200.4、6.5亿元，分别同比-26.4%、-28.9%、-9.7%、+267.3%，投资收入大幅增长主要来源于处置金融工具取得的投资收益增加。公司风险管理业务所持大宗商品导致的资产减值损失大幅提升，报告期内存货跌价损失同比+132.5%至4.2亿元，致使净利润降幅大于营收。期货经纪相关收入下滑，客户权益稳健增长。2024年期货市场呈现“量减额增”态势，成交量同比-9.1%、成交额同比+8.9%；公司境内双边代理成交量同比-14.1%至2.01亿手，成交额同比-7.6%至14.7万亿元，叠加政策面取消量化交易手续费返还和减少返佣影响，2024年公司期货经纪业务净收入同比-30.3%至4.8亿元；公司客户权益规模同比+2.9%至470.57亿元，预计利率下滑致使利息收入同比-28.8%至7.7亿元。境外业务增速亮眼。公司依托全资子公司新永安金控及其子公司开展境外业务。2024年新永安金控实现营业收入4.30亿元（同比+51.1%），归母净利润1.43亿元（同比+4.6%）。以合并报表减母公司报表口径，全年境外利息净收入2.0亿元（同比+37.1%），对合并扣减利息净收入的贡献度提升至39.8%（同比+18.4pct）。25Q1业绩承压。2025Q1公司实现利息净收入、手续费及佣金净收入、风险管理业务收入、投资净收益+公允价值变动净收益1.0、1.1、21.1、-0.4亿元，分别同比-20.7%、-2.5%、-46.1%、-123.9%。子公司于23年开展的部分存续场外衍生品业务受25Q1市场重大行情波动不利影响，致使净利润承压。投资建议：考虑到一季度经营情况，我们下调盈利预测，2025/2026/2027年EPS预期为0.34/0.42/0.53元（2025/2026前值为0.49/0.55元），BPS预期为9.05/9.36/9.76元，ROE为3.7%/4.5%/5.4%，当前股价对应PE分别为35.78/28.44/22.75倍。公司期货行业龙头地位稳固，长期来看有望优先享受行业扩容的红利。我们给予公司2025年业绩39倍PE估值，对应目标价13.07元，维持“推荐”评级。风险提示：资本市场波动；期货经纪业务佣金率下滑；交易所减收不确定性。,,华创证券,推荐,[None],2025-04-24,,增持,6022435,pdf_downloads/2025/2025-04-24/600927-永安期货（600927）：2024年报及2025年一季报点评：全年投资收入同比高增，轻资产业务承压.pdf,600927,永安期货,永安期货（600927）：2024年报及2025年一季报点评：全年投资收入同比高增，轻资产业务承压
"沈娟,汪煜",永安期货发布年报及一季报，2024年实现营收217.35亿元（yoy-8.76%），归母净利5.75亿元（yoy-21.07%），略好于我们的预期（归母净利5.71亿元）。25Q1公司实现营收22.77亿元（yoy-47.51%），归母净利0.09亿元（yoy-88.08%），主要受投资业务拖累。公司保持期货龙头优势、但短期业务经营有所承压，拟回购0.5亿元至1亿元提振信心，维持增持评级。经纪业务收入同比下滑，深化客户经营2024年，公司手续费及佣金净收入5.38亿元、同比-28.9%，实现期货经纪业务境内代理期货成交手数2.01亿手、同比-14.1%；境内代理期货成交金额14.71万亿元、同比-7.6%；年末客户权益470.57亿元，同比+2.9%。25Q1手续费及佣金净收入1.09亿元、同比-2.5%。公司通过理念革新，重塑经纪业务服务运营体系，对客户精细化分类服务、优化结构、实施营销激励提升客户权益；发布“永动企航”品牌推动产业服务战略落地。风险管理收入同比调整，保持龙头地位2024 年，公司风险管理业务实现收入201.42亿元，同比下降9.8%。做市业务表现出色，全年交易规模1.39万亿元，期货做市成交量和成交额均排名行业第1。公司主要通过永安资本及其子公司开展风险管理业务，该业务营业收入排名行业第1，且连续4年入围“中国服务业企业 500 强”。在复杂的大宗商品市场环境下，公司主动调整业务结构，有效提升交易能力。发力境外金融业务扩张，收入同比高增公司主要通过新永安金控及其子公司开展境外金融服务业务，围绕三大业务平台持续发力，搭建跨境桥梁，为境内外客户“走出去、引进来”提供双向一站式服务。2024年境外金融服务业务持续扩张，实现营业收入4.30亿元，营业利润1.46亿元，分别同比增长51.06%和6.67%。盈利预测与估值公司25Q1投资类业绩承压，考虑到开年以来股债市场均有所调整，适当下调投资类收入假设；同时风险管理业务需求有所承压，下调销售货物收入与成本假设。预计公司2025-2027年EPS分别为0.29、0.34、0.38元（前值2025-2026年0.46、0.52元，分别下调37%、35%），2025年BPS为9.05元（前值为9.21元，下调2%）。可比公司2025年Wind一致预期PB均值2.0倍，考虑公司经营有所承压，给予2025年PB折价1.7倍，目标价15.38元（前值18.42元，对应2025年PB估值2.0倍），维持增持评级。风险提示：监管政策不确定性、市场表现不及预期。,,华泰证券,增持,[None],2025-04-24,,增持,6022064,pdf_downloads/2025/2025-04-24/600927-永安期货（600927）：整体业绩承压，回购提振信心.pdf,600927,永安期货,永安期货（600927）：整体业绩承压，回购提振信心
