author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"王亮,白竣天",事件：2025年8月18日，石化油服发布2025年半年度报告，公司实现营业收入370.5亿元，同比增长0.6%；实现归属于上市公司股东的扣除非经常性损益的净利润4.24亿元，同比增长68.8%；实现经营活动产生的现金流量净额21.5亿元，去年同期为-1.9亿元。2025年8月18日，公司发布使用公积金弥补亏损的公告，公司拟使用母公司盈余公积及资本公积共计18.2亿元，将公司2024年年末未分配利润由负数弥补至零。2025年7月30日，公司发布工程中标公告，全资子公司中石化石油工程建设有限公司中标国家石油天然气管网集团有限公司长春-石家庄天然气管道工程（长岭-张家口段）施工总承包第二、四、五标段项目，中标金额为人民币35.97亿元。公司新签合同额创9年来同期最高水平，现金流创10年来同期新高。上半年，公司累计新签合同636.7亿元，同比增长3.2%。其中，中石化市场新签合同343.7亿元，同比增长3.0%；国内外部市场新签合同96.8亿元，同比下降42.7%；海外市场新签合同196.2亿元，同比增长71.8%，海外新签合同额占比由去年同期的14%提升至37%。上半年，公司经营活动产生的现金流量达到21.51亿元，为10年来同期最高水平。公司主要的5个板块毛利率普遍提升，其中工程建设板块营业收入增长最为明显。公司毛利率由去年同期的8.03%提升至8.44%，并且公司主要的5个板块毛利率均有小幅提升。公司工程建设板块的营业收入同比提升19.3%，在多板块中增速最快，并且该板块在7月中标约36亿人民币管道项目。公司使用公积金弥补亏损，将有助于公司达到利润分配条件，提升投资者回报能力，为后续分红提供基础。投资建议：公司净利润连续3年增长，新签合同额及现金流创多年来新高，并且公司将未分配利润由负数弥补至零，为后续投资者回报提供基础。我们预计公司2025-2027年EPS分别为0.05/0.05/0.06元，给予增持评级。风险提示：1、全球宏观经济环境大幅变化；2、地缘形势变化等不可抗力风险；3、国际油气价格大幅下行；4、项目建设进度不及预期等。,,太平洋证券,增持,[None],2025-08-21,,增持,6341591,pdf_downloads/2025/2025-08-21/600871-石化油服（600871）：工程及海外业务明显增长，新签合同及现金流创多年来新高.pdf,600871,石化油服,石化油服（600871）：工程及海外业务明显增长，新签合同及现金流创多年来新高
杨侃,石化油服(600871)一、事件概述公司发布 2019 年年报， 2019 年营收 699 亿元，同比增长 20%，归母净利 9 亿元，同比增长 544%，归母扣非净利 5 亿，同比增长 1227%。二、分析与判断受益国内外订单快速增长， 19 年营收同比增 20%据公司公告， 2019 年营收 699 亿元，同比增长 20%，归母净利 9 亿元，同比增长 544%，归母扣非净利 5 亿，同比增长 1227%。 营收及净利快速增长主要是受益油气行业复苏及公司加大国内外市场的开拓力度。 净利大幅增长主要由于公司是典型的重资产公司，行业复苏后营收增长带来的毛利提升弹性很大， 此外还得益于公司强化成本费用控制， 19年百元收入营业成本同比降低人民币 0.34 元。 管理费用 30 亿，同比下降 8%，主要是社区综合服务费减少所致。财务费用 9 亿，同比增 114%， 主要是汇兑净损失、贷款规模和租赁利息支出增加所致。全球油服领军企业，将受益油服行业复苏。根据国际权威机构 IHS Markit 预测， 2019 年全球上游海洋油气勘探开发投资 1160 亿美元，较 2018 年的 1040 亿美元增长 11.5%，是近五年来第一次实现正增长。项目数量增长超过 10%，达到约 110 个。分地区来看，资本开支增幅较大的地区有亚太（增幅 19%）、俄罗斯（增幅 18%）、中东（增幅 13%）、拉丁美洲（增幅 9%）。公司拥有覆盖整个油田服务行业链的服务能力。 截至 2019 年底，公司共有 692 台陆地钻机， 14 座海上钻井平台等， 1797 支钻井物探等专业队伍，能够为油气田提供从勘探到开发和生产的全生命周期内的服务。 公司连续多年为沙特阿美、科威特石油和厄瓜多尔国家石油公司最大的陆上钻井承包商，以及阿尔及利亚最大的国际地球物理承包商。据公司年报， 2019 年公司累计新签合同额人民币 695 亿元，同比增长 10.7%。其中，中国石化市场新签合同额人民币 384 亿元，同比增长 3.5 %；国内外部市场新签合同 145亿元，同比增长 23.9 %；海外市场新签合同额 166 亿元，同比增长 7.2 %。保障国家能源安全大背景下， 持续受益国内油服需求快速增长我国原油对外依存度接近 70%，天然气对外依存度也超过 40%。 习近平总书记曾专门作出重要批示，要求从站在保障国家能源安全的角度，加大国内勘探开发力度。 2019 年，中国石油和天然气新增探明储量分别达到 12 亿吨和 1.4 万亿立方米， 同比增长 25%和68%。规模以上工业原油产量 1.9 亿吨，增长 0.8%，增速由负转正， 扭转了 2016 年以来产量连续下滑的态势。天然气产量 1736 亿立方米， 同比增长 9.8%。 中海油 2018 年资本支出为 626 亿元人民币， 2019 年增长至 802 亿元人民币， 2020 年预算为 850-950亿元人民币，持续保持较快增长。 中石化和中石油上游勘探开发支出也有较大增长。我们判断，在保障国家能源安全大背景下，公司将持续受益国内油服需求快速增长。三、 投资建议预计公司 2020~2022 年 EPS 分别为 0.07 元、 0.11 元、 0.15 元，对应 PE 分别为 31 倍、18 倍、 14 倍。 当前油服行业可比公司 TTM 平均估值为 73 倍， 考虑到公司是典型的重资产公司，行业复苏后营收增长带来的毛利提升弹性很大， 给予推荐评级。四、风险提示：国际油价下滑导致资本开支下滑；在手订单执行放缓。,,民生证券,推荐,[None],2020-03-26,,增持,4196552,pdf_downloads/2020/2020-03-26/600871-石化油服（600871）2019年报点评：全球油服领军企业，将受益油服行业复苏.pdf,600871,石化油服,石化油服（600871）2019年报点评：全球油服领军企业，将受益油服行业复苏
白竣天,事件公司发布2019年年度报告，全年实现营业收入698.7亿元，同比增长19.6%，归属于上市公司股东的净利润9.14亿元，同比增长543.6%。	点评公司业务量及新签合同额有较大增长。2019年公司新签合同额695亿元，同比增长10.7%，其中国内外部市场新签订单145亿元，同比增长23.9%。公司在国内主要服务威荣、涪陵和顺北等油气田，另外有55部钻机服务中石油西南页岩气市场，并且中标40亿青宁输气管道工程等。钻井及工程板块连续三年维持高增速。2019年公司钻井业务营收364.9亿元，同比增长22.1%，进尺增长15%，队伍利用率达到82%，其中顺北钻井周期下降30%左右，威荣钻井周期下降35%。2020年公司钻井业务将重点服务顺北特深油气田、西南天然气、鄂尔多斯致密油气、川南深层页岩气等。2019年公司工程板块营收163.8亿元，同比增长24.7%，新签合同额184亿，同比增长1.8%。2020年公司将持续提高长输管道市场占有率，紧盯国家油气管道市场，密切跟踪燃气、水利、市政等项目。研发取得突破，降本减费获得成果。公司自主研发的钻井旋转导向系统实验成功，取得突破性进展，联合研发的高温MWD仪器成功应用。公司全年完成降本减费6.2亿，2020年计划完成降本减费3亿元。	盈利预测公司受益于国内天然气管道建设及勘探开发的投资增长，因国内业务占比超80%、海外业务主要在沙特，业绩更为稳定。预计2020-2022年营业收入分别为725、820、900亿元，实现EPS分别为0.05、0.08、0.10元/股，对应PE分别为42、26、20倍，继续给予“增持”评级。	风险提示： OPEC长时间持续增产、美国页岩油气产量下降不显著、国际能源需求长期下降。,,川财证券,增持,[None],2020-03-25,,增持,4196511,pdf_downloads/2020/2020-03-25/600871-石化油服（600871）：主业规模增长，内部减费取得成效.pdf,600871,石化油服,石化油服（600871）：主业规模增长，内部减费取得成效
郭泰,石化油服(600871)我们认为，2019-2021年公司作业价格有望提升、精简人员数量促使生产性员工薪酬占比下降、折旧和摊销费用下降促公司整体毛利率维持上升趋势。预计2019-2021年石化油服归母净利润9.13、22.39和32.33亿元、同比增长约542%、145%和44%，首次覆盖给予“推荐”评级。全球第四大油服上市公司，营收超600亿元将实现盈利按营收规模，石化油服是排在斯伦贝谢、哈里伯顿和贝克休斯之后的全球第4大油服行业上市公司。2018年公司营收584亿元、归母净利润1.42亿元、扣非后归母净利润0.38亿元，扭转2016-2017年亏损161和106亿元的局面。2019H1公司新签订单428.5亿元、同比增长24.6%，结合2019年前三季度收入增长28%，预计2019年石化油服收入716亿元、归母利润9.13亿元。基于国家能源安全，2020年三桶油油气开采投资或创新高2018年中国石油和天然气对外依存度分别为70.8%和43%，基于国家能源战略安全要求，2019年三桶油同时增加油气勘探及开采的资本开支，我们预计三桶油合计开支超3600亿元、增长超20%，2017-2019年连续3年实现增长。根据中石油编制《2019-2025年国内勘探与生产加快发展规划方案》，将加大国内油气勘探开采力度。我们预计2020年三桶油用于油气勘探及开采的资本开支合计或超过4200亿元、同比增长17%，投资规模将创历史新高。新签订单加速、降本增效或促2020-2021年经营效益提升我们预计2019年公司新签订单约800亿元、同比增长约27%，好于2018年的18%。受益于三桶油用于油气勘探及开采资本开支增长的预期和公司良好的海外市场扩展、作业价格提升等，我们预计2020年公司新签订单和收入或均超过20%，预计2020-2021年石化油服收入约856亿元和987亿元。我们分析，石化油服成本中生产性员工薪酬支出和固定资产折旧、摊销费用等占营收比重将降低，作业价格提升、优化人员、折旧摊销占比降低利好公司毛利率提升，预计2020-2021年盈利规模有望创历史新高、且快速增长。风险提示：油价波动的风险；汇率波动的风险,,诚通证券,推荐,[None],2020-02-18,,买入,4163758,pdf_downloads/2020/2020-02-18/600871-石化油服（600871）首次覆盖报告：跨过盈亏平衡点，油服龙头再起航.pdf,600871,石化油服,石化油服（600871）首次覆盖报告：跨过盈亏平衡点，油服龙头再起航
白竣天,事件公司发布2019年年度业绩预告，公告显示，经初步测算，按照中国企业会计准则，预计公司2019年年度归属于上市公司股东的净利润为人民币9.1亿元左右，较2018年增长540.6%。	点评我国石油对外依存度较高，石油消费不断增长，能源安全面临一定挑战。受益保障国家能源安全的要求，中石化加大勘探开发资本投入，利好公司油田服务产业。受益于天然气的量价齐升及油价维持中高位，中石化2019年前三季度，勘探及开发板块经营收益人民币 87.18亿，同比增加 97.99 亿元。在保障国家能源安全的要求下，公司前三季度资本支出780 亿元，其中勘探及开发板块资本支出347.51 亿元，同比增长75.86%，公司受益最为明显。国内油气需求持续增长，地缘政治风险加剧刺激油价上涨。原油及 LNG 的运费受中东地缘政治因素的影响而趋于增长，中美贸易争端的缓解将导致大量油气资源的进口由中东转向美国，运距大幅增加也导致运费增长，变相提高了国内自产油气的价格，从而利好以国内业务为主的油田服务企业。2019年12月，国家管网公司在北京正式宣告成立，管道建设公司市场集中度非常高，我国管道投资从2013开始持续下降，石化油服是我国天然气长输管道和储气库工程建设施工的主力军，公司有望充分受益管道投资的触底回升。	盈利预测公司受益于国内保障能源安全的投资增长，因国内业务占比超70%，业绩改善将更为明显。预计2019-2021年营业收入分别为700、780、860亿元，实现EPS分别为0.05、0.07、0.08元/股，对应PE分别为49、35、29倍，继续给予“增持”评级。	风险提示： OPEC限产协议执行率过低、美国页岩油气增产远超预期、国际油气需求大幅下滑和油气改革方案未得到实质落实。,,川财证券,增持,[None],2020-01-22,,增持,4147440,pdf_downloads/2020/2020-01-22/600871-石化油服（600871）2019年业绩预告点评：油服利润高速增长，业绩趋于正轨.pdf,600871,石化油服,石化油服（600871）2019年业绩预告点评：油服利润高速增长，业绩趋于正轨
白竣天,事件公司发布2019年第三季度报告，前三季度实现营业收入476.00亿元，同比增长28%，归属于上市公司股东的净利润7.23亿元，同比增长64.4%；第三季度未经审计的营业收入173.44亿元，同比增长28.16%，归属于母公司股东的净利润2.14亿元，同比增长448%。点评受益保障国家能源安全的要求，中石化加大勘探开发资本投入，利好公司油田服务业务。受益于天然气的量价齐升及油价维持中高位，中石化今年上半年勘探开发板块经营收益为62.4亿元，去年同期为亏损4.1亿元，毛利率持续增长达到15.4%。在保障国家能源安全的要求下，上半年勘探开发板块投资同比增长86%，预计下半年及明年资本开支仍有增长，公司受益最为明显。国内油气需求持续增长，原油及LNG运费受地缘政治因素影响趋于增长，给予国内油气溢价，利好以国内业务为主的油田服务企业。第三季度，公司利润增速明显加快，公司钻机利用率保持85%的高位。钻机利用率的“触顶”将明显减少摊销费用、提高人员效率，从而提高单个钻机的产值及利润，改变公司营收占比最大的钻井板块的业绩。盈利预测公司受益于国内保障能源安全的投资增长，因国内业务占比超70%，业绩改善将更为明显。预计2019-2021年营业收入分别为700、780、860亿元，实现EPS分别为0.06、0.10、0.13元/股，对应PE分别为39、23、17倍，继续给予“增持”评级。风险提示： OPEC限产协议执行率过低、美国页岩油气增产远超预期、国际油气需求大幅下滑和油气改革方案未得到实质落实。,,川财证券,增持 ,[None],2019-10-28,,增持,3959677,pdf_downloads/2019/2019-10-28/600871-石化油服（600871）：受益能源安全，业绩持续改善.pdf,600871,石化油服,石化油服（600871）：受益能源安全，业绩持续改善
白竣天,核心观点油价将维持中高位，国内能源安全保障投资增长，海外2019-2025投资增长态势将维持。受伊朗能源制裁、OPEC限产延期、页岩油增产速度放缓的多重因素影响，预计油价在中长期将维持中高位。2018年中石化勘探开发投资几乎翻倍，2019年三桶油勘探开发投资继续保持高速增长，保障国内能源安全。数据和分析公司GlobalData表示，在2018年至2025年期间，全球油气领域615个项目的资本支出将达到8110亿美元。国内天然气和原油的勘探开发投资将成为公司业绩的主要保障最近几年天然气需求保持10%以上的高速增长，2018年需求增量440亿方。预计国家管网公司成立后，国内管道投资和储气库投资分别将达到1500亿/年和500亿/年，公司在该建设领域市占率约为2-3成，受益明显。母公司中石化在国内加大原油效益建产规模，如胜利油田和顺北油田，加快涪陵、威荣、川西和东胜等气田产能建设，公司在其中受益较大。公司是国内最大的油田服务标的之一公司是国内最大的油田服务标的之一，在全球拥有716部钻机、134台2500及3000型压裂车等，具有全球油气勘探开发一体化设备和技术能力。公司自上市以来持续降低成本，在行业低谷期2016-2017年进行了2次大额减值，降低了资产风险。公司在2018年恢复盈利，实现摘帽并恢复港股通席位。首次覆盖予以“增持”评级2018年公司ROE达到7.7%，在可比公司中排名靠前。公司在国内市占率高，海外市场也具有较大竞争力，在保障国家能源安全及满足天然气基础设施建设的政策背景下，国内业务量将持续增加、降低摊销，叠加公司持续降本增效，投资机会逐步展现。预计2019-2021年营业收入分别为700、780、860亿元，实现EPS分别为0.07、0.10、0.13元/股，对应PE分别为34、24、18倍，首次覆盖给予“增持”评级。风险提示： OPEC限产协议执行率过低、美国页岩油气增产远超预期、国际成品油需求大幅下滑和油气改革方案未得到实质落实。,,川财证券,增持,[None],2019-09-06,,增持,3900538,pdf_downloads/2019/2019-09-06/600871-石化油服（600871）深度报告：保障国内能源安全确保中长期发展.pdf,600871,石化油服,石化油服（600871）深度报告：保障国内能源安全确保中长期发展
白竣天,"核心观点    
    	油价将维持中高位，国内能源安全保障投资增长，海外2019-2025投资增长态势将维持。受伊朗能源制裁、OPEC限产延期、页岩油增产速度放缓的多重因素影响，预计油价在中长期将维持中高位。2018年中石化勘探开发投资几乎翻倍，2019年三桶油勘探开发投资继续保持高速增长，保障国内能源安全。数据和分析公司GlobalData表示，在2018年至2025年期间，全球油气领域615个项目的资本支出将达到8110亿美元。    
    	国内天然气和原油的勘探开发投资将成为公司业绩的主要保障    
    最近几年天然气需求保持10%以上的高速增长，2018年需求增量440亿方。预计国家管网公司成立后，国内管道投资和储气库投资分别将达到1500亿/年和500亿/年，公司在该建设领域市占率约为2-3成，受益明显。母公司中石化在国内加大原油效益建产规模，如胜利油田和顺北油田，加快涪陵、威荣、川西和东胜等气田产能建设，公司在其中受益较大。    
    	公司是国内最大的油田服务标的之一    
    公司是国内最大的油田服务标的之一，在全球拥有716部钻机、134台2500及3000型压裂车等，具有全球油气勘探开发一体化设备和技术能力。公司自上市以来持续降低成本，在行业低谷期2016-2017年进行了2次大额减值，降低了资产风险。公司在2018年恢复盈利，实现摘帽并恢复港股通席位。    
    	首次覆盖予以“增持”评级    
    2018年公司ROE达到7.7%，在可比公司中排名靠前。公司在国内市占率高，海外市场也具有较大竞争力，在保障国家能源安全及满足天然气基础设施建设的政策背景下，国内业务量将持续增加、降低摊销，叠加公司持续降本增效，投资机会逐步展现。预计2019-2021年营业收入分别为700、780、860亿元，实现EPS分别为0.07、0.10、0.13元/股，对应PE分别为34、24、18倍，首次覆盖给予“增持”评级。    
    	风险提示： OPEC限产协议执行率过低、美国页岩油气增产远超预期、国际成品油需求大幅下滑和油气改革方案未得到实质落实。",,川财证券,增持,[None],2019-09-04,,增持,3899989,pdf_downloads/2019/2019-09-04/600871-石化油服（600871）：保障国内能源安全确保中长期发展.pdf,600871,石化油服,石化油服（600871）：保障国内能源安全确保中长期发展
"杨绍辉,闵琳佳","1、油田环保是国内油田开采比较薄弱环节,潜在市场空间100亿元以上
    油田环保包括钻井废屑、压裂反排液处理、被污染土壤修复,以及炼化环保等等。
    近年来,油田环保得到一定程度的重视,上市公司惠博普、杰瑞股份、海默科技在2014年前后均表示要布局油田环保业务,但三桶油受到原油价格大跌的冲击,油田环保市场的发展并未达到预期。据中国石化新闻网预计,“十三五”期间中国石化内部固废资源化处置及土壤修复方面的投入将达300亿左右,年均60亿元,对比中石油、中石化的油气产量,可预计油田环保市场在100亿元以上。
    2、石化油服环保公司与国内外一流企业合作,布局固废处置、土壤修复等新兴产业
    根据合作协议,石化油服环保公司将与清华大学环境学院在电催化氧化技术在有机废物处理方面展开合作;与西安交通大学化工学院就有机固废及污染土壤热脱附技术等领域展开合作;与英国德腾环境公司就固废中心技术引进和建设运营经验共享、与上海格林曼环境公司就土壤和地下水修复业务达成合作意向。
    3、石化油服有望承接大部分中石化年均60亿元环保业务
    作为中石化体系内的一员,石化油服环保公司将大概率受益于中石化在环保领域的资本开支,与国内外研究院、一流环保公司合作,将涵盖石油产业链中的固废处理、土壤修复等各个生产、炼化环节,增加新的收入来源和利润贡献。
    4、全球油田环保市场年均10%的稳定增长,前四家公司合计市占率达到70%
    根据Spear&Associates数据,全球油田环保市场规模最高为46亿美元,过去十年内年均增速10%左右,从行业竞争格局看,主要被斯伦贝谢、NOV、哈利伯顿等油服企业占有大部分市场份额。
    5、油服业务受益油价反弹、页岩气开发,油田环保、管线运维等提供新增长点
    随着原油运行区间上行至60美金后,油田工程技术服务有望迎来业绩的持续好转,环保及储气库等新业务也将成为新的增长点。公司正在进行的非公开发行中大股东认购不低于50%且将同步引入管理层认购,也彰显内部对公司未来趋势向上的认可。维持石化油服(600871.CH/人民币2.99,买入)目标价3.54元,维持买入评级。",,中银国际,买入,[None],2018-01-18,,买入,2112256,"pdf_downloads/2018/2018-01-18/600871-石化油服(600871)：进军油田环保,寻求业绩增长点.pdf",600871,石化油服,"石化油服(600871)：进军油田环保,寻求业绩增长点"
"杨绍辉,闵琳佳","支撑评级的要点
  位居全球油服行业第四位。中石化石油工程公司2016年收入430亿元,经营收入规模与原第四大国际油服公司Weatherford相当,位居国内油服上市公司首位。公司主营业务包括地球物理、钻完井、测录井、井下特种作业以及工程建设服务等5大板块,能够为油气田提供涵盖其勘探、开发和生产的整个生命周期的全面工程与技术服务,主导中石化过去在普光、元坝、塔河等高难度油气田开发,以及涪陵焦石坝页岩气开发,钻完井技术国内领先。
  国内非常规油气开发最大受益者。中石化石油工程公司约60%的收入来自集团公司关联交易,而中石化的油气产量增长主要来自西北和西南地区的致密油气和页岩油气,与11-12年大牛地和红河油田不同的是,目前涪陵地区的页岩气开发约80%-85%工程技术服务价值量由中石化石油工程公司提供。
  油服业务顺应油价上行周期,具备业绩弹性。在油服行业低谷,公司承担了设备利用率大幅下滑至50%的经营压力,销售收入较最高点减少了50%,净利润从2014年盈利12亿元转变为近两年大幅亏损。随着油价运行区间上移,中石化石油工程公司的收入和盈利能力具备改善空间。
  市场倒逼企业变革,环保及储气库等新业务也将成为新的增长点。我们认为油服企业必然思考低油价环境下传统油气工程技术服务业务的局限性,市场将倒逼企业寻求新的盈利增长点,石化油服将在2018年承接中石化集团的储气库建设、油田环保服务及天然气管线施工运营。
  评级面临的主要风险
  工程技术服务的价格竞争风险;原油价格持续的下行风险。
  估值
  考虑公司业绩将扭亏为盈,参考国际油服估值水平,按照2019年20倍估值约500亿元,对应目标价3.54元,给予买入评级。",,中银国际,买入,[None],2018-01-10,,买入,2108259,"pdf_downloads/2018/2018-01-10/600871-石化油服（600871）：油服业务受益油价反弹、页岩气开发,油田环保、管线运维等提供新增长点.pdf",600871,石化油服,"石化油服（600871）：油服业务受益油价反弹、页岩气开发,油田环保、管线运维等提供新增长点"
