author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"杨林,薛聪,董丙旭",2025年12月29日公司公告，中国石油集团累计增持公司3000万股A股股份，约占公司已发行总股份的0.02%；中国石油集团全资子公司FairyKingInvestmentsLtd.累计增持公司1189.6万股H股股份，约占公司已发行总股份的0.01%。国信化工观点：1）集团拟增持28-56亿元A股及H股股份，首次增持彰显信心：中国石油天然气股份有限公司（以下简称公司）于2025年4月8日在上海证券交易所网站披露了《中国石油天然气股份有限公司关于控股股东增持公司股份计划的公告》，公司控股股东中国石油天然气集团有限公司（以下简称中国石油集团）计划自2025年4月8日起12个月内增持公司A股及H股股份，拟增持金额不少于人民币28亿元，不超过人民币56亿元。截至2025年12月29日，中国石油集团累计增持公司3000万股A股股份、1189.6万股H股股份。2）公司硫磺产能超过350万吨/年，硫磺价格上涨有望提升业绩：硫磺是炼化副产品，供给端俄罗斯炼厂遭袭停产，需求端磷肥、制酸需求刚性，硫磺供需紧平衡，2024年下半年起价格持续上行。目前国内固体/液体硫磺均价分别达3750元/吨、3800元/吨，同比涨幅均超150%。公司旗下炼厂合计硫磺产能超过350万吨/年，且硫磺为副产物，成本以固定费用为主，价格上涨将显著增厚利润。3）海外炼厂关停叠加国内反内卷，公司是国内炼油、乙烯、芳烃龙头有望受益：目前全国炼油产能已突破10亿吨/年，为全球第一，但产能利用率却已跌至70%左右，结构性过剩逾3亿吨。除炼油能力过剩外，国内曾经长期短缺的大宗石化产品如烯烃和芳烃也已经迎来供给饱和与过剩，2024年底国内聚烯烃年产能7800万吨，产量6225万吨，过剩1000万吨以上；2024年底我国PTA产能达8601.5万吨，产量为7180万吨，同样过剩近1000万吨。《石化化工行业稳增长工作方案（2025-2026年）》指出，石化领域严格执行新建炼油项目产能减量置换要求，严控新增炼油产能，科学调控乙烯、对二甲苯新增产能投放节奏。公司作为国内炼油、乙烯、芳烃龙头有望充分受益。4）投资建议：维持盈利预测，预计公司2025-2027年归母净利润为1674/1709/1740亿元，摊薄EPS为0.91/0.93/0.95元，对于当前A股PE为11.2/11.0/10.8x，维持“优于大市”评级。评论：集团拟增持28-56亿元A股及H股股份，首次增持彰显信心中国石油天然气股份有限公司（以下简称公司）于2025年4月8日在上海证券交易所网站披露了《中国石油天然气股份有限公司关于控股股东增持公司股份计划的公告》，公司控股股东中国石油天然气集团有限公司（以下简称中国石油集团）计划自2025年4月8日起12个月内增持公司A股及H股股份，拟增持金额不少于人民币28亿元，不超过人民币56亿元。截至2025年12月29日，中国石油集团累计增持公司3000万股A股股份、1189.6万股H股股份。公司硫磺产能超过350万吨/年，硫磺价格上涨有望提升业绩硫磺是炼化副产品，供给端俄罗斯炼厂遭袭停产，需求端磷肥、制酸需求刚性，硫磺供需紧平衡，2024年下半年起价格持续上行。目前国内固体/液体硫磺均价分别达3750元/吨、3800元/吨，同比涨幅均超150%。公司旗下炼厂合计硫磺产能超过350万吨/年，且硫磺为副产物，成本以固定费用为主，价格上涨将显著增厚利润。海外炼厂关停叠加国内反内卷，公司是国内炼油、乙烯、芳烃龙头有望受益目前全国炼油产能已突破10亿吨/年，为全球第一，但产能利用率却已跌至70%左右，结构性过剩逾3亿吨。除炼油能力过剩外，国内曾经长期短缺的大宗石化产品如烯烃和芳烃也已经迎来供给饱和与过剩，2024年底国内聚烯烃年产能7800万吨，产量6225万吨，过剩1000万吨以上；2024年底我国PTA产能达8601.5万吨，产量为7180万吨，同样过剩近1000万吨。《石化化工行业稳增长工作方案（2025-2026年）》指出，石化领域严格执行新建炼油项目产能减量置换要求，严控新增炼油产能，科学调控乙烯、对二甲苯新增产能投放节奏。公司作为国内炼油、乙烯、芳烃龙头有望充分受益。投资建议：维持盈利预测，维持“优于大市”评级维持盈利预测，预计公司2025-2027年归母净利润为1674/1709/1740亿元，摊薄EPS为0.91/0.93/0.95元，对于当前A股PE为11.2/11.0/10.8x，维持“优于大市”评级。风险提示原油价格大幅波动的风险；自然灾害频发的风险；新项目投产不及预期的风险；地缘政治风险；政策风险等。,,国信证券,优于大市,[None],2025-12-31,,买入,8304557,pdf_downloads/2025/2025-12-31/601857-中国石油（601857）：集团首次增持彰显信心，硫磺价格上涨有望提升业绩.pdf,601857,中国石油,中国石油（601857）：集团首次增持彰显信心，硫磺价格上涨有望提升业绩
"钱伟伦,甄理",投资要点事件：中国石油发布2025年三季报，2025年前三季度公司实现营业收入21692.56亿元，同比减少3.92%，实现归母净利润1262.79亿元，同比减少4.90%；2025年三季度实现营业收入7191.57亿元，同比增长2.34%，环比增长3.18%，实现归母净利润422.86亿元，同比减少3.86%，环比增长13.71%。上下游协同布局，油气储量领先。公司是国有重要骨干企业和全球主要的油气生产商和供应商之一，在全球33个国家和地区开展油气投资业务，公司天然气业务覆盖全国31个省（自治区、直辖市）和香港特别行政区。公司上游能源业务包括原油及天然气的勘探、开发、生产、输送和销售及新能源业务；在炼化石化方面，公司布局有原油及石油产品的炼制，以及化工产品的生产和销售及新材料业务；公司在下游销售贸易领域涉及炼油产品和非油品的销售以及贸易业务；天然气的输送及销售业务。2024年公司原油证实储量为61.8亿桶，天然气证实储量为72.8万亿立方英尺。原油价格承压，天然气销量增速较为平稳。OPEC开启增产计划，全球经济增速有所减缓，国际油价面临下行压力，2025年1-9月北海布伦特原油、美国西德克萨斯中质原油现货平均价格分别为70.93美元/桶、66.73美元/桶，分别同比下降14.3%、14.1%。2025年1-9月公司原油平均实现价格为65.55美元/桶，同比2024年同期的76.88美元/桶下降14.7%；国内天然气平均销售价格为8.81美元/千立方英尺，同比2024年同期的8.90美元/千立方英尺下降1.0%。2025年1-9月，公司原油产量714.3百万桶，同比增长0.8%；可销售天然气产量3977.2十亿立方英尺，同比增长4.6%；公司油气当量产量1377.2百万桶同比增长2.6%。公司持续推动油气增储上产，油气勘探业务有望稳步增长。新材料业务放量，天然气销量稳步增长。公司化工产品持续放量，2025年1-9月化工产品产量2959.0万吨，同比增长3.3%，其中新材料产量增长59.4%。公司吉林乙烯项目成功开车，广西石化公司、蓝海新材料公司等项目持续推进，有望推动化工板块快速增长。2025年1-9月公司销售汽油、煤油、柴油共计12087.6万吨，同比增长0.8%；销售天然气2185.41亿立方米，同比增长4.2%。盈利预测与投资建议：公司油气储量丰富，炼化化工板块有望持续放量，天然气销售保持稳健增长，我们预计未来三年归母净利润复合增长率为2.99%，给予2026年14倍PE，目标价13.02元，首次覆盖给予“买入”评级。风险提示：天然气价格下降风险；原油价格下降风险；化工产品供给过剩风险。,,西南证券,买入,[None],2025-11-13,,买入,7971570,pdf_downloads/2025/2025-11-13/601857-中国石油（601857）：油气产量稳步增长，2025Q3业绩环比提升.pdf,601857,中国石油,中国石油（601857）：油气产量稳步增长，2025Q3业绩环比提升
"庄汀洲,张雄",11月6日中国石油出席了我们组织的2026年度投资峰会，会上公司解读了今年前三季度以及Q3单季的经营情况，同时深入介绍了天然气业务的增长亮点，并重申了近年的分红派息情况。考虑公司天然气业务降本增量潜力，抵御油价波动的韧性显著提升，维持A/H“增持”评级。核心亮点：1、前三季度公司原油产量同比+0.8%至714百万桶，实现价格同比-14.7%至65.55美元/桶，可销售天然气产量同比+4.6%至3977十亿立方英尺，单位油气操作成本同比-6.1%至10.79美元/桶。前三季度油气与新能源分部坚持稳油增气，加强成本费用管控，优化新能源业务布局和发展策略，但受国际油价大幅下跌的不利影响，板块经营利润同比下降192亿元至1251亿元。2、前三季度公司销售天然气2185.4亿立方米，同比+4.2%，其中国内销量1708.9亿立方米，同比+4.9%。前三季度天然气销售板块持续优化进口气资源池结构，有效控制综合采购成本，不断提升高端市场销量占比，降本增量带动板块经营利润同比提升60.1亿元至312.8亿元。3、近年来公司业务结构显著改变，前三季度天然气产业链（包含上游天然气开采和天然气销售）利润占比超50%，主要系国内天然气产销量稳步提升，同时资源池结构优化下进口气成本持续下降。此外，我国进口管道气长协挂靠油价，且有6-9个月的延迟，我们认为供需弱势下油价处于下行阶段，有望进一步缓解公司进口气成本压力。4、2010年以来中国石油股利支付率持续不低于45%，即便在2016-2017年业绩低迷阶段仍保持较高绝对分红金额。2024年公司归母净利润创历史新高之际，股利支付率为52.2%，高于历史高盈利年的股利支付率。长期以来，公司十分注重股东回报，预计未来仍有望维持稳定的分红派息政策。盈利预测与估值基于审慎原则，我们维持25-27年归母净利润预测为1585/1617/1685亿元，EPS为0.87/0.88/0.92元，以0.91港币对人民币折算，结合A/H股可比公司估值（26年Wind、Bloomberg一致预期13.3/10.6xPE），考虑公司较可比公司原油产量较高，故受油价波动影响相对较大，给予26年12.5/9.5xPE，A/H目标价11.00元/9.19港元（与前值一致），维持A/H“增持”。风险提示：国际油价大幅下跌风险；中国经济修复力度不达预期风险；国际天然气资源显著过剩风险。,,华泰证券,增持,[None],2025-11-07,,增持,7570947,pdf_downloads/2025/2025-11-07/601857-中国石油（601857）：2026年度投资峰会速递：天然气业务降本增量彰显核心竞争力.pdf,601857,中国石油,中国石油（601857）：2026年度投资峰会速递：天然气业务降本增量彰显核心竞争力
"徐中良,余嫄嫄","中国石油(601857)公司发布2025年三季报，前三季度实现营业总收入21692.56亿元，同比降低3.92%；归母净利润1262.79亿元，同比降低4.90%；扣非归母净利润1268.74亿元，同比降低6.40%其中，第三季度营收7191.57亿元，同比增长2.34%，环比增长3.18%；归母净利润422.86亿元，同比降低3.86%，环比增长13.71%。公司油气产量稳中有增，新能源业务加速发展，炼油化工深入推进转型升级，天然气销售效益持续提升，看好公司全产业链的竞争优势，维持买入评级。支撑评级的要点经营韧性凸显，三季度业绩环比增长。2025年前三季度，布伦特原油平均价格为70.93美元/桶，同比下跌14.3%。2025年前三季度公司毛利率为21.09%，同比降低0.47pct加权平均净资产收益率为8.1%，同比减少0.8pct，经营活动产生的现金流量净额为3431亿元，同比增长3.3%。其中单三季度，净资产收益率（摊薄）为2.70%，环比提升0.29pct。分板块来看，油气和新能源/炼油化工和新材料/销售/天然气销售分部经营利润分别为1,251.03亿元/162.40亿元/116.26亿元/312.79亿元，同比分别-13.28%/+6.28%/-9.88%/+23.79%。2025年前三季度公司销售/管理/研发/财务费用率分别为2.0%/2.3%/0.7%/0.4%，分别同比-0.0pct/+0.2pct/+0.0pct/-0.1pct。公司抵御外部油价波动的能力增强，提质增效成效显著。油气产量稳步提升，新能源业务高速增长。2025年前三季度，公司油气当量产量达1377.2百万桶，同比增长2.6%，其中原油产量同比增长0.8%，可销售天然气产量同比增长4.6%；公司持续加强成本费用管控，2025年前三季度油气单位操作成本10.79美元/桶，比上年同期的11.49美元/桶下降6.1%。此外，新能源板块表现突出，风光发电量同比增长72.2%，公司统筹布局风光发电、地热、氢能等新能源业务，因地制宜发展新质生产力，新能源业务保持高速增长势头。炼油化工深入推进转型升级，迈向炼化生精材产业链中高端。2025年前三季度，炼油业务实现经营利润144.53亿元，同比增长22.68%，化工业务实现经营利润17.87亿元，同比减少17.12亿元。公司加工原油1040.6百万桶，同比增长0.4%；化工产品商品量2,959.0万吨，比上年同期的2,864.3万吨增长3.3%，其中合成纤维原料及聚合物、合成橡胶产量分别增长14.0%和10.1%，新材料产量增长59.4%。公司持续优化装置运行和产品结构，吉林石化公司炼油化工转型升级项目核心乙烯装置一次开车成功，广西石化公司、蓝海新材料公司等转型升级项目稳步推进，产业升级未来可期。天然气销售效益持续提升。2025年前三季度，公司销售天然气2,185.41亿立方米，同比增长4.2%，其中国内销售天然气1,708.92亿立方米，同比增长4.9%，天然气销售分部实现营业收入4,473.38亿元，同比增长5.3%；实现经营利润312.79亿元，同比增长23.79%。公司天然气销售业务统筹国内与国际资源，优化资源池结构，控制综合采购成本，加大营销力度，提升高端高效市场销量占比，积极运用线上销售机制，并大力开发直销客户与终端销售业务，推动销售效益持续提升。估值我们预计2025-2027年归母净利润为1,660.51亿元、1,694.82亿元、1,727.05亿元，对应市盈率为10.5倍、10.3倍、10.1倍，公司油气产量结构优化，炼油化工转型升级深入推进，看好公司全产业链的竞争优势，维持买入评级。评级面临的主要风险国际油价剧烈波动风险、环保政策变化或自然灾害等因素导致生产装置异常、人员操作失误带来的安全生产风险、全球经济增速放缓的风险、关税政策变化的风险等。",,中银国际,买入,[None],2025-11-06,,买入,7518012,pdf_downloads/2025/2025-11-06/601857-中国石油（601857）：三季度业绩环比增长，天然气销售效益持续提升.pdf,601857,中国石油,中国石油（601857）：三季度业绩环比增长，天然气销售效益持续提升
"朱军军,杨思远,张海榕",给予“增持”评级。由于2025年油价同比下跌，我们下调公司2025-2027年EPS分别为0.84、0.85、0.87元，预计2025年公司BPS为8.93元。结合可比公司估值水平，考虑到公司是中国油气行业最大的的油气生产和销售商，也是世界最大的石油公司之一，我们按照2025年BPS及1.2倍的PB，给予目标价10.72元，维持“增持”投资评级。三季度业绩同比下降、环比上升。2025Q1-Q3，公司实现总营业收入21692.56亿元，同比-3.92%；实现归母净利润1262.79亿元，同比-4.90%。单季度看，2025Q3公司实现营业收入7191.57亿元，同比+2.34%，环比+3.18%。实现归母净利润422.86亿元，同比-3.86%，环比+13.71%。油气与新能源业务受油价下跌影响较大。2025年第三季度，公司油气与新能源业务实现营业收入1997.43亿元，同比-12.7%；实现经营利润394.17亿元，同比-25.10%，主要由于原油销售价格下降所致。天然气销量增长，天然气销售业务经营利润+49.5%。2025年三季度，公司天然气销售业务实现经营收入1363.95亿元，同比+7.6%；实现经营利润126.53亿元，同比+49.5%。2025Q3，公司可销售天然气产量为12936亿立方英尺，同比+6.07%。风险提示。行业市场环境波动，市场需求不及预期，原材料价格上涨。,,国泰海通,增持,[None],2025-11-04,,买入,7385176,pdf_downloads/2025/2025-11-04/601857-中国石油（601857）：三季度业绩保持稳定，天然气业务持续增长.pdf,601857,中国石油,中国石油（601857）：三季度业绩保持稳定，天然气业务持续增长
Junjun Zhu,本报告导读：2025年三季度，公司业绩保持稳定。 油气与新能源业务受油价下跌影响较大，天然气业务保持增长投资要点：给予“优于大市”评级。由于2025年油价同比下跌，公司2025-2027年EPS分别为0.84、0.85、0.87元，预计2025年公司BPS为8.93元。结合可比公司估值水平，考虑到公司是中国油气行业最大的的油气生产和销售商，也是世界最大的石油公司之一，我们按照2025年BPS及1.2倍的PB，给予目标价10.72元，维持“优于大市”投资评级。三季度业绩同比下降、环比上升。2025Q1-Q3，公司实现总营业收入21692.56亿元，同比-3.92%；实现归母净利润1262.79亿元，同比-4.90%。单季度看，2025Q3公司实现营业收入7191.57亿元，同比+2.34%，环比+3.18%。实现归母净利润422.86亿元，同比-3.86%，环比+13.71%。油气与新能源业务受油价下跌影响较大。2025年第三季度，公司油气与新能源业务实现营业收入1997.43亿元，同比-12.7%；实现经营利润394.17亿元，同比-25.10%，主要由于原油销售价格下降所致。天然气销量增长，天然气销售业务经营利润+49.5%。2025年三季度，公司天然气销售业务实现经营收入1363.95亿元，同比+7.6%；实现经营利润126.53亿元，同比+49.5%。2025Q3，公司可销售天然气产量为12936亿立方英尺，同比+6.07%。风险提示。行业市场环境波动，市场需求不及预期，原材料价格上涨。,,海通国际证券,优于大市,[None],2025-11-03,,买入,7380497,pdf_downloads/2025/2025-11-03/601857-中国石油（601857）：三季度业绩保持稳定，天然气业务持续增长.pdf,601857,中国石油,中国石油（601857）：三季度业绩保持稳定，天然气业务持续增长
"许隽逸,张玮航,陈律楼,陈康迪",事件中国石油于2025年10月30日发布公司2025年第三季度报告，2025年前三季度公司实现营业收入21692.56亿元，同比减少3.9%；实现归母净利润1262.79亿元，同比减少4.9%。其中，2025Q3实现营业收入7191.57亿元，同比增加2.3%，环比增加3.2%，实现归母净利润422.86亿元，同比减少3.9%，环比增加13.71%。油价环比上升，影响上游油气板块业绩2025Q3布伦特原油期货结算价均价为68.17美元/桶，同比下降13.4%，环比上升2.2%。公司持续推进稳油增气，2025年前三季度公司原油产量714.3亿桶，同比增加0.8%；天然气产量3.98兆立方英尺，同比增加4.6%，天然气产量占油气当量产量比重为48.13%，同比提升0.9pct，天然气产量份额持续提升。同时公司降本增效、有效控费，单位油气操作成本为10.79美元/桶，同比下降6.1%。成品油市场需求下滑，持续推动减油增化2025年前三季度汽油/柴油/煤油表观消费量分别达10980万吨/14193万吨/2951万吨，分别同比减少5.8%/减少2.6%/增加1.1%，成品油消费需求略有下滑。公司2025年前三季度汽油/柴油/煤油产量分别达3470.8万吨/4006.3万吨/1481.9万吨，分别同比减少4.8%/增加0.3%/增加9.5%。公司紧跟市场需求，优化调整生产方案和产品结构。天然气销售增销增效2025年前三季度公司销售天然气2185.41亿立方米，同比增加4.2%，其中国内销售天然气1708.92亿立方米，同比增加4.9%。天然气板块经营利润持续改善，2025年前三季度天然气销售经营利润4473.38亿元，同比增长5.3%，公司持续优化进口天然气资源池结构，加大直销客户和终端市场开发力度，未来随天然气销售市场化的持续推进，后续公司天然气板块盈利能力有望进一步增强。盈利预测与评级我们认为公司在央企改革的大背景下，天然气弹性释放可以部分对冲原油价格的负面波动，公司的核心竞争力将有望持续体现，我们预计2025-2027年公司归母净利润1600亿元/1619亿元/1660亿元，对应EPS分别为0.87元/0.88元/0.91元，对应PE为10.5X/10.3X/10.1X，维持“买入”评级。风险提示：地缘政治扰乱全球原油市场；成品油价格放开风险；终端需求不景气风险；境外业务经营风险；意外事故风险；汇率风险；不可抗力因素。,,国联民生证券,买入,[None],2025-11-02,,买入,7589617,pdf_downloads/2025/2025-11-02/601857-中国石油（601857）：深化央企改革，业绩彰显强韧.pdf,601857,中国石油,中国石油（601857）：深化央企改革，业绩彰显强韧
"庄汀洲,张雄",2025年10月31日│中国内地/中国香港 石油化工 中国石油于10月30日发布三季报：前三季度实现营业收入21693亿元，同比下降3.9%，实现归母净利润1263亿元（扣非后1269亿元），同比下降4.9%（扣非后同比下降6.4%）；其中Q3单季实现营业收入7192亿元，同环比增2.3%/3.2%，实现归母净利润423亿元，同环比变化-3.9%/+13.7%。公司Q3归母净利超出我们的前瞻预期（405亿元），主要系天然气板块销量及经营利润率超出预期，考虑公司天然气业务降本增量潜力，维持A/H“增持”评级。持续推动稳油增气、降本增效，国际油价下跌致利润下滑前三季度公司原油产量同比+0.8%至714百万桶，实现价格同比-14.7%至65.55美元/桶，可销售天然气产量同比+4.6%至3977十亿立方英尺，单位油气操作成本同比-6.1%至10.79美元/桶。前三季度油气与新能源分部坚持稳油增气，加强成本费用管控，优化新能源业务布局和发展策略，但受国际油价大幅下跌的不利影响，板块经营利润同比下降192亿元至1251亿元。炼油业务同比增利，炼化生精材产业链逐步迈向中高端前三季度公司原油加工量同比+0.4%至1041百万桶，其中汽油/柴油/煤油产量同比-4.8%/+0.3%/+9.5%，化工商品量同比+3.3%至2959万吨。前三季度板块经营利润同比增加9.6亿元至162.4亿元，其中炼油业务利润同比增加26.7亿元至144.5亿元，需求复苏缓慢致化工业务利润同比下滑17.1亿元至17.9亿元。同时吉林石化乙烯装置一次开车成功，广西石化、蓝海新材料等重点转型升级项目稳步推进。境内成品油销量同比微增，加快“油气氢电非”协同发展前三季度公司成品油总销量12088万吨，同比+0.8%，其中境内成品油总销量8964万吨，同比+0.1%。成品油销售板块持续优化营销策略，努力扩销降库，大力发展LNG终端加注和换电业务，但受成品油销售价格下滑的不利影响，前三季度板块经营利润同比下滑12.7亿元至116.3亿元。天然气降本增量成果卓越，板块经营利润显著扩大前三季度公司销售天然气2185.4亿立方米，同比+4.2%，其中国内销量1708.9亿立方米，同比+4.9%。前三季度天然气销售板块持续优化进口气资源池结构，有效控制综合采购成本，不断提升高端市场销量占比，降本增量带动板块经营利润同比提升60.1亿元至312.8亿元。盈利预测与估值考虑Q4油价开启下行通道以及年末资产减值损失，基于审慎原则，我们维持25-27年归母净利润预测为1585/1617/1685亿元，EPS为0.87/0.88/0.92元，以0.91港币对人民币折算，结合A/H股可比公司估值（26年Wind、Bloomberg一致预期12.8/10.2xPE），考虑公司较可比公司原油产量较高，故受油价波动影响相对较大，给予26年12.5/9.5xPE，A/H目标价11.00元/9.19港元（前值10.44元/8.80港元，对应25年12.0/9.2xPE，港币汇率0.91），维持A/H“增持”。风险提示：国际油价大幅下跌风险；中国经济修复力度不达预期风险；国际天然气资源显著过剩风险。,,华泰证券,增持,[None],2025-11-01,,增持,7151068,pdf_downloads/2025/2025-11-01/601857-中国石油（601857）：天然气业务降本增量支撑业绩超预期.pdf,601857,中国石油,中国石油（601857）：天然气业务降本增量支撑业绩超预期
"周泰,李航,王姗姗,卢佳琪",利润环比高增，行业龙头稳健性凸显事件：2025年10月30日，公司发布2025年第三季度报告。2025年前三季度，公司实现营业收入21692.6亿元，同比下降3.9%；实现归母净利润1262.8亿元，同比下降4.9%；实现扣非归母净利润1268.7亿元，同比下降6.4%。成品油销售和天然气销售是Q3利润环比增长的主要驱动。25Q3，公司实现营业收入7191.6亿元，同/环比+2.3%/+3.2%；实现归母净利润422.9亿元，同/环比-3.9%/+13.7%；扣非归母净利润为427.6亿元，同/环比-2.2%/+13.9%。25Q3，公司总经营利润为580.2亿元，同/环比-8.0%/+11.9%，环比增幅主要由销售、天然气销售业务贡献，二者经营利润分别为40.6/126.5亿元，环比+61.3%/+147.2%，油气新能源/炼油/化工业务经营利润分别为394.2/47.9/4.0亿元，环比分别-0.4%/-6.3%/-28.8%。勘探业务生产经营稳健，油价环比提升。25Q3，公司实现油气当量产量453百万桶，同/环比+3.8%/-0.7%；其中，原油产量238百万桶、同/环比+1.9%/+0.7%，天然气产量12936亿立方英尺（约366亿立方米）、同/环比+6.1%/-2.2%。据wind数据，25Q3，布伦特原油期货结算均价为68.17美元/桶，同/环比-13.4%/+2.2%。总体来看，油气新能源业务经营利润环比表现相对稳健。天然气销售效益提升显著。25Q3，公司统筹国内和国际、长约和现货，持续优化资源池结构，努力控制综合采购成本；持续加大营销力度，不断提升高端高效市场销量占比；积极运用线上销售等机制，努力提升销售效益；大力开发直销客户和终端销售业务；实现天然气销量671亿立方米，同/环比+7.1%/+3.1%。炼化业务深入推进转型升级。25Q3，公司原油加工量为346百万桶，同/环比+1.0%/-3.0%。其中，汽/柴/煤油产量分别为1135/1348/519万吨，同比-5.7%/+2.3%/+13.3%，环比-3.9%/-5.0%/+3.8%；主要化工品乙烯/合成树脂产量分别为222/333万吨，同比+5.1%/+2.2%，环比+0.6%/-5.8%。此外，公司的吉林石化炼油化工转型升级项目核心乙烯装置一次开车成功，广西石化公司、蓝海新材料公司等转型升级项目稳步推进。销售业务边际改善，彰显营销策略成效。为了克服成品油市场需求下降的影响，公司坚持保销量、保份额、保效益，分产品、分市场有针对性制定差异化、精细化营销策略；大力发展非油和车用LNG加注业务，努力开发效益增长点；提升国际贸易运营能力，推动产业链降本增效。25Q3，公司汽/柴/煤油销量分别为1699/1935/672万吨，同比+2.1%/+5.5%/+14.7%，环比+11.1%/+0.2%/+4.2%，同环比均有改善，且煤油需求持续高增长。投资建议：公司是国内油气龙头企业，油气上游资源丰富，下游产业链完整。我们预计公司2025~2027年归母净利润分别为1598.00/1632.17/1740.83亿元，EPS分别为0.87/0.89/0.95元/股，对应2025年10月30日收盘价的PE均为10倍，维持“推荐”评级。风险提示：原油价格大幅波动的风险，化工品所需原材料价格上涨的风险，需求复苏不及预期的风险。,,民生证券,推荐,[None],2025-10-31,,增持,7101685,pdf_downloads/2025/2025-10-31/601857-中国石油（601857）：利润环比高增，行业龙头稳健性凸显.pdf,601857,中国石油,中国石油（601857）：利润环比高增，行业龙头稳健性凸显
"刘红光,刘奕麟","事件：2025年10月30日晚，中国石油发布 2025年三季度报告。2025年前三季度公司实现营业收入21,692.56亿元，同比下降3.86%；实现归母净利润1,262.94亿元，同比下降4.70%；实现扣非后归母净利润1268.74亿元，同比下降6.40%；实现基本每股收益0.69元，同比下降4.9%。其中，第三季度公司实现营业收入7,191.57亿元，同比增长2.38%，环比增长3.18%；实现归母净利润422.87亿元，同比下降3.70%，环比增长13.72%；实现扣非后归母净利润427.58亿元，同比下降2.2%，环比增长13.86%；实现基本每股收益0.23元，同比下降3.9%，环比增长15.00%。点评：油价中枢下行，勘探开发板块对业务带来一定拖累。油价端，进入2025年，在宏观存有一定压力而产业支撑相对不足的大背景下，上半年原油市场运行疲弱、价格重心不断下移；第三季度受国际贸易争端降级、地缘局势频繁扰动以及美国石油去库周期影响，国际油价整体企稳运行。2025年前三季度布伦特平均油价为70美元/桶，同比下跌15%，其中第三季度平均油价为68美元/桶，环比上涨2%。受油价中枢下行影响，公司前三季度业绩有所回落，但整体业绩跌幅小于油价跌幅，公司抗风险能力突出。分板块盈利看，前三季度公司油气及新能源、炼化及新材料、销售板块、天然气销售板块分别实现经营利润人民币1251、162、116、313亿元，同比-192、+10、-13、+60亿元，其中第三季度各板块分别实现经营利润394、52、41、127亿元，环比-2、-5、+15、+75亿元。总体来看，前三季度受油价下跌影响，公司上游油气及新能源业务对公司业绩带来拖累，炼化板块盈利有所修复，销售板块仍相对疲软，天然气板块业绩贡献提升明显。油气产量持续增长，降本增效进一步深化。2025年前三季度公司进一步加大国内勘探开发力度，持续优化海外业务结构和资产布局，有效推动油气增储上产。油气方面，2025年前三季度，公司实现油气当量产量1,377.2百万桶，同比增长2.6%，其中原油产量714.3百万桶，同比增长0.8%，天然气产量662.9百万桶油当量，同比增长4.6%，油气产量稳中有增。公司前三季度持续加强成本费用管控，2025年前三季度油气单位操作成本10.79美元/桶，同比下降6.1%，降本成效显著。新能源方面，公司加速完善新能源业务布局，新能源业务保持高速增长势头，风光发电量同比增长72.2%。炼化板块供需相对偏弱，转型升级持续深化。炼油板块，2025年前三季度公司原油加工量为1,040.6百万桶，与去年同期基本持平，成品油产量8959万吨，同比-0.4%。成品油销售板块，公司克服成品油市场需求下降影响，分产品、分市场有针对性制定差异化、精细化营销策略，助力国内成品油销量逆势增长，前三季度公司成品油销售量12087万吨，同比+0.8%，主要贡献来自柴油及煤油产品。化工板块，前三季度公司持续优化装置运行和产品结构，深入推进转型升级，实现化工产品商品量2959万吨，同比增长3.3%，新材料产品产量同比增长59.4%，新材料业务保持高速增长。我们认为，短期来看，当前炼化行业整体供需仍相对偏弱，但公司炼化板块加快生产结构优化，优化资源配置，新材料研发持续提速，在行业景气低迷阶段仍具备较强的抗风险能力。天然气销售业绩贡献明显提升，实现量效双升。前三季度公司统筹国内和国际、长约和现货，持续优化资源池结构，控制综合采购成本，销售效益稳步提升，第三季度业绩环比增量明显。前三季度公司实现销售天然气2185.41亿立方米，同比增长4.2%；国内销售天然气1708.92亿立方米，同比增长4.9%，公司天然气产业链创效能力突出，助力公司业绩安全边际增厚。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为1675.30、1761.91和1823.96亿元，归母净利润增速分别为1.7%、5.2%和3.5%，EPS（摊薄）分别为0.92、0.96和1.00元/股，对应2025年10月30日的收盘价，2025-2027年PE分别为9.94、9.45和9.13倍。我们看好公司作为国内油气龙头的全产业链抗风险能力和降本增效推进过程中的业绩修复，我们维持公司“买入”评级。风险因素：增储上产不及预期风险；原油价格大幅波动风险；公司新建产能投产不及预期的风险；下游需求修复不及预期的风险；新能源汽车销售替代风险",,信达证券,买入,[None],2025-10-31,,买入,7098346,pdf_downloads/2025/2025-10-31/601857-中国石油（601857）：油价中枢下移，油气龙头全产业链抗风险能力突出.pdf,601857,中国石油,中国石油（601857）：油价中枢下移，油气龙头全产业链抗风险能力突出
