author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"盛丽华,龙永茂","大参林(603233)Q3业绩高速增长，经营质量持续提升l业绩环比提速增长，盈利能力持续提升公司发布2025年三季报：2025Q1-3公司实现营业收入200.68亿元（+1.71%），归母净利润10.81亿元（+25.97%），扣非净利润10.73亿元（+25.93%），经营现金流净额37.29亿元（+48.60%）。分季度来看，2025Q1、Q2、Q3营业收入分别为69.56亿元（+3.02%）、65.67亿元（-0.41%）、65.46亿元（+2.51%），归母净利润分别为4.6亿元（+15.45%）、3.38亿元（+30.49%）、2.83亿元（+41.04%），扣非净利润分别为4.55亿元（+14.82%）、3.34亿元（+27.15%）、2.84亿元（+47.01%）。从盈利能力来看，2025Q1-3毛利率为34.82%（+0.14pct），归母净利率为5.39%（+1.04pct），扣非净利率为5.35%（+1.03pct）。费率方面，2025Q1-3销售费用率为21.78%（-1.57pct），管理费用率为4.43%（+0.18pct），研发费用率为0.23%（-0.02pct），财务费用率为0.60%（-0.16pct）。l零售业务毛利率改善，加盟及分销业务营收持续增长分行业来看，2025Q1-3零售业务营收163.40亿元（-0.07%），毛利率为37.70%（+0.44pct）。今年以来，公司实施的营促销策略优化、品项优化、供应链整合、谈降采购成本等策略效果显著，公司零售板块毛利率同比提升0.44个百分点，且呈现逐级加速的趋势。2025Q1-3加盟及分销业务营收31.99亿元（+8.38%），毛利率为9.39%（-1.55pct）。公司利用直营式加盟店的特点及优势，在弱势区域迅速布局直营式加盟店，带动加盟及分销业务收入的持续增长。分产品来看，2025Q1-3中西成药收入154.51亿元（+5.01%），毛利率为30.12%（-0.29pct）；中参药材收入19.63亿元（-13.47%），毛利率为42.70%（+0.46pct）；非药品收入21.25亿元（-8.43%），毛利率为45.62%（+3.32pct）。中西成药属于必选消费以及药店的引流品，需求较为稳定，持续保持较快的增长趋势。受到消费力下降的影响，公司中参药材及非药品的收入同比有所下滑，但随着公司针对性的选品迭代以及消费力初步触底，第三季度公司中参药材及非药品的收入下滑幅度环比前两季度有所减少。l动态优化门店网络截至2025年9月30日，公司拥有门店17,385家（含加盟店7,029家），净增门店832家，其中：新开自建门店300家，新增加盟店979家。公司根据竞争格局和地区优势制定扩张计划的同时，动态优化门店网络，关闭直营门店447家。l盈利预测及投资建议公司顺应行业周期，提质增效，利润释放潜力大，我们预计公司2025~2027营收分别为291.50、321.06、354.34亿元，归母净利",,中邮证券,买入,[None],2025-12-11,,买入,8232256,pdf_downloads/2025/2025-12-11/603233-大参林（603233）：Q3业绩高速增长，经营质量持续提升.pdf,603233,大参林,大参林（603233）：Q3业绩高速增长，经营质量持续提升
"陈曦炳,彭思宇","核心观点深耕医药零售行业，覆盖区域广泛。公司是国内规模领先的药品零售连锁企业，主营业务为中西成药、参茸滋补药材、中药饮片、保健品、医疗器械及日用百货的连锁零售，覆盖全国21个省，截至2025年9月30日，公司拥有门店总数17,385家，其中直营门店10,356家，加盟门店7,029家，门店网络规模居行业前列。公司近年来正从“规模扩张”转向“质量提升”，持续推进“自建+并购+直营式加盟”三轨并行的门店网络优化策略，聚焦已布局区域的加密与单店效能提升，同时积极推动高毛利非药业务增长。未来有望通过数字化供应链、自有配送体系与专业化服务强化核心竞争力，稳步提升全国市占率与盈利质量。连锁药房行业正在经历由规模扩张至质量竞争的深度转型期。根据米内网的数据，2023年我国零售药店市场规模为9293亿元，同比增长6.5%，但增速已明显下滑。零售药店数量自2024年第三季度的70.6万家开始出现下降，至2025年第一季度下降至69.9万家，主要因行业增速放缓以及线上平台冲击和政策监管的多重影响。在行业加速出清的背景下，大型连锁企业相较于中小药店存在成本、管理能力以及资金实力等方面的优势，预计未来会在竞争中占据主动地位，行业集中度和连锁化率将持续提升。公司2025年前三季度公司利润同比增速亮眼。2025年前三季度公司实现营业收入200.68亿元，同比增长1.7%；归母净利润10.81亿元，同比增长26.0%。单三季度来看，公司25Q3实现营业收入65.46亿元，同比增长2.5%；归母净利润2.83亿元，同比增长41.0%。得益于公司营销策略的改善、产品品类的优化以及降本增效措施的不断落地，公司利润端同比表现亮眼。后续公司收入端也有望随着闭店影响的不断出清而逐步改善。投资建议：公司为国内领先的医药零售连锁企业，凭借21省覆盖的17385家门店网络和“直营+加盟”双轮驱动模式，持续巩固行业头部地位。我们预计公司2025-2027年营业收入272.05/300.71/333.63亿元，同比+2.7%/+10.5%/+11.0%；预计公司2025-2027年归母净利润12.08/14.85/17.98亿元，同比增速+32.0%/23.0%/21.1%，当前股价对应PE=17.6/14.3/11.8倍。综合两种估值方法，我们认为公司合理市值区间为241.52~253.59亿元，较当前有16.0%~21.8%溢价空间。维持“优于大市”评级。风险提示：市场竞争加剧的风险、行业政策风险、开拓新市场影响公司短期盈利能力的风险、人力资源风险。",,国信证券,优于大市,[None],2025-12-06,,买入,8220678,pdf_downloads/2025/2025-12-06/603233-大参林（603233）：规模领先的连锁药房，立足华南翼展全国.pdf,603233,大参林,大参林（603233）：规模领先的连锁药房，立足华南翼展全国
"陈曦炳,彭思宇",2025年前三季度公司利润同比增速亮眼。2025年前三季度公司实现营业收入200.68亿元，同比增长1.7%；归母净利润10.81亿元，同比增长26.0%。单三季度来看，公司25Q3实现营业收入65.46亿元，同比增长2.5%；归母净利润2.83亿元，同比增长41.0%。得益于公司营销策略的改善、产品品类的优化以及降本增效措施的不断落地，公司利润端同比表现亮眼。后续公司收入端也有望随着闭店影响的不断出清而逐步改善。公司费用率整体呈下降趋势，利润率有所提升。2025年前三季度公司销售费用率21.8%（-1.6pp）；管理费用率4.4%（+0.2pp）；财务费用率0.6%（-0.2pp）；研发费用率0.2%（同比持平），得益于数字化与精细化管理成效，公司各项费用率维持整体下降的趋势。公司2025年前三季度毛利率34.8%（+0.1pp），净利率5.8%（+1.2pp）。分业务，公司零售业务前三季度实现毛利率37.7%（+0.4pp），加盟及分销业务毛利率9.4%（-1.55pp）；分产品，公司中西成药毛利率30.1%（-0.3pp），中参药材毛利率42.7%（+0.5pp），非药毛利率45.6%（+3.3pp）。未来随着公司在高毛利产品的重点布局以及降本措施持续推进，利润率有望得到长久改善。立足华南，翼展全国，在行业转型阶段逐步确立领先地位。在药店行业由高速扩张迈向深度整合的转型阶段，行业增速有所放缓，但处方外流、门诊统筹及零售终端专业化建设持续推进，为龙头企业带来结构性增长机遇。公司立足华南，通过“自建+加盟+并购”三线并举，在巩固华南高密度网点的同时，稳步向长三角、东北及中部等区域扩张，已形成覆盖全国21省市的头部连锁药房网络。公司有望凭借规模优势、运营能力和专业化服务能力，有望持续扩大市场份额，把握行业良性竞争和政策红利带来的新一轮成长空间投资建议：公司为国内领先的医药零售连锁企业，凭借广阔门店网络和“直营+加盟”双轮驱动模式，持续巩固行业头部地位。我们预计公司2025-2027年营业收入272.05/300.71/333.63亿元，同比+2.7%/+10.5%/+11.0%；预计公司2025-2027年归母净利润12.08/14.85/17.98亿元，同比增速+32.0%/23.0%/21.1%，当前股价对应PE=17.6/14.3/11.8倍。综合两种估值方法，我们认为公司合理市值区间为241.52~253.59亿元，较当前有14.0%~19.7%溢价空间。首次覆盖，给予“优于大市”评级。风险提示：市场竞争加剧的风险、行业政策风险、开拓新市场影响公司短期盈利能力的风险、人力资源风险。,,国信证券,优于大市,[None],2025-11-18,,买入,8037649,pdf_downloads/2025/2025-11-18/603233-大参林（603233）：头部连锁药房，立足华南翼展全国.pdf,603233,大参林,大参林（603233）：头部连锁药房，立足华南翼展全国
"张澄,周航,余文心",维持“增持”评级。公司25年前三季度收入200.68亿元，同比增长1.71%，归母净利润10.81亿元，同比增长25.97%；25年单三季度收入65.46亿元，同比增长2.51%，归母净利润2.83亿元，同比增长41.04%。调整2025-2027年预测EPS为1.06、1.23与1.40元，公司为行业头部企业，给予一定估值溢价，参考行业平均估值，给予2025年PE为22X，给予目标价23.32元，维持“增持”评级。零售业务保持平稳，加盟业务较快增长。分行业看，零售业务实现收入163.40亿元，同比下降0.07%，毛利率为37.70%，同比增加0.44pct；加盟及分销业务收入31.99亿元，同比增长8.38%，毛利率9.39%，同比减少1.55pct。中西成药恢复增长，中参药材与非药品仍有承压。分产品看，中西成药收入154.51亿元，同比增长5.01%，毛利率为30.12%，同比减少0.29pct，中参药材收入19.63亿元，同比下降13.47%，毛利率为42.70%，同比增加0.46pct，非药品收入21.25亿元，同比下降8.43%，毛利率为45.62%，同比增加3.32pct。门店扩张节奏有所放缓。截至25年三季度末，公司拥有门店17385家，其中加盟7029家，前三季度净新增门店832家，其中自建300家，关店447家，新增加盟979家，门店关闭主要原因是地方性规划，资源整合及策略性调整等因素。风险提示。院外零售需求复苏不及预期，行业供给侧出清进度不及预期。,,国泰海通,增持,[None],2025-11-11,,买入,7615348,pdf_downloads/2025/2025-11-11/603233-大参林（603233）：2025年三季报点评：降本增效显成效，利润端快速增长.pdf,603233,大参林,大参林（603233）：2025年三季报点评：降本增效显成效，利润端快速增长
"杜向阳,汪翌雯",事件：公司发布2025年三季报，前三季度公司实现营收200.68亿元，同比+ 1.71%，在行业调整期保持稳健增长；归母净利润10.81亿元，同比+25.97%，扣非归母净利润10.73亿元，同比+25.93%，利润增速显著跑赢营收。单季度表现来看，Q3营收65.46亿元同比+2.51%，环比-0.32%，归母净利润2.83亿元，同比+41.04%，环比-16.4%，扣非归母净利润同比+ 47.01%，环比-14.8%。加盟驱动网络扩张，门店结构持续优化。公司坚持“自建+并购+加盟”三驾马车扩张战略，网络布局向高质量转型。截至2025年三季度末，门店总数达17385家，其中加盟店7029 家，加盟占比提升至40.4%；前三季度净增门店832家，新增加盟店979家，加盟扩张速度领跑行业，有效对冲直营门店策略性闭店447家的影响。区域布局上，深耕华南核心市场的同时，华中地区营收增速达6.86%，弱势区域通过直营式加盟快速突破。此外，三季度启动淮安顺泰大药房10间门店收购，进一步完善区域网络，规模效应持续强化并反哺直营业务。品类结构动态调整，高毛利业务韧性凸显。前三季度中西成药营收154.51亿元，同比增长5.01%，刚性需求属性凸显，成为营收核心支柱；中药与非药收入虽同比下滑，但毛利率均实现提升，中药毛利率42.70%（同比+0.46pp），非药毛利率45.62%（同比+3.32pp），选品迭代与消费力触底带动下滑幅度环比收窄。业务端来看，零售营收163.40亿元基本持平，毛利率同比提升0.44个百分点；加盟及分销业务营收31.99亿元，同比增长8.38%，成为重要增长补位，整体毛利率稳定在34.82%，高于行业平均水平。降本增效成果显著，龙头集中度持续提升。盈利端呈现“毛利率较为稳健、费用率优化”的良性循环，核心竞争力强化。前三季度净利率5.78%，较上年同期提升1.15pp；第三季度销售费用率同比下降2.5pp，降本控费成效突出，直接推动利润高增。在全国药店数量持续净减少、行业出清加速的背景下，公司以 200.68亿元营收位居行业第一，净利润排名第二，龙头优势进一步巩固。叠加机构持仓集中度显著上升，成熟的区域深耕能力及加盟模式的快速复制，公司持续抢占中小连锁退出后的市场份额，长期受益于行业“强者恒强”的集中度提升趋势。盈利预测：预计2025-2027年EPS分别为0.86元、0.94元、1.05元，对应动态PE分别为21倍、20倍、17倍。风险提示：经济复苏不及预期风险，政策风险，对外担保金额较多风险。,,西南证券,,[None],2025-11-10,,,7794568,pdf_downloads/2025/2025-11-10/603233-大参林（603233）：“自建+并购+加盟”扩张战略稳步推进，业务韧性凸显.pdf,603233,大参林,大参林（603233）：“自建+并购+加盟”扩张战略稳步推进，业务韧性凸显
"朱国广,冉胜男,苏丰",事件：公司2025前三季度实现营收200.68亿元（+1.71%，同比，下同），归母净利润10.81亿元（+25.97%），扣非归母净利润10.73亿元（+25.93%）。25Q3实现营收65.46亿元（+2.51%），归母净利润2.83亿元（+41.04%），公司25Q3利润超我们预期。中西成药增速较快。分行业看，公司2025Q1-3零售营收163.40亿元（-0.07%），毛利率37.70%（+0.44pp）；加盟及分销31.99亿元（+8.38%），毛利率9.39%（-1.55pp）。分产品看，2025Q1-3中西成药营收154.51亿元（+5.01%），刚性需求稳定，毛利率30.12%（-0.29pp）；中药19.63亿元（-13.47%），毛利率42.70%（+0.46pp）；非药21.25亿元（-8.43%），毛利率45.62%（+3.32pp），随着针对性的选品迭代以及消费力初步触底，25Q3公司中参药材及非药品的收入同比下滑幅度环比前两季度有所减少。降本增效显著。公司2025前三季度销售毛利率34.82%（+0.15pp），销售净利率5.78%（+1.15pp）。同时2025前三季度销售费用率21.79%（-1.56pp），管理费用率4.43%（+0.19pp），财务费用率0.60%（-0.16pp）。加盟扩张速度领先行业。截至2025Q3，公司门店总数17385家（含加盟店7029家）。2025前三季度，公司净增门店832家，其中新开自建300家、直营闭店447家（原因系地方性规划、资源整合及策略性调整等因素）、新增加盟979家。盈利预测与投资评级：公司2025Q3利润超预期，降本增效成效显著，我们将公司2025-2027年归母净利润由11.11/13.31/15.35亿元上调至12.05/13.88/16.03亿元，对应当前市值的PE为17/15/13X，维持“买入”评级。风险提示：市场竞争加剧的风险，门店扩张或不及预期的风险。,,东吴证券,买入,[None],2025-11-02,,买入,7244948,pdf_downloads/2025/2025-11-02/603233-大参林（603233）：25Q3盈利超预期，降本增效成果显著.pdf,603233,大参林,大参林（603233）：25Q3盈利超预期，降本增效成果显著
"甘坛焕,王奔奔","业绩简评2025年10月29日，公司发布2025年第三季度报告。2025年前三季度，公司实现收入200.7亿元，同比+1.71%；实现归母净利润10.8亿元，同比+25.97%；实现扣非归母净利润10.7亿元，同比+25.93%。单季度看，2025年Q3公司实现收入65.5亿元，同比+2.51%；归母净利润2.8亿元，同比+41.04%；扣非归母净利润2.8亿元，同比+47.01%。经营分析零售保持平稳，盈利能力提升。25年前三季度，公司零售收入为163.4亿元，同比-0.07%，得益于次新店和老店的内生增长，消化闭店影响，公司零售业务收入基本持平。今年以来，公司实施的营促销策略优化、品项优化、供应链整合、谈降采购成本等效果彰显，25年前三季度零售板块毛利率同比+ 0.44pct，且呈现逐级加速的趋势。加盟扩张速度行业领先，门店扩张稳步进行。公司利用直营式加盟店的特点及优势，在弱势区域迅速布局直营式加盟店。截至 25Q3末，公司拥有门店 17,385 家（含加盟店 7,029 家），净增门店 832 家，其中：新开自建门店 300 家，关闭直营门店 447 家，新增加盟店 979 家。中西成药刚需属性凸显，降本效果继续体现。25年前三季度，公司中西成药收入为154.5亿元，同比+5.01%。中西成药属于必选消费以及药店的引流品，需求较为稳定，持续保持较快的增长趋势。25Q3公司销售费用率为22.3%，同比-2.5pct，降本成果显著。盈利预测、估值与评级我们看好公司后续业绩延续良好增长节奏，预计公司25-27年归母净利润分别为12.0/13.9/15.7亿元，分别同比增长31.2%/15.5%/13.3%，EPS分别为1.05/1.22/1.38元，现价对应PE分别为17/15/13倍，维持“买入”评级。风险提示外延并购不确定性风险；处方外流不达预期风险；互联网冲击风险；收入地区集中风险等。",,国金证券,买入,[None],2025-10-30,,买入,7019792,pdf_downloads/2025/2025-10-30/603233-大参林（603233）：盈利能力提升，业绩快速增长.pdf,603233,大参林,大参林（603233）：盈利能力提升，业绩快速增长
"郑辰,高初蕾","营收稳健，提质增效。公司 1H25 收入 135.2 亿元（同比+1.3%），归母净利润
8.0 亿元（同比+21.4%），扣非归母净利润 7.9 亿元（同比+19.7%）。2Q25 营收
65.7 亿元（同比-0.4%），归母净利润 3.4 亿元（同比+30.5%），扣非归母净利
润 3.3 亿元（同比+27.1%），上半年营收增长主因存量门店的内生增长及新开、
加盟而新增门店的业绩贡献；利润增长主要原因是收入增长、管理效益提升、
营业总成本得到有效控制。评论：直营门店净减少，加盟店较快增长。1H25 公司门店总数 16,833 家（同比
+4.2%），其中直营门店 10,370 家（同比-3.7%）；加盟门店 6,463 家（同比
+20.2%），加盟占比提升至 38.4%（1H24 33.3%）。1H25 公司新开自建门店 152
家，并购门店 0 家，加盟门店 413 家，公司根据竞争格局和地区优势制定扩张
计划的同时，动态优化门店网络，关闭门店 285 家。非药与中参药材仍有压力，毛利率稳中向好。分业务看，1H25 公司医药零售
业务实现收入 110.0 亿元（同比-0.5%）、毛利率 37.6%（同比+0.4pct），公司加
盟及分销业务实现收入 21.4 亿元（同比+8.3%）、毛利率 9.3%（同比-2.4pct）。
分产品看，中西成药收入 104.0 亿元（同比+4.5%）、毛利率 30.2%（-0.5pct），
中参药材收入 13.2 亿元（同比-13.0%）、毛利率 42.5%（+0.2pct），非药收入
14.2 亿元（同比-9.2%）、毛利率 44.9%（+2.8pct）。财务指标：1）盈利能力：1H25 毛利率 34.9%（同比持平），净利率 6.3%（同
比+1.0pct）；2）费用端管控成效显著：1H25 销售费用率 21.5%（同比-1.2pct），
管理费用率 4.3%（同比持平）；3）1H25 预计派现 3.8 亿元，占归母净利润
48.2%。投资建议：公司深耕华南布局全国，着力高质量发展，结合零售药店行业仍在
持续出清，我们调整公司 25-27 年归母净利润预测为 11.6/13.3/15.3 亿元（25-
26 年前值为 11.8/13.6 亿元），同比增速为+27%/+15%/+15%。参考行业可比公
司估值，叠加公司精细化管理等措施，给予公司 25 年 20x 目标 PE，对应目标
价 20.3 元，维持“推荐”评级。风险提示：业务拓展不及预期，政策波动的风险。",,华创证券,推荐,[None],2025-09-25,,增持,6481688,pdf_downloads/2025/2025-09-25/603233-大参林（603233）：2025年半年报点评：精细管理推动利润端改善.pdf,603233,大参林,大参林（603233）：2025年半年报点评：精细管理推动利润端改善
"郑薇,林艾灵","事件8月29日，公司发布2025年中报。2025H1公司营业收入135.23亿元（yoy+1.33%），归母净利润7.98亿元（yoy+21.38%），扣非净利润7.89亿元（yoy+19.73%），经营现金流净额29.1亿元（yoy+64.67%）；其中，2025Q2营业收入为65.67亿元（yoy-0.41%），归母净利润为3.38亿元（yoy+30.49%），扣非净利润为3.34亿元（yoy+27.15%）。费用端优化，公司盈利能力有所提升公司毛利率有所承压，但净利率端通过降本增效减少费用得以提升。公司2025H1毛利率为34.86%（yoy-0.03pct），归母净利率为5.90%（yoy+0.97pct），对应扣非净利率为5.83%（yoy+0.90pct）。数智化赋能，公司通过精细化管理控费效果显著。2025H1销售费用率为21.52%（yoy-1.15pct）。加盟业务贡献收入占比提升，中药材以及非药品毛利率有所提升公司加盟业务贡献收入占比提升。2025H1公司零售业务营收110.05亿元（yoy-0.54%），对应毛利率37.58%（yoy+0.36pct）；加盟及分销业务营收21.36亿元（yoy+8.26%），毛利率为9.34%（yoy-2.42pct）。公司中西成药销售有所提升，但毛利率承压；中药及非药销售承压但盈利能力有所提升。2025H1公司中西成药收入104.03亿元（yoy+4.45%），对应毛利率30.17%（yoy-0.47pct）；中参药材收入13.19亿元（yoy-12.96%），对应毛利率42.46%（yoy+0.18pct）；非药品收入14.20亿元（yoy-9.19%），对应毛利率44.87%（yoy+2.77pct）。动态优化门店，2025H1净增门店280家截至2025H1，公司的门店数量达16,833家，其中直营门店10,370家，加盟门店6,463家。期间，公司新开自建店152家，加盟门店413家，关闭门店285家。投资建议我们预计公司2025-2027年营业收入分别为292.04/325.42/360.75亿元，同比分别+10.22%/+11.43%/+10.86%；归母净利润分别为10.81/12.49/14.37亿元，同比增速分别为18.20%/15.52%/15.08%。EPS分别为0.95/1.10/1.26元。维持“增持”评级。风险提示：医药行业政策风险；加盟店经营不及预期；门店扩张不及预期。",,国联民生证券,增持,[None],2025-09-16,,增持,6443119,pdf_downloads/2025/2025-09-16/603233-大参林（603233）：降本增效下，公司利润增长超预期.pdf,603233,大参林,大参林（603233）：降本增效下，公司利润增长超预期
伍云飞,"净利润表现亮眼，降本增效成果显著。在常态化飞检、专项检查及追溯码强制应用
等因素作用下，实体药店合规成本不断增加，行业出清速度加快。根据米内网统
计，2025H1 中国实体药店累计规模同比下滑 2.2%。在多变的外部环境下，公司积
极优化内部管理，保持市场领先。2025H1，公司实现营业收入 135.2 亿元（同比
+1.3%），小幅增长；25H1 公司实现归母净利润为 8.0 亿元（同比+21.4%），系数
智化升级，运营效率提升，降本增效所致。零售业务略有下滑，加盟及分销业务表现亮眼。分业务来看，2025H1，公司零售业
务实现 110.0 亿元（同比-0.5%，占比 81.4%），是公司主要收入来源。同时，公司
利用直营式加盟店的特点及优势，在弱势区域迅速布局直营式加盟店，带动加盟及
分销业务收入的快速增长，2025H1 加盟及分销业务实现收入 21.4 亿元（同比
+8.3%），直营式加盟不仅贡献毛利润及净利润规模，而且进一步提升公司的销售
规模，规模优势得以进一步加强并反哺直营零售业务。动态优化门店网络，新零售快速增长。2025H1，公司新开自建门店 152 家，并购门
店 0 家，加盟门店 413 家；并动态优化门店网络，关闭门店 285 家。截至 2025H1，
公司门店数量达 16833 家，其中直营门店 10370 家，加盟门店 6463 家。同时，公
司积极开拓新零售业务，截至 2025H1，O2O 送药服务覆盖门店上线率达到
93.54%，B2C 业务覆盖全国。且公司持续优化新零售业务团队架构及业务流程，
25H1 线上业务规模实现快速增长，毛利率及净利率均稳步提升。根据 2025 年中报，我们下调费用率预测，预测公司 2025-2027 年归母净利润为
10.96/13.72/15.60 亿元（原预测 25-27 年归母净利润为 10.73/12.47/13.95 亿元），
参考可比公司给予公司 2025 年 PE 估值 21X，对应目标价 20.16 元，维持给予“买
入”评级。风险提示带量采购导致的风险、门店扩张不及预期的风险、市场竞争加剧风险",,东方证券,买入,[None],2025-09-08,,买入,6403534,pdf_downloads/2025/2025-09-08/603233-大参林（603233）：2025年中报点评：提质增效，看好业绩逐季改善.pdf,603233,大参林,大参林（603233）：2025年中报点评：提质增效，看好业绩逐季改善
