author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"曾朵红,阮巧燕,朱家佟",事件：公司发布2025年度业绩快报，实现营收144亿元，同增25%，归母净利润4.7亿元，同增10%，扣非归母净利润3.1亿元，同减10%，其中25Q4营收41亿元，同环比+35%/-4%，归母净利润0.85亿元，同环比-48%/-68%。消费：Q4出货1亿支，环降20%、单位盈利有所下降。我们测算25年消费收入122亿元，对应电芯出货4.3-4.4亿支，同增15%，其中Q4出货1亿支，环降20%，系三季度旺季+原材料涨价提前备货影响，随着A客户起量和新产品出货，我们预计26年消费电芯出货4.5亿支，同比进一步增长。盈利方面，我们测算25Q4消费电芯贡献利润2亿元，单颗利润约1元，环降接近50%，主要系钴酸锂涨价以及稼动率下降影响，随着下游价格持续传导、客户结构的优化，公司后续盈利有望恢复。动力：Q4接近盈亏平衡，26年进一步减亏。我们测算25年动力收入22亿元，同增145%，权益亏损1.3亿元，同比减亏，其中Q4动力收入7亿元，环增45%，权益亏损1-2千万，环比大幅减亏，公司已获捷豹路虎、stellantis、德系车企定点，且为理想主供、小米独供，特斯拉份额提升明显，我们预计26年动力收入30-35亿元，同增50%左右，进一步减亏，27年收入有望突破40-45亿元，动力实现盈亏平衡。盈利预测与投资评级：由于原材料价格上涨、稼动率下降叠加行业竞争加剧，我们调整25-27年公司归母净利润为4.7/10.2/15.2亿元（原预期为 7.3/14.6/18.3 亿元），同增10%/116%/49%，对应PE为45/21/14倍，考虑到公司全球消费锂电巨头地位，启停电池打造第二增长曲线，维持“买入”评级。风险提示：下游需求不及预期，行业竞争加剧，新产品不及预期。,,东吴证券,买入,[None],2026-03-02,,买入,8468814,pdf_downloads/2026/2026-03-02/688772-珠海冠宇（688772）：原材料价格上涨，叠加汇兑损失影响，四季度盈利有所下降.pdf,688772,珠海冠宇,珠海冠宇（688772）：原材料价格上涨，叠加汇兑损失影响，四季度盈利有所下降
黎江涛,"3C 电池业务高增，钢壳电池扩产打开增长空间
国补政策助力 3C 端出货量增长，公司手机电池业务保持高景
气运行，与客户苹果、小米、华为等头部智能手机厂商持续
开展深度合作，首次实现以 Cell+Pack（A+A）供货模式为三
星供应高端智能手表电池，并为三星量产交付耳机扣电，
2025H1 公司消费类锂电池销售量同比高增。在钢壳电池方
面，公司已实现消费类钢壳电池的量产出货。相比传统的聚
合物软包电池，钢壳电池灵活性和空间利用率更高，有助于
提升电池的带电量。公司 8 月公告投资 20 亿扩建钢壳电池产
线，预计 2026Q3 建成。随着未来钢壳电池渗透率上升，2026
年公司钢壳电池出货量有望创新高。低压锂电池导入顺利，钠电芯助力低温场景
公司将汽车低压锂电池定位为自身优势项目和差异化竞争的
核心业务，现已开始陆续为国内外头部电动车企业批量供应
低压锂电池，2025H1 出货量超 70 万套。公司已通过多家车
企的体系审核，获得上汽、理想、广汽、吉利、奔驰、蔚来
等众多国内外头部车企的定点，并陆续量产供货。在技术方
面，公司结合自有 LFP 启停电芯的成熟技术，已开发出第一
代钠离子启停电芯产品，为汽车在低温场景下提供更加稳定
和高效的电力供应。此外，无人机、电摩业务持续增长，与
下游龙头企业保持合作，多线开花贡献业绩增量。三季度业绩亮眼，盈利能力大幅上升
公司 2025Q3 业绩表现亮眼，单季度实现营收 42.2 亿元，同
比增长 33.2%，归母净利润 2.7 亿元，同比增长高达 62.5%，
环比增长 92.2%。2025 年前三季度营收达到 103.21 亿，同比
增长 21.2%，归母净利润 3.87 亿元，同比增长 44.4%。三季
度受益于 3C 消费旺季，叠加钢壳电池实现出货，业绩同环比
增长，盈利显著高增，未来随着钢壳电池放量，盈利能力有
望进一步上升。盈利预测
预测公司 2025-2027 年收入分别为 143.7、183.7、227.3 亿
元，EPS 分别为 0.55、1.31、1.76 元，当前股价对应 PE 分
别为 37、16、12 倍，给予“买入”投资评级。风险提示1）下游市场增速放缓风险；2）原材料价格波动风险；3）市
场竞争风险；4）汇率波动风险等。",,华鑫证券,买入,[None],2026-01-27,,买入,8365839,pdf_downloads/2026/2026-01-27/688772-珠海冠宇（688772）：公司动态研究报告：钢壳电池渗透率提升，低压电池加速导入.pdf,688772,珠海冠宇,珠海冠宇（688772）：公司动态研究报告：钢壳电池渗透率提升，低压电池加速导入
吴文吉,珠海冠宇(688772)投资要点加强消费类扩产，迭代升级钢壳电池。在钢壳电池方面，公司完成消费类钢壳电池的设计研发，已首次实现量产出货。相比传统的聚合物软包电池，钢壳电池在形态设计上展现出更高的灵活性，能够更好地适应和优化利用设备内部的空间，有助于提升电池的带电量；随着性能的优化和成本的下降，钢壳电池有望更多地应用于手机、智能手表、智能眼镜等消费电子产品上。未来公司将持续推进钢壳电池的迭代升级，并同步扩充产线，以满足客户需求。重庆冠宇高性能新型锂离子电池项目调整为主要用于生产消费类电池产品且投资额40亿元维持不变；珠海斗门新型锂电池生产建设项目拟投资20亿元投资建设新型钢壳量产线。AI终端渗透提速，新兴消费电子多元化放量。其他消费类产品业务方面，公司更大范围地拓展市场业务诸如智能穿戴设备、消费级无人机、智能清洁电器、电动工具等新兴消费类电子产品，不断丰富公司的客户群体，业务实现快速增长。2025年，公司首次实现以Cell+Pack（A+A）供货模式为三星供应高端智能手表电池，并为三星量产交付耳机扣电，在能量密度、充放电循环次数等关键指标上表现优异。持续发力前沿技术，夯实企业竞争壁垒。除了钢壳电池的迭代升级，公司在电池领域多点突破并持续推进升级。硅负极电池领域，公司通过自主研发与供应商合作开发新材料，聚焦锂离子电池能量密度提升核心需求——引入高容量硅材料是关键路径，2025年上半年已成功量产25%高硅负极电池，其体积能量密度高达900Wh/L，处于行业领先水平，未来将稳步推进该项目量产落地，在保障产品性能稳定的基础上持续提升负极掺硅比例。钠离子电池方面，公司紧跟行业研发动态，结合自有成熟的LFP启停电芯技术，开发出第一代钠离子启停电芯产品，丰富了启停电产品矩阵，可在低温场景下为汽车提供更稳定高效的电力供应。固态电池领域，公司半固态电池已实现量产出货并获得更多客户认可，同时积极推进全固态电池相关研究，目前样品已具备良好的安全性能及循环寿命。投资建议我们预计公司2025/2026/2027年分别实现收入144/200/239亿元，归母净利润分别为6.4/16/21亿元，维持“买入”评级。风险提示下游市场增速放缓及公司主营业务收入增速放缓或下滑的风险，动力及储能类电池业务持续亏损的风险，原材料价格波动的风险，市场竞争的风险，不可抗力或意外事故造成损失的风险，存货金额较大及存货跌价的风险，技术研发相关风险，宏观环境风险。,,中邮证券,买入,[None],2026-01-08,,买入,8316744,pdf_downloads/2026/2026-01-08/688772-珠海冠宇（688772）：钢壳电池渗透率提升，AI终端多元放量.pdf,688772,珠海冠宇,珠海冠宇（688772）：钢壳电池渗透率提升，AI终端多元放量
"郑震湘,杨润思,佘凌星,钟琳,章旷怡",消费类电池标杆，解锁AI终端新成长从消费龙头到多领域布局，以创新与韧性构筑新版图。公司的发展始于1998年创始人徐延铭对锂电池领域的探索，凭借在消费电池领域的技术积累，迅速成长为全球领先的笔记本电脑电池供应商，于2015年发展为全球前五的聚合物锂电池供应商。2021年，公司在科创板成功上市，此后，持续深化战略布局，各项业务快速发展，持续保持在消费类电池领域的行业头部领先地位。2025年，公司发展势头进一步向好，前三季度营业总收入同比增长21.2%至103.21亿元，归母净利润同比增长44.4%至3.87亿元，盈利能力持续改善，业绩成长拐点已现。消费类电池：受益端侧AI渗透加速，公司持续强化技术壁垒。AI的创新与应用正为消费电子行业注入新的增长动力，显著提升了现有产品的智能化体验，更催生了AI手机、AI眼镜等新兴品类，拓展了市场需求边界。根据Precedence research，2024年全球消费电子市场规模为8.1千亿美元，预计到2034年将达到1.4万亿美元，2024-2034年将保持5.68%的复合年增长率。继苹果于iPhone 16 Pro首次导入钢壳电池后，标志着手机电池封装正沿“软包卷绕→软包叠片→钢壳叠片”的路径演进。相比传统的聚合物软包电池，钢壳电池在极致轻薄的机身内实现性能与安全的兼得。近五年来，公司累计研发投入近50亿元，重点布局固态电池、叠片工艺、钢壳电池等前沿方向，致力于构建长期技术壁垒。2025年，公司宣布拟以自有或自筹资金约20亿元人民币，利用已建厂房实施新型锂电池生产建设项目，并投资建设新型钢壳量产线。我们认为，未来公司有望持续受益于消费电池领域钢壳电池，进一步在全球高端电池市场巩固领先地位，持续提升市场份额。动储类：新能源电池产业未来方向明朗，动储电池迎来发展新风口。在全球绿色低碳转型加速推进的背景下，新能源电池产业正从“规模扩张”迈向“质量引领”新阶段。能源转型浪潮下，新能源汽车、新型储能、终端电气化等领域对电池需求持续攀升，快充电池已进入技术突破与量产的关键期。随着低空经济、具身智能等新兴产业升温，锂电池的应用场景正从新能源汽车向无人机、载人飞行器、机器人等领域拓展。公司审时度势，聚焦汽车低压锂电池和无人机电池业务，动力类核心业务占比大幅提升，25H1，公司主营动力及储能类业务的子公司浙江冠宇实现总营业收入为 9.73亿元，同比增长139.8%，其中汽车低压锂电池和行业无人机电池合计占收入比例为85.76%。盈利预测与投资建议：公司一方面为消费类电池的主要供应商，将深度受益于AI对消费电子终端带来新的创新周期，我们看好随着钢壳电池扩产，在大客户份额的提升；另一方面，推进在动力及储能类电池领域的布局，有望打开未来成长空间。因此我们预计公司在2025/2026/2027年分别实现营业收入143.9/179.9/221.9亿元，同比增长24.7%/25.1%/23.3%，实现归母净利6.4/15.0/20.1亿元，同比增长48.2%/135.4%/34.2%。当前股价对应2025/2026/2027年PE分别为38/16/12X，首次覆盖给予公司“买入”评级。风险提示：下游终端市场需求不及预期、原材料价格波动、行业竞争加剧。,,国盛证券,买入,[None],2025-12-29,,买入,8301555,pdf_downloads/2025/2025-12-29/688772-珠海冠宇（688772）：消费类电池标杆，解锁AI终端新成长.pdf,688772,珠海冠宇,珠海冠宇（688772）：消费类电池标杆，解锁AI终端新成长
樊志远,公司简介公司的消费类软包锂电池产品广泛应用于智能手机、笔记本电脑等终端，其中笔电领域市占率全球第一、智能手机领域全球第五。投资逻辑为苹果手机供应的高价值钢壳电池出货量与份额有望高增，三星手机电池份额将实现从0到1的增长。公司自2022年切入苹果手机电池供应链以来每年份额实现翻倍增长，2024年iPhone 16 Pro首次采用钢壳电池，公司为核心供应商，目前公司钢壳处于满产状态，公司持续加码资本开支，钢壳产能有望从今年约2000万颗扩产至明年超8000万颗，为苹果供货结构中钢壳占比有望从20%提升至70%，对应公司在苹果电芯环节总份额由20%提升至40%，且公司今年以Cell+Pack模式为三星供应高端智能手表电池，明年有望切入三星高端智能手机电池供应链，开辟新的增长曲线。积极布局前沿制造工艺，技术能力依托市场份额与ASP兑现。公司积极研发钢壳电池，能够更高效利用设备内部空间，提升电池带电量，有望向更多机型渗透；叠片工艺提升模切精度与叠片精度，使整体成本降幅达10%以上；硅负极电池能量密度更高，公司已量产出货25%高硅负极电池，未来有望持续提升掺硅比例，公司电池工艺的进步将反映到其市场份额与ASP的提升上。钴价格持续上涨，产业链顺价传导有望增厚公司业绩。消费类电池正极材料钴酸锂价格受钴产地刚果金出口禁令影响，今年上涨幅度超130%，由于消费电池行业供应格局集中，电池占成本比例较低叠加行业产能偏紧，原材料上涨压力预计将顺利传导至下游客户端，公司采用前一季度原材料价格加成报价机制，预计将于2025Q4起实现涨价，推动业绩直接增厚。动储类业务产能利用率提升驱动规模效应，盈利能力持续修复。该业务早期因订单规模有限、产能利用率偏低导致单位分摊固定成本较高，有望随客户端订单放量显现规模效应，叠加公司折旧年限的延长，2025年将实现扭亏为盈，未来毛利率有望稳健增长。盈利预测、估值和评级我们预计公司2025-2027年归母净利润将达到6.4亿元、16.9亿元和22.0亿元，对应PE为38倍、14倍和11倍。根据可比公司估值法给予公司2026年22倍PE，给予公司373亿目标市值、32.91元/股目标价，给予“买入”评级。风险提示动储类业务持续亏损；汇率波动风险；技术研发不及预期；上游原材料涨价未能传导至下游；可转债转股稀释与偿付压力。,,国金证券,买入,[None],2025-11-25,,买入,8188105,pdf_downloads/2025/2025-11-25/688772-珠海冠宇（688772）：技术破局迎成长，二次起飞奇点将至.pdf,688772,珠海冠宇,珠海冠宇（688772）：技术破局迎成长，二次起飞奇点将至
"刘俊,谢春生,边文姣",珠海冠宇为消费电池领域龙头企业，在笔记本电脑电池领域市占率全球第一，手机电池领域进入海外大客户供应链并实现市场份额不断提升，动力领域差异化布局汽车启停电池。公司25Q3收入42.24亿元，同/环比+33.2%/+17.3%，归母净利2.70亿元，同/环比+62.5%/+92.2%，扣非净利2.21亿元，同/环比+43.5%/+134.7%。公司在笔电领域龙头地位稳固，手机电池加速导入苹果等大客户，会计折旧政策调整释放利润，我们维持“买入”评级。Q3消费电芯盈利环比修复，动力实现减亏我们推测公司Q3消费电芯出货1.3-1.4亿颗，单颗净利约2.1-2.2元，盈利能力环比修复，主要系原材料涨价库存收益+钢壳产品占比提升。我们推测Q3动力归母亏损约0.4亿，环比减亏，后续有望随产能利用率的提高而逐步扭亏为盈。25Q3毛利率/净利率达25.13%/5.75%，环比+0.48/+2.28pct，期间费用率达20.60%，环比-2.31pct，其中销售/管理/研发/财务分别-0.20/-1.80/-0.55/+0.25pct，规模效应下费用率环比降低，汇兑损失0.2-0.3亿，主要系美元汇率回落影响。公司25Q1-Q3收入103.2亿元，同比+21.2%，归母净利3.9亿元，同比+44.4%，扣非净利2.7亿元，同比+47.8%，经营稳中向好。上修明年苹果客户出货预期，钢壳产品带动量价齐升根据公司业绩会，公司上修明年对苹果客户的出货预期至8000万-1亿颗，其中钢壳占比约70%，考虑到目前仅ATL与公司可以供应钢壳电池，我们认为钢壳电池的高产品溢价有望延续，公司快速导入苹果供应链高端产品，明年量利齐升可期。8月公司与真我联合发布全球首款100%硅碳负极电池，15000mAh电池首次应用于手机概念机，能量密度高达1200Wh/L，较传统硅碳负极电池提升30%以上，我们看好公司硅碳负极电池业务带来单机价值量提升，且公司有望凭借新技术开拓更大市场份额。原材料钴涨价影响有限，无需过度担忧公司与下游谈价形式为逐季度谈价，对原材料进行成本加成传导，传导滞后周期为一个季度，但考虑到公司具备较高钴酸锂的库存，以及收入提升使得费用率得以摊平，我们预计上游钴原材料涨价对公司盈利实际影响较小，无需过度担忧。动力：启停电池定点项目陆续签订，看好陆续放量25年10月，公司获Stellantis欧洲项目定点，为其供应汽车低压辅助电池，目前公司低压辅助电池已应用于通用、奔驰、上汽、捷豹路虎等众多整车厂，我们看好公司明年定点项目逐步放量，带动公司动力业务实现扭亏。给予“买入”评级考虑到公司快速导入苹果供应链，我们上修公司明年消费电池出货量与毛利率假设，我们预计公司25-27年归母净利达6.12/16.48/21.84亿元（前值6.12/15.04/20.87亿元，上修0%/10%/5%），考虑到可比公司26年平均PE 21倍（前值22倍），考虑到公司为笔电电池领域龙头，手机业务客户拓展顺利未来增长空间大，动储业务耕耘细分市场有望快速起量扭亏，我们给予公司26年24倍PE（前值25倍），给予目标价35.04元（前值33.25元），给予“买入”评级。风险提示：行业需求增长不及预期、行业竞争加剧、原材料价格波动、出口政策及地缘政治影响。,,华泰证券,买入,[None],2025-11-05,,买入,7433910,pdf_downloads/2025/2025-11-05/688772-珠海冠宇（688772）：看好苹果客户导入放量.pdf,688772,珠海冠宇,珠海冠宇（688772）：看好苹果客户导入放量
"王蔚祺,李全",公司2025Q3预计实现归母净利润2.5-3.0亿元，同比增长50%-81%。公司发布2025年前三季度业绩预增公告，2025Q3预计实现营收41-43亿元，同比增长29%-36%、环比增长14%-19%；实现归母净利润2.5-3.0亿元，同比增长50%-81%、环比增长77%-113%。公司2025年前三季度预计实现营收101.98-103.98亿元，同比增长20%-22%；实现归母净利润3.67-4.17亿元，同比增长37%-56%。公司消费电池销量持续增长，市场份额稳中向好。我们估计公司2025Q3消费电池销量超1.3亿只，环比增长近10%。笔记本电脑领域，公司深化与头部品牌合作，市场份额稳居行业前列。手机领域，公司与北美手机厂商、小米等客户合作持续深化，手机市场市占率持续向好。其他消费类电池领域，公司积极拓展消费级无人机、AI穿戴产品、智能清洁电器等领域客户，助力收入快速增长。新技术新产品陆续放量，推动公司收入重回快速增长轨道。钢壳电池具有能量密度高、耐膨胀、散热性能好等优势，其在中高端手机产品、AI眼镜等领域已实现批量应用。公司2025H2已开始对全球头部手机品牌供应钢壳电池。钢壳电池较传统软包叠片电池价格有望翻倍，公司钢壳电池出货量快速提升带动收入快速增长。硅负极方面，2025年公司在客户折叠机型中量产国内最高掺硅比例电池25%硅含量电池。掺硅负极电池价值量较传统电池亦有提升，伴随后续销量增长，将对公司收入和利润具有积极影响。公司动储电池聚焦高倍率场景，收入实现快速提升。我们估计2025Q3公司动储类电池业务收入约为5亿元，同比近翻倍增长。公司动储类电池业务持续聚焦无人机电池与汽车低压电池等高倍率场景，管理效率持续提升，相关业务盈利能力稳中向好。风险提示：需求不及预期；新客户开拓不及预期；原材料价格剧烈波动。投资建议：调整盈利预测，维持优于大市评级。基于公司下游客户手机销量表现亮眼以及新产品放量对于经营的积极影响，我们上调2025年盈利预测、维持2026-2027年盈利预测。我们预计公司2025-2027年实现归母净利润6.41/14.01/18.08亿元（原预测为6.10/14.01/18.08亿元），同比+49%/+119%/+29%，EPS分别为0.57/1.24/1.60元，动态PE为40/18/14倍。,,国信证券,优于大市,[None],2025-10-20,,买入,6664922,pdf_downloads/2025/2025-10-20/688772-珠海冠宇（688772）：收入重回快速增长轨道，新技术新产品加速放量.pdf,688772,珠海冠宇,珠海冠宇（688772）：收入重回快速增长轨道，新技术新产品加速放量
"曾朵红,阮巧燕,胡锦芸",公司发布25Q3业绩预告，业绩略超市场预期。25年Q1-3营收102-104亿元，同增20-22%，归母净利润3.7-4.2亿元，同增37-56%，扣非净利润2.5-3.0亿元，同增36-64%；其中25Q3营收41-43亿元，同增29-36%，环增14-19%，归母净利润2.5-3亿元，同增50-81%，环增77-113%，扣非净利润2-2.5亿元，同增30-62%，环增113-166%。消费：Q3北美客户起量，新产品开始出货，单位盈利提升明显。我们预计25Q1-3公司消费电芯出货3.3-3.4亿只，同增20%+，其中Q3出货1.3-1.4亿只，环增约15%；我们预计25年消费电芯出货近5亿支，同比增25-30%。公司计划投资20亿建设钢壳产能，钢壳产品明年出货增速有望超4倍，随着北美和韩系客户放量，我们预计26-27年消费出货量可持续维持20%+增长。盈利方面，我们测算25Q3消费电芯贡献扣非利润约2.6亿元，单颗利润约1.9元，环比提升35%，主要系A客户起量以及新产品出货，后续盈利有望进一步提升。动力：Q3收入利润稳定，26年有望进一步减亏。我们测算25Q1-3动力收入近15亿元，权益亏损约1.2亿元，其中Q3动力收入约5亿元，环比持平，权益亏损约0.4亿元，环比略有扩大。公司已获捷豹路虎、stellantis、德系车企定点，且为理想主供、小米独供，特斯拉份额提升明显，25年启停收入有望翻倍，26年维持50%+增长；此外25年无人机收入有望同增两倍，26年持续高增，我们预计动力业务25年收入20亿元，同增120%，权益亏损1.5亿元，26年收入30亿元，进一步减亏。盈利预测与投资评级：由于客户和新产品起量，我们上调25-27年公司归母净利润至7.3/14.6/18.3 亿元（此前预期6.5/12.1/15.8亿元），同增70%/100%/25%，对应PE为35/17/14倍，考虑到公司全球消费锂电巨头地位，启停电池打造第二增长曲线，给予26年25倍PE，目标价32元，维持“买入”评级。风险提示：下游需求放缓、新产品不及预期。,,东吴证券,买入,[None],2025-10-20,,买入,6656225,pdf_downloads/2025/2025-10-20/688772-珠海冠宇（688772）：2025年三季报预告点评：Q3北美客户起量盈利提升，新产品开始出货.pdf,688772,珠海冠宇,珠海冠宇（688772）：2025年三季报预告点评：Q3北美客户起量盈利提升，新产品开始出货
"陈蓉芳,殷晟路,仇方君",核心业务：消费锂电国内领先、动力领域加速突破公司是全球领先的锂离子电池研发制造企业。消费类业务收入占比近80%，其中笔电类（54.97%）、手机类（28.16%）为主要收入来源，其他消费类电池（智能穿戴、无人机等）2025年上半年销量同比增长79.81%。2024年公司笔电类锂电池市占率全球第一，手机类电池市占率全球第五。动力类业务方面，公司聚焦高附加值细分赛道，重点布局汽车低压锂电池与无人机高倍率电池。往后看，公司重点布局固态电池、叠片工艺、钢壳电池等前沿技术领域，有望在赛道实现长期领先。我们预计公司2025/2026/2027年实现营收140.52/177.75/213.40亿元，实现归母净利6.10/14.99/20.06亿元，对应当前股价PE分别为42.8/17.4/13.0倍，电池作为能量核心有望持续贯穿AI终端的创新发展，维持“买入”评级。电池新纪元：电芯是AI终端的心脏，四大趋势带动电池性能提升电芯是AI终端的心脏，四大趋势带动电池性能提升。人工智能加速普及，端侧AI成为重要场景。在智能手机与PC领域，终端厂商正积极将“AI Agent/AI载体/AI应用”纳入产品规划，寄望于本轮AI浪潮开启新一轮需求释放与换机周期。AI终端渗透加速使电池能量密度提升以及续航升级成为刚性需求。钢壳、掺硅、叠片、固态四大技术趋势带动电芯价值量提升。公司积极投入四大技术趋势打造高能量AI终端“心脏”钢壳：2025H1珠海冠宇已完成消费类钢壳电池的设计研发，并实现量产出货，并同步扩充产线满足市场需求。掺硅：2025H1，公司成功量产25%高硅负极电池，电池体积能量密度高达900Wh/L，实现行业领先。叠片：公司布局的全自动异形叠片技术已量产；固态：公司推出的15000mAh电池已首次应用于手机概念机。针对四大前沿技术趋势前瞻性布局，公司有望成为AI终端电池核心玩家。风险提示：下游需求不及预期、行业竞争风险、动力业务尚未盈利的风险。,,开源证券,买入,[None],2025-10-16,,买入,6591110,pdf_downloads/2025/2025-10-16/688772-珠海冠宇（688772）：公司深度报告：消费电池龙头，打造AI终端高能量“心脏”.pdf,688772,珠海冠宇,珠海冠宇（688772）：公司深度报告：消费电池龙头，打造AI终端高能量“心脏”
"张一弛,岳阳,何家金","事项：珠海冠宇发布 2025 年半年度报告，实现营业总收入 60.98 亿元，同比增长 14%，
归母净利润 1.17 亿元，同比增长 15%，扣非后归母净利润 0.45 亿元，同比增
长 74%。其中 Q2 实现营业总收入 35.99 亿元，同比增长 29%，归母净利润 1.41 亿元，
同比增长 53%，扣非后归母净利润 0.94 亿元，同比增长 123%。评论：手机电池增量远超行业，深耕全球大客户。2025 年上半年全球智能手机出货
量约 5.86 亿台，同比增长约 0.1%，而公司手机类锂电池销售量同比增长
43.28%，主要系公司份额提升。公司与现有客户苹果、小米、华为、荣耀、OPPO、
vivo、联想、中兴等智能手机厂商持续开展深度合作，并与三星就手机电池项
目展开深度技术研讨。聚焦低压锂电池，收入提升显著。公司聚焦汽车低压锂电池和无人机电池业
务，力争成为汽车低压锂电池领域头部企业。2025H1 公司主营动储类业务的
子公司浙江冠宇实现总营业收入为 9.73 亿元，同比增长 139.8%，其中汽车低
压锂电池和行业无人机电池贡献了 85.76%。重视技术积累，前沿技术进展不断。公司设计研发的消费类钢壳电池在外形更
具灵活性，能节约空间并提升电池的带电量，未来有助于拓宽手机、智能手表
等消费电子产品的市场。材料体系研发方面，公司成功量产高硅负极电池，由
于掺硅比例达到了 25%，电池体积能量密度高达 900Wh/L。经过多年的技术
积累，公司还掌握了“多极耳卷绕技术”“CTP（Central Tab Process）”“蓝牙电
池自动制造技术”“高能量密度扣式电池技术”“高精度叠片技术”等制造技术，
为维持公司技术领先奠定了坚实的基础。投资建议：公司业绩开始进入高增速阶段，钢壳电池、硅碳负极等新技术也为
公司技术领先奠定基础，我们预计公司 2025-2027 年归母净利润分别为
6.4/11.1/17.3 亿元，参考可比公司估值，给予 2026 年 30xPE，对应目标价 29.52
元，维持“推荐”评级。风险提示：手机销量低于预期、技术及工艺水平停滞不前、原材料价格以及汇
率的波动、市场竞争格局发生重大变化等。",,华创证券,推荐,[None],2025-09-18,,增持,6451126,pdf_downloads/2025/2025-09-18/688772-珠海冠宇（688772）：手机电池增量显著，带动Q2业绩大幅提升.pdf,688772,珠海冠宇,珠海冠宇（688772）：手机电池增量显著，带动Q2业绩大幅提升
