author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
胡光怿,投资要点事件：盐田港发布2025年三季报。前三季营业收入6.16亿元，同比增长0.49%，归属于上市公司股东的净利润10.71亿元，同比增长6.66%，归属于上市公司股东的扣除非经常性损益的净利润10.71亿元，同比增长6.83%。利润扩张，投资布局战略成果显现。公司近年来加强港口投资布局，推进常德港、小漠港等项目并成立合资公司运营。2023年底完成重大资产重组，收购盐港运营公司100%股权（标的公司拥有盐田港三期35%股权及深汕投资100%股权），2024年完成重大资产重组配套募资，助力公司扩大业务和资产规模，盈利能力大幅提升。中远海运近10亿元入股成第二大股东。2024年11月，盐田港发布关于重大资产重组募集配套资金的相关公告，中远海控以近10亿元人民币认购超过2.28亿股，持股比例达到4.39%，成为仅次于控股股东深圳港集团的第二大股东。双方拥有较强的产业协同效应，未来将有助于双方共同提升港航综合竞争力。公路改扩建提升货物周转效率。公司控股经营惠盐高速深圳段，为缓解拥堵，于2017年启动改扩建工程，平面层由双向4车道拓宽为双向8车道，增设立体层双向8车道。根据规定，四车道收费费率0.45元/标准车公里，六车道及以上为0.6元/标准车公里。项目扩建完成后，惠盐高速公路有望迎来量价齐升。提升分红比例，积极践行投资者回报。2023年，盐田港大幅提升分红比例，派发现金红利7.80亿元，约占当期净利润的70%。公司发布《未来三年（2024年-2026年）股东分红回报规划》，未来三年在满足现金分红条件情况下，每年以现金方式分配的利润不少于当年实现的可分配利润的50%。盈利预测与投资建议。预计公司2025-2027年归母净利润分别为12.8亿元、13.8亿元、14.7亿元，EPS分别为0.25元、0.26元、0.28元，对应PE为19倍、17倍、16倍。我们选取北部湾港、厦门港务、珠海港作为可比公司，2026年平均PE为22倍。我们看好盐田港业务多元化布局，以及中远海控入股带来的协同效应，给予公司2026年22倍PE，对应目标价5.72元。首次覆盖，给予买入”评级。风险提示：经济周期波动风险、市场竞争风险、产业政策变动风险、港口收费标准变化风险等。,,西南证券,买入,[None],2025-10-31,,买入,7524564,pdf_downloads/2025/2025-10-31/000088-盐田港（000088）：引战中远加强港航协同，公路改扩建疏港再提速.pdf,000088,盐田港,盐田港（000088）：引战中远加强港航协同，公路改扩建疏港再提速
"金晶,肖依依",事件：2024年10月30日，公司发布2024年三季度报告。2024年前三季度公司实现营收6.1亿元，同比下降9.5%；实现归母净利润10.04亿元，同比增长5.7%；扣非归母净利润10.03亿元，同比增长107.1%。盐田港区吞吐量增长，投资收益增加驱动公司业绩增长。2024年第三季度公司营业收入2.06亿元，同比减少17.1%；归母净利润3.8亿元，同比增长8%；扣非归母净利润3.8亿元，同比增长106.1%。上年同期的扣非归母净利润调整较大，主要因为上年公司收购盐港运营公司100%股权构成同一控制下的企业合并产生非经常性损益的影响。公司前三季度营收下降而利润增长主要因为投资收益同比增长，前三季度投资收益9.7亿元，同比增长12%，主要得益于公司投资的盐田港区业绩良好，吞吐量增长。根据深圳特区报，2024年1-9月，盐田港集装箱吞吐量1105万标箱，同比增长9.3%。目前，盐田港开通年内首条非洲航线，跨境电商快速航线拓展至11条，港口竞争力显著提升。毛利率同比降低，财务费用同比减少。2024年前三季度公司毛利率为24.9%，较上年同期下滑7.7pct。销售费用率为1%，同比微增0.2pct；管理费用率16.5%，同比增加2.7pct；财务费用率-9.2%，同比减少4.7pct，前三季度公司财务费用同比减少2613.4万元，减幅85.81%，主要是公司利息收入同比增加、利息费用和汇兑收益同比减少的影响。重组配套募资顺利推进，中远海控近10亿元认购。2024年11月1日，公司发布募集配套资金向特定对象发行股份发行情况报告书，称发行承销总结及相关文件已在深圳证券交易所备案通过。本次最终向8名特定对象发行股票9.14亿股，发行价格为4.38元/股，募集资金总额为40.02亿元，其中航运龙头中远海控认购近10亿元，期待双方业务协同。本次发行募集资金将用于支付本次交易的现金对价、偿还银行借款及支付中介机构费用，有利于降低利息费用，降低流动性风险。募集资金到位后，公司整体资金实力和偿债能力将得到提升，资本结构将得到优化。投资建议：维持“增持”评级。考虑到盐田港吞吐量增长超预期，但自营港口受宏观经济影响尚有压力，我们调整盈利预测，预计盐田港2024-2026年营业收入分别为8.6、9、9.5亿元；归母净利润为11.7、11.7、12.1亿元；根据公司2024年11月5日收盘价，2024-2026年对应PE分别为18.6、18.5、17.9倍。考虑到公司近年来不断加强港口投资布局，投资发展常德港、小漠港等项目，参股的盐田港作为华南地区集装箱枢纽港，吞吐量保持良好的增长；收购盐港运营公司100%股权后，业务规模和盈利能力大幅提升，配套募资到位后将进一步助力公司扩张，维持公司“增持”评级。风险提示：参股经营风险，宏观经济周期性波动影响的风险，汇率波动影响的风险。,,国盛证券,增持,[None],2024-11-07,,增持,5822817,pdf_downloads/2024/2024-11-07/000088-盐田港（000088）：盐田港区驱动公司业绩增长，重组配套募资顺利推进.pdf,000088,盐田港,盐田港（000088）：盐田港区驱动公司业绩增长，重组配套募资顺利推进
"金晶,肖依依",深圳港集团优质港口资产注入，公司业务结构和盈利能力显著优化。2023年公司收购盐港运营公司100%股权，盐港运营公司持有盐田三期35%的股权和深汕投资100%的股权。其中，盐田三期拥有11个10-20万吨级集装箱泊位，具备853万标箱的年通过能力，2021年和2022年吞吐量分别达851和812万标箱，产能利用率分别为99.7%、95.6%，处于较高水平。盐田三期2023年实现净利润17.2亿元，其35%为6亿元，相当于公司2023年利润总额的48.4%，交易完成后，公司盈利能力获大幅提升。盐田三期与公司现有的港口业务具有显著协同效应，有助于公司完善地理位置布局，扩大业务规模和市场份额。公司加强港口投资布局，积极推进业务模式创新，自营港口吞吐量实现较快增长。2023年公司自营港口完成吞吐量4549.5万吨，同比增长10.4%，实现营收5.7亿元。其中：（1）黄石新港强化铁矿石混配运作模式，大力发展多式联运，2023年吞吐量3122.8万吨，同比增长6.9%，随着三期工程投产，吞吐能力将进一步增强；（2）惠州荃湾煤炭港提升外贸煤炭承载能力、深化港口铁路合作提升运量，2023年吞吐量927万吨，同比增长10.5%；（3）小漠港开拓汽车滚装、集装箱内外贸航线等，业务类型不断丰富，2023年完成吞吐量126.2万吨，同比增长77%，完成汽车出口2万辆、集装箱吞吐量5.5万标箱，当前项目尚处于市场开拓阶段，随着汽车滚装业务推进，未来有望实现较快增长。公路业务提供稳定的现金流来源，惠盐高速改扩建后有望释放新增长潜力。公司2017年启动惠盐高速深圳段改扩建工程，2022年获得25年收费期批复。改扩建后的道路车流量上限将得到提升，收费费率也将有机会从原先的0.45元/标准车公里提升至0.6元/标准车公里。此外，深中通道计划在2024年建成，通车后深圳与中山的通行距离大幅缩短，惠盐深圳段作为深中通道以东的连接路段，将受益于其带来的车流量增量。投资建议：首次覆盖，给予“增持”评级。我们预计盐田港2024-2026年营业收入分别为10.68、13.35、15.15亿元；归母净利润为10.48、11.45、11.94亿元。根据公司2024年6月19日收盘价，2024-2026年对应PE分别为18.7、17.1、16.4倍，PB（LF）为1.5倍。我们选取同样以港口运营为主业的上港集团、招商港口、青岛港、唐山港作为可比公司，公司无论从PE还是PB维度历史数据一直高于可比公司平均值。我们认为：①鉴于公司在建工程占总资产比例显著高于同行，意味着未来产能扩张的潜力更强；②盐田港为集装箱港口，盈利能力显著高于同行，因此公司估值较同行有一定溢价。考虑到公司资产重组后，盈利能力大幅提升，且公司不断加强港口投资布局，吞吐量有望稳定增长，惠盐高速改扩建后有望释放新增长潜力，首次覆盖，给予“增持”评级。风险提示：参股经营风险，宏观经济周期性波动影响的风险，汇率波动影响的风险。,,国盛证券,增持,[None],2024-06-20,,增持,5665609,pdf_downloads/2024/2024-06-20/000088-盐田港（000088）：优质港口资产注入，公司发展再添动能.pdf,000088,盐田港,盐田港（000088）：优质港口资产注入，公司发展再添动能
金荣,"主要观点：优质港口资产注入，23年、24年利润总额改善幅度达70%、147%假如资产重组于2023年上半年顺利完成，公司将获得盐田港中港区3期35%股权，该部分股权有望在2023H2和2024年为公司带来约3.7亿元和7.8亿元税前利润，相当于2021年利润总额的69.7%和146.9%。港口业务产能利用率持续提高，自主经营的港口进入利润释放期惠州荃湾煤炭港，2022H1产能利用率从2021年的45.9% 爬升至54.3%（环比+8.4pp），收入1.1亿元（同比+48.2%）,净利润从2021年亏损4,229万元减少至亏损315万元，预计2022全年可实现扭亏为盈。 黄石新港，2022H1产能利用率从2021年的38%提升至47%（环比+9pp），收入约1.1亿元（同比+20%），净利润同比增长91%至2,218万元，预估2022年全年净利润有望突破5,000万元。我们判断，惠州荃湾港和黄石新港从2023年起，利润有望大幅增长。高速业务量、价齐升在即，将进一步提升公司业绩惠盐高速深圳段约20KM，疫情导致2022H1车流量同比-17.9%，收入同比-15.4%。判断量或价有3次提升机会：疫情防控政策边际改善带动车流量的自然修复，需关注高速通行费优惠政策的变化；2023下半年4车道变8车道，约8KM通行费价格提升33.3%及分流其他路段车流量带动量价齐升；2024年深中通道投入运营带来车流量增量。投资建议：业绩改善确定性高，当前估值未反应多重利好，建议买入测算2024年港口业务和高速业务归母净利润分别为11.5亿元和1.5亿元，采用分部估值法，给予港口业务15xPE估值，高速业务13.8xPE估值，对应合理市值为172.5亿元和17.9亿元，合计约190亿元，对应股价约8.45元。首次覆盖，给予“买入”评级。风险提示需求恢复不及预期；地缘冲突加剧；高速收费政策持续；资产重组不及预期；财务成本增长超预期；油价上涨等",,华安证券,买入,[None],2022-12-09,,买入,5071951,pdf_downloads/2022/2022-12-09/000088-盐田港（000088）：优质资产注入与产能利用率持续提高，共驱业绩大幅改善.pdf,000088,盐田港,盐田港（000088）：优质资产注入与产能利用率持续提高，共驱业绩大幅改善
"孙汉振,高梁宇","符合预期，业绩小幅下滑。公司去年完成营业收入约3.16亿元，较上年同期下降12.28%，实现归属于上市公司股东的净利润4.10亿元，同比下降3.83%。公司业绩小幅下滑主要归因于宏观经济形势的影响和相关公路政策的出台，对路桥收费和物流业务转型产生负面影响。另外，上年同期业绩包含了1-3月深圳梧桐山隧道的收入。

公路运输业务表现不一，仓储物流业务等业绩下降幅度较大。公司子公司公路公司由于受行业政策的不利影响，在车流量实现正增长的同时，业绩下滑了20.17%，而湘潭四航受益于周边区域经济发展和城市私家车的快速增长，业绩实现扭亏；公司仓储物流业务等由于受到经济环境和土地租金成本上升的负面影响，业绩下降幅度较大。我们预计公路运输业务将逐渐趋于稳健，仓储物流等受益于经济面改善和行业政策利导将会逐渐好转。

投资收益较为稳定，对业绩贡献仍十分可观。公司投资收益虽相较上年稍有下降，但整体收益较为稳定，占比营业利润进一步提升到74.55%，对公司整体业绩贡献十分可观。其中联营公司盐田国际完成集装箱吞吐量稍有下降，但利润实现正增长；西港区码头公司吞吐量实现小幅增长，利润稍有下降归因于税收政策改变；对曹妃甸港口的投资尽管净利受到折旧费、财务费用及人工成本等的增加而有较大幅度下滑，但从货物吞吐表现和港口的发展形势来看，这一投资收益未来将会越来越凸显。

推进重点项目建设，提供新的利润增长点。公司在面临严峻的经济、政策和竞争环境之下，积极发挥自身优势谋求稳健发展，积极推进西港区二期和惠州煤码头等重点项目建设和扩建，为公司提供新的利润增长点，拓宽公司的接卸能力。

投资建议：我们预测公司2013-2015年的营业收入分别为3.18、3.29和3.47亿元，归属于母公司的净利润分别为3.94、4.08和4.38亿元，基本每股收益分别为0.20、0.21和0.23元，对应2013-2015年动态市盈率为21.29、20.55和19.16倍，并维持公司“增持”评级。",,华泰证券,增持,[None],2013-03-19,,增持,574825,pdf_downloads/2013/2013-03-19/000088-盐田港(000088)：业绩小幅下滑，投资收益贡献可观.pdf,000088,盐田港,盐田港(000088)：业绩小幅下滑，投资收益贡献可观
陈賝,"事件：

近日，我们走访了盐田港，就盐田港目前的经营状况及未来的发展进行深入交流。观点如下：

关注1：

内外兼修打造国内标杆型集装箱港口码头。盐田港自身拥有航面宽阔、水深浪小、泥沙淤积少等特点，其背靠中国最大的出口加工贸易区珠江三角洲，毗邻国际金融、贸易、航运中心香港，拥有较为优质的港口经济腹地，使其具备成为华南乃至国内标杆型能够容纳超大吨级远洋船舶停靠、装卸的深水良港的先天内在条件，而对外方面，盐田港的主要的生产经营管理者拥有着世界领先的港口管理经验，充分利用其在行业内多年积攒的人脉和比较优势，与世界上众多船公司建立了长期的战略合作伙伴关系，目前盐田港近八成左右的航线来自欧美，这种外放式的经营战略选择，使其一方面拥有较强议价能力，而且由于欧美远洋航线本身的停泊装卸费用高于其他航线，使得盐田港能够在目前全球港口的盈利能力中名列前茅。目前公司控股29%的盐田国际一、二期港口的年设计吞吐总量为200万吨，三期年吞吐量是240万吨，三期扩建区域年设计吞吐量为370万吨，其中仅中港区的年设计吞吐量将达到800万吨以上，而位于港区西部的西港区（含目前在建的西港区二期），预计年设计吞吐量为200万吨，其中一期的吞吐量为40万，而二期第一个5万吨级的泊位预计2013年将投入使用，届时盐田港整体年设计吞吐量将达到近千万吨级，将更加符合目前大型规模化集装箱码头建设潮流。",,东兴证券,推荐,[None],2012-09-26,,增持,754267,pdf_downloads/2012/2012-09-26/000088-盐田港(000088)调研快报：内外兼修，多元投资带动长期成长.pdf,000088,盐田港,盐田港(000088)调研快报：内外兼修，多元投资带动长期成长
陈亮,"2011 年公司完成营业收入36,075.75 万元，较上年同期减少5,617.96 万元，下降13.47%；营业成本13,818.23 万元，较上年减少5.37%；实现归属于上市公司股东的净利润42,636.32 万元，较上年增加1,613.62 万元，增长3.93%，毛利率下降3.28%。

    公司收入下降主要归因于惠盐高速公路受周边路网分流、运行维护成本上升以及盐田坳恶意冲关逃费等影响致使营收下降10.27%，以及梧桐山隧道股权转让，公司自上年二季度开始不再对隧道公司进行并表，合并收入同比减少3,098.05 万元。尽管公司主要利润来源惠盐高速公路净利润和码头投资收益同比都出现下滑，但由于转让梧桐山隧道公司股权实现投资收益5260 万元,净利润仍实现小幅增长。

    受内外经济不振及产业转移等影响，公司目前面临较为艰难的经营形势和激烈的竞争环境，但公司业务发展较好，增持了盐田国际的股权，惠控项目取得国家发改委批准，西港区3#泊位延长段已建成投入使用，公司也已顺利完成了对唐山曹妃甸港口有限公司的股权投资，曹妃甸港口正处于快速增长期，未来将为公司带来较好的投资收益。另外，公司目前正在进行重大资产重组，我们对此也有所期待。

    投资建议：我们认为，尽管一些不利因素可能会继续影响到公司业绩，但公司具有较强的区位竞争优势，业务发展稳健，且有较为确定的投资收益预期。我们预测公司2012-2013 年实现归属于母公司的净利润分别为458.65 和501.98 百万元，每股盈利分别为0.31 和0.34元，对应动态市盈率分别为16.23 和14.79 倍，并结合公司发展和市场情况，给予“推荐”评级。",,华泰证券,推荐,[None],2012-03-19,,增持,733555,pdf_downloads/2012/2012-03-19/000088-盐田港(000088)：投资收益继续有看点，资产重组成为新期待.pdf,000088,盐田港,盐田港(000088)：投资收益继续有看点，资产重组成为新期待
孟令茹,"2011年中期公司实现每股收益0.16元，略低于预期。2011年上半年共实现营业收入1.80亿元，同比下降10.32%，营业成本为0.66亿元，同比下降7.13%，公司业务毛利率为63.53%，较上年同期回落1.25个百分点，实现归属于母公司净利润2.35亿元，同比增长13.81%，当期每股收益为0.16元，较去年同期增加0.02元。其中，贡献公司利润最大部分的投资收益实现2.35亿元，同比增长42.33%。

    公司投资收益大幅增长却难以掩饰构成公司主要利润结构的港口业务的下滑态势。上半年公司投资收益来源主要包括三项：经营盐田港一、二期泊位的盐田国际（一、二期）和负责经营的盐田港西港区泊位的西港区码头公司的投资收益，以及隧道公司50%股权转让收益（上述三项收益占公司投资收益总额的75%，而投资收益又占公司利润总额66%）。上半年由于公司转让隧道公司50% 股权，导致公司当期投资收益大幅增长42.33%，假如扣除上述非经常性的股权收益，则当期公司投资收益仅能实现7%的增长幅度，主要原因在于上半年珠三角港口群受海外经济增长放缓、人民币升值、经济腹地产业经营成本上升及信贷压缩提高中小企业资金使用成本等因素影响，珠三角港口群集装箱吞吐量增速远低于长三角及环渤海港口群。上半年公司控股27%的盐田国际（一二期）集装箱吞吐量仅完成142.19万TEU，同比下降6.91%，净利润为3.2亿元，同比下降11.8%；公司控股的西港区码头公司完成集装箱吞吐量19.51%，同比下降6.95%，净利润为5423.15万元，同比下降14.47%。我们认为珠三角港口群经济腹地的产业转移是必然趋势，而2011年来我国贸易顺差不断创下新高将进一步加大人民币升值压力，这将对珠三角外贸企业产生不利影响，将继续影响该港区集装箱吞吐量的增长，意味着未来公司港口投资收益也会受到一定拖累。

    面对不利的经营环境，公司发展思路明确，积极剥离不良的业务，外延扩张开启。由于港口投资收益是构成公司利润结构的重要组成部分，面对不利的竞争环境，为巩固港口业务的市场份额，公司已经通过行使优先权增持盐田国际（一、二）2%股权的方式壮大现有港区业务，目前该项目正在报国家商务部做最后审批。此外，公司也全力推进西港区二期项目的发展，积极与和记黄盐田港口投资有限公司沟通协调，加快完成西港区码头公司增资工作。2011年5月公司投资人民币2.34亿元实现对深圳能源集团股份有限公司的全资子公司惠控公司的增资，达到拥有惠控公司70%股权、增加公司煤炭等散货装卸业务、实现公司码头业务多元化，降低经营风险的目标。在积极布局珠三角业务的同时，公司已经开始剥离不良业务，由于深盐二隧道修通后对车流量产生的分流影响，该公司业绩从2009年起开始大幅下滑，2010年净利润仅仅实现415万元，较2008年净利润下降70%之多，为此公司决定转售上述股权。通过剥离上述不良资产，可以有效地降低公司未来经营风险。同时，公司外延扩张开启，2011年8月15日公司董事会审议通过《关于公司投资唐山曹妃甸港口有限公司的议案》，公司将投资13.55亿元对唐山曹妃甸港口有限公司进行增资，此次增资完成后，公司将持有曹妃甸港口公司35%的股权。此次增资意义非同小可，表明面对珠三角不利的竞争环境，公司已经放开眼界，把视线瞄准增长潜力非常巨大的环渤海港口群，尤其自然条件优良，业绩增长空间十分广阔的曹妃甸港口，这一事项的完成将大大打开公司的盈利空间。

    充足的货币资金为公司外延扩张提供丰厚的资金保障。公司扩张的背后，重要的财力支持是公司扩张的重要保障，我们统计了截止目前已经公布2011年中报的港口上市公司货币资金与在建工程的比值，盐田港的上述指标为744.53，远高于锦州港（0.372）、营口港（0.642）、日照港（2.994）南京港（0.782）、厦门港务（18.829）芜湖港（94.118），我们认为，充足的资金流将为公司大幅扩张奠定丰富的物质基础。

    投资建议：假定增持盐田国际（一、二期）股权2%至29%事项将于2011年余下数月内完成，增资唐山曹妃甸港口有限公司事项将对公司2012年的投资收益产生影响；此外，针对珠三角港口群集装箱吞吐量增速不容乐观的环境，下调2011年公司港口业务的盈利预期。预计2011-2012年公司每股收益有望实现0.32元和0.37元，对应 PE分别为18倍和16倍.尚低于港口估值水平。尽管短期内公司盈利能力将会放缓，但是基于公司明确的发展思路，我们维持公司的“增持”评级。

    投资风险：欧美国家消费低于预期，二级市场系统性风险。",,山西证券,增持,[None],2011-08-18,,增持,710472,pdf_downloads/2011/2011-08-18/000088-盐田港(000088)：不良业务剥离、外延扩张开启，盈利空间打开在望.pdf,000088,盐田港,盐田港(000088)：不良业务剥离、外延扩张开启，盈利空间打开在望
,"投资要点：

    2010年业绩下降10.86%，降幅较09年收窄。2010年公司共实现营业收入4.17亿元，同比增长3.86%，形成营业成本1.46亿元，同比增长7.03%，公司全部业务毛利率64.98%，较上年降低1.04个百分点，实现归属于母公司净利润4.10亿元，同比下降10.86%，降幅较上年下降8.82个百分点，当年每股收益0.33元，较去年下降0.04元。其中，贡献公司利润较大部分的投资收益实现2.90亿元，同比下降11.55%。

    2011年1季度公司业绩大幅增长40%。2011年1季度公司共实现营业收入9742万元，同比下降1.79%，形成营业成本3516万元，同比增长4.93%，公司全部业务毛利率63.94%，较上年同期降低2.31个百分点，实现归属于母公司净利润1.35亿元，同比增加40.31%，增幅较上年增加43.07个百分点，当期每股收益0.11元，较去年同期增加0.03元。其中，贡献公司利润较大部分的投资收益实现1.36亿元，同比增长103.94%，超预期增长。

    惠盐高速公路公司及湘潭四航公司收入的增加促使2010年公司收入小幅增长，盐田国际（一、二期）收益的下降拖累公司2010年的投资收益。受益于盐田港区集装箱吞吐量增长惠盐高速公路公司大型车辆通行费收入较上年同期有所增长，2010年实现收入32038.78万元，较上年同期增长3.91%；湘潭四航公司因湘潭市政府自2010年3月15日实施过境和本地中重型货车24小时禁行三桥的交通管制措施，增加湘潭四航公司四桥车流量和收入，2010年该公司收入1,360.47万元，较上年同期增长61.97%。归属于母公司净利润下降10.86%的主要原因在于公司投资收益大幅下降，公司港口收益主要来自于参股盐田国际（一、二期）27%及西港码头公司35%股权收益，作为盐田港区经营者的参与主体，上述合营公司吞吐量的分配依据岸线长度、泊位设计能力、后方堆场能力统一考虑计算吞吐量在各公司间的分配，受盐田港区码头竞争影响，2010年盐田国际（一、二期）净利润79563.15万元，同比下降14.13%，是公司投资收益下降的主要原因。此外，从2011年第1季度看，珠江三角洲地区港口集装箱吞吐量增速明显弱于长三角地区港口和渤海地区港口，预示着近期受欧美消费市场恢复的不确定性的影响较强，未来公司港口投资收益也会受到一定拖累。

    2011年盐田国际（一、二期）所得税率上调，将会影响公司投资收益增长。公司港口收益主要来自合营公司，其中2010年公司从盐田国际（一、二期）取得的投资收益占公司投资净收益的74%，该公司的发展对公司投资收益的影响重大，而根据中国新税法规定，以前享受税率优惠的企业2008-2012年5年间税率逐步过渡至25%。盐田港区一二期所得税率将由2010年的22%提升至11年的24%，未来将继续对投资收益产生不利影响。

    出售梧桐山隧道股权利于降低公司经营风险，同时增加2011年的投资收益。公司与香港达佳（集团）分别拥有持有梧桐山隧道50%的股权。由于深盐二隧道修通后对车流量产生的分流的负面影响，该公司业绩从2009年起开始大幅下滑，2010年净利润仅仅实现415万元，较2008年净利润下降70%之多，为此公司决定转售上述股权。公司上述行为有效降低了公司未来经营风险，此外，股权的转让也增加了公司投资收益，是2011年第1季度公司业绩大幅增长重要原因，根据测算该股权转让增加2011年投资收益5100万元。

    投资建议：考虑梧桐山隧道2010年股权转让及增持盐田国际（一、二期）股权2%至29%因素，假定未来两年公路运输及仓储收入均实现9%-10%的平稳增长，预计2011-2012年公司每股收益有望实现0.38元和0.42元，对应PE分别为20倍和18倍。目前港口板块动态市盈率为21.24倍，公司历史市盈率均值为18倍，综合考虑大盘走势，港口行业估值状态及2季度集装箱吞吐量逐步增长3季度是集装箱装卸量旺季的传统习惯，给予公司“增持”评级。

投资风险：欧美国家消费低于预期，二级市场系统性风险",,山西证券,增持,[None],2011-04-28,,增持,524448,pdf_downloads/2011/2011-04-28/000088-盐田港：2010年业绩小幅下降，2011年有望恢复性增长.pdf,000088,盐田港,盐田港：2010年业绩小幅下降，2011年有望恢复性增长
,"事 项

    我们于近期对盐田港进行了调研，就盐田港区经营情况和相关业务作了了解。

    主要观点

    根据盈利贡献和持股情况分析，我们将盐田港界定为港口投资公司。盐田港区的投资收益和惠盐高速公路经营分别贡献公司利润的64%和24%。公司的主营业务是惠盐高速公路的经营，但高速公路在利润贡献中只占有24%，利润的大部分来自于盐田港区的投资收益。

    整个盐田港区建设大致分为三个阶段：第一阶段，盐田港一二三期和三期扩建，目前已全部完工并投产；第二阶段，盐田港西港区码头，目前在建；第三阶段，东港区码头，还没有开工和建设时间表。

    盐田港区已投产泊位可以满足未来4年的生产。盐田港区一二期5个5万吨级集装箱泊位，3期4个10万吨级集装箱泊位，三期扩建6个7-10万吨级集装箱泊位已全部投产，总设计吞吐能力是800万TEU（5万吨级泊位设计吞吐能力40万TEU/年，10万吨级设计吞吐能力60-70万TEU/年），实际最大吞吐能力估计能达到2000万TEU。

    西港区3个5万吨级泊位在建，设计吞吐能力是120万TEU，实际最大吞吐能力估计能达到300万TEU。预计最快2012年第一个泊位可以投产，3个泊位全部投产至少要到2015年，关键要看港区吞吐量增长情况，如果吞吐量增长快很可能会缩短建设期。

    根据上述分析，目前盐田港区投产和在建泊位设计吞吐能力是920万TEU，实际最大吞吐能力能达2300万TEU。2010年盐田港区的吞吐量1070万TEU，整个深圳港的吞吐量预计2200万TEU，仅目前盐田港区已投产的产能可以满足未来4年的生产（假设每年吞吐量增长20%）。

    盐田港持有盐田港区一二期29%的股份和西港区35%的股份，目前还不持有三期及三期扩建泊位股份。盐田港区一二期和西港区另外71%和65%的股份由和黄港口投资公司持有。三期和三期扩建泊位由盐田港股东盐田港集团持股35%，和黄港口投资公司持有65%，对于盐田港集团持有的35%是否会装入上市公司，目前没有说法也没有时间表。

    由持股情况可以看出，盐田港区的实际经营方是和黄港口投资公司，和黄港口投资公司的股东是和黄、马士基和中远。盐田港区的泊位进行统一经营管理，箱量根据资产规模、泊位数量、岸线长度在泊位所属投资公司之间（盐田国际、西港区码头公司和盐田三期集装箱码头公司）分配。

    盐田港区的发展长期来看有两个风险。我们还不能得知马士基为何退出盐田港的投资。长远来看，对盐田港区未来生产经营的有两个不利方面：一周边港口的竞争风险；二是珠三角腹地经济的发展速度放缓，或有可能导致港口吞吐量增长明显低于长三角，前两个月盐田港区吞吐量同比增长4%，同期宁波港同比增幅达18-19%。

    盐田国际的所得税率11年继续提高至24%，影响投资收益。根据中国新税法的规定，以前享受税率优惠的企业2008-2012年5年间税率逐步过渡至25%。盐田港区一二期所得税率将由10年的22%提升至11年的24%，将继续对投资收益产生负面影响。

    高速公路经营面临车辆分流。公司控股子公司经营惠盐高速公路深圳段，10年由于盐巴高速通车造成车辆分流，10年车流量有所下降。

    投资建议：考虑梧桐山隧道11年出售的情况，根据我们的测算10-12年EPS0.34元、0.39元和0.42元，对应PE21倍、19倍和17倍。目前港口板块11年动态PE是17倍，我们暂不给予评级。建议投资者关注中国出口数据好转和港口吞吐量增长带来的港口股交易性机会。根据我们的判断，11年港口吞吐量月度数据创出历史新高的频率很高特别是在2/3季度，这将大大增加港口股特别是集装箱港口股的交易性机会。

    风险提示

    欧美经济和消费明显下滑，中国政策紧缩过度导致出口大幅下滑，人民币大幅升值。",,华创证券,无评级,[None],2011-03-21,,,569376,pdf_downloads/2011/2011-03-21/000088-盐田港(000088)：港口投资公司，关注交易性机会.pdf,000088,盐田港,盐田港(000088)：港口投资公司，关注交易性机会
