author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"武佳雄,李扬",亿纬锂能电池出货同比高增，储能盈利能力有望提升公司发布2025年三季报，前三季度实现归母净利润28.16亿元。公司动储电池出货量快速增长，营收规模和盈利能力有望提升，维持买入评级。支撑评级的要点2025年前三季度归母净利润28.16亿元：公司发布2025年三季报，前三季度实现营收450.02亿元，同比增长32.17%；归母净利润28.16亿元，同比下降11.70%；扣非归母净利润19.37亿元，同比下降22.51%。第三季度实现营收168.32亿元，同比增长35.85%；归母净利润12.11亿元，同比增长15.13%；扣非归母净利润7.80亿元，同比下降22.04%。根据公司计算，若剔除股权激励费用、单项坏账计提影响，则前三季度归母净利润为36.75亿元，同比增长18.40%，其中，第三季度归母净利润14.57亿元，同比增长50.70%，环比增长30.43%。动力电池出货同比高增，新客户不断拓展：前三季度公司动力电池出货34.59GWh，同比增长66.98%。商用车方面，公司根据产品线反馈，预计2026年商用车电池需求同比增长超过50%。乘用车方面，公司预计2026年乘用车动力电池出货量会有较大幅度增长，一是源于国际客户BMW的需求增长；二是国内新客户的导入，10月初公司会在国内启动新的大圆柱项目投建，满足国内乘用车客户就地配套的需求。储能电池出货快速增长，盈利能力有望提升：2025年前三季度公司储能电池出货48.41GWh，同比增长35.51%。公司预计四季度储能电池满产满销，出货量环比持续增长。毛利率方面，公司将继续优化商务，预计四季度毛利率环比提升。海外市场方面，公司预计2025年储能电池海外出货量占比不足两成，2026年目标超过25%。此外，公司表示将推动储能系统出货占比提升，亦有望带动储能业务盈利能力提升。固态电池稳步推进：全固态电池方面，公司按照先前规划，先建立中试线，然后不断做产品升级，预计在第四季度推出下一代产品。半固态电池方面，公司考虑投入小额资金对现有的某些产线进行升级改造，实现半固态电池的生产。同时，公司也在做下游市场的开拓工作。,,中银国际,买入,[None],2025-11-11,,买入,7613884,pdf_downloads/2025/2025-11-11/300014-亿纬锂能（300014）：电池出货同比高增，储能盈利能力有望提升.pdf,300014,亿纬锂能,亿纬锂能（300014）：电池出货同比高增，储能盈利能力有望提升
曾帅,"2025前三季度公司营收450.0亿元、同比+32.2%,归母净利润28.2亿元、同比-11.7%,主要系股权激励费用以及坏账减值计提。若剔除其影响,则公司前三季度归母净利润为36.7亿元、同比+18.4%,毛利率16.0%、同比-1.4pcts,净利率6.6%、同比-3.0pcts,。其中Q3营收168.3亿元、同/环比+35.9%/+9.5%,归母净利润12.1亿元、同比+15.1%,若剔除股权激励费用及坏账计提影响,公司单季度归母净利润为14.6亿元、同比+50.7%,毛利率13.7%、同比-5.4pcts,净利率7.3%,Q3整体盈利能力持续改善。受原材料价格波动及竞争格局加剧影响,公司运营能力显著提升,截至2025三季度末,公司存货周转天数及应收账款周转天数分别为40.2天和84.7天、较2024三季度末的58.7天和98.8天显著优化,产业链议价能力加强。电车市场稳中有进,储能市场维持高增长锂电行业景气度维持高位。根据SNE数据,2025前三季度全球动力电池装机量约811.7GWh、同比+34.7%,整体增长趋势符合预期。储能方面,根据储能网数据,2025前三季度中国新型储能装机达到31.8GW、同比+19.3%。动储业务齐头并进,商用车、大圆柱、海外储能打开增长预期。根据公司三季报,2025前三季度公司动力/储能电池出货分别为34.59/48.41GWh、同比+67.0%/+35.5%。拆分单季度来看,公司Q3动力/储能电池出货分别为13.11/19.70GWh、同比+82.8%/33.3%。从排名来看,公司动储均排名高位,根据SNE数据,前三季度公司动力电池装车量排名全球第九,同比+73.2%,市占率为2.7%,较去年同期2.1%小幅提升。根据大东时代数据,2025第三季度公司储能电池全球市占率达到12%,稳居全球前二。根据公司投资者交流纪要,公司商用车产品线反馈情况乐观,预计2026年保持50%以上的增速,大圆柱产品在成为宝马下一代电动车型电池首发供应商外,有望投建大圆柱电池新产能匹配国内新客户,海外储能目标至2026年占比有望从不足两成提升至超过25%并增加系统出货比例。投资建议与盈利预测在海外政策&amp;贸易壁垒扰动下汽车市场电动化仍呈现向上趋势,储能行业高景气度有望维持。公司为锂电池龙头企业,积极布局海内外产能,动储市占率持续增长;高端化技术持续领先,供应链体系进一步完善;在行业竞争格局加剧的情况下仍体现出一定的盈利韧性,综上,我们认为公司具备高壁垒及优于行业的增长预期,维持“买入”评级,预测公司2025~2027年归母净利润分别44.1、73.6和101.6亿元,对应PE值分别为37、22和16倍。风险提示宏观经济不景气,新能源车销量不及预期;国内外电车政策转向;国内外电力过剩导致储能需求不及预期;公司新产能投放不及预期;贸易壁垒;原材料价格大幅波动影响盈利能力;股价存在较大波动风险。",,中航证券,买入,[None],2025-11-04,,买入,8159911,pdf_downloads/2025/2025-11-04/300014-亿纬锂能（300014）：盈利能力持续回升，储能需求有望带动业绩弹性.pdf,300014,亿纬锂能,亿纬锂能（300014）：盈利能力持续回升，储能需求有望带动业绩弹性
"李柳晓,陈庆",动储出货量高增，维持全年出货目标。2025年前三季度公司营收450.0亿元（人民币，下同），同比增长32.2%。其中3季度公司收入168.3亿元，同比增长35.8%。公司全面推进满产满销，前三季度储能/动力电池出货量48.4G/34.6GWh，同比+35.5%/+67.0%，其中3季度储能/动力电池出货分别为19.7G/13.1GWh。根据CESA数据，2025年1-8月，中国内地储能新增招标规模达292GWh，同比增长104%，叠加欧洲户储补库及美国关税缓释期抢装，2025年储能行业需求强劲。动力电池方面，新能源商用车迎来盈利拐点，正在成为新的增长点。公司维持全年出货量目标130GWh，储能和动力电池出货量分别约为80G/50GWh。动力电池盈利稳健，储能电池4季度涨价落地后盈利能力进一步提升。盈利能力方面，3季度毛利率13.7%，同比/环比-5.3ppts/-3.8ppts，主要由于期内对客户的返利政策抵减收入5.3亿元。剔除返利影响后，动力电池毛利率维持在17%-18%，储能电池毛利率环比提升2ppts至12%。考虑到电池提价落地，我们预计4季度电池毛利率环比提升。费用端，3季度销售/管理/研发费用率分别为1.0%/3.8%/3.6%，合计8.5%，同/环比-0.9ppts/-3.7ppts；期内归母净利润12.1亿元，同比增长15.1%，归母净利率7.2%，同/环比-1.3ppts/+3.9ppts，盈利能力环比改善明显。受益于行业向上，上调2026/27年盈利预测。公司加速推进海外产能建设，以对冲关税影响。马来西亚一期消费电池工厂于2025年1季度投产，二期储能工厂按规划稳步推进，有望于2026年1季度开始量产交付，港股募资后有望进一步加速海外产能建设，并缓解产能紧张。综合考虑3季度返利政策抵减影响及4季度提价落地，我们小幅下修公司2025年净利润预测4%至42.0亿元。考虑到储能和商用车电池需求强劲，及公司新建产能落地，我们上调2026-27年净利润11%/15%至70.6亿/89.5亿元。基于DCF模型，上调目标价至94.7元人民币（原56.5元），维持买入。,,交银国际,买入,[None],2025-10-27,,买入,6856891,pdf_downloads/2025/2025-10-27/300014-亿纬锂能（300014）：3Q25盈利能力环比改善，受益于行业需求向上，上调目标价.pdf,300014,亿纬锂能,亿纬锂能（300014）：3Q25盈利能力环比改善，受益于行业需求向上，上调目标价
杨鑫,事件：公司发布2025年三季度报告，2025年前三季度，公司实现营业总收入450.02亿元，同比增长32.17%前三季度营收同比增长32.17%：2025年前三季度，公司实现营业总收入450.02亿元，同比增长32.17%；实现归母净利润28.16亿元，同比降低11.70%，若剔除股权激励费用、单项坏账计提影响，则归母净利润为36.75亿元，同比增长18.40%。电池出货量方面，公司前三季度动力电池出货34.59GWh，同比增长66.98%；储能电池出货 48.41GWh，同比增长35.51%。第三季度实现归母净利润12.11亿元，同比增长15.13%：单看第三季度，公司实现营收168.32亿元，同比增长35.85%，环比增长9.49%；实现归母净利润12.11亿元，同比增长15.13%，环比增长140.16%；实现扣非归母净利润7.80亿元，同比减少22.04%，环比增长130.04%。利润率方面，公司第三季度的毛利率和净利率分别为13.66%和7.33%。大圆柱及大方形铁锂电池优势明显：公司是中国首家量产并供应大圆柱动力电池的公司，大圆柱电池已实现量产装车超过六万台且运行稳定良好，单车最长行驶距离已经超过了23万公里。公司2024年度大圆柱电池出货量全球第二，国内第一。大方形铁锂电池方面，公司是全球首家量产600Ah+大方形磷酸铁锂储能电池的公司，拥有多年研发和实践积累。全球化战略部署，马来西亚工厂率先量产：公司持续推进“全球制造、全球交付、全球合作”的全球化战略部署，加速国际化产业布局，推动开拓并深入扎根海外市场。公司的马来西亚电池生产基地是公司首个实现海外量产交付的工厂，规划覆盖消费电池、动力电池及储能电池全系列产品，2025年2月16日完成产线调试并实现首颗小圆柱电池产品的成功下线；同时，马来西亚储能项目正按既定规划有序推进，预计于2026年初部分产能实现量产，以支持全球海外交付。投资建议：预计公司2025-2027年实现归母净利润45.00、72.60、103.34亿元，对应当前PE分别为36.48、22.61、15.89倍，公司在动力、储能、消费电池领域均具备明显的竞争优势，盈利能力逐步恢复，我们继续看好公司未来的发展，维持“买入”评级。风险提示：需求不及预期；行业竞争加剧；技术路线发生重大变化；政策风险。,,财信证券,买入,[None],2025-10-27,,买入,6853024,pdf_downloads/2025/2025-10-27/300014-亿纬锂能（300014）：出货快速增长，盈利能力逐步恢复.pdf,300014,亿纬锂能,亿纬锂能（300014）：出货快速增长，盈利能力逐步恢复
"徐强,牟俊宇,余玫翰",维持增持评级。考虑到2026年动储需求旺盛，我们上调公司2026-2027年盈利预测，我们预计公司2025-2027年的EPS分别为2.19/3.65/4.36元，可比公司2026年平均估值为37倍PE，我们给予公司2026年30倍PE，目标价109.46元，维持增持评级。股权激励等影响业绩，加回后业绩稳健增长。2025年前三季度，公司营收450.02亿元，yoy +32.17%，归母净利为28.16亿元。若剔除股权激励费用、单项坏账计提影响，则归母净利为36.75亿元，yoy+18.40%，其中，第三季度当期实现归母净利为14.57亿元，yoy+50.70%，qoq+30.43%。动力高增，储能预计四季度毛利率提升。前3Q动力出货34.59G，yoy+67%，储能电池出货48.41G，yoy+35.5%。我们测算，动储第三季度分别出货13.11G和19.7G，对应yoy+82.9%和32.3%。展望第四季度，储能依然保持满产满销，预计毛利率环比会继续提升。2026年储能海外预计有较好发展，储能2025年海外占比不到二成，2026年目标是超过25%，此外储能系统占比预计2026年会有提升。动力26年增长主要系1）商用车预计有50%以上的增速。2）2025年是公司乘用车电池发展元年，2026年预计宝马放量，以及国内有新客户拓展（10月份启动了新的大圆柱项目，满足就近配套的要求）。外协产能部分缓解产能压力，海内外新工厂陆续投产。储能和商用车目前存在产能瓶颈，公司接管了多个外协工厂，2025年预计贡献产能10-12GWh，2026年贡献30GWh产能。公司新工厂陆续转固，荆门的60工厂预计会在2026年陆续转固，沈阳、匈牙利、马来西亚工厂预计会在2026年底至2027年陆续实现转固。风险提示：储能电池出货量不及预期、动力电池出货量不及预期、消费电池出货量不及预期、政策不及预期。,,国泰海通,增持,[None],2025-10-27,,买入,6845760,pdf_downloads/2025/2025-10-27/300014-亿纬锂能（300014）：出货量高增，预期Q4毛利率改善.pdf,300014,亿纬锂能,亿纬锂能（300014）：出货量高增，预期Q4毛利率改善
黄秀瑜,事件：公司发布了2025年三季度报告。点评：2025年Q3实现归母净利润环比大幅增长。公司2025年前三季度实现营收450.02亿元，同比增长32.17%，归母净利润28.16亿元，同比下降11.70%。其中，2025Q3营收168.32亿元，同比增长35.85%，环比增长9.49%；归母净利润12.11亿元，同比增长15.13%，环比增长140.16%。若剔除股权激励费用及单项坏账计提影响，2025年前三季度归母净利润为36.75亿元，同比增长18.40%，其中Q3归母净利润14.57亿元，同比增长50.70%，环比增长30.43%。前三季度毛利率15.95%，同比下降1.43pct；净利率6.61%，同比下降3.01pct。Q3毛利率13.66%，同比下降5.35pct，环比下降3.8pct，主要系公司在Q3对部分客户历史价格作了返利所致；净利率7.33%，同比下降1.76pct，环比上升3.57pct。动力电池出货同比大幅增长，46系列大圆柱率先量产。2025年前三季度，公司动力电池出货34.59GWh，同比增长66.98%。Q3毛利率环比基本持平。公司率先实现大圆柱电池量产，成为宝马下一代电动车型的首发电池供应商，预计2026年大圆柱电池出货量达20GWh。公司于2025年5月发布开源电池3.0，持续受益新能源商用车高速增长，2025年前三季度在新能源商用车装车量全国市占率为13.3%，稳居第二，同比上升0.2pct。10Ah全固态电池于9月下线，预计2026年底实现百MWh产能交付。预计2026年推出能量密度达到350Wh/kg和800Wh/L的全固态电池1.0；2028年推出1000Wh/L以上的全固态电池2.0。储能电池业务强劲增长，客户结构优化将带来盈利能力持续回升。2025年前三季度，公司储能电池出货48.41GWh，同比增长35.51%。经过客户结构调整优化，Q3毛利率恢复至12%以上，Q4环比有望继续改善。2025年6月第30万颗储能专用大方形Mr.Big电池于荆门60GWh超级工厂下线。马来西亚储能项目预计2026年初开始量产，支持全球海外交付。投资建议：维持买入评级。预计2025-2026年EPS分别为2.16元、3.47元，对应PE分别为36倍、23倍。公司是动力、储能和消费锂电平台型企业，随着公司产品、客户结构优化及新增产能释放，后续盈利有望快速增长，维持买入评级。风险提示：下游需求不及预期风险；市场竞争加剧风险；新产品新技术迭代风险；原材料价格大幅波动风险。,,东莞证券,买入,[None],2025-10-24,,增持,6716950,pdf_downloads/2025/2025-10-24/300014-亿纬锂能（300014）：动储电池出货高增，Q3净利环比大幅增长.pdf,300014,亿纬锂能,亿纬锂能（300014）：动储电池出货高增，Q3净利环比大幅增长
"王蔚祺,李全","公司2025Q3实现归母净利润12.11亿元，同比+15%。公司2025年前三季度实现营收450.02亿元，同比+32%；实现归母净利润28.16亿元，同比-12%。若剔除股权激励费用、单项坏账计提影响，公司2025年前三季度实现归母净利润36.75亿元、同比+18%。公司2025Q3实现营收168.32亿元，同比+36%、环比+9%；实现归母净利润12.11亿元，同比+15%、环比+140%；实现扣非归母净利润7.80亿元，同比-22%、环比+130%。2025Q3公司基于历史因素、计提一次性返利对扣非净利润产生影响，若将返利加回、利润呈现同环比显著增长趋势。同时公司2025Q3转让了部分长期股权投资，形成3.4亿元非流动性资产处置收益。公司动力储能电池销量维持快速增长趋势。公司2025年前三季度动力储能电池出货量83.0GWH、同比+47%；其中动力电池出货量34.6GWH、同比+67%，储能电池出货量48.4GWh、同比+36%。公司2025Q3动力储能电池出货量32.8GWH，环比+20%；其中动力电池出货量13.1GWh、环比+16%，储能电池出货量19.7GWH、环比+23%。展望后续，公司储能大电芯产品持续获得国内外客户认可，带动电池销量快速提升；动力电池领域，公司积极携手宝马、小鹏、零跑、广汽等客户、持续增加车型供应，市场份额稳中向好。一次性返利、股权激励等因素扰动短期盈利；公司动储电池经营性利润稳中向好。若将一次性返利、股权激励等加回，我们估计2025Q3公司动储电池单位扣非净利约为0.025元/Wh以上，环比小幅增长。展望后续，公司动力与储能电池产能利用率持续高位，储能电池价格稳中向好，海外动力与储能电池客户出货占比有望陆续提升，助力盈利能力稳中向好。公司新技术快速布局，全球化战略持续推进。公司“龙泉二号”10Ah全固态电池成功下线，能量密度达300Wh/kg、主要面向人形机器人、低空飞行器、AI等高端装备应用领域。同时，公司设立固态电池研究院成都量产基地，一期将于2025年12月建成，具备60Ah电池制造能力；二期计划于2026年12月实现100MWh年产能交付。全球化方面，公司马来西亚小圆柱基地正持续爬坡、储能基地预计2025年底到2026年初建成投产，匈牙利基地布局稳步推进。此外，公司CLS模式首个落地项目ACT公司按计划推进产能建设，助力北美商用车市场加快电动化。国内CLS合作工厂陆续实现满产满销，协同满足下游客户持续增长交付需求。风险提示：电动车销量不及预期；产能建设不及预期；原材料涨价超预期。投资建议：调整盈利预测，维持优于大市评级。考虑到公司一次性返利对于2025年利润的消极影响，以及国内外动力储能客户需求向好对中长期业绩的积极影响。我们调整盈利预测，预计公司2025-2027年实现归母净利润45.05/75.25/96.11亿元（原预测为46.03/71.14/87.09亿元），同比+11%/+67%/+28%,EPS为2.20/3.68/4.70元，动态PE为36/21/17倍。",,国信证券,优于大市,[None],2025-10-24,,买入,6714809,pdf_downloads/2025/2025-10-24/300014-亿纬锂能（300014）：2025年三季报点评：动储电池出货量快速增长，股权激励与历史因素扰动短期利润.pdf,300014,亿纬锂能,亿纬锂能（300014）：2025年三季报点评：动储电池出货量快速增长，股权激励与历史因素扰动短期利润
"刘俊,边文姣",2025年10月24日│中国内地 电力设备与新能源 公司发布三季报，25Q3收入168.32亿元，同/环比+35.9%/+9.5%，归母净利12.11亿元，同/环比+15.1%/+140.2%，扣非净利7.80亿元，同/环比-22.0%/+130.0%，归母净利低于我们此前15.81亿的预期，主要系股权激励费用、坏账等一次性计提影响，若剔除影响，调整后Q3归母净利达14.57亿。展望明年，公司宝马大圆柱项目及北美储能客户订单释放带来客户结构改善，动力产能利用率提升，国内储能价格同比好转，我们看好公司实现量利齐升，维持“买入”评级。动力：商用车需求高增长，盈利能力后续将持续提升公司25Q3动力电池出货13.1GWh，环比+16%，毛利率超17%，盈利能力维持稳定。根据公司业绩会，商用车是动力领域增长最快的场景，26年预计有望继续实现翻倍增长。乘用车除了宝马大圆柱项目继续上量，明年有望导入新客户。随着明年动力需求高增提升产能利用率+优质客户交付起量+产品结构往高端化发展，公司预计明年动力业务毛利率达20%，较今年显著改善。我们看好明年公司动力业务实现量利齐升。储能：25Q3毛利率已有环比改善，25Q4或将继续改善公司25Q3储能电池出货19.7GWh，环比+23%，毛利率恢复到12%以上，环比+2pct，主要系客户结构的调整改善。公司储能产能实现满产满销，产能供不应求，公司引入合计30GWh外协产能满足客户需求。25Q3国内储能电池开始涨价，公司亦有对客户的价格调整，中小客户25Q3开始执行，大客户的涨价或在才能Q4完整体现，因而Q4毛利率环比继续改善可期。根据公司业绩会，公司Q3储能电池出口比例达18%，明年目标超25%，且今年9月公司推出5年零衰减的储能系统产品，明年起系统交付占比有望快速提升。我们看好公司涨价提升盈利+出海开拓增量+系统交付提升价值量，多轮驱动公司储能业务盈利向好。固态电池：迎来产业化新进展，有望成为未来增长动力公司积极布局固态电池相关技术：1）全固态电池：25年9月，公司固态电池研究院成都量产基地正式揭牌，基地一期预计于25年12月建成，具备60Ah电池制造能力，二期于26年12月实现100MWh年产能交付。同时“龙泉二号”10Ah全固态电池成功下线，主要面向人形机器人、低空飞行器以及AI等高端装备应用领域；2）半固态电池：公司计划布局半固态电池，目前正在市场前期摸排与调查中；固态电池渗透为行业未来发展趋势，我们看好公司在固态电池领域布局，固态电池有望为公司实现技术卡位并带来产品溢价，助力公司保持长周期的市场竞争力。维持“买入”评级考虑到公司对客户进行销售返利及坏账计提，我们上修25年对应的减值等假设，考虑到公司动储业务产能释放顺利且下游需求持续向好，大圆柱产能明年有望放量，且客户商务条件存在好转，我们上修公司26-27年动储出货量和盈利能力假设，我们预计公司25-27年归母净利45.04/82.73/97.14亿元（前值49.01/70.86/89.73亿元，较前值调整-8%/+17%/+8%）。参考可比公司26年Wind一致预期PE均值24倍（前值25年26倍），给予公司26年PE 24倍（前值25年26倍），对应目标价96.96元（前值62.40元），维持“买入”评级。风险提示：电池出货量不及预期；思摩尔业绩不及预期；行业竞争加剧。,,华泰证券,买入,[None],2025-10-24,,买入,6714598,pdf_downloads/2025/2025-10-24/300014-亿纬锂能（300014）：计提影响Q3利润，看好未来量利齐升.pdf,300014,亿纬锂能,亿纬锂能（300014）：计提影响Q3利润，看好未来量利齐升
姚遥,业绩简评10月23日，亿纬锂能发布25Q3业绩。1-3Q25公司收入450亿元，同比+32%，归母净利润28.2亿元，同比-11.7%，扣非归母净利润19.4亿元，同比-22.5%；单Q3公司收入168亿元，同比+36%，环比+9.5%，归母净利润12.1亿元，同比+15.1%，环比+140%，扣非归母净利润7.8亿元，同比-22%，环比+130%。剔除股权激励费用及单项坏账计提影响，Q3归母净利润14.57亿元，同比+50.70%，环比+30.4%。经营分析1、返利降低毛利率，大额投资收益对冲影响。公司单Q3毛利率13.7%，同比/环比-5.3pct/-3.8pct， Q3对客户的返利政策扣减收入5.3亿元，对毛利率构成短期不利影响；四费率9.5%，同比/环比-1.2pct/-5.5pct，Q3计提股权激励约2.5亿元；投资收益6.2亿元，环比+4亿元，主因对思摩尔的减持，扣非归母净利率4.6%，同比/环比-3.4pct/+2.4pct。2、动储出货量高增，储能盈利逐季改善。1-3Q25动力电池出货34.59GWh，同比增长66.98%，储能电池出货48.41GWh，同比增长35.51%，其中Q3动力/储能电池出货分别13.11/19.7GWh。剔除返利影响，业务层面Q3动力电池毛利率环比持平，储能毛利率环比修复，基于Q3公司提价等商务沟通预计更多反应在Q4报表以及定制化产能的需求，继续看好储能的毛利率Q4环比提升。3、后续展望：我们预计，25年公司动储电池出货有望达120-130GWh，动力有望50GWh，储能有望70-80GWh，伴随储能电池涨价的持续兑现、供需紧张下产品+客户结构优化、公司接管外协代工工厂扩充产能，继续看好再25Q4公司储能电池量利齐升。盈利预测、估值与评级公司储能电池保持满产满销，盈利持续改善，动力电池放量盈利显著修复，未来马来工厂、匈牙利工厂逐步投产，将进一步拓宽海外动储市场，提升公司全球竞争力。我们预计公司25-27年归母净利润分别为43.5、78.7、102.0亿元，维持“买入”评级。风险提示新能源汽车、储能需求不及预期，产能释放不及预期。,,国金证券,买入,[None],2025-10-24,,买入,6708023,pdf_downloads/2025/2025-10-24/300014-亿纬锂能（300014）：需求高景气，主业盈利持续改善.pdf,300014,亿纬锂能,亿纬锂能（300014）：需求高景气，主业盈利持续改善
"曾朵红,阮巧燕,朱家佟",表观业绩符合市场预期、经营性利润亮眼。公司25年Q1-3营收450亿元，同增32%，归母净利润28亿元，同减12%，扣非净利润19.4亿元，同减23%，毛利率16%，同减1.4pct；其中25年Q3营收168亿元，同环比+36％/+10％，归母净利润12.1亿元，同环比+15%/+140％，扣非净利润7.8亿元，同环比-22%/+130％，毛利率13.7%，同环比-5.3/-3.8pct。公司在25年三季报业绩会中说明：1）毛利率下降，主要由于Q3对部分客户历史订单一次性计提5.3亿元返利，直接冲减收入，实际公司动力电池Q3毛利率稳定、储能毛利率环比+2pct；2）为了对冲返利影响，公司出售近0.5pct摩尔股权，获得3.5亿元投资收益。扣除一次性返利、一次性投资收益、2.5亿元股权激励费用影响，公司经营性利润14.6亿元，同增51%，环增30%，业绩符合市场预期。Q3电池出货量增长提速，26年动储齐发力。Q3电池出货34.6GWh，同环比+58%/+27%，其中动力14.2GWh，同比+98%，储能20.4GWh，同比+38%。Q1-3累计出货看，动力36GWh，储能48.4GWh，我们预计全年动力超50GWh，储能75-80GWh，全年销量预期125-130GWh，同增近60%。目前公司储能产品供不应求，60GWh 628大电芯产能已开始爬坡，叠加马来储能工厂26年贡献5-7GWh产能，我们预计26年储能电芯出货量有望达到120GWh，同增50%+。动力方面，26年大圆柱电芯有望贡献近15-20GWh、商用车电池有望翻番贡献近20GWh增量，因此我们预计动力总体有望实现80GWh+，全年出货量合计200GWh，增长60%。动力盈利稳健，储能Q4涨价落地盈利大幅提升。不考虑返利，25年Q3动储电池收入我们预计145亿元，环比+16%，对应电池均价0.47元/wh，环比小幅下降。毛利率端，动力25年Q3毛利率基本维持17-18%，储能毛利率环比提升2pct至12%，对应动储单wh利润0.023元/wh，环比微增，合计25年Q3贡献近8亿元利润。展望25年Q4，储能涨价已落地，预计毛利率有望提升至15%，对应单wh利润提升至0.026元/wh+。动力端，26年产能利用率提升+大圆柱放量+商用车翻番，总体毛利率有望提升至20%。因此我们预计26年公司动储量利双升。其他业务，总体稳健。我们预计Q3消费电池收入30亿元+，同环比+10%，贡献4亿元+利润，其中小圆柱25年出货12亿颗，26年预计实现20%增长。思摩尔贡献近0.9亿元投资收益，全年预计贡献4.5亿元，同增10%。盈利预测与投资评级：考虑到公司三季度一次性费用影响，我们下修公司25年净利润至45亿元（此前预期47亿元），同增11%，考虑到下游需求超预期，我们上修26-27年归母净利润至83/111亿元（此前预期75/105亿元），同增85%/32%，对应PE为36x/19x/15x，考虑到公司出货高速增长，给予26年30x估值，对应目标价122元/股，维持“买入”评级。风险提示：原材料价格波动超市场预期，电动车销量不及市场预期。,,东吴证券,买入,[None],2025-10-24,,买入,6708031,pdf_downloads/2025/2025-10-24/300014-亿纬锂能（300014）：储能需求旺盛，盈利逐季提升明确.pdf,300014,亿纬锂能,亿纬锂能（300014）：储能需求旺盛，盈利逐季提升明确
