author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"吴杰,阎石",维持“增持”评级。我们预计公司2025-27年EPS为0.90、1.03、1.07元。公司主要机组位于用电需求强劲的江苏，电价大幅下降风险较低，参考可比公司估值，给予公司25年10倍PE估值，对应目标价9元，首次覆盖给予“增持”评级。优质火电机组搭配优质区位条件。公司的火电机组大部分为优质的高功率超超临界机组，煤耗较低（2024年江苏机组煤耗289g），发电成本优势明显。公司火电装机主要在江苏、山西，山西的机组发的电量通过雁淮直流送江苏。江苏25年长协电价0.412元/度，同比降4分，但今年以来煤价持续低位，我们测算公司入炉标煤单价同比下降140元，对应度电燃料成本的下降已经覆盖电价的下降。金融板成为业绩压舱石。公司金融板块以江苏信托为主，江苏信托现为江苏省内最大的法人银行江苏银行的第一大股东（持股7%）、全国性人身保险公司利安人寿的第一大股东（持股23%），稳定的金融股权投资收益为公司奠定了坚强的展业基础，24年给公司贡献超20亿元的投资收益。公司新机组逐步投产提供增量。公司去年底投产一台滨海电厂百万千瓦机组，今年4月投产另一台百万千瓦机组；7月9日发布公告，沙洲电厂一台百万千瓦机组投产。目前在建的还有另一台沙洲电厂百万机组以及两台靖江电厂的百万机组，预计将在年内全部投产。此外，还有扬州电厂3期2*100万千瓦项目近期获得核准，有望在27年末实现投产。关键假设。（1）假设25年公司入炉标煤单价下降130元，26/27年分别同比下降30元；（2）25年电价下滑4分，26/27年分别下滑1分钱；（3）金融板块投资收益保持稳定，每年约20亿元；（4）预计25年公司归母净利34.11亿元，YOY+5.3%。风险提示。1.煤价大幅上涨；2.江苏电价大幅下跌；3.机组投产进度不及预期；4.金融行业出现系统性风险。,,国泰海通,增持,[None],2025-08-20,,买入,6327205,pdf_downloads/2025/2025-08-20/002608-江苏国信（002608）：首次覆盖：金融为基，增量优质火电提供成长性.pdf,2608,江苏国信,江苏国信（002608）：首次覆盖：金融为基，增量优质火电提供成长性,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 34.11,
            ""eps"": 0.9,
            ""pe"": 10
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.03,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 1.07,
            ""pe"": null
        }
    ]
}"
张君昊,业绩简评2025年4月25日公司披露2024年年报及2025年一季报，2024年实现营收369.33亿元，同比+6.83%；实现归母净利润32.38亿元，同比+73.12%；2024年计划现金分红0.1元/股（同比持平），当前股价对应股息率1.3%。1Q25实现营收77.60亿元，同比-14.54%；归母净利润8.64亿元，同比+11.01%。经营分析用电需求增长+利用小时提升，24年火电发电量持续增长，25年后续装机放量可期。江苏省24年用电量同比+8.3%、高于全国平均1.5pct，此外公司国信滨电百万千瓦煤电3号机组于24年底投产放量，叠加山西煤电、江苏气电利用小时数提升带动公司24年利用小时数同比+0.9%，公司24年总发电量722.01亿千瓦时、同比+2.2%。江苏电力供需偏紧格局为电价提供有力支撑，公司24年平均上网电价0.469元/千瓦时、同比小幅-0.9%。此外，国信滨电第二台100万千瓦超超临界燃煤发电机组于25年4月投产，且国信沙洲、国信马洲百万千瓦煤电机组有序建设中，预计集中于25年投产、有望带来25年控股在运机组总量近25%的增幅，持续贡献装机增量。煤价中枢下行，对2024-1Q25利润增长起到重要驱动作用。24年起国内煤炭产能增长、进口煤供应增加，供给侧放量背景下市场煤价、长协煤价中枢同比分别回落11.4%、1.8%，1Q25降幅扩大，同比分别回落17.5%、2.6%。用煤成本边际改善下，公司24年电力主业毛利率为12.98%、同比提升1.98pct，且1Q25在营收同比负增长的情况下，归母仍录得同比正增长、增速高于营收增幅25.6pct。金融业务稳健增长，利润“安全垫”作用维稳。受信托业务增长驱动，24年子公司江苏信托实现营业收入31.37亿元，同比增长4.44%；利润总额30.81亿元、同比+13.67%，金融板块利润总额占比59.4%、增量贡献率22.8%；24年板块业绩增长主因金融板块经营发展稳定，且继续增持江苏银行、收益持续增长。盈利预测、估值与评级预计未来市场煤价中枢将持续下移，沙洲、马洲机组计划于25年陆续投产，未来2年公司业绩有望持续增长。我们预计公司25-27年分别实现归母净利润32.9/34.8/30.8亿元，EPS分别为0.87/0.92/0.82元，公司股票现价对应PE估值分别为8.95/8.47/9.55倍，维持“增持”评级。风险提示新项目进展不及预期；省内火电需求不及预期；煤炭长协签约、履约不及预期以及煤价下行不及预期；金融业务盈利稳定性不足。,,国金证券,增持,[None],2025-04-27,,增持,6025321,pdf_downloads/2025/2025-04-27/002608-江苏国信（002608）：煤价下行驱动利润高增，25年装机放量可期.pdf,2608,江苏国信,江苏国信（002608）：煤价下行驱动利润高增，25年装机放量可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 32.9,
            ""eps"": 0.87,
            ""pe"": 8.95
        },
        {
            ""year"": 2026,
            ""net_profit"": 34.8,
            ""eps"": 0.92,
            ""pe"": 8.47
        },
        {
            ""year"": 2027,
            ""net_profit"": 30.8,
            ""eps"": 0.82,
            ""pe"": 9.55
        }
    ]
}"
张君昊,2024年10月30日公司披露三季报，1-3Q24营业总收入279.8亿元，同比+11.87%；归母净利润29.2亿元，同比+48.47%。其中，Q3营收102.1亿元，同比+5.32%；归母净利润9.7亿元，同比+14.4%。3Q24发电量增、价稳带动公司火电业绩增长。公司在运煤电机组约70%分布于江苏，且省外山西煤电机组发电量也有约90%送往江苏，充分受益于江苏用电和发电量的良好增势。3Q24江苏省用电量同比+12.4%、较全国平均水平高出4.8pct，江苏省火电发电量同比+4.6%、较全国平均水平高1.7pct。此外，从装机量看，公司9M23控股射阳港100万千瓦煤电项目投产进一步放量放大了3Q24的业绩增长。电价端，电力供需紧平衡下江苏3Q24电网代理购电价格维持在较基准价上浮12%-17%的水平，综合考虑电量电价和容量电价后预计公司江苏煤电销售电价稳定。可见火电业绩增长主要源于发电量增长。24-25年新机组放量可期，带来未来业绩增长驱动。公司目前在建百万千瓦机组有6台（5个控股、1个参股），数量居全省首位。其中，国信滨海港发电2×100万千瓦煤项目预计分别24年底、25年年初投产；国信沙洲2×100万千瓦煤电项目预计在25年上半年投产参与迎峰度夏，国信靖江2×100万千瓦煤电项目预计25年年底投产，整体看控股火电机组仍有约32%的增长空间。此外，Q3公司成立了江苏新能青口新能源开发有限公司，旨在投建连云港青口盐场渔光一体化发电项目，持续探索新能源领域投资。受上半年增持江苏银行影响，投资收益同比继续增厚。24H1公司多次增持江苏银行，子公司江苏信托及其一致行动人江苏投管当前对江苏银行的合计持股比例已达10%、较23年末提升了1.1pct；此外，江苏银行自身3Q24归母净利润也录得10.1%的增长，持续体现其区位优势和客户资源优势。综上，公司3Q24投资收益同比录得72.5%的增长，持续增厚公司利润。考虑煤价中枢下行及新机组“十四五”陆续投产，公司火电主业业绩有望实现稳健增长。我们预计公司24-26年分别实现归母净利润30.1/34.1/35.7亿元，EPS分别为0.80/0.90/0.95元，公司股票现价对应PE估值分别为8.5/7.5/7.2倍，维持“增持”评级。新项目进展不及预期；省内火电需求不及预期；煤炭长协签约、履约不及预期以及煤价下行不及预期；金融业务盈利稳定性不足。,,国金证券,增持,[None],2024-10-31,,增持,5809647,pdf_downloads/2024/2024-10-31/002608-江苏国信（002608）：电量驱动火电业绩提升，投资收益持续增厚利润.pdf,2608,江苏国信,江苏国信（002608）：电量驱动火电业绩提升，投资收益持续增厚利润,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 30.1,
            ""eps"": 0.80,
            ""pe"": 8.5
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.1,
            ""eps"": 0.90,
            ""pe"": 7.5
        },
        {
            ""year"": 2026,
            ""net_profit"": 35.7,
            ""eps"": 0.95,
            ""pe"": 7.2
        }
    ]
}"
"邓永康,黎静","事件：8月28日公司发布2024年半年报，实现营业收入177.76亿元，同比增加16.01%；归母净利润19.52亿元，同比增加74.20%；扣非归母净利17.83亿元，同比增加77.07%。其中公司能源板块实现利润总额11.61亿元，同比增长616.67%。2024Q2公司实现营业收入86.95亿元，同比增加7.31%，环比减少4.25%；实现归母净利润11.73亿元，同比增加35.92%，环比增加50.58%；实现扣非归母净利9.88亿元，同比增加32.09%，环比增加24.28%。装机容量持续扩张，电量供需平衡发展。需求端：江苏省电力需求旺盛，2024年上半年全省用电量为3923亿KWH，同比增幅9%，比全社会水平（8.1%）高0.9pct。发电端：24H1公司完成发电量345.06亿千瓦时，同比增长9.47%，其中，煤电320.07亿千瓦时，同比增长7.98%，燃气24.亿千瓦时，同比增长1.83%。截至2024H1，公司控参股总装机总容量为2145.4万千瓦，其中已投产1545.4万千瓦，在建600万千瓦煤电机组。公司控参股的600万千瓦二次再热超超临界机组将在“十四五”期间投产，其中公司控股的滨海港2*100万千瓦机组预计2024年底首台投产，第二台机组2025年4月投产；控股的沙洲2*100万千瓦机组预计2025年中投产；一控一参的靖江2*100万千瓦煤电一体化机组或将于2025年底投产。成本端压力减轻，电价整体略有下降。成本端：市场煤价自6月以来持续呈下跌趋势，煤电发电成本降低。截至8月28日，环渤海动力煤价格：秦皇岛（5500K）715元/吨。结合今年来水偏多，水电回暖挤压煤电需求，市场煤价或将持续走低。电价端：24H1电价相对稳定，综合平均上网电价为0.4597元/kwh，同比下跌1.37%；江苏省内煤电平均上网电价0.4681元/kwh，同比上涨0.88%；山西省内煤电平均上网电价0.3913元/kwh，同比下跌6.37%。增持江苏银行，投资收益增厚。24H1公司多次增持江苏银行，包括江苏信托增持江苏银行股份74,007,826股，江苏投管增持125,796,845股，合计占该行总股本比例1.09%。该次增持后，江苏信托与江苏投管合计占该行总股本比例9.98%，为江苏银行合并第一大股东。6月17日，江苏银行决议通过江苏投管及关联方合计持有江苏银行拟超10%股份议案。江苏银行24H1实现归母净利187.31亿元，带来公司投资收益12.67亿元，占公司利润总额41.19%。投资建议：成本端下行叠加火电发电量提升，公司火电盈利强劲，我们预计公司24/25/26年归母净利润分别为28.91/34.10/39.10亿元，EPS分别为0.77/0.90/1.03元，对应2024年08月28日收盘价PE分别9/7/7倍，维持“谨慎推荐”评级。风险提示：燃料成本上行；电价波动影响；电量消纳风险。",,民生证券,谨慎推荐,[None],2024-08-29,,增持,5742040,pdf_downloads/2024/2024-08-29/002608-江苏国信（002608）：2024年半年报点评：火电发电量提升，拉动业绩增长.pdf,2608,江苏国信,江苏国信（002608）：2024年半年报点评：火电发电量提升，拉动业绩增长,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 28.91,
            ""eps"": 0.77,
            ""pe"": 9
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.10,
            ""eps"": 0.90,
            ""pe"": 7
        },
        {
            ""year"": 2026,
            ""net_profit"": 39.10,
            ""eps"": 1.03,
            ""pe"": 7
        }
    ]
}"
张君昊,业绩简评2024年8月28日公司披露半年报，1H24实现营收177.8亿元，同比+16.0%；归母净利润19.5亿元，同比+74.2%。其中，Q2实现营收87.0亿元，同比+7.5%；归母净利润11.7亿元，同比+35.9%。经营分析1H24发电量增、价稳驱动公司火电业绩增长，新机组下半年放量可期。公司在运煤电机组约70%分布于江苏，1H24江苏省用电量同比增长9.0%、较全国平均水平高0.9pct，公司江苏煤电发电量同比+11.1%，且电力供需紧平衡下平均售电价格0.468元/kwh、同比+0.9%；公司省内气电机组1H24发电量同比+32.9%，电价同比-17.6%；此外，公司省外山西煤电机组1H24发电量同比+2.6%，送苏比例维持在90%，电价同比-6.4%。1H24公司总发电量同比+9.5%，综合电价基本持平、同比-1.4%，业绩增长主要源于发电量增长。从装机量看，公司9M23控股射阳港100万千瓦煤电项目投产放量放大了1H24的业绩增长，预计24年底滨海港电厂2×100万千瓦机组的投产以及25年沙洲、靖江机组的投产将进一步释放业绩增长动力。煤价中枢持续下行，成本回落使火电盈利能力持续提升。截至1H24末市场煤价进一步较24年初回落了7.4%，且由于去年同期（尤其Q1）煤价仍处于较高位，因此1H24市场煤价中枢同比降幅可达到13.8%；成本下行使得公司电力主业1H24毛利率同比提升5.7pct至11.9%。我们预计24-26年煤价中枢有望同比持续下移，成本改善下公司电力主业盈利能力将获得持续改善。金融业务稳健增长，利润“安全垫”作用维稳。1H24公司金融板块实现营收17.7亿元(金融企业报表列报口径)、同比+1.0%，实现利润总额19.5亿元、同比+14.9%，占公司利润总额的63.4%。1H24子公司江苏信托增持江苏银行、成为第一大股东，且落地首单上市公司行政管理服务信托-创富2号、首单保租房普惠金融服务信托“江苏信托普惠金融服务信托1号”，成立省内首单大型省属企业公益慈善信托“苏信弘善•国信集团1号慈善信托”，持续打造资产管理信托特色产品线，积极推进标品信托净值化转型。盈利预测、估值与评级考虑煤价中枢下行及新机组“十四五”陆续投产，公司火电主业业绩有望实现稳健增长。我们预计公司24-26年分别实现归母净利润30.7/34.2/35.2亿元，EPS分别为0.81/0.91/0.93元，公司股票现价对应PE估值分别为8.3/7.5/7.3倍，维持“增持”评级。风险提示新项目进展不及预期；省内火电需求不及预期；煤炭长协签约、履约不及预期以及煤价下行不及预期；金融业务盈利稳定性不足。,,国金证券,增持,[None],2024-08-28,,增持,5740882,pdf_downloads/2024/2024-08-28/002608-江苏国信（002608）：火电业绩稳步提升，金融板块表现稳健.pdf,2608,江苏国信,江苏国信（002608）：火电业绩稳步提升，金融板块表现稳健,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 30.7,
            ""eps"": 0.81,
            ""pe"": 8.3
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.2,
            ""eps"": 0.91,
            ""pe"": 7.5
        },
        {
            ""year"": 2026,
            ""net_profit"": 35.2,
            ""eps"": 0.93,
            ""pe"": 7.3
        }
    ]
}"
"陶贻功,梁悠南",事件：公司发布2024半年度业绩预告，预计2024年上半年归属于上市公司股东的净利润17~18亿元，同比增长51.68%~60.60%；实现归属于上市公司股东的扣非净利润15.5~16.5亿元，同比增长53.95%~63.88%。电量增长、煤价下行推动盈利能力持续提升。2024Q2单季度公司归属于上市公司股东的净利润为9.21~10.21亿元，同比增长6.72%~18.31%，表明公司2024Q2盈利能力得到继续提升，我们判断煤价回落、公司射阳港100万千瓦机组投产带来电量增长是主要原因，另公司加强成本费用控制，争取辅助服务收益等对业绩增长也带来增量。煤价持续走弱、江苏电力需求旺盛，公司全年业绩继续提升值得期待。6月份以来市场煤价旺季不旺，持续下跌，截止2024.7.8，秦岛5500大卡动力煤平仓价845元/吨，相比去年同期下降5元/吨;展望2024Q3，今年来水形势较好，水电及新能源出力增长或压制电煤需求，市场煤价有望继续走弱。2024年1~5月，江苏省用电量3235亿KWH，YOY+9.66%，整体电力需求旺盛。在煤价回落、电价稳定、电力需求旺盛背景下，公司全年业绩有望持续提升。控股、参股在建装机600万千瓦投运在即，长期成长性可观。公司目前已投运机组装机容量1545.4万千瓦，其中江苏省内燃煤890.2万千瓦、燃机259.2万千瓦，山西省燃煤机组396万千瓦。2023年9月26日，公司射阳港#1机组投产，将为公司2024年上网电量带来增长。公司目前在建控股装机500万千瓦，占公司已投运燃煤装机的38.87%。其中，滨海港2*100万千万机组预计2024年底投运，沙洲2*100万千瓦机组预计2025年中投运，一控一参的靖江2*100万千瓦机组也有望于2025年底投运，在建机组的建成，将为公司提供持续的业绩增长动力。盈利预测及投资建议：预计公司2024-2026年归母净利润分别为29.73亿元、34.54亿元、39.19亿元，对应PE分别为9.89倍、8.51倍、7.50倍，维持“推荐”评级。风险提示：煤价超预期上涨的风险；上网电价下调的风险。,,银河证券,推荐,[None],2024-07-11,,买入,5685674,pdf_downloads/2024/2024-07-11/002608-江苏国信（002608）：2024上半年业绩预告点评：江苏电力需求旺盛，在建装机规模大.pdf,2608,江苏国信,江苏国信（002608）：2024上半年业绩预告点评：江苏电力需求旺盛，在建装机规模大,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 29.73,
            ""eps"": null,
            ""pe"": 9.89
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.54,
            ""eps"": null,
            ""pe"": 8.51
        },
        {
            ""year"": 2026,
            ""net_profit"": 39.19,
            ""eps"": null,
            ""pe"": 7.50
        }
    ]
}"
"严家源,赵国利",事件：4月26日，公司发布2024年一季度报告，报告期内实现营业总收入90.81亿元，同比增长25.56%（经重述）；归母净利润7.79亿元，同比增长202.87%（经重述）；扣非归母净利润7.95亿元，同比增长208.29%（经重述）。火力全开，营收高增：2024年江苏年度交易加权均价0.4529元/千瓦时（不含容量补偿电价），同比下降1.37分/千瓦时，降幅2.9%；一季度省内月度集中竞价电价均值0.4433元/千瓦时（不含容量补偿电价），同比下降2.55分/千瓦时，降幅5.4%；一季度省内煤电容量电费折合度电价均值1.82分/千瓦时，综合考虑，电价端总体微降但仍可控，因此营收高增或主要因电量高增。2023年9月，公司射阳港电厂100万千瓦二次再热超超临界燃煤发电机组正式投产运营，公司在江苏煤电装机达到888.50万千瓦；2024Q1江苏全省火电发电量1202.6亿千瓦时，同比增长11.3%，考虑到新机组的增量贡献，公司在苏火电电量增速有望高于全省均值；此外同期，山西全省火电发电量956.6亿千瓦时，同比增长3.8%。成本端，2024Q1秦皇岛港Q5500动力末煤平仓价均值约902元/吨，同比下降20.1%；受益于燃料成本改善，Q1公司整体毛利率同比提高9.1个百分点至12.0%，销售净利率上修至12.34%。持股比例变动扰动投资收益：1Q23江苏信托对江苏银行持股8.17%，我们测算当期确认投资收益6.92亿元（投资收益=净利润*持股比例）；考虑到江苏银行可转债转股带来的股本扩张，1Q24江苏信托对江苏银行持股降至6.58%，我们测算当期确认投资收益6.13亿元，同比减少0.79亿元，降幅11.5%；Q1公司实现对联营/合营公司投资收益4.82亿元，同比减少0.65亿元，降幅收窄，或主要因其余参股公司贡献正投资收益。投资建议：电煤采购结构的优化叠加动力煤价格快速下行，公司火电业绩仍存在持续改善空间。维持对公司盈利预测，预计公司24/25/26年EPS分别为0.73/0.89/1.01元，对应2024年04月26日收盘价PE分别11.4/9.3/8.2倍，参考公司历史估值水平，给予公司2024年12.0倍PE，目标价8.76元，维持“谨慎推荐”评级。风险提示：1）燃料成本上行；2）电量消纳不足；3）补贴发放延迟。,,民生证券,谨慎推荐,[None],2024-04-27,,增持,5604496,pdf_downloads/2024/2024-04-27/002608-江苏国信（002608）：2024年一季报点评：火力全开、主业向好，投资收益正常波动.pdf,2608,江苏国信,江苏国信（002608）：2024年一季报点评：火力全开、主业向好，投资收益正常波动,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.73,
            ""pe"": 11.4
        },
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.89,
            ""pe"": 9.3
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.01,
            ""pe"": 8.2
        }
    ]
}"
许隽逸,2024年4月26日公司披露一季报，1Q24实现营收90.8亿元，同比+25.6%（调整后）；归母净利润7.8亿元，同比+202.9%（调整后）；扣非归母净利润7.9亿元，同比+208.3%（调整后）。经营分析1Q24江苏用电量增、价稳驱动公司火电业绩增长，新机组24年放量可期。1Q24江苏省用电量同比增长11.6%、较我国全社会用电增速高1.8pct；电力供需紧平衡下省内电力月度交易竞价1Q24维持在较基准价上浮12%-14%的水平，综合考虑电量电价和容量电价后预计江苏煤电总上网电价同比企稳微增。公司在运煤电机组约70%分布于江苏，且省外山西煤电机组发电量也有约90%送往江苏，因而江苏省内用电需求增长为公司火电业务量、价维稳提供保障。此外，公司9M23控股射阳港100万千瓦煤电项目投产放量进一步放大了1Q24的业绩增长，预计24年底滨海港电厂2×100万千瓦机组投产后将进一步释放业绩增长动力。煤价1Q24下行+去年同期高基数，成本回落使火电盈利能力持续提升。截至1Q24末市场煤价进一步较24年初回落了11%，且由于去年同期煤价仍处于较高位，因此1Q24市场煤价中枢同比降幅可达到19%；我们预计24年全年煤价中枢同比23年下移，成本改善下公司电力主业盈利能力将获得持续改善。金融板块稳健增长、持续贡献重要业绩。公司金融业务主要由子公司江苏信托开展，1Q24江苏信托的信托业务稳健增长，手续费及佣金收入同比+29.3%至2.1亿元；江苏信托聚焦资产管理、资产服务及公益慈善信托等转型方向，23年已辅助发行全国首单银行间市场产业园区类REITs，标品投资、ABS、家族信托等业务迅速发展。未来金融业务的稳健发展将为公司业绩构筑重要的“安全垫”。盈利预测、估值与评级预计未来市场煤价中枢将持续下移，滨海、沙洲、国信靖电机组计划于24-25年陆续投产，未来2年公司业绩有望持续增长。我们预计公司24-26年分别实现归母净利润30.9/34.7/37.6亿元，EPS分别为0.82/0.92/1.00元，公司股票现价对应PE估值分别为10.1/9.0/8.3倍，维持“增持”评级。风险提示火电装机及电量不及规划预期、煤价下跌不及预期、电价下跌超预期风险。,,国金证券,增持,[None],2024-04-26,,增持,5604416,pdf_downloads/2024/2024-04-26/002608-江苏国信（002608）：煤价下行+电量上行，降本增效助业绩高增.pdf,2608,江苏国信,江苏国信（002608）：煤价下行+电量上行，降本增效助业绩高增,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 30.9,
            ""eps"": 0.82,
            ""pe"": 10.1
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.7,
            ""eps"": 0.92,
            ""pe"": 9.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 37.6,
            ""eps"": 1.00,
            ""pe"": 8.3
        }
    ]
}"
"陶贻功,梁悠南",事件：公司发布2023年年报，全年实现营收345.72亿元，同比增长6.38%；实现归母净利18.70亿元（扣非17.96亿元），同比增长3014.44%（扣非同比增长1835.13%）。2023年利润分配预案为每10股派发现金1元（含税），现金分红金额3.78亿元（含税），占公司2023年末累计可分配利润的57.97%，展现了较强的分红意愿。煤价下行，盈利能力大幅改善。分板块来看，公司能源板块营收336.93亿元，同比增长6.57%，利润总额8.51亿元，同比增长141.28%，主要得益于煤炭市场价格回落，煤电业务边际收益增长；公司金融板块稳健向好 ，利润总额27.11亿元，同比增长22.49%。报告期公司毛利率、净利率分别为9.62%、8.61%，同比+9.52pct、+7.66pct；期间费用率5.88%，同比-0.43pct；ROE(加权)6.64%，同比+6.40pct。报告期，公司计提减值6.26亿元，拖累了全年盈利水平。报告期公司资产负债率55.62%，同比+1.68pct，维持在相对较低水平。报告期公司经现净额37.92亿元，同比减少18.74%；收现比110.04%，净利润现金含量202.74%，经营现金流状况保持优良水平。2024Q1业绩高增长，全年业绩继续提升值得期待。公司此前发布2024年一季度业绩预告，2024Q1归母扣非净利7.95亿元，同比增长208.29%。公司业绩大幅增长主要得益于煤炭价格下降以及上网电量的增长。2024Q1，京唐港5500大卡动力煤均价900元/吨左右，下跌230元/吨左右，截止4月11日秦皇岛5500大卡动力煤平仓价808元/吨，同比下跌217元/吨。在需求整体偏弱，水电及新能源出力挤压背景下，我们判断煤价重心有望继续下行；同时江苏电力需求旺盛，火电价格维持较高水平；公司全年业绩有望继续提升。控股在建装机500万千瓦投运在即，长期成长性可观。公司目前已投运机组装机容量1545.4万千瓦，其中江苏省内燃煤890.2万千瓦、燃机259.2万千瓦，山西省燃煤机组396万千瓦。2023年9月26日，公司射阳港#1机组投产，将为公司2024年上网电量带来增长。公司目前在建控股装机500万千瓦，占公司已投运燃煤装机的38.87%。其中，滨海港2*100万千万机组预计2024年底投运，沙洲2*100万千瓦机组预计2025年中投运，一控一参的靖江2*100万千瓦机组也有望于2025年底投运，在建机组的建成，将为公司提供持续的业绩增长动力。估值分析与评级说明：预计公司2024-2026年归母净利润分别为29.73亿元、34.62亿元、39.28亿元，对应PE分别为10.95倍、9.41倍、8.29倍，维持“推荐”评级。风险提示：煤价超预期上涨的风险；上网电价下调的风险。,,银河证券,推荐,[None],2024-04-12,,买入,5583431,pdf_downloads/2024/2024-04-12/002608-江苏国信（002608）：2023年报点评：长期成长性高，煤电装机进入释放期.pdf,2608,江苏国信,江苏国信（002608）：2023年报点评：长期成长性高，煤电装机进入释放期,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": 29.73,
            ""eps"": null,
            ""pe"": 10.95
        },
        {
            ""year"": 2025,
            ""net_profit"": 34.62,
            ""eps"": null,
            ""pe"": 9.41
        },
        {
            ""year"": 2026,
            ""net_profit"": 39.28,
            ""eps"": null,
            ""pe"": 8.29
        }
    ]
}"
"严家源,赵国利",事件：4月11日，公司发布2023年度报告，报告期内实现营业收入345.72亿元，同比增长6.38%（经重述）；归母净利润18.70亿元，同比增长3014.44%（经重述）；扣非归母净利润17.96亿元，同比扭亏为盈（经重述）；公司拟向全体股东每股派发现金股利0.1元，合计派发现金红利3.78亿元，现金分红比例约20.00%。减值拖累江苏省内机组，山西机组火力全开：2023年，公司完成发电量706.54亿千瓦时，同比增长6.3%，其中，江苏煤电、山西煤电、江苏气电分别完成电量421.77、224.42、60.35亿千瓦时，同比分别增长5.3%、4.4%、22.7%。2023年江苏省内新海发电、射阳港、国信靖电、国信扬电4座电厂合计实现净利润3.92亿元，同比增加17.92亿元，成功扭亏；但淮阴发电、淮安燃气、仪征热电3座电厂年内计提资产减值5.89亿元，导致江苏省内火电整体尚未扭亏。公司在山西机组均为晋北煤炭基地坑口电厂，煤价优势显著，燃料成本压力较小，同时国家发改委核定雁淮直流输电价格为3.59分/kWh（含税，含输电环节线损，线损率2.77%）后，2023年山西机组送苏上网电价上涨2.09分/千瓦时至0.4149元/千瓦时，增幅5.4%；全年山西机组实现净利润6.92亿元，同比增加3.44亿元，增幅98.6%；全年综合来看，公司火电业绩基本实现盈亏平衡。金融板块奠定业绩安全垫：2023年，公司金融板块实现营业收入(金融企业报表列报口径)30.04亿元，同比增长21.3%；利润总额27.11亿元，同比增长22.5%。对江苏银行投资收益为公司金融板块核心利润来源，2023年，江苏银行贡献投资收益20.23亿元，同比增长4.5%，利安人寿同比大幅减亏6.25亿元，双重影响下公司实现投资净收益21.07亿元，同比增加6.76亿元，增幅47.2%。煤价处于下行通道，1Q24业绩高增：4月8日，公司公告预计1Q24实现归母净利润7.79亿元，同比增加5.22亿元，增幅202.9%。1Q24秦皇岛港Q5500动力末煤平仓价均值为901.74元/吨，同比下降20.1%，环比下降5.8%，当前动力煤价格仍处于下行通道，2Q24改善业绩有望同比/环比持续改善。投资建议：电煤采购结构的优化叠加动力煤价格快速下行，公司火电业绩仍存在持续改善空间；金融板块奠定业绩稳定性。根据电量、电价以及投资收益变化，调整对公司盈利预测，预计公司24/25年EPS分别为0.73/0.89元（前值0.74/0.91元），新增26年EPS为1.01元，对应2024年04月11日收盘价PE分别11.8/9.7/8.6倍，参考公司历史估值水平，给予公司2024年12.0倍PE，目标价8.76元，维持“谨慎推荐”评级。风险提示：1）燃料成本上行；2）电量消纳不足；3）补贴发放延迟。,,民生证券,谨慎推荐,[None],2024-04-12,,增持,5582848,pdf_downloads/2024/2024-04-12/002608-江苏国信（002608）：2023年年报点评：减值扰动23年火电表现，1Q24业绩大幅上行.pdf,2608,江苏国信,江苏国信（002608）：2023年年报点评：减值扰动23年火电表现，1Q24业绩大幅上行,"{
    ""forecasts"": [
        {
            ""year"": 2024,
            ""net_profit"": null,
            ""eps"": 0.73,
            ""pe"": 11.8
        },
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 0.89,
            ""pe"": 9.7
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 1.01,
            ""pe"": 8.6
        }
    ]
}"
