author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"王蔚祺,李全",公司2025年预计实现归母净利润7.55亿元，同比+42%。公司2025年预计实现营收200.34亿元，同比+48%；实现归母净利润7.55亿元，同比+42%；实现扣非归母净利润7.05亿元，同比+58%。公司2025Q4预计实现营收69.75亿元、环比+26%，实现归母净利润2.03亿元、环比-17%，实现扣非归母净利润1.99亿元、环比-7%。公司公告2025年计提存货跌价损失1.17亿元，其中Q4计提1.19亿元；计提信用减值损失0.88亿元，其中Q4计提0.39亿元。公司钴酸锂全球领先地位稳固，盈利能力稳中向好。2025年公司紧抓国家换机补贴政策机遇，并顺应3C消费设备AI化带来的电池电量升级趋势，钴酸锂销量及份额快速提升。公司2025年钴酸锂销量6.53万吨，同比+41%；其中Q4销量约为1.84万吨，环比+2%，Q4单吨净利估计超1万元、环比稳中向好。根据鑫椤锂电数据，2025年公司钴酸锂产量稳居全球第一，市占率达到51%，同比+7pct。同时，公司高电压钴酸锂持续放量，4.53V高电压钴酸锂已大规模量产，4.55V钴酸锂产品进入中试阶段。公司动力电池材料销量快速增长。公司持续巩固在高电压、高功率三元材料方面的技术实力，同时依托水热法磷酸铁锂的差异化优势，积极拓展市场。2025年公司三元正极与磷酸铁锂等动力电池正极销量7.74万吨，同比+48%；其中Q4销量约为2.44万吨，环比+16%。公司围绕增程、混动、中高端电动车和低空领域开发多款产品，打造差异化竞争优势。公司固态电池材料、NL全新结构材料产业化加速推进。2025年11月，公司公告拟投资15.25亿元建设年产5万吨高性能电池材料项目、投资2.37亿元建设年产5000吨氢能材料及7000吨功能材料项目；加速新材料产业化进展。2026年1月高端能源材料工程创新中心主体结构已成功封顶；项目建成后，将形成年产1500吨的高端能源材料中试产能。NL正极方面，公司重点推进其在消费电池应用，并针对低空、电动工具、固态电池开发相应材料体系。固态电解质方面，公司氧化物电解质实现吨级生产，硫化锂样品在客户端测试进展良好、产线建设稳步推进。风险提示：电动车销量不及预期；原材料价格大幅波动；三元需求不及预期。,,国信证券,优于大市,[None],2026-01-29,,买入,8373297,pdf_downloads/2026/2026-01-29/688778-厦钨新能（688778）：业绩快速增长，固态电池材料布局持续推进.pdf,688778,厦钨新能,厦钨新能（688778）：业绩快速增长，固态电池材料布局持续推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.55,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"曾朵红,阮巧燕",Q4经营性利润略超预期。公司25年实现营收200.3亿元，同比+48%，实现归母净利润7.5亿元，同比+42%，归母净利率3.8%，同比-0.2pct；其中25Q4实现营收69.7亿元，同环比104％/26％，实现归母净利润2.0亿元，同环比60%/-17％，归母净利率2.9%，同环比-0.8/-1.5pct。25年计提资产减值损失2.1亿元，其中Q4计提1.6亿，若加回业绩超预期。钴酸锂出货量稳步增长，盈利维持高位。25年钴酸锂实现销量6.53万吨，同增41%，其中25Q4钴酸锂销量1.8万吨，环比持平，我们预计26年需求稳定。盈利端，我们测算25Q4单吨净利1万/吨+，受益于金属钴涨价，环比再提升。三元稳健增长，铁锂盈利反转可期。25年公司实现三元和铁锂销量7.7万吨，同比增长48%，其中Q4销量2.44万吨。三元方面，我们预计25年销量5.5万吨+，同增10%，其中Q4销量1.5万吨+，环比持平，单吨利润预计为0.2万元。铁锂方面，我们预计25年销量2.2万吨+，其中Q4销量0.6-0.7万吨，环比持平，Q4依然小幅亏损，我们预计26年销量有望达到4万吨+，并实现盈利。固态方面公司硫化锂进展领先。公司硫化锂从设备开发到生产工艺，一体化布局，产品已对接日韩客户及国内头部电池企业，已有订单落地，25年已具备10吨产能，26年落地百吨级产线。盈利预测与投资评级：考虑到25Q4费用计提增加，我们下调公司2025-2027年归母净利润由8.3/11.1/13.3亿元至7.5/10.5/12.7亿元，同比+53%/+40%/+21%，对应PE 62/45/37倍，维持“买入”评级。风险提示：需求不及预期，新材料进展不及预期，行业竞争加剧。,,东吴证券,买入,[None],2026-01-28,,买入,8367812,pdf_downloads/2026/2026-01-28/688778-厦钨新能（688778）：2025年业绩快报点评：Q4业绩符合预期，固态业务稳步推进.pdf,688778,厦钨新能,厦钨新能（688778）：2025年业绩快报点评：Q4业绩符合预期，固态业务稳步推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.5,
            ""eps"": null,
            ""pe"": 62
        },
        {
            ""year"": 2026,
            ""net_profit"": 10.5,
            ""eps"": null,
            ""pe"": 45
        },
        {
            ""year"": 2027,
            ""net_profit"": 12.7,
            ""eps"": null,
            ""pe"": 37
        }
    ]
}",,62.0,45.0,37.0,,,,,,,,
张志邦,"主要观点：事件：公司发布2025年三季报公司发布2025年第三季度报告，前三季度实现营收130.59亿元，同比增长29.80%；实现归母净利5.52亿元，同比增长41.54%；扣非净利5.06亿元，同比增长48.20%。其中2025Q3单季度实现营收55.26亿元，同比增长50.20%；实现归母净利2.45亿元，同比增长63.60%，环比增长28.97%；扣非净利2.15亿元，同比增长77.02%。公司业绩表现强劲。钴酸锂出货稳定增长，动力及储能材料多点开花2025年前三季度，公司锂电正极材料产品实现销量9.99万吨，同比增长40.41%，其中钴酸锂实现销量4.69万吨，同比增长45.38%；动力电池正极材料（含三元材料、磷酸铁锂等）实现销量5.30万吨，同比增长36.29%；氢能材料方面，公司实现销量3,074.50吨，同比增长8.05%。新产品开发稳步推进，固态电池材料布局领先公司新产品开发稳步推进：1）固态电池领域公司匹配氧化物路线固态电池的正极材料已实现供货，硫化物路线固态电池的正极材料公司已向下游客户多次送样验证，同时已经实现了氧化物固态电解质的吨级生产。2）公司补锂剂产品已经实现在头部厂商应用，后续伴随产能爬坡利润逐渐释放。投资建议我们调整公司25/26/27年归母净利润至7.91/9.96/11.80亿元（25/26年预测前值为7.22/9.79亿元），对应 P/E 为41x/32x/27x，维持“买入”评级。风险提示新能源车需求不及预期；下游市场增速不及预期；原材料价格大幅上涨；行业竞争加剧；客户拓展不及预期等。",,华安证券,买入,[None],2025-11-21,,买入,8162619,pdf_downloads/2025/2025-11-21/688778-厦钨新能（688778）：正极盈利稳健增长，固态电池加速布局.pdf,688778,厦钨新能,厦钨新能（688778）：正极盈利稳健增长，固态电池加速布局,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.91,
            ""eps"": null,
            ""pe"": 41
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.96,
            ""eps"": null,
            ""pe"": 32
        },
        {
            ""year"": 2027,
            ""net_profit"": 11.80,
            ""eps"": null,
            ""pe"": 27
        }
    ]
}",,,41.0,32.0,27.0,,,,,,,
张文臣,事件：2025年第三季度，公司实现营业收入54.77亿元，同比增长50.45%，归母净利润2.17亿元，同比增长61.82%；前三季度，公司实现营业收入130.59亿元，同比增长29.80%；归母净利润5.52亿元，同比增长41.54%。核心观点：锂电正极材料种类齐全，供需两旺。公司在电池领域有二十余年的经营经验，持续的研发投入和自主创新产品涵盖钴酸锂、三元材料、磷酸铁锂、固态电池和氢能等。钴酸锂的电压等级已经突破4.53V，在消费类电子领域占据主导地位。3C 消费市场处于平稳发展期，可穿戴设备、AR/VR 等新兴消费电子发展迅速，为钴酸锂提供了新的需求增长空间。2025年前三季度，钴酸锂实现销量4.69万吨，同比增长45.38%。公司在三元正极材料领域率先实现高电压产品的大规模出货，在高功率、高镍等细分市场技术领先，应用市场不断拓宽。同时，公司在行业内首家大规模应用水热法工艺生产磷酸铁锂的企业，通过掺杂固相法，使得磷酸铁锂粉末的压实密度达到第四代以上磷酸铁锂的标准，能实现了5C全程快充性能，产品竞争力持续向好，订单需求旺盛。2025年前三季度，动力电池正极材料（含三元材料、磷酸铁锂等）实现销量5.3万吨，同比增长36.29%。2025前三季度，中国新能源车产量1124.3万辆，同比增长35.2%。根据欧洲汽车制造商协会数据，2025H1，欧洲新能源乘用车销量为178.2万辆，同比增长23.6%，渗透率达26.1%，全球动力电池装机容量811.7GWh，同比增长34.7%。同时，全球锂电储能市场需求持续爆发，2025前三季度，428Gwh，同比增长90.7%。电池材料产能持续增加。为满足市场需求，提高公司的市场份额和竞争力，公司积极推进产能建设。截止2024年，公司规划和已经建成的产能规模大，法国4万吨三元材料及前驱体项目正常推进，迈出全球化的重要步伐。海璟基地4万吨锂电材料项目已经建成，新募投的3万吨电池材料基地顺利进行，全部建成后海璟基地产能将达到8.5万吨。宁德7万吨锂电池项目主体完成，宁德基地的产能有望达到9.5万吨。另外，还有雅安基地液相法磷酸铁锂项目、福泉基地规划年产4万吨三元前驱体项目。研发实力雄厚，新产品不断推出。随着技术的进步，人形机器人、eVTOL、叠加新能源汽车和消费类电子等需求更加严苛，半固态、固态电池的研发和产业化进程加快。匹配氧化物路线固态电池的正极材料已实现供货；硫化物路线固态电池的正极材料方面，与国内外下游头部企业在技术研发上保持密切的交流合作，提供多批次样品进行验证，实现氧化物固态电解质的吨级生产和稳定可靠的产品性能，同时，凭借深厚的技术沉淀开发出独特的硫化锂合成工艺，样品在客户端测试良好。投资建议：公司是国内领先的锂电池材料企业，持续多年的研发投入，高电压产品和新产品开发处于行业领先地位。我们预测，公司2025-2027年的净利润分别为8亿，9.2和10.63亿，EPS分别为1.58元、1.83元和2.11元，对应当前PE分别为53倍、46倍和40倍，看好公司的发展前景，给予“增持”评级。风险提示：（1）消费电子需求不佳，影响市场需求；（2）行业竞争激烈，商品价格的波动；（3）新产品开发和验证周期长，存在不确定性；（4）其他风险。,,太平洋证券,增持,[None],2025-11-08,下调评级,增持,7622096,pdf_downloads/2025/2025-11-08/688778-厦钨新能（688778）：多种产品齐增长，公司经营数据靓丽.pdf,688778,厦钨新能,厦钨新能（688778）：多种产品齐增长，公司经营数据靓丽,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8,
            ""eps"": 1.58,
            ""pe"": 53
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.2,
            ""eps"": 1.83,
            ""pe"": 46
        },
        {
            ""year"": 2027,
            ""net_profit"": 10.63,
            ""eps"": 2.11,
            ""pe"": 40
        }
    ]
}",,,53.0,46.0,40.0,,,,1.58,1.83,2.11,
"徐强,牟俊宇,李依雯",维持“增持”评级。考虑下游需求旺盛，公司出货量高增，上调公司2025-2027年EPS为1.56元、2.04元、2.49元。考虑行业可比公司，给予公司2025年60倍PE，上修目标价为93.60元。25Q3业绩加速释放，盈利能力环比提升。2025Q3公司实现营业收入55.26亿元，同比+50.20%，环比+21.25%；归母净利润2.45亿元，同比+63.60%，环比+28.97%；扣非归母净利润2.15亿元，同比+77.02%，环比+20.2；以锂电正极材料销量估算，我们测算单吨扣非利润约为0.55万元/吨，环比提升0.05万元/吨。正极材料出货量高增。2025年前三季度，公司锂电正极材料产品实现销量9.99万吨，同比+40.41%。其中，钴酸锂实现销量4.69万吨，同比+45.38%，龙头地位稳固；动力电池正极材料（含三元材料、磷酸铁锂等）实现销量5.30万吨，同比+36.29%，出货量稳健增长。新技术布局领先。1）固态电池：凭借深厚的技术积累，公司开发出了独特的硫化锂合成工艺，样品在下游客户端测试良好；匹配氧化物路线固态电池的正极材料也已实现供货；2）补锂剂：公司补锂剂产品已在头部厂商实现应用，目前处于产能爬坡阶段；3）NL结构正极材料：相较传统正极材料体系，NL结构正极材料在能量密度和倍率性能方面均有显著提升，且具备较大的降本空间。目前公司已建成千吨级产能，未来随着产能释放，该业务有望贡献利润增量。风险提示。市场竞争加剧的风险；原材料价格波动的风险；下游需求不及预期的风险。,,国泰海通,增持,[None],2025-11-01,,买入,7162349,pdf_downloads/2025/2025-11-01/688778-厦钨新能（688778）：系列之二十二：25年三季报点评：业绩加速释放，正极材料出货量高增.pdf,688778,厦钨新能,厦钨新能（688778）：系列之二十二：25年三季报点评：业绩加速释放，正极材料出货量高增,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": null,
      ""eps"": 1.56,
      ""pe"": 60
    },
    {
      ""year"": 2026,
      ""net_profit"": null,
      ""eps"": 2.04,
      ""pe"": null
    },
    {
      ""year"": 2027,
      ""net_profit"": null,
      ""eps"": 2.49,
      ""pe"": null
    }
  ]
}",,,60.0,,,,,,1.56,2.04,2.49,
"王蔚祺,李全",公司2025Q3实现归母净利润2.45亿元，同比+64%。公司2025年前三季度实现营收130.59亿元，同比+30%；实现归母净利润5.52亿元、同比+42%；实现扣非归母净利润5.06亿元、同比+48%。公司2025Q3实现营收55.26亿元，同比+50%、环比+21%；实现归母净利润2.45亿元，同比+64%、环比+29%；实现扣非归母净利润2.15亿元，同比+77%、环比+20%。公司钴酸锂销量维持快速增长趋势。2025年以旧换新将电子消费品纳入名录，消费电池需求显著回暖，拉动钴酸锂需求增长。公司2025Q3钴酸锂正极销量1.81万吨、环比+10%；单吨盈利能力持续稳中向好。公司在钴酸锂市场份额稳居全球第一。同时，公司高电压钴酸锂持续放量，4.53V高电压钴酸锂已大规模量产，4.55V钴酸锂产品进入中试阶段。公司动力电池正极材料布局持续完善，销量实现快速增长。公司巩固高电压、高功率三元材料技术优势的同时，充分发挥水热法磷酸铁锂差异化竞争优势，正极材料布局持续完善。公司2025Q3动力电池正极材料销量2.11万吨、环比+9%；其中磷酸铁锂销量超0.6万吨、环比微增。公司围绕增程、混动、中高端电动车和低空领域开发多款产品，打造差异化竞争优势。公司原料布局持续完善，全球化布局稳步推进。2025年下半年以来，公司与格林美在氯化钴、硫酸镍、四氧化三钴、前驱体、碳酸锂等领域签署3年45万吨材料采购协议，与中伟股份在四氧化三钴、前驱体、碳酸锂等领域签署3年34.5万吨材料采购协议。公司在原料端与上游伙伴积极合作，提升供应链稳定性。全球化布局方面，公司法国4万吨合资三元正极项目建设有序推进，4万吨合资三元前驱体项目正在推进技术授权等工作。公司坚持技术创新，固态电池材料、NL全新结构材料产业化加速推进。NL正极方面，公司重点推进其在消费电池应用，并针对低空、电动工具、固态电池开发相应材料体系。固态电池正极方面，公司匹配氧化物路线的正极材料已批量供货，硫化物路线正极材料已进行多批次样品验证。固态电解质方面，公司氧化物电解质实现吨级生产，硫化锂样品在客户端测试进展良好。风险提示：电动车销量不及预期；原材料价格大幅波动；三元需求不及预期。投资建议：上调盈利预测，维持“优于大市”评级。基于钴酸锂需求向好对公司业绩的积极影响，我们上调盈利预测，预计公司2025-2027年归母净利润为8.03/10.20/12.16亿元（原预测为7.89/9.86/11.25亿元），同比+63%/+27%/+19%，EPS为1.59/2.02/2.41元，动态PE为50.0/39.4/33.0倍。,,国信证券,优于大市,[None],2025-10-28,,买入,6911931,pdf_downloads/2025/2025-10-28/688778-厦钨新能（688778）：正极盈利能力表现稳健，固态电池材料等布局加速推进.pdf,688778,厦钨新能,厦钨新能（688778）：正极盈利能力表现稳健，固态电池材料等布局加速推进,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8.03,
            ""eps"": 1.59,
            ""pe"": 50.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 10.20,
            ""eps"": 2.02,
            ""pe"": 39.4
        },
        {
            ""year"": 2027,
            ""net_profit"": 12.16,
            ""eps"": 2.41,
            ""pe"": 33.0
        }
    ]
}",,,50.0,39.4,33.0,,,,1.59,2.02,2.41,
"杨阳,许紫荆","事件：公司发布2025年三季报：2025年前三季度，公司实现营收130.59亿元，同比+29.80%，实现归母净利润5.52亿元，同比+41.54%；2025Q3实现营收55.26亿元，同比+50.20%，实现归母净利润2.45亿元，同比+63.60%。观点：正极材料出货量同比+40.41%。2025年前三季度，公司锂电正极材料产品实现销量9.99万吨，同比增长40.41%，其中钴酸锂实现销量4.69万吨，同比增长45.38%，公司充分受益于国家换机补贴政策和3C消费设备AI功能带电量提升带来的需求增长。动力电池正极材料（含三元材料、磷酸铁锂等）实现销量5.30万吨，同比增长36.29%；氢能材料方面，公司实现销量3,074.50吨，同比增长8.05%，行业龙头地位稳固。盈利能力持续提升。2025年Q3，公司实现毛利率10%，同比+0.09pct，环比-0.26pct；实现净利率4.52%，同比+1.01pct，环比+0.32pct。费用率方面，2025年Q3公司管理费用率1.03%，同比-0.4pct，环比-0.2pct；研发费用率2.66%，同比-0.26pct，环比-0.52pct。固态电池材料硫化锂进展领先。在固态电池领域，公司重点在正极材料和电解质方面布局：在固态电池正极材料方面，匹配氧化物路线固态电池的正极材料已实现供货；硫化物路线固态电池的正极材料方面，公司与国内外下游头部企业在技术研发上保持密切的交流合作，提供多批次样品进行验证；在固态电解质方面，实现氧化物固态电解质的吨级生产和稳定可靠的产品性能，同时，凭借深厚的技术沉淀开发出独特的硫化锂合成工艺，样品在客户端测试良好。盈利预测及投资评级：公司是动力锂电池应用领域3C锂电池应用领域均占据优势地位的正极材料企业，同时公司依托深厚技术积淀，加快NL全新结构正极材料、全固态电池关键材料等产品的量产进度。预计公司2025-2027年归母净利润分别为7.87/9.67/11.48亿元，当前股价对应PE为51.0/41.5/35.0倍。首次覆盖，给予“买入”评级。风险提示：宏观经济不及预期；政策落地不及预期；技术进步不及预期；下游需求不及预期；原材料价格波动风险；行业竞争格局变化；地缘政治风险。",,华龙证券,买入,[None],2025-10-28,,买入,7157384,pdf_downloads/2025/2025-10-28/688778-厦钨新能（688778）：2025 年三季报点评报告：钴酸锂销量持续提升，固态电池进展领先.pdf,688778,厦钨新能,厦钨新能（688778）：2025 年三季报点评报告：钴酸锂销量持续提升，固态电池进展领先,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.87,
            ""eps"": null,
            ""pe"": 51.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 9.67,
            ""eps"": null,
            ""pe"": 41.5
        },
        {
            ""year"": 2027,
            ""net_profit"": 11.48,
            ""eps"": null,
            ""pe"": 35.0
        }
    ]
}",,,51.0,41.5,35.0,,,,,,,
"曾朵红,阮巧燕,胡锦芸",业绩略超预期。公司25Q1-3营收130.6亿元，同+29.8%，归母净利润5.5亿元，同+41.5%，毛利率10%，同+0.3pct，归母净利率4.2%，同+0.5pct；其中25Q3营收55.3亿元，同环比+50％/+21％，归母净利润2.5亿元，同环比+64%/+29％，毛利率10%，同环比+0.1/-0.3pct，归母净利率4.4%，同环比+0.9/+0.3pct。Q3钴酸锂量利双升，有望持续贡献利润增量。25Q1-3钴酸锂销量4.69万吨，同增45%，其中25Q3钴酸锂销量1.8万吨，环增6%左右，充分受益于国家换机补贴政策和3C消费设备AI功能带电量提升带来的需求增长，我们预计25年出货6.5万吨+，同比增长40%+。盈利端，我们测算25Q3单吨净利1万/吨以上，环比增长10%+。NL结构正极25年推进电池定型，率先用于消费领域，26年有望放量，进一步提升盈利能力。Q3三元盈利稳定，铁锂微亏，Q4有望扭亏。25Q1-3公司动力电池正极材料（三元、铁锂）实现销量5.3万吨，同比增长36%。三元方面，我们预计25Q1-3销量4万吨+，其中Q3销量约1.5万吨，环增20%；25全年三元销量有望达5.5-6万吨，同增近10%。盈利端，我们测算25Q3三元单吨扣非利润约0.2万，环比持平。铁锂方面，我们预计25Q1-3销量1.2万吨+，其中Q3销量0.6万吨+，环增30%+。盈利端，25Q3铁锂预计微亏，随着产销规模提升且工艺改进降本，Q4起有望扭亏。固态方面公司硫化锂进展领先。公司采用气相法将活性锂化合物与含硫化合物反应，在高温反应器中沉积高纯度硫化锂。依托集团金属冶炼技术和腐蚀材料开发，公司从设备开发到生产工艺，一体化布局，产品已对接日韩客户及国内头部电池企业，预计25年底具备10吨产能，26年落地百吨级产线。Q3经营性现金流下滑，存货较年初增加明显。公司25Q1-3期间费用率4.5%，同-0.6pct，其中Q3费用率4%，同环比-0.8/-0.6pct；25Q1-3经营性净现金流9亿元，同-29.5%，其中Q3经营性现金流2.5亿元，同环比-24.4%/-33.5%；25Q1-3资本开支4.9亿元，同-35.6%，其中Q3资本开支1.9亿元，同环比-25%/+40.5%；25Q3末存货45.7亿元，较年初+84.6%。盈利预测与投资评级：由于钴酸锂量利双升，我们上调公司2025-2027年归母净利润至8.3/11.1/13.3亿元（原预期8.1/9.3/11.2亿元），同比 +69%/+33%/+20%，对应PE分别为47/35/29倍。考虑公司主业增长明确，且卡位固态电池核心材料硫化锂，维持“买入”评级。风险提示：新材料进展不及预期，电动车销量不及预期，竞争加剧。,,东吴证券,买入,[None],2025-10-27,,买入,6830675,pdf_downloads/2025/2025-10-27/688778-厦钨新能（688778）：2025年三季报点评：Q3钴酸锂量利双升，业绩略超预期.pdf,688778,厦钨新能,厦钨新能（688778）：2025年三季报点评：Q3钴酸锂量利双升，业绩略超预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8.3,
            ""eps"": null,
            ""pe"": 47
        },
        {
            ""year"": 2026,
            ""net_profit"": 11.1,
            ""eps"": null,
            ""pe"": 35
        },
        {
            ""year"": 2027,
            ""net_profit"": 13.3,
            ""eps"": null,
            ""pe"": 29
        }
    ]
}",,,47.0,35.0,29.0,,,,,,,
姚遥,2025年10月25日，厦钨新能发布3Q25业绩，实现收入55亿元，同/环增50%/21%；归母2.5亿元，同/环增64%/29%；扣非2.2亿元，同/环增77%/20%。业绩符合预期。经营分析主营业务拆分：1. 钴酸锂：预计出货1.8万吨，同/环增29%/7%，测算单吨净利1.1万元，同/环增持平/82%，继Q2起保持高盈利。2. 三元：预计出货1.5万吨，同/环增23%/7%，测算单吨净利0.2万元，同/环比持平/-48%，盈利维持相对稳健。3. LFP：预计出货0.6万吨，环增9%，测算单吨净利亏损0.3万元，环比减亏。公司8月已实现扭亏，年内预计实现时点盈亏平衡；伴随2025、2026年5、6代高压密产品规模量产，盈利及份额有望持续改善。4. 储氢合金：稳定贡献近0.1亿元。新品展望：公司NL结构钴酸锂正极材料持续导入，预计2026年起规模放量。硫化锂、富锂锰基等进展顺利，有望继续卡位核心高价值量固态产品。盈利预测、估值与评级2025/2026/2027年公司业绩预计分别8.0/10.1/12.5亿元，CAGR近25%，对应2026年39xPE。NL结构正极，硫化锂及富锂锰基等新产品带来广阔成长空间，维持“买入”评级。风险提示全球电动车销量不及预期，全球消费电子产品销量不及预期。,,国金证券,买入,[None],2025-10-27,,买入,6811467,pdf_downloads/2025/2025-10-27/688778-厦钨新能（688778）：业绩稳健增长，新品多元开花.pdf,688778,厦钨新能,厦钨新能（688778）：业绩稳健增长，新品多元开花,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8.0,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 10.1,
            ""eps"": null,
            ""pe"": 39
        },
        {
            ""year"": 2027,
            ""net_profit"": 12.5,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,39.0,,,,,,,,
"邓永康,李孝鹏,席子屹","业绩符合预期，盈利能力稳定事件。2025年10月24日，公司发布2025年三季报，公司前三季度实现营收130.59亿元，同比增长29.80%，实现归母净利润5.52亿元，同比增长41.54%，扣非后归母净利润5.06亿元，同比增长48.20%，业绩整体符合预期。Q3业绩拆分。营收和净利：公司2025Q3营收55.26亿元,同比+54.25%，环比+21.25%，归母净利润为2.45亿元，同比+91.05%，环比+ 28.97%，扣非后净利润为2.15亿元，同比+77.02%，环比+20.22%。毛利率：2025Q3毛利率为10.00%，同比+0.91pct，环比-0.26pcts。净利率：2025Q3净利率为4.52%，同比+28.60pct，环比+0.32pct。费用率：公司2025Q3期间费用率为4.46%，同比-0.65pct，其中销售、管理、研发、财务费用率分别为0.24%、1.03%、2.66%、0.09%。锂电正极材料出货增加，盈利能力稳定。2025年前三季度，公司锂电正极材料产品实现销量9.99万吨，同比增长40.41%，受益于国家“两新”换机政策及AI功能在3C产品应用的不断创新，钴酸锂需求不断提升，实现销量4.69万吨，同比增长45.38%；同时新能源汽车市场延续良好表现，带动动力电池正极材料（含三元材料、磷酸铁锂等）实现销量5.30万吨，同比增长36.29%；氢能材料方面，公司实现销量3,074.50吨，同比增长8.05%。战略合作落地，强化供应链布局。公司为巩固原材料保障、深化产业链协同，近期与中伟股份、格林美签署战略合作协议。9月29日与中伟股份签约，在产品供销、矿产资源开发、产品研发等多层面建立战略合作伙伴关系，2028年前预计实现年供四氧化三钴4万吨、三元前驱体5万吨；10月24日与格林美达成合作，围绕先进电池原料与材料产品供应，2026-2028年格林美每年供电池原料15万吨（合计45万吨），双方将联合研发回收技术并建立价格协商机制。高镍与固态技术突破，研发转化效率提升。2025前三季度公司研发投入同比增长25.07%，重点布局高镍三元与固态电池材料：高镍领域，4.53V高电压钴酸锂大规模量产，4.55V产品中试推进；固态电池领域，实现氧化物固态电解质的吨级生产，硫化锂样品在客户端测试良好；同时，公司独创NL结构正极材料，通过定向迭代工艺提升锂离子嵌入稳定性，降低金属资源依赖，可有效降低成本。投资建议：我们预计公司2025-2027年实现营收172.40、188.78和224.17亿元，同比增速分别为29.7%、9.5%和18.7%；归母净利分别为7.77、10.60和13.64亿元，同比增速分别为57.3%、36.4%和28.7%。2025年10月24日收盘价对应PE分别为50、37、29倍。考虑到公司技术优势明显，未来业务多曲线成长明确，维持“推荐”评级。风险提示：原材料供应及价格波动、战略合作不及预期风险、行业竞争加剧。",,民生证券,推荐,[None],2025-10-26,,增持,6796377,pdf_downloads/2025/2025-10-26/688778-厦钨新能（688778）：业绩符合预期，盈利能力稳定.pdf,688778,厦钨新能,厦钨新能（688778）：业绩符合预期，盈利能力稳定,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 7.77,
            ""eps"": null,
            ""pe"": 50
        },
        {
            ""year"": 2026,
            ""net_profit"": 10.60,
            ""eps"": null,
            ""pe"": 37
        },
        {
            ""year"": 2027,
            ""net_profit"": 13.64,
            ""eps"": null,
            ""pe"": 29
        }
    ]
}",,,50.0,37.0,29.0,,,,,,,
