author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"黄涛,王楠瑀",维持“增持”评级。公司公告2025年前三季度实现营业收入211亿元，同比减少20.8%；实现归母净利润15.54亿元，同比减少44.45%。25Q3实现营业收入70.31亿元，同比-21.83%；实现归母净利2.06亿元，同比-63.96%。我们给予公司25-27年EPS预测0.68/0.84/1.01元。根据可比公司2026年13.27x PE，考虑到公司2026年业绩会有恢复，给予公司2026年22xPE，给予目标价18.43元，维持“增持”评级。2025年产销同比开始逐步恢复，受成本环比增长影响业绩承压。2025前三季度原煤产量4255万吨，同比+0.19%；商品煤销量3765万吨，同比-1.1%。25Q3单季，原煤产量1390万吨，同比-6.1%，环比-7.8%，商品煤销量1242万吨，同比-8.8%、环比-7.8%，售价527元/吨，同比-15.6%、环比6.9%；成本359元/吨，同比-6.7%、环比+20.4%；毛利168元/吨，同比-30%、环比-13.8%。我们认为反内卷政策驱动下，行业盈利情况预计将有所好转，下游铁水日均产量始终维持高位240万吨，需求持续保持高位，Q4伴随反内卷政策持续推进，预计价格仍将维持韧性，我们认为当下公司盈利端压力已出现逐步缓解，业绩压力最大时刻已过。后备资源接续无忧。公司 2024 年已取得上马区块探矿权，增加煤炭资源量 8亿多吨，叠加自有储备资源，为未来发展提供了有利支撑。公司现有 18 座生产矿井，先进产能达到 4970 万吨/年，单井规模平均 300 万吨/年，集约化生产水平行业领先，规模效应显著。公司在建及规划的矿井（如忻峪煤业、元丰矿业、静安煤业、上马矿井等）合计产能约 850 万吨/年，产能有望持续提升。风险提示：煤价超预期下跌；宏观经济恢复不及预期。,,国泰海通,增持,[None],2025-11-12,,买入,7642822,pdf_downloads/2025/2025-11-12/601699-潞安环能（601699）：2025 年三季报业绩点评：产销同比开始逐步恢复，成本环比增长影响业绩承压.pdf,601699,潞安环能,潞安环能（601699）：2025 年三季报业绩点评：产销同比开始逐步恢复，成本环比增长影响业绩承压
"张津铭,刘力钰,高紫明,鲁昊,张卓然",公司发布2025年三季度业绩公告。25前三季度营业收入211.00亿元，同比-20.82%；归母净利润15.54亿元，同比-44.45%。25Q3营业收入70.31亿元，同比-21.83%，环比-1.00%；归母净利润2.06亿元，同比-63.96%，环比-70.18%。（25Q3资产处置收益环比减少2.04亿元。）Q3销量下滑+成本上涨业绩承压，看好Q4煤价带来的上涨弹性。产销来看，25Q3公司原煤产量1662万吨，同比+12.3%，环比+10.4%，其中混煤产量625万吨（同比-16.0%，环比-2.5%）、喷吹煤产量531万吨（（同比+0.4%，环比-8.9%）；商品煤销量1233万吨，同比-8.8%，环比-7.8%，其中混煤销量606万吨（同比-18.0%，环比-7.1%）、喷吹煤销量544万吨（同比-1.4%，环比-3.9%）。利价来看，25Q3公司吨煤综合售价527元/吨，同比-15.6%，环比+6.9%；吨煤综合成本359元/吨，同比-6.7%，环比+20.4%；吨煤毛利为168元/吨（同比-30.0%，环比-13.8%）。Q3吨煤成本环比涨幅较大，可能因销量下滑造成规模效益减少所致。截至2025年10月29日，Q4山西长治贫瘦喷吹煤环比上涨5.84%，公司Q3产量依然保持环比增长趋势，这一部分增量可能会在未来转化销量增长，同时煤价上涨也表明市场销售转好，我们预计公司Q4销量有望环比增长，带动业绩环比修复。拟关停隰东煤业，有望实现减亏。8月28日发布公告，由于矿井资源枯竭，宣布拟对下属煤矿隰东煤业（60万吨/年）实施关停。2024、2025H1隰东煤业利润分别为-7469、-157万元，其关停有助于公司减亏，提高盈利水平。收购60万吨/年指标，用于伊田煤业产能核增。10月30日发布公告，宣布下属子公司伊田煤业拟分别收购高河能源、寺家庄煤、阳泉五矿的20万吨/年产能指标（合计收购60万吨/年），用于60万吨/年核增产能置换，交易费用合计13571.2万元。投资建议。考虑到公司Q3销量不及预期，我们下调公司2025-2027年盈利预测，预计2025-2027年公司归母净利润分别为21.64亿元、34.11亿元、40.54亿元，对应PE分别为21.0X、13.3X、11.2X，维持“买入”评级。风险提示：煤炭价格大幅下跌，煤炭需求不及预期，公司产量不及预期。,,国盛证券,买入,[None],2025-10-31,,买入,7083083,pdf_downloads/2025/2025-10-31/601699-潞安环能（601699）：Q3量降本增业绩承压，看好Q4煤价带来的上涨弹性.pdf,601699,潞安环能,潞安环能（601699）：Q3量降本增业绩承压，看好Q4煤价带来的上涨弹性
"高升,刘波,李睿",事件： 2025年10月30日，潞安环能发布2025年三季报，前三季度，公司实现营业收入210.99亿元，同比下降20.82%，实现归母净利润15.54亿元，同比下降44.45%；扣非后净利润13.42亿元，同比下降52.41%。经营活动现金流量净额26.78亿元，同比下降28.26%；基本每股收益0.52元/股。资产负债率为40.45%，较去年全年基本持平。2025年第三季度，公司单季度营业收入70.31亿元，同比下降21.83%，环比下降0.99%；单季度归母净利润2.06亿元，同比下降63.96%，环比下降70.19%；单季度扣非后净利润1.95亿元，同比下降65.83%，环比下降58.9%。点评：三季度业绩承压，成本环比上涨侵蚀利润。2025年前三季度，公司实现原煤产量4245万吨，商品煤销量3758万吨，同比基本持平。商品煤综合售价为519.76元/吨，而去年同期约为660元/吨。三季度业绩环比大幅下滑，主要因成本费用上涨。公司三季度商品煤销量环比二季度减少约100万吨，受此影响，三季度吨煤销售成本环比大幅上升至359元/吨，而二季度为298元/吨。煤炭业务毛利率出现较大幅下降，较去年同期的43%降至36%。公司战略上持续扩张资源，补充现有矿井可采年限短板。公司坚持发展为纲，加快资源扩充、项目建设、技术改造、并购重组、产业延伸、产品升级，推动煤焦产业规模壮大、产业素质提升、产品结构优化，整体提高发展后劲实力。按照“能争尽争、应拿尽拿”原则，突出抓好上马、西营等整装资源和五阳、后堡等扩区资源市场化竞买工作，适时择机推动控股股东煤炭资产注入工作。公司2024年已取得上马区块探矿权，增加煤炭资源量8亿多吨，叠加自有储备资源，为未来发展提供了有力支撑。公司现有18座生产矿井，先进产能达到4970万吨/年，单井规模平均300万吨/年，集约化生产水平行业领先，规模效应显著。公司在建及规划的矿井（如忻峪煤业、元丰矿业、静安煤业、上马矿井等）合计产能约850万吨/年，产能有望持续提升。此外，近日，公司公告伊田煤业拟购买高河能源产能指标20万吨/年、购买寺家庄煤业产能指标20万吨/年、购买阳泉五矿产能指标20万吨/年，合计60万吨/年，用于核增生产能力产能置换。未来在建、拟建矿井的陆续投产以及新资源的开发，有利于提升公司核心服务功能和核心竞争力优势，也有利于公司未来可持续稳健发展。公司分红比例仍处于较高水平，现金流优势彰显资产优势。2025年8月，公司入选中国上市公司协会现金分红榜单，以实际行动履行回报承诺，彰显长期投资价值。公司表示将持续以“提质增效重回报”为主线，统筹发展质量与股东回报动态平衡，稳步推进高质量发展新征程。此外，截至2025年三季报，公司账面货币资金达155.8亿元，带息负债53.6亿元，有息债务现金覆盖率达290%，体现了公司优异的资产质量及稳健的经营理念。盈利预测与投资评级：我们认为潞安环能作为国内喷吹煤行业龙头，煤炭资产优、有息债务现金覆盖率高，叠加产能内生外延增长和高比例现金分红，企业稳健经营的同时又具有高增长潜力。我们预计公司2025-2027年归母净利润为22.62亿、26.67亿、29.29亿，EPS分别0.76/0.89/0.98元/股；截至10月29日收盘价对应2025-2027年PE分别为20.13/17.07/15.54倍；维持公司“买入”评级。风险因素：国内宏观经济增长不及预期；安全生产风险；产量出现波动的风险。,,信达证券,买入,[None],2025-10-30,,买入,7040652,pdf_downloads/2025/2025-10-30/601699-潞安环能（601699）：成本上行挤压利润，资源扩张夯实基础.pdf,601699,潞安环能,潞安环能（601699）：成本上行挤压利润，资源扩张夯实基础
"周泰,李航,王姗姗,卢佳琪",25Q3产销环比下滑，成本环比提升明显事件： 2025年10月29日，公司发布三季报，2025年前三季度营业收入211.0亿元，同比减少20.82%；归属于母公司所有者的净利润15.54亿元，同比减少44.45%。25Q3业绩同、环比下滑。25Q3公司实现营业收入70.31亿元，同比下降21.83%，环比下降1%，实现归母净利润2.06亿元，同比下降63.96%，环比下降70.18%。25Q3期间费用合计为11.88亿元，同比下降7.16%，环比增长12.94%。前三季度量、价同比下滑，喷吹煤占比提升。25Q1~3公司实现原煤产量4245万吨，同比下降0.05%，其中混煤产量1904万吨，同比下降10.23%；喷吹煤产量1629万吨，同比增长8.67%。25Q1~3公司实现商品煤销量3758万吨，同比下降1.29%，其中混煤销量1867万吨，同比下降12.1%，喷吹煤销量1627万吨，同比增长9.34%，喷吹煤销量占比为43.3%，同比提升4.2个百分点。公司煤炭综合售价为519.76元/吨，同比下降21.5%，综合成本为331.39元/吨，同比下降11.9%。煤炭业务实现毛利70.78亿元，同比下降35.01%，毛利率36.24%，同比下降6.97个百分点。25Q3产销环比下滑，成本环比提升明显。25Q3公司实现原煤产量1382万吨，同比下降6.62%，环比下降8.23%；其中混煤产量625万吨，同比下降15.99%，环比下降2.5%；喷吹煤产量531万吨，同比增长0.38%，环比下降8.92%。25Q3煤炭销量为1233万吨，同比下降8.8%，环比下降7.85%；其中混煤销量606万吨，同比下降18%，环比下降7.06%，喷吹煤销量544万吨，同比下降1.45%，环比下降3.89%。吨煤售价为526.77元/吨，同比下降15.62%，环比提升6.91%。吨煤成本为359.01元/吨，同比下降6.67%，环比增长20.42%。煤炭综合毛利20.68亿元，同比下降36.14%，环比下降20.55%，毛利率为31.85%，同比下降6.53个百分点，环比下降7.65个百分点。投资建议：我们预计2025-2027年公司归母净利润分别为22.18/30.16/35.06亿元，对应EPS分别为0.74/1.01/1.17元/股，对应2025年10月30日收盘价的PE分别均为20/15/13倍，考虑到定价机制灵活，预计后续煤价上涨过程中业绩弹性有望释放，维持“推荐”评级。风险提示：煤价大幅下行；下游需求改善不及预期；成本超预期上升，公司产量不及预期，探矿权仍存在不确定性。,,民生证券,推荐,[None],2025-10-30,,增持,7043914,pdf_downloads/2025/2025-10-30/601699-潞安环能（601699）：25Q3产销环比下滑，成本环比提升明显.pdf,601699,潞安环能,潞安环能（601699）：25Q3产销环比下滑，成本环比提升明显
刘永芳,潞安环能(601699)投资要点：喷吹煤龙头企业，追求高质量发展。潞安环能是山西省乃至全国焦煤与高炉喷吹煤生产的龙头企业。股权架构呈现“国资主导、集团支撑”的鲜明格局。为更好走出高质量发展路径，公司构建了“一核两翼四驱动”战略体系。注重科技创新，填补国内烟煤喷吹空白。公司是煤炭行业里的“专精特新”企业，首创的潞安烟煤用于高炉喷吹技术填补了国内烟煤喷吹空白，并荣获多项奖项。公司注重科技创新，围绕贫煤、贫瘦煤的开发与应用，在技术、工艺和质量上实现多维度改进。先进产能持续领先，煤炭资源注入可期。潞安环能煤炭可采储量超56亿吨，拥有先进产能矿井18座，所属9座煤矿已完成智能化矿井建设，先进产能持续处于全国领先水平。集团打造“百年潞安”，承诺在政策条件支持下，将适时启动煤炭类资产整体上市，使上市公司成为潞安集团下属企业唯一经营煤炭采选业务的经营主体。盈利弹性突出，注重股东回报。由于公司长协煤占比低，使得商品煤综合售价波动较大，2022商品煤综合售价高达930.68元/吨，到2025年6月底销售价格下降到516.20元/吨。公司始终秉持“厚报股东”的理念，2022年和2023年分红率跃升到60%的水平，2024年由于盈利压缩、竞拍上马矿的探矿权，公司现金分红为55.85%，仍维持高位。“反内卷”重塑行业生态，煤价上行可期。供给方面，在“反内卷”和监管趋严影响下，国内产能释放进入瓶颈期；由于进口煤不稳定性增强，进口补充边际将走弱。需求方面，火电“保供刚需”不可替代，钢铁出海展现结构性韧性。因此，煤炭行业“反内卷”将带来的供给秩序优化，与供需紧平衡的基本面或形成共振，有望为价格上行打开空间，盈利预测：预计2025-2027公司营收分别为21.70/29.06/38.85亿元，对应EPS分别为0.72/0.97/1.29元/股。结合公司资源禀赋、行业地位及煤价周期修复预期，首次覆盖，给予“谨慎推荐”评级。风险提示：国际环境不确定性增强，煤炭需求不及预期,,大同证券,谨慎推荐,[None],2025-10-27,,增持,6882417,pdf_downloads/2025/2025-10-27/601699-潞安环能（601699）：煤炭行业的“专精特新”，先进产能持续领先.pdf,601699,潞安环能,潞安环能（601699）：煤炭行业的“专精特新”，先进产能持续领先
"黄涛,王楠瑀",维持“增持”评级。公司公告2025年H1实现营业收入140.69亿元，同比减少20.31%；实现归母净利润13.48亿元，同比减少39.44%。25Q2实现营业收入71.01亿元，同比-21.05%，环比+1.9%；实现归母净利6.91亿元，同比-26.39%，环比+5.2%。我们给予公司25-27年EPS预测0.93/1.06/1.18元。根据可比公司2025年16.1x PE，给予目标价15.03元，维持“增持”评级。2025年产销同比开始逐步恢复，环比大幅改善，业绩压力最大时刻已过。2025H1原煤产量2863万吨，同比+3.5%；商品煤销量2525万吨，同比+2.9%。其中混煤产量为1279万吨/-7.1%，混煤销量为1261万吨/-8.9%；喷吹煤产量为1098万吨/+13.2%，喷吹煤销量为1083万吨/+15.7%。2025Q2公司原煤产量1506万吨/同比+4.4%/环比+11%，商品煤销量1338万吨/同比+5%/环比+12.7%，其中混煤产量641万吨，混煤销量652万吨；喷吹煤产量583万吨，喷吹煤销量566万吨。产销同比环比均大幅改善。我们认为2025H2开始行业盈利情况有所好转，下半年伴随反内卷政策持续推进，预计价格仍将维持韧性，我们认为当下公司盈利端压力已出现逐步缓解，业绩压力最大时刻已过。成本管控抵消煤价下跌，Q2盈利端压力逐步缓解。2025年H1吨煤售价516.2元/吨，同比-27.1%；吨煤成本318.2元/吨，同比-14.3%；吨煤毛利198元/吨，同比-36.3%。2025Q2吨煤售价493元/吨，同比-27%/环比-9%；吨煤成本298 /吨，同比-18%/环比-12%；吨煤毛利195元/吨，同比-38%/环比-4%。后备资源接续无忧。公司 2024 年已取得上马区块探矿权，增加煤炭资源量 8亿多吨，叠加自有储备资源，为未来发展提供了有利支撑。公司现有 18 座生产矿井，先进产能达到 4970 万吨/年，单井规模平均 300 万吨/年，集约化生产水平行业领先，规模效应显著。公司在建及规划的矿井（如忻峪煤业、元丰矿业、静安煤业、上马矿井等）合计产能约 850 万吨/年，产能有望持续提升。风险提示：煤价超预期下跌；宏观经济恢复不及预期。,,国泰海通,增持,[None],2025-09-06,,买入,6400689,pdf_downloads/2025/2025-09-06/601699-潞安环能（601699）：成本管控抵消煤价下跌，Q2盈利端压力逐步缓解.pdf,601699,潞安环能,潞安环能（601699）：成本管控抵消煤价下跌，Q2盈利端压力逐步缓解
张绪成,Q2业绩环比改善，关注煤矿成长和喷吹煤弹性。维持“买入”评级公司发布2025年中报，2025H1公司实现营业收入140.7亿元，同比-20.3%，归母净利润13.5亿元，同比-39.4%，扣非归母净利润11.5亿元，同比-49.0%。单Q2看，公司实现营业收入71.0亿元，环比+1.9%，归母净利润6.9亿元，环比+5.1%，扣非归母净利润4.7亿元，环比-29.4%。考虑到上半年煤价回落，我们下调了2025-2027年盈利预测，预计2025-2027年公司实现归母净利润28.8/32.2/36.1亿元（2025-2027年前值29.6/32.7/36.7亿元），同比+17.5%/+11.7%/+12.2%；EPS为0.96/1.07/1.21元，对应当前股价PE为13.7/12.3/10.9倍。公司作为煤炭行业唯一国家级高新技术企业，保持高分红比例，产能有成长性且业绩具备较高弹性，维持“买入”评级。H1煤炭产销回升，Q2吨盈利大幅改善产销量同比回升：2025H1，公司原煤产量2863万吨，同比+3.5%，商品煤销量2525万吨，同比+2.9%。其中，混煤产销量分别为1279/1261万吨，同比分别-7.1%/-9.0%，喷吹煤产销量分别为1098/1083万吨，同比分别+13.2%/+15.7%。单Q2看，公司原煤产量1506万吨，环比+11.0%，商品煤销量1338万吨，环比+12.7%。其中，混煤产销量分别为641/652万吨，环比分别+0.5%/+7.1%，喷吹煤产销量分别为583/566万吨，环比分别+13.2/+9.5%。商品煤综合售价、吨煤销售成本及毛利同比下降：2025H1公司商品煤综合售价为516.2元/吨，同比-24.4%。公司吨煤销售成本为317.9元/吨，同比-14.4%，公司吨煤销售毛利为198.4元/吨，同比-36.3%；2025Q2公司商品煤吨综合售价492.7元/吨，环比-9.2%，2025Q2公司吨煤销售成本为298.1元/吨，环比-12.4%，公司吨煤销售毛利为250.5元/吨，环比+79.3%。产能有望进一步提升，持续现金分红煤炭产能有望进一步提升：公司于2024年通过资源竞拍以121.26亿元取得上马区块探矿权，直接增加了煤炭资源量8亿多吨。目前公司现有18座生产矿井，先进产能达到4970万吨/年，公司在建及规划的矿井（如忻峪煤业、元丰矿业、静安煤业、上马矿井等）合计产能约850万吨/年，其中忻峪 60 万吨矿井技改工程已投入过半，产能有望持续提升，为公司中长期产量扩张和价值重估奠定了坚实基础。现金分红继续加码：公司 2024 年度现金分红 12.26 亿元已于 2025 年6月实施完毕，每股派发现金红利0.41元（含税），按当前股价股息率为3.11%，公司已连续三年累计现金分红超 145 亿元，凸显“厚报股东”理念。风险提示：经济恢复不及预期；煤价下跌超预期；产销量增长不及预期。,,开源证券,买入,[None],2025-09-02,,买入,6379562,pdf_downloads/2025/2025-09-02/601699-潞安环能（601699）：Q2业绩环比改善，关注煤矿成长和喷吹煤弹性.pdf,601699,潞安环能,潞安环能（601699）：Q2业绩环比改善，关注煤矿成长和喷吹煤弹性
"刘俊,苗雨菲,马梦辰,戚腾元","2025年8月29日│中国内地 煤炭 公司公布25年中报业绩，收入140.69亿元，同比-20.3%；归母净利润13.48亿元，同比-39.4%；其中25Q2营业收入71.01亿元，同比-21.1%；归母净利润6.91亿元，同比-26.4%。其中Q2实现营收71.01亿元，同比-21.1%，环比+1.9%，归母净利6.91亿元，同比-26.4%，环比+5.1%。公司业绩较Q1环比修复，主要受益于优秀的成本控制能力，虽然上半年煤价下行拖拽公司销售均价同比-24%，但公司单吨成本同比-14.4%，重回18/19年水平，支撑综合毛利率维持在36.0%（同比虽然下降6.6个百分点，但环比2H24回升4.6个百分点），其中25Q2顶住价格压力，毛利率环比提升1个百分点。考虑下半年煤价稳中向好，展望盈利能力环比1H25进一步改善，上调至“买入”评级。产量延续25Q1修复态势，成本管控成效显著产销规模方面，公司1H25原煤生产和商品煤销售达2,863/2,525万吨，同比+3.5%/+2.9%，其中25Q2分别同比+4.4%/+5%(25Q1分别+2.5%/+0.5%)，产销加速回升。成本方面，公司1H25综合单吨成本达318元/吨，同比-14.4%，25Q2较Q1进一步改善，半年均值低于2022-24年成本水平（分别为341.8/347.7/390.8元/吨），接近18/19年成本（分别322/312元/吨），主要受益于产量稳步提升带来规模效应。主动调升喷吹比例适应市场，全年保持产量稳定隐含下半年略有收缩上半年喷吹煤销量同比+16%到1,083万吨，占比回升到42.9%（1H24为38.1%），我们认为公司主要考虑喷吹煤客户需求有韧性，价格有支撑，在保障长协兑现率的范围内主动调升喷吹煤占比。由于上半年产量同比+3.5%到2,863万吨，考虑全年产量可能同比持平于5,700万吨水平，预计2H25产量可能同比轻微下滑3%、环比持平于1H25的2,860万吨水平。盈利预测与估值综合考虑近期煤炭价格企稳和公司煤炭业务超预期的降本成果，我们上调25E-27E归母净利润32.0%/0.7%/0.9%至33.0/41.2/43.6亿元（前值：25.1/40.9/43.3亿元），同比+34.7%/+24.9%/+5.9%。考虑到公司现金流充沛，具备较大的产能增长空间以及煤价企稳修复后的盈利弹性，因此我们认为切换至2026年估值更可体现公司价值，参考公司历史5年EV/EBITDA中枢3.59x，我们给予公司2026年3.59xEV/EBITDA倍数，目标价提升至17.69元（前值12.90元，对应2025年3.55x EV/EBITDA倍数），上调至“买入”评级。风险提示：供给端扰动超预期；下游需求侧不及预期。",,华泰证券,买入,[None],2025-08-29,上调评级,买入,6366682,pdf_downloads/2025/2025-08-29/601699-潞安环能（601699）：毛利率环比回暖，看好2H盈利改善.pdf,601699,潞安环能,潞安环能（601699）：毛利率环比回暖，看好2H盈利改善
"张津铭,刘力钰,高紫明,鲁昊,张卓然",Q2量增降本，业绩超预期公司发布2025年半报业绩公告。2025H1营业收入140.69亿元，同比减少20.31%；归母净利润13.48亿元，同比减少39.44%。2025Q2营业收入71.01亿元，同比减少21.05%，环比+1.92%；归母净利润6.91亿元，同比减少26.39%，环比+5.10%。Q2喷吹煤销量环比大幅改善，吨煤成本持续优化。产销来看，2025H1公司原煤产量2863万吨，同比+3.5%，商品煤销量2525万吨，同比+2.9%，其中混煤产量1279万吨，同比-7.12%，混煤销量1261万吨，同比-9.0%，喷吹产量1098万吨，同比+13.2%，喷吹煤销量1083万吨，同比+15.7%。25Q2公司原煤产量1506万吨，同比+4.4%，其中混煤产量641万吨，同比-12.4%，喷吹煤产量583万吨，同比+20.2%；商品煤销量1338万吨，同比+5.0%，其中混煤销量652万吨，同比-10.7%，喷吹煤销量566万吨，同比+18.7%。利价来看，2025H1公司吨煤综合售价516元/吨，同比-24.4%。25Q2公司吨煤综合售价493元/吨，同比-27.2%，环比-9.2%；2025H1公司吨煤综合成本318元/吨，同比-14.4%，25Q2公司吨煤综合成本298元/吨，同比-18.4%，环比-12.4%。喷吹煤价格仍处上涨趋势，Q3业绩有望迎来修复。7月22日新疆煤炭交易中心报道，国家能源局将组织开展对山西等8省在产煤矿的生产核查。此后，煤炭价格迎来趋势反转，截至8月27日山西贫瘦喷吹煤出矿价格为1070元/吨，已达到年初最高价。目前喷吹煤价格仍处于上涨趋势，截至2025年8月27日，8月山西贫瘦喷吹煤出矿价格均价为1044元/吨，较Q2均价上涨15.31%，公司作为山西喷吹煤龙头煤企，Q3业绩有望迎来修复。拟关停60万吨/年停产煤矿，助力公司减少亏损源。8月27日公司发布公告，宣布下属子公司山西潞安集团蒲县隰东煤业有限公司（以下简称“隰东煤业”）所属矿井（60万吨/年，持股80%），按照相关政策拟实施关停。隰东煤业2024年开始就已处于停产状态，2024年及2025H1利润分别为-7469、-157万元，目前公司已对其计提资产减值准备，相关长期资产折旧及摊销已计提完毕，其关停有助于公司减少亏损源，提高盈利能力。25万吨焦化指标拟挂牌转让。8月27日公司发布公告，宣布拟将2023年清算注销的山西潞安环能五阳弘峰焦化有限公司（以下简称“弘峰焦化”，持股85.694%）所有25万吨/年焦化产能指标公开挂牌转让。根据2024年山东省公布的焦化产能指标交易参考指导价600-800元/吨焦，25万吨焦化产能指标折合约为1.5-2亿元。投资建议。考虑到喷吹煤价格仍处于上涨趋势，以及公司持续降本增利，下半年公司业绩有望迎来修复，我们上调潞安环能2025-2027年盈利预测。我们预计2025-2027年公司归母净利润分别为35.50亿元、50.40亿元、61.47亿元，对应PE分别为11.0X、7.7X、6.3X。风险提示：煤炭价格大幅下跌，煤炭需求不及预期，公司产量不及预期。,,国盛证券,买入,[None],2025-08-29,,买入,6364845,pdf_downloads/2025/2025-08-29/601699-潞安环能（601699）：Q2量增降本，业绩超预期.pdf,601699,潞安环能,潞安环能（601699）：Q2量增降本，业绩超预期
"高升,刘波,李睿","事件： 2025年8月28日 ，潞安环能发布2025年中报，2025年上半年，公司实现营业收入140.69 亿元，同比下降20.31%，实现归母净利润13.48 亿元，同比下降39.44%；扣非后净利润11.47 亿元，同比下降49.00%。经营活动现金流量净额-8.61 亿元，同比下降130.16%；基本每股收益0.45 元/股，同比下降39.19%。资产负债率为39.40%，较2024全年下降0.85pct。2025年第二季度，公司单季度营业收入71.01亿元，同比下降21.05%，环比上涨1.92%；单季度归母净利润6.91亿元，同比下降26.39%，环比上涨5.10%；单季度扣非后净利润4.75亿元，同比下降50.75%，环比下降29.35%。点评：量增本减部分对冲煤价下滑。上半年业绩承压，成本改善与结构优化对冲价格下行。2025年上半年，实现原煤产量2863万吨，商品煤销量2525万吨，同比回升显著。其中混煤产量为1279万吨，混煤销量为1261万吨；喷吹煤产量为1098万吨，喷吹煤销量为1083万吨。实现商品煤销售收入1,303,647万元，销售成本802,706万元，销售毛利500,941万元。面对市场价格下行，公司积极应对，成本端改善显著，上半年商品煤综合售价较去年同期的683元/吨降至516元/吨，同比下降约24%，而吨煤销售成本较去年同期的371元/吨降至约318元/吨，同比下降约14%。煤炭业务毛利率出现较大幅下降，较去年同期的45.6%降至38.4%。公司战略上持续扩张资源，补充现有矿井可采年限短板。公司坚持发展为纲，加快资源扩充、项目建设、技术改造、并购重组、产业延伸、产品升级，推动煤焦产业规模壮大、产业素质提升、产品结构优化，整体提高发展后劲实力。按照“能争尽争、应拿尽拿”原则，突出抓好上马、西营等整装资源和五阳、后堡等扩区资源市场化竞买工作，适时择机推动控股股东煤炭资产注入工作。公司2024年已取得上马区块探矿权，增加煤炭资源量8亿多吨，叠加自有储备资源，为未来发展提供了有力支撑。公司现有18座生产矿井，先进产能达到4970万吨/年，单井规模平均300万吨/年，集约化生产水平行业领先，规模效应显著。公司在建及规划的矿井（如忻峪煤业、元丰矿业、静安煤业、上马矿井等）合计产能约850万吨/年，产能有望持续提升。未来在建、拟建矿井的陆续投产以及新资源的开发，有利于提升公司核心服务功能和核心竞争力优势，也有利于公司未来可持续稳健发展。公司分红比例仍处于较高水平，现金流优势彰显资产优势。2024年，公司现金分红占合并报表中归属于上市公司普通股股东的净利润的比率为50%，现金分红金额12.26亿元，截至4月28日市值，股息率约为3.7%。2025年8月，公司入选中国上市公司协会现金分红榜单，以实际行动履行回报承诺，彰显长期投资价值。公司表示将持续以“提质增效重回报”为主线，统筹发展质量与股东回报动态平衡，稳步推进高质量发展新征程。此外，截至2025年中报，公司货币资金123亿元，带息负债47亿元，有息债务现金覆盖率达265%，体现了公司优异的资产质量及稳健的经营理念。盈利预测与投资评级：我们认为潞安环能作为国内喷吹煤行业龙头，煤炭资产优、有息债务现金覆盖率高，叠加产能内生外延增长和高比例现金分红，企业稳健经营的同时又具有高增长潜力。我们预计公司2025-2027年归母净利润为22.78亿、26.95亿、29.64亿，EPS分别0.76/0.90/0.99元/股；截至8月27日收盘价对应2025-2027年PE分别为17.11/14.47/13.15倍；我们看好公司的收益空间，维持公司“买入”评级。风险因素：国内宏观经济增长不及预期；安全生产风险；产量出现波动的风险。",,信达证券,买入,[None],2025-08-28,,买入,6361121,pdf_downloads/2025/2025-08-28/601699-潞安环能（601699）：量增本减成果显著，资源扩充保障长期发展.pdf,601699,潞安环能,潞安环能（601699）：量增本减成果显著，资源扩充保障长期发展
