author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"冯胜,何俊艺,杨帅",备注：股价截止自2026年02月27日收盘价，每股指标按照最新股本数全面摊薄报告摘要2025年业绩高增长，Q4增长强势公司发布2025年年度业绩预告，预计实现归母净利润8.5-10.5亿元，同比增长30.11%–60.72%；扣非归母净利润6.9–8.9亿元，同比增长23.85%–59.74%。从单季度看，经测算2025Q4预计实现归母净利润1.21-3.21亿元，同比增长34.68%–257.42%；扣非归母净利润0.87–2.87亿元，同比增长50.16%–394.10%。业绩增长主要源于：1）汽车金属部件轻量化业务优化产品客户结构和快速响应客户需求、提升配套量，同时通过工艺改进与技术创新降本提效；2）通航飞机制造业务订单良好，高附加值机型工艺持续优化，叠加收购德国VolocopterGmbH核心资产，完成了“通航固定翼-eVTOL-无人机”多场景产品矩阵。公司非经常损益主要系子公司收购VolocopterGmbH名下相关有形资产、知识产权及承接特定合同权利义务所致，25年前三季度已实现营业外收益1.2亿元。国内多项政策落地，驱动低空产业高质量发展1）2025年10月23日，《“十五五”规划建议》提出打造新兴支柱产业，加快新能源、新材料、航空航天、低空经济等战略性新兴产业集群发展，有望催生数个万亿元级甚至更大规模的市场。2）2025年11月18日，中央空管委即将在六个城市开展eVTOL试点，初步确定为合肥、杭州、深圳、苏州、成都、重庆。试点文件对航线和区域都有相关规划，对600米以下空域授权部分地方政府。3）2025年11月24日，中央空管办发布《国家级和省、市级低空飞行综合监管服务平台功能要求（1.0版）》等两项文件，提出构建“国家—省—市”三级一体化平台，实现低空飞行业务“一窗受理、一网通办”，能大幅提升低空飞行审批效率。4）2025年12月11日，《低空经济标准体系建设指南（2025年版）》围绕航空器、基建、空管、安全、应用五大领域建标准体系，到2027年低空经济标准体系基本建立，促进低空产品取证与规模化落地。5）2025年12月27日全国人大常委会会议通过的新《民用航空法》将于2026年7月1日起施行。该法以民航高质量发展为导向，完善制度保障与创新体系。国家鼓励发展民用航空制造业技术创新与应用拓展，促进低空经济发展。深耕“汽车业务+飞机制造业务”双引擎战略，共同成长1）汽车业务：公司优化客户与产品结构，推进产线数字化与智能化改造，加大铝合金、镁合金轻量化技术研发，并持续工艺与创新降本提效。公司深化与核心新能源客户合作，增加大尺寸轮毂配套，加速镁合金大型压铸件国产化应用，打造国内汽车零部件行业领先的研发机构，实现“本土化设计、敏捷化供应”。2）飞机制造业务：钻石飞机将在航校培训等应用市场基础上不断开拓新的应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景。2025年3月，公司收购Volocopter核心资产，有助于丰富eVTOL产品矩阵，有助于开拓全球低空经济市场。2025亚洲通用航空展上，Volocopter全系列垂直起降飞行器（eVTOL）惊艳登场，首次以完整产品矩阵亮相中国。VoloCity、VoloRegion、VoloXpro等多款主力机型联袂登场，其中VoloRegion、VoloXpro更是在中国市场首次公开亮相，成为本届航展最受瞩目的焦点之一。维持“增持”评级。此前我们预计公司2024-2026年归母净利润分别为7.8/8.8/10.3亿元，公司收购Volocopter核心资产，获取其eVTOL机型知识产权、核心技术和商业资源，与公司现有通航飞机制造业务和eVTOL业务形成协同，支撑中长期业绩增长。我们因此调整盈利预测，本次调整为2025-2027年归母净利润分别为8.98/10.59/12.41亿元，对应最新股价PE分别为38.6/32.8/28.0倍，维持“增持”评级。风险提示：产业政策不及预期风险；宏观经济环境不及预期风险；盈利预测假设不及预期的风险；研究报告中使用的公开资料可能存在信息滞后或更新不及时的风险。,,中泰证券,增持,[None],2026-02-28,,增持,8464692,pdf_downloads/2026/2026-02-28/002085-万丰奥威（002085）：2025年业绩预增，通航飞机与eVTOL业务稳步推进.pdf,002085,万丰奥威,万丰奥威（002085）：2025年业绩预增，通航飞机与eVTOL业务稳步推进
"吴一凡,梁婉怡,张程航","公司公告2025年业绩预告:1)2025年公司预计实现归母净利润8.5-10.5亿元，同比增长30.1%-60.7%，中值为9.5亿，同比增长45%;扣非归母净利6.9-8.9亿元，同比增长23.9%-59.7%，中值为7.9亿，同比增长42%.2)分季度看:根据公司业绩预告测算25Q4实现归母净利中值为2.2亿，同比增长146%，扣非归母净利1.9亿，同比增长222%。注:公司非经常损益主要系收购VolocopterGmbH名下相关有形资产、知识产权及承接特定合同权利义务，25年前三季度实现收益超过1亿，列在营业外收入科目。3)公司介绍分业务板块表现:汽车金属部件轻量化业务持续优化产品和客户结构，快速响应和满足下游客户需求，提升客户配套量，通过工艺改进、技术创新，降本提效，经营效益显著提升;通航飞机制造业务订单良好，经营稳健，高附加值机型生产工艺持续改进，销售业务持续优化，通过收购完成了“通航固定翼-eVTOL-无人机”多场景产品矩阵，同时积极推进eVTOL、eDA40、DART 系列新机型研发。继续看好顶层设计驱动低空产业发展。1)《十五五规划建议》明确提出:加快新能源、新材料、航空航天、低空经济等战略性新兴产业集群发展。低空经济列为要着力打造的四个新兴支柱产业之一，体现其战略地位。2)新修订的《中华人民共和国民用航空法》，将于2026年7月1日正式施行。其中明确提到国家鼓励发展通用航空，鼓励低空经济领城技术创新和应用拓展，促进低空经济发辰，法律保障，法律支持对于通用航空与低空经济的发展是注入强心剂，将有力护航行业前行。持续看好公司作为低空经济龙头，通航+eVTOL双轮驱动。1、通航飞机市场:钻石飞机预计持续开拓新应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景。2、eVTOL市场:我们继续强调万丰收购Volocopter战略布局具备重要意义和未来潜力。收购Volocopter 核心资产，一方面收购有助于丰富eVTOL产品矩阵，商业化进程可明显提速。另一方面有助于开拓全球低空经济市场。而万丰有成功的海外整合经验(如钻石飞机总部在奥地利，万丰镁瑞丁研发中心在加拿大)，看好钻石飞机+Volocopter有望实现有机协同。我们建议关注Volocopter旗下部分eVTOL机型型号合格证(TC)取证进度。注:根据公司2025年11月29日公众号《万丰Volocopter 全系eVTOL中国首秀》报道，万丰集团携旗下Volocopter 全系列垂直起降飞行器(包括 VoloCity、VoloRegion、VoloXpro等多款主力机型)首次以完整产品矩阵亮相中国，全面展示城市、城际空中交通(UAM)领域的低空经济前沿探索与领先实力，投责建议:基于公司业绩预告，我们预计公司2025年实现归母净利9.8亿，考虑飞机制造供应链的恢复节奏以及汽车市场的环境，我们小幅调整26-27年盈利预测至12.2、14.3亿(原预测为13.2、15.3亿),对应25-27年EPS为0.5、0.6及0.7元，对应PE为33、27、23倍。公司是A股稀缺的通航与低空主机厂标的，看好公司通用航空+eVTOL双轮战略驱动，强调“推荐”评级风险提示:低空政策不及预期、低空飞行器安全风险",,华创证券,推荐,[None],2026-01-30,,增持,8376577,pdf_downloads/2026/2026-01-30/002085-万丰奥威（002085）：2025年业绩预告点评：25年业绩预增30%-61%，持续看好公司通航+eVTOL双轮战略驱动.pdf,002085,万丰奥威,万丰奥威（002085）：2025年业绩预告点评：25年业绩预增30%-61%，持续看好公司通航+eVTOL双轮战略驱动
"刘一鸣,张予名",上调目标价至28.92元，维持“增持”评级。考虑到低空经济高速增长，我们预计公司2025/26/27年EPS分别为0.49（-0.02）/0.62 （-0.02）/0.79元。考虑到公司低空经济相关业务持续拓展，参考可比公司，给予公司2026年47倍PE，对应目标价28.92元（原为28.66元），维持“增持”评级。公司发布2025年三季报，归母净利润同比增长。2025年前三季度公司实现营收114.2亿元，同比+0.4%，归母净利润7.3亿元，同比+29.4%；毛利率为17.4%，同比-0.1pct，净利率为8.0%，同比+1.5pct，ROE为9.6%，同比+1.4pct，净利率有所改善。分单季度来看，2025Q3公司实现营收39.2亿元，同比-1.9%，环比-0.1%，归母净利润2.3亿元，同比+38.1%，环比+1.3%；毛利率为15.3%，同比-0.4pct，环比-3.5pct，净利率为6.6%，同比+1.2pct，环比-0.4pct，ROE为3.0%，同比相对+0.6pct，环比-0.1pct。“十五五”纳入低空经济为“战略性新兴产业集群”。据新华社报道，“十五五”规划建议中提及：培育壮大新兴产业和未来产业。实施产业创新工程，一体推进创新设施建设、技术研究开发、产品迭代升级，加快新能源、新材料、航空航天、低空经济等战略性新兴产业集群发展。完善产业生态，实施新技术新产品新场景大规模应用示范行动，加快新兴产业规模化发展。我们认为，随着低空经济相关政策持续推进，公司通航飞机相关业务有望受益。 持续推进Volocopter资源整合，载人eVTOL产品TC取证在即。根据公司公告《投资者关系活动记录表》，公司于2025年3月收购 Volocopter 核心资产之后，通过重组Volocopter 核心资产，提供 300 公里以内载人+载货的多场景的eVTOL解决方案。其中载人产品取证进度较快，城市空中交通出行场景解决方案依托于 Volocopter 2X和VoloCity，两款机型均为有人驾驶 2 座产品，其中 Volocopter 2X 计划于 2025-2026 年完成 TC 取证，并力争商业化订单获取。VoloCity 机型为更先进的eVTOL 产品，能够满足 EASA（欧洲航空安全局）制定的更严格的航空标准，其在各方面的设计均处于行业领先水平，目前正推进其在 EASA 的TC 取证工作。风险提示：乘用车产销不及预期，低空经济发展不及预期，原材料价格大幅上涨。,,国泰海通,增持,[None],2025-11-19,,买入,8078494,pdf_downloads/2025/2025-11-19/002085-万丰奥威（002085）：2025年三季报点评归母净利增长，持续推进Volocopter资源整合.pdf,002085,万丰奥威,万丰奥威（002085）：2025年三季报点评归母净利增长，持续推进Volocopter资源整合
"唐旭霞,杨钐,曹翰民",2025Q3万丰奥威实现净利润2.29亿元，同比增长38%。公司2025年前三季度实现营收114.16亿元，同比+0.40%，归母净利润7.29亿元，同比+29.38%。分季度看，公司2025Q3实现营收39.22亿元，同比-1.93%，环比-0.14%，归母净利润2.29亿元，同比+38.14%，环比+1.35%。分产品看，2025年前三季度，公司汽车金属轻量化零部件收入93.85亿元，同比+0.02%，通航飞机制造收入20.31亿元，同比+2.20%。2025Q3公司净利率同比提升1.3pct。2025Q3公司毛利率15.3%，同比-0.4pct，环比-3.5pct，净利率6.6%，同比+1.3pct，环比-0.4pct。汽车轻量化为基，通航飞机+eVTOL打开低空经济成长空间。1）汽车金属部件轻量化业务方面，公司持续优化客户结构，加大以铝合金、镁合金为主导的轻量化金属应用技术研发力度。同时，公司将继续加强同核心新能源客户的合作，优化产品结构，增加大尺寸轮毂的配套，持续普及镁合金仪表盘支架等镁合金大型压铸件在国内中高端车和新能源车的应用，推进镁合金大型压铸件国产化应用。2）通航飞机创新制造业务方面，公司持续以飞机创新制造为核心，不断强化“研发-授权/技术转让-整机制造和销售-售后服务”经营模式。报告期内，通航飞机订单充足，高附加值机型生产工艺持续改进，并持续开拓全球私人飞机市场。公司通持续推进eVTOL、eDA40、无人机、DART系列新机型研发工作。2025年3月，公司收购Volocopter核心资产，构建以业态+生态为依托的商业闭环模式，针对城市内空中交通解决方案、城际空中交通解决方案、城市空中生命救援通道、商务出行、消遣娱乐、特定环境接驳等场景进行拓展。未来随着低空经济发展，钻石飞机将在航校培训等应用市场基础上不断开拓新的应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景，同时加大电动飞机、eVTOL、无人机等新机型的研发和型号合格证（TC）取证，构建“以飞行器制造为业态+以智能系统与起降设施为依托的生态”相融合的城市空中交通系统。风险提示：低空经济发展不及预期；原材料价格波动。投资建议：维持盈利预测，维持优于大市评级。我们维持盈利预测，预计2025-2027年营收178.43/193.28/210.98亿元，归母净利润10.01/12.01/14.05亿元，维持优于大市评级。,,国信证券,优于大市,[None],2025-11-17,,买入,7964360,pdf_downloads/2025/2025-11-17/002085-万丰奥威（002085）：单三季度净利润同比增长 38%，通航飞机和eVTOL 业务持续推进.pdf,002085,万丰奥威,万丰奥威（002085）：单三季度净利润同比增长 38%，通航飞机和eVTOL 业务持续推进
"龚斯闻,楼珈利",低空布局成效显现，盈利能力显著提升 ——万丰奥威(002085)2025年三季报点评报告要点：营收稳定增长，盈利能力持续提升2025Q1-3公司实现营收114.16亿元，同比+0.40%；实现归母净利润7.29亿元，同比+29.38%；扣非归母净利润6.03亿元，同比+20.78%。公司利润增速远超营收主要系毛利率的企稳回升、有效的费用管控以及收购Volocopter核心资产产生的非经常性收益。单季度看，2025Q3，公司实现营业收入39.22亿元，同比-1.93%；归母净利润2.29亿元，同比+38.14%；扣非归母净利润2.16亿元，同比+53.90%，单季度盈利能力显著增强。利润率保持稳定，期间费用率维稳2025Q1-3公司实现销售毛利率17.44%，与去年同期基本持平。研发费用率、销售费用率、财务费用率分别为3.03%/1.38%/0.99%，分别同比上升0.17/0.16/0.08pct，管理费用率4.62%，同比下降0.27pt，公司期间费用率整体稳定。双引擎战略深化推进，低空经济布局取得实质性突破公司坚定推进“大交通”领域双引擎战略，2025年1-9月汽车金属部件轻量化业务在激烈市场竞争中保持稳健，实现营收93.85亿元，通过持续优化客户结构、推进生产线数字化管理升级及加强原材料库存管控，不断提升运营效率；同时通航飞机创新制造业务实现营收20.31亿元，同比增长2.20%。2025年3月成功收购Volocopter核心资产成为关键里程碑，公司藉此完成了城市内/城际空中交通解决方案的产品布局，正积极推进eVTOL机型适航认证并加大电动飞机、无人机等新机型研发，通过构建“飞行器制造+智能系统与起降设施生态”相融合的商业模式，在低空经济战略机遇期中确立了先发优势。投资建议与盈利预测我们预计公司2025-2027年营收分别为178.12/193.32/205.62亿元，归母净利润分别为9.98/11.62/12.97亿元，对应EPS为0.47/0.55/0.61元/股，对应PE估值分别为37/32/28倍，维持“增持”的评级。风险提示宏观经济及行业波动风险、国际贸易壁垒风险、原材料及能源价格波动风 险、汇率波动风险、国内通航空域开放程度不及预期风险。,,国元证券,增持,[None],2025-10-28,,增持,6862858,pdf_downloads/2025/2025-10-28/002085-万丰奥威（002085）：2025 年三季报点评：低空布局成效显现，盈利能力显著提升.pdf,002085,万丰奥威,万丰奥威（002085）：2025 年三季报点评：低空布局成效显现，盈利能力显著提升
"吴一凡,梁婉怡,张程航",公司公告 2025 年三季报：1）2025 年前三季度，公司实现营业收入 114.16 亿元，同比增长0.4%；归母净利润7.29亿元，同比增长29.4%；扣非归母净利6.03亿元，同比增长20.8%。2）分季度看：25Q3公司实现收入39.22亿元，同比下降1.93%；归母净利润2.29亿元，同比增长38.1%；扣非归母净利润2.16亿元，同比增长53.9%。Q1-2归母净利分别为2.75、2.25亿元，同比分别增长21.3%、31.6%；扣非净利分别为1.85、2.02亿元，同比分别下降12.8%及增长37.6%。注：公司非经常损益主要系收购Volocopter GmbH名下相关有形资产、知识产权及承接特定合同权利义务实现收益超过1亿，列在营业外收入科目。3）分业务板块看：前三季度汽车金属部件轻量化业务实现收入93.85亿元，同比增长 0.02%，公司通过持续优化客户结构、提高生产效率、加强大宗物资采购和原材料库存管控等方式提高整体业务可持续发展经营能力，同时继续加强同核心新能源客户的合作，不断满足新能源汽车的崛起及汽车轻量化发展需求。通航飞机创新制造业务实现营业收入20.31亿元，同比增长2.20%，公司介绍报告期内通航飞机订单充足，并持续开拓全球私人飞机市场，同时持续推进 eVTOL、eDA40、无人机、DART 系列新机型研发工作。10 月 24 日上午中共中央举行新闻发布会介绍和解读党的二十届四中全会精神。国家发改委党组书记、主任郑栅洁介绍，《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》提出打造新兴支柱产业，加快新能源、新材料、航空航天、低空经济等战略性新兴产业集群发展，这将催生出数个万亿级甚至更大规模的市场。我们认为：“十五五”对低空经济有明确规划，且定位高，同时潜在市场或达到万亿级及以上，后续将对产业发展注入强心剂。持续看好公司作为低空经济龙头，通航+eVTOL 双轮驱动。1、通航飞机市场：1）公司三季报介绍，钻石飞机将在航校培训等应用市场基础上不断开拓新应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景。2、eVTOL市场：我们强调万丰收购Volocopter战略布局具备重要意义和未来潜力。1）收购Volocopter 核心资产，可以构建“以飞行器制造为业态+以智能系统与起降设施为依托的生态”相融合的城市空中交通系统。2）我们在此前深度中分析，其一、收购有助于丰富eVTOL产品矩阵，商业化进程可明显提速。其二、助力开拓全球市场：欧美开放的空域是低空繁荣潜力基础；法规正为eVTOL适航、运营铺平道路；且民众接受程度较高。万丰有成功的海外整合经验（如钻石飞机总部在奥地利，万丰镁瑞丁研发中心在加拿大），我们同时看好钻石飞机+Volocopter有望实现有机协同。其三、美股代表性eVTOL标的JOBY市值突破1000亿人民币，体现海外投资者对未来产业的认可，我们建议关注Volocopter旗下部分eVTOL 机型型号合格证（TC）取证进度。投资建议：我们维持 25-27 年 10.7、13.2、15.3 亿的盈利预测，对应 EPS 为0.5、0.6及0.7元，对应PE为34、28、24倍。持续看好公司通用航空+eVTOL双轮战略驱动，同时作为A股稀缺的主机厂标的，强调“推荐”评级。风险提示：低空政策不及预期、低空飞行器安全风险。,,华创证券,推荐,[None],2025-10-26,,增持,6796458,pdf_downloads/2025/2025-10-26/002085-万丰奥威（002085）：2025年三季报点评：Q3业绩同比增38%，关注《十五五》低空经济产业规划.pdf,002085,万丰奥威,万丰奥威（002085）：2025年三季报点评：Q3业绩同比增38%，关注《十五五》低空经济产业规划
"唐旭霞,杨钐,曹翰民",核心观点2025Q2万丰奥威实现净利润2.25亿元，同比增长32%。公司2025H1实现营收74.94亿元，同比+1.66%，归母净利润5.01亿元，同比+25.74%。分季度看，公司2025Q2实现营收39.27亿元，同比+2.50%，环比+10.11%，归母净利润2.25亿元，同比+31.62%，环比-18.03%。分产品看，2025H1，公司汽车金属轻量化零部件收入60.56亿元，同比-0.54%，毛利率17.17%，同比+0.10pct，通航飞机制造收入14.38亿元，同比+12.09%，毛利率24.46%，同比-0.78pct。2025Q2毛利率同比提升1.5pct。2025Q2公司毛利率18.8%，同比+1.5pct，环比+0.4pct，净利率7.0%，同比+1.0pct，环比-3.5pct。汽车轻量化为基，通航飞机+eVTOL打开低空经济成长空间。1）汽车金属部件轻量化业务方面，公司加大以铝合金、镁合金为主导的轻量化金属应用技术研发力度，公司将继续加强同核心新能源客户的合作，优化产品结构，增加大尺寸轮毂的配套，持续普及镁合金仪表盘支架等镁合金大型压铸件在国内中高端车和新能源车的应用。2）通航飞机创新制造业务方面，2025H1，公司通航飞机订单充足，销售业务持续优化，高附加值机型生产工艺持续改进，继续开拓全球私人飞机市场，产能逐步释放。公司持续推进eVTOL、eDA40、无人机、DART系列新机型研发工作。2025年3月，公司收购Volocopter核心资产，构建以业态+生态为依托的商业闭环模式，针对城市内空中交通解决方案、城际空中交通解决方案、城市空中生命救援通道、商务出行、消遣娱乐、特定环境接驳等场景进行拓展。未来随着低空经济发展，钻石飞机将在航校培训等应用市场基础上不断开拓新的应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景，同时加大电动飞机、eVTOL、无人机等新机型的研发和型号合格证（TC）取证，构建“以飞行器制造为业态+以智能系统与起降设施为依托的生态”相融合的城市空中交通系统，抓住国家低空经济发展新机遇，致力于加速低空经济市场布局。风险提示：低空经济发展不及预期；原材料价格波动。,,国信证券,优于大市,[None],2025-09-16,,买入,6441147,pdf_downloads/2025/2025-09-16/002085-万丰奥威（002085）：单二季度净利润同比增长32%，积极布局通航飞机和eVTOL业务.pdf,002085,万丰奥威,万丰奥威（002085）：单二季度净利润同比增长32%，积极布局通航飞机和eVTOL业务
"龚斯闻,楼珈利",营收稳步增长，利润提升较高2025H1公司实现营收74.94亿元，同比+1.66%；归母净利润5.01亿元，同比+25.74%；扣除非归母净利润3.87亿元，同比+7.85%；毛利率18.57%，同比+0.08pct；净利率8.68%，同比+1.60pct，公司整体盈利能力稳健增长，主要系通航飞机业务高速增长，收入结构优化。通航飞机创新制造业务增加，加速推动低空产业发展2025H1，公司通航飞机创新制造业务实现营收14.38亿元，同比+12.09%，毛利率高达24.46%。期间，公司通航飞机制造落实全球一体化战略运行机制，通过开发新供应链配套维护飞机供应链安全并降本增效，同时持续推进eVTOL、eDA40、无人机、DART系列新机型研发工作，并且公司通航飞机订单充足，销售业务持续优化，高附加值机型生产工艺持续改进，继续开拓全球私人飞机市场，产能逐步释放。公司对技术创新和产品升级的进一步重视。2025H1公司研发费用达2.35亿元，同比+14.56%，研发费用率3.13%，通过一系列的战略举措和持续的创新投入，公司通航飞机制造业务在全球市场中的竞争力进一步增强，加速推进低空经济产业化。“双引擎”驱动业绩稳定增长，全球规模化生产优势深化2025H1，公司依托“汽车金属部件轻量化”与“通航飞机创新制造”双引擎协同发力，其中汽车金属部件轻量化业务实现营收60.56亿元，同比-0.54%，经营情况整体平稳；通航飞机创新制造业务营收14.38亿元，同比+12.09%，成为增长核心动力。公司在全球10个国家设立制造基地和研发中心，在中国6个省市建有14个生产基地，完善供应链布局以降低成本、提升效率，并依托订单充足优势加速释放产能，持续巩固全球规模化生产与多市场协同优势。投资建议与盈利预测我们预计公司 2025-2027年营收分别为178.12/193.32/205.62亿元，归母净利润分别为9.98/11.62/12.97亿元，对应EPS为0.47/0.55/0.61元/股，对应PE估值分别为39/33/30倍，维持“增持”评级。风险提示宏观经济波动风险、行业波动风险；国际贸易壁垒风险；原材料价格波动风险、能源价格波动风险、人工成本上涨风险；汇率波动风险。,,国元证券,增持,[None],2025-08-29,,增持,6366663,pdf_downloads/2025/2025-08-29/002085-万丰奥威（002085）：2025 年半年报点评：整体增长稳健，通航持续发力.pdf,002085,万丰奥威,万丰奥威（002085）：2025 年半年报点评：整体增长稳健，通航持续发力
"吴一凡,梁婉怡,张程航",公司公告2025年中报：1、2025H1公司营业收入实现74.94亿元，同比增长1.66%；归母净利润5.01亿元，同比增长25.74%；扣非后归母净利润3.87亿元，同比增长7.85%。分季度看，25Q1-Q2，营收分别实现35.67、39.27亿元，同比分别增长0.75%、2.50%；归母净利润分别实现2.75、2.25亿元，同比分别增长21.3%、31.6%；扣非净利润分别实现1.85、2.02亿元，同比分别下降12.8%、增长37.6%。2、分业务板块看：汽车金属部件轻量化业务实现收入60.56亿元，同比减少0.54%，通航飞机创新制造业务实现营业收入14.38亿元，同比增长12.09%。3、主要子公司中，浙江万丰摩轮净利润0.95亿，同比增长35%；威海万丰汽轮、重庆万丰铝轮分别实现净利0.34亿、0.41亿，同比下降19.1%及增长122%；万丰镁瑞丁净利润1.21亿，下降32%；万丰飞机2.63亿，同比增长44.9%，主要系公司收购VolocopterGmbH名下相关有形资产、知识产权及承接特定合同权利义务实现收益超过1亿，列在营业外收入科目。持续看好公司作为低空经济龙头，通航+eVTOL双轮驱动。1、通航飞机市场：1）公司旗下钻石飞机是全球通航制造前三强，公司半年报介绍钻石飞机将在航校培训等应用市场基础上不断开拓新的应用场景，推进新机型的引进和国内新基地及交付中心的建设与资源整合，通过丰富的机型系列进一步匹配和开发国内私人飞行、短途运输、特种用途等场景，构建“以飞行器制造为业态+以智能系统与起降设施为依托的生态”相融合的城市空中交通系统。2、eVTOL市场：我们认为市场或仍低估收购Volocopter对公司战略布局的重要意义和未来潜力。1）公司半年报介绍，2025年3月，收购Volocopter核心资产，构建以业态+生态为依托的商业闭环模式，针对城市内空中交通解决方案、城际空中交通解决方案、城市空中生命救援通道、商务出行、消遣娱乐、特定环境接驳等场景进行拓展。2）我们在此前深度中分析，其一、收购有助于丰富eVTOL产品矩阵，商业化进程可明显提速。其二、助力开拓全球市场：欧美开放的空域是低空繁荣潜力基础；法规已为eVTOL适航、运营铺平道路；且民众对eVTOL接受程度较高。而万丰有成功的海外整合经验（如钻石飞机总部在奥地利，万丰镁瑞丁研发中心在加拿大），我们同时看好钻石飞机+Volocopter：有望实现更有机的协同，如钻石飞机整机及核心环节的制造优势帮助Volocopter降本增效；全球化产业布局可以助力未来的规模化生产；完整的全球网络与客户资源，对其销售、交付与售后可提供重要的支撑。其三、海外市场代表性公司JOBY年内涨幅较大，市值一度突破1000亿人民币，体现海外投资者对未来产业的认可，我们建议关注公司中报介绍，现阶段公司努力推进部分eVTOL机型型号合格证（TC）取证，并力争满足欧洲航空安全局（EASA）制定的最严格的航空标准。投资建议：1、盈利预测：我们维持25-27年10.7、13.2、15.3亿的盈利预测，对应EPS为0.51、0.62及0.72元，对应PE为35、28、24倍。2、投资建议：我们看好公司通用航空+eVTOL双轮战略驱动，同时作为A股稀缺的主机厂标的，强调“推荐”评级。风险提示：低空政策不及预期、低空飞行器安全风险。,,华创证券,推荐,[None],2025-08-26,,增持,6351056,pdf_downloads/2025/2025-08-26/002085-万丰奥威（002085）：上半年归母净利5亿元，同比增26%，持续看好公司通航+eVTOL双轮驱动.pdf,002085,万丰奥威,万丰奥威（002085）：上半年归母净利5亿元，同比增26%，持续看好公司通航+eVTOL双轮驱动
"龚斯闻,楼珈利",传统业务稳健发展，低空业务未来可期 ——万丰奥威(002085)2024年报及2025年一季报点评 报告要点：营收增长稳健，费用管控得当2024年公司实现营收162.64亿元，同比+0.35%；归母净利6.53亿元，同比-10.14%；销售毛利率16.53%，同比-3.8pct；净利率5.17%，同比-1.21pct。公司费用控制得当，销售/管理/研发/财务费用率分别为1.18%/4.37%/2.84%/0.53%，分别同比下降0.19/0.43/0.22/1.01pct。25Q1公司实现营收35.67亿元，同比+0.75%；归母净利2.75亿元，同比+21.29%；毛利率 18.34%，同比-1.48pct；净利率10.54%，同比+2.30pct。轻量化业务稳步增长，通航制造业务快速发展公司深耕轻量化金属部件，构建了以美系、欧系、日系、韩系、国内知名主机厂以及主流新能源客户为核心的全球客户布局，2024年公司汽车金属部件轻量化业务实现营收134.50亿元，同比+0.09%，经营情况整体平稳。2024年，公司通航飞机创新制造业务实现营收28.14亿元，同比+1.62%，全年持续以飞机创新制造为核心，不断强化“研发-授权/技术转让-整机制造和销售-售后服务”经营模式。通航飞机订单充足，MPP 特种用途高附加值机型订单取得突破，销售业务持续优化，高附加值机型生产工艺持续改进，开发新供应链配套以为克服飞机产能和交付，同时持续推进 eVTOL、eDA40、DART 系列新机型研发工作。收购Volocopter核心资产，eVTOL业务静待花开2025年3月11日，公司公告称已收购全球 eVTOL 领域的先驱企业Volocopter核心资产，实现了城市内空中交通和城际空中交通解决方案的产品布局，现阶段公司努力推进部分 eVTOL机型适航取证，并力争满足欧洲航空安全局（EASA）制定的最严格的航空标准。艾瑞咨询预计，2028年前后，低空经济将商业化推广阶段，公司自2020年就积极发展通航制造业务，并大力推进eTOVL的相关研发，未来有望成为商业化阶段的主导力量。投资建议与盈利预测我们预计公司 2025-2027年营收分别为178.12/193.32/205.62亿元，归母净利润分别为10.00/11.65/13.01亿元，对应EPS为0.47/0.55/0.61元/股，对应PE估值分别为35/30/27倍，维持“增持”评级。风险提示宏观经济及行业波动风险、国际贸易壁垒风险、原材料及能源价格波动风险、汇率波动风险、国内通航空域开放程度不及预期风险。,,国元证券,增持,[None],2025-05-19,,增持,6063798,pdf_downloads/2025/2025-05-19/002085-万丰奥威（002085）：2024年报及2025年一季报点评：传统业务稳健发展，低空业务未来可期.pdf,002085,万丰奥威,万丰奥威（002085）：2024年报及2025年一季报点评：传统业务稳健发展，低空业务未来可期
