author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
张洋,2025年中报概况:华安证券2025年上半年实现营业收入28.08亿元，同比+43.09%；实现归母净利润10.35亿元，同比+44.94%；基本每股收益0.22元，同比+46.67%；加权平均净资产收益率4.52%，同比+1.19个百分点。2025年半年度拟10派0.40元（含税）。点评：1.2025H公司投行业务净收入、投资收益（含公允价值变动）占比出现提高，经纪及资管业务净收入、利息净收入、其他收入占比出现下降。2.财富管理业务深入推进转型，机构经纪业务实现高增，合并口径经纪业务手续费净收入同比+45.54%。3.股权融资业务实现IPO项目落地，债权融资规模明显回升，合并口径投行业务手续费净收入同比+248.48%。4.券商资管业务坚定权益投资转型，合并口径资管业务手续费净收入同比-2.47%。5.固收自营获取超额收益，金融创新业务收入占比进一步提升，合并口径投资收益（含公允价值变动）同比+77.28%。6.两融余额小幅下滑，质押规模小幅回升，合并口径利息净收入同比-6.92%。投资建议:报告期内公司深入推进财富管理转型，各项指标稳中有进，机构经纪业务保持高速发展；券商资管业务坚定权益投资转型，主要指标排名中小券商前列，私募基金业务具备较强的差异化竞争实力；权益自营实现整体稳定收益，固收自营实现超额收益，创新型业务收入占比进一步提升，自营业务同比实现高增。2025年上半年公司营收、净利创上市以来同期最好水平。预计公司2025、2026年EPS分别为0.39元、0.40元，BVPS分别为4.93元、5.16元，按9月4日收盘价6.22元计算，对应P/B分别为1.26倍、1.21倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.股价短期波动风险；3.资本市场改革的政策效果不及预期；4.超预期事件导致公司的盈利预测与实际经营业绩产生明显偏差,,中原证券,增持,[None],2025-09-05,,增持,6395492,pdf_downloads/2025/2025-09-05/600909-华安证券（600909）：营收、净利创上市以来同期最好水平.pdf,600909,华安证券,华安证券（600909）：营收、净利创上市以来同期最好水平
"彭皓辰,刘丽,孙田田",事件点评业绩全面改善，投资与投行业务大幅增长。公司上半年经纪业务、投行业务、投资业务均实现较大程度改善，其中，投资业务实现收入10.83亿元，同比增长68.36%；实现代理买卖证券业务净收入6.36亿元，同比增长45.59%；实现投行业务收入1.15亿元，同比增长245.85%，资管业务收入2.76亿元，小幅下滑2.61%。财富管理转型深入推进，基金投顾贡献增长。公司围绕产品与资产供应体系、投资顾问服务体系、科技赋能体系、客群发展体系、组织人才体系建设深入推进财富管理转型，基金投顾相关收入增长贡献显著。上半年公司代销金融产品业务收入4325万元，同比增长52.65%；投资咨询业务收入5187万元，同比增长129%。客户端APP月活人数60.37万，同比增长24.69%。自营增加权益配置，股权投资收入大幅增长。公司自营业务以“绝对收益”为目标，以配置型策略和交易型策略获取收益。固定收益业务通过目标久期动态调节，优化政策与市场双轮驱动下的仓位管理。上半年交易性金融资产较年初下降22%至286.42亿元，其中债券下降37.45%至159.89亿元，股票增长94.28%至16.30亿元。其他债权投资规模较年初增长60.10%至224.85亿元，其他权益投资规模较年初减少18.37%至21.75亿元，投资净收益同比增长133.67%达11.58亿元。股权投资方面，子公司华安嘉业实现利润总额1.06亿元，月均实缴规模排名第10位，较上年度同期提升3位。IPO项目实现突破，投行业务大幅增长。上半年公司完成1单创业板IPO项目、1单深交所上市公司重大资产出售项目、1单新三板挂牌项目、2单新三板定向发行项目，较上年同期大幅增长，带动投行业绩大幅改善。投资建议公司受益资本市场回暖，投资与投行业务大幅改善，基金投顾发展迅速。预计公司2025-2027年归母净利润分别为19.33亿元、22.27亿元、25.52亿元，同比增长30.11%/15.23%/14.60%，PB分别为1.21/1.13/1.04，维持“增持-A”评级。风险提示金融市场大幅波动，资本市场改革政策推进不及预期，公司出现较大风险事件，业务推进不及预期。,,山西证券,增持-A,[None],2025-09-02,,增持,6382666,pdf_downloads/2025/2025-09-02/600909-华安证券（600909）：投行业务突破，自营投资驱动增长.pdf,600909,华安证券,华安证券（600909）：投行业务突破，自营投资驱动增长
张洋,2024年年报概况:华安证券2024年实现营业收入45.43亿元，同比+24.40%；实现归母净利润14.86亿元，同比+16.56%；基本每股收益0.32元，同比+18.52%；加权平均净资产收益率6.81%，同比+0.61个1.16百分点。2024年拟10派1.00元（含税）。点评：1.2024年公司投资收益（含公允价值变动）、其他收入占比出现提254.97高，经纪、投行、资管业务净收入以及利息净收入占比出现下降。2.零售经纪业务抢抓机遇拓宽业务来源，持续做大机构经纪业务规模，合并口径经4.71纪业务手续费净收入同比+11.59%。3.股权融资抢抓并购重组业务机会，债权融资规模降幅明显，合并口径投行业务手续费净收入同比-18.58%。4.券224.51商资管品牌影响力持续提升，合并口径资管业务手续费净收入同比6.81+12.70%，再创历史新高。5.自营业务同比高增，合并口径投资收益（含公46.78允价值变动）同比+70.31%，连续第二年实现较大幅度增长。6.年末两融余0.00额创近年来新高，股票质押规模小幅下降，合并口径利息净收入同比-34.75%。投资建议:报告期内公司零售经纪抢抓机遇拓宽业务来源，持续做大机构经纪规模，加速打造财富管理“第二增长曲线”；券商资管强化“固收+”特色，手续费净收入再创历史新高，相对优势持续巩固；自营业务加速从方向型向交易型、多元化、策略化转型，固定收益投资收益率长期保持业内较高水平。公司近年来业绩稳步增长，目前主要经营指标已跻身行业前2025.0430位左右，部分业务指标进入行业前20位，保持了连续争先进位的发展势头。预计公司2025年、2026年EPS分别为0.32元、0.34元，BVPS分别为4.91元、5.11元，按4月21日收盘价5.45元计算，对应P/B分别为1.11倍、1.07倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2025-04-22,,增持,6019952,pdf_downloads/2025/2025-04-22/600909-华安证券（600909）：2024年年报点评：资管品牌影响持续提升，自营驱动业绩稳步增长.pdf,600909,华安证券,华安证券（600909）：2024年年报点评：资管品牌影响持续提升，自营驱动业绩稳步增长
张洋,2024年中报概况:华安证券2024年上半年实现营业收入19.62亿元，同比+2.95%；实现归母净利润7.14亿元，同比+8.65%；基本每股收益0.15元，同比+7.14%；加权平均净资产收益率3.33%，同比+0.12个百分点。2024年半年度不分配、不转增。点评：1.2024H公司资管业务净收入、投资收益（含公允价值变动）、其他收入占比出现提高，经纪、投行、利息净收入占比出现下降。2.机构经纪业务保持增长，代买净收入降幅优于行业，合并口径经纪业务手续费净收入同比-13.29%。3.投行业务总量同比明显下滑，合并口径投行业务手续费净收入同比-15.38%。4.集合产品规模大幅提升，券商资管规模保持快速增长，合并口径资管业务手续费净收入同比+25.22%。5.通过多策略多资产配置实现较高的自营投资收益，合并口径投资收益（含公允价值变动）同比+20.98%。6.两融余额随市小幅下滑，进一步压降股票质押规模，合并口径利息净收入同比-41.70%。投资建议:报告期内公司机构交易资产、股基交易量及占比保持增长；券商资管规模保持快速增长，手续费净收入全年有望再创新高，相对优势持续巩固；自营业务通过多策略多资产配置实现了较高的投资收益。公司近年来业绩稳定性较强，目前主要经营指标已跻身行业前三分之一位次，部分业务指标进入行业前20位，在中小券商中已有逐步脱颖而出之势。预计公司2023、2024年EPS分别为0.29元、0.31元，BVPS分别为4.57元、4.76元，按10月11日收盘价5.61元计算，对应P/B分别为1.23倍、1.18倍，维持“增持”的投资评级。风险提示：1.固收市场波动导致公司业绩改善的程度不及预期；2.股价短期波动风险；3.资本市场改革的政策效果不及预期,,中原证券,增持,[None],2024-10-14,,增持,5787532,pdf_downloads/2024/2024-10-14/600909-华安证券（600909）：2024年中报点评：资管保持快速增长，自营实现较高投资收益.pdf,600909,华安证券,华安证券（600909）：2024年中报点评：资管保持快速增长，自营实现较高投资收益
"Ting Sun,Wangjie OU,Nicole Zhou",投资要点：公司不断发力财富管理转型，不断深化主动管理转型，带动代销金融产品规模、资管收入的持续提升。目标价5.66元/股，维持“优于大市”评级。【事件】华安证券发布2024年上半年业绩：实现营业收入19.6亿元，同比+3.0%；归母净利润7.1亿元，同比+8.6%；对应EPS 0.15元，ROE 3.3%，同比+0.1pct。第二季度实现营业收入11.3亿元，同比+29.7%，环比+35.8%；归母净利润4.3亿元，同比+48.3%，环比+55.6%。加速从单一股票赛道向“股票+财富管理”双赛道转型。2024年上半年经纪业务收入4.4亿元，同比-13.4%，占营业收入比重27.2%。全市场日均股基交易额9616亿元，同比-6.4%。公司代销金融产品收入2820万元，同比-20.6%，占经纪业务收入6.5%。公司两融余额92亿元，较年初-11%，市场份额0.6%，较年初-0.01pct。从项目投行向客户投行、产业投行、资本投行转变。2024年上半年投行业务收入3318万元，同比-15.6%。债券主承销规模65亿元，排名第58，同比-54.5%；其中公司债、ABS、企业债承销规模分别为57亿元、5亿元、2亿元。IPO储备项目创业板1家，排名第40。集合产品规模大幅提升。2024年上半年资管业务收入2.8亿元，同比+25.0%。资产管理规模超800亿元。公司资产管理业务深入挖掘营业部渠道销售需求，丰富分支机构产品定制模式，集合产品规模大幅提升；重点拓展银行客户委外业务，单一产品规模触底反弹，首单保险资金业务成功落地；持续推进华安资管展业申请工作。自营逆市取得正增长。2024年上半年投资收益（含公允价值）6.4亿元，同比+31.5%；第二季度投资收益（含公允价值）3.8亿元，同比+101.3%。公司权益投资业务围绕架构调整理顺资产配置模式，实现灵活与稳定策略的平衡；固定收益业务持续向“策略化投研、模块化管理”的FICC投研体系转型。投资建议：我们估算公司2024/25/26E归母净利润分别为12.45亿元、13.53亿元，14.76亿元，分别同比-5%/+6%/+6%，EPS分别为0.27、0.29、0.31元，BVPS分别为4.72、4.97、5.23元。使用可比公司估值法对公司进行估值，给予其2024年1.2xPB，对应目标价5.66元/股，维持“优于大市”评级。风险提示：市场持续低迷导致业务规模下滑，市场监管进一步加强。,,海通国际证券,优于大市,[None],2024-09-02,,买入,5750963,pdf_downloads/2024/2024-09-02/600909-华安证券（600909）：自营带动归母净利润实现正增长.pdf,600909,华安证券,华安证券（600909）：自营带动归母净利润实现正增长
张洋,2023年年报概况:华安证券2023年实现营业收入36.52亿元，同比+15.60%；实现归母净利润12.74亿元，同比+7.78%；基本每股收益0.27元，同比+8.00%；加权平均净资产收益率6.20%，同比+0.22个百分点。2023年拟10派1.00元（含税）。点评：1.2023年公司投资收益（含公允价值变动）、其他收入占比出现提高，经纪、投行、资管、利息净收入占比出现下降。2.代理买卖证券业务净收入随市小幅下滑，机构经纪业务各项指标增势喜人，合并口径经纪业务手续费净收入同比-5.94%。3.股权融资规模出现较大幅度下滑，各类债券主承销金额增幅明显，合并口径投行业务手续费净收入同比-28.48%。4.券商资管规模持续增长，市场竞争软实力稳中有进，合并口径资管业务手续费净收入同比+0.83%，再创历史新高。5.金融工具投资收益同比出现下滑，公允价值变动收益实现显著改善，合并口径投资收益（含公允价值变动）同比+61.26%。6.两融规模小幅增加，进一步压降股票质押规模，合并口径利息净收入同比-6.62%。投资建议:报告期内公司机构客户增势喜人，合并口径经纪业务手续费净收入降幅优于行业；资管业务打造“固收+”特色，手续费净收入再创历史新高；自营业务加速从方向型向交易型、多元化、策略化转型，固收投资收益率保持业内较高水平。公司长期以来保持稳中有进、进中向好的发展态势，目前主要经营指标已跻身行业前三分之一位次，部分业务指标进入行业前20位，在中小券商中已有逐步脱颖而出之势。预计公司2024、2025年EPS分别为0.24元、0.27元，BVPS分别为4.57元、4.76元，按4月11日收盘价4.57元计算，对应P/B分别为1.00倍、0.96倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.投资端改革的政策效果不及预期,,中原证券,增持,[None],2024-04-12,,增持,5584256,pdf_downloads/2024/2024-04-12/600909-华安证券（600909）：2023年年报点评：机构客户增势喜人，资管业务收入再创新高.pdf,600909,华安证券,华安证券（600909）：2023年年报点评：机构客户增势喜人，资管业务收入再创新高
"Ting Sun,VIvian Xu",投资要点：公司不断发力财富管理转型，不断深化主动管理转型，带动代销金融产品规模、资管收入的持续提升。目标价5.68元/股，维持“优于大市”评级。【事件】华安证券发布2023年年度业绩：实现营业收入36.5亿元，同比+15.6%；归母净利润12.7亿元，同比+7.9%；对应EPS 0.27元，ROE 6.2%，同比+0.3pct。公司经纪/投行/资管/利息/自营收入占比分别为26%/3%/13%/12%/25%。2023年第四季度实现营业收入9.3亿元，同比+22.8%，环比+14.4%；归母净利润3.2亿元，同比+40.5%，环比+4.3%。打造“金基汇”“私募荟”等服务品牌，代销金融产品收入大增。2023年公司经纪业务收入9.7亿元，同比-6.0%，占营业收入比重26.4%。全市场日均股基交易额9625亿元，同比-4.0%。公司代销金融产品收入0.58亿元，同比大幅+112.5%，占经纪业务收入6.0%。公司两融余额104亿元，较年初+15%，市场份额0.63%，同比0.04pct。地方政府债和私募债需求增加，推动债券承销总额增长。2023年公司投行业务收入1.1亿元，同比-28.7%。股权业务承销规模同比-86.6%，债券业务承销规模同比+38.4%。股权主承销规模10.5亿元，排名第59，为再融资3家。债券主承销规模280亿元，排名第42；其中公司债、金融债、企业债承销规模分别为127亿元、91亿元、49亿元。IPO储备项目2家，排名第42，均为创业板。集合产品销售规模大幅增长，积极申请资管子公司。2023年公司资管收入4.9亿元，同比+0.7%。主动管理规模6.07亿元，同比+10.5%。公司集合产品销售规模大幅增长，固收产品净值总体呈现上涨势头，市场竞争软实力稳中有进。公司积极筹备申请设立资管子公司事宜，并于2023年9月获证监会核准批复。自营表现较好，推动公司整体业绩提升。2023年公司投资收益（含公允价值）9.0亿元，同比+45.5%；2023年第四季度投资收益（含公允价值）1.7亿元，同比+81.1%。公司权益投资坚持绝对收益导向，固定收益业务持续推进以“模型化”“策略化”为核心的FICC投研体系改造，在稳定收益、稳健杠杆前提下扩大营运资金规模，较好发挥了基础收益保障作用。投资建议：我们估算公司2024/25/26E归母净利润分别为13.61亿元、14.45亿元，15.46亿元，分别同比+7/+6%/+7%，EPS分别为0.29、0.31、0.33元，BVPS分别为4.73、4.99、5.27元（原2024-25EPS预测为 0.36、0.38元，BVPS分别为4.84、5.13元）。使用可比公司估值法对公司进行估值，给予其2024年1.2xPB（原为2023年1.2x），对应目标价5.68元/股，维持“优于大市”评级。风险提示：市场持续低迷导致业务规模下滑，市场监管进一步加强。,,海通国际证券,优于大市,[None],2024-04-01,,买入,5567957,pdf_downloads/2024/2024-04-01/600909-华安证券（600909）：自营收入大增，归母净利润+7.9%.pdf,600909,华安证券,华安证券（600909）：自营收入大增，归母净利润+7.9%
张洋,华安证券(600909)2023年中报概况:华安证券2023年上半年实现营业收入19.06亿元，同比+15.63%；实现归母净利润6.57亿元，同比-9.16%。基本每股收益0.14元，同比-6.67%；加权平均净资产收益率3.21%，同比-0.45个百分点。2023年半年度不分配、不转增。点评：1.2023H公司投资收益（含公允价值变动）、其他收入占比出现提高，经纪、投行、资管、利息净收入占比出现下降。2.经纪业务手续费净收入同比-3.41%，降幅优于行业。3.股权融资规模大幅回落，债权融资规模同比高增，投行业务手续费净收入同比-55.17%。4.券商资管主动管理规模稳中有升，资管业务手续费净收入同比-3.00%。5.信用债投资获得可观的超额收益，固收业务投资收益率超5%，投资收益（含公允价值变动）同比+52.34%。6.信用业务总规模稳中有升，利息净收入同比-3.46%。投资建议:报告期内公司机构客户业务保持增长，经纪业务手续费净收入降幅优于行业；资管业务整体已排名行业前列；固收自营把握市场机会获得超额收益，推动投资收益（含公允价值变动）同比高增。报告期内公司净利虽有小幅回落，但近年来业绩稳定性已领先中小券商。预计公司2023、2024年EPS分别为0.24元、0.26元，BVPS分别为4.34元、4.51元，按9月7日收盘价4.87元计算，对应P/B分别为1.12倍、1.08倍，维持“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.全面深化资本市场改革的进度及力度不及预期,,中原证券,增持,[None],2023-09-08,,增持,5321124,pdf_downloads/2023/2023-09-08/600909-华安证券（600909）2023年中报点评：经纪、资管优于行业，固收自营业绩优异.pdf,600909,华安证券,华安证券（600909）2023年中报点评：经纪、资管优于行业，固收自营业绩优异
张洋,华安证券(600909)2022年年报概况:华安证券2022年实现营业收入31.59亿元，同比-9.31%；实现归母净利润11.81亿元，同比-17.04%。基本每股收益0.25元，同比-24.24%；加权平均净资产收益率5.98%，同比-2.41个百分点。2022年拟10派1.00元（含税）。点评：1.2022年公司资管、其他业务净收入占比出现提高，经纪、投行、利息、投资收益（含公允价值变动）占比出现下降。2.代理买卖净收入随市小幅下滑，代销金融产品规模同比增长，经纪业务手续费净收入同比-15.40%。3.母公司投行业务总量创恢复发展以来新高，投行业务手续费净收入同比-21.00%。4.资管产品布局更趋完善，渠道资源持续拓展，资管业务手续费净收入同比+12.04%，创历史新高。5.权益自营提高非方向性投资比重，固收自营投资收益同比增长，投资收益（含公允价值变动）同比-16.56%。6.两融规模小幅回落，持续大幅压降质押规模，利息净收入同比-25.62%。投资建议:公司上市以来保持稳中有进、进中向好的发展态势，主要经营指标已跻身行业前三分之一位次，部分业务指标进入行业前列。2022年公司资管业务收入创历史新高；自营业务去方向效果良好，固收自营同比保持增长；整体经营业绩下滑幅度优于行业，业绩稳定性领先中小券商。作为安徽省国有骨干企业，公司具备鲜明的区域优势及差异化的竞争优势。预计公司2023、2024年EPS分别为0.27元、0.28元，BVPS分别为4.34元、4.51元，按4月6日收盘价4.94元计算，对应P/B分别为1.14倍、1.10倍，首次覆盖给予“增持”的投资评级。风险提示：1.权益及固收市场环境转弱导致公司业绩出现下滑；2.市场波动风险；3.全面深化资本市场改革的进度及力度不及预期,,中原证券,增持,[None],2023-04-07,,增持,5167361,pdf_downloads/2023/2023-04-07/600909-华安证券（600909）2022年年报点评：资管业务收入、投行业务总量创历史新高.pdf,600909,华安证券,华安证券（600909）2022年年报点评：资管业务收入、投行业务总量创历史新高
"孙婷,VIvian Xu",【事件】华安证券发布2022年年度业绩：实现营业收入31.6亿元，同比-9.3%；归母净利润11.8亿元，同比-17.0%；对应EPS 0.25元，ROE 6.0%。经纪、投行、资管、利息、自营占营业收入分别为33%/5%/15%/14%/20%。第四季度实现营业收入7.6亿元，同比 -37.9%。归母净利润2.2亿元，同比-50.8%；公司净利润虽然下滑，但是在行业中排名上升7名至第29名。不断发力财富管理转型，发行首单香草结构浮动收益凭证。公司2022年实现经纪业务收入10.3亿元，同比-15.4%，占营业收入32.5%。2022年上半年公司代销金融产品收入2733万元，同比 -19.5%，占经纪业务收入2.66%。代销金融产品规模69亿元，同比+23%。公司两融余额90.4亿元，同比-11.1%，市场份额0.6%。2022年公司不断发力财富管理转型，客户分类分级体系设计完成，基金投顾“鑫易投”上线展业，首单香草结构浮动收益凭证发行。股权承销规模大幅增长，实现安徽省内美元债发行零的突破。2022年投行业务收入1.6亿元，同比-20.9%。股权业务承销规模同比+187%，债券业务承销规模同比+10.2%。股权主承销规模78.2亿元，排名第31；其中IPO 1家，募资规模5亿元；再融资3家，承销规模73亿元。债券主承销规模202亿元，排名第46；其中金融债、公司债、企业债承销规模分别为103亿元、65亿元、33亿元。IPO储备项目2家，排名第39，2家都在科创板。2022年，公司通过深化区域网格化管理，密切各业务合作渠道，成功助力企业完成上市改制、并购重组、再融资等项目，成功发行安徽省内首单乡村振兴债、创新创业金融债、新型城镇化专项债。境外业务发展空间持续拓展，2022年公司全资子公司华安金控参与承销 8 单中资美元债，实现省内美元债发行零的突破。大集合公募化改造工作全部完成，代销规模增长显著。2022年资管业务实现收入4.8亿元，同比+12.2%。公司主动管理规模549亿元，同比-6.7%。公司资产管理业务稳中有进，大集合公募化改造全面完成；产品创新能力不断增强，产品布局更趋完善。面对低迷的市场环境和较大的产品规模压力，公司适时调整管理策略，渠道资源持续拓展，代销规模增长显著。不断优化投资决策机制，在稳定收益、稳健杠杆前提下扩大营运资金规模。2022年公司实现投资收益（含公允价值）6.2亿元，同比 -21.1%；四季度投资收益（含公允价值）0.9亿元，同比-65.6%。公司始终坚持绝对收益理念，不断优化投资决策机制，降低投资收益波动冲击；积极发挥自营业务在公司大类资产配置的作用，在稳定收益、稳健杠杆前提下扩大营运资金规模。投资建议：我们估算公司2023/24/25E归母净利润分别为15.75亿元、16.84亿元，17.93亿元，分别同比+33%/+7%/+7%，EPS分别为0.34、0.36、0.38元，BVPS分别为4.57、4.84、5.13元。使用可比公司估值法对公司进行估值，给予其2023年1.2xPB，对应目标价5.48元/股，维持“优于大市”评级。风险提示：市场持续低迷导致业务规模下滑，市场监管进一步加强。,,海通国际证券,优于大市,[None],2023-04-03,,买入,5163182,pdf_downloads/2023/2023-04-03/600909-华安证券（600909）：不断发力财富管理转型，金融产品销售规模同比+23%.pdf,600909,华安证券,华安证券（600909）：不断发力财富管理转型，金融产品销售规模同比+23%
