author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"宋博,杨天昊",首次覆盖给予“增持”评级，目标价34.16元。我们预计公司2025~2027年归母净利润分别为7.57亿元/7.89亿元/9.56亿元，对应EPS分别为0.61/0.64/0.77元。基于可比公司PE/PB估值方法，结合公司在雷达整机与子系统、轨道交通控制系统、工业软件及智能制造等领域的行业地位与技术优势，按照2025年56倍PE，给予公司目标价34.16元，给予“增持”评级。雷达主业筑基，军民融合需求共振。公司深耕雷达整机与子系统领域，产品覆盖防务雷达、气象雷达、空管雷达及低空监视等多个方向，在军工信息化、国防现代化和民用公共安全体系建设中具备重要地位。全球国防预算持续上行、我国武器装备信息化建设稳步推进；同时，气象、水利、空管及低空经济等民用领域政策密集落地，推动雷达装备向相控阵化、数字化、智能化升级。预计2025–2027年雷达整机与子系统业务营收保持稳健增长，仍将是公司收入与利润的核心支柱。工业软件与智能制造及智慧轨交共同构成公司重要的第二增长曲线。工业软件与智能制造业务受益于国产替代深化与制造业数字化转型提速，公司围绕工业产品全生命周期打造“REACH睿知”工业软件与“REASY睿行”智能制造装备体系，在航天、航空、船舶等领域形成示范应用。智慧轨交方面，公司以信号系统为核心，构建完整产品谱系，技术水平达国际先进，短期承压于新建线路放缓，但在存量改造与智能化升级趋势下，业绩修复与稳健增长可期。技术体系成势，研发投入夯实长期竞争力。公司持续加大研发投入，2024年研发费用率达6.65%，在数字化有源相控阵雷达、工业软件平台、智能制造装备及轨道交通安全计算等关键领域取得多项突破。研发团队规模和高学历占比持续提升，为公司在雷达装备、工业软件和智慧轨交多业务协同发展提供坚实支撑。催化剂：出口雷达建设加速；轨道交通智能化投资回暖。风险提示：国防及轨交投资节奏不及预期；雷达及工业软件项目交付延迟。,,国泰海通,增持,[None],2025-12-31,,买入,8304809,pdf_downloads/2025/2025-12-31/600562-国睿科技（600562）：雷达装备龙头夯实主业，工业软件与智慧轨交拓展新空间.pdf,600562,国睿科技,国睿科技（600562）：雷达装备龙头夯实主业，工业软件与智慧轨交拓展新空间
杨晨,投资逻辑：雷达是需求广阔的军民用领域重要探测设备，公司防务和民用型号齐全。1）雷达通过发射电磁波探测目标，是军用和民用领域中的重要探测设备。2）防务雷达包括机载、陆基、舰载和星载等，新装与升级需求驱动增长。以美国机载雷达为例，主力战机典型雷达型号均有千台左右交付，需求广阔。3）气象雷达受益于水利部“三道防线”建设及超长期特别国债；空管雷达受益于低空建设。4）公司控股股东电科十四所是中国雷达工业的发源地，公司作为十四所上市平台，防务和民用雷达多谱系发展。防务公司以国际化经营为导向，受益于雷达军贸扩张。1）全球军费支出连续10年增长并创历史最高，印巴冲突中使用多款中械雷达，实战检验有望进一步驱动我国雷达军贸出口。2）公司子公司国睿防务以国际化经营为导向，2020年重组时十四所将已获得出口许可的全部外销型号和对应内销型号划转国睿防务，涵盖三代半战机火控雷达、反隐身情报雷达、武器定位雷达等，并承诺避免同业竞争。3）国睿防务2021-2024年净利润CAGR达到14.3%；2025年上半年净利率25.7%，盈利能力显著高于同业公司。工业软件提供全生命周期解决方案，轨交向运维调整。1）子公司国睿信维为航空、航天、电子、船舶等高端装备制造业提供覆盖产品全生命周期的自主工业软件及智能制造整体解决方案，自主工业软件品牌“REACH睿知”，与雷达主业形成协同。2）子公司恩瑞特从事轨道交通控制系统业务，业务重心向提供运维服务、系统升级改造及运维管理平台解决方案调整。盈利预测、估值和评级预计公司2025-2027年实现营业收入37.2亿/40.8亿/48.8亿元，同比+9.4%/+9.6%/+19.7%，归母净利润6.9亿/7.9亿/10.0亿元，同比+9.0%/+14.3%/+27.4%，对应EPS为0.55/0.63/0.81元。考虑到公司是国内防务雷达龙头，军贸业务的卡位优势突出，成长性较强，给予公司2026年60倍估值，对应目标价37.92元。首次覆盖给予“买入”评级。风险提示军贸拓展不及预期；内需不及预期；市场竞争加剧风险；应收账款及应付账款较高风险；存货周转风险。,,国金证券,买入,[None],2025-12-21,,买入,8268322,pdf_downloads/2025/2025-12-21/600562-国睿科技（600562）：国内防务雷达龙头，受益军贸乘风起.pdf,600562,国睿科技,国睿科技（600562）：国内防务雷达龙头，受益军贸乘风起
"苏立赞,许牧,高正泰",盈利质量稳健提升，利润结构持续优化。截至2025年前三季度，国睿科技实现营业总收入21.18亿元，同比增长6.68%；归属母公司股东的净利润为3.73亿元，同比增长1.15%，扭转了2024年同期下滑态势，显示经营基本面逐步企稳。公司销售毛利率为40.08%，与去年同期基本持平，销售净利率为17.57%，虽略有下降，但仍维持在较高水平，反映出主业盈利能力具备韧性。费用端方面，研发费用达1.19亿元，虽同比微降2.72%，但投入保持稳定，体现公司对技术创新的持续重视；销售费用0.45亿元、管理费用0.81亿元，分别同比下降14.88%和11.39%，表明公司在控费增效方面取得成效。值得注意的是，财务费用因利息收入减少而显著上升，但整体利润结构以主营业务为主，非经常性损益仅0.09亿元，扣非净利润同比增长1.13%。资产负债结构健康，资产运营效率稳步改善。截至2025年三季度末，公司资产负债率为33.62%，较去年同期微降，整体杠杆水平保持稳健。有息负债方面，短期借款为2.05亿元，一年内到期的非流动负债0.10亿元，虽短期债务有所上升，但占总负债比例仍较低，偿债压力可控。应收账款为45.42亿元，同比增长22.43%，略快于收入增速，但结合“销售商品、提供劳务收到的现金”达19.60亿元，回款能力实际有所增强，信用风险整体可控。存货为20.99亿元，同比基本持平，库存管理趋于稳定。合同负债为4.49亿元，虽同比下降21.45%，但结合在手订单及预收结构，未来收入仍具一定可见度。固定资产1.86亿元、在建工程无新增，显示公司当前以轻资产运营为主，资本开支节奏理性，资产质量良好。现金流表现显著改善，盈利变现能力明显增强。2025年前三季度，公司经营活动产生的现金流量净额为-0.42亿元，虽仍为净流出，但同比大幅改善，主要得益于销售回款提速及税费支付节奏优化。投资活动现金净流出0.11亿元，其中购建固定资产等长期资产支付0.11亿元，资本开支极为克制，符合当前轻资产策略。筹资活动现金净流入4.32亿元，主要来自吸收投资6.00亿元及新增借款1.80亿元，有效补充了营运资金。盈利预测与投资评级：公司业绩符合预期，我们基本维持先前的预测，预计公司2025-2027年的归母净利润分别为7.52/8.55/9.70亿元，对应PE分别为48/43/38倍，维持“增持”评级。风险提示：1）宏观经济风险；2）民航业相关需求受其他交通方式发展冲击的风险；3）市场竞争加剧的风险；4）商誉减值风险。,,东吴证券,增持,[None],2025-10-28,,增持,6909023,pdf_downloads/2025/2025-10-28/600562-国睿科技（600562）：雷达主业稳健增长、费用管控优化.pdf,600562,国睿科技,国睿科技（600562）：雷达主业稳健增长、费用管控优化
"鲍学博,王兴,朱雨时,田莫充",国睿科技发布三季报：Q3实现营收3.97亿元（yoy-6.98%，qoq-70.77%），归母净利2293.06万元（yoy+1.17%，qoq-91.64%）。2025年Q1-Q3实现营收21.18亿元（yoy+6.68%），归母净利3.73亿元（yoy+1.15%），扣非净利3.64亿元（yoy+1.13%）。考虑到今年是“十四五”最后一年，国防建设需要按计划完成，且国际军贸市场对防空反导系统需求有所提升，国内在气象探测、水利监测等领域对雷达的需求也维持高位，我们预计公司全年将实现稳健增长。维持“买入”评级。毛利率和费用率小幅下降，现金流大幅好转前三季度公司毛利率为40.08%，较去年同期减少0.08pct，管理费用率/销售费用率/研发费用率/期间费用率分别为3.83%/2.12%/5.61%/13.16%，同比-0.78pct/-0.54pct/-0.55pct/-0.20pct。前三季度公司经营性净现金流为-0.42亿元，去年同期为-6.44亿元，明显好转。低空经济打开成长空间，已取得项目订单25年公司大力发展低空经济等战略性新兴产业，先后与多家政府及企事业单位确立了战略合作伙伴关系，并已取得了低空项目订单。公司充分发挥传统雷达领域的技术优势，打造低空经济“天织”计划，包括“天行|蜘蛛网”低空监视反制系统、“天行|雨燕”低空气象保障系统、“天行|巡隼”飞行应用系统，赋能低空安防、气象保障、飞行安全关键应用。随着低空产业发展，公司有望持续受益。雷达业务发展向好，国内外+多领域出现需求共振今年以来公司承接了我国风云系列气象卫星地面系统建设，微波器件产品在星网系统建设中得以应用，并牵头成立南京市商业航天（卫星）创新联合体，打开了航天领域新兴市场；公司深耕国际市场，持续加强业务拓展，提升公司高端雷达装备的国际影响力。国内市场方面，公司成功中标山东省气象雷达国债项目，巩固公司在山东地区的市场地位；顺利完成空管一、二次雷达项目验收，空管雷达业务稳步推进；中标机场反无人机雷达项目，在低空监视领域取得积极进展。盈利预测与估值我们维持公司25-27年归母净利润为7.34/9.06/10.70亿元（三年复合增速为19.31%）的盈利预测，对应EPS为0.59/0.73/0.86元。可比公司26年Wind一致预期PE均值为52倍，给予公司26年52倍PE估值，下调目标价为38.26元（前值41.48元，对应70倍25年PE）。风险提示：产品降价风险，军贸业务不及预期风险。,,华泰证券,买入,[None],2025-10-26,,买入,6790679,pdf_downloads/2025/2025-10-26/600562-国睿科技（600562）：前三季度业绩稳增，长期发展向好.pdf,600562,国睿科技,国睿科技（600562）：前三季度业绩稳增，长期发展向好
"尹会伟,孔厚融",三季报业绩稳健增长，军贸项目交付较好事件：10月24日，公司发布2025年三季报，1~3Q25实现营收21.18亿元，YOY +6.68%；归母净利润3.73亿元，YOY +1.15%；扣非净利润3.64亿元，YOY +1.13%。业绩表现符合预期。公司军贸项目交付较好，营收总体实现稳步增长。我们点评如下：三季度净利润实现增长；前三季度盈利能力稳定。1）单季度：3Q25，公司实现营收3.97亿元，YOY -6.98%；归母净利润0.23亿元，YOY +1.17%；扣非净利润0.23亿元，YOY +0.64%。2）利润率：1~3Q25，公司毛利率同比下滑0.08ppt至40.08%；净利率同比下滑0.96ppt至17.57%，利润率基本保持稳定。其中，3Q25毛利率同比下滑0.75ppt至34.89%；净利率同比提升0.56ppt至5.81%。期间费用率保持在较低水平；经营活动净现金流大幅改善。1~3Q25，公司期间费用率同比减少0.20ppt至13.16%：1）销售费用率同比减少0.54ppt至2.12%；2）管理费用率同比减少0.78ppt至3.83%；3）财务费用率为1.60%，去年同期为-0.06%；4）研发费用率同比减少0.54ppt至5.61%；研发费用1.19亿元，YOY -2.72%。截至3Q25末，公司：1）应收账款及票据47.59亿元，较年初增加10.11%；2）预付款项0.45亿元，较年初增加140.46%；3）存货20.99亿元，较年初增加17.91%；4）合同负债4.49亿元，较年初减少0.53%。1~3Q25，公司经营活动净现金流为-0.42亿元，去年同期为-6.44亿元。军贸业务贡献持续增加；引入战投发展工业软件。1）军贸：近年来，地缘政治紧张态势持续刺激装备升级需求，防务雷达国际市场规模保持稳步增长的态势。公司响应“一带一路”倡议，积极开拓海外项目，持续提升其高端雷达装备在国际市场的影响力。近几年，公司军贸业务新签订单和产品交付情况较好，营收占比有所提升，对利润做出了较好的贡献。2）工业软件：7月1日，公司公告，为了更好地把握工业软件国产化替代及智能制造转型升级带来的历史机遇，引入公司业务发展所需的战略资源，下属控股子公司国睿信维拟通过增资扩股的方式引入战略投资者，募集现金不超过6亿元。投资建议：公司市场地位稳步提升，是雷达技术的行业引领者，持续突破国内、国际市场。同时加快发展新质生产力，谋篇布局第二增长曲线，聚焦低空经济、商业航天、机载气象、机载防撞等战略新兴产业发展需求拓展业务。我们预计，公司2025~2027年归母净利润分别是7.34亿元、8.54亿元、9.94亿元，当前股价对应2025~2027年PE分别是49x/42x/36x。我们考虑到公司在传统雷达领域的优势及在战略新兴产业的拓展，维持“推荐”评级。风险提示：下游需求不及预期、国际形势变化、产品价格波动等。,,民生证券,推荐,[None],2025-10-25,,增持,6755291,pdf_downloads/2025/2025-10-25/600562-国睿科技（600562）：三季报业绩稳健增长，军贸项目交付较好.pdf,600562,国睿科技,国睿科技（600562）：三季报业绩稳健增长，军贸项目交付较好
吴爽,事件 公司公布2025 年中报，2025 H1 实现营业收入17.2 亿元，同比增加10%，归母净利润3.5 亿元，同比增加1%，其中，2025 年Q2 单季度实现营业收入13.6 亿元，同比增加36%，环比增加274%，归母净利润2.7 亿元，同比增加19%，环比增加264%。 费用略有增加，经营稳健，利润受汇兑损益和计提减值等影响2025H1 公司毛利率为41.28%，同比下滑0.12pct，净利率为20.28%，同比下滑1.89pct，期间费率为10.30%，同比增加0.47pct，管理/研发/财务/销售费用率同比-0.94/-0.21/+1.96/-0.34pct。本期由于美元汇率变动，产生汇兑损失2138.79 万元，同时公司计提信用以及资产减值共1.19 亿元，对整体利润产生一定影响，导致利润增速小于营收增速。 G 端业务继续承压，主营雷达业务受益军贸显著增长25H1 公司雷达整机和子系统业务收入15.5 亿元，同比+16.57%，毛利率为42.46%；轨道交通控制系统业务收入0.88 亿元，同比-30.59%，毛利率为23.6%，同比+5.51pct；工业软件及智能制造业务收入0.83 亿元，同比-18.98%，毛利率为37.93%，同比-2.34pct。得益于军贸雷达的持续交付，公司上半年雷达整机及子系统业务营收显著增加，成为公司收入利润的主要增长极。 军贸业务增长外，民用雷达持续布局 民用雷达方面公司成功中标山东省气象雷达国债项目、完成空管一二次雷达项目验收、以及中标机场反无雷达项目；此外公司还承接了我国风云系列气象卫星地面系统建设，微波器件产品在星网系统建设中得以应用；牵头成立南京市商业航天（卫星）创新联合体，民用新方向持续布局推进。 投资建议：维持“买入”评级 全球军费上行军贸行业或核心受益，我们预计公司2025-2027 年营业收入分别为37.30/44.88/49.14 亿元，同比分别+9.70%/+20.32%/+9.48%；归母净利润分别为7.67/9.77/10.80 亿元，同比增速分别为21.81%/27.31%/10.58%。EPS 分别为0 .62/0.79/0.87 元。对应PE分别为 43/34/31 倍，维持“买入”评级。 风险提示：军贸新签订单不及预期；军贸交付节奏波动较大；地缘政治风险加剧。,,国联民生证券,买入,[None],2025-09-10,,买入,6416914,pdf_downloads/2025/2025-09-10/600562-国睿科技（600562）：军贸产品交付带动业绩增长，新业务持续拓展.pdf,600562,国睿科技,国睿科技（600562）：军贸产品交付带动业绩增长，新业务持续拓展
"鲍学博,王兴,朱雨时,田莫充",2025年8月27日│中国内地 其他军工 国睿科技发布半年报，2025年H1实现营收17.21亿元（yoy+10.41%），归母净利3.50亿元（yoy+1.15%），扣非净利3.41亿元（yoy+1.16%）。其中Q2实现营收13.58亿元（yoy+36.23%，qoq+273.65%），归母净利2.74亿元（yoy+19.20%，qoq+264.21%）。考虑到进入“十四五”最后一年，国防建设需要按计划完成，且国际军贸市场对防空反导系统需求有所提升，国内在气象探测、水利监测等领域对雷达的需求也维持高位，我们预计公司全年将实现稳健增长。维持“买入”评级。雷达业务实现稳健增长，轨交和工业软件业务发展向好上半年公司雷达整机及系统业务实现收入15.50亿元，同比增长16.57%，主要因军贸项目交付较好，毛利率为42.46%，同比下降1.25pct。轨道交通业务实现收入0.88亿元，同比下滑30.59%，毛利率为23.60%，同比提升5.51pct；工业软件业务实现收入0.83亿元，同比下滑18.89%，毛利率为37.93%，同比减少2.34pct。轨交业务和工业软件业务虽然收入有所下滑，但业务层面取得了较好进展，工业软件业务把握住了国产化替代机遇，获多行业头部客户订单，完成多个重点项目交付验收。智慧轨交板块，中标石家庄项目实现省外突破，并顺利完成哈尔滨亚冬会保障任务。费用率小幅提升，现金流改善明显25H1公司期间费用率为10.3%，较去年同期提升0.47pct。其中销售费用率1.69%，较去年同期减少0.34pct；销售费用0.29亿元，同比下降8.27%。管理费用0.53亿元，同比减少15.31%，主要因人工和折旧费用减少。研发费用0.76亿元，同比增长5.34%。现金流方面，公司上半年经营活动现金流净额为-0.32亿元，去年同期为-3.61亿元，主要系销售回款增加、采购付款减少。雷达业务发展向好，国内外+多领域出现需求共振雷达装备及相关系统板块，25H1公司承接了我国风云系列气象卫星地面系统建设，微波器件产品在星网系统建设中得以应用，并牵头成立南京市商业航天（卫星）创新联合体，打开了航天领域新兴市场；公司深耕国际市场，持续加强业务拓展，提升公司高端雷达装备的国际影响力。国内市场方面，公司成功中标山东省气象雷达国债项目，巩固公司在山东地区的市场地位；顺利完成空管一、二次雷达项目验收，空管雷达业务稳步推进；中标机场反无人机雷达项目，在低空监视领域取得积极进展。盈利预测与估值我们下调公司25-27年归母净利润（-5.20%/-3.36%/-3.26%）至7.34/9.06/10.70亿元，对应EPS为0.59/0.73/0.86元。下调主要是考虑到公司业务周期较长，收入确认存在滞后，收入规模或低于此前预期。可比公司25年Wind一致预期PE均值为70倍，给予公司25年70倍PE估值，上调目标价为41.48元（前值27.08元，对应44倍25年PE）。风险提示：产品降价风险，军贸业务不及预期风险。,,华泰证券,买入,[None],2025-08-28,,买入,6360061,pdf_downloads/2025/2025-08-28/600562-国睿科技（600562）：业绩稳健增长，雷达业务持续向好.pdf,600562,国睿科技,国睿科技（600562）：业绩稳健增长，雷达业务持续向好
"苏立赞,许牧,高正泰",事件：公司发布2025年中报。公司2025年上半年实现营业收入17.21亿元，同比去年+10.41%；归母净利润3.50亿元，同比去年+1.15%。投资要点国睿科技2025年上半年实现营业收入17.21亿元，同比增长10.41%；归属于上市公司股东的净利润3.50亿元，同比增长1.15%：业绩增长主要得益于军贸项目交付较好，带动整体收入稳步提升。分业务板块看，雷达装备及相关系统业务收入占比最大，其中国际市场拓展成效显著，国内中标山东省气象雷达国债项目、空管雷达及低空监视领域项目，巩固了主业优势；工业软件及智能制造板块抓住国产化替代机遇，中标车企PDM系统重构项目，自主工业软件REACH睿知套件性能持续优化；智慧轨交板块在省外市场取得突破，成功保障哈尔滨地铁亚冬会运营服务。各业务营收结构保持稳定，雷达装备仍是核心支柱，工业软件和轨交业务因技术升级和市场拓展贡献增量，但增速差异受军贸项目周期性交付及民用领域订单节奏影响。2025年上半年，公司毛利率为41.28%，较去年同期下降约0.8个百分点，主要受产品结构变化影响：2025年上半年销售费用率1.68%，管理费用率3.08%，均有所下降，反映费用控制成效。截至2025年上半年经营活动现金流净额为-0.32亿元，较上年同期-3.61亿元大幅改善，主要因销售回款增加1.81亿元且采购付款减少1.80亿元；合同负债4.78亿元，较年初略增，显示在手订单饱满；存货18.01亿元，较年初增加0.21亿元，处于合理水平。2025年上半年财务费用0.19亿元，同比由负转正，主要受美元汇率波动影响产生汇兑损失。整体来看，公司盈利能力保持稳定，现金流改善明显，资产质量健康。2025年上半年，公司持续强化核心竞争力：在雷达领域推出低空智能感知系统整体解决方案，完成X波段相控阵测雨雷达研制，并中标山东省气象雷达国债项目；在工业软件方面，发布全新Foundation平台，形成高性能CAx集成产品，助力汽车、航空等行业客户数字化转型。盈利预测与投资评级：公司业绩符合市场预期，考虑到订单的不确定性，出于谨慎原则，我们下调先前过高的预测，预计公司2025-2026年归母净利润分别为7.52/8.56亿元，前值8.65/10.03亿元，新增2027年预测9.71亿元，对应PE分别为47/42/37倍，维持“增持”评级。风险提示：1）新产品拓展不及预期；2）原材料价格波动；3）技术创新风险；4）宏观政策风险。,,东吴证券,增持,[None],2025-08-27,,增持,6355503,pdf_downloads/2025/2025-08-27/600562-国睿科技（600562）：2025 年中报点评：雷达装备强势表现，核心竞争力持续强化.pdf,600562,国睿科技,国睿科技（600562）：2025 年中报点评：雷达装备强势表现，核心竞争力持续强化
"吴一凡,梁婉怡,吴晨玥,霍鹏浩,卢浩敏,李清影",公司发布2025年中报：1、财务数据：上半年公司实现营业收入17.21亿元，同比增长10.41%，归母净利润3.5亿元，同比增长1.15%；扣非净利润3.41亿元，同比增长1.16%。注：上半年公司共计提信用减值损失及资产减值损失1.19亿元。分季度看，25Q1-Q2营收分别实现3.63、13.58亿元，同比分别下降35.36%及增长36.23%；归母净利润分别实现0.75、2.74亿元，同比分别下34.81%、增长19.20%；扣非净利润分别实现0.67、2.74亿元，同比分别下降39.56%、增长21.30%。2、分业务板块看：雷达装备及相关系统业务实现营业收入15.50亿元，同比增长16.57%，毛利率42.46%，同比下降1.25pct；智慧轨交业务实现营业收入0.88亿元，同比下降30.59%，毛利率23.60%，同比提升5.51pct；工业软件及智能制造业务实现营业收入0.83亿元，同比下降18.89%，毛利率37.93%，同比下降2.34pct。我们持续强调核心逻辑：军贸东风起、低空万象新。1、军用雷达业务或受益于加快打造新质战斗力；我国军贸市场东风起，公司或持续受益。上半年公司子公司国睿防务实现营业收入13.63亿元，同比增长26.30%，实现净利润3.51亿元，同比增长9.95%。2、公司在低空经济领域布局开始收获。公司积极布局新动能，提出全域低空智能感知管理体系、智能低空监视反制系统、先进低空监视雷达装备等一揽子解决方案，为低空经济安全发展保驾护航。报告期内，公司中标机场反无雷达项目，在低空监视领域取得积极进展。此外，报告期内公司成功中标山东省气象雷达国债项目，巩固公司在山东地区的市场地位；顺利完成空管一二次雷达项目验收，空管雷达业务稳步推进。投资建议：1）盈利预测：我们小幅调整2025-2027年盈利预测至7.4、9.4、11亿（原预测为7.7、9.3、10.9亿），对应25-27年每股EPS0.6、0.76、0.89元，对应PE为48、38、32倍。2）投资建议：我们强调深度报告观点：我们认为公司各项主要雷达产品未来均面临向上机遇：乘军贸东风、防务雷达有望持续增厚利润；传统民用雷达中气象雷达受益于覆盖率提升，空管雷达或受益于国产化率提升；而我们看好低空经济新基建中雷达是具备放量潜力的环节，公司或享受市场红利。强调“推荐”评级。风险提示：国内低空政策推进不及预期、军贸业务、国内雷达需求不及预期。,,华创证券,推荐,[None],2025-08-27,,增持,6355470,pdf_downloads/2025/2025-08-27/600562-国睿科技（600562）：2025 年中报点评：军贸项目交付较好推动二季度业绩同比增长19%，军贸东风起、低空万象新，持续推荐.pdf,600562,国睿科技,国睿科技（600562）：2025 年中报点评：军贸项目交付较好推动二季度业绩同比增长19%，军贸东风起、低空万象新，持续推荐
"尹会伟,孔厚融",2Q25营收同比增长36%；军贸项目交付较好事件：8月26日，公司发布2025年半年报，1H25实现营收17.2亿元，YOY +10.4%；归母净利润3.5亿元，YOY +1.1%；扣非净利润3.4亿元，YOY +1.2%。业绩表现符合预期。上半年，公司军贸项目交付较好，带动营收总体实现稳步增长。我们点评如下：2Q25营收同比增长36%；1H25盈利能力总体稳定。1）单季度：公司2Q25实现营收13.6亿元，同比增加36.2%；环比增加273.6%。归母净利润2.7亿元，同比增加19.2%；环比增加264.2%。2Q25，公司在2Q24的高基数基础上依旧实现营收及归母净利润的同比增长。2）利润率：公司1H25毛利率同比下滑0.1ppt至41.3%；净利率同比下滑1.9ppt至20.3%。其中，2Q25毛利率同比下滑3.6ppt至40.5%；净利率同比下滑2.9ppt至20.2%。雷达贡献主要营收；国睿防务营收同比增长26%。1H25，分产品看，1）雷达装备及相关系统：营收15.50亿元，YOY +16.6%，占总营收90%。2）智慧轨交：营收0.88亿元，YOY -30.6%，占总营收5%。3）工业软件及智能制造：营收0.83亿元，YOY -18.9%，占总营收5%。分子公司看，1）国睿防务：主营防务雷达，营收13.63亿元，YOY +26.3%；净利润3.51亿元，YOY +10.0%。2）恩瑞特：营收2.04亿元，YOY -21.5%；净利润0.08亿元，YOY -49.3%。3）国睿信维：营收0.83亿元，YOY -18.9%；净利润0.01亿元，YOY -82.5%。汇兑损失影响财务费用率；经营活动净现金流大幅改善。1H25，公司期间费用率同比增加0.3ppt至10.3%：1）销售费用率同比减少0.5ppt至1.7%；2）管理费用率同比减少0.9ppt至3.1%；3）财务费用率为1.1%，去年同期为-0.9%，财务费用率同比增加的主要原因是美元汇率变动，1H25汇兑损失2138.79万元，1H24为汇兑收益542.96万元；4）研发费用率同比减少0.2ppt至4.4%。截至2Q25末，公司：1）应收账款及票据49.4亿元，较年初增加14.3%；2）预付款项0.2亿元，较年初减少6.2%；3）存货18.0亿元，较年初增加1.2%；4）合同负债4.8亿元，较年初增加6.0%。1H25，公司经营活动净现金流为-0.3亿元，去年同期为-3.6亿元。投资建议：公司市场地位稳步提升，是雷达技术的行业引领者，持续突破国内、国际市场。同时加快发展新质生产力，谋篇布局第二增长曲线，聚焦低空经济、商业航天、机载气象、机载防撞等战略新兴产业发展需求拓展业务。我们预计，公司2025~2027年归母净利润分别是7.66亿元、9.30亿元、10.91亿元，当前股价对应2025~2027年PE分别是47x/38x/33x。我们考虑到公司在传统雷达领域的优势及在战略新兴产业的拓展，维持“推荐”评级。风险提示：下游需求不及预期、国际形势变化、产品价格波动等。,,民生证券,推荐,[None],2025-08-27,,增持,6353926,pdf_downloads/2025/2025-08-27/600562-国睿科技（600562）：2025年半年报点评：2Q25营收同比增长36%，军贸项目交付较好.pdf,600562,国睿科技,国睿科技（600562）：2025年半年报点评：2Q25营收同比增长36%，军贸项目交付较好
