author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
郑薇,"公司披露2024年半年报，2024H1实现营收13.66亿元，同比下降67.19%;归母净利润2.6亿元，同比下降84.70%;扣非归母净利润0.64亿元，同比下降96.09%;单Q2 实现营收6.14亿元，同比下降51.96%;归母净利润1.35亿元，同比下降70.54%;扣非归母净利润0.14亿元，同比下降96.62%。二价HPV疫苗进一步开发国际市场二价HPV疫苗为公司的核心产品，国内市场短期销售承压，国际市场有进一步突破。公司的二价HPV疫苗通过WHO PQ认证后，目前已获得摩洛哥、尼泊尔、泰国、刚果（金）、柬埔寨、埃塞俄比亚、哈萨克斯坦、肯尼亚、布基纳法索、安哥拉、马里、缅甸、印度尼西亚、加纳、埃及、马达加斯加、尼日尔、危地马拉共18个国家的市场准入，并已纳入泰国、尼加拉瓜、安哥拉、尼泊尔四国的扩大免疫规划。此外，目前有亚洲、非洲、拉丁美洲等地的10个国家注册申报正在进行中。九价HPV疫苗上市许可申请获受理公司九价HPV疫苗III期临床主试验V8访视标本检测完成，揭盲主要结果符合预期；V9访视进行中；与佳达修9头对头免疫原性比较研究结果显示两者相当；小年龄组桥接临床完成；男性群体临床试验规划中；商业化生产条件具备，上市申报按计划推进中，2024年8月被国家药监局药品审评中心纳优先审评品种，且上市许可申请获得受理。此外，20价肺炎结合疫苗I期临床完成入组，冻干水痘减毒活疫苗即将报产，新型冻干水痘减毒活疫苗(VZV-7D)完成II期临床，公司在研产品管线丰富，目前研发进展顺利。盈利预测、估值与评级考虑到九价HPV疫苗扩展年龄段或影响公司二价HPV疫苗销售，我们预计公司2024-2026年收入分别为27.15/50.40/95.29亿元，同比增速分别为-50.74%/85.64%/89.08%，归母净利润分别为5.58/14.83/39.32亿元，同比增速-55.31%/165.97%/165.14%,EPS分别为0.44/1.17/3.10元/股，三年CAGR为46.61%。鉴于公司为首家国产HPV疫苗供应商，建议保持关注。风险提示：竞争加剧风险、渗透率释放速度不及预期风险、研发不及预期风险等。",,国联民生证券,,[None],2024-09-01,,,5746927,pdf_downloads/2024/2024-09-01/603392-万泰生物（603392）：九价HPV疫苗上市许可申请获受理.pdf,603392,万泰生物,万泰生物（603392）：九价HPV疫苗上市许可申请获受理
郑薇,"二价HPV销售承压，九价HPV研发进展顺利 事件：公司发布2023年三季报，2023年Q1-3实现营收49.69亿元，同比下降43%，归母净利润18.08亿元，同比下降54%，扣非归母净利润16.72亿元，同比下降57%；单Q3营收8.05亿元，同比下降70%，归母净利润1.06亿元，同比下降92%，扣非归母净利润0.49亿元，同比下降96%。国际市场进一步开拓二价HPV疫苗为公司的核心产品，预计三季度销售有所承压。公司二价HPV疫苗于今年3月顺利出口泰国，上半年也获得了柬埔寨、埃塞俄比亚的上市许可；印尼、巴基斯坦、肯尼亚等多个国家的注册申报正有序推进中，国际竞争力进一步提升。盈利能力方面，2023年Q1-3毛利率88.09%（同比-1.48pct）,销售费用率30.41%（同比+1.34pct），管理费用率3.96%（同比+2.22pct）,研发费用率16.36%（同比+11.97pct），净利率36.46%（同比-10.23pct）。九价HPV研发顺利进行中，有望成为未来新增长点公司九价HPV疫苗III期临床试验和产业化放大顺利进行中，与佳达修9的头对头临床试验显示两者免疫原性相当，公司产品具有良好的耐受性，小年龄组桥接临床顺利进行中。2023年6月公司与泰国疫苗研究所、合作伙伴GBP就九价HPV疫苗生产技术转移签署合作谅解备忘录，并对未来该疫苗的技术转让及临床合作进行深入探讨，共同推动九价HPV疫苗在泰国的技术转移、临床和商业化项目。盈利预测、估值与评级我们预计公司2023-2025年收入分别为70/75/103亿元，同比增速分别为-37%/6%/39%，归母净利润分别为25/28/39亿元，同比增速-46%/9%/39%,EPS分别为2.01/2.18/3.04元/股，三年CAGR为-6.62%，对应PE分别为21/20/14倍。鉴于公司为首家国产HPV疫苗供应商，建议保持关注。风险提示：竞争加剧；渗透率释放、研发和销售不及预期；价格下降风险。",,国联民生证券,,[None],2023-10-31,,,5369928,pdf_downloads/2023/2023-10-31/603392-万泰生物（603392）：二价HPV销售承压，九价HPV研发进展顺利.pdf,603392,万泰生物,万泰生物（603392）：二价HPV销售承压，九价HPV研发进展顺利
"唐爱金,阮帅",2023年08月27日 事件：2023年8月25日，公司发布2023年半年报，2023H1公司实现收入41.64亿元（-29.78%），归母净利润17.02亿元（-36.78%），扣非归母净利润16.23亿元（-38.75%）。点评：2023H1业绩受经济环境及竞争格局变化有所波动。2023Q2公司收入12.77亿元（-53.71%），归母净利润4.57亿元（-66.42%），扣非归母净利润4.21亿元（-68.46%）。此外，公司业绩下滑与鼻喷新冠疫苗研发支出费用化有关，23H1公司费用化鼻喷新冠疫苗相关研发支出1.22亿元，2022年同期与鼻喷新冠疫苗相关研发支出3.05亿元则为资本化，同口径下23H1公司归母净利润同比下降30.05%。盈利能力维持较高水平。23H1公司毛利率为90.3%（+1.05pct），净利率为41.05%（-5.82pct）。23Q2公司毛利率为87.2%（-1.4pct），净利率为35.8%（-14.73pct）。23H1公司销售费用率、管理费用率、财务费用率、研发费用率分别为30.71%、2.9%、-1.14%、11.13%，同比+3.15pct、+1.2pct、-0.8pct、+7.2pct，研发费用率大幅提升主要是与鼻喷新冠疫苗研发支出费用化有关。全力推进HPV疫苗国际化。公司有序推进二价HPV疫苗及戊肝疫苗在相关国家的注册申报及已获得上市许可国家的出口销售工作。出口方面，公司获得摩洛哥、尼泊尔、泰国、刚果（金）、柬埔寨和埃塞俄比亚等多个国家的上市许可。2023年3月，公司的二价HPV疫苗顺利出口泰国。2023年6月公司与泰国疫苗研究所、合作伙伴GBP就九价HPV疫苗生产技术转移签署合作谅解备忘录，并对未来该疫苗的技术转让及临床合作进行深入探讨，共同推动九价HPV疫苗在泰国的技术转移、临床和商业化项目。9价HPV疫苗进展顺利，新型冻干水痘减毒活疫苗准备III期临床。公司研发和技术人员合计984人，占总员工比例为24%。公司的九价HPV疫苗III期临床主试验正在按计划进行观察和随访，已完成生产车间建设，正进行产业化放大生产研究工作。公司的九价HPV疫苗与佳达修9的头对头临床试验显示公司产品的免疫原性与佳达修9相当，并具有良好的耐受性，小年龄组桥接临床顺利进行中。20价肺炎疫苗的I期临床按计划顺利进行中。新型冻干水痘减毒活疫苗（VZV-7D）完成IIa和IIb临床试验的现场工作，正在进行III期临床用疫苗的生产准备工作。盈利预测与投资评级：我们预计公司2023-2025年营业收入分别为89.12/90.05/177.444亿元，同比增长-20.3%/1.1%/97%，归母净利润为36.57/39.7/75.1亿元，同比增长-22.8%/8.6%/89.2%，对应市盈率分别为 17.4/16.03/8.47 倍。,,信达证券,,[None],2023-08-27,,,5300532,pdf_downloads/2023/2023-08-27/603392-万泰生物（603392）：2023上半年业绩承压，静待9价HPV疫苗申报上市.pdf,603392,万泰生物,万泰生物（603392）：2023上半年业绩承压，静待9价HPV疫苗申报上市
"祝嘉琦,张楠",万泰生物(603392)投资要点事件：2023年8月24日，公司发布2023年半年报。2023年上半年实现营业总收入41.64亿元，同比下滑29.78%；归母净利润17.0亿元，同比下滑36.78%；扣非归母净利润16.23亿元，同比下滑38.75%。积极开展HPV疫苗终端销售。2023年上半年公司疫苗板块实现收入33.87亿元，同比下滑22.38%，占收入比重为81.35%。公司诊断试剂实现收入6.80亿元，同比下滑42.68%，占收入比重为16.32%。分季度来看，23Q2实现收入12.77亿元，同比下滑53.71%；实现归母净利润4.57亿元，同比下滑66.41%。23Q2由于HPV疫苗终端销售放缓叠加新冠产品销售减少，收入利润出现下滑。销售费率相对稳定，研发投入增加明显。2023年上半年公司毛利率为90.25%（+1.05pp），净利率为40.89%（-4.53pp）。2023年上半年公司销售费用12.79亿元（-21.77%），销售费用率30.71%（+3.14pp）。管理费用1.21亿元（+19.66%），管理费用率2.90%（+1.20pp），员工薪酬增加所致。研发费用4.63亿元（+98.64%），研发费用率11.13%（+7.20pp），增加了鼻喷新冠疫苗研发临床费用。财务费用率-1.14%（-0.80pp）。研发管线有序推进，9价HPV研发进度处于国内第一梯队。（1）9价HPV：公司9价HPV疫苗III期临床试验和产业化放大进展顺利，正进行产业化放大生产研究工作；小年龄桥接临床试验顺利进行。（2）水痘疫苗：冻干水痘减毒活疫苗获得III期临床试验研究报告，新型冻干水痘减毒活疫苗（VZV-7D）完成IIa和IIb临床试验的现场工作，正在进行III期临床用疫苗的生产准备。（3）20价肺炎疫苗：2022年11月10日通过江苏省疾病预防控制中心伦理审查委员会审查并获得伦理批件，并于2023年2月启动受试者招募工作。盈利预测与投资建议：结合公司半年度业绩及终端动销情况，我们调整2023-2025年公司营业收入分别为100.45、118.85、135.72亿元（调整前值为142.58、172.40、200.09亿元），同比增长-10.20%、18.32%、14.19%；归母净利润分别为39.89、48.58、56.40亿元（调整前值为57.85、71.95、83.52亿元），同比增长-15.78%、21.79%、16.11%。作为在研产品管线靓丽、实现海外技术输出的龙头公司之一，未来3年受益于2价HPV疫苗持续上量，在研9价HPV疫苗进度领先，维持“买入”评级。风险提示：HPV疫苗竞争加剧及降价的风险，研发进度不及预期的风险，预测前提不及预期导致市场容量测算出现偏差的风险，疫苗不良反应事件个案风险，政策及监管风险。,,中泰证券,买入,[None],2023-08-25,,买入,5298554,pdf_downloads/2023/2023-08-25/603392-万泰生物（603392）：静待下半年HPV疫苗恢复，海外拓展顺利.pdf,603392,万泰生物,万泰生物（603392）：静待下半年HPV疫苗恢复，海外拓展顺利
"刘嘉仁,阮帅","2023年04月21日 事件：近日，公司发布2022年年报及2023年一季报，2022年公司实现营收111.85亿元，同比增长94.51%，归母净利润47.36亿元，同比增长134.28%，扣非归母净利润45.14亿元，同比增长132.03%，经营活动现金流量净额41.33亿元，同比增长145.7%。2023Q1公司实现营收28.87亿元，同比增长-8.98%，归母净利润12.45亿元，同比增长-6.46%，扣非归母净利润12.02亿元，同比增长-8.59%。点评：2023Q1公司业绩受基数、疫情及行业竞争因素影响有所波动。2022Q4公司实现营收25.35亿元，同比增长17.65%，归母净利润7.92亿元，同比增长-4.95%，扣非归母净利润6.66亿元，同比增长-15.77%。2023Q1公司实现批签发142批次，同比增长111.94%。2023Q1扣非归母净利润低于归母净利润的原因是与鼻喷新冠疫苗相关研发支出0.71亿元全部费用化，2022Q1与鼻喷新冠疫苗相关研发支出1.52亿元则为资本化。2022年公司疫苗板块实现快速增长。2022年公司诊断部分实现收入26.74亿元，同比增长14.3%，实现净利润8.18亿元，毛利率为75.84%，同比变动-0.33pct。2022年公司疫苗部分实现收入84.93亿元，同比增长152.55%，实现净利润40.46亿元，毛利率为93.89%，同比变动1.34pct。2022年疫苗批签发量接近3000万支，销售量突破2500万支。2023Q1公司毛利率创历史新高，达到91.61%。2022年公司毛利率为89.54%，同比变动3.76pct，净利率为43.48%，同比变动7.32pct，2023Q1公司毛利率为91.61%，同比变动1.91pct，净利率为43.4%，同比持平，毛利率环比上升，主要是HPV疫苗销售大幅增长带动。2022年公司销售费用率、管理费用率、财务费用率分别为29.09%、11.93%、-0.55%，同比变动-0.31pct、-3.1pct、-0.64pct。研发强度加大，疫苗国际化进展顺利。2022年公司研发投入11.39亿元，同比增长67%，研发投入占比10.18%，公司研发人员达到1259人，同比增长58.96%，占比31.35%。2价HPV疫苗相继获得摩洛哥、尼泊尔、泰国、刚果（金）、柬埔寨等国家的上市许可，巴基斯坦、印尼、哈萨克斯坦、肯尼亚、埃塞俄比亚、缅甸、乌兹别克斯坦等国的注册申报正有序推进中。九价 HPV 疫苗 III 期临床试验进展顺利，正按计
划进行随访，与佳达修 9 的头对头临床试验已完成临床试验现场及标本
检测工作，正在进行数据统计分析，小年龄桥接临床试验完成入组工作；
戊肝疫苗在美国进行的 I 期临床试验已完成；20 价肺炎疫苗、重组带状
疱疹病毒疫苗、重组三价轮状病毒亚单位疫苗、第三代 HPV 疫苗、四价肠道病毒灭活疫苗和鼻喷三价新冠-三价流感病毒疫苗等新项目研发
工作均顺利开展。盈利预测与投资评级：我们预计公司 2023-2025 年营业收入分别为
140.32/147.65/208.64 亿元，同比增长 25.4%/5.2%/41.3%，归母净利
润为 58.96/66.51/89.67 亿元，同比增长 24.5%/12.8%/34.8%，对应市
盈率分别为 17.73/16.74/12.42 倍。风险因素：HPV 疫苗推广及销售不及预期、产品研发不及预期。",,信达证券,,[None],2023-04-21,,,5182236,pdf_downloads/2023/2023-04-21/603392-万泰生物（603392）：2023Q1公司业绩受基数、疫情及行业竞争因素影响有所波动，毛利率创历史新高.pdf,603392,万泰生物,万泰生物（603392）：2023Q1公司业绩受基数、疫情及行业竞争因素影响有所波动，毛利率创历史新高
"崔文亮,支君",万泰生物(603392)事件概述：公司发布2023年一季报。2023年Q1，公司实现收入28.87亿元，同比下滑8.98%。实现归母净利润12.45亿元，同比下滑6.46%。实现扣非归母净利润12.02亿元，同比下滑8.59%。分析判断:新冠疫苗相关研发费用确认影响表观利润2023年Q1，公司表观利润增速为负，主要是由于本期与鼻喷新冠疫苗相关研发支出0.71亿元全部费用化，上年同期与鼻喷新冠疫苗相关研发支出1.52亿元则为资本化。2022年起，公司将鼻喷新冠疫苗研发过程中开发阶段的支出在满足资本化条件时确认为无形资产，所以上年同期相关研发支出资本化。2022年12月起，公司基于国家防疫政策变化以及对鼻喷新冠疫苗项目未来收益的综合判断，从谨慎角度出发对2022年度已经资本化的和未来发生的鼻喷新冠疫苗研发支出于当期全部费用化，因此本期相关研发支出费用化，影响了表观利润增速。积极推进多项疫苗研发项目公司正在推进多项疫苗研发项目，九价HPV疫苗正处于临床III期；20价肺炎疫苗已启动临床试验；冻干水痘减毒活疫苗完成III期临床试验，正在进行生产申报准备工作；冻干水痘减毒活疫苗（VZV-7D）正在开展IIb临床试验；重组带状疱疹病毒疫苗、重组三价轮状病毒亚单位疫苗和第三代HPV疫苗、四价肠道病毒灭活疫苗和鼻喷三价新冠-三价流感病毒疫苗正开展临床前药学和药效研究工作。公司疫苗管线日益丰富。投资建议：我们维持2023-2024年盈利预测不变，预计2023-2024年营业收入为174.34/215.55亿元，归母净利润为75.21/96.85亿元.新增2025年盈利预测，预计2025年营业收入为26.00亿元，归母净利润为100.19亿元。2023-2025年EPS为8.54/11/11.38元，对应2023年4月20日收盘价115.34元/股，PE为14/10/10倍，维持“买入”评级。风险提示：公司二价HPV疫苗销售不及预期风险；随着国内其他国产HPV疫苗上市竞争加剧产品降价风险；公司体外诊断业务销售不及预期风险；公司疫苗在研产品研发进展不及预期风险。,,华西证券,买入,[None],2023-04-21,,增持,5182180,pdf_downloads/2023/2023-04-21/603392-万泰生物（603392）：新冠疫苗相关研发费用确认影响表观利润，积极推进多项疫苗研发项目.pdf,603392,万泰生物,万泰生物（603392）：新冠疫苗相关研发费用确认影响表观利润，积极推进多项疫苗研发项目
祝嘉琦,"万泰生物(603392)投资要点事件：2023年4月20日，公司发布一季报，报告期内公司实现营业收入28.87亿元，同比下滑8.98%；实现归母净利润12.45亿元，同比下滑6.46%；实现扣非净利润12.02亿元，同比下滑8.59%。环比正增长，HPV疫苗批签发高增。23Q1实现营收28.87亿元（-8.98%），归母净利润12.45亿元(-6.46%),扣非净利润12.02亿元(-8.59%)。22Q3以来公司积极克服疫情防控、感染导致人员流动限制等多重因素，实现收入环比正增长（22Q3-Q4营收分别为27.21亿元、25.35亿元）。批签发：23Q1公司2价HPV批签发163批次（+79.10%），保持高速增长。期间费率保持稳定，新冠相关支出费用化。2023Q1公司毛利率为91.61%（+1.90pp），净利率为43.13%（+1.16pp）。2023Q1公司销售费用9.08亿元（-6.98%），销售费率31.44%（+0.67pp）。管理费用0.59亿元(+20.32%)，管理费率2.03%(+0.49pp)。财务费率-0.53%(-0.73pp)。研发费用2.18亿元(+104.91%)，研发费率7.55%（+4.19pp），鼻喷新冠疫苗研发支出全部费用化。2023Q1公司存货10.04亿元、占资产比重5.82%(-1.01pp)。研发管线有序推进，9价HPV研发进度处于国内第一梯队。（1）9价HPV：处于统计分析和医学总结报告产出阶段；小年龄桥接临床试验完成入组工作，正在进行产业化放大生产研究。（2）水痘疫苗：冻干水痘减毒活疫苗获得III期临床试验研究报告，新型冻干水痘减毒活疫苗（VZV-7D）正在开展IIb期临床试验。（3）20价肺炎疫苗：2023年2月启动受试者招募工作盈利预测与投资建议：我们预计2023-2025年公司营业收入分别为142.58、172.40和、200.09亿元，同比增长27%、21%、16%；归母净利润分别为57.85、71.95、83.52亿元，同比增长22%、24%、16%。作为在研产品管线靓丽、实现海外技术输出的龙头公司之一，未来3年受益于2价HPV疫苗持续上量，在研9价HPV疫苗进度领先，维持“买入”评级。风险提示：HPV疫苗竞争加剧及降价的风险，研发进度不及预期的风险，预测前提不及预期导致市场容量测算出现偏差的风险，疫苗不良反应事件个案风险，政策及监管风险。",,中泰证券,买入,[None],2023-04-20,,买入,5201850,pdf_downloads/2023/2023-04-20/603392-万泰生物（603392）：环比正增长，看好全年HPV放量.pdf,603392,万泰生物,万泰生物（603392）：环比正增长，看好全年HPV放量
"陈益凌,马千里",收入和净利润保持高增速。公司2022年实现营业收入111.85亿元（+94.51%）；归母净利润48.63亿元（+134.90%）；扣非归母净利润45.14亿元（+132.03%）。其中，诊断分部实现收入26.74亿元，净利润8.18亿元；疫苗分部实现收入84.93亿元，净利润40.46亿元。2价HPV疫苗产销两旺，国际化有序推进。2022年公司2价HPV疫苗实现批签发288批次（+77%），达到设计产能年产3000万支，销量突破2500万支。国际化方面，2价HPV疫苗已相继获得得摩洛哥、尼泊尔、泰国、刚果（金）、柬埔寨等国上市许可；巴基斯坦、印尼、哈萨克斯坦、肯尼亚、埃塞俄比亚、缅甸、乌兹别克斯坦等国的注册申报有序推进。鼻喷新冠疫苗获批紧急使用，在研管线值得期待。公司与厦门大学、香港大学合作研发的鼻喷新冠疫苗被纳入紧急使用，正在开展附条件上市申报的相关工作；9价HPV疫苗III期临床随访进行中，与佳达修9头对头临床试验完成现场和标本检测工作，正在进行数据统计分析，小年龄桥接临床试验完成入组工作；戊肝疫苗在美国进行的I期临床试验已完成；20价肺炎疫苗、重组带状疱疹病毒疫苗、重组三价轮状病毒亚单位疫苗、第三代HPV疫苗、四价肠道病毒灭活疫苗和鼻喷三价新冠-三价流感病毒疫苗等新项目研发工作均顺利开展。员工持股计划公布，彰显长期发展信心。公司公布2023年员工持股计划，考核年度为2023-2025年三个会计年度，业绩考核目标为以2021年净利润为基数，2023-2025年净利润增长率分别不低于176%/247%/304%，即57.4/72.2/84.0亿元；或以2021年营收为基数，2023-2025年营收增长率分别不低于144%/195%/242%，即140.3/169.6/196.7亿元。风险提示：产品销售不及预期；国内竞争加剧导致产品价格大幅下降；产能项目建设不达预期；研发管线进展不达预期或失败等。投资建议：公司核心产品2价HPV疫苗上市后快速放量，国内受益于免费接种政策，小年龄组“2针法”具备差异化优势，海外相继于多国取得上市许可，国际化打开长期成长空间；鼻喷新冠疫苗获批紧急使用，9价HPV等在研管线顺利推进；公布员工持股计划，彰显长期发展信心。我们对公司盈利预测进行调整，预计2023-2024年归母净利润分别为58.17/72.30亿元（前值为54.18/62.32亿元），新增2025年归母净利润预测为83.74亿元，当前股价对应PE为19/15/13x，维持“买入”评级。,,国信证券,买入,[None],2023-03-26,,买入,5148486,pdf_downloads/2023/2023-03-26/603392-万泰生物（603392）：归母净利润同比增长134%，核心品种持续放量.pdf,603392,万泰生物,万泰生物（603392）：归母净利润同比增长134%，核心品种持续放量
刘恩阳,年报业绩符合预期，二价HPV疫苗放量增长。 2022年全年公司实现营业收入111.85亿元，同比+94.51%；归母净利润47.36亿元，同比+134.28%；扣非归母净利润45.14亿元，同比增长132.03%，收入与利润保持高速增长。单4季度来看，公司实现营业收入25.35亿元，同比+17.65%，实现归母净利润7.92亿元，同比-4.95%，Q4单季收入增长有所放缓主要是基数影响和Q4疫情影响，利润端主要是Q4确认较多研发费用所致。公司全年营业收入和利润表现仍然亮眼，主要系公司二价 HPV 疫苗继续保持产销两旺，全年设计产能达到年产3000万支，销量突破2500万支，同时因国内外新冠肺炎疫情影响，新冠原料和试剂盒收入也实现了快速增长，新冠鼻喷疫苗于国内2022年12月2日获批紧急使用，贡献一定收入。国内HPV疫苗市场需求旺盛，公司有望长期受益。受益于HPV疫苗行业接种渗透率低、市场供不应求等因素，国内HPV疫苗行业有望维持高景气发展态势。公司全年二价HPV疫苗保持产销两旺的高增长态势，作为首家获批的HPV国产疫苗供应商，竞争格局良好，有望在中短期内充分受益于行业的放量增长；同时公司的HPV九价疫苗产品研发进度处于市场前列，目前III期临床试验和产业化放大进展顺利，与佳达修9的头对头临床试验现场及标本检测工作处于统计分析和医学总结报告产出阶段，结果达到临床设计预期，研发进展顺利。国际市场上，公司二价HPV疫苗通过WHO PQ认证后，2022年相继获得摩洛哥、尼泊尔、泰国、刚果（金）的上市许可，2023年1月获得柬埔寨上市许可，巴基斯坦、印尼、哈萨克斯坦、肯尼亚、埃塞俄比亚、缅甸、泰国等国也在陆续注册中，长期成长空间进一步打开。公司研发积淀深厚，在研产品进展不断。公司研发积累深厚，除HPV疫苗外还储备有水痘疫苗、鼻喷新冠疫苗、20价肺炎疫苗等在研品种，化学发光试剂业务也处于不断完善中，长期发展可期。全年在研产品进展不断，戊肝疫苗在美国进行的I期临床试验已完成，数据显示其在美国人群中具有良好的安全性和免疫原性；20价肺炎疫苗获得伦理批件并于2023年2月启动受试者招募工作；鼻喷新冠疫苗在4个国家、33个现场完成3万多例受试者的III期临床保护研究，于2022年12月2日获批紧急使用；水痘疫苗、新型水痘疫苗等研发进展顺利，保障公司长期发展。根据年报披露数据、我们上调了HPV疫苗收入假设、调低了新冠产品收入，预测公司2023-2025年归母净利润分别为59.96/70.88/85.36亿元（2023-2024年原为57.66/73.98亿元）。参照可比公司，我们给予公司23年23倍的PE估值，对应目标价152.26元，维持买入评级。风险提示HPV疫苗销售不及预期；HPV疫苗价格大幅下滑；在研管线不及预期；化学发光销售不及预期；假设条件变化影响测算结果等风险。,,东方证券,买入,[None],2023-03-23,,买入,5146919,pdf_downloads/2023/2023-03-23/603392-万泰生物（603392）：二价HPV疫苗持续引领成长，业绩增长符合预期.pdf,603392,万泰生物,万泰生物（603392）：二价HPV疫苗持续引领成长，业绩增长符合预期
祝嘉琦,事件：2023年3月20日，公司发布2022年报。2022年实现营业总收入111.85亿元，同比增长94.51%；归母净利润47.36亿元，同比增长134.28%；扣非归母净利润45.14亿元，同比增长132.03%。HPV疫苗快速增长，批签发高增。2022年疫苗业务和体外诊断业务分别贡献收入84.93亿元（+159%）、20.85亿元（+22%），2价HPV疫苗继续保持产销两旺叠加新冠原料和检测试剂需求受益疫情保持旺盛。分季度来看，22Q4实现收入25.35亿元，同比增长17.65%；实现归母净利润7.92亿元，同比下滑4.95%。22Q4全国多地疫情封控叠加12月全面放开终端接种受限，销售增速有所放缓。 22年公司2价HPV共计签发288批次（2021全年签发163批次），保持高速增长。规模效应下净利率提升显著，研发投入持续加码。2022年公司毛利率为89.54%（+3.76pp），净利率为42.34%（+7.19pp）。2022年公司销售费用32.54亿元（+92.49%），疫苗推广服务费及销售人员薪酬增加所致；销售费用率29.09%（-0.31pp）。管理费用2.35亿元(+28.90%)；管理费用率2.10%(-1.07pp)。财务费用率-0.55%(-0.64pp)。研发费用10.99亿元(+61.19%)，占总营收的9.83%，主要是是疫苗研发人员薪酬及物料消耗增加所致。 2022年公司存货8.69 亿元、占资产比重5.36%(-3.06pp，)主要系非公开发行股票造成总资产增加所致。应收账款及票据 39.48亿元、占收入比重35.29%(- 4.15pp)，预计主要是2价HPV疫苗销售回款增加带来。研发管线有序推进，9价HPV研发进度处于国内第一梯队。（1）9价HPV：处于统计分析和医学总结报告产出阶段；小年龄桥接临床试验完成入组工作，正在进行产业化放大生产研究。（2）水痘疫苗：冻干水痘减毒活疫苗获得III期临床试验研究报告，新型冻干水痘减毒活疫苗（VZV-7D）正在开展IIb期临床试验。（3）新冠疫苗：鼻喷流感病毒载体新冠肺炎疫苗22年12月获批上市，有望贡献新增量。（4）20价肺炎疫苗： 2023年2月启动受试者招募工作盈利预测与投资建议：结合公司股权激励目标，我们预计2023-2025年公司营业收入分别为141.57、171.34和、199.03亿元（23-24年前值为138.53、166.52亿元），同比增长27%、21%、16%；归母净利润分别为57.71、71.80、83.37亿元（23-24年预测前值为56.84、68.63亿元），同比增长22%、24%、16%。作为在研产品管线靓丽、实现海外技术输出的龙头公司之一，未来3年受益于2价HPV疫苗持续上量，在研9价HPV疫苗进度领先，维持“买入”评级。风险提示：HPV疫苗竞争加剧及降价的风险，研发进度不及预期的风险，预测前提不及预期导致市场容量测算出现偏差的风险，疫苗不良反应事件个案风险，政策及监管风险。,,中泰证券,买入,[None],2023-03-23,,买入,5147085,pdf_downloads/2023/2023-03-23/603392-万泰生物（603392）：HPV疫苗持续高增，海外拓展打开空间.pdf,603392,万泰生物,万泰生物（603392）：HPV疫苗持续高增，海外拓展打开空间
