author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
杜永宏,公司主营业务为系统集成和软件开发，主要应用领域为金融、医疗、能源等行业，且产品结构不断优化，医疗业务竞争力较强，公司与腾讯、华为深入合作，发展潜力巨大。公司医疗业务位于行业头部。公司全资子公司东华医为目前服务300多家三甲医院，占比三甲医院总数的20%。公司医疗业务毛利率位于主流厂商第一梯队。公司产品覆盖全面，是行业中产品最全面的公司之一。在DRGs业务领域，东华软件优势明显，市占率远超其他厂商。医疗IT行业持续快速增长。加快信息化建设，是医院实现医保控费的最有效抓手。2020年，国家卫健委等机构多次出台政策支持以电子病历为核心的医疗信息化发展，在政策的推动下，医疗IT行业快速发展，根据IDC的预测，2019-2024年市场复合增长率为13.7%。东华软件优势最大的DRGs业务，每年大约能为公司贡献13亿元的收入。智慧城市业务前景广阔：东华软件与腾讯深度绑定开拓智慧城市业务，腾讯提供底层技术，东华软件负责落地。政府频繁出台重磅政策支持智慧城市发展，疫情也加速了智慧城市的发展，一些地方政府认识到建设数字化政府的必要性，决心增加投入，新基建的建设也推动了智慧城市的发展，根据IDC的预测，2020-2024年国内智慧城市行业将实现约16%的复合年增长率。东华软件和国内三大解决方案商之一的腾讯深度绑定，预计将受益于行业的增长。服务器业务成为新增长点：鲲鹏920是业界性能最高的基于ARM的服务器CPU，打破了国外的技术垄断，国产替代空间大，至2023年，国产替代市场规模约为250亿元，公司推出的“鹏霄服务器”属于稀缺产品，国内基于鲲鹏芯片的同类型对手仅有四到五家，受益于国产替代需求，公司服务器业务将成为公司新的增长点。盈利预测：我们预测公司2020-2022年实现归属母公司所有者净利润分别为7.70亿元、11.34亿元和14.26亿元，折合EPS分别为0.25元、0.36元和0.46元。我们首次覆盖，并给予推荐的投资评级。风险提示：1）行业增长不达预期；2）行业政策发生不利变化,,华鑫证券,推荐,[None],2021-01-19,,买入,4422696,pdf_downloads/2021/2021-01-19/002065-东华软件（002065）：东华顺风，成长前景广阔.pdf,2065,东华软件,东华软件（002065）：东华顺风，成长前景广阔,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 14.26,
            ""eps"": 0.46,
            ""pe"": null
        }
    ]
}",,,,,,,,,,0.46,,
常潇雅,东华软件(002065)业绩总结：2020年前三季度公司实现营业总收入55.8亿元，同比下降2.9%；实现归母净利润6.2亿元，同比下降18.4%。受商誉减值释放的影响，公司净利润短期承压。1）收入方面：2020Q3单季度，公司实现营业收入19.3亿元，同比下降10%，疫情对项目整体进度的影响仍有余温，导致整体收入确认延后，前三季度收入表现相对不佳。2）利润方面：2020Q3单季度公司实现归母净利润2.1亿元，同比下降41.7%，净利润受公司商誉减值影响，呈现短期波动态势。2020年前三季度，公司毛利率为33.9%，同比下降1.1pp；净利率为10.8%，同比下降2.1pp。3）2020Q3公司销售费用率为4.9%，同比增长0.6pp；管理费用率为7.4%，研发费用率为10.1%，报告期内公司管理、研发费用率较去年同期变化相对较小。医疗领域高景气持续，为公司业绩增长提供驱动力。受益于电子病历等级测试、医保IT建设以及疫情因素对于医院端内部信息化和公共卫生信息化等需求的催化，我们预计医疗IT领域处于高景气状态。截至2019年，公司在医疗领域的服务网络遍及全国31个省市区，核心品牌健康乐已为全国100余家三甲医院的患者提供健康管理服务。。2020年前三季度，公司在医疗信息化领域拿下9个千万级订单。在后疫情时代催化下，医疗领域景气度有望持续高涨，公司医疗IT业务或将持续增长。深度布局云计算、大数据、人工智能等前沿领域，重点加强信创市场的拓展。10月14日，公司全资子公司北京东华信创科技拟以自有资金出资人民币3亿元对外投资设立“辽宁东华信创科技有限公司”，占注册资本的100%。充分发挥自身在信息化的综合实力和在政府、金融、能源、电力等行业的竞争优势，全面参与辽宁省信创项目发展，增强公司整体竞争力，提升公司的盈利能力。盈利预测与投资建议。考虑到受疫情影响，政府、通信等业务表现不佳，我们下调公司盈利预测，预计2020-2022年，公司EPS分别为0.18元、0.20元、0.27元。公司为系统集成领军企业，且充分受益于医疗IT行业高景气以及金融IT国产化浪潮，因此我们长期看好，预计经过短期波动后未来归母净利润将恢复高速增长，维持“持有”评级。风险提示：与腾讯、华为合作进度低于预期；商誉减值风险；医疗客户需求不达预期；金融国产化替代不达预期。,,西南证券,持有,[None],2020-10-29,,增持,4362891,pdf_downloads/2020/2020-10-29/002065-东华软件（002065）：业绩短期承压，医疗领域业务持续高景气.pdf,2065,东华软件,东华软件（002065）：业绩短期承压，医疗领域业务持续高景气,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.18,
            ""pe"": null
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.20,
            ""pe"": null
        },
        {
            ""year"": 2022,
            ""net_profit"": null,
            ""eps"": 0.27,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.18,0.2,0.27,
吴砚靖,东华软件(002065)核心观点：1．事件公司公告2020年半年度报告，公司半年实现营业收入36.40亿元，同比增长1.30%；实现归母净利润4.01亿元，同比增长3.74%；扣非归母净利润为3.89亿元，同比增长7.98%。2．我们的分析与判断1）业绩增长较为稳健，医疗健康业务持续发力公司2020年半年度实现营业收入36.40亿元，同比增长1.30%，增速略有放缓；扣非归母净利润为3.89亿元，同比增长7.98%，增速相对下降。报告期内，公司销售费用为1.84亿元，同比增长13.27%，管理费用为2.74亿元，同比增长3.91%，财务费用为5.21亿元，同比增长42.15%，财务费用增速提高主要原因为报告期内贷款利息增加、存款利息减少；研发费用为3.94亿元，研发费用率达到10.83%。经营现金流净额为-10.60亿元，同比减少21.22%。分行业来看，公司核心业务金融行业业务继续起到支撑作用，实现营收13.80亿元，占营收比重为37.91%，同比增长3.51%；另一重要业务健康行业业务实现较快增长，实现营收8.23亿元，同比增长18.25%；政府行业业务实现营收3.17亿元，同比增长1.19%。2）与腾讯、华为达成合作，未来成长、转型空间广阔2017年，公司于腾讯云达成合作协议，并于2018年12月联合腾讯云推出智慧城市超级大脑模式，深化公司在智慧城市领域的布局，在报告期内公司实现政府行业收入3.17亿元，占营收比重达到8.70%，未来云推出智慧城市超级大脑模式，深化公司在智慧城市领域的布局，在报告期内公司实现政府行业收入3.17亿元，占营收比重达到8.70%，未来增长空间较大；2019年3月公司子公司东华医为联合腾讯云推出“iMedicalCloud暨云HIS”产品，推进“一链三云”战略落地，进一步巩固和提高公司在医疗行业的优势。公司于2020年6月与华为合作推出基于鲲鹏处理器的鹏霄服务器，并着手围绕鹏霄服务器进行产业生态打造，推动我国IT底层基础设施关键性的技术突破，助力国产自主创新进程。3）定增推动公司战略转型，由传统IT公司向网络服务公司迈进2020年5月，公司推出定增方案，拟募集不超过40.13亿元的资金，用以加大在云计算、大数据和工业互联网方面的投入，加快公司由传统软件和系统集成商向信息产业解决方案和综合服务提供商转型。公司业务中系统集成在收入中的占比从去年同期的66%降低至60%，加速由传统IT厂商向软件服务商转型，业务结构转变的同时，毛利率同比上升2pcts。3.投资建议我们预计，公司2020-2022年EPS为0.26/0.33/0.41，对应动态市盈率分别为46.79/37.06/29.8倍。公司多项持续发展，研发比例逐渐提升，受益于国产化浪潮，未来公司业绩有望持续较高增长，维持给予“推荐”评级。4.风险提示政策落地、行业空间增长不及预期的风险；项目周期较长，对上下游厂商议价能力减弱；疫情对项目实施进度的影响；商誉减值风险。,,银河证券,推荐,[None],2020-08-12,,买入,4305862,pdf_downloads/2020/2020-08-12/002065-东华软件（002065）：三大主营业务齐发力，半年报业绩符合预期.pdf,2065,东华软件,东华软件（002065）：三大主营业务齐发力，半年报业绩符合预期,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.26,
            ""pe"": 46.79
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.33,
            ""pe"": 37.06
        },
        {
            ""year"": 2022,
            ""net_profit"": null,
            ""eps"": 0.41,
            ""pe"": 29.8
        }
    ]
}",,,46.79,37.06,29.8,,,,0.26,0.33,0.41,
常潇雅,东华软件(002065)业绩总结： 2020H1 ， 公司实现营业收入 36.4 亿元，同比增长 1.3%；实现归母净利润 4 亿元，同比增长 3.7%；实现扣非后归母净利润 3.9 亿元，同比增长 8%。受商誉减值释放的影响，公司业绩短期承压。 从营收端来看，近几年公司总体营收呈稳健增长态势。 从利润端来看，近几年净利润波动较大；由于公司商誉减值不断释放，净利润整体呈下行趋势。从费用率来看， 2019 年，公司销售、管理、研发费用率分别为 3.9%、 5.9%、 6.7%，其中研发人员数量增长 14.8%带动公司研发费用率上行。伴随商誉风险的进一步释放，未来几年公司业绩水平有望迎来拐点。医疗领域高景气持续，为公司业绩增长提供驱动力。 受益于电子病历等级测试、医保 IT 建设以及疫情因素对于医院端内部信息化和公共卫生信息化等需求的催化，我们预计医疗 IT 领域处于高景气状态。截至 2019 年，公司在医疗领域的服务网络遍及全国 31 个省市区， 核心品牌健康乐已为全国 100 余家三甲医院的患者提供健康管理服务。 2019 年，公司在医疗领域的千万级订单总额超过板块收入的 50%，新签客户占总签约客户的 30%。 2020H1，疫情期间公司在 15 天内顺利交付火神山、雷神山医院的信息管理系统，并支持全国各地的技术防疫工作。在疫情催化下，公司有望抓住互联网医疗机遇，带动整体业绩增长。深度布局云计算、大数据、人工智能等前沿领域，重点加强信创市场的拓展。2020 年 5月 16日，公司发布非公开发行股票预案，拟募集资金总额不超过 40.13亿元。此次定增募资金额大，重点发力云计算、大数据、人工智能、工业互联网等前沿领域。其中，基于国家信创战略大背景，募集的资金中有 7.5 亿元要用于鹏霄项目，以推动公司信创业务进程加速。 6 月 11 日公告，公司与华为签署《鲲鹏服务器授权合作协议》，此次合作有利于推进公司鹏霄服务器的进一步落地。 鹏霄项目的落地和布局正在有序进行，有望带动公司业绩提升。盈利预测与投资建议。 预计 2020-2022 年公司 EPS 分别为 0.33 元、 0.47 元、0.64 元，未来三年归母净利润均保持高速增长。公司为系统集成领军企业，且充分受益于医疗 IT 行业高景气以及金融 IT 国产化浪潮，故给予公司 2020 年 44倍 PE 估值，对应目标价 14.52 元， 维持“持有”评级。风险提示： 与腾讯、华为合作进度低于预期；商誉减值风险；医疗客户需求不达预期；金融国产化替代不达预期。,,西南证券,持有,[None],2020-08-11,,增持,4304953,pdf_downloads/2020/2020-08-11/002065-东华软件（002065）：医疗和金融业务并举，驱动公司业绩增长.pdf,2065,东华软件,东华软件（002065）：医疗和金融业务并举，驱动公司业绩增长,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.33,
            ""pe"": 44
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.47,
            ""pe"": null
        },
        {
            ""year"": 2022,
            ""net_profit"": null,
            ""eps"": 0.64,
            ""pe"": null
        }
    ]
}",,,44.0,,,,,,0.33,0.47,0.64,
"谢春生,郭梁良,郭雅丽",东华软件(002065)东华与华为鲲鹏合作，有望迎来二次腾飞机遇东华与华为鲲鹏合作的意义在于 1）服务器产销是全新业绩增长点。2）扩大软件市场份额。公司软件率先融入鲲鹏的同时，也将受益鲲鹏计算产业的成长，在不断磨合中抢占先机。3）云 MSP 转型良机。传统 IT 服务公司以系统集成和软件开发业务为主，毛利率低，人效低。借助华为生态，公司有望加速转型。预计公司 2020-2022 年 EPS 分别为 0.36、0.44、0.51元，首次覆盖给予“买入”评级。公司是国内首屈一指的 IT 集成商首屈一指的 IT 集成商，掌握优质客户资源。公司在全国拥有 70 余家分支机构，形成遍布全国的营销服务渠道。渠道之外，凭借长期积累的客户资源以及对行业的深刻理解，公司能够高效对接上游产品与下游需求，快速打通巨头们与行业客户间的隔阂。对于腾讯、华为等之前不涉足行业 IT 市场的科技巨头来说，与优秀的集成商合作是双赢之举。腾讯参股共探云医疗，后疫情时代发展潜力大2017 年，公司与腾讯签订协议，合作正式启动。2019 年 3 月双方联合发布 iMedical Cloud，同时上线云 HIS， “一链三云”战略逐步落地。通过与腾讯的合作，公司在原有高端客户的基础上，能够服务更多中小客户，提高产品化率，提高业绩弹性。新冠疫情突发，东华积极抗疫，此次疫情也给互联网医疗、区域卫生、医保控费等医疗 IT 细分领域带来了机会，行业有望保持高景气。有望在 IT 国产化浪潮中占得先机，首次覆盖给予“买入”评级我们预计 2020-2022 年公司营业收入分别为 101.75、119.97、140.87 亿元，实现归母净利润 11.37、13.83、16.01 亿元，对应 EPS0.36、0.44、0.51 元，对应 PE38、31、27 倍。我们选择政务 IT 系统集成商太极股份、中国软件、华宇软件和国产计算机硬件生产商中国长城作为可比公司。可比公司 2020 年 Wind 一致预期平均市盈率为 52 倍。考虑到公司与华为鲲鹏合作，有望在行业 IT 国产化浪潮中占得先机，给予公司 2020 年 52-55倍目标 PE，对应目标价 18.72-19.80 元，首次覆盖，给予“买入”评级。风险提示：鲲鹏生态落地进度低于预期；下游支付能力不及预期；商誉减值风险。,,华泰证券,买入,[None],2020-05-12,,买入,4240635,pdf_downloads/2020/2020-05-12/002065-东华软件（002065）：助力鲲鹏，成人达己.pdf,2065,东华软件,东华软件（002065）：助力鲲鹏，成人达己,"{
    ""forecasts"": [
        {
            ""year"": 2022,
            ""net_profit"": 16.01,
            ""eps"": 0.51,
            ""pe"": 27
        }
    ]
}",,,,,27.0,,,,,,0.51,
"朱松,朱芸",业绩总结：公司2019年全年实现营业收入88.5亿元，同比增长4.5%；实现归母净利润5.8亿元，同比下滑27.6%；实现扣非后归母净利润4.9亿元，同比增长2.7%。2020年一季度实现营收17.3亿元，同比增长5.4%，实现归母净利润为1.6亿元，同比增长2.4%。业绩符合预期，扣非后利润增速稳步增长。从营收端来看，公司收入占比较高的健康和金融行业增速分别为25.4%、0.6%，占营收比重分别为16%、49%，总体营收呈稳步增长态势。从利润端来看，在总体毛利率提高1个百分点的情况下，净利润增速相比营收下滑主要是因为：1）期间费用率上升0.7个百分点（研发费用率上升1.8个百分点）；2）2018年营收外收入基数较高（2018年子公司至高通信因业绩未达标而支付业绩补偿款）。从扣非归母净利润来看，公司2019年同比增长2.7%，处于稳步增长状态。医疗领域高景气度，公司优势明显。受益于电子病历等级测试、医保IT建设以及疫情因素对于医院端内部信息化和公共卫生信息化等需求的催化，我们预计医疗IT领域处于高景气状态。公司拥有百余家优质医疗客户，目前服务网络遍及全国31个省市区，2019年千万级订单总额超过板块收入的50%，同时新增客户明显（新签客户占总签约客户的30%）。同时，公司紧抓互联网医疗发展机遇，核心品牌健康乐已为全国100余家三甲医院的患者管理业务提供服务，截止2019年底，平台已入驻医生几万人，已管理患者病例超过千万，进展良好。牵手华为发力金融国产化，公司成长可期。公司在金融领域深耕，产品覆盖传统业务、互联网金融、云托管、金融信贷、征信反洗钱、融资租赁、投融资等领域。目前公司已成为了华为鲲鹏生态的核心生态伙伴，并且在宁波建立了鹏霄服务器生产基地，未来随着鹏霄服务器在金融领域的大规模应用，公司金融业务将在推动金融机构国产化的同时有效提高该业务的毛利率，助力业绩放量。盈利预测与投资建议。预计2020-2022年EPS分别为0.33元、0.47元、0.64元，未来三年归母净利润将保持50%的复合增长率。考虑到公司为系统集成领军企业，且充分受益于医疗IT行业高景气以及金融IT国产化浪潮，我们长期看好公司发展。首次覆盖，给予“持有”评级。风险提示：医疗客户需求不足、金融国产化替代不畅、集成业务毛利率下降。,,西南证券,持有,[None],2020-04-29,,增持,4231197,pdf_downloads/2020/2020-04-29/002065-东华软件（002065）：医疗高景气和金融国产化双轮驱动公司成长.pdf,2065,东华软件,东华软件（002065）：医疗高景气和金融国产化双轮驱动公司成长,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.33,
            ""pe"": null
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.47,
            ""pe"": null
        },
        {
            ""year"": 2022,
            ""net_profit"": null,
            ""eps"": 0.64,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.33,0.47,0.64,
"叶盛,王健辉,陈晓博","事件：2020年1月9日，华为公司联合东华软件宣布，基于鲲鹏处理器的“鹏霄”服务器首发问世，并在宁波市政务云上首次应用。同时，宁波鲲鹏生态创新中心正式揭牌，宁波鲲鹏产业园同步开园。“鹏霄”服务器是华为公司与东华软件基于计算技术和整机工程的生态共建结晶，由东华软件提供软件及集成技术支持，搭载了华为鲲鹏芯片和主板。现已经完成与操作系统、数据库、中间件，以及扫描仪、打印机等所有软硬件设备的兼容适配。点评：科技周期酝酿我国IT自主创新大周期，华为鲲鹏生态助推科技重构。2020年有望是“IT重构”规模化落地元年，从CPU、服务器、存储，到软件操作系统、数据库、中间件等都将呈现技术产品市场等相关生态重新构建，同时相关上市公司必将重新构建各自竞争领域核心竞争力，因此我们认为新时代信息产业发展已经进入新起点，重构IT核心竞争力，是传统IT厂商及科技创新创业公司的着眼点。华为鲲鹏产业生态布局将会带动相关公司充分受益“IT重构时代红利”。华为鲲鹏产业生态覆盖万亿市场空间，其中服务器与部件以及行业应用两大领域市场空间约6,000亿。东华软件作为相关领域领军上市公司将持续获得科技重构带来的技术红利与业绩红利。公司布局上游产业链，着眼商业模式升级，重构集成商价值。随着“鹏霄”的落地应用及“5G+鹏霄”生态建设的市场拓展，公司可以有效升级集成商业模式，提升盈利水平，有望在未来实现业务收入逾百亿及利润逾十亿增长。公司盈利预测及投资评级：公司近三年营业收入平稳增长，主要客户集中、稳定，市场空间增长前景良好，预计公司2019到2021年收入分别为98亿、125亿和164亿，归母净利润分别为6.8亿、10.8亿和13.8亿，对应PE分别为69倍、43倍和34倍，首次覆盖，给予“强烈推荐”评级。",,东兴证券,强烈推荐,[None],2020-01-17,,买入,4144171,pdf_downloads/2020/2020-01-17/002065-东华软件（002065）：IT重构元年，华为鲲鹏重构集成商产业模式.pdf,2065,东华软件,东华软件（002065）：IT重构元年，华为鲲鹏重构集成商产业模式,"{
  ""forecasts"": [
    {
      ""year"": 2021,
      ""net_profit"": 13.8,
      ""eps"": null,
      ""pe"": 34
    }
  ]
}",,,,34.0,,,,,,,,
陈宝健,事项：根据公司公众号披露，1月9日，公司与华为联合宣布，推出基于鲲鹏处理器的“鹏霄”服务器，并在宁波市政务云上首次应用。评论：联合华为发布“鹏霄”服务器，共同打造鲲鹏生态。据公司公告，“鹏霄”服务器搭载了华为鲲鹏芯片和主板，由东华提供软件及集成技术，现已经完成与操作系统、数据库、中间件，以及扫描仪、打印机等所有软硬件设备的兼容适配。公司核心应用已经在鲲鹏进行实体测试，未来将基于在医疗、金融、智慧城市等多领域布局，通过利用技术、市场等多方面优势，实现“鹏霄”服务器在公司所覆盖的行业领域进行大规模商业应用。腾讯转股，双方合作有望进一步加强。公司于1月9日与腾讯签署了《股份转让协议》，建水同欣、薛向东、郭玉梅拟将其合计持有的东华软件1.57亿股股份（占公司总股本的5.04%）以14.4亿元协议转让给腾讯科技，同时腾讯将同步从东华诚信退出。转股事宜完成，再次明确公司与腾讯的核心合作伙伴关系，双方将重点围绕传统行业数字化转型需求、聚焦医疗、政府、金融、能源等行业核心应用场景，重点继续在医疗云及医疗互联网应用、智慧城市及行业saas产品、能源物联网、金融大数据等方面展开更加深度合作。商誉风险初步释放，20年有望轻装上阵。根据公司业绩预告，2019年，公司预计实现净利润6-7亿，同比下滑13%-26%，预计计提的商誉减值准备金额为3-4亿元，可知公司实际净利润约为9-11亿元。我们判断计提商誉减值大概率为至高通信、威锐达、万兴软件三家子公司，本次计提减值后，公司在2020年有望轻装上阵。投资建议：公司作为华为、腾讯的核心合作伙伴，受益于各行业国产生态的快速建立，未来几年有望实现高速发展。我们预测公司2019-2021年归母净利润为6.46亿、13.44亿、16.37亿元，对应PE为67倍、32倍、27倍。参考中国软件、太极股份、神州信息等可比公司估值，综合给予公司2020年45倍PE，对应目标价19.42元，首次覆盖给予“强推”评级。风险提示：商誉减值风险；服务器业务竞争激烈；集成业务不及预期,,华创证券,强推,[None],2020-01-17,,买入,4142949,pdf_downloads/2020/2020-01-17/002065-东华软件（002065）重大事项点评：联合华为推出“鹏霄”服务器，共建鲲鹏生态展宏图.pdf,2065,东华软件,东华软件（002065）重大事项点评：联合华为推出“鹏霄”服务器，共建鲲鹏生态展宏图,"{
    ""forecasts"": [
        {
            ""year"": 2019,
            ""net_profit"": 6.46,
            ""eps"": null,
            ""pe"": 67
        },
        {
            ""year"": 2020,
            ""net_profit"": 13.44,
            ""eps"": null,
            ""pe"": 45
        },
        {
            ""year"": 2021,
            ""net_profit"": 16.37,
            ""eps"": null,
            ""pe"": 27
        }
    ]
}",,67.0,45.0,27.0,,,,,,,,
何柄谕,"投资事件：公司发布2019年三季报：（1）前三季度收入57.33亿元，增速14.34%，归母净利润7.53亿元，增速15.15%，扣非归母净利润7.26亿元，增速16.72%。（2）第三季度收入21.40亿元，增速13.24%，归母净利润3.67亿元，增速14.34%，扣非归母净利润3.65亿元，增速21.89%。业绩稳定增长，公司运营情况良好。公司整体运营情况良好，收入增速14.34%，归母净利润增速15.15%,业绩实现稳定增长。毛净利率维持相对稳定，前三季度整体毛利率34.99%，净利率12.88%，分别同比提高2.15个百分点和0.01个百分点。整体来看，公司前三季度运营情况良好，业务发展稳定，业绩实现稳定增长。加大研发投入，新产品新技术成果丰硕。前三季度公司研发投入5.62亿元，同比增速高达71.38%。医疗方面，公司研发并上线运行孕产妇保健管理系统（门诊）、多学科会诊管理系统（MDT）、临床诊断管理平台；金融方面，公司研发出线上自助贷款产品与助贷机构合作的信贷产品；工业互联网方面，公司成功研发基于虚拟现实VR技术与工控SCADA技术融合的SASS管控平台产品；公安军警方面，公司自主研发军警用枪弹管控平台及枪弹管控专用服务器等软硬件设备。新产品新技术成果丰硕，为公司业绩持续稳定增长奠定坚实的基础。医疗IT业务高成长，未来发展空间广阔。公司的医疗IT业务板块在业内享受较高的知名度。医疗IT行业景气度提升，公司医疗IT业务实现高速增长。今年上半年公司医疗IT业务收入6.96亿元，同比增速高达35.47%，实现高速增长。医院信息化方面，今年以来，东华医为相继签约陆丰市甲子人民医院、唐山弘慈医院、四川大学华西医院、中国医科大学第一医院等大型项目，并且在安徽省长丰县人民医院云HIS成功上线，成为全国首家基于混合云的“医疗云”落地项目。医保信息化方面，公司成功中标国家医保局信息系统第9包，DRG产品已经落地283家医院，2019年上半年DRG项目量同比提升11%。公司在医院以及医保信息化领域进展良好，未来发展空间广阔。投资建议：预计公司2019/2020/2021年EPS0.32/0.38/0.45元，对应PE约为21.90/18.75/15.78倍，给予“增持”评级。风险提示：业务发展不及预期",,中泰证券,增持,[None],2019-10-29,,增持,3956990,pdf_downloads/2019/2019-10-29/002065-东华软件（002065）：业绩稳定增长，医疗IT业务成长空间广阔.pdf,2065,东华软件,东华软件（002065）：业绩稳定增长，医疗IT业务成长空间广阔,"{
    ""forecasts"": [
        {
            ""year"": 2019,
            ""net_profit"": 7.53,
            ""eps"": 0.32,
            ""pe"": 21.90
        },
        {
            ""year"": 2020,
            ""net_profit"": null,
            ""eps"": 0.38,
            ""pe"": 18.75
        },
        {
            ""year"": 2021,
            ""net_profit"": null,
            ""eps"": 0.45,
            ""pe"": 15.78
        }
    ]
}",,,21.9,18.75,15.78,,,,0.32,0.38,0.45,
赵成,"事件：公司全资子公司东华医为与腾讯云计算、九州通于7月25日签署《关于医院处方外流信息共享平台及药品配送解决方案战略框架合作协议》，共同推进医院处方外流信息平台及药品配送解决方案发展。
腾讯C端加持，“互联网+医药”模式升级
“互联网+医药”模式获得政策的高度扶持，医联体、在线诊疗的建设促进企业IT投入加大。公司目前拥有500多家医院客户，其中300多家是三级以上医院，B端医疗机构卡位优势明显，同时腾讯作为优质的互联网企业，天然拥有C端流量资源，医疗领域作为双方合作的重点方向可以体现强大资源的整合。公司强大的B端客户（三甲医院资源）和解决方案积累将与腾讯海量的C端资源（收费入口）和互联网基因形成良性闭环，在互联网医疗政策推动的背景下，有望加快“互联网+医药”模式的推广进度。
线上、线下共振，加速流量变现
在与腾讯深度合作的基础上，公司再度携手线下经销商将实现线上、线下共振，加速流量变现。九州通作为一家从事药品分销及物流配送的全国性企业，在BTB、BTC以及OTO等业务中均处于行业领先地位。根据IDC数据显示，互联网医疗行业的市场空间至2020年有望达到430亿元，而公司在拥有线上资源及平台优势的基础上与九州通进行合作将实现对机构的市场化集团采购（GPO）与供应链的无缝衔接，有望打通“电商+处方平台+直送+在线结算”药品服务模式的最后一环。
盈利预测及投资建议
考虑到公司在互联网医疗领域具有明显的龙头优势，与腾讯深度合作将为公司带来的增长潜力，而携手线下渠道商则有望加速流量变现。我们预计公司2018-2020年净利润10.5亿元、12.0亿元、13.6亿元，对应EPS为0.33元、0.38元、0.43元，对应PE为28.9倍、25.3倍、22.3倍，首次覆盖予以“增持”评级。
风险提示:商誉减值风险；合作进度不及预期风险。",,财通证券,增持,[None],2018-07-26,,增持,2242510,pdf_downloads/2018/2018-07-26/002065-东华软件（002065）：强强联合，“互联网+医药”模式清晰.pdf,2065,东华软件,东华软件（002065）：强强联合，“互联网+医药”模式清晰,"{
    ""forecasts"": [
        {
            ""year"": 2020,
            ""net_profit"": 13.6,
            ""eps"": 0.43,
            ""pe"": 22.3
        }
    ]
}",,,,,22.3,,,,,,0.43,
