author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"屈俊,于博文,陶明婧",核心观点核心管理层平稳接班，战略定力和经营思路延续。2 月 26 日，宁波银行发布董事会决议公告，董事会审议通过了选举庄灵君先生为新任董事长的议案，任职资格尚需报宁波金融监管局核准。庄灵君先生成长于宁波银行内部，履职长达20年左右，此次管理层换届平稳过渡，新管理层深度继承原有经营理念与风控文化，有望保持公司战略方向、业务打法与经营节奏的高度稳定，为后续发展提供关键保障。存量风险加速出清，资产质量拐点预计出现。1）及时识别和确认风险，21年起零售贷款增长放缓，25H1余额明显压降，果断降低风险偏好。2）风险处置节奏领先同业，核销力度早于同业大幅抬升，并自25年起趋于下降，不良处置力度基本见顶，存量风险出清领先市场。3）清收能力强，26年预计收回部分前期处置的不良贷款，有效回补利润。前瞻性指标趋势向好，不良生成率自24H2回落，资产质量拐点预计于26年出现。对公转型成效显著，活期占比逆势抬升。1）“五管二宝”前瞻布局，锁定中小企业客户同时，以“财资大管家”和“鲲鹏司库”等核心产品切入央国企和政信客户，拓展客群经营基本盘。2）对公贷款强势扩张支撑高成长性，大中型客户贷款增长迅猛，以制造业和批发零售业为固有优势，拓展基建、租赁商务服务业贷款增量；区域角度，拓展江苏省、浙江省除宁波市外的渗透率，区域资质良好，市场空间广阔。3）较强的议价能力，叠加活期存款占比逆势提升，息差表现持续韧性。多元化利润中心优势突出，基本面持续改善。较早布局利润中心建设，支撑业绩平稳表现。四大子公司利润贡献度持续提升，顺应市场变化迅速扩大份额；财富管理能力突出，资本市场回暖下，手续费上行空间预计超出同业。ROE兼具高水平和稳健性，随着资产质量拐点出现带动信用成本下行，对公业务高增驱动成长性持续，低成本负债优势下息差韧性凸显，基本面拐点有望出现，带动估值回升。预计公司 25/26/27年归母净利润同比增速为8.1%/10.2%/10.6%，BVPS分别为35.06/38.96/43.27元（原预测值为35.08/38.92/43.10元，根据最新经营数据调整），当前 A股股价对应0.90/0.81/0.73倍PB。采用历史估值，参考近4年PB（FY1）中枢，给予26年0.96倍PB，目标价37.24元 /股，给予“买入”评级。风险提示：经济复苏不及预期；货币政策超预期收紧；资本市场波动超预期。,,东方证券,买入,[None],2026-03-08,,买入,8490189,pdf_downloads/2026/2026-03-08/002142-宁波银行（002142）：深度报告：核心管理层平稳接班，风险拐点领先市场确立.pdf,002142,宁波银行,宁波银行（002142）：深度报告：核心管理层平稳接班，风险拐点领先市场确立
"沈娟,贺雅亭,蒲葭依",2026年2月27日│中国内地 区域性银行 2月26日，宁波银行完成董事会换届选举，董事会公告陆华裕先生因到龄离任，选举庄灵君先生为新任董事长，并聘任冯培炯先生为新任行长，二人任职资格尚待宁波金融监管局核准。本次换届平稳过渡，新班子以内部培养干部为主力，我们预计将有利于保持战略定力，新任管理层依托宁波地处经济活跃区的区位优势，继续深化专业化、数字化经营，持续积累差异化比较优势，看好公司的长期投资价值，维持买入评级。新老交替有序，继任平稳履新陆华裕先生自2005年起出任宁波银行董事长，执掌帅印长达21年，带领宁波银行从一家地方区域性银行成长为总资产超3.6万亿、经营稳健、特色鲜明的系统重要性银行，其奠定的扎实家底和优秀企业文化为公司的长远发展构筑了坚实根基。而庄灵君先生则为内部培养的75后“老宁波人”，现年47岁，自2006年加入公司，历任多个核心岗位，并于2022年起担任行长，深度参与了近年的经营管理，对宁波银行的风控体系和文化理念理解深刻，预计其履新后将能快速进入角色，保持管理层交接的平稳有序。核心团队稳定，战略传承可期董事会聘任冯培炯先生为新任行长，其同样为内部培养的资深银行家，此前担任副行长多年。新一届领导班子中，付文生、王勇杰、徐雪松等多位副行长及核心高管亦同步获聘，管理团队的整体稳定性和专业能力得到保障。本次换届既是年龄到岗的自然结果，也顺应了加强公司治理、推进干部队伍年轻化和规范化的监管导向，从新班子的构成来看，执行董事及高管团队均具备丰富的基层历练和多条线管理经验，有利于保持公司经营策略的连贯性和执行力。发展势头强劲，长期价值凸显宁波银行25年业绩快报表现优异，2025年实现营业收入719.68亿元，同比增长8.01%；归母净利润293.33亿元，同比增长8.13%。在行业息差收窄背景下，公司利息净收入同比增长10.77%，手续费净收入大幅增长30.72%，轻资本业务增长势头良好。信贷投放保持强劲，贷款总额同比增长17.43%。随换届靴子落地、平稳过渡交接，公司基本面扎实、治理结构清晰、战略连续性强的核心逻辑未变，我们认为新任管理层将依托宁波地处经济活跃区的区位优势，继续深化专业化、数字化经营，持续积累差异化比较优势，看好公司的长期投资价值。给予26年目标PB1.0倍鉴于中收增速较为亮眼，我们预测26-27年归母净利润327/366亿元（前值322/353亿元，上调1.6%、3.8%），同比增速11.4%/12.0%，26E BVPS 39.07元，对应PB0.79倍。宁波银行近1年PB（lf）均值为0.86倍（截至26/2/26，前值0.84倍）。公司成长性较高，经营与风控禀赋突出，应享一定估值溢价。且考虑到公司信贷投放保持强劲，息差韧性较强，财富管理能力突出，业绩表现有望持续修复。给予26年目标 PB1.00倍（不变），目标价39.07元（前值35.12），买入评级。风险提示：需求修复不及预期；资产质量恶化超预期。,,华泰证券,买入,[None],2026-02-27,,买入,8459046,pdf_downloads/2026/2026-02-27/002142-宁波银行（002142）：管理层平稳过渡，业绩增长动能强劲.pdf,002142,宁波银行,宁波银行（002142）：管理层平稳过渡，业绩增长动能强劲
"马婷婷,陈惠琴",本报告导读：展望2026年，宁波银行有望继续在四个维度实现基本面与业绩双改善：信贷高增长、以综合化经营优势沉淀活期存款、发挥财富管理及国际结算优势推动中收增长、优化资产布局减轻信用成本压力。投资要点：投资建议：宁波银行2026年有望保持贷款高增、息差平稳、不良生成下降的趋势，业绩积极向好。维持2025-2027年归母净利润增速预测为8.6%、10.9%、12.4%，给予目标估值为2026年1倍PB，对应目标为38.89元，维持增持评级。扩表：25Q4总资产、总贷款增速分别为16.1%、17.4%，贷款持续高增，在上市银行中保持领先优势，贷款在占总资产比重较年初提升0.54pct至47.77%，资产结构持续优化。2025年对公企业客户数同比高增13.6%至74.61万户，2026年在扎实的客户基础上，宁波银行贷款仍将维持较高增速。业绩：2025A营收、归母净利润增速分别为8.01%、8.13%，分别较2025年前三季度略微下降0.3pct、下降0.3pct。其中：1） 利息净收入：同比增长10.77%，较25Q1-Q3增速下降1.1pct。全年存款付息率同比下降33bp至1.61%（25H1、25H2分别下降23bp、下降10bp），2025年12月当月付息率1.42%，同比下降44bp，负债成本进一步降低。宁波银行通过数字化系统赋能企业经营，带动结算存款提升，活期存款新增占比高达70.84%，活期存款存量占比较年初逆势提升3.7pct至34.4%。2） 手续费及佣金净收入：同比增长30.7%，较25Q1-Q3增速提升1.4pct，得益于权益市场维持较高热度，AUM同比增长13.07%至1.28万亿元，子公司永赢基金、宁银理财业绩表现优异，亦形成明显贡献；此外，宁波银行国际业务优势显著，持续创收，2025年国际业务结算量达3199亿美元，同比增长12.36%。3） 其他非息收入：同比下降9.02%，与前三季度增速基本持平。4） 成本收入比：2025年宁波银行持续加强成本费用管控，成本收入比同比下降2.8pct至32.72%。资产质量：截至25Q4末不良率、拨备覆盖率分别为0.76%、373.2%，分别较上季度末保持平稳、下降3pct。宁波银行主动加大存量不良贷款处置力度，预计未来风险生成压力有望逐季减轻。风险提示：规模增长低于预期；资产质量恶化；成本改善不及预期。,,国泰海通,增持,[None],2026-01-26,,买入,8360112,pdf_downloads/2026/2026-01-26/002142-宁波银行（002142）：2025年业绩快报点评：中收增速超30%，活期存款新增占比高达70%.pdf,002142,宁波银行,宁波银行（002142）：2025年业绩快报点评：中收增速超30%，活期存款新增占比高达70%
"林瑾璐,田馨宇",中收增长亮眼——2025年业绩快报点评事件：1月20日，宁波银行发布2025年业绩快报，全年实现营业收入、归母净利润719.7亿、293.3亿，同比增长8.0%、8.1%（1-3Q25：8.3%、8.4%）。年化加权平均ROE为13.11%，同比下降0.48pct。年末不良率0.76%，环比持平；拨备覆盖率373.2%，环比下降2.8pct。点评：营收利润增速环比微降，中收增长亮眼。2025年宁波银行营业收入、归母净利润719.7亿、293.3亿，同比增长8.0%、8.1%，增速较前三季度均下降0.3pct。拆分营收来看：（1）净利息收入同比+10.8%，主要是规模驱动；增速较前三季度下降1pct，与四季度规模增速季节性放缓有关，息差或基本保持平稳。（2）中收同比+30.7%，增速较前三季度提升1.4pct。中收高增既有低基数因素，也受益于资本市场回暖带来的财富管理、托管等中收快速增长。截至2025年末，宁波银行个人客户AUM同比增长13.07%，增速高于一般存款；托管业务CUM同比增长13.27%，轻资本业务优势凸显。核心营收（净利息收入+中收）同比+12.5% 。（3）其他非息收入同比 -9%，主要是四季度债市调整；但宁波银行TPL账户占比不高，且上年同期基数较低，其他非息对业绩的拖累相较同业来说较小。信贷保持双位数增长，存款增速小幅上升。2025年末宁波银行总资产同比+16.1%，贷款同比+17.4%，规模增速预计处于上市银行前列；增速较三季度末略有下降，符合信贷投放季节规律。年末贷款占总资产比重47.8%，较年初提升0.54pct，资产结构持续优化。2025年末存款同比+10.3%，较三季度末上升0.4pct。公司积极优化存款结构，主动管控负债成本；2025年新增活期存款占比70.8%，存款付息率同比下降33bp，2025年12月当月存款付息率1.42%，同比下降44bp，预计全年净息差降幅进一步收窄。不良率继续保持平稳，拨备覆盖率环比小幅下降。2025年末宁波银行不良贷款率为0.76%，同比、环比持平。拨备覆盖率373.2%，拨备水平依然充足；环比下降2.8pct，较年初下降16.2pct，主要由于近两年零售行业风险抬升，公司核销处置保持较大力度。投资建议：在2025年实体信贷需求偏弱的环境下，宁波银行积极扩表、规模实现高增长；净息差在负债成本持续优化下保持韧性，叠加中间业务收入高增长，公司核心营收表现亮眼。资产质量指标总体平稳，拨备覆盖率下降趋缓。在核心营收高增+资产质量平稳下，预计宁波银行2025-2027年归母净利润增速分别为 8.1%、9.8%、9.9%，对应BVPS分别为33.7、37.5、41.6元/股。2026年1月20日收盘价对应2026年0.76倍PB估值。维持“强烈推荐”评级。风险提示：经济复苏、实体需求恢复、信贷规模扩张不及预期；行业净息差大幅收窄；资产质量出现预期外大幅波动。,,东兴证券,强烈推荐,[None],2026-01-22,,买入,8353378,pdf_downloads/2026/2026-01-22/002142-宁波银行（002142）：全年盈利平稳，中收增长亮眼.pdf,002142,宁波银行,宁波银行（002142）：全年盈利平稳，中收增长亮眼
"王先爽,乔丹","事件概述：1月20日，宁波银行披露2025年度业绩快报，宁波银行营收利润增速保持稳定，中收高增30%+表现亮眼。存贷稳步增长，其中新增存款活期占比较高，负债成本下降预计将支撑息差逐步企稳。不良保持低位稳定，成本管控继续加强。业绩增速平稳，中收高增。2025年公司实现营业收入同比增长8.0%，归母净利润同比增长8.1%，同比增速环比三季度均小幅下降0.3个百分点，整体保持稳定。拆开来看，净利息收入、净手续费收入和净其他非息收入同比增速分别为10.77%、30.72%和-9.02%，分别较三季度环比变化-1.1、+1.4、0个百分点，中收延续下半年以来的高增，表现较为突出。公告披露截至2025年末，公司个人AUM达12,757亿元，同比增长13.07%；私人银行客户28,901 户，同比增长15.20%；托管业务CUM规模53,734亿元，同比增长13.27%，显示公司财富管理以及企业综合服务等轻资本业务发展势头良好。存贷保持较高增速，新增活期占比高。2025年贷款、存款同比增速分别为17.4%、10.3%，存贷依然保持较高增速。资产端公司25年末服务进出口企业客户6.77万户，较年初增加4,912户，国际结算量3,198.93亿美元，同比增长12.36%，在外部环境不确定的情况下服务进出口企业的比较优势进一步凸显；负债端公司25年末活期存款新增占比70.84%，存款活化成果显著，带动存款付息率同比下降33BP，2025年12月当月付息率1.42%，同比下降44BP，负债成本降低预计将支撑息差进一步企稳。资产质量保持优秀水平，成本管控力度加强。2025年末，公司不良率0.76%，继续保持低位稳定；拨备覆盖率373.16%，环比三季度小幅下降2.76pct，拨备水平保持充足。2025 年公司成本收入比同比下降2.80个百分点，降幅较三季度进一步扩大，体现了公司持续加强成本费用管控。投资建议：宁波银行长期以来坚持实施“大银行做不好，小银行做不了”的策略，以市场化经营为特色，深耕优质经营区域，信贷规模增速高于行业，资产质量保持稳定。公司近年来对公端积极为客户提供综合化服务，零售端加力发展财富管理业务，进入银行经营的新阶段。我们根据快报相应修改了公司存贷增速及收益率等指标，预计2025-2027年营业收入分别为719.68/806.92/908.04亿元，同比增长8.0%/12.1%/12.5%；归母净利润为293.33/329.23/372.85亿元，同比增长8.1%/12.2%/13.2%。对应EPS分别为4.29/4.83/5.49元，对应2026年1月20日股价的PE分别为7/6/5倍。维持“推荐”评级，建议积极关注。风险提示：经济增速不及预期；宏观政策力度不及预期；存款竞争加剧。",,国联民生证券,推荐,[None],2026-01-21,,增持,8349189,pdf_downloads/2026/2026-01-21/002142-宁波银行（002142）：2025 年度业绩快报点评：中收表现亮眼.pdf,002142,宁波银行,宁波银行（002142）：2025 年度业绩快报点评：中收表现亮眼
"戴志锋,邓美君,马志豪",报告摘要营收利润增速保持稳健。宁波银行2025营收同比+8.0%（vs1~3Q25同比+8.3%），净利润同比+8.1%（vs1~3Q25同比+8.4%）。4季度营收和净利润增速均基本稳健，2024年由于核销力度较大预交的高所得税在2025年获得了税收返还的释放，预计从2026年起营业利润和净利润之间的剪刀差将会回归至正常水平。4Q24/1Q25/1H25/3Q25/4Q25公司累积营收同比增长8.2%/5.6%/7.9%/8.3%/8.0%；归母净利润同比增长6.2%/5.8%/8.2%/8.4%/8.1%。资产端：贷款维持高增。（1）同比增速：总资产同比+16.1%，其中总贷款同比增17.4%，均维持较高增速。贷款占比资产47.8%，环比下降0.2个点，但较年初提升0.5个点。（2）信贷增量：2025全年贷款新增2572.5亿，同比多增339.05亿；但Q4单季新增164.9亿，同比少增38.68亿，主要由于2025年信贷投放更为前置，一季度投放量占全年增量达64%。负债端：存款增速有所放缓。（1）同比增速：2025全年宁波银行总负债同比增16.9%，总存款同比增10.3%，存款占比总负债比重59.9%，环比下降1.7个点。（2）存款增量：4季度单季减少229.2亿，但同比少减44.9亿。不良率环比持平，拨备覆盖率有所下行。1、不良维度——不良率环比持平在0.76%的较低水平。2、拨备维度——拨备覆盖率略有下行，公司拨备覆盖率373.16%，环比下降2.76个百分点；拨贷比2.84%，环比下降1bp。宁波银行2025年拨备覆盖率和拨贷比指标总体保持稳定，表明2024年的快速核销已显出效果，2025年的营收增速、利润增速、不良的生成与核销速度均保持匹配，公司报表处于较为健康的状态。根据公司已出业绩快报，我们调整盈利预测，预计25E-27E归母净利润为293亿、323亿、354亿（前值为286亿、305亿、329亿）。投资建议：公司2025E、2026E、2027EPB0.87X/0.78X/0.69X，市场化机制是其稀缺性和成长性的保障：①宁波银行市场机制灵活、管理层优秀，是具有稀缺性的优质银行代表，这是宁波银行高成长性持续的关键因素。②宁波银行资产质量优异且历经周期检验。建议重点关注，维持“增持”评级。风险提示：经济下滑超预期、公司经营不及预期、研报信息更新不及时。,,中泰证券,增持,[None],2026-01-21,,增持,8349004,pdf_downloads/2026/2026-01-21/002142-宁波银行（002142）：2025业绩快报：各项主要指标均保持稳健.pdf,002142,宁波银行,宁波银行（002142）：2025业绩快报：各项主要指标均保持稳健
"陈俊良,王剑",宁波银行披露2025年度业绩快报。公司2025年实现营业收入720亿元，同比增长8.0%，实现归母净利润293亿元，同比增长8.1%，加权平均净资产收益率13.1%。资产规模保持较快增长。公司2025年末资产总额3.63万亿元，较年初增长16.1%，保持较快的扩张速度。其中年末贷款总额1.73万亿元，较年初增长17.4%；存款总额2.02万亿元，较年初增长10.3%，增速相对较低，但活期存款新增占比高达71%。公司2025年末归属于普通股股东的净资产2225亿元，较年初增长6.8%。年末核心一级资本充足率9.34%，较年初下降0.50个百分点。营收利润增速基本平稳，ROE继续回落。公司2025年实现营业收入720亿元，同比增长8.0%，增速较前三季度略降0.3个百分点；2025年实现归母净利润293亿元，同比增长8.1%，增速较前三季度略降0.3个百分点。其中，公司2025年实现利息净收入532亿元，同比增长10.8%，增速较前三季度略降1.0个百分点；全年实现手续费净收入61亿元，同比增长30.7%，增速较前三季度提高1.4个百分点；全年实现其他非息收入127亿元，同比下降9.0%，增速与前三季度持平。公司2025年实现加权平均净资产收益率13.1%，比去年同期下降0.5个百分点。不良贷款率和拨备覆盖率基本稳定。截至2025年末，公司不良贷款率0.76%，较年初和三季度末均持平；2025年末拨备覆盖率373%，较年初下降16个百分点，环比三季度末回落3个百分点。整体来看，公司不良率、拨备覆盖率大致平稳，资产质量稳定。公司目前拨备覆盖率仍然较高，有助于维持未来净利润的稳定增长。投资建议：公司快报数据显示的整体业绩表现较为稳定，与三季报相比变化不大，目前公司拨备覆盖率仍处于较高水平，有助于维持业绩增长的稳定性。我们维持盈利预测不变，预计公司2025-2027年归母净利润292/317/341亿元，同比增速7.6%/8.4%/7.7%；摊薄EPS为4.27/4.64/5.01元；当前股价对应的PE为6.7/6.2/5.7x，PB为0.82/0.74/0.67x，公司2025年动态股息率估计为3.4%，维持“优于大市”评级。风险提示：宏观经济形势走弱可能对银行资产质量产生不利影响；快报数据可能与最终定期报告披露的数据存在差异。,,国信证券,优于大市,[None],2026-01-21,,买入,8348171,pdf_downloads/2026/2026-01-21/002142-宁波银行（002142）：2025 年度业绩快报点评：业绩表现稳定.pdf,002142,宁波银行,宁波银行（002142）：2025 年度业绩快报点评：业绩表现稳定
"马婷婷,陈惠琴",投资建议：宁波银行有望保持贷款高增、息差平稳、不良生成下降的趋势，业绩积极向好。维持2025-2027年归母净利润增速预测为8.6%、10.9%、12.4%，对应BVPS为35.03、38.89、43.22元/股，给予目标估值为2026年1倍PB，对应目标为38.89元，维持增持评级。对公客户转型支撑规模增长：宁波银行以财资大管家和鲲鹏司库为抓手，切入央国企和头部上市公司赛道，2025Q1-3贷款的同比增速高达17.9%。结构上看，2024下半年以来增量贷款以对公为主。1）从公司银行条线看，大中型企业客户的贷款增势迅猛，24H2、25H1分别贡献贷款增量的35.8%、82.9%；2）分行业看，24H2、25H1租赁商务服务业、建筑业等广义基建领域贡献贷款增量的59.4%、66.6%。2026年在扎实的客户基础上，贷款仍将维持较高增速。负债管理能力助力息差平稳：1）活期存款占比逆势提升：宁波银行通过数字化系统赋能企业经营，带动结算存款提升，25H1在总存款高增2400亿情况下，活期存款占比较年初+4.5pct至35.2%，同期上市银行活期存款占比下降0.6pct；2）存款期限管理能力优异：25Q2末剩余期限在1-5年存款占比较24Q2末下降10pct，同期上市银行仅下降1.5pct。宁波银行25H1存款成本较2024年下降23bp（上年同期仅下降5bp），存款重定价节奏加快将进一步改善负债成本，对2026年息差形成支撑。手续费收入多点开花：25Q1-Q3手续费及佣金净收入同比增长29.3%，代理类、托管类等财富管理收入增长形成有力支撑。理财及基金子公司有望持续受益资本市场繁荣（25H1永赢基金收入9.0亿元，同比+42.2%；宁银理财规模达6011亿，收入7.9亿元、同比+18.7%，部分理财产品有超额收益计提条款，浮动管理费收入或能增强业绩向上弹性），同时汇率双边波动也会催生客户锁汇需求，有望提振国际业务收入增长。资产质量拐点已现：不良生成率自24Q1的高点1.23%持续下降至25Q3的0.92%，宁波银行主动加大存量不良贷款处置力度，预计未来风险生成压力有望逐季减轻，信用成本下降有望带来利润弹性。风险提示：规模增长低于预期；资产质量恶化；成本改善不及预期。,,国泰海通,增持,[None],2025-12-28,,买入,8298919,pdf_downloads/2025/2025-12-28/002142-宁波银行（002142）：深度报告：迈向新台阶：2026年基本面与业绩双改善.pdf,002142,宁波银行,宁波银行（002142）：深度报告：迈向新台阶：2026年基本面与业绩双改善
"屈俊,于博文,陶明婧","核心观点母净利润增速（累计同比增速，下同）分别为+8.3%/+12.9%/+8.4%，分别较25H1+0.4pct、+1.1pct、+0.2pct。拆分来看：净利息收入同比+11.8%，增速环比改善，得益于息差环比企稳，同时规模稳健扩张；手续费净收入同比+29.3%，增速环比大幅提升25.3pct，预计资本市场活跃，财富相关收入增长良好；其他非息收入同比-9.0%，增速环比-9.5pct，受三季度债市回调影响，公允价值变动损益减少。（环比微降0.8pct），其中对公/零售贷款同比分别+32.1%/-2.0%。三季度贷款新增436亿元，规模增长主要来自对公贷款驱动，票据贴现明显压降，零售规模环比基本持平。负债端，存款总额同比增速为9.9%（环比-2.8pct），存款增速回落，主动负债规模大幅提速。持平。根据测算，负债成本持续改善，基本对冲资产端下行压力。往后看，定期存款到期重定价仍在进程中，负债成本压降仍有可观空间，息差趋势有望保持。良贷款率长期稳定于0.76%，关注率较25H1+6bp至1.08%，预计主要是零售及小微企业风险持续暴露；测算不良净生成率环比再降7bp至0.93%，稳步回落。拨备覆盖率环比+1.1pct至376%，拨贷比环比+1bp，连续两个季度回升，风险抵补能力边际增强，资产质量呈现持续向好的趋势。盈利预测与投资建议根 据 25Q3 财 报 数 据 ， 预 测 公 司 25/26/27 归母净利润同比增速分别为
8.5%/8.6%/8.7% ， BVPS 为 35.08 元 /38.92 元 /43.10 元 （ 原 预 测 值 为
35.01/38.75/42.82 元，主要是适度调整息差预期），当前股价对应 25/26/27 年 PB
为 0.79X/0.71X/0.64X。采用历史估值法，参考公司近三年 PB（FY1）均值，给予
25 年 0.88 倍 PB，对应合理价值 30.80 元/股，维持“买入”评级。风险提示
经济复苏不及预期；信贷需求不及预期；资产质量恶化",,东方证券,买入,[None],2025-10-30,,买入,7027399,pdf_downloads/2025/2025-10-30/002142-宁波银行（002142）：25Q3财报点评：业绩持续提速，不良生成改善.pdf,002142,宁波银行,宁波银行（002142）：25Q3财报点评：业绩持续提速，不良生成改善
"林瑾璐,田馨宇",小幅提升，资产质量稳中向好——2025年三季报点评事件：10月27日，宁波银行发布2025年三季报，1-3Q25实现营业收入、归母净利润549.8亿、224.5亿，同比增长8.3%、8.4%（1H25：7.9%、8.2%）。年化加权平均ROE为13.81%，同比下降0.7pct。9月末不良率0.76%，环比持平；拨备覆盖率375.9%，环比提高1.7pct。点评：营收利润增速环比均小幅提升，主要得益于净息差降幅收窄之下净利息收入增速提升，以及中收在低基数下实现高增长。1-3Q25宁波银行营收549.8亿、同比+8.3%，增速较上半年提升0.4pct。其中，（1）净利息收入同比增速较上半年提高0.7pct至+11.8%。主要得益于净息差同比降幅收窄，同时规模保持大双位数增长。（2）中收同比增长29.3%，增速较上半年提高25.3pct。中收高增既有低基数因素，也受益于资本市场回暖带动代销等财富管理业务中收增长。（3）其他非息收入同比下降9%，主要是三季度债市调整影响。成本端，管理费用、税收正贡献与拨备拖累基本对冲。（1）宁波银行今年以来保持较大拨备计提力度，信用减值损失同比+33.6%；拨备拖累盈利8.5pct。（2）成本、税收分别正贡献盈利4.6pct、4.2pct。1-3Q25归母净利润224.5亿，同比增长8.4%，增速环比提高0.2pct。对公业务支撑下，信贷保持较快增长。截至9月末，宁波银行总资产同比+16.6%，其中，贷款、债券投资、同业资产同比+17.9%、+17.9%、12.5%，规模增速预计处于上市银行前列。细分贷款来看，对公贷款同比+32.1%、环比+7.8%，三季度新增贷款均来自对公贷款，显示了公司较强的信贷组织和客户经营能力。零售同比 -2.0%、环比基本持平，主要是当前居民加杠杆意愿不足，购房按揭、消费贷、经营贷需求仍未改善，与此同时零售风险仍在暴露，公司加快风险暴露核销处置、主动抬高准入门槛。净息差阶段性企稳，单季度息差环比上升。1-3Q25宁波银行净息差1.76%，环比持平，同比下降9bp，今年以来降幅逐季收窄。主要得益于负债成本的持续改善及资产收益率下行趋缓。测算3Q25单季度净息差环比提升6bp，其中，负债付息率环比下降10bp，生息资产收益率环比下降3bp。资产质量稳健，不良生成率继续回落。9月末，宁波银行不良贷款率为0.76%，同比、环比持平；关注贷款率1.08%，环比上升6bp。从不良核销处置来看，前三季度核销不良贷款86.1亿，较去年同期有所减少、但仍是历史较高水平，核销处置力度较大。测算加回核销转出后不良净生成率为0.99%，环比下降6bp、同比下降26bp，今年以来不良生成率呈现稳步回落趋势。拨备方面，9月末拨备覆盖率375.9%，环比提升1.7pct，已连续两个季度回升。投资建议：在今年全行业信贷需求偏弱的环境下，宁波银行规模实现高增长，净息差保持韧性，叠加中间业务收入恢复增长，公司核心营收增长亮眼。资产质量指标平稳，不良生成率稳步回落，拨备覆盖率已连续两季度企稳回升。在核心营收高增+资产质量平稳下，预计宁波银行全年营收、利润将继续保持大个位数增长。预计2025-2027年归母净利润增速分别为 8.6%、9.5%、10.0%，对应BVPS分别为35.0、38.8、43.0元/股。10月29日收盘价27.75元/股，对应2025年0.79倍PB估值。维持“强烈推荐”评级。风险提示：经济复苏、实体需求恢复、信贷规模扩张不及预期；行业净息差大幅收窄；资产质量出现预期外大幅波动。,,东兴证券,强烈推荐,[None],2025-10-30,,买入,7026295,pdf_downloads/2025/2025-10-30/002142-宁波银行（002142）：营收利润增速小幅提升，资产质量稳中向好.pdf,002142,宁波银行,宁波银行（002142）：营收利润增速小幅提升，资产质量稳中向好
