author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"姜雪晴,袁俊轩,刘宇浩","核心观点事件：公司与凯迪股份签署战略合作协议，布局机器人赛道。公司持续落实机器人领域布局，彰显发展决心。据公司公众号，公司与凯迪股份于1月26日签署战略合作协议，携手布局机器人关键零部件赛道。此前公司于2025年12月完成设立机器人子公司，注册资本1亿元，公司连续落实机器人领域布局，彰显了公司在机器人领域的发展决心。公司与凯迪股份优势互补，预计有望进军机器人关节模组领域。凯迪股份是线性驱动领域的企业，产品应用于智能家居、智慧办公、健康医疗、工业传动、汽车零部件等领域，子公司凯程精密主要从事汽车智能开闭系统的研发、生产、销售，产品包括电动撑杆、脚踢传感器、车身后域控制器等。凯迪股份在精密传动、电机控制领域具备深厚的技术积累，凭借在丝杆、电机、控制、涡轮等领域的研发自制经验逐步向机器人行业拓展。我们认为公司与凯迪股份将在机器人领域实现强强联合、优势互补：凯迪股份在线性驱动、电机、电控等领域的技术优势及制造经验将为公司布局机器人关节模组等产品持续赋能，公司成熟的制造能力、完善的供应链体系、丰富的国内外客户资源以及全球化产能布局将为双方合作项目打开全球市场、实现规模化落地提供坚实保障。随着双方合作持续推进，预计公司或将有望逐步形成机器人关节模组等产品的研发及制造能力，凭借客户资源及海外产能优势切入机器人赛道并成为重要供应商，未来机器人业务将有望成为公司新增长曲线。座椅及海外业务将成为重要盈利增长点。公司 2025 年收购安徽瑞琪拓展座椅整椅业务，未来将有望在为奇瑞汽车等国内客户配套座椅产品的同时，借助全球客户资源及海外工厂优势切入海外客户座椅配套体系，随着新项目逐步落地投产，预计未来座椅业务将有望逐步实现扭亏为盈。公司在近期发布公告筹划H股上市，同时拟向墨西哥工厂增资1.18亿元，侧面反映了海外订单需求旺盛及公司对海外业务发展的信心。随着海外产能逐步释放，预计海外业务营收及盈利占比将有望持续提升。盈利预测与投资建议预测 2025-2027 年归母净利润分别为 10.37、13.66、17.46 亿元，可比公司 26 年PE平均估值40倍，目标价107.20元，维持买入评级。风险提示乘用车行业需求低于预期、乘用车、商用车产品配套量低于预期、海外工厂盈利低于预
期。",,东方证券,买入,[None],2026-01-31,,买入,8378003,pdf_downloads/2026/2026-01-31/603179-新泉股份（603179）：持续完善机器人布局，加快全球化拓展.pdf,603179,新泉股份,新泉股份（603179）：持续完善机器人布局，加快全球化拓展
"吴晓飞,佘炜超,李渤,孙瀚栋","深耕汽车饰件二十余载，产品丰富，绑定核心客户：公司成立于2001年4月28日，目前国内拥有26家分子公司，海外5家分子公司，1个省级技术中心，1个通过国家CNAS认证的实验中心，公司的汽车饰件总成产品主要包括仪表板总成、顶置文件柜总成、门内护板总成、立柱护板总成、流水槽盖板总成和保险杠总成等。公司与一汽解放、北汽福田、陕西重汽、中国重汽、东风汽车等国内前五大中、重型卡车企业，以及吉利汽车、奇瑞汽车、上海汽车、江铃福特、一汽大众、上海大众、广汽集团、比亚迪、长城汽车、长安福特、蔚来汽车、理想汽车等企业均建立了良好的合作关系。汽车饰件业务稳健发展，开拓座椅板块：在汽车仪表板总成领域，公司能够自主深入发掘国内汽车消费者对于仪表板外观、性能、功能方面的差异化需求，参与整车企业新款车型仪表板总成的设计与开发。公司扩展向商用车客户提供的产品品类，深耕自主品牌乘用车客户，积极拓展中高端外资和合资品牌客户，获得了部分新车型项目仪表板、副仪表板、保险杠等重点产品的定点开发和制造。2025年4月1日公司收购安徽瑞琪汽车零部件有限公司70%股权，并于2025年4月1日办理完成变更登记手续，安徽瑞琪主营汽车座椅的研发、制造和销售。切入机器人赛道，打开成长空间：2025年12月11日公司发布公告，常州新泉智能机器人有限公司已经完成注册并于2025年12月9日成立，注册资本10,000万元，由公司以自有资金出资。常州新泉智能机器人有限公司的经营范围包括智能机器人相关部件产品的研发、设计、制造和销售，标志着公司正式切入机器人赛道。投资建议：我们预计公司2025-2027年有望实现营业收入分别为165.87/196.99/234.50亿元，实现归母净利润10.60/13.12/16.39亿元。对应PE分别为48.0/38.8/31.1倍，首次覆盖，给予“买入”评级。风险提示：市场前景受制于汽车行业发展速度的风险；汽车产业政策变动对行业经营环境影响的风险；客户集中的风险；现供车型销量下滑及新供车型销售不畅风险。",,财通证券,买入,[None],2026-01-21,,买入,8351176,pdf_downloads/2026/2026-01-21/603179-新泉股份（603179）：汽车饰件龙头，积极布局机器人业务.pdf,603179,新泉股份,新泉股份（603179）：汽车饰件龙头，积极布局机器人业务
"姜雪晴,袁俊轩",核心观点拟赴港上市彰显公司发展信心，预计海外业务营收及盈利占比将持续提升。据公司公告，公司拟发行H股并在联交所主板上市，筹集资金将用于拓展全球化业务、增加座椅产能、加大研发投入及补充营运资金等用途。公司此次赴港上市彰显了公司对业绩增长及海外业务发展的信心，也将为公司深化国际化战略布局、提升国际影响力奠定基础。此外，公司拟对墨西哥新泉增资1.18亿美元，增资完成后公司对墨西哥新泉的投资额将从1.81亿美元增加至2.99亿美元。墨西哥新泉2025年前三季度营收/净利润分别为16.79/1.37亿元，占公司2025年前三季度总营收/净利润比例分别为14.7%/22.4%，已实现稳定盈利；此次增资侧面反映了墨西哥工厂订单需求较好，随着公司海外产能逐步释放，预计公司海外营收及盈利将有望持续增长，海外营收及盈利占比的提升将有望对冲部分国内行业景气度下滑风险。预计座椅业务收入及盈利能力有望快速提升，成为公司重要增长点。公司于2025年4月完成安徽瑞琪70%股权收购，安徽瑞琪前身为芜湖李尔，是奇瑞汽车等客户的重要合作伙伴，公司收购安徽瑞琪后将拓展座椅整椅业务，进一步拓宽产品矩阵。公司与奇瑞汽车合作关系良好，预计公司将有望通过安徽瑞琪为奇瑞汽车等国内客户配套座椅产品，更有望借助海外工厂优势切入海外客户座椅配套体系。据公司公告，2025年上半年安徽瑞琪仍处于亏损状态；公司此次赴港上市募集资金将明确用于扩充座椅产能，随着新项目逐步投产，未来座椅业务营收将有望快速提升，预计规模效应下座椅业务盈利也将有望实现扭亏为盈，座椅业务将成为公司未来重要增长点。机器人业务有望成为公司新增长曲线。据公司公告，公司完成设立全资子公司“常州新泉智能机器人有限公司”，主要从事智能机器人相关部件的研产销业务，注册资本1亿元。公司在机器人领域投资规模较大，预计未来公司有望凭借客户资源及海外产能优势切入机器人赛道，打造新增长曲线。预测2025-2027年归母净利润分别为10.37、13.66、17.46元，维持可比公司25年PE平均估值45倍，目标价91.35元，维持买入评级。风险提示乘用车行业需求低于预期、乘用车、商用车产品配套量低于预期、海外工厂盈利低于预期。,,东方证券,买入,[None],2025-12-30,,买入,8303386,pdf_downloads/2025/2025-12-30/603179-新泉股份（603179）：拟赴港上市及对墨西哥工厂增资，预计海外业务及座椅业务将是盈利增长点.pdf,603179,新泉股份,新泉股份（603179）：拟赴港上市及对墨西哥工厂增资，预计海外业务及座椅业务将是盈利增长点
林子健,"事件公司发布2025年三季报，2025Q1-Q3总营收114.13亿元，同比+18.83%，归母净利润6.23亿元，同比-9.19%；其中2025Q3营收39.54亿元，同比+14.91%，归母净利润2.00亿元，同比-27.10%。投资要点2025Q3营收稳健增长，净利率与毛利率短期承压营业收入稳步上升，整体业绩符合我们预期。2025Q1-Q3，公司实现营业收入114.13亿元，同比+18.83%；归母净利润为6.23亿元，同比-9.19%；扣非归母净利润为6.16亿元，同比-6.95%。其中，2025Q3实现营业收入39.54亿元，同比+14.91%；归母净利润为2.00亿元，同比-27.10%；扣非归母净利润为2.00亿元，同比-20.27%，主因产品价格下调，管理费用、研发费用增加所致。毛利率承压，费用率整体保持稳定。2025Q3毛利率15.64%，同比-5.71pct，环比-1.20pct，毛利率短期承压，主要受产品降价及原材料成本上升影响。费用率方面，2025Q3销售/管理/研发/财务费用率分别为0.66%/5.34%/4.20%/0.58%，同比-1.29/+1.30/-0.07/-0.84pct，环比+0.02/+0.23/-0.12/+0.66pct；2025Q3期间费用率为10.77%，同比-0.91pct，环比+0.80pct，同比有所改善，主要得益于销售费用率和财务费用率的有效控制。产品品类持续扩张+客户新车量产上市,驱动公司业绩成长随着汽车座椅产品的持续扩张、核心客户的重点新车型陆续进入量产交付时期以及国际化战略的稳步推进，公司业绩有望逐步恢复。①新产品：公司已于2025年4月完成对安徽瑞琪70%股权的收购，汽车座椅业务持续扩张。②客户新车型：特斯拉Model Y L已于2025年9月正式开始交付，当前交付周期已延至12月，预计随产能爬坡将有效贡献增量；特斯拉Cybercab车型计划于2026年4月在得州超级工厂启动量产，有望形成规模化销售。随着主要客户新车型的量产交付规划，公司有望迎来业绩的稳步提升与盈利能力的持续修复。③国际战略化：2025年4月，公司向斯洛伐克新泉增加投资4,500万欧元，以满足其新增定点项目的产能扩充；2025年5月和6月，公司分别在德国慕尼黑和拜仁州因戈尔施塔特市设立了子公司，进一步开拓欧洲市场业务。拟设全资子公司布局新兴领域，加速切入机器人赛道公司拟在常州设立全资子公司“常州新泉智能机器人有限公司”，注册资本1亿元。公司通过设立子公司正式切入智能机器人领域，聚焦智能机器人相关核心部件的研发、设计、制造及销售，充分整合公司资源优势，提高综合竞争实力，对公司的长期可持续发展具有积极的战略意义。公司在汽车饰件领域的传统业务拥有优质的客户资源，与一汽、吉利、奇瑞等知名车企合作稳定；同时，公司在马来西亚、墨西哥、斯洛伐克、美国等地设立生产基地及子公司持续拓展海外市场，保持产能优势，我们认为公司有望依托优质客户与全球化布局高效切入智能机器人赛道。盈利预测预测公司2025-2027年收入分别为162.2、196.8、230.2亿元，归母净利润分别为9.8、12.4、16.5亿元，公司传统业务营收稳健增长，持续拓展海外市场，未来有望通过全资子公司高效切入机器人赛道，维持“买入”投资评级。风险提示原材料价格上涨风险，汽车销量不及预期风险，地缘政治风险，项目进度低于预期风险。",,华鑫证券,买入,[None],2025-11-20,,买入,8153506,pdf_downloads/2025/2025-11-20/603179-新泉股份（603179）：公司事件点评报告：营收稳健增长，拟设全资子公司切入机器人赛道.pdf,603179,新泉股份,新泉股份（603179）：公司事件点评报告：营收稳健增长，拟设全资子公司切入机器人赛道
"邱世梁,周艺轩,顾淳晖",事件：公司发布2025年第三季度报告。（1）25Q3：营业收入39.5亿元，同比增长14.9%；归母净利润2.0亿元，同比减少27.1%；扣非归母净利润2.0亿元，同比减少20.3%。（2）25Q1-3：营业收入114.1亿元，同比增加18.8%；归母净利润6.2亿元，同比减少9.2%；扣非归母净利润6.2亿元，同比减少7.0%。点评：25Q3收入同增15%，盈利能力短期承压25Q3公司实现营业收入39.5亿元，同比增长14.9%；归母净利润2.0亿元，同比减少27.1%；扣非归母净利润2.0亿元，同比减少20.3%，利润减少主要系产品降价，管理费用、研发费用增加所致；25Q3公司毛利率为15.6%，同比减少5.7pcts。座椅业务：收购李尔芜湖分公司，切入汽车座椅领域，打开增长空间25H1公司收购安徽瑞琪汽车零部件有限公司70%股权。安徽瑞琪前身为李尔芜湖分公司，深耕汽车座椅及零配件17年，客户覆盖奇瑞、观致、上海通用、长安福特、东风、本田、马自达等。整椅行业具备规模大、国产化率低的特点，座椅舒适化需求助推行业规模持续扩大，公司收购安徽瑞琪后切入座椅领域，有望打开增长空间。机器人业务：拟设立机器人子公司，有望凭借客户积累切入机器人领域公司2025年10月30日披露其拟成立常州新泉智能机器人有限公司，注册资本1亿元，全面进军机器人业务。主机厂布局人形机器人本体研发，公司下游客户包括奇瑞汽车、小米汽车、国际知名品牌电动车企等，有望凭借客户基础切入机器人产业链。盈利预测与估值：我们预计公司 2025-2027年营收分别为163、197、236亿元，同比增速分别为23%、21%、20%， CAGR为21%；归母净利润分别为10.3、13.0、17.1亿元，同比增速分别为5%、27%、31%， CAGR为21%，对应PE分别为38X、30X、23X，维持“买入”评级。风险提示：原材料价格波动风险、机器人进展不及预期等。,,浙商证券,买入,[None],2025-11-09,,买入,7590757,pdf_downloads/2025/2025-11-09/603179-新泉股份（603179）：点评报告：25Q3营收同增15%，拟设立机器人子公司布局机器人业务.pdf,603179,新泉股份,新泉股份（603179）：点评报告：25Q3营收同增15%，拟设立机器人子公司布局机器人业务
"唐旭霞,余珊",2025Q3收入同比增长15%，规模加速提升。2025年前三季度公司实现营收114亿元，同比上升19%；归母净利润6.2亿元，同比下降9%；单季度看，2025Q3公司实现营业收入39.54亿元，同比增长15%；归母净利润2.00亿元，同比下降27%。公司核心客户销量增长迅速，吉利/奇瑞2025Q3销量同比增长43%/15%，特斯拉中国销量略有下滑。主机厂价格战背景下毛利率短期承压，降本增效加速推进。2025Q3公司毛利率15.6%，同比-5.7pct，环比-1.2pct；销售/管理/研发/财务费用率分别0.66%/5.34%/4.20%/0.58%；同比-1.29/+1.30/-0.07/-0.84pct，主机厂价格战内卷加剧，公司毛利率短期承压，持续降本增效，期间费用率持续下降。设立全资子公司，加速拓展机器人新业务。25年10月，公司投资1亿元设立常州新泉智能机器人有限公司，考虑公司具备稳定供货能力、深度绑定核心客户，设立机器人子公司有望充分整合资源优势，提高公司的综合竞争实力，加速新业务快速发展。整椅产品布局。收购安徽瑞琪70%股权，座椅布局加速。公司25年4月获安徽瑞琪70%股权。自此，公司整车大内饰产品布局完善，当前乘用车内饰单车价值约6500元，商用车内饰单车价值约4500元，仪表板总成在国内市占率达23%，扩展保险杠总成等外饰产品，单车价值约2700元；拓展座椅产品，单车价值增量有望从2000元-4000元-上万元水平提升。全球化布局持续推进，产能释放打开成长空间。公司围绕主机厂持续推进合肥、安庆、常州、上海、墨西哥等地产能建设，在建预计新增210万套仪表板总成、95万套门内护板、90万套座椅背板等产能配套。公司进一步在斯洛伐克投资6500万欧元设立子公司，并于25年初建成投产；在美国投资5000万美元、德国投资3600万欧、斯洛伐克增资4500万欧元设立子公司，用于研发、制造、销售，海外市场持续拓展。同时进一步在德国慕尼黑和拜仁州因戈尔施塔特市设立子公司开拓欧洲市场业务，国际化战略进一步推进。风险提示：行业销量下滑风险，新客户拓展不达预期风险。投资建议：下调盈利预测，维持“优于大市”评级。公司客户结构持续拓展，全球产能陆续释放，核心产品竞争力强悍，考虑收购子公司盈利不确定性及今年主机厂端价格战压力加剧，我们下调盈利预测，预测公司25-27年归母净利润为10.15/13.95/18.09亿元（原25/26年为11.57/15.38/19.6亿元）；维持“优于大市”评级。,,国信证券,优于大市,[None],2025-11-07,,买入,7569015,pdf_downloads/2025/2025-11-07/603179-新泉股份（603179）：前三季度收入同比增长19%，设立智能机器人全资子公司.pdf,603179,新泉股份,新泉股份（603179）：前三季度收入同比增长19%，设立智能机器人全资子公司
"宋亭亭,张硕",2025年11月03日│中国内地 汽车零部件 新泉股份发布三季报：Q3实现营收39.54亿元（yoy+14.91%，qoq+0.35%），归母净利2.00亿元（yoy-27.10%，qoq-4.07%）。2025年Q1-Q3实现营收114.13亿元（yoy+18.83%），归母净利6.23亿元（yoy-9.19%），扣非净利6.16亿元（yoy-6.95%）。Q3业绩低于我们预期（业绩前瞻预计Q3归母净利2.55~2.85亿），主要系Q3毛利率短期承压（座椅业务并表和行业竞争加剧）。展望后续，公司品类持续扩张并拓展座椅整椅业务，提升配套ASP，海外项目也将加速放量，公司战略布局机器人领域且是北美新能源的核心汽车供应商之一，有望带来全新增长点。维持“买入”评级。Q3营收稳健增长，核心客户排产分化1）公司Q3营收同环比+14.91/+0.35%，核心客户特斯拉（全球）/理想/奇瑞/吉利/比亚迪Q3产量环比分别+9.07/-35.65/+27.60/+14.59/+0.40%，特斯拉产量企稳回升以及奇瑞/吉利等排产提升带动公司收入向上，对冲理想产量下滑。2）分业务看：25H1仪表板/顶柜/门板/内饰附件/保险杠/外饰附件/座椅/座椅附件分别实现营收43.59/0.54/15.59/1.52/3.11/1.26/0.43/1.61亿元，同比+7/-25/+67/+19/+119/+31/NA/+107%，我们预计Q3门板/保险杠/外饰/座椅附件/座椅有望保持较快增速。Q3毛利率短期承压，期间费用率相对稳定1）Q3毛利率承压为15.64%，同环比-5.71/-1.20pct，我们推测或由于：①安徽瑞琪并表预计对毛利率产生一定拖累（其H1净利润为-1084万元）；②行业竞争加剧，新项目获取/产品降价等压制毛利率。2）Q3四费率10.77%，同环比-0.92pct/+0.79pct，总体控制较好，其中研发费用1.66亿元维持高位（营收占比4.19%），财务费用率环比+0.65pct至0.59%，主要由于Q2存在较多汇兑收益导致财务费用率为负。3）Q3归母净利率5.07%，同环比-2.92/-0.23pct，除毛利率和期间费用率影响外，Q3非经常性损益贡献正向缓冲，其中其他收益以及信用减值损失占营收比重分别为+0.64/+0.47%，环比+0.40/+1.29pct。全球化+拓品类战略持续推进，战略布局机器人1）全球化战略成效逐渐显现：25年4月公司向子公司斯洛伐克新泉增资4500万欧元以扩充产能，5月和6月进一步在德国设立子公司开拓欧洲市场，9月美国肯塔基全资子公司设立。2）品类不断扩展提升单车配套ASP，内饰→外饰→座椅，当前公司门板/保险杠总成等业务已在快速放量驱动营收增长，25H1公司新收购安徽瑞琪切入座椅整椅领域，进一步打开成长空间。3）战略布局机器人：10月30日公司公告将出资1亿元，设立全资子公司-常州新泉智能机器人有限公司，未来有望带来全新增长点。盈利预测与估值综合考虑公司前三季度业绩表现，行业竞争加剧，部分客户产销波动以及部分新业务处于投入期，我们下调公司盈利预测，预计25-27年营收161.49/194.13/234.70亿元（分别下调5.41%/7.31%/2.93%），归母净利润9.57/12.59/16.08亿元（分别下调16.75%/18.50%/13.30%）。虽然我们下调公司盈利预测，但公司正积极进行机器人转型且是北美新能源客户的核心汽车供应商之一，有望开辟全新增长曲线，故我们本次调整了可比公司的选择。IFind一致预期下可比公司26年PE均值为35.6倍，给予公司26年35.6倍PE（前值25年25.3倍PE），目标价87.87元（前次目标价59.77元，目标价提升系可比公司估值中枢提升），维持“买入”评级。风险提示：客户开拓不及预期、受下游整车厂发展状况影响的风险。,,华泰证券,买入,[None],2025-11-03,,买入,7307892,pdf_downloads/2025/2025-11-03/603179-新泉股份（603179）：Q3短期承压但期待机器人业务进展.pdf,603179,新泉股份,新泉股份（603179）：Q3短期承压但期待机器人业务进展
"刘一鸣,房乔华","维持“增持”评级，给予目标价88.92元。我们预计2025-2027年EPS分别为1.94/2.47/3.23元，由于2025年下半年以来汽车行业下游竞争加剧，导致公司盈利能力短期承压，因此适当下修全年盈利预测，参考可比公司估值，考虑到公司在机器人和座椅等新兴业务稳步推进，有望助力公司打开全新成长曲线，给予公司2026年36倍PE，对应目标价88.92元，维持增持评级。公司发布2025年前三季度收入稳健增长，盈利能力有所下滑。2025年前三季度公司实现营收114.13亿元，同比+18.83%，归母净利润6.23亿元，同比-9.19%，毛利率17.24%，同比-3.23pct，净利率5.38%，同比-1.73pct，前三季度公司收入稳中有升，盈利能力有所下滑我们判断主要受部分客户销量波动以及国内主机厂降价等因素的影响。收入持续提升，盈利能力短期承压。分单季度看，2025Q3公司实现营业收入39.54亿元，同比+14.91%，环比+0.35%，公司2025Q3收入再创单季度历史新高，归母净利润2.00亿元，同比-27.10%，环比-4.07%，毛利率为15.64%，同比-5.71pct，环比-1.20pct，净利率为5.07%，同比-2.92pct，环比-0.23pct。积极拓展座椅业务，机器人业务取得进展。2025年上半年，公司收购安徽瑞琪汽车零部件有限公司70%股权。安徽瑞琪主营汽车座椅的研发、制造和销售，该控股子公司于2025年4月1日办理完成变更登记手。上半年公司生产和销售座椅数量分别达到7.2万套和4.8万套，实现营业收入达到4344万元。2025年10月30日，公司发布公告拟在江苏省常州市投资设立全资子公司“常州新泉智能机器人有限公司”，注册资本10,000万元，由公司以自有资金出资。本次对外投资设立全资子公司符合公司发展战略及未来经营发展的需要，可充分整合资源优势，提高公司的综合竞争实力。我们判断座椅和机器人等新兴业务的顺利拓展有望为公司带来全新的业绩增量，助力公司实现长期高质量发展。风险提示。主要客户车型销量不及预期；海外贸易政策变化；原材料价格大幅波动；汇率大幅波动。",,国泰海通,增持,[None],2025-11-02,,买入,7308500,pdf_downloads/2025/2025-11-02/603179-新泉股份（603179）：2025年三季报点评：业绩短期承压，推进机器人新业务进展.pdf,603179,新泉股份,新泉股份（603179）：2025年三季报点评：业绩短期承压，推进机器人新业务进展
"姜雪晴,袁俊轩",核心观点同比增长18.8%；归母净利润6.23亿元，同比下降9.2%；扣非归母净利润6.16亿元，同比下降7.0%。3季度营业收入39.54亿元，同比增长14.9%，环比增长0.4%；归母净利润2.00亿元，同比下降27.1%，环比下降4.1%；扣非归母净利润2.00亿元，同比下降20.3%，环比下降2.8%。3季度营收端维持同环比增长，利润端承压预计主要受毛利率下降及座椅业务仍处于爬坡阶段等因素拖累。弱对公司营收及盈利形成一定影响，4季度起公司主要客户多款重点车型将量产上市：Model Y L于9月开启交付，截至10月17日预计交付时间推迟至12月，后续销量爬坡值得期待；Cybercab将于2026年开始量产，目标年产能达200万辆，预计2026年即能够实现规模销量。理想i6叠加i8交付量逐月提升，公司后续将有望受益于主要客户销量改善，业绩有望逐步改善。外饰件及座椅等新业务，上半年新业务收入规模增长迅速，预计外饰件及座椅业务将带动公司单车配套价值量进一步提升。公司国际化战略持续推进，上半年墨西哥、斯洛伐克工厂分别实现营收9.62、3.15亿元，2025年内在德国慕尼黑、德国拜仁、美国肯塔基州等地设立子公司并向斯洛伐克新泉增资4500万欧元。我们认为海外市场竞争格局相对优于国内市场，降价压力相对较低，随着公司海外产能逐步释放，预计公司海外营收将快速增长，规模效应下盈利能力也将有望逐步改善。州投资设立全资子公司“常州新泉智能机器人有限公司”，注册资本1亿元。此次设立机器人子公司系公司宣布进军机器人领域，且投资规模较大，彰显公司在机器人领域发展决心，预计公司在机器人领域的团队建设、产品开发及客户开拓等方面已取得一定进展。我们认为公司在汽车领域与部分国内外头部客户合作良好，且在北美、欧洲等地具备产能布局，后续有望凭借客户及海外产能优势切入机器人产业链，形成新增长曲线。盈利预测与投资建议16.45、21.20元，调整收入、毛利率及费用率等），可比公司25年PE平均估值45倍，目标价91.35元，维持买入评级。,,东方证券,买入,[None],2025-11-01,,买入,7190854,pdf_downloads/2025/2025-11-01/603179-新泉股份（603179）：座椅及海外市场是增长点，拟设立子公司布局机器人业务.pdf,603179,新泉股份,新泉股份（603179）：座椅及海外市场是增长点，拟设立子公司布局机器人业务
"黄细里,刘力宇",事件：公司发布2025年三季度报告。2025年前三季度公司实现营业收入114.13亿元，同比增长18.83%；实现归母净利润6.23亿元，同比下降9.19%。其中，2025Q3单季度公司实现营业收入39.54亿元，同比增长14.91%，环比微增0.35%；实现归母净利润2.00亿元，同比下降27.10%，环比下降4.07%。公司2025Q3业绩低于我们的预期。2025Q3业绩低于预期，毛利率水平短期承压。营收端，2025Q3单季度公司实现营业收入39.54亿元，环比微增0.35%。从主要下游客户2025Q3表现来看：特斯拉全球交付49.70万辆，环比增长29.39%；特斯拉中国批发24.19万辆，环比增长26.19%；吉利批发76.10万辆，环比增长8.11%；奇瑞批发71.58万辆，环比增长16.62%；理想批发9.32万辆，环比下降16.11%。毛利率方面，2025Q3单季度公司毛利率为15.64%，环比下降1.20个百分点，盈利能力短期承压。期间费用方面，公司2025Q3单季度期间费用率10.77%，环比提升0.79个百分点；其中，销售/管理/研发/财务费用率分别为0.65%/5.35%/4.19%/0.59%，环比分别+0.02/+0.25/-0.14/+0.65个百分点。归母净利润方面，公司2025Q3单季度归母净利润2.00亿元，环比下降4.07%；对应归母净利率5.07%，环比下降0.23个百分点。新产品拓展可期，全球化战略加速。公司仪表板、门板等产品在成本控制、服务响应等方面具有明显竞争优势，深度绑定吉利、奇瑞、国际知名电动车企和理想等优质客户，产品市场份额持续提升。同时，基于已有核心工艺能力，公司不断布局新工艺，拓展产品新品类，向外饰件及座椅等新产品领域持续延伸，单车配套价值量有望持续提升。国际化方面，公司出海布局步伐领先，持续坚定推进全球化战略，在墨西哥、斯洛伐克、德国和美国等地陆续布局，有望成为全球化的汽车饰件龙头。盈利预测与投资评级：考虑到公司新项目的量产节奏和汽车行业竞争加剧，我们将公司2025-2027年归母净利润的预测调整为9.31亿元、11.76亿元、14.85亿元（前值为10.88亿元、13.50亿元、16.63亿元），对应2025-2027年EPS分别为1.82元、2.31元、2.91元，市盈率分别为42.24倍、33.42倍、26.47倍。考虑到公司作为自主内饰件龙头企业，当前正加速全球化发展，此外还在扩展机器人业务，因此维持“买入”评级。风险提示：乘用车行业销量不及预期；新客户开拓不及预期；原材料价格波动影响。,,东吴证券,买入,[None],2025-11-01,,买入,7135974,pdf_downloads/2025/2025-11-01/603179-新泉股份（603179）：2025年三季报点评：2025Q3业绩低于预期，盈利能力短期承压.pdf,603179,新泉股份,新泉股份（603179）：2025年三季报点评：2025Q3业绩低于预期，盈利能力短期承压
