author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"马婷婷,陈惠琴",投资建议：浙商银行聚焦“深耕浙江”首要战略，不断夯实客群建设基础，业务规模保持稳健增长。2025-2027年净利润增速预测为0.3%、0.7%、1.7%，对应BVPS为6.58、6.99、7.39元/股。给予浙商银行目标估值为2025年0.55倍PB，对应目标价3.62元，维持增持评级。业绩：浙商银行前三季度营收及归母净利润累计同比增速（下同）分别为-6.78%、-9.59%，分别较25H1增速-1.0pct、-5.4pct，业绩增速放缓主要源于手续费及佣金净收入降幅扩大、净息差延续下降、所得税率提升等因素拖累。1）利息净收入增速-3.23%，较25H1降幅扩大0.7pct，前三季度净息差为1.67%，较25H1下降2bp，全年息差降幅4bp，降幅较上年已明显收敛，主要得益于存款成本持续下降。2）手续费及佣金净收入增速为-22.43%，较25H1降幅扩大4.8pct，主要受承诺及担保类、承销及咨询类业务收缩等因素影响，手续费净收入阶段性承压。展望全年，随着财富、托管等板块协同发力，手续费净收入有望逐步改善。3）其他非息收入增速-11.75%，较25H1增速-1.1pct，三季度债市收益率震荡上行，与去年呈现相反态势，使得其他非息收入承压；4）成本收入比同比下降1.5pct至26.44%，业务及管理费同比下降11.6%，降幅较25H1扩大5.9pct，对利润形成支撑；5）信用减值同比少计提10.3%（25H1为-10.9%），前三季度信用成本为1.40%，较上年同期下降26bp。规模：25Q3末浙商银行资产、贷款、存款同比增速分别为3.44%、3.84%、7.62%，分别较Q2末+0.4pct、-0.4pct、+1.0pct。年初至今存、贷款增量分别为1375亿元、477亿元，分别为2024年同期增量的0.44x、3.0x。贷款增量主要在对公板块，零售贷款着力优化结构，其中按揭较年初增长9.3%、个人消费贷款增长8.6%，互联网贷款和个人经营性贷款下降。资产质量：25Q3不良率为1.36%，环比上季度末持平，拨贷比、拨备覆盖率分别为2.17%、159.56%，分别较上季度末下降14bp、下降10pct，拨备覆盖率有所下降，主要源于公司加大风险资产处置力度。风险提示：信贷需求弱于预期；结构性风险暴露超预期。,,国泰海通,增持,[None],2025-11-29,,买入,8195322,pdf_downloads/2025/2025-11-29/601916-浙商银行（601916）：2025年三季报点评：成本收入比优化，资产质量总体稳定.pdf,601916,浙商银行,浙商银行（601916）：2025年三季报点评：成本收入比优化，资产质量总体稳定
"王剑,刘睿玲",营收增速环比回升。公司上半年分别实现营收、归母净利润332.48亿元、76.67亿元，分别同比下降5.76%、4.15%，增速较一季度分别回升1.31pct、下滑4.76pct。公司上半年年化加权平均ROE为8.68%，同比下降0.97pct。从业绩增长归因来看，主要是净息差拖累营收增长，不过公司资产增速稳健，另拨备反哺利润趋势有所增强。规模保持扩张，信贷主要由对公驱动。公司上半年总资产同比增长3.08%至3.35万亿元，资产增速较一季度回落5.82pct。资产端，上半年贷款（不含应计利息）同比增长4.20%至1.88万亿元。上半年累计新增信贷投放304.06亿元，分项来看，对公/个人/票据贷款分别投436.17/-125.90/6.03亿元，结构上主要由对公拉动。结合公司2023年上半年、2024年上半年分别新增信贷投放1269.41亿元、954.19亿元，今年上半年新增信贷投放规模有所回落。6月末，公司贷款、存款（均不含应计利息）分别较年初增长1.68%、7.46%。6月末，公司核心一级资本充足率8.39%，较一季度回升0.01pct。净息差收窄。公司上半年披露的净息差1.69%，较一季度下降7bps，较去年全年微降2bps。资产端，上半年生息资产平均收益率同比下滑47bps至3.47%，其中贷款收益率同比下降60bps至4.02%。负债端，上半年计息负债平均成本率同比下降38bps至1.95%，其中存款成本率同比下降31bps至1.88%。受制于净息差收窄等因素，公司上半年利息净收入230.46亿元，同比下滑2.52%，增速较一季度下滑3.90pct。非息收入同比下降。公司上半年非利息净收入同比下降12.33%至102.02亿元。其中，手续费及佣金净收入同比下降17.64%至22.93亿元；投资收益同比增长16.51%至65.13亿元，呈现回稳趋势。资产质量稳定。公司6月末不良贷款率1.36%，较3月末下滑0.02pct；拨备覆盖率169.78%，较3月末下降1.43pct。6月末关注率2.50%，较去年末提升0.10pct；逾期率2.12%，较去年末提升0.31pct，前瞻性指标有所波动。投资建议：公司整体基本面表现稳定，由于规模增速下滑及息差边际收窄等因素，我们略微下调公司盈利预测，预计公司2025-2027年归母净利润为155/160/170亿元，对应同比增速为2.3%/3.3%/6.4%；摊薄EPS为0.55/0.57/0.61元；当前股价对应的PE为5.6/5.4/5.1x，PB为0.46/0.43/0.40x，维持“中性”评级。风险提示：宏观经济形势走弱可能对银行资产质量产生不利影响,,国信证券,中性,[None],2025-08-31,,中性,6371795,pdf_downloads/2025/2025-08-31/601916-浙商银行（601916）：2025年半年报点评：规模保持扩张，净息差收窄.pdf,601916,浙商银行,浙商银行（601916）：2025年半年报点评：规模保持扩张，净息差收窄
"沈娟,贺雅亭","2025年8月29日│中国内地/中国香港 全国性股份制银行 浙商银行1-6月归母净利润、营业收入、PPOP分别同比-4.15%、-5.76%、-6.29%，增速较1-3月-4.76pct、+1.32pct、-1.38pct，主因息差边际下行及中收持续承压。25H1年化ROA、ROE分别同比-0.04pct、-0.97pct至0.48%、8.68%。公司深耕浙江，将“低风险均收益”转型向纵深推进，A股维持“增持”评级，H股维持“买入”评级。信贷结构调整，负债成本优化6月末总资产、贷款、存款分别同比+3.1%、+4.2%、+6.6%，增速较3月末-5.8pct、-2.6pct、+0.5pct。25H1年零售/对公增量占比分别为-40%/140%，新增贷款主要由对公贷款驱动。25H1公司净利息收入同比-2.5%，增速较3月末-3.9pct。1-6月净息差1.69%，较1-3月下行7bp。1-6月生息资产收益率、计息负债成本率分别为3.47%、1.95%，较24年-30bp、-30bp，负债成本有所改善。公司贯彻落实让利实体经济的政策导向，持续推动降低企业融资成本，生息资产收益率下行；持续优化负债结构，推动结算性等低成本存款增长。中收持续承压，投资收益回稳1-6月手续费及佣金净收入同比-17.6%（3M24同比-13.2%），中收持续承压。结构上看，代理业务收入同比+12%，主要受益于代销业务增长；担保、承销收入分别同比-26%、-34%，为中收主要拖累，主要受到保函业务及债券承销业务收入下降所致。1-6月公司其他非息收入同比-10.7%，较1-3月环比+14.2pct，其他非息降幅收窄。公司1-6月成本收入比为28.2%，同比持平。资产质量稳健，前瞻指标波动6月末不良率、拨备覆盖率分别为1.36%、170%，分别较3月末-2bp、-1pct。零售不良率上行，较24年末+19bp至1.97%；对公不良率较24年末-10bp至1.26%。前瞻指标略有波动，6月末关注率为2.50%，较24年末提升10bp。测算Q2年化不良生成率环比上行78bp至2.05%；Q2年化信用成本为1.91%，同比-22bp。巩固客群基础，践行“深耕浙江”公司以资金链、产业链、关联链等链式场景拓客为突破口，持续加强公司客群建设，机构存款等公司存款规模有力增长，存款付息率压降成效显著。截至6月末，服务公司客户近27万户；营销推动人民币公司存款15,282亿元，较上年新增668亿元，有效压降人民币公司存款付息率24.84BP。坚持“深耕浙江”首要战略不动摇，6月末省内各项存款6,102亿元，增幅8.13%；新增服务个体工商户超1.5万户，提前超额完成全年目标；省内融资服务总量11,190亿元，较年初新增985亿元，增量超过去年全年。维持A/H股25年目标PB0.50/0.45倍鉴于息差下行，我们预测2025-27年EPS为0.54/0.55/0.56元（较25-27年前值-2.22% /-4.22%/-5.73%），预测25年BVPS为6.72元，A/H股对应PB0.49/0.38倍。A/H股可比公司25年Wind一致预期PB0.61/0.67倍，公司运营管理能力高效、规模增长持续，我们给予A/H股25年目标PB0.50/0.45倍，A/H股目标价3.36元/3.29港币（前值25年目标PB0.50/0.45倍，A/H股目标价3.37元/3.25港币），A股维持“增持”评级，H股维持“买入”评级。风险提示：政策推进力度不及预期；经济修复力度不及预期。",,华泰证券,增持,[None],2025-08-29,,增持,6366710,pdf_downloads/2025/2025-08-29/601916-浙商银行（601916）：负债成本优化，资产质量稳健.pdf,601916,浙商银行,浙商银行（601916）：负债成本优化，资产质量稳健
"梁凤洁,周源",25Q1浙商银行拨备反哺利润，息差环比回升，不良表现平稳。业绩概览25Q1营收同比-7.1%，较24A回落13.3pc；归母净利润同比+0.6%，较24A回落0.3pc。25Q1末不良率环比持平于1.38%，拨备覆盖率环比下降7pc至171%。拨备反哺利润25Q1营收同比负增7.1%，较24A回落13.3pc；归母净利润同比增长0.6%，较24A回落0.3pc。驱动因素来看，息差拖累改善，其他非息拖累、拨备反哺利润。①息差拖累改善。25Q1息差（期初期末口径，下同）1.61%，环比24Q4回升30bp，同比降幅较24Q4收窄35bp，对营收拖累有所改善。②其他非息拖累。25Q1其他非息同比负增24.9%，而24A同比增长61.7%。③拨备反哺利润。25Q1减值损失同比下降20.4%，而24A减值同比增长8.0%，减值计提力度显著下降，支撑盈利。息差环比回升25Q1单季息差1.61%，环比24Q4回升30bp。得益于资负两端的共同作用。①资产端，25Q1资产端收益率环比回升13bp至3.63%，得益于主动控制投放规模，平衡信贷投放的量价。25Q1贷款净增量336亿，仅为24Q1的63%。②负债端，25Q1负债端成本率环比下降19bp至1.94%，得益于存款降息红利的释放支撑。不良表现平稳25Q1末不良率环比持平于1.38%，不良表现平稳。生成方面，24A不良贷款生成率、真实不良贷款生成率均较24H1下降15bp至1.66%、2.21%，不良生成仍处高位，后续需关注新生成不良的压力变化。拨备方面，25Q1末拨备覆盖率171%，较24Q4末下降7pc。盈利预测与估值预计2025-2027年归母净利润同比增长0.60%/0.95%/1.43%，对应BPS6.59/6.96/7.33元。截至2025年4月30日收盘，现价2.99元/股，现价对应2024-2026年PB 0.45/0.43/0.41倍。目标价3.95元/股，对应2025年PB 0.60倍，现价空间32%，维持“买入”评级。风险提示：宏观经济失速，不良大幅暴露。,,浙商证券,买入,[None],2025-05-05,,买入,6038531,pdf_downloads/2025/2025-05-05/601916-浙商银行（601916）：2025 年一季报点评：息差回升，拨备反哺.pdf,601916,浙商银行,浙商银行（601916）：2025 年一季报点评：息差回升，拨备反哺
"王剑,刘睿玲","一季度营收下滑幅度较大，业绩实现增长。公司2025年一季度实现营收171.05亿元（YoY,-7.07%），归母净利润59.49亿元（YoY,+0.61%）。公司一季度年化加权平均ROE为13.57%，同比下降0.82个百分点。从业绩增长归因来看，规模增长和拨备计提形成主要正贡献，净息差收窄等因素形成主要负贡献。规模稳健扩张，信贷增速略有下降。2025年一季度末总资产同比增长8.90%至3.44万亿元，资产增速较2024年全年提升3.12个百分点。其中贷款同比增长7.01%至1.85万亿元，存款同比增长6.03%至2.01万亿元，信贷增速略有下降。公司一季度新增信贷投放335.82亿元，同比少增196.38亿元。公司2025年一季度末核心一级资本充足率为8.38%，较2024年末持平。净息差边际改善，净利息收入保持韧性。公司净息差边际回暖，一季度净息差1.76%，同比下降8bps，较2024年全年提升5bps。公司一季度净利息收入119.81亿元，同比增长1.38%，主要受益于规模稳健增长及净息差边际改善，核心业务经营能力保持韧性。非息收入同比下降。一季度实现非利息收入51.24亿元，同比下降22.23%；实现手续费及佣金净收入12.94亿元，同比下降13.15%。截至一季度末，公司非息收入占营业收入的比重为29.96%，同比下降5.84个百分点。资产质量稳定，拨备略有下降。公司一季度末不良贷款率1.38%，较年初持平；拨备覆盖率171.21%，较年初下降7.46个百分点。总体来看，公司资产质量保持稳定。投资建议：公司基本面整体表现较为稳定，紧抓数字化改革、深耕浙江、板块协同、财富管理等四大战略重点，我们维持公司盈利预测不变，预计公司2025-2027年归母净利润为156/163/173亿元，对应同比增速为3.0%/4.0%/6.7%；摊薄EPS为0.55/0.58/0.62元；当前股价对应的PE为5.2/5.0/4.7x，PB为0.43/0.40/0.38x，维持“中性”评级。风险提示：宏观经济形势走弱可能对银行资产质量产生不利影响。",,国信证券,中性,[None],2025-05-01,,中性,6058997,pdf_downloads/2025/2025-05-01/601916-浙商银行（601916）：2025 年一季报点评：净息差边际改善.pdf,601916,浙商银行,浙商银行（601916）：2025 年一季报点评：净息差边际改善
"贾靖,徐康,林宛慧","3月 28 日晚，浙商银行披露 2024年报，实现营业收入676.5亿元，同比增长6.2%;营业利润 176.5 亿元，同比增长 0.7%;归属于上市公司股东的净利润1519 亿元，同比增长 0.9%。不良率环比下降5bp 于1.38%，拨备覆盖率环比上升 3.3pct 至179%。评论:其他非息收入高增支撑单季营收增速向上;拨备夯实，利润增速保持稳定。1)4024 单季营收同比增长8.2%，增速环比上升3.6pct。主要是由于四季度债市投资收益表现较好，单季其他非息收入同比高增超 240%，支撑营收增长;2)24 年归母净利润同比增长 0.9%，增速较前三季度下降 0.3pct，主要是在资产质量改善背景下，公司主动加大拨备计提力度，夯实风险基础，资产减值损失同比上升8.0%，拨备覆盖率环比上升3.3pct至179%。四季度生息资产结构调整，贷款保持稳健增长。1)04末生息资产同比增长4.8%,增速环比下降 5.4pct,主要是减少了存放同业和央行资产以及债券投资,贷款则保持平稳增长。O4末债券投资/贷款同比分别增长 5.5%、8.2%，增速环比-6.4、+0.6pct。2)对公贷款增速较快，零售贷款需求走弱，4024对公贷款(含票据)、零售贷款同比增速分别为11.3%、0.4%。与行业趋势不同的是，公司的按揭贷款保持较快增长，而其他类型的个人贷款走弱。主要是公司积极满足居民刚需住房的同时，推广小微园区客户按揭货。按1个人经营贷/消费货分别同比增长 22%、3.4%、-20%。息差有所承压，测算单季息差环比下降34bp，主要是资产端收益率下行幅度较大。4024单季息差(期初期末口径)环比下降34bp至1.31%，主要是受资产端拖累。1)资产端:4024生息资产收益率环比下降40bp至3.5%，降幅走主要是四季度存量按揭贷款利率下调、零售贷款走弱及降息影响。24年打贷款收益率较 IH24 下降17bp 至 4.45%;2)负价端:4024 测算计息负债成本率环比下降 5bp 至 2.14%，降幅有所收窄。24 年存款成本率较 IH24 下降 9bp至 2.1%。资产质量改善，拨备加厚夯实风险基础。4024不良率/单季不良净生成率环比分别下降 5bp/20bp至1.38%1.37%，逾期率较 1H24 下降 40bp至 1.8%，虽然关注率有所波动，较 IH24 上升 20bp 至 2.4%，不过资产质量整体处于改善通道，其中对公贷款、零售贷款不良率环比分别-2bp、-7bp至1.36%、1.78%。在资产质量总体向好的情况下，公司主动加大拨备计提力度，夯实风险基础，资产减值损失同比上升 8.0%，拨备覆盖率环比上升3.3pct至179%。投资建议:浙商银行深耕浙江，强化穿越周期能力，前瞻性提出“布局经济周期弱教感资解决行业集中度高、周期波动较大等问题，非标风险敞口不断压障，资广质量稳中向好。结合银行业总差下行压力的现状以及目前的宏观经济形势，我们调整公司 2025-2027 年营收增速预测为 3.5%、5.3%、6.7%(25-26E 前值为 7.0%、9.0%)，2025-2027 年净利润增速预测为 4.9%、7.9%、6.9%(25-26E 前值为 5.1%、8.1%)，当前估值仅 0.44x25PB，公司过去5年平均 PB为 0.58x，处于低估状态，我们给子 2025E目标 PB 0.55X，对应目标价 3.73元，按照浙商银行平均 AH 溢价比例 1.24，H 股合理价值 3.22 港币/股，维持“推荐”评级。风险提示:经济增长动能不足下银行息差进一步承压。银行信贷投放不及预期，",,华创证券,推荐,[None],2025-04-03,,增持,5975777,pdf_downloads/2025/2025-04-03/601916-浙商银行（601916）：2024年报点评：其他非息支撑营收，资产质量改善.pdf,601916,浙商银行,浙商银行（601916）：2024年报点评：其他非息支撑营收，资产质量改善
王剑,"营收边际回暖，业绩实现正增。公司2024年实现营收676.50亿元（YoY,+6.19%），归母净利润151.86亿元（YoY,+0.92%）。结合公司前三季度营收同比增长5.64%，利润同比增长1.19%，四季度营收增速提升，业绩略有下滑。公司2024年加权平均ROE为8.49%，同比下降0.96个百分点。规模稳健增长。公司2024年总资产同比增长5.78%至3.33万亿元，增速较为稳健。其中，存款、贷款分别同比增长2.57%、8.20%。2024年新增信贷投放1401亿元，分项来看，对公/个人/票据贷款分别投放1214/19/170亿元，分别增长10.76%/0.41%/16.64%，对公端起到主要拉动作用。结合公司2022年、2023年分别新增信贷投放1764亿元、1885亿元，2024年新增信贷有所放缓，我们推测主要受个贷增速放缓等影响。公司2024年年末核心一级资本充足率8.38%，较2023年年末提升0.16个百分点。净息差收窄，负债成本改善。公司2024年净息差1.71%，同比下降30bps，较前三季度下降9bps，主要受资产端收益率下降影响。负债端来看，2024年计息负债成本率同比下降10bps，较上半年下降8bps，公司负债端持续优化，缓解息差下行压力。2024年受净息差收窄和有效信贷需求不足等因素影响，净利息收入同比下降4.99%，前三季度该项同比下降1.01%，四季度净利息收入增速有所下滑。投资收益增速亮眼，非息收入占比提升。2024年公司非利息净收入同比增长39.05%，占营业收入的33.25%，较上年占比提升7.86pcts。其中，手续费及佣金净收入同比下降10.97%，中收持续承压；其他非息收入同比增长61.69%，其中投资收益及公允价值变动收益增速亮眼。资产质量稳健，关注率有所波动。公司2024年末不良贷款率1.38%，较前三季度下降5bps；关注率2.40%，较上半年上升19bps，略有波动；拨备覆盖率178.67%，较前三季度上升3.34pct，风险抵补能力有所提升。公司资产质量保持稳健。投资建议：公司基本面整体表现较为稳定，但考虑到行业经营压力较大，我们略微下调盈利预测并往前推一年，预计公司2025-2027年归母净利润为156/163/173亿元（2025-2026原预测值165/179亿元），对应同比增速为3.0%/4.0%/6.7%；摊薄EPS为0.55/0.58/0.62元；当前股价对应的PE为5.1/4.9/4.6x，PB为0.42/0.40/0.37x，维持“中性”评级。风险提示：宏观经济形势走弱可能对银行资产质量产生不利影响。",,国信证券,中性,[None],2025-03-31,,中性,5970309,pdf_downloads/2025/2025-03-31/601916-浙商银行（601916）：2024年年报点评：营收边际回暖，负债成本改善.pdf,601916,浙商银行,浙商银行（601916）：2024年年报点评：营收边际回暖，负债成本改善
"沈娟,贺雅亭",2025年3月29日│中国内地/中国香港 全国性股份制银行  2024年归母净利润、营业收入、PPOP分别同比+0.92%、+6.19%、+5.05%，增速较前三季度-0.27pct、+0.56pct、+1.01pct。24年净利润增速低于我们此前预测的3.85%，主因息差边际下行。24年ROA、ROE分别同比-0.05pct、-0.96pct至0.49%、8.49%。24年拟每股派息0.156元（含税），24年分红率30.12%（23年：31.98%），A/H股息率5.29%/6.53%（2025/3/28）。信贷投放提速，负债成本优化24年末总资产、贷款、存款分别同比+5.8%、+8.2%、+2.9%，增速较9月末-5.0pct、+0.6pct、-3.9pct。2024年零售/对公/票据增量占比分别为1%/87%/12%，对公贷款为新增贷款主要贡献。24年公司净利息收入同比-5.0%，增速较9月末-4.0pct。24年净息差1.71%，较前三季度下行9bp，主要受资产端拖累。2024年生息资产收益率、计息负债成本率分别为3.77%、2.25%，较上半年-17bp、-8bp，负债成本有所改善。中收持续承压，投资收益增长24年手续费及佣金净收入同比-11.0%（9M24同比-2.8%），中收持续承压。结构上看，代理业务收入同比+23%，主要受益于代销业务增长；担保、承销收入分别同比-28%、-14%，为中收主要拖累，主要受到保函业务及债券承销业务收入下降所致。24年公司其他非息收入同比+61.7%，较24H1环比+27.7pct，主要由投资收益和公允价值变动净收益贡献。公司24年成本收入比为30.3%，同比+0.3pct。资产质量稳健，前瞻指标波动24年末不良率、拨备覆盖率分别为1.38%、179%，分别较9月末-5bp、+3pct。零售不良率改善，较6月末-7bp至1.78%；对公不良率较6月末-2bp至1.36%。前瞻指标略有波动，24年末关注率为2.40%，较24H1末提升19bp。测算Q4年化不良生成率环比下行21bp至1.37%；Q4年化信用成本为1.46%，同比+2bp。给予A/H股25年目标PB0.50/0.45倍鉴于息差下行，我们预测2025-26年EPS为0.56/0.57/0.59元（较25-26年前值-6%/-9%），预测25年BVPS为6.73元，A/H股对应PB0.44/0.35倍。A/H股可比公司25年Wind一致预期PB0.55/0.64倍，公司运营管理能力高效、规模增长持续，我们给予A/H股25年目标PB0.50/0.45倍，A/H股目标价3.37元/3.25港币（前值24年目标PB0.50/0.38倍，A/H股目标价3.14元/2.62港币），A股维持“增持”评级，H股维持“买入”评级。风险提示：政策推进力度不及预期；经济修复力度不及预期。,,华泰证券,增持,[None],2025-03-30,,增持,5967781,pdf_downloads/2025/2025-03-30/601916-浙商银行（601916）：信贷投放提速，负债成本优化.pdf,601916,浙商银行,浙商银行（601916）：信贷投放提速，负债成本优化
"梁凤洁,周源",24Q3浙商银行盈利增速小幅放缓，负债成本继续改善，关注减值计提压力。业绩概览浙商银行24Q1-3营收同比增长5.6%，增速环比下降0.5pc；归母净利润同比增长1.2%，增速环比下降2.1pc。24Q3末不良率环比持平于1.43%；拨备覆盖率环比下降3pc至175%。盈利增速小幅放缓浙商银行24Q1-3营收同比增长5.6%，增速环比下降0.5pc；归母净利润同比增长1.2%，增速环比下降2.1pc，盈利动能走弱。主要归因：规模增速放缓、减值计提加大。①规模增速放缓。24Q3末浙商银行生息资产同比增长12.7%，增速较24Q2末放缓2.1pc；24Q1~3减值损失同比增长7.5%，较24H1扩大2.5pc。 展望未来，预计后续浙商银行营收增速仍面临收窄压力，主要受到规模增速、非息增速继续放缓的影响。负债成本继续改善浙商银行24Q3单季息差（期初期末口径，下同）环比基本持平于1.65%，负债端成本率改善，对冲资产端收益率下降影响。①24Q3资产端收益率环比24Q2下降3bp至3.90%，判断是受到贷款利率行业性下行影响。②24Q3负债端成本率环比24Q2改善3bp至2.18%，判断是得益于存款成本持续压降，同时市场利率下行带动主动负债成本改善。展望未来，受LPR调降、存量按揭降息等因素影响，预计浙商银行息差仍有下行压力。关注减值计提压力浙商银行24Q3末不良率环比24Q2末持平于1.43%，拨备覆盖率环比下降3pc至175%。尽管资产质量指标整体稳定，但注意到减值计提规模增长的情况下，24Q3末贷款拨备余额仍环比小幅下降1%。推测存量不良指标稳定可能与处置力度加大有关，后续仍需关注不良生成与减值计提压力。盈利预测与估值预计2024-2026年浙商银行归母净利润同比增长0.57%/0.05%/0.48%，对应BPS6.25/6.60/6.96元。目标价3.75元/股，对应2024年PB为0.60倍。截至2024年10月29日收盘，现价2.86元/股。现价空间31%，维持“买入”评级。风险提示：宏观经济失速，不良大幅暴露。,,浙商证券,买入,[None],2024-10-30,,买入,5808251,pdf_downloads/2024/2024-10-30/601916-浙商银行（601916）：2024年三季度业绩点评：业绩增速放缓，负债成本改善.pdf,601916,浙商银行,浙商银行（601916）：2024年三季度业绩点评：业绩增速放缓，负债成本改善
"沈娟,贺雅亭",2024年8月30日│中国内地/中国香港 全国性股份制银行 负债成本改善，战略持续深化浙商银行24H1归母净利润、营收、PPOP增速分别为+3.3%、+6.2%、+4.7%，增速较24Q1分别-1.8pct、-10.5pct、-13.7pct。24H1年化ROA、ROE分别同比-0.06pct、-1.31pct至0.52%、9.65%。我们预测2024-26年EPS为0.57/0.59/0.63元，预测24年BVPS为6.28元，A/H股对应PB 0.42/0.30倍。A/H股可比公司24年Wind一致预期PB 0.49/0.39倍，公司运营管理能力高效、规模增长持续，但鉴于宏观经济复苏节奏仍待观察，我们给予A/H股24年目标PB 0.50/0.38倍，A/H股目标价3.14元/2.62港币，A股维持“增持”评级，H股维持“买入”评级。规模扩张放缓，战略持续深化6月末总资产、贷款、存款分别同比+11.5%、+9.5%、+6.3%，增速较3月末-3.6pct、-1.4pct、-4.3pct。上半年新增贷款中对公、零售占比68%、26%，新增对公贷款主要投向金融、制造、租赁商务业等。公司持续搭建经济周期弱敏感资产的压舱石，6月末对公贷款中服务弱周期行业贷款余额1997亿元，较年初增加200亿元，在新增对公贷款中占比31%。24H1公司净息差1.82%，较Q1下行2bp，较23年下行19bp，主要受资产端拖累，24H1贷款收益率较23年-25bp。负债成本有所改善，24H1存款成本率较23年-5bp，但定期化趋势较为严峻，6月末活期率较23年末-13.2pct至25.1%。中收持续承压，投资收益波动24H1公司净利息收入同比-1.4%（24Q1同比+0.6%）。24H1公司手续费及佣金净收入同比-5.7%（24Q1同比-3.4%），中收持续较为承压。结构上看，代理业务收入同比+26%，主要受益于代销业务增长；担保、承销收入分别同比-23%、-11%，为中收主要拖累，主要受到保函业务及债券承销业务收入下降所致。24H1公司其他非息收入同比+40.4%，24Q2单季同比-1.6%（24Q1同比+104.7%），投资类收益在Q1较高增速的基础上单季增长转负，致营收波动。公司上半年成本收入比为28.5%，同比提升0.5pct。不良走势平稳，关注前瞻风险6月末公司不良率、拨备覆盖率分别为1.43%、178%，分别较3月末-1bp、+1pct，走势整体平稳。零售不良率改善，较23年末-6bp至1.85%；对公不良率较23年末+1bp至1.38%，其中制造业、批零不良率分别提升30bp、61bp至1.12%、1.57%，房地产不良率改善122bp至1.26%。前瞻指标略有波动，6月末关注率、逾期率分别为2.21%、2.17%，分别较23年末提升15bp、54bp。测算Q2年化不良生成率环比提升62bp至2.04%。风险提示：经济修复力度不及预期，资产质量恶化超预期。,,华泰证券,增持,[None],2024-08-31,,增持,5754511,pdf_downloads/2024/2024-08-31/601916-浙商银行（601916）：负债成本改善，战略持续深化.pdf,601916,浙商银行,浙商银行（601916）：负债成本改善，战略持续深化
