author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"金荣,赵浦轩",主要观点：业绩情况：公司发布2025年三季度业绩。2025年前三季度公司实现营收36.16亿（yoy+150.8%），实现归母净利润23.36亿（yoy+406.8%），实现扣非净利润22.89亿（yoy+428.2%）。其中，2025年Q3公司实现营收3.74亿元（yoy+247.5%），实现归母净利润1.06亿元（yoy+993.71%）。利润端表现优秀，三费费率管控良好公司三季度实现毛利率29.7%，同比增加4.6pct。费用方面，公司三季度销售费用率/管理费用率/研发费用率分别为0.1%/6.3%/2.7%，同比分别减少0.6pct/15.8pct/4.2pct，费用端管控良好。动画、真人电影同步推进，影视资源储备丰富公司电影业务前三季度实现票房159.03亿元，25年上映具体影片包括：《哪吒之魔童闹海》、《独一无二》、《花漾少女杀人事件》、《东极岛》、《非人哉：限时玩家》。在真人电影方面，公司储备电影《“小”人物》、《她的小梨涡》、《透明侠侣》、《墨多多谜境冒险》、《莫尔道嘎》、《四十四个涩柿子》等。动漫方面，《三国的星空第一部》10月1日上映。另外公司还储备了《去你的岛》、《罗刹海市》、《大鱼海棠2》、《相思》、《朔风》、《外婆，我的耳朵里有条鱼》、《涿鹿》、《姜子牙 2》、《茶啊二中 2》、《昨日青空 2》、《大鱼海棠3》、《八仙过大海》、《大理寺日志》、《妲己》、《二郎神》、《陆判》等影片。IP业务转型持续推进公司向IP运营方向转型，25H1主要围绕“哪吒”IP展开，覆盖超过30个品类、500多个产品。另外“大鱼海棠”“张缤智和王焕君”等IP的运营工作也持续健康运营。同时公司持续关注探索微短剧市场进展，已筹划投资组建相关公司。投资建议考虑公司未来影片上映情况，预计25-27年公司实现收入41.56/ 30.84/33.51亿，25-27年前值为41.47/ 30.68/33.31亿，预计25-27年公司实现归母净利润23.42/12.72/14.18亿，25-27年前值为23.40/12.45/13.87亿，维持“买入”评级。风险提示重点影片上映节奏不及预期；居民观影习惯恢复不及预期；影片票房不及预期；政策及监管环境趋严加大影视剧作品过审难度的风险。,,华安证券,买入,[None],2025-11-05,,买入,7439418,pdf_downloads/2025/2025-11-05/300251-光线传媒（300251）：IP转型推进，新片储备丰富.pdf,300251,光线传媒,光线传媒（300251）：IP转型推进，新片储备丰富
朱珺,2025年10月29日│中国内地 文化娱乐 公司发布三季报：25年前三季度实现总营业收入36.16亿元（yoy+150.81%）；归母净利润23.36亿元（yoy+406.78%）；扣非后净利润22.89亿元（yoy+428.21%）。Q3单季度实现营收3.74亿元（yoy+247.54%），归母净利润1.06亿元（24Q3为-0.12亿元）），扣非后归母净利0.91亿元（24Q3为-0.28亿元）。Q3公司营收增速较快，主因《哪吒2》新媒体版权、衍生品及电影投资等贡献。Q3毛利润同增，费用大幅节约公司Q3毛利率29.65%，同增4.58pct。费用率方面，公司Q3销售/管理/研发/财务费用率分别为0.10%/6.29%/2.69%/-0.52%，同比-0.55/-15.85/-4.21/+2.77pct，环比-0.05/-2.37/-2.79/+5.98pct，整体费用率较去年同期大幅下降。期间公司投资收益为0.24亿元，较上年同期的-0.24亿元明显改善，主因联营企业收益变动。后续储备项目充足，多赛道内容持续落地公司影视内容储备丰富，项目推进稳健。参投、发行的动画电影《三国的星空第一部》已于2025年10月1日正式上映。公司储备的多部重点真人电影项目包括《“小”人物》、《她的小梨涡》、《透明侠侣》、《墨多多谜境冒险》等，有望在未来择机上映，进一步丰富片单供给。在剧集端，公司重点项目《山河枕》将于2025年10月30日在腾讯视频播出，另一重点项目《春日宴》正处于前期开发阶段。除真人内容外，公司在动画领域布局多元，储备项目涵盖《去你的岛》、《罗刹海市》、《大鱼海棠2》等多类型题材，为中长期业绩增长提供坚实支撑。积极布局新兴业态，拓展微短剧与游戏投资版图公司同步发力IP衍生与新兴文娱业态，构建多元变现路径。截至25Q3，线上电商渠道试运营筹备已启动，首批标杆产品将由内部团队自主设计，旨在强化IP商业化能力。此外，公司与合作方联合设立游戏公司，首款3A项目已正式进入制作阶段，公司预计在三年内推出，有望补充公司在互动娱乐领域的长期成长动能。此外，公司高度关注微短剧赛道的发展潜力，正依托自身影视资源、制作能力与内容储备，计划投资设立专门子公司布局短剧业务，推动公司在新内容形态上的业务延伸。盈利预测与估值我们基本维持盈利预测，预计25-27年归母净利润24.03/11.96/13.33亿元。26年可比公司Wind一致预期PE均值44.1X（前值为25年33.0 X），我们认为公司IP创作能力优异，动画电影龙头地位巩固，给予26年46.8 X PE估值，目标价为19.08元（前值28.96元，对应25年35 X PE）。维持“买入”评级。风险提示：电影上映时间不及预期、电影票房不及预期。,,华泰证券,买入,[None],2025-10-30,,买入,7015230,pdf_downloads/2025/2025-10-30/300251-光线传媒（300251）：Q3哪吒相关商业化持续贡献业绩.pdf,300251,光线传媒,光线传媒（300251）：Q3哪吒相关商业化持续贡献业绩
刘欣,事项： 25H1实现收入32.42亿元（YOY+143%），归母净利润22.29亿元（YOY+372%)，扣非归母净利润21.99亿元（YOY+377%）。单季度看，25Q2实现营收2.67亿元（YOY+1.4%），归母净利润2.14亿元（YOY+343%），扣非归母净利润1.98亿元（YOY+340%)。评论： 分业务看，哪吒2长尾效应持续体现，经纪业务稳定。25H1 电影业务实现收入31亿元（YOY+219%），经纪及其他业务收入1.4亿元（YOY+11%），电影业务增长主要系超级大单片《哪吒之魔童闹海》带动，经纪业务稳定增长。此外，25H1饺子可可豆工作室确认~1亿投资收益。单季度拆分看，1）期内上映1部电影《独一无二》（票房1700万）+哪吒2部分票房计入（Q2票房～3.7亿元）；2）哪吒IP授权GMV在Q2仍有一定体现。展望后续，公司产品储备丰富，IP宇宙稳步推进中。1）年内看，公司储备有《三国的星空》（预计国庆上映）、《她的小梨涡》、《透明侠侣》等待映影片；2）中长期看，公司产能储备依旧充足，动画电影《姜子牙2》、《妲己》、《大鱼海棠2/3》，真人电影《第十七条》、《三体》（张艺谋）多影片推进中，pipeline充足，建议积极关注后续定档进度。积极转型“IP 创造者&amp;运营商”。根据公司财报，公司 1）积极扩充内容生产线，预计明后年可达1年生产1.5-2部高质量动画电影；2）IP运营：积极组建团队布局衍生品、渠道、3A游戏、卡牌、主题乐园等方向，期待后续进展。AI赋能动画电影行业。一方面，AI 有望提高动画电影制作效率，公司当前已把动画制作各个环节与AI技术相结合，公司产能有望持续提升，另一方面，公司IP储备丰富（哪吒、姜子牙、大鱼海棠、红孩儿等），AI提升动画电影产能同时有望进一步放大IP价值，打开长期想象空间。投资建议：我们看好公司内容制作能力，公司有望受益行业顺周期修复，且公司内容储备丰富，有望贡献较大业绩弹性。由于产品排期及实际票房变动，我们小幅下调此前业绩预测，预计公司2025/26/27 年归母净利润分别为23.78/10.36/12.08亿元（此前预期归母净利润为24.62/10.42/12.15亿元），同比增速+714%/-56%/+17%，当前股价对应24/56/48倍 PE。采用相对估值法进行估值，主要选取同以电影为主业的万达电影、中国电影为可比公司，此外也将剧集+电影内容制作公司华策影视纳入可比范围。参考可比公司25年平均 PE，考虑到公司25年为产品大年（有超级大单片《哪吒之魔童闹海》）而26年预计产品周期正常回落，我们给予公司2025年28倍 PE，目标市值666亿元，对应目标价22.7元，维持“推荐”评级。风险提示：宏观经济持续承压；产品上线不及预期；票房表现不及预期,,华创证券,推荐,[None],2025-09-02,,增持,6384715,pdf_downloads/2025/2025-09-02/300251-光线传媒（300251）：Q2业绩符合预期，后续pipeline仍充足，关注IP运营进展.pdf,300251,光线传媒,光线传媒（300251）：Q2业绩符合预期，后续pipeline仍充足，关注IP运营进展
"岳铮,祁天睿",光线传媒(300251)事件公司发布2025年中期报告：2025年上半年年公司实现营业收入32.42亿元，同比增长143.00%；归母净利润22.29亿元，同比上升371.55%；扣非归母净利润21.99亿元，同比上升376.71%。其中Q2单季度公司实现营业收入2.67亿元，同比增长1.44%；归母净利润2.14亿元，同比上升343.09%。《哪吒2》助推业绩高增，线上、海外持续铺开公司2025年上半年总票房收入达154.63亿元，主要由春节档爆款电影《哪吒2》贡献。影片线上资源已于8月2日在中国大陆地区全网上线，英文配音版已于8月22日起陆续登陆美国、加拿大、澳大利亚及新西兰影院，日文配音版也在筹备中并将在日本长线放映，看好《哪吒2》后续的长尾票房流水贡献。储备内容类型多元，持续关注上线表现公司储备影片和影视剧内容丰富：电影方面：Q3内已上线《花漾少女杀人事件》《东极岛》《非人哉：限时玩家》三部影片，动画电影《三国的星空》已定档10月1日，另有多部电影待映。公司预计动画制作团队人数有望从目前的170人扩充至明后年的300人已上，同时多部动画电影项目制作推进中；影视剧方面：古装武侠剧《山河枕》有望年内上线。关注公司后续影片和影视剧的上线表现。IP业务战略转型，多元运营构建增长目前，公司已经组建专业IP运营团队，推动IP价值在多领域变现：“哪吒”IP目前已覆盖超过30个品类、500多个产品，后续还将推动“大鱼海棠”“张缤智和王焕君”等IP的运营。此外，线上的电商渠道的试运营和线下IP快闪店的选址也均在筹备中，IP的多元化运营有望成为公司业务的新增长点。投资建议：公司正处于从“高端内容提供商”向“IP的创造者和运营商”转型的过程中，IP运营业务正在持续铺开。同时，公司传统影视业务储备内容丰富，新片上映有序进行。我们预计公司2025-2027年归母净利润分别为24.61/12.06/13.63亿元，对应PE为24x/49x/43x，维持“推荐”评级。风险提示：市场竞争加剧的风险、行业政策趋严的风险、新品上线不及预期的风险、买量成本上升的风险等。,,银河证券,推荐,[None],2025-08-30,,买入,6369530,pdf_downloads/2025/2025-08-30/300251-光线传媒（300251）：2025年中报点评：积极扩容动画产能，IP业务战略转型.pdf,300251,光线传媒,光线传媒（300251）：2025年中报点评：积极扩容动画产能，IP业务战略转型
朱珺,2025年8月27日│中国内地 文化娱乐 公司发布半年报： 25H1实现总营业收入32.42亿元（yoy+143.00%）；归母净利润22.29亿元（yoy+371.55%）；扣非后净利润21.99亿元（yoy+376.71%）。其中Q2实现营收2.67亿元(yoy+1.44%，qoq-91.01%)，归母净利润2.14亿元(yoy+343.09%，qoq-89.40%)。公司业绩大幅提升，主因《哪吒之魔童闹海》强劲票房及衍生品销售带动。公司IP创作能力优秀，动画电影龙头地位巩固，维持“买入”评级。《哪吒2》带动业绩，长尾效应有望持续公司25H1票房总收入达154.63亿元，主因《哪吒2》强劲票房。《哪吒2》长尾效应有望持续，其于8月2日起在中国大陆地区全网上线，英文配音版已于8月22日起陆续登陆美国、加拿大、澳大利亚及新西兰影院，日文配音版亦在筹备中，公司指引放映时间将长达数年。公司25H1综合毛利率达78.29%，同增33.88pct；销售/管理/研发/财务费用率0.04%/1.27%/0.73%/-0.65%，同比-0.09/-2.29/-0.22/+0.67pct，各项费用率变动主因营收大幅提升的杠杆效应。暑期档多部影片上映，后续储备丰富公司多部出品影片于暑期档上映。根据猫眼专业版，截至8月26日，《花漾少女杀人事件》（7月18日上映）累计票房达2885.9万元；《东极岛》（8月8日上映）累计票房达3.73亿元；《非人哉：限时玩家 》累计票房达1413.4万元。此外，公司出品电影《三国的星空》已定档10月1日上映。后续真人电影《“小”人物》、《她的小梨涡》、《透明侠侣》、《墨多多谜境冒险》、《莫尔道嘎》、《四十四个涩柿子》待择机上映；动画电影《大鱼海棠2》、《相思》、《朔风》等在制作中，《涿鹿》、《姜子牙2》、《大鱼海棠 3》、《妲己》、《二郎神》等项目在推进中。人员结构不断优化，增强IP运营能力公司持续推进“神话宇宙”布局，截至25H1动画制作团队的人数已经超过 170人，公司指引可能在明后年扩充至300人以上，预计可以达到一年生产一部半到两部的高质量动画电影的生产能力。此外，公司内部已组建两个IP 运营团队，并将继续组建更多团队。上半年“哪吒”IP已覆盖超30个品类、500多种产品，后续“大鱼海棠”、“张缤智和王焕君”等IP的运营也已展开。公司正筹备线上电商渠道的试运营，及IP线下快闪店、旗舰店的前期选址。游戏方面，公司与合作方共同组建游戏公司，团队规模超50人，第一款3A游戏已在制作中，卡牌、主题乐园等具体方案仍在推进中。盈利预测与估值我们维持盈利预测，预计25-27年归母净利润24.28/12.28/13.63亿元。25年可比公司Wind一致预期PE均值33.0X（前值为31 X），我们认为公司IP创作能力优异，后续储备重组，动画电影龙头地位巩固，给予25年35 X PE估值，目标价为28.96元（前值27.39元，对应25年33 X PE）。维持“买入”评级。风险提示：电影上映时间不及预期、电影票房不及预期。,,华泰证券,买入,[None],2025-08-27,,买入,6355232,pdf_downloads/2025/2025-08-27/300251-光线传媒（300251）：H1业绩高增，期待后续IP动画电影.pdf,300251,光线传媒,光线传媒（300251）：H1业绩高增，期待后续IP动画电影
乔琪,《哪吒2》带动业绩大幅增长，储备项目丰富。2025H1公司共有两部参与投资、制作、发行的影片上映，分别是《哪吒之魔童闹海》以及《独一无二》，其中主投+发行动画电影《哪吒之魔童闹海》总票房154.46亿元，是公司上半年业绩增长的主要推动力。上映于Q3的影片有《花漾少女杀人事件》（7月18日上映，主投+发行，票房2886.2万元）、《东极岛》（8月8日上映，参投+发行，票房3.74亿元）、《非人哉：限时玩家》（8月16日上映，参投，票房1420万元）。储备项目方面，参投+发行动画电影《三国的星空》定档10月1日，《“小”人物》《她的小梨涡》《透明侠侣》等真人电影项目待择机上映；动画电影有《去你的岛》《罗刹海市》《大鱼海棠2》等在制作中，《涿鹿》《姜子牙2》等动画电影项目在推进中；古装武侠剧《山河枕》处于后期精修阶段，有望年内播出，《春日宴》前期策划工作重点推进中。动画制作团队扩容，保障未来产能提升。光线动画制作团队人数已超170人，未来有望扩充至300人以上，预计可以达到一年生产一部半到两部高质量动画电影的生产能力，为“神话宇宙”系列作品的持续生产提供稳定保障。IP运营转型持续进行中。公司正处于从“高端内容供应商”向“IP的创造者和运营商”转型过程中，已在内部组建两个IP运营团队并将继续组建更多团队以保障公司众多IP能够得到全面、有效和快速的运营。2025H1围绕“哪吒”IP开展的衍生品已覆盖30个品类、500多个产品，其他如“大鱼海棠”、“张缤智和王焕君”等IP的运营工作也已展开。渠道方面，公司已为线上电商渠道的试运营开始筹备工作，多个IP的快闪店目前在选址和前期筹备中，首家线下品牌旗舰店预计2026年开业。游戏业务方面公司已经和合作方共同组建游戏公司，团队规模超过50人，第一款3A游戏已在制作过程中，同时卡牌业务以及主题乐园业务也在推进中。盈利预测与投资评级：预计2025-2027年公司归母净利润为24.12亿元、10.05亿元、11.15亿元，按照8月27日收盘价，对应PE为24.08倍、57.78倍、52.09倍，维持“增持”评级。风险提示：影片上映进展不及预期；影片票房不及预期；转型效果不及预期,,中原证券,增持,[None],2025-08-27,,增持,6364769,pdf_downloads/2025/2025-08-27/300251-光线传媒（300251）：中报点评：动画制作能力扩容，IP运营转型持续推进.pdf,300251,光线传媒,光线传媒（300251）：中报点评：动画制作能力扩容，IP运营转型持续推进
刘欣,"24 年全年实现收入 15.86 亿元( YOY+3%),归母净利润 2.92 亿元( YOY30%),扣非归母净利润 2.44 亿元(YOY-37%)，同比下降 37%.2501 实现营收 29.75亿元(YOY+178%)，归母净利润 20.16亿元(YOY+375%)，扣非归母净利润20亿元(YOY+381%）.评论:哪吒2驱动 Q1高增，IP 价值持续挖摄。公司 Q1 期内主要上映1部电影《哪吒之魔童闹海》( 票房 151 亿 )，预计贡献主要收入与利润，此外，上映前公司己着手规划、开发潮玩、手办、卡牌、出版物等衍生品，市场销售火热，预计也将贡缺增量利润。展望后续，公司产品储备丰富，IP宇宙稳步推进中。1)年内看，公司储备有《三固星空》(出品，与果麦合作)《东极岛》(参投，预计暑期上映)《非人哉:限时玩家》等待映影片;2)中长期看，公司产能储备依旧充足，动画电影《姜子牙 2》、《妲已》、《《大鱼海棠 23》，真人电影《第十七条》、《三体》(张艺谋)多影片推进中，pipeline 充足，建议积极关注后续定档进度。AI赋能动画电影行业。一方面，AI有望提高动画电影制作效率，公司当前已把动画制作各个环节与 AI技术相结合，公司产能有望持续提升，另一方面，公司 IP 储备丰富(哪吒、姜子牙、大鱼海業、红孩儿等)，AI 提升动画电影产能同时有望进一步放大 IP 价值，打开长期想象空间。投资建议:我们看好公司内容制作能力，公司有望受益行业顺周期修复，且公司内容储备丰富，有望贡献较大业绩弹性。由于产品排期及实际票房变动，我们上调此前业绩预测，预计公司2025126/27年归母净利润分别为24.62110.42112.15 亿元(此前预期 25126 年归母净利润为 10.58/11.91 亿元),同比增速+743%61-58%1+17%，当前股价对应23/54146倍 PE，采用相对估值法进行估值，主要选取同以电影为主业的博纳影业、方达电影、中国电影为可比公司，此外也将剧集+电影内容制作公司华策影视纳入可比范围，参考可比公司 25 年平均 PE，考虑到公司 25 年为产品大年(有超级大单片《哪吒之魔意闹海》)而 26 年预计产品周期正常回落，我们给予公司 2025年 28 倍 PE，目标市值 689 亿元，对应目标价23.5元，维持“推荐”评级。风险提示:宏观经济持续承压;产品上线不及预期;票房表现不及预期",,华创证券,推荐,[None],2025-04-30,,增持,6035323,pdf_downloads/2025/2025-04-30/300251-光线传媒（300251）：2024年报及2025年一季报点评：《哪吒2》驱动Q1业绩高增，后续片单储备丰富，IP价值持续挖掘.pdf,300251,光线传媒,光线传媒（300251）：2024年报及2025年一季报点评：《哪吒2》驱动Q1业绩高增，后续片单储备丰富，IP价值持续挖掘
金荣,主要观点：业绩情况：公司发布2024年全年及2025年一季度业绩。2024全年公司实现收入15.86亿（yoy+2.58%），实现归母净利润2.92亿（yoy-30.11%），实现扣非净利润2.44亿（yoy-37.09%）。25Q1实现收入为29.75亿（yoy +177.87%），归母净利润为20.16亿（yoy +374.79%），扣非净利润20.0亿（yoy+380.71%）。《哪吒2》推动公司一季度业绩，IP价值逐步显现据灯塔专业版统计，受益于《哪吒2》，2025年春节档实现票房95.14亿（yoy+18.7%），总出票1.87亿张，创春节档新高，其中《哪吒2》票房为48.4亿，票房占比50.9%。目前《哪吒2》实现票房152.8亿。同时在《哪吒2》上映前，公司提前按布局潮玩、手办、卡牌、出版物等多元衍生品，挖掘IP价值，打开盈利渠道，在变现模式上实现票房和衍生品相辅相成。已有20余个品牌与“哪吒 2”进行合作，覆盖食品、美妆、汽车、潮玩、数码、咖啡等多种品类，IP授权费从500万元增长至900万元。电视剧及艺人经纪业务稳健运营电视剧方面，2024年实现收入2.37亿元，项目上《山河枕》在后期阶段持续推进，预计25年上映，《春日宴》正进行前期策划部署。公司艺人经纪、版权、音乐等内容关联业务健康运营，2024年实现收入2.20亿元。扬州影视基地 PPP 项目一期已正式投入运营。内容储备丰富，神话宇宙推进布局光线计划用50部动画电影构建“神话宇宙”，目前包含《山海经》、《西游记》、《封神演义》等在内的20余部影视作品，2025年公司将持续推进重点影片《三国的星空》、《非人哉：限时玩家》等，同时重点布局《姜子牙2》、《红孩儿之冲出火焰山》、《土行孙之破土重生》、《妲己》、《二郎神》等动画电影。在真人电影方面，《独一无二》将于5月1日上映，《东极岛》预计今年暑期上映，同时储备《花漾少女杀人事件》、《“小”人物》、《她的小梨涡》、《透明侠侣》、《墨多多谜境冒险》、《莫尔道嘎》、《四十四个涩柿子》等项目。投资建议考虑公司未来影片上映情况，预计25-27年公司实现收入41.47/ 30.68/33.31亿，25-26年前值为29.21/32.07亿，预计25-27年公司实现归母净利润23.40/12.45/13.87亿，25-26年前值为10.68/11.03亿，维持“买入”评级。风险提示重点影片上映节奏不及预期；居民观影习惯恢复不及预期；影片票房不及预期；政策及监管环境趋严加大影视剧作品过审难度的风险。,,华安证券,买入,[None],2025-04-28,,买入,6027663,pdf_downloads/2025/2025-04-28/300251-光线传媒（300251）：《哪吒2》推动业绩高增长，神话宇宙推进布局.pdf,300251,光线传媒,光线传媒（300251）：《哪吒2》推动业绩高增长，神话宇宙推进布局
"高博文,郭天瑜,陈子怡","【投资要点】公司发布2024年报及2025年一季报。2024年，公司实现营业收入15.86亿元，同比增长2.58%；实现归母净利润2.92亿元，同比下降30.11%；实现扣非归母净利润2.44亿元，同比下降37.09%。2025年一季度，公司实现营业收入29.75亿元，同比增长177.87%；实现归母净利润20.16亿元，同比增长374.79%；实现扣非归母净利润20.00亿元，同比增长380.71%。公司发布2024年度利润分配方案的公告，计划每10股派发现金股利人民币2.00元（含税），共计派发人民币5.85亿元，占2024年度净利润的比例为200.24%.《哪吒之魔童闹海》票房创纪录，带动一季度业绩新高。2024年，在中国电影市场票房（含服务费）同比下降22.60%的情况下，公司及子公司参与投资、制作、发行的电影项目（含复映）影片共9部，总票房约32.70亿元，对应电影及相关衍生品业务收入为11.29亿元，同比下降12.22%。根据猫眼数据，公司在2025年春节档上线的《哪吒之魔童闹海》截至2025年4月24日，全球票房157.24亿元（大陆地区票房152.69亿元），位列内地影史总票房冠军，全球影史票房榜第五，打破多项票房成就，并带动公司2025年一季度业绩同比大幅提升超300%。后续影片储备丰富，真人动画全面开花。根据公司年报披露，除春节档已上映的《哪吒之魔童闹海》外，公司仍有11部电影项目预计上映；其中，《独一无二》已定档5月1日，《东极岛》预计将于暑期档上映，动画电影《三国的星空》《非人哉：限时玩家》也有望于年内上映。此外，公司有46部预计制作的电影项目，包括2026年可能上映的真人电影《第十二条》《第十七条》《人民的正义》《白夜行》等，2027年可能上映的动画电影《罗刹海市》《外婆，我的耳朵里有条鱼》等，以及后续的《涿鹿》《大鱼海棠 2》《三体》等各类动画或真人影片。积极推进转型，从内容供给到IP运营。公司积极推进战略转型，从内容供给转向IP制造和运营。目前，公司已经成立了第一个IP运营团队，后续将以谷子、游戏、卡牌、品牌店和主题乐园等为方向，在衍生品的各个细分领域开展合作，开拓市场。截至2025年一季度，《哪吒之魔童闹海》的衍生品已经覆盖超30个品类，200多种产品，包括盲盒、毛绒、手办等，IP运营业务也为公司贡献了可观收入， 后续随着IP数量的持续增长和业务不断推进，有望为公司打开新的增长空间。《哪吒2》带动2025年Q1利润率显著提升。2024年，公司毛利率为37.71%，同比下降2.18pct；净利率为18.37%，同比下降8.76pct。费用方面，公司销售/管理/财务/研发费用率分别为0.18%/6.34%/-1.73%/2.08%，同比变动为-0.14pct/-0.59pct/0.99pct/0.02pct。公司期间费用率为6.87%，较2023年同期提升0.28pct。2025年一季度，受益于《哪吒之魔童闹海》票房高增，公司实现毛利率78.32%，同比增长30.08pct；实现净利率67.74%，同比增长28.02%。【投资建议】公司《哪吒之魔童闹海》创票房新高，后续储备丰富，积极进行IP创造与运营的战略转型。结合公司当前经营情况，我们调整并引入公司2025-2027年盈利预测，预计公司2025-2027年，营业收入分别为44.27/28.30/32.47亿元，归母净利润分别为24.11/9.58/12.45亿元，EPS分别为0.82/0.33/0.42元，以2025年4月23日收盘价计算，PE分别为24/61/47倍，维持“增持”评级。【风险提示】政策及监管环境的风险；影视作品销售的市场风险；作品内容审查或审核
风险；市场竞争加剧的风险。",,东方财富证券,增持,[None],2025-04-25,,增持,6669997,pdf_downloads/2025/2025-04-25/300251-光线传媒（300251）：2024年报及2025年一季报点评：《哪吒2》带动单季度业绩新高，积极推进IP运营战略转型.pdf,300251,光线传媒,光线传媒（300251）：2024年报及2025年一季报点评：《哪吒2》带动单季度业绩新高，积极推进IP运营战略转型
"岳铮,祁天睿",核心观点事件公司发布2024年度报告和2025年一季报：2024年公司实现营业收入15.86亿元，同比增长2.58%；归属于上市公司股东的净利润2.92亿元，同比下降30.11%；扣非归母净利润2.44亿元，同比下降37.09%。2025年第一季度公司实现营业收入29.75亿元，同比增长177.87%；归母净利润20.16亿元，同比增长374.79%；扣非归母净利润20.00亿元，同比增长380.71%。头部影片驱动，Q1业绩增长明显公司2024年参与投资、发行的影片总票房约32.70亿元，其中2024年春节档电影《第二十条》贡献24.29亿票房。2025年第一季度，公司电影及衍生业务收入及利润较上年同期均实现大幅增长，主要系历史级爆款影片《哪吒之魔童闹海》票房贡献。截止目前，影片全球累计票房已超过150亿，位列全球影史票房总榜第五位。内容矩阵储备丰富，多部作品即将上线公司在电影、影视剧、动漫等多个赛道均有丰富内容储备:电影方面，《独一无二》《东极岛》预计分别于五一档和暑期档上线；另储备有《花漾少女杀人事件》《“小”人物》《她的小梨涡》等多部影片待择机上映;影视剧方面，《山河枕》有望于年内播出，另储备有《春日宴》影视作品等;动漫方面，《三国的星空》《非人哉：限时玩家》预计于年内上线，另有《大鱼海棠2》等影片正在制作中，关注影片后续上线进度。探索开发多元衍生品，深挖爆款IP价值针对公司所拥有的爆款IP如哪吒等，公司积极探索规划、开发潮玩、手办、卡牌、出版物等多元衍生品致力于进一步挖掘IP价值，拓宽盈利渠道，构建完整的IP全产业链变现模式。票房与衍生品收入相辅相成，有望充分发挥爆款IP的商业价值，实现长效盈利。投资建议：公司不断推出精品爆款影片，内容端展现出较强的项目开发能力，且后续储备内容丰富。考虑到《哪吒2》票房超预期对公司年业绩带来的增量影响，我们调整公司2025-2027年归母净利润预测值为23.61/12.10/13.73亿元，对应PE为28x/55x/48x，维持“推荐”评级。风险提示：政策及监管环境的风险、作品内容审查或审核风险、市场竞争加剧的风险、新片上映票房不及预期的风险.,,银河证券,推荐,[None],2025-04-25,,买入,6023667,pdf_downloads/2025/2025-04-25/300251-光线传媒（300251）：公司2024年报暨2025一季报业绩点评：《哪吒2》助推Q1业绩高增，持续开发IP价值.pdf,300251,光线传媒,光线传媒（300251）：公司2024年报暨2025一季报业绩点评：《哪吒2》助推Q1业绩高增，持续开发IP价值
