author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"孙婷,何婷",长期稳定的治理结构，赋予公司良好的战略定力和执行力。纵观兴业证券最近25年的发展历程，公司从一家排名不到20名的券商跻身行业前20位，最高曾进入前15位，得益于公司治理的良好正反馈以及管理层稳定，历任核心管理层在公司深耕近十年。2025年6月公司新董事长苏军良上任，上任初期在财富管理、研究与机构服务、风险管理三大条线启动组织架构优化改革。省属背景，在区域资本市场中占据核心地位。公司实控人为福建省财政厅，省属金融企业的背景使公司在福建省内拥有无可比拟的资源优势，服务了全省70%以上的省属国企及各级政府，在区域资本市场中占据核心地位。此外，海峡股权交易中心是福建省唯一的区域性股权市场，公司作为其第一大股东，掌握了福建省内海量中小微企业的“入口”，形成了“投行+产投”的良性生态，有望受益于区域政策红利和产业升级。经营指标已经进入恢复增长阶段。2022、2023年受股票市场低迷的影响，兴业证券净利润较2021年高点分别下滑44%及59%。随着2024年9月24日，股票市场显著回暖，公司营收及净利润触底回升，2024年、2025年前三季度公司营业收入分别同比增长16%及40%，净利润分别同比增长10%及91%。公司2022年增发后ROE中枢有所下滑，随着公司财富管理转型逐步加深、股票市场有所回暖，公司ROE进入稳步复苏阶段。2025年前三季度，公司ROE为4.37%，同比增加2个百分点。线上线下积极拓客，看好公司财富管理转型。新领导班子到任后，从多维度调整财富管理战略，一方面通过优化网点布局，实现资源的有效集中；另一方面通过线上线下的方式积极拓客。线上与支付宝等渠道展开合作，线下通过传统营业网点、地推、渠道合作等方式拓客，我们预计在股市高活跃度下，公司经纪市占有望稳中有升。2025年12月兴业证券推出战略级财富管理品牌“知己理财”，同步发布“知己享投”、“知己优投”、“知己智投”三大解决方案，标志着公司正加速向买方投顾转型。公司基金投顾业务自2022年开始展业，低基数下高速增长，截至2025年10月末，公司投顾总保有规模较年初增长526%。盈利预测与投资评级：我们下调了公司2025年盈利预测，上调了2026/2027年盈利预测，估算公司2025E/26E/27E净利润分别为29/38/42亿元（前值33/35/38亿元），分别同比+36%/+29%/+10%。我们看好公司财富管理转型及组织架构调整带来的正向反馈，预计公司2026年业绩有望继续较快增长。公司估值远低于行业平均，维持“买入”评级。风险提示：财富管理转型不及预期；金融政策改革推行不达预期；市场持续低迷，股债市场波动加剧，导致公司投资收益波动较大等。,,东吴证券,买入,[None],2026-02-10,,买入,8411795,pdf_downloads/2026/2026-02-10/601377-兴业证券（601377）：财富管理与机构业务双轮驱动，新领导班子注入新活力.pdf,601377,兴业证券,兴业证券（601377）：财富管理与机构业务双轮驱动，新领导班子注入新活力
"刘欣琦,吴浩东","本报告导读：公司当前推进市场化改革，有望进一步发挥财富管理优势，ROE迎来向上拐点，维
持“增持”评级。投资要点：投资建议：中性假设下，预计公司2025-2027年归母净利润分别为29.5、34.7、38.9亿元，同比分别+36.2%、17.7%、12.0%。看好公司在市场化改革及财富管理引领下，ROE迎来向上拐点，给予2025年1.4xPB，对应目标价9.20元/股，维持“增持”评级。公司综合实力位于行业前15名，当前推进市场化改革，有望进一步发挥财富管理优势，ROE迎向上拐点。1）公司为福建省财政厅旗下券商，综合实力大约位于上市券商前15名，受自营业务波动、公募降费等因素影响，此前盈利表现阶段性承压；2）资产管理和财富管理（代销金融产品）是公司的重要特色，尤其是资产管理，因控股兴证全球基金和参股南方基金，产品端优势突出；3）2025年6月苏军良董事长履新兴业证券，持续推进市场化战略改革，目前已推出组织架构调整、买方投顾转型、设置首席市场官等重点举措。我们认为市场化改革将逐步释放兴业证券发展潜能，进一步发挥财富管理优势，预计ROE将迎来向上拐点。居民增配权益的配置力量逐步形成，公司财富管理及资产管理特色突出，有望更为受益。1）从海外经验看，随着利率从快速下行转向低位震荡，居民资产配置结构出现重构，虽然节奏和幅度有一定差异，但整体上逐步增配权益。而我国居民增配权益的配置力量正在逐步形成，开户数、新发基金等数据逐步升温；2）公司当前以落地深化银证合作、买方投顾转型（知己理财品牌）等重点举措，预计经纪业务市占率有望步入提升拐点，开启财富管理新篇章；3）参控股两大基金公司，利润贡献长期居前。兴业证券分别控股51%兴证全球基金、参股9.15%南方基金，近5年公募股权利润贡献维持在24%~45%之间，截至25H1末，公司公募股权利润贡献位居行业第一。当前公募三阶段降费落地，进入以量补价的高质量发展阶段，公司将显著受益居民增配权益的趋势。催化剂：资本市场提振、公募规模提升风险提示：资本市场大幅波动；改革成效不及预期；居民资产配置迁移不及预期",,国泰海通,增持,[None],2026-02-05,,买入,8397116,pdf_downloads/2026/2026-02-05/601377-兴业证券（601377）：更新报告：市场化改革及财富管理引领，ROE向上拐点.pdf,601377,兴业证券,兴业证券（601377）：更新报告：市场化改革及财富管理引领，ROE向上拐点
"刘欣琦,王思玥",维持“增持”评级，目标价8.85元。公司2025前三季度营收/归母净利润92.77/25.21亿元，同比+5.3%/90.98%；加权平均ROE同比+2.06pct至4.37%。结合最新市场环境与经营情况，上调盈利预期2025-2027年EPS为0.41/0.43/0.45元（此前为0.37/0.40/0.42元）；考虑到公司与可比公司规模差异，在可比公司基础上，给予公司2025年1.33xPB，目标价8.85元，对应21.82xPE。2025年前三季度，自营与经纪业务驱动增长，金融资产结构逐步调整。1）公司投资业务净收入同比+54.63%至34.36亿元，贡献了调整后营收（营业收入-其他业务支出）增量的45.76%，是业绩改善主因；权益市场行情下，公司投资收益率同比+0.56pct至2.21%；同时，公司资产结构逐步调整，相较2024年底其他权益工具投资规模+127.23%，而交易性金融资产中的股票规模下滑，收益稳定性提升；2）市场股基交易活跃，公司经纪业务同比+64.71%至21.61亿元，占调整后营收增量的32%。公司多措并举迈向高质量发展的新阶段，居民资金入市背景下，估值水平有望进一步提升。我们认为，权益及利率市场行情变化带动机构端与居民端资产负债表重配，给证券公司发展带来机遇。6月，原华福证券董事长苏军良出任兴业证券董事长，有望带领公司多措并举，迈向高质量发展的新阶段。持续深化财富管理与机构服务双轮联动发展战略，全面提升分公司区域平台综合价值，加速推动自有资金投资交易业务转型，并统筹推进境内外业务协同发展。居民资金入市背景下，公司估值水平有望进一步提升。催化剂：权益市场活跃度与行情持续向好。风险提示：权益市场大幅波动。,,国泰海通,增持,[None],2025-11-03,,买入,7307871,pdf_downloads/2025/2025-11-03/601377-兴业证券（601377）：资产结构逐步调整，估值受益增量资金.pdf,601377,兴业证券,兴业证券（601377）：资产结构逐步调整，估值受益增量资金
"徐康,刘潇伟","兴业证券发布 2025年三季报。剔除其他业务收入后营业总收入:93亿元，同比+39.7%，单季度为39亿元，环比+8.2亿元。归母净利润:25.2亿元，同比+91%，单季度为11.9亿元，环比+3.8亿元，同比+8.1亿元。点评:总体来看，前三季度公司 ROE 提升明显，原因:1)去年同期尤其是前二季度基数较低;2)今年市场景气度总体较高，各项业务总体明显修复;3)资产端改善，杠杆提升，资产收益率受益于权益资产提升，市场利率维持低位，公司利息成本率有所降低，息差扩大。公司报告期内 ROE为4.1%，同比+1.8pct。单李度ROE 为1.9%，环比+0.6pct，同比+1.3pct，杜邦拆分来看:1)公司报告期末财务杠杆倍数(总资产剔除客户资金)为:3.81倍，同比+0.15倍，环比+0.2倍。2)公司报告期内资产周转率(总资产别除客户资金，总营收剔除其他业务收入后)为 3.9%，同比+0.8pct，单季度资产周转率为1.6%，环比+0.3pct，同比+0.5pct.3)公司报告期内净利润率为 27.2%，同比+7.3pct，单季度净利润率为 30.8%环比+4.1pct，同比+15.4pct。资产负债表看，别除客户资金后公司总资产为 2354 亿元，同比+272.6 亿元，净资产:619 亿元，同比+49.1亿元。杠杆信数为3.81倍，同比+0.15倍。公司计息负债余额为 1489 亿元,环比+156.7 亿元,单季度负债成本率为 0.5%环比-0.1pct，同比-0.2pct.重资本业务净收入有所提升，权益类自营比例略有抬升，两融业务规模增长明显，主要受益于市场风险偏好提升，两融市占率略有下滑。公司重资本业务净收入合计为 46.7 亿元，单季度为 20.9 亿元，环比+4.3 亿元。重资本业务净收益率(非年化)为2.3%，单季度为1%，环比+0.1pct，同比+0.3pct.拆分来看:1)公司自营业务收入(公允价值变动+投资净收益-联营合营企业投资净收益)合计为34.3亿元，单季度为16.7亿元，环比+5.1亿元。单季度自营收益率为2%，环比+0.5pct，同比+0.6pct.对比来看，单季度期间主动型股票型基金平均收益率为+28.99%，环比+27.58pct，同比+17.06pct，纯债基金平均收益率为-0.43%。环比-1.36pct，同比-0.66pct.自营权益类证券及其衍生品/净资本为7%，较上期+1.7pct(预警线为 80%)。自营非权益类证券及其衍生品/净资本为 279.5%，较上期+8.1pct(预警线为400%)2)信用业务:公司利息收入为 37.9 亿元，单季度为12.2 亿元，环比-1.19 亿元。两融业务规模为 417亿元，环比+88.8亿元。两融市占率为1.74%，同比-0.13pct.3)质押业务:买入返售金融资产余额为57亿元，环比-8亿元。经纪业务收入同比提升明显。经纪业务收入为21.6亿元，单季度为92亿元环比+58.6%，同比+137.8%。对比期间市场期间日均成交额为21119.5 亿元，环比+67.1%。投行业务收入为 4.2亿元，单季度为2亿元，环比+1亿元，同比+0.2亿元。资管业务收入为 1.1亿元，单季度为 0.4 亿元，环比+0 亿元，同比+0 亿元监管指标上，公司风险覆盖率为 334.9%，较上期-19.5pct(预警线为120%)其中风险资本准备为 126 亿元,较上期+7.9%。净资本为 421亿元,较上期+2%。净稳定资金率为 185.8%,较上期-23pct( 预警线为120%),资本杠杆率为 16.5%,较上期-0.7pct(预警线为 9.6%).投资建议:看好公司供给侧改革机会与资管业务增长空间。考虑到市场景气度持续上行，市场利率维持低位，公司净利润持续超预期，我们上调公司盈利预期，预计兴业证券 2025/202612027年EPS为0.4210.44/0.47 元人民币(前值:0.27/0.29/0.32 元)，当前股价对应 PB 分别为 1.05/1.03/1.00 倍。我们给予 2026年业绩 1.30 倍 PB 估值预期，目标价8.72元，维持“推荐”评级。风险提示:市场交易量回落:资本市场创新不及预期:实体经济复苏不及预期,",,华创证券,推荐,[None],2025-11-02,,增持,7272771,pdf_downloads/2025/2025-11-02/601377-兴业证券（601377）：2025年三季报点评：前三季度净利润同比+91%，市场景气抬升带来利润增长.pdf,601377,兴业证券,兴业证券（601377）：2025年三季报点评：前三季度净利润同比+91%，市场景气抬升带来利润增长
"孔祥,林珊珊,王德坤","兴业证券发布2025年三季度报。2025年前三季度公司实现营业收入92.77亿元，同比提升39.96%（调整后）；实现归母净利润25.21亿元,同比提升90.98%；扣除非经常性损益后的净利润为24.78亿元，同比提升92.81%，对应EPS0.28元，同比提升94.99%；ROE为4.37%，同比增加2.06pct。业绩上涨主要因三季度A股市场震荡上行，沪深两市股票基金交易额同比显著放大，经纪业务和自营投资业务创收增加带动营业收入和净利润同比增长。市场活跃度增强，经纪、自营业务为主要驱动力。2025年前三季度，资本市场交投活跃度提升，经纪业务收入21.61亿元，同比上涨64.71%。2025年前三季度，公司投资规模稳健提升，金融资产规模同比增长11.48%至1,598.63亿元，实现投资业务收入（含公允价值变动）34.28亿元，同比提升58.91%，主因交易性金融工具投资收益同比增加。两融市场创新高，信用业务业绩亮眼。2025年前三季度，公司利息净收入12.44亿元，同比提升41.53%；9月末，公司融出资金规模较年初提升24%至417亿元，业绩增长主要因其他债权投资利息收入同比增加及客户保证金利息支出同比减少。投行、资管业绩持续承压。2025年前三季度，公司股权融资规模大幅提升，公司实现投行业务收入4.16亿元，同比下滑5.77%。2025年前三季度，公司股权承销金额19.21亿元，同比提升1.49倍；IPO储备项目2单；债券承销金额1453.41亿元，同比提升18.18%，公司股权、债券承销规模持续增长。2025年前三季度，公司资管业务实现净收入1.15亿元，同比小幅下滑0.88%。风险提示：市场波动对券商业绩与估值修复带来不确定性；政策风险等。投资建议：基于公司前三季度数据及市场表现，我们对公司2025-2027年的盈利预测分别上调7.36%、5.86%和5.64%，预测2025-2027年公司归母净利润分别为27.38元、29.16亿元、31.33亿元，同比增长26.5%/6.5%/7.4%，当前股价对应的PE为24.5/22.1/20.0x，PB为1.0/0.9/0.9x。随着权益市场活跃度持续提升，公司将持续深化“双轮联动”战略，深入打造国际化专业平台，对公司维持“优于大市”评级。",,国信证券,优于大市,[None],2025-10-31,,买入,7097136,pdf_downloads/2025/2025-10-31/601377-兴业证券（601377）：投资反转，蓄势待发.pdf,601377,兴业证券,兴业证券（601377）：投资反转，蓄势待发
"孙婷,何婷",事件：兴业证券公告2025年三季报。公司前三季度实现营业收入92.8亿元，同比+40.0%；归母净利润25.2亿元，同比+91.0%；对应EPS 0.28元，ROE 4.4%，同比+2.1pct。第三季度实现营业收入38.7亿元，同比+59.2%，环比+48.3%；归母净利润11.9亿元，同比+214.8%，环比+46.3%。业绩大幅改善主要来自于经纪、自营业务及管理费率的降低。受益于市场活跃，三季度经纪收入大幅增长，公司有效户客群规模再创历史新高。2025年前三季度实现经纪业务收入21.6亿元，同比+64.7%，占营业收入比重23.0%。前三季度全市场日均股基交易额18723亿元，同比+108.6%。公司两融余额417亿元，较年初+24%，市场份额1.7%，较年初-0.1pct。2025年上半年公司有效户客群规模再创历史新高，投顾业务延续增长态势，累计签约客户数及签约资产规模显著提升。股权投行业务同比回暖。2025年前三季度实现投行业务收入4.2亿元，同比-5.8%。股权主承销规模19.2亿元，同比+49.1%，排名第26；其中IPO 2家，募资规模14亿元；再融资2家，承销规模5亿元。债券主承销规模1452亿元，同比+8.6%，排名第16；其中公司债、金融债、ABS承销规模分别为510亿元、436亿元、339亿元。IPO储备项目2家，排名第18，为北交所项目。资管业务规模创近五年新高。2025年前三季度公司实现资管业务收入1.1亿元，同比-0.9%。截至2025H1资产管理规模1135亿元，较年初+12.4%。基金管理业务收入9.46亿元，同比-1.2%。2025H1控股子公司兴证全球管理规模较年初+8%至7034亿元。自营同比显著增长。2025年前三季度实现投资收益（含公允价值）34.3亿元，同比+56.7%；第三季度投资净收益16.7亿元，同比+67.7%。盈利预测与投资评级：市场交投持续活跃，我们维持公司此前的盈利预测，预计公司2025-2027年的归母净利润为32.82/35.21/38.39亿元，分别同比+52%/+7%/+9%，对应2025-2027年PB为0.98/0.93/0.89倍。公司财富管理及大资管业务均有亮点，维持“买入”评级。风险提示：交易量持续走低，权益市场波动加剧致投资收益持续下滑。,,东吴证券,买入,[None],2025-10-31,,买入,7077414,pdf_downloads/2025/2025-10-31/601377-兴业证券（601377）：经纪、自营业务带动公司3Q归母净利润同比增长超两倍.pdf,601377,兴业证券,兴业证券（601377）：经纪、自营业务带动公司3Q归母净利润同比增长超两倍
"高超,卢崑",业绩改善，经纪与自营投资收益同比高增2025H1公司营业总收入/归母净利润为54.0/13.3亿元，同比+29%/+41%，单二季度净利润8亿元，环比+58%，年化加权平均ROE 4.6%，同比+1.3pct，Q2末权益乘数（扣客户保证金）3.66倍，同比-0.06倍。公司经纪与自营投资同比高增，投行、资管业务承压。考虑市场交易活跃，我们上修2025-2027年归母净利润至30/40/49亿元（调前25/29/34），同比+39%/+33%/+23%，当前股价对应PB分别为1.0/0.9/0.9倍，公司持续深化财富管理与机构服务双轮联动发展战略，全面提升分公司区域平台综合价值，降本增效落地或逐步反映至业绩，ROE有望回升，维持“买入”评级。经纪业务市占率提升，投行、资管业务同比下降（1）2025H1经纪业务净收入12.4亿元，同比+34%，其中证券经纪/席位/代销分别同比+56%/-6%/+8%，主要受益于市场活跃度提升，2025H1市场日均股票成交额1.4万亿，同比+61%，新开户数1260万，同比+33%。上半年我们测算公司股基市占率1.29%，同比+0.02pct。公司投顾签约客户数与签约资产规模显著增长，投顾队伍转型工作持续深化。（2）投行净收入2.2亿元，同比-17%。上半年完成再融资项目2单，另有2单IPO项目已通过注册或启动发行。公司债券承销业务稳健发展，债权融资项目承销只数同比增长20%。（3）资管业务净收入0.8亿元，同比-2%，期末兴证资管AUM 1135亿元，较年初+12%。基金管理业务净收入9.5亿元，同比-1%，兴证全球基金营业收入/净利润18/7亿元，同比+19%/+18%，期末兴证全球基金非货/偏股AUM 2894/1335亿元，较年初+7%/-1%。利息净收入同比高增，Q2自营收益环比高增（1）利息净收入8.2亿元，同比+38%，利息收入/利息支出同比+8%/-2%，主要系其他债权投资利息收入增加及应付债券利息支出减少。期末公司融资融券期末余额310亿，较年初-2%。（2）投资收益（含公允价值损益）17.7亿元，同比+49%，单二季度11.5亿元，环比+89%。2025H1年化自营投资收益率4.0%（2024H1为2.7%，2025Q1为2.7%），期末自营投资金融资产887亿元，与年初基本持平。风险提示：市场波动风险；政策风险；机构业务增长不及预期。,,开源证券,买入,[None],2025-09-03,,买入,6387542,pdf_downloads/2025/2025-09-03/601377-兴业证券（601377）：业绩改善，经纪与自营投资收益同比高增.pdf,601377,兴业证券,兴业证券（601377）：业绩改善，经纪与自营投资收益同比高增
"刘欣琦,王思玥",维持“增持”评级，目标价8.85元。公司2025H1营收/归母净利润54.04/13.3亿元，同比+0.24%/41.24%；加权平均ROE同比+0.66pct至2.31%。结合最新市场环境与经营情况，上调盈利预期2025-2027年EPS为0.37/0.40/0.42元（此前为0.25/0.25/0.26元）；给予公司2025年1.33xPB，目标价8.85元，对应23.64xPE。25H1自营与经纪业务驱动业绩增长，公司自营投资稳健性显著提升。1）公司投资业务净收入同比+48.6%至17.67亿元，贡献了调整后营收（营业收入-其他业务支出）增量的47.79%，是业绩改善主因；公司调整投资结构压降权益多头敞口，交易性金融资产中股票较2024年底-54.9%至39.87亿元，其他权益工具投资较2024年底+34.7%至117.89亿元，投资业绩稳健性显著增强，投资收益率同比+0.27pct至1.17%； 2）同时，市场股基交易活跃度同比提升，公司经纪业务同比+34.21%至12.42亿元，占调整后营收增量的26.19%，提振业绩。公司多措并举迈向高质量发展的新阶段，居民资金入市背景下，估值水平有望进一步提升。我们认为，权益及利率市场行情变化带动机构端与居民端资产负债表重配，给证券公司发展带来机遇。6月，原华福证券董事长苏军良出任兴业证券董事长，有望带领公司多措并举，迈向高质量发展的新阶段。持续深化财富管理与机构服务双轮联动发展战略，全面提升分公司区域平台综合价值，加速推动自有资金投资交易业务转型，并统筹推进境内外业务协同发展。居民资金入市背景下，公司估值水平有望进一步提升。催化剂：权益市场活跃度与行情持续向好。风险提示：权益市场大幅波动。,,国泰海通,增持,[None],2025-09-02,,买入,6380937,pdf_downloads/2025/2025-09-02/601377-兴业证券（601377）：2025 半年报点评：把握资金入市机遇，持续扩表增厚业绩.pdf,601377,兴业证券,兴业证券（601377）：2025 半年报点评：把握资金入市机遇，持续扩表增厚业绩
"孔祥,林珊珊,王德坤","兴业证券发布2025年半年报。2025年上半年公司实现营业收入54.04亿元，同比提升28.8%；实现归母净利润13.3亿元,同比提升41.24%；扣除非经常性损益后的净利润为12.89亿元，同比提升41.62%，对应EPS0.15元，同比提升43.01%；ROE为2.31%，同比增加0.66pct。业绩上涨主要因资本市场交投活跃度提升和政策落地等因素的影响，公司投资收益、经纪业务收入及利息收益同比有所提升。公司核心管理层变更，带来战略转型想象空间。市场活跃度增强，经纪、信用业绩亮眼。2025年上半年，资本市场交投活跃度提升，经纪业务收入12.42亿元，同比上涨34.21%；公司股基交易额4.84万亿元，同比提升64%，市占率1.28%。2025年上半年，公司利息净收入8.22亿元，同比提升38.1%，主要因债权利息收入增加和应付债券利息支出减少。投资收益仍为主要驱动力，金融资产规模持续提升。2025年上半年，公司投资规模大幅提升，金融资产规模同比增长7.57%至1506.56亿元，实现投资业务收入（含公允价值变动）17.6亿元，同比提升50.25%，主因交易性金融工具投资收益同比增加。公司股承规模下滑，投行业绩承压。2025年上半年，公司股票融资规模持续下降，公司实现投行业务收入2.19亿元，同比下滑16.6%。2025年上半年，公司股权承销金额4.84亿元，同比下滑10.17%；IPO储备项目3单；债券承销金额844.45亿元，同比提升17.81%，公司债券承销规模持续增长。资管业务承压，海外业务持续发力。2025年上半年，公司资管业务实现净收入0.75亿元，同比小幅下滑1.7%；AUM达1009.95亿元，同比提升20%。兴证全球基金AUM达7034亿元，较2024年末增长8%；公募FOF管理规模保持行业第一，养老基金份额规模位居行业前三。境外业务稳健增长，公司海外业务实现收入2.61亿元，同比提升17.94%。风险提示：市场波动对券商业绩与估值修复带来不确定性；政策风险等。投资建议：基于公司上半年数据及市场表现，我们对公司2025-2027年的盈利预测分别上调6.59%、2.9%和2.4%，预测2025-2027年公司归母净利润分别为25.51元、27.55亿元、29.65亿元，同比增长17.9%/8.0%/7.7%，当前股价对应的PE为24.5/22.1/20.0x，PB为1.0/0.9/0.9x。随着权益市场活跃度持续提升，公司将持续深化“双轮联动”战略，深入打造国际化专业平台，对公司维持“优于大市”评级。",,国信证券,优于大市,[None],2025-09-01,,买入,6379073,pdf_downloads/2025/2025-09-01/601377-兴业证券（601377）：业绩改善，蓄势待发.pdf,601377,兴业证券,兴业证券（601377）：业绩改善，蓄势待发
"孙婷,何婷",事件：兴业证券公告2025年中报。公司上半年实现营业收入54.0亿元，同比+28.8%；归母净利润13.3亿元，同比+41.2%；对应EPS 0.15元，ROE 2.3%，同比+0.7pct。第二季度实现归母净利润8.1亿元，同比+32.6%，环比+57.6%。业绩大幅改善主要来自于经纪业务及自营业务。经纪市占小幅提升、佣金率小幅下滑，公司有效户客群规模再创历史新高。2025年上半年实现经纪业务收入12.4亿元，同比+34.2%，占营业收入比重23.0%。全市场日均股基交易额15703亿元，同比+63.3%。公司经纪市占1.32%，小幅提升1bps，佣金率由0.026%下滑至0.022%。公司两融余额328亿元，较年初-3%，市场份额1.77%，较年初下滑3bps。公司有效户客群规模再创历史新高，投顾业务延续增长态势，累计签约客户数及签约资产规模显著提升。受政策影响，股权投行业务延续下滑趋势。2025年上半年公司实现投行业务收入2.2亿元，同比-16.6%。股权主承销规模4.8亿元，同比-67.3%，排名第42；上半年无IPO项目，完成2单均为再融资项目。债券主承销规模843亿元，同比+12.6%，排名第18；其中公司债、金融债、ABS承销规模分别为298亿元、242亿元、198亿元。截至2025年上半年末公司IPO储备项目3家，排名第19，其中北交所2家，科创板1家。资管业务规模创近五年新高。2025年上半年公司实现资管业务收入0.7亿元，同比-1.7%。截至2025H1资产管理规模1135亿元，较年初+12.4%。基金管理业务收入9.46亿元，同比-1.2%。2025H1控股子公司兴证全球管理规模较年初+8%至7034亿元。自营同比显著增长。2025年上半年实现投资收益（含公允价值）17.6亿元，同比+50.2%；调整后投资净收益（含公允价值、汇兑损益、其他综合收益）17.5亿元，同比+21.6%。盈利预测与投资评级：考虑到市场交投活跃，我们上调公司的盈利预测，预计公司2025-2027年的归母净利润为32.82/35.21/38.39亿元（前值为25.99/29.90/33.62亿元），分别同比+52%/+7%/+9%，对应2025-2027年PB为0.97/0.92/0.88倍。公司自营弹性较大，财富管理及大资管业务均有亮点，维持“买入”评级。风险提示：交易量持续走低，权益市场波动加剧致投资收益持续下滑。,,东吴证券,买入,[None],2025-09-01,,买入,6372361,pdf_downloads/2025/2025-09-01/601377-兴业证券（601377）：经纪、自营业务带动公司归母净利润增长超过40%.pdf,601377,兴业证券,兴业证券（601377）：经纪、自营业务带动公司归母净利润增长超过40%
