author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
莫文宇,"业绩大幅增长，AI驱动进入兑现期。工业富联发布2025年年报，实现营业收入9,028.87亿元，同比+48.22%；归母净利润 352.86亿元，同比+51.99%；扣非归母净利润 341.88亿元，同比+46.02%，整体利润增速高于收入，盈利能力明显提升。毛利率6.98%，同比-0.3pct；净利率3.91%，同比+0.1pct。随着AI服务器需求持续释放，公司收入在年内逐季抬升，下半年尤其是四季度增长明显，反映出全球云厂商算力资本开支加速落地。云计算业务快速增长，AI服务器成为最大引擎。云计算业务是公司2025年最大的增长来源，实现收入 6,026.79亿元，同比增长88.7%，成为公司业务增长的重要引擎。核心驱动主要来自：1）云服务商AI服务器收入同比增长超过3倍；2）GPU和ASIC方案产品均实现高速增长；3）产品结构向高价值AI算力设备升级。目前，公司正持续与客户推动下一代产品的合作，交付能力与供应链整合深度稳居行业第一梯队。通信及移动网络设备亮眼，高速交换机成为新增长点。公司通信及移动网络设备业务2025年实现收入 2,978.51亿元，同比增长3.46%，整体保持稳定。从结构上出现明显亮点：1）800G以上高速交换机收入同比增长约13倍；2）公司产品组合全面覆盖Ethernet、Infiniband及NVLink Switch等，市占率稳居第一。未来随着1.6T量产推进及CPO技术落地，有望持续推动公司营收加速增长。盈利预测与投资评级：整体来看，工业富联正持续受益于全球AI算力基础设施建设周期，在服务器系统整合与规模制造能力方面具备明显优势，随着AI服务器以及高速网络设备需求持续提升，公司未来成长空间依然广阔。我们预计公司2026-2028年归母净利润分别为664.72、856.81、967.32亿元，对应PE为16.10、12.49、11.06倍。公司系算力产业链核心个股，我们看好公司在该领域的发展前景，维持对公司的“买入”评级。风险因素： AI发展不及预期风险；宏观经济波动风险；短期股价波动风险。",,信达证券,买入,[None],2026-03-12,,买入,8505503,pdf_downloads/2026/2026-03-12/601138-工业富联（601138）：2025 年年报点评：云计算业务快速增长，AI 算力驱动新周期.pdf,601138,工业富联,工业富联（601138）：2025 年年报点评：云计算业务快速增长，AI 算力驱动新周期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 352.86,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 664.72,
            ""eps"": null,
            ""pe"": 16.10
        },
        {
            ""year"": 2027,
            ""net_profit"": 856.81,
            ""eps"": null,
            ""pe"": 12.49
        },
        {
            ""year"": 2028,
            ""net_profit"": 967.32,
            ""eps"": null,
            ""pe"": 11.06
        }
    ]
}",,,16.1,12.49,11.06,,,,,,,
"黄乐平,陈旭东,于可熠","2026年3月12日│中国内地 电子 工业富联2025全年实现营收9028.87亿元（yoy +48.22%），归母净利润352.86亿元（yoy +51.99%）。2025年，以GPU服务器代工为核心的云计算业务毛利额同比大幅增长116.5%到345亿人民币，占公司总毛利达54.8%，成为公司最大业务部门，或反映Blackwell等英伟达GPU服务器大批量出货对业务的拉动作用。展望2026年：1）据Trendforce，北美CSP资本开支或保持61%的强劲增长，在Rubin等英伟达下一代服务器出货的带动下，我们预测公司云计算业务2026年收入保持83%的强劲增长，2）在手机市场总体承压的大环境下，苹果新机的规格升级有望提升公司相关业务产品单价，推动公司收入增长。目标价93元，重申买入。2025回顾：云计算业务毛利增长116.5%，成为核心增长引擎分业务看，以英伟达GPU服务器代工等为核心产品的云计算业务收入同比增长88.7%，毛利额同比增长116.5%，占集团整体毛利比例同比+18.8pct到54.8%，是公司业务规模大幅增长的主要动力。我们认为这主要反映从2H25开始，英伟达的GB200/GB300 NVL72服务器集群批量出货带来的业绩拉动效果。另一方面，以手机精密机构件和通信设备为主的通信及移动网络设备收入同比增长3.5%，毛利额同比增长0.4%，毛利占比下降18.2pct到43.9%。其中通信网络设备高精密机构件2025年销售量实现12.85%同比增长，或反映公司在消费电子大客户的份额提升。2026展望：苹果新机+Rubin升级或驱动2026年收入继续高增展望2026年，我们认为：1）AI需求驱动下，2026年全球CSP资本开支有望继续强劲增长。据Trendforce，预计2026年八大主要CSP的合计资本支出将超越7,100亿美元，增速约61%；2）英伟达下一代服务器Rubin或从今年下半年开始出货，看好Rubin系列增厚公司收入；3）公司关键零组件自供价值量持续提升，在GPU模组、计算板、Smart NIC等环节份额领先，有助于带动获利结构持续优化；4）2026年手机市场虽然受存储缺货影响，需求整体承压。但苹果有望在今年推出折叠屏等下一代新产品，看好公司相关业务产品单价提升。盈利预测与估值考虑到2026-2027年AI服务器新品对收入/利润的增厚，上调公司26-27E收入0.5%/7.8%，上调26-27E归母净利润1.8%/7.5%。预测2026-2028E归母净利润同比+59%/+21%/+16%至560/675/780亿人民币，对应EPS为2.82/3.40/3.93元人民币。基于2026 EPS 2.82元，参考可比公司2026E PE一致预期均值23.5x，鉴于公司是AI算力基础设施的核心供应商，考虑到2026年AI服务器有望持续放量，我们给予公司一定估值溢价，对应2026E 33x PE，给予目标价93元（前值：100元，对应2026E 36.1X PE），维持“买入”评级。风险提示：宏观下行和贸易摩擦风险，创新产品渗透不及预期风险，情景测算和实际不符的风险。",,华泰证券,买入,[None],2026-03-12,,买入,8504349,pdf_downloads/2026/2026-03-12/601138-工业富联（601138）：苹果新机+Rubin或驱动26收入高增.pdf,601138,工业富联,工业富联（601138）：苹果新机+Rubin或驱动26收入高增,"{
    ""forecasts"": [
        {
            ""year"": 2026,
            ""net_profit"": 560,
            ""eps"": 2.82,
            ""pe"": 33
        },
        {
            ""year"": 2027,
            ""net_profit"": 675,
            ""eps"": 3.4,
            ""pe"": null
        },
        {
            ""year"": 2028,
            ""net_profit"": 780,
            ""eps"": 3.93,
            ""pe"": null
        }
    ]
}",,,33.0,,,,,,2.82,3.4,3.93,
"岳阳,姚德昌","事项:2026年3月11日公司发布2025年度报告:2025全年公司实现营收9028.87亿元(YoY+48.22%);实现归母净利润352.86亿元(YoY+51.98%);实现扣非归母净利润341.88亿元(YoY+46.02%)。25Q4公司实现营收2989.56亿元(YoY+73.04%);实现归母净利润 127.99亿元(YoY+58.49%);实现扣非归母净利润 125.31亿元(YoY+44.36%).云计算业务:AI服务器成长显著，产品需求持续提升。2025年云计算业务实现营业收入6,026.79亿元，同比增长88.70%，成为公司业务增长的重要引擎。公司深耕AI服务器领域，与全球多家头部客户达成深度战略协同，共同攻克下一代AI服务器及液冷技术等核心环节，通过高度客制化的解决方案，深植于高性能AI数据中心集群.2025年公司云服务商 AI服务器营业收入同比增长超过3倍，GPU 与ASIC 方案相关产品均实现快速增长，进一步巩固了公司在全球AI服务器市场的龙头地位通信及移动网络设备业务:AI提振需求，相关业务成长强动。公司高速交换机业务在2024年同期高倍数增长的背景下，延续强劲发展势头，实现跨越式增长。2025 年公司800G以上高速交换机业务营业收入同比增幅高达13倍，产品组合已全面涵盖 Ethernet、Infiniband 及 NVLink Switch 等多元技术，满足超大规模数据中心集群的互联需求。市场占有率稳居行业第一。此外，依托大客户智能手机高端机型的稳定出货及消费电子智能化升级需求，公司终端精密机构件业务经营业绩稳步提升。2025年得益于AI手机带来的结构性机会，精密机构件出货量较去年同期实现双位数增长。投资建议:AI浪潮下服务器作为算力基础设施迎来新一轮发展，公司云计算服务器出货量稳居前列，与头部客户合作享受行业发展红利;网通和工业互联网业务也有望受益于数字新基建进入发展新阶段。根据2025年报，我们调整公司2026-2028年归母净利润预测至662.80/873.35/1095.29亿元(26-27年前值664.87/878.79亿元)。维持“强推”评级。风险提示:服务器新品渗透不及预期，下游需求不及预期，市场竞争加剧",,华创证券,强推,[None],2026-03-11,,买入,8501593,pdf_downloads/2026/2026-03-11/601138-工业富联（601138）：2025年报点评：AI服务器&交换机齐发力，2025年业绩符合预期.pdf,601138,工业富联,工业富联（601138）：2025年报点评：AI服务器&交换机齐发力，2025年业绩符合预期,"{
    ""forecasts"": [
        {
            ""year"": 2026,
            ""net_profit"": 662.80,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 873.35,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2028,
            ""net_profit"": 1095.29,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
张真桢,业绩简评2026年3月10日，公司发布2025年度报告，公司2025年营收9028.87亿元，同比增长48.22%；归母净利润352.86亿元，同比增长51.98%。对应4Q25营收2989.56亿元，同比+73.04%，环比+22.94%；归母净利润127.99亿元，同比+58.49%，环比+23.38%。经营分析业务结构优化，盈利能力稳步提升：公司4Q25单季度营收、净利润均保持同环比高增，印证下游AI算力需求持续旺盛。毛利率看，公司4Q25毛利率7.41%，环比+0.4pct，规模效应持续显现。公司2025年全年净利润同比增速达52%，高于营收增速，体现业务结构优化带来的积极影响。云计算业务量价齐升，AI相关占比显著提升：公司云计算业务全年收入达6027亿元，同比+89%，收入占比达67%，成为业绩主要驱动力。其中云服务器AI服务器营收同比增长超过3倍，GPU与ASIC方案相关产品均实现快速增长，2025年云计算业务毛利率同比+0.74pct。公司成功卡位高端GPU/ASIC服务器市场，我们看好公司未来产品单价和毛利率双升。高速交换机高增，换机需求带来精密结构件业务放量：受益于AI算力集群对超高带宽网络互联的刚性需求，公司2025年800G以上高速交换机全年营收同比增幅高达13倍，成为收入增长的新引擎，目前市场占有率稳居行业第一。依托大客户智能手机高端机型的稳定出货及消费电子智能化升级需求，公司终端精密机构件业务经营业绩稳步提升，相较去年同期实现双位数增长，体现出较强的经营韧性。盈利预测、估值与评级我们预计2026/2027/2028年公司营业收入分别为15206.59/22534.39/28354.07亿元，归母净利润为596.17/751.07/957.07亿元，公司股票现价对应PE估值为PE为18.11/14.37/11.28倍，维持“买入”评级。风险提示北美AI进展不及预期、客户集中度较高风险、市场竞争加剧风险。,,国金证券,买入,[None],2026-03-11,,买入,8500452,pdf_downloads/2026/2026-03-11/601138-工业富联（601138）：云计算业务量价齐升，高速交换机成为新增长引擎.pdf,601138,工业富联,工业富联（601138）：云计算业务量价齐升，高速交换机成为新增长引擎,"{
    ""forecasts"": [
        {
            ""year"": 2026,
            ""net_profit"": 596.17,
            ""eps"": null,
            ""pe"": 18.11
        },
        {
            ""year"": 2027,
            ""net_profit"": 751.07,
            ""eps"": null,
            ""pe"": 14.37
        },
        {
            ""year"": 2028,
            ""net_profit"": 957.07,
            ""eps"": null,
            ""pe"": 11.28
        }
    ]
}",,,18.11,14.37,11.28,,,,,,,
"杨林,舒迪,余伟民,吕浦源",本报告导读：公司作为全球AI算力基础设施核心供应商，凭借精密制造基因与全产业链布局，在AI服务器、高速交换机与端侧AI领域形成协同，随着全球AI资本开支浪潮及GB200/300等新平台放量，公司成长动能有望持续强化。投资要点：投资建议：首次覆盖，给予“增持”评级，公司充分受益于AI浪潮，主要业务高速增长，预计2025-2027年公司收入分别为9079/14718/18372亿元，EPS分别为1.78/2.90/3.57元，按照PE和PS估值，最终给予公司2026年25倍PE，合理估值为14410亿元人民币，对应目标价72.57元。以精密制造为根基，以全栈布局构筑核心竞争力。公司凭借三十余年精密制造基因，成功实现从传统代工向高端AI算力龙头的战略转型。深度绑定全球主要云服务商，在AI服务器、高速交换机及精密结构件三大业务上协同发力，充分受益于全球AI资本开支浪潮。随着GB200/GB300等新一代AI服务器平台进入量产爬坡期，以及800G/1.6T交换机需求爆发，公司订单能见度已延伸至2027年，业绩增长具备高确定性。AI服务器与高速网络设备双轮驱动，量价齐升逻辑清晰，打造增长引擎。云计算业务是公司增长主引擎，其中AI服务器收入占比快速提升，尤其在GB200 NVL72等机柜级系统带动下，单柜价值量显著提升。通信网络业务同步高增，800G交换机单季收入同比激增超27倍，预计2026年仍为出货主力，并与即将上量的1.6T/CPO技术形成代际接力。这两大业务共享下游客户AI资本开支，协同效应显著，共同推动公司进入“量价齐升”的高增长通道。端-网-云”协同布局深化，工业互联网与前瞻业务打开长期成长空间。公司业务覆盖“云、网、端”完整产业链：端侧AI驱动精密结构件业务稳步增长，受益于AI手机等终端换机潮；网络侧高速交换机与AI算力集群强耦合；云侧AI服务器占据核心地位。此外，高毛利的“灯塔工厂”工业互联网业务已形成技术输出模式，而半导体、机器人等前瞻布局符合公司“2+2”战略，有望在AI驱动的智能制造新生态中培育出第二增长曲线，增强长期发展韧性。风险提示：宏观经济波动导致需求不及预期的风险、客户集中度较高风险。,,国泰海通,增持,[None],2026-03-01,,买入,8465504,pdf_downloads/2026/2026-03-01/601138-工业富联（601138）：首次覆盖报告：AI算力龙头启航，成长确定性凸显.pdf,601138,工业富联,工业富联（601138）：首次覆盖报告：AI算力龙头启航，成长确定性凸显,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": 1.78,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 2.90,
            ""pe"": 25
        },
        {
            ""year"": 2027,
            ""net_profit"": null,
            ""eps"": 3.57,
            ""pe"": null
        }
    ]
}",,,25.0,,,,,1.78,2.9,3.57,,
"方竞,袁妲,谢致远",业绩预报显示公司归母净利润具有可观增幅。2026年1月29日，工业富联发布业绩预告，预计公司4Q2025归母净利润126-132亿元，同比提升56%-63%；预计2025年全年归母净利润351-357亿元，同比提升51%-54%；预计公司 4Q2025实现归母扣非净利润124-130亿元，同比提升43%-50%；预计2025年全年实现归母扣非净利润340-346亿元，同比提升45%-48%。云计算业务是成长重要引擎。2025年公司CSP服务器收入同比增长超1.8倍；Q4 CSP服务器营业收入环比增长超30%，同比增长超2.5倍。2025年，CSP AI服务器收入同比增长超3倍；Q4 CSP AI服务器收入环比增长超50%，同比增长超5.5倍。通信及移动网络设备业务高速成长。公司高速交换机业务在2024年同期高倍数增长的背景下，延续强劲发展势头，实现跨越式增长。2025年，公司800G以上高速交换机业务营业收入同比增幅达13倍；4Q2025公司800G以上高速交换机营业收入同比增长超4.5倍。公司终端精密机构件业务凭借成熟的技术储备与稳定的客户供应体系，实现经营业绩稳步提升，2025年，精密机构件出货量较上年同期实现双位数增长，进一步夯实了公司多元化业务的发展根基。总体来看，公司全年快速成长，第四季度增长再提速。CSP服务器，尤其是CSP AI服务器是成长加速的重要引擎。800G以上高速交换机实现数倍增长，精密机构件也实现出货双位数增长。CSP服务器&amp;高速交换机业务双引擎驱动下，公司2025年业绩全年快速增长，Q4增速仍维持较高水平。工业富联是全球AI服务器OEM核心厂商，在AI服务器市场份额领先，主要客户涵盖全球算力龙头及核心CSP厂商，有望充分受益AI服务器放量。工业富联依托核心部件自研、整机集成及全球化交付的完善配套体系，形成了全产业链垂直协同优势。产业链上下游协同方面，工业富联打造了从零部件、服务器到系统的全系列浸没式液冷解决方案，适配从边缘计算到超算中心高性能服务器的全场景需求，公司液冷产品导入成效显著，液冷CDU、核心UQD等核心零组件陆续导入客户ASIC服务器机柜。投资建议：我们预计2025-2027年归母净利润为353.98/626.01/822.64亿元，2026年1月30日收盘价57.70元对应PE为32/18/14倍，考虑到公司在AI服务器领域加速放量，有望给公司带来较大业绩增量，维持“推荐”评级。风险提示：技术产品更新迭代快；客户相对集中；原材料价格波动的风险。,,国联民生证券,推荐,[None],2026-02-01,,增持,8378757,pdf_downloads/2026/2026-02-01/601138-工业富联（601138）：2025年度业绩预增公告点评：25年业绩坚实，AI业务稳步向前.pdf,601138,工业富联,工业富联（601138）：2025年度业绩预增公告点评：25年业绩坚实，AI业务稳步向前,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 353.98,
            ""eps"": null,
            ""pe"": 32
        },
        {
            ""year"": 2026,
            ""net_profit"": 626.01,
            ""eps"": null,
            ""pe"": 18
        },
        {
            ""year"": 2027,
            ""net_profit"": 822.64,
            ""eps"": null,
            ""pe"": 14
        }
    ]
}",,32.0,18.0,14.0,,,,,,,,
"岳阳,姚德昌","2026 年 1 月 28 日公司发布业绩预告：2025 全年公司预计实现归母净利润
351~357 亿元（YoY+51%~54%)，中值 354 亿元（YoY+52.5%)；扣非归母净利
润 340~346 亿元（YoY+45%~48%)，中值 343 亿元（YoY+46.5%)。2025Q4 公司预计实现归母净利润 126~132 亿元（YoY+56%~63%)，中值 129 亿
元（YoY+59.5%）；扣非归母净利润 124~130 亿元（YoY+43%~50%)，中值 127
亿元（YoY+46.5%)。云计算业务：AI 服务器成长显著，产品需求持续提升。2025 年云服务商服务
器营业收入同比增长超 1.8 倍；2025 年第四季度云服务商服务器营业收入环
比增长超 30%，同比增长超 2.5 倍。公司产品结构持续优化，AI 服务器增长
势头持续强劲，2025 年公司云服务商 AI 服务器营业收入同比增长超 3 倍；
2025 年第四季度云服务商 AI 服务器营业收入环比增长超 50%，同比增长超
5.5 倍。通信及移动网络设备业务：AI 提振需求表现，相关业务成长强劲。公司高速
交换机业务在 2024 年同期高倍数增长的背景下，延续强劲发展势头，实现跨
越式增长。2025 年公司 800G 以上高速交换机业务营业收入同比增幅高达 13
倍；2025 年第四季度 800G 以上高速交换机营业收入同比增长超 4.5 倍。公
司终端精密机构件业务凭借成熟的技术储备与稳定的客户供应体系，实现经营
业绩稳步提升，2025 年精密机构件出货量较上年同期实现双位数增长，进一
步夯实了公司多元化业务的发展根基。投资建议：AI 浪潮下服务器作为算力基础设施迎来新一轮发展，公司云计算
服务器出货量稳居前列，与头部客户合作享受行业发展红利；网通和工业互联
网业务也有望受益于数字新基建进入发展新阶段。根据 25 年业绩预告，我们
调整公司 2025-2027 年归母净利润至 354.65/664.87/878.79 亿元（原值
356.53/663.64/875.86 亿元）。维持“强推”评级。风险提示：服务器新品渗透不及预期，下游需求不及预期，市场竞争加剧",,华创证券,强推,[None],2026-02-01,,买入,8380128,pdf_downloads/2026/2026-02-01/601138-工业富联（601138）：2025年业绩预告点评：AI服务器&交换机齐发力，25Q4业绩高增.pdf,601138,工业富联,工业富联（601138）：2025年业绩预告点评：AI服务器&交换机齐发力，25Q4业绩高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 354.65,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 664.87,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 878.79,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"李圣宣,苏凌瑶",工业富联25Q4利润亮眼，AI基础设施增长动能充沛公司发布2025年业绩预增公告，2025年公司净利实现稳健增长，AI景气周期有望持续，维持公司“买入”评级。支撑评级的要点公司25Q4净利润表现亮眼，2025年利润同比高增。公司预计25Q4实现归母净利润126-132亿元，同比增长56%-63%；预计2025年全年实现归母净利润351-357亿元，同比增长51%-54%。预计25 Q4实现扣非归母净利润124-130亿元，同比增长43%-50%；预计2025年全年实现扣非归母净利润340-346亿元，同比增长45%-48%。北美云服务商资本支出动能强劲，助力云计算业务高增。2025年，云服务商服务器营业收入同比增长超1.8倍；25Q4，云服务商服务器营业收入环比增长超30%，同比增长超2.5倍。公司产品结构持续优化，AI服务器增长势头持续强劲，2025年，公司云服务商AI服务器营业收入同比增长超3倍；25Q4，云服务商AI服务器营业收入环比增长超50%，同比增长超5.5倍。根据trendforce预测，2026年云服务商仍将维持积极的投资节奏，合计资本支出将进一步推升至6000亿美元以上，AI基础设施建设长期成长动能充沛。AI集群建设加速，通信及移动网络设备业务亦核心受益。公司高速交换机业务在2024年同期高倍数增长的背景下，延续强劲发展势头，实现跨越式增长。2025年，公司800G以上高速交换机业务营业收入同比增幅高达13倍；25Q4，800G以上高速交换机营业收入同比增长超4.5倍。公司终端精密机构件业务凭借成熟的技术储备与稳定的客户供应体系，实现经营业绩稳步提升，2025年，精密机构件出货量较上年同期实现双位数增长，进一步夯实了公司多元化业务的发展根基。,,中银国际,买入,[None],2026-01-30,,买入,8375754,pdf_downloads/2026/2026-01-30/601138-工业富联（601138）：25Q4利润亮眼，AI基础设施增长动能充沛.pdf,601138,工业富联,工业富联（601138）：25Q4利润亮眼，AI基础设施增长动能充沛,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 351,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
莫文宇,业绩大幅提升，Q4盈利能力持续增强。工业富联发布2025年业绩预增公告，预计25Q4实现归母净利润126~132亿元，同比+56%~63%，扣非归母净利润124~130亿元，同比+43%~50%；2025年全年归母净利润351~357亿元，同比+51%~54%；扣非归母净利润340~346亿元，同比+45%~48%。AI服务器增长势头持续强劲，结构升级贡献核心增量。分业务看：1）云服务：25年公司云服务商服务器收入同比增长超1.8倍，Q4同比增长超2.5倍、环比增长超30%。公司产品结构持续优化，AI服务器增长势头持续强劲，25年云服务商AI服务器全年收入同比增长超3倍，Q4同比增长超5.5倍、环比增长超50%。2）通信及移动网络设备: 在高基数下高速交换机延续爆发，25年800G以上交换机收入同比增长13倍，Q4同比增长超4.5倍，产品结构持续向高端化升级。25年精密结构件出货量同比实现双位数增长。AI基建高景气延续，龙头卡位优势持续放大。我们认为，随着北美CSP与主权AI持续加码CapEx、GB300及Rubin架构逐步放量，AI服务器向高算力密度、整柜化演进，工业富联在客户黏性、系统级设计与全球产能布局上的综合优势将进一步体现，AI业务有望维持量价齐升，推动业绩中枢持续上移。当前公司仍处于AI长周期业绩兑现的中前段，建议持续重点关注。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为353.38、682.42、856.49亿元，对应PE为32.37、16.76、13.35倍。公司系算力产业链核心个股，我们看好公司在该领域的发展前景，维持对公司的“买入”评级。风险因素： AI发展不及预期风险；宏观经济波动风险；短期股价波动风险。,,信达证券,买入,[None],2026-01-29,,买入,8374041,pdf_downloads/2026/2026-01-29/601138-工业富联（601138）：2025 业绩预增点评：Q4业绩继续高增，AI驱动进入加速兑现期.pdf,601138,工业富联,工业富联（601138）：2025 业绩预增点评：Q4业绩继续高增，AI驱动进入加速兑现期,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 353.38,
      ""eps"": null,
      ""pe"": 32.37
    },
    {
      ""year"": 2026,
      ""net_profit"": 682.42,
      ""eps"": null,
      ""pe"": 16.76
    },
    {
      ""year"": 2027,
      ""net_profit"": 856.49,
      ""eps"": null,
      ""pe"": 13.35
    }
  ]
}",,32.37,16.76,13.35,,,,,,,,
"黄乐平,陈旭东,于可熠",2026年1月28日│中国内地 消费电子 1月28日，公司发布2025年度业绩预增公告。预计2025年全年归母净利润351-357亿元，同比增加51%-54%；扣非归母净利润340-346亿元，同比增加45%-48%。分季度看，4Q25归母净利润预计达126-132亿元，同比高增56%-63%，延续3Q盈利高速增长趋势。展望2026年，我们看好：1）上半年GB300持续放量，以及下半年Rubin平台开始出货，推动公司收入保持强劲增长；2）公司发挥在液冷等核心零部件上的垂直整合能力优势，持续提升盈利能力。维持目标价100.0元，维持“买入”评级。4Q25和2025回顾：GB300和高速交换机放量推动利润高速增长公司预计4Q25归母净利润达126-132亿元，环比增长21.5%～27.3%。我们预计公司4Q25 GB300服务器出货量环比3Q进一步提升，是推动公司业绩增长的主要动力之一。此外，网络架构向高带宽升级趋势确立，公司800G以上高速交换机全年营收同比增长13倍，4Q25单季增速亦超4.5倍。终端精密机构件业务出货量稳健增长，基本盘稳固。2026展望：看好Rubin新品周期与垂直整合驱动盈利能力提升我们认为，2026年将是AI算力从“训练”向“推理”延伸的关键之年，看好公司AI服务器与800G交换机出货量继续保持稳步增长，规模效应或将进一步兑现。其中尤其值得关注的是英伟达下一代服务器Rubin的上市节奏。我们维持2026年全市场机柜交付10万台的预测，假设公司份额约40%。预计Rubin从3Q25开始出货，或成为公司重要成长动能。部分投资人担心机柜标准化会影响组装环节利润率，我们认为公司通过提升液冷等关键零组件自供价值量，在2026年有望持续提升单机价值量和盈利能力。维持目标价100.0元，维持“买入”评级维持公司2025-2027归母净利润同比+52%/+56%/+14%至353.2/550.1/ 627.8亿元的预测，对应EPS为1.78/2.77/3.16元。参考可比公司2026E PE一致预期均值25.5x，鉴于公司是AI算力基础设施的核心供应商，考虑到2026年AI服务器有望持续放量，我们给予公司一定估值溢价，对应2026E 36.1x PE，维持目标价为100.0元，维持“买入”评级。风险提示：宏观下行和贸易摩擦风险，创新产品渗透不及预期风险，情景测算和实际不符的风险。,,华泰证券,买入,[None],2026-01-29,,买入,8372083,pdf_downloads/2026/2026-01-29/601138-工业富联（601138）：4Q业绩亮眼，Rubin有望带动26年成长.pdf,601138,工业富联,工业富联（601138）：4Q业绩亮眼，Rubin有望带动26年成长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 353.2,
            ""eps"": 1.78,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 550.1,
            ""eps"": 2.77,
            ""pe"": 36.1
        },
        {
            ""year"": 2027,
            ""net_profit"": 627.8,
            ""eps"": 3.16,
            ""pe"": null
        }
    ]
}",,,36.1,,,,,1.78,2.77,3.16,,
