author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"查浩,刘晓宁,邹佩轩,邓思平",事件：公司发布2025年三季报，前三季度实现营收1730亿元，同比下降6.2%；实现归属于母公司股东的净利润148.41亿元，同比增长42.52%；单三季度实现归属于母公司股东的净利润55.79亿元，同比增长88.54%，三季度业绩超出市场预期。煤价下降释放业绩弹性，单三季度业绩大幅增长。根据公告，公司营收下滑主要系电量及平均上网电价下降影响，利润增长主要系燃料成本同比下滑。分板块看，单三季度燃煤、燃机、风电、光伏分别实现利润总额59.58、1.31、7.2、14.84亿元，分别同比变动+130%、-54%、-38%、+25%。公司单三季度增量利润主要由煤电贡献，结合行业情况，预计煤电利润增长主要受益于煤价下滑，光伏利润增长预计主要受益于装机增长。值得注意的是，公司在三季度对部分资产计提减值，合计影响单三季度利润总额3.67亿元。根据公司三季度经营公告，今年前三季度累计新增装机10295兆瓦，其中火电、风电、光伏分别为3463、2205、4627兆瓦，截至9月底，公司控股装机达到154820兆瓦。煤电度电利润约6分/千瓦时，资产负债表持续优化。根据公司披露的煤电上网电量与税前利润数据，测算可知公司2025年单一季度、单二季度、单三季度煤电度电税前利润分别为4.8、4.4、6.0分/千瓦时，分别较去年同期变动+1.7、+2.9、+2.9分/千瓦时，单三季度煤电度电利润创近年新高。其他财务数据方面，公司前三季度财务费用49.75亿元，较去年同期下降约10亿元，三季度末资产负债率63.78%，较上年底下降1.62个百分点。截至今年9月底应收账款467亿元，较今年6月底应收账款减少24亿元，预计主要系三季度可再生能源补贴发放。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为154、157、159亿元，当前股价对应PE分别为10/10/10倍(需扣除永续债利息约29亿），假设60%的分红比例（扣除永续债利息后），当前股价对应A股股息率5.8%，对应H股股息率8.8%，维持“买入”评级。风险提示：煤价大幅上行，电价政策出现不利调整，用电需求波动。,,华源证券,买入,[None],2025-10-30,,买入,7057591,pdf_downloads/2025/2025-10-30/600011-华能国际（600011）：三季度业绩超预期关注港股股息率.pdf,600011,华能国际,华能国际（600011）：三季度业绩超预期关注港股股息率
"袁理,唐亚辉","事件：公司发布2025年三季报，公司实现营业收入1729.75亿元，同比-6.2%；实现归母净利润148.41亿元，同比+42.5%。单Q3看，实现营业收入609.43亿元，同比-7.1%；实现归母净利润55.79亿元，同比+88.5%，单季度盈利持续修复，超市场预期。2025前三季度受益于燃煤成本下降，燃煤板块利润总额+102%，超市场预期：2025年前三季度分板块利润总额看：燃煤板块实现132.68亿元，同比+102%；燃机板块实现8.84亿元，同比+3%；风电实现46.30亿元，同比-11%；光伏实现33.07亿元，同比+36%；水电实现0.90亿元，同比-24%；生物质实现-0.19亿元，同比+96%。2025年7月、8月连续两月全社会用电量破万亿千瓦时，创历史新高。2025年前三季度，全国全社会用电量7.77万亿千瓦时，同比增长4.6%，7、8月全社会用电量连续突破万亿千瓦时，创历史新高。截至9月底，全国全口径发电装机容量37.2亿千瓦，同比增长17.5%；其中，非化石能源发电装机占总装机容量比重达到60.8%，电力行业绿色低碳转型成效显著。煤电在装机容量仍在增长的情况下，全口径发电量同比降低2.4%，积极稳妥地向系统调节性电源转变。全口径风电和太阳能合计发电量同比增长27.9%，占总发电量比重为22.3%，比上年同期提高4.1个百分点。前三季度，火电、水电发电量同比下降，风电和太阳能贡献了几乎全部的发电增量，充分体现了风光发电对火电等传统发电方式的替代效应。2025前三季度上网电价-3.5%，上网电量-2.8%，平均利用小时-178小时：公司中国境内各运行电厂平均上网结算电价为478.71元/兆瓦时，同比-3.5%；完成上网电量3,314.51亿千瓦时，同比-2.9%。市场化交易电量比例为85.00%，比去年同期下降2.06个百分点。关注火电行业资本开支下行期间现金流、ROE、分红率改善的可能：火电行业进入“控容减量”周期，资本开支下行，分红率长维度提高确定性高，煤价下行周期背景下，行业资产质量、现金流、ROE均有望显著改善。盈利预测与投资评级：基于动力煤的价格判断和电价调整预期，我们维持预计2025-2027年归母净利润预测为137.8/160.2/175.3亿元，对应PE为9/8/7倍，我们看好火电行业资本开支下行期间现金流、ROE、分红率改善的可能，维持“买入”评级。风险提示：并购进度不及预期的风险，电力需求超预期下降的风险，减值风险等",,东吴证券,买入,[None],2025-10-30,,买入,6998034,pdf_downloads/2025/2025-10-30/600011-华能国际（600011）：2025 年三季报点评：业绩超预期，盈利持续修复，看好AI带动下全社会用电量需求增长.pdf,600011,华能国际,华能国际（600011）：2025 年三季报点评：业绩超预期，盈利持续修复，看好AI带动下全社会用电量需求增长
"张津铭,高紫明,刘力钰,张卓然,鲁昊",成本下行释放火电弹性，业绩超预期，股息吸引力提升公司发布2025年三季报。2025年前三季度公司实现营业收入1729.75亿元，同比下降6.19%；归母净利润148.41亿元，同比增长42.52%；扣非归母净利润140.41亿元，同比增长39.83%。2025Q3单季公司实现营业收入609.43亿元，同比减少7.09%；归母净利润55.79亿元，同比增长88.54%。我们认为业绩增长主要系燃料成本降低与新能源扩张带动。此外，三季度重庆珞璜发电以及沁北发电新增计提资产减值3.65亿元。燃煤成本下降对冲量价压力，煤电盈利能力稳健提升。电量方面，2025Q3单季煤机/燃机上网电量分别实现1000/88亿千瓦时，分别同比-7.16%/-0.30%，与上半年公司煤电上网电量同比下滑7.06%相比，Q3电量压力仍存在。主要系公司继续推进新能源转型，三季度公司下属华能聊城热电5、6号机组（2×140兆瓦）与华能新华发电公司5号机组（200兆瓦）关停，影响煤电与热电发电电量。电价方面，25年前三季度上网电价平均478.71元/兆瓦时，同比-3.54%，环比-1.35%，电价仍然承压。成本方面，受益于成本煤价继续下降，对冲电价下降压力，Q3单季度利润总额口径煤电实现度电利润0.060元，同比提升0.036元/度，环比提升0.015元/度，盈利能力稳健提升。新能源装机扩张带动电量高增长，拉动利润规模提升。装机与电量方面，2025Q3单季，风电/光伏分别新增装机276.80/292.34万千瓦；风电/光伏分别完成上网电量82/83亿度，分别同比+2.99%/+45.41%。2025年1-9月整体，风电/光伏分别新增装机2205.25/4626.80万千瓦，分别完成上网电量292/205亿度，分别同比+8.90%/+47.73%。利润方面，Q3单季，风电/光伏分别完成利润总额7.20/14.84亿元，实现度电利润0.088/0.180元，分别同比下滑5.9/2.9分/度。投资建议。公司作为全国电力龙头优势突出，煤电利润持续改善，新能源转型成长空间广阔。公司今年业绩表现持续超市场预期，预计后续低位煤价继续带动火电盈利能力提升，我们对公司盈利预测进行上调，预计公司2025-2027年归母净利润分别为150.12/159.33/162.57亿元，对应2025年公司A/H股股息率分别为6.19%/7.93%，对应2025-2027年EPS分别为0.96/1.01/1.04元/股，对应2025-2027年PE分别为8.1/7.6/7.5倍，维持“买入”评级。风险提示：装机速度不及预期；火电灵活性改造、绿电交易等行业政策推进不及预期；上游原材料涨价。,,国盛证券,买入,[None],2025-10-29,,买入,6966545,pdf_downloads/2025/2025-10-29/600011-华能国际（600011）：成本下行释放火电弹性，业绩超预期，股息吸引力提升.pdf,600011,华能国际,华能国际（600011）：成本下行释放火电弹性，业绩超预期，股息吸引力提升
"王玮嘉,黄波,李雅琳,胡知",2025年10月29日│中国内地/中国香港 发电 华能国际发布三季报：中国企业会计准则下，3Q25实现营收609.43亿元（yoy-7.09%，qoq+17.88%），归母净利55.79亿元（yoy+88.54%，qoq+30.07%），归母净利符合我们预期的47.49-62.39亿元（中值54.94亿元）；1-9M25实现营收1729.75亿元（yoy-6.19%），归母净利148.41亿元（yoy+42.52%），扣非净利140.41亿元（yoy+39.83%）。1-9M25公司煤电度电利润总额同比+2.8分至5.1分，看好公司煤电2025年全年盈利表现；公司2024年分红比例58.8%（测算时分母为剔除永续债利息后的归属于普通股股东净利润），假设2025年分红比例同比持平，我们测算公司A/H股2025E股息率高达5.37%/7.55%，高股息价值突出，维持“买入”评级。煤电：3Q25度电利润总额同比/环比+3.6/1.5分至6分3Q25，公司境内煤电发电量同比-7.16%至999.95亿千瓦时，但我们测算3Q25公司境内煤电度电利润总额6.0分，同比+3.6分，环比+1.5分，同比+148.0%主要得益于入炉标煤单价同比大幅下降，环比+35.0%主因：1）3Q25境内煤电上网电量环比+32.6%，度电固定成本分摊环比下降；2）考虑煤炭库存影响，公司3Q25入炉标煤单价或较2Q25进一步下降。1-9M25，公司境内煤电度电利润总额同比+2.8分至5.1分，境内气电表现较为稳健，气电度电利润总额为4分，同比基本持平。新能源：电价影响下度电利润总额同比下行，Q3新增装机放缓3Q25，公司新增风电/光伏装机容量276.8/292.34MW，合计569.14MW，较1H25的合计新增风光装机容量6262.91MW显著减少。3Q25，公司境内风电利润总额同比-38.5%至7.2亿元，度电利润总额8.8分，同比下降5.9分，主要是市场化推进过程中上网电价同比下降较多；环比下降7.6分，环比降幅大于同比降幅主要是Q3为一年中的小风季，利用小时数相对偏低。公司境内光伏3Q25利润总额为14.84亿元，同比+25.2%，主要得益于新增光伏装机较多；度电利润总额为18分，同比-2.9分主要是电价同比下降，环比+0.9分主要是Q3光照条件一般为四个季度中最佳，光伏利用小时数环比提升。盈利预测与估值考虑1-9M25公司资产减值损失同比-47.9%至6.21亿元，我们下调公司2025-27年资产减值损失预期44.8/44.9/44.9%至16.22/16.28/16.09亿元，从而上调公司2025-27年归母净利润预期11.7/10.5/9.5%至140/144/147亿元。A股：预计公司26年新能源权益利润82.35亿元和火电权益净资产611亿元，分别给予26E PE20.0x和PB1.05x（可比公司Wind一致预期26E PE/PB 17.7x/0.94x，公司溢价考虑新能源盈利能力更强及火电盈利能力更突出，扣除永续债后目标市值1487亿元，对应股价9.47元（前值：9.02元基于新能源/火电25E PE20.0x/PB0.98x），维持“买入”评级。H股：预计公司2026年扣除永续债后BPS为4.77元，看好公司新能源业务长期发展和火电业绩持续修复，给予公司1.4x 2026E PB，较其历史5年均值（0.81x）约高1.9个标准差，目标价7.33港币（前值：5.97港币基于1.3x 2025E PE），维持“买入”。风险提示：煤价降幅/电价/利用小时数/风光新项目投产节奏不及预期；减值金额高于预期风险。,,华泰证券,买入,[None],2025-10-29,,买入,6952220,pdf_downloads/2025/2025-10-29/600011-华能国际（600011）：煤电盈利强劲，高股息价值突出.pdf,600011,华能国际,华能国际（600011）：煤电盈利强劲，高股息价值突出
"黄秀杰,郑汉林,刘汉轩,崔佳诚",公司概况：全国性大型电力企业，火电、绿电协同共进。华能国际公司主要业务是在国内外开发、建设和运营燃煤、燃气发电厂、新能源发电项目及配套港口、航运、增量配电网等设施，为社会提供电力、热力及综合能源服务。截至2025年6月，公司累计可控装机容量15299.2万千瓦，其中煤电9314.2万千瓦，占比60.9%；气电1523.2万千瓦，占比10.0%；风电2003.8万千瓦（含海上风电588万千瓦），占比13.1%；太阳能2405万千瓦，占比15.7%。公司收入主要来自电力及热力业务，电力板块中火电收入占比较大，煤电、风电板块利润总额贡献较大。煤电盈利稳定性提升，公司火电盈利有望趋稳。火电电价机制不断完善，随着新型电力系统建设推进，火电电价机制逐渐由“单一制电价”转变为“两部制电价”，煤电收益来源电量电价+辅助服务+容量电价，火电盈利模式转变，盈利水平趋于稳健。公司火电业务盈利受煤价影响较大，预计未来煤价较为稳定，同时随着容量电价提升，电量电价收入占比逐步下降，公司火电收入波动性下降，火电盈利趋于稳定。新能源发电市场化推进，未来有望实现合理收益水平。136号文发布，目前各地细则逐步出台，新能源市场化发展有序推进；136号文在推动新能源全面参与市场的同时建立新能源可持续发展价格结算机制，促进新能源项目实现合理收益水平。公司持续加大新能源投资力度，力争在“十四五”末期公司低碳清洁能源装机占比达到45%左右。公司在手新能源项目资源储备较为充足，在建项目规模体量较大，未来公司新能源项目逐步投产，将促进公司新能源板块业绩稳步增长。公司未来资本开支主要用于建设新能源项目，随着新建新能源项目规模逐步稳定，预计资本开支将逐步趋于平稳，公司现金流水平将逐步改善，有力支撑公司分红维持较好水平。投资建议：由于煤价降幅较大，上调盈利预测。预计2025-2027年公司归属母公司净利润分别为125.20/130.53/135.59亿元（25-27年原预测值分别为119.27/126.62/133.36亿元），归母净利润年增速分别为23.5%/4.3%/3.9%；EPS分别为0.80/0.83/0.86元，当前股价对应PE分别为9.5/9.1/8.7x。综合绝对估值和相对估值结果，我们认为公司股票价值在7.98-8.73元之间，较当前股价有6%-16%的溢价。维持“优于大市”评级。风险提示：电价下降；煤价上涨；电源项目投运不及预期；用电量增速下行。,,国信证券,优于大市,[None],2025-08-07,,买入,6286575,pdf_downloads/2025/2025-08-07/600011-华能国际（600011）：火电龙头受益容量电价，现金流改善提升分红预期.pdf,600011,华能国际,华能国际（600011）：火电龙头受益容量电价，现金流改善提升分红预期
"查浩,刘晓宁,邓思平",华能国际(600011)投资要点：事件：公司发布了2025年半年报。2025年上半年公司实现营业收入1120亿元，同比下降5.7%；实现归属于母公司股东的净利润92.62亿元，同比增长24.26%；单二季度实现归属于母公司股东的净利润42.89亿元，同比增长50.09%，基本符合我们此前预期。煤价下降与新能源装机增长，上半年业绩表现可圈可点。公司上半年业绩增长主要受益于煤价下降与新能源的装机成长，其中燃煤、风电、光伏税前利润分别为73.1、39.1、18.23亿元，分别同比变动+84%、-3%、+46%。单二季度燃煤、风电、光伏税前利润分别为33.28、16.58、12.59亿元，分别同比变动+188%、+3%、+44%。煤机利润大增主要系煤价下降较多，根据公告，公司上半年境内除税标煤917.05元/吨，同比下降9.23%。另外，公司在二季度对旗下部分火电厂计提2.6亿元资产减值。新能源利润增加主要系装机增长。值得注意的是，公司单二季度少数股东损益占净利润比例（20%）较单一季度（29%）大幅下滑，或与其新能源利润占比提升有关。根据公司公告，公司上半年新增装机约8GW，均为低碳清洁能源项目，其中火电、风电、光伏分别为172、193、433万千瓦。截至2025年6月底，公司控股装机15299万千瓦，其中风电、光伏分别为2004、2405万千瓦，风电、光伏装机分别较去年同期新增21%、59%。单二季度上网电量990亿千瓦时，同比增长1.4%，其中燃煤、风电、光伏分别为754、101、74亿千瓦时，分别同比变动-3.5%、+14.3%、+48.1%。从电量装机看，公司燃煤机组利用小时数表现较为优异，风电光伏电量增长主要受益于装机增长。公司上半年上网电价485.27元/兆瓦时，与一季度电价488.19元/兆瓦时基本持平，整体电价保持稳健。上半年煤电度电利润超4分，自由现金流转正，ROE创新高。根据公司披露的煤电上网电量与税前利润数据，倒算可知2025年一季度、二季度煤电度电税前利润分别为4.8、4.4分/千瓦时，分别较去年同期变动+1.7、+2.9分/千瓦时，煤电度电利润提升主要受益于煤价下滑。其他财务数据方面，公司上半年经营性现金流净额307亿元，投资性现金流净额218亿元，自由现金流（89亿元）为十四五期间首次转正。公司今年上半年加权ROE12.71%，创历史新高，较2015年（12.58%）高出0.13个百分点。公司上半年财务费用33.8亿元，较去年同期下降约6亿元；资产负债率64.52%，较去年年底下降0.88个百分点。展望三季度，秦皇岛港口现货煤价在近期小幅上涨，或使公司三季度煤电利润略有压力；中期维度我们更建议关注年底煤电年度电价与容量电价的综合变动。新能源度电利润较为稳定，回款状况稳定，持续关注各地136号文落地。根据公司披露的分电源上网电量与税前利润数据，倒算可知2025年一季度、二季度风电度电税前利润分别0.21、0.16元/千瓦时，光伏分别为0.12、0.17元/千瓦时，其中单二季度风电、光伏度电利润分别较去年同期下降0.0187、0.005元/千瓦时，考虑到今年风电光伏新增装机的增速，我们认为公司风电光伏的度电利润较为稳健。回款方面，公司2025年上半年应收账款491亿元，较2024年底（477亿元）仅小幅增长，与同行相比，延续了公司新能源较好的回款能力。今年2月136号文明确新能源全面入市后各地细则仍待落实，对新能源电站的影响几何仍需验证，但我们认为新能源136号文与煤电1439号文类似，预计将推动行业合理发展。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为128、131、138亿元，当前股价对应PE分别为12/11/11倍(需扣除永续债利息约29亿），上调评级至“买入”。假设60%的分红比例（扣除永续债利息后），2025年业绩对应分红59.4亿元，当前股价对应A股股息率5.1%，对应H股股息率7.6%，建议关注华能国际电力股份（0902.HK）。风险提示：煤价大幅上行，电价政策出现不利调整，用电需求波动。,,华源证券,买入,[None],2025-08-05,上调评级,买入,6277796,pdf_downloads/2025/2025-08-05/600011-华能国际（600011）：煤价下降与新能源装机成长上半年利润大增.pdf,600011,华能国际,华能国际（600011）：煤价下降与新能源装机成长上半年利润大增
"韩晨,巢语欢",事件：公司发布2025年中报，上半年实现营收1120.3亿元，同比下降5.7%；实现归母净利润92.6亿元，同比增长24.3%；实现扣非归母净利润88.1亿元，同比增长22.6%；2Q25单季度实现营收517.0亿元，同比下降3.3%；实现归母净利润42.9亿元，同比增长50.1%。煤价低位对冲电价下降风险，煤电盈利稳步攀升。1H25公司煤电机组实现上网电量1583.6亿千瓦时，同比下滑7.1%，受益于煤价下行，上半年公司境内除税发电耗用标煤单价人民币917.1元/吨，同比下降9.2%，对应上半年公司煤电度电利润为4.6分/千瓦时，同比增长2.3分/千瓦时，其中1Q25/2Q25煤电度电利润分别为4.8分/千瓦时、4.4分/千瓦时。风光建设加速，上网电量高增。1H25公司新增并网风光装机容量6.1GW，其中风电/光伏分别新增1.9/4.2GW；1H25风电/光伏板块上网电量210.3/122.4亿千瓦时，同比分别+11.4%/+49.3%，实现税前利润39.1/18.2亿元，经测算，风电/光伏度电利润同比分别达0.186/0.149元/千瓦时，同比分别下滑0.028元/千瓦时、0.003元/千瓦时；2Q25风电/光伏度电利润分别为0.164/0.170元/千瓦时，同比分别下滑0.019元/千瓦时、0.005元/千瓦时。新加坡/巴基斯坦业绩同比分别-20.9%/+1.6%。1H25新加坡/巴基斯坦业务分别实现利润总额13.6/4.4亿元，同比分别-20.9%/+1.6%，新加坡大士能源利润下降主要系电价回落至正常水平。盈利预测与投资建议。预计公司25-27年归母净利润分别为122.9亿元/130.4亿元/137.9亿元，对应EPS分别为0.78/0.83/0.88元，维持“买入”评级。风险提示：煤价电价波动风险，新能源发展不及预期风险。,,西南证券,买入,[None],2025-08-01,,买入,6269934,pdf_downloads/2025/2025-08-01/600011-华能国际（600011）：火电盈利延续，风光建设加速.pdf,600011,华能国际,华能国际（600011）：火电盈利延续，风光建设加速
"陶贻功,梁悠南,马敏",华能国际(600011)事件：公司发布2025年中报，上半年实现营收1120.32亿元，同比下降5.70%，实现归母净利92.62亿元（扣非88.06亿元），同比增长24.26%（扣非同比增长22.64%）。25Q2单季度实现营收516.97亿元，同比下降3.26%，实现归母净利42.89亿元（扣非40.07亿元），同比增长50.09%（扣非同比增长43.00%）。盈利能力、现金流大幅提升，财务费用下降：上半年公司毛利率、净利率分别为19.60%、10.99%，同比分别+4.03pct、+3.28pct；期间费用率6.41%，同比-0.09pct；ROE(加权)12.71%，同比+1.96pct；经现净额307.48亿元，同比增加30.27%；财务费用 33.80亿元，同比下降15.03%；资产减值计提2.56亿元，同比多计提2.55亿元；上半年末公司资产负债率64.52%，较年初下降0.88pct。煤电盈利大幅提升，下半年盈利提升趋势有望持续：分板块来看，上半年煤电/燃机/风电/光伏利润总额分别为73.10/7.53/39.10/18.23亿元，同比变动幅度分别为+84%/+32%/-3%/+46%；其中25Q2单季度，煤电/燃机/风电/光伏利润总额分别为33.28/0.00/16.58/12.59亿元，同比变动幅度分别为+188%/-100%/+3%/+44%。上半年煤电/燃机/风电/光伏上网电量分别为1583.63/132.55/210.31/122.43亿千瓦时，同比变动幅度分别为-7.1%/+7.5%/+11.3%/+49.3%；其中25Q2单季度煤电/燃机/风电/光伏上网电量分别为754.26/56.54/101.19/73.71亿千瓦时，同比变动幅度分别为-3.5%/+9.2%/+14.3%/+48.1%。上半年公司各电源上网电价均价为485.27元/兆瓦时，同比下降2.27%。煤价下跌对冲电量、电价下跌影响，推动煤电盈利大幅提升。上半年公司入炉标煤单价917.05元/吨，同比下降9.32%，一、二季度煤电度电利润总额分别为0.048、0.044元/千瓦时，同比增加0.017、0.029元/千瓦时。近期市场煤价虽有所反弹，但7月30日秦港5500大卡动力煤市场价同比仍有近200元/吨跌幅，与上半年平均跌幅接近，我们预计煤电盈利提升趋势仍将持续。长期来看，随着2026年及远期容量电价提升，煤电盈利稳定性有较大提升空间。上半年风光装机高增长，装机结构持续优化：公司上半年新增新能源装机6.14GW（同比增长105%），其中风电1.93GW、太阳能4.21GW。截至上半年，公司新能源累计装机44.1GW（同比增长39.5%），占总装机容量的28.8%。考虑燃机、水电等其他清洁能源，低碳清洁能源装机占比达到39.12%，同比提高6.34pct，装机结构不断优化。投资建议：预计公司2025-2027年将分别实现归母净利润127.77亿元、135.52亿元、140.32亿元，对应PE为9.0倍、8.5倍、8.2倍，维持推荐评级。风险提示：煤价超预期上涨的风险；新能源开发进度不及预期的风险；上网电价卡调的风险。,,银河证券,推荐,[None],2025-08-01,,买入,6268185,pdf_downloads/2025/2025-08-01/600011-华能国际（600011）：2025年中报点评：煤价下跌推动盈利提升，上半年新增绿电6GW.pdf,600011,华能国际,华能国际（600011）：2025年中报点评：煤价下跌推动盈利提升，上半年新增绿电6GW
"张津铭,高紫明,刘力钰",成本改善支持煤电盈利弹性，绿电扩张贡献业绩增量公司发布2025年半年报。2025年半年度公司实现营业收入1120.32亿元，同比下降5.7%；归母净利润92.62亿元，同比增长24.26%；扣非净利润88.06亿元，同比增长22.64%。2025Q2单季公司实现营业收入516.97亿元，同比下滑3.26%；归母净利润42.89亿元，同比增长50%。业绩增长主要系燃料成本降低与新能源规模扩张带动。此外，曲阜热电及上安电厂资产减值2.54亿。煤电量价压力缓解，燃煤成本下降支撑盈利提升。电量方面，2025Q2单季煤机/燃机上网电量分别实现754/57亿千瓦时，分别同比-3.46%/+9.16%，相比与25Q1煤电上网电量同比24Q1下滑10%，Q2电量压力已有所缓解。成本方面，上半年入炉标煤单价917.05元/吨，同比下降9.23%。受益于成本煤价大幅下降，对冲电价下降压力，Q2单季度利润总额口径煤电实现度电利润0.044元，同比提升0.029元/度，盈利能力稳健提升。新能源装机扩张带动电量高增长，拉动利润规模提升。装机与电量方面，2025Q2单季，风电/光伏分别同比新增装机102.475/280.28万千瓦；风电/光伏分别完成上网电量101/74亿度，分别同比+14.32%/+48.06%。2025H1整体，风电/光伏分别同比新增装机192.845/433.446万千瓦，分别完成上网电量210/122亿度，分别同比+11.39%/+49.33%。利润方面， Q2单季，风电/光伏分别完成利润总额16.58/12.59亿元，实现度电利润0.164/0.171元，分别同比下滑1.9/0.5分/度。投资建议。公司作为全国电力龙头优势突出，煤电利润持续改善，新能源转型成长空间广阔，预计公司2025-2027年归母净利分别为127.28/129.76/135.61亿元，对应2025-2027年EPS分别为0.81/0.83/0.86元/股，对应2025-2027年PE分别为8.7/8.5/8.1倍，维持“买入”评级。风险提示：装机速度不及预期；火电灵活性改造、绿电交易等行业政策推进不及预期；上游原材料涨价。,,国盛证券,买入,[None],2025-07-31,,买入,6263098,pdf_downloads/2025/2025-07-31/600011-华能国际（600011）：成本改善支持煤电盈利弹性，绿电扩张贡献业绩增量.pdf,600011,华能国际,华能国际（600011）：成本改善支持煤电盈利弹性，绿电扩张贡献业绩增量
"王玮嘉,黄波,李雅琳,胡知",公司公布上半年业绩：收入1120.32亿元，同比-5.7%；归母净利润92.62亿元，同比+24.3%。其中二季度公司实现收入516.97亿元，同比-3.3%；归母净利润42.89亿元，同比+50.1%。公司2Q25归母净利润低于我们预期的43.29-50.63亿元，主要系计提资产减值损失2.69亿元。得益于煤价快速下降，2Q25公司境内煤电度电利润总额同比/环比+2.9分/-0.4分。迎峰度夏时期电力需求有望提升，我们认为公司2025年全年利润将维持1H25的向好趋势。维持“买入”。煤电：Q2度电利润总额同比+2.9分，Q3发电量yoy有望修复1H25，公司境内煤电电价同比略下降，上网电量同比-7.1%，但得益于煤价下行带来入炉标煤单价同比-9.2%至917.05元/吨，公司境内煤电度电利润总额同比大幅增长2.3分至4.6分。2Q25，公司境内煤电度电利润总额4.4分，同比+2.9分，环比-0.4分，环比略下降主因2Q25境内煤电上网电量环比-9.1%，度电固定成本分摊环比有所增加。3Q25处于迎峰度夏阶段，且7月大水电出库流量同比偏弱，我们认为火电发电量同比增速有望修复。境外火电：新加坡大士能源由于电价从较高水平逐渐回归正常水平，1H25利润总额同比-20.9%至13.63亿元；巴基斯坦业务利润总额同比+1.6%至4.36亿元。新能源：2Q25利润略超预期，1H25已完成全年新增装机目标的62.6%1H25公司新增并网风电/光伏装机容量1928.45/4334.46MW，合计6262.91MW，约占全年新增新能源装机目标的62.6%，新增装机进度同比加快（1H24新增3044.19MW），我们认为主要系“发改价格〔2025〕136号文”提到2025/6/1以前投产的新能源存量项目机制电价可以按现行价格政策执行。公司风电/光伏2Q25利润总额16.58/12.59亿元，合计29.17亿元，按照15%所得税率测算净利润约24.79亿元，略高于我们预计的23.26亿元，主要系光伏新增并网装机较多导致光伏利润超预期。公司2Q25年风电/光伏度电利润总额0.164/0.171元，同比-1.9分/-0.5分。盈利预测与估值维持25-27年权益利润预期125/131/134亿元。A股：预计公司25年新能源权益利润81.34亿元和火电权益净资产602亿元，分别给予25E PE20.0x和PB0.98x（可比公司Wind一致预期25E PE/PB17.6x/0.90x，公司溢价考虑新能源盈利能力更强及火电辅助服务收益表现突出，扣除永续债后目标市值1416亿元，对应股价9.02元（前值：8.09元基于新能源/火电25E PE16.5x/PB0.95x），维持“买入”评级。H股：预计公司2025年扣除永续债后BPS为4.18元，看好公司新能源业务长期发展和火电业绩持续修复，给予公司1.3x 2025EPB， 较其历史5年均值（0.80x）约高1.5个标准差，上调较历史均值的溢价主要考虑公司当前盈利能力处于历史5年的高位，目标价5.97港币（前值：5.45港币基于1.1x 2025E PE），维持“买入”。风险提示：煤价降幅/电价/利用小时数/风光新项目投产节奏不及预期；减值金额高于预期风险。,,华泰证券,买入,[None],2025-07-30,,买入,6259728,pdf_downloads/2025/2025-07-30/600011-华能国际（600011）：煤电盈利持续改善，风光建设加速.pdf,600011,华能国际,华能国际（600011）：煤电盈利持续改善，风光建设加速
