author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"康雅雯,李昱喆","报告摘要事件：山东出版发布2025年三季报，2025Q1-Q3收入83.7亿元，同减1.8%；利润总额12.5亿元，同减5.7%；归母净利润12.4亿元，同增28.3%；扣非归母净利润11.6亿元，同增29.4%。2025Q3收入33.6亿元，同增30.6%；利润总额5.7亿元，同增101.3%；归母净利润5.7亿元，同增166.9%；扣非归母净利润5.6亿元，同增175.6%。点评：2025Q3收入与利润大超预期，主业展现韧性，教育业态深入推进1）2025Q3收入与利润大超预期。公司Q3收入与利润表现亮眼，收入高增主要得益于教材教辅提前交货，利润端还因所得税优惠政策的影响得到丰厚。2）主业展现韧性，教材教辅品种丰富，一般图书聚焦畅销书出版。分业务来看，公司2025Q1-Q3出版业务收入26.8亿元，同增4.4%；发行业务收入60.0亿元，同减四制）教育周报数学（威海专用）》《长征红色足迹》等55个品种（系列）。一般图书方面，公司聚焦畅销书出版，截至2025H1，“罗尔德·达尔作品典藏系列”累计监控销量约3,400万册。3）教育业态深入推进。研学方面，公司成功策划并实施了“跟着孔子研学游”等具有深厚文化底蕴的标杆性研学项目。智慧教育方面，公司加强山东出版智慧教育平台项目（二期）内部协同，构建公司数字教育产业生态。4）费用率整体下降，控制费用效果较好。公司2025Q3销售、管理、研发费用率分别为7.1%、9.6%、0.2%，分别同比增加-2.21/-2.74/-0.07pct。费用支出整体在收入增长下较为稳定，推动费用率整体下降，控制费用效果较好。盈利预测与估值：考虑到公司教辅处于稳步恢复状态，具备韧性，我们维持对公司此前的业绩预期，预计山东出版2025-2027年营业收入分别为104.25/105.82/109.58亿元，分别同比增长-11.04%、1.50%、3.56%；归母净利润分别为14.79/16.41/18.39亿元，分别同比增长16.44%、10.99%、12.07%。当前市值对应公司的估值分别为11.8x、10.6x、9.5x，考虑到山东省区域人口优势显著，对于教材教辅产品需求旺盛，公司主业中长期增长动能充足，并积极拓展教育业态，我们看好公司长期投资价值，故维持“买入”评级。风险提示：文化监管端的政策风险；国有传媒企业优惠政策变动；短视频直播电商图书折扣力度加大；研报使用的信息数据更新不及时的风险。",,中泰证券,买入,[None],2025-11-01,,买入,7147339,pdf_downloads/2025/2025-11-01/601019-山东出版（601019）：收入与利润大超预期，教育业态深入推进.pdf,601019,山东出版,山东出版（601019）：收入与利润大超预期，教育业态深入推进
"康雅雯,李昱喆",备注：股价截止自2025年09月17日收盘价报告摘要事件：山东出版发布2025年半年报，2025H1收入50.1亿元，同减15.7%；利润总额6.7亿元；归母净利润6.7亿元；扣非归母净利润6.0亿元。2025Q2收入25.3亿元；利润总额3.5亿元；归母净利润3.5亿元；扣非归母净利润3.1亿元。公司新增中期分红，拟派发现金红利1.3亿元。点评：2025H1业绩有所受压，主业巩固基本盘，教育业态加速建设1）2025H1收入与业绩有所受压。公司2025H1收入与业绩承压主要因教辅收入下降所致，由于部分图书尚未发货，故确认在合同负债中（2025H1合同负债达15.5亿元，同增36.1%），后续伴随履约有望确认为收入。2）出版聚焦内容特色，发行推进新业态转型。分业务来看，2025H1，出版收入16.3亿元，公司大力实施“四名工程”，紧紧围绕核心产品线和特色出版品牌，进一步提升自主创造力和核心竞争力。发行收入34.6亿元，公司创新打造“阅伴新华文化书院”品牌，全省已建成20家“阅伴新华文化书院”。同时，公司积极融合新华书店老年大学、新华·青年夜校等新业态。3）教材教辅品种不断丰富，一般图书稳中向好。分产品来看，教材教辅方面，公司2025年秋季教育图书发行目录上新增《（五四制）教育周报数学（威海专用）》《长征红色足迹》等55个品种（系列）。一般图书方面，公司2025H1在开卷零售市场监控系统整体排名为第10位，实洋占有率同比提升0.64pct。4）教育业态加速建设。研学方面，公司成功策划并实施了“跟着孔子研学游”等具有深厚文化底蕴的标杆性研学项目。智慧教育方面，公司加强山东出版智慧教育平台项目（二期）内部协同，构建公司数字教育产业生态。5）管理费用率有所提升。公司2025H1销售、管理、研发费用率分别为9.3%、11.6%、0.2%，分别同比增加+0.20/+1.41/+0.04pct。2025Q2销售、管理、研发费用率分别为9.5%、10.9%、0.2%，分别同比增加+0.23/+1.41/+0.04pct。管理费用率有所提升，主要因折旧费增加及收入下降所致。盈利预测与估值：考虑到公司教辅处于缓慢恢复状态，且管理费用率有所提升，我们对公司的此前业绩预期进行适当调整，预计山东出版2025-2027年营业收入分别为104.25/105.82/109.58亿元（2025-2027年收入前值分别为120.36/126.37/134.68亿元），分别同比增长-11.04%、1.50%、3.56%；归母净利润分别为14.79/16.41/18.39亿元（2025-2027年归母净利润前值分别为16.22/17.83/20.11亿元），分别同比增长16.44%、10.99%、12.07%。动能充足，并积极拓展教育业态，我们看好公司长期投资价值，故维持“买入”评级。风险提示：文化监管端的政策风险；国有传媒企业优惠政策变动；短视频直播电商图书折扣力度加大；研报使用的信息数据更新不及时的风险,,中泰证券,买入,[None],2025-09-18,,买入,6448737,pdf_downloads/2025/2025-09-18/601019-山东出版（601019）：业绩有所受压，教育业态加速建设.pdf,601019,山东出版,山东出版（601019）：业绩有所受压，教育业态加速建设
"康雅雯,李昱喆",报告摘要事件：山东出版发布2025年一季报，2025Q1收入24.78亿元，同增0.3%；利润总额3.24亿元，同增17.3%；归母净利润3.23亿元，同增53.5%；扣非归母净利润2.99亿元，同增49.3%。点评：利润高增超预期，主业经营向好，创新业态持续深化1）收入平稳增长，利润高增超预期。公司收入端平稳增长，业务经营向好，归母净利润受益于税收优惠政策变化，所得税费用减少，实现高增。2）教材教辅加强统筹经营，一般图书成果丰硕。未剔除内部抵消口径下，出版收入11.5亿元，同增34.9%；发行收入19.2亿元，同增8.1%。教材教辅方面，公司在山东省137个区县建立教材社会监督员制度，加大统筹经营的力度，确保了产品经营的整体稳定，并积极开拓中职教育市场，提升其市占率。一般图书方面，成果丰硕，长篇小说《爹》入选第十七届“五个一工程”优秀作品。3）创新业态持续深化。创新业态方面，智慧教育领域，公司推进“智慧教育平台”“阅读成长”等项目建设。研学领域，完成济南等五家分公司课程开发试点工作，进一步扩充了精品研学课程资源库。老年领域，公司联合山东老年大学共创“齐鲁银龄悦读”品牌，为老年读者营造“舒适阅读+文化社交”的沉浸式空间。4）费用率保持稳定。公司2025Q1销售、管理、研发费用率分别为9.1%、12.2%、0.3%，分别同比增加+0.23/+1.18/+0.03pct，整体较为稳定。盈利预测与估值：考虑到公司经营端稳中向好，我们维持此前公司业绩预期，预计山东出版2025-2027年营业收入分别为120.36/126.37/134.68亿元，分别同比增长2.70%、5.00%、6.57%；归母净利润分别为16.22/17.83/20.11亿元，分别同比增长27.74%、9.91%、12.79%。当前市值对应公司的估值分别为12.6x、11.4x、10.1x，考虑到山东省人口优势显著，对于教材教辅产品需求旺盛，公司市场教辅收入后续有望伴随加大推广力度向上增长，我们仍看好公司长期投资价值，故维持“买入”评级。风险提示：文化监管端的政策风险；国有传媒企业优惠政策变动；短视频直播电商图书折扣力度加大；研报使用的信息数据更新不及时的风险。,,中泰证券,买入,[None],2025-04-30,,买入,6034528,pdf_downloads/2025/2025-04-30/601019-山东出版（601019）：业绩高增超预期，创新业态持续深化.pdf,601019,山东出版,山东出版（601019）：业绩高增超预期，创新业态持续深化
"张良卫,周良玖,张文雨",投资要点事件：公司发布2024年报。收入同比下降3.6%至117亿元，主要系市场教辅收入下滑。归母净利润同比下降47%至13亿元，主要系非经常性损益的影响。因文化体制改革相关的企业所得税减免政策延续，公司冲回了 2023年确认的相关递延所得税资产/负债，对 2024年净利润产生了一次性负向影响2.7亿元。相比之下，2023年该政策的确认对当年净利润产生了较大的正向影响。剔除此因素后，扣非归母净利润下降9.91%至14亿元，更能反映公司核心业务的实际经营情况。毛利率稳定，费用率微增，整体成本控制能力较好：2024年公司主营业务毛利率为 37.4%，基本持平23年，成本控制能力较好。三项期间费用率（销售+管理+研发）合计 24.6%，同比小幅提升1pct。其中，销售费用率11.1% （同比+0.2pct）；管理费用率13.3% (同比+0.8pct)，主要系折旧费、离退休人员精算费用增加所致；研发费用率0.2%，同比稳定。1）分业务看，出版业务收入同比下降1.6%至36亿元，毛利率同增1.2pct至28%。发行业务收入同比下降5%至84亿元，毛利率同比减少1.3pct至33%。2）分产品看，教材教辅收入同比下降2%至98亿元；毛利率同比下降0.5pct至33%。其中，全省评议教辅配套率和生均册数有较大幅增长，确保了评议教辅经营的整体稳定。一般图书收入同比下降15%至16亿元，毛利率同比下降0.8pct至25%。研学业务方面：牵头成立“全国新华研学共同体”，旨在汇聚全国新华书店系统资源，实现资源共享、优势互补，推动产业升级和青少年研学文旅发展。24年曲阜营地接待超 7 万人次，沂南营地接待超 3 万人次。曲阜营地承接了尼山世界文明论坛分论坛等重要活动。研发精品课程，自主研发的研学课程获得省级创新线路设计大赛一等奖，并有线路入选长三角精品线路。在济南、烟台等五个城市完成课程开发试点，扩充了课程资源库。推出精品路线：推出面向中老年群体的文化交流类产品。全省研学文旅出团 6019 次，服务 82.66 万人次。分红方面：公司提出每 10 股派发现金股利 3.10 元（含税）的预案，合计派发现金 6.47 亿元，占归母净利润的 50.9%。分红方案体现了公司对股东回报的重视，虽然派息额较上年（每 10 股 5.60 元）有所减少，但与净利润变动趋势一致。盈利预测与投资评级：考虑到一般图书市场压力仍存，我们将2025-2026年归母净利润预测从17.3/18.2亿元下调至16.2/17.0亿元，并预计2027年为17.9亿元。当前股价对应2025-2027年PE分别为13/12/12倍，我们看好公司区位优势和研学文旅业务潜力，维持“买入”评级。风险提示：行业政策变化风险，经济周期风险，人口下滑风险。,,东吴证券,买入,[None],2025-04-16,,买入,6010368,pdf_downloads/2025/2025-04-16/601019-山东出版（601019）：2024年报点评：利润受递延所得税资产一次性影响，整体经营稳健.pdf,601019,山东出版,山东出版（601019）：2024年报点评：利润受递延所得税资产一次性影响，整体经营稳健
"康雅雯,李昱喆",报告摘要事件：山东出版发布2024年年报，2024年收入117.2亿元，同减3.6%；利润总额15.4亿元，同减26.5%；归母净利润12.7亿元，同减46.5%；扣非归母净利润14.2亿元，同减9.9%。2024Q4收入32.0亿元，同减21.9%；利润总额2.2亿元；归母净利润3.0亿元；扣非归母净利润5.2亿元，同增29.5%。点评：收入展现韧性，主业稳步经营，创新业态不断拓展1）收入展现韧性，利润有所承压。公司2024年收入端在市场教辅收入承压情况下仍保持平稳，而归母净利润下降则因市场教辅收入下降，叠加因税收优惠政策变化而冲回非经常性损益所致。2）教材教辅加强精细化运营，一般图书深化精品出版。未剔除内部抵消口径下，出版2024年收入36.3亿元，同减1.6%；发行2024年收入84.2亿元，同减5.3%。教材教辅方面，公司在山东省137个区县建立教材社会监督员制度，统筹协调公司编印发供各环节密切配合，合理安排生产计划，小学《体育与健康》等教材选用工作圆满完成。一般图书方面，公司进一步深化精品出版、主题出版，长篇小说《爹》入选第十七届“五个一工程”优秀作品。3）创新业态不断拓展。创新业态方面，智慧教育领域，公司整合资源打造了山东教研直播系统、教研视频会议系统等平台，推进“智慧教育平台”“阅读成长”等项目建设。研学领域，公司持续提升营地运营水平，沂南、曲阜营地积极探索“模拟法人”运行机制，曲阜营地接待300团次、7万余人次，并丰富自主研发精品研学课程资源库。老年领域，公司探索“新华书店老年大学”等新业态盈利模式，并推出“艺享轻龄·跟着诗词游南丰”等文化交流类产品，得到中老年群体广泛认可。4）分红比例稳中有升。公司2024年拟分配现金红利达6.5亿元，拟分红比例达50.9%，同比提升1.8pct，分红比例稳中有升。5）费用率保持稳定。公司2024年销售、管理、研发费用率分别为11.1%、13.3%、0.2%，分别同比增加+0.22/+0.75/+0.04pct，其中管理费用率上升主要因折旧费、离退休人员精算费用增加导致管理费用增加。盈利预测与估值：考虑到公司市场教辅收入有所下降以及所得税政策发生变化，我们对公司的此前业绩预期进行适当调整，预计山东出版2025-2027年营业收入分别为120.36/126.37/134.68亿元（2025-2026年收入前值分别为137.14/148.73亿元），分别同比增长2.70%、5.00%、6.57%；归母净利润分别为16.22/17.83/20.11亿元（2025-2026年利润前值分别为16.80/18.90亿元），分别同比增长27.74%、9.91%、12.79%。当前市值对应公司的估值分别为12.9x、11.8x、10.4x，考虑到山东省人口优势显著，对于教材教辅产品需求旺盛，公司市场教辅收入后续有望伴随加大推广力度向上增长，我们仍看好公司长期投资价值，故维持“买入”评级。风险提示：文化监管端的政策风险；国有传媒企业优惠政策变动；短视频直播电商图书折扣力度加大；研报使用的信息数据更新不及时的风险。,,中泰证券,买入,[None],2025-04-11,,买入,6005285,pdf_downloads/2025/2025-04-11/601019-山东出版（601019）：收入展现韧性，创新业态不断拓展.pdf,601019,山东出版,山东出版（601019）：收入展现韧性，创新业态不断拓展
"项雯倩,李雨琪",核心观点山东省出版发行龙头，教材教辅为核心主业，积极探索多元化布局。山东出版拥有以出版、发行、印刷、物资贸易为主的全产业链业务，融合数字出版、研学文旅、智慧教育、融媒体等创新业务。2019-2023年，公司营收从97.67亿元增长至121.54亿元，CAGR达5.62%，除2020年受疫情冲击影响，其余年份均保持稳健增长；归母净利润从15.44亿元增长至23.76亿元，CAGR达11.37%。教材教辅出版发行主业稳健增长。2019-2023年，公司教材教辅出版/发行业务的营业收入CAGR分别为10.55%/7.18%。教材教辅业务核心变量之一为学生人数，近几年山东省常住人口数稳定，2023年为1.01亿人，位列全国第二。新生儿方面，2016~2017年出现的生育小高峰，预计将于2035年前陆续完成K12教育，从而在中短期支撑业务增长。从K12学生结构变化看，初高中学生占比从2016年的41.1%提升至2022年的43.6%。相比于小学生，初高中生是教辅需求的主力军，随着初高中学生占比提升增加对教材教辅需求量，有望助力教材教辅业务稳健增长。图书零售市场相对疲软，公司一般图书业务稳中有进。图书零售市场整体相对不景气，19-23年CAGR为-2.8%，公司一般图书出版业务和发行CAGR增速分别为-3.45%/3.45%，2023 年公司图书零售的实洋占有率 1.39%。公司子公司书店集团充分利用线下渠道的优势，积极推动线下销售增长，同时聚焦内部私域、外部私域和三方公域三类流量，打造数字化门店、企微社群、三方店铺、线上分销四张网络，促进书店集团互联网化转型升级发展。积极探索新业务布局，研学文旅快速发展。1）研学文旅方面，公司持续完善业务多主体布局，24H1研学文旅业务营业收入同增超60%；2）智慧教育方面，公司开发建设融合教辅出版和大数据技术的“作业+学情诊断大数据反馈”项目，积极推进课后延时“大阅读”服务。3）出版融合方面，推动书店开展多元服务场景。公司为山东省出版发行龙头企业，核心业务教材教辅主业保持稳健增长，同时积极探索研学、智慧教育等新业务布局。我们预计24-26年归母净利润分别为19.57/21.77/23.14亿元，对应 EPS 0.94/1.04/1.11元。根据可比公司2025年P/E调整后均值15倍，对应目标价15.60元，首次给予买入评级。风险提示 政策风险；K12学生人数减少风险；成本风险；新业务拓展不及预期风险,,东方证券,买入,[None],2024-12-29,,买入,5877173,pdf_downloads/2024/2024-12-29/601019-山东出版（601019）：首次覆盖报告：教材教辅主业稳健，积极探索多元布局.pdf,601019,山东出版,山东出版（601019）：首次覆盖报告：教材教辅主业稳健，积极探索多元布局
"Yuncong Mao,xiaowen sun,Xingguang Chen,Monique Shan",投资要点：公司主营业务集“编、印、发、供”于一体，下属20家子公司，包括人民社、明天社2家一级出版社，形成了以出版、发行业务为核心，上游印刷加工、物资贸易为补充，全产业链一体化经营的格局，并融合移动媒体、互联网媒体、数字出版、研学文旅等新兴业态业务，是现代化的大型综合文化产业经营实体。教材教辅业务基本面稳固。教材教辅的核心目标群体为在校学生，相比于面向普通大众的一般图书，教材教辅属于刚需市场，受宏观经济的影响较小。山东在校学生数仍处于增长阶段，且高年级学生占比持续提升，公司立足山东建设教材体系，品牌优势显著。2020-2023年，公司教材教辅发行收入分别为55.4亿元、60.10亿元、65.18亿元和68.80亿元，复合增长率达7.49%；自编教材教辅收入及租型教材教辅收入复合增长率分别为11.91%和9.13%积极推出精品图书，创新业务增加新看点。公司深入实施“双品双效”战略，打造优质精品图书，并积极发力短视频等渠道。2023 年，公司共出版图书15841 种、音像电子出版物 141 种、期刊 8 种，图书产品再版重印率 78.5%。创新业务方面，公司大力发展研学文旅业务，推出研学营地，打造品牌研学课程体系，优化延伸文旅产业链，积极布局中高端文旅及老年文旅。2024年上半年，公司研学文旅业务较快发展，营业收入同比增长超过60%。同时，公司加快数字化转型，持续推进智慧校园建设工程、课后延时服务、数字化创新项目等。并购及高分红贡献亮点，彰显投资价值。2021-2023年，公司分红金额及分红比例逐年增长。我们认为，公司有望继续提升分红比例，推动分红金额维持稳定。并购方面，2023年公司宣布，为避免公司与控股股东山东出版集团有限公司所属企业的同业竞争或潜在的同业竞争，做强公司出版主业、拓展新的经济增长点，根据公司发展需要，公司以现金7268.08万元收购出版集团持有的全资子公司山东老干部之家杂志社有限公司100%股权。盈利预测与估值。我们预计公司2024-2026年总营收预计128.45亿元、138.29亿元和146.58亿元，同比增速分别为5.7%、7.7%和6.0%；归母净利分别为15.25亿元、16.11亿元和16.97亿元，同比增速分别-35.8%、5.6%和5.4%；对应全面摊薄EPS分别为每股0.73元、0.77元和0.81.元。参考可比公司，我们给予公司2024年18倍PE估值，对应目标价13.16元/股，“优于大市”评级。风险提示：纸张成本上涨风险，AI 应用、教育服务等业务转型不及预期，图书内容监管趋严。,,海通国际证券,优于大市,[None],2024-11-25,,买入,5841865,pdf_downloads/2024/2024-11-25/601019-山东出版（601019）：首次覆盖：立足山东打造教材教辅品牌，高分红回馈投资者.pdf,601019,山东出版,山东出版（601019）：首次覆盖：立足山东打造教材教辅品牌，高分红回馈投资者
"张良卫,周良玖,张文雨",投资要点事件：公司发布季度业绩和经营数据。24Q3收入同比降低9%至26亿元；毛利润同比降低9%至8亿元，毛利率同比持平23Q3的32%；销售费用率持平23Q3的10%，管理费用率同比提升1pct至14%；税前利润同比降低21%至3亿元，税前利润率同比降低2pct至11%，实际税率为25%；归母净利润同比降低40%至2.2亿元，归母净利率同比降低4pct至8%。24年1-9月收入同比增长6%至85亿元；毛利润同比增长4%至31亿元，毛利率同比降低0.5pct至36%；销售费用率同比降低0.4pct至9%，管理费用率同比持平去年同期的11%；税前利润同比增长5%至13亿元，税前利润率同比持平去年同期的16%，实际税率为27%；归母净利润同比降低23%至9.7亿元，归母净利率同比降低4pct至11%。前三季度出版业务收入保持平稳，发行业务收入小幅增长。24年1-9月公司出版业务的销售码洋同比增长2%至54亿元，收入同比增长0.3%至26亿元，毛利率同比增长1.5pct至28%；发行业务的销售码洋同比增长5%至66亿元，收入同比增长4%至60亿元，毛利率同比降低0.9pct至32%。山东新铧文旅发展集团与安徽时代教育签订战略合作协议。8 月 27 日在安徽合肥举办的 “2024 安徽研学旅游大会”上，山东新铧文旅发展集团与安徽时代教育发展有限公司签订战略合作协议，将开启省际文旅产业合作新纪元，开发高质量文化旅游产品，探索新思路、新模式、新路径，打造 “研学安徽” 和 “新华爱书客” 研学品牌。战略合作协议签订后，双方将在中小学生研学、中高端定制旅游、老年人康养旅居、文创产品研发等方面深度合作，发挥各自属地独特文化，研发精品研学课程、开发优质路线。盈利预测与投资评级：由于前三季度毛利率同比下降，我们将公司2024-2026年归母净利润从17.0/19.2/19.8亿元下调至15.2/17.3/18.2亿元，当前股价对应2024-2026年PE分别为15/13/12倍。我们看好山东人口大省对于图书的长期需求，以及公司在研学文旅业务的积极进展，维持“买入”评级。风险提示：行业政策变化风险，经济周期风险，人口下滑风险。,,东吴证券,买入,[None],2024-11-02,,买入,5814366,pdf_downloads/2024/2024-11-02/601019-山东出版（601019）：2024年第三季度财报点评：业绩短期承压，研学文旅业务稳步推进.pdf,601019,山东出版,山东出版（601019）：2024年第三季度财报点评：业绩短期承压，研学文旅业务稳步推进
"康雅雯,李昱喆",备注：股价截止自2024年10月30日收盘价报告摘要事件：山东出版发布2024年三季报，2024Q1-Q3收入85.2亿元，同增5.8%；利润总额13.2亿元，同增5.3%；归母净利润9.7亿元，同减22.7%；扣非归母净利润9.0亿元，同减23.4%。2024Q3收入25.7亿元，同减9.1%；利润总额2.9亿元，同减21.1%；归母净利润2.1亿元；扣非归母净利润2.0亿元。点评：Q1-Q3业绩稳定，主业经营稳健，创新业态持续推进1）2024Q1-Q3业绩稳定。公司Q1-Q3收入和利润总额仍保持正向增长，较为稳健，Q3收入及归母净利润下滑主要因市场教辅收入下滑导致，另外归母净利润还因所得税费用同比增加有所下降。2）教材教辅积极拓展品类及市场，一般图书加强新书推广。未剔除内部抵消口径下，出版Q1-Q3收入25.7亿元，同增0.3%；发行Q1-Q3收入60.1亿元，同增3.6%。教材教辅方面，公司全力保障秋季教材教辅征订工作，积极拓展教材教辅品类，稳健推进中职教材教辅业务。一般图书方面，公司加强新版图书的品质开发及营销推广，在新书市场份额提升明显。3）创新业态持续推进。创新业态方面，智慧教育领域，“作业+学情诊断大数据反馈”项目平稳有序推进。研学文旅领域，业务较快发展，2024H1营业收入同比增长超过60%；山东出版集团信息显示，公司旗下山东新铧文旅发展集团与安徽时代教育发展签订战略合作协议，双方将在中小学生研学、中高端定制旅游等方面进行深度合作，看好双方共同打造精品路线吸引客户参与。老年领域，公司积极拓展老年服务业务，打造了数字化平台“轻龄家”。4）销售费用率有所下降，管理费用率有所上升。公司2024Q3销售、管理、研发费用率分别为9.3%、12.4%、0.2%，分别同增-0.93/+1.48/+0.02pct，管理费用率上升主要因职工薪酬、折旧费增加导致管理费用增加。盈利预测与估值：考虑到公司市场教辅收入有所下降以及所得税政策变化导致所得税费用增加，我们对公司的此前业绩预期进行适当调整，预计山东出版2024-2026年营业收入分别为127.61/137.14/148.73亿元（2024-2026年收入前值分别为133.48/148.26/164.91亿元），分别同比增长4.99%、7.47%、8.46%；归母净利润分别为15.07/16.80/18.90亿元（2024-2026年利润前值分别为18.47/20.55/23.01亿元），分别同比增长-36.55%、11.43%、12.53%。当前市值对应公司的估值分别为15.7x、14.1x、12.5x，考虑到山东省人口优势显著，对于教材教辅产品需求旺盛，公司市场教辅收入后续有望伴随加大推广力度向上增长，我们仍看好公司长期投资价值，故维持“买入”评级。风险提示：文化监管端的政策风险；国有传媒企业优惠政策变动；短视频直播电商图书折扣力度加大；研报使用的信息数据更新不及时的风险。,,中泰证券,买入,[None],2024-11-01,,买入,5812386,pdf_downloads/2024/2024-11-01/601019-山东出版（601019）：Q1-Q3业绩稳定，创新业态持续推进.pdf,601019,山东出版,山东出版（601019）：Q1-Q3业绩稳定，创新业态持续推进
"陈伟光,罗炜斌,戴晓",教材教辅：在校人数未来三年保持增长，公司产品开发能力强劲。根据出生人口进行测算，预计未来三年山东省中小学在校生人数将保持在较高水平，教材教辅册数需求稳步提升，将持续推动公司未来几年教材教辅业务的发展。山东出版是山东省免费教科书和省教育厅评议推荐类教辅的唯一发行商，根据《2024年义务教育国家课程教学用书目录》，山东出版共有14种教材入选国家课程目录，公司在发行牌照以及教材教辅产品开发能力上优势显著。一般图书：码洋规模降幅持续收窄，公司市占率提升。根据开卷研究的数据，2024年前三季度中国图书零售市场码洋规模仍为负增长，同比下降0.68%，但得益于618电商大促带动和9月新一学年开启，整体图书零售市场码洋降幅较上半年进一步缩小。2024上半年公司实洋占有率同比提升0.11pct，动销品种实洋品种率同比提升0.06pct，新书市场实洋占有率同比提升1%，公司在一般图书市场的影响力持续提升。创新业务：文旅研学业务快速发展。公司旗下新铧文旅集团下设4个子公司，分别负责经营中小学生研学旅行、研学实践教育活动&营地运营、文化创意设计和中高端定制化旅游&老年文旅等业务，文旅产业链逐步完善。此外，公司打造的“新华爱书客”已成为省内领军研学品牌，2023年发团超6000次，服务70万人次，营收3.14亿元，同比增长超4倍，文旅研学有望成为公司利润增长的新引擎。分红逐年增长，股息率位居行业前列。根据公司公告，2023年公司经营活动产生的现金流量净额为24.22亿元，同比增长12.89%；货币资金和交易性金融资产共计达87.86亿元，充沛的现金流和账面资金是公司保持较强分红能力的坚实后盾。分红方面，山东出版2023年每股派发现金红利0.56元（含税），共计派发11.69亿元，分红金额实现3.55亿元的增长；现金分红率为49.19%，同比提升0.76pct，分红金额和分红比例均创历史新高。股息率方面，以2024年10月28日收盘市值计算，公司股息率为4.84%，同比提升0.35pct，排在18个地方国企出版集团的第3位。投资建议：维持公司“买入”评级。公司为山东省文化出版龙头，发行、出版核心主业稳健增长，创新业务有望逐步贡献业绩增量。此外，公司现金分红保持逐年增长，股息率位居行业前列。我们预计2024-2025年EPS分别为0.80\0.87元，对应PE分别为14.21\12.97倍。风险提示：图书市场消费疲软风险；学生人口数量增长不及预期风险；创新业务表现与预期不符风险。,,东莞证券,买入,[None],2024-10-31,,增持,5811124,pdf_downloads/2024/2024-10-31/601019-山东出版（601019）：传统主业与创新业务双线并行，分红逐年增长.pdf,601019,山东出版,山东出版（601019）：传统主业与创新业务双线并行，分红逐年增长
