author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"姜雪晴,袁俊轩,刘宇浩",核心观点长安汽车2月销量同比略降、环比增长，预计后续有望迎来边际改善。长安汽车2月整体销量15.19万辆，同比减少5.9%，环比增长12.8%；2026年1-2月累计整体销量28.66万辆，同比减少34.4%。受新能源补贴退坡以及两新政策调整影响，公司1月销量有所承压；2月因春节假期影响产销日缩短背景下，公司销量呈现同比略降、环比增长态势；我们认为随着各省市2026年汽车国补配套细则陆续出台，前期被抑制的部分消费需求将逐步释放，预计公司后续销量情况将有望边际改善。新产品、新技术全面规划，拟回购股份彰显发展信心。2月自主品牌销量12.45万辆，同比减少9.0%，环比增长24.4%；新能源汽车销量4.22万辆，同比增长6.4%，环比增长15.2%，其中长安启源2月销售1.83万辆，同比增长30.4%，环比增长96.3%。2026年公司将围绕启源A06、Q05、深蓝L06等重点车型持续发力，未来三年计划合计投放包含13款轿车、20款SUV、1款MPV、3款皮卡和6款商用车在内的43款新品（其中35款为新能源车型）。公司拟加快下一代产品布局，形成各品牌核心产品矩阵并填补细分市场空缺。出海方面，2月长安汽车海外销量6.49万辆，同比增长36.5%，环比增长48.7%，1-2月累计出口10.85万辆。公司后续将加速全球布局，计划三年内在140余个国家和地区投放26款新品。3月2日公司发布回购计划，拟回购A股7-14亿元、B股3-6亿元，回购用途为减少公司注册资本。我们预计长安汽车正处于智能化转型的关键期，十五五期间公司将围绕AI、软件、三电、造型等关键领域引入超1万名核心人才和400余名行业顶尖专家，并重点布局智能驾驶、AI座舱和下一代电池技术，公司战略与行业发展趋势契合。目前公司L3车型已进行上路试点通行，与宁德时代推出钠电生态解决方案，预计三季度前长安金钟罩固态电池将搭载机器人及装车验证，预计本次回购计划体现了公司对战略发展前景信心。阿维塔06T具备竞争力，2026年阿维塔全新车型值得期待。阿维塔2月销售4033辆，同比增长6.6%，环比增长29.5%，其中海外市场销量同比增长177%。2月7日阿维塔06T车型亮相，阿维塔06T是华为乾崑与阿维塔战略合作2.0全新车型，将首批搭载华为全新一代激光雷达，并全系标配分布式左右双驱技术。我们认为阿维塔06T配置较同级竞品具备竞争力，后续新款阿维塔12、全新SUV、MPV车型值得期待。预测2025-2027年归母净利润 60.55、70.86、82.90亿元，可比公司26年平均PE估值21倍，目标价14.91元，维持买入评级。风险提示长安自主品牌销量低于预期、长安合资品牌销量低于预期、行业价格战影响盈利。,,东方证券,买入,[None],2026-03-08,,买入,8490659,pdf_downloads/2026/2026-03-08/000625-长安汽车（000625）：拟回购股份彰显发展信心，智驾新品及出口加快发展.pdf,000625,长安汽车,长安汽车（000625）：拟回购股份彰显发展信心，智驾新品及出口加快发展
"刘斌,贾国琛",大额回购有望增强投资者信心。本次回购用于减少注册资本，资金来源为自有资金，回购方式为集合竞价，回购价格上限不高于董事会审议通过前30个交易日均价的150%，期限为审核通过后12个月以内。本次回购总金额10-20亿元，其中A股7-14亿元，B股为3-6亿元，回购金额较大，充分显示了公司对长期发展的信心和对股东回报的重视。2025年长安汽车销量表现稳健。全年合计销量达291.3万辆，同比增长8.5%，创9年新高。其中新能源汽车销量110.9万辆，同比增长51.1%，新能源业务成为增长核心。公司未来发展目标明确，2026年全年销量目标330万辆，同比增长13.3%。其中新能源汽车140万辆，同比增长26.2%。计划到2028年实现中国品牌累计销量4000万辆、2030年年产销目标500万辆，其中新能源占比60%，海外占比35%。未来三年将投放43款新品，覆盖140余个国家和地区，为销量持续增长提供支撑。海外市场方面，2025年海外销量63.7万辆，同比增长18.9%，2026年海外销量目标为75万辆，同比增长17.7%，有望成为新的增长引擎。拟定增持续提升新能源汽车市场竞争力。2026年1月，公司公告拟定增不超过60亿元，其中新能源车型及数智平台开发项目拟投入45亿元，该项目包含多款新能源车型开发及数智平台开发。全球研发中心建设及核心能力提升项目拟投入15亿万元，主要用于全球研发中心（二期）建设及新汽车试验验证能力提升，以增强研发实力与智能化测试能力。2025年12月，公司获得首批L3级自动驾驶产品准入许可，并取得中国首块L3级专用正式号牌。项目实施有助于持续推进新能源“香格里拉”计划、智能化“北斗天枢”计划，提升在新能源汽车市场的竞争实力。公司将加速推动具身智能人形机器人、飞行汽车等新兴产业的布局和产业化落地。力争在2028年实现人形机器人量产、2030年推出商用航线飞行汽车。公司围绕核心场景，以“1+N+X”战略布局智能汽车机器人技术及业务。其中“大脑”依托长安智能驾驶技术积累，与头部科技企业联合搭建强大算力设施、研发大模型；“小脑”与行业头部及中小型企业合作，集成核心技术，实现自主可控。投资建议短期，随着公司高竞争力新品的持续推出，公司销量有望保持稳健增长。中长期，随着海外市场布局不断深入，同时叠加机器人、飞行汽车等新兴产业落地，公司有望打造新的增长引擎。我们预计公司2025-2027年营收分别为1652.25、1765.69、2006.72亿元；归母净利润分别为56.42亿元、65.15亿元、80.73亿元，EPS分别为0.57、0.66、0.81元，对应2026年2月11日PE分别为20、17、14倍，首次覆盖，给予“增持-A”评级。风险提示行业竞争加剧风险：汽车行业竞争持续加剧，行业价格战可能对公司产品定价和毛利率构成持续压力。技术迭代风险：汽车行业正经历“电动化、智能化”的快速技术变革。若技术路线发生重大变化或竞争对手实现突破性创新，公司现有技术优势可能被削弱。宏观经济周期波动的风险：汽车行业与宏观经济景气度高度相关。若宏观经济环境发生波动，公司可能面临销量下滑等经营困境。回购事项尚存在不确定性相关风险。,,山西证券,增持-A,[None],2026-02-13,,增持,8423377,pdf_downloads/2026/2026-02-13/000625-长安汽车（000625）：销量增长目标明确，大额回购彰显长期发展信心.pdf,000625,长安汽车,长安汽车（000625）：销量增长目标明确，大额回购彰显长期发展信心
"刘一鸣,张觉尹,潘若婵","本报告导读：2026 年 2 月 4 日，长安汽车发布公告，宣布计划以 10-20亿元自有资金回购公司股
份。考虑到公司电动化、智能化战略稳步推进，我们维持“增持”评级。投资要点：维持“增持”评级。考虑到公司电动化、智能化战略稳步推进，我们预计公司2025/26/27 EPS分别为0.56/0.79/1.01元。参考可比公司，我们给予公司2026年17倍PE，对应目标价13.47元。维持“增持”评级。事件：2026年2月4日，长安汽车发布公告，宣布计划以10-20亿元自有资金回购公司股份。此次回购中，A股回购金额不低于7亿元且不超过14亿元，B股回购金额不低于3亿元且不超过6亿元；此次回购股份将全部用于减少公司注册资本。我们认为，此次回购体现了公司对自身长期战略布局与内在价值的坚定信心。2025年新能源汽车销量强劲增长，2026年总体销量目标330万辆。2025年，公司累计实现销量291.3万辆，同比+8.5%，其中新能源汽车销量达110.9万辆，同比+51.1%；新能源渗透率为38.1%，同比+11.7pct。公司计划在2026年进一步强化新能源产品布局，2026年总体销量目标330万辆，同比+13.3%；其中，新能源140万辆，同比+26.2%；海外75万辆，同比+17.7%。长安汽车发布钠电战略，首发量产钠电车型。2026年2月5日，长安汽车举行“天枢智能新安全成果发布暨钠电战略全球发布会”，正式发布钠离子电池发展战略，并首发首款搭载钠离子电池的量产乘用车。车辆所搭载的钠离子电池由宁德时代提供，采用其第三代CTP成组技术，系统能量密度最高达175Wh/kg，纯电续航里程超过400公里。公司表示，阿维塔、深蓝、启源、引力等多个品牌未来将陆续推出钠电车型。长安汽车在高阶智驾与机器人领域持续推进产业化布局。2025年12月，长安汽车获得首块L3级自动驾驶专用正式号牌，标志公司已具备面向市场规模化运营L3级智能驾驶产品的合规资质，也奠定了公司在高阶智能驾驶商业化落地中的领先地位。在前瞻布局方面，公司于2025年底公告拟出资2.25亿元设立“长安天枢智能机器人科技有限公司”，注册资本4.5亿元。公司将以“1+N+X”模式切入人形、车载及服务型机器人赛道，开启汽车+机器人双向赋能的全新发展阶段。风险提示。原材料成本大幅上涨；新车销量不及预期。",,国泰海通,增持,[None],2026-02-08,,买入,8404289,pdf_downloads/2026/2026-02-08/000625-长安汽车（000625）：公告点评：电动智能化稳步推进，计划回购强信心.pdf,000625,长安汽车,长安汽车（000625）：公告点评：电动智能化稳步推进，计划回购强信心
崔琰,"事件概述： 公司发布股份回购计划：拟以自有资金通过深交所集中竞价交易方式，回购公司A股、B股普通股股票，计划回购资金总额不低于10亿元且不超过20亿元，其中A股7-14亿元、B股3-6亿元；回购价格上限不高于董事会审议回购方案前30个交易日公司股票交易均价的150%，回购股份将用于减少公司注册资本，实施期限自股东会审议通过最终方案之日起不超过12个月。回购彰显发展底气，财务稳健赋能股东权益。本次回购筹划是公司基于对自身战略发展前景及内在价值的坚定信心作出的决策，充分彰显管理层对企业长期经营发展的底气。本次回购资金来源为公司自有资金，截至2025年三季度末，公司现金及现金等价物余额高达544亿元，充足的货币资金为回购计划落地提供了坚实的财务支撑。从回购影响来看，本次股份将用于减少公司注册资本，增厚每股收益与净资产收益率，切实提升全体股东的持股价值与投资回报，进一步引导市场重新认知公司在智能电动化赛道的真实价值。技术生态双驱，筑牢核心竞争力。深蓝斩获首批L3级自动驾驶专用正式号牌，实现智驾技术从测试到合规商用的关键突破，旗下S09完成鸿蒙座舱OTA优化，后续还将推出搭载3纳米车规级芯片+激光雷达的L06智能轿跑，筑牢技术壁垒；阿维塔2026款07升级华为乾崑ADS 4与鸿蒙座舱，联合英国之宝优化座舱声学系统，高端智能产品竞争力持续提升。同时公司深化产业生态合作，与美的聚焦“人・车・家”，落地‘车控家’核心功能，与宁德时代深化五年合作探索换电、飞行汽车等前沿领域，跨界协同为技术落地与产品创新赋能。三大品牌全面出海，全球化布局成效显著。公司精准布局动力形式以适配海内外市场差异，深蓝推出PHEV版本有效规避欧盟关税，为海外拓展提供产品支撑。全球化布局成效显著，截止2026年1月业务覆盖全球117个国家、投放41款车型，泰国工厂已实现本地生产并出口欧洲，计划产能翻番且提升本土化率；欧洲市场规划未来三年推出8款全新车型，深蓝、阿维塔、长安三大品牌全面出海。叠加新集团成立后的资源整合协同，为公司电动化、全球化转型注入持续动力。投资建议：我们看好公司电动智能转型，叠加华为智能化赋能，预计2025-2027年收入分别为1,896/2,095/2,335亿元，归母净利润分别为63.1/81.6/109.4亿元，EPS分别为0.64/0.82/1.10元，对应2026年2月6日11.19元/股的收盘价，PE分别为18/14/10倍，维持“推荐”评级。风险提示：行业需求下滑；自主品牌销量不及预期；行业“价格战”加剧；出口销量不及预期。",,国联民生证券,推荐,[None],2026-02-07,,增持,8404162,pdf_downloads/2026/2026-02-07/000625-长安汽车（000625）：系列点评三十五：股份回购彰显发展底气，智驾与全球化驱动长期成长.pdf,000625,长安汽车,长安汽车（000625）：系列点评三十五：股份回购彰显发展底气，智驾与全球化驱动长期成长
崔琰,"事件概述： 公司发1月产销快报：集团1月批发销量为13.47万辆，同比-51.14%，环比-47.14%；自主品牌批发销量为10.01万辆，同比-58.46%，环比-51.82%；新能源汽车1月批发销量为3.66万辆，同比-45.74%，环比-68.18%。自主品牌批发销量、新能源批发销量同比下降。1月公司自主品牌批发销量100,110辆，同比-58.46%；新能源方面，1月公司新能源汽车批发销量36,621辆，同比-45.74%。车型方面，截止1月，深蓝S05累计销量超17万辆，上市以来月均销量破万；长安启源A06累计交付21460辆，刷新央企新能源中型轿车交付速度。展望2026年，集团销量目标为330万辆，新能源销量目标为140万辆，海外市场目标为75万辆，公司深蓝智能运动轿车L06、启源A06等全新产品已正式上市，加速电动化转型与海外市场拓展。核心品牌技术迭代提速，智能化竞争力持续强化。深蓝品牌拿下首批L3级自动驾驶专用正式号牌，实现自动驾驶从测试到合规商用的关键突破；旗下深蓝S09完成OTA升级优化鸿蒙座舱体验，后续还将推出搭载3纳米车规级芯片与激光雷达的L06智能轿跑，夯实智能化技术壁垒。阿维塔同步推进技术升级与全球化布局，右舵版阿维塔07发运泰国，正式进军东南亚高端市场；2026款阿维塔07搭载华为乾崑ADS 4和鸿蒙座舱，智能体验持续迭代；同时与英国之宝深化联合研发，以“移动实验室”优化座舱声学系统，推动高端智能电动车竞争力稳步提升。生态与产业合作深化，全球化布局支撑长期发展。长安汽车与美的集团签署全面战略合作协议，聚焦“人・车・家”场景，构建落地车控家等核心功能，与宁德时代深化五年战略合作探索换电、飞行汽车等前沿领域，跨界协同从技术层面迈向场景体验层面。全球化布局上，截止1月，长安足迹已深入全球117个国家，投放41款车型，勾勒出全球产业版图；其中泰国工厂已实现本地生产并出口欧洲，计划后续将产能翻番并持续提升本土化率，欧洲市场规划未来三年推出八款全新车型，深蓝品牌推出PHEV版本规避欧盟关税，阿维塔、深蓝、启源三大品牌均开启海外布局，叠加新集团成立后的资源整合协同，为公司长期电动化、全球化转型注入持续动力。投资建议：我们看好公司电动智能转型，叠加华为智能化赋能，预计2025-2027年收入分别为1,896/2,095/2,335亿元，归母净利润分别为63.1/81.6/109.4亿元，EPS分别为0.64/0.82/1.10元，对应2026年2月5日11.27元/股的收盘价，PE分别为18/14/10倍，维持“推荐”评级。风险提示：行业需求下滑；自主品牌销量不及预期；行业“价格战”加剧；出口销量不及预期。",,国联民生证券,推荐,[None],2026-02-06,,增持,8400548,pdf_downloads/2026/2026-02-06/000625-长安汽车（000625）：系列点评三十四：智能化竞争力持续强化，全球化支撑长期发展.pdf,000625,长安汽车,长安汽车（000625）：系列点评三十四：智能化竞争力持续强化，全球化支撑长期发展
吴迪,"年末总量稳中有升，结构优于表观增速。12月公司销量25.5万辆，同比+1.7%，年末行业竞争加剧下正增长，渠道与产品韧性强。结构上，自主品牌销量20.8万辆，同比+4.5%；新能源车销量11.5万辆，同比+26.0%，为核心增量来源；产量端12月产量25.7万辆，同比-19.0%，产销差扩大，公司年末控产去库存，有利于2026年渠道健康度修复。2025年新能源车与全球化双主线，销量目标完成率97%。2025年公司销量目标300万辆，完成291.3万辆，同比+8.5%，连续6年同比正增长，25Q3单车ASP约9.0万元。12月，公司拟募集不超60亿元投入新能源与数智化平台及全球研发能力建设，加速战略转型。1）新能源车：年销111.0万辆，同比+51.1%，结构弹性显著高于总量，渗透率38.1%；2）海外市场：年销63.7万辆，同比+18.9%，占比升至21.9%，为第二增长曲线；3）品牌结构：阿维塔均价27万元以上，全系搭载华为ADS4，年销超12万辆，连续10个月破万，全国超700家门店，地级市覆盖率达82%；深蓝汽车年销33.3万辆，同比+36.6%，覆盖全球近100个国家和地区，并获国内首张L3级正式牌照；长安汽车V标品牌年销91.9万辆；长安启源年销41.1万辆，同比+42.6%；长安凯程年销26.1万辆，同比+17.8%。2026年销量目标330万辆，同比+13.3%。2026年新能源车目标140万辆，同比+26.2%，海外目标75万辆，同比+17.7%。1）产品矩阵持续上探：阿维塔2026年将推出首款百万级六座车和两款新车；2030年前推出17款车，覆盖轿车、SUV、MPV。2030年，公司整车产销目标500万辆，新能源车占比超60%，海外占比超30%。未来五年，全球推出50余款新能源车，含7款以上30万元级车。未来十年，新车领域投入超2000亿元，新增超1万人科技创新团队；2）海外产能落地加速：泰国工厂已投产，年产能46万辆；巴西、埃及等产能逐步释放；五大区域+本地化制造推动出海升级；3）新兴产业布局：公司规划2026年发布首款载人飞行汽车、实现固态电池装车验证；2027年全固态电池逐步量产；2028年飞行汽车量产交付、人形机器人量产下线；2030年商业化运营飞行汽车。投资建议：预计2025-2027年公司归母净利润为46.6/73.2/86.7亿元，对应PE为25.6/16.3/13.8倍。考虑公司通过三大战略计划系统性推进电动智能化及全球化，且前瞻布局机器人及飞行汽车业务，维持""买入""评级。风险提示：新车型销量不及预期，新兴业务发展不确定性，海外市场风险。",,爱建证券,买入,[None],2026-01-07,,买入,8314672,pdf_downloads/2026/2026-01-07/000625-长安汽车（000625）：品牌向上+海外放量助力2026年销量增长.pdf,000625,长安汽车,长安汽车（000625）：品牌向上+海外放量助力2026年销量增长
吴迪,投资建议：预计2025-2027年公司归母净利润为46.6/73.2/86.7亿元，对应PE为24.6/15.6/13.2倍。考虑公司通过三大战略计划系统性推进电动智能化及全球化，且前瞻布局机器人及飞行汽车业务，首次覆盖，给予“买入”评级。行业与公司情况：当前汽车行业整体温和增长，自主品牌凭借电动智能化先发优势，市场份额持续提升，对合资品牌形成挤压。公司于2025年晋升为第三家汽车央企，正加速向智能低碳出行科技公司转型：1）产品端构建了覆盖主流、科技、高端市场的启源、深蓝、阿维塔三大新能源品牌矩阵；2）技术端通过“香格里拉”计划突破三电领域关键技术以打造新能源车专用平台。通过“北斗天枢”计划推动智驾、座舱及算力与架构等智能化关键方案落地；3）市场端通过“海南百川”计划进行全球化拓展。公司力争2030年实现产销500万辆规模。有别于大众的认识：1）重组价值：公司已重组为独立的央企集团，新体制将整合资源、加强协同、提升决策效率，带来管理改善和战略执行力加强的长期隐性价值；2）新品周期：新能源品牌或凭借新车型周期，实现销量的快速增长，盈利能力改善速度或超预期；3）新兴业务：公司与华为在智驾、座舱领域深度合作，并前瞻布局人形机器人和飞行汽车。其智能化布局的深度与广度将强化“科技公司”属性，可能带来估值体系的拓展。关键假设点：1）收入增长：2025-2027年公司总营收同比增速约为5.2%、8.1%、11.9%，其中整车收入增速约为5.0%、8.0%、12.0%；2）毛利率提升：新能源品牌销量规模提升带来盈利改善，2025-2027年综合毛利率约为14.2%、14.8%、15.4%。催化剂：1）启源、深蓝、阿维塔的新车型上市订单与交付表现持续超预期；2）公司获得L3级有条件自动驾驶准入公告，逐步建立智能化领先优势；3）26Q1首款车载组件机器人正式发布，及后续人形机器人原型机亮相，验证公司在具身智能赛道的技术和商业化能力。风险提示：1）新车型销量不及预期风险：新推新能源车型市场接受度低、订单转化不及预期将直接影响收入和利润增长；2）新兴业务发展不确定性风险：机器人、飞行汽车等前瞻布局面临技术研发、商业化落地、法规审批等多重挑战，未来能否成功转化为业绩增长点存在不确定性；3）海外市场风险：贸易壁垒、汇率波动、本地化运营挑战等不确定性可能影响公司全球化的进展。,,爱建证券,买入,[None],2025-12-17,,买入,8243061,pdf_downloads/2025/2025-12-17/000625-长安汽车（000625）：首次覆盖：新央企向智能低碳出行科技公司转型.pdf,000625,长安汽车,长安汽车（000625）：首次覆盖：新央企向智能低碳出行科技公司转型
"姜雪晴,袁俊轩",核心观点长安汽车11月销量增速处于行业平均水平。长安汽车11月整体销量28.42万辆，同比增长2.5%，环比增长2.1%；1-11月累计整体销量265.82万辆，同比增长9.3%。据乘联会初步统计，11月1-30日国内乘用车批发销量同比增长2%，环比增长2%，公司11月销量同环比增速处于行业平均水平。长安新能源销量再创新高。11月长安自主品牌销量24.36万辆，同比增长5.8%，环比增长2.8%；1-11月累计销量226.04万辆，同比增长11.5%。11月长安汽车海外销量6.12万辆，环比增长6.8%；长安新能源汽车销量12.62万辆，同比增长23.3%，环比增长5.9%，新能源销量再创新高；1-11月长安新能源汽车累计销量99.49万辆，同比增长54.7%。长安启源11月销售4.69万辆，同比增长31%，环比增长26%，其中重点车型启源Q07销售9126辆。11月9日启源A06上市，上市首月订单突破3万辆；11月21日启源全新Q05上市，上市10日订单超1.3万辆；11月18日深蓝L06上市，随着新车上市，预计销量规模有望继续扩大。成立子公司布局机器人赛道。11月29日公司公告计划成立长安天枢智能机器人科技有限公司，长安汽车将以“1+N+X”战略布局智能汽车机器人技术和业务，其中“1”为人形机器人主线，牵引整个机器人板块；“N”为多种机器人业务形态，包括车载组件机器人、智能出行生态机器人、特种服务机器人等；“X”代表公司将发挥链主效应，整合机器人行业零部件、软件服务、运营等上下游。预计2026年一季度长安汽车将发布首款车载组件机器人，机器人原型机也将于2026年推出，后续持续迭代升级。此次成立机器人子公司标志着公司正式进军机器人赛道，未来有望开启汽车+机器人互相赋能发展新阶段。阿维塔销量稳步增长，开启港股IPO进程。阿维塔11月销售1.41万辆，同比增长21.4%，环比增长4.1%。11月27日阿维塔提交港股上市说明书，募资将用于：1）开发新产品并对已有车型进行更新换代；2）研发AEEA智能平台及辅助驾驶、智能座舱、太行底盘等核心技术；3）加强品牌建设及国内外渠道拓展。阿维塔承担着长安汽车品牌向上使命，本次港股IPO有助于阿维塔深化与产业链伙伴合作、借助国际资本力量加速扩展海外市场以及提升长安汽车财务稳健性。预测2025-2027年归母净利润 60.55、70.86、82.91亿元，维持可比公司25年平均PE估值23倍，目标价14.03元，维持买入评级。风险提示长安自主品牌销量低于预期、长安合资品牌销量低于预期、行业价格战影响盈利。,,东方证券,买入,[None],2025-12-10,,买入,8230238,pdf_downloads/2025/2025-12-10/000625-长安汽车（000625）：新能源车销量同环比增长，成立子公司布局机器人赛道.pdf,000625,长安汽车,长安汽车（000625）：新能源车销量同环比增长，成立子公司布局机器人赛道
"崔琰,完颜尚文","事件概述：公司发布11月产销快报：集团11月批发销量为28.4万辆，同比+2.5%，环比+2.1%；1-11月累计批发265.8万辆，同比+9.3%；自主品牌11月批发销量为24.4万辆，同比+5.8%，环比+2.8%；1-11月累计批发226.0万辆，同比+11.5%。分品牌看，11月深蓝销量3.3万辆，同比-8.2%，环比-10.1%，1-11月累计30.2万辆，同比+45.6%；阿维塔14,057辆，同比+21.4%，环比+4.1%，1-11月累计11.8万辆，同比+99.8%。自主品牌销量、新能源销量同比增长。11月公司自主品牌批发销量24.4万辆，同比+5.8%，环比+2.8%。新能源方面，11月公司新能源汽车批发销量为12.6万辆，同比+23.3%，环比+5.9%；1-11月累计批发99.5万辆，同比+54.7%。其中11月深蓝销量3.3万辆，同比-8.2%，环比-10.1%；阿维塔14,057辆，同比+21.4%，环比+4.1%。展望2025年，集团销量目标为300万辆，新能源销量目标为100 万辆，后续公司深蓝智能运动轿车L06、启源A06（中型家用轿车）、启源B216（纯电动小型SUV）等全新产品将逐步上量，保证燃油基盘的同时加速电动化转型。阿维塔、深蓝发力 新能源转型加速。2025年10月30日，深蓝汽车正式拉开旗下中型纯电轿跑L06的预售帷幕。此次共推出4款车型，预售价区间锁定 13.99-16.19万元，并计划于四季度内正式上市。同时公司规划加速深蓝全球化布局，投放更多全球化产品，2025全球年销目标为50万台（国内40万台，海外10万台）。阿维塔2026年将有基于全新SDA 2.0 模块化架构打造的SUV和MPV投放市场，加速新能源转型。投资设立机器人公司 构建“1+N+X”战略框架。11月29日，公司董事会审议通过了《关于投资设立机器人公司的议案》，拟以自有资金出资2.25亿元，参与设立长安天枢智能机器人科技有限公司，标志着公司正式切入具身智能与机器人赛道。公司以“1+N+X”战略为核心框架推进机器人业务：“1”指以人形机器人为主线，覆盖全尺寸（工业制造）、中型（门店服务）及小型（家庭场景）等多形态产品；“N”涵盖车载组件机器人、智能出行生态机器人、特种服务机器人等多元业务形态；“X”则强调发挥汽车产业链链主优势，整合上下游硬件、软件及服务生态，构建从技术研发到商业落地的闭环体系。投资建议：我们看好公司电动智能转型，叠加华为智能化赋能，预计2025-2027年收入分别为1,896/2,095/2,335亿元，归母净利润分别为62.9/83.3/105.1亿元，EPS分别为0.63/0.84/1.06元，对应2025年12月4日11.72元/股的收盘价，PE分别为18/14/11倍，维持“推荐”评级。风险提示：行业需求下滑；自主品牌销量不及预期；出口销量不及预期。",,国联民生证券,推荐,[None],2025-12-04,,增持,8215017,pdf_downloads/2025/2025-12-04/000625-长安汽车（000625）：系列点评三十三：具身智能发力，汽车+机器人双向赋能.pdf,000625,长安汽车,长安汽车（000625）：系列点评三十三：具身智能发力，汽车+机器人双向赋能
"刘梦麟,吴镇杰","事件：长安汽车发布2025年三季报。三季度公司营收稳步增长，利润端呈现稳步修复态势。前三季度公司实现营业收入1,149.3亿元，同比增长3.6%。归母净利润30.6亿元，同比下降14.7%；扣非归母净利润20.2亿元，同比增长20.1%。单看2025年三季度，本期实现营业收入422.4亿元，同比增长23.4%，归母净利润7.6亿元，同比增长2.1%，扣非归母净利润5.4亿元，同比增长5.8%，利润端呈现稳步修复态势。毛利方面，报告期内毛利率维持在15.7%，与上年同期基本持平；净利率0.8%，同比略降0.5pct，反映终端竞争及推广投入阶段性压力。费用端，25年第三季度综合期间费用率为13.5%，同比增长1.6个百分点，其中销售/管理/研发/财务费用率分别为7.1%/2.5%/4.2%/-0.3%，同比分别变动+2.3/-0.7/-0.4/+0.3个百分点，主要系新品推广及渠道建设带动销售费用率上升。自主新能源持续高增，海外表现延续强势。2025年三季度，公司整体销量达到71.1万辆，同比增长24.5%、环比增长9.3%。自主新能源板块延续高景气，其中深蓝、启源、阿维塔继续放量，三季度销量分别约9.0万辆、5.5万辆、2.9万辆，同比分别增长77.4%、164.4%和250.8%，品牌渗透力逐步提升。海外市场延续快速扩张趋势，三季度出口销量约16.6万辆，同比增长96.3%、环比增长18.6%，海外业务已成为公司第二增长曲线，贡献度持续提升。央企重组落地，技术创新方面持续加大投入。2025年7月，中国长安汽车集团有限公司在重庆正式挂牌，整合长安汽车、辰致集团等核心资产与业务单元，共计117家分子公司纳入新架构体系。此次组织升级明确了“打造具备全球竞争力、掌握自主关键技术的世界级汽车集团”的战略定位，进一步强化管理效率与资源统筹能力。在创新业务方向上，公司布局前沿科技赛道，规划2028年人形机器人量产，2030年实现在飞行汽车领域商业化应用，并与京东集团达成合作，拓展数字营销、交付服务与后市场能力，持续提升用户运营效率与生态覆盖深度。投资建议：预计公司2025-2027年归母净利润分别为61.67/79.63/108.55亿元，对应PE分别为19.76/15.30/11.22倍，给予“买入”评级。风险提示：汽车行业竞争加剧风险、行业需求不及预期风险、新项目量产不及预期的风险、客户开拓不及预期等。",,东莞证券,买入,[None],2025-11-05,,增持,7462661,pdf_downloads/2025/2025-11-05/000625-长安汽车（000625）：2025 年三季报点评：公司利润稳步修复，自主新能源持续高增.pdf,000625,长安汽车,长安汽车（000625）：2025 年三季报点评：公司利润稳步修复，自主新能源持续高增
