author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"陶贻功,梁悠南,马敏","事件:公司发布2025年三季报。25Q13实现营收37.07亿元，同比+26,78%;实现归母净利润8,05亿元(扣非8,15亿元),同比-12,029扣非同比-3,0696);日母净利润接近公司业绩预告区间(7.02-9,11亿元)中枢水平。由此计算2503公司实现营收13,74亿元，同比+22.7296;实现日母净利润1.87亿元(扣非1.97亿元)，同比-58,50%(扣非同比-47.58%)。归母净利润和扣非归母净利润之间的差异主要系24Q3公司产生资产处置益所致。电价下行、成本增加、股比稀释多重因素压制业绩。电量端:得益于装机增长，25Q3公司实现发电量58.55亿kwh，同比+86.5%;其中风电19.84亿kwh，同比+9,996:光伏37.67亿kwh，同比+188,9%。电价:我们以营业收入/上网电量近似，2503为0,241元/kwh，同比-34,3%，预计主要受新增项目上网电价较低影响。成本耀:新增项目陆续转固(25Q1、Q2、Q3末公司固定资产分别为240,12、309,06、415.50亿元)带来折旧成本和财务费用增加;25Q3，公司度电营业成本为0,132元/kwh，同比-2,129，降幅运低于电价端，导致毛利率同比-18.4pct至43.8%;与此同时，财务费用同比+74,49至2.14亿元。在此基础上，随着尼勒克、屯等新疆项目陆续转入正式运行号限到公司对其持股比例仅有519，因此，股比稀释对公司归母净利润增速亦形成一定压制，25Q3公司少数股东损益占比同比+30,4pct至46.0%装机增长叠加国补回款提速助力现金流大增。25Q1-3，公司经营活动产生的现金流量净额为40.58亿元，同比+221,72%;这一方面得益于公司装机规模的增长，即新增项目均为平价项目，回款情况较好;另一方面，2025年78月,公司收回新能源补贴款16.06亿元，1-8月累计收回补贴款16.67亿元占2024年全年收回可再生能源补贴资金的21196新疆136号文竞价结果较为机，有望托底项目收。截至25H1末，公司在新疆地区的在运装机为1340万千瓦，占总装机的比侧高达67%。根据国网新疆电力公司发布的《关于公示存量新能源项目清单的通知)，公司24年以来在新疆投产的约13,1GW光伏项目(者4GW、克拉玛0.2GW、奎屯1GW、尼动克3GW、达板城0,5GW、米东3.5GW、康0.9GW)，机制电量比例5096、机制电价为0,262元/kwh，整体保障力度较强。增量项目方面，截至25H1末，公司位于新疆的在建项目装机为1030万午瓦(其中风电880万千瓦、光伏150万千瓦)，占整体在建装机的83%。根据国网新能源云发布的党价结果，新疆增量新能源项目首次党价结果为光伏0,235元/kwh、风电0,252元/kwh，较煤基准价(0,25元/kwh)分别折价6%、价1，明显优于目前已经发布党价结果的山东、甘肃等地;机制电量占比不同项目存在差异，但整体控制在50%，与存量平价项目较好接。基于此，我们认为政端有望对公司在新疆的存量、增量项目农益形成一定托底，保障公司盈利基本盘。投资建议:考虑已投产项目转因节奏、持股比例稀释，我们调整公司25-27年盈利预制分别至9,95、11.05、13.30亿元，对应PE18,46x、16.63x、13.82x维持推荐评级。",,银河证券,推荐,[None],2025-10-28,,买入,6915327,pdf_downloads/2025/2025-10-28/000537-中绿电（000537）：国补回款提速助力现金流大增，多重因素压制业绩.pdf,000537,中绿电,中绿电（000537）：国补回款提速助力现金流大增，多重因素压制业绩
"王玮嘉,黄波,李雅琳,胡知",2025年10月26日│中国内地 发电 中绿电发布三季报：Q3实现营收13.74亿元（yoy+23%，qoq+5%），归母净利1.87亿元（yoy-59%，qoq-49%），扣非净利1.97亿元（yoy-48%，qoq-46%）。9M25实现营收37.07亿元（yoy+27%），归母净利8.05亿元（yoy-12%），扣非净利8.15亿元（yoy-3%），归母净利符合公司业绩预告（7.02~9.11亿元）。新能源指标持续增加，2025年发电量有望大幅增长。费用控制有望缓解毛利率压力，经营现金流有望大幅增长。维持“买入”评级。新能源指标持续增加，2025年发电量有望大幅增长9M25公司合计获得新能源指标3.77GW，其中风电2.0GW、光伏0.8GW、储能0.97GW。参考公司在建项目与核准项目进度，我们预计2025年底公司投运装机有望达到22.0GW，2025-27年新增风电和光伏装机合计3.6/6.0/6.0GW。9M25/3Q25公司风电发电量yoy+12%/+10%、主要受到风资源变化的影响，光伏发电量yoy+289%/+189%、得益于装机规模的大幅增长。我们预计2025-27年发电量yoy+79%/+41%/+36%。费用控制有望缓解毛利率压力，经营现金流有望大幅增长9M25公司扣非归母净利yoy-3%，其中毛利率52.2%、同比-7.1pp、新商运项目带来折旧大幅上升，管理/财务费用率yoy-1.58/+0.96pp，公司费用控制良好；考虑到毛利率下滑，我们预计2025年扣非归母净利或同比下降。9M25公司经营活动现金流净额yoy+222%，得益于绿电补贴回款和子公司经营性往来净额同比增加，9月末应收账款为56.0亿元、较年初减少6.5亿元。随着公司新投产的平价项目快速增加，我们预计公司2025年经营活动现金流净额有望同比扩大。下调盈利预测，下调目标价至10.71元/股我们下调公司25-27年归母净利润（-28%/-18%/-17%）至9.46/12.57/15.16亿元（三年复合增速为15%），对应BPS 9.74/10.16/10.64元。下调主要考虑到新增光伏与风电项目电价较低、收入贡献少于此前预期，折旧同比大幅增长。Wind一致预期可比公司25年PB均值1.88x，公司2025-27年归母利润CAGR高于行业均值（8.7%）、但2025年ROE（4.8%）低于行业均值（10.2%），给予公司2025年1.1xPB、相当于23xPE，目标价10.71元（前值11.20元基于2025年1.13xPB）。风险提示：绿电行业竞争加剧；弃风限电风险；补贴拖欠恶化。,,华泰证券,买入,[None],2025-10-27,,买入,6832199,pdf_downloads/2025/2025-10-27/000537-中绿电（000537）：毛利率承压，经营现金流同比大增.pdf,000537,中绿电,中绿电（000537）：毛利率承压，经营现金流同比大增
"陶贻功,梁悠南,马敏",中绿电(000537)事件：公司发布2025年半年报。25H1实现营收23.33亿元，同比+29.30%；实现归母净利6.18亿元（扣非6.18亿元），同比+33.06%（扣非同比+32.99%）;落在业绩预告（5.59~7.56亿元）中枢偏下位置。由此计算25Q2实现营收13.08亿元，同比+37.87%；实现归母净利3.64亿元（扣非3.64亿元），同比+22.23%（扣非同比+22.23%）。公司拟每10股派发现金股利0.45元（含税），占25H1归母净利润的15%。公司同时公告拟用自有资金按不高于13.31元/股的价格回购股份并注销，回购金额0.62~0.93亿元。新增装机驱动电量高增。25H1，公司实现发电量92.99亿kwh，同比+101.50%；其中Q2为52.45亿kwh，同比+104.24%。分电源来看，25H1风电发电量40.86亿kwh，同比+13.69%；其中Q2为21.93亿kwh，同比+16.09%；光伏发电量51.48亿kwh，同比+422.11%；其中Q2为30.38亿kwh，同比+358.22%。公司25H1电量大增主要系24年新增装机规模较大（风电、光伏分别为9.9、1273.6万千瓦），主要位于新疆地区。截至25H1末，公司累计装机为1992.55万千瓦，其中风电393.6万千瓦，光伏1578.95万千瓦，储能&amp;光热20万千瓦；对应25H1新增装机0、137.4、10万千瓦。新增项目&amp;市场化交易占比提升拉低综合上网电价。我们以营业收入/上网电量模拟公司的综合上网电价，25H1为0.258元/kwh，同比-36.01%；其中Q2为0.256元/kwh，同比-32.62%。我们认为一方面受新增并网项目电价较低影响，另一方面受市场化交易占比提升影响，25H1，公司市场化电量占比达到72.14%，同比+12.60pct。并网项目陆续转固带来折旧、财务费用增加。公司并网新能源项目（尤其新疆项目）需经历转商、转固两个重要时间节点，从而影响季度间的成本费用确认。2024、25Q1、25H1末，公司固定资产分别为241.50、240.12、309.06亿元，固定资产的增加直接带来公司折旧成本的增加，以及利息支出的费用化。25H1，公司发生营业成本10.03亿元，同比+30.28%；其中Q2为5.18亿元，同比+36.41%；发生财务费用2.69亿元，同比+16.88%；其中Q2为1.45亿元，同比+55.35%。新疆136号文较西北其他省份更为友好，有望在一定程度上托底公司项目收益。截至25H1末，公司在新疆地区的在运装机为1340万千瓦，占总装机的比例高达67%。新疆136号文实施细则已发布，明确对于存量项目，补贴和平价项目的机制电量比例分别为30%、50%，机制电价分别为0.25、0.262元/kwh。公司在新疆的新能源项目多为平价项目，我们认为政策将对收益预期产生一定的托底作用。对于增量项目，新疆明确机制电量比例为50%，优于宁夏（10%）、蒙西（暂不安排）等其他西北省份/地区，机制电价竞价区间为0.15-0.262元/kwh。考虑到截至25H1末，公司位于新疆的在建项目装机占到整体在建装机的83%，我们认为有望受益于新疆相对友好的新能源政策。在建&amp;储备项目以风电为主，看好新能源全面市场化下风电的盈利优势。我们统计自2022年7月以来，公司在新疆地区已累计获取1080万千瓦风电、2140万千瓦光伏项目。24年以来，公司在新疆地区已投运光伏项目约1300万千瓦，未来发展重心有望转向风电。截至25H1末，公司在建项目1236万千瓦，其中风电940万，光伏280万千瓦，储能&amp;光热16万千瓦。在136号文推动新能源全面入市的背景下，风电由于日内出力曲线较光伏更为均匀，有望实现更优的综合上网电价，构筑盈利壁垒。投资建议：预计公司2025-2027年将分别实现归母净利润13.10、14.26、17.71亿元，对应PE14.04x、12.90x、10.38x，维持推荐评级。风险提示：新项目建设进度&amp;投产节奏不及预期的风险；电价下行风险等,,银河证券,推荐,[None],2025-09-01,,买入,6376864,pdf_downloads/2025/2025-09-01/000537-中绿电（000537）：2025年半年报点评：25Q2录得良好增长，中期分红&回购加码市值管理.pdf,000537,中绿电,中绿电（000537）：2025年半年报点评：25Q2录得良好增长，中期分红&回购加码市值管理
"王玮嘉,黄波,李雅琳,胡知",2025年8月29日│中国内地 发电 中绿电发布半年报，1H25实现营收23.33亿元（yoy+29%），归母净利6.18亿元（yoy+33%），扣非净利6.18亿元（yoy+33%），归母净利符合业绩预告区间（5.59~7.56亿元）。其中Q2实现营收13.08亿元（yoy+38%，qoq+27%），归母净利3.64亿元（yoy+22%，qoq+43%）。新能源发电装机规模扩张，2025年发电量有望大幅增长；费用控制卓有成效，经营利润与现金流有望回升。公司拟派发中期DPS 0.045元。维持“买入”评级。新能源发电装机规模扩张，2025年发电量有望大幅增长截至2025年6月末公司控股投运装机规模19.93GW，其中陆上风电3.54GW、海上风电0.4GW、光伏发电15.79GW；在建装机规模12.36GW，其中风电9.4GW、光伏发电2.8GW、储能和光热0.16GW。参考公司在建项目与核准项目进度，我们预计2025年底公司投运装机有望达到22.5GW，2025-27年新增风电和光伏装机合计4.15/6.0/6.0GW。1H25/2Q25公司风电发电量yoy+14%/+16%、主要受到风资源变化的影响，光伏发电量yoy+422%/+358%、得益于装机规模的大幅增长。我们预计2025-27年发电量yoy+178%/+30%/+27%。费用控制卓有成效，经营利润与现金流有望回升1H25公司扣非归母净利yoy+33%，其中毛利率57%、同比持平、新投产项目保持较好的盈利水平，管理/财务费用率yoy-1.80/-1.22pp，公司费用控制良好，我们预计2025年扣非归母净利有望同比增长。1H25公司经营活动现金流yoy+123%，得益于绿电补贴回款和子公司经营性往来净额同比增加，6月末应收绿电补贴余额为69.59亿元、较年初增加7.2亿元。随着公司新投产的平价项目快速增加，我们预计公司2025年经营活动现金流有望同比扩大。小幅下调盈利预测，下调目标价至11.20元/股我们下调公司2025-27年归母净利-4.7%/-4.9%/-3.2%至13.06/15.38/17.59亿元，预测期三年CAGR为20%，对应BPS 9.91/10.40/10.94元。下调主要考虑到新增光伏与风电项目电价较低、收入贡献少于此前预期。Wind一致预期可比公司25年PB均值1.79x，公司2025-27年归母利润CAGR高于行业均值（9.5%）、但2025年ROE（6.5%）低于行业均值（10.3%），给予公司2025年1.13xPB、相当于18xPE，目标价11.20元（前值11.53元基于2025年1.16xPB）。风险提示：绿电行业竞争加剧；弃风限电风险；补贴拖欠恶化。,,华泰证券,买入,[None],2025-08-31,,买入,6370612,pdf_downloads/2025/2025-08-31/000537-中绿电（000537）：新装机发力，净利与现金流同比大增.pdf,000537,中绿电,中绿电（000537）：新装机发力，净利与现金流同比大增
袁凤婷,中国绿发集团旗下能源平台，地产业务转型绿电开发：公司2021年实施资产置换由地产业务转型绿电开发，现为中国绿发集团旗下绿色能源业务唯一上市平台，发电资产主要集中在新疆、青海等西北地区，2024年末在运装机容量1845万千瓦，风电、光伏分别占比21%、79%。充分发挥股东协同优势，积极布局基地绿电项目：股东中国绿发集团业务覆盖绿电、地产、文旅及新兴产业四大产业，公司充分发挥产业协同优势，通过“绿色能源+高端文旅”模式拓展项目资源，2023、2024年先后获取13GW、10.3GW两批新疆大基地项目。大基地项目集中开工，资产周转率短期拖累ROE：公司2023年、2024年ROE分别为5.48%、5.49%，低于同业平均，主要受较低资产周转率拖累。3Q2023起公司步入项目开工建设高峰期，截至2025年一季度末在建工程占资产总额比例46.20%，远超同业水平，故资产周转率远低于同业平均。随在建项目陆续投产，公司资产周转率有望回升，驱动ROE逐步修复。基地项目具备成本优势，政策加速电价平稳过渡：受原材料下跌、技术进步、市场竞争等多重因素影响，风光项目建造成本近年来显著下降，叠加西北大基地项目规模优势，公司新建项目具备成本优势，在西北地区电价承压情况下仍能坚持7%的资本金内部收益率。全国多地136号文陆续落地，预计政策将平稳衔接现有机制，稳定电价预期以保障绿电运营商合理收益。投资建议：“绿色能源+高端文旅”协同优势助力公司优质风光资源获取，在建装机业绩有待释放。我们预计公司2025-2027年实现营业收入77.80/93.31/112.79亿元，归母净利润13.49/14.70/19.99亿元。对应PE分别为12.64/11.60/8.53倍，首次覆盖，给予“增持”评级。风险提示：市场电价下行风险；风光消纳不足风险；电费补贴拖欠风险,,财通证券,增持,[None],2025-06-30,,增持,6534333,pdf_downloads/2025/2025-06-30/000537-中绿电（000537）：中国绿发集团旗下平台，在建项目业绩有待释放.pdf,000537,中绿电,中绿电（000537）：中国绿发集团旗下平台，在建项目业绩有待释放
"陶贻功,梁悠南,马敏",中绿电(000537) 事件：公司发布2024年年报&amp;2025年一季报。2024年实现营收38.40亿元，同比+4.05%，实现归母净利10.09亿元（扣非9.03亿元），同比+9.68%（扣非同比-1.59%）。归母净利和扣非归母净利之间的差异主要来自固定资产处置收益。25Q1公司实现营收10.26亿元，同比+19.81%，实现归母净利2.54亿元（扣非2.54亿元），同比+52.18%（扣非同比+52.22%）。2024年，公司拟每10股派发现金红利2元（含税），现金分红占2024年度归属于上市公司股东净利润的比例为40.98%，较2023年提升4.52pct，以2025年5月9日股价为基础测算公司股息率为2.33%。 2024年减值、投资收益对公司的负向影响与固定资产处置收益形成对冲。2024年，公司发生信用减值损失1.17亿元，同比+0.28亿元；资产减值损失0.17亿元，同比+0.17亿元。同时，公司年内实现投资收益-0.11亿元，同比-0.40亿元，主要系参股的崇礼建投华实、赤峰新胜等公司盈利同比下滑。但考虑到2024年公司出售固定资产产生资产处置收益约0.79亿元，同比+0.78亿元，预计主业以外的其他因素对公司业绩的影响基本可互相抵消。 25Q1费用管控、投资收益转正、信用减值缩减助推公司盈利能力提升。25Q1，公司实现毛利率52.8%，同比-1.7pct。但得益于期间费用的压降，尤其是财务费用同比下降0.13亿元，同时投资收益同比+0.20亿元，信用减值损失同比减少约0.10亿元，助力公司25Q1净利润率同比提升9.1pct至34.0%。 新增装机驱动公司发电量大幅增长。2024年，公司完成发电量108.73亿千瓦时，同比增加19.93%。其中，风电完成发电量70.49亿千瓦时，同比下降9.00%，预计主要系风资源偏弱及限电增加所致；光伏完成发电量36.98亿千瓦时，同比增加200.90%，主要得益于装机容量的增长。2024年，公司装机容量增加1283.5万千瓦至1845.15万千瓦；其中风电增加9.9万千瓦至393.6万千瓦；光伏增加1273.6万千瓦至1441.55万千瓦。公司新增光伏装机主要布局新疆地区，年内达坂城（50万千瓦）、米东（350万千瓦）、尼勒克一期（200万千瓦）、奎屯（100万千瓦）、尼勒克二期（100万千瓦）、若羌（400万千瓦）项目均已实现并网。25Q1，公司实现发电量40.54亿千瓦时，同比增长98.05%。其中，风电完成发电量18.93亿千瓦时，同比增长11.03%；光伏完成发电量21.10亿千瓦时，同比增长553.25%。 新疆项目电价较低，拉低公司整体上网电价水平。2024年，公司平均上网电价为0.413元/kwh，同比下降0.054元/kwh或11.59%，预计一方面受存量项目市场化交易电价下降影响，另一方面受新增新疆光伏项目上网电价较低拖累。我们测算25Q1公司综合上网电价为0.253元/kwh，同比下降0.165元/kwh或39.51%。 在手项目储备丰富，以量补价驱动业绩增长。公司在新疆地区竞争优势显著，2024年以来已陆续获得1830万千瓦新能源资源，其中风电1000万千瓦，光伏830万千瓦。随着公司在新疆获得的首批1300万千瓦新能源项目（其中光伏1200万千瓦已全部并网）实现并网，未来公司在项目开发上将更侧重风电，有望受益于风电相对较好的盈利水平。根据公司发展规划，预计2025年新增建设指标超1000万千瓦，年末在运装机规模超2250万千瓦，建设运营装机容量超3000万千瓦。考虑到公司24年新增的光伏项目将于25年内陆续转商贡献增量电量，以量补价模式下，我们预计公司将于25年进入业绩释放期。 投资建议：预计公司2025-2027年将分别实现归母净利润13.61、14.90、17.77亿元，对应PE13.04x、11.91x、9.99x，维持推荐评级。风险提示：新项目建设进度&amp;投产节奏不及预期的风险；电价下行风险等。,,银河证券,推荐,[None],2025-05-11,,买入,6048629,pdf_downloads/2025/2025-05-11/000537-中绿电（000537）：2024年年报&2025年一季报点评：25Q1业绩高增，新疆项目进入盈利释放期.pdf,000537,中绿电,中绿电（000537）：2024年年报&2025年一季报点评：25Q1业绩高增，新疆项目进入盈利释放期
"王玮嘉,黄波,李雅琳,胡知",中绿电公布业绩：2024年实现营收38.4亿元（yoy+4%），归母净利10.09亿元（yoy+9.7%），扣非归母净利9.03亿元（yoy-1.6%），归母净利和业绩快报一致；1Q25实现营收10.26亿元（yoy+20%），归母净利2.54亿元（yoy+52%），归母净利符合业绩预告（2.25~2.92亿元）。公司2024年拟派息4.13亿元、DPS 0.2元、派息率41%。新能源发电装机规模扩张，2025年发电量有望大幅增长；费用控制卓有成效，经营利润与现金流有望回升。维持“买入”评级。新能源发电装机规模扩张，2025年发电量有望大幅增长截至2024年底公司控股投运装机规模18.45GW，其中陆上风电3.54GW、海上风电0.4GW、光伏发电14.41GW；在建装机规模2.83GW，其中风电0.8GW、光伏发电1.77GW；核准装机规模17.56GW。参考公司在建项目与核准项目进度，我们预计2025年底公司投运装机有望达到22.5GW，2025-27年新增风电和光伏装机合计4.15/6.0/6.0GW。2024/1Q25公司风电发电量yoy-9%/+11%、主要受到风资源变化的影响，光伏发电量yoy+201%/+553%、得益于装机规模的大幅增长。我们预计2025-27年发电量yoy+178%/+30%/+27%。费用控制卓有成效，经营利润与现金流有望回升扣除资产处置等非经常性收益影响，2024年公司扣非归母净利yoy-1.6%，其中管理/财务费用率yoy-1.26/-0.86pp，对冲信用减值损失上升的影响。公司费用控制良好，我们预计2025年扣非归母净利有望同比增长。2024年公司经营活动现金流yoy-29%，主要受到绿电补贴回款放缓影响，应收绿电补贴余额2024年末为62.38亿元、yoy+8.0亿元。随着公司新投产的平价项目快速增加，我们预计公司2025年经营活动现金流有望同比扩大。小幅调整盈利预测，目标价11.53元/股考虑到新增装机和资金成本的变化，我们将公司2025-26年归母净利小幅调整-0.05%/-1.9%至13.70/16.17亿元，预计2027年为18.17亿元，预测期三年CAGR为22%，对应BPS 9.94/10.45/11.01元。Wind一致预期可比公司25年PB均值1.84x，公司2025-27年归母利润CAGR高于行业均值（7%）、但2025年ROE（6.8%）低于行业均值（10.4%），给予公司2025年1.16xPB、相当于17xPE，目标价11.53元（前值11.58元基于2025年1.16xPB）。风险提示：绿电行业竞争加剧；弃风限电风险；补贴拖欠恶化。,,华泰证券,买入,[None],2025-05-05,,买入,6038463,pdf_downloads/2025/2025-05-05/000537-中绿电（000537）：费用控制优化，盈利现金流有望双升.pdf,000537,中绿电,中绿电（000537）：费用控制优化，盈利现金流有望双升
"邓永康,黎静",24年业绩稳健增长，在建规模充足事件：2025年4月29日，公司公告2024年年报及2025年一季报，2024年新增项目实现并网投运，发电量同比增加，2024年营收38.4亿元，同比增加4.05%；归母净利润10.09亿元，同比增加9.68%；扣非归母净利润9.03亿元，同比下降1.59%，主要系部分固定资产处置导致非经常性损益同比增加。单季度来看，24Q4公司收入9.16亿元，同比增加6.37%，环比下降18.16%；归母净利润0.93亿元，同比下降16.6%；扣非归母净利润0.63亿元，同比下降43.34%。2025Q1实现收入10.26亿元，同比增加19.81%；归母净利润2.54亿元，同比增加52.18%；扣非归母净利润2.54亿元，同比增加52.22%。24年新增投产装机12.84GW，发电量迅速提升。2024年新投产机组的装机规模达12.84GW，包括新疆尼勒克300万光伏、新疆阜康42万光伏、新疆米东350万千瓦光伏、若羌400万千瓦光伏、奎屯100万光伏、鲁能液态压缩空气储能配套光伏25万光伏等。发电量及发电收入稳步提升，2024年完成发电量108.73亿千瓦时，同比增加19.93%；实现上网电量105.64亿千瓦时，同比增长20.10%，其中，参与电力市场交易的电量为74.10亿千瓦时，占上网电量的70.15%。2025Q1累计发电量40.54亿千瓦时，同比+98.05%。其中，风电18.93亿千瓦时，同比+11.03%；光伏21.10亿千瓦时，同比+553.25%。背靠集团形成产业协同效应，新疆在手指标充足+扩充全国其他区域布局。截至2025Q1公司建设运营装机规模为3063.55万千瓦。其中，在运规模1934.55万千瓦，在建规模1129万千瓦。公司扎根西北地区，全国各地多点开花，2024年西北地区实现收入21.96亿元，同比增长10.34%；东北地区实现收入2.56亿元，同比增长7.97%。公司依托中国绿发协同优势，2024年在新疆区域获取新能源建设指标1630万千瓦。截至25Q1，公司在新疆累计获取新能源指标已达3130万千瓦，其中风电1080万千瓦，在福建、贵州、安徽、吉林、山东等地累计获得新能源建设指标超120万千瓦。限电率与电价的担忧。1）限电率，公司已经并网项目主要集中在乌鲁木齐周边，消纳压力相对较小；新疆特高压通道也在陆续投产，公司后续指标项目会依托大通道建设投产并网，消纳有一定保障。2）电价，公司所并网项目属于136号文存量项目，未来项目收益率有一定兜底，公司也正积极协商新疆电量外送交易争取高电价。投资建议：考虑到公司装机规划以及储备项目带来的增长空间，我们预计25/26/27年归母净利润13.81/15.15/18.00亿元，EPS分别为0.67/0.73/0.87元，对应4月29日收盘价PE分别为13/12/10倍，维持“谨慎推荐”评级。风险提示：风光自然条件变化；电价波动；限电率提升；补贴账期延长。,,民生证券,谨慎推荐,[None],2025-04-30,,增持,6035829,pdf_downloads/2025/2025-04-30/000537-中绿电（000537）：2024年年报及2025年一季报点评：24年业绩稳健增长，在建规模充足.pdf,000537,中绿电,中绿电（000537）：2024年年报及2025年一季报点评：24年业绩稳健增长，在建规模充足
"王玮嘉,黄波,李雅琳,胡知",我们对中绿电进行首次覆盖，给予“买入”评级，目标价11.58元，基于25年1.16xPB，隐含上升空间40%。公司作为绿电运营的后起之秀，具有区别于绿电同行的两大优势：1）新增装机弹性大，且大基地项目占比高，现金流受补贴影响小；2）中国绿发集团的产业协同优势、资金与研发助力，公司有望平稳渡过资本高投入期。新增并网机组发力、新能源全面入市背景下资产收益率可控，我们看好公司在25年实现价值重估。新能源发电装机规模高速增长，电网扩投资利好电量消纳2024年底公司控股在运绿电及储能装机规模合计18.45GW，其中陆上风电3.44GW、海上风电0.4GW、光伏发电14.51GW。参考公司在建项目与核准项目进度，我们预计2025年底公司有望实现在运风电和光伏装机分别为6.1/20.2GW，24-26年新增风电和光伏装机合计12.83/8.0/9.0GW。电网“疆电外送”特高压第三/四通道有望于2025年开始陆续投产，届时新疆的新能源电量外送能力有望提升至33GW以上，利好公司在疆大基地项目消纳。集团产业协同优势，资金与研发投入帮助公司渡过高投入期公司是中国绿发集团旗下唯一新能源开发运营主体，拥有独特的“旅游+新能源基地”开发模式，截至2024年底公司累计获取新疆大基地项目建设指标30.3GW。大股东以定增注资、收购非核心资产和参股大基地项目等方式提供现金流支持，同时以自有资金投入战略性新兴产业研发：自同步电压源友好并网技术落地、液态空气储能系统和大型光伏中压直流发电系统列入国家能源领域首台（套）重大技术设备名单。我们与市场观点不同之处1）市场担心新能源发电项目收益率明显下降，公司新项目IRR仍坚守7%的底线，叠加集团在储能、变压等技术上的研发，公司盈利能力有望保持稳定；2）市场担心新能源发电消纳问题难以改善，特高压建设加速与公司控股股东协同优势，公司电站消纳问题相对存在优势；3）市场担心现金流限制后续装机高增长，补贴回款和集团现金流支持有望缓解公司的资金压力。首次覆盖予以“买入”评级，目标价11.58元我们预测公司24-26年归母净利润为10.07亿/13.71亿/16.48亿元，CAGR为21%，对应BPS为9.50/9.98/10.54元。Wind一致预期下可比公司25年PB均值1.88x，公司24-26年归母利润CAGR（21%）高于行业均值（10%）、但25年ROE（6.8%）低于行业均值（11%），给予公司25年1.16xPB、相当于17xPE，目标价11.58元。风险提示：绿电行业竞争加剧；弃风限电风险；补贴拖欠恶化。,,华泰证券,买入,[None],2025-03-06,,买入,5940163,pdf_downloads/2025/2025-03-06/000537-中绿电（000537）：绿电运营新势力，大基地+集团协同开启高增长.pdf,000537,中绿电,中绿电（000537）：绿电运营新势力，大基地+集团协同开启高增长
"陶贻功,梁悠南,马敏",中绿电(000537) 事件：公司发布2024年三季报，2024Q1-3实现营收29.24亿元，同比+3.35%，实现归母净利9.16亿元（扣非8.41亿元），同比+13.31%（扣非同比+4.13%）。24Q3单季度实现营收11.19亿元，同比+22.78%，实现归母净利4.51亿元（扣非3.76亿元），同比+77.98%（扣非同比+48.22%）。24Q3，公司非经常性损益为0.75亿元，去年同期为-0.01，主要系完成固定资产挂牌转让，获得资产处置收益所致。 新疆光伏项目陆续转商驱动24Q3发电量增长。24Q3，公司完成发电量31.40亿千瓦时，同比上升39.68%。其中，风电完成发电量18.06亿千瓦时，同比下降4.65%，降幅较24H1有所收窄，主要系风资源出现边际好转；光伏完成发电量13.04亿千瓦时，同比大增293.96%，主要系公司24H1投产的新疆达坂城50万千瓦光伏项目、新疆米东350万千瓦光伏项目于24Q3陆续转商，贡献增量电量。 上网电价同比仍下降，但成本费用管控良好。我们以营业收入/发电量粗略计算公司上网电价，24Q3公司新能源综合上网电价为0.356元/千瓦时，同比下降12%，新能源电价压力仍存。成本端，24Q3公司度电营业成本为0.135元/千瓦时，同比下降26%，或主要系新项目转商后下月才开始计提折旧，从而带动毛利率同比提升7.24pct至62.24%。费用端，24Q3公司管理费用同比减少11%至0.54亿元；财务费用同比增长7%至1.22亿元，或主要系在建项目规模较大，负债规模有所增加。此外，公司24Q3少数股东损益占比达到16%，同比提升7pct，或主要受新项目持股比例低于存量项目影响。 在建项目&amp;资源获取进展顺利，支撑十四五末3000万千瓦装机目标达成。截至2024年6月末，公司在运装机规模为1200.65万千瓦，建设运营总装机规模2118.65万千瓦。2024年9月30日，公司奎屯100万千瓦光伏项目具备并网条件；若羌400万千瓦光伏项目Ⅰ标段施工建成，具备并网条件，预计12月全容量并网；在建项目按计划推进助力公司实现24年末超2000万千瓦在运装机目标。而在资源获取方面，2024Q1-3，公司成功获得新疆1030万千瓦、山东牟平5万千瓦、吉林大安9.9万千瓦、贵州都匀10万千瓦新能源项目，合计1054.9万千瓦，为公司十四五末3000万千瓦建设运营装机目标的实现奠定坚实基础。 投资建议：预计公司2024-2026年将分别实现归母净利润10.45、14.51、19.74亿元，对应PE 18.35x、13.21x、9.71x，维持推荐评级。 风险提示：新项日建设进度&amp;投产节奏不及预期的风险；电价下行风险等,,银河证券,推荐,[None],2024-10-31,,买入,5809386,pdf_downloads/2024/2024-10-31/000537-中绿电（000537）：2024年三季报点评：新项目转商贡献业绩增量，在建项目进展顺利.pdf,000537,中绿电,中绿电（000537）：2024年三季报点评：新项目转商贡献业绩增量，在建项目进展顺利
