author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
杜冲,报告摘要成长性：煤炭产能迈向3亿吨/年，煤化工项目有序落地。1）煤炭：在产产能稳步增长，2026年有望突破3亿吨/年：①西北矿业并表，新增在产核定产能3605万吨/年。兖矿能源于2025年第三季度完成对西北矿业的并表，增加公司煤炭在产核定产能3605万吨/年（+14.31%），对应在产权益产能1346万吨/年（+8.85%）；②新建矿井投产与产能核增递接成长。公司通过新建矿井投产（五彩湾煤矿一期2025年中投产，2026年有望增加400-600万吨产量；油房壕煤矿预计2027年投产，核定产能500万吨/年）与产能核增（刘园子煤矿2025年完成核增90万吨/年；五彩湾煤矿二期力争2026年完成核增1300万吨/年产能）双重途径提升煤炭产量，2026-2027年项目推进后有望合计贡献新增在产核定产能1800万吨/年（+6.25%）、权益产能759万吨/年（+4.59%），届时公司煤炭在产核定产能将达30589万吨/年、权益产能17307万吨/年。2）煤化工：项目建设稳步推进，产品结构持续丰富。子公司荣信化工80万吨烯烃项目预计于2026年投产，而鲁南化工6万吨聚甲醛项目预计于2026年底具备投料试车条件。上述项目投产后，不完全统计下公司煤化工合计核定产能约920万吨/年（+10.31%），权益产能约854万吨/年（+11.20%）。盈利弹性：利润高弹性凸显，煤价上行有望大幅增厚业绩。1）煤炭：稀缺销售结构催生显著利润弹性。兖矿能源现货煤炭销售占比较高（长协煤约占26%、市场煤约占74%），煤炭业务经营表现对现货价格变化的敏感度较高。同时，区别于一般动力煤企业，公司具备生产优质炼焦配煤的能力（2024年总产量达3119万吨），具备更高的盈利增长潜力。基于我们对公司自产煤业务的盈利敏感性测算，假设2026年市场煤价中枢较2025年分别上涨0%/15%/30%而长协煤（动力煤+焦煤）价格保持不变，保守预计公司煤炭业务归母净利润将达到100.2/171.0/229.3亿元。2）煤化工：多品类战略，盈利弹性较大。在煤炭价格有望上行，煤化工产品价格中枢亦有望同步上行。公司依托“煤化一体”与多品类经营优势，具备较强盈利弹性：假设2026年煤化工产品综合售价同比分别上涨0%/4%/9%，预计公司煤化工业务归母净利润将达到17.0/22.1/27.4亿元。盈利预测、估值及投资评级：考虑“反内卷”政策持续强化与全球能源价格整体走强，煤炭价格有望重新进入上行通道，我们调整盈利预测，预计兖矿能源2025-2027年实现营业收入分别为1336.20/1627.31/1734.21亿元，增速分别为-4%/22%/7%；归母净利润分别为101.00/221.29/230.13亿元（原预测值为101.00/104.03/113.39亿元），增速分别为-30%/119%/4%，对应PE分别为20.2X/9.2X/8.8X。基于公司煤炭业务产量增长空间较大、盈利弹性显著，以及煤化工高端化有望带来提质增效，我们认为公司未来业绩成长性和弹性均可期，维持“买入”评级。风险提示：煤矿产能释放受限、煤炭价格大幅下跌、煤化工产品在建产能释放受阻、煤化工产品价格出现较大波动、数据测算风险及研报使用的信息数据更新不及时的风险。,,中泰证券,买入,[None],2026-03-10,,买入,8498406,pdf_downloads/2026/2026-03-10/600188-兖矿能源（600188）：有成长，有弹性，上调盈利预测.pdf,600188,兖矿能源,兖矿能源（600188）：有成长，有弹性，上调盈利预测
"高升,李春驰,李睿",事件：2026年2月25日晚，兖矿能源的海外核心子公司兖煤澳大利亚（3668.HK）发布2025年业绩。2025年，公司实现营业收入59.49亿澳元，同比下降14%；实现归母净利润4.40亿澳元，同比下降64%。点评：2025年国际煤炭价格回落，公司业绩承压。2025年，公司煤炭综合平均售价为146澳元/吨，同比下降17%；其中动力煤销售均价136澳元/吨，同比下降15%；冶金煤销售均价203澳元/吨，同比下降26%。2026年以来，受益于煤炭供给端收缩，海外煤炭价格已呈现回升态势，API5指数由年初的70.8美元/吨上涨至2月26日的86.1美元/吨，涨幅达22%。商品煤权益产量创历史新高，销量受港口扰动影响略低于产量。2025年，公司实现商品煤权益产量3860万吨，同比增加5%，创历史新高，处于公司产量指引区间的上沿。全年实现商品煤销量3810万吨，同比增加1%；其中动力煤销量为3200万吨，同比下降1%；冶金煤销量为610万吨，同比增加17%。由于5月份新南威尔士州的极端强降雨事件对纽卡斯尔港造成严重干扰，导致港口船舶排队，影响了部分销量，全年销量小幅低于产量。现金成本同比稳中有降，保持在指引区间中段。2025年，公司实现现金经营成本92澳元/吨，同比下降1澳元/吨。该成本水平处于公司成本指引区间的中段。成本下降主要得益于商品煤产量的增加和生产率的提高，但部分被持续的通胀压力和因港口拥堵导致的滞期费增加所抵消。在手现金充裕，维持高比例分红回馈股东。截至2025年底，公司拥有现金21亿澳元，处于净现金状态。公司宣派2025年末期股息0.1220澳元/股，结合已派发的中期股息0.0620澳元/股，2025年全年累计派息0.1840澳元/股，总额2.43亿澳元，全年股息支付率约为55%。2026年公司产量和成本指引区间小幅上升，2026年有望实现净利润5.4亿澳元，为兖矿能源带来盈利贡献约16.38亿元。展望2026年，公司权益商品煤产量指引为3650-4050万吨，现金经营成本指引为90-98澳元/吨，资本开支指引为7.5-9.0亿澳元，整体经营目标保持稳健。我们预计，2026年公司商品煤产量有望实现在指引区间上沿；现金成本较2025年保持稳态；煤价方面，受益于煤炭供给端收缩，2026年煤炭中枢价格有望较2025年实现抬升。综上，我们预计兖煤澳洲2026年有望实现净利润5.4亿澳元，对应兖矿能源62.26%的持股比例，有望带来盈利贡献约3.36亿澳元（约合16.38亿元人民币）。盈利预测及评级：我们持续看好拥有海外优质煤炭资产，且具备持续成长能力和高成长空间的能源化工龙头兖矿能源，我们对兖矿能源2025-2027年归母净利润的预测分别为95/132/133亿元，维持“买入”评级。风险因素：国内外能源政策变化带来短期影响；国内外宏观经济超预期,,信达证券,买入,[None],2026-02-27,,买入,8457022,pdf_downloads/2026/2026-02-27/600188-兖矿能源（600188）：量增本降显韧性，价涨利增看弹性.pdf,600188,兖矿能源,兖矿能源（600188）：量增本降显韧性，价涨利增看弹性
"胡博,程俊杰",印尼矿商暂停出口受减产影响，引发贸易格局重塑。2026年2月3日起，印尼矿商纷纷通过减产以及暂停新增出口等动作应对，其中矿商普遍仅继续履行已签订的长期协议，部分矿商甚至在考虑以不可抗力为由取消部分长协订单。印尼是全球最大的动力煤出口国，2025年出口量占全球动力煤出口总量的50%，其中70%出口至中国、印度、日本、韩国等亚洲经济体。2025年中国进口煤中，印尼煤占动力煤进口26.58%、占褐煤进口88.86%。预计本次暂停现货出口直接导致全球动力煤现货市场供给缺口扩大，利好国际煤价上涨。兖矿能源深耕澳洲，煤价变动有望增厚利润。兖矿澳洲是兖矿能源海外重要布局，产煤以高热值动力煤和优质半软焦煤为主，根据兖煤澳大利亚有限公司经营数据显现，2025年四季度商品煤产量1040万吨，同比增长7%；全年产量3860万吨，同比增长5%。四季度商品煤销量1080万吨，同比增长4%；全年销量3810万吨，同比增长1%。四季度平均实现价格148澳元/吨，同比下降16%；全年平均实现价格为146澳元/吨，同比下降17%。根据我们测算，煤炭价格增长预计增厚兖矿能源归母净利润。投资建议预计公司2025-2027年EPS分别为1\1.2\1.4元，对应公司2月5日收盘价15.44元，2025-2027年动态PE分别为15.5\12.9\11.1倍，继续给予“买入-A”投资评级。风险提示宏观经济增速不及预期风险；煤炭价格超预期下行风险；安生产生风险；新建项目投产不及预期、海外煤炭价格持续下行风险等。,,山西证券,买入-A,[None],2026-02-06,,买入,8401178,pdf_downloads/2026/2026-02-06/600188-兖矿能源（600188）：印尼煤出口暂停催化海外煤价，公司海外业务有望受益.pdf,600188,兖矿能源,兖矿能源（600188）：印尼煤出口暂停催化海外煤价，公司海外业务有望受益
杜冲,备注：股价截止自2026年01月30日收盘价，每股指标按照最新股本数全面摊薄报告摘要兖矿能源于2月1日发布《关于挂牌转让全资子公司100%股权的公告》，拟通过山东产权交易中心公开挂牌方式，转让全资子公司鑫泰煤炭100%股权。本次股权挂牌起止时间为2025年12月30日至2026年1月27日，挂牌底价为6.70亿元。挂牌期满后，意向受让方超过两名，依据产权交易规则于2026年1月30日组织网络竞价，系统显示最高报价达30.50亿元，最终成交结果尚待产权交易中心出具结果通知并完成相关协议签署。标的情况：长期托管经营的120万吨/年煤矿，评估净资产价值6.24亿元。鑫泰煤炭核心资产为文玉煤矿，核定产能120万吨/年。该矿井长期由山东宏河控股集团有限公司（下称“宏河集团”）实施托管经营（2019年10月7日，鑫泰煤炭与宏河集团签订《煤矿经营托管合同》，将文玉煤矿委托给宏河集团生产经营，托管期限为2019年10月7日至2025年10月6日），由宏河集团负责组织人员从事生产以及与井下生产密切相关事项的管理和开采活动。以2025年6月30日为审计及评估基准日，鑫泰煤炭资产总额2.10亿元，负债总额1.22亿元，对应净资产0.88亿元。以经审计的财务数据为基础，采用收益法对鑫泰煤炭股东全部权益价值进行评估，评估净资产价值为6.24亿元，较账面净资产增值607.66%。上述评估结果已按规定履行相关备案程序。交易影响：释放边缘资产价值，提升整体经营稳健性。若本次股权转让最终以竞价结果完成交割，预计将为公司带来正向的处置收益。以鑫泰煤炭账面净资产与收益法评估净资产价值及市场化竞价价格对比，本次交易有望显著释放标的资产的隐含价值，或对公司2026年归母净利润形成正向贡献。鑫泰煤炭体量相对较小，且长期处于托管经营模式，对公司主业协同度有限。我们认为本次交易完成后，公司资产结构将进一步向核心矿区集中，有助于提升整体资产质量和资本配置效率。此外，在托管期限即将届满的背景下，若继续持有标的资产，未来可能面临自主开发建设所需的新增资本开支及管理投入。本次交易通过市场化方式提前出清相关资产，有助于降低潜在再投入风险和经营不确定性，提升公司整体经营稳健性。盈利预测、估值及投资评级：预计公司2025-2027年实现营业收入1305.01/1323.04/1370.59亿元，增速分别为-6%/1%/4%；归母净利润分别为101.00/104.03/113.39亿元，增速分别为-30%/3%/9%，对应PE分别为14.5X/14.1X/13.0X，维持“买入”评级。风险提示：交易推进及最终成交不确定性风险、煤炭价格大幅下跌、政策及监管变化风险、数据测算风险及研报使用的信息数据更新不及时的风险。,,中泰证券,买入,[None],2026-02-02,,买入,8381996,pdf_downloads/2026/2026-02-02/600188-兖矿能源（600188）：释放边缘资产价值，优化经营增厚业绩.pdf,600188,兖矿能源,兖矿能源（600188）：释放边缘资产价值，优化经营增厚业绩
"刘孟峦,胡瑞阳",报告摘要从煤矿走来，优质龙头煤企稳步前行。兖矿能源成立于1997年，1998年分别在香港、纽约、上海三地上市，2012年控股子公司兖煤澳洲在澳大利亚证券交易所上市，2024年收购德国沙尔夫公司后成为六地上市平台。公司从地方煤炭企业起家，通过持续收并购实现产业链的横向拓宽、纵向延伸，2004年还收购澳大利亚南田煤矿，开启境外收购的先河。目前已形成以“矿业、高端化工新材料、高端装备制造、智慧物流、新能源”为五大主导产业的特大型国际化能源集团。其中，毛利占比最大两个业务是煤炭和煤化工，2024年分别为84%、11%。公司煤炭资源丰富、分布广，产能增长空间大。公司煤矿主要分布在山东、陕西、内蒙古、新疆、澳大利亚等地；产品涵盖动力煤、喷吹煤和焦煤等。截至2024年底，JORC标准下，公司煤炭原地资源量464.3亿吨，可采储量60.05亿吨。当前公司在产、在建及规划矿井合计产能达3.2亿吨/年，预计将如期实现“原煤3亿吨”目标，包括：1.2025年商品煤产量将首次突破1.8亿吨，对应原煤产量约2.2亿吨；2.2026年至2030年，煤炭产能增量总计约7000万吨，主要来自：（1）陕蒙区域新建矿井产能3500万吨/年，主要是油房壕矿、杨家坪矿、霍林河一号矿、刘三圪旦矿及嘎鲁图矿，有望在未来五年陆续竣工；（2）新疆区域新增产能1700-1900万吨/年，五彩湾四号露天矿一期项目2026年预计增加产量400-600万吨，二期项目产能将从1000万吨/年提升至2300万吨/年；（3）甘肃区域马福川、毛家川两座煤矿建成后新增产能1500万吨/年。（4）公司部分矿井仍有扩产潜力。公司所属煤矿煤质优良、地理位置优越。公司煤炭具备“三低三高”（低灰、低硫、低磷、高发热量、高挥发分、高灰熔点）的优良特性，在国内外煤炭市场具有良好的知名度。国内基地方面，公司地理位置优越，交运条件便利，同时紧靠经济发达但资源缺乏的长江三角洲地区，运距优势显著。澳洲基地方面，兖煤澳洲与格罗斯特合并后，同时获得纽卡斯尔港部分股权，利于煤炭运输港口运力的安排；与国际煤炭出口商相比，公司距离全球最大的煤炭消费中心日本、韩国及中国台湾地区最近，运输成本较低。煤化工业务技术领先、成长可期。公司煤化工业务主要分布在山东、陕西、内蒙古、新疆，产品主要包括甲醇、醋酸、醋酸乙酯、己内酰胺、尿素、乙二醇、石脑油、粗液体蜡等。公司煤化工相关技术行业领先，如承担科技部重大攻关项目“4000吨级煤气化示范装置”达到国际领先水平、建成国内首套百万吨级煤间接液化示范装置等，并通过先进的技术推动化工产业链向高端化、多元化延伸。2026年公司计划建成投产荣信化工80万吨烯烃及鲁南化工6万吨聚甲醛项目，聚甲醛产能跃升国内第一；并有序推进新疆能化80万吨烯烃、未来能源50万吨高温费托项目建设。其他业务多点开花。非煤矿山方面，曹四天钼矿拥有钼矿石资源量10.4亿吨，钼精矿品位47%，具备建设原矿1650万吨/年，钼精矿产量3.52万吨/年的技术条件，公司计划于2026年上半年开工建设，2028年建成；公司在加拿大拥有6个钾盐采矿权，已探明优质氯化钾资源量达17亿吨。装备制造方面，公司掌握先进的深部矿井开采、智能化综采等先进技术，2023年建成鲁西智慧制造园区，近年来通过收并购加速资源整合。运输方面，2022年成立兖矿物流整合智慧物流产业，2023年物流货运能力达到3亿吨/年，2024年并购头部物流企业物泊科技，未来公司将持续推进“产、销、储、配、送”一体化物流体系建设。盈利预测与投资建议：预计公司2025-2027年营业收入分别为1358/1457/1474亿元，归属母公司净利润106/133/134亿元，对应PE为14.3/11.3/11.2。我们看好2026年煤炭行业基本面改善、煤价中枢温和提高，而公司市场煤占比较高，弹性、成长性与高分红属性兼备，预计2026年公司股票合理估值区间在15.9-17.2元之间，相对于公司2026年1月19日收盘价有15%-24%溢价空间，首次覆盖给予“优于大市”评级。风险提示：经济增长放缓；煤炭产能大量释放；新能源对煤炭替代；煤矿安全事故影响；地缘政治风险。,,国信证券,优于大市,[None],2026-01-22,,买入,8353149,pdf_downloads/2026/2026-01-22/600188-兖矿能源（600188）：深度报告：成长与高分红兼备的优质龙头煤企.pdf,600188,兖矿能源,兖矿能源（600188）：深度报告：成长与高分红兼备的优质龙头煤企
"李淼,王涛,朱彤",持续内生外延增长，五大产业布局成长可期2025年12月11日【投资要点】公司是华东地区动力煤龙头、中国最大的煤炭出口企业之一以及我国国际化程度最高的煤炭公司。目前公司已经形成包括矿业、高端化工新材料、新能源、高端装备制造、智慧物流在内的五大产业布局。公司资产和业务分布在山东、陕蒙、新疆以及境外的澳大利亚、北美、欧洲等国家和地区，是中国唯一一家拥有上海、香港、纽约、澳大利亚、法兰克福、慕尼黑等境内外六地上市平台的特大型能源企业。煤炭业务：山东、晋陕蒙、新疆、澳洲四地布局，远期产量规划3亿吨。公司煤炭资源量行业领先，截至2024年末有境内/境外资源量383/81亿吨，25H1新收购西北矿业新增资源量64亿吨；矿井规模效益显著，产能800万吨以上矿井占比达66%。公司通过内生与外延增长、远期煤炭产量目标达到3亿吨，目前规划在建产能达4800万吨。25H1公司收购西北矿业51%股权，进一步巩固优质煤炭资源优势。煤化工业务：加快延链增值、绿色低碳转型、战略布局新疆。公司煤化工业务在做优做强鲁南化工、未来能源、荣信化工、榆林能化等4个化工园区的基础上，战略布局新疆区域，推动煤炭深加工和高效利用。鲁南化工“十五五”目标建设成为千万吨级产能的大型企业；未来能源积极推进陕北高端能源化工基地建设，不断延伸产业链条；荣信化工主导产品为甲醇和乙二醇，另外新建80万吨烯烃项目；新疆能化依托五彩湾四号矿在建80万吨烯烃项目。装备制造业务：发展高端煤机制造，国际化并购提升产业层次。公司装备制造经营主体主要为东华重工，主导产品包括支护、掘进等五大系列。2024年收购德国制造公司，努力建强做优欧洲装备制造研发平台，持续提升产业层次、创新实力和国际竞争力。智慧物流业务：发展铁运、汽运、航运、园区、平台“五位一体”的大物流格局。公司努力建设安全、绿色、优质、高效、智慧、智能“六型”现代物流企业，2024年自营及参股铁路运营里程突破4000公里，年发运能力达到7亿吨；并购头部物流企业物泊科技，通过“实体物流+平台”深度融合，打造公司物流产业的“智慧内核”，拓展大宗商品供应链新模式。新能源业务：自建+并购推动区域化、融合化发展。新能源产业推进自建和并购双轮驱动，拓展布局内蒙古、新疆等优势资源区域。有序推进荣信化工70万千瓦绿电制氢、新疆能化25万千瓦绿电制氢、山东邹城18万千瓦风电等项目。【投资建议】盈利预测与评级。我们认为，公司中长期煤炭产量有望内生增长，煤化工板块现已逐步改善，多元化多产业布局有望抵御煤价下行风险。考虑到并表西北矿业，我们预计公司25-27年归母净利分别为95/137/173亿元，对应EPS为0.95/1.37/1.72元，25年归母净利对应公司PE为14.6倍，首次覆盖，给予“增持”评级。【风险提示】煤价超预期下跌；在建项目进展不及预期；煤化工行业竞争加剧风险；大额减值计提项目。,,东方财富证券,增持,[None],2025-12-11,,增持,8233455,pdf_downloads/2025/2025-12-11/600188-兖矿能源（600188）：深度研究：持续内生外延增长，五大产业布局成长可期.pdf,600188,兖矿能源,兖矿能源（600188）：深度研究：持续内生外延增长，五大产业布局成长可期
樊金璐,产能迈向三亿吨，穿越周期启新航 ——兖矿能源深度报告投资建议兖矿能源背靠山能集团，目标成为国际一流清洁能源引领示范企业。公司经营以煤炭产销、煤化工产品的产销为主、物流运输业务以及设备制造和电力业务等为辅。陆续收购了鲁西矿业、新疆能化、西北矿业等多家集团企业。规划未来5-10年产业布局矿业、高端化工新材料、新能源、高端装备制造、智慧物流五大主导产业，建设国际一流清洁能源引领示范企业。煤炭业务深入解读：储量丰富，扩能提质煤炭资源：公司资源量超460亿吨，分布广泛，种类齐全。产能扩张：通过扩产和并购，产能稳步增长，近五年通过收购年产能增加超过8000万吨。在建及规划煤矿项目为产能增长提供动能，预计超过6000万吨/年。经营稳健：煤炭业务营收和毛利整体均呈增长趋势， 2023-2024年略有下降，仍保持在较高水平。煤炭业务毛利率维持在相对较高水平。化工业务深入解读：产能扩张，聚焦高端提档升级：坚持提档升级，产能不断扩展，在建和拟建权益年产能超160万吨。稳步增量：公司拥有多条煤化工产业链，2022-2024年化工品产量稳步上涨，2024年化工产品总产量为870.2万吨，未来力争突破900万吨。经营良好：煤炭化工营收和毛利整体呈增长趋势， 2025年前三季度营收和毛利分别为185.3亿元和48.8亿元，仍处于较高水平。化工业务毛利率整体平稳。投资价值：国际布局优势，规划目标可期，分红稳定立足国内，深耕海外：以兖煤澳洲为核心，持续布局，减少对单一市场依赖。外延并购，在建可期：收购集团资产，在产、在建、规划矿井产能约3.2亿吨/年，预计2030年年产原煤3亿吨规划目标实现可期。历史分红稳定，回报股东：分红稳定，业绩稳健，高分红有望持续。盈利预测与估值结合公司经营情况及近期市场情况，考虑政策转向，煤炭价格触底反转。我们预测公司2025-2027年归母净利润分别为100.2、152.3、180.5亿元，同比 -30.6%、+52.1%、+18.5%。对应11月14日收盘价，PE分别为14.7、9.7、8.1倍。参考可比公司2026年平均估值（PE12.5），给予公司2026年目标价18.9元。公司立足国内，放眼全球，外延并购，在建可期，产能迈向三亿吨。正值行业周期底部反转，量价齐升，成长显著，首次覆盖给予“买入”评级。风险提示：需求不及预期、安全事故影响、销售不及预期、分红率不及预期、政策不及预期等。,,浙商证券,买入,[None],2025-11-16,,买入,7932615,pdf_downloads/2025/2025-11-16/600188-兖矿能源（600188）：深度报告：产能迈向三亿吨，穿越周期启新航.pdf,600188,兖矿能源,兖矿能源（600188）：深度报告：产能迈向三亿吨，穿越周期启新航
"黄涛,邓铖琦",维持盈利预测，上调目标价，增持评级。公司公告2025年前三季度实现营业收入1050亿元，同比-11.64%；实现归母净利润71亿元，同比-39.15%，其中Q3实现归母净利润23亿元，同比-36.60%（合并调整后）。维持公司2025~2027年EPS为1.09、1.23、1.35元。考虑到当前处于周期底部，后续煤价上涨公司业绩弹性较大，给予公司2025年略高于行业平均的16倍PE，上调目标价至17.44元，维持增持评级。量价齐升，四季度可期。1）2025年前三季度商品煤产量1.36亿吨/+6.94%，商品煤销量1.26亿吨/+2.64%，其中自产煤销量1.22万吨/+4.74%。2025Q3商品煤产量4603万吨/同比+4.92%，商品煤销量4612万吨/同比+10.77%。随着新疆五彩湾四号露天矿建成投产（一期1000万吨/年，7.1日投产）和万福煤矿的逐步达产，公司煤炭产销量进一步提高，预计全年商品煤产量突破1.8亿吨。2）2025前三季度自产煤均价503元/吨，同比下降138元/吨，自产煤吨成本319元/吨，同比下降16元/吨。公司煤炭现货销售比例较高，在煤价上行期盈利弹性较大，7月以来，市场煤价触底回升，25Q2港口均价632元/吨，Q3上涨至672元/吨，当前已上涨至770元/吨左右，四季度煤价明显上行有望显著提高公司盈利。化工业务实现较好协同增盈。2025前三季度公司甲醇、醋酸、尿素等煤化工产品合计产量735万吨，同比+11.56%，销量644万吨，同比+ 8.73%；销售收入185亿元，同比-3.16%，销售成本136亿元，同比-10.33%，受益于煤价下跌带来成本下降，煤化工业务盈利能力提升，实现毛利49亿元，同比+24.74%。资源扩张持续布局，向“3亿吨”产量目标继续迈进。公司陕蒙区域油房壕矿、霍林河一号矿、刘三圪旦矿、杨家坪矿及嘎鲁图矿将在未来五年陆续竣工，新增产能3500万吨/年；新疆区域五彩湾四号露天矿二期核增手续2026年力争完成，增加产能1000万吨；甘肃区域马福川、毛家川两座煤矿建成后新增年产能1500 万吨。目前公司在产、在建及规划矿井产能达到3.2亿吨/年，2030年前将如期实现“原煤产量3亿吨”的规划目标。风险提示：煤价下跌超预期、产量增长不及预期。,,国泰海通,增持,[None],2025-11-04,,买入,7383427,pdf_downloads/2025/2025-11-04/600188-兖矿能源（600188）：2025年三季报业绩点评：量价齐升，未来成长和弹性可期.pdf,600188,兖矿能源,兖矿能源（600188）：2025年三季报业绩点评：量价齐升，未来成长和弹性可期
"张绪成,程镱","Q3业绩环比改善明显，成长性与高分红价值凸显。维持“买入”评级公司发布2025年三季报，2025年前三季度公司实现营业收入1049.6亿元，同比-11.64%；实现归母净利润71.20亿元，同比-39.15%；实现扣非归母净利润65.19亿元，同比-41.01%。单Q3看，公司实现营业收入456.1亿元，环比+57.07%；实现归母净利润24.68亿元，环比+27.08%，实现扣非归母净利润20.89亿元，环比+22.82%；但受益于煤价企稳回升及成本管控成效，Q3业绩环比改善明显，经营指标稳中向好。我们上调盈利预测，预计2025-2027年归母净利润为109.9/135.4/157.9亿元（原值100.0/124.2/156.3亿元），同比-27.0%/+23.2%/+16.7%；对应EPS分别为1.09/1.35/1.57元；对应当前股价PE为13.5/10.9/9.4倍。公司作为国际化龙头煤企，率先制定长期发展规划，明确新能源新材料等转型方向，看好未来成长潜力。维持“买入”评级。煤炭主业Q3环比改善，煤化工、电力业务贡献稳定煤炭业务：2025年前三季度，公司商品煤产销量为1.36/1.26亿吨，同比+6.9%/+2.6%；自产煤综合售价503.33元/吨，吨煤销售成本319.29元/吨，同比下降4.7%，成本管控成效显著。单Q3看，商品煤产销量为4603/4612万吨，同比+4.9%/+10.8%；自产煤均价498元/吨，环比Q2提升12元/吨，价格企稳回升。随着西北矿业并表，公司全年商品煤产量有望历史性突破1.8亿吨。 煤化工业务：2025年前三季度，化工品产销量为735/644万吨，同比+11.6%/+8.7%；贡献毛利48.81亿元。受益于甲醇等主要产品价格坚挺及原料成本下降，化工板块协同优势凸显，前三季度贡献归母净利润11.3亿元，同比大幅增加8.9亿元。 电力业务：2025年前三季度，发/售电量为57.1/46.3亿千瓦时，贡献毛利3.81亿元。煤炭产量仍有成长性，中期分红&回购增持凸显投资价值煤炭产量仍有成长性：矿业集中力量加快在建优势重点项目推动，着力攻坚拟建重点项目关键手续办理。陕蒙区域油房壕矿、霍林河一号矿、刘三圪旦矿、杨家坪矿及嘎鲁图矿将在未来五年陆续竣工，新增产能3500 万吨/年，区域产能达到 8000 万吨以上。年产 1650 万吨的曹四天钼矿计划 2026 年上半年开工建设，2028 年建成后成为集团新的利润增长点。新疆区域五彩湾四号露天矿二期核增手续 2026年力争完成，区域产能达到 4300 万吨以上。甘肃区域马福川、毛家川两座煤矿建成后新增年产能1500 万吨，区域产能达到2200万吨以上。中期分红&回购增持：公司增加分红频次，发布2025年中期分红，每股派发现金股利人民币0.18元(含税)；择机实施回购增持，计划出资 0.5-1亿元回购A股股份,出资 1.5-4亿元回购H股股份，回购的A股股份将作为库存股，用于公司股权激励，期限3年；回购的H股股份用于减少公司注册资本。风险提示：经济恢复不及预期，煤炭价格下跌超预期，转型进展慢于预期。",,开源证券,买入,[None],2025-11-02,,买入,7270138,pdf_downloads/2025/2025-11-02/600188-兖矿能源（600188）：公司信息更新报告：Q3业绩环比改善明显，成长性与高分红价值凸显.pdf,600188,兖矿能源,兖矿能源（600188）：公司信息更新报告：Q3业绩环比改善明显，成长性与高分红价值凸显
"张津铭,刘力钰,高紫明,鲁昊,张卓然",西北矿业成功并表，关注Q4业绩弹性释放公司发布2025年三季报业绩公告。2025前三季度营业收入1049.57亿元，同比减少11.64%；归母净利润71.20亿元，同比减少39.15%。2025Q3营业收入382.59亿元，同比减少0.26%；归母净利润22.88亿元，同比减少36.60%。（西北矿业三季度并表）煤炭业务：西北矿业实现并表，Q3量价齐增盈利改善。2025Q3西北矿业商品煤产量为881万吨，同比增加167.3万吨。产销方面：扣除西北矿业后，2025Q3商品煤产量为3722万吨（同比+49.0万吨，环比+42.7万吨）；商品煤销量为3569万吨（同比+323.1万吨，环比+384.3万吨），其中兖煤澳洲（环比+245.5万吨）、公司本部（环比+106.5万吨）、内蒙古矿业（环比+71.8万吨）环比涨幅较大。利价方面：扣除西北矿业后，2025Q3自产煤价格为522元/吨（同比-20.1%，环比+1.5%），其中兖煤澳洲（环比-4.7%）、公司本部（环比-6.7%）出现环比下降，其余均为环比上涨；自产煤吨煤成本为340元/吨（同比+9.6%，环比+0.2%）；自产煤吨煤毛利为182元/吨（同比-42.6%，环比+12.0%）。化工：Q3甲醇、醋酸增量显著，盈利环比提高。产销方面：25Q3化工产品产量249.5万吨，同比+32.0万吨，环比+28.6万吨；销量214.4万吨，同比+19.2万吨，环比+11.5万吨，其中甲醇（环比+16.2万吨）、醋酸（环比+3.8万吨）、乙二醇（环比+2.5万吨）涨幅较大。利价方面：25Q3公司化工产品综售价2604元/吨，同比-18.0%，环比+1.1%；综合成本1998元/吨，同比-17.0%，环比+0.1%；综合毛利606元/吨，同比-21.1%，环比+4.6%。投资建议：考虑到公司三季报业绩符合预期，我们维持原盈利预测，预计公司2025-2027年实现归母净利润99/119/137亿元，对应PE为14.9X、12.5X、10.8X，维持“买入”评级。风险提示：下游需求不及预期；煤炭价格不及预期；煤炭产量超预期。,,国盛证券,买入,[None],2025-11-02,,买入,7246506,pdf_downloads/2025/2025-11-02/600188-兖矿能源（600188）：西北矿业成功并表，关注Q4业绩弹性释放.pdf,600188,兖矿能源,兖矿能源（600188）：西北矿业成功并表，关注Q4业绩弹性释放
