author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
李阳,"事件2025年11月26日，公司公告其全资子公司北新防水有限公司将以4.18亿元的总价，分别受让远大洪雨(唐山)防水材料有限公司和远大洪雨(宿州)建材科技有限公司各80%股权。事件点评（1）“防水翼”再添一员，补强华北份额。2019年公司通过联合重组进入防水材料业务领域，2019-2022年进入收购高峰期。本次收购在2022年即公布过收购计划、但并未履行，即拟以6.0亿元的对价收购唐山远大洪雨63.3%以及宿州远大洪雨70%股权，本次收购比例和对价有所变化，对价下调估计和防水行业较22年景气度下滑有关。完成收购后，公司预计新增沥青防水卷材/高分子防水卷材/防水涂料产能12000万平米/4000万平米/159000吨。2025H1北新防水业务收入24.9亿左右，同比增长6%左右，实现净利润1.4亿，同比增长6%，净利率约5.6%。（2）结合拟收购标的的行业影响力看、收购估值相对合理。从行业估值水平来看，东方雨虹/科顺股份pb-lf分别为1.44x/1.27x。1）公司收购远大洪雨（唐山）80%股权的对价为3.36亿元,收购估值为4.2亿元，该标的2024年实现营收/归母净利润8.2/0.8亿元，同比+11.6%/扭亏为盈，净利率约9.8%;资产端看，公司净资产4.5亿元，对应PB为0.9x。其中，货币资金为1.1亿元、应收账款余额为3.5亿元；2）公司收购远大洪雨（唐山）80%股权的对价为0.83亿元,收购估值为1.0亿元，远大洪雨（宿州），2024年实现营收/归母净利润1.99/0.02亿元，分别同比+14.9%/+40.5%；资产端看，公司净资产0.96亿元，对应PB为1.0x。其中，存货为0.37亿元。盈利预测、估值与评级基于前三季度的业绩表现，我们调整盈利预测为2025-2027年公司整体营收分别为259.92、278.84、292.15亿元，同比增速分别为1%、7%、5%，归母净利润分别为31.46、36.59、40.15亿元，同比增速分别为 14%、7%、8%，对应11月26日收盘价PE分别为13、11和10倍，维持公司“买入”评级。风险提示石膏板需求不及预期；收购存在不确定性；地产政策不及预期风险、行业竞争加剧风险、原材料价格大幅波动风险。",,国金证券,买入,[None],2025-11-27,,买入,8191588,pdf_downloads/2025/2025-11-27/000786-北新建材（000786）：拟重启远大洪雨并购，夯实防水翼.pdf,000786,北新建材,北新建材（000786）：拟重启远大洪雨并购，夯实防水翼
贾亚萌,事件：北新建材发布2025年三季报。2025年前三季度公司实现营业收入199.05亿元，同比-2.25%；归母净利润25.86亿元，同比-17.77%；扣非后归母净利润25.31亿元，同比-17.52%。其中，Q3单季实现营业收入63.47亿元，同比-6.20%，环比-13.19%；归母净利润6.57亿元，同比-29.47%，环比-39.60%；扣非后归母净利润6.39亿元，同比-29.79%，环比-40.50%。石膏板量价回落，公司毛利率下降：公司主业石膏板与房地产关联度较强，2025年1-9月，房地产开发投资同比-13.9%，房屋新开工/竣工面积同比-18.9%/-15.3%，房地产市场疲软致石膏板需求承压，公司前三季度石膏板销量微降；此外，部分企业跨行业转型进入石膏板市场，进一步加剧了石膏板行业竞争压力，石膏板价格下滑，致公司盈利能力下降，2025年前三季度公司实现销售毛利率29.53%，同比-1.12pct，其中Q3单季毛利率为27.79%，同比-2.28pct。虽当前下游需求疲软且行业竞争加剧，但公司市占率逆势提升，石膏板龙头地位稳固。费用率小幅增长，授信政策致应收账款增加：2025年前三季度公司期间费用率为14.27%，同比+0.86pct，其中销售/管理/研发/财务费用率分别为5.57%/4.48%/4.10%/0.13%，同比+0.61pct/+0.42pct/+0.01pct/-0.18pct。财务费用减少主要系公司本期带息负债下降及融资成本减少所致。2025年前三季度公司应收账款同比增长162.61%，主要系公司实施额度加账期的年度授信销售政策所致，预计随着年底回款的增加，公司应收账款规模将回落至正常水平。此外，2025年前三季度公司经营活动现金流净额为15.39亿元，同比-43.13%，减少原因主要系1）去年嘉宝莉并表影响：去年同期嘉宝莉原股东回购部分应收账款导致去年同期经营性现金流入增加，及今年1-2月因嘉宝莉实施授信政策导致经营性现金流净额为负，但去年1-2月未并表；2）今年前三季度销售收到的现金减少所致。业务布局持续推进，新产品矩阵厚增企业利润：公司持续推进“一主两翼，全球布局”战略，通过产能扩张与收并购相结合，不断扩大石膏板及“两翼”产能规模，为后续业务增长储备产能弹性；此外，公司国际产能矩阵逐步成型，今年上半年公司海外营收大幅增长，后续随着泰国、波黑等海外基地产能的释放，将贡献更多业绩增量。与此同时，公司加大市场开拓及产品升级力度，石膏板及防水业务推出国潮系列高附加值产品，涂料业务锚定高端定位，加快高端空白市场覆盖，随着公司高端新品的推广，有望提升客单值，进而厚增企业利润。投资建议：公司石膏板龙头地位稳固，虽当前下游需求疲软，但石膏板业务竞争力仍存；随着后续公司零售渠道布局完善及高端新品的推广，防水及涂料业务竞争力将增强；海外市场体量快速增加，有望贡献更多业绩，看好公司未来发展前景。预计公司25-27年归母净利润为32.36/36.65/41.87亿元，每股收益为1.90/2.16/2.46元，对应市盈率12/11/10倍。基于公司良好的发展预期，维持“推荐”评级。风险提示:下游需求不及预期的风险;原材料价格超预期的风险;公司产能释放不及预期的风险;公司业务整合不及预期的风险。,,银河证券,推荐,[None],2025-10-29,,买入,6977647,pdf_downloads/2025/2025-10-29/000786-北新建材（000786）：业绩短期承压，静待提价后盈利修复.pdf,000786,北新建材,北新建材（000786）：业绩短期承压，静待提价后盈利修复
赵军胜,北新建材发布2025年三季报，前三季度公司实现营业收入199.05亿元，同比下降2.25%；归母净利润25.86亿元，同比下降17.77%；扣非归母净利润25.31亿元，同比下降17.52%，实现基本每股收益为1.53元。点评：盈利水平下降和费用率上升，前三季度营收和利润同比下滑加大。公司2025年前三季度营业收入下滑幅度较上半年扩大1.96个百分点；归母净利润同比下滑幅度则扩大5.17个百分点，主要原因是下游地产行业持续低迷，影响公司行业需求，影响公司营业收入和盈利水平。前三季度公司综合毛利率为29.53%，同比下降1.12个百分点；销售净利润率为13.34%，同比下降2.36个百分点；扣非后ROE为9.64%，同比下降3.01个百分点。盈利水平的下降叠加期间费用率的提升，导致归母净利润同比降幅大于营业收入的同比降幅。2025年前三季度公司销售费用率为5.57%，同比提高0.61个百分点；管理费用率为4.48%，同比提高0.42个百分点。优化债务和产品结构，积极发展海外夯实发展基础。在行业持续低迷的环境下，公司降低有息负债率和负债利率。2025年三季度末公司有息负债/全部投入资本为0.80%，同比大幅下降8.51个百分点。同时，公司降低银行短期借款和长期借款，更多通过发行短期融资券的方式进行债务优化置换，发行短期融资券一期和二期各10亿元，每期利率分别为1.78%和1.66%。2025年前三季度公司财务费用率为0.13%，同比下降0.18个百分点，债务得到优化。公司为了产品结构优化，在前三季度加大石膏纤维板的投资，积极推进年产2000万平方米石膏纤维板项目。同时，积极布局海外，在泰国和波黑积极建设石膏板生产线，进一步优化产品结构和推进海外发展。公司作为行业龙头，在行业环境持续低迷的环境下具备很强的防风险能力，能够保证公司保持稳健运营。公司通过不断地优化，为未来发展蓄力。一旦供需发生改善，公司将受益最大，业绩更有弹性。公司盈利预测及投资评级：我们预计公司2025-2027年归母净利润分别为32.78、36.10和41.41亿元，对应EPS分别为1.93、2.12和2.44元。当前股价对应2025-2027年PE值分别为12.15、11.03和9.62倍。考虑到公司抗风险能力，能够在行业较差的环境下不断优化自身，夯实发展基础，维持公司“强烈推荐”评级。风险提示：行业景气度低迷持续性超出预期。,,东兴证券,强烈推荐,[None],2025-10-29,,买入,6969305,pdf_downloads/2025/2025-10-29/000786-北新建材（000786）：优化夯实发展基础.pdf,000786,北新建材,北新建材（000786）：优化夯实发展基础
笪文钊,事件：公司发布2025年三季报，2025年前三季度实现营业总收入199.05亿元，同比-2.25%，实现归母净利润25.86亿元，同比-17.77%；2025年单三季度实现营业总收入63.47亿元，同比-6.20%，实现归母净利润6.57亿元，同比-29.47%，业绩阶段承压。一体两翼，全球化布局。1）业务布局方面：公司持续巩固石膏板业务，推进高端化产品布局，发力县乡、家装、零售等增量市场；加速拓展防水业务，聚焦修缮、旧改、家装零售领域，强化渠道建设；加快推进涂料业务，夯实航空航天领域优势地位，聚焦风电叶片、工业防腐、高端装备机械细分市场，应用领域持续扩宽。2）海外布局方面：围绕非洲、东南亚、中亚、欧洲和环地中海等几个区域市场布局已初步形成，将采取由点到面的方式，以现有海外生产基地为基础向周边市场延伸；以石膏板优势业务先行，辅以防水、涂料多元化产品线，推动全球化布局，海外业务规模稳步提升。毛利率下降，盈利能力承压。2025年前三季度：受下游需求疲弱影响，毛利率同比下降1.12个百分点、销售费用率同比增加0.61个百分点、管理费用率同比增加0.42个百分点、财务费用率同比下降0.18个百分点，综合费用率同比增加0.86个百分点，综上影响，销售净利率同比降2.23个百分点至13.34%，盈利能力阶段承压。业务布局多元化，综合势能突出。公司坚持“一体两翼，全球布局”战略，内生外延拓规模，持续推进全国化布局。1）拓品类，满足多元需求：拓展“石膏板+”新品类，推出鲁班万能板、凤凰高定花纹板、“印象泰山”系列等创新产品，内部协同整合涂料、防水产品，推出涵盖水电木瓦油的家装全产品应用体系。2）拓市场，推进全球布局：聚焦东南亚、中亚、中东、环地中海和欧洲四大区域，海外项目梯队推进。抢先布局优势产业石膏板，跟进防水、涂料产业布局，全球化布局成效显著。3）拓能力，提升核心竞争力：以“内生”增长聚焦核心赛道，并购驱动外延业务增长，完成嘉宝莉重组，实现涂料业务产能布局由华北地区扩展至全国；重组大桥油漆，进一步丰富工业涂料产品体系，拓展了华东市场；在安徽省安庆市投资建设年产2万吨工业涂料生产基地，支撑业务发展。当前房地产市场“止跌回稳”、“保交楼”等相关利好政策陆续出台，下游需求有望逐渐复苏，公司作为石膏板、防水及涂料头部企业，将显著受益行业复苏红利。盈利预测与投资建议。预计2025-2027年EPS分别为2.36元、2.63元、3.04元，对应PE分别为10倍、9倍、8倍。公司综合竞争力突出，一体两翼布局成效显著，看好公司业绩弹性，维持“买入”评级。风险提示：房地产市场复苏节奏或不及预期；市场开拓或不及预期。,,西南证券,买入,[None],2025-10-29,,买入,6963584,pdf_downloads/2025/2025-10-29/000786-北新建材（000786）：两翼延续高增，静待企稳回升.pdf,000786,北新建材,北新建材（000786）：两翼延续高增，静待企稳回升
"毕春晖,陈琳云",事件：1-3Q2025营收199.05亿元同降2.25%；归母净利润25.86亿元同降17.77%。Q3营收63.47亿元同降6.20%；归母净利润6.57亿元同降29.47%。需求下行影响收入，费用计提拖累业绩：收入端，3Q2025收入增速-6.20%主要系石膏板需求有所下降。Q3毛利率为27.79%同降2.28pct，主要系国废价格同比提升7.4%带动护面纸成本提升，且价格端具有一定压力。费用端，Q1-3期间费用率14.27%同增0.86pct，销售/管理/研发费用率分别为5.57%/4.48%/4.10%，分别同比+0.61/+0.42/+0.01pct；资产及信用减值损失率0.36%同增0.28pct，公司计提的应收账款坏账损失同比增加。需求下行费用略增，叠加计提增加，归母净利率12.99%同降2.45pct。Q1-3经营活动现金流净额15.39亿元同降43.13%，主要系去年基数较高：1Q2024并购嘉宝莉后原股东回购部分应收账款带动去年经营现金流提升。收现比82.8%同降3.4pct；付现比85.7%同降2.6pct。石膏板延续承压，静待提价下Q4盈利改善：2025年前三季度，国内石膏板行业需求有所下降，竞争进一步加剧，公司灵活运用“价本利”与“量本利”工具，根据市场动态灵活调整策略，同时加大新产品开发，提升高附加值产品占比。同时泰山石膏发布提价函，自10月20日起泰山石膏提价0.3元/平，非泰山系列及装饰石膏提价0.2元/平，为年内第二次调价，彰显公司定价权，也有望带动Q4盈利改善。海外方面，公司加码东南亚、非洲、中亚等，且8月28日公司公告意向收购境外一家建材公司100%股权，业务与公司存在协同效应，对公司海外发展具有积极影响。投资建议：我们预测公司2025-2027年归母净利润为33.98/39.46/45.84亿元，同增-6.82%/16.12%/16.15%，EPS为2.00/2.32/2.70元，10月27日收盘价对应2025-2027年PE为11.83x/10.19x/8.77x。维持“增持”评级。风险提示：房地产恢复不及预期；原材料价格大幅上行；行业竞争加剧。,,财通证券,增持,[None],2025-10-28,,增持,6911575,pdf_downloads/2025/2025-10-28/000786-北新建材（000786）：计提影响业绩，静待提价效果显现.pdf,000786,北新建材,北新建材（000786）：计提影响业绩，静待提价效果显现
"孙颖,万静远","备注：股价截止自2025年10月27日收盘价，每股指标按照最新股本数全面摊薄报告摘要事件：公司发布2025年三季报。前三季度公司实现营业收入199.05亿元，同比-2.25%；实现归母净利润/扣非归母净利润25.86/25.31亿元，分别同比-17.77%/-17.52%。单Q3实现营收63.47亿元，同比-6.20%；实现归母净利润/扣非归母净利润6.57/6.39亿元，分别同比-29.47%/-29.79%。行业竞争加剧，毛利率下滑。石膏板下游包括了地产、工业、商业等场景。25年1-9月，中国房屋竣工面积同比下滑15.30%；制造业固定资产投资额同比虽+4.00%，但不及去年同期的+9.20%和23年的6.20%。同时，东方雨虹等企业纷纷布局石膏板产品，以及信发集团等企业新产线投产都进一步提升了行业竞争强度，预计对公司盈利能力产生一定影响。2025年前三季度公司毛利率29.53%，同比-1.12pct；其中单Q3毛利率为27.79%，同/环比分别为-2.28/-3.76pct。费用管控稳健。费用端，2025前三季度公司期间费用28.41亿元，同比+4.02%，期间费用率14.27%，同比上升0.86pct，其中销售/管理/研发/财务费用率同比分别+0.61/+0.42/+0.01/-0.18pct。财务费用比上年同期减少3768万元，下降了59.09%，下降的主要原因是公司本期带息负债下降及融资成本减少。高基数下经营性现金流同比下降。25年前三季度公司经营性净现金流15.39亿元，同比-43.13%。一方面受嘉宝莉并表口径变化影响，去年同期原股东回购部分应收账款增加了当期现金流入，而本期嘉宝莉1-2月实施授信政策导致阶段性现金流为负。另一方面公司销售商品、提供劳务收到的现金同比下降。加快兼并收购步伐，积极布局海外市场。8月28日公司公告意向收购境外一家建筑材料公司100%股权。标的公司业务与公司主营业务属于相同领域，与公司存在协同效应。投资建议：我们看好公司石膏板主业稳+防水/涂料高增+兼并收购。考虑到公司25年兼并收购节奏放缓以及业绩承压，我们预计公司2025-2027年实现归母净利润分别为32.78、54.71、59.60亿元（2025-2027年前值分别为36.42、54.78、59.76亿元）,当前股价对应PE分别为12.3、7.4、6.7倍，维持“买入”评级。风险提示：需求不及预期、新品开拓不及预期、原材料价格大幅上涨。",,中泰证券,买入,[None],2025-10-28,,买入,6900299,pdf_downloads/2025/2025-10-28/000786-北新建材（000786）：主业阶段性承压，加快收并购步伐.pdf,000786,北新建材,北新建材（000786）：主业阶段性承压，加快收并购步伐
赵洋,北新建材(000786)Q3盈利能力下滑，石膏板需求承压，期待后续盈利改善事件公司发布25年三季报，前三季度公司实现营收199.1亿元，同比下滑2.3%，归母净利润25.9亿元，同比下滑17.8%，扣非归母净利润25.3亿元，同比下滑17.5%。单Q3季度公司营收63.5亿元，同比下滑6.2%，归母净利润6.6亿元，同比下滑29.5%，扣非归母净利润6.4亿元，同比下滑29.8%。点评Q3盈利能力下滑，石膏板量价小幅下滑：前三季度公司毛利率为29.5%，同比下滑1.12pct，单Q3季度毛利率为27.8%，同比下滑2.3pct，我们判断盈利能力下降与石膏板行业竞争加剧相关，价格销量均出现小幅下滑。尽管行业需求在地产走弱背景下承压，公司持续推进“一体两翼、全球布局”战略，石膏板领域市占率持续提升，涂料、防水等新品类持续增长，经历行业下行后公司有望恢复持续增长态势。费用率小幅增长，经营性现金流小幅下滑：公司前三季度期间费用率为14.3%，同比+0.9pct，其中销售/管理/研发/财务费用率为5.6%/4.5%/4.1%/0.1%，同比变化+0.61/+0.42/-0.01/-0.18pct，费用率小幅提升。现金流方面，Q3单季度公司经营性净现金流5.8亿元，同比减少0.9亿。盈利预测：我们预计公司25-26年收入分别为264亿、278亿元，同比+2.3%、+5.3%，预计25-26年归母净利润分别为32.3亿、36.9亿，同比-11.6%、+14.3%，对应25-26年PE分别为12.4X、10.8X。风险提示：房地产需求持续走弱风险，行业竞争格局恶化风险。,,中邮证券,买入,[None],2025-10-28,,买入,6897703,pdf_downloads/2025/2025-10-28/000786-北新建材（000786）：Q3盈利能力下滑，石膏板需求承压，期待后续盈利改善.pdf,000786,北新建材,北新建材（000786）：Q3盈利能力下滑，石膏板需求承压，期待后续盈利改善
"方晏荷,王玺杰,黄颖,樊星辰",2025年10月26日│中国内地 其他建材 公司公布三季度业绩：25年1-9月实现营收/归母净利199.1/25.9亿元，同比-2.3%/-17.8%，Q3收入/归母净利63.5/6.6亿元，同比-6.2%/-29.5%，公司Q3归母净利低于我们预期（9.8亿元），我们预计主要受竞争激烈及成本上升致毛利率下滑影响，我们认为公司消费品逻辑持续兑现，“一体两翼”布局持续深化，家装零售需求回暖有望助力公司经营改善，维持“买入”。Q3毛利率同环比下滑，期待石膏板涨价对冲成本端压力25年1-9月公司毛利率29.5%，同比-1.2pct，其中Q3毛利率27.8%，同/环比-2.3/-3.8pct，毛利率下滑预计主要系价格竞争激烈导致产品销售均价下滑，同时三季度石膏板原材料国废黄板纸价格有所上涨。据Wind，截至10月25日，国内国废黄板纸均价1754元/吨，同比+21.2%，月环比+8.1%，考虑Q3以来成本端价格持续上涨，我们预计Q4公司毛利率或仍有一定压力，但公司作为行业龙头依托于较高的市占率及丰富的产品体系和价格带，有望通过结构性涨价对冲成本端上涨的压力。期间费用率同比小幅提升，并表因素导致经营性现金流同比下滑25前三季度公司期间费用率14.3%，同比+0.9pct，其中销售/管理/研发/财务费用率为5.6%/4.5%/4.1%/0.1%，同比+0.6/+0.4/+0.01/-0.2pct，财务费用率下降主要系带息负债下降及融资成本减少。25年前三季度公司经营性净现金流15.4亿元，同比-43.1%，主要由于去年同期嘉宝莉原股东回购部分应收账款，导致去年同期经营活动产生的现金流入增加；同时由于嘉宝莉1-2月实施授信政策，本年1-2月经营性净现金流为负数，而去年1-2月尚未并表。公司销售渠道以经销为主，现金流及回款表现相对稳健，随着嘉宝莉并表因素影响逐步消退，我们预计公司经营性现金流有望逐步改善。9月地产竣工面积同比转正，家装零售回暖有望带动需求改善据国家统计局，25年1-9月地产销售/新开工/竣工面积同比-5.5%/-18.9%/-15.3%，较1-8月增速-0.8/+0.6/+1.7pct，测算9月单月房屋竣工面积同比转正；同时，1-9月限额以上建筑及装潢材料企业零售额1235亿元，同比+1.6%，我们认为随着竣工降幅趋缓以及家装零售需求回暖，有望带动公司需求预期改善。盈利预测与估值考虑石膏板成本上涨，我们下调公司石膏板毛利率假设，预测公司25-27年归母净利润为32.4/38.7/45.0亿元（前值40.3/47.2/54.0亿元，下调20%/18%/17%），可比公司Wind一致预期均值对应26年14xPE，我们给予公司26年13xPE（前值25年13xPE），小幅折价以反映公司短期销量及成本压力，但“一体两翼”布局持续深化及家装零售需求回暖有望助力公司经营改善，给予公司目标价29.64元（前值31.07元），维持“买入”。风险提示：行业竞争加剧，两翼业务整合不及预期，下游需求不及预期。,,华泰证券,买入,[None],2025-10-27,,买入,6827690,pdf_downloads/2025/2025-10-27/000786-北新建材（000786）：Q3盈利承压，期待Q4提价落地.pdf,000786,北新建材,北新建材（000786）：Q3盈利承压，期待Q4提价落地
"沈猛,张润",行业底部业绩承压，静待需求复苏事件：北新建材披露2025年三季报。公司2025年前三季度营业收入199.1亿元，同比下滑2.3%，归母净利润25.9亿元，同比下滑17.8%，其中单Q3实现收入63.5亿元，同比下滑6.2%，环比Q2下滑13.2%，实现归母净利润6.6亿元，同比下滑29.5%，环比Q2下滑39.6%。Q3利润率下滑，费用率有所抬升。2025年前三季度毛利率29.5%，同比减少1.1pct，净利率13.3%，同比降低2.4pct，其中单Q3毛利率27.8%，同比降低2.3pct，环比Q2降低3.8pct，净利率10.7%，同比降低3.2pct，环比Q2降低4.6pct，受国内市场需求下降等因素影响，公司所处石膏板、防水材料、涂料行业市场竞争加剧，利润率持续下滑。费用端，前三季度期间费用率14.3%，同比提升0.9pct，单Q3期间费用率16.2%，同比提升1.5pct，环比Q2提升3.1pct，主要系收入下滑，而部分费用支出较为刚性。应收项有所下滑，负债持续优化。截至三季度末，公司应收项合计66.7亿元，同比下降0.7%，经营性现金流量净额15.4亿元，同比减少43.1%，大幅下滑一方面系2025年1-2月嘉宝莉经营性现金净流量为负，而去年同期未并表，并且根据嘉宝莉股权转让协议，原股东回购部分应收账款，导致去年同期基数较高，另一方面系公司收现比降幅大于付现比。负债方面，截至三季度末，公司带息债务合计3.4亿元，较2024年底减少22.6亿元，账面净现金合计28.9亿元。内生外延并举，业务布局进一步完善。内生方面，公司拟在浙江省宁波市投资建设年产8000万平方米纸面石膏板及2万吨轻钢龙骨生产线项目，完善华东区域石膏板产能布局，降低目标市场运输、仓储成本。外延方面，公司意向收购境外一家建筑材料公司100%股权，标的公司业务与公司主营业务属于相同领域，与公司存在协同效应，有望进一步完善公司的海外布局。投资建议：公司防水和涂料业务在行业低迷期逆势扩张，为未来积累了庞大爆发力，国际化业务也在持续推进中，但主业石膏板需求承压，行业竞争激烈，我们下调公司的盈利预测，预计2025-2027年公司实现营业收入259.8元、280.0亿元、301.6亿元，实现归母净利润31.8亿元、34.9亿元、39.9亿元，三年业绩复合增速12.0%，对应PE估值12.5、11.4、10.0倍，维持“买入”评级。风险提示：竣工需求大幅下滑风险，新开工下滑收窄幅度不及预期风险，原材料、燃料价格持续快速上涨风险。,,国盛证券,买入,[None],2025-10-26,,买入,6796339,pdf_downloads/2025/2025-10-26/000786-北新建材（000786）：行业底部业绩承压，静待需求复苏.pdf,000786,北新建材,北新建材（000786）：行业底部业绩承压，静待需求复苏
"黄诗涛,房大磊",事件：公司发布2025年中报。2025年上半年公司实现营收 135.58亿元，同比-0.29%；归母净利 19.30亿元，同比-12.85%。其中，单Q2实现营收73.12亿元，同比-4.46%；归母净利10.87亿元，同比-21.88%。石膏板主业收入承压，涂料业务快速增长。25年上半年石膏板行业需求依然承压、行业竞争有所加剧，公司石膏板实现收入同比下降8.57%、龙骨业务收入同比下降了10.72%；防水及涂料业务保持扩张态势，其中防水建材业务收入同比增长5.99%，涂料业务实现收入21.63亿，同比增长44.42%，两翼业务布局落地效果明显。在国际化方面，聚焦东南亚、中亚、中东、欧洲及环地中海四大区域，发力“一体两翼”海外落地，25年上半年公司境外收入3.23亿元，同比+68.8%。毛利率保持相对平稳，信用减值损失有所增加。2025上半年公司毛利率30.35%，较上年同期略有降低，分业务来看石膏板毛利率38.68%，同比下降0.94pct，防水卷材毛利率同比下降2.34pct，我们预计主要受到防水行业价格竞争有所加剧的影响；涂料业务毛利率31.79%，同比有所提升。公司期间费用率方面，2025上半年公司销售/管理费用率同比有所提高，研发费用和财务费用率同比略有下降。2025年上半年公司信用减值损失约0.7亿元，较上年同期增加约0.6亿元，影响部分业绩表现。经营性现金流净额同比下降。2025年上半年公司经营活动产生的现金流量净额9.62亿元，同比下降了52.86%，主要系公司去年并表嘉宝莉的影响扰动以及本期销售商品、提供劳务收到的现金较上年同期减少。2025年上半年轻质建材分部经营性现金流净额6.67亿元，上年同期为18.59亿元；2025年上半年防水建材分部经营活动产生的现金流量净额1.36亿元，较上年同期下降了41%；2025年上半年涂料建材分部实现经营性现金流净额1.64亿元。盈利预测与投资评级：公司在“一体两翼、全球布局”的战略引领之下，石膏板主业在全球的市占率有望继续提升，防水和涂料业务通过内生外延也将贡献持续的快速增量。考虑到石膏板业在行业需求下行之下有所承压，我们调整公司2025-2027年归母净利润预测为39.97/45.23/50.10亿元（前值为45.61/49.86/53.68亿元），对应PE分别为11.1X/9.8X/8.9X，考虑到公司新业务拓展潜力及公司石膏板主业的竞争优势和地位，维持“买入”评级。风险提示：房地产行业波动风险、宏观经济波动风险、原材料及能源价格上涨风险、新业务开拓不及预期的风险。,,东吴证券,买入,[None],2025-08-22,,买入,6336057,pdf_downloads/2025/2025-08-22/000786-北新建材（000786）：石膏板业务有所承压，继续期待两翼和海外业务发力.pdf,000786,北新建材,北新建材（000786）：石膏板业务有所承压，继续期待两翼和海外业务发力
