author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"吴文吉,翟一梦",北京君正(300223)计算+存储+感知+执行，多元化全面布局AIl投资要点以AI为核心，构建计算、存储、感知与执行的全栈技术体系。在计算领域，公司基于RISC-V架构，重点发力AI-Vision、LLM、AI-MCU/AI-MPU等方向，持续迭代CPU与NPU技术，从NPU1.0发展到即将推出的NPU4.0，实现算力从0.1Tops到512Tops的跨越，满足从端级到边缘计算的多样化需求，并依托RISC-V架构实现全平台覆盖，持续突破微架构效率。在存储领域，公司不断提升研发、制造与产品实力，积极布局3D-DRAM等新兴方向，通过混合键合，叠加高带宽、低功耗、端侧AI等能力，以应对AIoT时代对存储带宽的高要求。在感知领域，公司深耕Audio/Video处理、AI感知算法及多模态技术，升级ISP成像技术，优化音频识别与增强方案，创新音视频压缩技术，拓展万物识别和多模态识别等算法应用场景。在执行领域，公司聚焦电机控制、打印技术与交互体验三大板块，覆盖多种电机类型、打印方式及屏显、语音等交互形式，提供“一揽子”方案，全面赋能终端设备的智能化升级。电动化、智能化、网联化推动车规级DRAM迈向更高容量的新兴产品。在汽车数字化深化背景下，ADAS与自动驾驶领域以性能驱动，L1/L2仍用DDR3（1Gb/2Gb），但随L2渗透提升及L3落地，LPDDR4/4X（16Gb/32Gb）和DDR4(L)（8Gb）加速替代，LPDDR5亦凭借高带宽、低功耗、高稳定性快速切入L3+场景；车载娱乐与座舱系统则新旧并存，燃油车维持对DDR2（512Mb）/DDR3（1Gb）的需求，电动车已普遍采用DDR3，并向LPDDR4乃至LPDDR5演进，尽管车规可靠性要求延缓换代节奏，但DDR4系列长期替代DDR3的趋势不可逆转。ADAS与自动驾驶功能等级的提升、车载系统日益成熟，都在加速LPDDR4/4X、DDR4等产品对小容量DDR3的替代进程；同时，受传统车型存量需求及稳定性要求影响，预计DDR3在部分特定场景仍将保持一定的市场空间。但长期来看，大容量、高性能DRAM的技术优势显著，其替代进程将持续深化，带动单车DRAM价值量稳步提升。投资建议我们预计公司2025-2027年分别实现收入48/59/70亿元，归母净利润3.8/6.6/8.7亿元，给予“买入”评级。风险提示产品开发风险；市场拓展风险；新技术研发风险；毛利率下降的风险；技术人员人力成本增加的风险；供应商风险；存货风险；募投项目实施的风险；外汇风险；税务风险；商誉减值风险;贸易摩擦风,,中邮证券,买入,[None],2025-12-25,上调评级,买入,8276125,pdf_downloads/2025/2025-12-25/300223-北京君正（300223）：计算+存储+感知+执行，多元化全面布局AI.pdf,300223,北京君正,北京君正（300223）：计算+存储+感知+执行，多元化全面布局AI
"陈耀波,刘志来","主要观点：事件2025年10月28日，北京君正公告2025年第三季度报告，公司前三季度实现营业收入34.37亿元，同比增长7.35%，归母净利润2.44亿元，同比下降19.75%，扣非归母净利润1.90亿元，同比下降40.29%。对应3Q25单季度营业收入11.87亿元，同比增长8.50%，环比下降0.13%，单季度归母净利润0.41亿元，同比下降61.48%，环比下降68.12%，单季度扣非归母净利润0.29亿元，同比下降75.71%，环比下降69.38%。毛利率短期波动，经营趋势逐渐向好公司收入端保持相对稳定，利润端下降主要系毛利率波动影响，3Q25毛利率31.63%，同比下降5.57pct，环比下降3.13pct，主要系台币汇率波动等因素，存储芯片产品成本受到一定影响，产品毛利率有所下降，致使公司净利润有所下降。但是随着存储价格的上行，以及公司新制程产品的开出，我们认为公司将在明后年迎来显著的成长机会。 分业务线来看，其中计算芯片，3Q25收入3.04亿元（YoY+4.9%，QoQ-9.0%）。随着嵌入式MPU产品在更多领域获得应用，公司面向AIOT的芯片产品呈现出较好的需求增长趋势，同时，智能安防类市场需求出现一定波动，市场竞争有所加剧，致使公司智能视觉产品销售收入同比略有下降，公司计算芯片销售收入同比小幅增长。存储新品，3Q25收入7.46亿元（YoY+11.2%，QoQ+3.3%）。随着汽车、工业医疗等行业市场逐渐复苏，存储产品在消费市场和行业市场均呈现出周期向上的趋势，公司存储芯片销售收入实现了同比和环比的持续增长。根据公司产品规划，更多型号的DRAM产品于今年下半年至明年陆续投片。新的工艺节点下,公司DDR4及LPDDR4产品的性价比将明显提升，为公司DRAM业务进入新一轮的增长阶段奠定了坚实的基础。此外，随着存储价格的上行，公司毛利率也有望回归正常，带动盈利能力的修复。模拟互联芯片，3Q25收入1.30亿元（YoY+13.0%，QoQ+4.4%）。公司车规模拟芯片持续进行市场推广，随着汽车、工业等市场的需求恢复，模拟与互联芯片销售收入也实现了较好的同比及环比增长。投资建议我们预计2025-2027年归母净利润为3.6、7.0、10.4亿元（前次预测为4.6、7.0、10.5亿元），对应EPS为0.75、1.44、2.16元/股，对应2025年10月29日收盘价PE为100.8、52.3、34.9倍。维持公司“买入”评级。风险提示市场复苏不及预期；产品价格不及预期；费用端控制不及预期；地缘政治影响超预期。",,华安证券,买入,[None],2025-10-30,,买入,7035846,pdf_downloads/2025/2025-10-30/300223-北京君正（300223）：毛利率短期波动，经营趋势逐渐向好.pdf,300223,北京君正,北京君正（300223）：毛利率短期波动，经营趋势逐渐向好
吴文吉,"北京君正(300223)多产品线协同发力，AI驱动成长可期事件2025H1，公司实现营业收入22.49亿元，同比+6.75%；归母净利润2.03亿元，同比+2.85%；扣非归母净利润1.61亿元，同比-19.05%。单季度看，Q2营收11.89亿元，同比+8.1%，环比+12.13%；归母净利润1.29亿元，同比+17.22%，环比+74.83%。投资要点营收稳健增长彰显市场韧性。公司2025H1营收同比增长6.75%，主要受益于存储芯片、计算芯片及模拟与互联芯片的协同增长。存储芯片收入13.84亿元，同比+5.2%，计算芯片收入6.04亿元，同比+15.59%，模拟与互联芯片收入2.44亿元，同比+5.02%。2025H1，公司实现归母净利润2.03亿元，同比+2.85%；扣非归母净利润1.61亿元，同比-19.05%，主要系公司根据市场需求进行新产品的规划与开发，不断丰富公司产品线，2025H1研发费用达3.48亿元，占营收15.47%；2025H1公司股权激励费用为2,754.46万元。新品研发与技术升级蓄力未来，AI驱动打开增长新空间。公司持续推进AI技术布局，计算芯片新产品T33已投片，面向H.265安防市场，预计T42（算力升级）2026年投片，支撑端侧AI需求。存储芯片领域，基于20nm/18nm/16nm工艺的DRAM产品陆续送样，性价比提升有望推动新一轮增长；模拟芯片推出车规级LED驱动及互联芯片，强化汽车电子市场竞争力。同时，RISC-V架构CPU核逐步应用。伴随全球AI渗透加速及国产替代趋势，公司“计算+存储+模拟”战略将深化汽车、工业、消费电子领域的布局，未来业绩弹性可期。投资建议我们预计公司2025-2027年分别实现收入49.50/58.86/69.48亿元，归母净利润5.03/6.51/8.33亿元，给予“增持”评级。风险提示产品开发风险；市场拓展风险；新技术研发风险；毛利率下降的风险；技术人员人力成本增加的风险；供应商风险；存货风险；募投项目实施的风险；外汇风险；税务风险；商誉减值风险;贸易摩擦风险。",,中邮证券,增持,[None],2025-09-15,,增持,6440058,pdf_downloads/2025/2025-09-15/300223-北京君正（300223）：多产品线协同发力，AI驱动成长可期.pdf,300223,北京君正,北京君正（300223）：多产品线协同发力，AI驱动成长可期
"张世杰,李珏晗",事件：公司发布25年中报，25年上半年实现营业总收入22.49亿元，同比增长6.75%；归属母公司股东的净利润2.03亿元，同比增长2.85%；扣除非经常性损益后的归属母公司股东净利润1.61亿元，同比下降19.05%。受益AI驱动，消费需求旺盛，公司计算芯片高增长。公司Q2单季度营业收入11.89亿元，同比增长8.10%；归母净利润1.29亿元，同比增长17.22%；扣非归母净利润0.95亿元，同比下降19.21%。分产品来看，公司存储芯片/计算芯片/模拟与互联芯片24年营业收入分别为13.84/6.04/2.44亿元，同比增速分别为5.20%/15.59%/5.02%。公司计算芯片主要面向智能安防、泛视频设备、生物识别、智能门锁等智能视觉及IOT领域，受益AI驱动，消费需求旺盛，叠加公司产品竞争优势显著，公司计算芯片同比高增长。公司存储芯片和模拟芯片销售主要面向的汽车、工业等行业市场处于温和复苏阶段，公司存储芯片级模拟芯片收入规模增长。伴随制程提升，DDR4和LPDDR4销售占比有望提升，积极布局3D DRAM。公司进行了基于20nm、18nm 和16nm 工艺制程的DDR3、DDR4、LPDDR4等多款产品的规划、研发与生产，部分产品已开始向客户送样，根据公司产品规划，更多型号的DRAM 产品将于今年下半年至明年陆续投片。随着公司制程提升，后续DDR4和LPDDR4出货占比增加，公司产品结构有望迎来不断优化。伴随算力芯片性能提升以及大模型参数增长，AI模型和高性能计算对带宽需求倍数级别增长。3D DRAM通过 hyper band绑定能更高效地提供带宽和功耗，有效满足AI 芯片与高性能计算芯片对大容量及高带宽的需求，公司拥有深厚的DRAM 设计经验和丰富的产业资源，积极布局3D DRAM产品。盈利预测与投资建议：预计2025-2027年营业总收入分别为49.48、58.68、69.40亿元，同比增速分别为17.45%、18.60%、18.27%；归母净利润分别为5.06、6.75、8.24亿元，同比增速分别为38.20%、33.43%、22.08%，对应25-27年PE分别为74X、55X、45X，维持“买入”评级。风险提示：下游需求不及预期风险；行业竞争加剧风险。,,太平洋证券,买入,[None],2025-09-03,,买入,6387863,pdf_downloads/2025/2025-09-03/300223-北京君正（300223）：多产品线共驱成长，制程提升将推动产品结构优化.pdf,300223,北京君正,北京君正（300223）：多产品线共驱成长，制程提升将推动产品结构优化
"高峰,王子路",北京君正(300223)核心观点事件2025上半年，公司实现营业收入22.49亿元，同比增加6.75%；利润总额达到2.28亿元，同比增加3.39%；实现归母净利润2.03亿元，同比增加2.85%。2025Q2，公司实现营业收入11.89亿元，同比增加8.10%；实现归母净利润1.29亿元，同比增加17.22%。业绩符合预期。多业务营收稳健增长，产品结构优化成效显著。公司2025年上半年各主要产品营收实现增长，产品结构也在不断优化调整，分业务来看，存储芯片实现营业收入13.84亿元，同比增长5.20%，营收占比达61.56%；模拟与互联芯片实现营业收入2.44亿元，同比增长5.02%，营收占比达10.84%；其他业务实现营业收入1189.09万元，同比增长2543.51%，营收占比达0.53%。计算芯片营收为6.04亿元，同比增长15.59%。计算芯片受益于消费类市场需求增长和产品优势，保持较好同比增长。盈利能力有波动，费用管控有成效。在毛利率方面，25H1公司整体毛利率为35.54%，同比下降2.03pct；25Q2毛利率为34.76%，同比下降2.91pct，季度环比下降1.64pct。分产品来看，存储芯片毛利率为33.48%，同比下降1.87pct；模拟与互联芯片毛利率为51.14%，同比下降0.95pct；其他业务毛利率为97.95%，同比增长5.59pct；计算芯片毛利率为32.37%，同比下降0.27pct。各产品毛利率变动主要是由于营业成本的变化，费用方面，上半年公司销售/管理/财务/研发费用率分别为7.27%/5.61%/-3.10%/15.49%，同比-0.07/+0.87/-0.67/-1.23pct；累计总费用率为25.26%，累计-1.10pct。公司持续投入研发，推进多项核心技术研发和新产品开发迭代。布局AI存储+计算芯片赛道，多产品线驱动业务增长。公司专注于集成电路设计领域，坚持“计算+存储+模拟”的产品战略和“内外循环双轮驱动”的市场战略，存储芯片主要产品有高集成密度、高性能品质、高经济价值的SRAM、DRAM、Flash等，主要面向汽车、工业、医疗等行业市场；模拟与互联芯片产品线包括各类LED驱动、DC/DC、GreenPHY、以及G.vn、LIN、CAN等芯片产品，可面向汽车、工业、家居家电及消费等领域提供多种型号的模拟芯片和互联芯片产品。面向行业市场丰富、齐全的产品品类。投资建议：我们预计公司2025-2027年营收为50.12/59.68/70.32亿元，预计公司2025-2027年归母净利润为5.49/6.28/7.79亿元，对应PE为66.0x/57.75x/46.57x，维持“推荐”评级。风险提示：下游需求不及预期的风险，新品放量不及预期的风险。,,银河证券,推荐,[None],2025-08-29,,买入,6375891,pdf_downloads/2025/2025-08-29/300223-北京君正（300223）：业绩符合预期，持续布局AI存储+计算赛道.pdf,300223,北京君正,北京君正（300223）：业绩符合预期，持续布局AI存储+计算赛道
"陈耀波,刘志来","主要观点：事件2025年8月26日，北京君正公告2025年半年度报告，公司上半年实现营业收入22.49亿元，同比增长6.75%，归母净利润2.03亿元，同比增长2.85%，扣非归母净利润1.61亿元，同比下降19.05%。对应2Q25单季度营业收入11.89亿元，同比增长8.10%，环比增长12.13%，单季度归母净利润1.29亿元，同比增长17.22%，环比增长74.83%，单季度扣非归母净利润0.95亿元，同比下降19.21%，环比增长42.53%。强化AI研发布局，“计算+存储+模拟”多维发展公司各个业务板块经营态势向好，其中计算芯片，2Q25收入3.34亿元（YoY+18.1%，QoQ+23.7%）。受益于总体消费类市场的需求增长以及公司产品的综合优势，公司计算芯片保持了较好的同比增长。新产品也在陆续研发开出的过程中，比如面向入门级H.265市场的芯片T33于2025年年终投片，更高算力的芯片T42预计于2026年上半年投片。同时，针对端侧AI不断提高的算力需求趋势，公司加强了更高算力神经网络处理器技术的研发，其中4T版本部分代码的研发已完成，并继续进行各功能模块的优化，公司更大算力的神经网络处理器IP预计将于明年初应用于公司下一代产品中。公司持续开拓下游市场，不仅支持客户进行AI眼镜产品的开发与方案落地，而且在3D、激光、热敏、热升华等各类打印机细分领域均得到应用。存储芯片，2Q25收入7.22亿元（YoY+6.8%，QoQ+9.0%）。由于汽车、工业等行业市场在全球范围内呈不均衡发展态势，全球贸易形势的复杂多变也给行业市场带来了不稳定因素，市场总体处于较为缓和的复苏阶段，公司主要面向汽车、工业等行业市场的存储芯片和模拟芯片销售收入均实现了小幅增长。公司基于新工艺节点的DRAM产品陆续开始送样，根据公司产品规划，更多型号的DRAM产品将于今年下半年至明年陆续投片。新的工艺节点下,公司DDR4及LPDDR4产品的性价比将明显提升，为公司DRAM业务进入新一轮的增长阶段奠定了坚实的基础。此外，根据边侧和端侧设备对AI性能需求不断提高所带来的AI存储产品的市场机会，公司启动了AI存储相关技术的研发。模拟互联芯片，2Q25收入1.25亿元（YoY-1.2%，QoQ+4.4%）。产品线主要收入来源为各类LED照明驱动芯片，产品组合丰富，竞争优势明显，在汽车、工业、办公设备、家电等高品质类的LED驱动市场得到广泛采用，尤其在汽车电子市场，产品广泛应用于外部照明与内部照明的各类车灯。互联芯片主要为车规级互联芯片，LIN、CAN、GreenPHY等产品继续进行产品推广，公司支持部分Tier1厂商进行了方案设计和产品落地。投资建议我们预计2025-2027年归母净利润为4.6、7.0、10.5亿元，对应EPS为0.96、1.45、2.17 元/股，对应 2025 年 8 月 25 日收盘价 PE 为 78.5、52.0、
34.8 倍。维持公司“买入”评级。风险提示
市场复苏不及预期；产品价格不及预期；费用端控制不及预期；地缘政
治影响超预期。",,华安证券,买入,[None],2025-08-26,,买入,6350064,pdf_downloads/2025/2025-08-26/300223-北京君正（300223）：强化AI研发布局，“计算+存储+模拟”多维发展.pdf,300223,北京君正,北京君正（300223）：强化AI研发布局，“计算+存储+模拟”多维发展
"胡剑,胡慧,叶子,张大为,詹浏洋,李书颖",北京君正(300223)核心观点公司1Q25收入同环比增长。公司从事计算芯片、存储芯片、模拟与互联芯片等芯片产品开发。24年全球汽车、工业市场需求持续低迷，伴随产业链去库存影响，公司24年营收42.13亿元(YoY-7.03%)，叠加股权激励费用4513万元以及收购产生的资产评估增值摊销3686万元影响，归母净利润3.66亿元(YoY-31.84%)。进入1Q25，行业市场逐步复苏，公司1Q25单季度实现营收10.60亿元(YoY+5.28%，QoQ+4.83%)，股权激励费用同比新增1189.20万元及综合毛利率波动影响归母净利润0.74亿元(YoY-15.3%，QoQ+19.62%)同比下降，景气度修复毛利率36.4%(YoY-1.04pct，QoQ+1.93pct)环比改善。计算芯片1Q25同比增长12.41%，产品矩阵持续丰富。24年公司计算芯片业务营收10.90亿元（YoY-1.65%)，1Q25景气度回升营收同比增长12.41%。针对安防等应用市场消费降级及高性价比要求，公司以T23、T31和T41等主力芯片满足不同等级产品需求，并规划了更具性价比优势的T32等产品；面向工业、医疗、消费等泛视频应用，公司C200系列可提供超小尺寸与极低功耗的芯片产品，适用于智能眼镜类的产品市场。存储芯片1Q25同比增长3.44%，布局3D DRAM及新工艺产品。24年存储芯片受汽车、工业等行业需求疲软及去库存压力影响营收25.89亿元（YoY-11.06%)，进入1Q25随景气度回暖同比增长。公司车规存储保持国际前列，21nm/20nm及以下工艺持续迭代，新一代产品（DDR4/LPDDR4等）预计25年将陆续提供工程样品。为应对AI模型和高性能计算对高带宽、大容量存储的需求，公司已启动3D DRAM相关技术的研发。Flash各产品线如大容量NOR Flash产品研发持续投入，2Gb车规级NOR Flash产品已量产。模拟与互联芯片1Q25同比增长12.30%，车规应用加速推进。24年公司模拟与互联芯片实现营收4.72亿元（YoY+15.31%），1Q25保持增长。其中主力产品工业、汽车等高门槛LED驱动芯片料号及应用场景持续丰富，单车LED驱动芯片用量不断提高；互联芯片方面，面向汽车应用的LIN、CAN、GreenPHY、G.vn等网络传输产品的研发和测试持续推进，首款GreenPHY产品已量产。投资建议：我们看好公司作为国内计算+存储+模拟芯片设计龙头多维发展的中长期增长空间，由于市场景气度修复低于我们此前预期，基于公司24年与25年一季度情况，上调费用率并下调毛利率预期，预计25-27年归母净利润为5.11/6.15/7.64亿元(前值25-26年：8.99亿元/12.04亿元)，对应25-27年PE分别为64/53/43倍，维持“优于大市”评级。风险提示：下游需求不及预期，产品迭代不及预期。,,国信证券,优于大市,[None],2025-05-05,,买入,6056529,pdf_downloads/2025/2025-05-05/300223-北京君正（300223）：1Q25收入同环比增长，计算、存储与模拟多维发展.pdf,300223,北京君正,北京君正（300223）：1Q25收入同环比增长，计算、存储与模拟多维发展
"陈耀波,刘志来",主要观点：事件2025年4月24日，北京君正公告2025年一季度报告，公司1Q25实现营业收入10.6亿元，同比增长5.3%，环比增长4.8%，归母净利润0.74亿元，同比下降15.3%，环比增长19.6%，扣非归母净利润0.66亿元，同比下降18.8%，环比扭亏。行业市场逐步回暖，静待产品周期花开公司主要下游开始逐步回暖，经营情况显现出转好态势，1Q25实现营业收入10.6亿元，同比增长5.3%，环比增长4.8%，归母净利润0.74亿元，同比下降15.3%，环比增长19.6%，扣非归母净利润0.66亿元，同比下降18.8%，环比扭亏。1Q25单季度毛利率36.4%，同比下降1.0pct，环比增长1.9pct。分产品线来看：计算芯片，1Q25收入2.7亿元（YoY+12.4%，QoQ-2.7%）。目前公司的计算芯片业务主要是T系列芯片，T系列芯片主要在IPC市场应用，算力多在1个多T，未来几年将持续加大算力投入，预计年底推出的T42能达到2T以上。预计未来在IPC上提高至2T或4T，以及在NVR领域提供8T至16T级别的算力支持。存储芯片，1Q25收入6.6亿元（YoY+3.4%，QoQ+9.9%）。公司的存储芯片主要面向汽车、工业、医疗等行业市场及高端消费类市场，2024年行业市场需求相对低迷，以致公司业绩表现不佳。进入2025年之后，汽车、工业医疗、通讯等行业市场有所复苏，公司存储业务条线实现环比的同环比增长，我们预计随着行业的持续复苏，公司存储芯片今年会迎来修复性的增长。另外我们认为模拟大厂TI的情况可以佐证我们对行业需求复苏的判断，因为TI的下游敞口同样也是行业应用占比较高，根据TI的法说会情况来看，其看到了各个终端市场的复苏，工业市场经历连续7个季度环比下降后，实现了高个位数的环比增长，汽车市场也实现了低个位数增长。行业需求回暖以外，我们看到了公司的产品周期即将到来，公司基于21nm/20nm、18nm、16nm等工艺的DRAM新产品预计将于2025年向客户提供工程样品，我们认为新品会非常明显的优化公司产品性价比，有望在2026年开始带动公司进入到新的成长周期中。此外，针对AI技术驱动下，算力设备持续升级，市场对高带宽、低功耗存储器需求持续攀升的市场趋势，公司基于深厚的DRAM设计经验和丰富的产业资源，进行了3D AI DRAM产品的市场布局，积极跟进AI存储市场的需求，努力抓住新兴市场机会。模拟与互联芯片，1Q24收入1.2亿元（YoY+12.3%，QoQ-4.0%）。单车LED驱动芯片用量的不断提高为车载LED驱动芯片带来不断成长的市场空间，公司更多车规LED驱动芯片产品的推出也促进了公司在汽车市场中的应用，公司车载LED照明芯片在汽车照明中的渗透率持续提高。在消费类市场，公司LED驱动产品在扫地机器人、酒店快递机器人、智能音箱、游戏机等领域得到较好的应用。公司互联芯片主要为车规级互联芯片，GreenPHY产品持续有新客户进行设计导入，公司支持部分Tier1厂商进行了方案设计，部分客户的产品逐渐落地。投资建议我们预计2025-2027年归母净利润为4.6、7.0、10.5亿元，对应EPS为0.96、1.45、2.17元/股，对应2025年4月28日收盘价PE为67.8、45.0、30.1倍。我们认为北京君正的主要下游市场可能开始迎来复苏，2025年整体形势较2024年会更好，从而带动业绩端的逐步修复，另外随着新制程DRAM的开发送样，有望开启公司新一轮的成长周期，将公司由“增持”评级调整至“买入”评级。风险提示市场复苏不及预期；产品价格不及预期；费用端控制不及预期；地缘政治影响超预期。,,华安证券,买入,[None],2025-04-29,上调评级,买入,6031374,pdf_downloads/2025/2025-04-29/300223-北京君正（300223）：行业市场逐步回暖，静待产品周期花开.pdf,300223,北京君正,北京君正（300223）：行业市场逐步回暖，静待产品周期花开
"张世杰,李珏晗",事件：公司发布24年年报，24年实现营业收入42.13亿元，同比下降7.03%；归属于上市公司股东的净利润3.66亿元，同比下降31.84%；扣除非经营性损益后的净利润3.12亿元，同比下降36.52%。24年受下游需求疲软影响，业绩承压，25年有望迎来复苏。公司24Q4单季度营业收入10.11亿元，同比下降8.97%；归母净利润0.62亿元，同比下降63.41%；扣非归母净利润-0.06亿元。分产品来看，公司存储芯片/计算芯片/模拟与互联芯片24年营业收入分别为25.89/10.90/4.72亿元，同比变化分别为-11.06%/-1.65%/+15.31%；毛利率分别为34.55%/33.02%/49.61%，同比变化分别为-1.93/+5.07/-1.73pct。公司24年业绩承压，主要由于工业医疗等下游行业市场在24年景气度不高，25年有望迎来行业需求触底反弹，叠加下游汽车需求增长，25年整体有望迎来修复。高性能计算对高带宽大容量需求增长，公司积极布局3D DRAM。伴随算力芯片性能提升以及大模型参数增长，AI模型和高性能计算对带宽需求倍数级别增长。3D DRAM通过 hyper band 绑定能更高效地提供带宽和功耗，有效满足AI 芯片与高性能计算芯片对大容量及高带宽的需求，下游市场3D DRAM需求升温。公司拥有深厚的DRAM 设计经验和丰富的产业资源，积极布局3D DRAM产品，前瞻性布局新兴市场机会。盈利预测与投资建议：预计2025-2027年营业总收入分别为50.79、60.22、71.19亿元，同比增速分别为20.56%、18.57%、18.23%；归母净利润分别为5.05、6.22、7.57亿元，同比增速分别为37.92%、23.15%、21.64%，对应25-27年PE分别为64X、52X、43X，维持“买入”评级。风险提示：下游需求不及预期风险；行业竞争加剧风险。,,太平洋证券,买入,[None],2025-04-24,,买入,6022540,pdf_downloads/2025/2025-04-24/300223-北京君正（300223）：25年有望迎来复苏，积极布局3DDRAM.pdf,300223,北京君正,北京君正（300223）：25年有望迎来复苏，积极布局3DDRAM
"王芳,杨旭,张琼",报告摘要事件：公司发布2024年年报：1）2024：收入42.1亿元，同比-7.0%；归母净利润3.7亿元，同比-31.8%；扣非归母净利润3.1亿元，同比-36.5%。毛利率36.7%，同比-0.4pct；净利率8.7%，同比-2.7pct。2）24Q4：收入10.1亿元，同比-9.0%，环比-7.6%；归母净利润0.6亿元，同比-63.4%，环比-42.2%；扣非归母净利润-0.06亿元，同比-104.2%，环比-105.1%。毛利率34.5%，同比-3.9pct，环比-2.7pct；净利率6.1%，同比-8.1pct，环比-3.6pct。行业周期性低谷致24年业绩承压，25年有望逐步回升。24年汽车、工业、医疗等行业市场仍处于景气度低谷，导致公司收入下滑，此外新增股权激励费用4513万元，因收购产生的折旧与摊销影响3686万元，影响公司利润表现。行业市场经历两年多下行周期，产业链库存持续去化，智驾、数据中心、工业自动化带来新增需求，25年行业市场有望逐渐复苏。积极布局3DDRAM等新品，提供增长新动能。针对AI算力、存储带宽提升需求，公司启动研发3DAIDRAM产品，加快推出更大算力的SoC芯片；大容量产品方面，8Gb的DDR4、16GbLPDDR4已完成量产，并推动21nm/20nm、18nm、16nm等工艺DRAM新品研发提高性价比，预计将于25年向客户提供工程样品；新兴应用方面，DRAM、SRAM、Flash等各类存储芯片在机器人领域均有应用。投资建议：考虑行业市场需求恢复较慢，我们适当调整盈利预测，预计2025-27年公司归母净利润为4.5/5.6/7.0亿元（此前对应2025-26年为5.5/7.2亿元），对应PE为72/58/46倍，维持“买入“评级。风险提示事件：存储国产替代速度不及预期，终端需求不及预期，研报使用信息数据更新不及时的风险。,,中泰证券,买入,[None],2025-04-22,,买入,6020713,pdf_downloads/2025/2025-04-22/300223-北京君正（300223）：25年行业市场有望逐步复苏，3DDRAM等新品提供增长新动能.pdf,300223,北京君正,北京君正（300223）：25年行业市场有望逐步复苏，3DDRAM等新品提供增长新动能
