author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"张志邦,郑洋",主要观点：业绩公司发布2025年第三季度报告，2025年前三季度实现营收129.14亿元，同比增长18.82%，实现归母净利润14.70亿元，同比增长15.78%，实现扣非归母净利润14.10亿元，同比增长17.57%，毛利率为34.63%，同比-0.54pct。2025Q3实现营收45.67亿元，同比增长25.54%，实现归母净利润5.06亿元，同比增长18.95%，实现扣非归母净利润4.84亿元，同比增长17.02%。毛利率为35.35%，同/环比分别-0.60/+0.68pct。2025Q3产能利用率进一步提升，数据中心产品全面布局公司产能利用率情况较好，25Q3单季度产能利用率同比有进一步提升。数据中心应用场景中，公司的产品包括继电器、中压、低压成套设备、连接器、电流传感器等，广泛应用于储能、配电、电源等场景中。随着头部厂商推动数据中心向直流化、高压化发展，高压直流继电器逐步迎来发展机遇，其应用场景从前端的储能，到配电，到电源均有应用。此外，公司在数据中心领域也将持续推进从器件到模块、成套设备、解决方案的发展，未来的发展空间也有望进一步打开。投资建议我们预计25-27年收入分别为163.71/188.92/217.70亿元；归母净利润分别为19.61/22.76/24.82亿元，对应PE分别24/21/19倍，维持“买入”评级。风险提示原材料价格上涨风险；公司订单交付不及预期；行业竞争加速风险，继电器份额扩张不及预期；公司新业务扩张不及预期。,,华安证券,买入,[None],2025-11-11,,买入,7614124,pdf_downloads/2025/2025-11-11/600885-宏发股份（600885）：三季度产能利用率同比进一步提升，数据中心产品全面布局.pdf,600885,宏发股份,宏发股份（600885）：三季度产能利用率同比进一步提升，数据中心产品全面布局,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.61,
            ""eps"": null,
            ""pe"": 24
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.76,
            ""eps"": null,
            ""pe"": 21
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.82,
            ""eps"": null,
            ""pe"": 19
        }
    ]
}"
"刘俊,边文姣,陈爽,杨景文",2025年11月06日│中国内地 电气设备 11月5日宏发股份出席了我们组织的2026年度投资峰会，会上公司分享了继电器业务各下游需求情况、高压控制盒等模块化产品进展、数据中心产品布局情况等投资者关心的问题。我们认为核心亮点包括：1）公司继电器业务受益于各下游需求持续增长，产能利用率提升带动毛利率稳中有升；2）模块化产品在新能源汽车等场景加速放量，同步助推新门类产品的市场拓展。3）数据中心布局继电器等产品，有望受益于高压直流发展趋势而迎来量价齐增。核心亮点：1、继电器：今年以来汽车、新能源、家电、工业、电力等下游各领域需求均呈现增长，其中汽车、新能源等领域增速更快。汽车方面，持续巩固高压直流继电器等产品优势，同时进一步提升市场份额。新能源方面，得益于光伏、储能下游需求旺盛。此外，电力方面，Q3同比增速较上半年有所回升，主要系国内去年同期基数回落，叠加海外新兴市场电表继电器逐步上量。2、模块化：公司产品正从单一器件向模块方案发展，有助于提高公司所能提供的总价值量，已推出高压控制盒、工业模块、车身控制盒、电子泵等模块类产品。其中，高压控制盒产品目前在主要车企客户中逐步上量，随着新项目批量逐步开启，有望扩大规模同时提高盈利能力，持续赋能业绩增长。3、新门类：积极发力薄膜电容、连接器、电流传感器、熔断器等“5+”类新门类产品。一方面，在汽车等优势下游基于产品力与品牌力向客户推广新品；另一方面，通过模块化产品带动新门类产品的协同应用。4、数据中心：公司目前在数据中心的产品储备较为丰富，主要包括继电器、中压、低压成套设备、连接器、电流传感器等，可以应用于储能、配电、电源等场景。其中，继电器方面，随着数据中心功率提升，同时供配电系统向高电压、直流发展，继电器的用量与单位价值量将提升，公司有望充分受益。5、海外产能：目前稳步推进印尼工厂的建设，公司预计1期厂房明年投入使用；德国工厂处于小批量生产阶段。后续随着客户项目推进落地，公司预计会逐步提升产能以匹配客户需求。看好公司海外产能不断完善，有利于加速海外市场拓展。盈利预测与估值我们维持公司25-27年归母净利润为18.93/21.95/25.90亿元（三年复合增速为16.66%），对应EPS为1.30/1.50/1.77元。可比公司26年PE均值为27.82倍，考虑到公司海外市场进展领先，我们维持公司26年目标PE 29.7倍，维持目标价44.68元，维持“买入”评级。风险提示：下游行业需求不及预期，原材料价格上涨，新产品开发不及预期。,,华泰证券,买入,[None],2025-11-06,,买入,7530709,pdf_downloads/2025/2025-11-06/600885-宏发股份（600885）：2026年度投资峰会速递：看好继电器份额提升及数据中心潜力.pdf,600885,宏发股份,宏发股份（600885）：2026年度投资峰会速递：看好继电器份额提升及数据中心潜力,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 18.93,
      ""eps"": 1.30,
      ""pe"": null
    },
    {
      ""year"": 2026,
      ""net_profit"": 21.95,
      ""eps"": 1.50,
      ""pe"": 29.7
    },
    {
      ""year"": 2027,
      ""net_profit"": 25.90,
      ""eps"": 1.77,
      ""pe"": null
    }
  ]
}"
"邓永康,李佳,许浚哲",25Q3略超预期，AIDC布局完善事件：2025年10月31日，公司发布2025年三季报，2025年前三季度公司实现收入129.14亿元，同比增加18.82%；归母净利润14.70亿元，同比增加15.78%；扣非归母净利润14.10亿元，同比增加17.57%。单Q3情况来看，公司25Q3实现收入45.67亿元，同比增加25.54%；归母净利润5.06亿元，同比增加18.95%；扣非归母净利润4.84亿元，同比增加17.02%。盈利能力方面，公司25Q3实现毛利率35.35%，同比减少0.59pct，环比增加0.69pct；实现净利率14.63%，同比减少1.03pcts；环比减少2.20ptcs。创新研发持续投入，2025年前三季度研发投入6.27亿元，同比增长17.2%，研发投入总额占营业收入比例4.85%。AIDC领域布局完善。公司在数据中心领域的产品布局包括继电器、连接器、电容器、电流传感器、开关电器等元器件产品及成套设备。目前数据中心相关收入主要来自于电源相关继电器，主要应用于UPS、ATS、服务器电源等环节，客户包括台达、欧陆通、长城、麦格米特等头部电源厂商。随着数据中心的功率进一步上升，对于相关继电器产品的要求进一步提升，浸没式液冷、大电流、高压直流等继电器产品的市场空间进一步打开。此外，公司也积极关注数据中心领域模块化及成套设备发展机遇，其中动力配电柜、低压开关柜、配电箱、PDU等已完成产品布局，未来积极向数据中心应用领域拓展。新门类持续推进，捷报频传。1）薄膜电容：25H1发货同比增长31%，家电、新能源、电力电子、车载等领域均有应用。2）连接器：25H1发货同比略有增长，公司研发和生产的星载射频连接器支持了我国卫星互联网技术试验卫星的发射，进一步验证了产品品质的可靠性。3）电流传感器：25H1发货同比增长36%，未来随着电流传感器产品应用领域进一步拓展，业务增长动力有望进一步丰富。4）熔断器：25H1公司的陶瓷方体直流快速熔断器 HPE509 斩获UL 认证，体现了产品综合性能指标的竞争力。后续随着熔断器标杆客户项目推进及新场景客户的导入，有望逐步步入稳定的良性发展轨道。投资建议：公司是全球继电器龙头，新门类产品发展势头强劲，我们预计公司25-27年的营收分别为164.12/189.04/218.47亿元，增速分别为16.4%/15.2%/15.6%；归母净利润分别为19.14/22.60/26.88亿元，增速分别为17.3%/18.1%/18.0%。10月31日收盘价对应公司25-27年PE分别为23/20/17x。维持“推荐”评级。风险提示：新技术研发的风险，需求不及预期的风险，竞争加剧的风险。,,民生证券,推荐,[None],2025-11-01,,增持,7170885,pdf_downloads/2025/2025-11-01/600885-宏发股份（600885）：25Q3略超预期，AIDC布局完善.pdf,600885,宏发股份,宏发股份（600885）：25Q3略超预期，AIDC布局完善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.14,
            ""eps"": null,
            ""pe"": 23
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.60,
            ""eps"": null,
            ""pe"": 20
        },
        {
            ""year"": 2027,
            ""net_profit"": 26.88,
            ""eps"": null,
            ""pe"": 17
        }
    ]
}"
"曾朵红,谢哲栋,许钧赫",事件：公司25Q1-3营收129.1亿元，同比+18.8%，归母净利润14.7亿元，同比+15.8%，扣非净利润14.1亿元，同比+17.6%，毛利率34.6%，同比-0.5pct；其中25Q3营收45.7亿元，同比+25.5％，归母净利润5.1亿元，同比18.9%，扣非净利润4.8亿元，同比17.0%，毛利率35.4%，同比-0.6pct。综合看，公司业绩符合市场预期。高压直流&新能源&工业引领增长、新领域&新产品贡献明显。1）高压直流继电器：新能源汽车增势延续，公司横向拓展充电桩、储能、数据中心等领域，我们预计全年板块收入增速40%+；2）新能源继电器：25Q3以来光伏抢装结束，但公司拓展风电、储能、数据中心等领域，同时大电流、浸没式液冷等产品贡献明显，在头部客户份额稳定，我们预计全年收入维持40%增长；3）工业继电器：下游OEM行业复苏趋势明确，我们预计光储、电源等工业客户增速较快。汽车&信号快速增长，家电&电力稳中有增。1）汽车继电器：行业整体稳增，国内自主品牌增速较快，公司份额持续上升，我们预计全年收入同增约15%；2）信号继电器：下游新能源光储充车相关应用快速增长，绝缘检测等场景产品快速上量，其余行业需求稳定；3）家电继电器：Q3进入需求淡季，但9-10月下游陆续恢复生产，需求有望环比改善，全年保持稳增；4）电力继电器：新兴市场逐步上量同时国网招标落地，我们预计全年板块收入维持稳增。HVDC趋势确定，产品发布、出货可期。海外算力升级对AIDC要求持续提升，高压、直流、高功率趋势明显，英伟达再次明确并强调800V HVDC趋势，未来空间广阔。公司基于继电器行业积累，开发数据中心配套产品，目前已发布用于HVDC的高压直流继电器、小型断路器、连接器、浸没式液冷继电器等产品，后续有望依靠公司产品力及全球渠道&产能优势，逐步贡献明显增量。费用控制能力良好，经营性现金流增速较快。公司25Q1-3期间费用22.3亿元，同比+12.9%，费用率17.2%，同比-0.9pct，其中Q3销售/管理/财务/研发费用率同比-0.8/+0.4/+0.4pct/持平。25Q1-3经营性现金净流入15.7亿元，同比+30.5%，其中25Q3净流入7.4亿元，同比+228%。25Q3末存货34.9亿元，同比+20%。盈利预测与投资评级：预计公司25-27年归母净利润为19.9/23.2/26.9亿元（与此前预测保持一致），同比+22%/+17%/+16%，对应PE分别为21x、18x、16x，给予26年25x PE，目标价39.7元，维持“买入”评级。风险提示：下游需求不及预期，客户拓展不及预期，竞争加剧等。,,东吴证券,买入,[None],2025-11-01,,买入,7133210,pdf_downloads/2025/2025-11-01/600885-宏发股份（600885）：继电器龙头行稳致远，HVDC机会显著.pdf,600885,宏发股份,宏发股份（600885）：继电器龙头行稳致远，HVDC机会显著,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.9,
            ""eps"": null,
            ""pe"": 21
        },
        {
            ""year"": 2026,
            ""net_profit"": 23.2,
            ""eps"": null,
            ""pe"": 18
        },
        {
            ""year"": 2027,
            ""net_profit"": 26.9,
            ""eps"": null,
            ""pe"": 16
        }
    ]
}"
"刘俊,边文姣,陈爽,杨景文",2025年10月31日│中国内地 电气设备 公司公布三季度业绩：Q3实现营收45.67亿元（yoy+25.54%，qoq+4.65%），归母净利5.06亿元（yoy+18.95%，qoq-8.58%）。2025年Q1-Q3实现营收129.14亿元（yoy+18.82%），归母净利14.70亿元（yoy+15.78%），扣非净利14.10亿元（yoy+17.57%）。Q3收入同比增速较高，或主要受益于继电器各下游需求延续增长，同时公司继续提升市场份额、新门类产品加速放量。看好未来继电器与新门类产品多点开花，海外及数据中心等场景发力赋能业绩增长。维持“买入”评级。25Q3毛利率环比继续提升，期间费用率环比提升明显公司25Q3毛利率为35.35%，同比/环比-0.59/+0.69pct，公司在铜银等原材料价格涨价、部分产品竞争降价的背景下，通过加强成本费用管控提效、优化产品结构，实现毛利率环比进一步提升。25Q3净利率为14.63%，同比/环比-1.03/-2.20pct，环比下降主要系期间费用率提升。25Q3期间费用率18.86%，同比/环比+0.12/+3.71pct，其中管理/研发/财务费用率环比分别+1.61/+1.24/+1.09pct。现金流方面表现较好，25Q1-3经营活动产生的现金流量净额为15.73亿元，同比+30.49%。继电器优势持续强化，新门类协同模块化方案加速突破公司以继电器为基石业务，持续强化技术与制造优势，凭借较好的一致性、稳定性、可靠性表现不断扩大客户覆盖面、深化全球客户合作。同时积极拓展熔断器、薄膜电容等新门类，制定了5年方案规划，有助于督导阶段性目标的实现、驱动订单与业绩增长。此外，公司通过创新高压控制盒等模块化方案，打造多产品协同发展的生态。以高压控制盒为例，公司从核心部件高压直流继电器切入，逐步加码新门类产品，提高高压控制盒的自制比例，同时提高公司产品价值量。看好公司持续提升综合竞争力。数据中心元件与方案储备丰富，培育新增长点据公司官方微信公众号，面向数据中心，公司目前储备的产品包括继电器、连接器、电流传感器等元器件，低压开关柜、列头柜等低压配电解决方案，以及一/二次配电柜、真空断路器等中高压成套解决方案。随着AI数据中心供配电架构从交流向直流切换，以及对于供配电稳定性要求提升，公司的继电器等产品要求将同步提升，高压直流继电器、高压控制盒等方案有望加速渗透，将为公司注入新的增长动能。盈利预测与估值我们上调公司25-27年归母净利润（1.30%/2.10%/3.92%）为18.93/21.95/25.90亿元（三年复合增速为16.66%），对应EPS为1.30/1.50/1.77元。上调主要是考虑到下游景气向好，叠加公司持续提升全球市场份额，因而上调收入增速假设。基于可比公司PE均值给予公司26年29.71倍PE估值，对应目标价为44.68元（前值32.73元，对应25年25.57倍PE）。风险提示：下游行业需求不及预期，原材料价格上涨，新产品开发不及预期。,,华泰证券,买入,[None],2025-10-31,,买入,7096920,pdf_downloads/2025/2025-10-31/600885-宏发股份（600885）：看好继电器与新门类产品多点开花.pdf,600885,宏发股份,宏发股份（600885）：看好继电器与新门类产品多点开花,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.93,
            ""eps"": 1.30,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 21.95,
            ""eps"": 1.50,
            ""pe"": 29.71
        },
        {
            ""year"": 2027,
            ""net_profit"": 25.90,
            ""eps"": 1.77,
            ""pe"": null
        }
    ]
}"
"徐强,任苒威",维持“增持”评级。公司是全球继电器龙头企业，市场份额稳居全球首位。公司25年半年报业绩符合预期，我们维持公司25/26/27年净利润分别为18.8/22.25/25.62亿元，对应EPS分别为1.29/1.52/1.75元，参考可比公司估值，给予公司26年21.83xPE，并给予公司26年目标价为33.28元，维持“增持”评级。25H1业绩符合预期。25年H1营收83.47亿元，同比+15.43%，归母净利润+9.64亿元，同比+14.19%，扣非归母净利润9.27亿元，同比+17.85%。盈利能力方面，25年H1综合毛利率34.85%，同比-0.69pcts。持续巩固继电器龙头地位。公司持续巩固继电器全球龙头地位，围绕“75+”战略布局，其中“7”类核心继电器持续强化领先优势。2025年上半年，公司继电器业务实现收入76.14亿元，同比增长17.26%，全球市场份额稳居行业第一。分产品看，消费电子继电器受益于与家电头部品牌合作深化，发货稳步增长；高压直流继电器具备显著竞争力，顺应新能源汽车需求快速释放，同比持续高速增长；汽车继电器在国内新能源汽车产销增长及自主品牌渗透率提升带动下，实现快速增长。作为公司业务的基本盘，继电器业务的稳定发展为公司经营建立了良好的基础。新门类产品加速布局。“ 75+”战略中，“5+”指加快5+新门类产的发展。2025年上半年，公司低压电器业务受国内建筑配电低迷及高关税影响，但同比仍略有增长；陶瓷方体直流快速熔断器HPE509通过UL认证，标杆客户导入在即，业务有望进入良性发展期；电流传感器发货同比增长36%，应用领域持续拓展，市场空间有望进一步扩大；公司自研星载射频连接器成功应用于我国卫星互联网试验项目，产业链体系正加快完善；薄膜电容器发货同比增长31%，产品种类与下游应用持续丰富。在保持继电器业务稳定的情况下，公司第二门类产品的加速布局为公司业绩增长提供了有力的支撑。风险提示：原材料价格波动风险；市场竞争加剧风险；下游行业景气度不及预期,,国泰海通,增持,[None],2025-08-10,,买入,6293624,pdf_downloads/2025/2025-08-10/600885-宏发股份（600885）：业绩符合预期，新门类产品扎实发展.pdf,600885,宏发股份,宏发股份（600885）：业绩符合预期，新门类产品扎实发展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.8,
            ""eps"": 1.29,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.25,
            ""eps"": 1.52,
            ""pe"": 21.83
        },
        {
            ""year"": 2027,
            ""net_profit"": 25.62,
            ""eps"": 1.75,
            ""pe"": null
        }
    ]
}"
"王蔚祺,徐文辉","事件：公司发布2025半年度业绩，公司2025上半年实现营收83.5亿元，同比+15.4%，实现归母净利润9.64亿元，同比+14.2%，实现毛利率34.2%，同比-0.5pct；净利率15.3%，同比持平。对应2025Q2公司实现营收43.6亿元，同比+26%，环比+9.5%，2025Q2实现归母净利润5.5亿元，同比+13%，环比+35%。Q2毛利率34.6%，环比+0.9pct，Q2净利率16.8%，环比+3.1pct。国信电新观点：公司作为继电器行业全球龙头企业，同时不断提升全球市场份额，实现业绩稳步增长。我们维持原盈利预测，预计2025-2027年公司实现归母净利润19.39/21.21/23.39亿元，同比+19%/9%/10%，EPS分别为1.33/1.45/1.60元，对应估值分别为18.4/16.8/15.3倍，维持优于大市评级。风险提示：下游行业需求增速不及预期的风险；行业竞争加剧的风险；公司降本不及预期的风险。评论：7月29日，公司发布2025半年度业绩，公司2025上半年实现营收83.5亿元，同比+15.4%，实现归母净利润9.64亿元，同比+14.2%，实现毛利率34.2%，同比-0.5pct；净利率15.3%，同比持平。对应2025Q2公司实现营收43.6亿元，同比+26%，环比+9.5%，2025Q2实现归母净利润5.5亿元，同比+13%，环比+35%。Q2毛利率34.6%，环比+0.9pct，Q2净利率16.8%，环比+3.1pct。受益于新能源汽车行业需求高增，高压直流继电器景气度高。1)高压直流继电器方面，公司在手订单饱满，不断巩固市场龙头地位，公司披露目前全球市占率高于40%，整体受益于新能源汽车产销总量高速增长，业务收入同比持续高速增长，且新能源汽车高压控制盒项目顺利推进。我们预计2025年高压直流继电器业务贡献收入同比增速达到35%-40%。传统行业继电器稳步增长。1）家电继电器方面，2025上半年整体景气度延续，且旺季提前，公司下游客户较为稳定，且家电国补持续，全年行业需求有望维持稳步增长，我们估计2025家电用继电器出货同比增长5%-10%；2）新能源光储继电器方面，受益于2025年上半年国内光储行业抢装及海外出口抢运潮，该行业实现同比高速增长，随着亚非拉等新兴市场光储需求持续旺盛，公司海外项目不断拓展，我们预计该业务公司维持高速增长，我们预计2025年公司新能源光储继电器保持35%-40%同比增速；3）汽车继电器方面，2025年受益于新能源汽车行业高速增长，且同时公司市场份额持续提升，我们预计2025年该业务公司保持15%-20%同比增速；4）电力继电器方面，2025上半年需求增长放缓，预计后续伴随新兴市场需求增长，该业务有望维持增长，我们预计2025年该业务有望保持5%-10%同比增速。公司新产品有望迎来持续放量。公司在推动主营继电器业务实现高质量发展的同时，促进低压电器、薄膜电容器、连接器、电流传感器、熔断器五大新门类产品扎实发展。目前部分产品已开始在各类下游拓展应用，部分产品已经通过认证，后续公司新产品有望迎来持续放量。投资建议维持盈利预测，维持优于大市评级。公司作为继电器行业全球龙头企业，同时不断提升全球市场份额，实现业绩稳步增长。我们维持原盈利预测，预计2025-2027年公司实现归母净利润19.39/21.21/23.39亿元，同比+19%/9%/10%，EPS分别为1.33/1.45/1.60元，对应估值分别为18.4/16.8/15.3倍，维持优于大市评级。风险提示
下游行业需求增速不及预期的风险；行业竞争加剧的风险； 公司降本不及预期的风险",,国信证券,优于大市,[None],2025-08-04,,买入,6274030,pdf_downloads/2025/2025-08-04/600885-宏发股份（600885）：高压直流继电器景气驱动，公司业绩稳步增长.pdf,600885,宏发股份,宏发股份（600885）：高压直流继电器景气驱动，公司业绩稳步增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.39,
            ""eps"": 1.33,
            ""pe"": 18.4
        },
        {
            ""year"": 2026,
            ""net_profit"": 21.21,
            ""eps"": 1.45,
            ""pe"": 16.8
        },
        {
            ""year"": 2027,
            ""net_profit"": 23.39,
            ""eps"": 1.60,
            ""pe"": 15.3
        }
    ]
}"
"曾韬,段尚昌","事件：25H1公司实现营收83.5亿元，同比+15.4%，归母净利9.6亿元，同比+14.2%，扣非净利9.3亿元，同比+17.9%；毛利率34.2%，同比-0.54pcts，净利率15.3%，同比持平。25Q2公司实现营收43.6亿元，同/环比+15.5%/+9.6%；归母净利5.5亿元, 同/环比+13.3%/+34.5%；扣非净利5.5亿元, 同/环比+20.5%/+43.3%；毛利率34.7%，同比持平/环比+0.9pcts；净利率16.8%，同比持平/环比+3.1pcts；EPS为0.38元，符合预期。下游需求全面向好推动公司收入规模重回扩张区间。1）消费电子领域：功率继电器、信号继电器等产品受益于促消费政策，同比实现快速增长。预计全年维持稳健增长态势。2）工业装备领域：随着主要客户库存消耗完毕，工业继电器市场需求景气度呈现持续恢复状态。预计下半年延续复苏趋势。3）电力能源领域：受北美智能电表装表周期性回落影响，电力继电器同比基本持平；但在25H1新能源抢装效应后预计下半年有所回落。4）汽车交通领域：弱电汽车继电器受益于国内市场及自主品牌的份额提升，同比快速增长。高压直流系列产品维持高市占率，同时高容量控制盒产品开拓顺利。“75+战略”稳步推进，积极培育新增长曲线。25H1：1）低压电器受国内建筑配电市场不景气及关税抚动海外发货节奏影响略有下滑；2）薄膜电容器同增31%；3）连接器同比略有增长；4）电流传感器同增36%；5）陶瓷方体直流快速熔断器HPE509获UL认证，积极推进标杆客户项目及新客户导入。Q2毛利率环比改善。受益于规模化效应及人效提升等因素对冲高位材料成本效应，毛利率呈修复趋势。汇兑受益下期间费用率处于历史低位。投资建议：公司作为全球继电器领域龙头企业，战略布局优势明显，既有增速可观的高压直流继电器等，也有提供强势现金流的电力继电器等，同时积极开拓新品类新领域，未来空间可期。预计公司2025-2027年营收分别为162/184/199亿元；归母净利分别为18/21/27亿元，EPS1.3、1.4、1.8元/股，对应PE19x/16x/13x。首次覆盖给予“推荐”评级。风险提示：行业竞争加剧、全球贸易形势复杂多变、原材料价格上涨、新产品开发不及预期等风险",,银河证券,推荐,[None],2025-08-03,,买入,6290288,pdf_downloads/2025/2025-08-03/600885-宏发股份（600885）：2025年半年报业绩点评&首次覆盖报告：需求景气度向好，业绩稳健增长符合预期.pdf,600885,宏发股份,宏发股份（600885）：2025年半年报业绩点评&首次覆盖报告：需求景气度向好，业绩稳健增长符合预期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18,
            ""eps"": 1.3,
            ""pe"": 19
        },
        {
            ""year"": 2026,
            ""net_profit"": 21,
            ""eps"": 1.4,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 27,
            ""eps"": 1.8,
            ""pe"": 13
        }
    ]
}"
"张志邦,郑洋",主要观点：业绩公司发布2025年半年度报告，实现营收83.47亿元，同比增长15.43%，实现归母净利润9.64亿元，同比增长14.19%，实现扣非归母净利润9.27亿元，同比增长17.85%，毛利率为34.24%，同比-0.54pct。分季度看，2025Q2实现营收43.64亿元，同比增长15.51%，实现归母净利润5.53亿元，同比增长13.25%，实现扣非归母净利润5.46亿元，同比增长20.52%。毛利率为34.67%，同/环比分别+0.03/+0.90pct。电磁继电器持续领跑，高压控制盒同比高速增长公司继电器产品2025H1实现营收76.14亿元，同比增长17.26%，公司“7”类继电器产品优势进一步巩固和扩大。随着智能家居、工业自动化、光伏领域的强劲增长、全球电表智能化、汽车智能化和新能源汽车的快速发展等电磁继电器市场仍保持良好的发展态势，公司市占率位列全球第一。报告期内，新能源汽车产销总量高速增长，公司高压直流系列产品具备明显的综合竞争优势，并且顺应下游需求升级持续迭代，同比持续高速增长。新能源汽车高压控制盒项目推进顺利，同比高速增长。“5+”新门类产品扎实发展，市场拓展不断取得新突破开关电器、连接器、电容器、熔断器、电流传感器等“5+”产品扎实发展。其中，薄膜电容器发货同比增长31%，电流传感器发货同比增长36%，陶瓷方体直流快速熔断器 HPE509 斩获 UL 认证，后续随着熔断器标杆客户项目推进及新场景客户的导入，有望逐步步入稳定的良性发展轨道。投资建议我们预计25-27年收入分别为163.71/188.92/217.70亿元；归母净利润分别为19.61/22.81/24.87亿元，对应PE分别18.3/15.7/14.4倍，维持“买入”评级。风险提示原材料价格上涨风险；公司订单交付不及预期；行业竞争加速风险，继电器份额扩张不及预期；公司新业务扩张不及预期。,,华安证券,买入,[None],2025-08-01,,买入,6268867,pdf_downloads/2025/2025-08-01/600885-宏发股份（600885）：业绩符合预期，全球份额保持领先.pdf,600885,宏发股份,宏发股份（600885）：业绩符合预期，全球份额保持领先,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.61,
            ""eps"": null,
            ""pe"": 18.3
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.81,
            ""eps"": null,
            ""pe"": 15.7
        },
        {
            ""year"": 2027,
            ""net_profit"": 24.87,
            ""eps"": null,
            ""pe"": 14.4
        }
    ]
}"
"武浩,孙然",事件：公司2025H1年实现营业收入83.47亿元，同比+15.43%；归母净利润9.64亿元，同比+14.19%；实现扣非归母净利润9.27亿元，同比+17.85%。2025Q2公司实现营业收入43.64亿元，同比+15.51%；归母净利润5.53亿元，同比+13.25%。点评：继电器产品稳步增长，龙头地位稳固。1）2025H1消费电子继电器稳步增长，信号继电器快速增长；2）工业装备领域，工业继电器景气度持续复苏；3）2025H1电力继电器业务同比持平；4）汽车领域，随着电动化的持续，高压继电器持续高增，我们认为未来随着欧洲新能源车车渗透率上升，公司高压直流继电器有望维持高增态势。五大新门类产品扎实发展。1）低压电器领域，公司通过开拓新能源及工业、电网等应用市场，形成新的增长点，推动低压开关业务整体保持平稳发展；2）连接器方面，公司研发和生产的星载射频连接器支持了我国卫星互联网技术试验卫星的发射，进一步验证了产品品质的可靠性，未来公司将持续完善连接器全产业链体系；3）2025H1，公司电流传感器发货同比增长 36%，公司薄膜电容器发货同比增长 31%。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为19.7/22.7/26.0亿元，同比增长21%、16%、15%。截止7月30日市值对应25、26年PE估值分别是18/16倍，维持“买入”评级。风险因素：行业需求不及预期风险；技术迭代变化风险；原材料价格波动超预期风险；环保及安全生产风险等。,,信达证券,买入,[None],2025-07-30,,买入,6261562,pdf_downloads/2025/2025-07-30/600885-宏发股份（600885）：业绩稳步增长，高压继电器高增.pdf,600885,宏发股份,宏发股份（600885）：业绩稳步增长，高压继电器高增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 19.7,
            ""eps"": null,
            ""pe"": 18
        },
        {
            ""year"": 2026,
            ""net_profit"": 22.7,
            ""eps"": null,
            ""pe"": 16
        },
        {
            ""year"": 2027,
            ""net_profit"": 26.0,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
