author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"王玮嘉,黄波,李雅琳,胡知","2025年10月31日│中国内地 发电 广州发展发布三季报：Q3实现营收146.31亿元（yoy+11.4%，qoq+17.1%），归母净利5.24亿元（yoy+19.1%，qoq-55.7%），归母净利高于华泰预测（4.4~4.8亿元），主要是投资收益高于预期、期间费用低于预期。2025年Q1-Q3实现营收379.65亿元（yoy+5.4%），归母净利21.59亿元（yoy+36.1%），扣非净利8.84亿元（yoy-43.1%）。公司归母净利同比增长，受益于土地交储收益兑现、广东容量电价政策落地、新能源装机高增长及全产业链协同效应。中期分红落地，公司拟派发现金红利0.1元/股，合计派发3.51亿元，占前三季度归母净利的16.24%。维持“买入”评级。电力与新能源：结构优化，政策与装机双轮驱动火电业务韧性有望逐步体现，1-9月累计发电量124.29亿千瓦时（yoy-8.2%），其中南沙电厂优化运行方式增发效益电，带动Q3发电量yoy+4.8%至50.36亿千瓦时。尽管平均上网电价下降、1-9月yoy-8.7%、Q3 yoy-8.7%，但广东8月起上调气电容量电价至165~396元/千瓦·年、2026年起煤电容量电价提至165元/千瓦·年，固定成本回收得到保障。前三季度新能源新增装机116.44万千瓦，9月末累计装机达595.18万千瓦，带动1-9月风电/光伏发电量yoy+17%/+59%、Q3 yoy+1.7%/48%。佛山高明208MW/416MWh储能电站等项目即将投运，源网荷侧一体化布局成型。天然气与燃料：量增支撑，产业链优势凸显天然气业务量重回增长，1-9月供气量44.94亿方（yoy+1.8%），Q3 18.21亿方（yoy+11.6%）。其中1-9月/Q3管道燃气销量yoy+10.5%/+24.1%，分销与直供量是增长主力；1-9月/Q3 LNG销量yoy+10.1%/+43.1%，受益于城燃终端与批发气需求增长。广州LNG应急调峰站处于爬坡期，依托城市燃气管网与气电一体化优势，全产业链延伸持续创造价值。燃料业务规模扩容，1-9月煤炭销售量3,596万吨（yoy+16.4%），尽管煤价下行导致利润承压，但销量增长与煤炭采购票据结算占比提升（应付票据较去年末增长54.3%），体现公司煤炭业务活跃度与产业链话语权。维持盈利预测，基于26年估值上调目标价我们维持公司25-27年归母净利润预测为24.06/23.61/23.35亿元（三年复合增速为10.48%），对应BPS为7.95/8.24/8.54元。可比公司26E平均PB为1.1x，给予公司26E 1.1xPB，上调目标价至9.06元/股（前值8.73元，对应25年1.1xPB、可比均值1.1xPB）。风险提示：能源价格波动风险；项目建设不及预期风险；政策调整风险。",,华泰证券,买入,[None],2025-11-02,,买入,7230838,pdf_downloads/2025/2025-11-02/600098-广州发展（600098）：盈利韧性与分红回报有望彰显价值.pdf,600098,广州发展,广州发展（600098）：盈利韧性与分红回报有望彰显价值
"王玮嘉,黄波,李雅琳,胡知",首次覆盖广州发展并给予买入评级，目标价8.73元，基于2025E 1.1xPB。广州发展是粤港澳大湾区核心综合能源服务商，业务覆盖燃煤/天然气发电、新能源、天然气输配及贸易、能源物流、储能五大板块，形成“上游资源-中输管网-下游销售”全产业链布局。受益于全产业链协同、发电装机扩张与政策红利驱动，我们预计公司2025年EPS有望同比增长，2026-2027年有望保持稳健，BPS则有望持续增长。公司当前估值低于行业均值，我们看好公司估值修复，潜在催化包括广东煤电与气电容量电价率先提升、广州LNG应急调峰站接卸量增加与新能源装机规模增长。火电产能释放，容量电价托底，气电盈利弹性显著火电增量项目投产，增城旺隆气电、珠江电厂首台机组有望于2026/2027年投产，气电装机增长39%至326万千瓦、煤电装机重回314万千瓦。容量电价保障，2025年8月广东省气电容量电价率先提升，我们预计2025-2027年公司煤电/气电的容量收入占比有望从6%/9%增至10%/16%；电量电价下行有限，广东2025年年度长协电价接近地板价，为盈利提供“安全垫”。我们预计2025年火电点火价差同比小幅下降、2026-2027年保持平稳。我们预计2025-2027年公司火电毛利先降后升，其中气电毛利CAGR为13%、受益于新机组与容量收入增长。新能源装机高增长，技术进步与规模效应对冲电价压力我们预计2025-2027年风电/光伏合计新增装机175万/151万千瓦，2027年控股装机达419万/386万千瓦，新增项目集中于高利用小时区域。盈利韧性，平价项目占比上升导致售电价下降，我们预计2025-2027年风电售电价为419/398/378元/兆瓦时，光伏为442/418/396元/兆瓦时，但技术进步与规模效应带来更低的度电折旧，有望对冲电价压力。精益运营，2024年26个场站入选行业对标优胜名单，风机利用率领先行业。我们预计2025-2027年公司新能源毛利CAGR为12%。稳健现金流支撑高比例分红，兼顾防御属性2022-2024年公司分红比例均超50%，高于公司股东回报规划。我们看好公司2025-2027年维持不低于50%的分红比例，对应预期股息率分别为5.4%/5.3%/5.3%，高于可比公司均值3.5%。2022-2024年公司FCFF为-16.5亿/-36.5亿/+19.5亿元，随着利润增长、资本开支趋于稳定，我们预计2025-2027年FCFF为-4.8亿/-2.3亿/+5.0亿元，融资压力逐年减小。我们与市场观点不同之处市场认为煤电受西电东送挤压，利用小时持续承压；我们认为煤电韧性被低估，广东已明确2026年煤电容量电价提至165元/千瓦，有望对冲电量下滑，2025年中长协电价接近地板价、2026年预期降幅有限。市场认为气电盈利波动大，依赖补贴政策；我们认为气电成本可控，公司长协气源占比80%，高效机组低气耗锁定毛利，2025-2027年度电毛利有望保持稳定。预测BPS逐年增长，给予目标价8.73元考虑到土地交储收益，我们预测公司2025-2027年归母净利为24.1亿/23.6亿/23.4亿元，同比+39%/-1.9%/-1.1%，对应BPS为7.94/8.24/8.54元。可比公司2025E平均PB为1.1x。给予公司2025E 1.1xPB，目标市值306亿元，目标股价8.73元/股。风险提示：能源价格波动风险；项目建设不及预期风险；政策调整风险。,,华泰证券,买入,[None],2025-09-07,,买入,6397265,pdf_downloads/2025/2025-09-07/600098-广州发展（600098）：综合能源龙头，成长与分红双引擎.pdf,600098,广州发展,广州发展（600098）：综合能源龙头，成长与分红双引擎
"查浩,刘晓宁,邓思平",广州发展(600098)投资要点：广州市属综合能源平台，多元发展实现对冲，业绩稳定性突出。公司实控人为广州市人民政府，已形成电力、能源物流、燃气、新能源、储能、能源金融等业务协同发展的能源产业体系。截至2024年底，公司电力总装机10.26GW，其中煤电3.14GW、气电2.34GW、风电2.44GW、光伏2.35GW。公司业务多元协同，除煤电外另持有大量稳定收益类资产，能够有效平滑其业绩波动。公司业绩稳健，2017年以来除火电公司普遍大幅亏损的2021年均实现稳定增长。2024年公司实现归母净利润17.32亿元，同比增长5.73%。公司连续26年稳定分红，多年分红比例稳定在50%左右，2024年分红比例54.67%，对应年末股息率4.21%。聚焦大湾区火电，煤价回落后火电具备业绩弹性。公司火电机组集中在粤港澳大湾区电力负荷中心，受广东省电力供需及现货电价影响，2024年以来公司火电利用小时数有所下滑；2025年广东省年度长协电价同比下滑0.074元/千瓦时，预计将影响公司火电电价；但成本端煤价亦持续回落，2025年二季度以来秦皇岛港口5500大卡动力煤现货均价634元/吨，同比下降214元/吨，期待后续低煤价在燃料成本端的改善效果对公司火电业绩的增益作用。新能源业务快速发展，规划到2025年底新能源装机规模达8GW。公司新能源项目主要分布于华南、华中、华北、西南等电价较高、消纳情况较好的地区，公司规划到2025年底新能源装机规模达8GW，新能源装机投产有望持续为公司贡献发电增量。电价方面，受新增项目均为平价项目及新能源入市影响，公司新能源电价有所下滑，2024年公司风电、光伏上网电价分别为0.458、0.508元/千瓦时，分别同比下滑0.065、0.016元/千瓦时。燃气项目聚焦广州，销气量增长稳健。公司下属广州燃气集团是广州市城市燃气高压管网建设和天然气购销唯一主体，公司广州LNG应急调峰气源站于2023年投产，另参股珠海金湾LNG接收站和广东大鹏LNG接收站。近年来公司天然气销气量稳定增长，2024年公司完成管道燃气销售量21.66亿立方米，同比增长26.18%，公司下属珠江LNG电厂二期于2023年投产，2024年贡献供气增量，2024年公司分销与直供销气量同比增长49.84%。盈利预测与估值：我们预计公司2025-2027年归母净利润分别为18.49、21.20、23.73亿元，同比增速分别为6.74%、14.70%、11.91%，当前股价对应的2025-2027年PE分别为12、10、9倍。首次覆盖，给予“买入”评级。风险提示：电价下行风险；煤价上涨风险；天然气价格上涨风险；新能源项目建设不及预期,,华源证券,买入,[None],2025-07-01,,买入,6198869,pdf_downloads/2025/2025-07-01/600098-广州发展（600098）：广州市属综合能源平台稳增长高股息迎发展.pdf,600098,广州发展,广州发展（600098）：广州市属综合能源平台稳增长高股息迎发展
"郭荆璞,杨耀廷","本期【卓越推】组合：广州发展（600098）

广州发展（600098）（2017-3-3收盘价11.16元）

核心推荐理由：

1、我国经济新常态，其核心原因并不仅仅是产能过剩。而是当今各国在科技发展以及理论创新层面缺乏重大进展，现有的制造业水平和加工体系被中国赶超。高度同质化的产品，却没有产生与之匹配的需求增长。各国产品展开存量价格博弈之时，只好在质量、服务、成本等各个方面展开竞争。从而对企业管理、效率，以至于国家的整体生产力水平、利率汇率、环境容量等内容，提出了更高的挑战。在当前科技发展已经陷入低速开展的情况下，相关领域的重大突破仍需做长期的准备。因此，基于存量生产力的优化与改造，为之提供各类政策保障，成为我们最关注的主要课题。

2、东部地区所拥有的物流优势使之在改革开放的大潮中可以优先受益。并迅速形成了良好的政策环境、管理水平和供应链体系。中西部地区，虽然随着经济的不断发展，也进入了快速增长的通道，但在诸多发展要素中，仍然存在较大的差距。但其可以利用能源、人口等资源优势，在经济发展中获得应有的地位。中国制造在地域范围内的分工协作，是我们产品拥有核心竞争力的基础。不以效率提升为目的进行产业转移，只能付出更多的成本。特别是在当前经济发展的存量博弈格局之下，东部地区的竞争优势十分明显。

3、能源行业涉及国计民生，整个人类社会发展的方方面面都与之建立了千丝万缕的联系。随着社会的不断近步，人们对于生活品质、能量密度、成本、便捷等方面，也提出了更高的要求，已经成为影响当今社会的最主要元素。只有能满足相关需求的公司才可以长期得到消费者的信赖，从而获得良好的发展。优秀的企业管理者，是企业发展，更是社会进步的重要保障。特别是对于能源这种需要多重协调管理能力的行业，更需要与之匹配的人才队伍。发现这样的团队，成为投资者的主要工作。

4、天时，地利，人和齐备，长期投资价值凸显。在拥有政策支持及鼓励的行业中，寻找位于优势地理位臵、公司长期成长能力明确，管理优秀的企业。

市场表现催化剂：国企改革预期提升管理层凝聚力，电力体制改革提升行业效率，油气行业改革降低公司成本。

盈利预测与投资评级：我们预计公司2016-2018年每股收益分别为0.51元、0.65元和0.76元。我们看好公司未来能够继续通过燃气业务的增长、电力业务的恢复以及金融业务的快速发展来为股东创造更多的价值。特别是在国资改革的宏观背景下，公司高效管理团队提供了双赢的选择。做为珠三角的优质标的，我们维持对公司的“买入”评级。

风险因素：宏观经济持续低迷；原材料价格波动的风险；同业竞争加剧；汇率波动风险；政策风险等。

相关研究：《20150819广州发展（600098）：大而灵动，能源领域的“广州号”导弹驱逐舰》；《20150911广州发展（600098）上半年公司盈利不及预期，未来增长预期仍然存在》；《家有白富美，何惧资产荒——2016年度电力行业策略》《20160503广州发展（600098）：周期影响虽在，难掩优势布局》；《20160823广州发展（600098）：电力主业趋暖，燃气燃料迅增》；《20170104广州发展（600098）：情满珠江——改革霓虹灯下的能源标兵》",,信达证券,买入,[None],2017-03-06,,买入,1936856,pdf_downloads/2017/2017-03-06/600098-广州发展(600098)：公用事业.pdf,600098,广州发展,广州发展(600098)：公用事业
"郭荆璞,杨耀廷","本期【卓越推】组合：广州发展（600098）

广州发展（600098）（2017-2-24收盘价11.11元）

核心推荐理由：

1、我国经济新常态，其核心原因并不仅仅是产能过剩。而是当今各国在科技发展以及理论创新层面缺乏重大进展，现有的制造业水平和加工体系被中国赶超。高度同质化的产品，却没有产生与之匹配的需求增长。各国产品展开存量价格博弈之时，只好在质量、服务、成本等各个方面展开竞争。从而对企业管理、效率，以至于国家的整体生产力水平、利率汇率、环境容量等内容，提出了更高的挑战。在当前科技发展已经陷入低速开展的情况下，相关领域的重大突破仍需做长期的准备。因此，基于存量生产力的优化与改造，为之提供各类政策保障，成为我们最关注的主要课题。

2、东部地区所拥有的物流优势使之在改革开放的大潮中可以优先受益。并迅速形成了良好的政策环境、管理水平和供应链体系。中西部地区，虽然随着经济的不断发展，也进入了快速增长的通道，但在诸多发展要素中，仍然存在较大的差距。但其可以利用能源、人口等资源优势，在经济发展中获得应有的地位。中国制造在地域范围内的分工协作，是我们产品拥有核心竞争力的基础。不以效率提升为目的进行产业转移，只能付出更多的成本。特别是在当前经济发展的存量博弈格局之下，东部地区的竞争优势十分明显。

3、能源行业涉及国计民生，整个人类社会发展的方方面面都与之建立了千丝万缕的联系。随着社会的不断近步，人们对于生活品质、能量密度、成本、便捷等方面，也提出了更高的要求，已经成为影响当今社会的最主要元素。只有能满足相关需求的公司才可以长期得到消费者的信赖，从而获得良好的发展。优秀的企业管理者，是企业发展，更是社会进步的重要保障。特别是对于能源这种需要多重协调管理能力的行业，更需要与之匹配的人才队伍。发现这样的团队，成为投资者的主要工作。

4、天时，地利，人和齐备，长期投资价值凸显。在拥有政策支持及鼓励的行业中，寻找位于优势地理位臵、公司长期成长能力明确，管理优秀的企业。

市场表现催化剂：国企改革预期提升管理层凝聚力，电力体制改革提升行业效率，油气行业改革降低公司成本。

盈利预测与投资评级：我们预计公司2016-2018年每股收益分别为0.51元、0.65元和0.76元。我们看好公司未来能够继续通过燃气业务的增长、电力业务的恢复以及金融业务的快速发展来为股东创造更多的价值。特别是在国资改革的宏观背景下，公司高效管理团队提供了双赢的选择。做为珠三角的优质标的，我们维持对公司的“买入”评级。

风险因素：宏观经济持续低迷；原材料价格波动的风险；同业竞争加剧；汇率波动风险；政策风险等。

相关研究：《20150819广州发展（600098）：大而灵动，能源领域的“广州号”导弹驱逐舰》；《20150911广州发展（600098）上半年公司盈利不及预期，未来增长预期仍然存在》；《家有白富美，何惧资产荒——2016年度电力行业策略》《20160503广州发展（600098）：周期影响虽在，难掩优势布局》；《20160823广州发展（600098）：电力主业趋暖，燃气燃料迅增》；《20170104广州发展（600098）：情满珠江——改革霓虹灯下的能源标兵》",,信达证券,买入,[None],2017-03-01,,买入,1934128,pdf_downloads/2017/2017-03-01/600098-广州发展(600098)：公用事业.pdf,600098,广州发展,广州发展(600098)：公用事业
"郭荆璞,杨耀廷","本期【卓越推】组合：广州发展（600098）

广州发展（600098）（2017-2-17收盘价10.92元）

核心推荐理由：

1、我国经济新常态，其核心原因并不仅仅是产能过剩。而是当今各国在科技发展以及理论创新层面缺乏重大进展，现有的制造业水平和加工体系被中国赶超。高度同质化的产品，却没有产生与之匹配的需求增长。各国产品展开存量价格博弈之时，只好在质量、服务、成本等各个方面展开竞争。从而对企业管理、效率，以至于国家的整体生产力水平、利率汇率、环境容量等内容，提出了更高的挑战。在当前科技发展已经陷入低速开展的情况下，相关领域的重大突破仍需做长期的准备。因此，基于存量生产力的优化与改造，为之提供各类政策保障，成为我们最关注的主要课题。

2、东部地区所拥有的物流优势使之在改革开放的大潮中可以优先受益。并迅速形成了良好的政策环境、管理水平和供应链体系。中西部地区，虽然随着经济的不断发展，也进入了快速增长的通道，但在诸多发展要素中，仍然存在较大的差距。但其可以利用能源、人口等资源优势，在经济发展中获得应有的地位。中国制造在地域范围内的分工协作，是我们产品拥有核心竞争力的基础。不以效率提升为目的进行产业转移，只能付出更多的成本。特别是在当前经济发展的存量博弈格局之下，东部地区的竞争优势十分明显。

3、能源行业涉及国计民生，整个人类社会发展的方方面面都与之建立了千丝万缕的联系。随着社会的不断近步，人们对于生活品质、能量密度、成本、便捷等方面，也提出了更高的要求，已经成为影响当今社会的最主要元素。只有能满足相关需求的公司才可以长期得到消费者的信赖，从而获得良好的发展。优秀的企业管理者，是企业发展，更是社会进步的重要保障。特别是对于能源这种需要多重协调管理能力的行业，更需要与之匹配的人才队伍。发现这样的团队，成为投资者的主要工作。

4、天时，地利，人和齐备，长期投资价值凸显。在拥有政策支持及鼓励的行业中，寻找位于优势地理位臵、公司长期成长能力明确，管理优秀的企业。

市场表现催化剂：国企改革预期提升管理层凝聚力，电力体制改革提升行业效率，油气行业改革降低公司成本。

盈利预测与投资评级：我们预计公司2016-2018年每股收益分别为0.51元、0.65元和0.76元。我们看好公司未来能够继续通过燃气业务的增长、电力业务的恢复以及金融业务的快速发展来为股东创造更多的价值。特别是在国资改革的宏观背景下，公司高效管理团队提供了双赢的选择。做为珠三角的优质标的，我们维持对公司的“买入”评级。

风险因素：宏观经济持续低迷；原材料价格波动的风险；同业竞争加剧；汇率波动风险；政策风险等。

相关研究：《20150819广州发展（600098）：大而灵动，能源领域的“广州号”导弹驱逐舰》；《20150911广州发展（600098）上半年公司盈利不及预期，未来增长预期仍然存在》；《家有白富美，何惧资产荒——2016年度电力行业策略》《20160503广州发展（600098）：周期影响虽在，难掩优势布局》；《20160823广州发展（600098）：电力主业趋暖，燃气燃料迅增》；《20170104广州发展（600098）：情满珠江——改革霓虹灯下的能源标兵》",,信达证券,买入,[None],2017-02-21,,买入,1930394,pdf_downloads/2017/2017-02-21/600098-广州发展(600098)：公用事业.pdf,600098,广州发展,广州发展(600098)：公用事业
"郭荆璞,杨耀廷","本期【卓越推】组合：广州发展（600098）

广州发展（600098）（2017-2-10收盘价12.08元）

核心推荐理由：

1、我国经济新常态，其核心原因并不仅仅是产能过剩。而是当今各国在科技发展以及理论创新层面缺乏重大进展，现有的制造业水平和加工体系被中国赶超。高度同质化的产品，却没有产生与之匹配的需求增长。各国产品展开存量价格博弈之时，只好在质量、服务、成本等各个方面展开竞争。从而对企业管理、效率，以至于国家的整体生产力水平、利率汇率、环境容量等内容，提出了更高的挑战。在当前科技发展已经陷入低速开展的情况下，相关领域的重大突破仍需做长期的准备。因此，基于存量生产力的优化与改造，为之提供各类政策保障，成为我们最关注的主要课题。

2、东部地区所拥有的物流优势使之在改革开放的大潮中可以优先受益。并迅速形成了良好的政策环境、管理水平和供应链体系。中西部地区，虽然随着经济的不断发展，也进入了快速增长的通道，但在诸多发展要素中，仍然存在较大的差距。但其可以利用能源、人口等资源优势，在经济发展中获得应有的地位。中国制造在地域范围内的分工协作，是我们产品拥有核心竞争力的基础。不以效率提升为目的进行产业转移，只能付出更多的成本。特别是在当前经济发展的存量博弈格局之下，东部地区的竞争优势十分明显。

3、能源行业涉及国计民生，整个人类社会发展的方方面面都与之建立了千丝万缕的联系。随着社会的不断近步，人们对于生活品质、能量密度、成本、便捷等方面，也提出了更高的要求，已经成为影响当今社会的最主要元素。只有能满足相关需求的公司才可以长期得到消费者的信赖，从而获得良好的发展。优秀的企业管理者，是企业发展，更是社会进步的重要保障。特别是对于能源这种需要多重协调管理能力的行业，更需要与之匹配的人才队伍。发现这样的团队，成为投资者的主要工作。

4、天时，地利，人和齐备，长期投资价值凸显。在拥有政策支持及鼓励的行业中，寻找位于优势地理位臵、公司长期成长能力明确，管理优秀的企业。

市场表现催化剂：国企改革预期提升管理层凝聚力，电力体制改革提升行业效率，油气行业改革降低公司成本。

盈利预测与投资评级：我们预计公司2016-2018年每股收益分别为0.51元、0.65元和0.76元。我们看好公司未来能够继续通过燃气业务的增长、电力业务的恢复以及金融业务的快速发展来为股东创造更多的价值。特别是在国资改革的宏观背景下，公司高效管理团队提供了双赢的选择。做为珠三角的优质标的，我们维持对公司的“买入”评级。

风险因素：宏观经济持续低迷；原材料价格波动的风险；同业竞争加剧；汇率波动风险；政策风险等。

相关研究：《20150819广州发展（600098）：大而灵动，能源领域的“广州号”导弹驱逐舰》；《20150911广州发展（600098）上半年公司盈利不及预期，未来增长预期仍然存在》；《家有白富美，何惧资产荒——2016年度电力行业策略》《20160503广州发展（600098）：周期影响虽在，难掩优势布局》；《20160823广州发展（600098）：电力主业趋暖，燃气燃料迅增》；《20170104广州发展（600098）：情满珠江——改革霓虹灯下的能源标兵》",,信达证券,买入,[None],2017-02-14,,买入,1921853,pdf_downloads/2017/2017-02-14/600098-广州发展(600098)：公用事业.pdf,600098,广州发展,广州发展(600098)：公用事业
"郭荆璞,杨耀廷","本期内容提要:

我国经济新常态，其核心原因并不仅仅是产能过剩等我们耳熟能详的词语。而是当今各国在科技发展以及理论创新层面缺乏重大进展，现有的制造业水平和加工体系被中国赶超。高度同质化的产品，却没有产生与之匹配的需求增长。各国产品展开存量价格博弈之时，只好在质量、服务、成本等各个方面展开竞争。从而对企业管理、效率，以至于国家的整体生产力水平、利率汇率、环境容量等内容，提出了更高的挑战。在当前科技发展已经陷入低速开展的情况下，相关领域的重大突破仍需做长期的准备。因此，基于存量生产力的优化与改造，为之提供各类政策保障，成为我们最关注的主要课题。

由于我国地域面积广阔，各个地区之间经济发展及物资供应水平存在极大的差异。东部地区所拥有的物流优势，使之在改革开放的大潮中可以优先受益。并迅速形成了良好的政策环境、管理水平和供应链体系。中西部地区，虽然随着经济的不断发展，也进入了快速增长的通道，但在诸多发展要素中，仍然存在较大的差距。但其可以利用能源、人口等资源优势，在经济发展中获得应有的地位。中国制造在地域范围内的分工协作，是我们产品拥有核心竞争力的基础。不以效率提升为目的进行产业转移，只能付出更多的成本。特别是在当前经济发展的存量博弈格局之下，东部地区的竞争优势十分明显。

能源行业涉及国计民生，整个人类社会发展的方方面面都与之建立了千丝万缕的联系。随着社会的不断近步，人们对于生活品质、能量密度、成本、便捷等方面，也提出了更高的要求，已经成为影响当今社会的最主要元素。只有能满足相关需求的公司才可以长期得到消费者的信赖，从而获得良好的发展。优秀的企业管理者，是企业发展，更是社会进步的重要保障。特别是对于能源这种需要多重协调管理能力的行业，更需要与之匹配的人才队伍。发现这样的团队，成为投资者的主要工作。

天时，地利，人和齐备，长期投资价值凸显。在拥有政策支持及鼓励的行业中，寻找位于优势地理位置、公司长期成长能力明确，管理优秀的企业。

市场表现催化剂：国企改革预期提升管理层凝聚力，电力体制改革提升行业效率，油气行业改革降低公司成本。

盈利预测与投资评级：我们预计公司2016-2018年每股收益分别为0.51元、0.65元和0.76元，对应当前股价PE为22倍，17倍，15倍。我们看好公司未来能够继续通过燃气业务的增长、电力业务的恢复以及金融业务的快速发展来为股东创造更多的价值。特别是在国资改革的宏观背景下，公司高效管理团队提供了双赢的选择。做为珠三角的优质标的，我们维持对公司的“买入”评级。

风险因素：宏观经济持续低迷；原材料价格波动的风险；同业竞争加剧；汇率波动风险；政策风险等。",,信达证券,买入,[None],2017-01-05,,买入,1907112,pdf_downloads/2017/2017-01-05/600098-广州发展(600098)跟踪报告：情满珠江——改革霓虹灯下的能源标兵.pdf,600098,广州发展,广州发展(600098)跟踪报告：情满珠江——改革霓虹灯下的能源标兵
"王传晓,贾宁","核心观点

三季度业绩回升，同比增长9.22%，符合预期：

公司日前发布2016年三季报，报告期内公司实现营业收入160.36亿元，同比增长19.13%；实现归属母公司净利润9.90亿元，同比增长0.44%。对应EPS为0.36元。其中，三季度实现营业收入53.80亿元，同比增长7.55%；实现归属母公司净利润4.93亿元，同比增长9.22%；三季度EPS为0.18元。

燃气板块快速增长，天然气发电将助推工业用气放量

1~9月管道燃气销售量7.85亿方，同比增长7.63%，其中工业用气1.38亿方，同比增长10.36%。据悉，广州市发改委在9月中旬公示，计划新建六个天然气发电项目及一批能源站项目。我们认为，随着新项目的推进，到2020年天然气在一次能源消费的比重将提高至10%以上。考虑到广州使用天然气历史不长，其应用比例处于底部，而电厂的燃煤改燃气是电力发展的必然趋势。因此，在电力供应过剩的大背景下，电力结构的调整势在必行，转型后发电企业的天然气需求会成为公司的又一增长点。

电力板块业绩下滑趋缓，光伏和分布式能源站是亮点

2016年7-9月，公司合并口径发电企业累计完成发电量51.91亿千瓦时，上网电量48.73亿千瓦时，与去年同期相比分别增长了9.14%和9.04%。其中光伏发电同比增长123.67%。2016年1-9月，公司合并口径发电企业累计完成发电量122.45亿千瓦时，上网电量114.85亿千瓦时，与去年同期相比分别下降了2.02%和2.14%。其中光伏发电同比增长101.24%。我们认为，在火电板块下行的现状下，公司的光伏发电和分布式能源站带来新的亮点，考虑到公司的地缘优势，火电机组利用小时数同比高于同区域其他发电公司。预计未来公司电力板块的业绩将逐渐趋于稳定。

投资建议

我们维持【买入】的观点，基于2016年289亿市值，目标价为10.61元。

风险提示

1）宏观经济持续下滑，用电需求不振，造成电力板块业绩持续下滑；

2）广州市城市燃气管网改造滞后；

3）煤改气进度滞后，天然气需求增长低于预期；",,川财证券,买入,[None],2016-11-04,,买入,1882613,pdf_downloads/2016/2016-11-04/600098-广州发展(600098)三季报点评：燃气增长迅速，电力下滑趋缓.pdf,600098,广州发展,广州发展(600098)三季报点评：燃气增长迅速，电力下滑趋缓
"王传晓,贾宁","核心观点

燃气的应用与城市地位不符，增长空间大

广州作为经济发展水平领先城市，天然气渗透率过低，利用规模还处在初步开发阶段，与一线城市身份不符，与上海、重庆等城市存在较大差距，2015年广州天然气供气量为16.8亿方，远低于上海（69.3亿方）与重庆（80亿方）。我们认为，无论是在民用还是在工业领域，广州天然气需求市场都有很大的增长空间，在十三五期间将会实现年复合15%的高速增长。

安全边际高，天然气发电助推工业用气应用放量

随着我国清洁能源使用率的提升，到2020年天然气在一次能源消费的比重将提高至10%以上。我们认为，广州使用天然气历史不长，其应用比例仍处于底部，而电厂的燃煤改燃气是电力发展的必然趋势。因此，在电力供应过剩的大背景下，电力结构的调整势在必行，转型后发电企业的天然气需求会成为公司的又一成长点。

电力板块业绩稳定，分布式能源站有序开展

我们认为，公司目前是燃气与电力双主业，2015年业绩贡献比例约为2:3，今年燃气业绩比重有望高于电力，随着未来广州燃气应用市场的增长，燃气将发挥更重要的作用。

投资建议

我们首次覆盖给予【买入】的投资评级，基于2016年289亿市值，目标价为10.61元。

风险提示

1）宏观经济持续下滑，用电需求不振，造成电力板块业绩持续下滑；

2）广州市城市燃气管网改造滞后；

3）煤改气进度滞后，天然气需求增长低于预期；",,川财证券,买入,[None],2016-09-02,,买入,1855331,pdf_downloads/2016/2016-09-02/600098-广州发展(600098)：被低估的燃气标的.pdf,600098,广州发展,广州发展(600098)：被低估的燃气标的
