author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"姚雪梅,樊俊豪","公司发布2025年年度业绩预告，预计全年实现归母净利润13.7-14.3亿元，同比增长89.2%-97.4%，实现扣非归母净利润8.3-8.9亿元，同比增长20.1%-28.8%（差额主要系太阳谷合并报表后确认为投资收益约人民币5.5亿元）。其中单四季度预计实现扣非净利润1.98-2.58亿元，同比下降20.1%-38.7%。25H2饲料原材料价格同比企稳而行业鸡价同比持续下跌，导致公司净利润同比转负。但在鸡价承压背景下，公司生产效率持续优化，结合全产业链模式带来稳固的单羽盈利优势，维持“买入”评级。种源迭代+精细化管理，造肉成本显著优化2025年行业白羽鸡主产品均价8864元/吨，同比下降6%，公司通过显著的降本增效、长期稳固的渠道溢价优势，在行业价格端下行的压力下逆势取得利润增长。公司2025年鸡肉销量151.6万吨，同比+8%，由于鸡价承压，鸡肉收入144.3亿元，同比+4%。经我们测算，公司2025年屠宰量约7.2亿羽，全年鸡肉完全成本约9200元/吨，同比下降5%，其中单四季度下降至8900-9000元/吨。我们认为，公司造肉成本持续优化主要系（1）自研种鸡圣泽901持续向901+、903版本迭代优化，种源效率提升对成本的贡献持续释放，公司全年多项生产指标创历史最佳水平；（2）数智化建设持续赋能，运营效率全面提升。渠道结构持续优化，高价值渠道快速增长公司2025年深加工收入97.7亿元，同比+25%，由于并购太阳谷，深加工利润有所增长。公司持续减少农批流通渠道占比，高附加值渠道收入高速增长，其中（1）C端全年收入同比增长超过30%，其中零售线下渠道收入同比增长超过40%，成为拉动C端收入增长的重要引擎；（2）出口渠道全年收入同比增长超过60%；（3）餐饮渠道各板块收入也均取得亮眼增长。盈利预测与估值我们调整公司2025-2027年归母净利润为13.98/12.46/17.41亿元，（前值12.84/16.43/18.90亿元，调整幅度为8.89%/-24.18%/-7.90%）,调整盈利预测主要系鸡价预期调整，2025年行业祖代、父母代存栏保持同比增加，对美引种中断并未改变2026年供给偏多的状态，因此下调2026-2027年鸡价假设和盈利预测。参考可比公司 2026 年预期均值1.50xPB，考虑到公司白羽鸡种源-食品全产业链优势相对可比公司更加显著，给予公司2026年2.02xPB，维持目标价19.41元（前值19.41元，对应25年2.15xPB），维持“买入”评级。风险提示：公司销量增长/售价表现不及预期，突发大规模禽流感疫情等。",,华泰证券,买入,[None],2026-01-16,,买入,8336799,pdf_downloads/2026/2026-01-16/002299-圣农发展（002299）：成本持续优化，超额盈利优势稳固.pdf,002299,圣农发展,圣农发展（002299）：成本持续优化，超额盈利优势稳固
"林逸丹,王艳君,巩健,蔡子慕",维持增持评级。基于公司产品销量的提升和成本的下降，以及价格的趋势，我们维持公司25-27年EPS为1.10/1.21/1.53元。参考可比公司，并考虑公司全产业链龙头低位，以及行业价格未来有望修复，给予公司2025年PE 20X，维持目标价至22.0元。圣农发展发布25年三季报，25年前三季度实现营业收入147.1亿元，同比+6.9%；实现归母净利润11.6亿元，同比+202.8%；实现扣非归母6.3亿元，同比+71.7%。其中25Q3实现营业收入58.5亿元，同比+18.8%；实现归母净利润2.5亿元，同比-11.4%。公司计划向全体股东每10股派发现金红利3元（含税），合计派发现金红利3.7亿元。内功精进，成本下降，但价格低迷仍是拖累。公司25Q3销售生鸡肉43.5万吨，同比+16.3%，前三季度累计销售109.9万吨，同比+7.4%；但是Q3价格仍然低迷，销售均价为9398元/吨，环比/同比分别-2.5%/-3.1%。新一代自研种鸡“圣泽901Plus”在料肉比等关键指标上持续优化，在公司内部的自用比例不断提升，带动成本持续下行，叠加公司持续推进经营管理的精益化，公司2025年1-9月综合造肉成本同比下行。肉制品高价值渠道占比持续提升。25Q3鸡肉制品销售15.2万吨，同比+52.8%，前三季度累计销售35.8万吨，同比+17.1%；销售价格同样低迷，Q3销售均价为18993元/吨，环比/同比分别-1.5%/-10.5%。公司坚定推进全渠道策略，凭借卓越的产品力与优质服务，逆势扩大市场份额。其中，C端零售渠道同比增长超30%，出口渠道同比增长超40%，以及餐饮渠道各板块亦实现较快增长。随着高价值渠道占比的稳步提升，公司收入结构持续优化，为整体盈利的增长提供了更强支撑。风险提示。养殖疫病，需求不及预期，价格超预期下跌。,,国泰海通,增持,[None],2025-10-29,,买入,6945651,pdf_downloads/2025/2025-10-29/002299-圣农发展（002299）：25年三季报点评：内功持续精进，价格拖累业绩.pdf,002299,圣农发展,圣农发展（002299）：25年三季报点评：内功持续精进，价格拖累业绩
"张斌梅,樊嘉敏",业绩逆势环增，经营韧性突出公司公告2025年三季度报告。2025年前三季度公司营业总收入147.06亿元，同比增长6.86%，归母净利润11.59亿元，同比增长202.82%；扣非归母净利润6.32亿元，同比增长71.72%；2025年第三季度公司营业收入58.49亿元，同比增长18.77%，归母净利润2.49亿元，同比减少11.4%；扣非归母净利润2.57亿元，同比减少6.88%，环比增加24.9%。高额溢价持续，经营韧性突出。2025年前三季度公司销售鸡肉109.9万吨，同比增长7.4%；销售均价9578元/吨，同比下跌3.1%；第三季度公司销售鸡肉43.5万吨，同比增长16.3%；销售均价9398元/吨，同比下跌5.9%， 2025年第三季度行业鸡肉价格表现低迷，一方面公司依托高于行业的均价，缓冲行业下行带来的压力，2025Q3公司鸡肉均价较行业溢价778元/吨，持续4个季度超过600元/吨，价格优势稳固，近年来公司在客户结构、渠道结构上的优化得到充分体现；另一方面，伴随着公司自有种源“901+”性能提升以及内部使用占比逐步提升，同时公司持续推行精细化管理，各环节生产效率不断提升，2025年1-9月综合造肉成本较去年同比下行。坚定推进全渠道策略，逆势扩大市场份额。2025年前三季度深加工食品业务收入69.11亿元，同比增长17.1%；第三季度深加工食品业务收入28.85亿元，同比增长36.7%。公司坚定推进全渠道策略，逆势扩大市场份额，其中，C端零售渠道同比增长超30%，出口渠道同比增长40%。此外，太阳谷并表后，公司通过前期的产业赋能与精益化管理导入，太阳谷自身经营效率显著提升，并表后至三季报，太阳谷为公司新增利润4981.5万元。投资建议：公司为白鸡龙头，领跑行业优势持续，预计2025-2027年实现归母净利润14.09亿元、10.6亿元、12.06亿元，同比分别+94.5%、-24.8%、+13.8%，对应2025年15.3xPE，维持“买入”评级。风险提示：鸡苗价格波动、原材料价格波动、发生鸡类疫病等。,,国盛证券,买入,[None],2025-10-28,,买入,6897879,pdf_downloads/2025/2025-10-28/002299-圣农发展（002299）：业绩逆势环增，经营韧性突出.pdf,002299,圣农发展,圣农发展（002299）：业绩逆势环增，经营韧性突出
"鲁家瑞,李瑞楠,江海航",Q3收入实现同环比较快增长，但行情低迷导致盈利承压。公司2025前三季度实现营业收入147.06亿元，同比+6.86%，其中Q3实现营业收入58.49亿元，环比+23.36%，同比+18.77%，主要得益于C端零售及出口销量增长;公司前三季度实现归母净利润11.59亿元，同比+202.82%，其中Q3实现归母净利润7.63亿元，环比-67.40%，同比-10.64%，得益于公司自有种源“901+”性能提升，内部使用占比逐步提升，以及公司管理的持续精细化，公司前三季度造肉成本同比下行。然而Q3受白羽肉鸡行情回落影响，盈利同环比下降明显。全渠道策略成效显现，C端零售维持快速增长，Q3出口表现亮眼。参考公司销售月报，2025Q3家禽饲养板块销售量43.52万吨，同比+16.27%，收入为40.90亿元，同比+12.64%，对应销售均价9.40元/kg，同比-3.12%；深加工肉制品板块销量为15.19万吨，同比+52.82%，收入为28.85亿元，同比+36.73%，对应销售均价18.99元/kg，同比-10.53%。报告期内公司坚定推进全渠道策略，凭借较强产品力与优质服务优势逆势扩大市场份额，前三季度C端零售渠道收入同比增长超30%，另外出口业务7、8月份表现尤为亮眼，收入同比增速分别高达100%+和90%+。费用率维持平稳，利润率同比改善。公司2025前三季度销售毛利率12.17%，同比+1.86pct，销售净利率7.97%，同比+5.30pct，主要得益于主业成本下降和投资收益增加。公司2025前三季销售费用率3.52%（同比+0.13pct），管理费用率2.26%（+0.13pct），财务费用率0.66%（-0.30pct），三项费用率合计6.44%，同比-0.04pct，整体维持平稳。主业规模及效率提升，经营现金流同比改善明显。公司2025前三季度经营性现金流净额为30.86亿元，同比+37.71%；经营性现金流净额占营业收入比例为20.99%（同比+4.70pct）；销售商品提供劳务收到的现金占营业收入比例为108.45%（同比+4.29pct）。资产周转方面，2025前三季度公司存货天数61天（同比-10%），应收账款周转天数25天（同比+37%）。风险提示：养殖疫病风险；饲料原料价格大幅波动风险；食品安全风险等。投资建议：我们维持公司2025-2027年归母净利润预测为13.8/12.1/14.8亿元，对应2025-2027年每股收益分别为1.1/1.0/1.2元。公司作为国内白羽肉鸡一体化自养龙头，中长期有望保持成本优势并受益白羽肉鸡板块景气修复，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-10-26,,买入,6796457,pdf_downloads/2025/2025-10-26/002299-圣农发展（002299）：2025 三季报点评：全渠道策略成效显现，Q3收入同比增长近20%.pdf,002299,圣农发展,圣农发展（002299）：2025 三季报点评：全渠道策略成效显现，Q3收入同比增长近20%
"陈雪丽,王高展",销量稳增发力C端，高分红彰显投资价值，维持“买入”评级圣农发展发布2025年三季度报告，2025Q1-Q3营收147.06亿元，同比+6.86%，归母净利润11.59亿元，同比+202.82%。单Q3营收58.49亿元，同比+18.77%，归母净利润2.49亿元，同比-11.40%。公司经营稳健，业绩向好，我们维持盈利预测不变，预计公司2025-2027年归母净利润为13.35/15.64/17.40亿元，对应EPS为1.07/1.26/1.40元，当前股价对应PE为15.1/12.8/11.5倍，公司鸡肉销量稳增成本改善，发力C端，高分红彰显投资价值，维持“买入”评级。鸡肉销量稳增成本持续下降，C端及出口持续发力持续增长家禽饲养加工业务：2025Q1-Q3公司鸡肉销量109.86万吨(同比+7.4%)，销售收入105.22亿元(同比+4.1%)，销售均价约9577.64元/吨(同比-3.1%)。公司鸡肉销量稳步提升，养殖成本同环比均下降。食品加工业务：2025Q1-Q3公司肉制品销量35.76万吨(同比+33.8%)，销售收入69.11亿元(同比+17.1%)，销售均价约19326.06元/吨(同比-12.5%)，销量增长驱动营收规模扩大。公司零售C端、出口等渠道保持高速增长，带动销售结构优化，产品价格更具韧性。公司财务状况改善，高分红彰显投资价值截至2025年9月末，公司资产负债率51.58%(同比-1.21pct)，账面货币资金18.45亿元(同比+73.20%)。公司公告2025年前三季度利润分配预案，预计派发现金红利3.71亿元（含税），占前三季度利润32%。公司资产负债率下降，账面资金同比增长，财务持续改善，高分红彰显公司投资价值。风险提示：疫病风险，鸡肉价格波动风险，原材料价格波动风险等。,,开源证券,买入,[None],2025-10-23,,买入,6694161,pdf_downloads/2025/2025-10-23/002299-圣农发展（002299）：公司信息更新报告：销量稳增发力C端，高分红彰显投资价值.pdf,002299,圣农发展,圣农发展（002299）：公司信息更新报告：销量稳增发力C端，高分红彰显投资价值
王莺,"主要观点：2025Q3扣非后归母净利2.6亿元，9月末资产负债率降至51.6%公司公布2025年三季报：1-9月实现收入147.1亿元，同比+6.9%，归母净利润11.6亿元，同比+202.8%，扣非后归母净利润6.32亿元，同比+71.7%，主要是公司并购参股公司安徽太阳谷后产生的公允价值变动，以及成本持续改善所致；分季度看，Q1-Q3扣非后归母净利分别为1.7亿元、2.1亿元、2.6亿元。2025年9月末，公司资产负债率51.6%，较二季末-3.6pct，同比-1.2pct。5月完成太阳谷并表，Q3公司鸡肉、深加工销售明显提速2025年5月21日，安徽太阳谷完成100%并表，并表后至9月末，太阳谷已为公司新增利润4,981.51万元。太阳谷现有6500万羽养殖产能和8万多吨熟食产能，本次合并后，公司可充分发挥种源自主可控与全产业链布局的协同优势，加速对太阳谷的深度整合与技术、管理赋能，进一步挖掘其盈利潜力。1H2025，公司鸡肉生食销量66.09万吨，同比+2.5%，深加工肉制品产品销量17.45万吨，同比+13.21%。根据公司月报，2025Q3公司鸡肉销量43.52万吨，同比+16.3%，公司深加工肉制品销量15.19万吨，同比+52.8%，随着太阳谷的并表，公司鸡肉销量增速、深加工肉制品增速较上半年均有明显提升。2025年1-9月综合造肉成本同比下行，高价值渠道占比稳步提升2018年以来，公司综合造肉成本保持下行态势，成本领先优势已成为保障公司盈利能力的核心竞争壁垒。“圣泽901Plus”的料肉比等关键指标持续优化，在公司内部的自用比例不断提升，带动成本持续下行，叠加经营管理精益化，2025年1-9月公司综合造肉成本同比下降。公司坚定推进全渠道策略，凭借卓越的产品力与优质服务，逆势扩大市场份额。其中，C端零售渠道同比增长逾30%，出口渠道同比增长逾40%，餐饮渠道各板块也实现较快增长。随着高价值渠道占比的稳步提升，公司收入结构持续优化，为整体盈利增长提供支撑。投资建议我们预计，2025-2027年公司鸡肉销量153.2万吨、160.8万吨、168.9万吨，同比分别增长9.2%、5.0%、5.0%，肉制品销量38.0万吨、41.8万吨、46.0万吨，同比分别增长20%、10%、10%，实现收入194.72亿元、214.09亿元、229.18亿元，同比分别增长4.8%、9.9%、7.1%，对应归母净利14.14亿元、13.66亿元、15.06亿元，同比分别增长95.2%、-3.4%、10.3%，归母净利润前值2025年13.54亿元、2026年15.63亿元、2027年15.03亿元，本次调整的原因是，我们修正了2025-2027年公司鸡肉价格、鸡肉成本、肉制品价格、肉制品成本预期。公司作为我国最大的白羽肉鸡全产业链公司，圣泽901Plus生产指标不断优化，成本优势日益突显，我们维持公司“买入”评级不变。风险提示疫情；鸡价长期底部震荡；原材料价格大幅波动；进出口政策变化。",,华安证券,买入,[None],2025-10-22,,买入,6682297,pdf_downloads/2025/2025-10-22/002299-圣农发展（002299）：综合造肉成本同比下行，Q3销量明显提速.pdf,002299,圣农发展,圣农发展（002299）：综合造肉成本同比下行，Q3销量明显提速
肖珮菁,"事件：公司前三季度营收+6.86%，归母净利润+202.82%。公司2025年前三季度实现营业收入147.06亿元（同比+6.86%），归母净利润11.59亿元（同比+202.82%）；单三季度收入58.49亿元（同比+18.77%），归母净利润2.49亿元（同比-11.40%）。公司前三季度毛利率12.17%，同比+1.86pcts(其中单三季度毛利率12.47%)；净利率7.97%，同比+5.30pcts(其中单三季度净利率4.31%)。公司拟每10股派发3元，共派发现金红利3.7亿元。白鸡价格触底反弹，销量延续较快增长。分业务看，1）家禽饲养加工业务，销量延续较快增长，2025年单三季度实现营业收入35.83亿元（同比-1.3%），销量同比43.51万吨（同比+16.2%，前三季度同比+7.4%）。三季度以来,供应整体仍存压力，旺季催化需求边际好转，白鸡价格触底反弹，据博亚和讯，3Q2025白羽肉鸡平均价为6.91元/公斤，同比-7.02%。2）深加工肉制品业务，2025年单三季度实现营业收入33.92亿元（同比+60.8%），销量15.19万吨（同比+52.8%，前三季度同比+33.8%）。公司完成对太阳谷的控股合并，并表后至报告日，太阳谷为上市公司新增利润4981.51万元。精细化管理成本下行，持续推进全渠道策略。1）成本优势稳固。公司自研种鸡关键指标持续优化，内部自用比例不断提升，经营管理精益化持续推进，前三季度综合造肉成本同比下行。 2）渠道及产品优势加强。公司持续推进全渠道策略，收入结构持续优化，产品力提升，助力盈利较快增长；公司C端零售渠道同比增长超30%，出口渠道同比增长超40%，餐饮渠道较快增长。投资建议：我们预计公司2025-2027年实现营业收入198.86/210.69/223.30亿元，归母净利润14.94/18.15/21.54亿元，10月21日收盘价对应PE分别为14.0/11.6/9.7倍，维持“增持”评级。风险提示：禽类价格波动风险；原材料价格波动风险；食品安全风险",,财通证券,增持,[None],2025-10-22,,增持,6679511,pdf_downloads/2025/2025-10-22/002299-圣农发展（002299）：精细化管理成本下行，持续推进全渠道策略.pdf,002299,圣农发展,圣农发展（002299）：精细化管理成本下行，持续推进全渠道策略
王莺,主要观点：1H2025扣非后归净利3.76亿元，6月末资产负债率55.2%1H2025公司实现收入88.56亿元，同比+0.2%，归母净利润9.1亿元，同比+791.9%，扣非后归母净利润3.76亿元，同比+305.4%，主要是公司并购参股公司安徽太阳谷后产生的公允价值变动，以及成本持续改善所致；2025年6月末，公司资产负债率55.2%，较一季末+4.9pct。5月完成太阳谷并表，7-8月报鸡肉、深加工销售明显提速2025年5月21日，安徽太阳谷完成100%并表，上半年给公司贡献利润0.85亿元，太阳谷现有6500万羽养殖产能和8万多吨熟食产能。1H2025，公司鸡肉生食销量66.09万吨，同比+2.5%，深加工肉制品产品销量17.45万吨，同比+13.21%。根据公司月报，2025年7-8月公司鸡肉销量分别为15.87万吨、13.74万吨，同比分别+22.9%、15.2%，7-8月公司深加工肉制品销量分别为5.16万吨、4.8万吨，同比分别+56.4%、47.5%，随着太阳谷的并表，公司鸡肉销量增速、深加工肉制品增速较上半年均有明显提升。1H2025公司综合造肉成本同比降逾10%，成本领先优势继续强化2018年以来，公司综合造肉成本保持下行态势，成本领先优势已成为保障公司盈利能力的核心竞争壁垒。1H2025，公司综合造肉成本同比降幅逾10%，成本下降主要原因是，公司自有种源“901+”性能提升、内部使用占比逐步提升，以及公司持续推行精细化管理，各环节生产效率不断提升。公司前期通过产业赋能与精益化管理导入，使得太阳谷自身经营效率显著提升，合并后公司可充分发挥种源自主可控与全产业链布局的协同优势，加速对太阳谷的深度整合与技术、管理赋能，进一步挖掘其盈利潜力，为公司未来业绩持续增长注入新动能。投资建议我们预计，2025-2027年公司鸡肉销量153.2万吨、160.8万吨、168.9万吨，同比分别增长9.2%、5.0%、5.0%，肉制品销量38.0万吨、41.8万吨、46.0万吨，同比分别增长20%、10%、10%，实现收入195.6亿元、215.0亿元、230.2亿元，同比分别增长5.2%、9.9%、7.1%，对应归母净利13.54亿元、15.63亿元、15.03亿元，同比分别增长87.0%、15.4%、-3.8%，归母净利润前值2025年9.77亿元、2026年13.01亿元、2027年13.69亿元，本次调整幅度较大的原因是，公司完成安徽太阳谷100%并表，我们修正了2025-2027年公司鸡肉销量、鸡肉价格、肉制品销量、肉制品价格预期。公司作为我国最大的白羽肉鸡全产业链公司，圣泽901Plus生产指标不断优化，成本优势日益突显，我们维持公司“买入”评级不变。风险提示禽流感疫情等；鸡价长期底部震荡；原材料价格大幅波动；进出口政策变化。,,华安证券,买入,[None],2025-09-29,,买入,6488788,pdf_downloads/2025/2025-09-29/002299-圣农发展（002299）：1H25综合造肉成本大降，7-8月销量明显提速.pdf,002299,圣农发展,圣农发展（002299）：1H25综合造肉成本大降，7-8月销量明显提速
"鲁家瑞,李瑞楠,江海航",投资收益确认，养殖成本优化，上半年归母净利润同比+792%。公司2025H1实现营业收入88.56亿元，同比+0.22%，其中Q2实现营业收入47.42亿元，环比+15.24%，同比+2.59%，主要得益于销量增长;公司2025H1实现归母净利润9.10亿元，同比+791.93%，其中Q2实现归母净利润7.63亿元，环比+416.89%，同比+365.12%，主要得益于两方面原因：（1）公司自有种源“901+”性能提升以及内部使用占比逐步提升，同时公司持续推动管理精细化，公司2025H1综合造肉成本较去年同期下降超10%；（2）公司报告期内完成对联营企业安徽太阳谷的控股合并，导致投资收益较去年同期增加5.68亿元。扣除非经常损益后，公司2025H1实现归母净利润3.76亿元，同比+305.44%。公司C端零售渠道维持同比30%以上增长。公司2025H1生食销售量66.09万吨，同比+2.50%，收入为46.74亿元，同比-8.17%，毛利率为6.34%，同比+2.37pct，主要得益于养殖成本下降；深加工肉制品板块销量为17.45万吨，同比+13.21%，收入为36.93亿元，同比+19.10%，毛利率为18.42%，同比-0.88pct。报告期内公司凭借产品力与优质服务优势逆势扩大市场份额，其中C端零售渠道收入同比增长超30%，出口及餐饮渠道各板块亦实现较快增长。费用率保持平稳，利润率同比改善。公司2025H1销售毛利率11.97%，同比+2.73pct，销售净利率10.39%，同比+9.42pct，主要得益于主业成本下降和投资收益增加。公司2025H1销售费用率3.46%（同比+0.01pct），管理费用率2.35%（+0.10pct），财务费用率0.80%（-0.22pct），三项费用率合计6.61%，同比-0.11pct，整体维持平稳。主业规模及效率提升，经营现金流同比改善明显。公司2025H1经营性现金流净额为14.25亿元，同比+37.95%；经营性现金流净额占营业收入比例为16.09%（同比+4.40pct）；销售商品提供劳务收到的现金占营业收入比例为107.84%（同比+6.96pct）。资产周转方面，2025H1公司存货天数72天（同比-0.53%），应收账款周转天数26.47天（同比+44.17%）。风险提示：养殖疫病风险；饲料原料价格大幅波动风险；食品安全风险等。投资建议：考虑到年内并表安徽太阳谷导致投资收益增加明显，我们上调公司2025年归母净利润预测至13.8亿元，维持2026-2027年归母净利润预测为12.1/14.8亿元，对应2025-2027年每股收益分别为1.1/1.0/1.2元。公司作为国内白羽肉鸡一体化自养龙头，中长期有望保持成本优势并受益白羽肉鸡板块景气修复，维持“优于大市”评级。,,国信证券,优于大市,[None],2025-08-21,,买入,6335660,pdf_downloads/2025/2025-08-21/002299-圣农发展（002299）：2025中报点评：投资收益确认，养殖成本优化，上半年归母净利润同比+792%.pdf,002299,圣农发展,圣农发展（002299）：2025中报点评：投资收益确认，养殖成本优化，上半年归母净利润同比+792%
"陈振志,张彦博",降本增效，盈利高增公司披露2025年半年报。公司2025年上半年实现营业收入88.56亿元，同比增长0.22%，归属净利润9.10亿元，同比增长791.93%，EPS为0.74元，加权平均ROE8.38%，同比上升7.38个百分点。公司2025年Q2实现营业收入47.42亿元，同比增长3%，归属净利润7.63亿元，同比增长365%。公司2025年上半年投资收益6.2亿元，同比增加5.7亿元，主要是完成对太阳谷的控股合并产生的投资收益。家禽饲养加工板块降本增效。公司2025年上半年鸡肉生食销售量66.09万吨，同比增长2.5%，家禽饲养加工板块实现营业收入46.74亿元，同比下滑8.17%，毛利率6.34%，同比上升2.37个百分点。受鸡肉市场价格同比下滑影响，公司家禽饲养加工板块营收同比有所下滑，但通过降本增效举措，使得业务维持良好盈利水平。公司2025年上半年综合造肉成本同比下降超10%，主要得益于公司自有种源“901+”性能提升和内部使用占比提升，以及各环节生产效率的提升。食品加工板块保持稳健增长。公司2025年上半年食品加工板块实现营业收入36.93亿元，同比增长19.10%，毛利率18.42%，同比下降0.88个百分点；深加工产品销售量17.45万吨，同比增长13.21%。公司2025年上半年坚定推进全渠道策略，逆势扩大市场份额，C端零售渠道同比增长超30%。公司2025年上半年完成对太阳谷的控股合并，安徽太阳谷成为公司的全资子公司，新增年产能6500万羽，有助于公司发挥种源自主可控与全产业链布局的协同优势，加速对太阳谷的深度整合与技术、管理赋能。投资建议我们预计公司2025-2027年归母净利润12.53/14.03/17.32亿元，对应EPS为1.01/1.13/1.39元，目前股价对应2025年PE为17倍，维持“买入-B”评级。风险提示畜禽疫情风险，自然灾害风险，原料涨价风险，运输不畅风险。,,山西证券,买入-B,[None],2025-08-20,,买入,6327859,pdf_downloads/2025/2025-08-20/002299-圣农发展（002299）：降本增效，盈利高增.pdf,002299,圣农发展,圣农发展（002299）：降本增效，盈利高增
