author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"武佳雄,顾真","晶澳科技海外出货占比稳步提升，员工持股彰显决心公司发布2025年三季报，前三季度亏损同比扩大；电池组件出货规模稳健，海外出货占比稳步提升；员工持股计划彰显公司增长决心；维持买入评级。支撑评级的要点2025年前三季度亏损同比扩大：公司发布2025年三季报，2025年前三季度公司实现收入368.09亿元，同比减少32.27%；实现归母净利润-35.53亿元，同比亏损扩大。2025Q3公司实现归母净利润-9.73亿元，同比由盈转亏，环比亏损扩大。公司电池组件出货规模稳健，出货结构优化：2025年前三季度，公司电池组件出货量 51.96GW, 组件海外出货量占比 49.78%。从季度出货结构角度，公司电池组件出货规模总体稳健，海外出货比例逐步上升。2025年前三季度，公司分别实现电池组件出货15.65GW、18.14GW、18.17GW，出货规模保持稳健，海外出货占比分别约为45%、47%、57%。我们认为，在公司海外出货占比提升的背景下，公司盈利修复空间具备弹性。反内卷扎实推进，光伏产业链涨价可期： 2025年10月28日，《中共中央关于制定国民经济和社会发展第十五个五年规划的建议》全文发布，明确提出综合整治“内卷式”竞争，强化反垄断和反不正当竞争执法司法，形成优质优价、良性竞争的市场秩序。我们认为，在“反内卷”持续深化的背景下，我国光伏产业链价格有望修复，并最终推动产业链盈利修复。员工持股计划彰显公司决心：2025年10月，公司披露《2025年员工持股计划（草案修订稿）》，考核目标分别为：以2024 年净利润为基数，2025 年净利润减亏不低于5%；2026年净利润为正。公司员工持股计划有利于保持对员工激励与约束的有效性，稳定和鞭策骨干员工，从而促进公司业绩持续稳定增长。",,中银国际,买入,[None],2025-11-06,,买入,7513397,pdf_downloads/2025/2025-11-06/002459-晶澳科技（002459）：海外出货占比稳步提升，员工持股彰显决心.pdf,002459,晶澳科技,晶澳科技（002459）：海外出货占比稳步提升，员工持股彰显决心
杨润思,2025年三季报点评：毛利率修复，现金流构筑安全垫2025年10月30日，公司披露三季报。2025年前三季度，公司实现营业收入368.09亿元，同比下降32.27%；归母净利润为-35.53亿元；基本每股收益为-1.08元。其中，第三季度单季实现营业收入129.04亿元，同比下降24.05%；归母净利润为-9.73亿元，环比基本持平。毛利率环比持续修复，费用管控成效显著。第三季度销售毛利率为-0.88%，虽仍处负值区间，但较第二季度的-0.95%、第一季度的-6.7%持续收窄，反映单位产品亏损压力边际缓解。第三季度销售费用2.09亿元（同比-31.49%）、管理费用3.98亿元（同比-15.90%）、研发费用1.79亿元（同比-18.92%），体现“三极降本”策略落地。现金流构筑安全垫，出货量稳居行业前列。截至9月末经营活动现金净流量累计为46.95亿元，货币资金余额242.42亿元，为公司连续15年保持经营性现金流为正的行业纪录，显著增强抗风险能力。前三季度电池组件出货量达51.96GW，其中海外出货占比49.78%，持续深化全球市场布局，形成差异化竞争壁垒。股权激励计划落地，H股上市预期催化市场关注。公司于2025年三季度推出覆盖1974名核心员工的股权激励方案（占总股本4.89%），有效激发骨干团队活力。同时加速推进H股上市进程以拓宽国际融资渠道，多重利好因素共振推动公司发展。上述举措充分体现公司在战略布局与资本运作层面的前瞻性布局。盈利预测：基于公司全球市场布局、行业处于出清阶段等因素，预计公司2025-2027年归母净利润为-46.73/28.55/38.87亿元，同增-0.4%/161.1%/36.1%。“反内卷”政策成效显著，产业链各环节改善，维持“买入”评级。风险提示：行业竞争加剧；海外市场不及预期；需求不及预期。,,国盛证券,买入,[None],2025-11-04,,买入,7396013,pdf_downloads/2025/2025-11-04/002459-晶澳科技（002459）：毛利率修复，现金流构筑安全垫.pdf,002459,晶澳科技,晶澳科技（002459）：毛利率修复，现金流构筑安全垫
"刘俊,边文姣,苗雨菲",晶澳科技为全球组件龙头，依托于技术领先优势，电池组件出货量保持行业领先地位，受制于光伏产业链供需错配，经营业绩承压。9M25实现营收368.09亿元，同比-32.27%，归母净利-35.53亿元，同比亏损加剧；其中3Q25实现营收129.04亿元（yoy-24.05%，qoq-2.48%），归母净利-9.73亿元（同比由盈转亏，环比亏损小幅增加）。公司海外市场持续开拓，成本管控能力优异，支撑3Q25毛利率环比略增。我们看好公司加码高功率组件产能，中东基地稳步推进，有望充分受益于组件价格回升，维持“增持”评级。Q3毛利率环比略增3Q25公司毛利率-0.88%，环比+0.07pct，考虑到上游硅料及辅材价格上涨，公司盈利能力小幅改善，我们认为主要得益于出货结构优化及成本管控能力。3Q25公司电池组件出货18.17GW，环比略增，其中海外占比57%，环比+10pct。3Q25公司销售/管理费用率分别为1.62%/3.09%，环比下降0.41/0.46pct。加码高功率产品，持续推进海外布局公司加码高功率产品，DeepBlue 5.0组件已在扬州基地成功下线并完成首批交付，迈入持续交付阶段，公司预计25年底1/3产能实现技术升级，且全部产能均具备效率进一步提升的能力。海外产能方面，公司持续推进阿曼电池组件项目建设，打造全球化供应链，持续服务高盈利市场。短期需求承压，静待组件价格回升国内反内卷政策推进下，组件价格出现上调趋势，考虑到海外市场报价参照国内市场，亦对海外市场价格形成一定支撑，尤其是中东和欧洲市场新签和未来订单价格上涨。展望后续，受4Q25及1Q26终端需求季节性减弱及节假日因素影响，价格支撑或短期承压，后续走势取决于反内卷政策落实成效。公司预计随着2Q26市场需求回升，组件价格有望上涨。我们看好公司高功率产品价格溢价显著，有望充分受益于组件价格回升。盈利预测与估值考虑到国内光伏抢装后需求回落，我们下调公司25-27年组件业务营收假设，叠加上游涨价短期或对公司盈利能力造成影响，我们下调公司25年组件业务毛利率假设，26-27年公司凭借海外市场拓展及高功率产品出货放量或有效对冲成本上升压力，维持组件业务毛利率假设不变，下调公司25-27年归母净利润为-43.80/16.84/31.77亿元（前值-32.32/19.37/32.46亿元），对应EPS为-1.32/0.51/0.96元。参考可比公司26年Wind一致预期均值为31.74xPE，我们给予公司26年31.74xPE，上调目标价为16.19元（前值13.4元，对应26年22.7xPE，主要系可比公司估值提升）。风险提示：下游需求不及预期、海外政策不确定性、海外产能建设不及预期、供给侧改革不及预期。,,华泰证券,增持,[None],2025-11-04,,增持,7380841,pdf_downloads/2025/2025-11-04/002459-晶澳科技（002459）：静待组件价格回升带动业绩修复.pdf,002459,晶澳科技,晶澳科技（002459）：静待组件价格回升带动业绩修复
"姚遥,张嘉文",业绩简评10月30日公司发布2025年三季报，前三季度实现营收368亿元，同比-32%；实现归母净利润-35.5亿元、扣非归母净利润-34.5亿元，亏损同比加深。其中Q3实现营收129亿元，同比-24%、环比-3%，实现归母净利润-9.73亿元，同比转亏，环比基本持平（Q2为-9.42亿元）。经营分析出货环比持平，海外占比维持较高水平。前三季度公司电池组件出货量51.96GW（含自用139MW），其中组件海外出货量占比49.78%，维持较高水平；测算公司Q3电池组件出货18.2GW，环比基本持平。原材料涨价背景下盈利维持平稳。三季度产业链上游价格显著上涨，但电池组件环节并未完全顺价，据硅业分会及InfoLink，Q3国内多晶硅/硅片/电池片/组件价格涨幅分别为56%/50%/ 36%/2%，电池组件环节经营承压。公司凭借精益管理维持盈利平稳，Q3实现销售毛利率-0.88%，环比略回升0.1 PCT，测算组件单位亏损环比持平。经营性现金流持续为正，在手现金充足，启动H股发行提升综合竞争力。公司现金管理能力优秀，经营承压背景下持续维持现金净流入，Q3在亏损背景下实现经营活动现金净流入1.87亿元。截至报告期末公司货币资金余额242亿元，在手现金充足助力公司穿越周期。此外，公司已启动发行境外上市外资股（H股）股票并申请在香港联合交易所有限公司主板挂牌上市工作，有望提高公司资本实力和综合竞争力。股权激励彰显扭亏信心，“反内卷”有望推动产业链景气度修复。公司2025年股票期权激励计划行权条件要求，2025年净利润减亏不低于5%、2026年净利润回正，充分彰显扭亏信心。6月底以来光伏行业反内卷推进，预计后续随着下游价格传导，产业链景气度有望修复，带动公司电池组件盈利持续改善。盈利预测、估值与评级根据我们最新的产业链价格预测，调整公司2025-2027年归母净利润预测至-44、19、36亿元。公司为一体化龙头，存量PERC产能减值计提较为充分，在手现金充裕抗风险能力较强，光伏“反内卷”推进下盈利有望逐步改善，股权激励彰显扭亏信心，维持“买入”评级。风险提示国际贸易环境恶化，需求不及预期，行业竞争加剧。,,国金证券,买入,[None],2025-10-31,,买入,7097630,pdf_downloads/2025/2025-10-31/002459-晶澳科技（002459）：亏损环比持稳，经营现金流持续正流入.pdf,002459,晶澳科技,晶澳科技（002459）：亏损环比持稳，经营现金流持续正流入
"曾朵红,郭亚男",投资要点公司发布2025年中报，25H1营收239亿元，同-36%，归母净利润-25.8亿元，同-195.1%，毛利率-3.5%，同-7.4pct，归母净利率-10.8%，同-8.5pct；其中25Q2营收132.3亿元，同环比-38.1％/+24％，归母净利润-9.4亿元，同环比+140.6%/+42.5％，毛利率-1%，同环比-4/+5.8pct，归母净利率-7.1%，同环比-5.3/+8.2pct。单瓦盈利转好， Q2大幅减亏：25H1公司电池组件出货量33.79GW（含自用119MW），其中组件海外出货量占比约45.93%。25Q2出货18GW左右，环增15%，我们测算Q2单瓦亏损约3分，环比减亏7分左右，环比明显改善，原因：①国内136号文抢装涨价，②我们测算美国出货由130MW提升至590MW，③人民币贬值。Q3看需求好于预期，出货将继续环增，我们预计公司25年出货75-80GW。公司发布股权激励、员工持股、回购计划，彰显走出低谷的决心。公司拟回购2-4亿元，用于员工持股计划或股权激励，拟对董事、高管、核心技术人员及骨干人员等57人实行员工持股，拟授予1975名核心人员（含董事、高管及骨干）1.62亿股（占股本4.89%）为激励，考核25年净利润减亏不低于5%（以2024年为基数），2026年净利润转正。Q2继续降费、现金流大幅改善。公司25H1期间费用15.3亿元，同-35.3%，费用率6.4%，同0.1pct，其中Q2期间费用6.9亿元，同环比-32.3%/-17.3%，费用率5.2%，同环比0.4/-2.6pct；25H1经营性净现金流45.1亿元，同+342.4%，其中Q2经营性现金流37.2亿元，同环比120.9%/372.7%；25H1资本开支20.3亿元，同-75.5%，其中Q2资本开支3.4亿元，同环比-91.4%/-79.5%；25H1末存货99.8亿元，较年初-5.6%。盈利预测与投资评级：由于上半年光伏行业竞争依然激烈，公司盈利承压，我们下调25-26年盈利预测，预计25-27年归母净利润分别为-31.2/10.6亿元（原预期25/26年为21.6/36.5亿元），新增预期27年归母净利润30.3亿元，同比+33%/+134%/188%，考虑到行业供给侧改革，公司作为光伏一体化组件领先企业有望充分受益，维持“买入”评级。风险提示：行业装机不及预期、行业自律不及预期、政策不及预期。,,东吴证券,买入,[None],2025-08-27,,买入,6355318,pdf_downloads/2025/2025-08-27/002459-晶澳科技（002459）：2025年中报点评：25Q2组件大幅减亏，现金流显著改善，股权激励彰显信心.pdf,002459,晶澳科技,晶澳科技（002459）：2025年中报点评：25Q2组件大幅减亏，现金流显著改善，股权激励彰显信心
"贺朝晖,周涛","事件：公司发布2025年中报，25H1实现营收239.05亿元，同比-36.01%；实现归母净利润-25.80亿元，同比-195.13%；扣非归母净利润-22.87亿元，同比-179.23%。其中25Q2实现营收132.33亿元，环比+24%，实现归母净利润-9.42亿元，环比Q1（-16.38亿元）大幅减亏42.49%；扣非归母净利润-8.81亿元，环比Q1（-14.06亿元）减亏37.34%。Q2亏损显著收窄，海外出货保持较高占比。25Q2公司实现归母净利润-9.42亿元，环比减亏42.49%，毛利率-0.95%，环比+5.76pct，亏损收窄趋势明显。25H1公司实现电池组件出货33.79GW（含自用119MW），其中组件海外出货占比45.93%。分季度看，Q1公司电池组件出货量15.65GW（含自用33MW），Q2电池组件出货18.14GW（含自用86MW），环比+15.9%，主要受益于国内抢装潮推动组件价格修复及需求回升。光伏行业“反内卷”政策落地显效，公司海外布局与技术创新双提速。6月底以来光伏行业“反内卷”扎实推进，光伏产业链多个环节价格已上涨，8月19日六部委联合召开光伏产业座谈会，进一步明确组件价格上行预期。公司在海外共设立16个销售公司，服务网络覆盖178个国家和地区，并积极拓展东南亚、澳洲、拉美、中东、非洲等新兴市场。25H1研发投入13.88亿元，占营收比重5.81%。截至报告期末，公司拥有有效专利2,072项，其中发明专利1,109项。公司推出的高功率DeepBlue5.0组件产品转换效率达24.8%，具备更优的BOS与LCOE表现。在BC电池领域，公司发布“晶弦”细栅互联技术，助力组件功率提升超10W、效率突破25%。目前，其n型倍秀（Bycium+）电池量产转换效率已最高达到27%。股权激励彰显发展信心，经营现金流显著改善。公司发布《2025年股票期权激励计划》，设定行权条件为2025年净利润减亏不低于5%（2024年为基数）、2026年净利润为正。同时，公司计划在12个月内拟回购2-4亿元用于员工持股计划或者股权激励，同时下修可转债转股价，多措并举彰显信心。25H1公司经营活动产生的现金流量净额为45.08亿元，同比+342.44%。截至报告期末公司具有货币资金260.75亿元，现金储备充裕，资金安全垫厚实，有力支撑公司抵御行业周期波动。此外，公司已启动发行境外上市外资股（H股）股票并申请在香港联合交易所有限公司主板挂牌上市工作，有望提高公司资本实力和综合竞争力。投资建议：公司作为光伏一体化龙头企业，有望受益于光伏行业“反内卷”的落地显效，随着降本增效的推进与海外布局提速，业绩有望修复。我们预计公司2025-2027归母净利润分别为-32.85、21.84及34.02亿元，对应EPS分别为-0.99、0.66及1.03元/股，P/E分别为-13、19、12倍，维持“增持”评级。风险提示：全球产业政策风险、阶段性供需失衡风险、技术迭代风险。",,华金证券,增持,[None],2025-08-27,,增持,6354930,pdf_downloads/2025/2025-08-27/002459-晶澳科技（002459）：25Q2环比大幅减亏，海外布局提速.pdf,002459,晶澳科技,晶澳科技（002459）：25Q2环比大幅减亏，海外布局提速
"徐强,徐柏乔,吴志鹏",投资建议：25Q2公司已实现利润环比减亏，25H2有望继续改善，根据员工持股计划草案，26年净利润有望扭亏。我们预计公司25-27年的归母净利润分别为-38.73/19.64/39.48亿元，EPS分别为-1.17/0.59/1.19元/股。参考可比公司，给予公司2026年25xPE，目标价为14.84元，维持“增持”评级。行业价格低迷导致上半年业绩受损。25H1，公司实现营业收入239.05亿元，同比下降36.01%，归母净利润-25.8亿元，扣非净利润-22.87亿元。25Q2，实现营业收入132.32亿元，归母净利润-9.42亿元，扣非净利润-8.81亿元，亏损环比收窄，经营活动现金流净额37.21亿元，环比大幅改善。25年上半年行业竞争持续加剧，各环节主要产品价格对比同期整体承压下行，同时国际贸易保护政策加剧，导致公司组件销售均价和盈利能力同比下降，经营业绩出现阶段性亏损。推进全球化布局，启动港股上市工作。为进一步推动公司全球化发展战略，加快市场、供应链、资本三位一体的全球化建设，公司已启动发行境外上市外资股（H 股）股票并申请在香港联合交易所有限公司主板挂牌上市工作。通过优化全球物流网络布局，重塑多元化供应路径，可以降低贸易政策波动风险。发布员工持股计划，26年净利润有望转正。公司发布2025年员工持股计划草案，拟筹集资金总额上限为2.58亿元，在公司业绩考核层面，以24年的净利润为基数，25年净利润减亏不低于5%，26年净利润为正。我们认为，26年的业绩目标，体现了公司对行业反转和自身经营能力的信心，行业走出低谷的确定性越来越强，公司的成本管控能力也一直处于行业前列，有望率先走出困境。风险提示：竞争加剧；行业需求下滑；政策风险；产能不达预期；技术进步不及预期。,,国泰海通,增持,[None],2025-08-27,,买入,6353066,pdf_downloads/2025/2025-08-27/002459-晶澳科技（002459）：2025年半年报点评：25Q2业绩环比改善，触底回升趋势显现.pdf,002459,晶澳科技,晶澳科技（002459）：2025年半年报点评：25Q2业绩环比改善，触底回升趋势显现
"张磊,李灵雪",事件2025年8月22日，晶澳科技发布2025年半年报，公司2025H1实现营业收入239.0亿元，同比减少36.0%，实现归母净利润-25.8亿元，上年同期为-8.7亿元，实现经营活动现金净流量45.1亿元，同比由负转正；其中2025Q2公司实现营业收入132.3亿元，同比减少38.1%，环比增长24.0%，实现归母净利润-9.4亿元，环比亏损有所收窄，实现销售毛利率-1.0%，同比下降4.0pct，环比提升5.8pct，公司Q2业绩整体表现环比有所改善。组件业务量利承压，储能领域继续推进2025H1公司光伏组件业务实现营业收入217.8亿元，同比减少38.4%，实现毛利率-6.0%，同比下降10.5pct，实现组件出货33.8GW，上年同期出货超38GW，海外出货占比约46%，其中Q2组件出货约18.1GW，环比增长约16%。公司继续推动储能业务拓展，光储融合整体解决方案产品覆盖户用、工商业以及集中式场景，2024年海外实现欧洲、非洲、南美洲等成功出货。产品矩阵纵横拓展，技术研发水平领先2025年公司丰富产品应用场景，推出极寒、高原、干热、沙尘、湿热、海洋等全场景解决方案，并发布高功率DeepBlue5.0组件产品，主推版型为行业主流2382mm*1134mm版型，最高功率达670W，最高效率达24.8%，采用Bycium+5.0电池技术和多项优化设计，实现85%双面率和出色的弱光发电能力。2025年6月，该系列组件经国际权威认证机构TÜV测试，转换效率达到25.5%，正面功率超过700W，处于行业领先水平。盈利预测与投资建议受行业竞争加剧持续影响，公司业绩短期承压较大，我们预计公司2025-2027年营业收入分别为590.4/704.1/807.8亿元，同比增速分别为-15.8%/19.3%/14.7%；归母净利润分别为-29.3/20.6/35.1亿元，同比增速分别为亏损收窄/扭亏为盈/70.3%。EPS分别为-0.89/0.62/1.06元。公司全球渠道优势突出、产能前瞻布局，技术研发优势突出，有望随行业β改善实现盈利显著修复，维持“买入”评级。风险提示：海外政策变动风险；行业竞争加剧；原材料价格大幅波动。,,国联民生证券,买入,[None],2025-08-26,,买入,6352841,pdf_downloads/2025/2025-08-26/002459-晶澳科技（002459）：业绩环比改善，稳健运营静待行业拐点.pdf,002459,晶澳科技,晶澳科技（002459）：业绩环比改善，稳健运营静待行业拐点
"邓永康,林誉韬,王一如,朱碧野",二季度亏损环比收窄，全球化布局加速事件2025年8月22日，公司发布2025年半年报，根据公告，公司25H1年实现收入239.05亿元，同比-36.01%；实现归母净利-25.80亿元，实现扣非归母净利-22.87亿元。分季度看，25Q2公司实现收入132.32亿元，同比-38.12%，环比+23.99%；归母净利-9.42亿元，扣非归母净利-8.81亿元，亏损环比收窄。公司业绩承压主要受光伏行业供需失衡、竞争加剧影响。出货量保持行业前列，坚持技术进步推动产业升级公司25H1电池组件出货量为33.79GW（含自用119MW），根据infolink统计，公司25H1组件出货量位列行业第三，其中海外出货占比达到45.93%。产能方面，24年末公司组件产能达到100GW，硅片与电池产能分别为组件产能的80%和70%。目前公司N型倍秀（Bycium+）电池量产转换效率最高已达到27%，通过正面低掺杂硼扩技术、背面局部poly技术、先进印刷技术等工艺技术改进，进一步提升倍秀（Bycium+）电池效率，保持与提升产品的核心竞争力。此外公司积极布局下一代电池技术，在加速BC电池研发的同时，钙钛矿叠层相关技术也有所储备。启动港股发行打造全球化资本运作平台，海外产能布局加速在国际贸易保护趋严的背景下，全球化发展为公司重要战略方向，为进一步推动全球化发展战略，公司已启动发行境外上市外资股（H股）股票并申请在港交所有限公司主板挂牌上市工作，我们认为，公司赴港上市有望拓宽融资渠道、改善现金流、加速海外产能建设，进而提升公司的国际影响力。此前公司已和阿曼苏哈尔港口与自由区签订土地租赁协议，计划投资5.65亿美元，在阿曼建设6GW电池片和3GW组件产能，预计产能将在26年投产。投资建议我们预计公司25-27年实现营业收入542.03/700.56/799.88亿元，归母净利润为-33.41/21.29/33.47亿元，根据8月22日收盘价，对应26-27年19x/12x。公司为光伏一体化组件领先企业，随着全球化布局加速和降本增效持续推进，有望在穿越周期后迎来市占率提升，维持“推荐”评级。风险提示原材料价格波动、下游需求不及预期、海外产能推进不及预期、大额资产减值影响利润等。,,民生证券,推荐,[None],2025-08-25,,增持,6345412,pdf_downloads/2025/2025-08-25/002459-晶澳科技（002459）：2025 年半年报点评：二季度亏损环比收窄，全球化布局加速.pdf,002459,晶澳科技,晶澳科技（002459）：2025 年半年报点评：二季度亏损环比收窄，全球化布局加速
"申建国,边文姣,周敦伟",2025年8月24日│中国内地 电源设备 晶澳科技发布半年报，2025H1实现营收239亿元，同比-36%，归母净利-25.8亿元，同比-195.1%，扣非净利-22.9亿元，同比-179.2%，其中25Q2归母净利-9.4亿元，环比+42.5%，主要系电池组件毛利率环比修复，以及汇兑正收益、转让子公司贡献投资收益。公司发布2025年股票股权激励考核目标为2025年净利润减亏不低于5%、2026年净利润为正，彰显公司发展信心。由于国内反内卷持续推进，组件价格呈上涨趋势，公司持续推动技术创新，加速中东产能布局，有望受益于产业链价格回升，维持“增持”评级。25Q2业绩环比减亏，电池组件出货环比提升25Q2公司实现收入132.3亿元，同/环比-38.1%/+24.0%，归母净利-9.4亿元，同/环比-140.6%/+42.5%，扣非净利-8.8亿元，同/环比-95.7%/+37.4%，业绩环比减亏，主要系国内组件价格修复、美国市场发货恢复，电池组件毛利率环比改善，以及汇兑正收益、转让子公司贡献投资收益。25Q2公司电池组件出货18.1GW，环比+15.9%，主要系国内抢装驱动。25Q2公司毛利率-1%，环比+5.8pct，财务费用率-1.8%，环比-1.8pct。发布员工持股计划及股权激励，彰显发展信心公司发布2025年员工持股计划与股票股权激励计划，绑定核心员工，有助于提升员工积极性。从股票股权激励考核目标来看，股票期权行权条件为2025年净利润减亏不低于5%、2026年净利润为正，彰显公司发展信心。公司在手资金充足，截至25H1末货币资金达260.7亿元；积极加码回购，拟未来12个月内回购2-4亿元以用于股权激励，并下修可转债转股价，切实维护投资者利益。国内反内卷稳步推进，公司坚持技术研发与海外布局25年8月19日工信部等六部委联合召开光伏企业座谈会，有助于推动反内卷持续推进；8月18日、8月22日，华润、华电组件集采均价已提升至0.71元/W以上，或强化组件价格提升落地可能性。公司保持技术研发投入，25H1研发费用3.4亿元，占营收比例为1.4%；N型倍秀电池量产转换效率最高达27%，通过工艺技术改进，提升产品核心竞争力；通过自主研发与合作研发相结合的方式加速BC电池技术的研发，并储备钙钛矿及叠层电池技术。海外布局方面，公司加速推进阿曼6GW电池+3GW组件项目建设，预计26Q1投产，有助于服务高盈利市场。盈利预测与估值由于美国加码贸易保护政策，或对公司出口美国造成不利影响，我们下调电池组件业务出货量及毛利率假设，预计公司25-27年归母净利为-32.32/19.37/32.46亿元（较前值下降244.81%/44.27%/33.11%）。考虑到国内反内卷稳步推进，组件价格持续修复可期，公司坚持技术创新，加码中东产能布局，有望受益于产业链价格回升，维持“增持”评级。我们看好26年行业供需格局修复，公司回归正常盈利区间，因此切换至26年估值。我们给予公司26年22.7xPE估值（可比公司26年Wind一致预期均值22.7x），对应目标价13.40元（前值10.72元，对应25年16xPE）。风险提示：下游需求不及预期、海外政策不确定性、海外产能建设不及预期、行业自律效果不及预期。,,华泰证券,增持,[None],2025-08-25,,增持,6342928,pdf_downloads/2025/2025-08-25/002459-晶澳科技（002459）：Q2业绩环比减亏，激励机制彰显发展信心.pdf,002459,晶澳科技,晶澳科技（002459）：Q2业绩环比减亏，激励机制彰显发展信心
