author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
朱珺,2025年10月31日│中国内地公司发布三季报：25年前三季度实现总营业收入91.59亿元（yoy-4.20%）；归母净利润17.01亿元（yoy+26.64%）；扣非后净利润15.68亿元（yoy+19.96%）。Q3单季度实现营收20.46亿元（yoy-11.98%），归母净利润1.15亿元（yoy-3.30%），扣非后归母净利0.54亿元（yoy-44.39%）。Q3收入有一定下滑，主因市场化教辅规范化带来影响。Q3利润总额增速为-31.28%；若再剔除信用减值、资产减值冲回处理及投资净收益变动后，25Q3内生利润下滑30.36%，主因收入下滑及管理费用率提升。Q3毛利率提升，管理费用率增加显著Q3毛利率37.14%，同增4.75pct，主因出版成本控制较好，发行环节自主开发产品占比提升。费用率方面，Q3销售/管理/研发/财务费用率分别为17.10%/19.41%/0.67%/-3.73%，同比+0.48/+5.14/+0.48/+0.17pct，环比+5.53/+9.24/+0.36/-1.49pct，我们认为管理费用率增加显著，主因折旧提高。着力打造智能平台，数字化水平不断提升公司坚持技术赋能，打造数字化智能平台。公司推进凤凰智灵平台四期建设，开发选题助手、营销功能专区、智能体搭建、个人知识库等功能。实现凤凰一站式服务平台小程序上线，整合公司出版、发行、数字化板块优质平台、产品、资源，可为读者便捷提供资讯、阅读、购买等一站式服务。同时，公司推动人工智能教育课程、实训平台、实验室开发，整合凤凰教育版权资源与学科网全量题库，打造智羚学伴、教伴等教学智能化产品矩阵，支撑学生个性化学习，服务教师精准化教学。公司于半年报指引上半年智羚学伴等项目上线并推广，秋季将落地100所试点学校。着眼新场景，布局多元产品矩阵公司打造凤凰新媒体营销矩阵，推进多平台布局。凤凰书苑、凤凰易学、凤凰职教云平台等用户覆盖率持续提升；“凤凰职教”、“七彩语文”、“译林出版社”、“青鸟新知”等一批新媒体子品牌影响力居于行业前列；学科网已发展成为国内权威专业的教育信息化内容提供商，收入利润持续快速增长；职教公司适应国家职业教育改革的需求与教学要求，依托培训评价组织打造“1+X项目”品牌；公司还发布智羚学伴、职业教育数字教材出版与服务、沉浸式VR全感体验、凤凰新华政企知识文化服务拓展等11个创新项目。盈利预测与估值考虑公司Q3收入和归母净利润增速大幅下滑，我们下调25-27年归母净利润预测至19.04/18.31/18.41亿元（前值为22.42/23.10/22.74亿元），调整比例为-15.08%/-20.74%/-19.04%。根据相对估值法，25年可比公司Wind一致预期PE均值11.2X（前值为12X），考虑公司数字化转型不断深入，AI应用有望赋能主业，给予公司25年14.0X PE估值，目标价为10.47元（前值13.20元，对应25年15.0X PE）。维持“买入”评级。风险提示：毛利率提升不及预期、纸张成本上升。,,华泰证券,买入,[None],2025-11-01,,买入,7151042,pdf_downloads/2025/2025-11-01/601928-凤凰传媒（601928）：Q3收入下滑，管理费用率提升.pdf,601928,凤凰传媒,凤凰传媒（601928）：Q3收入下滑，管理费用率提升
朱珺,2025年8月30日│中国内地 出版与广播 公司发布半年报： 25H1实现总营业收入71.13亿元（yoy-1.70%）；归母净利润15.86亿元（yoy+29.57%）；扣非后净利润15.14亿元，（yoy+25.17%）。归母净利润增速与营收增速差异较大，主要因今年上半年和去年同期比免征所得税，且毛利率有所提升；如果扣除所得税影响，H1归母净利润同比增长0.5%。Q2单季实现营收38.87亿元（yoy-0.13%，qoq+20.51%），归母净利润10.79亿元（yoy+24.34%，qoq+112.96%）。此外公司向全体股东每10股派发现金红利1元（含税）。我们认为公司主业稳健，维持“买入”评级。25H1毛利率微升，费用率总体保持稳定25H1公司主业营收稳中有升，发行收入营收58.97亿元，同增0.09%，出版业务营收25.29亿元，同增7.76%。公司毛利率43.81%，同增1.60pct；其中出版业务毛利率38.58%，同比下降1.21pct；发行业务毛利率31.95%，同比增长0.56pct。费用率方面，公司25H1销售/管理/研发/财务费用率分别为11.61%/10.92%/0.28%/-2.47%，同比变动+0.18/-0.63/+0.11/+0.34pct。深耕内容创新，积极拓展知识文化服务截至25H1，公司开卷零售市场实洋占有率为2.94%，继续位居第一方阵。5种图书入选2024年度“中国好书”，入选数创历史最好成绩，位居全国第一。6种图书入选2025年中国好书月榜。12个项目入选2025年度国家出版基金资助项目。持续深入实施品牌化战略，以品牌建设理念推进内容创新工作。知识文化服务方面，公司发行集团深化全民阅读服务，上半年组织阅读文化活动8399场，其中门店活动4939场，中小学校活动2550场。同时，公司积极培育知识文化综合服务的营销能力。政企知识文化服务实现收入6750万元，实现了文化服务规模化收费的突破。深化数字化转型，拓展新兴业务公司深化数字化转型，打造出版新质生产力。公司发布智羚学伴、职业教育数字教材出版与服务、沉浸式VR全感体验、凤凰新华政企知识文化服务拓展等11个创新项目，推动AI教育产品开发和运营。同时，公司围绕数字化转型形成全面布局，凤凰书苑、凤凰易学、凤凰职教云平台等数字平台的用户覆盖率持续提升，“凤凰职教”“七彩语文”“译林出版社”“青鸟新知”等一批新媒体子品牌影响力居于行业前列。盈利预测与估值我们维持25-27年归母净利润预测22.42/23.10/22.74亿元。根据相对估值法，25年可比公司Wind一致预期PE均值12X，考虑公司毛利率稳步提升，数字化转型不断深入，AI应用有望赋能主业，给予公司25年15 X PE估值，目标价为13.20元（前值14.96元，对应25年17 X PE）。维持“买入”评级。风险提示：数字化转型不及预期、出版发行业务不及预期。,,华泰证券,买入,[None],2025-08-31,,买入,6370572,pdf_downloads/2025/2025-08-31/601928-凤凰传媒（601928）：H1内生经营稳健，深耕内容创新.pdf,601928,凤凰传媒,凤凰传媒（601928）：H1内生经营稳健，深耕内容创新
"陈筱,陈星光,杨昊",我们认为公司教育出版主营业务增速稳健，多年来持续高比例分红彰显投资价值，我们预计2025-2027年公司EPS分别为0.89/0.94/0.97元。参考可比公司，给与公司2025 年18倍动态PE，对应目标价16.02元，维持“增持”评级。2025年上半年营收、利润增速稳健。公司发布2025年半年报，25H1公司实现营收71.13亿元，同比下降1.7%，实现营业利润16.18亿元，同比增长1.01%，实现归母净利润15.86亿元，同比上升29.57%，实现扣非归母净利润15.14亿元，同比上升25.17%，营收和利润增速稳健。市占率稳居第一方阵，教育出版增速稳健。2025 年上半年，公司开卷零售市场实洋占有率为 2.94%，继续位居第一方阵。在教育出版领域，公司已经构建“课前到书、课中助学、课后拓展”的全链条服务体系。统筹协调课标教材编、印、发全流程，保障课前到书工作完成。持续为国家智慧教育平台、凤凰云教研专栏等提供优质资源，并实现常态化更新。汇聚优质数字教育资源，通过多平台差异化定位，进一步推进教学配套资源触达省内外广大用户群体。我们认为公司教育出版业务稳健，构成公司主营业务扎实基本盘。加大知识文化服务转型。近年来公司持续加大培育知识文化综合服务的营销能力，25H1政企知识文化服务实现收入 6750 万元，通过实体门店探索新业态，全省分公司探索“夜宿新华书店”“暑期寄娃”等服务业务，引进热门文旅 IP 展、VR 项目，与人教社等出版单位试点文创快闪店、分级阅读馆等项目，部分已产生经济效益。风险提示：行业政策变动风险，出版发行业务不及预期，数字化业务发展不及预期。,,国泰海通,增持,[None],2025-08-30,,买入,6369319,pdf_downloads/2025/2025-08-30/601928-凤凰传媒（601928）：2025 年半年报点评：出版主营稳居国内第一梯队，积极转型知识文化服务.pdf,601928,凤凰传媒,凤凰传媒（601928）：2025 年半年报点评：出版主营稳居国内第一梯队，积极转型知识文化服务
"朱珺,周钊",凤凰传媒发布25Q1季报，2025年Q1实现营收32.26亿元（yoy-3.52%、qoq-20.27%），归母净利5.07亿元（yoy+42.30%、qoq+99.40%），扣非净利4.80亿元（yoy+38.73%）。净利高增长主因25年所得税优惠政策延续，剔除所得税影响后，归母净利同增约5.6%。公司主业稳健，25年所得税优惠政策延续，维持“买入”评级。Q1营收略有下滑，整体毛利率实现增长25Q1营收同降3.52%。其中出版业务营收10.61亿元，同增5.36%，主因自营教辅出版增加；发行业务营收26.98亿元，同降0.85%。综合毛利率39.08%，同比提升 3.19pct，主因自营教辅出版营收增加，该部分毛利率相对较高，以及纸张成本下降。25Q1期间费用率同比上升费用率方面，25Q1 公司销售/管理/研发/财务费用率分别为 11.65%/11.83%/0.23%/-2.75%，分别同比 +0.29/+0.24/+0.05/+0.57pct，期间费用率整体为 20.97%，同比 +1.15pct，主因营收同降。聚焦AI新技术，探索应用场景，布局人工智能建设工作公司制定发布《推进凤凰传媒人工智能发展实施意见》，明确发展人工智能的总体目标和策略、基本任务和举措、保障措施。与华为合作开展人工智能规划咨询项目，为人工智能应用发展决策提供有力支撑，推动“凤凰智灵平台”实现跨越式发展，一期、二期建设任务全面完成，进一步提高办公、编辑、校对、营销效率，平台入选国家新闻出版署 2024 年度出版业科技与标准创新项目“科技创新成果奖”。盈利预测与估值我们维持25-27年归母净利预测至22.42/23.1/22.74亿元，25年可比公司Wind一致预期均值PE为14X，考虑公司毛利率提升，且探索AI应用场景，有望赋能主业，提升经营效率，我们给予公司25年17X PE，维持目标价14.96元，维持“买入”评级。风险提示：数字化转型不及预期、出版发行业务不及预期。,,华泰证券,买入,[None],2025-04-30,,买入,6035008,pdf_downloads/2025/2025-04-30/601928-凤凰传媒（601928）：内生稳健，毛利率提升.pdf,601928,凤凰传媒,凤凰传媒（601928）：内生稳健，毛利率提升
"朱珺,周钊",凤凰传媒发布年报，2024年实现营收136.06亿元（yoy-0.29%），归母净利15.98亿元（yoy-45.88%），扣非净利20.42亿元（yoy-1.54%）。公司拟每股派发现金红利0.5元，对应4月21日收盘价，股息率为4.2%。公司主业稳健，25年所得税优惠政策延续，维持“买入”评级。24年业绩总体平稳，综合毛利率略增24年营收同比略降。综合毛利率38.64%，同增1.05pct，主要得益于出版业务毛利率的提升，出版业务毛利率38.98%，同增2.11pct。营收占比较大的发行业务毛利率略有下降：24年发行业务毛利率30.01%，同降1.04pct。费用率方面，24年销售/管理/研发/财务费用率分别为12.43%/13.11%/0.31%/-2.83%，分别同比0.57pct/0.46pct/-0.02pct/0.44pct，费用率整体稳定。归母净利层面因所得税政策变动导致的一次性会计处理影响波动较大，扣非净利同降1.54%。出版业务增长主要内部重分类，发行业务行业领先24年出版业务营收48.93亿元（yoy+8.14），主因公司与人教社由23年的图书采购模式（发行行业）变更为24年的租型模式（出版行业）。义教新课标教材开发顺利，9套122册凤凰版义务教育新课标教材全部通过教育部教材局审查；24年发行业务营收106.25亿元（yoy+1.29%）。公司拥有强大发行渠道，各业务指标连续多年位居全国同行前列。在电商增长缓慢的背景下，24年电商渠道共实现销售22亿元码洋。深化数字化转型，加速融合发展，拓展新兴业务公司深化数字化转型，凤凰书苑、凤凰易学、凤凰职教云平台等数字平台的用户覆盖率持续提升，用户数超2200万，24年实现营收超7000万元；积极布局AI领域，开发了“智羚学伴”等智能教育产品，推动了教育服务的智能化升级；通过与华为合作开展人工智能规划咨询项目，进一步明确了数字化转型的方向和策略。此外，公司还积极拓展研学业务，全年开展研学活动6000余场，服务人数近10万人，24年实现营收2482万元。维持“买入”评级因所得税优惠政策延续，我们调整25-27年归母净利预测至22.42/23.1/22.74亿元（25-26年调整幅度+15%/+12%），25年可比公司Wind一致预期均值PE为15X，考虑公司龙头地位，且数字化转型不断推进，我们给予公司25年17X PE，给予目标价14.96（前值12.92元，对应25年17X PE）元，维持“买入”评级。风险提示：数字化转型不及预期、出版发行业务不及预期。,,华泰证券,买入,[None],2025-04-22,,买入,6018093,pdf_downloads/2025/2025-04-22/601928-凤凰传媒（601928）：内生业绩稳健，深化数字化转型.pdf,601928,凤凰传媒,凤凰传媒（601928）：内生业绩稳健，深化数字化转型
"朱珺,周钊",凤凰传媒发布三季报：Q3营收23.24亿元（yoy-5.99%），归母净利1.19亿元（yoy-44.33%）。24年Q1-Q3营收95.60亿元（yoy-0.94%），归母净利13.43亿元（yoy-24.27%），扣非净利13.07亿元（yoy-23.05%），业绩下降主因所得税率变动影响。公司为教育出版行业龙头，经营稳健，股息率高，维持“买入”评级。Q3营收略有波动，毛利率下降24Q3营收同降约6%，主因部分教辅结算延后，我们预计会在Q4体现，对全年无太大影响。Q3归母净利同降约44%，主因：1）部分教辅结算延后，而教辅毛利率较高，Q3毛利率同降2.93pct至32.4%；2）所得税率变动影响。Q1-Q3营收端同降0.9%，综合毛利率39.83%，同降0.24pct，总体稳定。销售/管理/研发/财务费用率分别为12.69%/12.21%/0.18%/-3.08%，同比+0.6/-0.02/-0.08/+0.27pct，总体较稳定。归母净利同降24%，主因所得税率变动影响。出版业务营收略降但毛利率提升，发行业务营收基本持平根据公告的24Q1-Q3主要经营数据，24Q1-Q3公司出版业务销售码洋71.2亿元，同降5.39%；营业收入32.42亿元，同降 2.92%；毛利率39.77%，同比提升3.77pct；发行业务销售码洋105.79亿元，同降1.1%，营业收入75.91亿元，同增 0.15%，毛利率为30.92%，同降0.35pct。聚焦科技创新和资源整合，融合发展加快推进公司加大创新驱动，打造出版新质生产力。围绕新一代数字教材、人工智能应用、智能阅读、智能体测等领域遴选了一批创新项目，包括凤凰智灵平台、AI 小博士智慧教学助手、AI 科技教育平台、国家名片•中国文化遗产融合出版工程、“三体”系列漫画改编项目、智能学习硬件、数智化教师培训升级计划、职教高考智慧服务、基于大模型的智能校对系统、凤凰 AI 智能体测系统等。全年主业稳健发展，维持“买入”评级最新的股息率为5%(23年分红/10月31日收盘市值）。我们维持24-26年归母净利预测18.35/19.42/20.58亿元，25年可比公司Wind一致预期均值PE为13X，考虑公司龙头地位，且数字化转型不断推进，我们给予公司25年17X PE，给予目标价12.92（前值12.96）元，维持“买入”评级。风险提示：数字化转型不及预期、出版发行业务不及预期。,,华泰证券,买入,[None],2024-11-01,,买入,5812585,pdf_downloads/2024/2024-11-01/601928-凤凰传媒（601928）：Q3业绩略有波动，全年主业稳健发展.pdf,601928,凤凰传媒,凤凰传媒（601928）：Q3业绩略有波动，全年主业稳健发展
"Yuncong Mao,xiaowen sun,Xingguang Chen,Monique Shan","立足出版业务，积极推动文化产业生态建设。公司是全国中小学教材第二大出版商，大众出版位列国内出版业第一阵营。在巩固传统业务优势的基础上，公司持续加大转型升级力度，积极完善产业布局，在智慧教育、影视、职业教育、云计算、大数据等产业积极拓展，目前已初步形成一体化的产业链和多媒体、多业态的文化产业生态圈。营业收入保持增长，稳定分红体现防御价值。公司2023年实现营业收入136.45亿元，同比增长0.36%；归母净利润29.52亿元，同比增长41.80%，受所得税政策调整影响；扣非归母净利润20.74亿元，同比增长15.79%。2024H1营业收入72.35亿元，同比增长0.80%；归母净利润12.24亿元，同比下降21.51%，受所得税政策调整影响。分红方面，公司2023年向全体股东每10股派现金股利人民币5元（含税），共计派息12.72亿元，以9月5日收盘价计算，股息率4.40%。主营业务扎实发展，教育出版稳中有进。公司连续三年入围“全球出版50强”前十，2023年开卷总体零售市场实洋占有率为3.25%，排第3位，其中生活类图书排第1位、文学类图书排第3位、学术文化类图书排第4位。教材教辅方面，国家三科统编教材全替换后，公司2023年仍拥有中小学课标教材总数为18套，市场占有率居全国第2位。我们认为，公司在出版行业内地位稳固，教材教辅市占率居全国前列，有望为公司营收提供稳定支撑。强化数字技术赋能，积极推动融合发展。公司重点建设凤凰书苑、凤凰易学、凤凰职教云等数字化内容平台，“凤凰职教”“七彩语文”“译林出版社”“青鸟新知”等新媒体账号影响力居于行业前列。同时，公司积极开拓线上渠道，2023年凤凰新华电商完成销售码洋20亿元，融合发展自有平台实现销售码洋1亿元，阳光采购平台创新政采业务模式，全年销售额超2亿元。数字技术应用方面，公司开发智能导学助手“文小慧”；“凤凰职教知识服务项目”入选国家新闻出版署2023年度数字出版精品遴选计划；完成《江苏文库》同步数字化建设任务等。我们认为，公司积极引入数字技术，有望推动新旧媒体有效融合的营销格局，加速公司数字化转型，提升公司经营效率。大力发展智慧教育，学科网盈利能力快速提升。公司引入中国移动作为战略投资者，共同围绕智慧教育、5G+阅读服务体系、云游戏影视作、媒体融合等方面开展战略合作。2023年学科网营业收入4.48亿元，同比增长18.52%；净利润 8546.72万元，同比增长29.80 %，签约合作学校数达4万所。我们认为，公司进军新业务领域，有望行成新老业务相辅相成的产业布局，加速由传统教育出版商向教育综合运营商转变，为业务发展提供增量。盈利预测与估值。我们预计公司 2024-2026 年 EPS 分别为 0.73 元/股、0.77 元/股和 0.81
元/股。参考可比公司，我们认为，公司主营业务保持稳定增长，随着公司数字化水平
的提升，以及智慧教育等新业务的持续推进，公司有望完善产业布局，提升整体盈利
能力，给予公司 2024 年 20 倍 PE 估值，对应目标价 14.60 元/股，首次覆盖给予公司“优
于大市”评级。盈利预测假设。1）公司持续巩固出版行业内全国领先地位，并通过持续铺展线上营销渠道，提升传统业务的规模与盈利能力，推动2024-2026年发行业务收入实现6.57%/4.90%/3.70%增长，出版业务收入实现7.31%/4.39%/5.90%增长。2）公司持续推动数字化转型升级，积极布局智慧教育业务，学科网有望实现快速发展，推动2024-2026年数据服务业务收入维持5%增长。风险提示：行业政策变动风险，出版发行业务不及预期，数字化业务发展不及预期。",,海通国际证券,优于大市,[None],2024-09-07,,买入,5757671,pdf_downloads/2024/2024-09-07/601928-凤凰传媒（601928）：首次覆盖：夯实出版主业优势，数字化转型推动业态创新.pdf,601928,凤凰传媒,凤凰传媒（601928）：首次覆盖：夯实出版主业优势，数字化转型推动业态创新
"张良卫,周良玖,张文雨",凤凰传媒(601928)投资要点事件：公司发布半年报。整体来看，24H1收入增长平稳，其中发行收入增长较快；利润下滑幅度好于预期（如果按照25%所得税率，收入同比持平的情况下，利润应下滑25%），主要系公司24Q2实际税率有明显下降。24Q1实际税率为26%，而Q2下降至21.1%，因此H1整体的实际税率仅22.6%。实际税率低于25%的原因，主要是凤凰传媒控股的5家子公司为高新技术企业，适用15%所得税率；控股的13家子公司为小微企业，按照应纳税所得额的25%再乘以20%缴税。核心财务指标：（1）24H1营收72.4亿元，yoy+0.8%；归母净利润12.2亿元，yoy-21.5%；扣非归母净利润12.1亿元，yoy-19.8%；税前利润16.1亿元，yoy+0.8%；所得税3.6亿元，实际税率为22.6%。24H1毛利率42.2%，yoy+0.5pct；销售费用率11.4%，yoy+0.5pct；管理费用率11.6%，yoy+0.4pct；研发费用率0.2%，同比持平。（2）24Q2营收38.9亿元，yoy-1.3%；归母净利润8.7亿元，yoy-19.4%；扣非归母净利润8.6亿元，yoy-17.7%；税前利润11.2亿元，yoy+2.7%；所得税2.4亿元，实际税率为21.1%（24Q1实际税率为26.0%）。24Q2毛利率47.7%，yoy+3.4pct；销售费用率11.5%，yoy+1.4pct；管理费用率11.5%，yoy+1.0pct。分业务来看：24H1公司出版分部收入22.7亿元，同比持平；发行分部收入61.4亿元，yoy+6.5%；其他分部收入2.0亿元，yoy+6.4%；分部间抵销为-16.6亿元，23H1为-15.9亿元。（1）出版业务方面，大众出版优势重塑，教育出版稳中有升。2024H1，公司开卷零售市场实洋占有率3.01%，居第一方阵，销售超4万册。公司组织义教新课标教材修订送审，9套122册新版课标教材通过审核，并积极推广凤凰版教材。（2）发行业务方面，聚焦复合营销和精益管理，发行服务能力提升。24H1发行集团开展5000余场阅读活动，包括多个子品牌活动，书展销售码洋2.5亿元。公司成立新媒体运营团队，开通多账号，构建直播业务团队。优化库存管理，降库存有成效。（3）新业务方面，公司加大创新驱动，遴选一批创新项目，创新考核机制。注重科技赋能，推进凤凰数字教材建设，加强平台建设应用，提升运营能力。整合内外资源，拓展研学业务，上半年产生收入约1800万元，职教公司和报刊公司相关研学活动受到用户欢迎。盈利预测与投资评级：公司今年上半年收入持平去年同期，但实际税率好于预期，我们维持2024-2026年归母净利润预测18.8/19.8/21.5亿元，当前股价对应PE分别为14/14/13倍。我们看好公司核心主业竞争优势和新业务发展前景，维持“买入”评级。风险提示：业务发展不及预期风险，税收政策变化风险。,,东吴证券,买入,[None],2024-09-02,,买入,5747875,pdf_downloads/2024/2024-09-02/601928-凤凰传媒（601928）2024年中报业绩点评：收入保持平稳，24Q2实际税率有所下降.pdf,601928,凤凰传媒,凤凰传媒（601928）2024年中报业绩点评：收入保持平稳，24Q2实际税率有所下降
"朱珺,周钊",24H1不考虑所得税影响下的内生业绩微增，维持“买入”评级公司24H1实现营收72.36亿元（yoy+0.80%），归母净利12.24亿元（yoy-21.51%），扣非净利12.09亿元（yoy-19.78%）。归母净利下降主因所得税率变动影响。考虑24H1综合所得税率较我们预测税率低，我们调整24-26年归母净利至18.35/19.42/20.58（前值17.75/19.45/21.25）亿元，24年可比公司Wind一致预期均值PE为14X，考虑公司龙头地位，且数字化转型不断推进，我们给予公司24年18X PE，给予目标价12.96（前值11.9）元，维持“买入”评级。出版主业稳健，积极拓展多元业务24H1公司开卷零售市场实洋占有率为3.01%，继续位居第一方阵，销售超4万册的图书35种，出版主业保持稳健。同时公司线上直播业务取得进展，第十四届江苏书展APP线上销售和直播带货9645万元。此外，公司积极拓展多元业务：1）政采业务实现收入3620万元，同比增长67%；2）公司围绕阅读推广、知识服务、文化体验、技能培训、红色教育等领域开展各类研学活动，上半年研学业务实现收入约1800万元。发行集团开展研学场次3000多场，参与人数超5万人。出版业务收入微降但毛利率提升，发行业务稳健根据公告的24H1主要经营数据，24H1公司出版业务销售码洋50.03亿元，同增2.09%；营业收入23.47亿元，同降 1.75%；毛利率39.79%，同比提升4.38pct；发行业务销售码洋79.44亿元，同增0.02%，营业收入58.92亿元，同增 2.2%，毛利率为31.50%，同减0.46pct。综合税率大幅提升影响净利率，整体费用率稳定24H1公司毛利率42.2%，同比提升0.5pct，基本保持平稳。公司销售费用率/管理费用率/研发费用率/财务费用率分别为11.43%/11.55%/0.17%/-2.81%，同比变动+0.52/+0.36/-0.04/+0.28pct。24H1公司综合所得税率22.59%，主因税收政策调整。综合影响下，公司24H1净利率17.17%，同比下滑4.92pct。风险提示：数字化转型不及预期、出版发行业务不及预期。,,华泰证券,买入,[None],2024-08-30,,买入,5745062,pdf_downloads/2024/2024-08-30/601928-凤凰传媒（601928）：主业稳健，积极拓展多元业务.pdf,601928,凤凰传媒,凤凰传媒（601928）：主业稳健，积极拓展多元业务
"朱珺,周钊",24Q1归母净利3.56亿元，同降26.3%，维持“买入”评级公司发布24Q1季报：24Q1营收33.44亿元（yoy+3.31%），归母净利3.56亿元（yoy-26.26%），扣非净利3.46亿元（yoy-24.47%），业绩下滑主因所得税减免政策到期影响。我们维持24-26年归母净利预测17.75/19.45/21.25亿元，24年可比公司Wind一致预期均值PE为13.5X，考虑公司龙头地位，且数字化转型不断推进，我们给予公司24年17X PE，维持目标价11.9元，维持“买入”评级。Q1发行业务稳健增长，出版业务略有下滑，24Q1公司出版业务收入10.07亿元，同比下降0.65%，毛利率为39.26%，同增5.65pct；发行业务收入26.98亿元，同比增长6.43%，毛利率为27.86%，同减2.90pct。24Q1公司整体毛利率35.89%，同减2.65pct。期间费用率同比呈下降趋势费用率方面，24Q1公司销售/管理/研发/财务费用率分别为11.36%/11.60%/0.18%/-3.32%，分别同比-0.58/-0.35/-0.12/-0.06pct，期间费用率整体为19.82%，同比-1.11pct。公司24Q1综合所得税率为26%。加快AI赋能主业，深化与移动合作，大力发展研学业务据23年年报，公司将加快探索AI技术在出版领域的应用，推动凤凰专业知识库和大模型建设，增强凤凰智灵平台、凤凰数字人等项目赋能支撑作用，实现降本增效；深化与中国移动的合作，整合双方资源优势，加速公司数字化转型；调整优化学科网上市方案，通过资本市场赋能学科网新一轮发展；规模化拓展研学业务，力争在1-2年内打造凤凰特色的全省性研学品牌，培育和形成体系化、规范化、规模化的研学业务板块。风险提示：出版发行业务不及预期，数字化转型进度不及预期。,,华泰证券,买入,[None],2024-04-30,,买入,5610681,pdf_downloads/2024/2024-04-30/601928-凤凰传媒（601928）：Q1扣非净利同降24%，主因税率影响.pdf,601928,凤凰传媒,凤凰传媒（601928）：Q1扣非净利同降24%，主因税率影响
