author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
罗丹,南方航空发布2025年业绩预告，同比实现扭亏为盈。2025年全年预计归母净利润8至10亿元，2024年为-17亿元；扣非归母净利润1.3至1.9亿元，2024年为-39.5亿元。其中，2025年四季度单季预计归母净利润-13.1至-15.1亿元，2024年四季度为-36.6亿元；扣非归母净利润-12.3至-12.9亿元，2024年四季度为-33.7亿元。得益于行业供需格局改善以及公司经营效益持续改善，2025年度归母净利及归母扣非净利均实现扭亏为盈。国内需求修复，客座率同比提升明显。2025年全年，公司旅客运输量、旅客周转量（RPK）、可用座公里（ASK）分别同比增长5.5%、8.3%以及6.6%，客座率为85.74%，同比提升了1.4pct。其中，国内航线的RPK和ASK分别同比增长4.8%和2.8%，国内客座率为86.33%，同比提升了1.6pct；国际航线的RPK和ASK分别同比增长19.5%和18.4%，国际客座率84.3%，同比提升了0.8pct。行业供需持续改善，中长期利润弹性可期。需求端，2025年我国民航RPK实现了8.3%的增长，2026年由于扩内需政策支持以及宏观经济有望回暖，民航需求有望维持较好的增长态势。供给端，由于飞机制造商产能受限，2026年运力供给也将继续维持低增速水平。供需格局将逐步从弱平衡走向紧平衡，从而有望带动票价止跌回升，航司盈利将持续改善。此外，春运旺季需求和票价表现值得期待，根据航班管家数据，截至2月2日，春运民航经济舱预售含税票价同比提升0.8%。风险提示：宏观经济下行，油价汇率剧烈波动，安全事故。投资建议：维持“优于大市”评级。由于公司公布了2025年业绩预告以及宏观经济压力仍然较大，我们下调了公司盈利预测，预计2025-2027年公司归母净利分别为8.9亿元、55.5亿元、84.0亿元（2025-2027年调整幅度分别为-72%/-17%/-1%），建议关注国内航空出行需求和票价表现的边际变化，中长期看好民航竞争格局改善驱动的周期性机会，维持“优于大市”评级。投资建议：维持“优于大市”评级由于公司公布了2025年业绩预告以及宏观经济压力仍然较大，我们下调了公司盈利预测，预计2025-2027年公司归母净利分别为8.9亿元、55.5亿元、84.0亿元（2025-2027年调整幅度分别为-72%/-17%/-1%），建议关注国内航空出行需求和票价表现的边际变化，中长期看好民航竞争格局改善驱动的周期性机会，维持“优于大市”评级。风险提示：宏观经济下行，油价汇率剧烈波动，安全事故。,,国信证券,优于大市,[None],2026-02-06,,买入,8400405,pdf_downloads/2026/2026-02-06/600029-南方航空（600029）：全年业绩扭亏为盈，盈利能力持续改善.pdf,600029,南方航空,南方航空（600029）：全年业绩扭亏为盈，盈利能力持续改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8.9,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 55.5,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 84.0,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"孙延,曾智星,王惠武,张付哲",南方航空(600029)投资要点：行业周期上行，南航引领修复。公司当前运力充沛，截至2025年12月，公司机队规模达972架，居行业首位;高运力下，公司仍维持高客座率，2025年客座率达85.7%，同比提升1.36pcts。当前公司运力投放重点向国际线倾斜，2025年国际ASK同比增长18.5%，增速居三大航之首。运力优势与经营效率优势赋能，公司或充分受益于行业上行，有望进一步实现份额扩张。枢纽深度协同，航线优势凸显。公司是全国时刻份额最高的航司，2025年夏航季达20.4%；其中，公司在广州、北京时刻份额分别达55.4%、21.2%，双枢纽协同效应持续增强；并协同新疆、东北、海南等公司传统优势区域，使公司运距长期高于行业平均，形成显著的长航线优势，更少受高铁竞争影响，并有效摊薄成本，2025年公司平均运距达1907公里，已恢复至2019年的101.5%。经营持续改善，业绩弹性可期。25Q1-3公司营收1376.65亿，yoy+2.2%，归母净利润23.07亿，yoy+17.4%。2025全年，公司旅客量达1.74亿人，同比增长5.5%，其中国际旅客同比增长19.53%，预计全年业绩明显改善。此外，公司增资川航影响逐步消化、退出经济性较差的飞机、优化客舱布局等举措，或为未来业绩释放奠定扎实基础。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为5.32/49.50/83.45亿元，同比增速分别为-/830.92%/68.58%。参考中国国航、中国东航等可比公司2025-2027年平均估值，公司PE分别为248x/27x/16x，我们预计行业供需反转在即，鉴于公司强大的资源禀赋优势、有望充分受益于国内出行需求的持续增长及出入境景气度，随着经营效率提升，公司业绩或具有充分上行空间，首次覆盖，给予“买入”评级。风险提示。人民币汇率波动，油价上涨，出行需求不及预期，地缘政治风险。,,华源证券,买入,[None],2026-01-29,,买入,8373382,pdf_downloads/2026/2026-01-29/600029-南方航空（600029）：枢纽网络优势巩固，复苏弹性有望释放.pdf,600029,南方航空,南方航空（600029）：枢纽网络优势巩固，复苏弹性有望释放,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 5.32,
            ""eps"": null,
            ""pe"": 248
        },
        {
            ""year"": 2026,
            ""net_profit"": 49.5,
            ""eps"": null,
            ""pe"": 27
        },
        {
            ""year"": 2027,
            ""net_profit"": 83.45,
            ""eps"": null,
            ""pe"": 16
        }
    ]
}",,248.0,27.0,16.0,,,,,,,,
"沈晓峰,黄凡洋",2026年1月16日│中国内地/中国香港 航空运输 公司公告2025年运营数据，ASK/RPK分别同比增长6.6%/8.3%，客座率85.7%，同增1.4pct，续创全年历史新高。我们看好26年行业景气改善，带动航司收益水平提升和盈利释放，短期26年春运数据或将成为催化剂；同时油价和美元兑人民币汇率有望利好公司利润。公司机队规模行业领先，客运景气改善有望推动公司收益水平提升，并且货运业务运营展现韧性，或仍将助力盈利增厚。我们上调公司25-27年归母净利润(59%/42%/29%)至10.23/85.73/110.35亿元，A/H股目标价9.80元/7.60港币，维持“买入”。25年国内国际客座率均续创历史新高，机队规模较快提升25年公司客座率高位进一步提升。分航线来看，国内航线运力稳步投放，ASK同增2.9%，客座率86.3%，同增1.6pct；国际航线运力增加更快，ASK同增18.5%，客座率84.3%，同增0.8pct，国内国际客座率均续创全年历史新高。运力引进方面，公司全年引进/退出分别78/23架，24年年报披露引进计划89架，完成计划的88%，净引进55架，机队规模同增6.0%，增速在三大航中较快。26年供需好转有望向票价提升传导26年行业有望迎来供需改善，推动航司票价提升及盈利释放。回顾25年，行业价格竞争较为激烈，客公里收益同比继续下降，同时客座率达到较高水平。我们认为26年行业景气有望提升，主因机队增速有限、利用率已基本恢复、因私出游持续旺盛。并且在较高客座率的背景下，景气提升或将向票价端传导，带动收益水平底部回暖。反内卷支撑收益水平回暖，公司将进入盈利周期政策方面，行业反内卷有望进一步深入。民航局在1月6日的工作会议中提出，将严格控制低效航线运力供给，并研究制定旅客运输成本调查办法，我们认为这有助于支撑票价回暖，提升航司盈利兑现度；叠加油价及人民币兑美元汇率的有利因素，航司盈利预计将进入释放周期。公司是我国机队规模最大的上市航司，以广州、北京枢纽网络为核心。我们认为凭借国内线规模优势，以及国际线竞争力提升，公司有望充分受益于景气回暖，进入盈利周期。同时货运业务运营展现韧性，或仍将助力盈利增厚。盈利预测与估值我们上调公司25-27年归母净利润(59%/42%/29%)至10.23/85.73/110.35亿元，对应EPS为0.06/0.47/0.61元。上调业绩主因行业供需好转以及反内卷政策有望更加深入，上调单位客公里收益假设0.1%/1.1%/1.6%；下调26-27年布伦特油价假设至62/64美元/桶；调高25-26年人民币对美元升值幅度至2.3%/3.1%。我们预计26年BPS为2.45元（前值2.29元），给予A/H股26E PB 4.0x/2.8x（前值为3.8x/2.5x，历史10年均值2.2x/1.3x，考虑ROE等盈利能力指标有望取得突破，给予溢价并提高估值），目标价A股人民币9.80元/H股7.60港币（对应26E PE为21x/15x；前值人民币8.70元/H股6.30港币），维持“买入”。风险提示：需求恢复不及预期，机队引进超预期，维修等成本增长超预期，油汇波动，安全事故。,,华泰证券,买入,[None],2026-01-17,,买入,8338760,pdf_downloads/2026/2026-01-17/600029-南方航空（600029）：盈利周期可期，上调盈利和目标价.pdf,600029,南方航空,南方航空（600029）：盈利周期可期，上调盈利和目标价,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.23,
            ""eps"": 0.06,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 85.73,
            ""eps"": 0.47,
            ""pe"": 21
        },
        {
            ""year"": 2027,
            ""net_profit"": 110.35,
            ""eps"": 0.61,
            ""pe"": null
        }
    ]
}",,,21.0,,,,,0.06,0.47,0.61,,
"黄文鹤,张骁瀚,陈佳裕",Q3盈利同比增长，重视价格回升的盈利释放能力2025年10月27日公司发布2025年三季报：2025Q1-3公司营收1377亿元，同比+2.2%，归母净利23.1亿元，同比+17.4%，扣非归母净利14.2亿元（2024Q1-3扣非归母净亏5.8亿元），2025Q1-3非经常收益主要来自可转债衍生工具公允价值变动和飞机运营补偿，而2024年同期确认了大额飞机运营补偿。单三季度：25Q3公司营收514亿元，同比+3.0%，归母净利38.4亿元，同比+20.3%，扣非归母净利34.6亿元，同比+20%。25Q3公司盈利同比增长主要得益于成本费用端改善，收入端仍受价格下降压制的情况下盈利同比增长。25Q3运力同比增速放缓，运力扩张部分对冲降价影响。25Q3公司运力同比增速放缓：整体ASK同比+5.3%（其中国内同比+4.5%、国际港澳台同比+9.4%），其中公司机队规模同比+4.7%，我们认为Q3机队利用率提升仍贡献少量运力增长，但往后看机队利用率提升空间有限；运力扩张部分对冲降价影响：我们测算25Q3公司整体客收同比-3.6%，其中国内同比-3.6%、国际同比-3.7%，暑期旺季价格表现较弱而9月淡季价格转为同比上涨，航班管家显示7-9月国内航线含燃油附加费价格同比-4.6%，而9月同比+1.0%，运力增速高于价格降幅，带动三季度收入小幅增长。单位燃油成本和财务费用仍在改善通道，扣汇利润总额已接近19Q3。25Q3公司单位成本同比-3.5%，我们测算25Q3单位燃油成本、扣油成本分别为0.14、0.27元，同比-7.3%、-1.4%，三季度油价受事件性因素影响环比小幅抬升但同比仍下降，单位扣油成本同比下降，或受益于成本管控。此外公司财务费用仍在下降通道，25Q3单季度利息支出同比压降约3亿元，汇率小幅升值我们测算贡献单季度税前利润约2亿元（24Q3升值1.7%贡献税前利润约6亿元）。客运盈利改善是盈利同比增长主因，25Q3所得税费用计提比例下降有助于利润表税后利润改善。25Q3公司毛利率16.5%，同比+1.1pcts，少数股东损益9.9亿元较上年同期有所下降，公司盈利同比增长主要由客运本部贡献。此外，公司计提所得税费用6.7亿元仅占税前利润12%，较25H1计提比例下降（25H1公司利润总额6.0亿元，但计提14.3亿元所得税费用）。投资建议：油价下降和财务费用压降如期推动盈利改善，我们看好行业票价底部回升带来的盈利弹性，公司全货机仍将稳定贡献盈利。我们维持2025-2027年归母净利润18.4、42.4、76.7亿元，当前南航A股股价对应2025-2027年68、30、16倍市盈率。维持“推荐”评级。风险提示：公商务需求恢复不及预期；油价大幅上涨；人民币汇率波动；飞机故障造成大面积停飞。,,民生证券,推荐,[None],2025-11-04,,增持,7383531,pdf_downloads/2025/2025-11-04/600029-南方航空（600029）：Q3盈利同比增长，重视价格回升的盈利释放能力.pdf,600029,南方航空,南方航空（600029）：Q3盈利同比增长，重视价格回升的盈利释放能力,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 18.4,
            ""eps"": null,
            ""pe"": 68
        },
        {
            ""year"": 2026,
            ""net_profit"": 42.4,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2027,
            ""net_profit"": 76.7,
            ""eps"": null,
            ""pe"": 16
        }
    ]
}",,,68.0,30.0,16.0,,,,,,,
"吴一凡,吴晨玥,梁婉怡,卢浩敏,霍鹏浩,李清影",亿，同比+17.4%；扣非后归母净利润14.2亿，同比由亏转盈；Q1-3人民币升值1.2%，测算汇兑收益0.8亿。2）2025Q3：营业收入513.7亿，同比+3%；归母净利润38.4亿，同比+20.3%；扣非后归母净利润34.6亿，同比+19.8%。Q3人民币升值0.7%，测算汇兑收益1.9亿。3）其他收益：2025Q1-3实现其他收益26.2亿元，同比+8.2%；Q3实现其他收益9.4亿元，同比+27.5%。同比+1.7pct。2）2025Q3：ASK同比+5.7%，RPK同比+6.2%，客座率85.9%，同比+0.4pct。收益0.40元，同比-3.2%。2）2025Q3：测算客公里客运收益0.47元，同比-3.0%；座公里收益0.41元，同比-2.6%。成本同比-12.6%，测算航油成本393亿，同比-8.3%。扣油成本822.4亿，同比+5.7%。座公里成本0.42元，同比-4.6%；座公里扣油成本0.28元，同比+0.1%。2）2025Q3营业成本429亿，同比+1.6%。期内国内油价综采成本同比-11.0%，测算航油成本139.9亿，同比-6.9%。扣油成本289亿，同比+6.3%。座公里成本0.41元，同比-3.9%；座公里扣油成本0.28元，同比+0.6%。3）2025Q1-3三费合计（扣汇）为128.1亿，同比+1.9%，扣汇三费率9.3%；2025Q3三费合计（扣汇）为45亿，同比+2.5%，扣汇三费率8.8%（注：不含研发费用）。底+4.3%。增长及客座率提升为主要贡献项；价格方面，尽管暑运公商务需求影响行业票价表现，我们测算公司客公里收益表现小幅下滑3%；油价下降推动成本端优化。展望未来，行业供给增速有限，新航季时刻继续收紧；9月后公商务需求现回暖迹象，叠加反内卷背景与去年低基数，支撑Q4票价延续转正趋势，看好航司盈利持续兑现。整25年盈利预测为9.5亿元（原预测为40亿元），维持26、27年盈利预测为71、101亿元，对应25~27年EPS分别为0.05、0.39和0.56元，25~27年PE分别为128、17、12倍。2）目标价：参考16-19年PE均值，我们给予公司2026年20倍PE，对应目标市值1421亿元，目标价7.84元，预期较当前有17%增长空间，维持“推荐”评级。,,华创证券,推荐,[None],2025-10-29,,增持,6980117,pdf_downloads/2025/2025-10-29/600029-南方航空（600029）：2025年三季报点评：25Q3盈利38.4亿，同比+20%，看好盈利持续兑现.pdf,600029,南方航空,南方航空（600029）：2025年三季报点评：25Q3盈利38.4亿，同比+20%，看好盈利持续兑现,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 9.5,
            ""eps"": 0.05,
            ""pe"": 128
        },
        {
            ""year"": 2026,
            ""net_profit"": 71,
            ""eps"": 0.39,
            ""pe"": 17
        },
        {
            ""year"": 2027,
            ""net_profit"": 101,
            ""eps"": 0.56,
            ""pe"": 12
        }
    ]
}",,,128.0,17.0,12.0,,,,0.05,0.39,0.56,
曾凡喆,南方航空披露2025年三季报南方航空披露2025年三季报，前三季度公司营业收入1376.7亿元，同比增长2.2%，实现归母净利润23.1亿元，同比增长17.4%；第三季度公司营业收入513.7亿元，同比增长3.0%，实现归母净利润38.4亿元，同比增长20.3%。旺季客座率再创新高，营收小幅上升民航机队数量增速大幅放缓，公司机队规模扩张降速，三季度公司运力投放增速保持低位，但民航需求尤其是因私出行依然向好，拉动公司旅客运输及周转量保持上升势头，客座率再创历史新高，达到85.8%。尽管公商务出行偏弱，公司运价水平小幅降低，但降幅已明显收窄，公司营收仍实现小幅上升。油价下跌助力成本节约，业绩符合预期国际油价走低，公司成本得以有效节约，非油成本表现基本稳定，三季度公司营业成本在运力投放同比增长5.7%的背景下仅同比提高1.6%。费用端，公司各项费用指标保持平稳，业绩基本符合预期。民航运力增长瓶颈仍在，需求复苏有望拉动运价表现受制于民航供应链瓶颈，2025年前三季度民航机队规模增速仍较低，各航司运力投放保持低速增长，全行业客座率到达历史高位。展望未来，民航供给增长依然受限，需求复苏有望拉动运价表现，持续看好民航基本面逐步复苏，业绩逐步兑现。投资建议预计2025-2027年公司归母净利润分别为11.0亿元、63.9亿元、90.4亿元，维持“买入”评级。风险提示：油价大幅上涨，汇率剧烈波动，安全事故。,,中邮证券,买入,[None],2025-10-29,,买入,6960360,pdf_downloads/2025/2025-10-29/600029-南方航空（600029）：客座率再创新高，三季度业绩同比回升.pdf,600029,南方航空,南方航空（600029）：客座率再创新高，三季度业绩同比回升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 11.0,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 63.9,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 90.4,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"李丹,李逸",25Q3归母净利润同比+20%，业绩超预期2025前三季度，公司实现营业收入1377亿元，同比+2.2%，归母净利润23.1亿元，同比+17.4%。其中25Q3，营业收入514亿元，同比+3.0%，归母净利润38.4亿元，同比+20.3%，三季度业绩超我们此前预期。经营数据：Q3运力保持低速增长，客座率高位运行截至25Q3末，公司运营956架飞机，较24年末增加4.3%。25Q3，公司ASK同比+6%，客座率85.9%，同比+0.4pct。1）国内航线：ASK同比+5%，客座率86.3%，同比+0.5pct；2）国际航线：ASK同比+10%，客座率84.7%，同比-0.5pct；3）地区航线：ASK同比+1%，客座率81.9%，同比+2.0pct。收益分析：Q3单位客收下滑、单位成本改善，人民币升值录得汇兑净收益 收入端：25Q1-3营业收入1377亿元，同比+2.2%，预估单位客收同比-5%。25Q3营业收入514亿元，同比+3%，预估单位客收同比-3%，其中国内航线暑期表现弱势、国际航线表现靓丽。成本端：25Q1-3营业成本1216亿元，同比+0.7%，单位ASK营业成本为0.419元，同比-5%，主要因为油价下跌。25Q3单位ASK营业成本0.408元，同比-4%，预估单位航油成本、单位非油成本同比分别-12%、+0.4%。费用端：25Q3销售费用率3.9%、管理费用率2.1%，同比分别+0.2、-0.01pct。财务费用12.1亿元，同比增加2.7亿元，Q3人民币汇率升值约0.7%，预计录得汇兑净收益。按照25H1末外币敞口计算，若人民币兑美元汇率升值约1%，预计增加净利润约2.6亿元。利润端：25Q3，营业收入514亿元，同比+3.0%，归母净利润38.4亿元，同比+20.3%，三季度业绩超我们此前预期。盈利预测与投资建议中长期来看，行业供给受限预计较持久，需求有望稳健增长，供需关系逆转在即，高利润弹性可期。我们预计公司2025-2027年归母净利润分别为8.51、54.03、90.15亿元，维持“买入”评级。风险提示：需求不及预期、油价大幅上涨、人民币兑美元大幅贬值等。,,浙商证券,买入,[None],2025-10-29,,买入,6920758,pdf_downloads/2025/2025-10-29/600029-南方航空（600029）：Q3业绩超预期，看好盈利弹性兑现.pdf,600029,南方航空,南方航空（600029）：Q3业绩超预期，看好盈利弹性兑现,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8.51,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 54.03,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 90.15,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
匡培钦,事件：南方航空发布2025年三季报。2025年前三季度，公司实现营业收入1377亿元，同比+2.2%；实现归母净利23.07亿元，同比+17.4%。点评：营收微增，25Q3归母净利同比大幅增长。2025年前三季度公司实现营收1376.7亿元，同比+2.23%，实现归母净利23.07亿元，同比+17.40%。其中Q1/Q2/Q3归母净利分别为-7.47/-7.86/38.40亿元，同比分别-198.8%/+60.4%/+20.3%，三季度业绩同比大幅增长。暑运客座率高位提升，国内国际出行两旺。1）运力：2025Q1~3南航总ASK同比+5.6%，其中国内/国际/地区线ASK同比分别+1.95%/+17.8%/+1.5%，国际及地区线ASK恢复到19年同期94.6%。25Q3单季度ASK同比+5.7%，其中国内/国际/地区线ASK同比分别+4.5%/+9.8%/+0.6%，国际及地区线ASK恢复到19年同期92.9%。2）周转量：25Q1~3总RPK同比+7.6%，其中国内/国际/地区线RPK同比分别+4.1%/+19.6%/+2.9%，国际及地区线RPK恢复到19年同期95.8%。25Q3单季度RPK同比+6.2%，其中国内/国际/地区线RPK同比分别+5.2%/+9.3%/+3.3%，国际及地区线RPK恢复到19年同期94.3%。3）客座率：25Q1~3公司综合/国内/国际/地区客座率分别为85.6%/86.2%/84.2%/79.2%，同比分别+1.6/+1.8/+1.2/+1.1pct，较19年同期分别+2.6/+3.2/+1.0/+2.9pct。25Q3单季度公司综合/国内/国际/地区客座率分别为85.9%/86.3%/84.7%/81.9%，同比分别+0.4/+0.6/-0.4/+2.2pct，较19年同期分别+2.2/+2.5/+1.1/+6.4pct。4）机队规模：截至25Q3末，公司机队规模达到956架，前三季度净增长39架飞机。票价小幅下降，单位成本受益于油价仍有缩减。1）票价：25Q3南航单位RPK收入为0.570元，同比-3.0%；单位ASK收入为0.489元，同比-2.6%；暑运期间票价跌幅逐渐收窄。2）成本：25Q3南航单位ASK成本0.408元，同比-3.9%；受益于油价下跌及公司优异的成本管控能力，单位成本同比持续下降。看好四季度出行回暖，公司全年业绩有望转盈。三季度暑运期间，公司单位客收及座收跌幅控制得当，客座率高位提升，业绩取得亮眼表现。四季度初期国庆假期出行需求旺盛，十月份行业票价明显改善，公商务出行同比或能明显好转，看好公司座收回升。叠加油价下行及人民币汇率走强等因素，公司全年业绩有望转盈，看好未来利润弹性增长。盈利预测与投资评级：我们预计公司2025-2027年实现归母净利10.57、61.91、83.66亿元，同比分别+162.3%、+486.0%、+35.1%，对应每股收益分别为0.06、0.34、0.46元，10月28日收盘价对应PE分别为114.91、19.61、14.51倍。公司客座率持续高位，行业供需不断改善、四季度票价有望修复。看好航空出行回暖及公司未来盈利持续改善，维持公司“增持”评级。风险因素：出行需求不及预期，票价涨幅不及预期，油价大幅上涨风险，人民币大幅贬值风险。,,信达证券,增持,[None],2025-10-28,,增持,6909281,pdf_downloads/2025/2025-10-28/600029-南方航空（600029）：2025年三季报点评：三季度业绩亮眼，看好全年利润转盈.pdf,600029,南方航空,南方航空（600029）：2025年三季报点评：三季度业绩亮眼，看好全年利润转盈,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 10.57,
            ""eps"": 0.06,
            ""pe"": 114.91
        },
        {
            ""year"": 2026,
            ""net_profit"": 61.91,
            ""eps"": 0.34,
            ""pe"": 19.61
        },
        {
            ""year"": 2027,
            ""net_profit"": 83.66,
            ""eps"": 0.46,
            ""pe"": 14.51
        }
    ]
}",,,114.91,19.61,14.51,,,,0.06,0.34,0.46,
"郑树明,王凯婕",业绩2025年10月27日，南方航空发布2025年第三季度报告。2025年前三季度公司营业收入为1376亿元，同比增长2.2%；归母净利润为23亿元，同比增长17.4%。其中Q3公司实现营业收入514亿元，同比上升3%；归母净利润38.4亿元，同比增长20%。分析Q3收益水平同比回落，量增推动收入增长。2025Q3公司营业收入同比增长3%，主要系量增影响。Q3公司RPK同比增长6%，其中国内线增长5%，国际线增长9%，地区线增长3%，国际线、地区线RPK分别恢复至2019年同期的95%、88%。暑运期间公商务需求受到影响，票价同比下降，但依靠客座率提升及9月票价改善，Q3公司单位座公里营业收入同比仅下降2.6%。量增影响大于价减，公司仍取得单季度营收增长。Q3成本优化，毛利率同比增长。2025Q3公司毛利率为16.5%，同比增长1.1pct，主要系成本改善。受油价下降影响，2025Q3公司单位座公里营业成本为0.41元，同比下降3.9%。费用率方面，2025Q3公司销售、管理、研发、财务费用率分别为3.9%、2.1%、0.2%、2.4%，合计同比增长0.6pct，其中财务费用率增长0.5pct，主要系去年同期录得汇兑收益。综上，2025Q3公司归母净利润为38亿元，同比增长20%，净利率为7.5%，同比增长1.1pct。客座率高企票价可提升，中期受益供需优化。2025Q3公司客座率创新高，达到85.9%，其中9月淡季客座率高达86.3%，客座率高企凸显供需优化，公司已具备提价基础，考虑供给侧航班量低增长，预计供需改善可持续，票价将提升。中期看，供应链紧张等问题未得到妥善解决，行业供给增速预计维持低个位数，而旅客量维持高个位数增长，预计2026年内将现供需拐点，票价提升公司利润有望释放。盈利预测、估值与评级考虑Q3经营改善明显，上调公司2025-2027年净利预测至13亿元、66亿元、98亿元（原7亿元/49亿元/86亿元）。维持“买入”评级。风险提示宏观经济增速低于预期风险；人民币汇率贬值风险；油价大幅上涨风险；安全运行风险。,,国金证券,买入,[None],2025-10-28,,买入,6897180,pdf_downloads/2025/2025-10-28/600029-南方航空（600029）：公司点评：成本优化明显 Q3净利大增.pdf,600029,南方航空,南方航空（600029）：公司点评：成本优化明显 Q3净利大增,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 13,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 66,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 98,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"岳鑫,陈亦凡",维持增持。公司2025Q3在公商意外走弱下盈利逆势增长，更是连续三年Q3单季业绩超2019年同期，超市场预期，展现盈利上行趋势与潜力。预计未来两年盈利中枢将开启上行。维持2025-27年归母净利预测8/50/94亿元，维持27年15倍PE，维持目标价7.74元。2025Q3盈利逆势增长，连续三年Q3单季业绩超2019Q3，展现盈利上行趋势与潜力。公司2025年前三季度归母净利润23亿元，同比增长超17%。其中，2025Q3单季度归母净利润38亿元，同比增长20%。值得注意的是，在暑运公商需求意外走弱的压力下，公司盈利仍实现逆势增长，展现了盈利韧性与潜力。同时，这也是公司连续三年Q3单季业绩超2019年同期，初步展现盈利上行趋势。1）运投增长：截至9月底公司机队同比+5%，叠加国际增班周转提升驱动ASK同比+6%。2）客座率创新高：25Q3公司客座率达85.9%，同比+0.4pct，较19Q3+2.2pct。3）公商走弱致票价下降：25Q3公司单位ASK收入同比-3%，估算客收符合行业Q3国内含油票价同比-3%趋势。4）油价对冲：25Q3国内航油出厂均价同比-11%，基本对冲票价下降。5）推测25Q3仍有飞机营运补偿，补偿飞发停飞影响。中国航空业或迎持续正反馈，反内卷将助力淡季减亏与全年扭亏。国庆中秋假期出游旺盛，民航客流量增长3%，票价实现同比明显上升，再次验证因私需求旺盛且持续增长。节后公商快速恢复且同比恢复增长，客座率维持高位，且国内票价保持同比上升，好于业界与市场预期，并催化市场对后续公商恢复与票价上升可持续的乐观预期。2025/26冬航季中国民航局继续严控时刻增长与低价竞争，“反内卷”效果值得期待，有望保障Q4淡季减亏与2025全年扭亏。建议重点观察换季后公商需求恢复持续性，考虑客座率已创新高且票价已市场化，预计客源结构恢复将驱动盈利中枢上升且可持续。公司航网优化且积极降本，未来盈利中枢上行可期。广州北京双枢纽建设是南航重大战略，影响深远。南航作为北京大兴机场最大主基地航司，过去数年获得批量干线时刻，且机队增速显著放缓，航网结构得到优化。同时，公司针对需求趋势积极多维降本。中国民航票价已基本市场化，供给已进入低增时代，需求短期波动不改稳健增长趋势，未来随供需向好与枢纽运营，公司盈利中枢上行可期。风险提示。经济波动，油价汇率，行业政策，增发摊薄，安全事故。,,国泰海通,增持,[None],2025-10-28,,买入,7170591,pdf_downloads/2025/2025-10-28/600029-南方航空（600029）：2025 年三季报点评报告：Q3 展现盈利潜力，或迎持续正反馈.pdf,600029,南方航空,南方航空（600029）：2025 年三季报点评报告：Q3 展现盈利潜力，或迎持续正反馈,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 50,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 94,
            ""eps"": null,
            ""pe"": 15
        }
    ]
}",,,,,15.0,,,,,,,
