author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"吴文吉,翟一梦","通富微电(002156)拟定增加码先进封装投资要点中高端产品营业收入提升，供应链及上下游产业投资收益增厚业绩。公司预计2025年度实现归母净利润11.0-13.5亿元，预计同比增长62.34%-99.24%；扣非归母净利润7.7-9.7亿元，预计同比增长23.98%-56.18%，主要系2025年内，全球半导体行业呈现结构性增长，公司积极进取，产能利用率提升，营收增幅上升，特别是中高端产品营业收入明显增加。同时，得益于加强经营管理及成本费用的管控，公司整体效益显着提升。此外，公司准确把握产业发展趋势，围绕供应链及上下游布局产业投资，取得了较好的投资收益，增厚了公司2025年业绩。拟定增募资不超过44亿元，强化存储、汽车、晶圆级、高性能计算及通信等领域封测。2026年1月9日，公司公告2026年度向特定对象发行A股股票预案，拟定增募资不超过44亿元，扣除发行费用后将全部用于五大方向：1）存储芯片封测产能提升项目（拟投8亿元），项目建成后年新增存储芯片封测产能84.96万片；2）汽车等新兴应用领域封测产能提升项目（拟投10.55亿元），项目建成后年新增汽车等新兴应用领域封测产能50,400万块；3）晶圆级封测产能提升项目（拟投6.95亿元），预计新增晶圆级封测产能31.20万片，同时亦提升该厂区高可靠性车载品封测产能15.732亿块。4）高性能计算及通信领域封测产能提升项目（拟投6.2亿元），项目建成后年新增相关封测产能合计48,000万块；5）补充流动资金及偿还银行贷款（拟投12.3亿元）。本次公司定增募资，主要投向下游高景气度、国产替代加速、技术密集的增长领域，提升现有产能规模与供给弹性，以更好地承接下游市场复苏及结构性增长机遇，为国内外龙头客户提供更稳健的本土化封测支撑，并为承接新兴优质客户奠定产能基础，巩固公司在全球封测产业的领先地位。投资建议我们预计公司2025-2027年分别实现营收273/316/365亿元，实现净利润12.9/16.5/20.7亿元，维持“买入”评级。风险提示行业与市场波动的风险；新技术、新工艺、新产品无法如期产业化风险；主要原材料供应及价格变动风险；汇率风险；国际贸易风险。",,中邮证券,买入,[None],2026-02-02,,买入,8385083,pdf_downloads/2026/2026-02-02/002156-通富微电（002156）：拟定增加码先进封装.pdf,002156,通富微电,通富微电（002156）：拟定增加码先进封装
"熊军,宋鹏","公司发布公告，拟向特定对象发行股票，计划募资不超过44亿元，聚焦存储芯片、汽车电子、晶圆级封装、高性能计算及通信等核心领域的产能提升，并补充流动资金及偿还银行贷款，全面强化公司在半导体封测行业的综合竞争力。存储芯片封测产能提升项目：推进存储芯片领域技术深化，强化存储关键领域的封测能力。存储芯片作为数据密集型系统的核心支撑，其在服务器、PC、智能手机、汽车电子等多个场景中渗透率持续提升。在AI大模型推理及边缘侧智能化发展带动下，市场对高带宽、高容量、高可靠性的存储产品需求快速上行。同时，传统应用如个人电脑、手机等产品亦呈现出更新迭代快、结构性升级的趋势，推动存储市场在价格与比特总量两个维度同步增长。根据Techinsights统计，存储芯片市场在经历2023年的“去库存周期”后，2024年迎来反弹，市场规模达到1,704.07亿美元，同比增长77.64%，2024-2029年的年均复合增长率为12.34%。存储方面，公司以晶圆减薄与高堆叠封装能力为核心技术，业务全面覆盖FLASH、DRAM中高端产品封测，能够满足大容量、高速度、高堆叠、高可靠性等多维度要求。同时，公司围绕下游市场与客户的升级需求，持续深耕超厚金属层晶圆处理、高堆叠处理、高可靠性产品解决方案等关键工艺，取得良好技术积累。公司存储芯片封测产能提升项目计划投资8.88亿元，项目建成后年新增存储芯片封测产能84.96万片。汽车等新兴应用领域封测产能提升项目：把握下游市场的快速发展机遇，加强针对高性能及高可靠性产品的封测能力。车载芯片增长核心逻辑来自整车电动化、电子电气架构升级、智能化配置渗透的同步推进。一方面，较传统汽车而言，新能源汽车显著增加单车在控制、电池管理、传感器、功率传输等环节芯片用量；另一方面，整车电子电气架构正由分布式向域控制、集中式演进，催生MCU、SoC、车载以太网、车规存储等高性能芯片需求，叠加智能座舱、辅助驾驶乃至高阶自动驾驶功能的普及，使得计算、控制及通信类芯片在更多车型上加速渗透。在此背景下，国内整车厂及Tier1厂商持续导入国产方案，叠加部分海外客户基于“ChinaforChina”策略引导，车载芯片封测产能和验证体系亦持续向境内转移，国内封测企业正迎来覆盖车载芯片全产品线的新增需求窗口。公司汽车等新兴应用领域封测产能提升项目计划投资11.00亿元，项目建成后年新增汽车等新兴应用领域封测产能50,400万块，新增产能主要面向车载等高标准、高可靠性领域布局，强化高端产品的封测能力，优化公司产能结构，更好满足下游车规等高标准产品的封测需求。晶圆级封测产能提升项目：顺应下游技术发展趋势，加强晶圆级先进封装布局。随着AI、数据中心、自动驾驶、移动智能终端、可穿戴设备等应用场景的持续拓展与升级，芯片的算力需求及功能复杂度同步提升，对封装形式在电气性能、I/O密度、体积控制及散热能力等方面提出更高要求，推动晶圆级封装技术加速渗透。在同等芯片面积和功耗约束下，晶圆级封装支撑更高工作频率、更大带宽和更多功能模块集成，已成为下游高性能芯片的关键封装方案之一。晶圆级封装是多种先进封装技术的重要工艺基础，因此天然具备跨芯片品类、跨下游行业、广泛适配的特征。目前，晶圆级封装已应用于AI芯片、CPU、GPU、存储芯片、智能主控芯片、通信芯片、电源管理芯片等诸多核心领域。晶圆级封测产能提升项目计划投资7.43亿元，可涵盖CuPillar铜柱、SolderBump焊料凸点、BSM背面金属化等关键技术单元，覆盖各类数字芯片与模拟芯片在高速、低功耗、高密度封装方面的结构化需求，并可灵活适配多种封装形式及下游应用场景。项目建成后将新增晶圆级封测产能31.20万片，同时亦提升该厂区高可靠性车载品封测产能15.732亿块。高性能计算及通信领域封测产能提升项目：顺应下游技术发展趋势，加强倒装及系统级先进封装布局。高性能计算及通信领域封测产能提升项目主要涉及倒装封装（FC）与系统级封装（SiP）等先进封装技术。随着下游芯片应用场景不断向高性能、高集成、高带宽方向演进，传统封装形式在互连密度、散热能力、系统集成效率等方面已难以满足新一代芯片在算力密度、电气性能与封装尺寸等方面的综合需求。倒装与系统级封装作为当前主流的先进封装架构，已成为支撑人工智能、高性能计算、5G通信、边缘计算、移动终端和车载智能化等前沿应用的重要技术路径。高性能计算及通信领域封测产能提升项目计划投资7.24亿元，在延续公司既有优势基础上，将进一步扩充本土高端先进封装的核心产线，重点提升公司在高I/O封装、高散热结构、高密度互连布线、多芯片集成等技术维度的封测能力，夯实面向高性能计算及通信领域的交付能力，项目建成后年新增相关封测产能合计4.8亿块。投资建议：我们预计2025-2027年，公司营收分别为267.86/304.71/338.66亿元，同比分别为12.2%/13.8%/11.1%；归母净利润分别为10.40/13.41/16.44亿元，同比分别为53.6%/28.9%/22.6%；对应PE为61.0/47.3/38.6倍。考虑到通富微电在xPU领域产品技术积累，且公司持续推进封装技术研发，凭借其国内顶级2.5D/3D封装平台（VISionS）及超大尺寸FCBGA研发平台优势，不断强化与AMD等客户深度合作，叠加AI/大模型在手机/PC/汽车等多领域渗透有望带动先进封装需求提升。维持“买入”评级。风险提示：行业与市场波动风险；国际贸易摩擦风险；人工智能发展不及预期；新技术、新工艺、新产品、新项目无法如期产业化风险；主要原材料供应及价格变动风险；资产折旧预期偏差风险；依赖大客户风险。",,华金证券,买入,[None],2026-01-14,,买入,8332469,pdf_downloads/2026/2026-01-14/002156-通富微电（002156）：拟募资不超44亿元，聚焦存储、汽车电子、晶圆级封测、高性能计算等领域.pdf,002156,通富微电,通富微电（002156）：拟募资不超44亿元，聚焦存储、汽车电子、晶圆级封测、高性能计算等领域
"吴文吉,翟一梦",通富微电(002156)GPU封装EFB稳步建设投资要点业绩稳健增长，中高端产品营业收入明显增加。2025年前三季度，公司实现营收201.16亿元，同比+17.77%。通富超威苏州和通富超威槟城继续深度融合，优化资源，两家工厂充分结合市场策略，聚焦AI及高算力产品、车载智驾芯片的增量需求，积极扩充产能，拓展新客户资源，成功导入多家新客户。2025年前三季度，公司实现归母净利润8.60亿元，同比+55.74%，主要系营收上升，特别是中高端产品营业收入明显增加。同时，得益于加强管理及成本费用的管控，公司整体效益显著提升。展望后续，在技术驱动的新一轮上行周期与应用市场逐步复苏的叠加影响下，整体封测市场发展向好。未来，5G、AIoT、智能汽车等新兴应用的普及对封装技术提出更高要求。中国封测企业需要在高密度集成、低功耗设计、高散热性能等关键技术领域持续突破，同时加强与国际先进企业的合作交流，共同推动封装技术的创新发展。在政策支持、市场需求和技术进步的多重驱动下，中国IC封测行业有望实现从&quot;跟跑&quot;到&quot;并跑&quot;乃至&quot;领跑&quot;的历史性跨越。先进封装持续布局，Bumping、EFB等产线稳步建设。2024年，公司与国际大客户的合作关系愈发紧密，凭借多年来与国际大客户等行业领军企业携手合作所积累的深厚经验，公司在通富超威槟城成功布局先进封装业务，建设Bumping、EFB等生产线。此举精准契合国际大客户的经营战略，有效助力公司在先进封装领域进一步提升市场份额。公司及下属控制企业南通通富、合肥通富、通富通科、通富超威苏州及通富超威槟城等计划2025年在设施建设、生产设备、IT、技术研发等方面投资共计60亿元。其中：崇川工厂、南通通富、合肥通富、通富通科等计划共计投资25亿元，主要用于新厂房建设，新能源、电源管理、高性能计算、智能终端、汽车电子、服务器、安防监控、显示驱动、存储、MCU等产品的量产与研发。通富超威苏州、通富超威槟城等计划共计投资35亿元，主要用于现有产品扩产升级，以满足大尺寸多芯片的服务器及AIPC等产品的量产与研发。EFB高阶扇出桥接封装，主要应用于GPU等高性能芯片。EFB封装即高阶扇出桥接（ElevatedFanoutBridge），是一种2.5D先进封装技术。EFB和Intel的EMIB（EmbeddedMulti-DieInterconnectBridge）有相似之处。两者都没有采用垂直硅通孔，也没有使用中介层，但实现了比传统Substrate封装更好的电气性能和互联密度，因此属于2.5D先进封装。两种技术均是将多个芯片（DIE）以水平方式排列，并在相邻部分的下方增加一层硅中介层，实现它们之间的高速互联，而在其余部分可采用传统的与substrate连接的封装方法，具有很好的灵活性。不同之处在于，EMIB将中介层埋入基板（Substrate）之下，而EFB则是将中介层置于基板表面，并通过整体垫高的方式来放置这两个芯片，两种方法均具有各自的优势。AMDInstinctMI200系列加速器作为业界首个采用2.5DEFB技术的多芯片GPU，与AMD前代GPU相比，可提供1.8倍的内核数量和2.7倍的显存带宽，以及业界领先的每秒3.2terabytes的理论峰值显存带宽。投资建议我们预计公司2025-2027年分别实现营收273/316/365亿元，实现净利润13.5/16.5/20.7亿元，维持“买入”评级。风险提示行业与市场波动的风险；新技术、新工艺、新产品无法如期产业化风险；主要原材料供应及价格变动风险；汇率风险；国际贸易风险。,,中邮证券,买入,[None],2025-11-04,,买入,7384114,pdf_downloads/2025/2025-11-04/002156-通富微电（002156）：GPU封装EFB稳步建设.pdf,002156,通富微电,通富微电（002156）：GPU封装EFB稳步建设
"陈耀波,刘志来",主要观点：事件2025年10月28日，通富微电公告2025年三季度报告，公司前三季度实现营业收入201.16亿元，同比增长17.77%，归母净利润8.60亿元，同比增长55.74%，扣非归母净利润7.78亿元，同比增长43.69%。对应3Q25单季度营业收入70.78亿元，同比增长17.94%，环比增长1.90%；单季度归母净利润4.48亿元，同比增长95.08%，环比增长44.32%；单季度扣非归母净利润3.58亿元，同比增长58.95%，环比增长13.05%。三季度增长强劲，持续发力先进封装公司3Q25单季度营收与归母净利润均创下历史同期新高，主要系中高端产品营业收入明显增加，同时得益于加强管理及成本费用的管控，公司整体效益显著提升。公司大客户AMD积极推进AI业务，在2025年10月份和OpenAI宣布达成合作协议，OpenAI将在未来五年内部署价值6千兆瓦（GW）的AMD Instinct系列GPU，以支持其AI数据中心建设。该合作将从2026年下半年开始，首批将部署1GW的AMD Instinct MI450系列GPU。根据协议，OpenAI将与AMD合作，AMD将成为其核心战略计算合作伙伴，推动AMD技术的大规模部署，首先从AMD Instinct MI450系列和机架级AI解决方案入手，并扩展到未来几代产品。大客户AMD的增长，将为公司的营收规模提供了有力保障。投资建议我们预计2025-2027年公司归母净利润分别为12.7、14.4、18.5亿元（前次报告预测为10.2、13.3、16.6亿元），对应的EPS分别为0.84、0.95、1.22元，对应2025年11月3日收盘价PE分别为49.9、44.0、34.2x。维持公司“增持”评级。风险提示市场需求不及预期；大客户进展不及预期，地缘政治影响超预期。,,华安证券,增持,[None],2025-11-04,,增持,7383644,pdf_downloads/2025/2025-11-04/002156-通富微电（002156）：三季度增长强劲，持续发力先进封装.pdf,002156,通富微电,通富微电（002156）：三季度增长强劲，持续发力先进封装
"方竞,李少青",Q3维持高增长，持续强化高端先进封装布局事件：10月27日晚，公司发布2025年三季报，2025年前三季度实现营业收入201.16亿元，同比增速17.77%；实现归母净利润8.60亿元，同比增速55.74%；实现扣非后归母净利润7.78亿元，同比增速43.69%。Q3业绩持续高增长，盈利能力显著改善。从2025年Q3单季度来看，收入为70.78亿元，环比增速1.90%，同比增速17.94%；归母净利润为4.48亿元，环比增速44.32%，同比增速95.08%；毛利率和净利率分别为16.18%、7.19%，同比变化分别为1.54、2.86个百分点，环比变化分别为0.07、2.04个百分点；销售费用率/管理费用率/研发费用率分别为0.26%/2.16%/5.20%，同比变化分别为-0.03/0.01/0.45个百分点。紧抓下游机遇扩大市场份额。随着手机芯片、汽车芯片国产化进程加快，家电等国补政策持续利好，公司紧抓机遇，在手机、家电、车载等众多应用领域提升公司市场份额，在WiFi、蓝牙、MiniLed电视显示驱动等消费电子热点领域，成为多家重要客户的策略合作伙伴；同时夯实与手机终端SOC客户合作基础，份额不断提升；依托工控与车规领域的技术优势，加速全球化布局，提升整体市场份额。大客户AMD延续增长态势，公司高度受益。2025年上半年，公司大客户AMD的业绩延续了增长势头，其数据中心、客户端与游戏业务表现突出。其中，AMD数据中心业务持续增长，主要源于EPYCCPU的强劲需求；AMD客户端业务营业额创季度新高，第二季度达25亿美元，同比增长67%，主要得益于最新“Zen5”架构的AMD锐龙台式处理器及更丰富的产品组合的强劲需求；AMD游戏业务显著复苏，游戏主机定制芯片和游戏GPU需求的增加。大客户AMD业务强劲增长，为公司的营收规模提供了有力保障。积极布局Chiplet、2D+等顶尖封装技术。公司大尺寸FCBGA已开发进入量产阶段，超大尺寸FCBGA已预研完成并进入正式工程考核阶段；同时，公司通过产品结构设计优化、材料选型及工艺优化，解决了超大尺寸下的产品翘曲问题、产品散热问题。此外，公司在光电合封（CPO）领域的技术研发取得突破性进展，相关产品已通过初步可靠性测试。公司大力开发扇出型、圆片级、倒装焊等封装技术并扩充产能，积极布局Chiplet、2D+等顶尖封装技术。投资建议：我们预计公司2025/2026/2027年归母净利润分别为13.40/16.45/18.14亿元，对应2025/2026/2027年现价PE分别为48/39/36倍，公司在高性能先进封装领域处于领先地位。维持“推荐”评级。风险提示：竞争加剧风险；终端需求复苏不及预期风险；国际贸易摩擦及关税风险。,,民生证券,推荐,[None],2025-10-31,,增持,7108147,pdf_downloads/2025/2025-10-31/002156-通富微电（002156）：Q3维持高增长，持续强化高端先进封装布局.pdf,002156,通富微电,通富微电（002156）：Q3维持高增长，持续强化高端先进封装布局
岳阳,"事项：公司发布 2025 年三季报：1）2025Q1-3：营业收入 201.16 亿元，同比+17.77%；毛利率 15.26%，同比
+0.93pct；归母/扣非后归母净利润 8.60/7.78 亿元，同比+55.74%/+43.69%；2）2025Q3：营业收入 70.78 亿元，同比/环比+17.94%/+1.90%；毛利率 16.18%，
同比/环比+1.54pct/+0.06pct；归母/扣非归母后净利润 4.48/3.58 亿元。评论：行业景气度回升叠加产品结构优化，公司 2025Q3 业绩和盈利能力持续提升。2025Q1-3公司抓住半导体市场结构性增长机遇，营业收入同比+17.77%至201.16亿元，归母净利润同比+55.74%至8.60亿元。分季度看，公司2025Q1-3业绩环比持续提升，产品结构优化叠加成本管控带动盈利能力不断改善，2025Q3公司毛利率同比/环比+1.54pct/+0.06pct至16.18%，净利率同比/环比+2.86pct/+2.04pct至7.19%。展望后续，随着行业需求的不断复苏，AI、汽车电子等高景气领域市场的持续发展，叠加公司业务结构的迭代升级，公司业绩有望保持增长态势、盈利能力有望不断改善。AI 驱动先进封装需求爆发，公司深度绑定优质客户，技术布局领先。AI 算力芯片需求激增带动先进封装市场高增长，2025H1公司大客户 AMD 的业绩延续了增长势头，其数据中心、客户端与游戏业务表现突出，公司作为AMD最核心的封测供应商（承接其超八成订单），持续深化“合资+合作”模式。近期AMD与OpenAI达成战略合作，有望为公司带来业绩弹性。技术布局方面，公司大尺寸FCBGA已进入量产，超大尺寸FCBGA进入工程考核阶段，并在光电合封（CPO）领域取得突破，相关产品已通过初步可靠性测试。公司正积极完善Chiplet、2D+解决方案平台，以配合客户高端产品需求。汽车电子、存储业务高景气，多元化布局打开长期成长空间。公司加速向高附加值领域转型：1）汽车电子方面，公司依托车规技术优势，全面拓展车载功率器件、MCU等产品；2）存储封测方面，公司深化与国内存储原厂战略协同；3）消费电子方面，公司抓住国产替代机遇，成为重要客户的策略合作伙伴。产能扩张方面，公司2025年资本开支计划约60亿元，其中崇川工厂、南通通富、合肥通富、通富通科等共计划投资25亿元，通富超威苏州、通富超威槟城等计划共计投资35.00亿元，为中长期成长奠定坚实基础。投资建议：行业周期回暖，公司优质客户扩容带动需求增长，后续有望保持稳健增长。考虑到公司业务进展超预期，我们将公司2025-2027年归母净利润预测由10.49/13.82/16.19亿元上调为12.01/16.01/20.45亿元，对应EPS为0.79/1.05/1.35元，维持“强推”评级。风险提示：下游需求不及预期；外部贸易形势变化；技术迭代不及预期；行业竞争加剧。",,华创证券,强推,[None],2025-10-29,,买入,6988907,pdf_downloads/2025/2025-10-29/002156-通富微电（002156）：2025年三季报点评：25Q3业绩创历史新高，AI驱动先进封装加速成长.pdf,002156,通富微电,通富微电（002156）：2025年三季报点评：25Q3业绩创历史新高，AI驱动先进封装加速成长
"刘梦麟,陈伟光",事件：公司发布2025年三季报。公司2025年前三季度实现营收201.16亿元，同比增长17.77%，实现归母净利润8.60亿元，同比增长55.74%。点评：公司Q3单季度营收、归母净利润均创历史新高，盈利能力同比、环比提升。公司2025年前三季度实现营收201.16亿元，同比增长17.77%，实现归母净利润8.60亿元，同比增长55.74%，对应25Q3营收为70.78亿元，同比增长17.94%，对应25Q3归母净利润为4.48亿元，同比增长95.08%。盈利能力方面，公司2025年前三季度销售毛利率、净利率分别为15.26%和4.94%，相比上年同期分别提高0.93和1.28个百分点，25Q3单季度销售毛利率为16.18%，同比提高1.54pct，环比提高2.99pct，Q3单季度销售净利率为7.19%，同比提高2.86pct，环比提高5.10pct。公司业绩增长主要系营业收入上升，特别是中高端产品收入明显增加，同时加强管理及成本费用管控，整体效益显著提升。公司是AMD核心封测供应商，受益AI带来的先进封装增量。公司作为全球领先的集成电路封装测试服务提供商，为全球客户提供从设计仿真到封装测试的一站式服务，产品、技术、服务全方位覆盖人工智能、高性能计算、大数据存储、显示驱动、5G等网络通讯、信息终端、消费终端、物联网、汽车电子、工业控制等多个领域，满足客户多样化需求。2015年，公司与AMD达成战略合作关系，目前为AMD提供CPU、GPU、服务器芯片等高端封测服务。随着5G、AIoT、智能汽车等新兴应用的普及，对封装技术提出了更高要求，尤其是在高密度集成、低功耗设计、高性能散热等关键技术领域需要持续突破。公司抓住市场机遇，面向未来高附加值产品，大力开发扇出型、圆片级、倒装焊等封装技术并扩充其产能；此外，积极布局Chiplet、2D+等顶尖封装技术，形成了差异化竞争优势。产能建设稳步推进，保障长期成长空间。公司先后在江苏南通崇川、南通苏通科技产业园、安徽合肥、福建厦门、南通市北高新区建厂布局；通过收购AMD苏州及AMD槟城各85%股权，在江苏苏州、马来西亚槟城拥有生产基地。,,东莞证券,买入,[None],2025-10-28,,增持,6913899,pdf_downloads/2025/2025-10-28/002156-通富微电（002156）：经营业绩持续高增，大力加码先进封装产能.pdf,002156,通富微电,通富微电（002156）：经营业绩持续高增，大力加码先进封装产能
葛星甫,事件：通富微电发布2025年三季度报告，前三季度实现营业收入201.16亿元，同比+17.77%；实现归母净利润8.60亿元，同比+55.74%；实现扣非归母净利润7.78亿元，同比+43.69%。多因素驱动行业景气度延续，公司业绩保持良性增长。受益于AI高速发展、封测产能持续向国内转移以及产业自主可控进程推进等多因素共同作用，封测行业景气度有望延续。根据世界半导体贸易统计组织（WSTS）预测，2025年全球半导体市场规模将达7280亿美元，同比增长15.4%；2026年该市场规模有望达8000亿美元，进一步同比增长9.9%。从单季度来看，公司25Q3实现营收70.78亿元，同比+17.94%，环比+1.90%；实现归母净利润4.48亿元，同比+95.08%，环比+44.32%，公司经营有望持续向好。产品结构与内部管理同步优化，盈利水平大幅提升。2025年前三季度，公司产品结构进一步优化，中高端产品增收明显；同时，公司注重内部管理改善和成本费用管控，前三季度费用率同比均下降。公司毛利率和净利率自年初以来逐季提升，25Q3单季度实现毛利率16.18%，同比+1.54pct，环比+0.06pct；净利率7.19%，同比+2.86pct，环比+2.04pct，利润端修复效果显著。深度绑定大客户，共享AI发展机遇。公司自2015年收购AMD苏州和AMD槟城后，与AMD长期维持着紧密的战略合作伙伴关系，大客户业务发展与公司业绩表现休戚相关。据CNBC等外媒报道，2025年10月6日，AMD已与OpenAI达成为期四年的供应协议，将向其提供数十万颗AI芯片，用于构建总计6GW的AI算力基础设施，首批1GW基于MI450系列芯片的部署将于2026年下半年启动。该协议预计可使AMD每年新增数百亿美元的营收，公司作为AMD最大的封测供应商，有望深度受益。盈利预测与评级：我们预计公司2025-2027年归母净利润分别为11.62/15.95/20.25亿元，同比增速分别为71.54%/37.24%/26.93%，当前股价对应的PE分别为57.37/41.80/32.93倍。鉴于公司与大客户AMD合作紧密，有望深度受益其AI业务扩张，叠加管理优化和成本管控，盈利能力或持续回升，维持“买入”评级。风险提示：行业和市场周期性波动风险；汇率风险；国际贸易摩擦风险等。,,华源证券,买入,[None],2025-10-28,,买入,6902200,pdf_downloads/2025/2025-10-28/002156-通富微电（002156）：行业景气度或延续，利润端步入修复期.pdf,002156,通富微电,通富微电（002156）：行业景气度或延续，利润端步入修复期
"谢春生,丁宁",2025年10月28日│中国内地 半导体 通富微电发布三季报：Q3实现营收70.78亿元（yoy+17.94%，qoq+1.90%），归母净利4.48亿元（yoy+95.08%，qoq+44.32%）。2025年Q1-Q3实现营收201.16亿元（yoy+17.77%），归母净利8.60亿元（yoy+55.74%），扣非净利7.78亿元（yoy+43.69%）。公司3Q25中高端产品收入放量，我们看好公司凭借与大客户的长期深度合作关系以及高端产能上的准备，有望导入大客户增量算力订单，打开营收与利润率增长空间，维持“买入”评级。3Q25回顾：中高端产品促营收增长，成本管控助利润同比提升显著公司3Q25中高端产线放量，带动整体营收在高基数下继续环增1.90%，同增17.94%。毛利率方面，因公司稼动率水平维持高位且中高端产品起量带动产品结构优化，3Q25公司实现毛利率16.18%，同比提升1.54pct，环比提升0.07pct，同时公司在成本费用管控方面成效显著，Q3期间费用率为9.28%，同比下降0.58pct，环比下降0.46pct，主因研发费率有所下降，3Q25研发费率环降0.39pct。在收入持续增长以及成本管控效果显著的带动下，公司归母净利润快速增长，3Q25归母净利润环增44.32%/同增95.08%达到4.48亿元。展望：看好大客户AMD获大额订单后为公司带来增量需求10月6日AMD与OpenAI宣布达成战略合作，将在多年多代产品的框架下，部署总计6GW的AMD GPU芯片，用于支撑OpenAI下一代人工智能基础设施，而通富作为AMD深度合作封测厂，我们认为具备AMD增量订单的导入机会。公司已完成通富超威槟城新工厂Bumping项目生产线建设工程、槟城新工厂先进封装项目生产线建设工程，同时1H25大尺寸FCBGA已完成开发进入量产，超大尺寸FCBGA已预研完成并进入正式工程考核阶段，公司在产能与技术上的准备将有望为未来潜在增量订单提供供应能力保障，我们看好若导入大客户增量订单后有望为公司带来收入与利润率上的增长。目标价52.80元，维持“买入”评级我们上调公司25-27年归母净利润（19.82%/12.87%/8.06%）至13.42/15.98/18.56亿元，对应EPS为0.88/1.05/1.22元。上调主要考虑到公司毛利率水平在新厂房折旧释放的情况下依然稳健，同时随中高端产线进入营收贡献期后研发投入强度有所下降。基于2025年BPS 10.56元，给予5.0x 2025年PB（前值：4.0x PB，目前可比公司PB均值3.6x，上调估值主因公司中高端营收贡献加速以及大客户获得大额订单后有望为公司带来的潜在增量，同时考虑公司封测领域的领先地位较可比公司给予一定溢价），上调目标价至52.80元（前值：41.68元），维持“买入”评级。风险提示：半导体行业周期下行；核心客户需求减弱致业绩不及预期。,,华泰证券,买入,[None],2025-10-28,,买入,6892702,pdf_downloads/2025/2025-10-28/002156-通富微电（002156）：看好中高端产品放量带动收入增长.pdf,002156,通富微电,通富微电（002156）：看好中高端产品放量带动收入增长
"陈蓉芳,陈瑜熙",“大客户+自主可控+多元化”，通富微电打开成长空间，维持“买入”评级2025年Q2公司营收69.46亿元/yoy+19.8%，归母净利润3.11亿元/yoy+38.6%，双双创历史同期单季度新高，通富苏州与通富槟城背靠大客户贡献净利润7.25亿元；与此同时，公司多元化业务拓展顺利，在手机芯片、射频、消费电子热点领域、汽车电子、存储、显示驱动芯片等领域成绩斐然。我们看好公司在大客户渗透率提升、在国产算力产业链自主可控、多元化封测业务突破，三重逻辑下的成长机会，预计公司2025-2027分别实现营收282.49/328.74/382.07亿元，实现归母净利润 10.49/15.95/21.31亿元，对应当前股价PE分别为58.7/38.6/28.9倍，维持“买入”评级。携手AMD，通富微电厚增能力、业绩受益，看好AI时代的弹性增长机会自2015年与AMD达成战略合作以来，通富微电承接AMD超过8成订单，品类包括高端处理器、显卡、服务器芯片等产品。在此期间公司：(1)厚增能力：2019年实现AMD 7nm全系列产品封测，2021年量产Chiplet，2024年涉及AMD Instinct MI300以及AI PC芯片封测项目，已建成覆盖2.5D/3D等封装工艺的技术平台；(2)业绩受益：与AMD共享成长红利，全球OSAT营收排名已达No.4。展望未来，我们认为大客户业务中CPU确定性高，GPU弹性大，尤其在服务器GPU方面。10月6日AMD已与OpenAI达成四年协议，预计可使AMD年营收增加数百亿美元，公司作为AMD战略合作伙伴有望深度受益。高端先进封装是时代基石/本土机遇，国产核心龙头通富微电有望深度受益算力产业已开启军备竞赛，国产算力跨越式发展的背景下，本土AI算力芯片蓬勃发展，自主可控趋势下产业链迎来发展窗口。Chiplet工艺适配大尺寸算力芯片，兼备可行性和性价比，不仅是AI时代的核心解决方案，也符合我国集成电路政策与产业发展趋势。随算力各环节合力突破，公司厚积薄发，正当其时。风险提示：AI产业发展不及预期、高端先进封装产能释放不及预期、国际形势变化带来的不确定性风险。,,开源证券,买入,[None],2025-10-22,,买入,6680134,pdf_downloads/2025/2025-10-22/002156-通富微电（002156）：公司深度报告：AI浪潮下，AMD合力与先进封装的价值重估之路.pdf,002156,通富微电,通富微电（002156）：公司深度报告：AI浪潮下，AMD合力与先进封装的价值重估之路
