author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts
"何伟,刘立思,陆思源,杨策",核心观点事件：据东方财富Choice数据，2026年1月9日，海信视像新增“商业航天”概念，子公司乾照光电砷化镓太阳能电池产品被应用于商业航天领域。海信视像是乾照光电第一大股东。公司此前投入16.05亿元于2023年1月完成对乾照光电的控股，截至目前持股比例达26.19%，并将其纳入合并范围。乾照光电作为海信视像在上游领域的战略布局，间接为海信视像供应背光芯片产品；并在新型显示领域实现深度产业协同，成功实现RGB-Mini LED背光与Micro LED芯片技术的产业化突破；海信光模块业务与乾照光电的VCSEL技术形成潜在协同。乾照光电巩固LED芯片主业，快速拓展太阳能电池、VCSEL业务，切入商业航天、光通信领域。其中，乾照光电是国内领先的砷化镓太阳能电池产品供应商，受益于商业航天的高速发展，公司出货量快速增长，稳居国内市场第一。业务从外延片延伸至芯片，25H1适用于低轨商业卫星的产品已批量出货，柔性空间太阳能电池抗辐照性能实现突破。2025Q1-3，乾照光电收入27.5亿元，同比+46.4%，归母净利润0.9亿元，同比+80.2%。商业航天景气度提升，卫星用太阳能电池需求有望爆发。目前，商业航天采用砷化镓太阳能电池作为主要供能方式，具备高效率、高比功率、超强抗辐照、长寿命等优势。据QYResearch，全球有超过95%的空间供电均使用锗衬底砷化镓太阳能电池。我们看好全球商业航天的快速发展，尤其是中国市场的潜力。预计2026年中国卫星发射量将快速增长，进一步带动对砷化镓太阳能电池的需求，乾照光电有望核心受益。投资建议：子公司乾照光电在商业航天领域表现亮眼，海信视像目前是商业航天估值最低的公司。我们维持盈利预测，预计公司2025-2027年营业收入分别为616/692/759亿元，分别同比+5.3%/+12.3%/+9.7%，归母净利润26.8/30.0/34.1亿元，分别同比+19.2%/+11.9%/+13.9%，EPS分别为2.05/2.30/2.62元每股，当前股价对应11.8/10.6/9.3 P/E，维持“推荐”评级。风险提示：市场需求不足的风险；美国关税的风险；商业航天发展不及预期的风险。,,银河证券,推荐,[None],2026-01-11,,买入,8322110,pdf_downloads/2026/2026-01-11/600060-海信视像（600060）：商业航天影子龙头，控股乾照光电.pdf,600060,海信视像,海信视像（600060）：商业航天影子龙头，控股乾照光电,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 26.8,
            ""eps"": 2.05,
            ""pe"": 11.8
        },
        {
            ""year"": 2026,
            ""net_profit"": 30.0,
            ""eps"": 2.30,
            ""pe"": 10.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 34.1,
            ""eps"": 2.62,
            ""pe"": 9.3
        }
    ]
}"
吴嘉敏,报告摘要公司披露25Q3业绩25Q3收入+3%（主营收入+7%）、归母净利润+20%、扣非归母净利润+14%；Q1-3收入+5%（主营收入+6%）、归母净利润+24%（16亿）、扣非归母净利润+22%。收入利润符合预期。电视：海信内销表现更好25Q3全球额/量/价为+3%/+7%/-4%，明年增量主要在海外。内销：根据我们拆分，额/量/价为+3%/-3%/+5%。海信内销均价表现更好，得益于海信子品牌和主品牌都更多地发力miniled以及低基数。外销：根据我们拆分，额/量/价为+3%/+10%/-6%。①量：Q3销售略好于H1，主因是北美沃尔玛恢复出货，Q3销量看，北美+10%（显著回升）、欧洲+小个位数。②价：海信美国份额低于TCL，发力点主要还做竞争相对激烈的美国沃尔玛渠道，导致海外均价走弱。展望：我们预计后续外销好于内销①外销：我们对Q4和26年都比较乐观。26年公司赞助美加墨世界杯，增速较高。②内销：确实国补退坡有压力，公司也在自补+发布多款高端新品，Q1-3miniled渗透率为16%/19%/近20%，此外miniled自身也在提价带动均价增长。24Q4高基数（24Q4内销收入+35%），预计Q4下滑，我们预计明年的增长以提份额为主。新显示：我们预计Q3+30%+海外激光+商显高增带动。之前主要做国内，今年逐步出海带动增长，激光利润也在打开。投资建议目前公司内销做的不错，在激光和商用产品外销带动下，新显示业务高增。明年公司赞助世界杯，预计海外+双位数。根据Q3业绩我们调整全年业绩，我们预计25/26年公司归母25/28亿（+10%/+13%），前值为25/29亿（+12%/+15%），公司电视主业出海逻辑顺畅，且有AI显示等各种逻辑催化，维持“买入”评级。风险提示：面板价格波动风险，外销不及预期，汇率波动风险，研报信息更新不及时风险。,,中泰证券,买入,[None],2025-11-08,,买入,7590624,pdf_downloads/2025/2025-11-08/600060-海信视像（600060）：25Q3点评：业绩符合预期，期待明年海外.pdf,600060,海信视像,海信视像（600060）：25Q3点评：业绩符合预期，期待明年海外,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 28,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
"孟昕,赵梦菲,金桐羽",事件：2025年10月29日，海信视像发布2025年三季报。2025年前三季度公司实现营业收入428.30亿元（+5.36%），归母净利润16.29亿元（+24.28%），扣非归母净利润12.06亿元（+22.19%）。2025Q3收入表现稳健，高端大屏化助推业绩快速增长。1）收入端：2025Q3公司实现营收156.00亿元（+2.70%），收入实现稳健增长；2025年前三季度公司艺术电视、显示器、移动智慧屏销量同比分别超+52%、+86%、+199%，均实现高增。2）利润端：2025Q3公司归母净利润达5.73亿元（+20.25%），实现较快增速主系公司高端大屏化战略推进带动利润结构改善，再叠加降本增效措施持续见效所致；2025年前三季度海信系98和100英寸以上的大屏电视全球销量同比分别超64%、59%，Mini LED全球和中国市场销量则同比提升76%、200%+。2025Q3毛利率维持稳定，费用率管控合理助力净利率小幅提升。1）毛利率：2025Q3毛利率达14.44%（-0.03pct），毛利率表现平稳。2）净利率：2025Q3净利率达4.29%（+0.88pct），相较毛利率实现逆势提升或系得益于公司提质增效措施的落地。3）费用端：2025Q3销售/管理/研发财务费用率分别为5.65/1.54/3.58/0.16%，分别同比-0.22/-0.16/-0.32/+0.03pct，期间费用率控制较为合理。投资建议：行业端，全球TV行业高端大屏化升级趋势日益明显，Mini LED产品渗透率不断提升，有望带动行业整体规模和利润水平稳步提升。公司端，海信坚持 “1+4+N”战略并且技术端储备充足，Mini LED电视占比提升带动产品结构升级，同时内部改革带动业绩持续释放，收入利润有望持续快速增长。我们预计，2025-2027年公司归母净利润分别为24.87/28.80/31.88亿元，对应EPS分别为1.91/2.21/2.44元，当前股价对应PE分别为12.97/11.20/10.12倍。维持“买入”评级。风险提示：主要原材料价格波动、市场需求下降、汇率波动、市场竞争加剧、海外贸易政策变动等。,,太平洋证券,买入,[None],2025-11-04,,买入,7346184,pdf_downloads/2025/2025-11-04/600060-海信视像（600060）：2025Q3业绩快速增长，MiniLED和大屏产品销量表现亮眼.pdf,600060,海信视像,海信视像（600060）：2025Q3业绩快速增长，MiniLED和大屏产品销量表现亮眼,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 24.87,
            ""eps"": 1.91,
            ""pe"": 12.97
        },
        {
            ""year"": 2026,
            ""net_profit"": 28.80,
            ""eps"": 2.21,
            ""pe"": 11.20
        },
        {
            ""year"": 2027,
            ""net_profit"": 31.88,
            ""eps"": 2.44,
            ""pe"": 10.12
        }
    ]
}"
"孙珊,管泉森,莫云皓","公司事件海信视像披露2025年三季报：2025年前三季度实现营业收入428.30亿元，同比+5.36%，实现归母净利润16.29亿元，同比+24.27%，实现扣非归母净利润12.06亿元，同比+22.17%；2025Q3实现营业收入156.00亿元，同比+2.70%，实现归母净利润5.73亿元，同比+20.15%，实现扣非归母净利润3.94亿元，同比+14.01%。外销如期修复，营收稳健增长2025Q3主营同比+6.71%，产业在线数据表明，公司2025Q3内、外、总销量分别同比-4.55%/+20.60%/+14.88%，其中内销量相比2025Q2转为下滑，我们认为考虑到公司国内产品结构持续升级，公司内销均价或有同比个位数提升，彩电内销收入同比或小幅增长,外销量增速如期修复，我们预计彩电外销收入也有所增长。且公司旗下乾照光电营收当季同比+65.80%，环比2025Q2提速，公司新显示新业务收入或实现较快增长。2025Q3公司非主营收入同比下滑，或由于材料销售收入减少。毛利率稳步提升，利润延续增长2025Q3公司毛利率同比+0.51pct，尽管彩电主业海内外竞争较激烈，但新显示新业务或凭借产品创新与全球拓展提升毛利率；2025Q3公司销售/管理/研发/财务费用率分别同比+0.32/-0.16/-0.32/+0.02pct，期间费用率同比小幅下滑。2025Q3公司其他收益同比增长增厚利润，但投资收益同比下滑及所得税增长有所拖累，综合影响下2025Q3公司归母净利率同比+0.53pct至3.67%，利润延续较快增长，后续公司有望凭借技术、产品创新以及投放效率提升，盈利能力中长期逐步优化。维持公司“买入”评级2025Q3公司彩电内销凭借产品结构优化延续增长，外销增速随着渠道调整告一段落后如期修复，且公司新显示新业务或环比提速；尽管彩电主业竞争较激烈，但公司新显示新业务盈利或有所提升，且降本增效显著，业绩实现较快增长。尽管基数走高，但我们认为公司凭借产品创新与体育营销提升份额，依托供应链优势和降本增效优化盈利能力，整体稳健经营可期。我们预计2025-2027年归母净利润为25.14、29.29、33.95亿，对应PE为12.9、11.0、9.5倍，维持“买入”评级。风险提示：原材料成本大幅上涨，关税及外需不确定性。",,国联民生证券,买入,[None],2025-11-03,,买入,7572574,pdf_downloads/2025/2025-11-03/600060-海信视像（600060）：2025 年三季报点评：外销如期修复，盈利持续改善.pdf,600060,海信视像,海信视像（600060）：2025 年三季报点评：外销如期修复，盈利持续改善,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.14,
            ""eps"": null,
            ""pe"": 12.9
        },
        {
            ""year"": 2026,
            ""net_profit"": 29.29,
            ""eps"": null,
            ""pe"": 11.0
        },
        {
            ""year"": 2027,
            ""net_profit"": 33.95,
            ""eps"": null,
            ""pe"": 9.5
        }
    ]
}"
"纪向阳,褚菁菁","目标价格： 总市值(亿) 323.37最新收盘价： 24.78 自由流通市值(亿) 322.18事件概述25Q1-Q3，公司实现营收428.30亿元，同比+5.36%，实现归母净利润16.29亿元，同比+24.28%，扣非归母净利润为12.06亿元，同比+22.19%；25Q3，公司实现营收156.00亿元，同比+2.70%，主营业务收入为150.66亿元，同比+6.71%；实现归母净利润5.73亿元，同比+20.25%，扣非归母净利润为3.94亿元，同比+14.07%。分析判断:主营业务稳健增长，产品结构优化升级。智慧显示终端业务：公司持续推进全球化发展战略，推动产品向大屏化、高端化、智能化的方向发展，据海信视像微信公众号，25Q1-Q3，国内零售额市占率同比+1.2 pct至30.1%；25Q1-Q3，在98英寸及100英寸以上大屏电视市场，海信系电视全球市场销量同比增速超64%与59%；海信Mini LED电视全球出货量同比+76%以上，国内市场销量同比+200%以上。新显示业务：新显示业务收入规模进一步提升，激光业务和商用显示业务表现良好，商用显示收入同比增长超149%，智能投影、显示器、移动智慧屏等产品销量快速增长。毛利率持续优化，销售费用率因品牌营销投入有所提升。毛利率端：25Q1-Q3，公司毛利率为15.66%，同比+0.84 pct，25Q3，毛利率为14.44%，同比+0.51 pct。 费用率端：25Q1-Q3，销售费用率、管理费用率、研发费用率为6.34%、1.78%、4.13%，分别同比+0.68、+0.07、-0.08 pct；25Q3，销售费用率、管理费用率、研发费用率为5.65%、1.54%、3.58%，分别同比+0.32、-0.16、-0.32 pct，销售费用率提升或与阶段性的品牌营销投入增加有关。归母净利率端：结合毛利率与费用率情况，25Q1-Q3，公司归母净利率为3.80%，同比+0.58 pct；25Q3，公司归母净利率为3.67%，同比+0.54 pct，盈利能力持续优化。推进全球化布局与高端化战略，技术驱动产品创新，核心竞争力有望继续强化。公司持续深耕“1+（4+N）”的产业布局，提升显示、芯片、AI等技术竞争力，加快Mini LED、Micro LED、RGB三维控色等新技术的研发与应用，巩固竞争优势；通过海信、东芝、Vidda三大品牌的差异化布局，产品矩阵的协同矩阵持续凸显；通过赞助欧洲杯、世俱杯等赛事，海信品牌全球知名度不断提升。投资建议我们调整盈利预测，预计公司25-27年营业收入为631/691/747亿元（25-27年前值为643/703/761亿元），实现归母净利润25.3/28.1/31.0亿元（25-27年前值为25.6/28.6/31.6亿元），相应EPS分别为1.94/2.15/2.37元（25-27年前值为1.96/2.19/2.42元），2025年10月31日收盘价24.78元对应PE分别为13/12/10倍，维持“增持”评级。风险提示
国际贸易不确定性风险、市场需求调整风险、技术变革竞争加剧风险等",,华西证券,增持,[None],2025-10-31,,增持,7117564,pdf_downloads/2025/2025-10-31/600060-海信视像（600060）：Q3归母净利同比+20%，盈利能力持续优化.pdf,600060,海信视像,海信视像（600060）：Q3归母净利同比+20%，盈利能力持续优化,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.3,
            ""eps"": 1.94,
            ""pe"": 13
        },
        {
            ""year"": 2026,
            ""net_profit"": 28.1,
            ""eps"": 2.15,
            ""pe"": 12
        },
        {
            ""year"": 2027,
            ""net_profit"": 31.0,
            ""eps"": 2.37,
            ""pe"": 10
        }
    ]
}"
"徐程颖,盘姝玥",Q3业绩持续增长，费率实现优化事件：公司发布2025年三季度报。公司2025Q1-Q3实现营业总收入428.3亿元，同比增长5.36%；实现归母净利润16.29亿元，同比增长24.27%。其中，2025Q3单季营业总收入为156亿元，同比增长2.7%；归母净利润为5.73亿元，同比增长20.15%。内销需求端承压，高端化趋势持续。需求端看，2025Q3内销市场景气度承压，据洛图科技，2025Q3电视行业国内出货量同比-10.4%，国补短缺下行业承压。高端化&amp;龙头集中趋势持续，2025Q1-Q3国内MiniLED产品销量已超越去年全年，此外国内电视平均尺寸同比提升2.1英寸，此外，海信等Top4玩家市占率达80.1%，集中度进一步提升。盈利能力提升。毛利率：2025Q3公司毛利率实现14.44%，同比-0.03pct。费率端：2025Q3公司销售/管理/研发/财务费率为5.65%/1.54%/3.58%/0.16%，分别同比变动-0.23pct/-0.16pct/-0.32pct/+0.02pct。净利率：2025Q3公司净利率实现4.29%，同比+0.88pct。盈利预测与投资建议。公司未来有望受益于全球份额持续提升和高端化拉动，我们预计公司2025-2027年实现归母净利润25.06/27.52/30.01亿元，同比增长11.5%/9.8%/9.0%，维持“增持”评级。风险提示：原材料价格波动、汇率波动风险、市场需求不及预期。,,国盛证券,增持,[None],2025-10-31,,增持,7088337,pdf_downloads/2025/2025-10-31/600060-海信视像（600060）：Q3 业绩持续增长，费率实现优化.pdf,600060,海信视像,海信视像（600060）：Q3 业绩持续增长，费率实现优化,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 25.06,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2026,
      ""net_profit"": 27.52,
      ""eps"": null,
      ""pe"": null
    },
    {
      ""year"": 2027,
      ""net_profit"": 30.01,
      ""eps"": null,
      ""pe"": null
    }
  ]
}"
"何伟,陆思源,刘立思,杨策",核心观点公司发布2025年三季度报告：2025Q1-3营业收入为428.3亿元，同比+5.4%；主营业务收入为399.9亿元，同比+5.7%；归母净利润16.3亿元，同比+24.3%；归母净利率3.8%，同比+0.6pct。其中，2025Q1/Q2/Q3营业收入分别为133.8/138.6/156亿元，同比+5.3%/+8.6%/+2.7%；归母净利润分别为5.5/5/5.7亿元，同比+18.6%/+36.8%/+20.2%；归母净利率分别为4.1%/3.6%/3.7%，同比+0.5/+0.7/+0.5pct。公司2025Q3营业收入增长较慢，主要受国补退坡影响；公司利润率提升，主要是抓住MiniLED带来的销售结构改善。高端化战略稳步推进：1）公司依托技术升级持续迭代中高端产品，如RGB-Mini LED产品等，带动产品结构升级，2025Q1~3毛利率达到15.7%，同比+0.8 pct，25Q3因季节性因素为14.4%，同比+0.5 pct。2）Mini LED出货渗透率提升，内销此前在国补推动下加速渗透；海外市场，Mini LED渗透率低于内销，但已经呈现快速增长势头。3）公司加大品牌推广，积极投入顶级体育赛事IP以拉高品牌定位，已成为2026年世界杯全球官方赞助商。2025Q1~3，销售费用率同比+0.7 pct。4）受益于产品结构升级，公司国内外彩电零售单价都呈上涨趋势，我们预计Mini LED未来两年渗透率将继续大幅提升，ASP上涨趋势将延续。海外市场增长较好，品牌定位持续提升：1）2016年以来，海信、TCL为代表的中国彩电品牌持续抢占韩系品牌份额。奥维睿沃统计，2025年上半年，海信系电视全球出货量市占率为14.38%，同比+0.57 pct。中国品牌的MiniLED产品全球领先，伴随海外渗透率提升，未来将持续拓展份额。2）海信在海外市场保持较好增长势头。3）我们对公司2026年海外业务预期乐观，通过RGB-Mini LED等高端产品替代OLED产品，叠加2026年世界杯赞助，整体有望保持增长势头，并积极提升品牌定位。此外，公司力推的激光电视海外销售明显提速。国补退坡，内销9月起面临的压力：1）AVC数据，2024年9月彩电内销受益国补刺激带来高基数，2024年9/10/11/12月线下零售额分别同比+40.6%/+82.1%/+58.1%/+65.8%，线上零售额分别同比+38.3%/+54.9%/+19.8%/+30.1%。2）25Q3，彩电线上/线下零售额分别同比-9.1%/-3.6%，近四周（9.29-10.26）分别同比-26.4%/-36.5%。其中，海信线上/线下零售额25Q3分别同比-5.7%/+2.1%，9月分别同比-26.8%/-22.5%，导致市场担忧。3）展望后续，预计公司内销25Q4将承受高基数及国补退坡带来的压力。国内市场主要通过均价提升弥补部分需求透支，但我们预计海外的增长将对冲国内市场压力。投资建议：我们小幅上调盈利预测，预计公司2025-2027年营业收入分别为616/692/759亿元，分别同比+5.3%/+12.3%/+9.7%，归母净利润26.8/30.0/34.1亿元，分别同比+19.2%/+11.9%/+13.9%，EPS分别为2.05/2.30/2.62元每股，当前股价对应12.0/10.7/9.4 P/E，维持“推荐”评级。风险提示：市场需求不足的风险；美国关税的风险。,,银河证券,推荐,[None],2025-10-30,,买入,7050273,pdf_downloads/2025/2025-10-30/600060-海信视像（600060）：MiniLED更新潮，海外市场品牌升级.pdf,600060,海信视像,海信视像（600060）：MiniLED更新潮，海外市场品牌升级,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 26.8,
            ""eps"": 2.05,
            ""pe"": 12.0
        },
        {
            ""year"": 2026,
            ""net_profit"": 30.0,
            ""eps"": 2.30,
            ""pe"": 10.7
        },
        {
            ""year"": 2027,
            ""net_profit"": 34.1,
            ""eps"": 2.62,
            ""pe"": 9.4
        }
    ]
}"
"樊俊豪,王森泉,周衍峰",2025年10月29日│中国内地 视听器材 公司披露2025年三季报，9M25公司实现营业总收入428.3亿元，同比+5.36%，归母净利16.29亿元，同比+24.27%，其中，25Q3营收同比+2.7%，归母净利同比+20.15%，盈利能力继续改善。25Q4国内电视需求高基数或有所承压，海外市场产能调配优化，有望继续增长。中长期来看，公司全球产业布局完善，凭借大屏化与高端化战略，有望维持全球电视竞争优势。同时公司拓展显示应用边界，覆盖激光、车载显示、商显等场景，以及AI/AR智能新兴终端，有望提升收入天花板。维持“增持”评级。电视：国内市场基数压力逐步显现25Q3电视内销高基数压力逐步显现，公司继续保持国内中高端市场的相对优势。奥维云网数据，25Q3电视行业线上+线下KA零售额同比-7.2%，海信+Vidda品牌零售额份额同比+0.76pct，显示出海信品牌产品竞争力。展望Q4，根据奥维云网数据，25W40-W43(9.29-10.26)电视线上+线下KA零售额同比-35.4%，国内高基数压力逐步显现，但海信/Vidda零售价分别同比+17%/-5.7%，主品牌价格提升趋势得以延续，盈利能力或仍较强。电视：海外市场表现或明显优于行业海关出口数据海外市场，公司通过墨西哥、越南产能调配及大屏化对冲，表现或明显好于海关出口数据。海关总署数据显示，虽然25Q3国内电视行业出口额（人民币）同比-5.2%（按照出口规模排序，亚洲、拉美、欧洲、非洲、北美、大洋洲分别同比+18.2%、+3.8%、-4.2%、+10.2%、-60.1%、-9.3%，北美受到关税影响，直接出口规模缩减），但考虑到公司海外产能充足，通过墨西哥、越南产能能够充足供应海外市场，海外收入表现或明显优于海关数据。展望Q4，公司或继续发力大屏化与高端化，以保持核心竞争力。新显示业务：收入表现积极公司积极拓展激光显示、商用、云服务、芯片等多元企业。其中激光显示表现积极，久谦数据显示，25Q3公司Vidda品牌在高端4K三色激光投影市场表现突出，Vidda品牌投影产品线上收入同比+17.4%。展望Q4，公司有望依托显示技术积累优势，不断拓展应用边界，投影领域已经有明显贡献，未来其他场景表现值得期待。结构升级成本优化推升毛利率，市场推广投放较大，净利率仍有提升公司9M25毛利率为15.66%，同比+0.84pct，其中25Q3毛利率同比+0.51pct，我们认为毛利率的持续改善，主要受益于高毛利率的Mini LED产品占比提升，以及面板价格同比微降。9M25，公司整体期间费用率同比+0.58pct，其中，销售/管理及研发费用率分别同比+0.68pct/基本持平（市场推广费用增长幅度较大），财务费用率同比-0.09pct（受汇兑波动影响）。而25Q3期间费用率同比-0.14pct。受此影响，9M25整体归母净利润率同比改善0.58pct，盈利能力稳健提升。继续看好高端化与大屏化战略成效我们维持25-27年归母净利为25.9/28.9/32.3亿元的预期，对应EPS为1.99/2.22/2.48元。截至2025/10/29，Wind一致预期可比公司25年平均PE为13x，公司凭借中高端定位及新业务拓展，产品升级推动盈利能力稳步改善，有望享受估值溢价，给予公司25年15xPE，维持目标价29.85元。风险提示：面板价格大幅上升；以旧换新不及预期；海外电视需求大幅下滑。,,华泰证券,增持,[None],2025-10-30,,增持,7040570,pdf_downloads/2025/2025-10-30/600060-海信视像（600060）：电视结构升级驱动盈利强化.pdf,600060,海信视像,海信视像（600060）：电视结构升级驱动盈利强化,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.9,
            ""eps"": 1.99,
            ""pe"": 15
        },
        {
            ""year"": 2026,
            ""net_profit"": 28.9,
            ""eps"": 2.22,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 32.3,
            ""eps"": 2.48,
            ""pe"": null
        }
    ]
}"
"王刚,赵中平,蔡润泽",业绩简评2025年10月29日，公司披露2025年三季报，25Q3实现营收156.0亿，同比+2.7%，归母净利润5.7亿，同比+20.3%，扣非归母净利润3.9亿，同比+14.1%。前三季度实现营收428.3亿，同比+5.4%，归母净利润16.3亿，同比+24.3%，扣非归母净利润12.1亿，同比+22.2%。经营分析预计内销表现优于大盘，外销环比有所恢复。内销方面，据奥维云网数据，2025年Q3国内电视销额同比-8.1%，海信作为黑电龙头表现好于大盘，7、8、9月海信线上销额同比分别+23%、18%、-27%。海外方面，关税扰动有所消退、渠道补库拉动下，Q3电视出口环比有所恢复，据海关总署数据，Q3电视出口量同比-3.5%，较Q2的-8.6%明显收窄，我们预计公司海外出货同样有所修复。结构提升对冲国补退坡影响，费效有所提升。25Q3公司实现毛利率14.4%，同比持平，预计大屏化+Mini LED等产品带动的结构提升对冲国补退坡带来的负面影响。费用率有所优化，25Q3公司销售/管理/研发/财务费用率分别为5.6%/ 1.5%/ 3.6%/ 0.2%，同比分别-0.2pct/-0.2pct/-0.3pct/+0.0pct。综合影响下，25Q3公司实现归母净利率为3.7%，同比+0.5pct。盈利预测、估值与评级内销方面，Mini LED+大尺寸拉动下海信结构有望持续优化；海外方面，体育赛事有望加速渠道突破及份额提升。预计公司2025/2026/2027年实现营收597.9/641.3/678.0亿元，同比分别+2.2%/7.3%/5.7%，实现归母净利润25.1/28.5/31.9亿元，同比分别+11.5%/+13.6%/12.1%，当前股价对应PE估值为12.9/10.6/9.9倍，维持“买入”评级。风险提示面板价格波动；海外需求不及预期。,,国金证券,买入,[None],2025-10-30,,买入,7018080,pdf_downloads/2025/2025-10-30/600060-海信视像（600060）：主营表现符合预期，费效提升带动盈利增强.pdf,600060,海信视像,海信视像（600060）：主营表现符合预期，费效提升带动盈利增强,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.1,
            ""eps"": null,
            ""pe"": 12.9
        },
        {
            ""year"": 2026,
            ""net_profit"": 28.5,
            ""eps"": null,
            ""pe"": 10.6
        },
        {
            ""year"": 2027,
            ""net_profit"": 31.9,
            ""eps"": null,
            ""pe"": 9.9
        }
    ]
}"
"张云添,马莉,芦家宁",公司发布2025半年报。公司2025H1实现营业总收入272.31亿元，同比+6.95%，归母净利润10.56亿元，同比+26.63%。对应2025Q2营业总收入138.55亿元，同比+8.59%，归母净利润5.02亿元，同比+36.82%。点评公司在全球电视出货量份额继续提升，同时第二曲线蓄力成长根据奥维睿沃统计，2025 年上半年，海信系电视全球出货量市占率为14.38%，同比提升0.57pct。其中，海信系电视在中国内地零售额市占率为29.96%，零售量市占率为 25.73%，均位居中国内地市场第一名。第二曲线方面，公司新显示新业务实现的主营业务收入34.34 亿元，同比增长 7.43%。Q2毛利率改善较为明显，费用率略有增长，归母净利率同比继续提升可比口径下，公司25Q2毛利率16.8%，同比+1.4pct，我们认为主要受益于公司Mini-led产品结构性提升带来的均价提升，25H1公司在中国、北美、欧洲价格指数分别同比+15、+7.4、+8。费用率方面，公司销售/管理/研发/财务费用率分别为7.0%/1.9%/4.7%/0.0%，同比+0.9/+0.1/+0.1/-0.1pct。综合导致公司归母净利率3.6%，同比+0.7pct。持续看好中国黑电龙头全球份额突破，Mini-led渗透率提升驱动盈利改善 从国内来看，根据奥维云网周度数据，Q3以来（25W27-W37）我国Mini LED 线上销量渗透率26.6%，同比+11.8pct，Mini-LED渗透率延续提升态势。而从海外来看，Mini LED 产品出货分别仅占公司北美、欧洲、日本出货的5.9%、9.5%、7.9%，未来还有长足的渗透率提升空间。持续看好中国黑电龙头全球份额持续突破，MiniLED渗透率提升改善盈利。盈利预测与估值预计公司2025-2027年营业收入分别为614.18/658.86/722.32亿元，分别同比+4.93%/+7.28%/+9.63%；对应归母净利润分别为25.64/28.44/31.51亿元，分别同比+14.17%/+10.92%/+10.77%。维持“买入”评级。风险提示国际政治经济不确定性风险，面板价格波动风险，MiniLED渗透率提升不及预期,,浙商证券,买入,[None],2025-09-23,,买入,6460957,pdf_downloads/2025/2025-09-23/600060-海信视像（600060）：更新报告：全球份额持续提升，MiniLED改善盈利.pdf,600060,海信视像,海信视像（600060）：更新报告：全球份额持续提升，MiniLED改善盈利,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 25.64,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 28.44,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 31.51,
            ""eps"": null,
            ""pe"": null
        }
    ]
}"
