author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"胡剑,胡慧,叶子,詹浏洋,李书颖,连欣然",单季度营收创历史新高，利润率受费用拖累较多。公司发布2025前三季度业绩，实现营收40.39亿元(YoY+21.20%)，归母净利润3.73亿元(YoY-18.71%)。对应3Q25实现营收15.15亿元(YoY+27.48%，QoQ+14%)，创单季度历史新高；实现归母净利润1.30亿元(YoY-13.84%)。公司Q3毛利率环比有所提升，但净利率受费用端影响短期承压。利润下滑主要系：1）为应对下游需求，公司增加人员及自动化设备投入，导致管理费用增加，前三季度管理费用同比增长41.80%；2）存货规模增长计提的存货跌价准备增加；3）利息收入减少导致财务费用增加。“智驾平权”趋势明确，竞争格局稳定。根据佐思汽车研究院数据，2025年比亚迪、吉利、长安、奇瑞等车企加速在中低端车型普及智驾功能，推动25年前8个月国内L2及以上智驾渗透率提升至63%。公司作为高频高速连接器龙头，深度受益于行业扩容，1H25公司汽车连接器实现营收8.11亿元，同比增长35.84%，Q3增长进一步提速。公司已进入大部分国内客户供应链，并成功开拓海外市场，中长期成长逻辑清晰，竞争格局稳定。消费电子业务稳健，积极卡位机器人新机遇。消费电子业务作为公司基本盘，在下半年安卓新机发布旺季拉动下保持稳健。公司作为华为Mate系列手机射频连接器主要供应商，受益于新机ASP提升。同时，公司软板业务引入新的优质客户，在可穿戴、车载等领域实现较好应用，整体盈利能力改善明显。此外，公司积极卡位人形机器人等新赛道，其车载高频高速连接器技术与产品可复用于机器人传感器信号传输，有望在机器人量产元年占据先发优势。投资建议：下调盈利预测，维持“优于大市”评级。由于需求爆发，公司快速扩产导致费用提升超过此前预期，我们下调盈利预测，预计公司25-27年归母净利润为6.1/8.0/9.3亿元（前值为8.2/10.1/12.0），同比-2.4%/+31.8%/+16.2%，当前股价对应PE37/28/24x，维持“优于大市”评级。风险提示：下游需求不及预期；公司份额提升不及预期。,,国信证券,优于大市,[None],2025-11-04,,买入,7409441,pdf_downloads/2025/2025-11-04/300679-电连技术（300679）：汽车三季度拉货加速，积极卡位机器人等新赛道.pdf,300679,电连技术,电连技术（300679）：汽车三季度拉货加速，积极卡位机器人等新赛道
"岳阳,高远",实现营业收入40.39亿元（YoY+21.2%），实现归母净利润3.73亿元（YoY-18.71%），实现扣非归母净利润3.69亿元（YoY-17.19%）。单季度来看，公司2025Q3实现营业收入15.15亿元（YoY+27.48%，QoQ+14.13%），实现归母净利润1.30亿元（YoY-13.84%，QoQ+8.99%），实现扣非后归母净利润1.3亿元（YoY-12.44%，QoQ+9.11%）。期利润。公司汽车连接器产品品类丰富且量产经验成熟，已成功进入吉利、长城、比亚迪、长安、奇瑞、理想等国内主要汽车厂商供应链。伴随汽车市场快速发展，尤其是新能源汽车硬件及软件迭代进度加快，辅助驾驶行业渗透率有望迎来持续增长，公司作为车载高频高速连接器领先者有望深度受益行业上升趋势。作为当前公司核心增长点之一，公司汽车连接器业务伴随收入增长规模效应逐步体现，预计可带动公司收入及毛利率逐步改善。但是边际来看，下游需求旺盛带来公司扩产需求，公司当前正处于产能扩张阶段，使得公司25Q3实现四费共计2.95亿元，环比25Q2增长0.43亿元，挤压短期业绩，后续伴随公司产能爬坡利润端有望迎来修复。发展，带动服务器和人形机器人行业进入上升阶段。服务器方面，AI服务器对传输速率提出了更高要求，催生了高速连接器广阔的市场空间，给行业发展带来较大的市场机遇。根据公司在深交所互动易的回复，公司在服务器领域亦有相关储备，另外公司亦储备高速线缆相关产品，应用场景覆盖服务器主板到背板的高速连接、主板到加速卡的高速连接以及数据中心设备互联领域，后续伴随着行业的持续发展预计公司服务器业务有望贡献增量。人形机器人方面，公司高频高速连接器可应用于传感器配置较高的人形机器人，公司与相关头部机器人公司已有相关产品的研发合作，并已有相关产品应用到头部人形机器人公司，后续伴随行业发展亦有望贡献增量。布局BTB连接器，汽车连接器有望打开增长空间。我们预计公司25-27年实现归母净利润6.25/8.64/10.51亿元（前值为8.07/10.31/12.24亿元，下修系公司搬迁扩产导致费用提升），选取瑞可达、意华股份为可比公司，给予公司26年30xPE，目标价60.9元，维持“强推”评级。,,华创证券,强推,[None],2025-10-28,,买入,6901162,pdf_downloads/2025/2025-10-28/300679-电连技术（300679）：2025年三季报点评：单季度收入创历史新高公司经营稳健增长，拓展服务器+人形机器人领域进一步打开成长空间.pdf,300679,电连技术,电连技术（300679）：2025年三季报点评：单季度收入创历史新高公司经营稳健增长，拓展服务器+人形机器人领域进一步打开成长空间
黄程保,事件：2025年10月21日，公司发布2025年三季报，2025年前三季度公司实现营收40.39亿元，同比增长21.20%；实现归母净利润3.73亿元，同比减少18.71%。Q3营收和净利环比均实现增长。分季度看，Q3公司实现营收15.15亿元，同比增长27.48%，环比增长14.13%；实现归母净利润1.30亿元，同比减少13.84%，环比增长8.99%。营收增长主要得益于消费电子以及汽车电子销售的旺季拉动，公司作为射频连接器龙头，受消费电子和汽车共同驱动，整体营收提升。今年受下游需求驱动，公司开展产能扩张，相应运营成本增加，加之产品价格调整、结构变化、特定成本及总部搬迁费用增长等因素，整体盈利水平受到一定影响。毛利率环比回升，费用率保持稳定。2025年前三季度公司毛利率为29.58%，同比-4.18pct，归母净利率为9.23%，同比-4.53pct。其中Q3毛利率为29.85%，同比-3.75pct，环比+1.62pct；归母净利率为8.59%，同比-4.12pct，环比-0.40pct。费用率方面，2025年前三季度公司销售/管理/研发/财务费用率分别为2.74%/8.22%/8.09%/0.10%；同比变化分别为+0.13/+1.19/-1.48/+0.34pct，期间费用率为19.15%，同比+0.18pct。汽车连接器产品在多家客户放量，后续市场份额有望进一步提升。公司汽车连接器产品品类齐全，已具备丰富的量产经验，不断加深与国内外核心客户的合作，今年该业务营收实现了稳定增长。公司持续强化智能化相关产品的战略布局，加强与智能驾驶方案商以及激光雷达厂商的合作。未来几年，汽车高频高速连接器市场将进一步扩大，公司产品迭代能力强，不断增加客户黏性，后续有望不断提升市场份额。布局AI和机器人领域，拓展多元化赛道。随着AI技术不断进步，相关高频、高速连接器行业在人形机器人领域有较好的发展态势，目前，公司与相关头部机器人公司已经展开研发合作，相关产品可应用于传感器配置较高的人形机器人领域，并已应用到头部人形机器人公司。此外，与算力相关的AI服务器数量未来也将迎来爆发式增长，公司也将拓展国内外数据中心服务器内部及板端高速连接领域的应用。投资建议：汽车高频高速类连接器随汽车智能化发展应用场景不断丰富，单车用量和价值量持续提升，公司产品品类齐全，已导入吉利、比亚迪、理想等国内主流汽车厂商，有望景气持续；同时消费电子复苏态势下，公司消费电子连接器业务或稳中向好。我们预计2025-2027年公司营业总收入分别为58.56/72.80/88.70亿元，同比+25.6%/+24.3%/+21.8%；归母净利润分别为6.01/8.89/11.10亿元，同比-3.4%/+48.0%/+24.8%；对应EPS分别为1.41/2.09/2.61元/股。维持“买入”评级。风险提示：汽车电动化及智能化发展趋势不及预期的风险、新业务开拓不及预期的风险、市场竞争加剧的风险、技术人才流失风险等。,,华金证券,买入,[None],2025-10-27,,买入,6853425,pdf_downloads/2025/2025-10-27/300679-电连技术（300679）：Q3营收保持高增长，提前卡位机器人和AI领域.pdf,300679,电连技术,电连技术（300679）：Q3营收保持高增长，提前卡位机器人和AI领域
"张益敏,朱陈星",事件：公司发布2025年三季报，前三季度公司实现营收40.39亿元，同比+21.20%；实现归母净利润3.73亿元，同比-18.71%。单季度营收创历史新高，新扩产能折旧影响短期利润：单三季度公司实现营收15.15亿元，同比+27.48%，环比+14.13%；实现归母净利润1.30亿元，同比-13.84%，环比+8.99%。公司上半年新产业园搬迁，新厂房折旧与原有租赁的费用阶段性叠加，导致费用端支出较高，影响短期利润智驾下沉带动渗透率快速提升：2025年始，智驾下沉趋势明确，比亚迪、吉利、长安、奇瑞等核心车企在中低端车型加速智驾普及率，行业智驾渗透率迎来加速提升。公司在国内核心大客户的供应份额稳步提升，同时继续深化与国外头部汽车TIER1客户合作关系，有望在高频高速连接器行业保持领先优势，持续受益行业扩容。公司机器人连接器专利获授权，产品在头部客户应用：公司于2025年10月21日获得“一种机器人关节电连接器”专利授权，正在加速布局机器人产业，目前公司连接器已应用至头部人形机器人厂商产品中。人形机器人结构中涉及到的雷达，摄像头等传感器信号传输需大量部署高频高速连接器，且底层技术工艺与车载连接器类似，公司与国内外主流车企、主控芯片厂商合作深入，预计将在机器人产业趋势中拥有较好卡位优势。投资建议：预计公司2025-2027年实现营收58.95/77.32/94.58亿元，归母净利润6.35/8.82/11.19亿元。对应PE分别为33.8/24.3/19.2倍，维持“增持”评级。风险提示：新品研发不及预期风险；市场竞争加剧风险；研发人员流失风险。,,财通证券,增持,[None],2025-10-23,,增持,6708107,pdf_downloads/2025/2025-10-23/300679-电连技术（300679）：单季度营收创新高，机器人连接器导入头部客户.pdf,300679,电连技术,电连技术（300679）：单季度营收创新高，机器人连接器导入头部客户
"张益敏,朱陈星",车载业务驱动公司业绩快速增长：1H2025公司实现营业收入25.24亿元，同比上升17.71%，公司车载连接器业务持续放量，驱动营收快速增长，1H2025公司汽车业务保持35.84%高增速。1H2025公司归母净利润为2.43亿元，同比下滑21.10%，利润端短期承压。一定程度上受到合肥产线及5G产业园转固后折旧增加影响。智驾下沉带动渗透率快速提升：2025年始，智驾下沉趋势明确，比亚迪、吉利、长安、奇瑞等核心车企在中低端车型加速智驾普及率，行业智驾渗透率迎来加速提升，1H2025年渗透率已上升至63.08%。公司在国内核心大客户的供应份额稳步提升，同时继续深化与国外头部汽车TIER1客户合作关系，有望在高频高速连接器行业保持领先优势，持续受益行业扩容。机器人行业厂商加速进入量产，公司预期将有较好卡位优势：2025年成为大部分厂商产能扩张并量产的元年，人形机器人结构中涉及到的雷达，摄像头等传感器器件在信号传输端需大量部署高频高速连接器，且底层技术工艺与车载连接器类似，公司在车载高频高速连接器协议和产品端布局深远，与国内外主流车企、主控芯片厂商合作深入，预计将在机器人产业趋势中拥有较好卡位优势。投资建议：我们预计公司2025-2027年实现营收58.8/77.3/94.6亿元，归母净利润7.9/10.5/12.6亿元。对应PE分别为30.7/23.1/19.2倍，维持“增持”评级。风险提示：下游消费电子行业不及预期风险、自动驾驶进展不及预期风险、行业竞争格局恶化风险、限售股解禁风险、汇率波动风险、股东减持风险。,,财通证券,增持,[None],2025-10-01,,增持,6501386,pdf_downloads/2025/2025-10-01/300679-电连技术（300679）：智驾下沉市场持续扩容，机器人领域深度卡位.pdf,300679,电连技术,电连技术（300679）：智驾下沉市场持续扩容，机器人领域深度卡位
方竞,事件：8月21日，电连技术发布2025年半年度报告，公司25H1实现收入25.24亿元，同比增长17.71%；实现归母净利润2.43亿元，同比减少21.10%；实现扣非归母净利润2.39亿元，同比减少19.07%。其中，公司2Q25实现收入13.28亿元，同比增长20.26%，环比增长11.04%；实现归母净利润1.19亿元，同比减少18.11%，环比减少3.25%。聚焦核心业务，营业收入稳步向好。2025年上半年，公司凭借在微型电连接器、互连系统及POGOPIN等领域的长期战略布局优势，受益于汽车电子市场的发展以及消费电子行业的弱复苏态势，同时成功进入全球主流智能手机品牌供应链，25H1营收实现增长。但受运营成本增加、产品结构变化等因素影响，整体毛利率下降至29.42%，同比减少4.43pcts。展望后续，公司将继续深耕汽车电子和消费电子等各应用领域，作为国内领先的微型射频连接器及互连系统相关产品供应商，将致力于将科技创新成果转化为现实生产力，加速推动连接器技术在各行各业的普及与创新应用。强化经营模式，巩固核心业务壁垒。在经营模式上，公司建立了完善的生产、销售和采购组织流程，形成了产供销一体化的高效运营模式。此外，公司凭借精密制造优势和品牌优势，持续巩固市场地位。公司具备完整的制造链条，能够自主研发、设计和生产，且产品具有高精密度和一致性等优点。截至25H1，公司已拥有592项国内外专利，在核心技术领域构筑了深厚的知识产权壁垒。同时，公司凭借在射频领域设计、制造等方面积累的经验，目前车载高频高速连接器产品已导入国内头部整车厂，并开始大批量量产交付。深耕应用市场，构筑多维度核心竞争优势。凭借在连接器领域的持续深耕，公司逐步从单一产品供应商转型为具备多平台、多场景解决方案的综合型领导者：1）市场布局与产品优势：公司产品通用性强，广泛应用于智能移动终端、汽车电子等产品中，并已进入全球主流手机及头部汽车客户供应链。2）技术创新与发展机遇：公司持续加大在模具加工、设计及自动化设备方面的投入，受益于工艺流程的持续优化，汽车连接器业务盈利保持相对稳定。3）客户协同与人才驱动：公司凭借业内一流的产品口碑和客户满意度，成功进入核心客户的供应链，并拥有完善的研发体系及专业的自动化设备团队。投资建议：我们预计2025-2027年归母净利润为7.91/10.58/12.79亿元，对应PE为27/20/17倍，考虑到公司的新能源车智能化连接、物联网模组等新兴产品持续放量，后续业绩增长具备持续性，维持“推荐”评级。风险提示：市场推广不及预期；技术人员变动的风险；竞争格局变化的风险。,,民生证券,推荐,[None],2025-08-25,,增持,6345424,pdf_downloads/2025/2025-08-25/300679-电连技术（300679）：2025年半年报点评：25H1核心业务稳步增长，多维度布局巩固未来.pdf,300679,电连技术,电连技术（300679）：2025年半年报点评：25H1核心业务稳步增长，多维度布局巩固未来
高登,事件公司发布2025年中报，实现营收25.2亿元，同比+17.7%，实现归母净利润2.4亿元，同比-21.1%。其中Q2实现营收13.3亿元，同比+20.3%，环比+11.0%，实现归母净利润1.2亿元，同比-18.1%，环比-3.2%。汽车：产业趋势加速，公司高速连接器保持高增长2025H1公司汽车连接器收入8.1亿元，同比+35.8%，我们将搭载可实现城区NOA硬件的车型定义为L2+，根据高工智能汽车数据，2025H1国内L2+车型累计销量238.3万辆，渗透率达到22.5%，同比+11.2pct，带动汽车高速连接器需求释放，公司有望持续受益。2025H1公司汽车连接器毛利率为37.5%，同比-3.3pct，我们认为主要系客户结构调整及年降影响。2025年H2随着行业进入旺季叠加更多智驾新车型上市，公司汽车收入规模有望进一步向上，有望带动汽车业务毛利率相比2025H1回升。消费电子：规模下降影响稼动率，2025H1毛利率承压当前公司收入大头仍在消费电子，2025H1公司射频连接器及线缆组件/电磁兼容件收入分别为4.7/4.5亿元，同比分别-5.8%/-0.3%，主要系行业需求下降，2025H1国内智能手机出货量为1.4亿部，同比微降，其中Q2出货量为6896万部，同比-4%，环比-4%。毛利率分别为40.2%/29.1%，同比-4.9/-4.3pct，我们认为下滑主要受产品结构影响。2025H1公司软板收入4.1亿元，同比+58.1%，毛利率为12.4%，同比-5.1pct，低毛利的软板业务规模增加也对公司总体盈利形成拖累。2025H1投入增加拖累业绩，Q3有望成为业绩拐点2025H1公司毛利率为29.4%，同比-4.4pct，其中Q2毛利率为28.2%，同比-4.3pct，环比-2.5pct。2025H1公司期间费用率为19.0%，同比-0.2pct，其中管理费用率为8.4%，同比+1.4pct，管理费用增加明显主要系公司业务扩张母子公司新厂房折旧以及租赁费用上升、管理人工及运营成本上升。公司看准汽车高级智驾趋势积极投入，短期或对业绩有所影响，预计随着下游需求进入旺季、新产能逐步投产，我们认为Q3有望成为公司业绩拐点。投资建议结合公司2025H1实际经营情况，我们预计公司2025-2027年营业收入分别为56/72/83亿元，同比分别+21%/28%/15%；归母净利润分别为7.1/10.4/12.2亿元，同比分别+14%/47%/18%，EPS分别为1.67/2.45/2.88元/股，CAGR-3为25%。鉴于公司汽车业务有望持续受益智能化加速、保持快速成长，维持“买入”评级。风险提示：汽车销量不及预期；消费电子复苏不及预期；汽车连接器客户开拓不及预期；高级别智能驾驶车型渗透不及预期。,,国联民生证券,买入,[None],2025-08-24,,买入,6344690,pdf_downloads/2025/2025-08-24/300679-电连技术（300679）：汽车连接器保持高增长，2025H1投入增加拖累业绩.pdf,300679,电连技术,电连技术（300679）：汽车连接器保持高增长，2025H1投入增加拖累业绩
黄程保,公司致力于电连接器及互连系统解决方案。公司致力于提供各种稳定高效的电子、电路连接产品及互连解决方案，尤其是射频信号传输与屏蔽产品，广泛应用在以智能手机为代表的智能移动终端产品，燃油车、新能源车智能化连接，车联网终端、物联网模组及智能家电等新兴产品中。2024年公司实现营业收入46.61亿元，同比增长48.97%；实现归母净利润6.22亿元，同比增长74.73%。最新报告期，2025Q1公司实现营收11.96亿元，同比增长15.02%；实现归母净利润1.23亿元，同比下滑23.80%。汽车电动化、智能化发展趋势加速进阶，助推公司汽车连接器业务实现较快增长。我国作为全球最大的汽车生产国，汽车连接器市场需求量大，随着我国汽车产能增加及零部件国产替代进程加速，将直接带动我国汽车连接器的市场规模快速增长；与此同时，汽车电子化水平提升及智能化进程加速，使得连接器已成为不可或缺的汽车零部件，汽车连接器市场需求实现快速增长，尤其射频、高速以及高压连接器的市场需求呈现较大增长态势。公司汽车电子连接器产品主要为射频类连接器以及高速类连接器，主要类型为射频类Fakra板端＆线端，HDCamera连接器，高速类以太网连接器、HSD板端＆线端、车载USB等。凭借在射频领域设计、制造等方面积累的经验，公司车载高频高速连接器产品已导入国内头部整车厂，并已开始大批量量产交付，业务成熟度较高。未来，公司将在与核心客户紧密协作进行研发的基础上，持续强化汽车智能化相关以太网产品的战略布局，加强智能驾驶方案商以及激光雷达厂商的合作，增强相关高频、高速类产品的自动化生产能力，扩大产能规模，并提升在L3级别智能驾驶场景下公司产品的技术积累，以不断提升海内外客户中的市场份额。在消费电子领域呈现企稳复苏态势的大背景下，消费电子连接器类产品作为公司的优势项目、具备较大增长空间。随着消费电子行业海内外需求复苏，公司手机类及非手机类消费电子业务营业收入同比实现增长。1）手机端来看，公司已进入全球主流智能手机品牌供应链，成为小米、欧珀、步步高、三星、荣耀、中兴、华为等全球知名智能手机企业的核心供应商；现阶段射频连接器及互连系统产品在手机终端市场份额较为稳定，是公司的优势产品，在手机行业内有一定知名度，客户逐渐向手机终端头部企业集中；2024年，智能手机行业市场销量呈现企稳复苏态势，终端客户出货量同比提升，公司此类产品订单同比也实现较好的增长，整体市场地位份额及毛利水平相对较为稳定。2）非手机端来看，公司电磁兼容件产品主要围绕市场价格较为有利的客户及产品，全年毛利水平较上年同期保持稳定，且在消费电子非手机端拓展取得预期的重大进展，实现了大规模量产并向核心大客户交付；同时，公司积极扩展BTB系列产品品类，得益于国产替代进程推进以及自身手机行业现有渠道资源优势、近年BTB业务收入规模逐年扩大，并持续强化普通BTB产品在头部客户上的布局与导入，为公司后续营收增长打下良好基础。据公司年报披露，鉴于毫米波手机及AI手机领域对5G毫米波在2025年乃至未来市场的巨大需求，公司预计将在LCP连接线、射频BTB相关产品及其核心模块产品上实现营收增长。为此，公司计划在2025年扩大相关产品产能，并成立BTB事业部，以增强BTB产品在市场竞争中的适应性，进一步提升公司的核心竞争力。公司积极拓展产品在人工智能领域的应用，为持续性发展奠定良好基础。随着AI技术的不断进步，相关高频、高速连接器行业在人形机器人领域的应用预计将呈现出较好的发展态势，市场空间持续放大，公司计划积极寻求与上游芯片研发厂商以及整机设计制造厂商的合作，提供高频、高速类连接器产品及相关组件，以把握行业发展的有利契机。此外，AI数据中心与算力相关的AI服务器数量未来也将迎来爆发式增长高速线束类产品将具有非常广阔的应用前景，同样是未来AI时代射频类连接器公司布局的重点；公司将加强与客户厂商在研发端的协同，拓展国内外数据中心的服务器内部及板端高速连接领域应用，构建未来优质的产品发展梯队。投资建议：在汽车产业向电动化、智能化深度转型的浪潮中，汽车电子化水平正迎来跨越式提升，公司汽车连接器产品、尤其射频高速以及高压连接器产品有望景气持续；同时消费电子复苏态势下，公司消费电子连接器产品业务或稳中向好；此外，公司还积极开拓连接器产品在人工智能领域的应用，为持续性发展奠定良好基础。我们预计2025-2027年营业总收入分别为59.09亿元、73.98亿元、90.43亿元，同比增速分别为26.8%、25.2%、22.2%；对应归母净利润分别为7.98亿元、10.12亿元、12.70亿元，同比增速分别为28.2%、26.8%、25.5%；对应EPS分别为1.88元、2.38元、2.99元。首次覆盖，给予“买入”评级。风险提示：汽车电动化及智能化发展趋势不及预期的风险、新业务开拓不及预期的风险、业绩的风险、市场竞争加剧的风险、技术人才流失风险等。,,华金证券,买入,[None],2025-07-24,,买入,6247127,pdf_downloads/2025/2025-07-24/300679-电连技术（300679）：汽车连接器国产替代先锋，智驾平权与消费复苏双轮驱动增长.pdf,300679,电连技术,电连技术（300679）：汽车连接器国产替代先锋，智驾平权与消费复苏双轮驱动增长
陈蓉芳,公司2024年营收净利符合预期，折旧压力影响2025Q1利润释放公司2024年实现了营收和利润的高速增长，全年实现营收46.61亿元，同增48.97%，实现归母净利润6.22亿元，同增74.73%。2024年公司销售毛利率为33.64%，同比提升1.26pct；销售净利率为13.58%，同比提升1.80pct。单2025Q1季度，公司实现营收11.96亿元，同比提升15.02%，实现归母净利润1.23亿元，同比减少23.80%；盈利能力方面，单季度销售毛利率30.73%，销售净利率10.73%，分别同比减少4.58pct、5.21pct。2025Q1归母净利和盈利能力的下滑受到了合肥厂房及5G产业园转固后折旧增加的影响。由于公司汽车连接器业务正处在产能爬坡上量周期，受到扩产与折旧两方面的影响，我们调整原有2025-2026盈利预测并新增2027盈利预测，预计公司2025-2027年归母净利润分别为8.14/11.2/13.38（2025/2026原值为8.20/10.47）亿元，对应当前股价PE分别为26/19/16倍，我们看好智驾平权叙事下公司在高频高速连接器领域的成长性，维持“买入”评级。2024年汽车产能&amp;客户群同步扩大，看好智驾平权为公司带来的增长机遇2024年全年，公司汽车连接器业务实现同比增长77.42%，毛利率为39.35%，同比略有下滑0.66pct。公司在客户群扩张方面取得了良好的成绩，尤其是国内汽车行业头部整车企业和海外头部TIER1 企业；此外，公司主要车载高频、高速连接器及组件整体产能不断扩大，规模效应逐步凸显。智驾下沉的产业机遇将有望给公司2025年的增长持续注入动力。公司积极投入研发，深耕车载领域，开拓服务器等新下游场景2024年及2025Q1，公司研发费率分别为8.53%、8.98%，公司在营收高速增长的同时，保持了对研发的高度重视。2024年，公司投入的研发项目包括 PCI Express CEM 卡缘连接器、服务器用SLIVER&amp;MCIO 高速线缆组件、高速传输的激光雷达线束连接器等，体现了公司在车载连接器等传统领域以及服务器等新领域的持续精进。风险提示：下游需求不及预期、上游原材料价格波动、公司研发进程不及预期。,,开源证券,买入,[None],2025-04-24,,买入,6022220,pdf_downloads/2025/2025-04-24/300679-电连技术（300679）：公司信息更新报告：2024年营收、利润高增符合预期，看好智驾平权大趋势下公.pdf,300679,电连技术,电连技术（300679）：公司信息更新报告：2024年营收、利润高增符合预期，看好智驾平权大趋势下公
"耿琛,岳阳,高远","2025 年 4 月 23 日，电连技术发布 2024 年年报及 2025 年一季度报告：公司
2024 年实现营业收入 46.61 亿元（YoY+48.97%），实现归母净利润 6.22 亿元
（YoY+74.73%）。其中单四季度实现营收 13.28 亿元（YoY+43.72%，
QoQ+11.78%），实现归母净利润 1.64 亿元（YoY+50.54%，QoQ+8.4%）。2025 年一季度，公司实现营业收入 11.96 亿元（YoY+15.02%，QoQ-9.94%），
实现归母净利润 1.23 亿元（YoY-23.80%,QoQ-24.7%）。评论：手机终端主力连接器供应商，行业出货企稳回升带动业绩增长。24 年公司射
频连接器及线缆组件实现营收 10.40 亿元（YoY+30.12%），毛利率 43.16%
（YoY+0.78pct）。公司作为安卓手机终端尤其是中国手机终端客户的主力供应
商，客户覆盖了安卓体系内的头部手机终端企业，市场份额及毛利水平相对稳
定，业绩增长主要受益于智能手机市场销量企稳复苏带动终端出货量提升。国内核心大客户份额稳步提升&amp;深化海外 TIER1 合作，辅助驾驶渗透提升有
望带动车载连接器长期增长。24 年公司汽车连接器业务实现营收 14.61 亿元
（YoY+77.42%），毛利率 39.35%（YoY-0.66pct）。25 年 2 月比亚迪推出“天神
之眼”矩阵开创全民智驾并推动辅助驾驶普及和下沉，有望带动高频、高速连
接器需求以及单车价值量提升。目前公司汽车连接器产品品类齐全，国内众多
头部汽车客户导入顺利并已实现大规模出货，还深化了与国外头部汽车 TIER1
客户的合作。24 年公司汽车连接器出货数量及产值同比高增，另外随着规模
效应&amp;成本控制效果渐显，预计汽车连接器业务盈利水平将保持相对稳定。受下游行业复苏影响，软板业务收入及盈利能力大幅增长。公司软板产品专注
于软硬结合板及 LCP 组件，24 年公司软板业务实现营业收入 5.38 亿元
（YoY+73.06%），毛利率 12.61%（YoY+6.55pct）。公司控股子公司恒赫鼎富受
行业景气度复苏影响，成功开拓国内客户及市场，实现业绩同比增长，并且有
效地提升了稼动率，盈利能力提升明显。一季度毛利率受阶段性去库存短期承压，辅助驾驶车型渗透快速提升有望带
动公司长期增长。公司 2025 年一季度归母净利润同比有所下滑，主要因素系
毛利水平有所下降，25Q1 实现销售毛利率 30.73%（YoY-4.58pct），我们认为
主要受到阶段性去库存影响。从全年维度来看，我们认为随着辅助智驾车型渗
透提升带动高壁垒高频、高速产品出货提升，有所带动公司长期增长。投资建议：电连技术为国内连接器领先厂商，深耕消费电子连接器，并前瞻性
布局 BTB 连接器，汽车连接器有望打开增长空间。我们预计公司 25-27 年实
现归母净利润 8.07/10.31/12.24 亿元（25/26E 前值为 7.95/9.69 亿元，上调系预
计汽车智能化趋势将带动连接器需求增加），选取鸿日达、瑞可达、意华股份
为可比公司，给予公司 25 年 30xPE，目标价 57.14 元，维持“强推”评级。 风险提示：下游需求恢复不及预期、汽车电子业务竞争加剧",,华创证券,强推,[None],2025-04-24,,买入,6022067,pdf_downloads/2025/2025-04-24/300679-电连技术（300679）：2024年报及2025年一季报点评：24Q4业绩创同期新高，25Q1短期承压不改增长趋势.pdf,300679,电连技术,电连技术（300679）：2024年报及2025年一季报点评：24Q4业绩创同期新高，25Q1短期承压不改增长趋势
