author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"宋博,杨天昊",本报告导读：公司深耕国防科技工业领域多年，围绕基础元器件及电子功能材料等方向持续布局，产品广泛服务于航空、航天、兵器等国家重点工程以及相关民用工程。随着国防预算稳步增长以及多下游应用领域需求共振，公司发展韧性与成长空间逐步显现。投资要点：首次覆盖给予“增持”评级，目标价71.40元。我们预计公司2025~2027年归母净利润分别为9.41/11.14/11.78亿元，对应EPS分别为1.70/2.01/2.13元。基于可比公司PE/PB估值方法，结合公司在高新电子元器件领域的行业地位与技术优势，按照2025年42倍PE，给予公司目标价71.40元，给予“增持”评级。深耕高可靠电子元器件，军工配套能力突出。公司长期深耕国防科技工业领域，主营业务涵盖基础元器件、电子功能材料、混合集成电路及应用开发等方向，产品广泛应用于航空、航天、电子、兵器、船舶及核工业等国家重点领域以及智能手机、新能源汽车等民用领域。依托完善的产品谱系、稳定的客户基础及较强的系统级配套能力，公司在高可靠电子元器件领域具备领先的市场地位。国防信息化与多下游需求共振，行业景气具备韧性。在国防预算持续增长、装备体系向信息化与智能化升级的背景下，高可靠电子元器件作为电子产业链的重要基础环节，需求具备长期支撑。同时，消费电子、汽车电子、工业自动化、通信及医疗电子等多下游领域共同发力，尤其是新能源汽车、电动化与ADAS渗透率提升、5G/6G基础设施建设推进，为电子元器件行业带来结构性增长机遇，有效分散单一行业周期波动风险。募投项目夯实产研基础，创新驱动长期发展。公司围绕半导体功率器件、混合集成电路、阻容元件及继电器等核心方向推进募投项目建设，有助于提升高端产品产能与智能制造水平。公司持续加大研发投入，在高可靠无源器件、功率器件、电源模块及关键材料等领域构筑技术壁垒，并通过完善的人才激励与产学研协同机制，推动技术成果转化，为公司长期稳健成长奠定基础。催化剂：国防预算超预期；募投项目顺利投产。风险提示：军品客户集中度较高风险；募投项目建设及产能释放进度不及预期风险。,,国泰海通,增持,[None],2026-02-02,,买入,8386842,pdf_downloads/2026/2026-02-02/000733-振华科技（000733）：首次覆盖报告：高可靠电子元器件筑基，军民电子需求支撑长期成长.pdf,000733,振华科技,振华科技（000733）：首次覆盖报告：高可靠电子元器件筑基，军民电子需求支撑长期成长
"苏立赞,许牧,高正泰",盈利质量稳中有压，利润结构体现主业韧性。截至2025年前三季度，振华科技实现营业总收入39.26亿元，同比增长4.98%；归属于母公司股东的净利润为6.23亿元，同比微降3.31%。尽管利润小幅下滑，但考虑到去年同期基数受非经常性损益扰动较大，当前业绩仍体现出较强的基本面韧性。公司销售毛利率为45.67%，同比下降7.92个百分点，主要受原材料成本波动及产品结构阶段性调整影响；销售净利率为15.87%，亦有所回落，但整体仍处于电子元器件行业较高水平，反映核心业务盈利能力稳健。费用端方面，销售费用1.89亿元、管理费用4.86亿元、研发费用2.24亿元，三项费用均呈优化趋势，显示公司在控本增效方面持续推进，费用结构更趋合理。整体来看，利润虽有小幅波动，但主要源于外部环境扰动，而非主业失速，盈利质量仍具可持续性。资产负债结构稳健，运营效率与资产质量保持良好。截至2025年三季度末，公司资产负债率为18.20%，较上年同期微降0.25个百分点，整体杠杆水平维持在极低区间，财务结构安全稳健。有息负债方面，短期借款5.47亿元，一年内到期的非流动负债3.38亿元，虽短期偿债压力有所上升，但期末货币资金达34.02亿元，覆盖倍数充足，流动性风险可控。存货25.02亿元，同比增长9.41%，结合营收增长节奏，未显明显积压迹象。合同负债0.46亿元，同比增长43.26%，预示后续订单交付具备一定能见度。在建工程2.55亿元，固定资产19.15亿元，显示公司资本开支趋于理性，产能扩张节奏与市场需求匹配度较高，资产质量整体健康。现金流表现扎实，盈利变现能力与自由现金流支撑力较强。2025年前三季度，公司经营活动产生的现金流量净额为6.42亿元，虽同比下滑51.90%，但仍显著高于净利润6.23亿元，利润现金含量达1.03倍，表明盈利质量较高、变现能力良好。销售商品、提供劳务收到的现金为37.39亿元，占营业收入比重达95.25%，回款效率稳定。经营现金流减少主要受应收账款与存货占用小幅上升影响，属正常运营波动。盈利预测与投资评级：公司业绩符合市场预期，我们维持先前的预测，预计公司2025-2027年的归母净利润分别为10.83/12.52/14.47亿元，对应PE分别为27/24/20倍，维持“买入”评级。风险提示：1）宏观经济风险；2）民航业相关需求受其他交通方式发展冲击的风险；3）市场竞争加剧的风险；4）商誉减值风险。,,东吴证券,买入,[None],2025-10-28,,买入,6919130,pdf_downloads/2025/2025-10-28/000733-振华科技（000733）：军品高端元器件升级放量、民品底部磨底蓄力.pdf,000733,振华科技,振华科技（000733）：军品高端元器件升级放量、民品底部磨底蓄力
"罗楠,冯函","核心观点事件:公司发布 2025 年三季报。2025 年前三季度实现营收 39.26 亿(+4.98%)，实现归母净利润 6.23 亿(-3.31%)。单 Q3 实现营收 15.16 亿元(+15.78%)，归母净利润3.11亿元(+38.68%)。单 Q3 营收业绩均实现同环比增长，军工电子需求未来有望进一步提升。25Q1以来防务市场景气回升，军工电子需求明显好转，公司年初至今新签订单实现同比增长。Q3 单季度营收和利润分别实现环比增长 0.99%和 22.77%，主要是由于集成电路等长周期产品 Q3 逐步开始交付和确收。随着 “十五五”规划落地，新型号逐步进入批产状态+装备信息化率提升，军工电子需求有望进一步提升。防务确收好转曼加规模效应，盈利能力还季度改着。过去两年，受防务产品降价影响，公司单季度毛利率呈现下降趋势;但今年以来新签订单产品降价压力边际上减轻，叠加景气回升、需求量明显增加，公司强化提质增效降成本，规模效应逐步显现。公司单李度盈利能力自今年 Q1 低点以来逐季度回升，Q3 单季度毛利率和净利率提升至 47.26%和 20.52%，分别较 Q1 提高了 4.77%和 14.07%。随着军品景气上行，我们预计公司的盈利能力有望持续改善。合同负债较年初翻倍增长，存货持续增加，前瞻性指标向好预示业绩增长持续性。Q3 公司合同负债为 0.46亿元，较年初增长109.56%。今年Q1以来，公司存货持续增长，Q3 存货高达 25.02 亿元。由于公司主要营收来自军品，防务业务通常以销定产，存货扩大预示着防务景气回升、订单增加。军品元器件平台型龙头充分受益于防务景气上行，战略新兴领域拓展有成为新的增长亮点。(1)军品元器件龙头和平台型公司，公司品类多、客户盖全，在阻、容、感等细分领域竞争力强，半导体业务占比不断提升。公司持续开展高端市场国产化，定增募投新品类助力产业发展，子公司的产能、研发等能力不断得到补充和提升。行业景气上行，公司有望充分受益，盈利能力有望持续改善。(2)公司持续加强优势产品在商业航天、低空经济、民用航空、新能源汽车及轨道交通等战略新兴领域的推广应用，逐步开展全球化布局，未来新兴领域有望带来增长亮点。盈利预测与投资建议维持前期预测，预计公司 25、26、27 年 EPS 为 1.93、2.82、3.37 元，参考可比公
司 25 年 35 倍 PE，给予目标价 67.55 元，维持增持评级。风险提示：军品订单和收入确认不及预期；降价幅度比预期多等。",,东方证券,增持,[None],2025-10-28,,增持,6897211,pdf_downloads/2025/2025-10-28/000733-振华科技（000733）：Q3单季度同比环比明显增长，前瞻指标持续向好.pdf,000733,振华科技,振华科技（000733）：Q3单季度同比环比明显增长，前瞻指标持续向好
杨晨,业绩简评2025年10月24日公司披露三季报，前三季度实现营收39.3亿元，同比+5.0%；实现归母净利润6.2亿元，同比-3.3%。其中，Q3实现营收15.16亿元，同比+15.8%，环比+1.0%；实现归母净利润3.1亿元，同比+38.7%。环比+22.8%。经营分析单季度实现同环比增长，后续业绩有望持续：1）收入端延续增长，25Q1-Q3营收同比+5.0%，25Q3营收同比+15.8%；2）利润端，25Q1-Q3计提资产和信用减值合计1.9亿，使得归母同比-3.3%；3）Q3单季度营收利润同环比均增长，后续业绩有望持续加速。规模效应显现，利润率逐季改善：25Q1-Q3毛利率为45.7%（-3.9pct），净利率为15.9%（-1.4pct）；25Q3毛利率为47.3%（同比-0.1pct，环比+1.3pct），净利率为20.5%（同比+3.4pct，环比+3.6pct）。规模效应下，公司利润率逐季度改善。合同负债连续三个季度增加，订单充足保障后续业绩：1）25Q3末合同负债4625万元，较25Q2末+27.4%，公司合同负债连续三个季度维持增长态势，订单充足保障后续业绩。2）25Q3经营净现金流-3.1亿，去年同期为1.4亿；25Q3末应收款项69.68亿元，较25Q2末+14.2%，主要系新型电子元器件板块营收增加，同时回款期受行业影响延长。实现产业协同发展，公告振华新云吸收合并振华红云：根据公司“十五五”产业发展思路，为实现产业协同发展，公告振华新云吸收合并振华红云，设立振华新云压电事业部。根据公告，振华红云24年营收6892万，利润总额142万；25年1-8月营收4537万，利润总额-241万。盈利预测、估值与评级预计公司2025/2026/2027年营收55.5亿/64.0亿/74.0亿，同比+6.3%/+15.3%/+15.6%；归母净利润10.2亿/13.0亿/16.0亿元，同比+4.7%/+28.3%/+22.4%，对应PE为26.7/20.8/16.9倍。振华科技作为军工元器件平台型龙头，行业复苏下公司业绩弹性和持续性优势最显著，持续推荐。风险提示军用元器件价格下降的风险；高端元器件国产化进度不及预期。,,国金证券,买入,[None],2025-10-26,,买入,6794077,pdf_downloads/2025/2025-10-26/000733-振华科技（000733）：Q3实现同环比增长，订单充足业绩有望持续.pdf,000733,振华科技,振华科技（000733）：Q3实现同环比增长，订单充足业绩有望持续
"鲍学博,王兴,朱雨时,田莫充",振华科技发布三季报：Q3实现营收15.16亿元（yoy+15.78%，qoq+0.99%），归母净利3.11亿元（yoy+38.68%，qoq+22.77%）。2025年Q1-Q3实现营收39.26亿元（yoy+4.98%），归母净利6.23亿元（yoy-3.31%），扣非净利5.77亿元（yoy-0.38%）。今年是“十四五”国防建设收官之年，国防建设任务需要完成既定规划，下游需求或将加速释放，公司业绩也有望明显改善，维持“买入”评级。三季报收入端实现增长，归母净利下滑幅度明显收窄随着公司下游需求持续复苏，25年前三季度收入端已实现增长，归母净利润虽呈现小幅下滑，但下滑幅度较中报的-25.74%已有明显收窄。前三季度公司毛利率为45.67%，较去年同期下降3.92pct，主要系军品低成本采购导致公司部分产品仍存在价格压力。公司年初至今新签订单金额有所增长，但订单从生产到交付，到确认收入存在一定时间周期，随着年末公司交付和确收加速，业绩有望进一步改善。费用控制效果显著，但经营性现金流下滑明显前三季度公司期间费用率为23.06%，较去年同期降低4.21pct，其中销售费用率4.82%，同比降低0.97pct；管理费用率12.38%，同比降低1.81pct；研发费用率为5.70%，同比降低1.36pct。前三季度经营性净现金流为6.42亿元，去年同期为13.35亿元，主要系销售商品、提供劳务收到的现金同比减少6.42亿元，以及购买原材料商品、接受劳务支付的现金同比增加1.70亿元等因素影响。积极布局高端民品，力求海外业务突破近年来公司积极布局新兴民用领域，多家子公司加大与商业航天领域的合作力度，实现新突破，在汽车电子、低空经济领域获得项目资产支持，在轨道交通、风电、储能以及光伏等市场领域稳步拓展。此外主动对标国际一流企业的产品性能指标，着力打磨先进技术和具备“出口竞争力”的产品，有针对性地参加国外知名电子展、防务展等国际展会，了解国外用户的元器件需求动向，寻求海外业务合作。盈利预测与估值我们下调公司25-27年归母净利润（-12.54%/-13.99%/-10.14%）至11.81/14.64/17.95亿元（三年复合增速为22.76%），对应EPS为2.13/2.64/3.24元。下调主要是考虑到公司部分产品降价，导致销售收入和毛利率有所降低。可比公司26年Wind一致PE均值为24倍，给予公司26年24倍PE估值，下调目标价为64.42元（前值75.53元，对应31倍25年PE）。风险提示：订单不及预期风险，产品价格下降风险。,,华泰证券,买入,[None],2025-10-26,,买入,6790661,pdf_downloads/2025/2025-10-26/000733-振华科技（000733）：收入增速回正，利润下滑明显收窄.pdf,000733,振华科技,振华科技（000733）：收入增速回正，利润下滑明显收窄
"尹会伟,孔厚融",前三季度业绩逐季增长；资产重组实现产业协同发展事件：10月24日，公司发布2025年三季报，1~3Q25实现营收39.26亿元，YOY +4.98%；归母净利润6.23亿元，YOY -3.31%。毛利率同比下滑3.93ppt至45.67%；净利率同比下滑1.37ppt至15.87%。业绩表现符合市场预期。2025年以来，公司新签订单金额同比保持增长，我们综合点评如下：前三个季度业绩逐季增长，利润率逐季提升。1）业绩：3Q25，公司实现营收15.16亿元，同比增长15.78%，环比增长0.99%；实现归母净利润3.11亿元，同比增长38.68%，环比增长22.77%。1Q25~3Q25，公司营收分别是9.08亿元、15.01亿元、15.16亿元；归母净利润分别是0.59亿元、2.53亿元、3.11亿元。2）利润率：3Q25，公司毛利率同比下滑0.12ppt至47.26%；净利率同比提升3.38ppt至20.52%。1Q25~3Q25，公司毛利率分别是42.49%、45.98%、47.26%；净利率分别是6.45%、16.88%、20.52%。前三个季度业绩和利润率均逐季提高。期间费用率减少；减值损失影响利润1.9亿。1~3Q25，公司：1）费用率：期间费用率同比减少4.21ppt至23.06%，其中，销售费用率同比减少0.97ppt至4.82%；管理费用率同比减少1.81ppt至12.38%；研发费用率同比减少1.36ppt至5.70%。2）减值损失：资产减值损失0.93亿元，去年同期0.59亿元；信用减值损失0.96亿元，去年同期0.82亿元。上述减值合计影响前三季度净利润1.90亿元，去年影响1.40亿元。3）现金流：经营活动净现金流为6.42亿元，去年同期为13.35亿元。截至3Q25末，公司：1）应收账款及票据69.68亿元，较年初增加6.93%；2）存货25.02亿元，较年初增加11.51%。补齐发展短板，资产重组实现产业协同发展。10月24日，公司公告资产重组：拟由振华新云吸收合并振华红云。目的是优化企业架构、完善产业结构、压缩公司治理层级，降低管理成本，提高运营效率。其中，全资子公司振华新云（国营第四三二六厂）主营电子元器件及相关电子产品；振华新云全资子公司振华红云主营压电陶瓷电子元器件。2025年1~8月，振华新云营收4.53亿元，利润总额5406.06万元；振华红云营收4536.97万元，利润总额-240.77万元。投资建议：公司作为国内高新电子元器件领域核心供应商，已形成以高可靠产品体系、全产业链协同能力、自主创新生态为核心的品牌价值矩阵，把握商业航天、低空经济、民用航空及新能源汽车等战新领域的发展机遇。我们预计，公司2025~2027年归母净利润分别是9.83亿元、12.57亿元、15.30亿元，当前股价对应2025~2027年PE分别是28x/22x/18x。我们考虑到公司的行业龙头地位，维持“推荐”评级。风险提示：下游需求不及预期、产品价格波动等。,,民生证券,推荐,[None],2025-10-25,,增持,6755289,pdf_downloads/2025/2025-10-25/000733-振华科技（000733）：2025 年三季报点评：前三季度业绩逐季增长，资产重组实现产业协同发展.pdf,000733,振华科技,振华科技（000733）：2025 年三季报点评：前三季度业绩逐季增长，资产重组实现产业协同发展
"苏立赞,许牧,高正泰",主营构成变化反映战略转型期主动优化产品结构，为长期竞争力提升奠定了基础：振华科技2025年上半年实现营收24.10亿元，同比微降0.83%；归母净利润3.12亿元，同比下降25.74%。业绩下滑主要受新型电子元器件板块产品价格下行压力传导及低附加值产品营收占比增加影响，同时原材料成本上涨导致营业成本同比上升11.50%。分产品看，新型电子元器件营收23.86亿元（占比99.01%），同比减少0.95%，现代服务业营收0.24亿元（占比0.99%），同比增长12.65%。核心业务中，半导体分立器件、通用元件等基础元器件受行业竞争加剧影响价格承压，而混合集成电路等高附加值产品因客户需求波动导致收入收缩。下游行业升级需求放缓及国产化替代进程中的价格竞争是主营结构变化的主因。主要受原材料价格上涨及低附加值产品营收占比上升的双重影响，盈利能力有所下滑：2025年上半年，公司毛利率为44.67%，同比下降6.12个百分点。经营活动现金流净额9.49亿元，同比下降20.30%，主要因销售回款减少及采购支出增加。合同负债0.36亿元，同比增长64.53%，显示订单储备充足；存货24.69亿元，同比增长10.01%，主要为发出商品增加所致。这些指标变化反映出公司在行业调整期的稳健经营策略，通过优化费用结构和加强订单管理来应对市场波动。2025年上半年，公司在核心竞争力方面取得多项突破：半导体分立器件领域成功研制高压抗辐射加固MOSFET产品，突破陶瓷表贴器件顶部散热封装技术；混合集成电路领域实现高可靠厚膜混合集成DC/DC变换器桥式电路技术突破。报告期内申请专利176件，其中发明专利80件，累计拥有专利1702件。在产品应用拓展方面，公司优势产品在商业航天、低空经济、新能源汽车等战略新兴领域的推广应用取得进展。资本运作方面，控股股东中国振华电子集团有限公司完成增持计划，累计增持226.46万股，增持金额1亿元，体现了对公司长期发展的信心。盈利预测与投资评级：公司业绩符合预期，我们维持先前的预测，预计公司2025-2027年的归母净利润分别为10.83/12.52/14.47亿元，对应 PE 分别为26/22/19倍，维持“买入”评级。风险提示：1）宏观经济风险；2）民航业相关需求受其他交通方式发展冲击的风险；3）市场竞争加剧的风险；4）商誉减值风险。,,东吴证券,买入,[None],2025-08-25,,买入,6343584,pdf_downloads/2025/2025-08-25/000733-振华科技（000733）：聚焦电子元器件生态链建设，为高端市场拓展奠基.pdf,000733,振华科技,振华科技（000733）：聚焦电子元器件生态链建设，为高端市场拓展奠基
"罗楠,冯函",核心观点事件：公司发布2025年半年报。2025年H1实现营收24.10亿（-0.83%）；实现归母净利润3.12亿（-25.74%）；单Q2实现营收15.01亿元（+6.05%）；归母净利润2.53亿元（-20.34%）。由于产品价格下降和防务产品确收有所放缓，导致公司营收有所下降。25Q1以来防务市场景气回升，军工电子需求明显好转。由于公司品类较多，占比较高的组件和定制化产品生产和收入确认周期长，叠加行业收入确认延长，导致营收增速不及订单增速。25H1公司发出商品6.67亿元，较期初大增42.27%。我们认为随着防务景气持续上行和收入确认转好，公司从Q3开始收入规模有望持续好转。产品结构变化、价格等导致毛利率下滑，未来随着景气向上和确收好转，公司规模效应体现有望带来盈利能力改善。25年H1产品结构变化和价格因素导致毛利率下降较为明显。预计产品结构会随着军品确收好转有所优化、叠加25年H1新签产品降价压力边际减轻，Q3起收入环比改善、下半年起收入的规模效应有望提升公司盈利能力。军品元器件平台型龙头，有望充分受益于防务景气上行和战略新兴领域拓展。（1）军品元器件龙头和平台型公司，公司品类多、客户覆盖全，在阻、容、感等细分领域竞争力强，半导体业务占比不断提升。公司持续开展高端市场国产化，定增募投新品类助力产业发展，子公司的产能、研发等能力不断得到补充和提升，25年H1在通用元件、半导体分立器件、混合集成电路等领域研发成果显著。随着行业景气上行，公司有望充分受益，叠加成本有效控制，盈利能力有望持续改善。（2）公司深入推进产线数智化建设，民用领域持续加强优势产品在商业航天、低空经济、民用航空、新能源汽车及轨道交通等战略新兴领域的推广应用，逐步开展全球化布局，未来新兴领域有望带来增长亮点。根据25年半年报下调毛利率，调整25、26、27年EPS为1.93、2.82、3.37元（前值为2.52、3.30、4.08元），参考可比公司25年33倍PE，给予目标价63.69元，维持增持评级。风险提示军品订单和收入确认不及预期；降价幅度比预期多；资产和信用减值幅度比预期多。,,东方证券,增持,[None],2025-08-24,,增持,6340653,pdf_downloads/2025/2025-08-24/000733-振华科技（000733）：产品结构变动和价格等因素导致业绩承压，随着景气上行有望Q3起环比改善.pdf,000733,振华科技,振华科技（000733）：产品结构变动和价格等因素导致业绩承压，随着景气上行有望Q3起环比改善
"李良,胡浩淼",事件：公司发布25年半年报，25年H1实现营收24.10亿元，同比下降0.83%；实现归母净利3.12亿元，同比下降25.74%。25Q2营收15.01亿（YoY+6.05%），归母净利2.53亿（YoY-20.34%）。25Q2业绩同比降幅收窄，毛利率环比回升：公司25年H1实现营收24.10亿元（YoY-0.83%），实现归母净利3.12亿元（YoY-25.74%），主因产品价格向下调整的压力和产品结构变化，导致整体业绩阶段性下滑。根据公司经营计划，预计2025年实现营业收入57亿元，利润总额11.45亿元，当前完成42.3%和31.4%。分季度看，25Q2营收15.01亿（YoY+6.05%，QoQ+65.30%），归母净利2.53亿（YoY-20.34%，QoQ+333.19%），营收同比由负转正，归母净利同比降幅持续收窄，环比提升明显。毛利率环比改善：公司部分产品价格承压叠加低附加值产品占比增加，毛利率持续压缩。25年H1公司毛利率44.7%，同比减少6.1pct。25Q2毛利率环比回升3.5pct，至46.0%，或与公司产品结构季度波动有关。存货高位运行+合同负债快速增长同步显现，公司下游需求开始走强：25H1合同负债 0.36 亿元，较上年底增幅达64.5%，环比增速显著提升，我们认为这与公司订单节奏加快直接相关。同期公司存货规模达24.7亿元，在24年末较高水平上再增10.1%，达到近年新高。结合合同负债增速，我们认为可能系当期公司为订单交付主动备货所致，下游需求开始走强。新签订单快速增长，2025有望深度受益：根据调研公告，公司高新电子领域新增订单同比保持增长，上半年订单较为饱满，公司产能利用率保持了较高的水平。展望2025，习主席强调如期完成“十四五”既定目标，收官战催生2025高景气，我们认为公司作为特种元器件核心供应商之一，将深度受益。精准资源优化，审慎扩产：公司7月公告因市场和技术等因素终止孙公司江苏新云导电聚合物片式铝电解电容器生产线建设，该项目此前已补充孙公司钽电容生产能力，产能提升至4.8亿只/年并发挥效益，此次调整展现公司对市场的深入理解，并有效降低投资成本。此外，鉴于整体市场变化与客户需求动态，公司谨慎使用募集资金，决定将定增募投项目延迟至2026-2028年。预计26-28年实现产能陆续释放，届时将形成一条12万片/年产能的6英寸功率器件制造线、厚膜混合集成电路产能17万只/年、微电路模块产能35万只/年等。以需求周期为导向匹配产能释放节奏，降低市场波动对公司的冲击，并提升募集资金的使用效率。投资建议：公司具备芯片研制到生产的全自主能力，并逐步向组件和模块级拓展。随着下游需求修复，公司业绩增长有望重回快车道，或在Q3报表端体现。预计公司2025-2027年归母净利分别为10.76/13.00/15.39亿，EPS分别为1.94/2.35/2.78元，当前股价对应PE为26/22/18倍，维持“推荐”评级。风险提示：下游行业需求不及预期的风险；毛利率下降的风险。,,银河证券,推荐,[None],2025-08-24,,买入,6340556,pdf_downloads/2025/2025-08-24/000733-振华科技（000733）：点评报告：下游需求走强，催生2025高景气.pdf,000733,振华科技,振华科技（000733）：点评报告：下游需求走强，催生2025高景气
杨晨,业绩简评2025年8月21日，公司发布25年中报，公司25H1实现营收24.10亿（同比-0.8%），实现归母净利润3.12亿（同比-25.7%），25Q2实现营收15.01亿（同比+6.1%，环比+65.3%），实现归母净利润2.53亿（同比-20.3%，环比+333.2%）。经营分析上半年业绩下滑，Q2环比改善：1）上半年由于下游降价压力向上游传导，叠加公司产品结构变化，营收同比-0.83%；计提存货减值6922万，信用减值6433万，使得归母净利润同比-20.3%；2）Q2营收与归母净利润环比改善，归母净利润增速超过营收增速，我们认为后续有望恢复高增长。规模效益体现，Q2毛利率环比提升：公司25年上半年毛利率为44.7%（-6.1pct），净利率为12.9%（-4.3pct）；25Q2毛利率为46.0%（同比-7.1pct，环比+3.5pct），净利率为16.9%（同比-5.6pct，环比+10.4pct）。后续随着公司的规模效应体现，利润率有望逐季度改善。积极备货生产，订单支撑后续成长：25Q2末合同负债3631万元，较25Q1+19.23%，主要系销售产品预收货款增加；25Q2末存货24.69亿元，较25Q1+3.33%。结合合同负债和存货，我们认为公司业绩后续有望逐季释放。多项技术突破，新兴领域布局见成效：1）公司上半年研制出多款高压抗辐射加固MOSFET产品；突破霍尔式接近开关高水压深海环境下输出稳定关键技术，并在船舶领域应用；突破高可靠厚膜混合集成DC/DC变换器桥式电路技术，产品功率密度进一步得到提升；成功研制应用于超高频波段的陶瓷管壳。2）加强优势产品在商业航天、低空经济、民用航空、新能源汽车及轨道交通等战略新兴领域的推广应用，并逐步开展全球化布局。盈利预测、估值与评级预计公司2025-2027年归母净利润11.0亿/14.1亿/17.0亿元，同比+13.1%/+28.2%/+20.5%，对应PE为25.6/20.0/16.6倍。公司作为军工元器件平台型龙头，行业复苏下公司业绩呈现边际改善，维持“买入”评级。风险提示军用元器件价格下降的风险；高端元器件国产化进度不及预期。,,国金证券,买入,[None],2025-08-22,,买入,6337555,pdf_downloads/2025/2025-08-22/000733-振华科技（000733）：Q2业绩呈现环比改善，下半年有望持续好转.pdf,000733,振华科技,振华科技（000733）：Q2业绩呈现环比改善，下半年有望持续好转
