author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
"阳景,胡泽宇","我们首次覆盖爱尔眼科（300015.CH）给予“买入”评级和医疗服务行业首选推荐，目标价为人民币14.0元。我们看好公司作为全球领先眼科医疗服务机构的长期配置价值。目前中国民营眼科医疗服务已成长至近千亿元市场规模，约占整体眼科医疗服务市场规模四成。中国眼病患者基数庞大，其中近视患者人数超6亿，白内障患者人数约1.5亿，眼科治疗需求大。伴随健康意识的提升，眼科医疗服务市场有望稳步增长。根据Frost&amp;Sullivan数据，2024年中国整体眼科医疗服务市场规模达2,231亿元（2020-2024CAGR：12.8%），其中民营机构市场份额占比42%，规模约937亿元；Frost Sullivan预计中国整体眼科医疗服务市场有望于2025年达2,522亿元（2020-2025E CAGR:12.8%）。公司是全球眼科医疗服务龙头，业务范围覆盖中国、欧洲、东南亚多个市场。截至2025年6月30日，公司在全球拥有900+家眼科医院/中心，是全球规模最大的眼科医疗集团，业务覆盖中国内地、中国香港、欧洲、美国、东南亚等多个地区。凭借过往多年积累的品牌口碑，公司于2024年和1H25门诊量分别达1,694万(+12.1%YoY)、925万人次(+16.5%YoY)，手术量分别达129.5万(+9.4%YoY)、87.9万例(+7.63%YoY)。随着眼科医疗服务市场的持续增长，我们看好公司的长期发展前景。中国“1+8+N”战略推进以及海外业务持续双位数增长，共同驱动公司整体收入持续提升。国内业务方面，公司于2022年提出新十年“1+8+N”战略，即着力打造1家世界级眼科医学中心（长沙爱尔）、8家国家及区域眼科医学中心（北京、上海、广州、深圳、成都、重庆、武汉、沈阳）、N家省域一流和地区领先的眼科医院。截至1H25末，公司境内医院355家，门诊部240家。展望未来，随着“1+8+N”战略的推进和落地，我们相信重点医院辐射作用有望持续加强，门店布局有望完善丰富，带动集团中国收入持续增长。海外业务方面，公司海外收入于2020-2024年间实现17.6%CAGR，1H25实现16.5%YoY增速，主要受欧洲子公司Clínica Baviera和东南亚子公司ISEC收入增长驱动。展望未来，国际市场空间潜力巨大，随着公司现有海外业务收入的进一步提升以及未来潜在的海外并购落地，我们认为国际化收入可在中长期助推公司收入增长。首次覆盖给予“买入”评级及医疗服务行业首选推荐，目标价人民币14.0元。我们预计公司于2025E/2026E/2027E实现228/250/273亿元收入，38/43/48亿元扣非归母净利润。我们采用30x2026E PE（较过去5年平均前瞻市盈率低0.7个标准差）对公司进行估值，得到公司目标价人民币14.0元，给予“买入”评级及医疗服务行业首选推荐。我们看好公司作为全球眼科医疗服务龙头的长期配置价值。投资风险：消费意愿持续疲软、行业竞争加剧、规模扩张慢于预期、医疗事故纠纷、减值风险。",,浦银国际,买入,[None],2026-01-26,,买入,8369803,pdf_downloads/2026/2026-01-26/300015-爱尔眼科（300015）：全球眼科龙头优势持续强化.pdf,300015,爱尔眼科,爱尔眼科（300015）：全球眼科龙头优势持续强化,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 38,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2026,
            ""net_profit"": 43,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2027,
            ""net_profit"": 48,
            ""eps"": null,
            ""pe"": 30
        }
    ]
}",,30.0,30.0,30.0,,,,,,,,
龙靖宁,事件：公司发布2025年三季报。2025年前三季度，公司实现营收174.84亿元，同比增长7.25%；实现归母净利润31.15亿元，同比减少9.76%；实现扣非归母净利润31.19亿元，同比增长0.20%。分季度看，2025Q3公司实现营收59.77亿元，同比增加3.83%；实现归母净利润10.64亿元，同比减少24.12%；实现扣非归母净利润10.80亿元，同比减少18.73%。多因素影响下，利润端增速有所放缓。2025年前三季度公司利润端增速低于收入端，我们推测主要系公司“1+8+N”战略中多个项目集中落地造成的折旧摊销增加，导致公司毛利率同比下滑1.75pp至49.27%；同时，因大额政府补助、金融产品投资收益及处置金融资产带来的公允价值变动收益较去年同期减少，以及按账龄计提的坏账损失较去年同期增加，因而公司归母净利润增速低于扣非归母净利润增速。运营管理效率提升，经营净现金流增长。报告期内，公司进一步推动“1+8+N”战略落地，区域内资源配置效率及共享程度持续提高，费用投入效率提升。2025年前三季度，公司销售费用率、管理费用率、研发费用率、财务费用率分别同比下降0.72pp、0.11pp、0.14pp、0.08pp，带动期间费用率同比下降1.05pp。公司现金流水平持续提升，2025年前三季度经营活动产生的现金流量净额达50.78亿元，同比增长18.14%。投资建议：公司作为我国眼科医疗服务龙头，业务范围覆盖眼健康全生命周期，品牌护城河深厚，后续有望深度受益于近视防控、老龄化眼病等需求增长，考虑到公司新开院区折旧摊销影响，我们调整盈利预测，预计2025-2027年公司营收分别为223.31、247.89、275.48亿元，分别同比增长6.42%、11.01%、11.13%；归母净利润分别为35.61、40.71、47.00亿元，分别同比增长0.13%、14.34%、15.45%，EPS分别为0.38、0.44、0.50元，维持公司“增持”评级。风险提示：行业竞争加剧，医保政策变化，国际贸易摩擦，新术式推,,财信证券,增持,[None],2025-11-19,,增持,8075665,pdf_downloads/2025/2025-11-19/300015-爱尔眼科（300015）：营收稳健增长，运营管理效率提升.pdf,300015,爱尔眼科,爱尔眼科（300015）：营收稳健增长，运营管理效率提升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 35.61,
            ""eps"": 0.38,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 40.71,
            ""eps"": 0.44,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 47.00,
            ""eps"": 0.50,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.38,0.44,0.5,
Weimin Yu,本报告导读：作为眼科医疗服务龙头，爱尔眼科公司业绩逐步企稳，收入稳健增长，现金流持续健康增长，依然具备行业龙头的配置价值。投资要点：我们预测2025-2027年的营业收入分别为226.11、252.85、283.97亿元，增速分别为7.8%、11.8%、12.3%，归母净利润分别为35.69、40.77、47.52亿元，增速分别为0.4%、14.2%、16.5%，EPS分别为0.38、0.44、0.51元，我们采用PE方法进行估值，参考可比公司，给于2025年归母净利润40倍估值，对应目标价15.31元，维持优于大市评级。“1+8+N”战略取得实质进展，折旧摊销和人力成本短期对利润端造成压力。爱尔眼科在第三季度出现利润增速放缓，与“1+8+N”战略中多个项目集中落地造成的折旧摊销和人力成本增加有关，新项目投入使用增加相应的折旧与摊销费用，对当期净利润增速构成了阶段性影响。截至目前，长沙爱尔、上海爱尔、广州爱尔、四川爱尔、重庆爱尔、湖北爱尔、辽宁爱尔、深圳滨海爱尔等眼科中心已运营。我们认为，随着纵向分级连锁网络体系不断完善，横向同城分级诊疗网络持续推进，爱尔眼科区域内资源配置效率及共享程度进一步提高。强化学科和医疗能力建设，提升医疗质量和服务水平，加快“AI+眼科”应用布局。公司不断引入国际前沿的眼科诊疗设备和技术，持续优化临床路径，提升诊疗效率和质量。2025年，公司引进蔡司新一代机器人全飞秒设备VISUMAX 800及全新微创手术SMILE pro，率先进入智能机器人辅助屈光手术新时代。积极推进海外并购扩张战略。针对海外并购扩张，爱尔眼科采取“顶层设计、精挑细选、稳健扩张、本土运营”的策略方针，公司通过收购欧洲、东南亚机构后的优秀表现展示了赋能、整合能力，为公司未来的海外并购打下了良好的基础。风险提示：医保控费政策不确定性风险、宏观消费支出不达预期风险、医疗事故风险、新建及并购医院折旧摊销增加风险。,,海通国际证券,优于大市,[None],2025-10-31,,买入,7098347,pdf_downloads/2025/2025-10-31/300015-爱尔眼科（300015）：强化学科、医疗能力建设，提升运营效率.pdf,300015,爱尔眼科,爱尔眼科（300015）：强化学科、医疗能力建设，提升运营效率,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 35.69,
            ""eps"": 0.38,
            ""pe"": 40
        },
        {
            ""year"": 2026,
            ""net_profit"": 40.77,
            ""eps"": 0.44,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 47.52,
            ""eps"": 0.51,
            ""pe"": null
        }
    ]
}",,,40.0,,,,,,0.38,0.44,0.51,
"余文心,陈铭",我们预测2025-2027年的营业收入分别为226.11、252.85、283.97亿元，增速分别为7.8%、11.8%、12.3%，归母净利润分别为35.69、40.77、47.52亿元，增速分别为0.4%、14.2%、16.5%，EPS分别为0.38、0.44、0.51元，我们采用PE方法进行估值，参考可比公司，给于2025年归母净利润40倍估值，对应目标价15.31元，维持增持评级。“1+8+N”战略取得实质进展，折旧摊销和人力成本短期对利润端造成压力。爱尔眼科在第三季度出现利润增速放缓，与“1+8+N”战略中多个项目集中落地造成的折旧摊销和人力成本增加有关，新项目投入使用增加相应的折旧与摊销费用，对当期净利润增速构成了阶段性影响。截至目前，长沙爱尔、上海爱尔、广州爱尔、四川爱尔、重庆爱尔、湖北爱尔、辽宁爱尔、深圳滨海爱尔等眼科中心已运营。我们认为，随着纵向分级连锁网络体系不断完善，横向同城分级诊疗网络持续推进，爱尔眼科区域内资源配置效率及共享程度进一步提高。强化学科和医疗能力建设，提升医疗质量和服务水平，加快“AI+眼科”应用布局。公司不断引入国际前沿的眼科诊疗设备和技术，持续优化临床路径，提升诊疗效率和质量。2025年，公司引进蔡司新一代机器人全飞秒设备VISUMAX 800及全新微创手术SMILE pro，率先进入智能机器人辅助屈光手术新时代。积极推进海外并购扩张战略。针对海外并购扩张，爱尔眼科采取“顶层设计、精挑细选、稳健扩张、本土运营”的策略方针，公司通过收购欧洲、东南亚机构后的优秀表现展示了赋能、整合能力，为公司未来的海外并购打下了良好的基础。风险提示：医保控费政策不确定性风险、宏观消费支出不达预期风险、医疗事故风险、新建及并购医院折旧摊销增加风险。,,国泰海通,增持,[None],2025-10-31,,买入,7083187,pdf_downloads/2025/2025-10-31/300015-爱尔眼科（300015）：2025年三季报点评：强化学科、医疗能力建设，提升运营效率.pdf,300015,爱尔眼科,爱尔眼科（300015）：2025年三季报点评：强化学科、医疗能力建设，提升运营效率,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 35.69,
            ""eps"": 0.38,
            ""pe"": 40
        },
        {
            ""year"": 2026,
            ""net_profit"": 40.77,
            ""eps"": 0.44,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 47.52,
            ""eps"": 0.51,
            ""pe"": null
        }
    ]
}",,,40.0,,,,,,0.38,0.44,0.51,
魏红梅,事件：公司发布了2025年三季报。2025年前三季度，公司实现营业总收入174.84亿元，同比增长7.25%；实现归母净利润31.15亿元，同比下降9.76%；实现扣非后归母净利润31.19亿元，同比增长0.2%，业绩基本符合预期。点评：业绩增速逐季放缓。分季度来看，公司2025Q3实现营收59.77亿元，同比增长3.83%；实现归母净利润10.64亿元，同比下降24.12%。公司2025年Q1和Q2营收分别同比增长15.97%和2.47%，归母净利润分别同比增长16.71%和-12.97%。公司Q3业绩有所放缓主要受国内消费需求不足、投资净收益及公允价值变动净收益减少、信用减值损失增加等方面的影响。毛利率净利率均同比有所下滑。2025年前三季度，公司综合毛利率同比下降1.75个百分点至49.27%；期间费用率同比下降1.06个百分点至24.95%，其中销售费用率、管理费用率和财务费用率分别同比下降0.72个百分点、0.25个百分点和0.08个百分点，分别达到9.34%、14.83%和0.78%。受毛利率下降影响，公司前三季度归母净利率同比下降3.24个百分点至19.26%。中长期看，我国眼科医疗服务需求空间相对较大。未来我国人口老龄化加剧将导致年龄相关性眼病患者增多，青少年眼健康状况日益严峻且近视率远高于世界平均水平，全民手机化使得用眼强度大幅增加，同时技术进步和居民眼健康意识的提升也推动了对高质量视觉服务的需求，多层次的眼健康需求逐渐显现。随着新技术临床应用加快以及高品质医疗服务需求增加，我国未来眼科医疗服务市场规模还将扩大。投资建议：短期来看，公司业绩受国内需求不足影响而受压，但从中长期来看，我国眼科医疗需求增长潜力较大。公司作为全球规模最大的眼科连锁医疗机构，持续整合全球资源，不断增强核心竞争力，有望巩固其行业龙头地位。预计公司2025-2026年的每股收益分别为0.43元、0.49元，当前股价对应PE分别为28.8倍、25倍，目前估值已回落至近十年低位，维持对公司的“买入”评级。风险提示：行业政策风险、医疗事故、人才流失、扩张不及预期、商誉减值等风险等。,,东莞证券,买入,[None],2025-10-28,,增持,6913901,pdf_downloads/2025/2025-10-28/300015-爱尔眼科（300015）：短期业绩承压中长期仍可期.pdf,300015,爱尔眼科,爱尔眼科（300015）：短期业绩承压中长期仍可期,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 31.15,
            ""eps"": 0.43,
            ""pe"": 28.8
        },
        {
            ""year"": 2026,
            ""net_profit"": null,
            ""eps"": 0.49,
            ""pe"": 25
        }
    ]
}",,,28.8,25.0,,,,,0.43,0.49,,
"代雯,高鹏,杨昌源",2025年10月27日│中国内地 医疗服务 公司1-3Q25实现收入/归母净利/扣非归母净利174.84/31.15/31.19亿元（yoy+7.3%/-9.8%/+0.2%），其中3Q25实现收入/归母净利/扣非归母净利59.77/10.64/10.80亿元（yoy+3.8%/-24.1%/-18.7%），公司3Q25收入延续增长势头。考虑公司诊疗技术及品牌影响力行业领先，叠加服务网络稳步拓展，看好公司中长期具备广阔发展空间。维持“买入”。三项费用率稳中有降，现金流水平积极提升公司1-3Q25毛利率为49.3%（yoy-1.7pct），我们推测主因业务结构常规变动影响。公司1-3Q25销售/管理/研发费用率为9.3%/13.5%/1.3%，分别yoy-0.7/-0.1/-0.1pct，公司积极强化费用投入效率，三项费用率稳中有降。公司1-3Q25经营性现金流量净额50.78亿元（yoy+18.1%），现金流水平持续提升。看好公司核心业务25全年保持向好发展公司1-3Q25整体收入保持增长，看好公司各项核心业务25全年趋势向上，基于：1）消费眼科：考虑公司积极导入屈光新术式（如VISUMAX 800及SMILE pro）和视光诊疗新手段，叠加公司各级诊疗网络覆盖范围广泛，看好公司屈光及视光业务25年均保持稳健发展势头。2）白内障及基础眼病项目：考虑白内障及基础眼病相关诊疗需求明确，且公司综合诊疗能力过硬，看好公司白内障及基础眼病项目均实现向好发展。境内外业务能力持续强化，助推公司整体发展公司持续强化境内外业务能力，包括：1）境内：公司积极推进分级连锁网络建设，“1+8+N”战略取得实质性进展，区域内资源配置效率及共享程度进一步提高，患者就诊便利化水平持续提升，看好公司25年境内业务保持向好势头。2）境外：根据《公司投资者关系活动记录表》（2025-005），公司针对已布局的欧洲、东南亚等市场，积极依靠技术实力和品牌影响力持续提升市场份额，公司同时亦持续关注境外市场的优质并购机会；考虑公司境外业务能力持续提升，看好公司25年境外业务收入保持稳健增长。盈利预测与估值考虑行业需求恢复仍待一定周期，我们调整公司收入增速及毛利率预测，预计25-27年归母净利为32.92/36.72/40.88亿元（相比前值调整-16%/-17%/-19%）。公司为全球眼科医疗服务领头羊，业务能力扎实且海内外服务网络持续强化，给予公司26年40x PE（可比公司Wind一致预期均值36x），对应目标价为15.75元（前值17.63元，对应25年42x PE vs可比公司Wind一致预期均值38x）。风险提示：市场竞争加剧风险，医疗事故和纠纷风险，持续扩张的管理风险。,,华泰证券,买入,[None],2025-10-28,,买入,6885772,pdf_downloads/2025/2025-10-28/300015-爱尔眼科（300015）：3Q25收入延续增长趋势.pdf,300015,爱尔眼科,爱尔眼科（300015）：3Q25收入延续增长趋势,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 32.92,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 36.72,
            ""eps"": null,
            ""pe"": 40
        },
        {
            ""year"": 2027,
            ""net_profit"": 40.88,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,40.0,,,,,,,,
甘坛焕,"业绩简评2025年10月27日，公司发布2025年三季报报告。2025年前三季度，公司实现收入174.84亿元，同比+7.25%；归母净利润31.51亿元，同比-9.76%；扣非归母净利润31.19亿元，同比+0.20%。 单季度来看，2025Q3公司实现收入59.77亿元，同比+3.83%；归母净利润10.64亿元，同比-24.12%；扣非归母净利润10.80亿元，同比-18.73%。经营分析新院区落地影响短期利润，经营现金流显著增长。利润端，2025年前三季度公司实现归母净利润31.51亿元，同比-9.76%，利润增速有所放缓。主要原因系公司“1+8+N”战略中多个项目集中落地造成的折旧摊销和人力成本增加，新项目的投入使用带来了相应的折旧与摊销费用增加，对当期净利润增速构成了阶段性影响。现金流方面，2025年前三季度公司经营活动产生的现金流量净额为50.78亿元，同比增长18.14%，现金回款能力强劲。期间费用率下降，区域内资源配置效率有望进一步提升。2025年前三季度公司销售、管理、研发费用率合计为24.17%。随着纵向分级连锁网络体系不断完善，横向同城分级诊疗网络持续推进，公司区域内资源配置效率及共享程度有望进一步提高。同时，公司通过组织架构调整、区域资源整合优化，加大数字化升级赋能，有望进一步提升经营管理效率。新术式推广下，眼科服务均价有望提升。今年以来，公司新术式如全光塑、全飞秒4.0、全飞秒Pro等按计划推广。一方面，先进技术上市后减短患者手术时间，提升患者满意度。另一方面新术式也扭转了眼科服务均价下行趋势。后续随ICLV5等新型晶体植入手术获批，公司业务结构有望进一步优化。盈利预测、估值与评级考虑到未来新院开业影响，我们下调盈利预测，预计2025-2027 年公司归母净利润分别为 34.74/38.76/42.64亿元,分别同比-2%/+12%/+10%，EPS 分别为 0.37/0.42/0.46 元，现价对应 PE 分别为 33/29/27 倍，维持“买入”评级。风险提示市场竞争加剧风险；人才短缺风险；跨区发展风险；医疗安全性 事故纠纷风险；合规监管风险等。",,国金证券,买入,[None],2025-10-28,,买入,6989956,pdf_downloads/2025/2025-10-28/300015-爱尔眼科（300015）：收入稳健增长，新院区落地影响短期利润.pdf,300015,爱尔眼科,爱尔眼科（300015）：收入稳健增长，新院区落地影响短期利润,"{
  ""forecasts"": [
    {
      ""year"": 2025,
      ""net_profit"": 34.74,
      ""eps"": 0.37,
      ""pe"": 33
    },
    {
      ""year"": 2026,
      ""net_profit"": 38.76,
      ""eps"": 0.42,
      ""pe"": 29
    },
    {
      ""year"": 2027,
      ""net_profit"": 42.64,
      ""eps"": 0.46,
      ""pe"": 27
    }
  ]
}",,,33.0,29.0,27.0,,,,0.37,0.42,0.46,
"谭国超,李雨涵",主要观点：事件：2025年8月27日公司发布2025年中期业绩报告，公司实现营业总收入115.07亿元（+9.12%），实现归母净利润20.51亿元（+0.05%），实现扣非归母净利润20.40亿元（+14.30%）。单季度看，2025Q2，公司实现营收54.81亿元（+2.47%），实现归母净利润10.01亿元（-12.97%），实现扣非归母净利润9.80亿元（+4.03%）。点评：业绩稳健增长，技术升级驱动核心业务2025H1，公司扣非归母净利润实现14.30%的较快增长，显示出核心业务强大的经营韧性。归母净利润增速放缓主要系去年同期金融资产公允价值变动收益基数较高，且新建以及搬迁医院，在建转固、长期待摊等资产新增，使固定成本增加所致。从费用端看，公司25H1销售费用率为9.15%，同比-1.47pct，精细化管理成效显现。从经营层面看，公司各项业务稳步推进，25H1实现门诊量924.83万人次（+16.47%）；手术量87.9万例（+7.63%），市场需求保持旺盛。拆分收入结构，公司核心业务多点开花：屈光项目：实现营收46.18亿元（+11.14%），增速亮眼。公司通过引进蔡司VISUMAX 800、SMILE pro等新一代手术设备与技术，成功推动产品结构升级和客单价提升，有效应对行业价格竞争。视光服务项目：实现营收27.20亿元（+14.73%），保持高速增长。公司持续推广“5P近视防控模式”，品牌影响力不断扩大。白内障项目：实现营收17.81亿元（+2.64%）。在医保支付方式改革背景下，公司通过推广飞秒白内障、多焦晶体等技术，满足了患者多层次需求，实现稳健增长。深化科技赋能，全球化与精细化管理并进公司持续推进“创新驱动 科技爱尔”战略，科技赋能成效显著。报告期内，公司加快“AI+眼科”应用布局，启动“AI眼科医生”智能体研发，并与中科院计算所、华为云等机构深化合作。公司在数据资源开发利用上取得突破，已整合28个高质量眼科专病数据集，包含稀缺病历超10万例，并启动了7项数据产品在数据交易所的挂牌，积极推进数据资源入表。公司稳步扩张业务版图，全球化网络布局持续推进。截至2025年6月30日，公司在境内拥有355家医院、240家门诊部，北京等地的重点医院项目正在建设中。境外布局已达169家眼科中心及诊所，全球资源整合能力持续增强。同时，公司着力于提升经营效率，报告期内成立组织变革小组，通过成立湘赣区、秦晋区等管理委员会，深化“地县一体化”、“同城一体化”等模式，实现精细化管理，为长期高质量发展奠定坚实基础。投资建议：维持“买入”评级我们看好公司恢复性增长，预计公司2025~2027年将实现营业收入232.39/260.66/294.54亿元，同比10.8%/12.2%/13.0%；实现归母净利润40.30/46.33/53.52亿元，同比13.3%/15.0%/15.5%；维持“买入”评级。风险提示政策变化风险；行业竞争加剧风险；区域运营风险等。,,华安证券,买入,[None],2025-09-04,,买入,6392277,pdf_downloads/2025/2025-09-04/300015-爱尔眼科（300015）：业绩稳健增长，技术升级驱动核心业务.pdf,300015,爱尔眼科,爱尔眼科（300015）：业绩稳健增长，技术升级驱动核心业务,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.30,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 46.33,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 53.52,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
龙靖宁,投资要点：事件：公司发布2025年半年报，报告期内公司实现营收115.07亿元（yoy+9.12%）；实现归母净利润20.51亿元（yoy+0.05%）。2025Q2公司实现营收54.81亿元（yoy+2.47%），实现归母净利润10.01亿元（yoy-12.97%）。手术量、门诊量双增，各类业务稳健增长。2025H1公司实现门诊量924.83万人次，同比增长16.47%；手术量87.9万例，同比增长7.63%。分业务看：受益于公司视光领域影响力不断增大、视光全流程精细化管理等，报告期内公司视光业务增速亮眼，2025H1营收达27.20亿元，同比增长14.73%。屈光业务2025H1营收同比增长11.14%达46.18亿元，主要系全光塑、全飞秒4.0、全飞秒Pro等新术式临床应用加快，推动屈光业务结构不断优化、平均单价同比上升，同时公司医疗网络进一步完善，患者覆盖范围扩大。人工晶体集采下屈光性白内障手术增长，多焦晶体应用比例加大，2025H1公司白内障业务实现营收17.81亿元，同比增长2.64%。眼前段、眼后段业务亦保持稳健增长，报告期内分别实现营收10.31、7.85亿元，分别同比增长13.06%、9.02%。精细化管理成效显著。报告期内，公司通过组织架构调整、区域资源整合优化，加大数字化升级赋能，不断提高经营管理效率，有效控制了广宣费及健康教育费等销售费用，2025H1销售费用率同比下降1.47pp。同时，公司受到汇率波动带来的汇兑损益变动影响，财务费用率同比下降0.56pp，期间费用率同比下降2.06pp。投资建议：公司作为我国眼科医疗服务龙头，业务范围覆盖眼健康全生命周期，品牌护城河深厚，后续有望深度受益于近视防控、老龄化眼病等需求增长，预计2025-2027年公司营收分别为228.83/251.17/275.25亿元，分别同比增长9.05%/9.76%/9.59%；归母净利润分别为37.33/42.17/47.55亿元，分别同比增长4.99%/12.96%/12.75%，EPS分别为0.40/0.45/0.51元，首次覆盖，给予“增持”评级。风险提示：行业竞争加剧，并购标的经营不及预期导致商誉减值，国,,财信证券,增持,[None],2025-09-02,,增持,6403641,pdf_downloads/2025/2025-09-02/300015-爱尔眼科（300015）：精细化管理成效显著，各类业务稳健增长.pdf,300015,爱尔眼科,爱尔眼科（300015）：精细化管理成效显著，各类业务稳健增长,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 37.33,
            ""eps"": 0.40,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 42.17,
            ""eps"": 0.45,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 47.55,
            ""eps"": 0.51,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.4,0.45,0.51,
"朱国广,冉胜男,苏丰","事件：公司发布2025年半年报，2025H1公司实现营收115.07亿元（+9.12%，同比，下同）,归母净利润20.51亿元（+0.05%），扣非归母净利润20.40亿元（+14.3%）。25Q2公司实现营收54.81亿元（+2.47%）,归母净利润10.01亿元（-12.97%），扣非归母净利润9.80亿元（+4.03%）。25H1经营数据：诊疗量快速增长，控费成效明显。2025H1，公司经营活动现金流净额34亿元（+20%）。销售毛利率下降0.88pct、销售费用率同比下降1.47pct、管理费用率持平，毛利率下降原因系24Q3收购医院毛利率较低、新建医院及屈光等设备升级带来折旧摊销增加、医保政策变化导致白内障等价格降低。2025H1门诊量924.8万人次（+16.47%），手术量87.9万例（+7.63%）。屈光/视光/白内障/眼前段/眼后段项目收入同比+11.14%/14.73%/2.64%/13.06%/9.02%，毛利率分别下降1.07/1.74/1.16/0.96/0.59pct。核心业务：屈光客单价回升，白内障集采影响消化。1）屈光业务：引进蔡司新一代设备VISUMAX800及微创手术SmilePro，客单价同比上升，扭转价格战倾向。2）老花手术布局：成已在多地开设老视门诊并将成立老视学组，借鉴欧洲和美国经验，可能是未来潜在革命性增长点。3）白内障业务：25H1靠手术量拉动增长。受医保DRG/DIP结算政策影响，25H1手术单价同比下降7.57%。另一方面晶体集采影响消化，预计下半年价格同比基本持平。4）全面加快AI+眼科应用布局，已整合28个高质量眼科专病数据集。组织架构调整，提高整体经营效率。2025年1月公司成立组织变革领导小组，推动专业化、年轻化团队建设，整合资源、提升效率。1）调整架构，优势省份带动发展；2）优化同城多院“各自为政”模式，转为以省区/城市为单位管理；3）CEO、业务院长等职位，培养任用年轻干部。盈利预测与投资评级：我们维持预计公司2025-2027年归母净利润为40.98/46.80/53.50亿元,，对应当前市值的PE为30/26/23倍。我们预计随着消费需求进一步释放，眼科医疗行业依然具备良好的发展空间，维持“买入”评级。风险提示：医院扩张或整合不及预期的风险，行业政策变化不确定性风 险。",,东吴证券,买入,[None],2025-09-01,,买入,6375986,pdf_downloads/2025/2025-09-01/300015-爱尔眼科（300015）：2025年中报点评：屈光客单提升，关注新术式推广、组织变革、海外发展.pdf,300015,爱尔眼科,爱尔眼科（300015）：2025年中报点评：屈光客单提升，关注新术式推广、组织变革、海外发展,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 40.98,
            ""eps"": null,
            ""pe"": 30
        },
        {
            ""year"": 2026,
            ""net_profit"": 46.80,
            ""eps"": null,
            ""pe"": 26
        },
        {
            ""year"": 2027,
            ""net_profit"": 53.50,
            ""eps"": null,
            ""pe"": 23
        }
    ]
}",,,30.0,26.0,23.0,,,,,,,
