author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title,extracted_forecasts,PE_2年前,PE_1年前,PE_当年,PE_明年,PE_后年,PE_大后年,EPS_2年前,EPS_1年前,EPS_当年,EPS_明年,EPS_后年,EPS_大后年
匡培钦,Q3大秦线运量同比+3.87%，成本高增导致利润承压事件：公司发布2025年三季度报告。2025年前三季度实现营业收入570.58亿元，同比+3.34%，归母净利润62.24亿元，同比-27.66%，扣非归母净利润61.89亿元，同比-27.80%。其中，25Q3实现营业收入197.73亿元，同比+6.26%，归母净利润21.09亿元，同比-23.01%，扣非归母净利润20.89亿元，同比-23.39%。点评：25Q3大秦线运输量同比+3.87%，成本高增导致毛利承压。一方面，前三季度公司核心资产大秦线累计完成货运量2.86亿吨，同比-0.20%，其中Q3完成货运量9714万吨，同比+3.87%，下半年大秦线运量稳步恢复，带动Q3公司营业收入197.73亿元，同比+6.26%；另一方面，公司基于长期发展战略考虑，非煤货物运输增多，叠加公司新推出物流辅助服务（门到门、站到门），目前仍处于让利引流阶段，综合导致成本大幅提升，Q3营业成本173.31亿元，同比+12.82%，受成本高增影响，Q3实现毛利24.42亿元，同比-24.79%。2025年中期红比例39.17%，分红政策稳健。根据公司《2023年-2025年股东分红回报规划》承诺除特殊情况外，公司每年应当采取现金方式分配股利，现金分红比例不低于当年归母净利润总额的55%，且在有条件的情况下可以进行中期利润分配；2025年半年度公司每股派发现金股利0.08 元（含税），合计约16.12亿元，分红比例约39.17%；分红政策维持稳健。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为72.05亿元、84.71亿元、94.19亿元，同比分别-20.29%、+17.57%、+11.19%。大秦铁路是国铁集团西煤东运的龙头企业，我们看好公司稳健的经营能力以及可观的股息回报，维持“增持”评级。风险因素：宏观经济波动导致煤炭需求不及预期；煤炭运输主要铁路干路运量增长不及预期；现金分红力度不及预期。,,信达证券,增持,[None],2025-10-30,,增持,7040653,pdf_downloads/2025/2025-10-30/601006-大秦铁路（601006）：2025年三季报点评：Q3大秦线运量同比+3.87%，成本高增导致利润承压.pdf,601006,大秦铁路,大秦铁路（601006）：2025年三季报点评：Q3大秦线运量同比+3.87%，成本高增导致利润承压,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 72.05,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 84.71,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 94.19,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"郑树明,霍泽嘉",2025年10月29日，大秦铁路发布2025年三季度报告。2025Q1-Q3公司实现营业收入570.6亿元，同比增长3.3%；实现归母净利润62.2亿元，同比下降27.7%。其中，3Q2025公司实现营业收入197.7亿元，同比增长6.3%；实现归母净利润21.1亿元，同比下降23.0%。煤炭发送量增长，公司营收同比增长。3Q2025公司营业收入同比增长6.3%，主要由于公司发送量增长所致；3Q2025公司核心路线大秦线发运量9714万吨，同比增长3.9%。公司煤炭发送量增长的原因是煤炭需求较好。国内经济复苏，叠加Q3高温天气，电厂用煤需求增长，煤炭进口同比下降，煤炭需求较好带动公司发运量同比增长。毛利率同比下降，费用率同比下降。3Q2025公司实现毛利率14.3%，同比下降5.1pct，主要或由于公司拓展非煤大宗市场，公司非煤货物发送量增加，货运服务费增加。费用率方面，3Q2025公司期间费用率为1.08%，同比下降0.43pct，其中，销售费用率为0.06%，同比下降0.06pct；管理费用率为0.94%，同比增长0.17pct，主要由于本期计提费用增加；财务费用率为0.08%，同比下降0.54pct，主要由于公司可转债转股及赎回，利息费用降低。公司投资收益为7.37亿元，同比下降1.2%。综合以上因素，3Q2025公司归母净利率为10.67%，同比下降4.05pct。9月大秦线货量同比增长，看好全年货量实现正增长。2025年1-9月，大秦线完成货物运输28587万吨，同比减少0.2%；其中9月运输量3305万吨，同比增长3.25%。我们看好下半年货量同比转正。由于山西省煤炭企业多为国企，存在生产任务指标。上半年煤炭行情承压下供需较弱，目前看反内卷政策下煤炭价格提升，煤炭企业或选择增产保障全年利润，大秦线货量有望实现全年正增长。考虑到运力不可储存性，下调2025-2027年归母净利预测至73.8亿元、98.7亿元、104.2亿元（原91.1亿元、98.3亿元、103.7亿元）。维持“买入”评级。煤源地政策风险、核心路产被分流风险、进口煤冲击风险、煤炭需求不及预期、铁路运量增长不及预期。,,国金证券,买入,[None],2025-10-30,,买入,7018067,pdf_downloads/2025/2025-10-30/601006-大秦铁路（601006）：运量承压业绩下滑，看好货量同比转正.pdf,601006,大秦铁路,大秦铁路（601006）：运量承压业绩下滑，看好货量同比转正,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 73.8,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 98.7,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 104.2,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"李蔚,李天琛",事件公司发布2025年半年报。2025H1，公司实现营业收入372.9亿元，同比增长1.9%，实现归母净利润41.1亿元，同比下降29.8%。其中2025Q2，公司实现营业收入194.8亿元，同比增长6.3%，实现归母净利润15.4亿元，同比下降45.2%。2025H1公司货运/客运收入同比-1.7%/+2.6%2025H1，公司煤炭发送量2.6亿吨，同比下降10.29%，公司核心经营资产大秦线货物运输量完成1.9亿吨，同比下降2.17%。主因：1）受新能源冲击以及地产下行、基建偏弱影响，主要耗煤行业产品产量的下降拖累煤炭需求；2）“供强需弱”带来的煤价下行影响企业发运积极性，同时煤炭高产弱销、库存高企一定程度上抑制铁路煤炭运输；3）运输竞争升级。2025H1，公司货运/客运业务分别实现收入260.86/50.37亿元，同比分别-1.71%/+2.55%。公司积极开拓非煤业务，带动货运服务费支出高增基于长期发展的战略考量，公司积极拓展非煤大宗市场，2025H1公司非煤货物发送量增加1921万吨。由于非煤货物到达地多为公司管外，货运服务费支出同比增长37.7%。2025H1，公司营业成本为320.71亿元，同比增加10.79%；毛利率为14.0%，同比下降6.9pct。公司实行中期分红，每股分红0.08元公司实行中期分红，每股派息0.08元（含税），分红总额为16.12亿元，分红率为39.17%。据公司公告，公司拟以集中竞价方式回购公司股份，预计回购金额为10-15亿元，回购股份数量约为1.22-1.83亿股，占总股本比例为0.61%-0.91%。盈利预测与投资建议考虑到公司业绩阶段性承压，我们预计公司2025-2027年营业收入分别为764.95/784.04/806.59亿元，同比增速分别为2.50%/2.49%/2.88%；归母净利润分别为65.04/74.06/85.06亿元，同比增速分别为-28.05%/13.86%/14.85%；EPS分别为0.32/0.37/0.42元。鉴于公司管辖煤炭运输核心铁路线路，同时维持稳健高分红政策，维持“增持”评级。风险提示：宏观经济增速放缓；运费水平下降。,,国联民生证券,增持,[None],2025-09-09,,增持,6408588,pdf_downloads/2025/2025-09-09/601006-大秦铁路（601006）：业绩阶段性承压，开辟非煤业务带动成本上升.pdf,601006,大秦铁路,大秦铁路（601006）：业绩阶段性承压，开辟非煤业务带动成本上升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 65.04,
            ""eps"": 0.32,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 74.06,
            ""eps"": 0.37,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 85.06,
            ""eps"": 0.42,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.32,0.37,0.42,
"沈晓峰,林霞颖",大秦铁路公布上半年业绩：收入373亿元（同比+1.9%）、归母净利41.15亿元（同比-29.8%）。其中Q1、Q2实现归母净利25.71亿元（同比-15.6%）、15.44亿元（同比-45.2%）。公司上半年业绩低于我们预期（55.04亿元），主要是货运服务费增长超预期。公司1H25业绩大幅下滑，可归因于：1）运量下降，上半年下游用煤需求偏弱叠加港口库存高企；2）结构调整影响，公司拓展非煤货物运输，因其目的地多为管外，使货运服务费支出增长较多；3）公司于25年新推出物流总包服务，业务处于市场培育、让利引流阶段。考虑7月至今煤炭价格底部反弹，上游景气度边际回升，维持“增持”。1Q用煤需求偏弱，2Q大秦线运量在低基数上恢复大秦铁路1Q货运量同比下滑5.6%，但2Q在低基数上同比增长1.4%。1Q运量下降主因：冬季气温偏高，下游煤炭库存去化较慢。2Q运量增长主因：去年“三超”整治使山西煤炭减产，今年在低基数上有所恢复。需求端看，尽管1H25总发电量同比+0.8%，但核电/风电/太阳能发电量增长冲击下，火电发电量同比下降2.4%。供给端看，1H25大秦线货源地山西/内蒙古/陕西的原煤产量同比增长10.1%/0.7%/3.3%。竞争方面，进口煤价格倒挂使1H25数量同比减少11.2%。参股项目中，1H25朔黄铁路投资收益同比+5.7%（修理费下降）；浩吉铁路投资收益同比-10%（需求偏弱）。开拓新业务与非煤品，短期使成本上涨较多铁路货运行业正在向全品类、全过程的现代物流转型升级。1H25公司非煤货物运量同比增长1921万吨。公司成立大同、太原物流中心并且新推出门到站、站到门的物流辅助服务。成本端看，1H25人员费用、货运服务费同比增长2.3%、38%，占主营业务成本的31%、31%。由于非煤货物运输主要目的地为管外，以及新增物流辅助服务两端作业部分在管外，使货运服务费增长较多。综上，公司在大宗商品价格低谷期积极开拓物流总包服务与非煤大宗品运输，市场培育阶段的让利引流对短期盈利产生较大拖累。中期分红比例持平，首次发布股票回购方案期间费用方面，公司1H25财务费用同比下降2.75亿元，主因本期可转债转股及赎回使利息费用降低。不过，公司拟与太原局重签土地转让协议（8/29公告），交易金额257亿元。交易完成后，我们预计26年起利息收入相应减少约4亿元/年。公司拟派发25年中期股息0.08元/股（含税），对应分红比例为39.17%（与1H24分红比例40.24%相近），中期分红对应股息率1.3%。公司亦首次发布股票回购方案，计划以自有资金回购10-15亿元股票用于注销并减少注册资本，回购规模对应市值体量为0.8-1.2%。盈利预测与估值公司25年6月末预收运费同比下降21%，较今年年初下降12%，反映3Q运煤需求偏弱。考虑行业需求偏弱、公司开拓新业务与非煤品对盈利的影响，我们下调2025-27年大秦线运量至3.9/4.0/4.1亿吨（前值4.1/4.2/4.3亿吨），下调2025-27年归母净利33%/25%/17%%至64.9/73.5/83.7亿元。运煤需求景气度处于历史较低水平，我们基于2025E BPS 8.32元与0.79x PB（2020-2024年均值减去0.5x 标准差）得出目标价6.57元。前次目标价6.98元基于14.6x 2025E PE。公司承诺2023-2025年分红比例不低于归母净利润的55%。据此，我们测算2025-27年度股息率为2.9%/3.3%/3.8%。风险提示：煤炭需求持续低迷，朔黄/浩吉/唐包/瓦日铁路分流运量，铁路运费下调，进口煤大幅增长，开拓物流总包服务与非煤运输不及预期。,,华泰证券,增持,[None],2025-08-31,,增持,6371606,pdf_downloads/2025/2025-08-31/601006-大秦铁路（601006）：开拓新业务+非煤品，成本大幅上涨.pdf,601006,大秦铁路,大秦铁路（601006）：开拓新业务+非煤品，成本大幅上涨,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 64.9,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 73.5,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 83.7,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
匡培钦,事件：公司发布2025年半年度报告。2025年上半年实现营业收入372.86亿元，同比+1.86%，归母净利润41.15亿元，同比-29.82%，扣非归母净利润40.99亿元，同比-29.87%。25Q2实现营业收入194.85亿元，同比+6.25%，归母净利润15.44亿元，同比-45.20%，扣非归母净利润15.37亿元，同比-45.18%。点评：25H1年煤炭发送量同比-10.29%，煤炭运输需求承压。1）货运业务方面：25H1收入260.86亿元，同比-1.71%，占主营业务收入的70.92%；从发送量来看，上半年公司完成货物发送量3.28亿吨，同比-3.21%，其中煤炭发送量2.62亿吨，同比-10.29%，煤炭发送量占比约80.01%；煤炭发送量承压，其一受新能源等冲击影响，25H1火电发电量同比-2.4%，其二受地产及基建偏弱影响，25H1粗钢及水泥产量分别同比-3.0%和-4.3%，拖累煤炭需求，其三受“供强需弱”影响煤价下行，抑制煤炭运输。2）客运业务方面：25H1收入50.37亿元，同比+2.55%，旅客发送量2356万人，同比+0.30%。大秦线运量边际改善，非煤货物运输及物流辅助服务导致成本高增。一方面，公司核心资产大秦线完成货运量1.89亿吨，同比-2.17%，分月度来看，6月、7月大秦线运量分别同比+5.29%、+5.40%，月度运量降幅有所收窄，看好下半年运量恢复。另一方面，公司基于长期发展战略考虑，非煤货物运输增多，25H1非煤货物发送量增加1921万吨，货运服务费同比+37.69%，叠加公司新推出物流辅助服务（门到门、站到门），目前仍处于让利引流阶段，综合导致成本大幅提升，25H1营业成本同比+10.79%。2025年中期红比例39.17%，分红政策稳健。公司2025年半年度拟每股派发现金股利0.08 元（含税），合计约16.12亿元，分红比例约39.17%；根据公司《2023年-2025年股东分红回报规划》承诺除特殊情况外，公司每年应当采取现金方式分配股利，现金分红比例不低于当年归母净利润总额的55%，且在有条件的情况下可以进行中期利润分配，分红政策维持稳健。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为90.53亿元、100.63亿元、108.09亿元，同比分别增长0.15%、11.16%、7.41%。大秦铁路是国铁集团西煤东运的龙头企业，我们看好公司稳健的经营能力以及可观的股息回报，维持“增持”评级。风险因素：宏观经济波动导致煤炭需求不及预期；煤炭运输主要铁路干路运量增长不及预期；现金分红力度不及预期。,,信达证券,增持,[None],2025-08-29,,增持,6367227,pdf_downloads/2025/2025-08-29/601006-大秦铁路（601006）：2025年半年报点评：煤炭需求承压叠加成本高增，25H1业绩承压.pdf,601006,大秦铁路,大秦铁路（601006）：2025年半年报点评：煤炭需求承压叠加成本高增，25H1业绩承压,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 90.53,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 100.63,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 108.09,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
"郑树明,霍泽嘉",2025年8月28日，大秦铁路发布2025年半年度报告。1H2025年公司实现营业收入372.9亿元，同比增长1.9%；实现归母净利润41.1亿元，同比下降29.8%。其中，2Q2025公司实现营业收入194.8亿元，同比增长6.3%；实现归母净利润15.4亿元，同比下降45.2%。煤炭发送量下降，公司归母净利润同比下滑。1H2025年公司营业收入同比增长1.9%，主要由于客运量增长和提供服务收入增加； 公司归母净利润同比下降29.8%，主要系公司发送量同比下降。公司煤炭发送量2.6亿吨（-10.3%）；核心路线大秦线发运量1.89亿吨（-2.2%）。公司煤炭发送量下滑的原因包括：1）煤炭需求偏弱。国内经济复苏、结构调整，叠加风光核等新能源冲击影响，火电同比负增长，1H2025火电发电量同比下降2.4%；2）集疏制约运输。煤炭进口同比虽有下降，但整体偏高，煤炭高产弱销、库存高企，抑制铁路煤炭运输。毛利率同比下降，费用率同比下降。1H2025年公司实现毛利率14.0%，同比下降6.93pct，主要由于公司拓展非煤大宗市场，公司非煤货物发送量增加1921万吨，货运服务费增加。费用率方面，1H2025年公司期间费用率为0.49%，同比下降0.63pct，其中，销售费用率为0.06%，同比下降0.14pct；管理费用率为0.96，同比增长0.25pct，主要由于本期计提费用增加；财务费用率为-0.53%，同比下降0.74pct，主要由于公司可转债转股及赎回，利息费用降低。公司投资收益为14.3亿元，同比增长0.1%。综合以上因素，1H2025公司归母净利率为11.04%，同比下降4.98pct。7月大秦线货量同比增长，看好全年货量实现正增长。2025年1-7月，大秦线完成货物运输22052万吨，同比减少1.2%；其中7月运输量3179万吨，同比增长5.4%。我们看好下半年货量同比转正。由于山西省煤炭企业多为国企，存在生产任务指标。上半年煤炭行情承压下供需较弱，目前看反内卷政策下煤炭价格提升，煤炭企业或选择增产保障全年利润，大秦线货量有望实现全年正增长。考虑到运力不可储存性，下调2025-2027年归母净利预测至91.1亿元、98.3亿元、103.7亿元（原110.8亿元、114.7亿元、120.5亿元）。维持“买入”评级。煤源地政策风险、核心路产被分流风险、进口煤冲击风险、煤炭需求不及预期、铁路运量增长不及预期。,,国金证券,买入,[None],2025-08-28,,买入,6383135,pdf_downloads/2025/2025-08-28/601006-大秦铁路（601006）：运量承压业绩下滑，看好货量同比转正.pdf,601006,大秦铁路,大秦铁路（601006）：运量承压业绩下滑，看好货量同比转正,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 91.1,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 98.3,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 103.7,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
程志峰,事件近期，大秦铁路披露2024年报。本报告期内，实现营业总收入746.27亿，同比减-7.89%；归母净利90.39亿，同比减-24.23%；扣非归母净利90.36亿，同比减-24.44%；基本每股收益0.51元，加权ROE为6.1%，经营活动产生的现金流量净额为93.17亿元。分红政策，公司24年拟派发现金股息约51.8亿人民币，全年分红2次，约占当年度净利比例的57.3%；每股分红2次累计0.269元（含税）;若以年报披露日A股收盘价计算，2次分红累计股息率约为4.2%。2025年Q1业绩，营收178.01亿，同比减-2.56%，扣非归母净利润增25.63亿，同比减-15.76%。点评公司是以货物运输为主的综合性铁路运输企业。24年货运营收534亿，营收贡献占比为71.6%；另有客运营收占比13.4%；公司全年货物发送量7.1亿吨，占全国铁路货运总发送量51.7亿吨的13.7%。其中煤炭为5.9亿吨，占全国铁路煤炭发送量的20.9%；故，煤炭市场供需状况与公司业务经营相关度较高。24年公司完成货物发送量，同比下降-2.7%；其中，核心经营资产大秦线完成货运量，同比下降-7.1%，此举对年度业绩造成影响。煤炭发送量下降的主要原因：一是上游货源受限，二是进口煤炭冲击，三是国内能源结构变化。公司为长远布局，已先后参股朔黄公司和浩吉铁路。投资评级近几年因煤炭需求的周期性波动，导致铁路运输需求不可避免的跟随波动。例如今年7月底的迎峰度夏，公司日均运煤超100万吨。故，我们对未来运输需求的波动性，持谨慎态度，维持公司“增持”评级。风险提示宏观经济波动风险；对主要客户依赖的风险；业务经营风险；,,太平洋证券,增持,[None],2025-07-30,,增持,6259616,pdf_downloads/2025/2025-07-30/601006-大秦铁路（601006）：25Q1 点评，迎峰度夏，煤价反弹带来运输量回升.pdf,601006,大秦铁路,大秦铁路（601006）：25Q1 点评，迎峰度夏，煤价反弹带来运输量回升,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": null,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
李蔚,事件公司发布2024年年报及2025年一季报。2024年，公司实现营业收入746.27亿元，同比下降7.89%，实现归母净利润90.39亿元，同比下降24.23%。2025Q1，公司实现营业收入178.01亿元，同比下降2.56%，实现归母净利润25.71亿元，同比下降15.61%。2024年，公司每股派息0.27元（含税），分红率为57.31%。2024年公司货运/客运收入同比-13%/+12%2024年，公司煤炭发送量5.9亿吨，同比下降5.1%，主因：1）受“三超一隐”整治、环保安监加码等因素影响，公司主要货源地山西省煤炭出现减产；2）2024年进口煤炭延续高位增长态势，对大秦线铁水联运煤炭需求形成替代；3）国内清洁能源发电对火力发电替代效应进一步增强。2024年公司货运业务实现收入534.41亿元，同比下降12.73%。2024年，公司发运旅客4641万人，同比增长8.3%，客运收入实现100.10亿元，同比增长12.23%。2025Q1大秦线货量下滑5.6%，降幅有所收窄2025Q1，大秦线累计完成货物运输量9272万吨，同比下降5.62%，降幅有所收窄。公司预计2025年旅客发送量4500万人；货物发送量7.1亿吨；换算周转量3700亿吨公里。其中，大秦线货物运输量4亿吨。2025年营业收入预算为780亿元。盈利预测与投资建议考虑到煤炭需求相对较弱，我们预计公司2025-2027年营业收入分别为764.95/784.04/806.59亿元，同比增速分别为2.50%/2.49%/2.88%；归母净利润分别为96.12/98.59/100.88亿元，同比增速分别为6.33%/2.57%/2.32%；EPS分别为0.48/0.49/0.50元。鉴于公司管辖煤炭运输核心铁路线路，同时维持稳健高分红政策，维持“增持”评级。风险提示：宏观经济增速放缓；运费水平下降。,,国联民生证券,增持,[None],2025-05-12,,增持,6632705,pdf_downloads/2025/2025-05-12/601006-大秦铁路（601006）：业绩略低于预期，货运运量下滑.pdf,601006,大秦铁路,大秦铁路（601006）：业绩略低于预期，货运运量下滑,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 96.12,
            ""eps"": 0.48,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 98.59,
            ""eps"": 0.49,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 100.88,
            ""eps"": 0.50,
            ""pe"": null
        }
    ]
}",,,,,,,,,0.48,0.49,0.5,
"吴一凡,梁婉怡,吴晨玥,霍鹏浩,卢浩敏","公司发布 2024 年报及 2025 年一季报：1）2024 年，公司实现营业收入 746.27
亿元，同比下滑 7.89%，归母净利润 90.39 亿元，同比下滑 24.23%，扣非净利
润 90.36 亿元，同比下滑 24.44%。2025 年 Q1，公司实现营业收入 178.01 亿
元，同比下滑 2.56%，归母净利润 25.71 亿元，同比下滑 15.61%，扣非净利润
25.63 亿元，同比下滑 15.76%。2）分季度看：2024Q1、Q2、Q3、Q4 分别实
现归母净利润 30.46、28.17、27.4、4.36 亿元，同比-16.65%、-27.44%、-23.34%、
-46.72%；扣非净利润 30.42、28.03、27.27、4.64 亿元，同比-16.85%、-27.96%、
-24.09%、-43.15%。3）经营效率：2024 年销售毛利率 15.3%，同比减少 5.36
个百分点，销售净利率 13.77%，同比减少 2.96 个百分点；2025 年 Q1，销售
毛利率 16.29%，同比减少 4.94 个百分点，销售净利率 15.99%，同比下滑 2.64
个百分点。4）分红：2024 年度公司现金分红总额为 51.8 亿元，现金分红比例
为 57.31%，对应 2025/5/9 收盘价股息率 4.1%。货运业务承压。货运业务是公司业务收入的主要来源，2024 年货运业务实现
营收 534.41 亿元，同比下降 12.73%，占公司主营业务收入的 72.88%。2024
年，公司完成货物发送量 70,622 万吨，同比下降 2.7%；完成换算周转量 3,685
亿吨公里，同比下降 6.3%。日均装车 29,350 车，日均卸车 23,703 车，货车周
转时间 2.3 天，静载重 71.6 吨。核心经营资产大秦线完成货运量 39,215 万吨，
同比下降 7.1%。日均开行重车 77 列。其中，2 万吨 52.8 列。公司货运业绩下
降主要原因为上游货源受限，2024 年山西省原煤产量减产 1.1 亿吨；进口煤炭
冲击，全年煤炭进口量 5.4 亿吨，同比增长 14.4%；以及能源结构变化。2025
年 Q1，大秦线累计完成货物运输量 9,272 万吨，同比减少 5.62%，降幅收窄。客运业务保持较好增长。2024 年公司客运业务实现营收 100.1 亿元，同比增长
12.23%，占公司主营业务收入的 13.65%。2024 年，公司发运旅客 4,641 万人，
同比增长 8.3%。投资建议：1）盈利预测：25 年 4 月大秦线运量同比实现增长 0.99%，摆脱此
前下行，但 1-4 月仍累计下降 4.1%，我们调整 2025-26 年盈利预测至 99.52、
103.36 亿元（原预测值 111.89、115.92 亿元），新增 2027 年盈利预测 104.26 亿
元，对应 25-27 年 EPS 分别为 0.49、0.51 和 0.52 元，PE 分别为 13、13 和 13
倍。2）投资建议：破净的高股息标的，配置价值明显。a）公司核心路产大秦
线在国家“西煤东运”“北煤南运”能源运输体系中居于重要地位，我国煤炭
生产重心加快向“三西”地区集中，使得公司区位优势更加凸显。b）国家“调
整运输结构”的目标任务仍在延续推进，公司经营地域内“公转铁”仍有较大
空间。c）公司持续高分红，2024 年分红比例 57.31%，假设维持，以 25 年盈
利预测对应股息率 4.3%。维持此前估值方法，即我们认为公司至少应回归 1
倍 PB 或以上，对应目标价 7.7 元，预期较当前 16%空间，强调“推荐”评级。风险提示：经济大幅下滑，运量不及预期。",,华创证券,推荐,[None],2025-05-11,,增持,6049202,pdf_downloads/2025/2025-05-11/601006-大秦铁路（601006）：2024年报及2025年一季报点评：煤炭运量承压致业绩下滑，4月大秦线运量转正，持续看好公司核心资产价值.pdf,601006,大秦铁路,大秦铁路（601006）：2024年报及2025年一季报点评：煤炭运量承压致业绩下滑，4月大秦线运量转正，持续看好公司核心资产价值,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 99.52,
            ""eps"": 0.49,
            ""pe"": 13
        },
        {
            ""year"": 2026,
            ""net_profit"": 103.36,
            ""eps"": 0.51,
            ""pe"": 13
        },
        {
            ""year"": 2027,
            ""net_profit"": 104.26,
            ""eps"": 0.52,
            ""pe"": 13
        }
    ]
}",,,13.0,13.0,13.0,,,,0.49,0.51,0.52,
匡培钦,"大秦铁路(601006)事件：公司发布2024年报及2025年一季报。2024年实现营业收入746.27亿元，同比-7.89%，归母净利润90.39亿元，同比-24.23%，扣非归母净利润90.36亿元，同比-24.44%。25Q1实现营业收入178.01亿元，同比-2.56%，归母净利润25.71亿元，同比-15.61%，扣非归母净利润25.63亿元，同比-15.76%。点评：2024年煤炭发送量同比-5.1%，旅客发送量同比+8.3%。2024年公司货运业务收入534.41亿元，同比-12.73%，货物发送量70,622万吨，同比-2.7%，煤炭发送量58,907万吨，同比-5.1%，煤炭发送量占货物发送总量的83.4%；大秦线完成货运量39,215万吨，同比-7.1%，煤炭发送量下降，主要受上游货源受限、进口煤炭冲击、能源结构变化等因素影响；客运业务收入100.10亿元，同比+12.23%，旅客发送量4,641万人，同比+8.3%。25Q1大秦线运量同比-5.62%，看好2025年货量恢复。25Q1全国铁路货运量同比+0.99%，大秦线累计运量9272万吨，同比-5.62%，一方面，受暖冬气温偏高及下游高库存影响，煤炭需求偏弱，另一方面，去年同期陕西省煤炭安监，25Q1供给端有所好转，3月大秦线运量边际改善，降幅有所收窄。公司2025年计划大秦线货物运输量4亿吨，全年营收预算780亿元，看好2025年运量恢复带动业绩增长。2024年合计分红比例57.31%，分红政策稳健。公司拟派发2024年末期每股现金股利0.14元（含税），合计28.21亿元，结合中期现金分红23.60亿元，24年度合计现金分红51.80亿元，分红比例约57.31%；根据公司《2023年-2025年股东分红回报规划》承诺除特殊情况外，公司每年应当采取现金方式分配股利，现金分红比例不低于当年归母净利润总额的55%，且在有条件的情况下可以进行中期利润分配，分红政策维持稳健。盈利预测与投资评级：我们预计公司2025-2027年归母净利润分别为102.77亿元、106.79亿元、110.91亿元，同比分别增长13.69%、3.91%、3.87%。大秦铁路是国铁集团西煤东运的龙头企业，我们看好公司稳健的经营能力以及可观的股息回报，维持“增持”评级。风险因素：宏观经济波动导致煤炭需求不及预期；煤炭运输主要铁路干路运量增长不及预期；现金分红力度不及预期。",,信达证券,增持,[None],2025-04-30,,增持,6035865,pdf_downloads/2025/2025-04-30/601006-大秦铁路（601006）：山西煤炭减产拖累短期利润，静待运量回升带动业绩回归.pdf,601006,大秦铁路,大秦铁路（601006）：山西煤炭减产拖累短期利润，静待运量回升带动业绩回归,"{
    ""forecasts"": [
        {
            ""year"": 2025,
            ""net_profit"": 102.77,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2026,
            ""net_profit"": 106.79,
            ""eps"": null,
            ""pe"": null
        },
        {
            ""year"": 2027,
            ""net_profit"": 110.91,
            ""eps"": null,
            ""pe"": null
        }
    ]
}",,,,,,,,,,,,
