author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"刘红光,胡晓艺",事件：2025年10月25日，海油工程发布2025年三季度报告，2025前三季度，公司实现营业收入176.61亿元，同比下降13.54%；归母净利润为16.05亿元，同比下降8.01%；扣非后归母净利润为14.04亿元，同比上涨7.59%；基本每股收益0.36元，同比下降7.69%。2025年第三季度，公司单季度营业收入63.43亿元，同比下降9.34%，环比上涨2%；单季度归母净利润5.07亿元，同比下降7.55%，环比下降9.13%；单季度扣非后净利润4.44亿元，同比下降4.68%，环比下降8.01%。点评：Q3公司毛利率同环比下降，净利率同比提升。2025Q3，公司毛利率为11.03%，环比-5.3pct，同比-2.56pct；公司净利率为8.28%，环比-0.97pct，同比+0.62pct。Q3公司净利率同比提升主要原因是其他收益同比增加1.15亿元，我们推测主要是2025年消费税退税。我们认为，Q3单季公司毛利率下滑，可能是受台风影响以及项目执行节奏影响导致工作量阶段性下滑所致，Q3公司钢材加工量、海上作业投入船天分别为6.79万吨、0.64万天，分别同比-19.83%、-28.09%。Q3中标中东大订单，在手订单创历史新高。25Q3公司实现新合同承揽额251.72亿元，同比+522%，环比+196%，其中25年8月公司成功中标卡塔尔BH-EPIC1和BH-EPIC2，合同总金额约40亿美元，25年10月合同开始生效，工期在5-6年。25年10月，公司与泰国PTTEP签订约8亿美元工作包合同，工期约4年。截至Q3期末，公司在手订单总额595亿元，创近10年历史新高。盈利预测与投资评级：我们预测公司2025-2027年归母净利润分别为22.13、24.11和24.82亿元，同比增速分别为2.4%、9.0%、2.9%，EPS（摊薄）分别为0.50、0.55和0.56元/股，按照2025年10月27日收盘价对应的PE分别为11.19、10.27和9.98倍。我们认为，公司未来有望受益于中海油高水平资本开支和海外市场扩展，2025-2027年公司业绩或将持续增长，维持“买入”评级。风险因素：宏观经济波动和油价下行风险；需求恢复不及预期风险；上游资本开支不及预期风险；地缘政治风险；汇率波动风险。,,信达证券,买入,[None],2025-10-27,,买入,6851002,pdf_downloads/2025/2025-10-27/600583-海油工程（600583）：Q3公司获中东大单，在手订单创新高.pdf,600583,海油工程,海油工程（600583）：Q3公司获中东大单，在手订单创新高
"刘红光,胡晓艺",事件：2025年8月15日，海油工程发布2025半年度报告，2025上半年，公司实现营业收入113.18亿元，同比下降15.72%；归母净利润为10.98亿元，同比下降8.21%；扣非后归母净利润为9.60亿元，同比上涨14.41%；基本每股收益0.25元，同比下降7.41%。2025年第二季度，公司单季度营业收入62.22亿元，同比下降19.80%，环比上涨22%；单季度归母净利润5.57亿元，同比下降22.74%，环比上涨3%；单季度扣非后归母净利润4.83亿元，同比上涨10%，环比上涨1%。点评：第二季度公司毛利率创新高。2025Q2，公司毛利率为16.33%，环比+0.18pct，同比+4.84pct，继续创2020年本轮油价周期以来新高，我们认为，随着公司持续降本增效以及海外高质量合同进入执行期，公司盈利能力不断改善。公司净利率同环比均出现不同程度下降，主要原因考虑：1）其他收益方面，上年同期消费税退税2.33亿元，本年消费税退税预计三季度实现，是公司Q2同比净利润下滑的主要原因。2）研发费用方面，包括水下生产系统、深水浮式生产装备等领域关键核心研究导致Q2研发费用环比+0.76亿元。3）税金方面，因出口额增加导致免抵税额产生的附加税同比+0.29亿元，环比+0.36亿元。另外，海油工程沙特子公司上半年实现净利润-1.37亿元，同比减少（上年同期0.07亿元），主要是该公司执行的工作范围内成本超支。公司陆上工作量明显下降，在手订单充足。2025Q2公司整体作业量阶段性有所下降，导致公司营收同比下滑。其中钢材加工量、海上作业投入船天分别为7.98万吨、0.55万天，分别同比-41.02%、-16.67%。25Q2公司实现新合同承揽额85.05亿元，同比+42%，其中海外新签主要包括伊拉克米桑油田ESD系统升级改造项目等，截至Q2期末，公司在手订单总额约为407亿元，依然保持充足状态。盈利预测与投资评级：我们预测公司2025-2027年归母净利润分别为23.85、25.25和26.01亿元，同比增速分别为10.3%、5.9%、3.0%，EPS（摊薄）分别为0.54、0.57和0.59元/股，按照2025年8月15日收盘价对应的PE分别为10.68、10.08和9.79倍。我们认为，公司未来有望受益于中海油高水平资本开支和行业景气度良好，2025-2027年公司业绩或将持续增长，维持“买入”评级。风险因素：宏观经济波动和油价下行风险；需求恢复不及预期风险；上游资本开支不及预期风险；地缘政治风险；汇率波动风险。,,信达证券,买入,[None],2025-08-18,,买入,6320207,pdf_downloads/2025/2025-08-18/600583-海油工程（600583）：Q2毛利率创新高，在手订单充足.pdf,600583,海油工程,海油工程（600583）：Q2毛利率创新高，在手订单充足
"左前明,胡晓艺",事件：2025年4月25日，海油工程发布2025年一季度报告，2025年第一季度，公司单季度营业收入50.96亿元，同比下降10%，环比下降46.5%；单季度归母净利润5.41亿元，同比上涨14%，环比上涨30%；单季度扣非后净利润4.77亿元，同比上涨19%，环比下降5%；基本每股收益0.12元，同比上涨9%，环比上涨20%。点评：2025Q1公司利润率保持提升。2025Q1，公司毛利率为16.15%，环比+2.76pct，同比+6.24pct；公司净利率为10.76%，环比+6.31pct，同比+2.26pct，创2020年本轮油价周期以来新高，我们认为，随着公司持续降本增效以及海外高质量合同进入执行期，公司盈利能力不断改善。海上安装工作量仍同比保持较高水平。25Q1公司运行项目69个，其中完工4个项目，总运营项目数量较24Q1增加6个。钢材加工量、海上作业投入船天分别为10.97万吨、0.59万天，分别同比-19.34%、+22.92%，环比+12.05%、-29.76%。本季度内，公司海外卡塔尔NFPS EPC2、ISND 5-2、RUYA EPCI 09工程，以及乌干达Kingfisher工程稳步推进。公司在手订单充足。25Q1公司实现承揽额35.63亿元，同比-45%，我们认为主要和国内中海油订单释放节奏有关。Q1国内主要承揽的是蓬莱19-3油田1/2/3/8/9区二次调整、东方13-3气田开发、垦利10-2油田开发等工程，海外承揽项目主要包括道达尔ALK海管更换、壳牌HI井口平台EPF工作包等工程。截至25Q1期末，公司在手订单总额约为384亿元。盈利预测与投资评级：我们预测公司2025-2027年归母净利润分别为25.47、27.94和30.10亿元，同比增速分别为17.8%、9.7%、7.7%，EPS（摊薄）分别为0.58、0.63和0.68元/股，按照2025年4月25日收盘价对应的PE分别为9.50、8.66和8.04倍。我们认为，公司未来有望受益于中海油高水平资本开支和行业景气度良好，2025-2027年公司业绩或将持续增长，维持 “买入”评级。风险因素：宏观经济波动和油价下行风险；需求恢复不及预期风险；上游资本开支不及预期风险；地缘政治风险；汇率波动风险。,,信达证券,买入,[None],2025-04-28,,买入,6027505,pdf_downloads/2025/2025-04-28/600583-海油工程（600583）：25Q1利润率创新高，公司业绩保持增长.pdf,600583,海油工程,海油工程（600583）：25Q1利润率创新高，公司业绩保持增长
"陈淑娴,周少玟",事件：2025年3月中旬，《2025年政府工作报告》首次将“深海科技”纳入新质生产力培育方向，明确提出推动其与商业航天、低空经济等新兴产业“安全健康发展”。2024年公司归母净利润同比+33%，利润率同比改善：2024年，公司实现营业总收入299.5亿元（同比-2.6%）；实现归母净利润21.6亿元(同比+33.4%)。其中2024Q4，公司实现营业总收入95.3亿元（同比-2.7%，环比+36.2%）；实现归母净利润4.2亿元（同比+68.1%，环比-23.9%）。2024年工作量饱满，在建项目稳步推进：截至2024年底，公司积极推进国内外油气工程建设，共运行规模以上项目73个；完成了46座导管架和34座组块的陆上建造、39座导管架和30座组块的海上安装、373公里海底管线和167公里海底电缆铺设；建造业务完成钢材加工量45万吨，同比-4%；安装等海上作业投入2.87万船天，同比+16%。1）国内方面：圆满交付亚洲第一深水导管架—“海基二号”，刷新作业水深、高度、重量等多项亚洲纪录；顺利交付亚洲首艘圆筒型“海上油气加工厂”—“海葵一号”。2）国外方面：高质量完成沙特阿美马赞油气集输平台建造；提前33天交付加拿大长湖西北工程，展现了“国内制造、海外总装集成”的效率优势，助力陆地油田工程总承包能力迈上新台阶；全球最大在建浮式生产储卸油装置上部组块巴西FPSO P79工程模块全部交付。市场开拓顺利，拓展陆上炼化一体化、油气终端等业务：截至2024年底，公司新签合同金额302亿元（同比-11%），其中国内新签合同额192亿元，境外新签合同额110亿元。截至2024年底，公司在手订单约400亿元。1）国内方面：新承揽的业务以传统油气工程为主，主要包括渤中26-6油田开发、西湖区域天然气外输与终端设施能力提升等。2）国外方面：深化国际工程总承包商身份转型，成功与壳牌签订企业框架合作协议，与沙特阿美续签长期合作协议。中海油海上油气资本开支维持高位，公司直接受益：2025年中海油计划资本支出总预算为1250-1350亿元，其中，勘探、开发、生产资本化支出预计分别占16%、61%、20%；中国、海外预计分别占68%、32%。中海油保持稳健的资本开支水平，将增加海上工作量，有利于增厚公司业绩。盈利预测与投资评级：基于公司项目开展情况，以及公司工作量大幅增加，我们调整公司2025-2026年归母净利润分别至23.9、27.5亿元（此前为23、27.5亿元），新增2027年归母净利润预测值为30.2亿元。按2025年3月21日收盘价，对应PE分别11、10、9倍。考虑中高油价背景，叠加深海科技蓬勃发展，油服工程行业持续高景气，维持“买入”评级。风险提示：宏观经济波动风险；国际油价剧烈波动风险；汇率波动风险；上游资本开支不及预期；油气田开发项目进度不及预期。,,东吴证券,买入,[None],2025-03-23,,买入,5959084,pdf_downloads/2025/2025-03-23/600583-海油工程（600583）：深海科技建设者，订单充沛未来可期.pdf,600583,海油工程,海油工程（600583）：深海科技建设者，订单充沛未来可期
"白竣天,王亮",事件：2025年3月17日，海油工程发布2024年度报告，公司实现营业收入299.54亿元，同比下降2.59%；实现归属于母公司股东的净利润21.61亿元，同比上涨33.38%；实现扣除非经常性损益后的归属于母公司股东的净利润18.09 亿元，同比上涨46.2%。截至2023年12月底，公司总资产为432.52亿元，归属于上市公司股东的净资产为247.95亿元，资产负债率为38.09%。2024年公司作业量同比大幅增长，分包费和材料费显著下降，使得利润增长显著。2024年公司投入船天2.87万天，同比增长15.73%；陆地建造完成导管架46座，同比增长100%，建造组块34座，同比增长62%；海上安装完成导管架39座，同比增长95%，安装组块30座，同比增长43%。2024年公司陆地建造工程分包费为98.45亿元，同比下降8.27%；油气工程中的材料费为68亿元，同比下降18.07%。2024年公司毛利率增长。2024年公司完成钢材加工量45.39万吨，同比小幅下降3.83%；实现营业收入299.54亿元，同比下降2.59%；实现归属于母公司股东的净利润21.61亿元，同比上涨33.38%；2024年公司毛利率由2023年的10.75%增长到12.28%，连续第二年增长。2024年公司海洋工程行业毛利率由2023年的8.9%增长到11.9%；非海洋工程行业毛利率维持在15.6%的水平。2024年公司境内业务毛利率为13.04%，比去年增加3.6个百分点；境外业务毛利率为9.1%，并去年减少7.05个百分点。2025年公司业绩有望延续增长。2024年公司期末在手订单为400亿元，为10年来最高值。2024年四季度，公司新签合同额达到135亿元，为9年来单季度最高水平。公司在手订单创新高及单季度新签合同额的大幅增长将给予公司2025年的业绩增长动力。投资建议：公司净利润连续5年增长，2024年在手订单和四季度新签合同额也创近年来新高。我们预计公司2025-2027年EPS分别为0.55/0.59/0.64元，给予买入评级。风险提示：1、全球宏观经济环境大幅变化；2、地缘形势变化等不可抗力风险；3、原材来价格大幅变化；4、项目建设进度不及预期等。5、国际油价大幅下行。,,太平洋证券,买入,[None],2025-03-20,,买入,5958806,pdf_downloads/2025/2025-03-20/600583-海油工程（600583）：24年利润加速增长，在手订单创新高.pdf,600583,海油工程,海油工程（600583）：24年利润加速增长，在手订单创新高
"邰桂龙,杨云杰",事件：公司发布2024年年报，2024年实现营收299.5亿元，同比减少2.6%；实现归母净利润21.6亿元，同比增长33.4%；实现扣非归母净利润18.1亿元，同比增长46.2%。Q4单季度来看，实现营收95.3亿元，同比减少2.7%，环比增长36.2%；实现归母净利润4.2亿元，同比增长68.1%，环比减少23.9%。2024年利润端实现高速增长。市场拓展顺利，订单充沛支撑后续发展。2024年，公司实现市场承揽额302.4亿元，在手订单约400亿元，公司深耕国际市场，持续加强能力建设，深化国际工程总承包商身份转型，成功与壳牌签订企业框架合作协议，与沙特阿美续签长期合作协议，开启国际化发展新局面。工作量方面，公司全年累计实施规模以上工程73个，其中年内完工34个。完成钢材加工量45.4万吨，继续保持高位，投入船天2.9万天，同比增长15.7%，陆地建造完成导管架46座、组块34座，海上安装完成导管架39座、组块30座、铺设海底管线373公里，海底电缆167公里。盈利能力提升显著，研发投入维持高水平。2024年，公司期间费用率为4.9%，同比+0.1pp；Q4单季度期间费用率为6.8%，同比+1.9pp，环比+0.8pp，同比增长较明显主要系本季度研发投入较多，研发费用率同比+2.3pp。2024年，公司毛利率、净利率分别为12.3%、7.3%，同比+1.5pp、+2.0pp，主要得益于公司持续降本提质增效提升成本优势；Q4单季度，毛利率为13.4%，同比+4.9pp，环比-0.2pp；净利率为4.5%，同比+2.1pp，环比-3.2pp。海洋油气高景气延续，海工龙头持续受益。2025年《政府工作报告》首提“深海科技”，明确“推动商业航天、低空经济、深海科技等新兴产业安全健康发展”。根据《中国海洋能源发展报告2024》，2024年，全球海洋油气勘探与开发领域的投资达到约2096亿美元，连续四年呈现稳健增长态势，年均复合增长率高达11%。得益于全球对海洋油气勘探开发资本性支出的持续增加，相关工程装备市场需求亦展现出积极的向好趋势。公司作为国内海工龙头，随着海内外海洋油气开采力度持续增强，有望持续受益。持续高分红凸显投资价值。2024年，公司拟向全体股东每10股派发现金红利2.01元（含税），分红比例为41.12%。按2024年3月18日收盘价，股息率为3.58%。盈利预测与投资建议。预计公司2025-2027年归母净利润分别为23.9、26.2、29.5亿元，对应当前股价PE为10.4、9.5、8.4倍，未来三年归母净利润复合增长率11%，维持“买入”评级。风险提示：国际油价波动、汇率变动、海外油气田开发项目进度不及预期等风险。,,西南证券,买入,[None],2025-03-19,,买入,5955249,pdf_downloads/2025/2025-03-19/600583-海油工程（600583）：经营改善利润高增，订单充沛支撑发展.pdf,600583,海油工程,海油工程（600583）：经营改善利润高增，订单充沛支撑发展
"左前明,胡晓艺",事件：2025年3月17日 ，海油工程发布2024年度报告，2024年，公司实现营业收入299.54 亿元，同比下降2.59%，实现归母净利润21.61 亿元，同比上涨33%；扣非后净利润18.09 亿元，同比上涨46%。经营活动现金流量净额38.50 亿元，同比下降24.87%；基本每股收益0.49 元/股，同比上涨32%。资产负债率为41.38%，较2023年全年上涨3pct。2024年第四季度，公司单季度营业收入95.28亿元，同比下降2.66%，环比上涨36%；单季度归母净利润4.17亿元，同比上涨68%，环比下降23.94%；单季度扣非后净利润5.03亿元，同比上涨220.00%。点评：2024年公司盈利能力保持提升。2024年，公司毛利率为12.28%，较上年提升1.53pct，净利率为7.30%，较上年提升2.00pct。其中2024Q4，公司毛利率为13.39%，环比-0.20pct，同比+4.94pct；公司净利率为4.45%，环比-3.21pct，同比+2.06pct，主要受公司项目所处阶段影响，2024年公司陆地建造工作量小幅下降，海上安装工作量提升。分业务来看：2024年公司海洋工程总承包、海洋工程非总承包、非海洋工程项目收入占比分别为72.33%、18.00%、9.66%，较上年占比分别+9.71pct、+7.45pct、-17.16pct。海洋工程、非海洋工程项目毛利率分别为11.90%、15.60%，分别较上年+3.25pct、-0.30pct，公司海洋工程收入占比以及盈利能力提升均带动公司业绩增长。我们认为，海洋工程业务利润率提升主要受海上安装工作量占比提升以及年内完工项目较多影响，24年公司钢材加工量、海上作业投入船天分别为45.39万吨、2.87万天，分别同比-3.83%、+15.73%。分地区来看：2024年公司境内、境外收入占比分别为80.70%、19.30%，较2023年结构没有明显变化。公司与中海油有限关联交易收入占比70.76%，较上年提升，主要受中海油有限的资本开支上调影响。公司境内、境外毛利率分别为13.04%、9.10%，较上年分别+3.60pct、-7.05pct，境外毛利率明显下降主要受公司境外业务目前处于施工初期影响。公司在海外新能源业务方面取得突破。2024年，公司新签订单总额302.44亿元，同比-11%。截止 2024年末，公司在手未完成订单约400亿元，为未来工作量提供有力支撑。公司持续深化国际工程总承包商身份转型，成功与壳牌签订企业框架合作协议，与沙特阿美续签长期合作协议，新承揽卡塔尔 RUYA EPCI 09、沙特 CRPO149&amp;152 总承包工程、SHWE 气田四期开发总包工程合同、文莱壳牌 PRP9 海管更换工程等项目。在新能源方面，公司新承揽英奇角欧洲海上风电工程项目，该项目总投资约384.66亿元，预计2027年全面投产。中海油资本开支维持高位，海工国内订单有保障。2024年中海油资本开支预计在1320亿元，2025年中海油资本开支预算在1250-1350亿元，仍维持在高位水平，其中开发支出占比61%。我们认为，中海油高水平资本开支仍能继续保障公司国内业务工作量。公司分红比例维持在40%以上。公司拟向全体股东每10股派发现金红利2.01元（含税），本次分红比例为41.12%，较上年基本持平。按2025年3月17日收盘价计算股息率为3.65%。深海科技蓄势待发，公司有望受益。《2025年政府工作报告》首次将“深海科技”纳入新质生产力培育方向，明确提出推动其与商业航天、低空经济等新兴产业“安全健康发展”。深海资源开发、装备制造及信息技术等领域迎来系统性发展机遇，公司装备业务有望在政策推动下迎来快速发展。盈利预测与投资评级：我们预测公司2025-2027年归母净利润分别为23.57、25.50和27.47亿元，同比增速分别为9.1%、8.2%、7.8%，EPS（摊薄）分别为0.53、0.58和0.62元/股，按照2025年3月17日收盘价对应的PE分别为10.32、9.54和8.85倍。我们认为，公司未来有望受益于中海油高水平资本开支和行业景气度持续回升，2025-2027年公司业绩或将持续增长，维持 “买入”评级。风险因素：宏观经济波动和油价下行风险；需求恢复不及预期风险；上游资本开支不及预期风险；地缘政治风险；汇率波动风险。,,信达证券,买入,[None],2025-03-18,,买入,5953042,pdf_downloads/2025/2025-03-18/600583-海油工程（600583）：24年盈利能力增强，有望受益深海科技.pdf,600583,海油工程,海油工程（600583）：24年盈利能力增强，有望受益深海科技
赵飞,核心观点公司公告：2024年前三季度公司实现归母净利润约为17.45亿元，同比提升约27%，其中Q3实现归母净利润约5.48亿元，同比提升约41%，环比下滑约24%，实现扣非归母净利润约4.66亿元，同比提升约56%，环比提升约6%。研发费用阶段性下滑，净利率有所提升。公司24年前三季度研发支出6.42亿元，同比下降约21%，主要原因是上半年公司深水、新型工程、智能化产品技术项目研发尚处于初始阶段。另外，公司24年前三季度净利率同比增加1.97pct，达到8.63%，主要是公司工作量稳步增长，降本提质增效工作全面融入价值管理，净利润同比增长。行业景气复苏，工作量稳中有增。受高油价背景下油公司资本开支的增长所推动，国际海洋油气工程行业逐步复苏。随着中国海油持续开展增储上产“七年行动计划”，形成了较大规模的能源工程建设需求，为公司工作量提供了有力支撑，其中24年前三季度，公司完成建造业务完成钢材加工量35.6万吨，与去年同期基本持平；安装等海上作业投入2.03万船天，较去年同期增长3%。海外市场持续拓展，在手订单较为充足。公司在保有传统油气市场优势下，积极推进全球市场开发。24年前三季度，公司累计实现市场承揽额165.62亿元，其中海外业务53.26亿元，占比32.16%，占比同比提高3个百分点，新签海外项目包括浦项制铁四期开发总包项目、中海油北美公司MSA EPC框架协议、沙特阿美CRPO125/126导管架运输和安装项目等。同时，公司在手订单较为充足，截止报告期末，公司在手订单总额约为365亿元，为长期发展提供有力支撑。投资建议我们认为在全球海洋油气工程行业复苏的背景下，依托中国海油的增储上产“七年行动计划”，公司传统业务的发展获得坚实保障。而随着LNG项目以及海上风电等新兴业务的布局加速，公司业绩有望迎来双轮驱动。考虑到公司海外业务稳步推进，并且在手订单充足，我们上调2024-2026年公司盈利预测分别为23.03、26.6、31.01亿元（调整前为20.58、23.81、27.83亿元），对应的PE分别为11、9、8倍（对应10月28日收盘价），维持“买入”评级。风险提示油价大幅波动、国际化经营风险、汇率变动风险等。,,甬兴证券,买入,[None],2024-11-01,,买入,5817479,pdf_downloads/2024/2024-11-01/600583-海油工程（600583）：点评报告：Q3业绩同比增长，订单充足未来可期.pdf,600583,海油工程,海油工程（600583）：点评报告：Q3业绩同比增长，订单充足未来可期
"任宇超,金维",导语：公司前三季度继续维持相对饱和的工作量，营收体量维持高位的同时盈利能力有所提升，三季度国内新签订单韧性较强，海外订单仍需进一步跟踪。事件：公司公告2024年前三季度和24Q3分别实现营收204.26、69.97亿元，同比增长-2.6%、7.3%，实现归母净利润17.45、5.48亿元，同比增长27.1%、40.8%，实现扣非归母净利润13.05、4.66亿元，同比增长20.9%、56.0%。工作量饱满支撑短期业绩，毛利率环比提升或由于安装板块业务增加。公司前三季度业绩整体维持了去年同期的高位水平。工作量方面，公司前三季度钢材加工量35.6万吨，同比增长4.7%，安装等海上作业投入2.03万船天，同比增加3.0%，工作量饱满，短期业绩有支撑，其中Q3公司钢材加工量环比下降37.4%，船舶船天环比提升34.8%，安装板块工作占比提升，或是Q3毛利率环比提升2.1%的原因之一。中海油继续支撑国内油气业务，非海工类业务下滑但中期仍有前景。公司Q3境内油气业务承揽额36.89亿元，环比提升158%，反映出中海油资本开支对公司国内业务的支撑，考虑到中海油24-26年仍规划实现年均6%-7%的净产量增长，预计未来几年中海油资本开支仍将维持高位，支撑公司国内海工业务；非海工业务方面，受LNG接收站业务需求下滑影响，前三季度清洁能源新签订单800万元，较23年全年34亿元有较大下滑，基于“十五五”期间国内LNG接收站项目规划，我们认为公司仍具备后续接单潜力。考虑到中海油资本开支的持续性与国内LNG项目的中期规划，我们认为公司国内业务体量具备延续性。海外市场持续开拓，静待后续订单进展。24年前三季度公司海外业务新签合同53.26亿元，较去年同期高点下滑30%，其中Q3新签订单量为3.51亿元。我们认为公司中期海外市场承揽额也将延续较高水平。公司在中东市场具备持续开拓合约的能力，在沙特、卡塔尔等国具备总包能力，今年以来，公司顺利交付沙特阿美Margan项目、CRPO 122项目第一、二批导管架，卡塔尔ISND5-2项目建造顺利开工，并新接沙特阿美CRPO125/126导管架运输和安装项目，中东地区已承接订单与潜在订单将为公司海外业务提供重要保障。盈利预测与估值：预计公司24-26年归母净利润20.50、21.06、22.75亿元，对应EPS 0.46、0.48、0.51元/股，对应PE 11.8、11.5、10.7倍，维持“买入”评级。风险提示：油价波动风险、LNG业务量波动风险、资产减值风险。,,浙商证券,买入,[None],2024-10-29,,买入,5803873,pdf_downloads/2024/2024-10-29/600583-海油工程（600583）：点评报告：业绩符合预期，静待后续订单进展.pdf,600583,海油工程,海油工程（600583）：点评报告：业绩符合预期，静待后续订单进展
"邰桂龙,杨云杰",事件：公司发布2024年三季报。2024Q1-Q3，公司实现营业收入204.3亿元，同比减少2.6%；归母净利润17.4亿元，同比增长27.1%；扣非净利润13.1亿元，同比增长20.9%。2024Q3，公司实现营业收入70.0亿元，同比增长7.3%；归母净利润5.5亿元，同比增长40.8%；扣非净利润4.7亿元，同比增长56.0%。盈利能力显著提升。工作量饱满，在手订单维持高位。2024Q3，公司实现新签订单44.4亿元；2024Q1-Q3，公司累计新签订单165.6亿元，其中国内业务112.4亿，海外业务53.3亿，海外业务新签订单占比提升至32.2%，同比提升3个百分点。截至报告期末公司在手订单365亿元，为业务持续发展提供有力支撑。工作量方面，2024Q1-Q3，完成43座导管架和28座组块的陆地建造，29座导管架和23座组块的海上安装，306公里海底管线铺设，完成钢材加工量35.6万吨，同比持平，海上作业投入2.0万船天，同比增长3%。降本增效成效显著，净利率持续提升。2024Q1-Q3，公司期间费用率为4.0%，同比-0.7pp；毛利率为11.8%，同比基本持平；净利率8.6%，同比+2.2pp；降本提质增效成效显著。2024Q3，公司期间费用率为6.1%，同比+1.0pp；毛利率为13.6%，同比+2.8pp；净利率为7.7%，同比+1.8pp。上游资本开支增长，海洋油气高景气延续。国内海洋油气工程行业持续受益于中国油气增储上产“七年行动计划”有力推进，行业发展呈现较好增长势头。根据《中国海洋能源发展报告》，2024年全球海洋油气勘探投资继续增长，预计投资超过300亿美元；海洋油气新建投产项目开发投资稳中有增，约为780亿美元；海洋石油产量将稳步增长，预计全球海洋石油产量将增长到28.5百万桶/天，同比+3.1%。中国海油2024年资本支出预算为1250-1350亿元，同比增加约250亿元，助力油气增储上产。公司作为国内海工龙头，随着海内外海洋油气开采力度持续增强，有望持续受益。盈利预测与投资建议。预计公司2024-2026年归母净利润分别为19.2、22.8、25.3亿元，对应EPS为0.43、0.51、0.57元，当前股价对应PE为13、11、10倍，未来三年归母净利润复合增长率16.0%，维持“买入”评级。风险提示：国际油价波动、汇率变动、海外油气田开发项目进度不及预期等风险。,,西南证券,买入,[None],2024-10-28,,买入,5804586,pdf_downloads/2024/2024-10-28/600583-海油工程（600583）：降本增效成效显著，24Q3归母净利润同比+40.8%.pdf,600583,海油工程,海油工程（600583）：降本增效成效显著，24Q3归母净利润同比+40.8%
