author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
杜建平,"我们近期对大连港(601880.CH/人民币2.88; 2880.HK/港币1.64, 持有)进行了调研。受外围经济疲软以及我国经济增速放缓影响,我国港口货物吞吐量增速逐渐下滑,在此背景下公司主要货种吞吐量仍旧保持较快的增长速度,表现优于全国平均水平。我们预计大连港2012 年前3 季度货物吞吐量达2.3 亿吨,同比增长近15.5%,集装箱吞吐量接近580 万TEU,同比增幅超过25%,增速比全国平均水平高10-15 个百分点。货量增长以及费率提升推动公司主业毛利润快速增长,但由于财务费用居高不下,我们预计公司前三季度净利润同比仍将下降10%左右。目前公司A 股和H 股股价对应2012 年市盈率分别为19 倍和9 倍,A 股市盈率偏高,H 股较为合理;从市净率来看,A 股和H 股分别为1.0 和0.5 倍,H 股市净率处于历史底部。但是由于公司短期内业绩仍面临较大压力,我们暂维持对公司的盈利预测和持有评级不变。",,中银国际,,[None],2012-10-19,,,755839,pdf_downloads/2012/2012-10-19/601880-大连港(601880)：致力于东北亚国际航运中心建设.pdf,601880,大连港,大连港(601880)：致力于东北亚国际航运中心建设
"孙洪湛,于杰","世界海港进入新阶段，大连港发展第三代港口优势明显

目前，世界主要港口中第二代港口发展的主流，但随着经济全球化、市场国际化和信息网络化，一些大型港口已经开始向第三代港口转型。大连港具备五大先天优势，发展第三代海港物流型港口方面优势明显。

坐拥东北，展望东北亚

港口的发展与腹地经济的发展密不可分。我国东北地区在粮食、装备制造业方面具备巨大优势，货运需求将随之大幅攀升。而大连港处于东北亚经济圈的中心，是该区域进入太平洋，面向世界的海上门户，地理优势使得大连港充分受益东北亚的高速增长。

具备便捷顺畅的立体式集疏运系统网络

（1）水运方面，大连港位于国际区域性主干航线，处于东北地区通往东北亚以及太平洋主干航线的前沿；（2）公路方面，有沈大高速公路与东北地区国家公路网络相连接，经东北铁路网和公路网、及西伯利亚大铁路，成为欧亚大陆桥的起点；（3）空运方面，大连市拥有周水子国际机场，其旅客吞吐量、货邮吞吐量和飞机起降架次三大运输生产指标已连续14年位居东北民用机场首位；（4）铁路方面，有哈大铁路正线与东北地区发达的铁路网络相连接。


多项业务处于东北垄断地位，其中汽车、集运及粮食码头成长空间巨大大连港具有亚洲最先进的散装液体化工产品转运基地，国内最大、最先进的30万吨级矿石专用卸船泊位，东北三省90%以上的外贸集装箱、100%的汽车吞吐量，东北三省和内蒙古地区粮食进出口的主要集散地；此外，大连港国际邮轮中心正在快速建设中，全年已有10余艘国际大型邮轮停靠。

转型贸易港，给予公司“谨慎推荐”评级

考虑到目前公司的净利润率较为稳定，我们预计公司12至14年收入分别为40.96、45.24及54.34亿元，净利润分别为6.96、7.69、9.24亿元，增速分别为4%、10%、20%；相应12-14年全面摊薄的EPS分别为0.16、0.17、0.21元，对应PB为0.89、0.84、0.79倍。公司正在向贸易型港口转型，市净率低于港口类上市公司的平均水平，当前股价超跌，给予“谨慎推荐”评级，目标价为3.7元。

风险提示：

1）中日钓鱼岛事件升级。

2）国内经济硬着陆。",,民生证券,谨慎推荐,[None],2012-10-17,,增持,755465,pdf_downloads/2012/2012-10-17/601880-大连港(601880)：坐拥东北·展望东北亚，铸造全新贸易港.pdf,601880,大连港,大连港(601880)：坐拥东北·展望东北亚，铸造全新贸易港
杜建平,"大连港(601880.CH/人民币2.89;2880.HK/港币1.58,持有)2012年上半年实现营业收入20.48亿人民币,同比增长19.5%,实现归属于母公司所有者净利润3.00亿人民币,同比下降11.1%,每股收益0.068元人民币,业绩略低于我们的预期。公司2季度实现净利润1.30亿元,每股收益0.029元人民币,同比下降28.2%。公司业绩下降最主要原因在于财务费用大幅增加369%所致,而主业的毛利润同比增长25.3%,保持较快增速。
    分业务来看,2012年上半年公司各业务板块均取得较好表现。(1)油品和液体化工业务:上半年完成吞吐量1,926.7万吨,同比微增0.2%,但结构明显优化,外贸进口原油同比增长16.1%,中转原油量则明显下降,而油品和液体化工业务毛利则在费率提升和外贸原油吞吐量增长的带动下同比增长19.2%;(2)集装箱业务表现突出,毛利同比大增33%:在地方政府和集团的支持下,上半年公司完成集装箱吞吐量409.5万TEU,同比增长18.8%,增速大幅高于全国平均水平,其中内贸集装箱吞吐量大幅增加111.8%,而外贸集装箱吞吐量则受外围经济不振影响同比小幅下滑1.1%。(3)公司的矿石码头业务以及散粮码头业务毛利同比分别增长55.3%和39.8%,在装卸费率提升以及高效货种吞吐量增长的带动下,矿石和散粮业务盈利能力得到明显提升。",,中银国际,中性,[None],2012-09-04,,中性,593332,"pdf_downloads/2012/2012-09-04/601880-大连港(601880)-消息快报;2012年上半年净利润同比下降11.1%,财务费用激增侵蚀业绩.pdf",601880,大连港,"大连港(601880)-消息快报;2012年上半年净利润同比下降11.1%,财务费用激增侵蚀业绩"
,"维持“买入”评级,目标价2.25港元:考虑到公司高毛利的油品业务已恢复正常,同时其腹地的经济受政策支持,公司在未来1-3年内将会高速发展,因此,我们的投资建议为买入,12个月目标价2.25港元,对应2012/13的PE为12.37/10.71,PB为0.61/0.60。",,国信证券(香港),买入,[None],2012-06-20,,买入,747825,"pdf_downloads/2012/2012-06-20/601880-大连港:依托东北,稳健增长.pdf",601880,大 连 港,"大连港:依托东北,稳健增长"
杜建平,"上半年受腹地炼厂检修以及减产等因素影响，公司油品相关业务吞吐量同比下降21%，其中外贸原油进口大幅减少40.3%，而新建油码头投产导致的折旧增加使得毛利率下滑10 个百分点。

上半年公司完成集装箱吞吐量344.6 万TEU，同比增加16.5%，在大连口岸市场占有率达99.7%。受益腹地经济增长，公司在东北地区的领先优势逐步发挥，公司集装箱吞吐量有望继续保持快速增长。

随着东北汽车生产基地的快速发展，汽车码头业务增长强劲。

评级面临的主要风险

宏观经济复苏放缓导致港口货物吞吐量增速低于预期。

来自周边港口的竞争。

估值

我们预计2011-12 年每股收益为0.174 元和0.179 元，我们以18 倍2011 年市盈率将公司A 股目标价由5.20人民币下调至3.13 元人民币，下调评级为持有。",,中银国际,持有,[None],2011-08-31,,中性,714037,pdf_downloads/2011/2011-08-31/601880-大连港(601880)：净利润同比减少12。9％，低于预期.pdf,601880,大连港,大连港(601880)：净利润同比减少12。9％，低于预期
冀丽俊,"动态事项

在大连港2010年年报的业绩说明会上，公司高管就投资者关注的问题进行了广泛的交流。
&#61550; 
主要观点

Q1：日本地震对公司经营情况的影响？

公司现有24条大连――日本的航线，其中1条航线为大连――仙台，去往日本的其他航线由于地震影响，停航2天后恢复运营。由于去往仙台的货量在去往日本的货量中占比较小，目前对公司的生产经营基本没有受到影响。

不过，我们也看到虽然东京港、横滨港等港口在震后第三天即重新开放，但是港口部分设施损坏、货船集中到港、陆上交通阻滞等原因，使得港口作业效率低，会对船只停靠、货物装卸形成负面影响。

日本震后重建会加大煤炭、建材、食品等货种的需求，由此会对公司的
业务量有所促进；而由于日本产业的停产等影响，也会影响大连港的汽车进口，主要是产汽车如丰田等。可关注日本震后的情况。

Q2：对于公司集装箱业务的增长判断？

大连港是天然的深水港，水深达17.8米，能够停靠1.6万TEU的集装箱船，2010年完成634万TEU（包含参股公司），同比增长15.5%。从2月份的集装箱吞吐量来看，港口集装箱吞吐量同比有所下降，3月份吞吐量已经有所恢复，公司认为随着全球经济的逐步起稳和贸易活动的回暖，集装箱吞吐量全年仍可维持两位数的增长。

Q3：油品业务吞吐量与毛利率变化原因？

2010年公司进口原油2550万吨，同比增长13.3%；同期全国进口原油2.39亿吨，同比增长17.5%；公司原油进口增速低于全国增速，主要是由于2009年下半年营口港30万吨级原油码头投入运营，分流公司原油接卸量。2010年，油品分部的毛利率为55.6%，较上年提高了0.6个百分点，主要是由于低毛利率的油品销售业务比重下降。			
风险因素：经济周期影响和腹地经济增长低于预期；市场竞争加剧风险。",,上海证券,大市同步,[None],2011-04-11,,中性,536106,pdf_downloads/2011/2011-04-11/601880-大连港(601880)：打造东北亚国际枢纽港.pdf,601880,大连港,大连港(601880)：打造东北亚国际枢纽港
"李光华,黄金香","业绩简评

    大连港公布2010 年年报，报告期公司实现营业收入33.4 亿元，同比增长10.4%，实现归属于母公司股东净利润8.1 亿元，同比增长11.8%，全面摊薄后每股盈利0.18 元，符合我们和市场预期；

    经营分析

    散粮业务引领业绩增长：由于公司散粮码头货种结构发生变化，进口货物装卸量占比上升，而且费率同时上涨，因此在总体吞吐量下降10%的情况下，毛利率水平仍明显上涨。我们认为公司散粮码头的货种结构将与10 年接近，同时公司在11 年再度提升装卸费率，公司散粮码头在2011 年将仍是亮点之一；

    10 年油品吞吐量受事故影响，2011 年将恢复增长：公司原油码头在下半年受到事故的影响，其吞吐量、毛利和投资收益比上半年分别减少了21%、35%和65%。公司油品码头在2011 年将恢复正常运作，吞吐量将呈现恢复性增长。我们认为公司油品码头将是2011 年业绩的主要增长来源；

    盈利能力仍有改善空间：除油品码头外，公司散货、杂货、散粮均受到周边不同码头的竞争，费率和盈利能力被压制。我们认为，随着公司未来与周围港口（旅顺、锦州、营口、北良等）的整合与合作，将能减少恶性竞争，提升费率水平；

    盈利调整

    我们预计公司11-13 年实现净利润9.2、10.5 和11.4 亿元，净利润同比增长12.5%、14.4%和9.1%。折合每股EPS 分别为0.21、0.24 和0.26 元；

    投资建议

    目前股价对应摊薄后2011 年PE 水平为19.4，PB 为1.2 倍。公司10-13年净利润的复合增长率为12%，目前股价处于合理的价格水平，维持“持有”评级；",,国金证券,持有,[None],2011-03-30,,中性,571561,pdf_downloads/2011/2011-03-30/601880-大连港(601880)：业绩平稳符合预期.pdf,601880,大连港,大连港(601880)：业绩平稳符合预期
国信证券研究所,"新股聚集
    大连港是亚洲最先进的散装液体化工产品转运基地。大连港油品码头公司新港区和寺儿沟作业区主要从事原油,成品油及液体化工品装、卸、储服务等方面业务,具备集水路、管道、铁路、公路四位一体的集疏运服务优势。大连港湾液体储罐码头有限公司由大连港和挪威奥德菲尔集团公司共同投资组建,主要从事液体化工产品转运。交通十分方便,哈大铁路正线与东北地区发达的铁路网连接。公路有全国最长的沈大高速公路与东北地区的国家公路网络相连接。经东北铁路网和公路网,大连港还联接着俄罗斯和朝鲜,可通过西伯利亚大铁路,成为欧亚大陆桥的起点。
    投资分析
    银河证券认为,;公司将受益于定向配售项目和募集资金项目的投产,增长将持续,结合目前市场环境,综合分析给予公司2010年动态市盈率为25-30倍的上市首日估值,对应上市首日股价运行区间4.25-5.10元。
    安信证券综合分析预计大连港上市首日定价应在4.5-5.04元之间。
    风险提示
    东北地区经济崛起不明朗。营口港货物分流超预期。拟收购资产盈利能力低于预期。",,国信证券,,[None],2010-12-06,,,692638,pdf_downloads/2010/2010-12-06/601880-大连港(601880)新股上市.pdf,601880,大连港,大连港(601880)新股上市
李光华,"基本结论

    位于东北亚的全方位综合大港。公司位于环渤海湾的出海口，是区内主要的原油接卸/中转以及外贸集装箱出海港。公司天然水深以及全年不冰的天气条件使港区能停泊全球最大的各种船型，迎合未来全球船舶大型化的趋势；

    对公司业绩影响最大的油品/液体化工码头的收入和毛利占比分别为30%和43%。IPO 募集资金主要的投向之一是码头储罐的建设，我们认为油品码头未来增长主要来自于：1）储油罐收入的提升（包括费率已经储量）；2）储油能力增加带动港口油品中转量的增加。我们预计未来两年油品码头利润增速约为15%；

    大连港是区内最大的外贸集装箱装卸码头。集装箱装卸收入主要体现在公司的投资收益里，随着全球经济的恢复，集装箱码头的吞吐量将稳步提升，但考虑到新投产的码头不能马上产生盈利，我们预计11-12 年公司投资收益的同比增速约为10%；

    大连港在09 年的吞吐量排全国第六，集装箱吞吐量排全国第八位。由于基数较大，因此我们预计未来增速将趋于平缓，未来业绩提升依赖于：1）吞吐量的增加；2）使用效率的提高；3）费率的提升；

    价值评估

    假设公司2013-2015 年净利润增长速度为10%，2017-2019 净利润同比增速为5%，TV 增长率为2%，WACC 为9.33%。模型计算得出公司估值为3.92 元/股，对于2011 年PE 为18.8 倍；

    目前国内港口上市公司2011 年的平均PEG 为1.5 倍，公司明年的净利润增速为12%，10-12 年净利润复合增长率为12.2%，因此我们认为根据相对估值公司的合理估值为18 倍2011 年EPS，对应股价为3.8 元；

    参考绝对合相对估值，我们认为公司的合理价值区间为3.8-3.92 元；

    风险提示

    区内港口吞吐能力持续增加导致竞争加剧，导致费率水平和吞吐量下跌

    新泊位产能投产导致资产总体利用效率下降，降低毛利率水平；

    国内外的经济增速减缓导致需求增速下降；",,国金证券,无评级,[None],2010-12-06,,,692641,pdf_downloads/2010/2010-12-06/601880-大连港(601880)：从区内龙头走向国际大港.pdf,601880,大连港,大连港(601880)：从区内龙头走向国际大港
德邦证券研究所,"新股申购计划:
    2010年11月23日上网发行:大连港;中签率公告日:2010-11-25,申购资金解冻日:2010-11-26。
    大连港601880。
    申购代码:780880,申购价:4.00元, 申购上限:39.9万股, 发行总量:
    150000万股, 申购市盈率:26.39倍。",,德邦证券,,[None],2010-11-23,,,691586,pdf_downloads/2010/2010-11-23/601880-大连港(601880)新股申购策略.pdf,601880,大连港,大连港(601880)新股申购策略
