author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
"陈铭,余文心",维持增持评级，上调目标价为15.26元。我们预测2025-2027年的营业收入分别为156.98、160.12、165.30亿元，增速分别为0.5%、2.0%、3.2%，归母净利润分别为13.96（原值为16.48）、14.54（原值为18.72）、15.38亿元，增速分别为0.7%、4.1%、5.7%，EPS分别为0.76、0.79、0.84元，我们采用PE方法进行估值，参考可比公司，给于2025年归母净利润20倍估值，对应目标价15.26元（原目标价为13.77元），维持增持评级。核心战略聚焦呼吸领域，已形成较为系统的管线布局和差异化优势。截至目前，公司在呼吸领域已布局超过 10款1类创新药，覆盖哮喘、慢性阻塞性肺疾病(COPD)等核心适应症。具体来看：玛帕西沙韦胶囊用于甲型、乙型流感治疗，目前上市推进进展顺利，作为公司呼吸领域首个实现商业落地的一类创新药。玛帕西沙韦干混悬剂(儿童剂型)已与CDE 完成沟通获准豁免Ⅱ期临床并直接进入III期研究。TSLP 单抗用于COPD治疗，II期临床进展顺利，正在积极推进III期临床前准备工作。该项目的临床开发进度在国内同类项目中处于领先地位。全球创新机制(FIC)的PREP口服抑制剂正在积极推进II期临床阶段，进展顺利；新一代 ICS、PDE4 抑制剂、新型多黏菌素等在研产品也在稳步推进，为公司中长期的产品组合优化及业绩弹性作出贡献。国际化是公司长期发展的核心战略方向，海外业务进展顺利。越南 IMP 公司收购项目己于今年5月披露，目前正在依照越南相关法律法规稳步推进审批与交割流程，此次收购将为公司东南亚制剂市场布局进一步夯实基础。印尼工厂项目由公司与 Kalbe 集团合作建设，目前已在雅加达正式动工，整体进展顺利。该工厂未来将专注于符合国际标准的特色原料药生产，定位为公司布局欧美市场的重要战略基地。公司制剂出海布局稳步推进，公司已在菲律宾、荷兰设立子公司，分别搭建面向东南亚及欧盟市场的制剂销售与注册体系，旗下生产基地也在推进相关地区的 GMP 认证，为产品注册申报莫定基础。催化剂：新品放量爬坡，创新药管线临床数据催化、海外业务拓展。风险提示：集采相关风险、创新药管线临床试验结果不及预期、药品销售不及预期。,,国泰海通,增持,[None],2025-11-19,,买入,8088017,pdf_downloads/2025/2025-11-19/600380-健康元（600380）：2025年三季报点评：聚焦呼吸领域，静待创新研发成果落地.pdf,600380,健康元,健康元（600380）：2025年三季报点评：聚焦呼吸领域，静待创新研发成果落地
余汝意,利润稳健增长，创新药布局加速，维持“买入”评级公司2025H1实现收入78.98亿元（同比-4.08%，以下为同比口径）；归母净利润7.85亿元（+1.10%）；扣非归母净利润7.70亿元（+1.04%）。公司2025H1毛利率为62.21%（-1.10pct）；净利率为22.33%（+1.73pct）。2025单Q2公司收入38.09亿元（-2.20%，环比-6.85%）；归母净利润3.49亿元（+3.72%，环比-19.88%）。公司各业务板块协同发力，丽珠集团作为发展基本盘，持续贡献稳定业绩，丽珠单抗对公司归母净利润的影响较2024H1减亏0.62亿元，公司妥布霉素2025H1销售额同比实现增长112%，呈现出良好的增长态势；保健品板块同比增长35%；原料药板块运营同样稳健，重点产品7-ACA价格维持良好态势，美罗培南原料药价格逐步止跌企稳。我们看好公司呼吸赛道的创新优势，维持2025-2027归母净利润为14.63/15.68/17.15亿元，EPS为0.80/0.86/0.94元/股，当前股价对应PE为16.1/15.0/13.7倍，维持“买入”评级。聚焦呼吸疾病全剂型矩阵，研发创新多点突破公司研发创新多点突破，各治疗领域管线布局持续完善。截至2025半年报，公司已在呼吸领域前瞻性布局超过10款1类创新药，在COPD抗炎领域形成差异化竞争优势。针对流感治疗的玛帕西沙韦胶囊已进入申报生产阶段，针对儿童群体的玛帕西沙韦干混悬剂获临床试验批准（IND）后，I期临床正有序推进，两款药物的梯度布局有望覆盖全人群流感治疗需求。在呼吸慢病领域，TSLP单抗II期临床按计划稳步推进，进度位居国内前列；全球首创（FIC）的PREP抑制剂已顺利完成I期临床，正稳步进入II期研究。其他领域研发同样取得积极进展。镇痛领域非阿片类创新药钠离子1.8抑制剂已完成I期临床，正在推进II期临床。该药物研发旨在规避传统阿片类药物的成瘾性风险，通过全新作用机制为临床镇痛治疗提供更安全的选择。公司多款品种取得里程碑式突破，目前公司正值产品换挡期，未来公司创新价值属性有望进一步凸显。风险提示：行业政策变化风险、新药研发风险、原材料供应和价格波动风险等。,,开源证券,买入,[None],2025-08-25,,买入,6343227,pdf_downloads/2025/2025-08-25/600380-健康元（600380）：公司信息更新报告：利润稳健增长，创新药布局加速.pdf,600380,健康元,健康元（600380）：公司信息更新报告：利润稳健增长，创新药布局加速
余汝意,单四季度收入环比回正，创新药布局加速，维持“买入”评级公司2024年实现收入156.19亿元（同比-6.17%，以下为同比口径）；归母净利润13.87亿元（-3.90%）。公司2024年毛利率为62.69%（+0.53pct）；净利率为19.10%（+1.97pct）。2024Q4公司收入37.21亿元（-6.87%，环比+1.54%）；归母净利润2.75亿元（-23.42%，环比-17.94%）。考虑到妥布霉素和舒列迭放量仍需时间，我们下调2025-2026并新增2027归母净利润为14.63/15.68/17.15亿元（2025-2026原预测为16.18/17.87亿元），EPS为0.80/0.86/0.94元/股，当前股价对应PE为13.3/12.4/11.3倍。当前妥布霉素+舒列迭销售逐渐向好，叠加TG-1000等新药逐步贡献公司增量，我们维持“买入”评级。吸入制剂受左沙影响收入有所波动，保健品业务持续攀升2024年公司促性激素类28.12亿元，同比+1.64%；消化道类25.67亿元，同比-11.60%；呼吸系统类10.97亿元，同比-36.98%；精神类6.06亿元，同比+0.63%；抗感染类4.18亿元，同比-18.15%。化学原料药及中间体 49.97亿元，同比-0.96%。中药制剂14.72亿元，同比-16.44%。诊断试剂及设备7.18亿元，同比+9.02%。保健食品3.77亿元，同比+92.32%。生物制品收入1.71亿元，同比+102.42%。整体来看，吸入制剂受到左沙的集采影响收入有所波动，保健品业务持续攀升。聚焦呼吸疾病全剂型矩阵，创新药布局加速公司聚焦呼吸疾病全剂型矩阵，多款品种取得里程碑式突破：①抗流感新药玛帕西沙韦迅速完成Ⅲ期临床，已于2024年 8 月提交 NDA 申请；②TSLP 单抗与 IL-4R 单抗均已进入Ⅱ期临床研究阶段；全球首创的COPD口服药 PREP 抑制剂于 2025年1月快速启动Ⅰ期临床，镇痛等其他领域管线也在持续推进。公司2024年经营性现金流净额达到36.36亿元，公司通过回购+分红持续完善股东回报。目前公司正值产品换挡期，随着妥布霉素+舒列迭进一步放量，叠加TG-1000等新药逐步贡献增量，公司创新价值属性有望进一步凸显。风险提示：行业政策变化风险、新药研发风险、原材料供应和价格波动风险等。,,开源证券,买入,[None],2025-04-09,,买入,6002724,pdf_downloads/2025/2025-04-09/600380-健康元（600380）：公司信息更新报告：单四季度收入环比回正，创新药布局加速.pdf,600380,健康元,健康元（600380）：公司信息更新报告：单四季度收入环比回正，创新药布局加速
"谭国超,李昌幸",事件：健康元发布2024年三季度业绩报告，公司实现营业收入118.99亿元，同比-5.95%；归母净利润11.12亿元，同比+2.58%，其中健康元（不含丽珠集团、丽珠单抗）实现归母净利润约4.79亿元，同比下降约21.65%，丽珠单抗对归母净利润影响金额约为-1.64亿元；扣非归母净利润10.73亿元，同比+2.30%。分析点评三季度利润端稳定提升，盈利能力持续改善单季度来看，公司2024Q3收入为36.64亿元，同比-6.80%；归母净利润为3.35亿元，同比+24.95%；扣非归母净利润为3.11亿元，同比+16.45%。2024年前三季度，公司销售毛利率为63.07%，同比+1.30个百分点；销售费用率24.80%，同比-2.30个百分点；管理费用率5.96%，同比+0.58个百分点；财务费用率-0.89%，同比+1.60个百分点；研发费用率8.71%，同比-0.87个百分点；经营性现金流净额为26.14亿元，同比增长6.25%。制剂板块收入短期波动，原料药与保健品多元发展分板块来看，24年前三季度公司化学制剂收入58.79亿元，同比-10.55%，其中，促性激素产品收入23.08亿元，同比+5.46%；消化道产品收入18.54亿元，同比-18.66%；呼吸制剂产品收入7.99亿元，同比-28.18%；精神产品收入4.43亿元，同比+3.11%；抗感染产品收入3.22亿元，同比-19.46%。公司持续推动多项创新药与高壁垒复杂制剂的研发，如抗流感新药TG-1000胶囊III期临床推进顺利，24年8月份顺利报产。原料药及中间体收入38.57亿元，同比-2.83%。中药制剂收入10.84亿元，同比-16.06%。诊断试剂及设备收入5.66亿元，同比+21.03%。保健食品收入2.62亿元，同比+97.67%。生物制品收入1.31亿元，同比+15.98%。投资建议根据公司前三季度业绩，我们下调了此前盈利预测，预计公司2024~2026年收入分别162.1/176.2/192.5亿元（2024~2026年前预测值为172.6/190.6/212.0亿元），分别同比增长-2.6%/8.7%/9.3%，归母净利润分别为14.7/16.2/18.2亿元（2024~2026年前预测值为15.6/17.8/20.4亿元），分别同比增长1.9%/10.0%/12.7%，对应估值为15X/14X/12X。维持“增持”投资评级。风险提示 政策风险超预期；市场价格风险超出预期；研发进度不及预期。,,华安证券,增持,[None],2024-11-21,,增持,5838643,pdf_downloads/2024/2024-11-21/600380-健康元（600380）：24Q3利润改善，创新转型与双轮驱动持续推进.pdf,600380,健康元,健康元（600380）：24Q3利润改善，创新转型与双轮驱动持续推进
"张金洋,胡偌碧,宋歌",健康元发布2024年三季报。2024年前三季度公司实现营业收入118.99亿元同比-5.95%，归母净利润11.12亿元同比+2.58%，扣非归母净利润10.73亿元同比+2.30%。单看Q3实现营收36.64亿元同比-6.80%，归母净利润3.35亿元同比+24.95%，扣非归母净利润3.11亿元同比+16.45%。观点：24Q3利润超预期，加速推进创新转型收入端，24Q3公司营收同比下滑6.80%、环比下滑5.92%符合预期，与艾普拉唑针剂医保谈判降价和左沙丁胺醇集采相关；利润端，24Q3同比增速接近25%，一方面23Q3基数较低，而销售、研发费用控制良好，各类其他收益加成，虽受到存款利息收入减少负面影响仍实现较快增长。分板块看，化学制剂实现收入58.79亿元，同比下降10.55%，其中促性激素实现收入23.08亿元，同比增长5.46%；消化道产品实现收入18.54亿元，同比下降18.66%；呼吸制剂实现收入7.99亿元，同比下降28.18%；精神产品收入4.43亿元，同比增长3.11%；抗感染产品收入3.22亿元，同比下降19.46%。原料药及中间体收入38.57亿元，同比下降2.83%。中药制剂收入10.84亿元，同比下降16.06%。诊断试剂及设备收入5.66亿元，同比增长21.03%。保健食品收入2.62亿元，同比增长97.67%。生物制品实现收入1.31亿元，同比增长15.98%。健康元本体实现归母净利润约4.79亿元，同比下降约21.65%，丽珠单抗对归母净利润影响金额约为-1.64亿元。财务指标方面，Q1-3销售费用率24.80%同比-2.30pp，绝对额29.51亿元同比-13.91%；研发费用率8.71%同比-0.87pp，绝对额10.36亿元同比-14.46%；管理费用率5.96%同比+0.58pp，绝对额7.09亿元同比+4.22%。财务费用-1.06亿元，2023年同期为-3.14亿元，主要由于存款利息收入减少和汇兑损益变动。销售毛利率63.07%同比+1.30pp，经营活动产生的现金流量净额26.14亿元，同比+6.25%。研发方面，抗流感新药TG-1000胶囊已申报生产，预计2025年底前有望获批；高选择性的Nav1.8抑制剂镇痛药FZ008-145已开展I期临床，哮喘双靶点DBM-1152A、哮喘口服药N91115进入I期临床。此外公司注重市场潜力大、创造性强、专利保护期长的临床中后期产品BD，叠加公司在呼吸科等领域的优势，加速创新转型。盈利预测与估值。我们认为丽珠集团将继续贡献稳定业绩，丽珠单抗研发布局持续推进，妥布霉素迎来放量，呼吸科管线持续推进。根据公司经营现状，我们下调盈利预测。预计公司2024-2026年归母净利润分别为14.60亿元、15.68亿元、17.76亿元，增长分别为1.2%、7.4%、13.3%，对应PE分别为14x，13x，12x。我们看好公司长期发展，维持“买入入评评级。风险提示：药品销售不及预期风险；新药研发失败风险；原料药价格波动风险。,,国盛证券,买入,[None],2024-10-28,,买入,5801854,pdf_downloads/2024/2024-10-28/600380-健康元（600380）：24Q3利润超预期，加速推进创新转型.pdf,600380,健康元,健康元（600380）：24Q3利润超预期，加速推进创新转型
余汝意,三季度业绩环比降幅收窄，创新药业务渐入快车道，维持“买入”评级2024Q1-3公司收入118.99亿元（同比-5.95%，以下为同比口径）；归母净利润11.12亿元（+2.58%）；扣非归母净利润10.73 亿元（+2.30%）。公司2024Q1-3毛利率63.07%（+1.30pct）；净利率为20.45%（+2.71pct）。单季度看，2024Q3公司收入36.64亿元（-6.80%，环比-5.92%）；归母净利润3.35亿元（+24.95%，环比-0.44%）。对比单二季度，公司单二季度收入环比下滑10.25%；归母净利润环比下滑23.46%。单三季度和单二季度相比收入和利润环比降幅收窄。我们维持2024-2026年公司归母净利润为14.82/16.49/18.27亿元，EPS为0.79/0.88/0.98元/股，当前股价对应PE为14.3/12.9/11.6倍，维持“买入”评级。吸入制剂受左沙影响收入有所波动，保健品业务持续攀升2024年1-9月，本公司化学制剂实现收入58.79亿元，同比下降10.55%，其中呼吸制剂产品实现收入7.99亿元，同比下降28.18%；抗感染产品实现收入3.22亿元，同比下降19.46%。原料药及中间体实现收入38.57亿元，同比下降2.83%。保健食品实现收入2.62亿元，同比增长97.67%。整体来看，吸入制剂受到左沙的集采影响收入有所波动，保健品业务持续攀升。创新药业务渐入快车道，TG-1000报产将迎上市公司扎实推进“创新药+高壁垒复杂制剂”双轮驱动战略。创新药方面，公司继续发挥妥布霉素纳入医保的优势，应对左沙集采价格下降带来的挑战；抗流感新药TG-1000已于2024年8月报产，预计2025H2获批，TG-1000有效治疗期长，预计上市后快速放量。在高壁垒复杂制剂方面，沙美特罗替卡松吸入粉雾剂为国内首仿，有望为公司提供业绩新增量。目前公司正值产品换挡期，且单三季度业绩环比已经大幅改善，我们预计随着左沙集采负面影响出清，叠加新药妥布霉素、TG-1000以及舒列迭逐步放量，公司价值属性有望进一步凸显。风险提示：行业政策变化风险、新药研发风险、原材料供应和价格波动风险等。,,开源证券,买入,[None],2024-10-27,,买入,5801520,pdf_downloads/2024/2024-10-27/600380-健康元（600380）：公司信息更新报告：三季度业绩环比降幅收窄，创新药业务渐入快车道.pdf,600380,健康元,健康元（600380）：公司信息更新报告：三季度业绩环比降幅收窄，创新药业务渐入快车道
"谭国超,李昌幸",事件：公司2024年上半年实现营业收入82.35亿元，同比-5.56%；归母净利润7.76亿元，同比-4.78%；扣非归母净利润7.62亿元，同比-2.54%。分析点评二季度业绩短期承压，公司费用率持续优化24Q2：单季度来看，公司2024Q2收入为38.95亿元，同比-6.39%；归母净利润为3.37亿元，同比-4.55%；扣非归母净利润为3.34亿元，同比-0.24%。2024年上半年，公司整体毛利率为63.31%，同比+0.85个百分点；销售费用率25.46%，同比-2.05个百分点；管理费用率（含研发费用）14.08%，同比+0.32个百分点；财务费用率-1.50%，同比-0.10个百分点；经营性现金流净额为17.37亿元，同比+38.19%。处方药稳步推进，原料药与保健品多元发展上半年健康元（不含丽珠集团、丽珠单抗）处方药板块实现销售收入7.43亿元，同比下降19.49%。呼吸领域收入为6.02亿元，同比下降25.50%，主要系因左沙丁胺醇集采执行略有下滑。抗感染领域收入为1.27亿元，同比增长24.54%。公司大力推进学术营销，提升市场竞争力，成功推动多项创新药与高壁垒复杂制剂的研发，如抗流感新药TG-1000胶囊完成Ⅲ期临床试验，镇痛新药FZ008-145进入Ⅰ期临床研究，沙美特罗替卡松吸入粉雾剂成功获批上市，标志着吸入给药技术平台的重要突破。公司还引入了TSLP靶点抗体药物QX008N注射剂等三个呼吸创新药品种，与拜耳的合作拓展了在COPD治疗领域的布局。 原料药及中间体板块实现销售收入10.13亿元，同比下降4.44%。公司重点产品7-ACA价格保持增长，积极拓展国际市场。美罗培南无菌粉市场份额稳定，并推进新产能项目如TG-1000和替加环素的落地。保健食品及OTC板块实现销售收入3.30亿元，同比增长63.74%。公司通过DTC品牌数字营销体系和社交媒体布局，推动品牌销售增长，依托「更年期专家说」平台提升品牌形象，线上线下渠道渗透率持续提升。丽珠集团业绩承压，丽珠单抗研发进展显著丽珠集团（不含丽珠单抗）实现营业收入62.56亿元，同比下降6.32%，为公司贡献净利润5.79亿元。受医保降价和行业整治影响，化学制剂板块略有下滑。其中，促性激素产品实现收入15.49亿元，同比增长12.51%；消化道产品收入13.01亿元，同比下降19.96%；精神产品收入2.97亿元，同比增长6.68%。丽珠单抗持股权益为54.08%，对公司净利润影响为-1.15亿元。其在大分子生物创新药方面取得显著进展，重组人促卵泡激素注射液和重组抗人IL-17A/F单克隆抗体注射液的临床试验顺利推进。注射用重组人绒促性素已在多个国家获批上市，托珠单抗注射液也已上市销售。此外，重组新型冠状病毒二价疫苗获批紧急使用，丽珠单抗正在加速推进质量体系和商业化进程，优化组织架构以提升管理效能。投资建议公司整体业绩稳定，我们维持此前预测，预计公司2024~2026年收入分别172.6/190.6/212.0亿元，分别同比增长3.7%/10.5%/11.2%，归母净利润分别为15.6/17.8/20.4亿元，分别同比增长7.8%/14.5%/14.6%，对应估值为12X/11X/9X。维持“增持”投资评级。风险提示政策风险超预期；市场价格风险超出预期；研发进度不及预期。,,华安证券,增持,[None],2024-09-06,,增持,5756896,pdf_downloads/2024/2024-09-06/600380-健康元（600380）：上半年业绩承压，创新转型与双轮驱动稳步推进.pdf,600380,健康元,健康元（600380）：上半年业绩承压，创新转型与双轮驱动稳步推进
余汝意,产品换挡期业绩略微承压，创新转型稳步推进，维持“买入”评级2024H1公司收入82.34亿元（同比-5.56%，以下为同比口径）；扣非归母净利润7.62亿元（-2.54%）。公司2024H1业绩波动主要系左沙丁胺醇中选第九批国采，价格及市场份额受到影响所致，后续随着新品种放量，公司业绩有望保持稳健增长。公司2024H1毛利率63.31%（+0.85pct）；净利率为-20.60%（+1.93pct）。2024H1公司销售费用率25.46%（-2.05pct）；研发费用率8.68%（-0.10pct）。基于2024年左沙集采执行带来的负面影响，我们下调2024-2026年预测，预计公司归母净利润为14.82/16.49/18.27亿元（原预计为16.47/19.70/23.41亿元），EPS为0.79/0.88/0.98元/股，当前股价对应PE为14.3/12.9/11.6倍，维持“买入”评级。吸入制剂受左沙影响收入有所波动，保健品业务持续攀升2024H1化学制剂收入40.74亿元，占比49.85%；原料药收入26.44亿元，占比32.35%；中药收入7.79亿元；诊断试剂及设备收入3.94亿元（+32.33%）；保健食品通过协同发展的市场策略，销售保持快速增长，2024H1保健品收入1.80亿元（+106.37%）；生物制药收入0.88亿元。重点领域看，呼吸收入6.02亿元（-25.50%），主要系左沙中标集采，价格及市场份额大幅下降所致；促性激素收入15.49亿元（+12.51%）；消化道13.01亿元（-19.96%）；精神2.97亿元（+6.68%）。吸入制剂领跑者，创新药与高壁垒制剂节奏加快公司扎实推进“创新药+高壁垒复杂制剂”双轮驱动战略。创新药方面，公司发挥妥布霉素纳入医保的优势，加强目标医院的开发，应对左沙集采价格下降带来的挑战；抗流感新药TG-1000已于2024年8月报产，预计2025H2获批，TG-1000有效治疗期长，预计上市后快速放量。在高壁垒复杂制剂方面，沙美特罗替卡松吸入粉雾剂为国内首仿，该产品竞争格局良好，有望为公司提供业绩新增量。目前公司正值产品换挡期，我们预计随着左沙集采负面影响出清，叠加新药妥布霉素、TG-1000以及舒列迭逐步放量，公司价值属性有望进一步凸显。风险提示：行业政策变化风险、新药研发风险、原材料供应和价格波动风险等。,,开源证券,买入,[None],2024-08-25,,买入,5733095,pdf_downloads/2024/2024-08-25/600380-健康元（600380）：产品换挡期业绩略微承压，创新转型稳步推进.pdf,600380,健康元,健康元（600380）：产品换挡期业绩略微承压，创新转型稳步推进
"张金洋,胡偌碧,宋歌",健康元发布2024年半年报。2024年上半年公司实现营业收入82.35亿元，同比下滑5.56%；归母净利润7.76亿元，同比下滑4.78%；扣非归母净利润7.62亿元，同比下滑2.54%。单看2024Q2，公司实现营业收入38.95亿元，同比下滑6.39%；归母净利润3.37元，同比下滑4.55%；扣非归母净利润3.34亿元，同比下滑0.24%。观点：业绩符合预期，创新药+高壁垒复杂制剂双轮驱动长期发展收入端因左沙丁胺醇集采执行略有下滑，Q2与Q1之间的差异我们认为是来自秋冬呼吸道疾病高发导致的季节性因素。未来随着妥布霉素、舒利迭进院和学术推广的推进，有望逐季向好。利润端，费用端控制合理，归母净利润同比下滑幅度小于收入同比降幅。丽珠集团（不含丽珠单抗）实现营业收入62.56亿元，同比下降6.32%；为公司贡献归母净利润约5.79亿元；丽珠单抗对公司归母净利润影响约-1.15亿元；健康元（不含丽珠集团、丽珠单抗）实现营业收入21.16亿元，同比下降3.55%；实现归母净利润3.22亿元，同比下降约27.61%；扣非归母净利润3.17亿元，同比下降约27.21%。处方药板块实现销售收入7.43亿元，同比下降约19.49%，其中呼吸领域实现销售收入6.02亿元，同比下降约25.50%，抗感染领域实现销售收入1.27亿元，同比增长约24.54%；原料药及中间体板块实现销售收入10.13亿元，同比下降约4.44%。保健食品及OTC板块实现营业收入3.30亿元，同比增长约63.74%。财务指标方面，2024H1公司销售费用20.97亿元同比-12.61%，销售费用率25.46%同比-2.05pp；管理费用4.45亿元同比+2.34%，管理费用率5.40%同比+0.42pp；研发费用7.15亿元同比-6.59%，研发费用率8.68%同比-0.10pp。经营性现金流量净额17.37亿元，同比提升38.19%。研发持续推进，“创新药+高壁垒复杂制剂”双轮驱动。创新药方面，抗流感新药TG-1000胶囊完成III期临床试验，达到临床预设主要终点，已于2024年8月申报生产；镇痛新药FZ008-145是高选择性的Nav1.8抑制剂，已顺利开展I期临床研究；治疗哮喘双靶点新药DBM-1152A、治疗哮喘口服新药N91115均已进入I期临床研究。高壁垒复杂制剂方面，沙美特罗替卡松吸入粉雾剂、丙酸氟替卡松雾化吸入用混悬液国内首仿上市，美洛昔康纳米晶已开展III期临床。公司将继续加快研发创新战略布局，优化研发管线。重点推进BD工作，多疾病领域全面补齐。公司持续引入创新产品，关注市场潜力大、创造性强、专利保护期长的临床中后期项目。已从荃信生物引入TSLP靶点抗体药物QX008N注射剂，从博安生物引入IL-4Rα长效抗体药物BA2101注射剂以及从德国拜耳引入治疗COPD的口服小分子化学药。公司关注创新技术引进，持续深化核心领域管线布局，加速创新转型。盈利预测与估值。我们认为丽珠集团将继续贡献稳定业绩，丽珠单抗研发布局持续推进，妥布霉素大单品迎来放量，呼吸科研发管线持续推进。根据公司经营现状，我们下调盈利预测。预计公司2024-2026年归母净利润分别为15.14亿元、16.83亿元、19.12亿元，增长分别为4.9%、11.2%、13.6%，对应PE分别为12x，11x，10x。我们看好公司长期发展，维持“买入”评级。风险提示：药品销售不及预期风险；新药研发失败风险；原料药价格波动风险。,,国盛证券,买入,[None],2024-08-24,,买入,5732185,pdf_downloads/2024/2024-08-24/600380-健康元（600380）：业绩符合预期，创新药+高壁垒复杂制剂双轮驱动长期发展.pdf,600380,健康元,健康元（600380）：业绩符合预期，创新药+高壁垒复杂制剂双轮驱动长期发展
"谭国超,李昌幸",事件：公司2023年实现营业收入166.46亿元，同比-2.90%；归母净利润14.43亿元，同比-3.99%；扣非归母净利润13.74亿元，同比-3.18%。 公司2024Q1收入为43.40亿元，同比-4.81%；归母净利润为4.40亿元，同比-4.96%；扣非归母净利润为4.28亿元，同比-4.26%。分析点评2023年：23Q4营收微降，经营现金流稳定23Q4：单季度来看，公司2023Q4收入为39.95亿元，同比-3.28%；归母净利润为3.59亿元，同比-4.54%；扣非归母净利润为3.25亿元，同比+7.28%。23全年财务数据：2023年公司整体毛利率为62.16%，同比-1.37个百分点；期间费用率39.78%，同比-3.00个百分点；其中销售费用率26.64%，同比-2.24个百分点；管理费用率（含研发费用）15.57%，同比-0.38个百分点；财务费用率-2.43%，同比-0.38个百分点；经营性现金流净额为39.29亿元，同比-1.23%。呼吸领域销售亮眼，美罗培南受集采影响短期承压（1）丽珠集团（不含丽珠单抗）：直接及间接持有丽珠集团45.34%股权。报告期内，丽珠集团（不含丽珠单抗）实现营业收入125.21亿元，同比增长约0.78%；为公司贡献归属于上市公司股东的净利润约11.30亿元。消化道产品实现收入29.03亿元，同比下降15.50%；促性激素产品实现收入27.67亿元，同比增长6.80%；精神产品实现收入6.02亿元，同比增长10.54%。(2)丽珠单抗：公司持有丽珠单抗股权权益为56.19%，对公司当期归属于上市公司股东的净利润影响金额约为-6.09亿元。丽珠单抗继续围绕自身免疫疾病、疫苗、肿瘤及辅助生殖等领域，随着研发项目逐步进入报产及商业化阶段，丽珠单抗的质量体系提升及产品商业化进程也在持续加速。(3)健康元（不含丽珠集团、丽珠单抗）：实现营业收入45.56亿元，较上年同期下降约5.72%；实现归属于上市公司股东的净利润9.24亿元，同比下降约0.55%。呼吸领域实现销售收入17.41亿元，同比增长约48.35%，抗感染领域实现销售收入2.24亿元，同比下降约75.64%，主要受美罗培南集采影响。原料药及中间体板块实现销售收入20.79亿元，同比下降约11.89%。保健食品及OTC板块实现营业收入4.53亿元，同比增长约46.31%。 TG-1000达III期临床主要终点，BD方面取得阶段性进展深入实施“创新药+高壁垒复杂制剂”双轮驱动战略。公司研发投入总额为16.32亿元，占营业收入总额9.80%。公司引进多款创新药，巩固现有竞争优势，丰富产品管线，其中主要产品进展如下：呼吸系统疾病：TG-1000已进入临床Ⅲ期，并于2024年1月完成受试者入组，显示出较快的研发进度。DBM-1152A、N91115和QX008N处于临床Ⅰ期或Ⅰb期，而BA2101已进入临床Ⅱ期。疼痛：FZ008-145项目于2024年1月获得临床批件，即将开始临床试验。消化系统疾病：JP-1366项目于2024年2月获得临床批件，也是即将进入临床试验阶段。心血管疾病：HHT120项目处于临床Ⅰ期，正在评估其安全性和初步疗效。精神疾病：LS21031项目同样处于临床Ⅰ期，针对抑郁症的治疗。 公司在BD方面取得阶段性进展。成功引进了呼吸系统、消化系统、神经系统、心血管、镇痛等多个创新药产品，加速实现公司向创新型药企转型。公司分别与荃信生物、博安生物达成产品授权合作，获得抗TSLP单抗、抗IL-4Ra单抗两款产品的相关权益，以开发它们用于治疗致哮喘、慢性阻塞性肺疾病（COPD）等呼吸系统疾病。3月，公司与拜耳就一项小分子抑制剂在国内的开发、商业化和生产的独家许可签署协议，这也是健康元首次从全球领先的跨国公司引进呼吸领域的创新药管线。24Q1：公司毛利率提升，部分产品收入季节性波动24Q1公司整体毛利率为63.39%，同比+0.98个百分点；期间费用率38.27%，同比-1.11个百分点；其中销售费用率25.29%，同比-1.48个百分点；管理费用率（含研发费用）14.67%，同比+1.72个百分点；财务费用率-1.70%，同比-1.35个百分点；经营性现金流净额为9.72亿元，同比+291.91%。化学制剂实现收入21.41亿元，同比下降4.86%，其中，促性激素产品实现收入8.07亿元，同比增长39.89%；消化道产品实现收入5.89亿元，同比下降25.68%；呼吸制剂产品实现收入4.17亿元，同比下降18.17%；精神产品实现收入1.35亿元，同比增长10.11%；抗感染产品实现营业收入1.15亿元，同比下降42.20%。原料药及中间体实现收入13.99亿元，同比下降3.70%。中药制剂实现收入4.06亿元，同比下降28.38%。诊断试剂及设备实现收入2.36亿元，同比增长60.26%。保健品实现收入0.78亿元，同比增长96.50%。生物制品实现收入0.44亿元，同比下降29.86%。投资建议：关注呼吸高速发展，把握公司估值低位我们预计，公司2024~2026年收入分别172.6/190.6/212.0亿元，分别同比增长3.7%/10.5%/11.2%，归母净利润分别为15.5/17.8/20.4亿元，分别同比增长7.3%/14.6%/15.0%，对应估值为16X/14X/12X。维持“增持”投资评级。风险提示政策风险超预期；市场价格风险超出预期；研发进度不及预期。,,华安证券,增持,[None],2024-05-09,,增持,5622271,pdf_downloads/2024/2024-05-09/600380-健康元（600380）：业绩维持稳健，双轮驱动战略持续推进.pdf,600380,健康元,健康元（600380）：业绩维持稳健，双轮驱动战略持续推进
