author,content,filename,org_name,original_rating,pdf_link,publish_time,rating_adjust_mark_type,rating_changes,report_id,save_path,stock_code,stock_name,title
余汝意,"小分子基石稳固，常规业务韧性凸显，签单企稳回升凯莱英是全球领先的小分子CDMO企业，深耕行业二十五年，正处于从单一小分子业务向“小分子+新兴业务”双轮驱动转型的关键期。随着公司新兴业务快速放量，业绩韧性凸显。短期看，大订单高基数影响逐渐出清，常规业务保持稳健增长，签单已呈企稳回升态势。随着生物医药融资环境回暖，新兴业务板块收入高增，营收占比提升，正成为业绩增长的重要支撑。中长期看，公司持续推进多肽产能建设，有望进一步打开成长空间。我们看好公司的长期发展，预计2025-2027年公司的归母净利润为11.64/12.97/15.07亿元，EPS为3.23/3.59/4.18元，当前股价对应PE为31.0/27.8/23.9倍，首次覆盖，给予“买入”评级。新兴业务强劲增长，多肽产能扩张卡位GLP-1风口，小核酸领域布局前沿公司全力推进化学大分子、制剂、生物大分子等新兴业务，打造第二成长曲线。2025H1新兴业务收入7.56亿元，同比增长51.22%，营收占比提升至23.71%。面对GLP-1药物强劲的下游需求，公司加速产能建设，截至2025H1多肽固相合成总产能已达约30,000L，公司预计2025年底进一步扩容至44,000L。公司已与国内重要客户签订GLP-1多肽商业化订单，并获得多个跨国药企临床中后期项目，充足的产能储备有望助力公司在这一高景气赛道占据领先地位。在小核酸领域，公司布局前沿，自2020年起通过与瑞博生物合作实现CDMO业务“热启动”，并持续完善寡核苷酸工艺、分析及质控平台，服务能力已覆盖多种技术路径。行业投融资环境逐步回暖，全球化布局与技术平台构筑护城河2025年以来全球医疗健康产业投融资总额整体回暖，下游医药外包需求有望持续复苏。公司前瞻性推进全球化布局，欧洲Sandwich Site已投入运营并承接订单，进一步完善了全球供应链体系。同时，依托连续反应、合成生物学等八大研发平台及高素质人才团队，公司技术壁垒日渐深厚。在行业复苏周期中，公司有望凭借卓越的交付能力和全球化的服务网络，持续提升市场份额。风险提示：行业竞争加剧、地缘政治风险、产能落地不及预期。",,开源证券,买入,[None],2026-01-29,,买入,8372782,pdf_downloads/2026/2026-01-29/002821-凯莱英（002821）：公司首次覆盖报告：小分子CDMO龙头，多肽与小核酸共筑新增长极.pdf,002821,凯莱英,凯莱英（002821）：公司首次覆盖报告：小分子CDMO龙头，多肽与小核酸共筑新增长极
"郑辰,王宏雨",事项：近期，公司发布 25Q3 业绩。25 年前三季度公司实现收入 46.30 亿元（+11.82%），归母净利润8.00亿元（+12.66%），扣非归母净利润7.28亿元（+9.74%）。25Q3公司实现收入14.42亿元（-0.09%），归母净利润1.83亿元（-13.46%），扣非归母净利润1.62亿元（-24.75%）。评论：小分子业务保持稳健，盈利能力维持较高水平。2025年前三季度，公司小分子CDMO业务收入基本持平，毛利率47.0%，是凯莱英发展的重要根基和当前最大的业务组成部分。从单三季度看，公司小分子CDMO受到美国部分大制药公司的小分子管线调整影响，收入有所波动，但我们预计随着客户业务调整完成，未来有望逐步回到良性增长轨道。目前，天津厂区产能处于紧张状态，并已启动扩充新的API产能，同时东北厂区处于正常利用率水平。新兴业务增速表现亮眼，中长期发展值得期待。2025 年前三季度，公司新兴业务的收入同比增长71.9%，毛利率提升10.6个百分点到30.6%。我们预计，随着规模效应持续体现，未来两年新兴业务的毛利率将会持续提升。化学大分子CDMO：在化学大分子领域，多肽、寡核苷酸类等新分子类型药物的研发需求方兴未艾，公司的新技术投入与交付能力持续提升，前三季度收入同比增长超过150%。生物大分子CDMO：基于一体化的服务体系优势，自24年开始生物大分子业务进入快速增长期，并且ADC业务在海外开拓中成效显著，新签订单中40%来自海外客户。我们预计，公司以偶联药物为核心的生物大分子CDMO有望实现效率和盈利能力的同步提升。制剂CDMO：公司以小分子制剂作为基本盘，同时多元化的复杂制剂项目正在成为制剂CDMO的重要驱动力。随着2025年β-内酰胺固体制剂预充针和卡氏瓶等新产能的陆续投产，制剂CDMO业务有望再上台阶。临床CRO：随着创新药行业投融资逐步回暖，以及公司在中后期项目承接和海外注册能力日益成熟，CRO业务有望恢复稳健增长。投资建议：基于新兴业务持续快速发展，我们上调 2025-2027 年公司归母净利润分别为11.77/14.48/17.58亿元（预测前值为11.70/14.04/17.00亿元），同比+24.1%/+23.0%/+21.4%，EPS分别3.26/4.02/4.88元。当前股价对应2025-2027年PE分别为28/23/19倍。考虑到公司成长空间明确，以及公司的综合竞争优势显著，我们认为应适当给予较高的估值水平，给予2026年30倍PE，对应目标价格为120元。维持“推荐”评级。风险提示：1、公司 CDMO 产能建设进度不达预期；2、公司生物大分子 CDMO业务拓展不及预期；3、化学大分子CDMO竞争加剧等。,,华创证券,推荐,[None],2025-11-20,,增持,8141115,pdf_downloads/2025/2025-11-20/002821-凯莱英（002821）：2025年三季报点评：三季度业绩符合预期，新兴业务表现亮眼.pdf,002821,凯莱英,凯莱英（002821）：2025年三季报点评：三季度业绩符合预期，新兴业务表现亮眼
"张金洋,胡偌碧,徐雨涵",新兴业务增速亮眼，后续放量值得期待公司发布2025年第三季度报告。2025年前三季度公司实现营业总收入46.30亿元，同比增长11.82%；归属于上市公司股东的净利润8.00亿元，同比增长12.66%；归属于上市公司股东的扣除非经常性损益的净利润7.28亿元，同比增长9.74%。单Q3实现收入14.42亿元（同比-0.09%），归母净利润1.83亿元（同比-13.46%）。业绩整体稳健，新兴业务增速显著，小分子基本盘稳固。公司预计全年营业收入将实现13%-15%增长，主要受新兴业务放量及客户交付节奏改善驱动。前三季度经营活动产生的现金流量净额11.44亿元，同比增长8.67%。新签订单保持良好增势，全年增长可期。公司在多肽、寡核苷酸、ADC等增量业务板块持续加大市场开拓，新签订单保持双位数增长，为后续交付奠定支撑。从下半年待交付订单分布看，第四季度交付规模将显著高于第三季度。小分子基本盘稳固，多肽、ADC等新兴业务打开增量空间。公司凭借全流程服务能力和国际标准运营体系，持续巩固在小分子及新兴业务领域的领先地位。随着医药行业筑底回暖，公司积极把握多肽、ADC、化学大分子等增量机遇，有望在未来几个季度延续增长势头。分板块来看：1）小分子业务：2025年前三季度收入基本持平，毛利率46.99%，同比基本保持稳定。公司持续优化产能结构，天津厂区今年多个API项目获批上市，产能处于紧张状态，已启动扩充新的 API 产能，东北厂区处于行业正常利用率水平。2）新兴业务（包括多肽、寡核苷酸、ADC等）：2025年前三季度收入同比增长71.87%，毛利率30.55%，同比大幅提升10.57个百分点，主要因交付规模扩大和产能利用率持续爬坡。3）化学大分子业务：2025年前三季度收入同比增长超过150%，成为增长最快的业务板块，反映公司在生物制药上游领域的布局初见成效。客户结构持续优化，中小客户贡献提升。2025年前三季度，来自大制药公司收入20.53亿元，同比增长1.98%；来自中小制药公司收入25.77亿元，同比增长21.14%。中小客户需求恢复强，大客户贡献保持稳定，公司积极拓展多元化客户群，增强业务韧性。盈利预测与投资建议：考虑全球医药投融资处于温和复苏趋势中，我们预计公司2025-2027年归母净利润分别为11.86亿元、13.24亿元、15.68亿元，增速分别为25.0%、11.6%、18.5%。对应PE分别为29x，26x，22x。我们看好公司长期发展，维持“买入”评级。风险提示： 行业增速不及预期，医药研发需求下降风险，商业化订单波动风险等。,,国盛证券,买入,[None],2025-11-14,,买入,7793117,pdf_downloads/2025/2025-11-14/002821-凯莱英（002821）：新兴业务增速亮眼，后续放量值得期待.pdf,002821,凯莱英,凯莱英（002821）：新兴业务增速亮眼，后续放量值得期待
"崔文亮,徐顺利",新业务25Q3收入实现翻倍增长，维持25年收入指引凯莱英(002821)事件概述公司发布2025年三季报：25Q1-3实现营业收入46.30亿元，同比增长11.82%、实现归母净利润8.00亿元，同比增长12.66%、实现扣非净利润7.28亿元，同比增长9.74%。分析判断:新业务25Q3收入实现翻倍增长，维持25年收入指引公司25Q3实现收入14.4亿元，同比下降0.09%，其中小分子业务实现收入9.1亿+，同比下降20%+、新兴业务实现收入5.2亿元，同比增长114%，业绩相对25H1有所放缓、主要受小分子业务增速下降影响。根据25年三季报数据披露，持续加大市场开拓力度，新签订单保持双位数增长，为未来业绩增长增添确定性。从25H2待交付的订单分布看，25Q4交付规模将显著高于25Q3，维持25年收入增速指引，即预期25年全年收入端将实现13%~15%增长（对应收入为65.6~66.8亿元），反向测算来看，25Q4收入为19.3~20.5亿元，同比增长15.9%~22.9%，业绩呈现快速增长趋势。展望未来，新业务能力持续建设（包括25年底多肽固相产能达到4.4万升、24年化学大分子业务在手订单同比增长超90%），我们判断后续伴随小分子CDMO业务呈现相对稳健增长和新业务逐渐恢复良好增长态势，业绩有望逐渐恢复快速增长。投资建议公司作为国内领先的小分子CDMO供应商，展望未来持续深耕小分子“中间体+API+制剂”一体化服务能力，另外在合成大分子和生物大分子领域持续强化布局，为公司的中长期业绩增长保驾护航。考虑到新兴业务伴随收入端增长毛利率端边际改善，调整前期盈利预测，即25-27年营业收入从66.59/77.53/88.88亿元调整为66.09/77.48/89.30亿元， EPS从3.36/3.82/4.27元调整为3.05/3.66/4.50元，对应2025年11月12日94.31元/股收盘价，PE 分别为31/26/21倍，维持“买入”评级。风险提示核心技术骨干及管理层流失风险、竞争加剧的风险、核心技术人员流失风险、汇率波动风险、中美关税对公司业务和盈利能力或有影响。,,华西证券,买入,[None],2025-11-12,,增持,7667015,pdf_downloads/2025/2025-11-12/002821-凯莱英（002821）：新业务25Q3收入实现翻倍增长，维持25年收入指引.pdf,002821,凯莱英,凯莱英（002821）：新业务25Q3收入实现翻倍增长，维持25年收入指引
"吴晗,周航,余文心","本报告导读：
新兴业务持续放量，盈利能力提升，多肽能力及全球化建设加码，看好长期增长空
间。投资要点：维持“增持”评级。公司公告2025Q1-Q3营收46.30亿元（同比+11.82%），归母净利润8.00亿元（同比+12.66%），毛利率42.44%（同比-1.16pct），净利率17.28%（同比+0.13pct）；Q3单季度营收14.42亿元（同比-0.09%），归母净利润1.83亿元（同比-13.46%），毛利率40.12%（同比-6.20pct），净利率12.68%（同比-1.96pct）。Q3单季度业绩有所扰动，主要系订单交付节奏影响，Q4有望改善。考虑新兴业务盈利能力改善，上调2025-2027年EPS预测为3.07/3.58/4.31元（原为3.03/3.54/4.23元），参考可比公司估值，给予2026年PE 33X，上调目标价至118.14元，维持“增持”评级。新兴业务高增延续，盈利能力持续改善。小分子CDMO 2025Q1-Q3收入基本持平，毛利率46.99%（同比基本持平）；新兴业务持续加大多肽、寡核苷酸、ADC等增量业务拓展，2025Q1-Q3营收12.81亿元（同比+71.81%），毛利率30.55%（同比+10.57pct），新兴业务盈利能力持续改善，主要系交付规模提升和产能利用率爬坡。Q3单季度营收5.25亿元（+114.31%），同比高增，环比增速进一步提速（2025H1同比增长51.22%）。其中，2025Q1-Q3化学大分子营收同比增长超150%。前三季度来自大制药公司营收20.53亿元（+1.98%），来自中小制药公司营收25.77亿元（+21.14%）。2025Q1-Q3新签订单保持双位数增长。Q4预计订单交付规模将显著高于Q3，公司预计全年营业收入将实现13%-15%增长。海外布局及多肽能力逐步兑现。持续加大海外布局，欧洲首个研发及中试基地 Sandwich Site 已于2024年8月初正式运营，陆续获取多个分析、工艺开发及kilo生产订单，中试工厂2024Q4承接生产订单，多个生产订单已顺利推进中。推进多肽产能建设，截至2025H1多肽固相总产能约30000L，预计2025年底产能将达44000L。催化剂：订单进展超预期，新业务快速拓展，投融资数据改善。风险提示：行业竞争加剧风险，地缘政治风险，订单波动风险。",,国泰海通,增持,[None],2025-11-09,,买入,7591511,pdf_downloads/2025/2025-11-09/002821-凯莱英（002821）：2025年三季报点评：传统业务受交付节奏影响，新兴业务加速放量.pdf,002821,凯莱英,凯莱英（002821）：2025年三季报点评：传统业务受交付节奏影响，新兴业务加速放量
"彭思宇,陈曦炳",2025年前三季度业绩实现稳健增长。2025年前三季度，公司实现营收46.30亿元（+11.82%），归母净利润8.00亿元（+12.66%），扣非归母净利润7.28亿元（+9.74%）。分季度看，2025Q1/Q2/Q3分别实现营收15.41/16.47/14.42亿元（+10.10%/+26.95%/-0.09%），归母净利润3.27/2.91/1.83亿元（+15.83%/+33.94%/-13.46%），扣非归母净利润3.05/2.61/1.62亿元（+20.14%/+34.33%/-24.75%）。Q3单季度业绩有所波动的主要原因是季度间订单结算节奏差异，Q4交付规模有望显著提升，延续高增长的态势。期间费用率和经营性现金流同比改善。2025年前三季度，公司期间费用率23.24%（-1.22pp），其中管理费用率12.59%（-0.34pp）、研发费用率9.35%（-2.34pp）、销售费用率3.24%（-0.79pp）、财务费用率-1.94%（+2.25pp），经营活动现金净流量11.44亿元（+8.38%），公司营运效率持续提升，费用控制成效良好，盈利质量进一步改善。小分子业务基本盘稳固，新兴业务成核心增长引擎。作为公司的基石业务，2025年前三季度小分子CDMO业务收入同比基本持平，毛利率为47.0%（-1.9pp）。新兴业务增长强劲，2025年前三季度新兴业务收入同比增长71.9%，毛利率为30.6%（+10.6pp），其中化学大分子业务收入同比增长超150%。新签订单方面，公司在多肽、寡核苷酸、ADC等新兴业务领域持续加大市场开拓力度，新签订单保持了双位数增长，叠加公司的产能扩张，新兴业务有望成为核心增长引擎。风险提示：地缘政治风险；市场竞争加剧；海外产能不及预期。投资建议：公司小分子业务基本盘稳固，新兴业务进入加速发展期，2025全年营收有望保持较快增长，我们维持此前“优于大市”评级。维持盈利预测，预计公司2025-2027年营收66.8/75.3/82.9亿元，同比增速15%/13%/10%，毛利率为43%/43%/43%，归母净利润预计为11.4/12.9/14.6亿元，同比增速20%/14%/14%，当前股价对应PE=29.8/26.3/23.1x。,,国信证券,优于大市,[None],2025-11-06,,买入,7536264,pdf_downloads/2025/2025-11-06/002821-凯莱英（002821）：2025 年三季报点评：单三季度整体营收保持平稳，新兴业务提质放量.pdf,002821,凯莱英,凯莱英（002821）：2025 年三季报点评：单三季度整体营收保持平稳，新兴业务提质放量
"谭国超,杨馥瑗",主要观点：事件概述2025年10月，凯莱英发布2025年三季报：公司2025年前三季度实现营业收入46.30亿元，同比增长11.82%；实现归母净利润8.00亿元，同比增长12.66%。其中，Q3单季度实现营业收入14.42亿元，同比下降0.09%；实现归母净利润1.83亿元，同比下降13.46%。事件点评受订单交付节奏等因素影响单季度业绩波动，预计Q4将快速增长公司25Q3业绩略有波动主要因季度间订单交付节奏影响，从下半年待交付的订单分布看，预计Q4交付规模将显著高于第三季度。公司仍维持全年业绩指引，预计全年营业收入将实现13%-15%增长。新兴业务强劲增长，为公司后续增长提供坚实保障25Q1-3公司小分子业务收入基本持平，新兴业务收入同比增长71.87%，其中化学大分子业务收入同比增长超过150%。 毛利率方面，25Q1-3公司整体业务毛利率42.44%，其中小分子业务毛利率46.99%，同比基本持平；新兴业务毛利率30.55%，同比提升10.57pp。随着新兴业务规模效应的逐步显现及产能逐步爬坡，毛利率有望进一步提升。订单方面，25Q3公司新签订单保持双位数增长，并相较于上半年增速有所提升，其中新业务板块中的化学大分子业务、生物大分子业务新签订单均保持强劲增长势头。行业需求回暖，加大资本开支根据公司公告，公司将在未来一段时间加大资本开支力度，预计上调2025年资本开支金额至13-14亿，主要向新兴业务领域倾斜，26年资本开支预计将进一步增加。投资建议考虑到新兴业务目前毛利率水平相对较低，收入占比提高会拉低公司整体毛利率水平，我们下调对公司2025-2027年盈利预测。我们预计2025-2027年公司实现营业收入为65.89、75.35、86.81亿元，同比增长13.5%/14.4%/15.2%（此前为66.83、76.23、87.58亿元）；实现归母净利润11.30、13.15、15.94亿元，同比增长19.1%/16.4%/21.2%（此前为12.59、14.09、16.57亿元）。维持“买入”评级。风险提示市场竞争加剧风险、回款不及预期风险、汇兑损益风险、地缘政治风险、客户需求恢复不及预期风险等。,,华安证券,买入,[None],2025-11-03,,买入,7300812,pdf_downloads/2025/2025-11-03/002821-凯莱英（002821）：新兴业务强劲增长，期待第四季度加速交付.pdf,002821,凯莱英,凯莱英（002821）：新兴业务强劲增长，期待第四季度加速交付
吴号,事件：公司发布2025年第三季度报告。行业需求回暖+运营效率提升+降本增效，推动公司2025Q1-Q3业绩增长。2025Q1-Q3，公司实现营业收入46.30亿元，同比+11.82%；实现归母净利润8.00亿元，同比+12.66%；实现扣非归母净利润7.28亿元，同比+9.74%。公司2025Q1-Q3业绩同比增长主要受益于下游需求回暖、运营效率提升以及降本增效。单看2025Q3，公司实现营业收入14.42亿元，同比-0.09%，环比-12.48%；实现归母净利润1.83亿元，同比-13.46%，环比-37.16%。公司2025Q3业绩同比下降主要受订单交付节奏影响。中小制药公司收入、新兴业务收入呈现快速增长。分客户看，2025Q1-Q3，公司来自大制药公司收入20.53亿元，同比增长1.98%；来自中小制药公司收入25.77亿元，同比增长21.14%。分业务看，2025Q1-Q3，小分子业务收入基本持平，新兴业务收入同比增长71.87%，其中化学大分子业务（含多肽、寡核苷酸、毒素连接体及脂质Lipid业务）收入同比增长超过150%。新兴业务毛利率改善明显，期间费用率有所下降。从盈利水平来看，2025Q1-Q3，公司整体业务毛利率42.44%，同比-1.16pp，主要受业务结构影响。其中小分子业务毛利率46.99%，同比基本持平；新兴业务毛利率30.55%，同比+10.57pp，主要受益于新兴业务交付规模提升和产能利用率爬坡。期间费用率方面，2025Q1-Q3，公司期间费用率为23.24%，同比-1.23pp，其中销售费用率、管理费用率、研发费用率、财务费用率分别为3.24%、12.59%、9.35%、-1.94%，同比变动-0.80、-0.33、-2.34、+2.25pp。新签订单增长良好，公司预计2025年收入增长13%-15%。2025年前三季度，受益于医药行业筑底回暖、公司加大市场开拓力度以及多肽、寡核苷酸、ADC等增量业务，公司新签订单保持双位数增长。从下半年待交付的订单分布看，第四季度交付规模将显著高于第三季度，预计全年营业收入将实现13%-15%增长。盈利预测与投资建议：2025-2027年，预计公司实现归母净利润11.07/13.42/15.81亿元，EPS分别为3.07/3.72/4.39元，当前股价对应的PE分别为31.95/26.36/22.37倍。考虑到公司在手订单增长良好，新兴业务增长迅速，经营业绩有望保持较快增长，维持公司“买入”评级。风险提示：行业竞争加剧风险；行业政策风险；汇率变动风险；订单增长不及预期风险；人才流失风险；中美贸易摩擦风险等。,,财信证券,买入,[None],2025-11-01,,买入,7565127,pdf_downloads/2025/2025-11-01/002821-凯莱英（002821）：新兴业务增长迅速，新签订单增长良好.pdf,002821,凯莱英,凯莱英（002821）：新兴业务增长迅速，新签订单增长良好
"程培,宋丽莹","事件:凯莱英2025年前三季度实现营业总收入46.30亿元,同比增长11.82%;归母净利润8亿元，同比增长12.66%;毛利率42.44%，归母净利率17.3%。第三季度实现营业收入14.42亿元，同比下降0.09%;归母净利润为1.83亿元，同比下降13.46%，我们分析主要由于部分订单交付延后所致新兴业务维持快速增长，小分子CDMO业务增速放缓。2025年前三季度小分子业务收入基本持平，毛利率46.99%，同比基本持平;新兴业务收入同比增长 71.87%，继续维持高速增长，毛利率30.55%，同比提升10.57pct,主因业务交付规模提升和产能利用率爬坡。其中，化学大分子业务收入同比增长超过150%，同比增速相较2025H1进一步提升。在手订单充足，全年营业收入预计实现13%6-15%增长。第三季度营业收入增速放缓，我们分析主要由于部分订单交付延后所致。从下半年待交付的订单分布看，第四季度交付规模将显著高于第三季度，预计全年营业收入将实现13%-15%增长。公司在手订单充足，在多肽、寡核苷酸、ADC等增量业务板块，持续加大市场开拓力度，新签订单保持双位数增长。股权激励计划彰显发展信心，2025年预计实现双位数收入增长。2025年3月公司推出2025年A股限制性股票激励计划，公司100%解除限售的业绩考核要求:以2024年业绩为基数，2025-2028年营收增长率为13%/27%/40%/53%，或者2025-2028年扣非归母净利润增长率为14%/29%/42%/55%。投资建议:公司是小分子CDMO龙头企业，先进工艺技术构筑护城河，新兴业务进入加速兑现期，盈利能力有望持续提升。我们预计2025-2027年公司营收66.9/76.0/85.7亿元，同比增速15.3%/13.6%/12.7%，归母净利润11.2/13.6/16.3亿元,同比增速18.0%/21.6%/19.7%,对应PE为 33/27/23X维持“推荐”评级。风险提示:订单取消的风险;汇率波动影响公司汇兑收益的风险;下游需求恢复不及预期的风险;产品销售不及预期风险;研发与生产进度不及预期的风险。",,银河证券,推荐,[None],2025-10-31,,买入,7114582,pdf_downloads/2025/2025-10-31/002821-凯莱英（002821）：2025年三季度报点评：新兴业务维持高增长，长期发展趋势不改.pdf,002821,凯莱英,凯莱英（002821）：2025年三季度报点评：新兴业务维持高增长，长期发展趋势不改
"代雯,高鹏,杨昌源",2025年10月30日│中国内地/中国香港 医疗服务 公司1-3Q25收入/归母净利46.30/8.00亿元（yoy+11.8%/+12.7%），整体保持稳健发展；其中3Q25收入/归母净利14.42/1.83亿元（yoy-0.1%/-13.5%），我们推测主因项目交付节奏差异，根据2H25待交付订单分布，公司预计4Q25订单交付规模将显著高于3Q25。公司1-3Q25新签订单金额同比保持双位数增长，且公司预计25全年收入同比将实现13%-15%增长。考虑公司小分子CDMO核心主业竞争力强，叠加新兴业务持续拓展，看好公司中长期成长空间。公司A/H股均维持“买入”。三项费用率同比降低，现金流水平积极改善公司1-3Q25毛利率为42.4%（yoy-1.2pct），我们推测主因项目订单结构常规变动。公司1-3Q25销售/管理/研发费用率分别为3.2%/12.6%/9.4%（yoy-0.8/-0.3/-2.3pct），公司规模效应持续显现，叠加积极提升费用投入效率，公司三项费用率同比降低。公司1-3Q25经营性现金流量净额11.44亿元（yoy+8.7%），现金流水平积极向好。小分子CDMO：发展趋势良好，业务能力持续提升公司核心业务板块1-3Q25收入同比基本持平，毛利率47.0%，同比基本持平，整体发展趋势良好。板块商业化订单储备积极扩充，公司截至8M25预计2H25小分子验证批阶段（PPQ）项目为11个，为公司整体业绩的长期稳健增长打下坚实基础。与此同时，公司持续推动英国Sandwich Site的客户开拓和运营体系建设，并持续优化交付体系和境内外联动协同机制，板块海外业务能力持续提升。考虑公司小分子CDMO业务竞争力行业领先，看好板块25年实现稳健发展。新兴业务：收入高速增长，毛利率明显提升公司新兴业务1-3Q25收入同增71.9%，毛利率30.6%（yoy+10.6pct），业务交付规模提升叠加产能利用率爬坡驱动板块毛利率明显改善。公司持续推进新兴业务相关能力建设及市场开拓工作，多肽、寡核苷酸、ADC等增量业务板块均有亮眼表现，其中公司化学大分子业务1-3Q25收入同增超 150%。考虑公司新兴业务布局多元且相关能力持续强化，看好其后续成为公司又一重要增长驱动。盈利预测与估值我们维持盈利预测，预计25-27年归母净利为10.94/13.12/16.24亿元。公司为CDMO行业龙头，技术工艺领先且全球化布局稳步推进，给予A/H股25年47/39x PE（A/H股可比公司Wind一致预期均值35/35x PE），维持目标价142.62元/129.17港币不变。风险提示：下游产品销售不达预期，政策推进不及预期，汇率波动风险。,,华泰证券,买入,[None],2025-10-31,,买入,7086172,pdf_downloads/2025/2025-10-31/002821-凯莱英（002821）：前三季度发展稳健，期待4Q25提速.pdf,002821,凯莱英,凯莱英（002821）：前三季度发展稳健，期待4Q25提速
